1300000005	Psalm
13691e0041	Sap arail me direki pros lao lel ong nan pera en ar nanmarki kan.
13691f003e	A kotin masanier, long sued ap rokilar, o amuse nan sap karos.
1369200042	A kotiki ong ir akel wiliandi katau, umpul en kisiniai nan sap ar.
1369210060	A kotin kawelar ar tuka en wain akan o tuka en paiken, o kotin katip pasang tuka en sap ar akan.
1369220050	A kotin masanier, mansiok o long ap pwarada, rap pwaradar o re sota kak wadawad.
1369230049	Rap kangala tuka kan karos nan sap o, o kangala wantuka kan nan matuel o.
1369240048	O a kotin kamelar meseni karos nan sap arail, meseni karos en ar kelail.
1369250065	O a kotin kalua irail sang nan sap o iangaki silper o kold, o sota me luet nan pung en ar kainok kan.
1369260034	Äkipten peren kida ar samalar, pwe re masapwekadar.
136927004d	A kotin wiada tapok en kadupal irail edi, o kisiniai en sereda irail ni pong.
136928005c	Irail poekipoeki, i ap kotin kadarado manpir akan; o a kotin kamanga kin ir prot en nanlang.
1369290069	A kotin palang pasang paip o, pil akan ap kuskus wei sang, re pwilipwile wei nan sap tan dueta pilap pot.
13692a003d	Pwe a kotin tamanda a masan saraui, o sapwilim a ladu Apraam.
13692b0064	A kotin kaluaki peren sapwilim a aramas akan sang nan sap o, o ngisingis sapwilim a pilipildar akan!
13692c0049	A ap kotiki ong ir sap en men liki kan, o re aleer dipisou en kainok kan.
13692d0049	Pwe ren peiki ong sapwilim a masan kan o kolekol a kusoned akan. Aleluia!
136a01003c	KAPINGA Ieowa, pwe i me mau, pwe a kalangan pan potopot eta.
136a02005a	Is me kak inda duen dodok manaman en Ieowa, o is me kak kapinga sapwilim a dodok kasapwal?
136a030041	Meid pai, me kolekol me pung, o me kin wiada me pung ansau karos!
136a040086	Maing Ieowa, kom kotin taman ia da duen ar kalangan, me kom kotin inauki ong sapwilim omui aramas akan, kasansale dong kit omui sauas!
136a050080	Pwe i en kilang pai en sapwilim omui pilipildar akan o peren kidar peren en sapwilim omui aramas akan, o kapinga iang omui soso.
136a060065	Kit iang sam at oko wiadar dip, se wiadar sapung, se kawelar kusoned o kapwaiada tiak en me pung kan.
136a0700aa	Sam at akan nan Äkipten sota insenoki sapwilim omui manaman akan, pwe re sota tamanda omui kalangan lapalap, o re katiwo ong me lapalap o ni kailan madau ni sed waitata.
136a080041	Ari so, a kotin dore ir ala pweki mar a, pwen kasaleda a manaman.
136a090063	A kotin masani ong sed waitata, ap ngalangaledier; o a kotin kalua irail wasa lol dueta sap tan eu.
136a0a0069	Iduen a kotin dore ir ala sang nan pa en me kailong kin ir, o a kotin sauasa ir sang nan pa en imwintiti;
136a0b0035	Pil kadupaledi arail imwintiti kan, sota amen pitila.
136a0c0037	Irail ap kamelele a masan akan, o kaul en kaping ong i.
136a0d0041	A re pil madang monokelar a wiawia kan, o re sota auiaui a masan.
136a0e003c	Irail dire kila inong sued, ap kasongesong. Kot nan sap tan,
136a0f0044	Ap kotin mueid ong insen arail, o kotiki ong ir, lol ar lao suedala.
136a100049	Re ap kangudi ong Moses nan deu ’rail, ong Aron me saraui en Ieowa men.
136a110042	Sap ap sar pasang katalala Datan, o pur penang pon pwin en Apiram.
136a120066	O kisiniai eu kamasikada nan pung en arail pwin, umpul en kisiniai eu karongalar me doo sang Kot akan.
136a130043	Re wiadar kau pul amen ni Orep, o dairukedi sang mon kilel kold eu.
136a140048	O re kawilianeki arail lingan kilel en kau ol amen, me kin kangkang rä.
136a15004f	Re monokelar Kot, arail saunkamaur, me kotin wiadar dodok lapalap nan Äkipten.
136a16003b	O manaman akan nan sap en Am, o men kamasak ni sed waitata.
136a1700a6	I ap kotin kupukupura, me a pan kame ir ala, ma Moses sapwilim a pilipildar amen sota pan pukoki dip arail, pwen kotiki wei sang sapwilim a ongiong, pwe ren der mela.
136a180037	A re mamaleki sap kaselel, o sota kamelele a masan kan.
136a19003b	O re lipaned nan im arail, o sota peiki ong masan en Ieowa.
136a1a003a	I ap kotin kaula ong ir, me a pan kame ir ala nan sap tan.
136a1b0055	O kadaudok ar en wowokidi nan pung en men liki kan, o kamueit ir pasang nan sap akan.
136a1c003b	O re wuki ong Pal-Peor, o kangala kisan mairong en ani mal.
136a1d0040	O re kupur sued kin i ar wiawia kan, kalokolok eu ap lel ong ir.
136a1e003d	Pineas ap kotida, kadeik irail ada, kalokolok ap imwisokalar.
136a1f003e	Mepukat me a wadekida ni pung, sang eu kainok lel eu kokolata.
136a200050	O re kupur suede kin i ni pil en Meripa, i me irail kareki ong Moses apwal laud.
136a21003f	Pwe re kapataui ngen i, ap kotin sapungala ekis ni a masan kan.
136a22003c	Re sota pil kanikiala wei kan, me Ieowa kotin masani ong ir.
136a230033	O re dolola men liki kan, o padakki arail tiak kan.
136a240042	O re kaudoki ong arail dikedik en ani kan, rap wialar insar arail.
136a250040	O re mairongki ong tewil sued akan nairail putak o seripein kan.
136a26007d	O re kamelar mal aramas, iei udan nair putak o seripein oko, me re mairongki ong ani mal en Kanaan, a sap o kasamin kila nta.
136a270042	O re kasamine kila pein irail ar wia kan, o nenekki ar dodok sued.
136a280053	Ieowa ap kotin ongiongi ong sapwilim a aramas akan o kotin suedeki sapwilim a soso.
136a290051	A kotin mueid ong ir nan pa en men liki kan, o me kailong kin ir, wialar ar kaun.
136a2a003d	O ar imwintiti katoutoui ir, o re namenokalar pan pa ’rail.
136a2b006d	A kotin dore ir ala pan pak toto, a re duedueta ni ar inong sued o madamadaua, o re malaulau kilar ar sapung.
136a2c0042	A a kotin irerong ar kan kangeranger, ni a kotin ereki ar weriwer.
136a2d004e	O a kotin tamanda sapwilim a inau, o a kotin kalukila duen a kalangan lapalap.
136a2e0035	O a kotin maki ong ir mon karos, me sali irail weier.
136a2f007a	Ieowa at Kot, kom kotin dore kit ala, sang ren men liki kan, pwe kit en danke mar omui saraui o sapwilim ar dodok mau kan.
136a300067	Kaping ong Ieowa, Kot en Israel, sang mas kokodo o pil kokolata! O aramas karos en inda: Amen, Aleluia!
136b01003c	KAPINGA Ieowa, pwe i me mau, pwe a kalangan pan potopot eta.
136b020064	Iduen me dorelar ren Ieowa kan pan indinda, irail me a kotin dorelar sang nan pa en arail imwintiti;
136b03005a	Me a kotin kapokon pena sang sap en mas en lang, o kapin lang, o pali apang, o sang madau.
136b04004c	Irail sansalong sili nan sap tan, pol al apwal, re sota diarada deu ’rail.
136b05003a	Re men mangadar o men nim piladar, o kaped arail luetalar.
136b060056	Rap weriwer wong Ieowa ni ar kankangeranger, o a kotin dore ir sang nan ar apwal akan.
136b070040	O a kotin kalua ir pon al pung, pwe ren lel ong wasan kaukauson.
136b08004c	Ren kapinga Ieowa, pweki a kalangan o pweki a dodok manaman ong aramas akan.
136b090067	Pwe a kotin kamede kilar kaped en me men nim piladar, o kadir kila me mau kan kaped en me men mangadar.
136b0a003d	Me mi ni wasa rotorot o mot en mela, me salikidi luet o mata.
136b0b0048	Pweki ar katiwo ong masan en Kot, o ar mamaleki kusoned en ma lapalap o.
136b0c003d	I ap kaloke kin ir apwal akan, re wonon, a sota sauas parail.
136b0d0055	Rap weriwer wong Ieowa ni ar apwal akan, i ap kotin dore ir ala sang katoutou parail.
136b0e0055	A kotin kalua ir sang nan rotorot, o mot en mela, o kotin kamueit pasang ar sal akan.
136b0f004c	Ren kapinga Ieowa, pweki a kalangan o pweki a dodok manaman ong aramas akan.
136b10004f	Pwe a kotin kawela wanim mata, o a kotin suk pasang kateng mata pan wanim akan.
136b110040	Me pweipwei kan pan kalokolokki al en ar katiwo o ar sapung kan.
136b120046	Kaped arail kin suedeki song en manga karos, o re lel ong kailan mela.
136b130055	Rap weriwer wong Ieowa ni ar apwal akan, i ap kotin dore ir ala sang katoutou parail.
136b140063	A kotin kadarado sapwilim a masan, o kotin kamaur irail da, o kotin sauasa ir sang nan ar por akan.
136b150047	Ren kapinga Ieowa pweki a kalangan o pweki a dodok mau ong aramas akan.
136b16004a	O ren mairongki mairong en kaping o kasokasoia duen a wiawia kan ki peren!
136b17004c	Me kin mi pon madau o dake sop akan, o me kin netinet pon pil kalaimun akan,
136b180049	Irail pukat kin kilekilang wiawian Ieowa kan, o a manaman akan nan madau.
136b19003f	A kotin masan eta, melimel ap wiaui, me kin kalaudela iluk kan.
136b1a004d	Re kin koda ileile o kodi loledi, likamata kaped arail pei pasan ni ar masak.
136b1b0041	Re rarauk sili dueta me sakaular, o ar lolekong karos pan soredi.
136b1c0055	Rap weriwer wong Ieowa ni ar apwal akan, i ap kotin dore ir ala sang katoutou parail.
136b1d0034	A kotin kawuki ong mole melimel, iluk kan ap moledi.
136b1e0052	Rap peren kida, ma re pan moledi, o a kotin kalua ir nan kapitau me re inong iong.
136b1f004d	Ren kapinga Ieowa, pweki a kalangan, o pweki a dodok manaman ong aramas akan.
136b20004e	O ren kapinga i nan pokon en aramas, o ren kapinga i nan momod en saumas akan.
136b210048	A kotin kawuki ong sap tan pilap akan, o utun pil akan ong sap madekong.
136b220048	O sap kaselel eu wiala sap tan en sol, pweki dip en me kaukauson wasa o.
136b23003c	A kotin kawuki ong len pil sap tan, o sap sued ong utun pil.
136b240055	O a kotin mueid ong me men mangadar akan, en kaukauson wasa o, o re wiadar deu arail.
136b250042	O re kin wia sapasap o padukedi mat en wain, me kin wa ni a ansau.
136b260050	O a kotin kamau irail la, rap kin totolar, o a kotin kangederela arail man akan.
136b270041	O irail malaulaular o namenok kilar me sued, o sapai o luet akan.
136b280072	A kotin wudokidi ong saupeidi kan namenok, o mueid ong ir, ren sansalong sili nan sap tan, wasa me sota al mia ia.
136b290054	O a kotin pokada me samama o sang ni a luet, o katotolar kadaudok a dueta pwin akai.
136b2a0053	Me melel akan pan kilang, ap peren kida, o sapung kan karos pan kaku pena au arail.
136b2b004d	Me lolekong kan pan kasampwale ki mepukat, o re pan dedeki kalangan en Ieowa.
136c010056	MAING Kot, mongiong i kin moleilei; i men kakaul o kakauleki psalm akan, o pil ngen i.
136c020031	Koma arp o laute pirida! I pan paurida nin soran.
136c030069	I pan kapinga komui nan pung en kainok kan, Maing Ieowa, o i pan kaule kin komui nan pung en aramas akan.
136c040053	Pwe omui kalangan me laud, ileila sang nanlang, o omui melel lelada wong tapok kan.
136c050045	Re kotida ponangin nanlang, Maing Kot, o omui lingan en kipadi sappa.
136c060058	Pwe kompoke pamui kan en saladokala; kom kotin sauasaki pali maun ar, o kotin ereki kit.
136c07006b	Kot kotin masanier nan sapwilim a mol saraui, i me i peren kida; i pan nek pasang Sikem o sosong sap Sukot.
136c080048	Kilead o Manase iei sap ai; ngai kin kaunda Epraim; a Iuda iei ai sokon.
136c09004c	Moap iei ai dal en dudu; i kin tiakedi Edom; i pan ngisingisiki men Pilista.
136c0a0046	Is me pan kalua ia nan kanim tengeteng eu? Is me pan iang ia lel Edom?
136c0b0051	Kaidin komui ai Kot? Komui me kase kit ala, o sota iang at karis akan. Maing Kot.
136c0c004b	Kom kotin ieiang kit ni at apwal akan, pwe en aramas ar sauasa sota katepa.
136c0d005a	Iangaki at Kot kit pan kapwaiada dodok manaman akan. A pan kotin tiakedi at imwintiti kan.
136d01003a	MAING Kot, me i kin kapikapinga, kom der kotin sapaimokid!
136d02005a	Pwe au en me doo sang Kot, o me kin kotaue sara dong ia, re lokelokaia ong ia ki lo likam;
136d03003c	Re lokaia sued ong ia wasa karos, o pei ong ia ni so karepa.
136d040044	Ni ai pok ong ir, re kin imwintiti ong ia; a ngai kin poten kapakap.
136d050047	Irail depukki ai me mau me sued, o re kin tata kin ia ni ai pok ong ir.
136d060062	Kotin kasapwiladang i me doo sang Kot amen, pwen a saunkapung o me palian i, en mi ni pali maun a.
136d070043	Ma a pan pakasau, a pan pakadeikada, o pil a kapakap en kadipala i.
136d080031	A ran akan en malaulaula, o a koa en ko ong amen.
136d090031	Na seri kan en sapoupou, o a paud en li odi amen.
136d0a0066	Na seri kan en sansarwaru sili o wia poekipoek, o ren rapaki kan ar manga, doo sang nan moan im arail.
136d0b0052	Me norok moni en pitia sang i a meakaros, o men wai en kulia sang i a dipisou kan.
136d0c0040	O sota me pan kadek ong i, o sota me pan sauasa na sapoupou kan.
136d0d0041	Kadaudok a en kokoka sang; o mar arail en niki sang nin di kaieu.
136d0e0044	Sapung en sam a ko en sansal mon Ieowa, o dip en in a ender lapwada.
136d0f0054	Ieowa en kotin masamasan irail ansau karos, o kataman parail en niki sang nin sappa.
136d100057	Pweki a sota man kadek, pwe a pakipaki me luet o samama, o me insensued, pwen kamela i.
136d110056	O a inong iong en riala; ari, en lel ong! O a sota insenoki kapai, ari, en doo sang i!
136d120063	A kapwateki me sued dueta a likau, ari, me sued en kolong lole dueta pil o nan kokon akan dueta le.
136d13005d	Me sued en rasong a likau pup, me a kin likauwiada, o rasong men pirapir me a kin pirapireki.
136d14004d	Iduen Ieowa pan kotin pwain ong me palian ia, o me kin lokaia sued duen ngai.
136d150065	A komui, Maing Ieowa ai Kot kotin wiawia ia, pweki mar omui; pwe omui kalangan kasampwal, dore ia la!
136d160031	Pwe ngai me luet o samama, o nan mongiong i olar.
136d170041	I kin tangwei dueta mota, o i pan kamasak wei dueta mansiek amen.
136d180036	Nä i kat luete kilar kaisesol, o uduk ai tikitikilar;
136d190045	O i wialar men lalaue re ’rail; ni ar kilang ia, re kin dueduälok!
136d1a003d	Maing Ieowa, ai Kot, kom kotin dore ia la duen omui kalangan!
136d1b0050	Pwe ren asa, mepukat tapi sang ni lim omui, me komui Ieowa kotin wiadar mepukat.
136d1c0071	Menda, ma re lalaue, kom kotin kapai ia da. Ma re palian ia, ren namenokala, pwe sapwilim omui ladu en pereperen.
136d1d0062	Re kotin wiai ong ai imwintiti, ren likau kida namenok, o ren puriong nan me sued dueta likau pup.
136d1e0048	I pan danke Ieowa melel ni au ai, o i pan kapinga i nan pung en me toto.
136d1f005a	Pwe a kotikot ni pali maun en me samama, pwen dorela i sang ir, me kadeikada i, en kamela.
136e010068	IEOWA kotin masani ong ai Kaun, mondi ong ni pali maun i, lao I pan wia kida om imwintiti utipan nä om.
136e020060	Ieowa pan kotin kadarado sokon en wei omui sang nan Sion; kakaun nan pung en omui imwintiti kan.
136e0300a5	Murin omui poedier, sapwilim omui kan pan pereperen, wia mairong ong komui ni ar kapwat saraui. Sapwilim omui seri kan pan ipwidi ong komui dueta poik en ni mansang.
136e040058	Ieowa kotin kaula, o a sota pan kalula: Komui samero soutuk amen, duen al en Melkisedek.
136e05004d	Kaun o kotikot ni pali maun om a pan kamela nanmarki kan ni ran en a ongiong.
136e060080	A pan kotin kaunda nan pung en men liki kan, a pan kadir kila kalep akan wasa karos, a kotin palang pasang tapwi en wei lapalap.
136e070037	A pan nima sang pil ni kailan al, i me a pan sara kida.
136f010053	I PAN kapinga Ieowa sang nan mongiong i nan pung en me lelapok kan o nan momodisou.
136f02003c	Meid laud wiawian Ieowa kan, ir me insenoki, pan dedeki due.
136f03003e	A wiawia kan me pung o lingan, o a pung pan duedueta kokolata.
136f04003e	A manaman akan men kataman eu. Ieowa me dir en mak o kalangan.
136f050047	A kotin kamanga ir, me masak i, a kin kolekol sapwilim a inau kokolata.
136f06006b	A kotin kasansale ong sapwilim a aramas akan mana en a wiawia kan, pwen kotiki ong ir soso en men liki kan.
136f070048	Dodok en lim a kan me melel o pung; sapwilim a masan kan karos me melel.
136f080037	Re pan duedueta kokolata, o re wiauier ni melel o pung.
136f09006f	A kotiki ong sapwilim a kan saunkamaur, o a kupureda, me a inau pan duedueta kokolata; mar a me saraui o kalom.
136f0a0062	Masak Ieowa iei tapin pan lolekong; irail meid pai, me kin wia due met, pwe a pai pan potopot eta.
137001003f	MEID pai ol o me masak Ieowa, me kin peren kida a kusoned akan.
1370020044	Kadaudok a pan kelail nan sap o; kainok en me melel akan pan pwaida.
1370030038	Im a pan dir en dipisou melel; o a pung pan potopot eta.
1370040058	Marain kin daka dang me melel akan nan wasa rotorot; a kin dir en mak o kalangan o pung.
137005004d	Meid pai ol o me kalangan, o kin kisakisa wei; a pan pwaida ni ansaun kadeik.
1370060048	Pwe a sota pan luetala kokolata; me pung amen iei men kataman soutuk eu.
1370070049	A sota pan masak rong sued; mongiong i me kelail ni a kaporoporeki Ieowa.
137008004d	Mongiong i me kelail, a sota kin masak, lao a pan peren kida a imwintiti kan.
1370090061	A kin kamoredi o kisakis ong me samama kan; a pung pan potopot eta; os a pan kokoda o indand mau.
13700a0079	Me doo sang Kot pan kilang ap makara kida; a pan teterokki ngi a kan ap soredi; inong en me doo sang Kot akan pan nikila.
1371010028	KOMAIL ladun Ieowa kapinga mar en Ieowa!
1371020030	Mar en Ieowa en pakapingala sang met o kokolata!
137103005c	Mar en Ieowa en pakapingala sang wasan katipin a dakada ia lel wong wasa me a kin kirila ia!
1371040046	Ieowa me ileila sang men liki kan karos, a lingan mi ponangin nanlang.
1371050040	Is me rasong Ieowa atail Kot, me kotikot pon mol a ileile melel?
1371060034	Me kotin irerong me tikitik kan nanlang o nin sappa?
1371070051	Me kotin kasapwilada me tikikit o sang nan pwel par, o sang nan pwel me samama o,
137108004d	Pwen kamondi i ren me lapalap akan, ren me lapalap en sapwilim a aramas akan;
1371090050	Me kotin sauasa li dapwan men, pwen wiala en ol oko ar nono peren amen. Aleluia!
1372010047	Ni ansau men Israel lipa sang Äkipten, kadaudok en Iakop sang nan wai,
137202004a	I ansau men Iuda wiala sapwilim a saraui kan, o men Israel sapwilim a wei.
1372030032	Madau kilanger, ap tangwei, o Iordan pal pasanger;
137204003c	Nana kan lusilus dueta sip ol, o dol akan dueta sippul akan.
1372050044	Madau, da me koe tangweier ki? Koe Iordan, da me koe palki pasanger?
137206005a	Komail nana kan, da me komail lusiluski dueta sip ol, o komail dol akan dueta sippul akan?
1372070030	Sappa, koe en rerer mon Ieowa, mon Kot en Iakop,
137208003c	Me kotin kawuki ong len pil paip o, o kantakai ong utun pil.
137301005d	KAIDIN kit Ieowa, kaidin kit, pwe mar omui, kom kotiki ong waui, pweki omui kalangan o melel!
1373020029	Menda men liki kan en inda: Ia arail Kot?
137303003e	Atail Kot kotikot nanlang, a kak kotin wia karos, me a kupura.
1373040051	Arail dikedik en ani kan, me wia kidar silper de kold, iei dodok en pa en aramas.
137305004c	Au arail mia, ap sasa lokaia, por en mas arail mia, ap sota kak kilang wasa;
1373060045	Salong arail mia, ap sota rong wasa; tum arail mia, ap sota ned wasa;
137307006f	Pa arail mia, ap sota kak koledi meakot; nä arail mia, ap sota kak alu; re sota kak lokaiaki kaping wor arail.
1373080043	Me kin wiada pukat, me dueta irail, o pil karos, me kin liki irail.
1373090030	A koe Israel, liki Ieowa; i sauas o pere parail.
13730a003c	Komail, kadaudok en Aron, liki Ieowa, i sauas o pere parail.
13730b003e	Komail, me kin masak Ieowa, liki Ieowa, i sauas o pere parail.
13730c007e	Ieowa kotin kupura kitail er, o a pan kotin kapai kitail la; a pan kotin kapaida kadaudok en Israel, kapaida kadaudok en Aron;
13730d003f	A pan kotin kapaida, me masak Ieowa, me tikitik o me laud akan.
13730e0048	Ieowa en kotin kapai komail da kokolata, pein komail o noumail seri kan!
13730f003e	Komail me kapaidar ren Ieowa, me kotin kapikadar lang o sappa.
1373100041	Lang me sapwilim en Ieowa, a sappa me a kotiki onger aramas akan.
137311004a	Me melar akan solar pan kapinga Ieowa, pil karos, me kodi wasan kaporemen;
1373120038	A kitail pan kapinga Ieowa sang met o kokolata. Aleluia!
137401003e	I KIN pok ong Ieowa, pwe a kotin ereki ngil ai o ai ngidingid.
137402004c	Pwe a kotin kapaike dong ia karong a, i me i pan likwir wong i arain maur i.
1374030058	Sal en mela sali ia dier, o kamasak en pased lel ong ia, i lel onger kalokolok o mamauk.
1374040044	I ap likwir wong mar en Ieowa: Maing Ieowa, kom kotin dorela maur i!
137405003b	Ieowa me dir en mak o pung, o atail Kot me dir en kalangan.
1374060050	Ieowa kin kotin apapwali me opampap akan; ngai luetalar, i ap kotin dore ia lar.
137407003a	Ngen i pur ong om moleilei, pwe Ieowa kotin sauasa uk mau.
137408006a	Pwe kom me kotin dorelar maur i sang nan mela, o por en mas ai sang sangesang, o nä i sang a pan krisedi.
137409002f	I pan weweid mon Ieowa nan sap en me maur akan.
13740a0039	I liki, o i karepen ai padapadak; a i kin kalokolok laud.
13740b0031	I indinda ni ai insensued: Aramas karos me likam!
13740c0030	Iaduen i pan kak depuk ong Ieowa a kapai ia kan?
13740d0033	I pan ale dal en kamaur, o likwir ong mar en Ieowa.
13740e0047	I pan kapwai ong Ieowa ai inau sansal mon sapwilim a aramas akan karos.
13740f0036	Meid kasampwal ren Ieowa melan sapwilim a lelapok kan.
137410007a	O Maing Ieowa, ngai sapwilim omui ladu men, ngai sapwilim omui ladu, nain omui lidu; kom kotin kamueit pasang ai sal akan.
137411003b	I pan mairongki ong komui danke, o likwir ong mar en Ieowa.
1374120047	I pan kapwai ong Ieowa ai inau sansal mon sapwilim a aramas akan karos,
1374130044	Mon pera en tanpas omui im saraui, nan warong en Ierusalem. Aleluia!
137501003b	MEN liki kan karos kapinga Ieowa! O kainok karos kapinga i!
1375020055	Pwe a kalangan me sansal melel ong kitail, o melel en Ieowa pan potopot eta. Aleluia!
137601003a	DANKE Ieowa, pwe i me mau, pwe a kalangan pan potopot eta.
137602002e	Israel en indinda: A kalangan pan potopot eta.
1376030038	Kadaudok en Aron en indinda: A kalangan pan potopot eta.
1376040036	Me masak Kot akan en inda: A kalangan pan potopot eta.
1376050062	Ni ai apwal akan i likwir wong Ieowa; Ieowa kotin mangi ia er o kotin kasone ia dier wasa saledok.
137606004f	Ieowa kin kotin ieiang ia, i sota pan masak, da me aramas akan kak wiai ong ia?
137607005a	Ieowa kin kotin ieiang ia nan pung en me sauasa ia, o i pan peren kida, me kailong kin ia.
1376080035	Me mau, en liki Ieowa, sang kaporoporeki aramas akan.
1376090035	Me mau en liki Ieowa, sang kaporoporeki saupeidi kan.
13760a0047	Men liki kan karos kapil ia penaer; a ni mar en Ieowa i kaloe ir edier.
13760b0049	Re kapil ia penaer wasa karos, a ni mar en Ieowa i pan kaloe irail edier.
13760c0071	Re kapil ia penaer dueta longlap akan, a re kunlar dueta kinsiniai nan tuka; ni mar en Ieowa i kaloe irail edier.
13760d0037	Re woki ia, pwe i en pupedi, a Ieowa kotin sauasa iaer.
13760e003d	Ieowa iei ai kel o ai kaul, o i me kotin wiala ai saunkamaur.
13760f006d	Kaul en kaperen o kamaur kin wiaui nan im en me pung kan, lim en Ieowa pali maun kin kapwaiada dodok manaman.
137610004d	Pali maun en Ieowa me ileile, pali maun en Ieowa kin kapwaiada dodok manaman.
137611003c	I sota pan mela, pwe memaur eta o padaki duen wiawian Ieowa.
1376120039	Ieowa kotin kaloke ia laud, ap sota mueid ong, i en mela.
1376130057	Komail ritingadang ia wanim en pung, pwe i wasa me i pan pedelong ia, pwen danke Ieowa.
1376140035	Iet wanim en Ieowa, wasa me pung kan pan pedelong ia.
137615003c	I danke komui, pwe kom kotin erekier ai kapakap o sauasa ia.
1376160036	Takai o me pwin sause kaselar, wialar takain pukakaim.
137617003a	Mepukat wiauier sang ren Ieowa, meid kapuriamui ni mas at!
1376180041	Iet ran o, me Ieowa kotin wiadar, kitail en popol o peren kida i.
1376190044	O Maing Ieowa, kom kotin sauasa! O Maing Ieowa, kom kotin kapwaiada!
13761a005c	Meid kapingan me kotido ni mar en Ieowa! Kit kapai komail da, me kisan toun tanpas en Ieowa.
13761b0058	Ieowa iei Kot, o i me kotin kamarain kitail er; saliedi men mairong ni os en pei saraui!
13761c0043	Komui ai Kot, o i pan danke komui; ai Kot, i pan kalinganada komui.
13761d003a	Danke Ieowa, pwe i me mau, pwe a kalangan pan potopot eta.
137701004e	RE meid pai, me sota kin sapung ni al arail, me kin weweid ni kapung en Ieowa!
1377020053	Re meid pai, me kin kolekol a kadede akan, me kin rapaki i sang nan mongiong arail!
1377030030	Me sota kin wia me sued, a weweid nan a al akan.
137704004b	Pein komui kotikidar sapwilim omui kusoned akan, pwe sen porisok kapwaiada.
137705003a	O ma al ai kan inen wei, pwen kapwaiada omui kusoned akan,
137706004a	I ap sota pan sarodi, ni ai pan apapwali sapwilim omui kusoned akan karos.
137707005b	I danke komui sang nan mongiong i melel, pwe kom kotin padaki dong ia duen omui masan pung.
1377080041	I pan kanai ong sapwilim omui kusoned akan, kom der likidmaliela.
1377090055	Iaduen, manakap amen pan kak weweid ni makelekel? Ma a pan wiawia duen ar masan akan.
13770a006a	I raparapa kin komui sang nan mongiong i; kom der kotin mueid ong, i en pup wei sang ni omui kusoned akan.
13770b0043	I kolekol omui masan nan mongiong i, pwe i ender wia dip ong komui.
13770c0050	Kaping en ko ong komui, Maing Ieowa! Kom kotin padaki dong ia omui kusoned akan.
13770d0037	I kasokasoi ki au ai duen kusoned en silang omui karos.
13770e003b	I kin peren kita al en omui kadede kan, dueta dipisou toto.
13770f0042	I pan madamadaua duen omui kusoned akan, o kanai ong omui al akan.
1377100048	I kin peren kida omui kusoned akan, i sota pan monokela omui masan akan.
137711005d	Kom kotin kamauiada sapwilim omui ladu, pwe i en memaur eta; i ap pan kapwaiada omui masan o.
1377120057	Kom kotin kapad pasang mas ai, pwe i en kilang manaman akan nan sapwilim omui kapung o.
137713004e	Ngai men kairu men nin sappa; kom der kotin karir sang mo i omui kusoned akan.
137714003a	Ngen i okilar ai inong iong omui kusoned akan ansau karos.
1377150054	Kom kotin ongiongi me aklapalap o, me pan wuki wei sang omui kusoned akan, en riala.
137716004e	Kom kotin katoror sang ia namenok o me sued; pwe i kin apapwali ar kadede kan.
1377170068	Pil saupeidi kan kin momod pena, kaokao ad ai; sapwilim omui ladu kin madamadaua duen omui kusoned akan.
137718003e	Melel, i kin peren kida omui kadede kan, pwe ir me sauas pa i.
1377190031	Ngen i onon nan pwel; kamanga ia duen omui masan.
13771a0065	I potoan ong komui duen al ai kan, komui ap kotin mangi ia er; kotin padaki ong ia omui kusoned akan.
13771b0068	Kom kotin padaki ong ia duen al en sapwilim omui kusoned akan, i ap pan madamadaua duen ar manaman akan.
13771c004a	Mongiong i luet kilar ai insensued; kom kotin kamanga ia da duen ar masan.
13771d0040	Re kotin pera wei sang ia al en likam, o kotiki ong ia ar masan.
13771e003a	I piladar al en melel; i kin madamadaua duen omui kusoned.
13771f0053	I kin tengeti ong omui kadede kan; Maing Ieowa, kom der mueid ong, i en namenokala.
1377200052	Ma kom pan kotin kamaitala mongiong i, i pan tang wei nan al en omui kusoned akan.
137721005d	Maing Ieowa, kom kotin kawewe ong ia al en omui kusoned akan, pwe i en apapwali lao lel imwi.
1377220052	Kotin padaki ong ia, pwe i en kolekol omui kapung o peiki ong sang nan mongiong i.
1377230040	Kalua ia nan al en omui kusoned akan, pwe i kin peren kin irail.
1377240039	Kainongiong mongiong i omui kadede kan, a der norok moni.
1377250052	Pirer wei mas ai, pwen der kilang me sued kot; a re kotin kakel ia da pon al omui.
137726003f	Kolekol omui inau ong sapwilim omui ladu, pwe i en masak komui.
1377270043	Kotiki sang ia namenok, me i suedeki; pwe omui kusoned akan me mau.
1377280045	Kotin mangi, i kin inong iong ar masan akan; kakele kin ia omui pung.
1377290045	Maing Ieowa, kom kotin maki ong ia, o kotin sauasa ia duen omui inau.
13772a0045	Pwe i en asa, sapeng ir, me mamale kin ia, pwe i kin liki omui masan.
13772b0056	O kom der kotiki sang au ai masan en omui melel; pwe i kaporoporeki omui kusoned akan.
13772c0031	I pan kolekol omui kapung o ansau karos kokolata.
13772d0046	I pan weweid ni peren, pwe i raparapaki omui kusoned akan ansau karos.
13772e0049	O i pan kasokasoi ong nanmarki kan duen omui kadede kan, ap sota namenok.
13772f003b	Pwe i kin peren kida omui kusoned akan, o i kin pok ong ir.
1377300063	I kin pokadang pa i kat omui kusoned akan, me i pok ong, o i pan madamadaua duen omui kusoned akan.
