2800000007	MATHIƠ
290d1c0080	Tamàng rai hŏc bàu alìah trùh long pŏc: Jò hamenh haq bu plôh hamŏng loh ramot, aih pì loq khoe ten trùh jò padrang.
290d1d0078	Hanoh qmang aih diq, jò pì hnoq ƀài yiniq aih trùh, pì loq, Kon Mangai trùh khoe haten, haq oe ajang trong qmang.
290d1e0051	Joq qnàng au doe ka pì: caxi noe kô ùh hnhung adroe ka ƀài yiniq aih trùh.
290d1f0045	Plình crŏng taneh kô èh hnhung, mahaq bàu au ùh jò leq hnhung.
290d20007a	Mahaq hì mang jò aih, ùh i cabô loq, yac ka ƀình plình oe ta plình, yac ka Kon, moeq ngai cla Baq raq ma loq dèh.
290d210062	Thê pì wèq ra đeh, pì hmàng hamang oq, majah qmang aih pì ùh qnì jò leq yiniq aih trùh.
290d220099	Yiniq aih tìah ka moeq ngai lam hangai, Haq cađac dèh hnim, thê deh ƀài hapŏng broq moeq ngai moeq yiniq, haq hanoh i thê mangai rìu gòm qmang.
290d230097	Qmang aih, pì ep rìu gòm, majah qmang aih pì ùh loq cla wì craq hnim hlài jò leq, jò mahì wìh, jò qne mang, jò ia rŏng, loq jò bu qngah,
290d240044	beq rayeq cla wì craq hlài hlaiq, glàm jò pì qnang oe raq kùi.
290d250050	Bàu au anoe ka pì kô, au hadai anoe ka bàc ngai qnoeq: Hmàng hamang oq!”.
290e0100c1	Baiq hì adroe ka hì ramènh pan cwa xam ramènh acaq ƀênh ùh wàt blo, ƀài pajàu kàn xam ƀài mangai hnài ranenh hatình ka dabau chaq trong rùp Chuaq Jesus ka hlèp hu jêh cađac.
290e02005b	Wì doe: ùh khòh broq yiniq kô ta hì ramènh, yùq ka phù cròng loq loh ka tagruàng.
290e03011d	Jò Chuaq Jesus oe ta plài Bêthani, ta hnim Simôn, mangai bacùn, haq qnang hangai acaq, i moeq ngai gucadrì trùh, tì haq wê moeq toq cabi broq xam hmo ngŏc, enh dalam tah bình dàu xua thùm canaq bac, haq tùq padah cabi dàu aih, èh ùc dàu xua thùm ta gàu Chuaq Jesus.
290e040060	I biaq ngai ta aih nòeh ka haq, wì anoe ka dabau: Hagleq maloq racaih ka dàu canaq qmang meh?
290e05008b	Tech dàu qmat jah loe piq hrinh đoniê, yŏc bac aih ajoq jah am ka mangai pa? Khoe ka aih wì tapoch ka mangai gucadrì aih oe loh cleq.
290e060075	Mahaq Chuaq Jesus doe ka wì: “Apaq troq haq, hagleq pì ma tapoch ka haq? Haq qmat khoe broq moeq yiniq lem ka au.
290e070094	Majah qmang aih yac ka jò leq dua i mangai pa oe dudan ka pì, pì enh broq trong lem ka wì aih jò leq ma ùh jah, mahaq au ùh i oe yôt ti pì.
290e080072	Mangai gucadrì kô khoe broq trong haq jah broq. Haq xùt dàu ta chac au adroe đòeq hu padon catùh hanang au.
290e0900a8	Joq qnàng au doe ka pì: Dìq ka crŏng taneh kô, waq toq nòe leq Bàu Lem jah hnài, trong haq ma khoe broq kô èh hadai jah ràu qnoh, đòeq hu hmàng trùh haq.
290e0a008b	Taqne wì moeq jàt baiq ngai, i moe ngai yiniq haq Juda Icariôt, lam trùh ta ƀài mangai pajàu kàn đòeq hu tech Chuaq Jesus ka wì.
290e0b0097	Tàng bàu aih wì aih dìq jaq manè, wì tèu bàu am ka haq ƀac. Pang aih Juda rap gòm toq jò leq bu taqnàih, haq hi rùp Chuaq Jesus am ka wì.
290e0c00c1	Hì baxèm da ramènh kaq ƀênh ùh wàt blo, aih hì jêh kon trìu broq tadreo ka ramènh Pan cwa, ƀài mangai tiaq hŏc bòch haq: Ìh enh nhèn lam padon ka ìh kaq ramènh Pan cwa taleq?
290e0d0083	Haq thê baiq ngai tiaq hŏc lam, haq tanap: “Mùt ta plài qmat, chôp hnoq moeq ngai qnang kôi abôq diac, chôp tiaq haq aih.
290e0e0097	Haq aih mùt hnim leq, chôp doe ka cla wì craq hnim aih: Mangai hnài bòch: “Aleq nòe aniang au hu acaq ramènh Pan cwa dèh ti mangai tiaq hŏc?
290e0f007c	Haq aih hi patô ka chôp nòe aniang anòh oe enh qnhèq, rìm yiniq ta aih khoe palauq qmòe. Padon ka bèn ta aih èh.”
290e100073	Wa mangai tiaq hŏc hi lam, wa mùt ta plài, glàm tìah ka bàu troeq bàu Haq thê, wa hi padon ramèng Pan cwa.
290e110038	Xèq aih, Jesus sam ƀài mangai tiaq hŏc trùh ta aih.
290e1200a3	Jò dìq dŏng wì haq qnang hangui acaq, Haq doe “Au anoe joq qnàng ka pì, i moeq ngai oe taqne pì kô, haq acaq moeq qmang ka au mahaq haq blòq đac au.”
290e13005d	Ƀài mangai tiaq hŏc mangò pi cajaq, khoe ka maleq trùh maleq, wì bòch haq: A hìaq au?
290e14006e	Chuaq Jesus doe: “Moeq ngai oe taqne pì moeq jàt baiq ngai, mangai ma chùq bênh pajùm ti au ta doe kô.
290e1500a4	Majah qmang aih Kon mangai kô èh loh lam, tìah ka bàu khoe achìh ka haq, mahaq haƀo ka mangai ma blòq haq, apaq ha-uang qnoh haq aih xan ka ùh hnau hòm”.
290e160098	Jò qnang acaq, Chuaq Jesus yŏc ƀênh, manè apôi, khoe aih haq goh, qnèp dèh ka ƀài mangai tiaq hŏc, rai doe: “Drah yŏc beq, kô chac au.”
290e17006d	Haq rùp doe chrŏng, manè apôi, khoe èh am dèh ka ƀài mangai tiaq hŏc, maleq diq ôq enh chrŏng aih.
290e18004e	Haq doe ka wì: “Kô mahim au, mahim da kan tajao dahrôq qnoh ka bàc ngai.
290e190074	Au anoe joq qnàng ka pì, au pi ôq plì diac nho kô hòm, trùh hì au ôq plì nho niu oe ta diac Boc Plình.”
290e1a005d	Jò khoe calêu hset hadròeh, Chuaq Jesus xam ƀài mangai tiaq hŏc lam tŏc ta wang Ôliu.
290e1b00a5	Chuaq Jesus doe ka mangai tiaq hŏc: “Dìq ka pì tacro dŏng, majah qmang aih i bàu khoe achìh: Au hi jêh cla mangai ban trìu, trìu haq hi paclac dìq dŏng.
290e1c0044	Mahaq jò au rìh hlài èh, au lam trùh ta Galili adroe ka pì.”
290e1d0047	Phiero haq doe qmòe: Yac ka dìq dŏng rìm ngai tacro, au dua ma ùh.
290e1e009e	Chuaq Jesus padreo bàu: “Joq qnàng au anoe ka ìh, hì kô, qmang kô raq, adroe ka ia rŏng baiq yàng, ìh khoe piq yàng hangah đeh ùh qnì ka au.”
290e1f0092	Mahaq dua Phiero doe: Yac ka au ep cachìt ti ìh, dua au ùh hangah đeh ùh qnì ka ìh. Dìq dŏng ka wì qnoeq hadai anoe moeq bàu qmang aih.
290e200099	Khoe aih, wì lam trùh moeq nòe, ta aih wì creo Gêtsemane, Chuaq Jesus doe ka ƀài mangai tiaq hŏc: “Pì hangui ajang kô, gòm au waiq khàn.”
290e210053	Haq qnung Phiero, Jaco, xam Jon tiaq haq, aih èh Haq hi loh ka cadròt rai mangò.
290e22006d	Haq doe ka wì piq ngai: “Mahua yiang au mangò haraya trùh cachìt, pì oe tacô, hmàng rìu gòm oq.”
290e23008a	Khoe èh, Haq lam yeo hangai toq ƀiaq, bla op rađeh ta taneh rai waiq khàn rameh tàng jah, dôq jò kô cwa đac dŏng khoe ka rađeh.
290e2400ad	Haq creo: “Aba, waiq Baq, rìm yiniq Ìh broq jah dìq dŏng, au waiq Ìh dèch đac doe chrŏng kô ma khoe ka au, mahaq apaq tiaq manoh au enh, tiaq manoh Baq ma enh.”
290e25007e	Khoe aih, Haq wìh hlài, hnoq piq ngai khoe kùi, haq doe ka Phiero: “Simôn, ìh kùi qmòh! Moeq jò ìh rìu ma ùh jah?
290e260077	Rìu rai waiq khàn beq, dôq pì ùh hìaq taclìh ta kan padô aluàn, manoh aih enh raya mahaq chac aih ùh nèn”.
290e270032	Haq lam hòm, rai waiq khàn qmang ka yàng adroe.
290e28008d	Haq tawìh hlài, hnoq mangai tiaq hŏc oe raq kùi, majah qmang aih mat wì haq pi jah tablèch qmòe, wì loh ka pi qnì tèu haq mang leq.
290e2900c7	Haq tawìh hlài yàng piq, doe ka ƀài mangai tiaq hŏc: “Manòeq kô pì oe raq kùi rai padài qmòh! Hêq, kô khoe trùh jò, Kon Mangai oe toq ma hì mùt ta tì kŏng ƀài mangai broq dù.
290e2a0037	Yòng beq! Hatau, mangai ma blòq au trùh khoe ten”.
290e2b00fd	Haq oe raq anoe, tajòe qmòe, Juđa mangai ma hadai oe ti wì moeq jàt baiq ngai tiaq cla khoe trùh, lam moeq qmang ti haq i bàc ngai wê chang xam ƀài long dùi, wì aih trùh enh nòe ƀài pajàu kàn, ƀài mangai hnài ranenh, enh wì gucraq.
290e2c007a	Mangai ma blòq Chuaq Jesus, khoe tanap ka wì qmang kô: Au hìp mangai leq, mangai aih raq, pì rùp qnung ma rabiaq oq.
290e2d0068	Qmang aih, jò bu trùh Juda thia ka haten ka Chuaq Jesus, haq doe: Rabi! khoe aih haq hìp Chuaq Jesus.
290e2e001c	Wì aih hi rùp Chuaq Jesus.
290e2f006b	I mòeq ngai oe ten aih, dot qnoh pla chang yôh, jêh hapŏng pajàu kàn, koh taclìh hla don mangai aih.
290e30005d	Chuaq Jesus tapoch ka wì: “Pì wê chang wê long dùi lam rùp au tìah ka mangai atùng.
290e310091	Rìm hì au oe taqne pì, hnài ta nòe hnim kùh waiq, gleq pì ùh rùp au? Mahaq yiniq kô loh qmang kô đòeq xìt ka bàu Hset hadròeh”.
290e320035	Jò aih rìm ngai khoe cadàu amot, cađac dŏng haq.
290e330066	I mòeq ngai radam lam tiaq Chuaq Jesus, haq taqmàn rađeh xi moeq blah mù briang, jò wì rùp haq.
290e340036	Haq cađac hloe dèh mù briang, cadàu qmòe rahòng.
290e35009f	Wì aràng Chuaq Jesus trùh nòe pajàu haqnhèq, ƀài mangai pajàu kàn i dìq ta aih, ƀài gucraq, ƀài mangai hnài ranenh hadai tagop ti dabau ta aih.
290e3600a3	Phiero tiaq Chuaq Jesus, haq ti tayoe enh hangai, trùh tanòe hamlang hnim pajàu haqnhèq. Haq hangui ti ƀài mangai lình rai qnhìa ùnh pajùm ti wì ta aih.
290e37008f	Ƀài pajàu kàn, xam dìq ka craq hadrah wiang chaq trong hu tablêq ka Chuaq Jesus, đòeq hu jah jêh đac haq, mahaq wì haq chaq ùh loh.
290e380058	Bàc ngai wiang yòng tapoch qmùt ka haq, mahaq bàu wì aih tapoch ùh tacap ka dabau.
290e390033	Atìq ka aih i ƀiaq ngai yòng tapoch dech ka haq:
290e3a00ca	wì doe: Nhèn i tàng haq doe: Kô èh au raliang cađac hnim kùh waiq tì kŏng kon mangai ma khoe broq kô, khoe aih piq hì au broq ònh hnim kùh waiq qnoe, ùh xài broq xam tì kŏng kon mangai.
290e3b0037	Mahaq bàu kô, dua wì haq tapoch ùh hatroq ka dabau.
290e3c0091	Khoe aih, pajàu haqnhèq yòng enh ngìa wì aih, haq bòch Chuaq Jesus: Ìh ùh tèu hlài moeq nà bàu cleq trong wì ma tapoch ka ìh qmòh?
290e3d0096	Mahaq Chuaq Jesus oe hatinh, ùh tèu mòeq nà bàu. Mangai pajàu haqnhèq bòch hòm: Ìh qmat Christ, kon Boc Plình ma khòh manè apôi joq ùh?
290e3e00c0	Chuaq Jesus padreo bàu: “Joq Au raq! atìq èh pì hi hnoq Kon Mangai hangui apah qma ka Boc Plình dìq jaq haqnhèq i cwìang itai, hangui taqne yùc plình đòeq loh ta crŏng taneh”.
290e3f005b	Jò aih, mangai pajàu haqnhèq hic dèh eo rai doe: Bèn oe ep chaq dèh yiniq qnoeq hòm?
290e400073	Pì akhoe tàng bàu haq ùh hòq qmòe ka Boc Plình? Pì hèm qmang leq? Rìm ngai doe: Haq qmat troq ka cachìt.
290e41007c	I ngai cachôh ka Chuaq Jesus, srùp hadrò haq, rai tùc rai doe ka haq: Tapoch pajàu beq. Ƀài lình yŏc long tong haq.
290e420058	Phiero qnang hangui ta hamlang, i moeq ngai gucadrì hapŏng pajàu kàn trùh jang aih,
290e43007a	hnoq Phiero oe hangui qnhìa ùnh, haq chrìh ka haten khoe èh haq doe: Ìh hadai oe moeq qmang ti Jesus, mangai Naxaret.
290e44007e	Mahaq Phiero hangah: Au ùh qnì, hadai ùh loq tàng ìh anoe cleq. Khoe aih haq yòng loh enh gùng ka hamlang, ia hi rŏng.
290e45005d	Mangai hapŏng cadrì aih hnoq haq, doe hòm ka wì ta aih: Mangai kô hadai bua wì tau raq.
290e460097	Mahaq Phiero hangah hòm. Moeq ahyàc hòm, wì ma oe ta aih doe ka Phiero: Hi loq ka ìh moeq bua ti wì tau, majah qmang aih ìh hadai mangai Galili.
290e470046	Phiero hapah rai doe: Joq au ùh lòm canau ka mangai ìh ma anoe aih!
290e4800d7	Adrình hloe jò aih, ia hi rŏng yàng baiq, Phiero hmàng hlài ka bàu Chuaq Jesus khoe anoe adroe ka rađeh: Adroe ka ia rŏng baiq yàng, Ìh piq yàng hangah đeh ùh qnì ka au. Hèm ka bàu aih, haq toq moe.
290f0100a6	Bu qngah, ƀài pajàu kàn hatình ti ƀài gucraq, ƀài mangai hnài ranenh xam dìq ka mangai oe ta hnim hadrah, jò khoe kàt wì hi qnung Chuaq trùh ka Philat.
290f020066	Philat bòch haq: Ìh kô raq bùa da mangai ùh xài? Chuaq Jeus tèu bàu: Wop qmang ka bàu aih.”
290f030034	Ƀài mangai pajàu kàn ta qmòq ka haq bàc trong.
290f04005f	Philat bòch hòm: Ìh ùh tèu moeq nà bàu cleq qmòh? Ngan! Wì ta qmòq ka ìh bàc trong!
290f05004d	Mahaq Chuaq Jesus dua pi tèu tam moeq bàu cleq hòm, Philat loh ka hamàih.
290f06007c	Khoe hmaq, rìm hanam trùh hì ramènh Pan cwa cwan caqnaih moeq ngai broq yiniq lui loh enh hnim tù, tiaq bàu wì bòch.
290f0700a3	Jò aih i moeq ngai yiniq haq Banaba, wì clêh pajùm ti ƀài mangai yòng tablêq ka chênh phù, majah qmang aih jò yòng tablêq, wì haq i jêh đac mangai.
290f080064	Mangai Juđa trùh, wì haq bòch Philat caqnaih ka wì haq moeq ngai qmang hmaq caqnaih rìm hanam.
290f09003d	Philat padreo bàu: Pì enh au caqnaih bùa Juđa ka pì ùh?
290f0a0063	Majah qmang aih Philat loq wì mangai pajàu kàn majah rùp Chuaq Jesus aih jao wì tajìq ka haq.
290f0b0054	Mahaq ƀài pajàu kàn basrùq mangai Juđa bòch Philat caqnaih Banaba ka wì haq.
290f0c0075	Philat bòch hòm: Tàng qmang aih manòeq kô pì enh au broq qmang cleq ka mangai pì ma doe haq Bùa mangai Juđa?
290f0d002f	Wì cajiah cadêh: Drah tiang haq talong pagat!
290f0e0081	Philat doe ka wì: Mahaq mangai kô khoe broq cleq ma dù? Kiang wì cachech cadêh ùh hnau hòm: Tiang đình haq talong pagat!
290f0f00a3	Philat enh broq lem ka manoh mangai Juđa, haq hi caqnaih Banaba, èh thê wì blai Chuaq Jesus, khoe aih dôq wì qnung Chuaq Jesus lam tiang đình talong pagat.
290f100079	Ƀài lình aràng Chuaq Jesus mùt ta blùang kàn, aih nòe đòeq hu hadrah, creo dìq ka lình ta aih tagop ti dabau.
290f110057	Wì paclùm ka haq moeq blah eo gòh, wì tênh moeq toq cadoh yila pacôi ta gàu haq,
290f12002b	wì tapoch ka Chuaq Jesus: Waiq bùa Juđa!
290f130070	Wì yŏc long dùi tong gàu haq, cachôh ka haq rai hacùn cràng kùh waiq haq, wì broq qmang aih bàc yàng.
290f140090	Khoe ka wì halê do ka haq qmang aih, wì lêh đac eo gòh, caxùnh hlài eo da cla haq, khoe aih aràng haq lam hu tiang đình talong pagat.
290f15008f	I mòeq ngai Siren, yiniq haq Simôn, baq da wa Alet-san-đo xam Ruphu, hlài enh ruàng, lam trong aih, wì rùp haq thê haq xùi long pagat.
290f160053	Wì qnung Chuaq Jesus trùh nòe go wì ma creo Gôgotha (bàu aih la cadôh gàu).
290f170050	Wì am ka haq ôq alac clai pajùm ka jan long xua thùm, mahaq haq ùh waq ôq.
290f180081	Khoe ka tiang đình Haq talong pagat, wì ta axong ka dabau eo yôh haq, wì pàih panàih đòeq ngan maleq jah waq yiniq cleq.
290f190035	Jò wì tiang đình haq, aih bu hachìn jò di sroq.
290f1a006c	Capiac long ban qyoh enh gàu long pagat, wì achìh bàu đòeq taqmòq yiniq lui ka haq: BÙA MANGAI JUDA.
290f1b00a8	I baiq ngai atùng wì hadai tiang đình wa aih ti haq, mòeq ngai talong pagat apah qma ka Haq, moeq ngai talong pagat apah qngeo ka haq. (I qnah hset noeq tam brong)
290f1c003e	“Qmang aih wì khoe alùh haq pajùm ka ƀài mangai dù.”
290f1d009b	Ƀài mangai lam pagat trong aih halê do haq, wì ngù ngìu gàu doe: Ùih! Ìh mangai doe đeh raliang cađac hnim kùh waiq, piq hì broq ònh hi gêh,
290f1e0029	doeh rađeh, loh enh long pagat qmat beq.
290f1f009c	Ƀài mangai pajàu kàn xam mangai hnài ranenh hadai ta anoe ka dabau qmang aih, wì halê haq qmang aih: Haq doeh mangai qnoeq mahaq doeh rađeh ùh jah!
290f20009a	Aleq! Christ bùa Isorali, loh enh long pagat qmat beq, dôq nhèn hnoq, aih èh nhèn hu lùi. Wa baiq mangai wì ma tiang đình ti haq hadai halê haq.
290f210049	I kan clam cluiq jàp dŏng gùng aih, enh qne hì trùh piq jò di xèq.
290f2200a9	Trùh piq jò di xèq, Chuaq Jesus creo bàu dêh: “Ê-lo-i, Ê-lo-i, lam-ma-sa-bat-ta-ni.” Bàu aih rameh: Boc Plình au, Boc Plình au. Hagleq Ìh majah cađac au?
290f230044	I wì ma yòng ta aih, wì doe: Tamàng aih, Haq qnang creo ka Êli.
290f2400a6	I mòeq ngai oe ta aih cadàu yŏc capaih chùq ta diac jòq, đòeq ajang goe long dèch am ka haq ôq rai doe: Dôq haq! Đòeq bèn ngan Êli i trùh doeh haq ùh?
290f250045	Mahaq Chuaq Jesus creo moeq nà bàu cadêh, khoe aih haq pat hihèm.
290f260046	Bai prình ta hnim kùh waiq dahic broq baiq enh qnhèq trùh ta qneq.
290f27006e	Cla craq ƀài lình oe tajang ka Chuaq Jesus, hnoq haq pat qmang aih, haq doe: Mangai kô joq Kon Boc Plình.
290f280081	I ƀài mangai gucadrì yòng ngan đeh enh hangai. Ta wì aih i Mari mađolen, Mari miq da wa Jaco qyoh xam Jôsep, xam Salomê.
290f290093	Aih piq ngai ma khoe tiaq patìh ka haq jò oe ta Galili, hanoh i bàc ngai gucadrì qnoeq hòm, aih ƀài mangai khoe tiaq haq tŏc ta Jêrusalem.
290f2a0047	Hì aih wop hì padon, hì adroe ka hì Sabat, jò trŏc khoe ten clam,
290f2b00dc	I mòeq ngai oe ta Arimathê, yiniq haq Jôsep mangai broq kàn tanòe ƀài mangai broq gàu Juda, haq aih hadai xan tangèh gòm diac Boc Plình. Haq pacraq dèh manoh thia ta Philat đòeq hu bòch hanang Chuaq Jesus.
290f2c0093	Philat hamàih haraya tàng doe Chuaq Jesus cachìt rênh qmang aih, haq creo ka mangai cwan ƀài lình hu bòch Chuaq Jesus cachìt a khoe dùnh.
290f2d004d	Bu tàng cla craq ƀài lình anoe, haq hi am Jôsep yŏc hanang Chuaq Jesus.
290f2e00f1	Jôsep khoe rot đòeq bai hu lòm hanang, qnoh hanang Chuaq Jesus loh enh long pagat, haq yŏc bai lòm chac Chuaq Jesus khoe aih đòeq ta ralùng hanang haq ma khoe pùng tanòe hmo kàn. Khoe èh, cadro hmo kàn padit ajang ngah ralùng.
290f2f0047	Mari mađolen, xam Mari miq Jôsê, hanoh hnoq nòe catùh Chuaq Jesus.
2910010076	Bu khoe ka hì Sabat, Mari mađolen, Mari miq da Jaco, xam Salomê, rot dàu xua thùm lam hu qnheo hanang Chuaq Jesu.
2910020052	Hì gàu tuàng, sroeh sroq jò mat mahì butŏc, wì piq ngai aih lam ta ralùng,
2910030054	wì rai tanoe ka dabau: Cabô ma cadro hmo padit ajang ngah ralùng ka bèn kô èh?
291004003f	Jò wì haq ngan, hnoq hmo aih khoe cadro, hmo aih kàn haraya.
2910050070	wì haq mùt trom ta ralùng, hnoq moeq ngai radam hangui pah qma, caxùnh eo yôh taboc, wì haq crè pi cajaq.
29100600d8	Mahaq mangai aih doe ka wì haq: Apaq yùq dèh, pì chaq Chuaq Jesus mangai Naxaret, Mangai wì makhoe tiang đình talong pagat, Haq khoe rìh hlài, Haq pi i oe tacô, trùh ngan nòe wì ma khoe taqngùi haq beq.
291007009e	Mahaq drah lam anoe ka mangai tiaq hŏc haq hloe xam Phiero, Haq lam adroe ka pì mùt ta Galili. Ta aih èh pì hnoq Haq, qmang ka bàu Haq khoe anoe ka pì.
2910080097	Ƀài mangai gucadrì aih loh enh ralùng hanang, cadàu amot rai yùq rai hamàih, ùh hùa anoe ka cabô cleq, majah qmang aih wì haq crè pi cajaq.
29100900f8	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Chuaq Jesus khoe rìh hlài sroeh sroq oe ta hì baxèm gàu tuàng, angoe aih haq mahno rađeh ka Mari Mađolen, aih mangai haq ma khoe drùh qnoh tapèh toq kiac dù.
29100a0079	Mangai gucadrì aih lam patình ka ƀài mangai adroe aih ma khoe tiaq Chuaq Jesus, mahaq manòeq qnang mangò crò hmoe.
29100b0074	Mahaq jò wì aih tàng mangai gucadrì aih doe Chuaq Jesus khoe rìh hlài, èh rađeh khoe hnoq haq, wì ùh lùi.
29100c0080	Atìq ka aih, Chuaq Jesus yŏc chac qnoeq hòm đòeq hu mahno rađeh ka baiq ngai tiaq hŏc, jò wa aih qnang hlài dèh gùng.
29100d0049	Wa aih drah lam patình ka wì qnoeq loq diq, mahaq dua ùh i cabô lùi.
29100e00cb	Atìq hòm, haq mahno rađeh ka moeq jàt moeq ngai tiaq hŏc jò wì aih qnang acaq, Haq i tapoch cwò ka wì ma ùh i manoh lùi, manoh ma cadoq, ùh lùi bàu ƀài mangai ma khoe hnoq haq rìh hlài.
29100f0051	Haq thê wì aih: “Drah lam jàp dìq crŏng taneh, anoe Bàu lem ka rìm ngai.
2910100074	Mangai leq lùi rai chìuq broq ƀaptem haq aih jah dèch, mangai leq ùh lùi haq aih èh jah pòq yŏc kan hadrah.
2910110076	Ƀài mangai ma lùi aih èh jah kan halac kô: Wì jah yŏc yiniq au đòeq drùh qnoh kiac dù, jah tapoch bàu neo.
2910120087	Cadop bìh ta tì, tàng ôq yiniq ma ùh khòh, dua ùh hìa troq cleq, yŏc tì bèq mangai ùh hrŏc, mangai ùh hrŏc jah brêh.”
2910130076	Atìq ka Chuaq Jesus anoe ka wì qmang aih, khoe èh haq jah dèch atŏc ta plình, haq hangui enh pah qma Boc Plình.
2910140098	Khoe aih, mangai tiaq hŏc loh lam rai anoe jàp jìa, Chuaq wiang broq pajùm ti wì, rai yŏc ƀài kan halac acop tiaq đòeq broq cajap deh ka bàu.
2a00000004	LUCA
2a01010077	Wì craq Thêopilo, i bàc ngai khoe dìq ka manoh achìh hu taqmon hlài ƀài yiniq broq ma khoe gêh oe taqne nhèn,
2a01020069	tiaq wì ma hnoq qmòe enh baxèm, manòeq khoe loh mangai ma patìh ka Bàu lem khoe anoe hlài ka bèn,
2a01030080	qmang aih jò khoe ngan hlài ka rabiaq rìm trong enh jò baxèm, au hèm khòh tiaq qmòe tang cadiang hu achìh hlài ka ìh,
2a01040045	dôq ìh loq qmoè ka cajap bàu ìh ma khoe jah hŏc aih joq qnàng.
2a0105008b	Qnhòng Hêrôt broq bùa diac Juđê, i mòeq ngai pajàu yiniq haq Xachari, tiaq dèh apah Abija, Êlisabet mai haq hadai nang noe Arôn.
2a0106007a	Boc Plình ngan hnoq dìq baiq ka wa aih mangai taq atoq, wèq gêh geo rìm ranenh hloe xam rìm ramènh Boc Plình thê.
2a01070057	Wa ùh i ka kon majah qmang aih Êlisabet haq xon, èh dìq baiq ka wa khoe bàc hanam.
2a0108006e	Jò Xachari tiaq dèh wì ma ta axong, khoe troq jò da haq broq pajàu dèch ramènh tadreo am ka Boc Plình.
2a01090091	Tiaq dèh trong ƀài pajàu kàn xan broq, Xachari pàih panàih troq ka haq mùt ta hnim kùh waiq đòeq bùh gahnàu xua thùm ka Boc Plình.
2a010a0047	Trùh jò bùh gahnàu, ƀài mangai bàc oe dìq enh gùng waiq khàn.
2a010b005a	Moeq ƀình plình loh enh ngèa ka Xachari, yòng enh pah qma ka nòe prang bùh gahnàu.
2a010c003e	Jò Xachari hnoq ƀình plình, haq loh ka lèt rai yùq crè.
2a010d00b9	Mahaq ƀình plình doe ka haq: Xachari, ùh dùh yùq, bàu ìh waiq khàn khoe jah tamàng, Êlisabet cadrì ìh, haq aih èh ha-uang ka ìh moeq ngai kon calô, ìh yiniq ka aih Jon.
2a010e005d	Kon calô aih èh broq ka ìh jah lem bùi, bàc ngai qnoeq hadai manè jò ha-uang qnoh haq.
2a010f00b3	Enh ngèa Boc Plình, kon qyoh aih wìa gucraq, yac ka alac plì nho, yac ka cleq ma loq bù dua haq ùh ôq, haq aih jah bình halùih Yiang Hadròeh jò haq oe raq ta cliac miq.
2a0110004d	Haq qnung bàc ngai Isorali wìh hlài trùh ti Chuaq aih Boc Plình wì haq.
2a011100fb	Èh haq lam enh ngèa ka Chuaq tiaq manoh xam kan itai qmang da Êli, đòeq broq manoh baq wìh hlài dèh ta kon, èh mangai ùh qnì iu wìh hlài ta kan rabiaq da mangai taq atoq, hu padon đòeq ka Chuaq moeq nang noe khoe palauq đòeq ta manoh.
2a01120077	Xachari bòch ƀình plình: Broq qmang leq au ma loq ka bàu ìh aih joq qnàng? Au khoe craq, mai au khoe bàc hanam.
2a01130072	Ƀình plình doe: Au kô Gapriên, yòng enh ngèa ka Boc Plình. Haq khoe thê au trùh bahìa kan lem bùi kô.
2a011400a9	Manòeq kô, ìh loh ka làu, pi hloh tapoch trùh hì loh ƀài yiniq qmang bàu au khoe anoe, majah qmang aih ìh ùh lùi bàu au, aih la bàu trùh dèh jò hi xìt.
2a01150087	Jò aih dìq ka ƀài wì mangai bàc oe enh gùng gòm Xachari dìq jaq hamàih, majah qmang aih haq oe ta hnim kùh waiq dùnh hrìn.
2a0116009f	Jò Xachari loh enh gùng, haq tapoch ùh jah, aih wì ma hi loq haq i hnoq kan mahno tanòe hnim kùh waiq, haq yŏc tì ti patìah ka wì, mahaq oe raq làu.
2a0117003d	Jò haq khoe dìq dèh ka hì patìh, haq hlài dèh ta hnim.
2a01180051	Toq biaq atìq ka aih, Êlisabet, mai haq hi hadràp, haq cadoc rađeh padam khê
2a01190074	haq doe: Chuaq khoe broq yiniq kô ka au, haq khoe haqmiang ngan au, đòeq lêh kan camaih au oe taqne mangai bàc.
2a011a007a	Jò Êlisabet oe jiang khoe jah tadràu khê, Boc Plình thê ƀình plình Gapriên trùh ta plài Naxaret, gùng Galili.
2a011b0073	Lam glàm mangai adrùh sriu yiniq haq Mari, khoe tèu bàu yŏc moeq ngai radam yiniq haq Jôsep, caxi noe Đawit.
2a011c0072	Ƀình plình trùh ajang nòe mangai adrùh aih rai doe: Manè am ka ìh, mangai jah xôq ramot! Chuaq oe ti ìh.
2a011d004e	Tàng bàu aih Mari haq hamàih, haq hèm bàu hangah qmang aih ìq qmang leq?
2a011e0068	Ƀình plình doe: Mari ùh dùh yùq dèh, majah qmang aih ìh khoe jah kan tamèt enh nòe Boc Plình.
2a011f004f	Kô èh ìh hadràp èh ha-uang loh moeq ngai kon calô, ìh yiniq ka haq Jesus
2a01200085	Haq aih èh wìa gucraq, jah creo Kon Yiang Dìq Jaq Haqnhèq. Chuaq aih Boc Plình jah am ka haq gèq enh kan cadraq haq aih Đawit.
2a01210063	Haq aih èh ma wèq cwìang enh qnhèq ka nang noe Jacôp trùh mòeq đòe, diac da haq ùh lùch.
