0100000009	創世記
06070e00fc	明天早上，你們要按支派一個一個前來，耶和華指出哪個支派，哪支派的各宗族便要前來。耶和華指出哪個宗族，哪宗族的各家族便要前來。耶和華指出哪個家族，哪家族的各成員便要前來。
06070f00b1	哪個人被指出拿了本該毀滅之物，哪個人及其所有的東西就要被火焚燒。因為他違背了耶和華的約，在以色列人中做了可恥的事。』」
0607100057	第二天清早，約書亞按照支派召來以色列人，結果抽中猶大支派；
0607110075	他讓猶大支派各宗族前來，結果抽中謝拉宗族；他讓謝拉宗族前來，結果抽中撒底家族；
0607120084	他讓撒底家族的人一個一個前來，結果抽中猶大支派中謝拉的曾孫、撒底的孫子、迦米的兒子亞干。
060713009c	約書亞對亞干說：「孩子啊，我勸你把榮耀歸給以色列的上帝耶和華，向祂認罪，把你所做的事告訴我，不要隱瞞。」
0607140057	亞干答道：「我的確得罪了以色列的上帝耶和華。事情是這樣的，
06071500c3	在奪得的財物中，我看上了一件漂亮的示拿外衣、四十五兩銀子和十兩金子，我一時貪心便拿去了，藏在我帳篷的地底下，銀子就放在衣服下面。」
0607160063	約書亞派人跑到他帳篷裡，果然那件外衣藏在他帳篷裡，銀子在衣服下面。
060717006f	他們從帳篷裡取出這些東西，將它們帶到約書亞和全體民眾那裡，擺在耶和華面前。
06071800a2	約書亞和全體以色列人把謝拉家族的亞干、那些銀子、衣服和金子及其兒女、牛、驢、羊、帳篷和一切所有都帶到亞割谷。
06071900ae	約書亞對亞干說：「你為什麼給我們惹禍呢？耶和華今天要降禍給你。」於是，以色列人便拿石頭打死了他及其一切，將他們燒毀。
06071a0087	他們在亞干身上堆起一大堆石頭，那些石頭今天還在。耶和華這才息怒，因此那地方至今還叫亞割谷。
06080100a8	耶和華對約書亞說：「不要驚慌害怕。只管率領全軍去攻打艾城，我已經將艾城的王、他的人民、城池和土地都交在你手裡了。
06080200a5	你怎樣對待耶利哥和耶利哥王，也要照樣對待艾城和艾城的王。不過你們可以拿城中的財物和牲畜。你要在城後設下伏兵。」
0608030063	於是，約書亞率領全軍前往艾城。他挑選了三萬精兵，派他們在黑夜出發，
060804005d	並吩咐他們說：「你們要在城後埋伏，不可離城太遠，全體保持戒備。
060805005d	我會率領軍隊正面攻城，當敵人像上次那樣出城應戰時，我們便逃跑。
0608060078	他們必定乘勝追擊，我們便引他們離城，因為敵人一定會以為我們又像上次一樣臨陣逃跑。
060807007b	那時，你們便從埋伏的地方衝出來攻佔艾城，你們的上帝耶和華一定會把艾城交在你們手裡。
0608080054	你們攻陷艾城後，要照耶和華的話放火焚城。這是我的命令。」
0608090096	於是，約書亞派遣他們出去。他們去埋伏在伯特利和艾城之間，就是艾城的西面。那一夜，約書亞住在民眾當中。
06080a0051	清早，約書亞召集民眾，與以色列的眾首領率全軍前往艾城。
06080b006c	隨他同去的軍隊都向前推進，來到城外，在城的北面紮營，與艾城相隔一個山谷。
06080c0060	約書亞選了五千人，讓他們埋伏在艾城和伯特利之間，就是艾城的西面。
06080d0069	於是，城北的主力軍隊和城西的伏兵都部署好了。當晚，約書亞在山谷裡過夜。
06080e00a8	艾城的王見以色列人兵臨城下，清早便急忙和全城的人起來出城迎戰，在亞拉巴谷附近跟以色列軍交鋒，他不知道城後有伏兵。
06080f0045	約書亞帶領以色列軍詐敗，沿著通往曠野的路逃跑。
0608100057	艾城的人都被召去追趕以色列人，他們追擊約書亞，被誘出城來。
060811005d	這樣，伯特利和艾城的人傾巢而出，追殺以色列人，他們的城門大開。
0608120093	耶和華對約書亞說：「把你手中的矛指向艾城，因為我要將這城交在你手裡。」約書亞就把手中的矛指向艾城。
060813006c	他一伸手，城後的伏兵立即行動，迅速衝進城去，一舉佔領艾城，隨即放火燒城。
060814007e	艾城的人回頭發現城內煙氣沖天，卻無路可逃，因為那些逃往曠野的以色列人已掉頭攻擊他們。
060815006c	約書亞和以色列全軍見伏兵已經佔領艾城，城中濃煙滾滾，便掉頭攻擊艾城的人。
0608160075	伏兵也出城追擊艾城的人。以色列軍前後夾攻，把敵人圍困在中間全部殲滅，無一漏網。
060817003c	他們生擒了艾城的王，將他押到約書亞那裡。
060818006f	以色列軍在田間和曠野用刀殺盡了追趕他們的艾城人後，又進城殺了留在城裡的人，
060819003c	當天被殺的艾城人男男女女共有一萬二千人。
06081a004e	一直到艾城所有的人都被殺光了，約書亞才收回手中的矛。
06081b0057	以色列人照耶和華對約書亞的吩咐，只帶走了城中的牲畜和財物。
06081c0051	約書亞燒毀全城，使城永遠成為一堆廢墟，至今仍一片荒涼。
06081d00b1	約書亞又將艾城王的屍體掛在樹上示眾。黃昏時，他才吩咐人把屍體取下來扔在城門口，又在屍體上堆了一大堆石頭。石堆至今還在。
06081e0117	約書亞照耶和華的僕人摩西對以色列人的吩咐，在以巴路山上為以色列的上帝耶和華築了一座祭壇。這壇是按照摩西律法書的記載，用未經鐵器鑿過的原石築的。以色列人就在這壇上把燔祭和平安祭獻給耶和華。
0608200048	約書亞又在眾人面前，將摩西所寫的律法刻在石頭上。
0608210135	所有以色列人與他們的長老、官員和審判官都站在耶和華的約櫃兩旁，面對著抬約櫃的利未祭司，寄居的外族人和本族人都在場。他們一半人站在基利心山前，一半人站在以巴路山前，正如耶和華的僕人摩西從前祝福他們時所吩咐的。
0608220060	隨後，約書亞按照摩西律法書的記載，向民眾宣讀一切祝福和咒詛的話。
0608230084	他在全體會眾，包括婦女、小孩以及住在他們中間的外族人面前，一字不漏地宣讀摩西的一切吩咐。
06090100c6	住在約旦河西的山區、丘陵以及地中海沿岸、遠至黎巴嫩的諸王，就是那些赫人、亞摩利人、迦南人、比利洗人、希未人和耶布斯人的王聽說這件事，
0609020030	就聯合起來對抗約書亞和以色列人。
0609030042	基遍的居民聽說約書亞在耶利哥和艾城所做的事，
0609040063	便想出一個詭計來。他們裝作特使，把舊皮袋和縫補過的酒囊馱在驢背上，
0609050048	穿著縫補過的舊鞋和破爛衣服，帶著又乾又發黴的餅，
060906008a	到吉甲營去見約書亞。他們對約書亞和以色列人說：「我們從很遠的地方來，求你們跟我們締結盟約。」
0609070072	以色列人對這些希未人說：「你們也許就住在附近。我們怎麼能跟你們締結盟約呢？」
060908006f	他們對約書亞說：「我們是你的奴僕。」約書亞說：「你們是什麼人？從哪裡來？」
060909008a	他們答道：「僕人們因為你的上帝耶和華的大名，才從很遠的地方來。我們聽說了祂在埃及的一切作為，
06090a006f	以及祂怎樣對付約旦河東的兩個亞摩利王——希實本王西宏和亞斯她錄的巴珊王噩。
06090b0078	我們的長老和民眾就派我們帶著乾糧來迎接你們，甘做你們的僕人，希望跟你們締結盟約。
06090c004e	我們出來的時候帶的餅是熱的，看啊，現在又乾又發黴了。
06090d0081	這些皮酒囊原來也是新的，但現在已經破了。因為長途跋涉，我們的衣服和鞋也都破舊不堪了。」
06090e0042	以色列人接受了他們的食物，卻沒有求問耶和華。
06090f0063	約書亞與他們立了和平盟約，容他們存活，會眾的首領也向他們起誓守約。
0609100051	立約三天後，以色列人才得知他們原來是鄰居，就住在附近。
060911006b	以色列人啟程，走了三天來到他們居住的基遍、基非拉、比錄和基列·耶琳各城。
0609120087	會眾的首領曾憑以色列的上帝耶和華向他們起過誓，所以不能殺他們。全體會眾因此向首領大發怨言。
0609130078	首領便對全體會眾說：「我們曾憑以色列的上帝耶和華向他們起誓，我們現在不能動他們。
0609140051	我們要容他們存活，免得我們因違背誓言而惹耶和華發怒。」
060915005d	首領又說：「就容他們存活吧。」首領就叫他們為全體會眾劈柴挑水。
060916008a	於是，約書亞召來他們，對他們說：「你們為什麼要欺騙我們，說你們住得很遠？其實你們就住在附近。
0609170060	因此，你們是受咒詛的。你們要永遠做奴僕，為我上帝的殿劈柴挑水。」
06091800d5	他們答道：「僕人們這樣做是因為害怕喪命。我們確實聽說你的上帝耶和華曾經應許祂僕人摩西，要把這整片土地都賜給你們，並從你們面前將這裡的居民殺盡。
060919005a	現在我們既然落在你的手中，你們想怎樣對待我們就怎樣對待吧。」
06091a0048	約書亞不讓以色列人加害他們，因此他們沒有被殺死。
06091b008a	那天，約書亞讓他們在耶和華指定的地方，為會眾和耶和華的祭壇劈柴挑水。他們至今仍做這樣的工作。
060a0100da	耶路撒冷王亞多尼·洗德聽說約書亞奪取並毀滅了艾城，像對付耶利哥和耶利哥王一樣對付艾城和艾城的王，又聽說基遍人已經跟以色列人締結盟約，住在他們中間，
060a020078	便大為驚恐。因為基遍是一座大城，宏偉得像座都城，比艾城更大，城中的人都驍勇善戰。
060a03008c	耶路撒冷王亞多尼·洗德便派遣使者去見希伯崙王何咸、耶末王毗蘭、拉吉王雅非亞和伊磯倫王底璧，說：
060a040069	「求你們上來幫助我攻打基遍，因為這城已經與約書亞和以色列人締結盟約。」
060a0500c0	於是，五位亞摩利王，就是耶路撒冷王、希伯崙王、耶末王、拉吉王和伊磯倫王，便聯合起來，率領他們所有的軍隊在基遍附近紮營，攻打基遍。
060a0600a5	基遍人派人去吉甲告訴約書亞說：「住在山區的亞摩利眾王正聯合起來攻打我們，求你趕快來救我們！不要不顧你的僕人。」
060a07004b	於是，約書亞便率領全軍，包括所有精兵，從吉甲上去。
060a080075	耶和華對約書亞說：「不要害怕，我已經把他們交在你手中，他們沒有一人能抵擋你。」
060a090039	約書亞從吉甲出發，連夜趕路，突襲敵人。
060a0a00a4	耶和華使亞摩利聯軍陣腳大亂，以色列人就在基遍大敗敵軍，在去伯·和崙的上坡路上追殺他們，一直追到亞西加和瑪基大。
060a0b009e	敵人在從伯·和崙到亞西加的下坡路上逃竄的時候，耶和華降下大冰雹，被冰雹砸死的人比以色列人用刀殺死的還要多。
060a0c00a1	耶和華將亞摩利人交在以色列人手中，那天約書亞當眾向耶和華禱告： 「太陽啊，停在基遍！ 月亮啊，停在亞雅崙谷！」
060a0d00b4	果然太陽停住了， 月亮也不動了， 直到以色列人殺敗敵人。 《雅煞珥書》記載了這事。約有一天的時間，太陽停留在天空，沒有西沉。
060a0e0069	耶和華這樣垂聽一個人的祈求是空前絕後的，這是因為耶和華要為以色列爭戰。
060a0f003f	後來，約書亞率領以色列軍返回了吉甲的營地。
060a100036	那五王逃進瑪基大的山洞裡，躲藏起來。
060a11003f	有人告訴約書亞那五個王藏在瑪基大的山洞裡，
060a12004b	約書亞便下令說：「滾幾塊大石頭堵住洞口，派人看守。
060a13008d	你們不可停下來，要繼續追殺敵人，不要讓他們逃回城，你們的上帝耶和華已經把他們交在你們手中了。」
060a14006f	約書亞和以色列人把敵人殺得大敗，幾乎全軍覆沒，一些殘餘都逃進了堅固的城壘。
060a15006f	以色列人都安然無恙地回到約書亞駐紮的瑪基大營。再也沒有人敢威脅以色列人了。
060a16004b	約書亞說：「打開洞口，把裡面的五個王押出來見我。」
060a17007e	眾人便把耶路撒冷王、希伯崙王、耶末王、拉吉王、伊磯倫王從洞裡押出來，帶到約書亞面前。
060a1800bd	約書亞召來全體以色列人，然後對那些跟他一起出征的將領說：「你們上前來，用腳踏在這些王的脖子上。」各將領便照著約書亞的吩咐做了。
060a19008d	約書亞對他們說：「你們不要驚慌害怕，要剛強勇敢，因為耶和華要使你們攻打的所有仇敵都落此下場。」
060a1a005a	隨後約書亞將這五個王殺死，把屍體分別掛在五棵樹上，直到傍晚。
060a1b008d	日落時，約書亞才下令把屍體放下，扔在他們先前躲藏的山洞裡，用大石頭堵住洞口，石頭至今還在那裡。
060a1c00a2	約書亞在當天佔領了瑪基大，把瑪基大王和所有的居民都用刀殺了，一個沒留。他對待瑪基大王跟以前對待耶利哥王一樣。
060a1d0042	約書亞和以色列軍又從瑪基大出發，去攻打立拿。
060a1e00a5	耶和華將立拿城和立拿王交在以色列人手中，他們用刀殺了全城的人，一個沒留。他們對待立拿王跟以前對待耶利哥王一樣。
060a1f0057	約書亞和以色列軍從立拿前往拉吉，他們在城外紮營，攻打拉吉。
060a200090	耶和華將拉吉交在以色列人手中，第二天約書亞便攻佔了拉吉，用刀殺了全城的人，就像在立拿所行的一樣。
060a21004e	基色王何蘭前來支持拉吉，結果也被約書亞殺得一個不剩。
060a220060	約書亞又率領以色列全軍從拉吉前往伊磯倫，在城外紮營，攻打伊磯倫。
060a230060	他們當天就攻陷該城，用刀殺了城內所有的人，就像在拉吉所行的一樣。
060a240042	約書亞和全體以色列人又從伊磯倫去攻打希伯崙。
060a25008a	他們攻陷該城及其附屬城邑，用刀殺了希伯崙王和城邑中的居民，一個沒留，就像在伊磯倫所行的一樣。
060a26003f	然後，約書亞和全體以色列人再回兵攻打底璧，
060a270099	攻取了該城及其附屬城邑，擒獲底璧王，用刀殺了城中所有的人，一個沒留，就像對待希伯崙、立拿和立拿王一樣。
060a2800c9	這樣，約書亞征服了整個地區，包括山區、南地、丘陵和山坡及那裡的眾王。他按照以色列的上帝耶和華的吩咐，消滅了一切有生命氣息的，一個沒留。
060a29005c	約書亞征服了各地，從加低斯·巴尼亞到迦薩，歌珊全境，直到基遍。
060a2a0081	約書亞能一鼓作氣殺敗諸王，征服他們的土地，都是因為有以色列的上帝耶和華為以色列人爭戰。
060a2b003c	之後，約書亞率領以色列人回到吉甲的營地。
060b01005d	夏瑣王耶賓聽見這些消息，就派人去見瑪頓王約巴、伸崙王、押煞王，
060b02005a	還有北方山區、基尼烈南面的亞拉巴、西部丘陵和多珥高原的各王，
060b03008a	以及東西兩面的迦南人、山區的亞摩利人、赫人、比利洗人、耶布斯人和黑門山麓米斯巴地區的希未人。
060b040069	這些王便率領自己的軍隊，帶著許多馬匹和戰車傾巢出動，人數多如海邊的沙。
060b050045	他們在米倫河會師，一同紮營，要跟以色列人交戰。
060b0600b7	耶和華對約書亞說：「你不要怕他們。明天這個時候，我必把他們全部交給以色列人殺滅，你要砍斷他們馬匹的蹄筋，燒毀他們的戰車。」
060b070045	於是，約書亞率領所有的軍兵在米倫河邊突襲敵軍。
060b0800c2	耶和華把敵軍交在以色列人手中，以色列人打敗了他們，追殺他們直到西頓大城、米斯利弗·瑪音和東面的米斯巴谷，全部消滅了他們，一個沒留。
060b090057	約書亞照耶和華的吩咐，砍斷他們馬匹的蹄筋，燒毀他們的戰車。
060b0a0060	然後，約書亞回師攻陷夏瑣，用刀殺了夏瑣王。夏瑣曾經在諸國中為首。
060b0b0054	以色列人用刀殺了城內的人，一個沒留。約書亞放火燒了夏瑣。
060b0c0087	約書亞攻佔了諸王所有的城池，擒獲諸王。他照耶和華的僕人摩西的吩咐，用刀殺死諸王，毀掉城池。
060b0d004b	以色列人只燒毀了夏瑣，沒有燒建在山丘上的其他城池。
060b0e0063	他們用刀殺掉城內所有的居民，一個沒留，擄掠了城內所有的財物和牲畜。
060b0f0096	耶和華怎樣吩咐祂的僕人摩西，摩西也怎樣吩咐約書亞，約書亞都一一照辦，沒有遺漏任何耶和華吩咐摩西的事。
060b100078	約書亞佔領了整個地區，包括山區、南地、歌珊全境、丘陵、亞拉巴和以色列山區及平原，
060b110089	從哈拉山起到西珥，直到黑門山山麓黎巴嫩山谷的巴力·迦得城。約書亞擒獲了各城的王，殺死了他們。
060b120033	約書亞跟這些地區的諸王爭戰了很久。
060b13006f	除了基遍的希未人以外，其他沒有一城向以色列人求和，以色列人全部攻佔這些城。
060b140087	原來耶和華使他們的心剛硬，跟以色列人作戰，好讓他們遭受無情的毀滅，正如耶和華對摩西的吩咐。
060b150087	那時，約書亞又出兵把希伯崙、底璧、亞拿伯、以色列和猶大各山區的亞衲人和他們的城邑全部毀滅。
060b160060	除了在迦薩、迦特和亞實突有一些殘餘之外，以色列境內沒有亞衲人了。
060b17009f	約書亞照耶和華對摩西的指示，奪取整個地區，把土地按照支派分給以色列人作產業。於是境內國泰民安，沒有戰事了。
060c01008d	以色列人在約旦河東岸殺死了兩個王，佔據了他們的領土：自亞嫩谷直到黑門山，包括東面的整個亞拉巴。
060c0200b7	這兩個王一個是住在希實本的亞摩利王西宏。他統轄的地區從亞嫩谷旁的亞羅珥，包括山谷中部和基列的一半，直到亞捫人邊境的雅博河。
060c03008c	他的領土還包括約旦河谷東部：從加利利湖至亞拉巴海，也就是鹽海，到伯·耶施末，直到毗斯迦的山麓。
060c04005d	另一個王是巴珊王噩，他原是利乏音的遺民，住在亞斯她錄和以得來。
060c0500a8	他所統轄的地區包括黑門山、撒迦、整個巴珊，直到基述人和瑪迦人的邊境，還包括基列的另一半，直到希實本王西宏的國界。
060c0600a2	耶和華的僕人摩西帶領以色列人征服了這兩個王，並把他們的土地分給呂便支派、迦得支派和瑪拿西半個支派的人作產業。
060c0700d1	約書亞帶領以色列人征服了約旦河西的諸王，佔領的土地包括從黎巴嫩谷地的巴力·迦得直到西珥的哈拉山。約書亞按以色列的支派把這些土地分給以色列人。
060c08009f	那裡有山區、丘陵、河谷、山坡、曠野和南地，就是赫人、亞摩利人、迦南人、比利洗人、希未人、耶布斯人住的地方。
060c090036	這些王是耶利哥王、伯特利附近的艾王、
060c0a0021	耶路撒冷王、希伯崙王、
060c0b0018	耶末王、拉吉王、
060c0c001b	伊磯倫王、基色王、
060c0d0018	底璧王、基德王、
060c0e001e	何珥瑪王、亞拉得王、
060c0f001b	立拿王、亞杜蘭王、
060c10001e	瑪基大王、伯特利王、
060c11001b	他普亞王、希弗王、
060c12001b	亞弗王、拉沙崙王、
060c130018	瑪頓王、夏瑣王、
060c140020	伸崙·米崙王、押煞王、
060c15001b	他納王、米吉多王、
060c16002a	基低斯王、迦密附近的約念王、
060c170030	多珥山上的多珥王、吉甲的戈印王、
060c180021	得撒王，共三十一個王。
060d010066	約書亞年事已高，耶和華對他說：「你年紀大了，但還有許多地方有待征服，
060d02002a	就是非利士人和基述人的全境，
060d0300e4	即從埃及東面的西曷河直到北面以革倫的邊境，這一帶都算是迦南，是統治迦薩人、亞實突人、亞實基倫人、迦特人、以革倫人的五個非利士王的地方；南方亞衛人的地方；
060d040057	整個迦南人的地方，從西頓人的米亞拉直到亞摩利人邊境的亞弗；
060d050065	迦巴勒人的地方；東部從黑門山山麓的巴力·迦得直到哈馬口的整個黎巴嫩。
060d0600a7	我必為以色列人趕走從黎巴嫩到米斯利弗·瑪音一帶山區的所有西頓人。你只管照我的吩咐，把這些土地分給以色列人作產業，
060d07003f	分給其他九個支派和瑪拿西半個支派作產業。」
060d08007b	瑪拿西半個支派和呂便、迦得兩支派已經得到耶和華的僕人摩西在約旦河東分給他們的產業：
060d09005d	從亞嫩谷旁的亞羅珥起，包括谷中的城，直到底本的整個米底巴平原，
060d0a004e	以及希實本的亞摩利王西宏統治的各城，直到亞捫的邊境。
060d0b006f	此外，還包括基列、基述人和瑪迦人的疆域、整個黑門山和直到撒迦的整個巴珊地，
060d0c0093	以及巴珊王噩的國土。噩曾經在亞斯她錄和以得來做王，是僅存的利乏音人。摩西打敗了這些人，趕走了他們。
060d0d0060	以色列人卻沒有趕走基述人和瑪迦人，他們到今天還住在以色列人當中。
060d0e00a2	摩西並沒有把土地分給利未支派作產業，因為獻給以色列的上帝耶和華的火祭就是他們的產業，正如耶和華對他們的應許。
060d0f0036	以下是摩西按宗族分給呂便支派的產業：
060d100054	從亞嫩谷旁邊的亞羅珥城、谷中的城和米底巴附近的整個平原，
060d110063	到希實本城和希實本平原的所有城邑，即底本、巴末·巴力、伯·巴力·勉、
060d120021	雅雜、基底莫、米法押、
060d13003b	基列亭、西比瑪、谷中山丘上的細列·沙轄、
060d14002f	伯毗珥、毗斯迦山坡和伯·耶施末，
060d1500a5	平原的各城邑和亞摩利王西宏的國土。西宏曾在希實本做王，摩西打敗了他和他的米甸首領以未、利金、蘇珥、戶珥和利巴。
060d160042	以色列人用刀所殺的人中有比珥的兒子術士巴蘭。
060d170063	呂便支派的土地以約旦河為界。以上是呂便支派按宗族分到的城邑和村莊。
060d180036	以下是摩西按宗族分給迦得支派的土地：
060d190063	雅謝和基列境內所有的城邑；亞捫人的一半領土，直到拉巴附近的亞羅珥；
060d1a0053	從希實本直到拉抹·米斯巴和比多寧，從瑪哈念到底璧的邊境；
060d1b00a7	還有谷中的伯亞蘭、伯·寧拉、疏割、撒分，就是希實本王西宏國中其餘的土地，以約旦河為界，沿東岸直到加利利湖的頂端。
060d1c004b	以上這些城邑、村莊便是迦得支派按宗族所分到的產業。
060d1d003f	以下是摩西按宗族分給瑪拿西半個支派的土地：
060d1e006c	從瑪哈念開始，包括整個巴珊，就是巴珊王噩的國土及其境內雅珥的六十座城邑，
060d1f0090	還有基列的一半和巴珊王噩的兩座城亞斯她錄和以得來。瑪拿西的兒子瑪吉的一半子孫按宗族分到這些土地。
060d20005a	以上是摩西在耶利哥對面約旦河東的摩押平原分給以色列人的產業。
060d21008d	摩西並沒有分給利未支派任何產業，因為以色列的上帝耶和華就是他們的產業，正如耶和華對他們的應許。
060e01007b	以下是祭司以利亞撒、嫩的兒子約書亞和以色列各支派的首領，在迦南分給以色列人的產業，
060e020054	是照耶和華藉摩西所指示的，用抽籤的方式分給九個半支派的。
060e030084	摩西在約旦河東已經把產業分給了呂便、迦得支派和瑪拿西半個支派，只是沒有把產業分給利未人。
060e04009c	約瑟的子孫已分為瑪拿西和以法蓮兩個支派。利未人沒有分到地，但有城邑居住，還有草場可以牧養牲畜，安置財物。
060e05003f	以色列人照耶和華給摩西的指示分配這些土地。
060e0600ce	那時，猶大支派的人來到吉甲見約書亞，基尼洗族耶孚尼的兒子迦勒對約書亞說：「你知道耶和華在加低斯·巴尼亞跟上帝的僕人摩西提到關於你和我的事。
060e070074	我四十歲那年，耶和華的僕人摩西從加低斯·巴尼亞派我來偵察這地方，我如實稟告他。
060e080066	與我同去的弟兄的稟告讓以色列人膽戰心驚，但我一心追隨我的上帝耶和華。
060e090099	所以，當日摩西就向我起誓，『你腳踏過的地方必永遠歸你和你的子孫作產業，因為你一心追隨我的上帝耶和華。』
060e0a00a8	耶和華照祂的應許，讓我又活了四十五年。當年耶和華對摩西說這話時，以色列人還在曠野漂流。看！我現在已經八十五歲了，
060e0b0054	仍像當年摩西派我出去時那樣身強力壯，跟當年一樣能征善戰。
060e0c00e4	現在，求你照耶和華當日向我應許的，把這山區賜給我。你當日親耳聽到那裡有亞衲人，他們的城池高大堅固。但只要耶和華與我同在，我必照著祂的應許把這些人趕走。」
060e0d0060	於是，約書亞便祝福耶孚尼的兒子迦勒，把希伯崙給他，作為他的產業。
060e0e0081	所以，希伯崙至今仍是基尼洗族耶孚尼的兒子迦勒的產業，因為他一心追隨以色列的上帝耶和華。
060e0f0077	希伯崙從前名叫基列·亞巴，亞巴原是亞衲族中最偉大的人。從此，境內太平，沒有戰爭。
060f010060	猶大支派按宗族抽籤分到的土地，南到以東的邊界，到最南端的荀曠野。
060f02002d	南面的邊界始於鹽海南端的海灣，
060f03007d	沿亞克拉濱山坡南面，經荀，北上至加低斯·巴尼亞南面，經過希斯崙到亞達珥，再繞到甲加，
060f040057	經過押們、順著埃及小河直到地中海。這是猶大支派的南部邊界。
060f050052	東面以鹽海到約旦河口為邊界。 北界從約旦河口的海灣開始，
060f06005b	到伯·曷拉，經過伯·亞拉巴北面，直到呂便的兒子波罕所立的大石；
060f070070	從亞割谷往北到底璧，到谷南亞都冥隘口對面的吉甲，經隱·示麥泉，直到隱·羅結；
060f080087	然後再沿著欣嫩子谷而上，直到耶布斯，即耶路撒冷的南面，再到欣嫩谷西面、利乏音谷北端的山頂；
060f09005c	從山頂到尼弗多亞泉，到以弗崙山的各城，直到巴拉，即基列·耶琳；
060f0a0062	從巴拉向西繞到西珥山，到耶琳山北坡，即基撒崙，到伯·示麥，經亭拿，
060f0b0057	再到以革倫北坡，轉向施基崙，經巴拉山和雅比聶，直到地中海。
060f0c005a	西面的邊界是地中海沿岸。以上是猶大人根據宗族所得地業的四界。
060f0d00b0	約書亞又照耶和華的吩咐，在猶大支派所分到的土地之中劃出基列·亞巴，即希伯崙，分給耶孚尼的兒子迦勒。亞巴是亞衲人的祖先。
060f0e005a	迦勒趕走了住在那裡的亞衲族的三個族長，即示篩、亞希幔和撻買，
060f0f0041	再從那裡出兵攻打底璧，底璧從前叫基列·西弗。
060f10004d	迦勒說：「誰攻取基列·西弗，我就把女兒押撒嫁給他。」
060f110060	迦勒的弟弟基納斯的兒子俄陀聶攻取了那城，迦勒便把女兒押撒嫁給他。
060f120075	押撒出嫁的時候，勸丈夫向她父親要一塊田。她剛下驢，迦勒便問她：「你想要什麼？」
060f130093	押撒答道：「求你賜福給我，你既然把南地賜給我，求你也把水泉賜給我吧。」迦勒就把上泉和下泉都給了她。
060f140030	以下是猶大支派按宗族所得的產業：
060f150042	在最南面靠近以東的城邑有甲薛、以得、雅姑珥、
060f160021	基拿、底摩拿、亞大達、
060f170021	基低斯、夏瑣、以提楠、
060f18001e	西弗、提鏈、比亞綠、
060f190034	夏瑣·哈大他、加略·希斯崙，即夏瑣、
060f1a001e	亞曼、示瑪、摩拉大、
060f1b002b	哈薩·迦大、黑實門、伯·帕列、
060f1c002c	哈薩·書亞、別示巴、比斯約他、
060f1d001b	巴拉、以因、以森、
060f1e0024	伊勒多臘、基失、何珥瑪、
060f1f0024	洗革拉、麥瑪拿、三撒拿、
060f200051	利巴勿、實忻、亞因和臨門，共二十九座城及其附近的鄉村。
060f210033	在丘陵地帶有以實陶、瑣拉、亞實拿、
060f22002f	撒挪亞、隱·干寧、他普亞、以楠、
060f23002a	耶末、亞杜蘭、梭哥、亞西加、
060f240060	沙拉音、亞底他音、基底拉和基底羅他音，共十四座城及其附近的鄉村。
060f25002c	還有洗楠、哈大沙、麥大·迦得、
060f26001e	底連、米斯巴、約帖、
060f270021	拉吉、波斯加、伊磯倫、
060f28001e	迦本、拉幔、基提利、
060f290056	基低羅、伯·大袞、拿瑪、瑪基大，共十六座城及其附近的鄉村。
060f2a0021	還有立拿、以帖、亞珊、
060f2b0021	益弗他、亞實拿、尼悉、
060f2c0048	基伊拉、亞革悉、瑪利沙，共九座城及其附近的鄉村。
060f2d0030	還有以革倫及其附近的城邑和鄉村。
060f2e004b	還有以革倫到地中海一帶所有靠近亞實突的城邑和鄉村，
060f2f0078	亞實突及其附近的城邑和鄉村，迦薩及其附近的城邑和鄉村，直到埃及小河和地中海沿岸。
060f30002a	在山區有沙密、雅提珥、梭哥、
060f310026	達拿、基列·薩拿，即底璧、
060f320024	亞拿伯、以實提莫、亞念、
060f330042	歌珊、何崙、基羅，共十一座城及其附近的鄉村。
060f340021	還有亞拉、度瑪、以珊、
060f350026	雅農、伯·他普亞、亞非加、
060f360056	宏他、基列·亞巴，即希伯崙、洗珥，共九座城及其附近的鄉村。
060f37002a	還有瑪雲、迦密、西弗、淤他、
060f380021	耶斯列、約甸、撒挪亞、
060f390042	該隱、基比亞、亭拿，共十座城及其附近的鄉村。
060f3a0023	還有哈忽、伯·夙、基突、
060f3b004a	瑪臘、伯·亞諾、伊勒提君，共六座城及其附近的鄉村。
060f3c0052	還有基列·巴力，即基列·耶琳、拉巴兩座城及其附近的鄉村。
060f3d0032	在曠野有伯·亞拉巴、密丁、西迦迦、
060f3e0044	匿珊、鹽城、隱·基底，共六座城及其附近的鄉村。
060f3f006c	猶大人沒能把住在耶路撒冷的耶布斯人趕出去，他們至今仍然跟猶大人一同居住。
0610010096	約瑟的子孫抽籤所得的地方是從耶利哥附近的約旦河，就是耶利哥水泉的東面開始，穿過曠野，直到伯特利山區；
0610020042	又從伯特利，即路斯，延至亞基人的疆土亞他綠，
061003005f	然後西下至押利提人的疆土，遠至下伯·和崙地區，經基色直到地中海。
061004003c	約瑟的兒子瑪拿西和以法蓮得了自己的產業。
0610050064	以下是以法蓮的子孫按宗族分到的土地：東面從亞他錄·亞達到上伯·和崙，
0610060056	直到地中海；北面從密米他向東繞到他納·示羅，到雅挪哈東部，
0610070039	再到亞他錄、拿拉，經耶利哥直到約旦河；
