2800000009	Mattheüs
29092e0059	het onuitbluschbaar vuur, waar hun worm niet sterft, en het vuur niet wordt uitgebluscht.
29092f00a5	En als uw oog u ergert, trek het uit! beter is het dat gij met één oog in het koninkrijk Gods ingaat, dan dat gij, twee oogen hebbende, in de helle geworpen wordt,
290930003f	waar hun worm niet sterft, en het vuur niet wordt uitgebluscht.
2909310053	Want ieder zal met vuur gezouten worden, en elk offer zal met zout gezouten worden.
2909320092	Het zout is goed; maar als het zout onzout wordt, waarmede zult gij het smakelijk maken? — Hebt in u zelven zout en houdt vrede onder malkander!
290a0100af	En Jezus stond op en ging vandaar naar de landstreken van Judea en over den Jordaan; en wederom kwamen er scharen tot Hem, en Hij onderwees hen wederom, zooals Hij gewoon was.
290a020078	En de fariseërs kwamen tot Hem en vroegen Hem of het een man geoorloofd is zijn vrouw te verlaten, — Hem verzoekende.
290a030040	Maar Hij antwoordde en zeide tot hen: Wat heeft Mozes u geboden?
290a04005e	En zij zeiden: Mozes heeft toegestaan een akte van scheiding te schrijven en haar te verlaten.
290a050062	Maar Jezus zeide tot hen: Om uw verhardheid van harte heeft hij voor ulieden dit gebod geschreven;
290a060047	maar van het begin der schepping af heeft God hen man en vrouw gemaakt.
290a070052	Daarom zal een mensch zijn vader en zijn moeder verlaten, en zijn vrouw aanhangen,
290a08005e	en die twee zullen zijn tot één vleesch, zoodat zij niet meer twee zijn, maar één vleesch.
290a090038	Wat God dan heeft vereenigd, dat scheide de mensch niet!
290a0a003b	En tehuis vroegen de discipelen Hem wederom over deze zaak;
290a0b006a	en Hij zeide tot hen: Zoo wie zijn vrouw zal verlaten en met een andere trouwen, doet overspel tegen haar;
290a0c004d	en als een vrouw haar man verlaat en met een ander trouwt, doet zij overspel.
290a0d007d	En zij brachten kinderkens tot Hem opdat Hij die zou aanraken; maar de discipelen bestraften degenen die ze bij Hem brachten.
290a0e0098	En Jezus dit ziende nam het kwalijk en zeide tot hen: Laat de kinderkens tot Mij komen, verhindert ze niet! want voor zoodanigen is het koninkrijk Gods.
290a0f0077	Voorwaar Ik zeg ulieden: Zoo wie het koninkrijk Gods niet zal aannemen als een kindeken, die zal er geenszins in komen!
290a10003c	En Hij omhelsde ze en leide hun de handen op, en zegende ze.
290a1100a1	En toen Hij op weg ging, liep er een naar Hem toe en voor Hem op de knieën vallende vroeg hij Hem: Goede Meester! wat zal ik doen om eeuwig leven te verkrijgen?
290a120054	Doch Jezus zeide tot hem: Wat noemt gij Mij goed? niemand is goed dan de eenige God!
290a1300c1	De geboden kent gij: Gij zult geen overspel doen, gij zult niet doodslaan, gij zult niet stelen, gij zult geen valsch getuigenis geven, gij zult niemand te kort doen, eer uw vader en uw moeder.
290a140050	Maar hij zeide tot Hem: Meester, dit alles heb ik onderhouden van mijn jeugd af.
290a1500c8	En Jezus zag hem aan en beminde hem, en zeide tot hem: Eén zaak ontbreekt u! ga heen, verkoop al wat gij hebt en geef het aan de armen, en gij zult een schat hebben in den hemel, en kom, en volg Mij!
290a160059	Maar hij werd bedroefd over dat woord en ging treurig heen, want hij bezat veel goederen.
290a170081	En Jezus zag rond en zeide tot zijn discipelen: Hoe bezwaarlijk zullen zij die goederen bezitten, tot het koninkrijk Gods ingaan!
290a1800d3	En de discipelen werden verwonderd over zijn woorden. Maar Jezus antwoordde wederom en zeide tot hen: Kinderen! hoe bezwaarlijk is het voor hen die op hun goederen vertrouwen, tot het koninkrijk Gods in te gaan!
290a190075	Gemakkelijker is het dat een kameel door het oog van de naald gaat, dan dat een rijke tot het koninkrijk Gods ingaat!
290a1a005a	Zij nu werden nog meer verwonderd en zeiden tot malkander: En wie kan dan behouden worden?
290a1b006f	Doch Jezus zag hen aan en zeide: Bij de menschen onmogelijk, maar niet bij God! want bij God is alles mogelijk.
290a1c0056	Toen begon Petrus tot Hem te zeggen: Zie, wij hebben alles verlaten en zijn U gevolgd!
290a1d00bb	Jezus zeide: Voorwaar Ik zeg ulieden, niemand is er, die verlaten heeft huis, of broeders, of zusters, of moeder, of vader, of kinderen, of akkers, om Mijnentwil en om des Evangelies wil,
290a1e00b1	of hij ontvangt honderdvoudig nu in dezen tijd huizen, en broeders, en zusters, en moeders, en kinderen, en akkers, met vervolgingen, en in de eeuw die komende is, eeuwig leven.
290a1f003f	Doch veel eersten zullen laatsten zijn, en de laatsten eersten.
290a2000ec	En zij waren op weg om naar Jerusalem te gaan, en Jezus ging vóór hen uit. En zij waren verbaasd, en volgden Hem vreezende. En de twaalven wederom tot zich nemende, begon Hij tot hen te spreken over de dingen die Hem overkomen zouden:
290a2100ca	Ziet, wij gaan op naar Jerusalem, en de Zoon des menschen wordt overgeleverd aan de overpriesters en aan de schriftgeleerden, en zij zullen Hem ter dood veroordeelen, en Hem aan de heidenen overleveren,
290a220071	en zij zullen Hem bespotten, en Hem geeselen, en Hem bespuwen, en Hem dooden, en na drie dagen zal Hij verrijzen.
290a230092	En tot Hem kwamen Jakobus en Johannes, de zonen van Zebedeüs, en zeiden tot Hem: Meester! wij wenschen dat Gij ons doen zult wat wij U verzoeken!
290a240035	En Hij zeide tot hen: Wat wilt gij dat Ik u doen zal?
290a25007b	En zij zeiden tot Hem: Geef ons dat wij, de een aan uw rechter– en de ander aan uw linkerhand, mogen zitten in uw glorie!
290a2600a0	Maar Jezus zeide tot hen: Gij weet niet wat gij begeert! Kunt gij drinken den drinkbeker dien Ik drink, of gedoopt worden met den doop waarmede Ik gedoopt word?
290a2700af	En zij zeiden tot Hem: Ja wel! — En Jezus zeide tot hen: Den drinkbeker, dien Ik drink, zult gij drinken, en met den doop, waarmede Ik gedoopt word, zult gij gedoopt worden!
290a280077	doch het zitten aan mijn rechter– of aan mijn linkerhand staat bij Mij niet te geven, maar is voor wie het bereid is.
290a29006e	En toen de tien andere aposlelen dit gehoord hadden begonnen zij het kwalijk te nemen van Jakobus en Johannes.
290a2a00a9	En Jezus riep hen tot zich en zeide tot hen: Gij weet dat degenen die geacht worden oversten der volken te zijn over hen heerschen, en hun grooten hebben macht over hen;
290a2b005b	doch niet alzoo is het onder u, maar zoo wie wil groot worden onder u, zal uw dienaar zijn;
290a2c0045	en zoo wie van u de eerste wil worden, zal een knecht van allen zijn;
290a2d0089	want ook de Zoon des menschen is niet gekomen om gediend te worden, maar om te dienen en zijn leven te geven tot een losprijs voor velen.
290a2e00ab	En zij kwamen naar Jericho. En als Hij Jericho uitging met zijn discipelen en een groote menigte volks, zat Bartimeüs, een blinde bedelaar, zoon van Timeüs, aan den weg.
290a2f007f	En toen hij gehoord had dat het Jezus de Nazarener was, begon hij te roepen en te zeggen: Zone Davids! Jezus! ontferm U mijner!
290a300069	En velen bestraften hem, opdat hij zou zwijgen; maar des te meer riep hij: Zone Davids! ontferm U mijner!
290a310074	En Jezus bleef staan en zeide: Roept hem! En zij riepen den blinde en zeiden tot hem: Heb moed, sta op, Hij roept u!
290a32003c	En hij wierp zijn mantel af, en sprong op en kwam tot Jezus.
290a330088	En Jezus antwoordde en zeide tot hem: Wat wilt gij dat Ik u doen zal? — En de blinde zeide tot Hem: Meester, dat ik ziende mag worden!
290a340074	Jezus zeide tot hem: Ga heen, uw geloof heeft u behouden! — En terstond werd hij ziende, en volgde Hem op den weg.
290b01008c	En toen zij nabij Jerusalem kwamen, bij Bethfage en Bethanië, aan den Berg der Olijven, zond Jezus twee zijner discipelen en zeide tot hen:
290b0200b2	Gaat heen naar het dorp daar vóór u, en terstond als gij er inkomt, zult gij een veulen vastgebonden vinden, waarop nooit een mensch gezeten heeft; maakt dat los en brengt het.
290b030097	En als soms iemand tot u zegt: Waarom doet gij dat? dan moet gij zeggen: De Heere heeft het van doen! en terstond zal hij het wederom naar hier zenden.
290b040074	En zij gingen heen en vonden het veulen vastgebonden bij de deur, buiten aan de open straat, en zij maakten het los:
290b05005b	En sommigen van die daar stonden zeiden tot hen: Wat doet gij, dat gij het veulen losmaakt?
290b060047	Zij nu zeiden tot hen zooals Jezus gezegd had. En ze lieten hen begaan.
290b07005d	En zij brachten het veulen tot Jezus en wierpen hun kleederen daarover, en zetten Hem daarop.
290b08005e	En velen spreidden hun kleederen op den weg, en anderen takken, die ze van de velden afsneden.
290b090064	En die vooraan gingen en die volgden riepen: Hosannah, gezegend Hij die komt in den Naam des Heeren!
290b0a0057	Gezegend het koninkrijk van onzen vader David, dat komt! Hosannah, in het allerhoogste!
290b0b009c	En Jezus kwam naar Jerusalem, naar den tempel; en als Hij alles rondom bezien had en het al avond was geworden, ging Hij uit naar Bethanië met de twaalven.
290b0c0045	En toen zij den volgenden dag uit Bethanië gingen, kreeg Hij honger.
290b0d00c9	En van verre een vijgeboom ziende, die bladeren had, ging Hij er naar toe, of Hij er ook wat aan vinden zou; en er bij gekomen zijnde, vond Hij niets dan bladeren; want het was de tijd der vijgen niet;
290b0e007d	en Hij antwoordde en zeide tot den boom: Tot in eeuwigheid ete niemand meer vrucht van u! — En zijn discipelen hoorden het.
290b0f00d7	En zij kwamen naar Jerusalem, en naar den tempel gegaan zijnde, begon Jezus degenen die in den tempel kochten en verkochten uit te werpen, en de tafels der wisselaars en de zetels der duivenverkoopers keerde Hij om;
290b100040	en Hij liet niet toe dat iemand eenig vat door den tempel droeg;
290b1100ac	en Hij onderwees hen en zeide tot hen: Is er niet geschreven: Mijn huis zal een huis des gebeds genoemd worden voor alle volken? Gij nu hebt het gemaakt tot een roovershol.
290b1200b0	En de overpriesters en de schriftgeleerden hoorden dit, en zochten hoe zij Hem zouden dooden. Want zij vreesden Hem, omdat de gansche schare verbaasd stond over zijn onderwijs.
290b130037	En toen het avond was geworden vertrok Hij uit de stad.
290b14005d	En des morgens vroeg voorbijgaande zagen zij dat de vijgeboom verdord was van de wortelen af.
290b150077	En Petrus, dit indachtig geworden zijnde, zeide tot Hem: Meester, zie de vijgeboom dien Gij vervloekt hebt, is verdord!
290b160039	En Jezus antwoordde en zeide tot hen: Hebt geloof in God!
290b1700c0	Voorwaar Ik zeg ulieden, zoo wie tot dezen berg zou zeggen: Hef u op en werp u in de zee! en niet twijfelt in zijn hart, maar gelooft dat wat hij zegt geschieden zal, — het zal hem geworden!
290b18006d	Daarom zeg Ik ulieden: al wat gij bidt en begeert, gelooft dat gij het ontvangen zult, en het zal u geworden.
290b19009b	En als gij staat om te bidden, vergeeft het dan als gij iets hebt tegen iemand, opdat ook uw Vader, die in de hemelen is, ulieden uw overtredingen vergeve;
290b1a006d	maar als gijlieden niet vergeeft, dan zal ook uw Vader, die in de hemelen is, uw overtredingen niet vergeven.
290b1b0095	En zij kwamen wederom naar Jerusalem. En terwijl Jezus in den tempel wandelde kwamen tot Hem de overpriesters, en de schriftgeleerden, en de oudsten,
290b1c0071	en zeiden tot Hem: Door welke macht doet Gij deze dingen? of wie heeft U de macht gegeven om deze dingen te doen?
290b1d0082	En Jezus zeide tot hen: Ik zal u ook één ding vragen, en antwoordt Mij, dan zal Ik u zeggen door welke macht Ik deze dingen doe.
290b1e0052	De doop van Johannes, was die uit den hemel of uit de menschen? — antwoordt Mij!
290b1f0085	En zij redeneerden onder malkander zeggende: Als wij zeggen: Uit den hemel, dan zal Hij zeggen: Waarom hebt gij hem dan niet geloofd?
290b20007c	Maar als wij zeggen: Uit de menschen? — Zij vreesden het volk; want allen hielden voor vast, dat Johannes een profeet was.
290b21008e	En zij antwoordden Jezus en zeiden: Wij weten het niet. — En Jezus zeide tot hen: Dan zeg Ik u ook niet door welke macht Ik deze dingen doe.
290c0100d9	En Jezus begon tot hen in gelijkenissen te spreken: Een mensch plantte een wijngaard, en leide er een haag rond, en groef een wijnpers en bouwde een wachttoren, en verhuurde hem aan landlieden, en reisde buitenslands;
290c020084	en toen het tijd was, zond hij een dienstknecht tot de landlieden, om van de landlieden te ontvangen van de vruchten des wijngaards.
290c030037	Doch zij grepen en sloegen hem en zonden hem ledig weg.
290c040077	En wederom zond hij tot hen een anderen dienstknecht; en dezen sloegen zij een wonde aan het hoofd en mishandelden hem.
290c050067	En hij zond wederom een anderen, en dezen doodden zij; en vele anderen, die zij of sloegen, of doodden.
290c060079	Als hij dan nog één beminden zoon had, zond hij ten laatste dezen tot hen, zeggende: Zij zullen toch mijn zoon ontzien!
290c07007b	Maar die landlieden zeiden tot malkander: Deze is de erfgenaam! komt, laat ons hem dooden, en de erfenis zal voor ons zijn!
290c080042	En zij grepen en doodden hem, en wierpen hem buiten den wijngaard.
290c09007d	Wat zal dan de heer van den wijngaard doen? — Hij zal komen en de landlieden ombrengen, en den wijngaard aan anderen geven.
290c0a007c	Hebt gij ook deze Schrifture niet gelezen: De steen, dien de bouwlieden hebben verworpen, die is geworden tot een hoeksteen;
290c0b003c	van den Heer is dit geschied en het is wonder in onze oogen?
290c0c0098	En zij zochten Hem te grijpen, en vreesden het volk, want zij verstonden dat Hij de gelijkenis op hen gesproken had; en zij verlieten Hem en gingen weg.
290c0d0067	En zij zonden tot Hem eenigen van de fariseërs en van de herodianen, om Hem in zijn woorden te vangen.
290c0e00fe	En zij kwamen tot Hem en zeiden: Meester, wij weten dat Gij waarachtig zijt, en niemand ontziet, want Gij ziet niet naar het aangezicht der menschen, maar leert den weg Gods naar waarheid. — Is het geoorloofd belasting aan den keizer te geven, of niet?
290c0f006b	Hij nu zag hun geveinsdheid en zeide tot hen: Wat verzoekt gij Mij? brengt Mij een penning, dat Ik hem zie.
290c100078	En zij brachten Hem er een. En Hij zeide tot hen: Van wien is dit beeld en het opschrift? Zij nu zeiden: Van den keizer!
290c110085	Jezus dan zeide tot hen: Geeft dan aan den keizer wat den keizer, en aan God wat Gode toekomt! — En zij verwonderden zich over Hem.
290c120066	En er kwamen sadduceërs tot Hem, die zeggen dat er geen verrijzenis is, en zij vroegen Hem, zeggende:
290c1300d4	Meester, Mozes heeft ons voorgeschreven dat, als iemands broeder sterft en deze een vrouw, maar geen kind nalaat, dat dan zijn broeder de vrouw moet nemen en voor zijn gestorven broeder nakomelingschap verwekken.
290c140068	Er waren nu zeven broeders; en de eerste nam een vrouw en liet bij zijn sterven geen nakomelingschap na;
290c150064	en de tweede broeder nam haar en liet bij zijn sterven geen nakomelingschap na; en de derde evenzoo;
290c16006d	en al de zeven namen haar en lieten geen nakomelingschap na; ten laatste van allen is ook de vrouw gestorven.
290c170082	In de verrijzenis nu, als zij zullen verrezen zijn, van wien zal zij dan de vrouw zijn? want de zeven hebben haar tot vrouw gehad.
290c180068	Doch Jezus zeide tot hen: Dwaalt gij niet daarom, dat gij de Schrifturen niet kent, noch de kracht Gods?
290c19007e	Want wanneer zij uit de dooden verrijzen, zullen zij niet trouwen of getrouwd worden, maar zij zijn als engelen in de hemelen.
290c1a00d8	Aangaande de dooden nu, dat zij verrijzen zullen, hebt gij niet gelezen in het boek van Mozes, hoe God bij den braambosch tot hem sprak, zeggende: Ik ben de God van Abraham, en de God van Isaäk, en de God van Jakob?
290c1b0046	Hij is niet de God van dooden, maar van levenden. Gij dwaalt dan zeer!
290c1c00a8	En een der schriftgeleerden, die hen had hooren redetwisten, kwam tot Hem, en wetende dat Hij hun goed had geantwoord, vroeg hij Hem: Wat is het eerste gebod van allen?
290c1d0057	Jezus antwoordde: Het eerste is: Hoor Israël, de Heere, onze God, is een éénig Heer!
290c1e0088	en gij zult den Heere, uwen God, beminnen uit geheel uw hart, en uit geheel uw ziel, en uit geheel uw verstand, en uit geheel uw kracht;
290c1f006e	het tweede gebod is dit: Gij zult uw naaste beminnen als u zelven, Daar is geen ander gebod, grooter dan deze.
290c20008c	En de schriftgeleerde zeide tot Hem: Juist, Meester! in waarheid hebt Gij gezegd dat er maar één God is, en dat er geen andere is dan Hij;
290c2100d0	en Hem te beminnen uit het geheele hart, en uit het geheele verstand, en uit geheel de ziel, en uit de geheele kracht, en den naaste te beminnen als zich zelven, is meer dan al de brandoffers en slachtoffers!
290c220092	En Jezus zag dat hij verstandig had geantwoord en zeide tot hem: Niet ver zijt gij van het koninkrijk Gods! — En niemand durfde Hem meer vragen.
290c230082	En Jezus antwoordde en zeide, toen Hij onderwijs gaf in den tempel: Hoe zeggen de schriftgeleerden dat de Christus Davids Zoon is?
290c2400b3	David zelf toch heeft gezegd in den Heiligen Geest: De Heere heeft tot mijn Heere gesproken: Zit aan mijn rechterhand totdat Ik uw vijanden gezet heb tot een voetbank uwer voeten?
290c250068	David zelf noemt Hem Heere, en vanwaar is Hij dan zijn Zoon? — En de geheele schare hoorde Hem gaarne.
290c260089	En in zijn onderwijs zeide Hij: Wacht u voor de schriftgeleerden, die gaarne in lange kleederen wandelen en op de markten gegroet worden,
290c270044	en vooraanzitten in de synagogen en vooraanliggen bij de maaltijden;
290c280074	die de huizen der weduwen opeten en voor den schijn lange gebeden doen; dezen zullen een zwaarder oordeel ontvangen.
290c29007d	En Hij ging zitten tegenover de schatkist en zag hoe de schare geld wierp in de schatkist; en vele rijken wierpen er veel in.
290c2a0053	En er kwam één arme weduwe, die twee penningskens er inwierp, dat is een kodrant.
290c2b00a2	En Hij riep zijn discipelen en zeide tot hen: Voorwaar, Ik zeg u dat deze arme weduwe er meer heeft ingeworpen dan allen die in de schatkist geld geworpen hebben;
290c2c0088	want allen hebben er ingeworpen van hun overvloed, maar deze heeft van haar armoede, al wat zij had, er ingeworpen, haar geheelen schat.
290d010082	En toen Jezus uit den tempel ging zeide een zijner discipelen tot Hem: Meester, zie eens, hoedanige steenen en hoedanige gebouwen!
290d020091	En Jezus zeide tot hem: Gij ziet die groote gebouwen? — geen twee steenen zullen op elkander gelaten worden, die niet zullen afgebroken worden!
290d030084	En toen Hij op den Berg der Olijven zat, tegenover den tempel, vroegen Petrus, en Jakobus, en Johannes, en Andreas Hem afzonderlijk:
290d040058	Zeg ons, wanneer zal dat zijn? en wat is het teeken, als dit alles zal volbracht worden?
290d050043	En Jezus begon tot hen te zeggen: Ziet toe, dat u niemand verleide!
290d060058	Velen zullen komen onder mijn Naam, zeggende: Ik ben het! en zij zullen velen verleiden.
290d070083	Als gij dan hooren zult van oorlogen en oorlogsgeruchten, verschrikt niet! want dit moet geschieden, maar nog is het einde er niet.
290d08009c	Want volk zal tegen volk opstaan, en koninkrijk tegen koninkrijk; aardbevingen zullen er allerwege zijn, en hongersnooden! — Dat is het begin der smarten.
290d0900ec	Maar ziet gij toe voor u zelven; want zij zullen u overleveren aan de raadsvergaderingen, en in de synagogen zult gij geslagen worden, en voor stadhouders en koningen zult gij gesteld worden om Mijnentwille, tot een getuigenis voor hen.
290d0a003e	En aan al de volken moet eerst het Evangelie gepredikt worden.
290d0b00cf	En als zij u wegvoeren en overleveren, weest dan te voren niet bekommerd wat gij zeggen zult, maar wat u zal worden gegeven in die ure, spreekt dat; want gij zijt het niet die spreekt, maar de Heilige Geest.
290d0c0098	En de eene broeder zal den anderen broeder overgeven tot den dood, en een vader zijn kind, en kinderen zullen opstaan tegen ouders en zullen hen dooden;
290d0d0075	en gij zult gehaat zijn door allen om mijns Naams wil; maar die zal volharden tot den einde, die zal behouden worden.
290d0e00a6	Wanneer gij dan den gruwel der verwoesting zult zien staan waar hij niet mag zijn—(die het leest lette er op! — dat dan die in Judea zijn naar de bergen vluchten;
290d0f006e	die dan op het dak is, kome niet naar beneden in zijn huis, en ga niet uit om iets uit zijn huis weg te nemen;
290d100044	en die op den akker is, keere niet terug om zijn kleed weg te nemen!
290d110034	Maar wee den zwangeren en den zogenden in die dagen!
290d12002f	Bidt dus, dat dit niet voorvalle in den winter!
290d1300a1	Want in die dagen zal er een verdrukking zijn, zooals er geene is geweest van het begin der schepping, die God geschapen heeft, tot nu toe, en ook niet zijn zal.
290d1400aa	En zoo de Heere die dagen niet verkort had, geen vleesch zou behouden worden; maar ter wille van de uitverkorenen, die Hij uitverkoren heeft, heeft Hij die dagen verkort.
290d150064	En als iemand dan tot ulieden zal zeggen: Zie hier, de Christus! — zie daar! — gelooft het niet.
290d1600a3	Want schijnchristussen en schijnprofeten zullen er opstaan, en zij zullen mirakelen doen en teekenen om te verleiden, als het mogelijk was, zelfs de uitverkorenen.
290d170031	Maar ziet gijlieden toe; Ik heb u alles voorzegd!
290d180067	Maar in die dagen, na die verdrukking, zal de zon duister worden, en de maan zal haar licht niet geven,
290d190069	en de sterren zullen uit den hemel vallen, en de krachten, die in de hemelen zijn, zullen beroerd worden;
290d1a005b	en alsdan zullen zij den Zoon des menschen zien komen in wolken, met veel kracht en glorie;
290d1b0097	en alsdan zal Hij de engelen zenden en zal de uitverkorenen verzamelen uit de vier windstreken, van het uiteinde der aarde tot het uiteinde des hemels.
290d1c0089	Van den vijgeboom nu leert gij deze gelijkenis: Zoodra zijn tak zacht wordt en de bladeren uitbotten, dan weet gij dat de zomer nabij is.
290d1d0065	Zoo ook gijlieden, als gij die dingen ziet geschieden, dan weet gij dat het nabij is, vóór de deur.
290d1e0062	Voorwaar, Ik zeg ulieden, dat deze natie niet zal voorbijgaan, totdat dit alles zal geschied zijn.
290d1f0058	De hemel en de aarde zullen voorbijgaan, maar mijn woorden zullen geenszins voorbijgaan!
290d200069	Maar van dien dag of die ure weet niemand, noch de engelen in den hemel, noch de Zoon, maar wel de Vader.
290d210049	Ziet toe, zijt gereed en bidt! want gij weet niet wanneer het de tijd is.
290d2200b4	Het is zooals een mensch, die buitenslands ging, zijn huis verliet en zijn dienstknechten het bestuur gaf, aan een ieder zijn werk, en aan den deurwachter gebood dat hij waken zou.
290d230087	Waakt dan, want gij weet niet wanneer de heer des huizes komt, of laat, of des middernachts, of tegen den morgen, of des morgens vroeg!
290d240035	opdat hij, onverziens komende, u niet slapende vinde.
290d250037	En wat Ik ulieden zeg, dat zeg Ik tot allen: — Waakt!
290e0100ab	En het feest van Paschen en van de ongedeesemde brooden was na twee dagen; en de overpriesters en de schriftgeleerden zochten hoe zij Hem met list zouden vatten en dooden.
290e020048	Want zij zeiden: Niet op het feest, opdat er geen volksoproer geschiede.
290e0300f0	En als Hij in Bethanië was, in het huis van Simon den melaatsche, terwijl Hij aanlag, kwam er een vrouw die een albasten flesch had met onvervalschten, kostbaren nardusbalsem; en zij brak de albasten flesch en goot die uit over zijn hoofd.
290e040070	Sommigen nu waren er die dit bij zich zelven kwalijk namen, en zeiden: Waartoe dient dit verlies van den balsem?
290e050092	Want deze balsem had kunnen verkocht worden voor meer dan driehonderd penningen, en den armen gegeven zijn! — En zij werden vergramd tegen haar.
290e06006a	Maar Jezus zeide: Laat haar doen; waarom doet gij haar moeite aan? een goed werk heeft zij aan Mij gedaan;
290e07006b	Want de armen hebt gij altijd met u, en als gij wilt kunt gij hun goed doen, maar Mij hebt gij niet altijd;
290e08005a	zij heeft gedaan wat ze kon; zij is mijn lichaam vooraf reeds komen zalven ter begrafenis.
290e0900b1	Voorwaar Ik zeg ulieden: Overal waar het Evangelie zal worden gepredikt, over de geheele wereld, daar zal ook gesproken worden tot haar gedachtenis van hetgeen zij heeft gedaan.
290e0a0069	En Judas Iskariot, een van de twaalven, ging heen tot de overpriesters, om Jezus aan hen over te leveren.
290e0b0086	Dezen nu waren verblijd toen zij dit hoorden en beloofden hem geld te geven; en hij zocht hoe hij Hem ter rechtertijd zou overleveren.
290e0c00bc	En op den eersten dag der ongedeesemde brooden, als men het paaschlam slachtte, zeiden zijn discipelen tot Jezus: Waar wilt Gij dat wij den paaschmaaltijd gaan toebereiden om dien te eten?
290e0d009f	En Hij zond twee zijner discipelen uit en zeide tot hen: Gaat heen naar de stad Jerusalem, en u zal een mensch ontmoeten die een kruik water draagt; volgt hem.
290e0e008d	En waar hij ingaat, zegt daar tot den huisheer: De Meester zegt: Waar is mijn eetplaats, waar Ik het paaschmaal met mijn discipelen zal eten?
290e0f0061	En hij zal u een groote bovenzaal wijzen, toebereid en gereed; en daar zult gij het ons bereiden.
290e10007d	En de discipelen gingen uit en gingen naar de stad, en vonden het zooals Hij hun gezegd had, en zij bereidden het paaschmaal.
290e110038	En toen het avond was geworden kwam Hij met de twaalven.
290e12007c	En toen zij aanlagen en aten zeide Jezus: Voorwaar, Ik zeg ulieden dat één uit ulieden, die met Mij eet, Mij verraden zal.
290e130057	En zij begonnen bedroefd te worden en één voor één tot Hem te zeggen: Ik toch niet?
290e14004f	En Hij zeide tot hen: Eén uit de twaalven, die met Mij in den schotel indoopt;
290e1500b9	de Zoon des menschen gaat wel heen, zooals van Hem is geschreven; maar wee dien mensch, door wien de Zoon des menschen wordt verraden! Het ware hem goed als die mensch niet geboren was!
290e160081	En toen zij aan het eten waren nam Jezus brood, en Hij dankte, en brak het, en gaf het hun, en zeide: Neemt, dat is mijn lichaam!
290e17006c	En den beker nemende, en een dankzegging gesproken hebbende, gaf Hij hun dien, en zij dronken allen daaruit.
290e18005c	En Hij zeide tot hen: Dit is mijn bloed des nieuwen verbonds, dat voor velen wordt vergoten!
290e19009c	Voorwaar, Ik zeg ulieden dat Ik geenszins meer drinken zal van de vrucht des wijnstoks, tot op dien dag, als Ik ze nieuw zal drinken in het koninkrijk Gods.
290e1a0050	En als zij den lofzang hadden gezongen gingen zij uit naar den Berg der Olijven.
290e1b00a4	En Jezus zeide tot hen: Gij allen zult dezen nacht aan Mij geërgerd worden, want er is geschreven: Ik zal den Herder slaan, en de schapen zullen verstrooid worden.
290e1c0040	Maar nadat Ik zal verrezen zijn, zal Ik u voorgaan naar Galilea.
290e1d0050	Petrus nu zeide tot Hem: Al zouden zij ook allen geërgerd worden, ik toch niet!
290e1e0098	En Jezus zeide tot hem: Voorwaar, Ik zeg u dat gij heden, in dezen nacht, eer dat een haan tweemaal zal gekraaid hebben, Mij driemaal zult verloochenen!
290e1f0085	Maar Petrus zeide nog te meer: Al móest ik ook met U sterven, ik zal U geenszins verloochenen! — Desgelijks spraken zij ook allen.
290e20007a	En zij kwamen aan een plaats, genaamd Gethsemane, en Hij zeide tot zijn discipelen: Zit hier neder, totdat Ik gebeden heb.
290e21005f	En Hij nam Petrus en Jakobus en Johannes met zich mede, en begon ontroerd en benauwd te worden,
290e220054	en zeide tot hen: Mijn ziel is diep bedroefd tot stervens toe; blijft hier en waakt!
290e230074	En een weinig voortgaande viel Hij op den grond, en bad dat die ure van Hem mocht voorbijgaan, als het mogelijk was.
290e24007f	En Hij zeide: Abba, Vader! alles is U mogelijk; neem van Mij dezen drinkbeker weg! — Doch niet wat Ik wil, maar wat Gij wilt!
290e250070	En Hij kwam en vond hen slapende, en Hij zeide tot Petrus: Simon, gij slaapt? — kunt gij niet één ure waken?
290e260064	Waakt en bidt, opdat gij niet tot bekoring komt: De geest is wel gewillig, maar het vleesch is zwak.
290e27003b	En wederom ging Hij heen en bad, en sprak dezelfde woorden.
290e280080	En terugkeerende vond Hij hen wederom slapende, want hun oogen waren bezwaard, en zij wisten niet wat zij Hem zouden antwoorden.
290e2900b4	En Hij kwam voor de derde maal en zeide tot hen: Slaapt nu voort en rust! Het is genoeg. De ure is gekomen; ziet, de Zoon des menschen wordt overgeleverd in de handen der zondaren!
290e2a0039	Staat op, laat ons gaan! Ziet, die Mij verraadt is nabij!
290e2b00c0	En terstond, toen Hij nog sprak, kwam Judas Iskariot, één van de twaalven, en met hem een groote menigte, met zwaarden en stokken, van de overpriesters en de schriftgeleerden, en de oudsten.
290e2c0077	De verrader nu had hun een teeken gegeven, zeggende: Dien ik zal kussen, die is het; grijpt Hem en voert Hem zeker weg!
290e2d0061	En toen hij er gekomen was, ging hij terstond op Hem toe en zeide: Meester! — En hij kuste Hem.
290e2e002f	En zij sloegen de handen aan Hem en grepen Hem.
290e2f0075	En één dergenen die er bij stonden trok het zwaard en trof des hoogepriesters dienstknecht en sloeg hem het oor af.
290e300079	En Jezus antwoordde en zeide tot hen: Als tegen een roover zijt gij uitgegaan, met zwaarden en stokken, om Mij te vangen?
