2800000007	Mathayo
2909060028	Atalomele lyone lyone, nibhobhaya bhone.
290907007f	Elile lyejile nilibhaswikila. Niwo lilaka nilisokelela mumele nilyaika, “Unu niwomwana wani mwendwa. mumutegeleshe omwene.”
2909080042	Niwo bhaliga wachelolela, bhatamulolele wona wona oundi tali Yesu.
2909090096	Bhaliga nibhasubha okusoka mwibhanga, abhabhwiliye mutaja kubhwila munu wonewone ago goone mwagalola, mpaka Omwana womunu akasuluka okusoka mukabhuli.
29090a0067	Niwo bhagabhikile amagambo ago bhenekili. Tali bhebhusishe bhenekili insonga “yokusuluka mukabhuli”
29090b0091	Nibhamubhusha Yesu, “Kubhaki abhandiki abhaika Eliya niwo alija okwamba?” Nabhabhwila “Chimali Eliya alija okwamba okusakila ebhinu bhyone.
29090c0049	Kubhaki yandikilwe Omwana womunu kabhona inyanko nyanfu nabhamubhiililwa?
29090d005e	Tali enibhabhwila Eliya alejile, bhamukolelo kutyo bhendele, lwakutyo ligambo elyaika kumwene.
29090e0076	Bhejile bhakasubha kubhanafunzi, bhalolele likumo lyabhanu libhasingiliye Amasadukayo bhaliga nibhabhambashanya nabho.
29090f0043	Bhejile bhakamulola likumo lyone nililugula nilimulubha okumukesha.
2909100042	Nabhabhusha abhanafunzi bhaye, “Omubhambashana nabho chinuki?”
290911005d	Umwi webhwe naika, “Mwiigisha, Namuleta Omwana wani kwawe; anemisambwa ajimukola atakuloma,
290912008e	ejimukola okuyalala nomugwisha ansi, nokusosha amafilo mukanwa kanyaka muno. Nabhasabhwa abhanafunzi bhao okumusosha amasambwa tali bhasingwa.
290913006a	Nabhabhwila olwibhulo olwo lutakwikilisha, enibhanemwe katunguki? enibhanemwe katungukii? Mulete kwani.”
290914004e	Wamuletele Omwana waye. Emisambwa jejile jikamulola Yesu, nijimukola nayalala.
290915007e	Omusigaji aguye ansi nasosha lifilo mukanwa. Yesu namubhusha esemwene omwana, “alwaye kutya alinakatunguki?” achali mulela
2909160068	Lugendo kagwa mumulilo namumanja, nigendo omwita. labha utula okukola chona chona chisaslile uchikolele.
2909170051	Yesu namubhwila, labha wendele? bhulichinu echikolekana kuwonawona oya kekilisha.
2909180057	Niwo esemwene omwana nalilia naika, “Nekilisha! Nsakila okulema okwikilisha kwani.”
290919005a	Akatungu Yesu ejile akalola likumo lyabhanu nilija kwebhwe, namusabhila emisambwa neulila.
29091a005b	Alilile kwa managa nijimunyansha omwana emisambwa nijisokako. Omwana obhonekene kuti afuye,
29091b004f	niwo bhone nibhaika, “Afuye,” tali Yesu amugwatile namwimusha, omwa nemuka.
29091c0066	Akatungu Yesu nengila munyumba, abhanafunzi bhaye nibhamubhusha, “Kubhaki chasingilwe okumusosha?”
29091d003b	Nabhabhwila, kwokukola kutyo jitakusokako tali kwokusabhwa.
29091e007a	Bhasokele aliya nibhalabha Galilaya. Atendele munu wonawona amenye awo bhali, kulwokubha aliga neigisha abhanafunzi bhaye.
29091f007b	Nabhabhwila omwana wo Munu abhamukingya mumabhoko gabhanu, abhamwita. Akabha afuye, akabha afuye lunaku lwakasatu kasuluka.
2909200036	Tali bhatamenyele amagambo ago nibhobhaya okumubhusha.
290921007e	Nibhakinga Karperinaumu. akatungu aliga alimunyumba nabhabhusha, “Mwaliga nimulomaki akatungu chilimunjila?” Nibhajibhila.
290922003e	kulwokubha bhaliga nibhabhambashanya munjila niga agali mkulu.
2909230084	Eyanjile ansi amwi nabhanafunzi bhaye, naloma nabho, “Labha wonawona oyokenda okubha wokwamba, kabha womalisha niwe mkosi wabhona.
2909240046	Amugegele omwana namuta agati yebhwe, amuyekele mumabhoko gaye, naika,
2909250086	Wonawona oyo kamulamila omwana lwaunu mwisina lyani lwaunu, kandamila anye, omunu akangamila anye, atakundamila anyela, noyo antumile.
290926007d	Yohana namubhwila, “Mwiigisha chamulolele omunu nasosha emisambwa kwalisina lyao nichimuganya, kulwokubha atakuchilubha.”
2909270086	Nawe Yesu naika, “Mutaja omuganya, kulwokubha ataliwo oyo alikola emilimu misito mwisina lyani naika misango mibhibhi mwisina lyani.
2909280034	Wonawona oyo ataliinyuma neswe, alikulubhala lweswe.
290929007c	Wonawona oyo kakuyana echikompe chamanji gokunywa kulwokubha ulina Kristo, Chimali enibhabhwila atakubhusha echibhalo chaye.
29092a0089	Wonawona oyo kabhayabhisha abhatilu bhatu abhanyikilisha anye, yakabheye bhwakisi okubhoywa libhii lyoshela mubhicha nolagashwa munyanja.
29092b009f	Labha okubhoko kwao kukakuyabhisha kuteme. Nibhwakisi okwingila mubhuwanga utali nokubhoko nokwingila mumulilo ulina mabhoko gone. mumulilo “Gunyantasima”.
29092c002b	Awo amafunyo gatakufwa nomulilo gutakusima.
29092d007d	Labha okugulu kwao kukakuyabhisha, kuteme. Nibhwakisi okwingila mubhuwanga uli mulema, nokwingila mumulilo ulina magulu gone.
29092e002b	Awo amafunyo gatakufwa nomulilo gutakusima.
29092f0097	Labha eliso lyao likakuyabhya lishoshemo. Nibhwakisi okwingila mubhukama bhwa Nyamuwanga ulina liso limwi, nokwingila nameso gabhili nuweshwa mumulilo.
2909300030	Awo gali amafunyo gatakufwa nomulilo gutakusima.
2909310029	Kulwokubha bhuli umwi alikolela nomulilo.
2909320090	Omunyu nigwakisi, labha omunyu gukalema onula oukola kutiki gunulile? mulabha nomunyu mumwyoyo jemwe bhenekili, nokubha nomulembe bhuli umwi.”
290a010094	Yesu asokelao nagenda mumukoa gwobhuyaudi imbele yomugela gwayorodani, nalikumo lyabhanu nilimulubha bhuyaya. Nabheigisha bhuyaya, lwakutyo akolaga.
290a02005d	Amafarisayo bhejile okumusaka nibhamubhusha, “Nibhwakisi omulume okumusiga omugasi waye?”
290a03002c	Yesu nabhabhwila, “Musa abhalagiliyeki?”
290a040044	Nibhaika, “Musa achibhwiliye okumwandikila echeti nomubhilimya.”
290a050050	Kulwokubha emyoyo jemwe jikomee nicho ambhandikiye ichilagilo, Yesu nabhabhwila.
290a060043	Kubhwambilo bhwomogwa insi, 'Nyamuwanga amogele omulume no mugasi.'
290a070047	Kulwokubha Omulume kamusiga esemwene na nyilamwene nabha nomugasi waye,
290a080056	kubhone bhabhili abhabha chinu chimwi; kulwokubha bhatali bhabhili nawe mubhili gumwi.
290a090036	Echo agwatenye Nyamuwanga, Omunu ataja ochitaganya.”
290a0a004d	Bhaliga bhali munyanja, abhanafunzi bhaye nibhamubhusha bhuyaya ligambo elyo.
290a0b0062	Nabhabhwila”Wonawona oyokamusiga amugasi waye natwala omugasi owundi, kakola echibhibhi kumwene.
290a0c0049	Omugasi akamusiga omulume natwalwa nomulume owundi, kakola echibhibhi.”
290a0d0059	Nibhamuletela abhana bhebhwe abhalela abhayane amabhando, tali abhanafunzi nibhabhaganya.
290a0e00a1	Nawe Yesu ejile akamenya, atakondelesishwe nabhabhwila “Mubhasige abhana abhalela bhaje kwanye, kulwokubha abhanu lwabhanu obhukama bhwa Nyamuwanga nibhwebhwe.
290a0f008e	Chimali enibhabhwila, Wonawona oyoatakulamila obhukama bhwa Nyamuwanga lwomwana omulela Chimali atakutula okwingila mubhukama bhwa Nyamuwanga.
290a100061	Niwo nabhayeka abhana mumabhoko gaye nabhayana amabhando nabhatelako amabhoko gaye ingulu yebhwe.
290a1100a1	Ejile akamba olugendo lwaye munu umwi abhilimile nateja ebhijwi imbele yaye, namubhusha, “Mwiigisha wakisi, Nikole kutiki nibhulole obhukama bhwa kajanende?”
290a12005a	Yesu naika, “Kubhaki oumbilikila wakisi? Ataliwo oyo aliwakisi, Niwe Nyamuwanga wenyele.
290a130084	Oumenya echilagilo: Utajakwita, utaja kusihana, utaja kwibha, utaika lulimi, utaja kujiga, bhayane echibhalo esomwana na nyokomwana.
290a140049	Omunu uliya naika, “Mwiigisha, ganu gone nagamenyele nichali mulela.”
290a1500b1	Yesu amuloleleye namwenda. Namubhwila “Oulebhya chinu chimwi. Owendibhwa okugusha bhinu bhyone ebhyo ulinabhyo nakubhayana abhataka, oubhona libhando mulwile. Niwouje undubhe.
290a160057	Nafwa omutima okubhwilwa amagambo ago, nagenda asulumbaye, kulwokubha aliga alimunibhi.
290a170069	Yesu nalola wone nabhabhwila abhanafunzi bhaye, “Kukomee kumunibhi okwingila mubhukama bhwa Nyamuwanga!
290a180081	Abhanafunzi nibhalugushwa namagambo ago. Nawe Yesu nabhabhwila bhuyaya, “Abhana, nikukomee okwingila mubhukama bhwa Nyamuwanga!
290a190066	Kwolobhele ingamiya okulabha mwiundu lya insiga, tali omunibhi okwingila mubhukama bhwa Nyamuwanga.”
290a1a002e	Bhalugulime muno nibhaikana, “Niga kakila”
290a1b0065	Yesu nabhalola naika, “Kumunu Kukomee, tali kunyamuwanga. kulwokubha Kunyamuwanga gone agatulikana.
290a1c003e	Petro nambaokuloma nage, “Lola chasiga bhyone chakulubha.”
290a1d00c4	Yesu naika, “Chimali enibhabhwila emwe, ataliwo oyo asiga inyumba, nolo muyalawabho, nolo mutabhani wabho, nolo nyilamwene, nolo mwana, nolo esemwene, nolo insambu, nalubha anye naligambo lyani,
290a1e00a3	Oyo alalema olamya egana muno kwaoli anu kuchalo: inyumba, mulawabho, muyalawabho, nyilamwene, abhana, isambu, kwonyaka, nainsi eyo eija nobhuwanga bhwa kajanende.
290a1f0063	Tali abhanfu abhakubhwambilo bhalibha bhomalisha nabho bhalibha bhomalisha bhalibha bhokubhwambilo.
290a2000f3	Akatungu bhalimunjila, okuja Yerusalemu, Yesu aliga atangatileyo. Abhanafunzi nibhalugula, nabho bhaliga nibhabhasoka inyuma nibhobhaya. Niwo Yesu nabhasosha kumbali bhaliya ekumi nabhabhili namba okubhwilwa echochija okumubhona munaku jayeyi:
290a21008a	Lola, echigenda Yerusalemu, omwana womunu kakingibhwa kubhakuhani, abhakulu nabhandiki. abhamulamula afwe nabhalimusosha kubha nyamaanaga.
290a220070	Bhalimugaya, bhalimufubhulila amachwanta, bhalimubhuma najinsimbo, nabhamwita. Nawe kulunaku lwakasatu kasuluka.
290a230085	Yakobho naYohana, abhana bha Zebedayo, bhejile kwaye nibhaika, “Mwiigisha, echikusabhwa uchikolele chonachona echochilakusabhwa.”
290a240022	Nabhabhwila omwenda nibhakoleleki?
290a25005b	Nibhaika chikilisishe chibhe bhone mubhukama bhwao, umwi mukubhoko kwolumosi aundi mukulyo.
290a260035	Tali Yesu nabhabhwila, “Mutakumenya echo omusabhwa.
290a270077	nabhabhwila Omutula ochinywela echikompe echo nilachinywela nolo okubha mubhubhatijo obhwo nilabhatijibhwa, omubhutula.
290a280065	Nawe oyokabha mukubhoko kwani kwokulyo aukwolumosi atalianye wososha, tali nibhaliya abho bhasolelwe.
290a29005c	Abhanafunzi abhandi ekumi bhejile bhakongwa ago, nibhamba okubha bhiililwa Yakobho naYohana.
290a2a00aa	Yesu nabhabhilikila kwaye naika, “Omumenya kutyo abhatangasha bhabhanu bhabhanyamaanga abhabhatangasha, nabhanu bhebhwe abhamenyekane abhabholesha obhutulo bhwebhwe.”
290a2b0024	Nawe kutalikisi okubha kutyo kwemwe.
290a2c006e	Wonawona oyo alabha mukulu agati yemwe abhatangashe, Wonawona oyo alibha wokwamba kwemwe kabha mukosi wabhona.
290a2d005e	Kulwokubha omwana womunu atejile okukolelwa tali okutangasha, nokusosha isangama yaye kubhona.
290a2e0091	Nibhaja Yeriko. Akasoka Yeriko nabhanafunzi bhaye nalikumo lyabhanu, Omwana waTimayo, Batimayo, Omuwofu omusabhilishi, eyanjile mumbali yainjila.
290a2f005e	Ejile akongwa ni Yesu Munazareti, ambile okuyogana naika, “Yesu, Omwana wa Daudi, nsasila”
290a300073	Bhanfu bhamuganyishe omuwofu, nibhamubhwila ajibhile. Nawe alilile elaka enene muno, “Mwana wa Daudi, Nsakila.”
290a310067	Yesu emeleguyu naika bhamulete. nibhamubhilikila omuofu uliya, nibhaika “Imuka Yesu kakubhilikila.”
290a320039	Nayesa ingubho ingubho yaye, nabhilima muno, naja kuyesu.
290a33006c	Yesu namubhusha naika, “Owenda nikukoleleki?” Omulume uliya omuofu naika “Mwiigisha, enenda nilole.”
290a340070	Yesu namubhwila, “Genda iimani yao yakwiulisha.” Awo awo amesoso gaye nigalola, namulubhilisha Yesu kunjila.
290b01008c	Akatungu bhejile bhakaja Yerusalemu, nibhalebhelela Besthfage naBethaniya, kwibhanga lye mizeituni, Yesu nabhalagilila abhanafunzi bhabhili,
290b020085	nabhabhwila, “Mugende munsi eyo ilyayeyi neswe. mkakinga omwo, omwiisanga insikili eyo ichali kulinywa. muibhoye namwiilete kwanye.
290b030068	Munu Wonawona akabhabhusha, 'Kubhaki omukola kutyo?' mwaike, Bhwana kayenda labha akamala kaisubhya anu.
290b040040	Bhagendele nokwiisanga insikili ibhoyelwe mulutanga, nibhaigega.
290b05005d	bhaliga bhaliwo abhanu bhemeleguyu aliya nibhabha bhusha, “Kubhaki omusibhula insikili eyo?
290b060048	nibhabhabhwila lwakutyo Yesu abhabhwiliye, abhanu nibhabhasiga bhagende.
290b07005e	Bhanafunzi bhabhili bhaioetele insikili ku Yesu nibhanja jingubho jebhwe ingulu Yesu alinyeko.
290b080068	Bhanu bhanfu nibhanja ningubho jebhwe kunjila, abhandi nibhanja amabhabhi agobhatemele okusoka mumalugu.
290b090070	Abho aliga alinabho nabho bhamulubhilishaga bhambile oyogana, “Hosana! Anamabhando oyokaja mwisina lya Bhwana.
290b0a0051	Bhubhone amabhando obhukama obhwobhuja obhwa lata Daudi! Hosana oyo aliingulu.”
290b0b0085	Niwo Yesu nengila Yerusalemu naja mukanisa nalola bhulichinu. Akatungu kaliga kagendele, nagenda Bethania amwinabho ekumi nabhabhili.
290b0c004f	Olusiku olwo lwalubhiye, akatungu nibhasubha okusoka Bethania. aliga anainjala.
290b0d00ca	Nalola amabhabhi galiti lya mutini kula, nagendaolola labha alatula okubhonako chonachona ingulu yalyo. Ejile akkingao, Atabhwene chonachona asangile mabhabhiila, kulwokubha yaligaitali nsiku ya mutini.
290b0e0067	“Nalibhwila Ataliwo Wonawona oyo alilya litunda okusoka kwao bhuyaya.” Abhanafunzi bhaye nibhongwa.
290b0f00c6	Bhejile Yerusalemu, omwene nengila mukanisa namaba okubhasosha anja abhagusha nabhagusi bhebhinu mukanisa. najigwisha jimeja jabho bhaliga nibhaingyanya jiyela nebhitebhe bhyabho bhagushaga jinguti.
290b100046	Atekilishishe Wonawona okugega chonachona mukanisa kwibhyo bhagushaga.
290b110084	Abheigishishe naika, “itandikilwe, 'inyumba yani ilibhilikilwa nyumba yosabhilwamo bhanubhona?' Tali mwaikola nyumba yebhi bhibhi.
290b12009f	Abhatangasha abhakulu nabhandiki bhongwaga kutyo alomaga, niwo nibhaiga injila yomwita. Nawe bhamubhaile kulwokubha likumo lyabhanu lyalugulile ameigisha gaye.
290b13002c	Akatungu kakegolo kakingaga, nibhaja mujini.
290b14004f	Bhaliga nibhalibhata katondo, nibhalilola liti lyo mutini lyumile nemisi jalyo.
290b15004d	Petro ejukile naika, “Rabi! Lola, liti lyo mutini elyo wafumilisishe lyoma.
290b160031	Yesu nabhabhwila,”Mulabha naiiman kunyamuwanga.
290b1700b6	Mwikilishe enibhabhwila ati oyo alalibhwila libhanga linu, 'Sinduka wenyele, ujokwilasa munyanja, labha kekilisha mumwoyo gwaye echoaika echibhonekana, nikwokutyo Nyamuwanga alakola.
290b18006c	Kulwokubha enibhabhwila: bhulichinu echomusabhwa nokubhusha kwaye, mwikilishe ati omubhona, ebhibha bhyemwe.
290b190078	Akatungu mukemelegulu nokusabhwa mubhasasile abho mubhayabhiye, Esomwana oyo ali mulwile abhasasile ebhi bhibhi bhyemwe.
290b1a005d	“Nawe mukalema okusasila nolo esomwana oyo alimulwile atakubhasasila ebhi bhibhi bhyemwe”
290b1b006d	Bhejile Yerusalemu. Yesu aliganalibhata mukanisa, abhatangasha abhakulu, abhandiki nabhakaluka bhejile kwaye.
290b1c006e	Nibhamubhwila “Oukola magambo ganu kwobhutulo ki?” “Niga akuyanile obhutulo bhwokukola amagambo ganu?”
290b1d0071	Yesu Nabhabhwila, “Enibhabhusha chinu chimwi. Mumbwile anyona enibhabhwila enikola amagambo ganu kwobhutulo ki.
290b1e0042	Obhubhatijo bhwa Yohana bhwasokele Mulwile aukubhanu? mumbwile.”
290b1f0069	Nibhelomela bhone nibhaika, “labha chikaika, 'bhwasokele Mulwile', kaika, 'kubhwaki mutamwikilishishe?'
290b200072	Nawe chikaika, bhwasokele kubhanu, bhobhaile abhanu, kulwokubha bhona bhamenyaga Yohana aliga Mukosi wanyamuwanga.
290b210083	Niwo Nibhamubhwila nibhaika, “Chitakumenya. Niwo Yesu nabhabhwila, “Anyona nitakubhabhwila enikola amagambo ganu kwabhutulo ki.
290c0100f0	Niwo Yesu namba okubheigisha kwemifano. Naika, “Omunu ayambile lishamba lyemizabibu, nalisingilisha olugo, nashamba elyobho elyo konjelamo impaye. Nombaka omunala neya nabhatamo abhalimi mwishamba lyemizabibu. neya nabhanolugendo lwakula.
290c020072	Akatungu kejile okinga amutumile omukosi waye kubhalimi bhemizabibu okulamila okusoka kwebhwe amatunda gemizabibu.
290c030044	Tali bhamugwatile, nibhamubhuma, Nibhamubhilimya atalina chonachona.
290c04005d	Namulagilisha kwebhwe omukosi oundi, nibhamuutasha mumutwe nibhamukolela amagambo gajinswalo.
290c05007c	Niwo namulagilisha oundi, oyo umwi nibhamwita. bhabhakoleye abhandi bhanfu amagambo lwago, nibha bhabhuma nabhandi okubheta.
290c060089	Aliga achali namunu umwi muno wokumutuma, mwana mwendwa. Niwe abheye womalisha oyoatumilwe kwebhwe. Naika “Abhamwikilisha omwanawani”
290c070065	Tali abhalimi nibhelomela bhene kubhene, Unu niwe kanyachinu. muje, chimwite, lishamba elibha lyeswe.
290c080040	Bhamwingiliye, nibhamwita nokumwesa anja yalishamba lyemizabibu.
290c090088	Mbe kakola kutiki owalishamba lye mizabibu? Alija nobhabhilimwa abhalimi bhe mizabibu nokubha yana lishamba lye mizabibu abhanu abhandi.
290c0a0062	Muchaliga osoma ligambo linu? “libhwii elyo abhombaki bhalilemele, lyamabha libhwii lya kumbali.
290c0b0038	Linu lyasokele kubhwana, nanilyolugusha mumeso geswe.”
290c0c0091	Bhaigile okumugwata Yesu, Nawe bhobhaile abhanu, kulwokubha bhamenyele ati amagambo ago kaika kabhaikila abhene. Niwo nibhamusiga nibhaja jebhwe.
290c0d0048	Niwo nibhabhatuma abhafarisayo namaherodia kumwene bhamubhushe emisango.
290c0e00fa	Bhejile bhakakinga, nibhamubhwila, “Mwiigisha echimwenya kutyo outegelesha bhulimunu nautakwelesha obhupendeleo kubhanu. Owiigisha injila ya Nyamuwanga muchimali. Chibhwile Nikwakisi okuliya ikodi muserikali nawe pai? echitula okuliya nawe chisige?
290c0f0065	Nawe Yesu aliga amenyele insonga yebhwe nabhabhwila, “Kubhaki omundoja? Munane isilingi niilole.”
290c10006f	Nibhaleta imwi ku Yesu, Nabhabhwila, isilingi inu necho chandikilwe anu nichaga? Nibhaika, “Niyaiserikali.”
290c11006a	Yesu Nabhabhwila, “Muyane iserikali ebhinu bhyaye Na Nyamuwanga ebhinu vya Nyamuwanga. “Nibhamulugula.
290c120056	Niwo Amasadukayo, nibhaika bhutaliwo bhusuluko, Nibhamulubha. Nibhamubhusha, nibhaika,
290c130099	Mwiigisha, Musa achandikiye ati 'Omukobhe wao akafwa namusiga omugasi waye bhatebhuye nage, Omunu kamugega omugasi womukobhe wabho, nebhula nage abhana.'
290c140057	Bhaliga bhaliwo bhakobhe mwenda, owokwamba natwala omugasi neya nafwa, bhatebhuye nage.
290c150049	Owakabhili namugega omwenona nafwa, atasigile mwana. owakasatu ona kutyo.
290c160035	Nowamwenda nafwa atasigile mwana. Neya omugasi nafwa.
290c17006d	Akatungu kosuluka, bhakasuluka bhuyaya, Alibha mugasi waga? kulwokubha bhone mwenda bhaliga bhalume bhaye.”
290c18005e	Yesu nabhabhwila, kulwokubha bhabha yabhisishe Mutakumenya ligambo na managa ga Nyamuwanga?”
290c190062	Akatungu kokusuluka okusoka mukabhuli, bhatalitwala notwalwa bhalibha lwa bha malaika bha Mulwile.
290c1a00d1	Tali, abhafuye abho abhasululwa, mutasomele okusoka muchitabho cha Musa, mumagambo gali poli, kutwo Nyamuwanga aikile namubhwila, 'Anye ni Nyamuwanga wa Abrahamu, Nyamuwanga wa Isaka, na Nyamuwanga wa yakobho?
290c1b0050	Omwene atali Nyamuwanga wabhafuye, Tali abho abhesiya. Nichimali mwamulamila.”
290c1c0086	Umwi wabhamdiki ejile nategelesha amagambo ago; Nalola ati Yesu abhabhwiliye kisi. Namubhusha “Nichilago ki echakisi kula bhyone?”
290c1d0058	Yesu naika “Eyakisi niinu, “Yungwa, Israeli, Bhwana Nyamuwanga weswe, Bhwana niumwi.
290c1e0073	Mwende Bhwana Nyamuwanga wao, kwo mwoyo gwao gwone, nomutima gwao gwone, nobhwenge bhwao bhwone, namanaga gao gone.
290c1f007a	Echilago chakabhili nichinu 'Mwende jirani wao lwakutyo owiyenda mwenekili.' Chitaliwo chilago chindi chinene lwachinu.”
290c20006b	Omwandiki naika, 'Nikwakisi Mwiigisha! Waika echimali ati Nyamuwanga niumwi, Nati ataliwo owundi lwo mwene.
290c21008e	Okumwenda omwene kumwoyo gwone, kubhwenge bhwone, na managa gone, nokumwenda jirani wao mwenekili, Nikwakisi muno okukila isadaka ya mukanisa.
290c2200a6	Akatungu Yesu ejile akalola asosha magambo gakisi, namubhwila, “Awe utali kula Nobhukama bhwa Nyamuwanga.” ejile akamala ataliwo oyo amubhusishe chinu chonachona.
290c230062	Yesu naika, akatungu aliga neigisha mukanisa, naika, “abhandiki abhaika Kristo nimwana wa Daudi?
290c24008c	Daudi mumagambo gaye kaika, 'Bhwana naika ku Bhwana wani, iyanja mukubhoko kwani kwobhulyo, nibhakole abhakai bhao okubha ansi yamagulu gao.
290c250079	Daudi mwenekili kamubhilikila Kristo, 'Bhwana' Mbe nimwana wa Daudi kutiki? likumo lyabhanu lamutegeleshishe likondelewe.
290c260081	Mumeigisha gaye Yesu aikile, “Mulabha bhengeso na bhandiki, abhoabhenda okulibhata najikanju jindela nbhabha kesha mumagusisho,
290c270057	Nokwiyanja kubitebhe bhyabhakulu munyumba josabhila namusikukuu awo abheyanja abhakulu.
290c280073	Abhalya jinyumba jabhafwilwa nokusabhwa jisala ndela abhanu bhabhalole. abhanu bhanu bhalilamila ihukumu eyaingulu.
290c2900b0	Niwo Yesu neyanja ansi ayeyi nalisandikwa lya jisadaka munda yalikanisa; nalolaga abhanu abho bhasoshaga jisadaka mwisandikwa. abhanu bhanfu abhanibhi bhasosishe sadaka nyanfu.
290c2a003b	Niwo mugasi omutaka omufwilwa ejile nasosha silingi ebhili.
290c2b00b1	Niwo nabhabhilikila abhanafunzi bhaye nokubhabhwila, “Mwikilishe enibhabhwila, omugasi unu omufwilwa asosha chinu chinene kukila bhone abho bhasosishe mwisandikwa lyajisadaka.
290c2c0097	Kulwokubha bhone bhasosha okwingana nobhwanfu bhwajiyela jebhwe. Nawe omufwilwa unu, okwingana nobhutaka bhwaye, asosha yela yona oyokumusakila omwene.
290d010082	Yesu aliga nalibhata nasoka mkanisa, umwi mubhanafunzi bhaye namubhusha, “Mwiigisha, lola amabhwii ganu agalugusha namayumba!”
290d020082	Namubhwila, oulala amayumba ganu amanfu? litaliwo nolo libhwii limwi elyo lilasigala ingulu yelyejabho elyo litaligwishwa ansi.”
290d030081	Niwo aliga eyanjile ingulu yalibhanga lye mizeituni inyuma ya ikanisa, Petro, Yakobho, Yohana na Andrea Nibhamubhusha kwebhiwewe,
290d04005c	“Chibhwile, amagambo ganu agabha lii? Niki echimwenyegesho cha magambo ganu obhonekana?”
290d05004f	Yesu ambile okubhabhwila, “Mulabha bhengeso munu Wonawona ataja okubhayabhya.
290d06004a	Bhanfu bhalija kwalisina lyani nibhaika, 'Anye niwe', nabhabhajiga bhanfu.
290d070057	Mukongwa obhulemo, mutaja kubhaya; amagambo ganu galibhonekana, Tali obhutelo bhuchali.
290d080089	Insi ilimelegulu nisijana neyejabho, nobhukama bhulisijana nobhwejabho. galibhayo amasingisha chalo nainjala. bhunu nibhwambilo bhwolufu.
290d0900a7	Muwe bhengeso. Abhabhasila kumabhalaja, mulibhumwa munyumba josabhila. abhabhemelegushu, mubhusu bhwa bhatangasha nabhakama kwalisina lyani, kuti bhubhambasi bhwebhwe.
290d0a0028	Nawe ligambo chitali likinge munsi jona.
290d0b0091	Labha bhakabha gwata nokubhasila, mutajakubhaya echo mulaika. Munda yomwanya ogwo, abhabhayana chiya chokwaika; mutaliloma emwe, tali moyo mwela.
290d0c006e	Owabho alimubheelesha owabho nibhamwita. Esemwene nomwana waye. abhana bhalibhendelesha bhesemwene nibhabheta.
290d0d0067	Bhali bhabhiililwa nabhuli munu kwalisina lyani. Nawe oyo alekomesha mpakakubhutelo, omunu oyo alikila.
290d0e0090	Mukalola libhiililwa lyo bhunyamuke limeleguyu aolitakwendibhwa kubha (oyokasoma namwenye) niwo abho bhalimunda ya Yuda bhabhilimile mumabhanga.
290d0f004a	Oyo aliingulu yainyumba atatuka ansi, nolokugega chonachona echochilianja,
290d100030	Noyo alimwishamba atasubha okugega ingubho yaye.
290d110043	Nawe lulibhabhona abhagasi abhagasi bhajinda nabhanenya munaku ejo!
290d12002c	Musabhe ati gatabhonekana mukatungu kaimbeo.
290d130087	kulwokubha ilibhao inyanko nyanfu, eyo ichaliga kubhonekana okusoka Nyamuwanga amogee insi, mpakalelo, italiwo, italibhonekana bhuyaya.
290d14007a	Mpakabhwana apunguje jinsiku, gutaliwo mubhili ogwo gulikila, tali kwabho bhasolelwe, abho alibhasola, alipunguja jinsiku.
290d15004e	Akatungu ako munu Wonawona akabhabhwila, lola Yesu alyanu naliya! mutekilisha.
290d16007c	Kulwokubha abha Kristo nabhalagi bholulimi bhalisosha ebhimenyegesho nebhilugusho, koleleki bhabhajige, nabhaliya abhasolwa.
290d170039	Mulabha bhengeso! Nabhabhwila ganu gone kachali akatungu.
290d180050	Tali ikalabhao inyanko yajinsiku ejo, lisubha lilibha mwilima, okwesi kutalyaka,
290d190046	Jinyota jiligwa okusoka mulwile, namanaga ago galimulwile bhaligongwa.
290d1a0046	Niwo bhalimulola omwana womunu naja mumele kwa managa manfu nalikusho.
290d1b0097	Niwo alilagilisha bhamalaika bhaye nalibhakumanya abhasolwa bhaye okusoka mumbala jone jechalo, okusoka kubhumalisisho bhwechalo nakubhutelo bhwolwile.
290d1c007a	Kwamutini mwiigile. lwakutyo litabhi elitula okulagasha nokutako bhwangu amabhabhi gaye, niwo mulimenya olwanda lulyayeyi.
290d1d0056	Nkokutyo jili, Mukalola amagambo ganu nigabhonekana, mumenye ati alyayeyi, nomulyango.
290d1e0059	Chimali, enibhabhwila, Olwibhulo lunu lutakulabhao kula amagambo ganu gachali obhonekana.
290d1f0042	Olwile nainsi jililabhao, tali ligambo lyani litalilabhao kafwile.
290d200062	Nawe olusiku olwo nakatungu, ataliwo oyakamenya, nolo bhamalaika bha Mulwile nolo Mwana tali Lata.
290d21006f	Mulabha bhengeso, Lola, kulwokubha mutakumenya nikatunguki agabhonekana. “Mulangalila, mulole namulasabhwa”
290d2200a5	Nilwakutyo omunu kaja mulugendo: nasiga inyumba yaye, namutamo omwangalisi waye abhe mutangasha wainyumba, bhuli umwi nomulimu gwaye, nokumubhwila omulindi angalile.
290d23007f	Mbe mulangalila! kulwokubha mutakumenya nilii kanyanyumba kasubha ika, amwi nikegolo, amwi ingeta, amwi mulugulu amwi akatondo.
290d24002f	akaja mwanya gwona gwona, atabhasanga mumamile.
290d250033	Echo enaika nawe enaika nabhulimunu. Mulasabhwa”!
