0100000007	Genèse
04121000a6	Tu les feras racheter dès l’âge d’un mois, d’après ton estimation, au prix de cinq sicles d’argent, selon le sicle du sanctuaire, qui est de vingt guéras.
041211012d	Mais tu ne feras point racheter le premier-né du bœuf, ni le premier-né de la brebis, ni le premier-né de la chèvre: ce sont des choses saintes. Tu répandras leur sang sur l’autel, et tu brûleras leur graisse: ce sera un sacrifice consumé par le feu, d’une agréable odeur à l’Éternel.
041212006d	Leur chair sera pour toi, comme la poitrine qu’on agite de côté et d’autre et comme l’épaule droite.
041213012f	Je te donne, à toi, à tes fils et à tes filles avec toi, par une loi perpétuelle, toutes les offrandes saintes que les enfants d’Israël présenteront à l’Éternel par élévation. C’est une alliance inviolable et à perpétuité devant l’Éternel, pour toi et pour ta postérité avec toi.
04121400ce	L’Éternel dit à Aaron: Tu ne posséderas rien dans leur pays, et il n’y aura point de part pour toi au milieu d’eux; c’est moi qui suis ta part et ta possession, au milieu des enfants d’Israël.
041215008a	Je donne comme possession aux fils de Lévi toute dîme en Israël, pour le service qu’ils font, le service de la tente d’assignation.
0412160091	Les enfants d’Israël n’approcheront plus de la tente d’assignation, de peur qu’ils ne se chargent d’un péché et qu’ils ne meurent.
04121700e4	Les Lévites feront le service de la tente d’assignation, et ils resteront chargés de leurs iniquités. Ils n’auront point de possession au milieu des enfants d’Israël: ce sera une loi perpétuelle parmi vos descendants.
04121800ea	Je donne comme possession aux Lévites les dîmes que les enfants d’Israël présenteront à l’Éternel par élévation; c’est pourquoi je dis à leur égard: Ils n’auront point de possession au milieu des enfants d’Israël.
0412190025	L’Éternel parla à Moïse, et dit:
04121a00e5	Tu parleras aux Lévites, et tu leur diras: Lorsque vous recevrez des enfants d’Israël la dîme que je vous donne de leur part comme votre possession, vous en prélèverez une offrande pour l’Éternel, une dîme de la dîme;
04121b0080	et votre offrande vous sera comptée comme le blé qu’on prélève de l’aire et comme le moût qu’on prélève de la cuve.
04121c00e8	C’est ainsi que vous prélèverez une offrande pour l’Éternel sur toutes les dîmes que vous recevrez des enfants d’Israël, et vous donnerez au sacrificateur Aaron l’offrande que vous en aurez prélevée pour l’Éternel.
04121d00b3	Sur tous les dons qui vous seront faits, vous prélèverez toutes les offrandes pour l’Éternel; sur tout ce qu’il y aura de meilleur, vous prélèverez la portion consacrée.
04121e0098	Tu leur diras: Quand vous en aurez prélevé le meilleur, la dîme sera comptée aux Lévites comme le revenu de l’aire et comme le revenu de la cuve.
04121f0096	Vous la mangerez en un lieu quelconque, vous et votre maison; car c’est votre salaire pour le service que vous faites dans la tente d’assignation.
04122000c0	Vous ne serez chargés pour cela d’aucun péché, quand vous en aurez prélevé le meilleur, vous ne profanerez point les offrandes saintes des enfants d’Israël, et vous ne mourrez point.
0413010031	L’Éternel parla à Moïse et à Aaron, et dit:
04130200df	Voici ce qui est ordonné par la loi que l’Éternel a prescrite, en disant: Parle aux enfants d’Israël, et qu’ils t’amènent une vache rousse, sans tache, sans défaut corporel, et qui n’ait point porté le joug.
0413030069	Vous la remettrez au sacrificateur Éléazar, qui la fera sortir du camp, et on l’égorgera devant lui.
0413040096	Le sacrificateur Éléazar prendra du sang de la vache avec le doigt, et il en fera sept fois l’aspersion sur le devant de la tente d’assignation.
0413050064	On brûlera la vache sous ses yeux; on brûlera sa peau, sa chair et son sang, avec ses excréments.
041306008b	Le sacrificateur prendra du bois de cèdre, de l’hysope et du cramoisi, et il les jettera au milieu des flammes qui consumeront la vache.
0413070087	Le sacrificateur lavera ses vêtements, et lavera son corps dans l’eau; puis il rentrera dans le camp, et sera impur jusqu’au soir.
0413080087	Celui qui aura brûlé la vache lavera ses vêtements dans l’eau, et lavera son corps dans l’eau; et il sera impur jusqu’au soir.
04130900e4	Un homme pur recueillera la cendre de la vache, et la déposera hors du camp, dans un lieu pur; on la conservera pour l’assemblée des enfants d’Israël, afin d’en faire l’eau de purification. C’est une eau expiatoire.
04130a00d2	Celui qui aura recueilli la cendre de la vache lavera ses vêtements, et sera impur jusqu’au soir. Ce sera une loi perpétuelle pour les enfants d’Israël et pour l’étranger en séjour au milieu d’eux.
04130b0056	Celui qui touchera un mort, un corps humain quelconque, sera impur pendant sept jours.
04130c00b3	Il se purifiera avec cette eau le troisième jour et le septième jour, et il sera pur; mais, s’il ne se purifie pas le troisième jour et le septième jour, il ne sera pas pur.
04130d011e	Celui qui touchera un mort, le corps d’un homme qui sera mort, et qui ne se purifiera pas, souille le tabernacle de l’Éternel; celui-là sera retranché d’Israël. Comme l’eau de purification n’a pas été répandue sur lui, il est impur, et son impureté est encore sur lui.
04130e009e	Voici la loi. Lorsqu’un homme mourra dans une tente, quiconque entrera dans la tente, et quiconque se trouvera dans la tente, sera impur pendant sept jours.
04130f0057	Tout vase découvert, sur lequel il n’y aura point de couvercle attaché, sera impur.
0413100098	Quiconque touchera, dans les champs, un homme tué par l’épée, ou un mort, ou des ossements humains, ou un sépulcre, sera impur pendant sept jours.
0413110093	On prendra, pour celui qui est impur, de la cendre de la victime expiatoire qui a été brûlée, et on mettra dessus de l’eau vive dans un vase.
04131200fb	Un homme pur prendra de l’hysope, et la trempera dans l’eau; puis il en fera l’aspersion sur la tente, sur tous les ustensiles, sur les personnes qui sont là, sur celui qui a touché des ossements, ou un homme tué, ou un mort, ou un sépulcre.
04131300da	Celui qui est pur fera l’aspersion sur celui qui est impur, le troisième jour et le septième jour, et il le purifiera le septième jour. Il lavera ses vêtements, et se lavera dans l’eau; et le soir, il sera pur.
04131400e1	Un homme qui sera impur, et qui ne se purifiera pas, sera retranché du milieu de l’assemblée, car il a souillé le sanctuaire de l’Éternel; comme l’eau de purification n’a pas été répandue sur lui, il est impur.
04131500bf	Ce sera pour eux une loi perpétuelle. Celui qui fera l’aspersion de l’eau de purification lavera ses vêtements, et celui qui touchera l’eau de purification sera impur jusqu’au soir.
0413160073	Tout ce que touchera celui qui est impur sera souillé, et la personne qui le touchera sera impure jusqu’au soir.
04140100ba	Toute l’assemblée des enfants d’Israël arriva dans le désert de Tsin le premier mois, et le peuple s’arrêta à Kadès. C’est là que mourut Marie, et qu’elle fut enterrée.
041402005e	Il n’y avait point d’eau pour l’assemblée; et l’on se souleva contre Moïse et Aaron.
0414030080	Le peuple chercha querelle à Moïse. Ils dirent: Que n’avons-nous expiré, quand nos frères expirèrent devant l’Éternel?
041404007e	Pourquoi avez-vous fait venir l’assemblée de l’Éternel dans ce désert, pour que nous y mourions, nous et notre bétail?
04140500d4	Pourquoi nous avez-vous fait monter hors d’Égypte, pour nous amener dans ce méchant lieu? Ce n’est pas un lieu où l’on puisse semer, et il n’y a ni figuier, ni vigne, ni grenadier, ni d’eau à boire.
04140600b5	Moïse et Aaron s’éloignèrent de l’assemblée pour aller à l’entrée de la tente d’assignation. Ils tombèrent sur leur visage; et la gloire de l’Éternel leur apparut.
0414070025	L’Éternel parla à Moïse, et dit:
04140800e8	Prends la verge, et convoque l’assemblée, toi et ton frère Aaron. Vous parlerez en leur présence au rocher, et il donnera ses eaux; tu feras sortir pour eux de l’eau du rocher, et tu abreuveras l’assemblée et leur bétail.
041409005e	Moïse prit la verge qui était devant l’Éternel, comme l’Éternel le lui avait ordonné.
04140a00a8	Moïse et Aaron convoquèrent l’assemblée en face du rocher. Et Moïse leur dit: Écoutez donc, rebelles! Est-ce de ce rocher que nous vous ferons sortir de l’eau?
04140b0091	Puis Moïse leva la main et frappa deux fois le rocher avec sa verge. Il sortit de l’eau en abondance. L’assemblée but, et le bétail aussi.
04140c00d5	Alors l’Éternel dit à Moïse et à Aaron: Parce que vous n’avez pas cru en moi, pour me sanctifier aux yeux des enfants d’Israël, vous ne ferez point entrer cette assemblée dans le pays que je lui donne.
04140d0073	Ce sont les eaux de Meriba, où les enfants d’Israël contestèrent avec l’Éternel, qui fut sanctifié en eux.
04140e00a2	De Kadès, Moïse envoya des messagers au roi d’Édom, pour lui dire: Ainsi parle ton frère Israël: Tu sais toutes les souffrances que nous avons éprouvées.
04140f0082	Nos pères descendirent en Égypte, et nous y demeurâmes longtemps. Mais les Égyptiens nous ont maltraités, nous et nos pères.
04141000c6	Nous avons crié à l’Éternel, et il a entendu notre voix. Il a envoyé un ange, et nous a fait sortir de l’Égypte. Et voici, nous sommes à Kadès, ville à l’extrémité de ton territoire.
04141100fe	Laisse-nous passer par ton pays; nous ne traverserons ni les champs, ni les vignes, et nous ne boirons pas l’eau des puits; nous suivrons la route royale, sans nous détourner à droite ou à gauche, jusqu’à ce que nous ayons franchi ton territoire.
0414120060	Édom lui dit: Tu ne passeras point chez moi, sinon je sortirai à ta rencontre avec l’épée.
04141300cc	Les enfants d’Israël lui dirent: Nous monterons par la grande route; et, si nous buvons de ton eau, moi et mes troupeaux, j’en paierai le prix; je ne ferai que passer avec mes pieds, pas autre chose.
041414006b	Il répondit: Tu ne passeras pas! Et Édom sortit à sa rencontre avec un peuple nombreux et à main forte.
0414150063	Ainsi Édom refusa de donner passage à Israël par son territoire. Et Israël se détourna de lui.
041416005f	Toute l’assemblée des enfants d’Israël partit de Kadès, et arriva à la montagne de Hor.
0414170065	L’Éternel dit à Moïse et à Aaron, vers la montagne de Hor, sur la frontière du pays d’Édom:
04141800c0	Aaron va être recueilli auprès de son peuple; car il n’entrera point dans le pays que je donne aux enfants d’Israël, parce que vous avez été rebelles à mon ordre, aux eaux de Meriba.
041419004e	Prends Aaron et son fils Éléazar, et fais-les monter sur la montagne de Hor.
04141a0089	Dépouille Aaron de ses vêtements, et fais-les revêtir à Éléazar, son fils. C’est là qu’Aaron sera recueilli et qu’il mourra.
04141b0077	Moïse fit ce que l’Éternel avait ordonné. Ils montèrent sur la montagne de Hor, aux yeux de toute l’assemblée.
04141c00b3	Moïse dépouilla Aaron de ses vêtements, et les fit revêtir à Éléazar, son fils. Aaron mourut là, au sommet de la montagne. Moïse et Éléazar descendirent de la montagne.
04141d0074	Toute l’assemblée vit qu’Aaron avait expiré, et toute la maison d’Israël pleura Aaron pendant trente jours.
0415010098	Le roi d’Arad, Cananéen, qui habitait le midi, apprit qu’Israël venait par le chemin d’Atharim. Il combattit Israël, et emmena des prisonniers.
0415020081	Alors Israël fit un vœu à l’Éternel, et dit: Si tu livres ce peuple entre mes mains, je dévouerai ses villes par interdit.
0415030094	L’Éternel entendit la voix d’Israël, et livra les Cananéens. On les dévoua par interdit, eux et leurs villes; et l’on nomma ce lieu Horma.
0415040088	Ils partirent de la montagne de Hor par le chemin de la mer Rouge, pour contourner le pays d’Édom. Le peuple s’impatienta en route,
04150500fd	et parla contre Dieu et contre Moïse: Pourquoi nous avez-vous fait monter hors d’Égypte, pour que nous mourions dans le désert? Car il n’y a point de pain, et il n’y a point d’eau, et notre âme est dégoûtée de cette misérable nourriture.
0415060085	Alors l’Éternel envoya contre le peuple des serpents brûlants; ils mordirent le peuple, et il mourut beaucoup de gens en Israël.
04150700c9	Le peuple vint à Moïse, et dit: Nous avons péché, car nous avons parlé contre l’Éternel et contre toi. Prie l’Éternel, afin qu’il éloigne de nous ces serpents. Moïse pria pour le peuple.
0415080095	L’Éternel dit à Moïse: Fais-toi un serpent brûlant, et place-le sur une perche; quiconque aura été mordu, et le regardera, conservera la vie.
04150900a4	Moïse fit un serpent d’airain, et le plaça sur une perche; et quiconque avait été mordu par un serpent, et regardait le serpent d’airain, conservait la vie.
04150a003e	Les enfants d’Israël partirent, et ils campèrent à Oboth.
04150b007d	Ils partirent d’Oboth et ils campèrent à Ijjé-Abarim, dans le désert qui est vis-à-vis de Moab, vers le soleil levant.
04150c0042	De là ils partirent, et ils campèrent dans la vallée de Zéred.
04150d00d1	De là ils partirent, et ils campèrent de l’autre côté de l’Arnon, qui coule dans le désert en sortant du territoire des Amoréens; car l’Arnon est la frontière de Moab, entre Moab et les Amoréens.
04150e0077	C’est pourquoi il est dit dans le livre des Guerres de l’Éternel: …Vaheb en Supha, et les torrents de l’Arnon,
04150f005d	et le cours des torrents, qui s’étend du côté d’Ar et touche à la frontière de Moab.
0415100083	De là ils allèrent à Beer. C’est ce Beer, où l’Éternel dit à Moïse: Rassemble le peuple, et je leur donnerai de l’eau.
0415110047	Alors Israël chanta ce cantique: Monte, puits! Chantez en son honneur!
041512006e	Puits, que des princes ont creusé, Que les grands du peuple ont creusé, Avec le sceptre, avec leurs bâtons!
0415130057	Du désert ils allèrent à Matthana; de Matthana, à Nahaliel; de Nahaliel, à Bamoth;
0415140066	de Bamoth, à la vallée qui est dans le territoire de Moab, au sommet du Pisga, en regard du désert.
0415150048	Israël envoya des messagers à Sihon, roi des Amoréens, pour lui dire:
04151600d8	Laisse-moi passer par ton pays; nous n’entrerons ni dans les champs, ni dans les vignes, et nous ne boirons pas l’eau des puits; nous suivrons la route royale, jusqu’à ce que nous ayons franchi ton territoire.
04151700c0	Sihon n’accorda point à Israël le passage sur son territoire; il rassembla tout son peuple, et sortit à la rencontre d’Israël, dans le désert; il vint à Jahats, et combattit Israël.
04151800d5	Israël le frappa du tranchant de l’épée et s’empara de son pays depuis l’Arnon jusqu’au Jabbok, jusqu’à la frontière des enfants d’Ammon; car la frontière des enfants d’Ammon était fortifiée.
0415190089	Israël prit toutes les villes, et s’établit dans toutes les villes des Amoréens, à Hesbon et dans toutes les villes de son ressort.
04151a00a4	Car Hesbon était la ville de Sihon, roi des Amoréens; il avait fait la guerre au précédent roi de Moab, et lui avait enlevé tout son pays jusqu’à l’Arnon.
04151b0068	C’est pourquoi les poètes disent: Venez à Hesbon! Que la ville de Sihon soit rebâtie et fortifiée!
04151c0085	Car il est sorti un feu de Hesbon, Une flamme de la ville de Sihon; Elle a dévoré Ar-Moab, les habitants des hauteurs de l’Arnon.
04151d0098	Malheur à toi, Moab! Tu es perdu, peuple de Kemosch! Il a fait de ses fils des fuyards, Et il a livré ses filles captives à Sihon, roi des Amoréens.
04151e0092	Nous avons lancé sur eux nos traits: De Hesbon à Dibon tout est détruit; Nous avons étendu nos ravages jusqu’à Nophach, Jusqu’à Médeba.
04151f0030	Israël s’établit dans le pays des Amoréens.
0415200079	Moïse envoya reconnaître Jaezer; et ils prirent les villes de son ressort, et chassèrent les Amoréens qui y étaient.
04152100ad	Ils changèrent ensuite de direction, et montèrent par le chemin de Basan. Og, roi de Basan, sortit à leur rencontre, avec tout son peuple, pour les combattre à Édréï.
04152200cb	L’Éternel dit à Moïse: Ne le crains point; car je le livre entre tes mains, lui et tout son peuple, et son pays; tu le traiteras comme tu as traité Sihon, roi des Amoréens, qui habitait à Hesbon.
0415230080	Et ils le battirent, lui et ses fils, et tout son peuple, sans en laisser échapper un seul, et ils s’emparèrent de son pays.
041601007c	Les enfants d’Israël partirent, et ils campèrent dans les plaines de Moab, au-delà du Jourdain, vis-à-vis de Jéricho.
041602004a	Balak, fils de Tsippor, vit tout ce qu’Israël avait fait aux Amoréens.
0416030079	Et Moab fut très effrayé en face d’un peuple aussi nombreux, il fut saisi de terreur en face des enfants d’Israël.
04160400b4	Moab dit aux anciens de Madian: Cette multitude va dévorer tout ce qui nous entoure, comme le bœuf broute la verdure des champs. Balak, fils de Tsippor, était alors roi de Moab.
0416050104	Il envoya des messagers auprès de Balaam, fils de Beor, à Pethor sur le fleuve, dans le pays des fils de son peuple, afin de l’appeler et de lui dire: Voici, un peuple est sorti d’Égypte, il couvre la surface de la terre, et il habite vis-à-vis de moi.
04160600e2	Viens, je te prie, maudis-moi ce peuple, car il est plus puissant que moi; peut-être ainsi pourrai-je le battre et le chasserai-je du pays, car je sais que celui que tu bénis est béni, et que celui que tu maudis est maudit.
04160700b1	Les anciens de Moab et les anciens de Madian partirent, ayant avec eux des présents pour le devin. Ils arrivèrent auprès de Balaam, et lui rapportèrent les paroles de Balak.
0416080097	Balaam leur dit: Passez ici la nuit, et je vous donnerai réponse, d’après ce que l’Éternel me dira. Et les chefs de Moab restèrent chez Balaam.
0416090044	Dieu vint à Balaam, et dit: Qui sont ces hommes que tu as chez toi?
04160a005b	Balaam répondit à Dieu: Balak, fils de Tsippor, roi de Moab, les a envoyés pour me dire:
04160b00a1	Voici, un peuple est sorti d’Égypte, et il couvre la surface de la terre; viens donc, maudis-le; peut-être ainsi pourrai-je le combattre, et le chasserai-je.
04160c0061	Dieu dit à Balaam: Tu n’iras point avec eux; tu ne maudiras point ce peuple, car il est béni.
04160d0084	Balaam se leva le matin, et il dit aux chefs de Balak: Allez dans votre pays, car l’Éternel refuse de me laisser aller avec vous.
04160e0074	Et les princes de Moab se levèrent, retournèrent auprès de Balak, et dirent: Balaam a refusé de venir avec nous.
04160f0061	Balak envoya de nouveau des chefs en plus grand nombre et plus considérés que les précédents.
041610008c	Ils arrivèrent auprès de Balaam, et lui dirent: Ainsi parle Balak, fils de Tsippor: Que l’on ne t’empêche donc pas de venir vers moi;
0416110076	car je te rendrai beaucoup d’honneurs, et je ferai tout ce que tu me diras; viens, je te prie, maudis-moi ce peuple.
04161200d4	Balaam répondit et dit aux serviteurs de Balak: Quand Balak me donnerait sa maison pleine d’argent et d’or, je ne pourrais faire aucune chose, ni petite ni grande, contre l’ordre de l’Éternel, mon Dieu.
0416130061	Maintenant, je vous prie, restez ici cette nuit, et je saurai ce que l’Éternel me dira encore.
041614009a	Dieu vint à Balaam pendant la nuit, et lui dit: Puisque ces hommes sont venus pour t’appeler, lève-toi, va avec eux; mais tu feras ce que je te dirai.
041615004d	Balaam se leva le matin, sella son ânesse, et partit avec les chefs de Moab.
04161600d5	La colère de Dieu s’enflamma, parce qu’il était parti; et l’ange de l’Éternel se plaça sur le chemin, pour lui résister. Balaam était monté sur son ânesse, et ses deux serviteurs étaient avec lui.
04161700d1	L’ânesse vit l’ange de l’Éternel qui se tenait sur le chemin, son épée nue dans la main; elle se détourna du chemin et alla dans les champs. Balaam frappa l’ânesse pour la ramener dans le chemin.
0416180068	L’ange de l’Éternel se plaça dans un sentier entre les vignes; il y avait un mur de chaque côté.
041619008e	L’ânesse vit l’ange de l’Éternel; elle se serra contre le mur, et pressa le pied de Balaam contre le mur. Balaam la frappa de nouveau.
04161a0092	L’ange de l’Éternel passa plus loin, et se plaça dans un lieu où il n’y avait point d’espace pour se détourner à droite ou à gauche.
04161b0096	L’ânesse vit l’ange de l’Éternel, et elle s’abattit sous Balaam. La colère de Balaam s’enflamma, et il frappa l’ânesse avec un bâton.
04161c0089	L’Éternel ouvrit la bouche de l’ânesse, et elle dit à Balaam: Que t’ai-je fait, pour que tu m’aies frappée déjà trois fois?
04161d0090	Balaam répondit à l’ânesse: C’est parce que tu t’es moquée de moi; si j’avais une épée dans la main, je te tuerais à l’instant.
04161e00a6	L’ânesse dit à Balaam: Ne suis-je pas ton ânesse, que tu as de tout temps montée jusqu’à ce jour? Ai-je l’habitude de te faire ainsi? Et il répondit: Non.
04161f00bb	L’Éternel ouvrit les yeux de Balaam, et Balaam vit l’ange de l’Éternel qui se tenait sur le chemin, son épée nue dans la main; et il s’inclina, et se prosterna sur son visage.
04162000b6	L’ange de l’Éternel lui dit: Pourquoi as-tu frappé ton ânesse déjà trois fois? Voici, je suis sorti pour te résister, car c’est un chemin de perdition qui est devant moi.
04162100b5	L’ânesse m’a vu, et elle s’est détournée devant moi déjà trois fois; si elle ne se fût pas détournée de moi, je t’aurais même tué, et je lui aurais laissé la vie.
04162200c2	Balaam dit à l’ange de l’Éternel: J’ai péché, car je ne savais pas que tu te fusses placé au-devant de moi sur le chemin; et maintenant, si tu me désapprouves, je m’en retournerai.
041623009f	L’ange de l’Éternel dit à Balaam: Va avec ces hommes; mais tu ne feras que répéter les paroles que je te dirai. Et Balaam alla avec les chefs de Balak.
041624009a	Balak apprit que Balaam arrivait, et il sortit à sa rencontre jusqu’à la ville de Moab qui est sur la limite de l’Arnon, à l’extrême frontière.
041625009e	Balak dit à Balaam: N’ai-je pas envoyé auprès de toi pour t’appeler? Pourquoi n’es-tu pas venu vers moi? Ne puis-je donc pas te traiter avec honneur?
04162600a1	Balaam dit à Balak: Voici, je suis venu vers toi; maintenant, me sera-t-il permis de dire quoi que ce soit? Je dirai les paroles que Dieu mettra dans ma bouche.
041627003e	Balaam alla avec Balak, et ils arrivèrent à Kirjath-Hutsoth.
0416280066	Balak sacrifia des bœufs et des brebis, et il en envoya à Balaam et aux chefs qui étaient avec lui.
0416290066	Le matin, Balak prit Balaam, et le fit monter à Bamoth-Baal, d’où Balaam vit une partie du peuple.
0417010064	Balaam dit à Balak: Bâtis-moi ici sept autels, et prépare-moi ici sept taureaux et sept béliers.
041702006a	Balak fit ce que Balaam avait dit; et Balak et Balaam offrirent un taureau et un bélier sur chaque autel.
04170300cc	Balaam dit à Balak: Tiens-toi près de ton holocauste, et je m’éloignerai; peut-être que l’Éternel viendra à ma rencontre, et je te dirai ce qu’il me révélera. Et il alla sur un lieu élevé.
0417040089	Dieu vint au-devant de Balaam, et Balaam lui dit: J’ai dressé sept autels, et j’ai offert un taureau et un bélier sur chaque autel.
0417050069	L’Éternel mit des paroles dans la bouche de Balaam, et dit: Retourne vers Balak, et tu parleras ainsi.
0417060067	Il retourna vers lui; et voici, Balak se tenait près de son holocauste, lui et tous les chefs de Moab.
04170700c7	Balaam prononça son oracle, et dit: Balak m’a fait descendre d’Aram, Le roi de Moab m’a fait descendre des montagnes de l’Orient. Viens, maudis-moi Jacob! Viens, sois irrité contre Israël!
041708007b	Comment maudirais-je celui que Dieu n’a point maudit? Comment serais-je irrité quand l’Éternel n’est point irrité?
041709009c	Je le vois du sommet des rochers, Je le contemple du haut des collines: C’est un peuple qui a sa demeure à part, Et qui ne fait point partie des nations.
04170a009d	Qui peut compter la poussière de Jacob, Et dire le nombre du quart d’Israël? Que je meure de la mort des justes, Et que ma fin soit semblable à la leur!
04170b0068	Balak dit à Balaam: Que m’as-tu fait? Je t’ai pris pour maudire mon ennemi, et voici, tu le bénis!
04170c005b	Il répondit, et dit: N’aurai-je pas soin de dire ce que l’Éternel met dans ma bouche?
04170d00aa	Balak lui dit: Viens donc avec moi dans un autre lieu, d’où tu le verras; tu n’en verras qu’une partie, tu n’en verras pas la totalité. Et de là maudis-le-moi.
04170e0083	Il le mena au champ de Tsophim, sur le sommet du Pisga; il bâtit sept autels, et offrit un taureau et un bélier sur chaque autel.
04170f0061	Balaam dit à Balak: Tiens-toi ici, près de ton holocauste, et j’irai à la rencontre de Dieu.
041710007c	L’Éternel vint au-devant de Balaam; il mit des paroles dans sa bouche, et dit: Retourne vers Balak, et tu parleras ainsi.
0417110093	Il retourna vers lui; et voici, Balak se tenait près de son holocauste, avec les chefs de Moab. Balak lui dit: Qu’est-ce que l’Éternel a dit?
0417120068	Balaam prononça son oracle, et dit: Lève-toi, Balak, écoute! Prête-moi l’oreille, fils de Tsippor!
04171300aa	Dieu n’est point un homme pour mentir, Ni fils d’un homme pour se repentir. Ce qu’il a dit, ne le fera-t-il pas? Ce qu’il a déclaré, ne l’exécutera-t-il pas?
0417140050	Voici, j’ai reçu l’ordre de bénir: Il a béni, je ne le révoquerai point.
04171500ad	Il n’aperçoit point d’iniquité en Jacob, Il ne voit point d’injustice en Israël; L’Éternel, son Dieu, est avec lui, Il est son roi, l’objet de son allégresse.
041716004f	Dieu les a fait sortir d’Égypte, Il est pour eux comme la vigueur du buffle.
04171700a1	L’enchantement ne peut rien contre Jacob, Ni la divination contre Israël; Au temps marqué, il sera dit à Jacob et à Israël: Quelle est l’œuvre de Dieu.
04171800bb	C’est un peuple qui se lève comme une lionne, Et qui se dresse comme un lion; Il ne se couche point jusqu’à ce qu’il ait dévoré la proie, Et qu’il ait bu le sang des blessés.
0417190046	Balak dit à Balaam: Ne le maudis pas, mais du moins ne le bénis pas.
04171a0069	Balaam répondit, et dit à Balak: Ne t’ai-je pas parlé ainsi: Je ferai tout ce que l’Éternel dira?
04171b008b	Balak dit à Balaam: Viens donc, je te mènerai dans un autre lieu; peut être Dieu trouvera-t-il bon que de là tu me maudisses ce peuple.
04171c003e	Balak mena Balaam sur le sommet du Peor, en regard du désert.
04171d0064	Balaam dit à Balak: Bâtis-moi ici sept autels, et prépare-moi ici sept taureaux et sept béliers.
04171e005a	Balak fit ce que Balaam avait dit, et il offrit un taureau et un bélier sur chaque autel.
04180100ba	Balaam vit que l’Éternel trouvait bon de bénir Israël, et il n’alla point comme les autres fois, à la rencontre des enchantements; mais il tourna son visage du côté du désert.
0418020063	Balaam leva les yeux, et vit Israël campé selon ses tribus. Alors l’esprit de Dieu fut sur lui.
041803006f	Balaam prononça son oracle, et dit: Parole de Balaam, fils de Beor, Parole de l’homme qui a l’œil ouvert,
0418040095	Parole de celui qui entend les paroles de Dieu, De celui qui voit la vision du Tout-Puissant, De celui qui se prosterne et dont les yeux s’ouvrent.
0418050047	Qu’elles sont belles, tes tentes, ô Jacob! Tes demeures, ô Israël!
04180600a0	Elles s’étendent comme des vallées, Comme des jardins près d’un fleuve, Comme des aloès que l’Éternel a plantés, Comme des cèdres le long des eaux.
041807009a	L’eau coule de ses seaux, Et sa semence est fécondée par d’abondantes eaux. Son roi s’élève au-dessus d’Agag, Et son royaume devient puissant.
04180800b4	Dieu l’a fait sortir d’Égypte, Il est pour lui comme la vigueur du buffle. Il dévore les nations qui s’élèvent contre lui, Il brise leurs os, et les abat de ses flèches.
041809009b	Il ploie les genoux, il se couche comme un lion, comme une lionne: Qui le fera lever? Béni soit quiconque te bénira, Et maudit soit quiconque te maudira!
04180a00bc	La colère de Balak s’enflamma contre Balaam; il frappa des mains, et dit à Balaam: C’est pour maudire mes ennemis que je t’ai appelé, et voici, tu les as bénis déjà trois fois.
04180b0083	Fuis maintenant, va-t’en chez toi! J’avais dit que je te rendrais des honneurs, mais l’Éternel t’empêche de les recevoir.
04180c0056	Balaam répondit à Balak: Eh! N’ai-je pas dit aux messagers que tu m’as envoyés:
04180d00bb	Quand Balak me donnerait sa maison pleine d’argent et d’or, je ne pourrais faire de moi-même ni bien ni mal contre l’ordre de l’Éternel; je répéterai ce que dira l’Éternel?
04180e008a	Et maintenant voici, je m’en vais vers mon peuple. Viens, je t’annoncerai ce que ce peuple fera à ton peuple dans la suite des temps.
04180f006f	Balaam prononça son oracle, et dit: Parole de Balaam, fils de Beor, Parole de l’homme qui a l’œil ouvert,
04181000c7	Parole de celui qui entend les paroles de Dieu, De celui qui connaît les desseins du Très-Haut, De celui qui voit la vision du Tout-Puissant, De celui qui se prosterne et dont les yeux s’ouvrent.
04181100c2	Je le vois, mais non maintenant, Je le contemple, mais non de près. Un astre sort de Jacob, Un sceptre s’élève d’Israël. Il perce les flancs de Moab, Et il abat tous les enfants de Seth.
0418120063	Il se rend maître d’Édom, Il se rend maître de Séir, ses ennemis. Israël manifeste sa force.
041813005f	Celui qui sort de Jacob règne en souverain, Il fait périr ceux qui s’échappent des villes.
0418140077	Balaam vit Amalek. Il prononça son oracle, et dit: Amalek est la première des nations, Mais un jour il sera détruit.
041815006d	Balaam vit les Kéniens. Il prononça son oracle, et dit: Ta demeure est solide, Et ton nid posé sur le roc.
0418160046	Mais le Kénien sera chassé, Quand l’Assyrien t’emmènera captif.
0418170058	Balaam prononça son oracle, et dit: Hélas! Qui vivra après que Dieu l’aura établi?
041818007c	Mais des navires viendront de Kittim, Ils humilieront l’Assyrien, ils humilieront l’Hébreu; Et lui aussi sera détruit.
0418190054	Balaam se leva, partit, et retourna chez lui. Balak s’en alla aussi de son côté.
0419010069	Israël demeurait à Sittim; et le peuple commença à se livrer à la débauche avec les filles de Moab.
0419020073	Elles invitèrent le peuple aux sacrifices de leurs dieux; et le peuple mangea, et se prosterna devant leurs dieux.
041903005c	Israël s’attacha à Baal-Peor, et la colère de l’Éternel s’enflamma contre Israël.
04190400c8	L’Éternel dit à Moïse: Assemble tous les chefs du peuple, et fais pendre les coupables devant l’Éternel en face du soleil, afin que la colère ardente de l’Éternel se détourne d’Israël.
