0100000006	Farawa
0b12260076	Sai wutar Ubangiji ya fāɗo, ya cinye hadayar, itacen, duwatsun da kuma ƙasar, ya lashe ruwan da yake cikin wuriyar.
0b12270086	Sa’ad da mutane suka ga wannan, sai suka rusuna, suka sunkuyar da kai suka ce, “Ubangiji, shi ne Allah! Ubangiji, shi ne Allah!”
0b122800c2	Sa’an nan Iliya ya umarce su, ya ce, “Ku kama annabawan Ba’al, kada ku bar waninsu yă tsere!” Suka kama su, Iliya kuwa ya sa aka gangara da su zuwa Kwarin Kishon, aka yayyanka su a can.
0b12290065	Sai Iliya ya ce wa Ahab, “Ka haura gida, ka ci, ka sha, gama ina jin motsin ruwan sama mai yawa.”
0b122a0081	Sai Ahab ya ruga don yă ci, yă sha, amma Iliya ya hau kan ƙwanƙolin Karmel, ya rusuna ƙasa, ya sa fuska a tsakanin gwiwarsa.
0b122b008c	Ya ce wa bawansa, “Tafi ka dubi wajen teku.” Sai bawan ya haura ya duba. Ya ce, “Ba kome a can.” Sau bakwai Iliya ya ce, “Koma.”
0b122c00d2	Sau na bakwai, bawan ya ce, “Wani girgije ƙarami kamar hannun mutum yana tasowa daga teku.” Sai Iliya ya ce, “Je ka faɗa wa Ahab, ‘Shirya keken yaƙinka, ka gangara kafin ruwan sama yă tare ka.’”
0b122d0091	Ana cikin haka, sarari ya ƙara duhunta da girgije, iska ta taso, sai ruwan sama kamar da bakin kwarya ya sauko, Ahab kuwa ya hau zuwa Yezireyel.
0b122e0063	Ikon Ubangiji ya sauko a kan Iliya, ya sha ɗamara, ya ruga a guje a gaban Ahab har zuwa Yezireyel.
0b13010060	Ahab fa ya faɗa wa Yezebel kome da Iliya ya yi, da yadda ya karkashe dukan annabawan da takobi.
0b130200bf	Saboda haka Yezebel ta aika da ɗan aika wa Iliya yă faɗa masa, “Bari alloli su hukunta ni da tsanani, in war haka gobe ban mai da ranka kamar na ɗaya daga cikin annabawan Ba’al ba.”
0b1303006f	Iliya ya ji tsoro, ya gudu don yă ceci ransa. Sa’ad da ya kai Beyersheba a Yahuda, sai ya bar bawansa a can.
0b130400d0	Shi kuma ya yi tafiya yini guda zuwa cikin hamada. Ya zo wurin wani itacen tsintsiya, ya zauna a ƙarƙashinsa, ya roƙa yă mutu. Ya ce, “Ya ishe ni haka, Ubangiji, ka ɗauki raina; ban fi kakannina ba.”
0b13050086	Sa’an nan ya kwanta a ƙarƙashin itacen ya yi barci. Farat ɗaya sai wani mala’ika ya taɓa shi, ya ce, “Tashi ka ci abinci.”
0b13060092	Ya duba kewaye, sai ga wainar burodi kusa da kansa a bisa garwashin wuta mai zafi, da kuma tulun ruwa. Ya ci, ya sha, sa’an nan ya sāke kwanta.
0b13070081	Mala’ikan Ubangiji ya sāke dawowa sau na biyu ya taɓa shi, ya ce, “Tashi ka ci abinci, gama tafiyar za tă yi maka yawa.”
0b130800ac	Saboda haka ya tashi ya ci, ya kuma sha. Ta wurin ƙarfin da ya samu saboda wannan abinci, ya yi tafiya yini arba’in da dare arba’in, sai da ya kai Horeb, dutsen Allah.
0b13090064	A can ya shiga kogo ya kwana. Sai maganar Ubangiji ta zo masa, ta ce, “Me kake yi a nan, Iliya?”
0b130a00e3	Ya amsa, ya ce, “Ina kishi dominka Ubangiji, Allah Maɗaukaki. Isra’ilawa sun ƙi alkawarinka, suka rurrushe bagadanka, suka kuma kashe annabawanka da takobi. Ni ne kaɗai na rage, yanzu, ni ma suna ƙoƙari su kashe ni.”
0b130b0135	Sai Ubangiji ya ce, “Fita ka tsaya a kan dutse a gaban Ubangiji, gama Ubangiji yana shirin wucewa.” Sai ga babbar iska mai ƙarfi ta tsage duwatsu, ta kuma ragargaza duwatsu a gaban Ubangiji, amma Ubangiji ba ya cikin iskar. Bayan iskar sai aka yi girgizar ƙasa, amma Ubangiji ba ya cikin girgizar ƙasa.
0b130c006c	Bayan girgizar ƙasa, sai ga wuta, amma Ubangiji ba ya cikin wuta. Bayan wutar kuma sai ga wata’yar murya.
0b130d0097	Sa’ad da Iliya ya ji ta, ya ja mayafinsa ya rufe fuskarsa, ya fita ya tsaya a bakin kogon. Sai ya ji murya ta ce masa, “Me kake yi a nan, Iliya?”
0b130e00e3	Ya amsa, ya ce, “Ina kishi dominka Ubangiji, Allah Maɗaukaki. Isra’ilawa sun ƙi alkawarinka, suka rurrushe bagadanka, suka kuma kashe annabawanka da takobi. Ni ne kaɗai na rage, yanzu, ni ma suna ƙoƙari su kashe ni.”
0b130f0093	Sai Ubangiji ya ce masa, “Ka koma ta hanyar da ka zo, ka tafi Hamadan Damaskus. Sa’ad da ka kai can, ka shafe Hazayel yă zama sarki bisa Aram.
0b13100087	Ka kuma shafe Yehu ɗan Nimshi yă zama sarkin Isra’ila, ka shafe Elisha ɗan Shafat daga Abel-Mehola yă gāje ka a matsayin annabi.
0b13110079	Yehu zai kashe duk wani wanda ya tsere wa takobin Hazayel, Elisha kuwa zai kashe duk wani wanda ya tsere wa takobin Yehu.
0b1312008e	Duk da haka zan bar mutane dubu bakwai na Isra’ila waɗanda ba su rusuna da gwiwansu wa Ba’al ba, ba su kuma sumbace shi da bakinsu ba.”
0b131300c5	Sai Iliya ya tafi daga can ya sami Elisha ɗan Shafat, yana noma da shanu goma sha biyu masu garman noma, shi kansa yana jan na goma sha biyun. Iliya ya tafi wurinsa ya jefa mayafinsa a kan Elisha.
0b131400be	Sai Elisha ya bar shanun, ya ruga ya bi Iliya. Ya ce, “Bari in sumbace mahaifina da mahaifiyata, in yi musu bankwana, sa’an nan in zo in bi ka.” Iliya ya ce, “Koma! Me na yi maka?”
0b131500d8	Sai Elisha ya bar shi, ya koma, ya ɗauki shanunsa ya yayyanka. Ya ƙone kayan garman noman don yă dafa naman, ya kuma ba wa mutane naman, suka kuwa ci. Sa’an nan ya tashi, ya bi Iliya, ya kuma zama mai hidimarsa.
0b140100c8	Ben-Hadad sarkin Aram kuwa ya tattara mayaƙansa gaba ɗaya. Sarakuna talatin da biyu suka tafi tare da shi haɗe da dawakansu da kekunan yaƙinsu. Ya haura ya yi wa Samariya kwanto, ya kuma yaƙe ta.
0b1402006e	Ya aika da’yan aika zuwa cikin birnin wurin Ahab sarkin Isra’ila yana cewa, “Ga abin da Ben-Hadad ya ce,
0b1403005b	‘Azurfarka da zinariyarka nawa ne. Mafi kyau cikin matanka da’ya’yanka nawa ne.’”
0b14040083	Sarkin Isra’ila ya amsa, ya ce, “Kamar dai yadda ka faɗa, ranka yă daɗe, sarki. Ni da dukan abin da nake da shi, naka ne.”
0b14050093	Sai’yan aikan suka sāke dawo suka ce, “Ga abin da Ben-Hadad ya ce, ‘Na aika ka ba da azurfarka da zinariyarka, matanka da kuma’ya’yanka.
0b1406009d	Amma war haka gobe zan aika shugabannina su bincika fadanka da kuma gidajen shugabanninka. Za su kwashe dukan abubuwan da kake ganin darajarsu su tafi.’”
0b140700d0	Sarkin Isra’ila ya tattara dukan dattawan ƙasar, ya ce musu, “Ku duba fa, wannan mutum yana neman tsokana! Sa’ad da ya aika in ba shi matana da’ya’yana, azurfana da zinariyana, ban hana masa ba.”
0b14080069	Dattawa da dukan mutane suka amsa, suka ce, “Kada ka saurare shi ko ka yarda da abin da yake bukata.”
0b140900e9	Saboda haka ya ba wa’yan aikan Ben-Hadad amsa, ya ce, “Ku faɗa wa ranka yă daɗe, sarki, ‘Bawanka zai yi dukan abin da ka bukaci da farko, amma wannan na ƙarshe ba zan iya yin ba.’” Suka tafi suka kai amsar wa Ben-Hadad.
0b140a00ca	Sai Ben-Hadad ya aika da wani saƙo wa Ahab, ya ce, “Bari alloli su yi da ni yadda suke so, su kuma yi haka da tsanani, in isashen ƙura ta rage a Samariya da za a iya ba wa mutanena a tafin hannu.”
0b140b0083	Sarki Isra’ila ya amsa, ya ce, “Ku faɗa masa, ‘Wanda ya sa kayan yaƙinsa bai kamata yă yi fariya ba sai ya tuɓe su.’”
0b140c00ba	Ben-Hadad ya ji wannan saƙo yayinda shi da sarakunan suke sha a cikin tentunansu, sai ya umarce mutanensa, ya ce, “Ku shirya don yaƙi.” Saboda haka suka shirya don su yaƙi birnin.
0b140d00e8	Ana cikin haka sai wani annabi ya zo wurin Ahab sarkin Isra’ila ya sanar masa cewa, “Ga abin da Ubangiji ya ce, ‘Ka ga wannan ɗumbun mayaƙa? Zan ba da su cikin hannunka a yau, sa’an nan za ka san cewa ni ne Ubangiji.’”
0b140e00e4	Ahab ya ce, “Amma wa zai yi haka?” Annabin ya amsa, “Ga abin da Ubangiji ya ce, ‘Sojoji matasa na shugabannin yankuna za su yi haka.’” Ya tambaya, “Wa kuma zai fara yaƙin?” Annabin ya amsa, “Kai za ka fara.”
0b140f0089	Saboda haka Ahab ya kira sojoji matasa na shugabannin yankuna, mutum 232. Sa’an nan ya tattara sauran Isra’ilawa su 7,000 gaba ɗaya.
0b1410007e	Suka fita da tsakar rana yayinda Ben-Hadad tare da sarakuna 32 masu goyon bayansa suke cikin tentunansu suna sha, suna buguwa.
0b141100a4	Sojojin nan matasa na shugabannin yankuna suka fara fita. Ben-Hadad kuwa ya riga ya aiki’yan leƙen asiri, waɗanda suka ce, “Mutane suna zuwa daga Samariya.”
0b14120060	Ya ce, “In sun fito don salama, ku kamo su da rai; in sun fito yaƙi ne, ku kamo su da rai.”
0b1413005f	Sojojin nan matasa na shugabannin yankuna suka taka suka fita daga birnin da mayaƙa a bayansu.
0b141400b7	Kowannensu kuwa ya buge abokin gābansa. Ganin wannan, sai Arameyawa suka gudu, Isra’ilawa suna bi. Amma Ben-Hadad na Aram ya tsere a kan dokinsa tare da waɗansu mahayan dawakansa.
0b14150060	Sarki Isra’ila ya bi, ya kuma sha ƙarfin dawakan da keken yaƙin, ya kashe Arameyawa da yawa.
0b141600a9	Daga baya, annabin ya zo wurin sarkin Isra’ila ya ce, “Ka ƙarfafa matsayinka ka kuma ga abin da za a yi, gama a bazara mai zuwa sarkin Aram zai sāke kawo yaƙi.”
0b141700b6	Ana cikin haka, shugabannin sarkin Aram suka ba shi shawara, “Allolinsu, allolin tuddai ne. Shi ya sa suka fi mu ƙarfi. Amma in mun yaƙe su a fili, tabbatacce za mu fi su ƙarfi.
0b1418005c	Ka yi wannan. Ka cire dukan sarakuna daga matsayinsu ka sa waɗansu shugabanni a maimakonsu.
0b141900e3	Dole kuma ka tā da waɗansu mayaƙa kamar waɗanda ka rasa, doki don doki, keken yaƙi kuma don keken yaƙi, saboda mu iya yaƙe Isra’ila a fili. Ta haka tabbatacce za mu fi ƙarfinsu.” Sai ya yarda da su, ya kuma yi haka.
0b141a005b	Bazara na biye Ben-Hadad ya tattara Arameyawa, ya haura zuwa Afek don yă yaƙi Isra’ila.
0b141b00e8	Sa’ad da aka tattara Isra’ilawa, aka kuma ba su guzuri, sai suka taka suka fita don su sadu da Arameyawa. Isra’ilawa suka kafa sansani ɗaura da su kamar ƙananan garkuna biyu na awaki, yayinda Arameyawa suka rufe dukan jejin.
0b141c00f6	Sai mutumin Allah ya zo ya ce wa sarkin Isra’ila, “Ga abin da Ubangiji ya ce, ‘Domin Arameyawa suna tsammani Ubangiji allahn tuddai ne, ba allahn kwari ba, zan ba da wannan ɗumbun mayaƙa a hannuwanka, za ka kuwa sani ni ne Ubangiji.’”
0b141d009c	Kwana bakwai suka yi sansani ɗaura da juna, a rana ta bakwai sai yaƙi ya haɗu. Isra’ilawa suka kashe sojojin kafa na Arameyawa dubu ɗari a rana ɗaya.
0b141e009f	Sauransu suka tsere zuwa birnin Afek, inda katangar ya fāɗa a kan mutum dubu ashirin da bakwai. Sai Ben-Hadad ya gudu zuwa birni ya ɓuya a ciki cikin ɗaki.
0b141f00da	Fadawansa suka je suka ce masa, “Mun ji an ce sarakunan Isra’ila masu jinƙai ne, bari mu sa tufafin makoki, mu ɗaura igiyoyi a wuyanmu, sa’an nan mu tafi wurin sarkin Isra’ila, wataƙila zai bar ka da rai.”
0b142000fb	Saye da tufafin makoki kewaye a gindinsu, da kuma igiyoyi kewaye da kawunansu, suka tafi wurin sarkin Isra’ila, suka ce, “Bawanka Ben-Hadad ya ce, ‘Ina roƙonka bari in rayu.’” Sarki ya amsa, “Har yanzu yana da rai? Shi ɗan’uwana ne.”
0b142100f7	Da ma abin da fadawan suke so su ji ke nan, sai suka yi sauri, suka karɓi maganar a bakinsa, suka ce, “I, ɗan’uwanka, Ben-hadad!” Sarki ya ce, “Ku je ku kawo shi.” Da Ben-Hadad ya fita, sai Ahab ya sa aka kawo shi cikin keken yaƙinsa.
0b14220123	Ben-Hadad ya ce, “Zan mayar da biranen mahaifinka da na ƙwace daga mahaifinka. Za ka iya sa wurin kasuwarka a cikin Damaskus, kamar yadda mahaifinka ya yi a Samariya.” Ahab ya ce, “Bisa wannan yarjejjeniya zan sake ka.” Saboda haka ya yi yarjejjeniya da shi, sai ya bar shi ya tafi.
0b1423008d	Ta wurin maganar Ubangiji, ɗaya daga cikin’ya’ya maza na annabawa ya ce wa abokinsa, “Ka buge ni da makaminka,” amma mutumin ya ƙi.
0b142400a5	Sai annabin ya ce, “Domin ba ka yi biyayya da Ubangiji ba, da zarar ka bar ni zaki zai kashe ka.” Daga baya mutumin ya tafi, zaki ya same shi, ya kuma kashe shi.
0b1425006b	Annabin ya sami wani mutum ya ce, “Ka buge ni, ina roƙonka.” Sai mutumin ya buge shi, ya ji masa ciwo.
0b14260091	Sa’an nan annabin ya tafi ya tsaya a bakin hanya yana jiran sarki. Ya ɓad da kamanni da ƙyalle a kansa. Ƙyallen ya sauka zuwa bisa idanunsa.
0b1427012b	Yayinda sarki yake wucewa, sai annabin ya yi kira da ƙarfi gare shi ya ce “Ni bawanka na tafi yaƙi, sai ga wani ya kawo mini wani mutum, ya ce, ‘Ka riƙe wannan mutum, kada ka bar shi yă kuɓuta ko da ƙaƙa, idan ka bari ya kuɓuta, a bakin ranka, ko kuwa ka biya talanti ɗaya na azurfa.’
0b14280094	Yayinda bawanka yana fama, yana kai da kawowa, sai mutumin ya ɓace.” Sai sarkin Isra’ila ya ce, “Hukuncinka ke nan, ka furta shi da kanka.”
0b1429008e	Sai annabin ya cire ƙyallen da sauri daga kansa, da ya rufe idanunsa, sarkin Isra’ila kuwa ya gane shi a matsayi ɗaya daga cikin annabawa.
0b142a00af	Sai ya ce wa sarki, “Ga abin da Ubangiji ya ce, ‘Ka saki mutumin da na ƙudura yă mutu. Saboda haka ranka zai zama a maimakon ransa, mutanenka a maimakon mutanensa.’”
0b142b003c	Cike da fushi, sarkin Isra’ila ya tafi fadarsa a Samariya.
0b15010099	Ana nan bayan haka sai waɗannan abubuwa suka faru. Nabot mutumin Yezireyel yana da gonar inabi a Yezireyel, a yankin Samariya, kusa da gidan Sarki Ahab.
0b150200e8	Sai Ahab ya ce wa Nabot, “Ka ba ni gonar inabinka in yi amfani da ita don kayan lambu, da yake tana kusa da fadana. Zan ba ka wata gonar inabin da ta fi wannan, ko kuma in ka gwammace, sai in biya ka duk abin da ya dace da ita.”
0b15030058	Amma Nabot ya amsa wa Ahab ya ce, “Ubangiji yă sawwaƙe in ba ka gādon kakannina.”
0b150400a4	Ahab ya cika da fushi saboda Nabot, mutumin Yezireyel ya ce, “Ba zan ba ka gādon kakannina ba.” Ya kwanta a gadonsa yana zub da hawaye, ya kuma ƙi cin abinci.
0b1505006f	Matarsa Yezebel ta shiga ciki ta tambaye shi, ta ce, “Me ya sa ka kumbura? Me ya sa ba za ka ci abinci ba?”
0b150600dc	Sai ya amsa mata, ya ce, “Domin na ce wa Nabot mutumin Yezireyel, ‘Ka sayar mini gonar inabinka; ko kuwa in ka gwammace, zan ba ka wata gonar inabi a maimakonta.’ Amma ya ce, ‘Ba zan ba ka gonar inabina ba.’”
0b150700a4	Yezebel matarsa ta ce, “Yaya kake yi kamar ba kai ne sarki Isra’ila ba? Tashi ka ci abinci! Ka yi farin ciki. Zan ba ka gonar inabin Nabot mutumin Yezireyel.”
0b1508009a	Sai ta rubuta wasiƙu a sunan Ahab, ta buga hatiminsa a kansu, sa’an nan ta aika su ga dattawa da manyan gari waɗanda suke zama a birnin da Nabot yake.
0b15090075	Cikin waɗannan wasiƙu ta rubuta, “Ku yi shelar ranar azumi, ku zaunar da Nabot a wuri mai martaba a cikin mutane.
0b150a00ae	Amma ku zaunar da waɗansu’yan iska biyu ɗaura da shi, ku sa su ba da shaida cewa ya zagi Allah da sarki. Sa’an nan ku ɗauke shi ku jajjefe shi da dutse sai ya mutu.”
0b150b008b	Sai dattawa da manyan gari, waɗanda suke zama a birnin da Nabot yake, suka yi kamar yadda Yezebel ta umarta a cikin wasiƙun da ta rubuta.
0b150c0052	Suka yi shelar azumi, suka kuma zaunar da Nabot a wuri mai martaba a cikin mutane.
0b150d00ea	Sa’an nan’yan iska biyu suka zo, suka zauna ɗaura da shi, suka kawo zarge a kan Nabot a gaban mutane, suna cewa, “Nabot ya zagi Allah da sarki.” Saboda haka aka ɗauke shi waje da birnin, aka jajjefe shi da dutse har ya mutu.
0b150e0047	Sa’an nan suka aika wa Yezebel. “An jajjefe Nabot, ya kuma mutu.”
0b150f00d3	Nan da nan sa’ad da Yezebel ta ji cewa an jajjefe Nabot da dutse ya kuma mutu, sai ta ce wa Ahab, “Tashi ka mallaki gonar inabin Nabot mutumin Yezireyel wanda ya ƙi ya sayar maka. Ba shi da rai, ya mutu.”
0b1510005d	Da Ahab ya ji cewa Nabot ya mutu, sai ya tashi ya gangara don yă mallaki gonar inabin Nabot.
0b15110033	Sai maganar Ubangiji ta zo wa Iliya mutumin Tishbe.
0b15120093	Ta ce, “Gangara don ka sadu da Ahab sarkin Isra’ila, wanda yake mulki a Samariya. Yanzu yana a gonar inabin Nabot, inda ya tafi yă mallake ta.
0b151300e1	Ka ce masa, Ga abin da Ubangiji ya ce, ‘Ba ka kashe mutum ka kuma ƙwace kayansa ba?’ Sa’an nan ka ce masa ga abin da Ubangiji ya ce, ‘A inda karnuka suka lashe jinin Nabot, karnuka za su lashe jininka, I, naka!’”
0b1514009c	Ahab ya ce wa Iliya, “Wato, ka same ni kuma, abokin gābana!” Sai ya amsa ya ce, “Na same ka, domin ka sayar da kanka ga yin mugunta a gaban Ubangiji.
0b1515008e	‘Zan kawo masifa a kanka. Zan kawar da zuriyarka, in kuma yanke daga Ahab kowane ɗa namiji na ƙarshe cikin Isra’ila, bawa ko’yantacce.
0b1516009b	Zan mai da gidanka kamar gida Yerobowam ɗan Nebat, da na Ba’asha ɗan Ahiya, domin ka tsokane ni har na yi fushi, ka kuma sa Isra’ila ya yi zunubi.’
0b1517005f	“Game da Yezebel kuwa Ubangiji ya ce, ‘Karnuka za su cinye Yezebel a katangar Yezireyel.’
0b15180095	“Karnuka za su cinye waɗanda suke na Ahab waɗanda suka mutu a cikin birni, tsuntsayen sararin sama kuma za su cinye waɗanda suka mutu a jeji.”
0b15190075	(Babu wani mutum kamar Ahab, wanda ya ba da kansa ga aikata mugunta a gaban Ubangiji. Yezebel matarsa ce ta zuga shi.
0b151a0068	Ya yi abar ƙyama ƙwarai ta wurin bin gumaka, kamar Amoriyawan da Ubangiji ya kora a gaban Isra’ila.)
0b151b00a3	Sa’ad da Ahab ya ji waɗannan kalmomi, sai ya yage rigarsa, ya sa rigunan makoki, ya kuma yi azumi. Ya kwanta a kayan makoki, ya kuma yi tafiya cikin sauƙinkai.
0b151c003a	Sai maganar Ubangiji ta zo wa Iliya mutumin Tishbe, ta ce,
0b151d00be	“Ka lura da yadda Ahab ya ƙasƙantar da kansa a gabana kuwa? Domin ya ƙasƙantar da kansa, ba zan kawo wannan masifa a kwanakinsa ba, amma zan kawo ta a kan gidansa a kwanakin ɗansa.”
0b16010040	Aka yi shekaru uku ba a yi yaƙi tsakanin Aram da Isra’ila ba.
0b16020057	Amma a shekara ta uku, Yehoshafat sarkin Yahuda ya gangara don yă ga sarki Isra’ila.
0b1603009e	Sarkin Isra’ila ya ce wa shugabanninsa, “Ba ku san cewa Ramot Gileyad namu ne ba, duk da haka ba mu yi kome ba don mu sāke karɓanta daga sarkin Aram?”
0b160400ea	Saboda haka ya tambayi Yehoshafat, ya ce, “Za ka tafi tare da ni don in yi yaƙi da Ramot Gileyad?” Yehoshafat ya amsa wa sarkin Isra’ila, ya ce, “Ni ma kamar ka ne, mutanena kuwa kamar mutanenka, dawakaina kamar dawakanka.”
0b16050052	Amma Yehoshafat ya ce wa sarkin Isra’ila, “Da farko mu nemi nufin Ubangiji.”
0b160600ce	Saboda haka sarkin Isra’ila ya tattara annabawa, kamar ɗari huɗu, ya tambaye su, “In kai yaƙi a kan Ramot Gileyad, ko kada in kai?” Suka amsa, “Ka tafi, gama Ubangiji zai ba ka ita a hannunka.”
0b1607005e	Amma Yehoshafat ya yi tambaya, ya ce, “Babu wani annabin Ubangiji a nan da za mu tambaya?”
0b16080133	Sarkin Isra’ila ya amsa wa Yehoshafat, ya ce, “Akwai mutum guda har yanzu wanda ta wurinsa za mu iya nemi nufin Ubangiji, amma na ƙi jininsa domin bai taɓa yin annabci wani abu mai kyau game da ni ba, sai dai mummuna kullum. Shi ne Mikahiya ɗan Imla.” Yehoshafat ya ce, “Kada sarki ya ce haka.”
0b16090073	Saboda haka sarkin Isra’ila ya kira ɗaya daga cikin shugabanninsa ya ce, “Kawo Mikahiya ɗan Imla nan take.”
0b160a00c5	Saye da rigunansu na sarauta, sarkin Isra’ila da Yehoshafat sarkin Yahuda suna zama a kujerun sarautarsu a masussuka ta mashigin ƙofar Samariya, tare da dukan annabawa suna ta annabci a gabansu.
0b160b009e	Zedekiya ɗan Kena’ana kuwa ya yi ƙahonin ƙarfe ya kuma furta, “Ga abin da Ubangiji ya ce, ‘Da waɗannan za ka tunkuyi Arameyawa har su hallaka.’”
0b160c009f	Dukan sauran annabawan suka yi annabci iri abu ɗaya. Suka ce, “Ka yaƙi Ramot Gileyad, ka kuma yi nasara, gama Ubangiji zai ba da ita cikin hannun sarki.”
0b160d00bf	Ɗan aikan da ya je yă kawo Mikahiya, ya ce masa, “Duba, sauran annabawa suna maganar nasara wa sarki, sai ka ce mutum guda. Bari maganarka tă yarda da tasu, ka kuma yi maganar alheri.”
0b160e006e	Amma Mikahiya ya ce, “Na rantse da Ubangiji mai rai, zan faɗa masa kawai abin da Ubangiji ya faɗa mini.”
0b160f00d4	Da suka kai, sai sarki ya tambaye shi, ya ce, “Mikahiya, mu kai yaƙi a kan Ramot Gileyad, ko kada mu kai?” Ya amsa ya ce, “Yaƙe ta, za ka kuwa yi nasara, gama Ubangiji zai ba da ita cikin hannun sarki.”
0b16100081	Sai sarki ya ce masa, “Sau nawa ne zan sa ka rantse cewa ba za ka faɗa mini kome ba sai dai gaskiya a cikin sunan Ubangiji?”
0b161100da	Sa’an nan Mikahiya ya amsa, “Na ga dukan Isra’ila a warwatse a kan tuddai kamar tumakin da ba su da makiyayi, kuma Ubangiji ya ce, ‘Waɗannan mutane ba su da maigida. Bari kowa yă tafi gida cikin salama.’”
0b1612008e	Sai sarkin Isra’ila ya ce wa Yehoshafat, “Ban faɗa maka cewa bai taɓa yin annabci wani abu mai kyau game da ni, sai mummuna kawai ba?”
0b161300a3	Mikahiya ya ci gaba, “Saboda haka ka ji maganar Ubangiji. I, na ga Ubangiji zaune a kursiyinsa tare da dukan rundunar sama tsaye kewaye da shi a dama da hagunsa.
0b16140094	Kuma Ubangiji ya ce, ‘Wa zai ruɗi Ahab zuwa yaƙi da Ramot Gileyad, yă kuma kai shi mutuwarsa a can?’ “Wani ya ce wannan, wani ya ce wancan.
0b16150056	A ƙarshe, wani ruhu ya zo gaba, ya tsaya a gaban Ubangiji ya ce, ‘Zan ruɗe shi.’
0b161600c3	“Ubangiji ya yi tambaya ‘Ta wace hanya?’ Ya ce, “‘Zan tafi in zama ruhun ƙarya a bakunan dukan annabawansa.’ “Ubangiji ya ce, ‘Za ka yi nasara a ruɗinsa. Ka tafi, ka yi haka.’
0b16170073	“Saboda haka yanzu Ubangiji ya sa ruhun ƙarya a bakunan dukan annabawanka. Ubangiji ya zartar maka da masifa.”
0b16180092	Sai Zedekiya ɗan Kena’ana ya hau ya mari Mikahiya a fuska. Ya yi tambaya, “A wace hanya ce ruhu daga Ubangiji ya bar ni ya yi maka magana?”
0b16190050	Mikahiya ya amsa, “Za ka gane a ranar da ka je ka ɓuya a ciki cikin ɗaki.”
0b161a0081	Sa’an nan sarkin Isra’ila ya umarta, “Ku kama Mikahiya, ku kai shi wurin Amon, shugaban birnin, da wurin Yowash ɗan sarki.
0b161b008d	Ku ce ga abin da sarki ya ce, ‘Ku sa wannan mutum a kurkuku, kuma kada ku ba shi wani abu sai dai burodi da ruwa, sai na dawo lafiya.’”
0b161c009c	Mikahiya ya furta, “Idan har ka dawo lafiya, to, Ubangiji bai yi magana ta wurina ba.” Ya kuma ƙara da cewa, “Ku lura da maganata, dukanku mutane!”
0b161d0050	Sai sarkin Isra’ila da Yehoshafat sarkin Yahuda suka haura zuwa Ramot Gileyad.
0b161e00b5	Sarkin Isra’ila ya ce wa Yehoshafat, “Zan ɓad da kama in shiga wurin yaƙi, amma ka sa kayan sarautarka.” Saboda haka sarkin Isra’ila ya ɓad da kama, ya shiga cikin yaƙi.
0b161f0095	Sarkin Aram kuwa ya umarci shugabanni kekunan yaƙinsa talatin da biyu, ya ce, “Kada ku yaƙe kowa, ƙarami ko babba, sai dai sarkin Isra’ila.”
0b162000d4	Sa’ad da shugabannin kekunan yaƙin suka ga Yehoshafat, suka yi tsammani, suka ce, “Tabbatacce wannan shi ne sarkin Isra’ila.” Saboda haka suka juye don su yaƙe shi, amma sa’ad da Yehoshafat ya yi ihu,
0b1621005d	sai shugabannin kekunan yaƙin suka ga ashe ba sarkin Isra’ila ba ne, sai suka daina binsa.
0b162200c3	Amma wani ya ja bakansa kawai ya bugi Ahab sarkin Isra’ila a tsakanin sassan kayan yaƙinsa. Sai sarki ya ce wa mahayin keken yaƙinsa, “Juye, ka fitar da ni daga yaƙin. An ji mini rauni.”
0b162300ae	Dukan yini aka yi ta yaƙi, aka kuma riƙe sarki a keken yaƙinsa yana fuskanci Arameyawa. Jini daga mikinsa ya yi ta zuba a ƙasan keken yaƙin, a wannan yamma kuwa ya mutu.
0b16240071	Da rana tana fāɗuwa, sai kuka ta bazu cikin mayaƙa, “Kowane mutum ya tafi garinsu; kowa ya tafi ƙasarsa!”
0b16250043	Sai sarki ya mutu, aka kuwa kawo shi Samariya, aka binne shi a can.
0b1626008c	Suka wanke keken yaƙi a tafki, a Samariya (inda karuwai suke wanka), sai karnuka suka lashe jininsa, kamar yadda maganar Ubangiji ta furta.
0b162700cf	Game da sauran ayyukan mulkin Ahab, haɗe da dukan abin da ya yi, da fadan da ya gina ya kuma shimfiɗa da hauren giwa, da biranen da ya gina, duk a rubuce suke a cikin littafin tarihin sarakunan Isra’ila.
0b16280049	Ahab ya huta da kakanninsa. Ahaziya ɗansa ya gāje shi a matsayin sarki.
0b16290057	Yehoshafat ɗan Asa ya zama sarkin Yahuda a shekara ta huɗu ta Ahab sarkin Isra’ila.
0b162a00a5	Yehoshafat yana da shekara talatin da biyar sa’ad da ya zama sarki, ya kuma yi mulki a Urushalima shekaru ashirin da biyar. Sunan mahaifiyarsa, Azuba’yar Shilhi.
0b162b00fa	A cikin kome ya yi tafiya a hanyoyin mahaifinsa Asa, bai kuma kauce daga gare su ba; ya yi abin da yake daidai a gaban Ubangiji. Amma bai rurrushe masujadai da suke kan tuddai ba, mutane kuwa suka ci gaba da miƙa hadayu suna kuma ƙone turare a can.
0b162c0035	Yehoshafat kuma ya zauna lafiya da sarkin Isra’ila.
