2800000007	Mathayi
281613004d	Tsongilenu mbongu zina bisi futa phaku.» Bawu bámusongila fwalanga dimosi,
2816140047	amana wábahyula: «Mbunzu yi khumbu yayi básonika haka, bya nati?»
2816150096	Bamuzimbwadini: «Bya Khayisala». Hanga wubazimbwadi: «Disongidila, hanenu mambu ma Khayisala kwena Khayisala, amana mambu ma Nzambi kwena Nzambi.»
2816160044	Buna báyuka bwabuna, báyituka, amana bámusisa, benda kwa bawu.
281617007d	Muna kilumbu meni kina, ndambu ya Basadise, bana bisi zimbula ni kweku lufutumuku, bábwesuka kwena yandi, amana bámuhyula
28161800a7	mu kuzimbula: «Mulongi, Moyize kázimbula: "Yuka ni mutu mosi kafwa konda kubuta mwana, myaki wandi kafweti kwela mufwidi ndangu katombula kikanda kya phangi wandi."
28161900a6	Kinga, kwákala kwena betu, yi baphangi ba bayakala tsambwadi; amana watheti wákwela, wáfwa; amana konda kusisa dibuta, wásisa mufwidi wandi kwena myaki wandi.
28161a004f	Busalami phila mosi kwena wuna wazodi, yi watatu, yi kuna kwa wuna watsambwadi.
28161b002d	Amana kunima dya bawu boosu, mukhetu wáfwa.
28161c006a	Mu kilumbu kya lufutumuku, mukhetu wa nani kakala, ha kati dya bawu tsambwadi? Mukuma boosu bámukwela!»
28161d006c	Amana mu kuvutula, Yesu wubazimbwadi: «Luditotisi kikuma lwisiku bakisa keti Masonuku keti ngolu za Nzambi.
28161e0074	Mukuma, ku lufutumuku lwa bafwa kwakálaku yi bayakala keti bakhetu bakwélana, kaasi bakala hanga banzyo mu zilu.
28161f0055	Amana kikuma kya lufutumuku lwa bafwa, lwátangaku mana báluzimbwala kwena Nzambi:
2816200075	"Meni yena Nzambi wa Bulahami yi Nzambi wa Yizaki yi Nzambi wa Yakobi"? Keku Nzambi wa bafwa kaasi wa bana ba moya.»
2816210053	Amana buna báyuka bwana, milumba-lumba mya batu báyituka lawu ku malongi mandi.
2816220045	Buna báyuka Bafwadisi ni Yesu wábatsukisa Basadise, bákutakana.
281623004e	Amana mosi hana kati dya bawu, mulongi wa mitsiku, kakala muleya mu kumuhyula:
2816240032	«Mulongi, khi wawu mutsiku wa mbuta mu mitsiku?»
281625006f	Yandi wumuvutwadi: «"Watónda Pfumu Nzambi waku yi mbundu yaku yosu, yi moya waku wosu yi ngangu zaku zoosu."
2816260028	Wawu wenina mutsiku wa mbuta yi watheti.
2816270059	Amana mutsiku wa zodi, phila mosi yi wuna wa theti: "Tonda khunda waku hanga ngeyi meni."
2816280033	Mitsiku myami myodi mivungi mitsiku yi Bambikudi.»
281629002e	Bwosu bákutakana Bafwadisi, Yesu wábahyula
28162a006b	mu kuzimbula: «Biki lwisi banza kikuma kya Kidisitu? Mwana wa nati kenina?» Bamuvutwadini: «Wa Tavidi.»
28162b005f	Yandi wubazimbwadi: «Abweti si Tavidi, mu Kitembu kisi mutela ni Pfumu, tangwa kisi zimbula:»
28162c0079	"Pfumu kázimbula kwena Pfumu wama": Sikuka ku kitata kyama, yi kuna yibásila bambeni baku ku sina dya bitambi byaku."
28162d004c	«Disonga yuka ni Tavidi kisi mutela "Pfumu", abweti kakadila mwana wandi?»
28162e0073	Amana ka mutu ku walenda kumuvutwala ndinga mosi. Tuka kilumbu meni kina, ka mutu ku wámeka hika kumuhyula kyufu.
281701004a	Hanga Yesu wázonza kwena milumba-lumba mya batu yi kwena balonguki bandi
2817020050	mu kuzimbula: «Balongi ba mitsiku yi Bafwadisi badizakadisi ha kiti kya Moyize.
2817030093	Disongidila ni, mambu moosu mana balúzimbwala, salenu, swekenu phi, kaasi benu luhangaku mihangu mya bawu. Mukuma bisi zonza kaasi bisiku sadila.
2817040088	Amana bisi wongika miteti mya zitu, myena yi phasi mu kunata, mu mahembu ma batu; kaasi bawu meni bisiku zola kuningisa keti ku mulembu.
28170500cf	Amana bisalu bya bawu byosu, bisi sala, ndangu badimonikisaka kwena batu. Ihana ni, bisi nata biphakala bya mbuta bya mavwelesi hana mbunzu yi muna moku ma bawu yi miledi mya mbuta amana baleyisi yi misinga.
2817060065	Amana bazodi kuzakala mu bifulu bya theti mu mikinzi yi bifulu bya theti mu nzu za kimvuka za Bayuta;
281707003b	yi mboti mu mazandu, yi kubatelaka kwena batu ni "Mulongi."
2817080077	Kaasi benu, luzolaku ni balutela "Mulongi", mukuma mosi lwesi wena mulongi wenu, amana benu, benu boosu lwena baphangi.
2817090059	Lutelaku mutu, ha tsi haha, ni "Tata", mukuma mosi lwesi wena tata wenu, Tata wa ku zilu.
28170a0053	Luzolukaku ni balutela "Mutwadisi", mukuma mosi lwesi wena Mutwadisi wenu Kidisitu.
28170b0030	Amana mbuta mu kati dya benu kakala musadi wenu.
28170c0064	Wuna wadítombula yandi meni, bamúkulumuna amana wuna wadíkulumuna yandi meni, bamútombula.»
28170d00f0	«Amana khi kyadi kwena benu, balongi ba mitsiku yi Bafwadisi, bakavungalosi! Kikuma lwisi yafikila kyafulu kya Kipfumu kya mazilu ku thwala ya batu; amana lwisimwoku kota benu-benu, lwisiku bayambula phi mu kukota babana bazola kukota.» [
28170e00ee	«Khi kyadi kwena benu, balongi ba mitsiku yi Bafwadisi, bakavungalosi! Mukuma lwisi botula kwena bafwidi bima bya bawu amana, mu kudihunikisa, lwisi sala malombilu ma kaleyi; kikuma kya bwabuna, lwatámbula pfundusu mosi yiluti kitesu.]
28170f0101	«Khi kyadi kwena benu, balongi ba mitsiku yi Bafwadisi, bakavungalosi! Kikuma lwisi kangala muna yanga dya mbuta yi muna tsi ndangu lwakotisa muphakanu mosi ku dingumba dyenu, amana buna lwamúnunga, lumukitudi mutu mosi wa bilungi mbala zodi kuluta benu.
28171000dc	«Khi kyadi kwena benu bathwadisi baphofu, lwisi zimbula: "Honi mutu kadya ndefi mu khumbu ya nzu ya Nzambi, ka kima ku; kaasi yuka ni mutu kadya ndefi mu wolu dina dyenina mu nzu ya Nzambi, kafweti lungisa ndefi yandi."
2817110056	Bilawu yi baphofu! Biki biluti mupfunu, wolu ho nzu ya Nzambi yina yisi sakumuna wolu?
28171200cf	Amana lwisi zimbula hika: "Honi mutu kadya ndefi mu khumbu ya mesa ma kimenga, ka kima ku; kaasi yuka ni mutu mosi kadya ndefi mu khumbu ya kabu dina dyenina ha mesa ma kimenga, kafweti lungisa ndefi yandi."
2817130054	Baphofu! Amana biki biluti mupfunu, kabu ho mesa ma kimenga mana misi sakumuna kabu?
2817140095	Disongidila, wuna wisi dya ndefi mu khumbu ya mesa ma kimenga kisiya dya mu khumbu ya mesa ma kimenga yi mu khumbu ya bima byosu byenina hana thandu;
281715007e	amana wuna wisi dya ndefi mu khumbu ya nzu ya Nzambi, kisiya dya mu khumbu ya nzu ya Nzambi yi mu khumbu ya wuna wisimwa kala.
281716008a	Amana wuna wisi dya ndefi mu khumbu ya zilu, kisiya dya mu khumbu ya kiti kya luyalu kya Nzambi yi mu khumbu ya wuna wenina hana wazakala.
281717012a	«Khi kyadi kwena benu, balongi ba mitsiku yi bafwadisi, bakavungalosi! Kikuma lwisi hana kimosi kya kumi kya khaya za tsudi ya kitoku yi bithundu yi miti mya kitoku, kaasi lusisi bima bya mupfunu mu mitsiku: kusungama, khenda yi lukwikilu; byabina biluti mboti mu kusala, konda kusisa bina bisadi.
2817180061	Bathwadisi baphofu, lwisi kenza malafu mu kukatula biyingayinga kaasi lwisi mina Kamela wa muthu!
28171900cb	«Khi kyadi kwena benu, balongi ba mitsiku yi bafwadisi, bakavungalosi! Kikuma lwisi semisa phenza ya kopha yi dilonga, amana mu kati bya kabasi yi bima bina lwisi yiba yi kukonda kwa kusipha kwa mbundu.
28171a004c	Mufwadisi phofu! Semisa theti kati dya kopha ndangu phenza yandi phi yasema.
28171b00d8	«Khi kyadi kwena benu, balongi ba mitsiku yi Bafwadisi, bakavungalosi! Kikuma lufwanani yi mazyamu basiti phemba mabati monika kitoku ku phenza, kaasi mu kati mabasa yi mifufwa mya bamvumbi yi bima byosu bya mvindu.
28171c0070	Phila mosi phi yi benu, lwisi monika batu ba masonga kwena batu, kaasi mu kati lwabasa yi mvunga yi mambu mambi.
28171d0090	«Khi kyadi kwena benu, balongi ba mitsiku yi Bafwadisi, bakavungalosi! Lwisi tunga mazyamu ma bambikudi, yi kunenga mazyamu ma batu ba masonga,
28171e00a2	amana lwisi zimbula: "Wadi betu phi twazingila mu tangwa dya batata betu, wadi twakanaku kala mu kithwadi kya mbi yi bawu kikuma kya kunokisa menga ma bambikudi."
28171f005c	Abwabuna lwisi ta kimbangi kwena benu-benu ni lwenina bana ba batu bana báhonda bambikudi.
281720003b	Amana benu, landenu, manisenu mana báyandika batata benu!
2817210050	Banyoka, mbandu ya masawa! Abweti lubati banza kutina kyana pfundusu ya bilungi?
281722011d	Ihana ni tala meni phitiki kwena benu bambikudi yi batu ba nduka yi balongi ba mitsiku. Muna kati dya bawu, bahika, lwabáhonda amana lwabákhoka ha kitakani, bakwawu hika, lwabázyatula muna nzu za kimvuka za Bayuta zenu amana bakwawu hika phi, lwabányokuniki mbanza muna mbanza;
28172300f1	ndangu yalubwila mbesi ya menga moosu ma batu ba masonga mana mátyakana ha tsi tukidila ku menga ma Abelu mutu wa masonga yi kuna menga ma Zakadiya, mwana wa yakala wa Balakiya, wuna lwáhonda ha kati dya nzu ya Nzambi yi mesa ma kimenga.
2817240050	Mu kyedika yiluzimbwadi: mambu mana moosu mabwíla kwena batu ba mbandu yayi.»
28172500e9	«Yelusalemi, Yesulusalemi, ngeyi wisi honda bambikudi yi kubatimbwala matadi bana bisi kutumina! Mbala kwa nzodi kedi kukutikisa bana baku bwosu kisi kutikisa, ngudi wa khoku, bana bandi ku tsi ya mahela mandi, kaasi lwázolabwoku.
281726003d	Tala buthwena, balúyambwadidiya nzu yenu, yakítuka zumbu!
2817270090	Mukuma, yiluzimbwadi, mu kyedika: Tuka lelu dyadi lwambónaku hika tii yi kuna lwazímbwala: "Kasakumuka wuna wukwisila mu khumbu ya Pfumu!"»
2818010070	Mu kulubuka kwa Yesu mu nzu ya Nzambi, balonguki bandi bábwesuka ndangu bamusongila thungidi ya nzu ya Nzambi.
28180200af	Amana yandi mu kubavutwala, wuzimbudi: «Lwisibyoku tala bima byabi byosu? Mu kyedika, yiluzimbwadi, hasálaku keti tadi dimosi ha thandu ya tadi dikwawu dyakonda wulumuka.»
28180300ed	Amana buna kázakala yandi hana mongu wuna bisi tela ni mongu wa Olive, balonguki bábwesuka kwena yandi, mu kingenga bazimbudi: «Tuzimbwala khi tangwa makála mambu mana amana khi kidimbu kyasóngila ngisilu yaku yi tsuka ya tsi?»
2818040046	Amana mu kubavutwala, Yesu wuzimbudi: «Kebenu, ka mutu ku kalutotisa!
2818050066	Kikuma lawu bakwísa mu khumbu ya meni, mu kuzimbula: "Meni yenina Kidisitu" amana lawu babátotisa.
2818060095	Amana lwayúka kuzonzila mvita yi pfweta-pfweta za mvita: talenu, lukalaku mu bidilu; mukuma mboti mambu mana masalama, kaasi yakálaku kedi tsuka.
2818070096	Mukuma tsi yimosi yanwánisa tsi yikwawu, amana kipfumu kimosi kyanwánisa kipfumu kikwawu; amana nzala yi kunikana kwa mafu byakála muma mwahika.
2818080038	Amana mambu mana moosu makála hanga misongu mya theti.
281809006d	Hanga balulambudi ku kiwayi amana balúhonda amana balúmenga muna makanda moosu kikuma kya khumbu ya meni.
28180a0090	Muna tangwa meni dina, kyakála kisinza kikuma kya batu balawu, amana bamosi badílambula bawu yi bawu, amana bahika badímenga bawu yi bawu.
28180b0043	Amana bambikudi ba bukamvi lawu batélama, bahukumuna batu balawu.
28180c004c	Kikuma kya mambu mambi mana ma lawu; lungongu lwa batu balawu lwakúlumuka.
28180d003b	Kaasi wuna wakwámina tii yi kuna tsuka, yandi kahúluka.
28180e009b	Musamu wa Bukheti wawu wa Kipfumu kya mazilu basámunawa muna tsi yosu yina bisi zingila, kyakála kimbangi kikuma kya makanda moosu, hanga tsuka yisi.»
28180f0089	«Tangwa lwamóna muzangi wanzanzi wakutelamisa muna kizika kyahedila, bwosu kázonza mbikudi Tanyela, mutu wuna wubati tanga kabakula!
281810003c	Hanga bana bakala mu kinzunga kya Yuteya batini muna myongu;
2818110054	wuna wakála ha thandu ya mudilu, katulukaku kikuma kya kulubula bima mu nzu yandi;
2818120048	amana wuna wakala mu kilanga kavutukaku kikuma kya kubonga muledi wandi.
281813005f	Khi kyadi kwena mukhetu wuna wakala ku vumu yi kwena wuna wakala yemika muna bilumbu meni bina!
2818140053	Lombilenu ndangu lutinaku mu tangwa dya kyosi kya lawu, keti mu kilumbu kya sabata!
2818150084	Mukuma, kiwayi kya lawu kyakála, hanga kina kyakonda kedi kala tuka ku luyandiku lwa tsi yi buthwena bwabu, amana zakálaku hika.
281816008a	Wadi ni bilumbu bina byákalaku bya khufi, wadi keti mutu káhulukaku, kaasi kikuma kya bana básolama bákhufikisilabya bilumbu bina.
2818170054	Yuka ni mutu kaluzimbwala: "Kidisitu haha kenina!" Holo: "Kuna kenina!" Lukwikilaku.
28181800aa	Mukuma bamasiya ba bukamvi yi bambikudi ba bukamvi balúbuka; basóngila biphadi yi mambu ma kuyituka mukuma, yuka bwalendakana, bahúkumuna keti bana kásola Nzambi.
281819001d	Tala buna thekidi luzimbwala.
28181a0074	«Disongidila yuka ni baluzimbwala: "Talenu, mu nganga kenina, lulubukaku; holo, talenu ku suku kenina, lukwikilaku.
28181b0087	Kikuma bwosu wisi lubuka mutsyenzya tuka ku malubwakidi amana wukenzudi yi kuna mazyokidi, bwabuna kwakála kukwisa kwa Mwana wa mutu.
28181c0045	Kuna kwakála kivundisila, kwakuna bakútakanina bangandwanganga.»
28181d00a7	«Hanga kunima dya bilumbu bina bya kiwayi, tangwa kaphínda, ngondi kaséngulaku myesi myandi, bathetimbwa babwa tukidila ku zilu, amana ngolu za mazilu zaníkana.
28181e00ba	Hanga kidimbu kya Mwana wa mutu kimoniki muna zilu; amana bikanda byosu bya tsi mu khondu byakála, bamóna Mwana wa mutu buna kakwísa hana matuti ma zilu yi ngolu yi khembu ya lawu.
28181f0085	Katúma banzyo bandi yi phungi ya mbuta, amana bakútikisa batu ba tselu ya bana kásola tukidila tselu ya tsi yi tselu ya zilu.»
281820007c	«Mbandu ya kingana kya mufiki yaluheka dilongi: tangwa lwamóna ni miti wusawakidini, zayenu ni tsungi ya pha yibwesukini.
2818210066	Phila mosi yi kwena benu, tangwa lwamóna bima bina byosu, zayenu ni Mwana wa mutu wekina mu kukwisa.
281822005d	Mu kyedika, yiluzimbwadi: mbandu yayi, yahítaku kedi yi kuna masálamina mambu mana moosu.
281823003a	Zilu yi tsi byatóta, kaasi ndinga zama zalendaku tota.»
281824007b	«Kikuma kya kilumbu meni kina yi tangwa, ka mutu ku wuzayibya, keti banzyo muna mazilu, keti Mwana; kaasi Tata yandi hika.
281825005e	Mukuma bwosu bwákala mu tangwa dya Nowa, yibwana phi bwakála mu kukwisa kwa Mwana wa mutu.
28182600aa	Amana bwosu bwákala muna bilumbu meni bina byátekila kithombu, batu bakala dya yi kunwa, bakala kwelana yi kukwedisa, tii yi kuna kilumbu kina kákota Nowa mu nzasa;
2818270081	amana bakalaku bakula kima tii yi kuna kyisila kithombu amana kinati byosu, yibwabuna phi bwakála mu kukwisa kwa Mwana wa mutu.
281828004e	Hanga batu bodi bakála muna kilanga: mosi batámbula amana mosi bamúsisa.
2818290049	Bakhetu bodi bakala toka muna yanda, mosi bamúnata, mukwawu bamúsisa.
28182a0053	Disongidila kalenu batemuna, mukuma luzayiku keti khi kilumbu kakwísa Pfumu wenu.
28182b0089	Amana zayenu bwabu: Wadi mukwa nzu kazayaka tangwa dina kakwisa mwifi, kakhanaku nimba amana kakhanaku yambwadila ni kalungula nzu yandi.
28182c006d	Yihana ni, kalenu bayilama, benu phi, mukuma Mwana wa mutu kakwísa muna tangwa dina lukondi yindula benu.»
28182d008b	«Nati si musadi wakwikama yi wa ngangu? Wuna káheka mukwa nzu kiyeka kya basadi bahika ndangu kabahekaka kudya muna tangwa dina difwani?
28182e004e	Kyesi kwena musadi wuna, buna kakwísa mukwa nzu, kamuwana bwabuna mu kisalu!
28182f0045	Mu kyedika, yiluzimbwadibwa: kamúheka kiyeka kya bima byandi byosu.
281830006d	Kaasi yuka ni yandina kakala musadi wa mbi amana kadibanzila muna mbundu yandi: "Pfumu wama kalengaku kwisa,"
2818310063	kayandika kubabeta banduku ba kisalu, amana kadyaka, kanwaka phi kumosi yi babana bisi zela malafu,
2818320078	kyedika mukwa nzu wuna katúla muna kilumbu kimosi kina kakalaku wayilama musadi wuna yi mu tangwa dina kakondiku zaya;
2818330068	kamúheka ndola ya mbuta amana kámusya mu ndonga ya bakavungalosi, kuna kwakala bidilu yi makwenzi.»
281901007d	«Kinga Kipfumu kya mazilu kifwanani yi bana ba bandumba kumi bábonga mwinda mya bawu, benda tundakana yi yakala dya longu.
2819020048	Batanu, hana kati dya bawu, báyilamaku amana batanu bahika báyilama.
281903004d	Bana bakonda yilama, buna bábonga mwinda mya bawu, bánataku masi ma bawu.
2819040049	Kaasi batanu bana bayilama bánata masi muna bilekwa yi mwinda mya bawu.
2819050056	Bwosu kázingidila yakala mu kukwisa, boosu bahanga balembwi kwabawu amana bánimba.
2819060061	Amana mu kisuku kya phipha, kindanda kiditi: "Talenu yandu yakala, lubukenu, lwenda mutundakana!"
2819070045	Hanga bandumba bana boosu batokami, amana báyidika mwinda mya bawu.
281908006f	Hanga bana bakonda yilama bazimbudi kwena bana báyilama: "Tuhekenu masi menu, kikuma mwinda mya betu mizimi."
281909008d	Bana ba mayedi bavutudi: "Loni, meku mafwana kikuma kya betu yi benu; mboti lwenda kwena bana bisima tekisa ndangu lwasumba kikuma kya benu."
28190a0090	Bwabuna benda bawu mu kusumba, yakala wátula. Amana bana bakala bayilama bakota yi yandi muna nzu ya mukinzi wa longu, hanga bayafikidi mwelu.
28190b005d	Amana kunima dya tangwa, bisa bandumba bana bakwawu, mu kuzimbula: "Tata, Tata, tuyafwadila!"
28190c004b	Kaasi yandi mu kuvutula, wuzimbudi: "Mu kyedika, yiluzimbwadi: Yiluzayiku."
28190d004b	Disongidila, kalakenu bayilama, kikuma luzayiku keti kilumbu keti tangwa.»
28190e007d	«Kipfumu kya mazilu kifwanakani hanga mutu mosi, mu kukwenda mu kitambu: watéla basadi bandi amana wábaheka bima byandi.
28190f00ba	Kwena mosi, mikuta mitanu mya wolu, kwena mukwawu, mikuta myodi mya wolu, amana kwena wuna wa tatu mukuta wumosi, kwena kosu mutu muna ngolu zandi, amana kunima, wenda kwandi mu kitambu.
2819100060	Buna kenda, musadi wuna wábonga mikuta mitanu, wásadilamya amana wálumbula mitanu myahika.
2819110045	Phila mosi yi wuna wábonga mikuta myodi, wálumbula myodi myahika.
2819120073	Kaasi wuna wátambula mukuta wumosi wenda wawu, wásima muna mafu amana wázikawa mukuta wa wolu wa pfumu wandi.
281913007c	«Amana kunima dya tangwa dya lawu, pfumu wa basadi bana wisa, hanga wubatedi ndangu kazaya mutindu wuna básadiladya wolu.
28191400a2	Amana buna kábwesuka wuna wátambula mikuta mitanu, wusongidi hika mitanu mikwawu mu kuzimbula: "Pfumu, mikuta mitanu wápheka, tala mitanu mikwawu ndumbudi."
28191500c4	Pfumu wandi wumuzimbwadi: "Bwa bukheti! Ngeyi wenina musadi wa bukheti yi wa bulemvu. Muna bima bya khunda wukadiki mulemvu, yikúyadika ha thandu ya bima bya lawu, kota mu kyesi kya pfumu waku."
281916007d	Buna kábwesuka wuna wátambula mikuta myodi wuzimbudi: "Pfumu, mikuta myodi wápheka, tala, mikwawu myodi mina ndumbudi!"
28191700bd	Pfumu wandi wumuzimbwadi: "Bwa bukheti! Musadi wa bukheti yi wa bulemvu, mu bima bya khunda, wisi dikadila wa bulemvu, yikúyadika ha thandu ya bima bya lawu; kota mu kyesi kya pfumu waku.
28191800b6	Amana buna kábwesuka wuna wátambula mukuta wumosi, wuzimbudi: "Tata, bwosu yikuzaya ni ngeyi mukwa mathata, wisi hela muna wakonda kunina, amana wisi wongika hana wakonda mwanga;
2819190050	amana mu kubanga, yihanga, tswekiwa mukuta waku mu mafu; tala wawu mukuta waku."
28191a0087	Amana pfumu wandi wumuvutwadini: "Musadi wambi, mubolu! Wázayabwa ni yisi hela muna yikonda kunina, yisi wongika muna yikonda mwanga?
28191b0095	Wadi wakala kwenda sikula mukuta wa wolu dyama kwena bana bisi sala ku banki, amana mu kuvutuka kwama, khadi tambula bina byenina bya meni yi muluta.
28191c0059	Disongidila ni mutambulenu mukuta wuna wa wolu amana hanenu kwena wuna wenina myawu kumi.
28191d008d	Mukuma bahána kwena wuna wenina kyawu, ndangu kakala yi bima bya lawu, kaasi kwena wuna wukondi kima, bamútambula keti kina kenina kyawu.
28191e0077	Amana musadi wuna wakonda mupfunu, mulosenu ku phenza, muna phipha ya ku phenza; kwakuna kwakala bidilu yi makwenzi."»
28191f0080	«Tangwa kakwísa Mwana wa mutu mu khembu yandi yi banzyo boosu ha kimosi yi yandi, hanga wuzakadi hana kiti kyandi kya khembu.
2819200087	Makanda moosu makhúndakana kuna thwala ya yandi, amana kabáhambula bamosi yi bakwawu, bwosu kisi hambula kalema mikoku yi bakhombu:
281921005f	hanga wulongiki mikoku kuna koku dyandi dya kitata, amana bakhombu kuna koku dyandi dya kimama.
28192200b6	Hanga kyamvu wuzimbudi kwena bana bakála ku koku dyandi dya kitata: "Alwisa, benu kásambula Tata wama, tambulenu Kipfumu kya mazilu kina báluyidikila tukila buna káhanga tsi.
2819230091	Mukuma, yíkala yi nzala, benu lwápheka bya kudya; yíkala yi kihwinya, benu lwápheka bya kunwa; yíkala munzenza amana benu lwángyamba;
281924006c	yíkala khonga, benu lwámvwatisa; yikala bela, benu lwátsadisa; yíkala mu boloku, amana lwisa thala."
28192500b8	Amana batu ba masonga bamúvutwala mu kuzimbula: "Pfumu, khi tangwa twákumona ngeyi wákala yi nzala, amana twákuheka bya kudya, holo wákala yi kihwinya, twákuheka bya kunwa?
2819260068	Khi tangwa twákumona, wákala munzenza amana twákuyamba, holo wákala khonga amana twákuvwatisa?
281927004e	Amana khi tangwa twákumona wakala bela holo mu boloku, amana thwisa kutala?"
2819280099	Kyamvu kabávutwala: "Mu kyedika yiluzimbwadi: mbala zoosu zina lwásalabwa kwena mosi wa baphangi bama baba benina bakhunda, kwena meni lwásalabwa!"
28192900c1	«Hanga wuzimbudi hika kwena bana bakala ku koku dyandi dya kimama: "Katukenu haha, batu basingama! Alwenda kuna mbawu ya mvula yi mvula yina báyidika kikuma kya kiphidi-mutu yi banzyo bandi.
28192a006a	Mukuma, yíkala yi nzala kaasi lwáphekaku bya kudya, yíkala yi kihwinya kaasi lwáphekaku bya kunwa;
28192b0080	yíkala munzenza kaasi lwángyambaku; yíkala khonga kaasi lwámvwatisaku; yíkala wabela yi mu boloku kaasi lwáthalaku."
28192c00ce	Hanga bawu phi bavutudi mu kuzimbula: "Pfumu, khi tangwa si twákumona ngeyi wákala yi nzala holo wákala yi kihwinya, holo munzenza, holo kikhonga, holo wabela, holo mu boloku amana twakonda kusadisa?"
28192d0098	Hanga wubavutwadi mu kuzonza: "Mu kyedika, yiluzimbwadibwa, mbala zoosu zina lwásadilabwoku kwena mosi wa baleki baba, lwásalabwoku phi kwena meni."
28192e0069	Amana baba bákwenda ku ndola ya mvula yi mvula, kaasi batu ba masonga, mu luzingu lwa mvula yi mvula.»
281a01004a	Tangwa kámanisa Yesu ndinga zazi zoosu, wuzimbudi kwena balonguki bandi:
281a02007d	«Luzayi ni kunima bilumbu byodi mukinzi wa phaki wakála: amana Mwana wa mutu bamúlambula ndangu bamukhoka ha kitakani.»
281a030089	Hanga bambuta ba banganga Nzambi yi bambuta ba Bayuta bakutakani muna kyanzala kya mbuta wa banganga Nzambi, wuna bakala tela ni Khayifu;
281a040040	Bakasi kifwandu kya kumukwatisa Yesu mu kitsweki yi kumuhondisa.
281a050060	Bakala zimbula: «Heku ni mu tangwa dya mukinzi, ndangu mvwalangani yikalaku ha kati dya batu.»
281a06003a	Yesu ku Betaniya kákala, muna nzu ya Simoni mukwa bwasi,
281a07009a	mukhetu mosi wisa bwesuka kwena Yesu, kákala yi mulangi wa mananasi ma thalu ya lawu amana wázunzilama hana mutwa wa yandi bwabuna kákala kuna mesa.
281a080070	Amana balonguki buna bámona bwabuna, bámonaku kyesi, hanga bazimbudini: «Kikuma kya biki kuzanga kwa bwabu?
281a090050	Bufwaniki basumbisama mu thalu ya lawu, amana mbongu bahanaza kwena batsukami!»
281a0a008f	Kaasi Yesu buna kábakulabwa, wubazimbwadi: «Kikuma kya biki lubati muhekila phasi mukhetu yandu? Mukuma dyambu dya kitoku kasadi kwena meni;
281a0b0059	mukuma batsukami lwakádiki bawu kosu tangwa, kaasi meni twakádikiku yenu kosu tangwa.
281a0c004c	Yandi kanzunzidi mananasi mama mu lutu, ndangu katekila yidika kuzika kwama.
281a0d0097	Mu kyedika yiluzimbwadi: kuna basámuna Musamu wa Bukheti wawu, mu tsi yosu, baménikiki phi mambu mama kasadi yandu, kikuma kya kumubambuka yandi.»
281a0e006d	Hanga mosi wa bawu kumi yi bodi, wuna bakala tela ni Yutasi Sikadyoti, wendi kwena bambuta ba banganga Nzambi
281a0f0069	wuzimbudi: «Biki luzodi kupheka, amana meni yilulambwala yandi?» Hanga bawu bamufuti makuta makumatatu.
281a100053	Amana tuka tangwa meni dina, kakala sanda tangwa dya mboti ndangu kamulambula Yesu.
281a1100b1	Mu kilumbu kya theti kya mukinzi wa mapha makonda kisi dya muvimbu, balonguki bábwesuka kwena Yesu mu kuzimbula: «Ku biki wuzodi ni twakuyidikila madya ma mukinzi wa Phaki?»
281a1200bf	Hanga yandi wuzimbudini: «Alwenda muna mbanza kwena mutu mosi, amana muzimbwalenu: "Mulongi kazimbudini: Tangwa dyama dibwesukini; ku nzu ya ngeyi yidila madya ma Phaki yi balonguki bama."»
281a13004e	Balonguki báhanga bwosu kabalongikila Yesu, amana báyidika madya ma Phaki.
281a14003d	Masikidika ha mábwa, ku mesa kákala yi bawu kumi yi bodi.
281a150070	Amana buna bákala mu kudya, yandi wuzimbudi: «Mu kyedika, yiluzimbwadi: mosi mu kati dya benu kandámbula.»
281a16006a	Hanga báyuki kiwayi kya lawu, báyandika kumuhyula mosi kunima mukwawu: «Ka meni ku, Pfumu, kabwaku?»
281a170066	Yandi, mu kuvutula, wuzimbudi: «Wuna wuvundiki koku ha longa dimosi yi meni, yandi wuna wandámbula.
281a1800a9	Mwana wa mutu kabati kwenda, tala mana másonama kikuma kya yandi; kaasi khi kyadi kwena mutu wuna wulambudi Mwana wa mutu! Bwálunga ni mutu wuna kabutukaku kwandi!»
281a190089	Amana mu kuvutula, Yutasi, wuna wámulambula wuzimbudi: «Ka meni ku, Mulongi, kabwaku?» Yesu wumuvutwadi: «Ngeyi meni wuzimbudibwa.»
281a1a00a7	Buna bakala dya, Yesu wábonga dipha, wásambuladya amana wábukunadya, wáhanadya kwena balonguki, amana wuzimbudi: «Bongenu, dyenu, lwalu lwena lutu lwa meni.»
281a1b0068	Amana wábonga mbungu mosi, kunima dya kuvutula matondu, wábahekaya mu kuzonza: «Nwenuya benu boosu,
281a1c0074	mukuma mama menina menga ma meni, ma bulunda bwa Nzambi, mana matyakani kikuma kya batu lawu mu kuloluka kwa masumu.
281a1d009b	Amana yiluzimbwadi, mukyedika: tuka buthwena, yinwáku hika vinu dina, tii yi kuna kilumbu kina yinwádya ha kimosi yi benu muna Kipfumu kya Tata wama.»
281a1e0050	Amana buna báyimbila mikunga mya mukinzi, bálubuka, benda ku mongu wa Olive.
