2800000007	Mattiyu
290c0b003b	Wannan daga Ubangiji ne, kuma ya yi dai dai a idanunmu.”'
290c0c0081	Sai suka nemi su kama shi, don sun lura a kansu ne ya yi masalin, amma suka ji tsoron jama'a. Don haka suka kyele shi, suka tafi.
290c0d0064	Suka aika masa da wadansu farisiyawa da Heridiyawa, don su sa masa tarko da kalamai cikin maganarsa.
290c0e00cb	Da suka zo, suka ce masa, “Malam, gaskiya kana koyar da maganar Allah sosai, ba ka nuna bambanci tsakani mutane, sai koyar da tafarkin Allah kake yi sosai. “Shin, mu biya haraji ga Kaisar, ko a a?”
290c0f0064	AmmaYesu ya gane munafuncinsu, ya ce masu, “Don me kuke gwada ni? ku kawo mani dinarin in gani.”
290c10006a	Suka kawowa Yesu daya. Ya ce masu, “Kamar waye da kuma rubutun wanene? suka ce masa, “Na Kaisar ne.”
290c11007c	Yesu ya ce, “to, ku ba Kaisar abinda yake na Kaisar, ku kuma ba Allah abin da yake na Allah. Sai suka yi mamakinsa kwarai.
290c12005b	Sai Sadukiyawa suka zo wurinsa, su dake cewa babu tashin matattu. Suka tambaya shi suka ce,
290c1300a4	“Malam, Musa dai ya rubuta mana, cewa idan dan'uwan mutum ya mutu, ya bar matarsa ba da, lallai ne dan'uwan mutumin ya auri matar, ya haifa wa dan'uwansa 'ya'ya.'
290c14005b	To an yi wadansu 'yan'uwa maza guda bakwai, na farko ya yi aure, ya mutu bai bar 'ya'ya ba.
290c150044	Na biyu kuma ya aure ta, shi ma ya mutu, ba 'ya'ya. Na ukun ma haka.
290c160051	Haka dai duk bakwai din, ba wanda ya bar 'ya'ya. A karshe kuma ita matar ta mutu.
290c17005b	To, a tashin matattu, matar wa za ta zama a cikinsu? Don duk bakwai din nan sun aure ta”.
290c18007f	Sai Yesu ya ce, “Ba saboda wannan dalili ne kuka yi kuskure ba, wato don ba ku san littafin ba, kuma ba ku san ikon Allah ba?
290c19005d	Domin in an tashin daga matattu, ba a aure, ba a auraswa, amma sun zama kamar malaiku a sama.
290c1a00a3	Amma game da mattattun da suka tashi, ashe, ba ku taba karantawa a littafin Musa ba, yadda Allah ya ce masa? “Ni ne Allah na Ibrahim, da Ishaku, da kuma Yakubu'?
290c1b004e	Ai, shi ba Allahn mattatu bane, amma na rayyayu ne. Hakika kun yi kuskure “.
290c1c00a5	Sai wani malamin attuara ya zo ya ji suna muhawara da juna. Da dai ya ga Yesu yana ba su kyakkyawar amsa, sai ya tambaye shi, “Wanne Umarni ne mafi girma dukka?”
290c1d0065	Yesu ya amsa yace, “mafi girma shine, 'ku saurara ya Isra'ila, Ubangiji Allahnmu, Ubangiji daya ne.
290c1e006b	Sai ka kaunaci Ubangiji Allah da dukkan zuciyarka, da dukkan ranka da dukkan tunaninka, da dukkan karfinka.
290c1f0055	ta biyu itace, 'ka kaunaci makwabcinka kamar kanka, Ba wata doka da ta fi wadannan.''
290c200060	Sai malamin attaura ya ce masa, “Hakika gaskiyarka malam, Allah daya ne, ba kuma wani sai shi.
290c210092	A kaunace shi kuma da dukkan zuciya, da dukkan hankali, da dukkan karfi, a kuma kaunaci makwabci kamar kanka, ai ya fi dukkan hadayu na konawa.”
290c220094	Da Yesu ya ga ya yi masa magana da hikima, sai ya ce masa, “Ba ka nesa da mulkin Allah.” Bayan wannan kuma ba wanda ya sake tambayarsa wani abu.
290c23006f	Yesu ya amsa a lokacin da yake koyarwa a Haikali, ya ce “Yaya malaman attaura suke ce wa Kristi dan Dauda ne?
290c24008d	Domin Dauda kansa, ta ikon Ruhu Mai Tsarki ya ce, “Ubangiji ya ce wa Ubangijina, zauna a hannun damana, har sai na kaskantar da makiyanka'.
290c250084	Dauda da kansa ya kira shi 'Ubangiji; To, ta yaya ya Almasihu zai zama Dan Dauda?” Babban taron jama'ar suka saurare shi da murna.
290c26007a	A koyarwa sa Yasu ya ce, “ku yi hankali da malaman attaura, masu son yawo da manyan riguna, suna so a gaishesu a kasuwa,
290c270042	da kuma son wuraren zama masu daraja a haikali, da wurin bukukuwa.
290c28007d	Sun kuma kwace gidajen gwauraye, da yin doguwar addu'a, don mutane su gani. Wadanan mutanen zasu sami hukunci mai tsanani.”
290c29005d	Sai ya zauna a gaban akwatin baiko a Haikalin, yana duban yadda jama'a suke zuba kudi a ciki.
290c2a007c	Wadansu masu arziki da yawa suna zuba kudi masu tsoka. Sai gwauruwa mara abin hanu ta saka anini biyu a ciki akwatin baikon.
290c2b0082	Ya kira almajiransa, ya ce masu, “Hakika, ina gaya maku, abinda gwauruwa nan ta saka a akwatin baikon nan ya fi na sauran dukka.
290c2c0064	Su duk sun bayar daga yalwa tasu ne, ita kuwa daga cikin rashinta ta bada duk abinda take da shi.”
290d01008a	da Yesu ke fita daga Haikalin, sai daya daga cikin almajirnsa ya ce masa “malam, dubi kyawawan duwatsunnan da kyawawan gine-ginnenan!”
290d02007e	Ya ce masa, ka ga wadannan kyawawan gine- ginen? babu wani dutsen da za a bar shi akan dan'uwansa, da ba za a rushe shi ba.”
290d03008d	Yana zaune a kan dutsen zaitun wanda yake kusa da Haikali, sai Bitrus, da Yakubu, da Yahaya, da Andarawus suka tambaye shi a asirce, suka ce.
290d04006a	Gaya mana yaushe za a yi wadannan abubuwa? mecece zata zama alamar faruwar wadanna abubuwa da zasu faru?''
290d050031	Yesu ya ce masu, “ku kula, kada kowa ya rudeku.
290d06004d	Da yawa za su zo da sunana, suna cewa nine shi, har su bad da mutane da yawa.
290d070070	In kuka ji labarin yake- yake, da jita-jitarsu kada ku damu, wannan zai faru, amma karshen duniya bai gabato ba.
290d0800a2	Al'umma za ta tasarwa al'umma, mulki ya tasarwa mulki. Za a yi girgizar kasa awurare dabam-dabam, da kuma yunwa, amma fa dukkan wadanna abubuwan mafarin azaba ne.
290d0900ba	Amma, ku zauna a fadake. Don za su kai ku gaban majalisa. za a yi maku duka a cikin majami'u. Su kuma kai ku gaban masu mulki da sarakuna, saboda sunana, domin ku ba da shaida a gare su.
290d0a0037	Amma lallai sai an fara yi wa dukkan al, ummai bishara.
290d0b00dd	Sa'ad da suka kai ku gaban shari'a suka mika ku, kada ku damu a wannan lokacin, za a baku abin da zaku fada, Amma duk abin da aka yi muku a wannn lokacin, shi za ku fada, domin ba ku ne kuke magana ba, Ruhu mai tsarki ne.
290d0c006d	Dan'uwa zai bada dan'uwarsa akashe shi, uba kuwa dansa. Yara kuma zasu tayar wa iyayensu har su sa akashe su.
290d0d0046	Za a ki ku saboda sunana, amma duk wanda ya jumre har karshe zai cetu.
290d0e00aa	Sa'adda kuka ga an kafa mummunan aikin sabo mai ban kyama a wurin da bai kamata ba (bari mai karatu ya fahimta), to, bari wadanda suke kasar Yahudiya, su gudu zuwa dutse.
290d0f0047	Wanda yake tudu kuma kada ya sauko ya shiga gida garin daukar wani abu.
290d100039	Wanda yake gona kuma kada ya koma garin daukar mayafinsa.
290d11003a	Amma, kaiton masu juna biyu da masu goyo a wannan lokacin.
290d12002a	Ku yi addu, a kada abin ya faru da damina.
290d130099	A lokacin za ayi wata matsanaciyar wahala, wadda bata taba faruwa ba, tun farkon halittar da Allah ya yi har zuwa yau, ba kuwa za a taba yi ba har abada.
290d14007d	In da ba ubangiji ya rage kwanakin nan ba, da ba Dan adam din zai tsira. Amma saboda zabbabunan da ya zaba, ya rage kwanakin.
290d150054	To, in wani ya ce maku, kun ga Almasihu nan!' ko, 'kun gan shi can, kada ku gaskata.
290d160067	Gama almasihan karya, da annabawan karya zasu bayyana kuma, zasu yi abubuwan al'ajibai masu ban mamaki.
290d170049	Amma ku zauna a fadake, Na dai fada maku wadannan abubuwan kafin lokacin.
290d180057	Amma, bayan matsanaciyar wahalannan, rana zata duhunta, wata kuma ba zai bada haske ba.
290d19005f	Taurari za su fado daga sararin sama, za a kuma girgiza manyan abubuwan da suke a sararin sama.
290d1a0052	Sa' annan zasu ga Dan mutum na zuwa a cikin gajimare, da iko mai girma da daukaka.
290d1b0086	Zai aiko da mala'ikunsa su tattaro zabbabunsa daga kusuwoyi hudu na duniya(watau Gabas da Yamma, kudu da Arewa) har zuwa karshen sama.
290d1c007b	“Ku yi koyi da itacen baure. Da zarar rassansa sun fara taushi yana kuma fitar da toho, kun san damina ta yi kusa ke nan.
290d1d005b	Sa'adda kuka ga wadannan abubuwa suna faruwa, ku dai sani ya kusato, a bakin kofa ma ya ke.
290d1e0052	Hakika ina gaya maku, zamanin nan ba zai shude ba sai dukan abubuwan nan sun faru.
290d1f0042	Sararin sama da kasa za su shude, amma maganata ba za ta shude ba.
290d200059	Amma wannan rana ko sa'a ba wanda ya sani, ko mala'ikun sama, ko Dan, sai dai Uban kadai.
290d210050	Ku kula, ku zauna a fadake, kuna addu'a don baku san ranar da lokacin zai yi ba.
290d22008b	Kamar yadda mutum mai tafiya, in ya bar gida ya wakilta bayinsa kan gidansa, kowanne da aikinsa, ya kuma umarci mai gadi ya zauna a fadake.
290d23008e	To, ku zauna a fadake don ba ku san lokacin da maigidan zai zo ba, ko da yamma ne, ko da tsakar dare ne, ko da carar zakara ne, ko da safe ne.
290d240027	Kada ya zo ba zato, ya samu kuna barci.
290d250042	Abinda na gaya maku, ina gaya wa kowa, shine ku zauna a fadake!”
290e0100a9	Idin Ketarewa da bukin gurasa mara yisti sauran kwana biyu kenan, sai shugabanin firistoci da malaman attaura suka nemi yadda zasu kama Yesu a asirce domin su kashe shi.
290e02005c	Suna cewa amma “Ba a lokacin idin ba, domin kada su haddasa hargitsi a tsakanin mutane”.
290e030095	Yesu yana Betanya a gidan Saminu kuturu, yana shirin liyafa kenan sai ga wata mace dauke da kwalbar turare mai tamanin kwarai, ta shafa masa a kansa.
290e04003a	wasu dake tare da Yesu suka husata, suna kwalbarta da cewa
290e050070	“Ai wannan turare ne mai tsada, ina laifin a sayar a raba wa talakawa kudin? ina dalilin wannan almubazaranci?
290e06003a	Sai Yesu yace masu “Ku kyaleta, don me kuke tsauta mata,
290e07007d	ai Idan kuna da niyyar taimakon talakawa ko matalauta, suna nan tare da ku ko a yaushe amma ni bazan kasance da ku kullum ba.
290e08003b	Macen nan tayi aiki nagari domin shirya jikina ga jana'iza.
290e090074	hakika, Ina gaya maku, duk inda za'a yi bishara a duniya baza a mance da matan nan da hidimar da ta tayi mini ba.”
290e0a0079	Da jin haka sai Yahuza Iskariyoti, daya daga cikin manzannin ya ruga zuwa wurin baban firist domin ya bashe shi a garesu,
290e0b0095	Da mayan firistoci suka ji haka suka yi murna matuka tare da alkawarin kudi ga Yahuza, shi kuwa sai ya fara neman zarafin da zai mika Yesu a gare su.
290e0c0097	A ranar farko ta bukin gurasa marar yisti da kuma hadayar ragon Idin ketarewa, almajiransa suka ce masa “Ina zamu shirya liyafar domin idin ketarewa?
290e0d0074	Ya aiki biyu daga cikin almajiransa da cewa “Ku shiga cikin birnin, zaku tarar da wani mutum dauke da tullun ruwa.
290e0e008d	Duk gidan da ya shiga ku bishi, sai ku cewa mai gidan, malam yace “ina bukatar masauki domin hidimar idin ketarewa tare da almajiraina?”'
290e0f0047	Zai kuwa nuna maku babban bene gyararre. Sai ku yi mana shiri a can.”
290e100073	Da shigar almajiran cikin birnin, sai kome ya kasance yadda ya fada, su kuwa suka yi shirye shiryen idin ketarewar.
290e11002b	Da maraice ta yi, sai ya tare da sha biyun.
290e120089	Yayin da suke zazzaune a teburin suna cin abincin, sai Yesu ya ce “Hakika ina gaya maku wani da ke ci tare da ni a nan zai bashe ni”.
290e130053	Sai suka damu suka tambaye shi daya bayan daya suna cewa “Hakika bani bane ko?”
290e14006c	Yesu ya amsa masu da cewa “Daya daga cikin sha biyu ne, wanda ke sa hannu tare da ni yanzu cikin tasar”.
290e150086	Dan Mutum zai tafi ne yadda nassi ya umarta game da shi amma kaiton wanda zai bashe shi! “zai, fiye masa, dama ba a haife shi ba”.
290e160083	Lokacin da suke cin abincin, Yesu ya dauki gurasa ya sa albarka, ya gutsuttsura ta, sai ya basu yana cewa “Wannan jikinana ne”.
290e170046	Ya kuma dauki koko, yayi godiya, ya basu, su kuwa suka sha daga kokon.
290e180048	Ya ce “Wannan jinina ne na alkawari da an zubar ga yawancin mutane”.
290e190064	Hakika, bazan kara sha daga wannan ruwan inabi ba sai a ranar da zan sha sabo cikin mulkin Allah.”
290e1a0047	Bayan sun raira wakar yabo ga Allah, sai suka tafi wurin dutsen zaitun.
290e1b0088	Yesu ya ce masu dukkan ku zaku yi tuntube harma ku fadi saboda ni gama rubuce take cewa “Zan buge makiyayin, tumakin kuwa za su watse;
290e1c0037	Amma bayan tashina, zai yi gaba in riga ku zuwa Galili.
290e1d003e	Bitrus ya ce masa “ko dukkansu sun fadi, faufau banda ni”.
290e1e0076	Yesu yace masa “Hakika ina gaya maka, cikin wannan dare kafin carar zakara ta biyu zaka yi musun sani na sau uku”.
290e1f0081	Amma Bitrus ya sake cewa “Koda za'a kasheni tare da kai ba zan yi musun sanin ka ba”. Dukkan su kuwa suka yi wannan Alkawari.
290e200076	Suka isa wani wuri da ake kira Getsamani, sai Yesu ya ce wa almajiransa “Ku dakata anan domin zan je inyi addu'a”.
290e21005b	Sai ya dauki Bitrus, da Yakubu, da Yahaya. Ya fara jin wahala mutuka tare da damuwa kwarai.
290e220062	Sai ya ce masu “Raina na shan wahala harma kamar in mutu. Ku dakata a nan, ku zauna a fadake”.
290e23007d	Da Yesu yayi gaba kadan, sai ya fadi kasa yayi addu'a yana cewa idan mai yiwuwa ne “A dauke masa wannan sa'a daga gare shi.
290e240079	Ya ce “Ya Abba Uba, kome mai yuwane gare ka, ka dauke mini kokon wahalan nan, duk da haka ba nufina ba sai dai naka”.
290e25007f	Da komowarsa ya same su suna barci, sai ya ce wa Bitrus, Siman barci kake? Ashe, ba za ka iya zama a fadake ko da sa'a daya ba?
290e260066	Ku zauna a fadake, kuyi addu'a kada ku fada cikin jaraba. Lalle ruhu na da niyya amma jiki raunana ne.
290e270043	Sai ya sake komawa, yayi addu'a, yana maimaita kalmominsa na farko.
290e280076	Har wa yau kuma ya sake dawowa, ya same su suna barci don barci ya cika masu idanu kwarai, sun kuwa kasa ce masa kome.
290e29008b	Ya sake komowa karo na uku yace masu “har yanzu barci kuke yi kuna hutawa? Ya isa haka! Lokaci yayi, an bada Dan Mutum ga masu zunubi”.
290e2a0039	Ku tashi mutafi kun ga, ga mai bashe ni nan ya kusato.”
290e2b00b2	Nan da nan, kafin ya rufe baki sai ga Yahuza, daya daga cikin sha biyun da taron jama'a rike da takkuba da kulake. Manyan firistoci da malaman attaura da shugabanni suka turo su.
290e2c007d	Mai bashe shi din nan ya riga ya kulla da su cewa “Wanda zan yi wa sumba shine mutumin, ku kama shi ku tafi da shi a tsare.
290e2d0051	Da isowarsa kuwa, sai ya zo wurin Yesu ya ce “Ya malam!”. Sai ya sumbace shi.
290e2e0028	Su kuwa suka kama shi, suka tafi da shi.
290e2f0068	Amma daya daga cikin na tsaye ya zaro takobinsa ya kai wa bawan babban firist sara, ya yanke masa kunne.
290e30005c	Sai Yesu ya ce “kun fito kamar masu kama yan fashi da takkuba da kulake, domin ku kama ni?
290e31007e	Lokacin da nake koyarwa a Haikali, kowace rana da ku, baku kama ni ba. Amma anyi haka ne domin a cika abinda Nassi ya fada.”
290e320042	Daga nan duk wadanda suke tare da Yesu suka yashe shi, suka tsere.
290e330041	Wani saurayi, daga shi sai mayafi ya bi shi, suka kai masa cafka.
290e34002d	Shi kuwa ya bar masu mayafin ya gudu tsirara.
290e35008f	Daga nan suka tafi da Yesu wurin babban firist. a can suka tara dattawa duk da manyan firistoci da shugabanni da marubuta, suka taru a wurinsa.
290e360076	Bitrus kuwa ya bi shi daga nesa har cikin gidan babban firist. Ya zauna tare da dogaran Haikalin, yana jin dumin wuta.
290e37008f	Sai, manyan firistoci da duk 'yan majalisa Yahudawa suka nemi shaidar da za a tabbatar a kan Yesu, don su samu su kashe shi. Amma basu samu ba.
290e38004e	Da yawa kuma suka yi masa shaidar Zur (Karya), amma bakin su bai zama daya ba.
290e390044	Sai wadansu kuma suka taso suka yi masa shaidar zur (karya) suka ce.
290e3a007e	“Mun ji ya ce, wai zai rushe haikalin nan da mutane suka gina, ya sake gina wani cikin kwana uku, ba kuwa ginin mutum ba”.
290e3b002e	Duk da haka, sai shaidar tasu bata zo daya ba.
290e3c0083	Sai babban firist ya mike a tsakanin su, ya tambayi Yesu yace “Ba ka da wata amsa game da shaidar da mutanen nan suke yi a kanka?
290e3d007c	Amma yayi shiru abinsa, bai ce kome ba. Sai babban firist din ya sake tambayarsa “To, ashe kai ne Allmasihu Dan Madaukaki?
290e3e0064	Yesu ya ce “Nine. Za ku kuwa ga Dan Mutum zaune dama ga mai iko, yana kuma zuwa cikin gajimare”.
290e3f004c	Sai babban firist ya kyakketa tufafinsa yace “Wacce shaida kuma zamu nema?
290e40005a	Kun dai ji sabon da yayi! Me kuka gani? Duk suka yanke masa hukunci akan ya cancanci kisa.
290e41008a	Wadansu ma suka fara tottofa masa yau, suka daure masa idanu, suka bubbuge shi suna cewa “Yi annabci” Dogaran kuma suka yi ta marinsa.
290e420048	Bitrus kuwa na kasa a filin gida, sai wata baranyar babban firist ta zo.
290e43006a	Da ta ga Bitrus na jin dumi, ta yi masa kallon gaske ta ce “Kaima ai tare kake da banazaren nan Yesu”.
290e440075	Amma ya musa ya ce “Ni ban ma san abinda kike fada ba balle in fahimta”. Sai ya fito zaure. Sai zakara yayi cara.
290e450069	Sai baranyar ta ganshi, ta sake ce wa wadanda ke tsaitsaye a wurin, “Wannan ma daya daga cikinsu ne”.
290e460076	Amma ya sake musawa, jim kadan sai na tsaitsayen suka ce wa Bitrus “Lalle kai ma dayansu ne don ba Galile ne kai”.
290e470063	Sai ya fara la'anta kansa yana ta rantsuwa yana ce wa “Ban ma san mutumin nan da kuke fada ba”.
290e4800cb	Nan da nan sai zakara ya yi cara ta biyu, Bitrus kuwa ya tuna da maganar Yesu a gare shi cewa “Kafin zakara ya yi cara ta biyu, za ka yi musun sani na sau uku”. Da ya tuno haka, sai ya fashe da kuka.
290f010090	Da sassafe, sai manyan firistoci suka hadu da dattawa da manyan malamai, da majalisa suka daure Yesu, suka sa shi gaba suka mika shi ga Bilatus.
290f02004d	Bilatus ya tambaye shi, kaine sarkin Yahudawa? ya amsa ya ce “haka ka ce”
290f030039	Sai manyan firistochi suka kawo zargi iri iri a kan Yesu.
290f040056	Bilatus ya sake tambayarsa, ba ka da abin cewa? ka lura da yawan zargi da ake yi maka.
290f05003f	Amma Yesu baya sake yi masa magana ba. wannan ya ba shi mamaki.
290f060058	A lokacin idi, Bilatus ya kan sakar masu da dan bursuna wanda jama'a suka bukaci a saka,
290f07007d	A cikin gidan yari, in da aka tsare wadansu yan tawaye, da masu kisan kai, akwai wani mai kisan kai, ana ce da shi Barrabbas.
290f080043	Sai Jama'a suka zo wurin Bilatus ya yi masu kamar yadda ya saba yi.
290f090042	Bilatus ya amsa masu ya ce, kuna so in sakar maku sarkin Yahudawa?
290f0a004e	Yayi wannan domin ya sani cewa Firistoci sun bada shi ne domin suna kishin sa,
290f0b0064	Sai Firistochi suka zuga jama'a, sai suka yi kuwwa suna cewa, a sakar masu Barrabbas amaimakon Yesu.
290f0c0045	Bilatus ya sake yi masu tambaya “Yaya zan yi da Sarkin Yahudawa?”
290f0d002d	sai suka amsa da kuwwa” a “giciye shi!”
290f0e0049	Bilatus ya ce masu menene laifinsa sai suka kara ihu, “a giciye shi.”
290f0f0089	Bilatus don yana son ya farantawa jama'a zuciya sai ya sakar masu da Barrabbas sai ya yi wa Yesu bulala, sannan ya mika shi a giciye shi.
290f10003a	Sojoji suka kai shi cikin kagara, suka tara rundunan soja,
290f11003a	Suka sa masa tufafin shulaiya suka nada masa rawanin kaya,
290f120042	Suna masa kirari na ba'a suna cewa, “A gaida sarkin Yahudawa!”
290f13006e	Sai suka buge shi a kai da kulki suka kuma tofa masa yau a fuska, suka kuma durkusa suna yi masa sujadar ba'a.
290f14008d	Bayan sun gama yi masa ba'a sai suka cire masa tufafin shunnaiya, sai suka maida masa tasa tufafinsa, sai suka fitar dashi don su giciye shi.
290f15008c	Suna cikin tafiya sai suka hadu da wani, mai suna Saminu Bakairawani (wato uban Alizanda da Rufus); suka tillasta shi ya dauki gijiyen Yesu.
290f160041	Sojojin suka kawo Yesu wurin da ake kira Golgota (wato kokon kai)
290f170036	Suka bashi ruwan inabi hade da mur, amma ya ki ya sha.
290f180067	Sai suka giciye shi, suka kuma raba tufafinsa suka kuma jefa kuri'a domin kowanne soja ya sami rabonsa.
290f19001d	A sa'a ta uku aka giciye shi.
290f1a0041	Sai aka rubuta alamar zargi da take cewa “Ga Sarkin Yahudawa”
290f1b0039	Suka kuma giciye shi tare da wadansu yan fashi guda biyu.
290f1c004f	Daya a hannun damansa daya a hannun hagunsa. Domin a cika abinda nassi ya fada.
290f1d0075	suke wucewa suna zaginsa suna kada kai suna cewa, “Aha! kai da zaka rushe haikali ka kuma gina shi cikin kwana uku,
290f1e002c	ka ceci kanka mana, ka sauka daga giciye!”
290f1f0071	Haka ma manyan firistoci da malamai, suka yi masa ba'a suna cewa “Ya ceci wadansu amma bai iya ceci kansa ba”
290f200087	Bari Almasihu Sarkin Yahudawa ya sauka daga giciye. Domin mu gaskata shi, sai wadanda aka giciye shi tare dasu, suma suka yi masa ba'a.
290f210035	sa'a ta shida zuwa sa'a ta tara, duhu ya rufe ko'ina,
290f220087	A sa'a ta tara, Yesu ya tada murya da karfi ya ce Eloi, Eloi lamathsabathani?” Ma'ana Ya Allahna Ya Allahna, me ya sa ka yashe ni?”
290f230054	Wasu daga cikin na tsaye, da suka ji shi, sai suka ce, “Duba, yana kiran Iliya.”
290f2400a7	Sai wani ya hanzarta, ya dauki soso ya tsoma a ruwan inabi mai tsami, ya soka agora ya mika masa don yasha. Mutumin yace bari mu gani ko Iliya zai zo ya saukar da shi.
290f25003b	Sai Yesu yayi kuka da babban murya da karfi sannan ya rasu.
290f26003b	Sai labulen haikalin ya rabu kashi biyu daga sama har kasa.
290f270081	Sa'adda da jarumin sojan da ke tsaye yana fuskantar Yesu ya ga yadda ya mutum, Sai ya ce “hakika, wannan mutum Dan Allah ne.”
290f28007e	Akwai kuma mata wadanda ke dubawa daga nesa. Daga cikinsu akwai Maryamu Magadala, da Maryamu(Uwar Yakubu da Yusufu) da Salome.
290f290083	Wadannan matan sune suka bishi sa'adda da yake Galilee suna yi masa hidima. Da wadansu mata da yawa suka zo Urushalima tare da shi.
290f2a003f	Da maraice an shiga shirye shirye domin kashe gari asabbaci ce.
290f2b00b7	Sai Yusufu daga garin Arimatiya ya zo, mutumin kirki, mai girma kuma dan majalisar dattawa, mai sauraron mulkin Allah, da gaba gadi ya tafi wurin Bilatus ya bukaci a bashi jikin Yesu.
290f2c0067	Bilatus ya yi mamakin mutuwar Yesu cikin lokaci kadan, sai ya kira jarumin ya tabbattar koYesu ya mutu.
290f2d005a	Bayan ya tabbattar daga wurin jarumin soja cewa Yesu ya mutu, sai ya bada jikin ga Yusufu.
290f2e00e1	Yusufu ya sayo likafani. ya saukar da shi daga giciye, ya kawo likafanin nan ya lulube jikin Yesu dashi. Ya kai shi kabarin da aka sassaka da dutse, wadda ya shirya shi domin kansa. Ya kawo dutse ya rufe bakin kabarin da shi.
290f2f0050	Maryamu Magadaliya da Maryamu Uwar Yusufu sun ga wurin da aka yi jana'izar Yesu.
2910010093	Bayan ranar assabaci, Maryamu Magadaliya da Maryamu uwar Yakubu da Salomi, suka sayo man shafawa mai kamshi domin shafe jikin Yesu saboda jana'iza.
291002004c	Da safiyar ranar farko ta mako sai suka tafi kabarin a dai dai fitowar rana.
2910030066	Suna magana a tsakaninsu suna cewa, wanene zai gangarar da dutsen da aka rufe bakin kabarin da shi?”
2910040051	Da suka daga ido, sai suka ga an riga an gangarar da dutsen, domin yana da girma.
291005006a	Da suka shiga cikin kabarin sai ga wani saurayi saye da farar tufa, yana zaune a hannun dama, suna mamaki.
2910060088	Sai ya ce masu, “Kada ku ji tsoro. Kuna neman Yesu banazare, wanda aka giciye. Ya tashi! Baya nan. Ku duba wurin da aka kwantar dashi.
2910070085	Sai ku je, ku gaya wa almajiransa da Bitrus cewa ya rigaya ya yi gabanku zuwa Galili. A can zaku ganshi, kamar yadda ya fada maku.”
291008006e	Suka fita daga cikin kabarin da gudu suna rawar jiki da mamaki, ba su cewa kowa komai ba domin suna jin tsoro.
29100900ca	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Da safiyar ranar farko ta mako ya fara bayyana kansa ga Maryamu Magadaliya wadda ya kori aljannu guda bakwai daga cikinta.
29100a0043	Sai ta tafi ta shaida wadanda suke tare da shi suke makoki da kuka.
29100b003f	Sai suka ji cewa ya tashi kuma ta ganshi, amma basu gaskata ba.
29100c0066	Bayan wadannan al'amura ya bayana kansa ta wata siffa ga mutum biyu sa'ilin da suke tafiya akan hanya.
29100d004b	Sai suka tafi suka gaya wa sauran almajiransa, duk da haka basu gaskata ba.
29100e00c4	Bayan wani lokaci, Yesu ya bayyana kansa ga almajiransa su goma sha daya, ya tsauta masu saboda rashin gaskatawa da taurin zuciya, bayansun ji daga wadanda suka ganshi bayan ya tashi daga matattu.
29100f004c	Sai ya umarcesu cewa “Ku tafi cikin duniya ku yi bishara ga dukan halitta.
291010006b	Wanda ya ba da gaskiya aka kuma yi masa baftisma, zaya sami ceto, wanda baya bada gaskiya ba za ya hallaka.
291011007d	Wadannan alamu za su kasance da wadanda suka gaskata; a cikin sunana, za su fidda aljannu, za su yi magana da sabbin harsuna.
291012008a	Za su dauki macizai da hannayesu, idan sun sha guba ba ta cutar dasu ba, za su dibiya hannayensu ga marasa lafiya, za su sami warkaswa.”
2910130068	Bayan Ubangiji ya gama magana da su, sai aka dauke shi zuwa sama in da zai zauna a hannun dama na Allah.
2910140097	Almajiransa kuma suka tafi ko'ina suna sheilar bishara. Ubangiji kuma yayi aiki tare da su, yana tabbatar da kalma ta wurin ayukan al'ajiba tare da su.
2a00000004	Luka
2a0101004f	Mutane da dayawa sun yi kokarin rubutu akan abubuwan da suka cika a tsakaninmu,
2a0102006e	kamar yanda suka danka mana su, wadanda tun daga farko suka zama shaidu da idanunsu kuma manzanni ne na sakon.
2a010300ad	Sabili da haka, ni ma, bayan da na yi bincike da kyau akan yanayin wadannan abubuwa tun da farko na ga ya yi kyau in rubuta wadannan abubuwa bi da bi ya mafi girmaTiyofilas.
2a0104003c	Ya zama haka domin ka san gaskiyar abin da aka koya maka ne.
2a010500b0	A cikin zamanin Hirudus, Sarkin Yahudiya, akwai wani firist mai suna Zakariya, daga yankin Abija. Matarsa daga cikin yaya mata na zuriyar Haruna ce, kuma sunan ta Alisabatu ne.
2a0106006c	Dukan su biyu masu adalci ne a gaban Allah; marasa zargi a tafiyarsu cikin dukan dokoki da farilan Ubangiji.
2a01070060	Amma ba su da da, domin Alisabatu ba ta haihuwa, kuma a wannan lokacin dukansu sun tsufa kwarai.
2a01080074	Ya zama kuma a lokacin da Zakariya yana gaban Allah, yana yin hidimar sa ta firist bisa ga tsari da ka'idar aikinsa.
2a01090081	Bisa ga al'adar zaben firist da zai yi hidima, an zabe shi ta wurin kuri'a ya shiga cikin haikalin Ubangiji domin ya kona turare.
2a010a0041	Dukan taron Jama'a suna addu'a a waje a sa'adda ake kona turaren.
2a010b005e	A lokacin, mala'ikan Ubangiji ya bayana a gare shi yana tsaye a gefen daman bagadi na turaren.
2a010c003a	Zakariya ya firgita sa'adda ya gan shi; tsoro ya kama shi.
2a010d0094	Amma mala'ikan ya ce masa, “Kada ka ji tsoro, Zakariya, domin an ji addu'ar ka. Matar ka Alisabatu za ta haifa maka da. Za ka kira sunansa Yahaya.
