2a00000004	Luke
2a0b19002f	Eghabuyi, edjirasunu djimaghombulu, djimakunzu.
2a0b1a00ab	Kaboghu yiwendi muyélande yisambwali yi binyuni abimuvyoghulile wubi. Béruyi va mosi, békoti mu ndaghu eni na bétsani. Na dighughe di mutu eni divyoghulili aditeghe.»
2a0b1b0087	Djesu anomane uvose mambu meni, mughetu akeghamughe va ghari yinombu rye: «Ubwedji ombu mughetu omaghukelise o modji na omaghunwise!»
2a0b1c006d	Djesu akemuwaghule rye: «Nesi, tumbe ubwedji ombu djowu abewulu mbembu Nzambi na bédjidedili nodjisalise!»
2a0b1d00b1	Yinombu yi batu yimarughesene pwele va wusu andi, akevose rye: «Batu ba temu édjidji babive, bévondi yilimbe yi yimaghe, tumbe yimaghe yi yubalasu, patsi yi mubiyitsi Sonase?
2a0b1e0069	Ngenze nane Sonase amabile yilimbe yi bise Ninive, anane Mwane Mutu obe yilimbe mu batu ba temu édjidji.
2a0b1f00fd	Mu yilumbu yi mufundu djulu, kaghe mughetu bise bande bulongu oreleme va wusu batu ba temu eni djidji, mu ubatabulile bunzonzi. Odisalise mumbari amarule o malongu ma vale mu uyiwulu malongi ma dyele di kaghe Salemu. Vave, vadji Mutu avyoghulile Salemu!
2a0b200093	Mu yilumbu yi mufundu, bise Ninive boreleme va wusu batu ba temu eni djidji na boduveghe mbele, mumbari djowu bamakalughe dyele mu musamu Sonase!»
2a0b210090	«Vagha mutu ebanzi paghe mu udjisweghe otsi ponzi vo otsi tangi, tumbe edjisunzi va djulu dingase mumbari botsu abokotaange bakelaba yidjalale.
2a0b2200a4	Disu dyaghu la lambi dunyuru dwaghu. Payi disu dyaghu dighebeli, dunyuru dwaghu dudji mu yidjalale. Tumbe payi disu dyaghu dibeli, dunyuru dwaghu dudji otsi piseme.
2a0b230038	Kaboghu kebene, yidjalale ayivu mu ndedju yikebe piseme.
2a0b2400a0	Payi dunyuru dwaghu dwotsu dudji mu yidjalale, ughaane mbure djivu otsi piseme, udji ndedju wotsu mu yidjalale, nane mwinde wighumonitsili na yidjalale yandi.»
2a0b25006a	Djesu anomane uvose, muFarisi wumosi akemunengile o udji o ndaghu andi. Djesu amakote akevyoghe va tavule.
2a0b260047	Anolabe bwena Djesu aghasuse makake ne akedji, muFarisi eni amakambulu.
2a0b2700b1	Kaboghu Fumu akemutsingule rye: «La nane duvu, djenu baFarisi, dwilyomisi yike yidju-djulu yi dimoyi na yi yipele, tumbe o ghari tsyenu, dubase na nzale udaghe na mambu mabive.
2a0b280051	Biduke bi batu nane djenu! Omasale yidju-djulu, tsiri djandi amasale ghari wandi?
2a0b290070	Kaboghu, diwelimine yiri duveghaange ombu bidjaghe byotsu abiwelimine mu bipele byenu, mbana menu motsu molyome.
2a0b2a00e9	Maghughe ombu djenu baFarisi dwiveyi ombu Nzambi yimosi mu dighumi yi bivaru abibendi mu manyengi menu: ngambu, disosu na bimosi. Tumbe dwilibini usalise dusungughu na durondu du Nzambi. Abine mbé dwireli uvaghe na dugholibene mane.
2a0b2b0081	Maghughe ombu djenu baFarisi, dwirondingi bitsighe biteghe mu mandaghu ma dusambu, na dwirondingi uveghu mbolu va ghari mughungi.
2a0b2c007e	Maghughe ombu djenu, dudji nane bambine bamaghulene, na batu ave bévyoyili mune bétsyarile nzoruru mumbari mughaa bilimbe!»
2a0b2d0062	Mulonzi wumosi wu mighaghe akemutsingule rye: «Mulonzi, vo wivosili nane, djetu wandi wisyengi!»
2a0b2e009b	Djesu akewaghule: «Maghughe ombu djenu wandi milonzi mi mighaghe, dwinangusi batu mifune mirange ubeghu, mbana dughesisini ne mulembu wumosi mu ubawamuse.
2a0b2f0055	Kamune maghughe ma dulabe? Dwibumbi bangile tsi babiyitsi, abe batadji benu bamaboke.
2a0b300071	Kaboghu, dudji kingu mosi na batadji benu, mumbari djowu bamaboke babiyitsi beni, na djenu dwirungi bangile bowu.
2a0b31007a	Ladibandu, Nzambi na dyele dyandi amavosile rye: “Nyubatindile babiyitsi na bilumbi, boboke bamosi, bakekwane basusu.”
2a0b320073	Kaboghu, batu ba temu eni djidji, boveghu mbele mu dyambu di babiyitsi abamaboku, ubongile vane dibandu di bulongu.
2a0b3300c7	Dimabandile vane bamavunine Abele kwange na dufu du Sakari, omaboku va ghari yinyenzulu yi paghu na ndaghu Nzambi. Nine, nyidutsinguli yiri, batu ba temu eni djidji, bowivulu dibandu di malungu meni!
2a0b3400a3	Maghughe ombu djenu milonzi mi mighaghe, adumasweghe sabi adjiveyi dudjabu du mambu ma Nzambi. Dughadukote djenubeni, mbana dwighandise ne bo mbé baronde ukote.»
2a0b350074	Djesu anopale o ndaghu eni, Milonzi mi mighaghe na baFarisi, bamabande wumutsuyise nomuwivule bivu mu mambu mapwele,
2a0b36004a	kwivululu dji dyele mu ulabe yiri bowulu mbembu bive djupale mu munu andi.
2a0c0100cc	Va temu eni, yinombu yi batu yimawungene tena yimayenetsyarsenaange. Djesu akelevose na badukitsi bandi nobatsingule rye: «Kebenanu na pende-pyalu baFarisi abavu nane yifunisi ayi bésobini mu pate-mape.
2a0c02003c	Vagha dyambu disweme adighodjabunu, ne yikeke ayighobaghulu.
2a0c03009a	Ladibandu: Motsu duvosaange otsi piseme, mowulunu o yidjalale; ame dungungerenaange mu bibuku bi mandaghu, motubulu va ngande, mbanane mowanzulu mwanzu.»
2a0c040083	«Nyidutsinguli djenu aduvu bambatsi bami, duyabe na ghome ombu djowu abeboki dunyuru, mumbari baghorungule uduvaghe dyambu disusu.
2a0c050089	Nyudulase vengu awu dudume: dumanu Nzambi mumbari payi dumafu, orungule ubwaghe yinyuni wandi o dyange di mudji. Nine, djandi awu dudume.
2a0c060050	Baghesumbisi tsoli yiranu tsigheyi mu fure bedji? Nzambi aghélibini ne djimosi.
2a0c070052	Ne nange tsyenu tsyotsu tsi myuru tsitalu. Duyadume, djenu duvyoghulile batsoli.»
2a0c080080	«Nyidutsinguli, wotsu onyeme menu va kande batu, Mwane Mutu wandi omunyeme va wusu byanze bi Nzambi novose rye: awuwu mutu ami.
2a0c090051	Tumbe owughale menu va misu ma batu, mewandi nyumughale va wusu byanze bi Nzambi.
2a0c0a0054	Awu ovose kulini mu Mwane Mutu, otandu, tumbe awu ulenze Yinyuni Yisyeme, aghotandu.
2a0c0b007c	Payi bodusosise mu mandaghu ma tsambu ma baSwife va wusu banzonzi na barumitsi, duyalabe ghome mu motsu duvose mu kekaghule.
2a0c0c0040	Yinyuni Yisyeme yuduveghe vane-vane mambu ame durungule uvose.»
2a0c0d0071	Mutu wumosi va ghari yinombu akevose na Djesu rye: «Mulonzi, tsingule mwane ngudji ami yiri tughabini disyale.»
2a0c0e0059	Djesu akemuwake rye: «Dibaale, anyi atsimbyatse nzonzi enu umudughabile disyale dyenu?»
2a0c0f007c	Mbana, akelubuse botsu rye: «Kebananu na nzale neni dji busine, mumbari monyu mutu wughaa mu durangu du bime abivu nandi.»
2a0c100045	Na akebabukile nongu: «Manungi ma yisine ma mabure bighudji bipwele.
2a0c11005c	Na akekéwivulaange yiri: “Tsyeni ngavayile? Ngaane bitale biwelimine byusweyile dighumbe.
2a0c12006a	Kaboghu, nyupanze bitale byotsu, na nyurunge bisweghulu abineni, mu ukelise bighudji na maboti mami motsu.
2a0c13007d	Nyukésingisile mebeni: Labe, wuke na maboti mapwele bilime na bilime, tsyétsani, djangaange, nwangaange mbana saghaange.”
2a0c14007d	Tumbe Nzambi akemutsingule: “Kamune yiduke yi, na mukolu eni wuwu wufu. Maboti motsu ameghutsighukighe na nyi mosyale?”»
2a0c150077	Djesu akebwévose rye: «Anane dyube ombu mutu oyighukiyi busine mu djabeni, tumbe aghaane busine mu mambu ma Nzambi.»
2a0c1600b2	Djesu akevose na badukitsi bandi rye: «Ladibandu, nyidutsinguli: duyabe na munyongu mu monyu enu mu dyambu di bighudji. Duyabe na munyongu mu dunyuru dwenu mu dyambu di bidwaru.
2a0c170047	Djabanu rye: monyu wuvyoghulile bighudji; dunyuru duvyoghulile bidwaru.
2a0c18009b	Labatyanu bavange! Baghevari, baghedokuli milunde, baghaane bitale vo mireri, tumbe Nzambi ebabunguli. Tambusu na djenu batu, duvyoghulile batsoli dighobe.
2a0c190046	Anyi na manyoni mandi, orungule wukebwese mwa pesu temu mu monyu andi?
2a0c1a0055	Payi dughorungule wutsonzighe dyambu digheyi, dibandu yi dubile na manyoni mu masusu?
2a0c1b00bb	Labatyanu nane tsangu tsifulili mu biriri bi musiru, tsighesali, tsigherariyi bikutu. Nyidutsinguli: ne kaghe Salemu, mu bundumbe bwandi bwotsu, asamadwaraange burange nane tsangu tsyeni.
2a0c1c00a2	Kaboghu, yi dubile na yitu yi gheyi? Payi Nzambi ebwedjisi tsangu eni yilumbu yéyiyi adjunyenzu mughese, tambusu na djenu batu, tsyeni aghorungulile wududwisile?
2a0c1d002e	Djenu, duyalabe keri mu abi dudji vo abi dunu.
2a0c1e0069	Byotsu bine, bise bulongu abaghabaware mu Nzambi bebirombi. Tadji enu adjivu o djulu edjabi nzale tsyenu.
2a0c1f0052	Tumbe djenu, lerombanu Bukaghe bu Nzambi na byotsu bine, byuduveghu va djudjulu.»
2a0c200063	«Djenu mughambe wugheyi wu bindombu, duyalabe keri, Tadji enu atsisole uduveghe Bukaghe bu Nzambi.
2a0c2100b2	Sumbisanu abivu nenu na veghanu mbongu ombu bidjaghe. Anane dukerungile komi adjighofu na dughukighe busine abughosuke o djulu, abughobembu na badayi, ne batsyelili baghobubunge.
2a0c220039	Mumbari ave busine bwenu buvu, avane murime wandi wuvu.»
2a0c230031	«Warisanu matsande menu na banzanu lambi tsyenu.
2a0c240087	Banu nane basalitsi abevivi fumu owu atsiwende o mulambu udiwele, bebi batsonzeme mu umudibulile mune ndaghu ave oghabuyile na edukisi.
2a0c2500ad	Ubwedji ombu basalitsi abomoghaange mu uvive fumu owu. Payi ditsibe nane, dingenze, nyidutsinguli: owarise tsande andi, obanengile va tavule, na djabeni obaghabile bighudji.
2a0c260056	Akerughe va ghari wisi vo va matebughulu, ubwedji ombu basalitsi abe erasunu bemoyi.»
2a0c270082	«Ghulwatyanu, fumu ndaghu mbé edjabi temu adji mudayi oruyili mu uyibule ndaghu, nyitasi rye mbé omoghe mu ughaghe ndaghu andi.
2a0c28004c	Djenu wandi banu dukunzeme mumbari dughejabi temu adji Mwane Mutu oruyile.»
2a0c290049	Pyere akewivule rye: «Fumu, djetu wibukili nongu edjine vo batu botsu?»
2a0c2a00b3	Fumu akemuwaghule rye: «Musalitsi wusigheme na awuvu na dyele anyi? Djandi o fumu oveghe musughe wukelise ndaghu andi noghabilaange basalitsi abane bighudji mu temu adjiwelimine.
2a0c2b0047	Ubwedji ombu musalitsi eni o fumu ndaghu oyirasunu ekelisi ndaghu andi.
2a0c2c0055	Dingenze nyidutsinguli: fumu ndaghu omuveghe musughe mu urumise busine bwandi bwotsu.
2a0c2d00b6	Tumbe, musalitsi eni amavose mu murime andi rye: “Fumu ami agholerughe.” Djandi yikebi mu udimbise basalitsi ba babaale na ba baghetu, na yikebwébe mu udji, mu unu na mu ulange.
2a0c2e0084	Yikevayi nane, fumu andi orughe mu temu adji djandi aghodjabe. Omubinge mbana omughabile fute adjiwelimine na djowu abaghabasungeme.
2a0c2f0055	Kaboghu, musalitsi awidjabi adi fumu andi erondi, mba aghedivayi, odimbusu kube neni.
2a0c300076	Tumbe musalitsi awughesali bisalu abi fumu andi erondi, mumbari aghejabi adiwelimine ombu fumu andi, okilusu mwa pesu.
2a0c310045	«Nzirughe o uyibwaghe mudji mu butambe, nyirondi bwena wukelulaange.
2a0c320041	Vengu nyubatusu, kamune munyongu wuvu nami tena dyoni dyudughusu!
2a0c330059	Dwitasi yiri nyimarughe mu butambe mu udubeyile duvotsu? Nesi, tsi duvotsu, tumbe dupasu.
2a0c340064	Ubongile na muni, mukute wu batu baranu wukakene, baryeru bovine babedji, na babedji bovine baryeru.
2a0c3500c0	Tadji ovine mwane andi na mwane ovine tadji andi; ngudji ovine mwane andi na mwane ovine ngudji andi. Ngudji mwane dibaale ovine mughatsi mwane andi; mughatsi mwane ovine ngudji mulumi andi.»
2a0c36008d	Djesu akebwévose na yinombu rye: «Ave dwilabili didudumbi diruyisini o wisi eputumini, dwivosi bwena, “mvule onoghe”, na djoni djinoyi.
2a0c370063	Ave dwiwululu mupunge wipepili o yari yi bande, dwivosi yiri “vobe yusile” na yusile yeni yibi.
2a0c3800a6	Bapende nane djenu, ave dwighengili djulu na butambe, dwidjabi wukelule yidenzi yi mvule na yi mungudi. Yike tsyeni dugherungusili wudjabile mambu ma temu édjidji?»
2a0c390041	«Dibandu yi dughekelulingi djenubeni mambu na murime wuwelimine?
2a0c3a00d3	Payi mutu naghu amaghufwengilile dyambu, ave eghubeyili o mufundu, ditsonziyi nandi mu nzile, ne duketole ombu nzonzi. Mumbari nzonzi akeghuwakise ombu yivunde yi baghore, na baghore beni bakeghukotise o tsughu.
2a0c3b0065	Nyighutsinguli: wugholepale o tsughu, payi wukamane ufute mughanu wotsu kwange na fure adji nzintu.»
2a0d0100d9	Va temu eni mwa dighuki di batu, bamarughe oyi tsingule Djesu adimavyoghe: ave batu bamosi ba Ngalile, bamavaghulilaange paghu ombu Nzambi, Pilate akerume batu bandi ubaboke vane, mu usobene malungu mowu na ama paghu.
2a0d020080	Djesu akebawake rye: «Dwitasi yiri, bise Ngalile beni abamaboku nane, bamabe bavayitsi ba mabi bavyoghulile bise Ngalile botsu?
2a0d030062	Nesi, payi dwitasi nane, dumakedunze. Nyidulubusi yiri, payi dughakaluse mutsanu, dufu nane djowu.
2a0d040091	Ka dighumi na yinane yi batu abamaviku na ndaghu ndeki adjimarakughe o Siluwé, batu beni bamabe bavyoghulile bise Serusaleme djotsu uvaghe mabi?
2a0d050045	Nesi, nyidulubusi: payi dughakaluse mitsanu myenu, dufu nane djowu.»
2a0d060096	Djesu akebabukile nongu édjidji rye: «Umabe mutu amabe na mumange wuvaru o nungi andi. Akewende yilumbu mu uronde uyéboole mimange, tumbe misamabe.
2a0d0700a8	Mbana, amavose na musatsi nungi rye: “Labati, bilime bike biryeru, nyiruyingi muyidokule mimange mu mumange éwuwu ngedili ne wumosi. Uwangi, wivayi fuyi mwenzili.”
2a0d080080	Tumbe musalitsi akemuwaghule: “Fumu, lewusile yilime ayiyi, ngaghufutse byari byotsu na nyusobene butambe bweni na bu dibumbu.
2a0d090043	Tangudji, wubure yilime ayiruyi. Payi wughabure, tukewuwaange.”»
2a0d0a005e	Mu yilumbu yuvume yi baSwife, Djesu amalonzaange musamu wu Nzambi o ghari ndaghu wowu dusambu.
2a0d0b00a0	Vane, vamabe mughetu wumaveghu bubomfi na yinyuni yibi mu dighumi na yinane yi bilime. Amabelaange ngodju djimabe djimughorighe, asamabwérungulaange usimbughe.
2a0d0c0058	Na Djesu emulabi, akemunengile, akemutsingule rye: «Mame, bubomfi bwaghu bumaghusulu.»
2a0d0d0047	Akemusakighe makake. Vane-vane, nzime djikesungeme na akedodise Nzambi.
2a0d0e0104	Tumbe yivunde yi ndaghu eni dusambu akenyoghe, mumbari Djesu amabeluse mutu mu yilumbu yowu yuvume. Akevose na yinombu rye: «Vadji bilumbu bisyamunu byusalile, kaboghu rughenganu bilumbu byébine mu yibelusu. Payi yilumbu yuvume tsatsabi, duyabwérughaange.»
2a0d0f00a6	Fumu anomuwulu, akemuwaghule: «Bapende nane djenu! Mu yilumbu yuvume, vagha mutu va ghari enu enyanguli ngombi vo buru andi mu umubeghe oghunu mambe mu yilumbu yeni?
2a0d100087	Mughetu éwuwu, mwane Aberaame awu Dyabu amatsoyise mu dighumi na yinane yi bilime mbé aghapatulu va makake mandi mu yilumbu yuvume?»
2a0d110088	Djesu na evosi nane, bambeni bandi bakebase na yisoni. Yinombu yotsu yikesaghaange dibandu mambu amaboti maneni ame Djesu amadughusungu.
2a0d120052	Djesu akebwévose: «Bukaghe bu Nzambi na yi bubaghunu? Na yime yi nyububaghusunu?
2a0d13008d	Bubaghunu na tsangu gheyi mutu eyekuke mu nungi andi. Ave djibendili, djipalisi mwiri wuneni wuvu na matayi na batsoli beyirunge muve mowu.»
2a0d140041	Djesu akebwele uvose rye: «Na yi nyubaghusunu Bukaghe bu Nzambi?
2a0d150089	Bubaghunu na yifunise ayi mughetu ebongi, akesobene mu ditingi di maghumi mabedji na byetsu biranu bi fufu mu ufunise pate-mape djotsu.»
2a0d160078	Ave Djesu amabile mu nzile mu wende o Serusaleme, akenesikemange mu misyengi na mu mimbu mu yenelongaange musamu Nzambi.
2a0d170073	Ave amenewendilaange, mutu wumosi akemuwivule bwena «Fumu, yike bu mwa pesu batu aboghobulu?» Djesu akebawaghule:
2a0d180071	«Vovenanu mu ukote, va mune ndaghu awubandene. Mumbari nyidutsinguli, bapwele boronde ukote, tumbe baghorungule.
2a0d1900b0	Ave Fumu ndaghu orelimine, mudibighe mune ndaghu, djenu adube o dulombili, dudukise mu yabutsu novose rye: “Fumu tudibulili.” Oduwaghule rye: “Ngedjabi awudwiruyisini!”
2a0d1a007c	Mbana dumutsingule rye: “Djetu tumadji na tumanu va mosi naghu, na wumenelonzaange musamu mu manzile ma misyengi myetu.”
2a0d1b006b	Obwébawaghule rye: “Ngédjabi odwiruyisini. Ndundyanu, ghusughanu vane djenu botsu bavayitsi ba mabi!”
2a0d1c008b	Dulile na dughénighe minu ave dulabile Aberaame, Yisaake, Sakobe na babiyitsi botsu o Bukaghe bu Nzambi, mbana djenu dubwaghu o dulombili!
2a0d1d0074	Batu borusenaange tandu na bande, o wisi epalili, no wisi eputumini. Botsane va mosi va mulambu o Bukaghe bu Nzambi.
2a0d1e0008	Kaboghu,
2a0d1f0077	Va djulu vane, baFarisi bamarughe mu uyilubuse Djesu rye: «Rambughe na wusughe vave, mumbari Yirode erondi ughuboke.»
2a0d2000a7	Djesu akebawaghule rye: «Wendanu, yetsingulanu yitsalele yéyine: “Nyisanzi bayisi, na nyibelusi bibedu na muni na mughese, mu yilumbu ayimuryeru nyumane yisalu.”
2a0d21008c	Tumbe, ubongile na muni, mughese na mune-mosi nyuyenewende, mumbari digha diwelimine yiri mubiyitsi akefwile yari yisusu patsi o Serusaleme.
2a0d2200e7	Serusaleme, djenu bise Serusaleme, dwiboki babiyitsi na dwitindi mamani ombu bobésindughu ombu wenu. Kumbu kweni mbé nyironde udughukighe mu dughumbe nane koku eghukiyili noghumbe baane bandi otsi mapapi mandi, tumbe dusamagharu.
2a0d23008e	Kaboghu, ndaghu enu djusyale mududu. Tumbe dughobwéndabe tena duvose yiri “Nzambi apuyili myule ombu djandi oyiruyili mu dine di Fumu!”»
2a0e010095	Mu yilumbu yuvume yi baSwife, Djesu amakote o ndaghu yivunde yimosi yi baFarisi mu uyédji nandi. Botsu vane bamabe liyiyi mu ulabe adi Djesu ovaghe.
2a0e020023	Vane, vamabe mutu amabe na matindi.
2a0e030098	Djesu amabande uvose na akewivule milonzi mi mighaghe na baFarisi: «Divu diwelimine mu mughaghe Moyise, nine vo nesi, ubeluse mutu mu yilumbu yuvume?»
2a0e040089	Basamamuwaghule, bakebe «swii». Kaboghu Djesu akeghelughe nobembe yibedu, akemubeluse mbana akemutsingule yiri yenewende o ndaghu andi.
2a0e0500a2	Mbana akeghelughe ombu bobamamutsunaange, amabawivule: «Anyi va ghari enu, yike mwane andi vo ngombi andi ebonduyi o ghari yidune yilumbu yuvume, aghomupalise?»
2a0e060022	Na djowu basamarungule umuwaghule.
2a0e07006c	Anolabe yiri botsu bamanengulu o mulambu, bamasolaange bitsighe biteghe bi bundumbe, amavose nongu édjidji:
2a0e08009e	«Yike mutu ewunengili o mulambu diwele, wuyatsutsile uyétsane o yitsighe yiteghe. Tangudji, va ghari botsu abamanengulu vakirughe mutu awu wuvyoghe dighobe,
2a0e09009d	na omadunengile djenu botsu babedji, yike eruyi mu wutsingule rye: “Muvyosi va yitsighe yaghu!” Ghureleme na yisonyi mu wende o yitsighe ayisuke o nzime.
2a0e0a00d1	Nesi, payi unengulu, léwende o yitsighe ayinzime. Mbana omadunengile, ave okotile, oghutsingule rye: “Mbatsi ami, rughe va yitsighe ayi bwedji wunu wusu.” Avane, wube na dighobe va ghari botsu abavu vane.
2a0e0b0005	Nine,
2a0e0c010e	Djesu amamwévose na awu amamunengile: «Payi wiveyi mulambu wu mwangulu vo wu tsisighe, uyanengile bambatsi baghu, baane ba ngudji baghu, biburu byaghu vo bisine abibambene naghu. Yike wivayi nane, djowu wandi borungule uwunengile na uwughabusile diboti adiwumabavaghe.
2a0e0d004b	Nesi, payi wiveyi mulambu, nengile bidjaghe, bibomfi, bimbolutu na bidunge.
2a0e0e0094	Yike wivayi nane, wulabe nzangu mba ngenze, batu bebane baghorungule uwughabusile. Byonyi byuwughabusulu vo Nzambi orambusile bo basungeme o dufu.»
2a0e0f0072	Mu dyoni, mutu mosi amabe va tavule amavosile Djesu rye: «Ubwedji ombu mutu owudji mulambu o Bukaghe bu Nzambi!»
2a0e100079	Djesu amamuwaghule na nongu édjidji rye: «Vamabe yilumbu, mutu wumosi amavaghe mulambu wuneni. Akenengile batu bapwele.
2a0e110075	Diweru dyudji dinotole, akesindighe musatsi andi uyenengile bo mbé boyidji: “Tsyérughyanu, byotsu bimakunzeme!”
2a0e1200a0	Tumbe botsu abane, bamavonde kokolu mumbari bamabe na bibinde. Awuteghe akemutsingule rye: “Nyitsisumbe nungi, nyileyedjilabe. Wuyanzyembe, kokolu tsyaghu.”
2a0e130055	Wumosi akevose rye: “Nyibenodile dighumi di ngombi, nyileyetsi wétsighe, tandi.”
2a0e140054	Wumosi wandi akemwévose: “Menu nyibonowele mughatsi ami, kaboghu ngodile temu.”
2a0e1500fb	Vo musatsi amaghabuyile ombu yivunde yandi, amamutsingule bibinde byotsu bamamuveghe. Fumu ndaghu amanyoghe kabu na amavose na musatsi rye: Lenge! Wende mu mbure tsi mughungi na mu mimbambe mi musyengi na beghe bidjaghe, bibomfi, bidunge na bimbolutu!
2a0e16007e	Mu mwa pesu temu, musatsi amarughe na amamutsingule rye: “Fumu, nyimavaghe nane wutsinzingulile, tumbe vakisyale mambure.”
2a0e17007f	Kaboghu fumu andi akemutsingule rye: “Wende mu manzile, mu mighule bivaghe, ghome batu yi borughe mumba ndaghu ami djikebase.
2a0e180067	Mbana nyighutsinguli, vagha mutu ne wumosi mu bo bamarele unengulu, baghobwémimbe mulambu éwuwu!”»
2a0e190050	Binombu bineni bimawenda konge na Djesu. Amaghelughe nzime na amabitsingule rye:
2a0e1a00d4	«Payi mutu erondi unduke, aletonde pwele wuvyolile uronde tadji andi, ngudji andi, mughatsi andi, baane bandi, baane ba ngudji bandi, babaale vo baghetu, ne monyu andi. Patsi nane, aghorunguse ube mudukitsi ami.
2a0e1b0041	Na wotsu aghonangule kurusu andi mu unduke, aghobe mudukitsi ami.
2a0e1c0077	Payi mutu ane ditase dyurunge ndaghu ndeki, eletsane mu djabe durangu du mbongu na bisalulu nolabe yiri orungule umane.
2a0e1d0065	Ave obandile usale yibughe payi aghamwérunguse udjimane, bobamamulabe ubande urunge, bomusyembaange,
2a0e1e004e	novose rye: “Mutu éwuwu amabande urunge ndaghu na aghamwédjimanisile!”»
2a0e1f00d2	Na Djesu akebwévose rye: «Kaghe nyi, payi otoghe divite na kaghe susu, aghéletsane mu kelule yiri na dighumi di tosini baghore obenze uyébengusunu oyiruyi mu yimutoyise na maghumi mabedji ma tosini baghore?
2a0e200057	Payi aghaane mangolu mawelimine, otinde bilumbi mu uvonde duvotsu pa kaghe eni akivale!
2a0e210065	Kaboghu munongu mosi, wotsu aghorungule usile maboti mandi motsu, agha awelimine ube mudukitsi ami.»
2a0e220070	Djesu akebwévose rye: «Musayi yime yiboti, tumbe payi musayi wumasambughe, yike yi yubwémughabusile mughangu?
2a0e230065	Asane yisalu mu butambe vo o dibumbu, yike ubwaghu o dulombili. Wotsu avu na matudji limbaa, awulu!»
2a0f010056	Babolitsi ba lepu na bavayitsi ba mabi bamabambene na Djesu mu uyéwulu malongi mandi.
2a0f020072	BaFarisi na Milonzi mi mighaghe bamavosaange ba fundu rye: «Mutu éwuwu akegharungu udji va mosi na bango mabi!»
2a0f03002c	Tumbe, Djesu akebabukile nongu édjidji rye:
2a0f0400a5	«Anyi va ghari enu, avu na kame bindombu, na akitsyemuse yimosi, aghesili maghumi-dufu na yifu yi bindombu mu kumu, mu uyenerombe ayitsitsyemughe tena vo oyilabile?
2a0f050043	Ave eyilabili, ebasi na nzangu, eyinanguli no yisunze va masambeke.
2a0f0600a1	Anotole o ndaghu andi, akenengili bambatsi bandi na botsu ababambene nandi novose rye: “Rughanu, tusayanu: yindombu yami ayi mbé yimatsyemughe, yimalabene.”
2a0f0700bb	Divu munongu mosi o djulu, ave muvayitsi mabi wumosi ekaluyili mutsanu, nzangu neni djibi o djulu uvyoghulile adji maghumi-dufu na yifu yi batu basungeme abasane nzale ukalughe mutsanu.»
2a0f0800a6	Djesu amamwébabukile nongu: «Payi mughetu ane dighumi di doli, yike etsyemusi dumosi, yi ovaghe? Obanze paghe, oghombule ndaghu, odurombe yari na yari tena odulabe.
2a0f090091	Yike edulabi, enengili bambatsi bandi ababambene nandi nobatsingule rye: “Rughanu, tusayanu, doli dwami adu mbé dumatsyemughe, nyimadulabe.”
2a0f0a007d	Munongu wumosi nyidutsinguli bwena: nzangu neni djibi ombu byanze bi Nzambi ave muvayitsi wumosi wu mabi ekaluyili mutsanu.»
2a0f0b005a	Djesu amamwébabukile nongu mosi rye: «Vamabe dibaale dimabe na baane babedji ba babaale,
2a0f0c006f	Awu ngebi amavose na tadji andi rye: “Tate, peyi dyami dikabu di disyale.” Tadji akebaghabile maboti mandi.
2a0f0d00a3	Bilumbu binovyoghe, ngebi akesumbise byandi byotsu, akenewende na mbongu tsyandi o malongu ma vale. Aghune, akenyambesene mbongu tsyandi tsyotsu mu monyu dimbunge.
2a0f0e0074	Anonyambesene byotsu, dungosu du nzale dukabe o bulongu bweni na akebande ulabe maghughe na asamamwébe na ayi udji.
2a0f0f0095	Akewende oyevonde dibaale di mwise bulongu bweni bisalu. Tumbe dibaale dyeni, akemutinde o masaku o wumabe yivange yandi yi bangulu mu ubakelisaange.
2a0f100067	Djandi amarondaange ne udji bipupu bi bighudji bamaveghaange bangulu, tumbe vasamabe mutu amamugharusu.
2a0f11007c	Amabande urangimine na amavose rye: “Basatsi ba tate bedji bighudji usyalulu, mbana menu wunu utopulu nyi topulu na nzale.
2a0f120061	Nyughabughe ombu tate na nyumutsingule rye Tate, nyimavaghe disumu va wusu Nzambi na va wusu awu.
2a0f13004f	Nyisa nyiwelimine wunengulu mwane aghu, tumbe mbongi na nane musalitsi aghu.”
2a0f14009a	Amareleme noghabughe ombu tadji andi. Tadji andi anomulabile, ne nane mbé akivale, akebase na yingebe. Akewende mbangu na nzangu mu uyémubumbe mu kingu.
2a0f150082	Vane-vane, mwane akevose rye: “Tate, nyimavaghe disumu va wusu Nzambi na va wusu aghu. Nyisa nyiwelimine unengulu mwane aghu.”
2a0f16007f	Tumbe tadji akevose na basatsi bandi rye: “Lenganu nobeghe bikutu bi dufunu, mudwisyanu, muvakighyanu moru nomudwise bapondu.
2a0f170043	Beghanu ngombi adjivonge, djibokyanu, lambanu, tudjanu na tusayanu,
2a0f180068	mumbari mwane ami wuwu mbé amafu, amaghabughe monyu; mbé amatsyemughe, amalabene.” Bakebande usaghe.
2a0f190065	Yivunde amabe o manungi. Ave amaghabuyile, anotole bebeli na ndaghu, amawulu nduku bisighu na miyinu.
2a0f1a0037	Amanengile musatsi wumosi, amamuwivule dyambu adivyoyi.
