0100000008	Postanak
0118170060	Zatim reče: “Kaži mi čija si kći. Ima li u kući tvoga oca mjesta za nas da prenoćimo?”
0118180048	Ona mu odgovori: “Ja sam kći Betuela, koga je Milka rodila Nahoru.”
0118190055	Još mu doda: “Ima slame i p§iće kod nas u obilju, a i mjesta za prenoćište.”
01181a003b	Čovjek se onda duboko nakloni te iskaže poštovanje Jahvi
01181b00cd	i progovori: “Neka je blagoslovljen Jahve, Bog moga gospodara Abrahama, što nije uskratio svoju ljubav i svoju vjernost mome gospodaru. Mene je Jahve vodio pravim putem, u kuću brata moga gospodara.”
01181c003b	Djevojka otrča i sve ovo ispripovjedi u kući svoje majke.
01181d005b	A Rebeka imala brata komu bijaše ime Laban. Laban se požuri van, k čovjeku kod studenca.
01181e00c6	Čim je vidio nosnu viticu i narukvice na rukama svoje sestre te čuo kako je njegova sestra Rebeka rekla: “Ovako mi je čovjek govorio”, on pođe onome koji je još stajao kod deva na studencu.
01181f0073	Reče on: “Hajde unutra, blagoslovljeni od Jahve! Što stojiš vani kad sam ja spremio kuću i mjesto za deve.”
0118200084	Tako čovjek uđe u kuću. Rastovare deve i dadu im slame i p§iće, a njemu i ljudima koji su ga pratili donesu vode da operu noge.
011821007f	Ali kad su preda nj stavili hranu, reče: “Neću jesti dok ne kažem što imam kazati.” A Laban mu reče: “Onda kazuj!”
0118220027	“Ja sam sluga Abrahamov”, poče on.
0118230095	“Jahve je uvelike blagoslovio moga gospodara te je postao bogat. Nadavao mu je ovaca i goveda, srebra i zlata, sluga i sluškinja, deva i magaradi.
0118240057	Sara, žena moga gospodara, rodi mu sina pošto je ostarjela, i on mu ustupi sve svoje.
0118250081	Potom mene moj gospodar zakune rekavši: 'Nemoj uzeti za ženu mome sinu djevojku Kanaanku, u zemlji u kojoj boravim kao stranac,
011826004e	nego otiđi k obitelji moga oca, k mojoj rodbini, da nađeš ženu mome sinu.'
0118270040	A ja rekoh svome gospodaru: 'A što ako žena za mnom ne pođe?'
01182800c3	On mi odgovori: 'Jahve, pred čijim sam licem hodio, poslat će s tobom svog anđela i tvoje će putovanje dovesti k cilju, a ti ćeš naći ženu mome sinu od moje rodbine, od obitelji moga oca.
0118290080	Jedino ćeš ovako biti oslobođen moje zakletve: ako dođeš k mojoj rodbini, i oni te odbiju, od moje si zakletve oslobođen.'
01182a008b	Danas dođoh na studenac i rekoh: 'Jahve, Bože moga gospodara Abrahama, ako si voljan da uspješno završim putovanje što sam ga poduzeo,
01182b0081	ja, evo, stojim kraj studenca, a djevojka koja dođe vodu crpsti i ja joj rečem: Daj mi da se napijem malo vode iz tvog vrča! -
01182c007b	i koja mi kaže: Pij ti, a i tvojim ću devama zahvatiti! - ona neka bude žena koju je Jahve odredio sinu moga gospodara.'
01182d0095	Tek što sam ja završio govor u sebi, kad se, evo, pojavi Rebeka s vrčem na ramenu; siđe k izvoru i zahvati. Ja joj rekoh: 'Daj mi da se napijem!'
01182e0072	Ona brzo spusti vrč i odvrati: 'Pij! A napojit ću i tvoje deve.' Tako sam se ja napio, a ona napoji i moje deve.
01182f0091	Pitao sam je: 'Čija si kći?' Odgovorila je: 'Kći sam Betuela, koga je Nahoru rodila Milka.' Tada joj stavim viticu na nos a narukvice na ruke.
01183000a5	Duboko se naklonim i štovanje Jahvi iskažem te blagoslovim Jahvu, Boga gospodara moga, koji me vodio pravim putem da uzmem kćer brata moga gospodara njegovu sinu.
0118310091	A sad, ako kanite iskazati ljubav i vjernost mome gospodaru, recite mi; ako li ne, to mi kažite, tako da mogu krenuti bilo desno bilo lijevo.”
0118320058	Tada odgovore Laban i Betuel: “Od Jahve to dolazi; mi tu ne možemo reći ni da ni ne.
011833006a	Rebeka je, eto, pred tobom: uzmi je pa idi, neka bude ženom sinu tvoga gospodara, kako je Jahve rekao.”
0118340045	Kad Abrahamov sluga ču njihov pristanak, do zemlje se nakloni Jahvi.
0118350072	Sluga zatim izvadi srebrnih i zlatnih predmeta te haljina i dade ih Rebeki, a dade darova i njezinu bratu i majci.
0118360095	Tada jedoše i piše on i ljudi koji su bili s njim i provedoše noć. Kad su ujutro ustali, on reče: “Pustite me da se vratim svome gospodaru!”
011837006b	A njezin brat i majka odgovore: “Neka djevojka ostane s nama još desetak dana, pa poslije toga pođi!”
0118380082	On im reče: “Ne zadržavajte me kad je Jahve moje putovanje uspješno kraju priveo. Pustite me da se vratim svome gospodaru!”
0118390040	Oni odgovore: “Pozovimo djevojku i upitajmo što ona misli!”
01183a0060	Dozovu Rebeku pa je upitaju: “Hoćeš li poći s ovim čovjekom?” Ona odgovori: “Hoću.”
01183b005d	I tako otpreme svoju sestru Rebeku i njezinu dojilju s Abrahamovim slugom i njegovim ljudima.
01183c007e	Blagoslove Rebeku i reknu joj: “Sejo naša, budi mati nebrojenim tisućama, a dušmana svojih vrata potomci ti zaposjeli!”
01183d0072	Onda se diže Rebeka i njezine dvorkinje, zajahaše deve te pođoše za čovjekom. Tako sluga preuze Rebeku i ode.
01183e004c	Izak se vratio iz blizine Beer Lahaj Roja; živio je, naime, u kraju Negeba.
01183f0057	U predvečerje iziđe Izak da se poljem prošeta; diže oči i ugleda deve gdje dolaze.
011840003c	Kad Rebeka, podigavši svoje oči, opazi Izaka, sjaha s deve
0118410098	pa zapita slugu: “Tko je onaj čovjek što poljem ide nama u susret?” A sluga odgovori: “Ono je moj gospodar.” Nato ona uze koprenu te se pokri.
0118420029	Sluga ispriča Izaku sve što je učinio.
0118430081	Tada Izak uvede Rebeku u svoj šator i uze je sebi za ženu. U ljubavi prema njoj Izak je nalazio utjehu nakon smrti svoje majke.
0119010037	Abraham je sebi uzeo još jednu ženu; zvala se Ketura.
0119020047	Ona mu je rodila Zimrana, Jokšana, Medana, Midjana, Jišbaka i Šuaha.
0119030057	A od Jokšana rodili se Šeba i Dedan. Dedanovi su potomci: Ašurci, Letušci i Leumci.
0119040051	Sinovi su Midjanovi: Efa, Efer, Hanok, Abida i Eldaa. Sve su to potomci Keturini.
0119050029	Abraham prenese sav svoj imutak na Izaka;
0119060097	a sinovima od svojih suložnica dade Abraham samo darove i još ih za svoga života razašalje po istoku - daleko od svog sina Izaka - u Istočni kraj.
0119070058	Ovo je duljina Abrahamova života što ga je proživio: stotinu sedamdeset i pet godina.
0119080063	Zatim Abraham preminu, umrije u sretnoj dobi - star i pun godina - te bi pridružen svojim precima.
0119090074	Njegovi sinovi, Izak i Jišmael, sahrane ga u spilji Makpeli, na poljani Efrona, sina Hetita Sohara, nasuprot Mamri:
01190a006a	to je poljana što ju je Abraham kupio od Hetovih sinova. Ondje je sahranjen Abraham i njegova žena Sara.
01190b0067	Poslije Abrahamove smrti Bog je blagoslivljao njegova sina Izaka. Izak je živio blizu Beer Lahaj Roja.
01190c0068	Ovo je povijest Abrahamova sina Jišmaela, koga je Abrahamu rodila Sarina sluškinja, Egipćanka Hagara.
01190d0077	A ovo su sinovi Jišmaelovi, svaki po svom imenu i po svom rođenju: Jišmaelov prvenac Nebajot, Kedar, Adbeel, Mibsam,
01190e0013	Mišma, Duma, Masa,
01190f0023	Hadad, Tema, Jetur, Nafiš i Kedma.
0119100082	To su Jišmaelovi sinovi i to su njihova imena prema njihovim naseljima i taborištima: dvanaest poglavica od isto toliko plemena.
011911007c	A ovo je duljina Jišmaelova života: stotinu trideset i sedam godina. Zatim izdahnu; umrije i bi pridružen svojim precima.
011912007f	Potomstvo mu se naselilo od Havile do Šura, koji je na istok Egiptu idući prema Ašuru. Nastaniše se nasuprot svojoj braći.
0119130041	Ovo je povijest Abrahamova sina Izaka: Izak se rodio od Abrahama.
011914007c	Izaku je bilo četrdeset godina kad se oženio Rebekom, kćerkom Aramejca Betuela iz Padan Arama, a sestrom Aramejca Labana.
011915006b	Izak se obrati Jahvi za svoju ženu jer je bila nerotkinja. Jahve ga usliša te njegova žena Rebeka zače.
011916008b	No djeca se u njezinoj utrobi tako sudarala te ona uzviknu: “Ako je tako, zašto ću živjeti!” Ode, dakle, da se posavjetuje s Jahvom.
01191700a5	I Jahve joj reče: “Dva su svijeta u utrobi tvojoj; dva će se naroda iz tvog krila odijeliti. Narod će nad narodom gospodovati, stariji će služiti mlađemu.”
011918003d	Došlo vrijeme da rodi, kad gle - blizanci u njezinoj utrobi.
0119190053	Pojavi se prvi. Bio je crven; sav runjav kao ogrtač. Stoga mu nadjenuše ime Ezav.
01191a008c	Potom se pojavi njegov brat. Rukom se držao Ezavu za petu. Zato mu nadjenuše ime Jakov. Izaku je bilo šezdeset godina kad su oni rođeni.
01191b007a	Kad su dječaci odrasli, Ezav postane vješt lovac, čovjek pustare. Jakov je bio čovjek krotak i boravio je u šatorima.
01191c0051	Izaku je Ezav bio draži jer je volio divljač, a Rebeka je više voljela Jakova.
01191d0037	Jednom Jakov kuhaše jelo. Ezav stigne s polja, gladan.
01191e0067	Reče Ezav Jakovu: “Daj mi toga crvenog variva da pojedem jer sam izgladnio.” Stoga mu je ime Edom.
01191f003a	A Jakov odgovori: “Ustupi mi prije svoje prvorodstvo!”
0119200041	Ezav reče: “Evo me skoro na smrti; što će mi prvorodstvo!”
0119210060	Jakov nastavi: “Prije mi se zakuni!” On mu se zakune, i tako proda Jakovu svoje prvorodstvo.
011922007d	Tada Jakov dade Ezavu kruha i čorbe od sočivice. Jeo je i pio, onda se digao i otišao. Tako Ezav pogazi svoje prvorodstvo.
011a010086	U zemlji zavlada glad, različita od prijašnje što je bila za vrijeme Abrahama, pa Izak ode Abimeleku, kralju Filistejaca, u Geraru.
011a020058	Jahve mu se ukaza i reče: “Ne silazi u Egipat: boravi u zemlji koju ću ti označiti.
011a0300af	U ovoj se zemlji nastani, ja ću s tobom biti i blagoslivljati te; tebi i tvome potomstvu dat ću sve ove krajeve, da izvršim zakletvu kojom sam se zakleo tvome ocu Abrahamu.
011a0400a8	Tvoje ću potomstvo umnožiti kao zvijezde na nebesima i tvome ću potomstvu predati sve ove krajeve, tako da će se tvojim potomstvom blagoslivljati svi narodi zemlje;
011a05006c	a to zato što je Abraham slušao moj glas i pokoravao se mojim zapovijedima, mojim zakonima i odredbama!”
011a06001a	Tako Izak ostane u Geraru.
011a0700b9	Kad su ga mještani pitali o njegovoj ženi, reče: “Ona mi je sestra.” Bojao se reći: “Ona mi je žena”, misleći: “Mještani bi me mogli ubiti zbog Rebeke jer je lijepa.”
011a080084	Kako su se ondje duže zadržali, kralj Filistejaca Abimelek jednom pogleda kroz prozor i opazi kako Izak miluje svoju ženu Rebeku.
011a0900ad	Nato Abimelek pozove Izaka te reče: “Tako, ona ti je žena! Kako si mogao reći da ti je sestra?” Izak mu odgovori: “Jer sam mislio da bih zbog nje mogao poginuti.”
011a0a007f	Abimelek reče: “Zašto si nam to učinio? Umalo netko od ljudi nije legao s tvojom ženom. Tako bi na nas svalio krivnju.”
011a0b0074	Onda Abimelek izda naredbu svemu narodu: “Tko se god dotakne ovog čovjeka i njegove žene, glavu će izgubiti.”
011a0c0054	Izak je sijao u onom kraju i one godine urodilo mu stostruko. Jahve ga blagoslivljao
011a0d003d	te je čovjek bivao sve bogatiji, dok nije postao vrlo bogat.
011a0e0057	Stekao je stada ovaca i goveda i mnogu služinčad, tako da su mu Filistejci zavidjeli.
011a0f0088	Zato Filistejci zasuše sve bunare što su ih sluge njegova oca bile iskopale - u vrijeme njegova oca Abrahama - i napuniše ih zemljom.
011a100050	Onda Abimelek reče Izaku: “Idi od nas jer si postao mnogo moćniji od nas!”
011a110050	Tako Izak ode odande, postavi svoj šator u gerarskoj dolini i nastani se ondje.
011a1200ca	Izak opet iskopa bunare za vodu što su bili iskopani u vrijeme njegova oca Abrahama, a Filistejci ih bili zasuli poslije Abrahamove smrti. On ih je nazvao istim imenima kojima ih je zvao i njegov otac.
011a130055	Ali kad su Izakove sluge, dok su u dolini kopale, ondje našle bunar sa živom vodom,
011a140087	pastiri iz Gerara posvade se s Izakovim pastirima govoreći: “Naša je voda!” Bunaru je dao ime Esek, jer su se oni s njim svadili.
011a150051	A kad su iskopali drugi bunar te se i zbog njega svađali, nazva ga imenom Sitna.
011a1600ad	Odatle se preseli pa iskopa drugi bunar. Zbog njega se nisu svađali, pa ga nazove imenom Rehobot i protumači: “Jer nam je Jahve dao prostor da se na zemlji umnožimo.”
011a17001d	Odande se popne u Beer Šebu.
011a1800ad	Iste mu se noći ukaže Jahve i reče: “Ja sam Bog oca tvoga Abrahama. Ne boj se, ja sam s tobom! Blagoslovit ću te, potomke ti umnožit, zbog Abrahama, sluge svojega.”
011a190072	Izak tu podigne žrtvenik i zazove Jahvu po imenu; postavi ondje svoj šator, a njegove sluge počnu kopati bunar.
011a1a0061	Uto mu dođe Abimelek iz Gerara sa svojim savjetnikom Ahuzatom i s Fikolom, zapovjednikom vojske.
011a1b005a	Izak ih upita: “Zašto ste došli k meni kad me mrzite i kad ste me otjerali od sebe?”
011a1c008f	Oni odgovore: “Jasno vidimo da je Jahve s tobom. Stoga pomislismo: neka zakletva bude veza između nas i tebe. Daj da s tobom sklopimo savez:
011a1d00a7	ti nama nećeš zla nanositi, kao što mi tebe nismo zlostavljali, nego uvijek prema tebi lijepo postupali i s mirom te otpustili. A blagoslov Jahvin bio nad tobom.”
011a1e0026	On im priredi gozbu te su jeli i pili.
011a1f0055	Rano ujutro jedni se drugima zakunu. Potom ih Izak otpusti i oni od njega odu u miru.
011a200074	Toga istog dana dođu Izakove sluge i obavijeste ga o bunaru što su ga iskopali te mu reknu: “Našli smo vodu.”
011a210041	On ga prozva Šiba. Zato je ime onom gradu do danas - Beer Šeba.
011a220070	Kad je Ezavu bilo četrdeset godina, uzme za ženu Juditu, kćer Hetita Beerija, i Basematu, kćer Hetita Elona.
011a23002f	One postadoše izvor ogorčenja Izaku i Rebeki.
011b010081	Ostarje Izak, vid mu se očinji gasio. Zato zovne svoga starijeg sina Ezava i reče mu: “Sine!” On mu odgovori: “Evo me!”
011b020041	A on nastavi: “Vidiš, ostario sam, a ne znam dana svoje smrti.
011b030052	Zato uzmi svoju opremu, svoj tobolac i luk, pa idi u pustaru i ulovi mi divljači.
011b040079	Onda mi pripremi ukusan obrok, kako volim, te mi ga donesi da blagujem, pa da te mognem blagosloviti prije nego umrem.”
011b050076	Rebeka je slušala dok je Izak govorio svome sinu Ezavu, i kad je Ezav otišao u pustaru da ulovi divljači svome ocu,
011b06005c	Rebeka reče svome sinu Jakovu: “Upravo sam čula kako tvoj otac govori tvome bratu Ezavu:
011b070077	'Donesi mi divljači te mi priredi ukusan obrok da blagujem pa da te pred licem Jahvinim blagoslovim prije nego umrem.'
011b080037	A sad, sine moj, poslušaj me i učini kako ti naredim.
011b090076	Otiđi k stadu i odande mi donesi dva lijepa kozleta, a ja ću od njih prirediti ukusan obrok tvome ocu, kako on voli.
011b0a004f	Onda ti donesi svome ocu da jede te tebe mogne blagosloviti prije nego umre.”
011b0b005e	Ali Jakov odgovori svojoj majci Rebeki: “E, ali moj je brat Ezav runjav, a ja sam bez dlaka!
011b0c0078	Možda me se moj otac dotakne te ću u njegovim očima ispasti varalicom i na se svaliti prokletstvo, a ne blagoslov.”
011b0d007d	Ali njegova mu majka odgovori: “Sine moj, tvoje prokletstvo neka padne na mene! Samo ti mene poslušaj, otiđi i donesi!”
011b0e0065	Ode on, nađe i donese svojoj majci, a njegova majka priredi ukusan obrok, kako je njegov otac volio.
011b0f007f	Potom Rebeka uzme najljepše odijelo svoga starijeg sina Ezava što je u kući imala, pa u nj odjene svoga mlađeg sina Jakova.
011b100030	U kožu kozleta zamota mu ruke i goli dio vrata.
011b110050	Stavi zatim ukusan obrok i kruh što ga je pripravila na ruke svoga sina Jakova.
011b120050	Ode on k ocu i reče: “Oče!” On odgovori: “Evo me. Koji si ti moj sin?”
011b1300a6	A Jakov odgovori svome ocu: “Ja sam Ezav, tvoj prvorođenac; učinio sam kako si mi rekao. Sad ustaj, sjedi pa jedi moje lovine, da me onda mogneš blagosloviti.”
011b14007b	Izak upita svoga sina: “Kako si tako brzo uspio, sine moj?” On odgovori: “Jer mi je Jahve, Bog tvoj, bio milostiv.”
011b150068	Potom Izak reče Jakovu: “Primakni se, sine moj, da opipam jesi li ti zbilja moj sin Ezav ili nisi.”
011b160069	Jakov se primakne k svome ocu Izaku, koji ga opipa i reče: “Glas je Jakovljev, ali su ruke Ezavove.”
011b17006a	Nije ga prepoznao jer su mu ruke bile runjave kao i ruke njegova brata Ezava. Kad ga je htio blagosloviti,
011b180052	upita još jednom: “Jesi li ti zaista moj sin Ezav?” Odgovori on: “Jesam.”
011b1900a4	Potom reče Izak: “Stavi preda me da blagujem lovine svoga sina pa da te blagoslovi duša moja.” Jakov ga posluži pa je jeo. Zatim mu donese i vina, pa je pio.
011b1a0052	Poslije toga reče mu njegov otac Izak: “Primakni se, sine moj, i poljubi me!”
011b1b0095	Kad se primače i poljubi ga, Izak osjeti miris njegove odjeće pa ga blagoslovi: “Gle, miris sina mog nalik je mirisu polja koje Jahve blagoslovi.
011b1c004d	Neka ti Bog daje rosu s neba i rodnost zemlje: izobilje žita i mladoga vina.
011b1d00b4	Narodi ti služili, plemena ti se klanjala! Braćom svojom gospodari, nek sinci majke tvoje pred tobom padaju! Proklet bio tko tebe proklinje; blagoslovljen tko te blagoslivlje!”
011b1e007a	Tek što se Jakov udaljio od svoga oca Izaka - pošto je Izak podijelio blagoslov Jakovu - njegov brat Ezav dođe iz lova.
011b1f009a	I on priredi ukusan obrok i donese ga svome ocu. I reče svome ocu: “Ustani, oče moj, i blaguj od lovine svoga sina da me onda mogneš blagosloviti!”
011b200060	A njegov ga otac Izak zapita: “Tko si ti?” On odgovori: “Ja sam tvoj prvorođenac Ezav!”
011b2100bc	Izak se silno prepadne: “Pa tko je onda bio onaj što je divljači ulovio i meni već donio? Blagovao sam je prije nego si ti došao; onoga sam blagoslovio i blagoslovljen će ostati.”
011b220074	Kad je Ezav čuo riječi svoga oca, kriknu glasno i gorko zaplaka pa reče svome ocu: “I mene blagoslovi, oče!”
011b230049	A on odvrati: “Brat tvoj dođe na prijevaru i odnese tvoj blagoslov.”
011b2400c6	“Zato valjda što mu je ime Jakov, dvaput me već prevario”, reče Ezav. “Oduzeo mi prvorodstvo, a sad mi evo oduze i blagoslov.” Onda doda: “Zar za me nisi sačuvao nikakva blagoslova?”
011b2500be	Izak odgovori Ezavu: “Njega sam već postavio za tvoga gospodara; njemu sam svu njegovu braću predao za sluge; žitom sam ga i vinom opskrbio. A što sad za te mogu učiniti, sine moj?”
011b260089	Ezav odgovori svome ocu: “Zar ti, oče, raspolažeš samo jednim blagoslovom? Blagoslovi i mene, oče moj!” Ezav jecaše na sav glas.
011b27006a	Tada otac njegov Izak progovori i reče: “Daleko od plodna tla dom tvoj će biti, daleko od rose s neba.
011b280085	Od mača svoga ćeš živjeti, brata svoga ćeš služiti. Ali jednom, kada se pobuniš, jaram ćeš njegov stresti sa svog vrata.”
011b2900a5	Ezav zamrzi Jakova zbog blagoslova kojim ga je otac njegov blagoslovio pa reče u sebi: “Čim dođu dani žalosti za mojim ocem, ubit ću ja svoga brata Jakova.”
011b2a00b6	Kada su Rebeki javili te riječi što ih je izrekao njezin stariji sin Ezav, zovne ona svoga mlađeg sina Jakova te mu reče: “Pazi! Brat ti se Ezav nosi mišlju kako će te ubiti.
011b2b0049	Ali ti, sine moj, poslušaj mene: odmah bježi mome bratu Labanu u Haran.
011b2c0041	Ostani kod njega neko vrijeme, dok bijes brata tvoga na te jenja,
011b2d00aa	dok se srdžba brata tvoga odvrati od tebe te on zaboravi što si mu učinio. Ja ću onda po te poslati i odande te dovesti. Zašto da vas obojicu izgubim u jedan dan!”
011b2e00b2	Potom Rebeka reče Izaku: “Moj mi je život dosadio zbog ovih žena Hetitkinja. Ako se i Jakov oženi kojom kao što su ove urođenice, Hetitkinjom, što će mi onda život!”
011c010066	Stoga Izak pozove Jakova, blagoslovi ga te mu naloži: “Nemoj uzimati ženu od kanaanskih djevojaka.
011c02007d	Odmah se zaputi u Padan Aram, u dom Betuela, oca svoje majke, pa odande sebi uzmi ženu, od kćeri Labana, brata svoje majke.
011c030074	A Bog Svemožni, El-Šadaj, neka te blagoslovi i neka te učini rodnim i brojnim, tako da postaneš mnoštvo naroda.
011c0400a4	Neka protegne na te blagoslov Abrahamov, na te i na tvoje potomstvo, tako da zaposjedneš zemlju u kojoj boraviš kao pridošlica, a koju je Bog predao Abrahamu!”
011c050072	Tako Izak otpremi Jakova, i on ode u Padan Aram Labanu, sinu Aramejca Betuela, bratu Rebeke, majke Jakova i Ezava.
011c0600cb	Kad je Ezav vidio kako je Izak blagoslovio Jakova kad ga je otpremao u Padan Aram da odande sebi uzme ženu, naređujući mu kad ga je blagoslivljao: “Ne smiješ uzeti ženu od kanaanskih djevojaka”,
011c070048	i da je Jakov poslušao svoga oca i svoju majku te otišao u Padan Aram,
011c080041	Ezav shvati koliko su djevojke kanaanske mrske njegovu ocu Izaku.
011c090085	Stoga ode k Jišmaelu te se, uza žene koje već imaše, oženi Mahalatom, kćerju Jišmaela, sina Abrahamova, a sestrom Nebajotovom.
011c0a002c	Jakov ostavi Beer Šebu i zaputi se u Haran.
011c0b008c	Stigne u neko mjesto i tu prenoći, jer sunce bijaše već zašlo. Uzme jedan kamen s onog mjesta, stavi ga pod glavu i na tom mjestu legne.
011c0c0069	I usne san: ljestve stoje na zemlji, a vrhom do neba dopiru, i anđeli Božji po njima se penju i silaze.
011c0d008e	Uza nj je Jahve te mu govori: “Ja sam Jahve, Bog tvoga praoca Abrahama i Bog Izakov. Zemlju na kojoj ležiš dat ću tebi i tvome potomstvu.
011c0e00a3	Tvojih će potomaka biti kao i praha na zemlji; raširit ćete se na zapad, istok, sjever i jug; tobom će se i tvojim potomstvom blagoslivljati svi narodi zemlje.
011c0f009d	Dobro znaj: ja sam s tobom; čuvat ću te kamo god pođeš te ću te dovesti natrag u ovu zemlju; i neću te ostaviti dok ne izvršim što sam ti obećao.”
011c100062	Jakov se probudi od sna te reče: “Zaista se Jahve nalazi na ovome mjestu, ali ja nisam znao!”
011c110068	Potresen, uzviknu: “Kako je strašno ovo mjesto! Zaista, ovo je kuća Božja, ovo su vrata nebeska!”
011c120071	Rano ujutro Jakov uzme onaj kamen što ga bijaše stavio pod glavu, uspravi ga kao stup i po vrhu mu izlije ulja.
011c130040	Ono mjesto on nazva Betel, dok je ime tome gradu prije bilo Luz.
011c140085	Tada učini zavjet: “Ako Bog ostane sa mnom i uščuva me na ovom putu kojim idem, dade mi kruha da jedem i odijela da se oblačim,
011c15003c	te se zdravo vratim kući svoga oca, Jahve će biti moj Bog.
011c16007d	A ovaj kamen koji sam uspravio kao stup bit će kuća Božja. A od svega što mi budeš davao za te ću odlagati desetinu.”
011d01002c	Jakov nastavi put i dođe u zemlju istočnu.
011d020096	Najednom opazi studenac u polju. Tri su stada ovaca oko njega plandovala, jer se na tome studencu napajahu. Velik se kamen nalazio studencu na otvoru.
011d0300a0	Jedino kad bi se svi pastiri ondje skupili, mogli bi odvaliti kamen s otvora i ovce napojiti; tada bi opet prevalili kamen na njegovo mjesto, na otvor studenca.
011d04004c	“Odakle ste, braćo moja?” - zapita ih Jakov. “Iz Harana”, odgovore.
011d05005c	“Poznajete li”, pitaše ih dalje, “Nahorova sina Labana?” “Poznajemo”, odgovore.
011d060066	“Je li zdravo?” - opet ih upita. “Zdravo je; a evo mu dolazi kći Rahela sa stadom”, odgovore.
011d070078	“Još ima mnogo dana”, nastavi on, “nije vrijeme spraćati blago. Zašto ga ne napojite i ne otjerate na pašu?”
011d080082	“Ne možemo dok se ne skupe svi pastiri”, odgovoriše, “da odvale kamen s otvora studenca, tako da mognemo napojiti ovce.”
011d09005b	Dok je on još s njima govorio, dođe Rahela s ovcama svoga oca. Bila je, naime, pastirica.
011d0a00af	Kako Jakov ugleda Rahelu, kćer Labana, brata svoje majke, sa stadom svoga ujaka Labana, Jakov se primače i odvali kamen s otvora studenca te napoji stado svoga ujaka Labana.
011d0b0032	Zatim Jakov poljubi Rahelu, a onda briznu u plač.
011d0c0065	Potom Jakov kaza Raheli da je on sestrić njezina oca, sin Rebekin. Nato ona otrča i obavijesti oca.
011d0d00a0	Kad je Laban čuo vijest o Jakovu, sinu svoje sestre, potrča mu u susret. Zagrli ga i poljubi te dovede u svoju kuću. Ispriča Labanu sve što mu se dogodilo.
011d0e006f	A onda Laban reče. “Zbilja si ti moja kost i moje meso!” Pošto je Jakov proboravio s Labanom mjesec dana,
011d0f0079	Laban reče Jakovu: “Zar ćeš me zato što si mi sestrić badava služiti! Kaži mi koliko ćeš tražiti za najam?”
011d100048	A Laban imaše dvije kćeri. Starijoj bijaše ime Lea, a mlađoj Rahela.
011d110035	Lea imala slabe oči, a Rahela bila stasita i lijepa.
011d120062	Kako je Jakov volio Rahelu, reče: “Služit ću ti sedam godina za tvoju mlađu kćer Rahelu.”
011d130050	Laban odvrati: “Bolje je da je tebi dam nego kakvu strancu. Ostani sa mnom!”
011d14006d	Tako je Jakov služio za Rahelu sedam godina, ali mu se učinile, zbog ljubavi prema njoj, kao nekoliko dana.
011d15006b	Poslije toga Jakov reče Labanu: “Daj mi moju ženu, jer se moje vrijeme navršilo pa bih htio k njoj.”
011d160033	Laban sabra sav svijet onog mjesta i priredi gozbu.
011d17004c	Ali navečer uzme svoju kćer Leu pa nju uvede k Jakovu, i on priđe k njoj.
011d180042	Laban dade svoju sluškinju Zilpu svojoj kćeri Lei za sluškinju.
011d190090	Kad bi ujutro, a to, gle, Lea! Tada Jakov reče Labanu: “Zašto si mi to učinio! Zar te ja nisam služio za Rahelu? Zašto si me prevario?”
011d1a0051	Laban odgovori: “U našem mjestu nije običaj da se mlađa udaje prije starije.
011d1b009e	Završi s njom ovu ženidbenu sedmicu, a onda ću ti dati i drugu, za drugih sedam godina službe kod mene.” Jakov pristane: navrši onu ženidbenu sedmicu.
011d1c0031	Onda mu Laban dade i svoju kćer Rahelu za ženu.
011d1d0045	Laban dade svoju sluškinju Bilhu svojoj kćeri Raheli za sluškinju.
011d1e0065	Jakov nato priđe Raheli. Rahelu je više volio nego Leu. I tako je služio Labana još sedam godina.
011d1f0057	Jahve je vidio da Lea nije voljena, te je učini plodnom, dok Rahela ostade nerotkinja.
011d20009b	Lea zače i rodi sina; nadjenu mu ime Ruben, a to znači, kako je ona protumačila: “Jahve je vidio moju nevolju i stoga će me sada muž moj ljubiti.”
011d21007c	Opet zače i rodi sina te izjavi: “Jahve je čuo da nisam voljena, stoga mi je dao i ovoga.” Zato mu nadjenu ime Šimun.
011d22007e	Opet zače i rodi sina te izjavi: “Sad će se moj muž meni prikloniti: tri sam mu sina rodila.” Zato mu nadjenu ime Levi.
011d230089	A kad je još jednom začela i sina rodila, izjavi: “Ovaj put hvalit ću Jahvu.” Stoga sinu nadjenu ime Juda. Potom prestade rađati.
011e010082	Vidjevši Rahela da Jakovu ne rađa djece, postade zavidna svojoj sestri pa reče Jakovu: “Daj mi djecu! Inače ću svisnuti!”
011e020065	Jakov se razljuti na Rahelu te reče. “Zar sam ja namjesto Boga koji ti je uskratio plod utrobe?”
011e030082	A ona odgovori: “Evo moje sluškinje Bilhe: uđi k njoj, pa neka rodi na mojim koljenima, da tako i ja steknem djecu po njoj.”
011e040045	Dade mu dakle svoju sluškinju Bilhu za ženu, i Jakov priđe k njoj.
011e050020	Bilha zače te Jakovu rodi sina.
011e060071	Tada Rahela reče: “Jahve mi je dosudio pravo. Uslišao je moj glas i dao mi sina.” Stoga mu nadjenu ime Dan.
011e070040	Rahelina sluškinja Bilha opet zače i rodi Jakovu drugoga sina.
011e08006c	Tada Rahela reče: “Žestoko sam se borila sa sestrom, ali sam pobijedila.” Tako mu nadjenu ime Naftali.
