0100000009	UGenesisi
0a132a00b6	Bonke abantu bakoJuda basebephendula amadoda akoIsrayeli bathi: Ngoba inkosi iyisihlobo sethu; pho-ke, lithukuthelelani ngalindaba? Sike sadlani okwenkosi? Kumbe isinike isipho yini?
0a132b0127	Njalo amadoda akoIsrayeli aphendula amadoda akoJuda, athi: Silengxenye ezilitshumi enkosini, futhi lakuDavida silelungelo okwedlula lina. Pho, lasidelelelani ukuthi ilizwi lethu lingabi ngelokuqala ukubuyisa inkosi yethu? Kodwa ilizwi lamadoda akoJuda lalilukhuni kulelizwi lamadoda akoIsrayeli.
0a140100ed	Kwasekusenzakala ukuthi kube khona lapho umuntu kaBheliyali, obizo lakhe linguShebha indodana kaBikiri umBhenjamini; wasevuthela uphondo wathi: Kasilasabelo kuDavida, kasilalifa endodaneni kaJese; wonke umuntu emathenteni akhe, Israyeli!
0a140200c1	Ngakho wonke umuntu wakoIsrayeli wenyuka wasuka emva kukaDavida, elandela uShebha indodana kaBikiri; kodwa abantu bakoJuda banamathela enkosini yabo, kusukela eJordani kwaze kwaba seJerusalema.
0a14030112	UDavida wasefika endlini yakhe eJerusalema; inkosi yathatha abafazi abalitshumi, abafazi abancane, eyayibatshiye ukuze balinde indlu, yababeka endlini elindiweyo, yabanika ukudla, kodwa kayingenanga kubo. Basebevalelwa kwaze kwaba lusuku lokufa kwabo, bephila ebufelokazini.
0a14040067	Inkosi yasisithi kuAmasa: Biza abantu bakoJuda babuthane kimi ngensuku ezintathu, lawe ube khona lapha.
0a14050061	UAmasa wasehamba ukubuthanisa uJuda, kodwa waphuza phezu kwesikhathi esimisiweyo ayemmisele sona.
0a140600d5	UDavida wasesithi kuAbishayi: Khathesi uShebha indodana kaBikiri uzasenzela okubi okwedlula uAbisalomu; wena thatha inceku zenkosi yakho, uxotshane laye, hlezi azitholele imizi ebiyelwe ngemithangala, asiphunyuke.
0a14070092	Kwasekuphuma emva kwakhe amadoda kaJowabi lamaKerethi lamaPelethi lamaqhawe wonke, basebephuma eJerusalema ukuxotshana loShebha indodana kaBikiri.
0a140800d8	Sebeselitsheni elikhulu eliseGibeyoni, uAmasa weza phambi kwabo. UJowabi wayebhince isigqoko ayesigqokile, laphezu kwaso kulebhanti elilenkemba ebotshelwe ekhalweni lwakhe isesikhwameni sayo; esaqhubeka inkemba yawa.
0a14090077	UJowabi wasesithi kuAmasa: Uyaphila yini, mfowethu? UJowabi wasebamba uAmasa ngesilevu ngesandla sokunene ukuze amange.
0a140a00ee	Kodwa uAmasa wayengayinanzeleli inkemba eyayisesandleni sikaJowabi; wasemtshaya ngayo kubambo lwesihlanu, wathululela imibilini yakhe emhlabathini, kamphindanga, wafa. UJowabi loAbishayi umfowabo basebexotshana loShebha indodana kaBikiri.
0a140b0067	Omunye wamajaha kaJowabi wema phansi kwakhe, wathi: Omthandayo uJowabi, longokaDavida, landela uJowabi.
0a140c00e8	UAmasa wasegiqika egazini phakathi komgwaqo omkhulu. Lapho lowomuntu ebona ukuthi bonke abantu bayema, wamsusa uAmasa emgwaqweni omkhulu wamusa egangeni, waphosela isembatho phezu kwakhe, lapho ebona ukuthi wonke ofika ngakuye wema.
0a140d0072	Esesusiwe emgwaqweni omkhulu, bonke abantu badlula bamlandela uJowabi ukuze baxotshane loShebha indodana kaBikiri.
0a140e007f	Wasedabula kuzo zonke izizwe zakoIsrayeli, waya eAbeli ngitsho iBeti-Mahaka, lawo wonke amaBeri; basebebuthana bamlandela labo.
0a140f00a9	Basebefika, bamgombolozela eAbeli-Beti-Mahaka; babuthelela idundulu maqondana lomuzi, lema emthangaleni; bonke abantu ababeloJowabi basebewona umduli ukuwuwisela phansi.
0a1410008c	Kwasekumemeza owesifazana ohlakaniphileyo phakathi komuzi wathi: Zwanini, zwanini! Ake lithi kuJowabi: Sondela lapha, ukuze ngikhulume lawe.
0a14110091	Esesondele kuye, owesifazana wathi: Nguwe uJowabi yini? Yena wathi: Nginguye. Wasesithi kuye: Zwana amazwi encekukazi yakho. Wasesithi: Ngiyezwa.
0a1412006b	Wasekhuluma esithi: Endulo babejwayele ukukhuluma besithi: Kababuze lokubuza eAbeli; basebeqeda ngokunjalo.
0a14130076	Ngingowabokuthula, owabathembekileyo bakoIsrayeli; udinga ukuchitha umuzi lonina koIsrayeli. Uginyelani ilifa leNkosi?
0a14140063	UJowabi wasephendula wathi: Kakube khatshana, kakube khatshana lami ukuthi ngiginye loba ngichithe.
0a14150123	Udaba kalunjalo; kodwa umuntu wasentabeni yakoEfrayimi, nguShebha indodana kaBikiri ibizo lakhe, uphakamisile isandla sakhe emelene lenkosi, emelene loDavida; nikelani yena kuphela, ngizasuka emzini. Owesifazana wasesithi kuJowabi: Khangela, ikhanda lakhe lizaphoselwa kuwe ngaphezu komduli.
0a14160104	Owesifazana wasesiya ngenhlakanipho yakhe ebantwini bonke. Basebequma ikhanda likaShebha indodana kaBikiri, baliphosela kuJowabi. Wasevuthela uphondo, bahlakazeka besuka kulowomuzi, ngulowo lalowo waya emathenteni akhe. UJowabi wasebuyela eJerusalema enkosini.
0a1417007f	Njalo uJowabi wayephezu kwebutho lonke lakoIsrayeli; loBhenaya indodana kaJehoyada wayephezu kwamaKerethi laphezu kwamaPelethi;
0a14180056	loAdoniramu wayephezu kwezibhalwa; loJehoshafathi indodana kaAhiludi wayengumabhalane;
0a1419003c	loSheva wayengumbhali; loZadoki loAbhiyatha babengabapristi;
0a141a002c	loIra laye umJayiri wayengumpristi kaDavida.
0a150100dd	Kwasekusiba khona indlala ensukwini zikaDavida iminyaka emithathu, umnyaka ngomnyaka ilandelana; uDavida wadinga ubuso beNkosi. INkosi yasisithi: Kungenxa kaSawuli langenxa yendlu yakhe yegazi, ngoba wabulala amaGibeyoni.
0a15020106	Ngakho inkosi yabiza amaGibeyoni yathi kuwo: (AmaGibeyoni-ke ayengeyisiwo awabantwana bakoIsrayeli, kodwa ayengawensali yamaAmori; njalo abantwana bakoIsrayeli babefungile kuwo; uSawuli wasedinga ukuwatshaya ekutshisekeleni kwakhe abantwana bakoIsrayeli loJuda.)
0a15030077	Ngakho uDavida wathi kumaGibeyoni: Ngingalenzelani? Ngingayenza ngani inhlawulo yokuthula ukuze libusise ilifa leNkosi?
0a150400b5	AmaGibeyoni asesithi kuye: Kayisindaba yesiliva kumbe igolide loSawuli lendlu yakhe; futhi kakusikwethu ukubulala umuntu koIsrayeli. Wasesithi: Lokho elikutshoyo ngizalenzela khona.
0a1505007b	Basebesithi enkosini: Umuntu owasiqedayo, owaceba emelene lathi ukuthi sichithwe singasali lakuwuphi umngcele wakoIsrayeli,
0a15060097	kasinikwe amadoda ayisikhombisa emadodaneni akhe, njalo siwaphanyekele iNkosi eGibeya kaSawuli, okhethiweyo weNkosi. Inkosi yasisithi: Mina ngizalipha.
0a150700ac	Kodwa inkosi yamyekela uMefiboshethi indodana kaJonathani indodana kaSawuli ngenxa yesifungo seNkosi esasiphakathi kwabo, phakathi kukaDavida loJonathani indodana kaSawuli.
0a150800e2	Kodwa inkosi yathatha amadodana amabili kaRizipa indodakazi kaAya ayewazalele uSawuli, uArimoni loMefiboshethi, lamadodana amahlanu kadadewabo kaMikhali indodakazi kaSawuli ayewazalele uAdriyeli indodana kaBarizilayi umMehola,
0a150900bf	yabanikela esandleni samaGibeyoni, asebaphanyeka entabeni phambi kweNkosi, njalo abayisikhombisa bawa kanyekanye. Babulawa ensukwini zokuvuna, ensukwini zakuqala ekuqaleni kokuvunwa kwebhali.
0a150a00f3	URizipa indodakazi kaAya wasethatha isaka, wazendlalela lona phezu kwedwala, kusukela ekuqaleni kokuvuna kwaze kwathonta amanzi phezu kwabo evela emazulwini; kavumelanga inyoni zamazulu ukuthi zihlale phezu kwabo emini, lezilo zeganga ebusuku.
0a150b005c	Kwasekubikelwa uDavida lokho uRizipa indodakazi kaAya, umfazi omncane kaSawuli, ayekwenzile.
0a150c00e6	UDavida wasehamba wayathatha amathambo kaSawuli lamathambo kaJonathani indodana yakhe kubahlali beJabeshi-Gileyadi ababewebile emdangeni weBeti-Shani, lapho amaFilisti ayebaphanyeke khona mhla amaFilisti etshaya uSawuli eGilibowa.
0a150d0079	Wasesenyusa esuka lapho amathambo kaSawuli lamathambo kaJonathani indodana yakhe; basebeqoqa amathambo awababephanyekiwe.
0a150e00db	Basebewangcwaba amathambo kaSawuli lakaJonathani indodana yakhe elizweni lakoBhenjamini eZela, engcwabeni likaKishi uyise. Benza konke inkosi eyayibalaye khona. Njalo emva kwalokho uNkulunkulu wancengeka ngenxa yelizwe.
0a150f0084	AmaFilisti abuye aba lempi futhi loIsrayeli; uDavida wasesehla lenceku zakhe kanye laye, njalo balwa lamaFilisti; uDavida wasedinwa.
0a151000aa	UIshibi-Benobi owayengowabantwana besiqhwaga, osisindo somkhonto wakhe sasingamashekeli angamakhulu amathathu ethusi, wayebhince inkemba entsha, wathi uzamtshaya uDavida.
0a151100b7	Kodwa uAbishayi indodana kaZeruya wamsiza, wamtshaya umFilisti wambulala. Khona abantu bakaDavida bafunga kuye besithi: Kawusayikuphuma impi lathi, hlezi ucitshe isibane sikaIsrayeli.
0a15120086	Kwasekusithi emva kwalokhu kwaba lempi futhi lamaFilisti eGobi; khona uSibekayi umHusha watshaya uSafi, owayengowabantwana besiqhwaga.
0a151300b6	Kwasekusiba lempi futhi lamaFilisti eGobi; uElihanani indodana kaJahari-Oregimi umBhethelehema, watshaya umfowabo kaGoliyathi umGiti, oluthi lomkhonto wakhe lwalunjengogodo lomaluki.
0a151400d1	Njalo kwabuye kwaba lempi eGathi, lapho okwakulomuntu omude, owayeleminwe eyisithupha ezandleni zakhe, lamazwane ayisithupha ezinyaweni zakhe, kungamatshumi amabili lane ngenani; laye-ke wayezalelwe isiqhwaga.
0a15150055	Lapho eseyisa uIsrayeli, uJonathani indodana kaShimeya, umfowabo kaDavida, wamtshaya.
0a15160063	Laba abane babezalelwe isiqhwaga eGathi; njalo bawa ngesandla sikaDavida langesandla senceku zakhe.
0a16010078	UDavida wasekhuluma eNkosini amazwi alelihubo mhla iNkosi imkhulula esandleni sezitha zakhe zonke lesandleni sikaSawuli.
0a1602003f	Wasesithi: INkosi ilidwala lami, lenqaba yami, lomkhululi wami;
0a160300ac	uNkulunkulu wedwala lami, ngizaphephela kuye, isihlangu sami, lophondo losindiso lwami, inqaba yami ephakemeyo, lesiphephelo sami, umsindisi wami; ungisindisile odlakeleni.
0a16040041	Ngizabiza iNkosi edumisekayo, ngakho ngizasindiswa ezitheni zami.
0a16050047	Ngoba izinsizi zokufa zingizingelezele, lezikhukhula zobubi zangethusa.
0a16060046	Izibopho zesihogo zangigombolozela, imijibila yokufa yayiphambi kwami.
0a1607009a	Ekuhluphekeni kwami ngayibiza iNkosi, ngakhala kuNkulunkulu wami; waselizwa ilizwi lami esethempelini lakhe, lokukhala kwami kwafinyelela endlebeni zakhe.
0a1608006a	Khona umhlaba wazamazama, wanyikinyeka, izisekelo zamazulu zaqhaqhazela, zazamazama, ngoba wayethukuthele.
0a16090064	Kwenyuka intuthu emakhaleni akhe, lomlilo ophuma emlonyeni wakhe waqothula; amalahle avuthiswa yiwo.
0a160a0055	Wasekhothamisa amazulu, wehlela phansi; lomnyama onzima wawungaphansi kwenyawo zakhe.
0a160b003f	Wasegada ikherubhi, waphapha, wabonakala phezu kwempiko zomoya.
0a160c0068	Wasemisa umnyama waba ngamadumba inhlangothi zonke zakhe, lokuqoqana kwamanzi, amayezi amnyama omkhathi.
0a160d003c	Ekukhazimuleni okuphambi kwakhe kwavuthiswa amalahle omlilo.
0a160e0041	INkosi yaduma isemazulwini, loPhezukonke walikhupha ilizwi lakhe.
0a160f003a	Yathuma imitshoko, yabachitha; imibane, yabaphaphathekisa.
0a16100079	Khona kwabonakala imisele yolwandle, kwembulwa izisekelo zomhlaba, ekusoleni kweNkosi, ekuvutheleni komoya wamakhala ayo.
0a1611003b	Iphezulu yathuma, yangibamba, yangenyula emanzini amanengi.
0a16120051	Yangophula esitheni sami esilamandla, kwabangizondayo, ngoba babelamandla kulami.
0a1613004f	Babephambi kwami osukwini lwenhlupheko yami, kodwa iNkosi yaba yisisekelo sami.
0a16140045	Yangikhuphela endaweni ebanzi, yangikhulula, ngoba yayithokoza ngami.
0a16150054	INkosi yangivuza njengokulunga kwami, yangibuyisela njengokuhlanzeka kwezandla zami.
0a16160055	Ngoba ngizilondolozile indlela zeNkosi, kangisukanga kuNkulunkulu wami ngenkohlakalo.
0a16170053	Ngoba zonke izahlulelo zayo zaziphambi kwami, lezimiso zayo, kangiphambukanga kuzo.
0a1618003d	Njalo ngangiqondile phambi kwayo, ngizinqandile ebubini bami.
0a1619005b	Ngakho iNkosi ingibuyisele njengokulunga kwami, njengokuhlanzeka kwami phambi kwamehlo ayo.
0a161a0039	Kolesihawu uzaziveza ulesihawu; koqotho uzaziveza uqotho;
0a161b004d	kohlanzekileyo uzaziveza uhlanzekile; lakophambukileyo uzaziveza uphambukile.
0a161c0065	Labantu abahlutshwayo uzabasindisa, kodwa amehlo akho aphezu kwabaziphakamisayo, uzabehlisela phansi.
0a161d0042	Ngoba uyisibane sami, Nkosi, iNkosi izakhanyisa-ke ubumnyama bami.
0a161e0059	Ngoba ngawe ngigijimile ngadabula phakathi kwebutho, ngoNkulunkulu wami ngeqe umthangala.
0a161f0067	UNkulunkulu; indlela yakhe iphelele; ilizwi leNkosi lihloliwe; uyisihlangu kubo bonke abaphephela kuye.
0a16200069	Ngoba ngubani onguNkulunkulu ngaphandle kweNkosi? Njalo ngubani olidwala ngaphandle kukaNkulunkulu wethu?
0a16210041	UNkulunkulu uyinqaba yami lamandla, owenza indlela yami iphelele.
0a16220045	Owenza inyawo zami zibe njengezezimpala, wangimisa ezingqongeni zami.
0a1623004e	Ofundisela izandla zami impi, ukuze idandili lethusi ligotshiswe zingalo zami.
0a1624004a	Unginikile lesihlangu sosindiso lwakho, lokuzithoba kwakho kungikhulisile.
0a16250053	Wenze laba banzi inyathelo lami ngaphansi kwami, ukuze inqagala zami zingatsheleli.
0a16260045	Ngixotshene lezitha zami ngazibhubhisa, kangibuyanga ngaze ngaziqeda.
0a1627004b	Ngaziqeda, ngazigwaza, ukuze zingavuki; kodwa zawa ngaphansi kwenyawo zami.
0a16280059	Ngoba ungibhincise amandla kusenzelwa impi, wabakhothamisela phansi kwami abangivukelayo.
0a1629003f	Unginike intamo yezitha zami, labo abangizondayo ngababhubhisa.
0a162a0047	Bakhangela, kodwa engekho umsindisi; eNkosini, kodwa kayibaphendulanga.
0a162b005a	Ngasengibacholisisa njengothuli lomhlaba, ngabagxoba njengodaka lwezitalada, ngabatsahaza.
0a162c0070	Wasungikhulula ekuphikiseni kwabantu bami, wangigcina ngiyinhloko yezizwe; abantu engangingabazi bangisebenzela.
0a162d004f	Abezizweni bazazehlisela phansi kimi; bangenela ukuzwa ngendlebe bazangilalela.
0a162e003a	Abezizweni bazabuna, baphume ezinqabeni zabo bethuthumela.
0a162f0062	INkosi iyaphila; njalo kalibusiswe idwala lami, kaphakanyiswe uNkulunkulu, idwala losindiso lwami;
0a16300045	uNkulunkulu onginika impindiselo, lowehlisela izizwe ngaphansi kwami;
0a1631006b	longikhupha ezitheni zami; laphezu kwabangivukelayo wena wangiphakamisa; lemuntwini wodlakela wangikhulula.
0a16320057	Ngenxa yalokhu ngizakudumisa, Nkosi, phakathi kwezizwe, ngihubele ibizo lakho indumiso.
0a1633007c	Ingumphotshongo wosindiso kuyo inkosi yayo, isenzela ogcotshiweyo wayo umusa, kuDavida, lenzalweni yakhe kuze kube nininini.
0a170100ad	La-ke ngamazwi okucina kaDavida. UDavida indodana kaJese wathi, lomuntu ophakanyiselwe phezulu, ogcotshiweyo kaNkulunkulu kaJakobe, lomhlabeleli omnandi wakoIsrayeli, wathi:
0a1702003e	UMoya weNkosi wakhuluma ngami, lelizwi lakhe lisolimini lwami.
0a17030089	UNkulunkulu kaIsrayeli wathi, iDwala likaIsrayeli lakhuluma kimi lathi: Obusa abantu uzakuba ngolungileyo, ebusa ngokumesaba uNkulunkulu.
0a17040084	Njalo uzakuba njengokukhanya kwekuseni ekuphumeni kwelanga, ikuseni engelamayezi, njengohlaza emhlabathini ngokukhanya emva kwezulu.
0a170500cf	Lanxa indlu yami ingenjalo kuNkulunkulu, kube kanti wenzile lami isivumelwano esilaphakade, esimiswe kuhle ezintweni zonke, lesigcinekileyo, ngoba lonke usindiso lwami lesiloyiso sikuso, lanxa engasikhulisi.
0a17060054	Kodwa abakaBheliyali bonke banjengameva alahliweyo, ngoba engelakuthathwa ngesandla;
0a17070072	kodwa umuntu owathintayo uzazihlomisa ngensimbi langoluthi lomkhonto, azatshiswa lokutshiswa ngomlilo kuleyondawo.
0a170800b7	La ngamabizo amaqhawe uDavida ayelawo: UJoshebi-Bashebeti umTahekemoni, inhloko yezinduna; nguye uAdino umEzini, ngenxa yabangamakhulu ayisificaminwembili ababulawa ngasikhathi sinye.
0a170900bd	Lemva kwakhe kwakuloEleyazare indodana kaDodo indodana kaAhohi, owamaqhawe amathathu ayeloDavida, ekudeleleni kwabo amaFilisti ayebuthanele khona impi, lapho amadoda akoIsrayeli esenyukile,
0a170a00c6	yena wasukuma watshaya amaFilisti saze sadinwa isandla sakhe, lesandla sakhe sanamathela enkembeni. INkosi yasisenza usindiso olukhulu ngalolosuku; abantu basebebuya emva kwakhe ukuzaphanga kuphela.
0a170b00b8	Lemva kwakhe kwakuloShama indodana kaAge umHarari. AmaFilisti ayebuthene aba lixuku, lapho okwakukhona isiqinti sensimu sigcwele amalentili; njalo abantu babaleka ebusweni bamaFilisti,
0a170c0067	kodwa wajama phakathi kwesiqinti, wasivikela, wawatshaya amaFilisti. INkosi yenza-ke usindiso olukhulu.
0a170d00b3	Abathathu ezinhlokweni ezingamatshumi amathathu basebesehla, bafika kuDavida ebhalwini lweAdulamu ngesikhathi sokuvuna; lexuku lamaFilisti lalimise inkamba esihotsheni seRefayimi.
0a170e0068	Langalesosikhathi uDavida wayesenqabeni, lebutho lenqaba lamaFilisti laliseBhethelehema ngalesosikhathi.
0a170f0072	UDavida wasenxwanela, wathi: Hawu, kungathi omunye ubenganginathisa amanzi omthombo weBhethelehema ongasesangweni!
0a171000d3	Lawomaqhawe amathathu asefohla adabula enkambeni yamaFilisti, akha amanzi emthonjeni weBhethelehema owawungasesangweni, awathatha awaletha kuDavida. Kube kanti kathandanga ukuwanatha, kodwa wawathululela iNkosi.
0a171100bc	Wasesithi: Kakube khatshana lami, Nkosi, ukuthi ngenze lokho; kakusigazi yini labantu abahambe lempilo yabo engozini? Ngalokho kathandanga ukuwanatha. Lezizinto azenza lamaqhawe amathathu.
0a171200bb	Njalo uAbishayi, umfowabo kaJowabi indodana kaZeruya, wayeyinhloko yabathathu. Yena wasegiyela abangamakhulu amathathu ngomkhonto wakhe, ababuleweyo, wasesiba lebizo phakathi kwabathathu.
0a1713006b	Kahlonitshwanga kakhulu yini kulabathathu? Ngakho waba yinduna yabo; kodwa kafikanga kwabathathu abokuqala.
0a171400d5	UBhenaya-ke, indodana kaJehoyada, indodana yeqhawe, omkhulu ngezenzo, weKabhiseyeli. Yena watshaya ababili abanjengezilwane bakoMowabi; futhi wehla watshaya isilwane phakathi komgodi mhla weliqhwa elikhithikileyo.
0a171500cd	Yena wasetshaya indoda engumGibhithe, umuntu obukekayo; njalo umGibhithe wayelomkhonto esandleni sakhe; kodwa wehlela kuye elenduku, wawuhluthuna umkhonto esandleni somGibhithe, wambulala ngomkhonto wakhe.
0a1716005a	Lezizinto wazenza uBhenaya indodana kaJehoyada, waba lebizo phakathi kwamaqhawe amathathu.
0a17170072	Wayehlonipheka kulabangamatshumi amathathu, kodwa kafikanga kwabathathu. UDavida wasembeka phezu kwabalindi bakhe.
0a1718006e	UAsaheli umfowabo kaJowabi wayephakathi kwabangamatshumi amathathu, uElihanani indodana kaDodo weBhethelehema,
0a17190021	uShama umHarodi, uElika umHarodi,
0a171a0035	uHelezi umPaliti, uIra indodana kaIkheshi umThekhowa,
0a171b002a	uAbiyezeri umAnethothi, uMebunayi umHusha,
0a171c0026	uZalimoni umAhohi, uMaharayi umNetofa,
0a171d0061	uHelebi indodana kaBahana umNetofa, uIthayi indodana kaRibayi weGibeya wabantwana bakoBhenjamini,
0a171e0033	uBhenaya umPirathoni, uHidayi wezifuleni zeGahashi,
0a171f002d	uAbi-Aliboni umAraba, uAzimavethi umBahurimi,
0a1720003a	uEliyabha umShahaliboni, wamadodana kaJasheni, uJonathani,
0a17210036	uShama umHarari, uAhiyamu indodana kaSharari umHarari,
0a1722005a	uElifeleti indodana kaAhasibayi indodana yomMahaka, uEliyamu indodana kaAhithofeli umGilo,
0a17230028	uHezirayi umKharmeli, uPaharayi umArabi,
0a1724002f	uIgali indodana kaNathani weZoba, uBani umGadi,
0a17250057	uZeleki umAmoni, uNaharayi umBherothi, umthwali wezikhali zikaJowabi indodana kaZeruya,
0a17260020	uIra umIthiri, uGarebi umIthiri,
0a1727003f	uUriya umHethi; bebonke babengamatshumi amathathu lesikhombisa.
0a1801006d	Lwaselubuya lwamvuthela uIsrayeli ulaka lukaJehova, wabavusela uDavida, esithi: Hamba ubale uIsrayeli loJuda.
0a180200bb	Ngakho inkosi yathi kuJowabi induna yebutho eyayilaye: Hamba khathesi ubhode ezizweni zonke zakoIsrayeli, kusukela koDani kuze kube seBherishebha, libale abantu ukuze ngazi inani labantu.
0a180300e0	UJowabi wasesithi enkosini: Aluba iNkosi uNkulunkulu wakho ingandisa ebantwini, loba bebanengi kangakanani, kuphindwe ngokulikhulu, ukuthi amehlo enkosi yami, inkosi, akubone. Kodwa inkosi yami, inkosi, ithokozelani kulinto?
0a180400a5	Kodwa ilizwi lenkosi lalilamandla phezu kukaJowabi laphezu kwezinduna zebutho. Ngakho uJowabi lenduna zebutho baphuma phambi kwenkosi ukuze babale abantu, uIsrayeli.
0a18050077	Basebechapha iJordani, bamisa inkamba eAroweri, ngakwesokunene komuzi ophakathi kwesifula seGadi, lamaqondana leJazeri.
0a1806005c	Basebefika eGileyadi lelizweni leTahetimi-Hodishi; bafika eDani-Jahani, babhoda ngaseSidoni,
0a1807006d	bafika enqabeni yeTire lemizini yonke yamaHivi leyamaKhanani; baphuma baya eningizimu yakoJuda, eBherishebha.
0a1808007e	Sebebhode badabula ilizwe lonke, bafika eJerusalema ekupheleni kwenyanga eziyisificamunwemunye lensuku ezingamatshumi amabili.
0a180900e4	UJowabi waseyinika inkosi inani lokubalwa kwabantu; njalo kwakukhona koIsrayeli amaqhawe ayizinkulungwane ezingamakhulu ayisificaminwembili ahwatsha inkemba; lamadoda akoJuda ayengamadoda ayizinkulungwane ezingamakhulu amahlanu.
0a180a00de	Inhliziyo kaDavida yasimtshaya emva kokuthi esebale abantu. UDavida wasesithi eNkosini: Ngonile kakhulu ngalokho engikwenzileyo. Ngakho-ke, Nkosi, ngiyakuncenga, susa ububi benceku yakho, ngoba ngenze ngobuthutha obukhulu.
0a180b0065	Kwathi uDavida esevukile ekuseni, kwafika ilizwi leNkosi kuGadi umprofethi, umboni kaDavida, lisithi:
0a180c0076	Hamba uthi kuDavida: Itsho njalo iNkosi ithi: Ngikubekela okuthathu; zikhethele okukodwa kukho, ukuthi ngikwenze kuwe.
0a180d014c	UGadi wasefika kuDavida, wamtshela wathi kuye: Kufike kuwe yini iminyaka eyisikhombisa yendlala elizweni lakini? Loba ubalekele izitha zakho inyanga ezintathu zixotshana lawe? Ingabe kube khona umatshayabhuqe wesifo okwensuku ezintathu elizweni lakini? Khathesi cabanga, ubone ukuthi yimpendulo bani engizayibuyisela kongithumileyo.
0a180e0091	UDavida wasesithi kuGadi: Ngicindezelekile kakhulu; ake siwele esandleni seNkosi, ngoba izisa zayo zinkulu, kodwa kangingaweli esandleni somuntu.
0a180f00e7	Ngakho iNkosi yasibeka umatshayabhuqe wesifo kuIsrayeli, kusukela ekuseni kwaze kwaba sesikhathini esimisiweyo; kwasekusifa ebantwini abantu abayizinkulungwane ezingamatshumi ayisikhombisa kusukela koDani kwaze kwaba seBherishebha.
0a181000ef	Lapho ingilosi iselulela isandla sayo eJerusalema ukuyibhubhisa, iNkosi yazisola ngalobobubi, yathi engilosini eyayibhubhisa abantu: Sekwanele. Khathesi finyeza isandla sakho. Ingilosi yeNkosi yayisebaleni lokubhulela likaArawuna umJebusi.
0a181100d3	UDavida wasekhuluma eNkosini lapho ebona ingilosi eyayitshaya abantu, wathi: Khangela, mina ngonile, njalo mina ngenze okubi; pho, lezizimvu zenzeni? Isandla sakho ake simelane lami njalo simelane lendlu kababa.
0a18120079	UGadi wasefika kuDavida ngalolosuku, wathi kuye: Yenyuka, umisele iNkosi ilathi ebaleni lokubhulela likaArawuna umJebusi.
0a18130041	UDavida wasesenyuka njengokutsho kukaGadi, njengokulaya kweNkosi.
0a18140091	UArawuna waselunguza, wabona inkosi lenceku zayo beqhubeka besiza kuye; uArawuna wasephuma wakhothama phambi kwenkosi ngobuso bakhe emhlabathini.
0a181500ce	UArawuna wasesithi: Kungani inkosi yami, inkosi, ize encekwini yayo? UDavida wasesithi: Ukuthi ngithenge kuwe ibala lokubhulela, ukuthi ngakhele iNkosi ilathi, ukuze inhlupheko ithinteke ingafiki ebantwini.
0a181600b2	UArawuna wasesithi kuDavida: Inkosi yami, inkosi, kayithathe inikele lokho okuhle emehlweni ayo; bona, nanzi inkabi zomnikelo wokutshiswa, lezimbulo lezinto zenkabi kube zinkuni.
0a18170072	Konke lokhu, nkosi, uArawuna wakunika inkosi; uArawuna wasesithi enkosini: INkosi uNkulunkulu wakho kayikwemukele.
0a1818010d	Inkosi yasisithi kuArawuna: Hatshi, kodwa ngizakuthenga lokukuthenga kuwe ngentengo; njalo kangiyikunikela iminikelo yokutshiswa engangibizanga lutho eNkosini uNkulunkulu wami. UDavida waselithenga ibala lokubhulela lezinkabi ngamashekeli esiliva angamatshumi amahlanu.
0a181900ac	UDavida wasesakhela khona iNkosi ilathi, wanikela iminikelo yokutshiswa leminikelo yokuthula. Ngakho iNkosi yancengeka ngelizwe, inhlupheko yasithinteka phezu kukaIsrayeli.
0b0000000a	1 Amakhosi
0b01010060	Inkosi uDavida yayisindala ilensuku ezinengi; basebeyembesa ngezembatho, kodwa kayikhudumalanga.
0b010200b6	Inceku zayo zasezisithi kuyo: Inkosi yami, inkosi, kayidingelwe intombazana emsulwa, ukuthi ime phambi kwenkosi, iyonge, ilale esifubeni sakho, ukuze inkosi yami, inkosi, ikhudumale.
0b0103006d	Zasezidinga intombazana enhle emingceleni yonke yakoIsrayeli, zathola uAbishagi umShunami, zamletha enkosini.
0b01040064	Intombazana yayinhle kakhulu sibili, yaba ngumongi wenkosi, yayisebenzela; kodwa inkosi kayiyazanga.
0b010500ae	UAdonija indodana kaHagithi waseziphakamisa esithi: Mina ngizakuba yinkosi. Wasezilungisela inqola labagadi bamabhiza, lamadoda angamatshumi amahlanu ukugijima phambi kwakhe.
0b01060085	Uyise wayengazanga amdanise lakanye esithi: Wenzeleni kanje? Laye futhi wayelesimo esihle kakhulu, lonina wamzala emva kukaAbisalomu.
0b0107006a	Lamazwi akhe ayeloJowabi indodana kaZeruya njalo loAbhiyatha umpristi, basebencedisa, bamlandela uAdonija.
0b01080090	Kodwa uZadoki umpristi, loBhenaya indodana kaJehoyada, loNathani umprofethi, loShimeyi, loReyi, lamaqhawe uDavida ayelawo, babengekho kuAdonija.
0b010900b8	UAdonija wahlaba izimvu lezinkabi lokunonisiweyo elitsheni leZohelethi eliseceleni kweEni-Rogeli, wanxusa bonke abafowabo, amadodana enkosi, lawo wonke amadoda akoJuda, inceku zenkosi;
0b010a004f	kodwa oNathani umprofethi loBhenaya lamaqhawe loSolomoni umfowabo kabanxusanga.
