010000000a	Yaradiliş
07050b00c9	Oxatanların səs-küyündən uzaqda, Su çəkənlər arasında – Orada Rəbbin zəfərlərindən, İsraildəki igidlərin zəfərlərindən nəql ediləcək. O zaman Rəbbin xalqı darvazalara endi.
07050c0074	Oyan, ey Devora, oyan! Oyan, ilahi oxu, oyan! Ayağa qalx, ey Baraq! Sən, ey Avinoam oğlu, gəl əsirlərini apar!
07050d005c	O zaman sağ qalanlar əyanların yanına endi. Rəbbin xalqı cəngavər tək yanıma endi.
07050e00b8	Amaleq soyundan olanlar Efrayimdən gəldi, Sənin ardınca gələn xalq arasında Binyamin də var idi. Makirdən əmirlər, Zevulundan sərkərdə əsasını daşıyanlar gəldilər.
07050f00b9	İssakardakı ağalar Devora ilə gəldilər. İssakar necədirsə, Baraq da elə idi, Onun ardınca vadiyə hücum çəkirdilər. Ruven qəbiləsinin bölmələri çaşıb qalmışdı.
07051000a7	Çobanların sürülərinə çaldığı tütək səsini dinləmək üçün Niyə ağıllar arasında qaldınız? Ruven qəbiləsinin bölmələri çaşıb qalmışdı.
07051100ac	Gilead xalqı İordan çayının o tayında qaldı. Bəs niyə Dan gəmilərin yanında sakin oldu? Aşer dənizlərin sahilində qaldı, Öz limanlarında məskən saldı.
0705120075	Döyüş meydanının yüksək yerlərində, Zevulunla Naftali Canlarını ölüm təhlükəsinə atan bir xalq oldu.
0705130098	O zaman padşahlar gəlib vuruşdular. Taanakda, Megiddo suları kənarında Kənan padşahları vuruşdular. Nə gümüş, nə də qənimət alan oldu.
0705140051	Ulduzlar göydən döyüşdü, Sisraya qarşı öz dövrəsində döyüşdülər.
070515006d	Düşmənləri Qişon çayı apardı, Qişon çayı coşub-daşandı. Ey canım, sən qüvvətlə irəli get!
0705160060	O zaman at dırnaqları vurdu o yerə damğalar, Dördnala, dördnala qaçarkən köhlən atlar.
07051700b1	Rəbbin mələyi dedi: «Meroza lənət edin, Onun xalqına ağır lənət söyləyin. Çünki Rəbbin köməyinə, Cəngavərlərə qarşı Rəbbin köməyinə gəlmədilər».
0705180086	Qenli Xeverin arvadı Yael Qadınlar arasında hamıdan artıq xeyir-dua alsın, Çadırda yaşayan qadınlardan daha bəxtiyar olsun!
0705190050	Su istəyəndə Sisra Yael ona süd verdi. Ağalara layiq bir camda ayran verdi.
07051a00a3	Sol əlinə payanı, Sağ əlinə isə işçi toxmağını götürdü, Onlarla Sisranı vurdu, başını əzdi. Sındırıb gicgahlarını, deşib yerə keçirtdi.
07051b0085	O yıxılıb ayaqlar altına sərildi, Yerə döşəndi, O yıxılıb ayaqlar altına sərildi, Yıxıldığı yerə sərilib öldü.
07051c00cc	Sisranın anası məhəccər arxasından, Pəncərədən nigaran-nigaran baxıb çığırdı: «Nə üçün onun döyüş arabası bu qədər gecikir? Döyüş arabalarının səsi axı niyə ləngiyir?»
07051d005a	Müdrik əsilzadə xanımlar ona cavab verirdi, O da öz-özünə təkrar-təkrar deyirdi:
07051e015a	«Bəlkə qənimət malını tapıb bölüşdürürlər, Yəqin ki hər igidə bir-iki qız düşür. Sisraya talan malından düşür əlvan geyimlər, Bəli, talan malından naxışlı əlvan geyimlər. Qarət etdiklərinin içindən tapıb bölüşdürdülər, Talançıların boyunları üçün İki tərəfdən əlvan naxışlı geyimlər».
07051f009e	Ya Rəbb, bütün düşmənlərin belə yox olur. Amma səni sevənlər qüdrəti ilə doğan günəş kimi olur! Bundan sonra ölkə qırx il rahat yaşadı.
0706010083	İsrail övladları yenə də Rəbbin gözündə pis işlər gördülər və Rəbb də onları yeddi il Midyanlılara təslim etdi.
07060200c5	Midyanlıların güclü əli İsraillilərin əleyhinə qalxdı və Midyanlıların üzündən İsrail övladları özləri üçün dağlarda sığınacaq yerləri, mağaralar və qalalar qurdular.
070603006d	İsraillilər əkin əkəndə Midyanlılar, Amaleqlilər və şərq xalqları gəlib İsrailə hücum edirdi.
07060400d6	İsraildə ordugah quraraq Qəzzəyə çatana qədər torpağın məhsullarını məhv edirdilər. İstər qoyun, istər öküz, istərsə də eşşək olsun, İsraillilərə dolanmaq üçün heç nə qoymazdılar.
07060500f6	Çünki onlar öz heyvanları və çadırları ilə çıxırdılar. Gələndə isə çəyirtkə kimi o qədər çox gəlirdilər ki, nə özlərinin, nə də dəvələrinin sayı-hesabı olmazdı. Onlar İsraili viran qoymaq üçün gəlirdilər.
0706060078	İsraillilər Midyanlıların əlindən çox yoxsullaşdı. Ona görə də İsrail övladları Rəbbə fəryad qopardı.
0706070046	Midyanlıların əlindən İsrail övladları Rəbbə fəryad edəndə
07060800c4	Rəbb İsrail övladlarına bir peyğəmbər göndərdi. O, İsraillilərə belə dedi: «İsrailin Allahı Rəbb belə deyir: “Mən sizi Misirdən çıxardaraq köləlik diyarından qurtardım.
0706090084	Sizi Misirlilərin və bütün zülmkarların əlindən azad edərək onları qarşınızdan qovdum və torpaqlarını sizə verdim.
07060a00a7	Sizə dedim ki, Allahınız Rəbb Mənəm, torpağında yaşadığınız Emorluların allahlarına sitayiş etməyin. Siz isə Mənim sözümə qulaq asmadınız”».
07060b00be	Rəbbin mələyi gəlib Aviezerli Yoaşın Ofra şəhərindəki palıd ağacının altında durdu. Yoaş oğlu Gideon üzüm sıxılan yerdə Midyanlılardan gizlətdiyi taxılı döyürdü.
07060c0053	Rəbbin mələyi ona görünüb dedi: «Ey cəsur cəngavər, Rəbb səninlədir».
07060d0147	Gideon dedi: «Ah mənim ağam, əgər Rəbb bizimlədirsə, bəs bütün bu işlər başımıza niyə gəldi? Atalarımız “Rəbb bizi Misirdən çıxarmadımı?” deyərək danışdıqları bütün möcüzələr görəsən indi harada qaldı? İndi Rəbb bizi atmışdır, ona görə də bizi Midyanlılara təslim edib».
07060e0089	Rəbb ona tərəf çevrilib dedi: «Bu qüvvətinlə get, İsraili Midyanlıların əlindən qurtar. Səni göndərən Mən deyiləmmi?»
07060f00a6	Gideon ona dedi: «Ey Xudavənd, İsraili mən necə qurtarım? Mənim nəslim Menaşşe qəbiləsində ən zəif nəsildir, mən də atamın evində ən kiçiyəm».
070610007c	Rəbb ona dedi: «Mən mütləq səninlə olacağam və sən də Midyanlıların hamısını bir nəfər kimi qıracaqsan».
0706110085	Gideon dedi: «Əgər indi Sənin gözündə lütf tapmışamsa, mənə bir əlamət göstər, bilim ki, mənimlə danışan Rəbdir.
07061200af	Rica edirəm, mən sənin yanına qurbanımı gətirib təqdim edənə qədər buradan getmə». Rəbb Gideona dedi: «Sən geri qayıdana qədər Mən burada gözləyirəm».
07061300e8	Gideon içəri girdi. Bir oğlaq kəsib bir efa undan mayasız çörəklər bişirdi və əti səbətə qoydu, ətin suyunu isə qazana tökdü. Sonra onları palıd ağacının altına – Rəbbin yanına gətirib Ona təqdim etdi.
0706140099	Allahın mələyi ona dedi: «Əti və mayasız çörəkləri götür, bu qayanın üstünə qoy və ətin suyunu da oraya tök». Gideon belə də etdi.
07061500e6	Rəbbin mələyi əlində olan əsanın ucunu oraya uzadıb ətlə mayasız çörəklərə toxunanda qayadan alov çıxdı və ətlə mayasız çörəkləri udub yox etdi. Sonra Rəbbin mələyi onun gözü önündəcə qeyb oldu.
0706160082	Gideon Onun Rəbbin mələyi olduğunu anlayıb dedi: «Ay aman, ya Xudavənd Rəbb! Mən Sənin mələyinin sifətini gördüm».
070617003b	Rəbb ona dedi: «Salamat qal, qorxma, ölməyəcəksən».
0706180098	Gideon orada Rəbbə bir qurbangah düzəltdi və onun adını Yahve-Şalom qoydu. Bu qurbangah bu günə qədər Aviezerlilərin Ofra şəhərindədir.
07061900c0	Həmin gecə Rəbb Gideona dedi: «Get, atanın ikinci yeddiillik buğasını götür. Sonra get, atanın Baal bütünə düzəltdiyi qurbangahı dağıt və yanındakı Aşera bütünü kəs.
07061a00be	Bu təpənin başında Allahın Rəbbə layiq qurbangah düzəlt. Sonra kəsdiyin Aşeranın ağac bütünə od vuraraq götürdüyün ikinci buğanı yandırma qurbanı olaraq təqdim et».
07061b00cd	Gideon qulluqçularından on nəfəri özü ilə götürüb Rəbbin tapşırdığı kimi etdi. Lakin atasının ev xalqından və şəhər sakinlərindən qorxduğu üçün işi gündüz deyil, gecə etdi.
07061c00eb	Şəhər sakinləri səhər tezdən qalxıb gördülər ki, Baal qurbangahı tamamilə dağıdılıb və yanındakı Aşera bütü kəsilib. Qurulan yeni qurbangah üzərində isə ikinci buğa yandırma qurbanı olaraq təqdim olunub.
07061d00aa	Adamlar bunu görüb bir-birlərinə dedilər: «Görəsən bu işi kim görüb?» Onlar bunu araşdırandan sonra bildilər ki, bu işi görən Yoaşın oğlu Gideondur.
07061e00aa	Şəhər sakinləri Yoaşa dedilər: «Oğlunu buraya gətir ki, öldürülsün. Çünki o, Baalın qurbangahını dağıdıb, yanındakı Aşera bütünü isə kəsib».
07061f013f	Yoaş ona qarşı çıxanların hamısına belə dedi: «Bu Baal bütünün əvəzinə sizmi mübarizə aparacaqsınız? Ya sizmi onu qurtaracaqsınız? Baal üçün mübarizə aparan səhərə qədər öləcək. Əgər o, həqiqətən, allahdırsa, onun qurbangahını dağıdan adamla qoy özü mübarizə aparsın».
0706200098	Bundan sonra «qoy Baal onunla özü mübarizə aparsın, çünki o, Baalın qurbangahını dağıdıb» deyərək Gideonun adını Yerub-Baal qoydular.
0706210094	Bu vaxt bütün Midyanlılar, Amaleqlilər və şərq xalqları bir yerə yığılaraq İordan çayını keçib İzreel vadisində ordugah qurdular.
0706220061	Gideonun üzərinə Rəbbin Ruhu endi və o, şeypur çalıb Aviezerliləri öz yanına yığdı.
07062300b6	O bütün Menaşşeyə qasidlər göndərdi və onları da öz yanına yığdı. Sonra Aşerə, Zevuluna və Naftaliyə qasid göndərdi. Onlar qasidləri qarşılamağa çıxdılar.
0706240052	Gideon Allaha dedi: «Söz verdiyin kimi İsraili mənim əlimlə qurtaracaqsansa,
07062500cc	qoy mən xırmanın üstünə qoyundan qırxılan yun qoyum. Əgər şeh yalnız yunu isladarsa, torpaq isə quru qalarsa, onda biləcəyəm ki, Sən dediyin kimi İsraili mənim əlimlə qurtaracaqsan».
0706260066	Belə də oldu. Gideon ertəsi gün tezdən qalxıb yunu sıxdı. Yundan bir kasa dolu su çıxartdı.
07062700e1	Sonra Gideon Allaha dedi: «Qoy mənə qarşı qəzəbin alovlanmasın, yenə bir ricam var. Bu yunla bir də bu işi sınamaq istəyirəm. İndi də qoy yalnız bu yun quru qalsın və bütün yer şehlə islanmış olsun».
0706280063	Allah o gecə belə də etdi. Bütün torpaq şehə büründü, qırxılmış yun isə quru qaldı.
07070100d2	Yerub-Baal, yəni Gideon və onunla bərabər bütün xalq tezdən durub Xarod çeşməsinin başında ordugah qurdu. Midyan ordugahı isə onların şimal tərəfində More təpəsinin yanındakı vadidə idi.
07070200d0	Rəbb Gideona dedi: «Yanında olan xalqın sayı çoxdur, ona görə Midyanlıları onlara təslim etmirəm. Çünki İsraillilər Mənim qarşımda “öz əlimlə özümü qurtardım” deyib öyünəcək.
07070300ae	İndi sən xalqa bunu eşitdirib de: “Kim qorxudan əsirsə, Gilead dağından geri qayıtsın”». Xalqdan iyirmi iki min nəfəri geri qayıtdı, on min nəfəri qaldı.
0707040122	Rəbb Gideona dedi: «Xalqın sayı yenə də çoxdur, onları su kənarına endir və orada adamları sənin üçün ələkdən keçirəcəyəm. “Bu səninlə gedəcək” dediyim adam səninlə gedəcək və “bu səninlə getməyəcək” dediyim bütün adamlar isə getməyəcək».
07070500db	Gideon xalqı su kənarına endirəndə Rəbb ona dedi: «Suyu it kimi dili ilə içənlərin hamısını bir tərəfə, su içmək üçün dizüstü oturanların hamısını isə o biri tərəfə ayırıb yığarsan».
07070600a2	Əllərini ağızlarına aparıb suyu dili ilə içənlərin sayı üç yüz nəfər oldu. Lakin xalqın qalan hissəsi su içmək üçün dizüstü yerə oturdu.
07070700b8	Rəbb Gideona dedi: «Sizi dili ilə su içən bu üç yüz nəfərlə qurtaracağam və Midyanlıları sənə təslim edəcəyəm. Qoy xalqın qalan hissəsi öz yerinə qayıtsın».
070708010e	Bu üç yüz adam xalqın azuqəsini və şeypurlarını əlindən aldı. Gideon qalan İsraillilərin hamısını bir nəfər kimi öz evlərinə göndərdi və üç yüz nəfəri yanında saxladı. Midyan ordugahı Gideonun olduğu yerin aşağısındakı vadidə idi.
070709005e	O gecə Rəbb ona dedi: «Qalx, Midyan ordugahına en, çünki onları sənə təslim edirəm.
07070a0047	Əgər ordugaha enməyə qorxursansa, nökərin Pura ilə bərabər en.
07070b00bd	Orada sən onların söhbətini eşidəcəksən, onda qüvvət alıb ordugaha enərsən». O zaman Gideon və nökəri Pura ordugahın kənarında olan silahlı adamların yanına endilər.
07070c00bd	Vadiyə yığılan Midyanlılar, Amaleqlilər və bütün şərq xalqlarının sayı çəyirtkə qədər çox idi. Dəvələrinin isə dəniz sahilindəki qum qədər sayı-hesabı yox idi.
07070d0123	Gideon gəlib gördü ki, bir nəfər yoldaşına öz yuxusunu danışır və belə deyir: «Bax yuxumda görmüşəm ki, arpa unundan bişirilmiş bir yumru çörək yuvarlanaraq Midyan ordugahına girib çadıra çatdı, çadırı vurub yıxaraq alt-üst etdi və çadır yerə sərildi».
07070e00a0	Yoldaşı ona cavab verdi: «Bu İsrailli Yoaş oğlu Gideonun qılıncından başqa bir şey deyil. Allah Midyanı və bütün ordugahını ona təslim edib».
07070f00c0	Gideon yuxu danışan adamın hekayəsini və yozumunu eşidəndə Allaha səcdə qıldı və İsrail ordugahına qayıdıb dedi: «Qalxın, çünki Rəbb Midyan ordusunu bizə təslim edib».
0707100096	Yanında olan üç yüz nəfəri üç dəstəyə ayırdı. Hamısının əlinə şeypurlar, boş dolçalar və dolçanın içində məşəllər verdi.
070711009c	Onlara tapşırdı ki, «mənə baxın, mən necə edirəmsə, siz də elə edin. Bax mən ordugahın kənarına çatan zaman nə etsəm, siz də elə edin.
07071200c6	Mən və mənimlə bərabər olanların hamısı şeypur çalan kimi siz də ordugahın bütün ətrafında şeypurlarınızı çalın və “Rəbb üçün və Gideon üçün!” deyə bağırın».
07071300e0	Gideonla yanında olan yüz nəfər kişi orta növbəsinin başlanğıcında – növbətçilər təzə dəyişən zaman ordugahın kənarına çatdılar. Onlar şeypurlarını çalıb əllərindəki dolçaları qırdılar.
07071400be	Üç dəstə də şeypur çalıb dolçaları qırdı, sol əllərində məşəl, sağ əllərində isə çaldıqları şeypuru tutub «Rəbbin və Gideonun qılıncı!» deyə bağırdılar.
0707150085	Ordugahın ətrafında hamı öz yerində dayandı və bütün Midyan ordusuna vurnuxma düşdü. Onlar bağıra-bağıra qaçdılar.
07071600f3	Üç yüz nəfər şeypur çalanda Rəbb düşmən ordugahındakıların qılıncını bir-birinə qarşı qaldırdı. Düşmən ordusu Sereraya doğru – Bet-Şittaya qədər, Tabbatın yanında olan Avel-Mexola sərhədinə qədər qaçdı.
0707170068	Naftalidən, Aşerdən və bütün Menaşşedən çağırılmış İsraillilər Midyanlıları qovdular.
0707180123	Gideon bütün Efrayimin dağlıq bölgəsinə qasid göndərib dedi: «Enin, Midyanlılara hücuma keçin. Onların yolunu kəsmək üçün Bet-Baraya qədər İordan çayının sularını tutun». Bütün Efrayimlilər yığılıb Bet-Baraya qədər İordan çayının sularını tutdular.
07071900e8	Sonra iki Midyan başçısı Orevlə Zeevi tutdular. Orevi Orev qayasında, Zeevi isə Zeev üzümsıxanında öldürdülər. Midyanlıları qovdular və İordan çayını keçərək Orevlə Zeevin başlarını Gideona gətirdilər.
07080100b9	Efrayimlilər Gideona dedilər: «Bu nə işdir başımıza gətirdin? Midyanlılarla döyüşə gedəndə niyə bizi çağırmadın?» Bundan ötrü onunla kəskin mübahisə etdilər.
07080200c0	Gideon onlara dedi: «Axı sizin gördüyünüz işlərin yanında indi gördüyüm bu iş nədir ki? Efrayimin üzüm başaqları Aviezerin üzüm bağının məhsullarından yaxşı deyilmi?
07080300cd	Midyan başçıları olan, Orevi və Zeevi Allah sizə təslim etdi. Axı sizin gördüyünüz işlərin yanında mən nə edə bilmişəm?» Bunu deyəndən sonra Efrayimlilərin ona olan qəzəbi yatdı.
07080400bb	Gideon İordan çayına çatdı, özü və yanındakı üç yüz nəfərlə bərabər çayı keçdilər. Onlar yorulmaqlarına baxmayaraq düşmənləri təqib etməkdə davam edirdilər.
07080500e4	O gəlib Sukkot adamlarının yanına çataraq dedi: «Rica edirəm, arxamca gələn adamlara bir parça çörək verin, çünki taqətdən düşüblər. Mən isə Midyan padşahları Zevah və Salmunnanın ardınca qaçıram».
070806008e	Sukkot başçıları ona dedilər: «Zevah və Salmunnanın biləyi indi sənin əlindədir ki, sənin döyüşçülərinə çörək verək?»
07080700ac	Gideon onlara dedi: «Elə buna görə sizə deyirəm ki, Rəbb Zevah və Salmunnanı mənə təslim edəndə çölün tikanları və kolları ilə ətinizi didəcəyəm».
07080800ad	Oradan gəlib Penuelə çıxdı və oradakılardan da eyni şeyi istədi. Sukkot sakinləri necə ona cavab vermişdilərsə, Penuel sakinləri də ona elə cavab verdilər.
0708090077	Gideon Penuel sakinlərinə isə belə dedi: «Sağ-salamat geriyə qayıtdığım zaman bu qülləni dağıdacağam».
07080a00d1	Zevahla Salmunna və bütün şərq xalqlarının ordusundan sağ qalan təxminən on beş min nəfərlik bir ordu Qarqorda idi. Onların ordusundan yüz iyirmi min qılınc gəzdirən adam yerə sərilmişdi.
07080b0083	Gideon Novah və Yoqbohanın şərqindən – köçərilərin yolundan keçərək laqeyd dayanan düşmən ordugahına hücum etdi.
07080c008f	Zevah və Salmunna qaçdı. Gideon isə onları təqib etdi. O, Midyanın iki padşahı Zevahla Salmunnanı tutub bütün ordunu məğlub etdi.
07080d003d	Yoaş oğlu Gideon Xeres keçidi ilə döyüşdən qayıtdı.
07080e008c	Sukkot sakinlərindən bir cavanı tutub ondan söz aldı. O da ona Sukkot başçısı olan yetmiş yeddi ağsaqqalın adını yazıb verdi.
07080f00e2	Gideon Sukkot sakinlərinin yanına gəlib dedi: «“Zevah və Salmunnanın biləyi sənin əlindədir ki, sənin yorğun adamlarına çörək verək?” deyərək məni ələ salırdınız. Budur, bu da Zevah və Salmunna!»
070810007b	Sonra o, şəhər ağsaqqallarını topladı və Sukkot sakinlərini çöl tikanları və kollarla döyərək tənbeh etdi.
0708110059	Bundan sonra da gəlib Penuel qülləsini dağıtdı və şəhərin sakinlərini qırdı.
07081200a7	Gideon Zevah ilə Salmunnaya dedi: «Tavorda öldürdüyünüz adamlar necə adamlar idi?» Onlar dedilər: «Hamısı sənin kimi padşah oğullarına oxşayırdı».
07081300a2	Gideon dedi: «Onlar mənim qardaşlarım, anamın oğulları idi. Var olan Rəbb haqqı, əgər siz onları sağ buraxsaydınız, mən də sizi öldürməzdim».
0708140089	İlk oğlu Yeterə dedi: «Qalx onları öldür». Lakin oğlan qılıncını çəkmədi, çünki hələ cavan olduğuna görə qorxurdu.
07081500d2	Zevah və Salmunna dedilər: «Dur, bizi sən vur, çünki kişi güclü olar». Gideon qalxıb Zevahla Salmunnanı öldürdü və sonra onların dəvələrinin boyunlarından asılan ayparalarını götürdü.
0708160083	İsraillilər Gideona dedilər: «Sən, oğlun və nəvən bizə hakimlik edin. Çünki bizi Midyanın əlindən sən qurtardın».
0708170080	Gideon onlara dedi: «Nə mən sizin üstünüzdə hakimlik edəcəyəm, nə də oğlum. Sizə hökmranlığı Rəbb edəcək».
07081800d5	Sonra Gideon onlara dedi: «Ancaq sizdən bir ricam var ki, götürdüyünüz talan malından hər kəs mənə bir sırğa versin». Çünki düşmənlər İsmailli olduqları üçün qızıl sırğa taxırdılar.
07081900b0	Onlar Gideona dedilər: «Bunu məmnuniyyətlə verərik». Onlar yerə bir paltar sərdilər və hamı talan malından götürdüyü sırğaları bu paltarın üstünə atdı.
07081a00d9	Ayparalardan, boyunbağılardan, Midyan padşahlarının əynindəki tünd qırmızı paltarlardan və dəvələrin boynundakı zəncirlərdən əlavə bu qızıl sırğaların çəkisi min yeddi yüz şekel gəlirdi.
07081b00e2	Gideon onlardan bir efod düzəltdi və onu öz şəhərində Ofrada qoydu. Bundan sonra bütün İsraillilər orada bu efoda səcdə etməklə Rəbbə xəyanət etdilər. Bu efod Gideon və onun külfəti üçün tələ oldu.
07081c008e	Midyanlılar İsrail övladlarına tabe olub bir daha başlarını qaldıra bilmədilər. Gideonun dövründə ölkə qırx il rahat yaşadı.
07081d003c	Yoaş oğlu Yerub-Baal qayıdıb yenə öz evində yaşadı.
07081e0047	Onun belindən gələn yetmiş oğlu var idi, çünki arvadı çox idi.
07081f005d	Şekemdə olan cariyəsi də ona bir oğul doğdu və Yerub-Baal onun adını Avimelek qoydu.
070820008f	Yoaş oğlu Gideon uzun və yaxşı ömür sürüb öldü. O, Aviezerlilərin Orfa şəhərində atası Yoaşın məqbərəsində dəfn olundu.
07082100a7	Gideonun vəfatından sonra İsrail övladları yenə də Baal bütlərinə sitayiş edərək Rəbbə xəyanət etdilər. Onlar Baal-Beriti özlərinə allah etdilər.
0708220089	İsrail övladları ətraflarındakı bütün düşmənlərinin əlindən onları azad edən özlərinin Allahı Rəbbi yada salmadılar.
0708230086	Yerub-Baalın, yəni Gideonun İsraillilərə etdiyi bütün xeyirxahlığın əvəzinə onun nəsli ilə yaxşı rəftar etmədilər.
0709010071	Yerub-Baalın oğlu Avimelek Şekemə, dayılarının yanına getdi. Onlara və bütün ana nəslinə belə dedi:
07090200f4	«Rica edirəm, bütün Şekem başçılarına bunu eşitdirib deyin: “Sizin üçün hansı yaxşıdır, Yerub-Baalın yetmiş oğlu sizə hakimlik etsin, yoxsa bir nəfər? Unutmayın ki, mən sizin sümüyünüzdən və ətinizdənəm”».
07090300b7	Dayıları onun söylədiyi bu sözləri bütün Şekem əhalisinə çatdırdı. Bundan sonra onların da könülləri Avimelekə meyl etdi və «o bizim soydaşımızdır» dedilər.
07090400ae	Ona Baal-Beritin ibadət evindən yetmiş şekel gümüş verdilər. Avimelek isə özünə muzdla yaramaz və macəraçı adamlar tutdu. Onlar Avimelekin ardınca getdilər.
07090500d6	Avimelek Ofraya – öz ata evinə gəldi və qardaşları Yerub-Baalın yetmiş oğlunu bir daş üstündə öldürdü. Təkcə Yerub-Baalın kiçik oğlu Yotam sağ qalmışdı, ona görə ki gizlənə bilmişdi.
070906009c	Bütün Şekem və Bet-Millo əhalisi toplaşaraq gedib Şekemdə daş sütunun yanındakı palıd ağacının yaxınlığında Avimeleki padşah elan etdi.
07090700bb	Bu xəbər Yotama çatanda o gedib Gerizim dağının təpəsində durdu və bərkdən çığırıb onlara belə dedi: «Ey Şekem sakinləri, məni dinləyin ki, Allah da sizi dinləsin.
070908009a	Günlərin bir günündə bütün ağaclar özləri üçün padşah məsh etməkdən ötrü gedib zeytun ağacına dedilər: “Bizim padşahımız ol”.
070909008c	Zeytun ağacı dedi: “Allahın və insanın şərəfi üçün məndən alınan yağı ataraq ağacların üstündəmi sallanıb qalım?”
07090a004b	Sonra ağaclar əncir ağacına dedilər: “Gəl sən bizə padşah ol”.
07090b007a	Əncir ağacı onlara dedi: “Şirinliyimi və gözəl meyvələrimi ataraq ağacların üstündəmi sallanıb qalım?”
07090c0051	Bu dəfə ağaclar üzüm tənəyinə dedilər: “Gəl sən bizə padşah ol”.
07090d0093	Üzüm tənəyi isə onlara dedi: “Allahı və insanları sevindirən təzə şərablarımı ataraq ağacların üstündəmi sallanıb qalım?”
07090e0060	Nəhayət, bütün ağaclar gəlib yabanı göyəmə dedilər: “Gəl sən bizə padşah ol”.
07090f00fa	Yabanı göyəm dedi: “Əgər, həqiqətən, siz məni özünüzə padşah olaraq məsh edirsinizsə, gəlin mənim kölgəmə sığının. Belə olmazsa, qoy yabanı göyəmdən alov çıxsın və Livanın sidr ağaclarını yandırıb-yaxsın”.
07091000bc	Baxın Avimeleki padşah etməkdə haqq niyyət və doğruluqla iş gördünüzmü? Siz Yerub-Baala və onun nəslinə qarşı yaxşı iş gördünüzmü? Münasibətiniz atama layiqdirmi?
070911006c	Axı atam sizin üçün döyüşdü və öz canını təhlükəyə atıb sizi Midyanın əlindən qurtardı.
07091200e0	Siz isə bu gün atamın nəslinin əleyhinə çıxıb yetmiş oğlunu bir daş üstündə öldürdünüz və sonra cariyəsindən olan oğlu Avimeleki Şekem əhalisinin padşahı etdiniz, çünki o sizin soydaşınızdır.
070913009f	Əgər bu gün Yerub-Baalla onun nəsli üçün haqq niyyətlə və doğruluqla rəftar etdinizsə, onda bu Avimeleklə sevinin və qoy o da sizinlə sevinsin.
070914008f	Yoxsa qoy Avimelekdən alov çıxıb Şekem başçılarını və Bet-Millo əhalisini yox etsin, onlardan da od çıxıb Avimeleki yox etsin».
0709150066	Yotam qaçıb aradan çıxdı və Beerə getdi. Qardaşı Avimelekdən qorxduğu üçün orada qaldı.
0709160037	Avimelek üç il İsrail üzərində başçılıq etdi.
0709170080	Sonra Allahın izni ilə Avimeleklə Şekem əhalisinin arasına şər ruh girdi və onlar Avimelekə xəyanətlə yanaşdılar.
07091800ec	Bu ona görə baş verdi ki, həm Avimelek Yerub-Baalın yetmiş oğluna qarşı etdiyi günahın cəzasını çəksin, həm də Avimelekdən və onu bu qətlə sövq edən Şekem əhalisindən tökdükləri qanların qisası alınsın.
070919009f	Şekem əhalisi dağların başında Avimelekə qarşı pusqu qurub yolda yanlarından keçənlərin hamısını soyurdular. Bunu Avimelekə xəbər verdilər.
07091a0071	Evedin oğlu Qaal və qardaşları gəlib Şekemdə məskunlaşdılar. Şekem əhalisi də ona etimad göstərdi.
07091b00b7	Onlar çölə, bağlara gedib üzüm yığdılar. Sonra bu üzümləri əzib şənlik qurdular və öz allahlarının ibadətgahına gedərək yeyib-içib Avimelekə lənət oxudular.
07091c0101	Eved oğlu Qaal dedi: «Avimelek kimdir ki, biz Şekem sakinləri ona xidmət edək? Yerub-Baalın oğlu deyilmi? Onun müavini də Zevul deyilmi? Gəlin Şekemin atası Xamorun adamlarına xidmət edin! Axı nəyə görə biz Avimelekə xidmət etməliyik?
07091d0081	Kaş bu xalq mənim əlimdə olaydı! O zaman Avimeleki qovardım». Sonra Qaal Avimelekə dedi: «Ordunu yığ, meydana çıx!»
07091e0068	Şəhər başçısı Zevul Evedin oğlu Qaalın bu sözlərini eşidəndə qəzəbdən alışıb yandı.
07091f00a8	Hiylə işlədərək Avimelekin yanına qasidlər göndərib dedi: «Budur, Eved oğlu Qaal ilə qardaşları Şekemə gəlib şəhəri sənin əleyhinə qaldırırlar.
0709200042	İndi sən və adamların bu gecə qalxıb çöldə pusquda durun.
070921009b	Səhər açılanda günəş doğar-doğmaz qalxıb şəhərə hücum edərsən. Bax Qaal ilə adamları sənə qarşı çıxarkən əlindən gələni et».
070922006f	Avimeleklə adamları gecə ikən qalxdılar və dörd dəstə olub Şekemin yaxınlığında pusquda durdular.
0709230075	Eved oğlu Qaal çıxıb şəhər darvazasının giriş yerində duranda Avimelek və adamları pusqudan çıxdılar.
07092400a9	Qaal onları görüb Zevula dedi: «Bax dağların təpəsindən bir dəstə xalq enir». Zevul ona dedi: «Gördüyün dağların kölgəsidir, adamlara oxşadırsan».
0709250092	Qaal sözünə davam edərək dedi: «Bax ölkənin orta hissəsindən xalq enir. Gələcəyideyənlər palıdı yolundan da bir dəstə gəlir».
07092600c4	O zaman Zevul ona dedi: «“Avimelek kimdir ki, biz ona xidmət edək” deyə lovğalanan dilin haradadır? Həqarətlə baxdığın xalq bu xalq deyilmi? İndi meydana çıx, onunla döyüş».
0709270044	Qaal Şekem əhalisinin qabağına çıxıb Avimeleklə döyüşdü.
0709280083	Avimelek onu qovdu, Qaal onun qabağından qaçdı. Adamların çoxu yaralanaraq darvazanın giriş yerinə qədər yerə sərildi.
