2800000008	Matthieu
2a0c1e006b	Oui, tout cela les païens du monde s'en enquièrent; mais, vous, votre Père sait que vous en avez besoin.
2a0c1f0052	Cherchez seulement son Royaume et ces choses vous seront données par surcroît.»
2a0c200057	Ne crains point, petit troupeau; car il a plu à votre Père de vous donner le Royaume.
2a0c2100dc	Vendez ce que vous possédez et le donnez en aumônes. Faites-vous des bourses inusables; faites-vous un trésor qui ne vous fasse point défaut dans les cieux, dont le voleur n'approche pas, que le ver ne détruise pas.
2a0c22003c	Car là où est votre trésor, là sera aussi votre coeur.»
2a0c230036	«Que vos reins soient ceints et vos lampes allumées.
2a0c2400a2	Que vous soyez semblables à des hommes qui attendent leur maître revenant du festin de noce, afin de lui ouvrir aussitôt qu'il arrivera et dès qu'il frappera.
2a0c2500e3	Heureux ces serviteurs que le maître, en arrivant, trouvera veillant de la sorte; je vous le dis en vérité, c'est lui qui se ceindra, qui les fera asseoir à table et qui, passant de l'un à l'autre, se mettra à les servir.
2a0c260082	Qu'il rentre à la seconde veille, qu'il rentre à la troisième, heureux seront ces serviteurs, s'il les trouve veillant ainsi!»
2a0c270089	Sachez ceci: Si le maître de la maison savait à quelle heure doit venir le voleur, il veillerait et ne laisserait pas forcer sa maison.
2a0c280072	Vous aussi, soyez prêts, parce que c'est à une heure où vous n'y penserez pas que le Fils de l'homme viendra.»
2a0c29006f	Pierre lui demanda: «Est-ce pour nous, Seigneur, que tu dis cette parabole ou également pour tout le monde?»
2a0c2a00b5	Le Seigneur lui répondit: «Quel est l'administrateur. fidèle et prudent que le maître établira sur ses domestiques pour donner à chacun, au moment voulu, sa mesure de froment?
2a0c2b005b	C'est celui que le maître, à son arrivée, trouvera agissant ainsi; heureux ce serviteur!
2a0c2c0047	En vérité, je vous le dis, le maître l'établira sur tous ses biens.
2a0c2d009f	Mais si ce serviteur dit en son coeur: «Mon maître tarde à venir», et qu'il se mette à battre valets et servantes, à manger et à boire, et à s'enivrer,
2a0c2e00b4	son maître surviendra au jour où ce Serviteur ne s'y attend pas et à une heure qu'il ignore et il le déchirera à coups de verge, et lui donnera le même lot qu'aux infidèles.
2a0c2f0080	Ce serviteur qui connaissait la volonté de son maître et n'a rien préparé ni agi selon sa volonté, recevra plusieurs coups.
2a0c3000f3	Quant à celui qui n'a pas connu cette volonté et a fait des choses qui méritent des coups, il en recevra peu. A quiconque beaucoup a été donné, beaucoup sera demandé; et de celui à qui on a beaucoup confié, il sera exigé davantage.»
2a0c31005b	«Je suis venu mettre le feu sur la terre! Ah! que je voudrais qu’il fût déjà allumé!
2a0c320070	Il est un baptême dont je dois être baptisé, et dans quelle angoisse je suis jusqu'à ce qu'il soit accompli!
2a0c33005d	Croyez-vous que je sois venu donner la paix à la terre? Non, vous dis-je, c'est la division.
2a0c340078	Car, désormais, cinq personnes étant dans une maison, elles seront partagées: trois contre deux et deux contre trois.
2a0c3500d0	Seront divisés: un père contre son fils et un fils contre son père; une mère contre sa fille et une fille contre sa mère; une belle-mère contre sa belle-fille et une belle-fille contre sa belle-mère.»
2a0c360098	Il disait aussi aux multitudes: «Lorsque vous voyez, au couchant, un nuage apparaître, vous dites aussitôt: la pluie arrive, et elle arrive en effet.
2a0c370059	Lorsque c'est le vent du midi qui souffle, vous dites: il fera chaud; et il en est ainsi.
2a0c380087	Hypocrites, vous savez apprécier l'aspect de la terre et du ciel, comment ne savez? vous pas apprécier aussi le temps où vous êtes,
2a0c39004a	et pourquoi ne jugez-vous pas aussi par vous-mêmes de ce qui est juste?»
2a0c3a00f4	«Pendant que tu vas devant un magistrat avec ton adversaire, tâche, en chemin, de sortir d'affaire avec lui, de peur qu'il ne te traîne devant le juge, et que le juge ne te livre au réclamateur, et que le réclamateur ne te jette en prison.
2a0c3b005b	Tu n'en sortiras pas, je te le déclare, que tu n'aies payé jusqu'à la dernière obole.»
2a0d0100a9	Vers cette même époque, quelques-uns vinrent lui raconter ce qui s'était passé au sujet des Galiléens dont Pilate avait mêlé le sang à celui de leurs sacrifices.
2a0d0200a6	Voici ce qu'il leur répondit: «Croyez-vous que ces Galiléens fussent de plus grands pécheurs que tous leurs compatriotes, parce qu'il leur est arrivé ce malheur?
2a0d03005e	Non, je vous le déclare; mais si vous ne vous repentez pas, vous périrez tous semblablement.
2a0d0400b6	Comme ces dix-huit personnes sur qui s'écroula la tour près du Siloam, et qui furent tuées, croyez-vous que leur dette dépassât celle de tous les autres habitants de Jérusalem?
2a0d05005f	non, je vous le déclare, mais si vous ne vous repentez pas, vous périrez tous pareillement.»
2a0d060087	Il leur raconta cette parabole: «Un homme avait un figuier planté dans sa vigne; il vint y chercher du fruit, mais n'en trouva point.
2a0d0700b4	Voilà trois ans, dit-il alors au vigneron, que je, viens chercher du fruit sur ce figuier, et que je n'en trouve point; coupe-le; pourquoi épuise-t-il la terre inutilement?» —
2a0d080075	«Seigneur, lui répondit le vigneron, laisse-le encore cette année; je bêcherai tout autour, je mettrai du fumier;
2a0d090048	peut-être portera-t-il du fruit dans l'avenir; sinon, tu le couperas.»
2a0d0a0039	Un jour de sabbat, il enseignait dans une des synagogues.
2a0d0b009e	Une femme était là, possédée d'un Esprit qui la tenait infirme depuis dix-huit ans. Elle était toute courbée, et ne pouvait absolument pas se redresser.
2a0d0c0077	Quand Jésus la vit, il l'appela et lui dit: «Femme, tu es délivrée de ton infirmité», et il lui imposa les mains.
2a0d0d0048	Immédiatement elle redevint droite. Cette femme rendait gloire à Dieu,
2a0d0e0113	lorsque le chef de la synagogue se mit à parler avec indignation de ce que Jésus guérissait pendant le sabbat. Il y a six jours pendant lesquels on doit travailler, disait-il à la foule: «Venez, ces jours-là, vous faire guérir; mais le jour du sabbat, non point.» —
2a0d0f00a7	«Hypocrites, dit le Seigneur en lui répondant, est-ce que chacun de vous, le jour du sabbat, ne détache pas du râtelier son boeuf ou son âne pour les mener boire?
2a0d1000a7	Et cette femme, qui est une fille d'Abraham, que, depuis dix-huit années, Satan tenait garrottée, ne fallait-il pas, le jour du sabbat, la délivrer de sa chaîne?»
2a0d11009a	Ces paroles couvrirent de confusion tous ses adversaires. Quant à la foule, elle était dans la joie de toutes les choses glorieuses qu'il accomplissait.
2a0d120058	Alors il disait: «A quoi est semblable le Royaume de Dieu, et à quoi le comparerai-je?
2a0d1300b9	Il est semblable à un grain de sénevé qu'un homme a pris et a jeté dans son jardin; il a crû, il est devenu un arbre et les oiseaux du ciel ont fait leurs nids dans ses branches.»
2a0d140039	Il dit encore: «A quoi comparerai-je le Royaume de Dieu?
2a0d150094	Il est semblable à du levain qu'une femme prend, et qu'elle cache dans trois mesures de farine, jusqu'à ce que le levain ait partout pénétré.»
2a0d16004f	Il traversait villes et villages en enseignant, et s'avançait vers Jérusalem.
2a0d170076	Quelqu'un lui dit: «Seigneur, sera-ce un petit nombre seulement qui sera sauvé?» Il répondit à lui et aux autres:
2a0d180081	«Efforcez-vous d'entrer par la porte étroite, car beaucoup, je vous le déclare, chercheront à entrer et n'y parviendront pas.
2a0d1900da	Quand le maître de maison se sera levé et aura fermé la porte, quand vous, restés dehors, vous vous mettrez à frapper et à dire: «Seigneur, ouvre-nous», quand il vous répondra: «Je ne sais d'où vous êtes»,
2a0d1a007f	alors vous vous mettrez à dire: «Nous avons mangé et bu devant toi, et c'est sur nos places publiques que tu as enseigné.»
2a0d1b0079	Et il dira: «Je vous déclare que je ne sais d'où vous êtes: Éloignez-vous de moi, vous tous, ouvriers d'iniquité.»
2a0d1c00da	«C'est là que seront les pleurs et le grincement des dents, alors que vous verrez dans le Royaume de Dieu et Abraham, et Isaac, et Jacob, et tous les prophètes, et que, vous-mêmes, vous vous verrez chassés dehors.
2a0d1d006a	De l'Orient, de l'Occident, du Nord, du Midi, on viendra et on se mettra à table dans le Royaume de Dieu.
2a0d1e0069	Et il se trouvera des derniers qui seront premiers, et il se trouvera des premiers qui seront derniers.»
2a0d1f0073	A ce moment-là quelques Pharisiens vinrent lui dire: «Éloigne-toi, pars d'ici, Hérode veut te mettre à mort.»
2a0d2000af	Il leur répondit: «Allez dire à ce renard, qu'aujourd'hui et demain je chasserai des démons et guérirai des malades, et que le troisième jour tout pour moi se terminera.
2a0d210094	Mais il faut qu'aujourd'hui, demain et le jour suivant je sois en marche, car il n'est pas admissible qu'un prophète périsse hors de Jérusalem.»
2a0d2200db	«Jérusalem! Jérusalem! qui tues les prophètes et qui lapides ceux qui te sont envoyés, combien de fois ai-je voulu rassembler tes enfants comme la poule rassemble sa couvée sous ses ailes, et tu ne l'as pas voulu!
2a0d2300b1	Eh bien, votre demeure vous est laissée! Je vous déclare que vous ne me verrez pas jusqu'à ce qu'il arrive que vous disiez: «Béni soit celui qui vient au nom du Seigneur!»
2a0e010095	Jésus était entré dans la maison d'un des principaux Pharisiens, pour y prendre un repas; c'était un jour de sabbat. Aussi chacun l'observait-il,
2a0e020034	car il y avait là, devant lui, un homme hydropique.
2a0e03009c	Jésus s'adressa aux légistes et aux Pharisiens. «Est-il permis, oui ou non, de guérir le jour du sabbat?» leur demanda-t-il. Ils gardèrent le silence.
2a0e040044	Alors il toucha de la main l'hydropique, le guérit et le congédia.
2a0e0500a8	Puis, s'adressant toujours à eux, il dit: «Lequel d'entre vous, si son fils ou son boeuf vient à tomber dans un puits, un jour de sabbat, ne l'en retire aussitôt?»
2a0e060023	A cela ils ne surent que répondre.
2a0e070063	Ayant remarqué que les convives choisissaient les premières places, il leur raconta une parabole:
2a0e0800be	«Quand tu seras invité par quelqu'un à des noces, dit-il, ne va pas t'installer à la première place, de peur qu'un personnage plus considérable que toi, se trouvant parmi les invités,
2a0e09009b	celui qui vous a conviés l'un et l'autre ne vienne te dire: «Donne-lui ta place» et que tu n'aies alors la confusion d'aller occuper la dernière place.
2a0e0a00de	Tout au contraire, quand tu seras invité, va te mettre à la dernière place, et alors, quand arrivera celui qui t'a invité, il te dira: «Mon ami, monte plus haut.» Ce sera pour toi un honneur devant tous les convives;
2a0e0b0061	car quiconque s'élève lui-même sera abaissé, et quiconque s'abaisse lui-même sera élevé.»
2a0e0c00f7	Il disait aussi à son hôte: «Quand tu donnes à déjeuner ou à dîner, ne convoque ni tes amis, ni tes frères, ni tes parents, ni tes riches voisins, de crainte qu'ils ne t'invitent à leur tour et ne te rendent ce qu'ils auront reçu de toi.
2a0e0d006f	Tout au contraire, quand tu fais un festin, appelles-y des pauvres, des infirmes, des estropiés, des aveugles.
2a0e0e007b	Heureux seras-tu, parce qu'ils n'ont pas de quoi te rendre ce festin; et il te sera rendu à la résurrection des justes.»
2a0e0f0061	A ces mots, un des convives lui dit: «Heureux qui sera du banquet dans le Royaume de Dieu!» —
2a0e100051	«Un homme, lui dit Jésus, donna un grand dîner, et y convia beaucoup de monde.
2a0e110063	A l'heure du repas, il envoya son serviteur dire aux invités: «Venez, parce que tout est prêt.»
2a0e120038	Mais tous, comme de concert, commencèrent à s'excuser.
2a0e1300fd	«J'ai acheté un champ, dit le premier, il est de toute nécessité que j'aille le voir. Je t'en prie, tiens-moi pour excusé.» — «J'ai acheté cinq paires de boeufs, dit un autre, et je vais les essayer. Je t'en prie, tiens-moi pour excusé.» —
2a0e140040	«J'ai pris femme, dit un autre encore, donc je ne puis venir.»
2a0e150109	Le serviteur revint et raconta cela à son maître. Se mettant en colère, le maître de maison dit alors à son serviteur: «Parcours à la hâte les places publiques et les rues de la ville, et amène ici les pauvres, les infirmes, les aveugles, les estropiés.»
2a0e160068	Quand le serviteur lui dit: «Seigneur, on a fait ce que tu as ordonné», et il y a encore de la place,
2a0e170084	le maître lui répondit: «Va dans les chemins et le long des haies et contrains les gens d'entrer, afin que ma maison soit pleine.
2a0e180071	Je vous le déclare, en effet, aucun de ces hommes qui étaient «les invités» ne prendra part à mon festin.»
2a0e190048	Il était suivi de foules immenses; il se tourna vers elles et leur dit:
2a0e1a00bb	«Si quelqu'un vient à moi et ne hait pas et son père et sa mère, et sa femme et ses enfants, et ses frères et ses soeurs, plus encore: sa propre vie, il ne peut être mon disciple.»
2a0e1b005e	«Celui qui ne porte pas sa croix, et ne marche pas à ma suite, ne peut être mon disciple.»
2a0e1c008f	«Quel est celui d'entre vous qui, voulant bâtir une tour, ne réfléchisse d'abord, ne calcule la dépense, ne voie s'il a de quoi l'achever?
2a0e1d007c	Il craindrait, après avoir jeté les fondements, de ne pouvoir achever. Tous ceux qui verraient cela se moqueraient de lui.
2a0e1e006d	«Le voilà, diraient-ils, l'homme qui a commencé à bâtir et quia été dans l'impossibilité d'achever!»
2a0e1f00ea	«Quel est encore le roi, sur le point de faire la guerre à un autre roi, qui ne réfléchisse d'abord, qui n'examine s'il est capable, avec dix mille hommes, de marcher à la rencontre de celui qui s'avance sur lui avec vingt mille?
2a0e200077	S'il en est incapable, alors que l'ennemi est encore loin, il lui envoie une ambassade avec des propositions de paix.»
2a0e21005e	«Ainsi donc, quiconque ne renonce pas à tout ce qu'il possède ne peut être mon disciple.»
2a0e220050	«Le sel est bon; mais si le sel s'affadit, avec quoi lui rendra-t-on sa saveur?
2a0e23008d	Il n'est plus propre à rien, ni pour la terre, ni pour le fumier. On le jette dehors. Que celui qui a des oreilles pour entendre, entende.»
2a0f01004b	Les publicains et les pécheurs s'approchaient tous de lui pour l'entendre.
2a0f02007c	Les Pharisiens et les Scribes en murmuraient: «Cet homme, disaient-ils, fait accueil à des pécheurs, et mange avec eux.»
2a0f03002b	Alors il leur répondit par cette parabole:
2a0f0400cf	«Si l'un de vous a cent brebis et qu'il en égare une, ne laisse-t-il pas dans le déserta les quatre-vingt-dix-neuf autres, pour aller chercher celle qui s'est égarée, jusqu'à ce qu'il l'ait retrouvée?
2a0f050045	Et quand il l'a retrouvée, il la met, tout joyeux, sur ses épaules;
2a0f060090	et s'en allant en sa maison, il appelle ses amis et ses voisins et leur dit: «Réjouissez-vous avec moi, car j'ai retrouvé ma brebis perdue.»
2a0f0700ca	C'est ainsi, je vous le déclare, qu'il y aura de la joie dans le ciel; il y en aura davantage pour un seul pécheur repentant que pour quatre-vingt-dix-neuf justes qui n'ont pas besoin de repentance.»
2a0f0800cd	«Soit encore une femme qui possède dix drachmes. Si elle en perd une, est-ce qu'elle n'allume pas une lampe, ne balaye pas la maison, ne la cherche pas soigneusement jusqu'à ce qu'elle l'ait retrouvée?
2a0f0900a2	Et quand elle l'a retrouvée, elle appelle ses amies et ses voisines et leur dit: «Réjouissez-vous avec moi, car j'ai retrouvé la drachme que j'avais perdue.»
2a0f0a0078	C'est ainsi, je vous le déclare, qu'il y a de la joie en présence des anges de Dieu pour un seul pécheur repentant.»
2a0f0b002a	Il dit encore: «Un homme avait deux fils;
2a0f0c007d	le plus jeune dit à son père: «Père, donne-moi la part de fortune qui me revient.» Et le père leur partagea son bien.»
2a0f0d009f	Peu de jours après, le plus jeune fils, rassemblant tout ce qu'il avait, partit pour un pays lointain, et là il dissipa sa fortune dans une vie de débauche.
2a0f0e0075	Il avait tout dépensé quand survint, en ce pays-là, une très rude famine. Il commença à être dans l'indigence,
2a0f0f0077	et il alla se mettre au service de l'un des habitants du pays, qui l'envoya dans ses champs pour paître des pourceaux.
2a0f100074	Là, il désirait avidement se rassasier des siliques que mangeaient les pourceaux, mais personne ne lui en donnait.
2a0f11009a	Rentrant alors en lui-même, il dit: «Combien de gens à gages ont chez mon père en abondance de quoi se nourrir, tandis que moi, ici, je meurs de faim!
2a0f12006c	Je me lèverai et j'irai vers mon père et je lui dirai: «Père, j'ai péché contre le ciel et contre toi!
2a0f13005b	Je ne suis plus digne d'être appelé ton fils! Traite-moi comme l'un de tes mercenaires.»
2a0f1400bc	Il se leva donc et retourna vers son père. Comme il était encore loin, son père le vit; il fut ému de compassion; il accourut et, se laissant tomber à son cou, il le baisa longuement.
2a0f150076	Le fils lui dit: «Père, j'ai péché contre le ciel et contre toi! je ne suis plus digne d'être appelé ton fils!»
2a0f1600a2	Mais le père dit à ses serviteurs: «Apportez vite une robe de fête, la plus belle, et l'en revêtez! mettez un anneau à sa main! des chaussures à ses pieds!
2a0f170048	et puis amenez le veau gras et le tuez! Faisons festin et réjouissance!
2a0f180091	parce que mon fils que voici était mort, et il est revenu à la vie! il était perdu, et il est retrouvé!» Ils commencèrent à se réjouir.»
2a0f190080	Or le fils aîné était dans les champs; comme il revenait et approchait de la maison, il entendit de la musique et des danses;
2a0f1a003c	il appela un des domestiques et lui demanda ce que c'était.
2a0f1b007f	«Ton frère est de retour, lui répondit celui-ci, et ton père a tué le veau gras, parce qu'il l'a recouvré sain et sauf.»
2a0f1c005f	Alors il se mit en colère, et ne voulut pas entrer. Son père sortit, et se mit à l'en prier;
2a0f1d00cb	mais lui, répondant à son père, lui dit: «Voilà tant et tant d'années que je te sers; je n'ai jamais désobéi à tes ordres, et tu ne m'as jamais donné un chevreau pour faire fête avec mes amis;
2a0f1e0080	et quand est revenu ton autre fils, qui a dévoré son bien avec des femmes de mauvaise vie, pour lui tu as tué le veau gras!»
2a0f1f005e	«Mon enfant, lui dit le père, tu es toujours avec moi, et tout ce qui est à moi est à toi;
2a0f2000aa	mais il fallait bien faire grande fête et réjouissance, parce que ton frère que voilà était mort, et il est revenu à la vie! il était perdu, et il est retrouvé!»
2a1001007c	Il disait aussi aux disciples: «Un homme riche avait un économe; cet économe lui fut dénoncé comme dissipant ses biens.
2a100200a2	Il l'appela et lui dit: «Qu'est-ce que j'entends dire de toi? Rends compte de ton administration; car il n'est plus possible que tu administres désormais.» —
2a100300b4	«Que ferai-je?» se dit en lui-même l'économe, «puisque mon maître me retire la gestion de ses biens. Travailler la terre, je n'en ai pas la force; mendier, j'en aurais honte.
2a1004007b	Je vois ce que je ferai pour que, destitué de mes fonctions, il se trouve des gens qui me reçoivent dans leurs maisons.»
2a1005007f	Il convoqua l'un après l'autre chacun des débiteurs de son maître.»«Au premier il dit: «Combien dois-tu à mon maître?»
2a1006006f	«Cent mesures d'huile», — «Voici ton billet, reprit l'économe, assieds-toi vite et écris: «cinquante».
2a100700b6	Ensuite il dit à un autre: «Et toi, combien dois-tu?» Celui-là répondit: «Cent mesures de froment.» «Voici ton billet, reprit encore l'économe, et écris: «quatre-vingts».
2a100800b5	«Le maître loua l'économe infidèle de ce qu'il avait agi avec, habileté; parce que les enfants de ce siècle sont, dans leur monde, plus avisés que les enfants de la lumière.
2a10090095	Et moi, je vous dis: Du Mamôn de l'iniquité faites-vous des amis qui, lorsqu'il viendra à manquer, vous reçoivent dans les éternels tabernacles.
2a100a009d	Qui est fidèle dans une très petite chose, l'est également dans une grande; qui est injuste dans une très petite chose, l'est également dans une grande.
2a100b005f	Si donc vous n'avez pas été fidèles dans le Mamôn injuste, qui vous confiera le véritable?
2a100c0064	Et si vous n'avez pas été fidèles dans le bien d'un autre, qui vous donnera ce qui est à vous?»
2a100d00c8	«Aucun domestique ne peut servir deux maîtres; ou bien, en effet, il haïra l'un et aimera l'autre; ou bien il s'attachera au premier et méprisera le second. Vous ne pouvez servir Dieu et Mamôn.»
2a100e005b	Les Pharisiens qui aiment l'argent entendaient tout cela et tournaient Jésus en dérision.
2a100f00bf	«Vous, leur dit-il, vous voulez vous faire passer pour justes devant les hommes, mais Dieu connaît vos coeurs. Ce qui, d'après les hommes, est élevé, est, devant Dieu, une abomination.»
2a10100087	«Jusques à Jean, la Loi et les Prophètes; depuis, l'Évangile du Royaume de Dieu est annoncé et tous s'efforcent de s'en emparer.»
2a1011005f	«Plus facilement passeront le ciel et la terre que ne tombera un seul petit trait de la Loi.»
2a10120098	«Quiconque répudie sa femme et en épouse une autre commet un adultère; et celui qui épouse une femme répudiée par son mari commet un adultère.»
2a10130073	«Il y avait un riche qui était vêtu de pourpre et de lin, et qui menait tous les jours joyeuse et splendide vie.
2a1014003f	Un pauvre nommé Lazare gisait à sa porte, couvert d'ulcères.
2a10150083	Il aurait bien voulu se rassasier de ce qui tombait de la table du riche; mais les chiens eux-mêmes venaient lécher ses ulcères.
2a10160089	Or il arriva que le pauvre mourut, et qu'il fut transporté par les anges dans le sein d'Abraham. Le riche mourut aussi, et fut enseveli.
2a10170080	Étant dans la Demeure-des-morts, et en proie aux tourments, il leva les yeux; il vit de loin Abraham et, dans son sein, Lazare.
2a101800c2	Alors il éleva la voix; il dit: «Père Abraham, aie pitié de moi; et envoie Lazare tremper dans l'eau le bout de son doigt pour rafraîchir ma langue, car je suis torturé dans ces flammes.»
2a101900b6	«Mon enfant, lui répondit Abraham, souviens-toi que, en ta vie, tu as reçu tes biens; Lazare, dans la sienne, a eu des maux. Ici maintenant il est consolé, et toi tu es torturé.
2a101a00cf	En outre, un abîme immense est établi entre nous et vous, de sorte qu'il serait impossible à qui le voudrait soit d'aller vers vous de là où nous sommes, soit de venir vers nous de là où vous êtes.»
2a101b0057	«Il reprit: «Père, envoie donc, je t'en supplie, Lazare dans la maison de mon père;
2a101c0078	car j'ai cinq frères; il leur attestera ces choses afin qu'ils ne viennent pas, eux aussi, dans ce lieu de tourments.»
2a101d005f	Mais Abraham lui répondit: «Ils ont «Moïse et les Prophètes»; qu'ils les écoutent!» —
2a101e0070	«Non, père Abraham, continua l'autre, mais si, de chez les morts, quelqu'un va vers eux, ils se repentiront.»
2a101f00aa	Abraham lui dit alors: «S'ils n'écoutent ni «Moïse,» ni «les Prophètes,» quand même quelqu'un ressusciterait d'entre les morts, ils ne seraient pas persuadés.»
2a11010086	Il dit à ses disciples: «Qu'il n'arrive pas de scandales, la chose est impossible, mais malheur à celui par qui le scandale arrive!
2a1102008f	Il vaudrait mieux pour lui qu'on lui attachât au cou une meule de moulin, et qu'on le jetât à la mer, que de scandaliser un de ces petits.»
2a1103005d	«Prenez garde à vous: si ton frère a péché, reprends-le et s'il se repent, pardonne-lui.
2a11040097	Et s'il a péché contre toi sept fois en un jour, et que sept fois en un jour, il se tourne vers toi et te dise: «Je me repens», pardonne-lui.» —
2a11050038	«Augmente-nous la foi, dirent les apôtres au Seigneur,
2a110600b7	et le Seigneur leur répondit: «Si vous aviez de la foi gros comme un grain de sénevé, vous diriez à ce sycomore «Déracine-toi, et plante-toi dans la mer», il vous obéirait.»
2a11070088	«Quand votre serviteur rentre des champs, après le labour ou le pâturage, lequel de vous lui dira: «Viens vite te mettre à table.»
2a110800a6	Ne lui dira-t-il pas au contraire: «Prépare-moi à dîner, ceins-toi, et me sers jusqu'à ce que j'aie mangé et bu; après quoi, tu mangeras et boiras toi-même.»
2a1109006b	Et parce que ce serviteur fait ce qui lui était commandé, son maître lui doit-il quelque reconnaissance?
2a110a00c1	De vous, il en est de même: quand vous aurez fait tout ce qui vous est commandé, dites ceci: «Nous sommes des serviteurs inutiles; ce que nous avons fait nous avions le devoir de le faire.»
2a110b0049	Dans son voyage à Jérusalem, Jésus traversa la Samarie et la Galilée.
2a110c0079	Comme il arrivait à l'entrée d'un village, se présentèrent à lui dix lépreux qui, restant à une certaine distance,
2a110d0049	élevèrent la voix: «Jésus! maître! dirent-ils, aie pitié de nous!»
2a110e007a	Il les vit et leur dit: «Allez vous montrer aux prêtres.» Et il arriva pendant qu'il y allaient, qu'ils furent guérie.
2a110f005e	L'un d'entre eux, se voyant guéri, revint sur ses pas, rendant à grands cris gloire à Dieu;
2a1110006c	puis il se prosterna aux pieds de Jésus, la face contre terre, lui rendant grâces. C'était un Samaritain.
2a1111006f	Alors Jésus prononça ces paroles: «Est-ce que les dix n'ont pas été guéris? Les neuf autres où sont-ils?
2a11120068	Il ne s'en est trouvé aucun qui soit revenu pour rendre gloire à Dieu, sinon celui-ci: un étranger!»
2a1113003d	Puis s'adressant à lui: «Lève-toi; va, ta foi t'a sauvé»
2a1114009e	Les Pharisiens lui ayant demandé quand viendrait le Royaume de Dieu il leur répondit ainsi: «Le Royaume de Dieu ne vient pas avec des marques extérieures.
2a11150066	On ne dira pas: il est ici! ou: il est là! car sachez-le: le Royaume de Dieu est au milieu de vous.»
2a1116008d	Puis il dit aux disciples: «Il viendra un temps où vous désirerez voir un des jours du Fils de l'homme, un seul, et vous ne le verrez pas.
2a11170051	On vous dira: «Le voici!» — «le voilà!» N'y allez pas; ne le cherchez pas.
2a11180089	Tel, en effet, l'éclair resplendissant à une extrémité, du ciel brille jusqu'à l'autre, tel, en son jour, sera le Fils de l'homme.»
2a1119005b	«Mais il lui faut d'abord beaucoup souffrir, et être rejeté par cette génération-ci.»
2a111a005f	«Ainsi étaient les choses aux jours de Noé, ainsi seront-elles aux jours du Fils de l'homme.
2a111b00a7	Les hommes mangeaient, buvaient, se mariaient ou mariaient leurs enfants, jusqu'au moment où Noé entra dans l'arche, et où le déluge survint et les extermina tous.
2a111c0083	C'est encore ce qui est arrivé aux jours de Lot: les hommes mangeaient, buvaient, achetaient, vendaient, plantaient, bâtissaient;
2a111d0069	et au moment où Lot sortit de Sodome, une pluie de feu et de soufre tomba du ciel et les extermina tous.
2a111e0043	Ainsi en sera-t-il le jour où le Fils de l'homme sera révélé.»
2a111f00c7	«Que celui qui sera, ce jour-là, sur le toit, et qui aura quelque objet dans la maison, ne descende pas pour l'emporter. Que celui qui sera aux champs fasse de même et ne revienne pas sur ses pas.
2a11200023	Souvenez-vous de la femme de Lot!»
2a1121005b	«Qui cherchera à sauver sa vie la perdra, et qui la perdra, la rendra vraiment vivante.»
2a11220071	«Cette nuit-là, je vous le déclare, de deux hommes qui seront dans un lit, l'un sera pris, et l'autre laissé.
2a11230050	De deux femmes qui moudront ensemble, l'une sera prise, et l'autre laissée.» -
2a11240051	(De deux hommes qui seront dans un champ, l’un sera pris et l’autre laissé).
2a1125008a	- «Où sera-ce Seigneur?» demandèrent les disciples. Il leur répondit: «Où sera le corps, là aussi les vautours se rassembleront.»
2a12010060	Il leur raconta une parabole pour leur montrer qu'il faut prier toujours, et ne point se lasser:
2a12020071	«Dans une certaine ville, dit-il, il y avait un juge qui n'avait ni crainte de Dieu, ni égards pour les hommes.
2a12030079	Or, dans cette même ville, il y avait une veuve qui venait à lui et lui disait: «Fais-moi justice de mon adversaire.»
2a1204008d	Pendant longtemps, il ne le voulut pas.» «Enfin il se dit à lui-même: «Bien que je n'aie ni crainte de Dieu, ni égards pour les hommes,
2a1205008f	comme il est certain que cette veuve-là m'est à charge, je lui ferai justice, de peur qu'elle ne finisse par se livrer à quelque violence.»
2a1206003d	Vous entendez, ajouta le Seigneur, ce que dit ce juge inique.
2a1207006a	Et Dieu ne ferait point justice à ses élus qui crient à lui nuit et jour? Il tarderait à les secourir?
2a1208007f	Il leur fera prompte justice, je vous le déclare; mais le Fils de l'homme, à son retour, trouvera-t-il la foi sur la terre?»
2a1209008c	Il raconta aussi la parabole suivante à quelques-uns très convaincus, à part eux, qu'ils étaient justes, et qui méprisaient les autres:
2a120a0053	«Deux hommes montèrent au Temple pour prier; l'un Pharisien et l'autre publicain.
2a120b00d6	Le Pharisien, debout, priait ainsi en lui-même: «O Dieu, je te rends grâces de ce que je ne suis pas comme le reste des hommes, gens rapaces, iniques, adultères, de ce que je ne suis pas comme ce publicain-là.
2a120c004f	Je jeûne deux fois par semaine; je donne la dîme de tout ce que j'acquiers.»
2a120d00bc	Quant au publicain, il se tenait à distance, il n'osait pas même lever les yeux vers le ciel, mais il se frappait la poitrine en disant: «Dieu, aie pitié de moi qui suis un pécheur!»
2a120e00b6	Celui-ci, je vous le déclare, rentra dans sa maison justifié, plutôt que l'autre; car quiconque s'élève lui-même sera abaissé, et quiconque s'abaisse lui-même sera élevé.»
2a120f008c	On lui apportait même les tout petits enfants pour qu'il les touchât. Voyant cela, les disciples blâmèrent ceux qui les lui apportaient.
2a121000b6	Mais Jésus appela ces enfants: «Laissez, leur dit-il, les enfants venir à moi, et ne les en empêchez pas, car c'est à ceux qui leur ressemblent qu'appartient le Royaume de Dieu.
