2800000007	Mathayo
29031e0049	(Yesu alisema hivyo kwa sababu walikuwa wanasema, “Ana pepo mchafu.”)
29031f005f	Mama yake Yesu na ndugu zake walifika hapo, wakasimama nje, wakampelekea ujumbe kutaka kumwona.
290320007a	Umati wa watu ulikuwa umekaa hapo kumzunguka. Basi, wakamwambia, “Mama yako na ndugu zako wako nje, wanataka kukuona.”
290321003e	Yesu akawaambia, “Mama yangu na ndugu zangu ni kina nani?”
2903220068	Hapo akawatazama watu waliokuwa wamemzunguka, akasema, “Tazameni! Hawa ndio mama yangu na ndugu zangu.
290323005a	Mtu yeyote anayefanya anayotaka Mungu, huyo ndiye kaka yangu, dada yangu na mama yangu.”
29040100b5	Yesu alianza kufundisha tena akiwa kando ya ziwa. Umati mkubwa wa watu ulimzunguka hata ikambidi aingie katika mashua na kuketi. Watu wakawa wamekaa katika nchi kavu, kando ya ziwa.
290402004b	Aliwafundisha mambo mengi kwa mifano, na katika mafundisho yake aliwaambia,
290403002e	“Sikilizeni! Mpanzi alikwenda kupanda mbegu.
2904040046	Alipokuwa akipanda, nyingine zilianguka njiani, ndege wakaja wakazila.
2904050074	Nyingine zilianguka penye mawe pasipokuwa na udongo mwingi. Mbegu hizo ziliota mara kwa kuwa udongo haukuwa na kina.
2904060055	Jua lilipochomoza, zikachomeka; na kwa kuwa mizizi yake haikuwa na nguvu, zikanyauka.
290407005a	Nyingine zilianguka kwenye miti ya miiba, nayo ikakua na kuzisonga, nazo hazikuzaa nafaka.
2904080071	Nyingine zilianguka katika udongo mzuri, zikakua na kuzaa: moja punje thelathini, moja sitini na nyingine mia.”
2904090031	Kisha akawaambia, “Mwenye masikio na asikie!”
29040a007f	Yesu alipokuwa peke yake, baadhi ya wale waliomsikia walimwendea pamoja na wale kumi na wawili, wakamwuliza juu ya hiyo mifano.
29040b007a	Naye akawaambia, “Ninyi mmejaliwa kujua siri ya Utawala wa Mungu, lakini wale walio nje wataambiwa kila kitu kwa mifano,
29040c0079	ili, Watazame kweli, lakini wasione. Wasikie kweli, lakini wasielewe. La sivyo, wangemgeukia Mungu, naye angewasamehe.”
29040d005e	Basi, Yesu akawauliza, “Je, ninyi hamwelewi mfano huu? Mtawezaje basi, kuelewa mfano wowote?
29040e001d	Mpanzi hupanda neno la Mungu.
29040f00a0	Watu wengine ni kama wale walio njiani ambapo mbegu zilianguka. Hawa hulisikia hilo neno lakini mara Shetani huja na kuliondoa neno hilo lililopandwa ndani yao.
290410006e	Watu wengine ni kama zile mbegu zilizopandwa penye mawe. Mara tu wanapolisikia hilo neno hulipokea kwa furaha.
29041100ab	Lakini haliwaingii na kuwa na mizizi ndani yao; huendelea kulizingatia kwa kitambo tu, na wakati taabu au udhalimu vinapotokea kwa sababu ya hilo neno mara wanakata tamaa.
290412006e	Watu wengine ni kama zile mbegu zilizoanguka penye miti ya miiba. Huo ni mfano wa wale wanaolisikia hilo neno,
290413007d	lakini wasiwasi wa ulimwengu huu, anasa za mali na tamaa za kila namna huwaingia na kulisonga hilo neno, nao hawazai matunda.
29041400b6	Lakini wengine ni kama zile mbegu zilizopandwa katika udongo mzuri. Hawa hulisikia hilo neno, wakalipokea, wakazaa matunda: wengine thelathini, wengine sitini na wengine mia moja.”
2904150089	Yesu akaendelea kuwaambia, “Je, watu huwasha taa wakaileta ndani na kuifunika kwa pishi au kuiweka mvunguni? La! Huiweka juu ya kinara.
290416004c	Basi, kila kilichofichwa kitafichuliwa, na kila kilichofunikwa kitafunuliwa.
290417001c	Mwenye masikio na asikie!”
290418008b	Akawaambia pia, “Sikilizeni kwa makini mnachosikia! Kipimo kilekile mnachowapimia watu wengine, ndicho mtakachopimiwa; tena mtazidishiwa.
2904190054	Aliye na kitu atapewa zaidi; asiye na kitu, hata kile alicho nacho kitachukuliwa.”
29041a0059	Yesu akaendelea kusema, “Ufalme wa Mungu ni kama ifuatavyo. Mtu hupanda mbegu shambani.
29041b005d	Usiku hulala, mchana yu macho na wakati huo mbegu zinaota na kukua; yeye hajui inavyofanyika.
29041c0082	Udongo wenyewe huiwezesha mimea kukua na kuzaa matunda: kwanza huchipua jani changa, kisha suke, na mwishowe nafaka ndani ya suke.
29041d0057	Nafaka inapoiva, huyo mtu huanza kutumia mundu wake, maana wakati wa mavuno umefika.”
29041e0057	Tena, Yesu akasema, “Tuufananishe Utawala wa Mungu na nini? Tuueleze kwa mifano gani?
29041f003c	Ni kama mbegu ya haradali ambayo ni ndogo kuliko mbegu zote.
29042000ae	Lakini ikisha pandwa, huota na kuwa mmea mkubwa kuliko mimea yote ya shambani. Matawi yake huwa makubwa hata ndege wa angani huweza kujenga viota vyao katika kivuli chake.”
290421006e	Yesu aliwahubiria ujumbe wake kwa mifano mingine mingi ya namna hiyo; aliongea nao kadiri walivyoweza kusikia.
2904220080	Hakuongea nao chochote bila kutumia mifano; lakini alipokuwa pamoja na wanafunzi wake peke yao alikuwa akiwafafanulia kila kitu.
2904230058	Jioni, siku hiyohiyo, Yesu aliwaambia wanafunzi wake, “Tuvuke ziwa, twende ng'ambo.”
2904240071	Basi, wakauacha ule umati wa watu, wakamchukua Yesu katika mashua alimokuwa. Palikuwapo pia mashua nyingine hapo.
2904250058	Basi, dhoruba kali ikaanza kuvuma, mawimbi yakaipiga ile mashua hata ikaanza kujaa maji.
2904260098	Yesu alikuwa sehemu ya nyuma ya mashua, amelala juu ya mto. Basi, wanafunzi wakamwamsha na kumwambia, “Mwalimu, je, hujali kwamba sisi tunaangamia?”
2904270080	Basi, akaamka, akaukemea ule upepo na kuyaamrisha mawimbi ya ziwa, “Kimya! Tulia!” Hapo upepo ukakoma, kukawa shwari kabisa.
2904280051	Kisha Yesu akawaambia wanafunzi wake, “Mbona mnaogopa? Je, bado hamna imani?”
2904290060	Nao wakaogopa sana, wakawa wanaulizana, “Huyu ni nani basi, hata upepo na mawimbi vinamtii?”
2905010038	Basi, wakafika katika nchi ya Wagerase, ng'ambo ya ziwa.
290502006a	Mara tu Yesu aliposhuka mashuani, mtu mmoja aliyepagawa na pepo mchafu alitoka makaburini, akakutana naye.
290503005a	Mtu huyo alikuwa akiishi makaburini wala hakuna mtu aliyeweza tena kumfunga kwa minyororo.
2905040099	Mara nyingi walimfunga kwa pingu na minyororo lakini kila mara aliweza kuikata hiyo minyororo na kuzivunja hizo pingu, wala hakuna mtu aliyeweza kumzuia.
2905050056	Mchana na usiku alikaa makaburini na milimani akipaaza sauti na kujikatakata kwa mawe.
2905060034	Alipomwona Yesu kwa mbali, alimkimbilia, akamwinamia
290507007f	akisema kwa sauti kubwa, “Una shauri gani nami, wewe Yesu Mwana wa Mungu aliye juu? Kwa jina la Mungu, nakusihi usinitese!”
2905080054	(Alisema hivyo kwa kuwa Yesu alikuwa amemwambia, “Pepo mchafu, mtoke mtu huyu.”)
290509006a	Basi, Yesu akamwuliza, “Jina lako nani?” Naye akajibu, “Jina langu ni Jeshi, maana sisi tu wengi.”
29050a0039	Kisha akamsihi Yesu asiwafukuze hao pepo katika nchi ile.
29050b0046	Kulikuwa na kundi kubwa la nguruwe malishoni kwenye mteremko wa mlima.
29050c0045	Basi, hao pepo wakamsihi, “Utupeleke kwa hao nguruwe, tuwaingie.”
29050d00bf	Naye akawaruhusu. Basi, hao pepo wachafu wakatoka, wakawaingia wale nguruwe. Kundi lote la nguruwe wapatao elfu mbili likaporomoka kwenye ule mteremko mkali mpaka ziwani, likatumbukia majini.
29050e0072	Wachungaji wa hao nguruwe walikimbia, wakatangaza jambo hilo mjini na mashambani. Watu wakafika kuona yaliyotukia.
29050f008e	Wakamwendea Yesu, wakamwona na mtu yuleyule aliyekuwa amepagawa na jeshi la pepo ameketi chini, amevaa nguo na ana akili yake sawa, wakaogopa.
290510007d	Watu walishuhudia tukio hilo wakaeleza wengine mambo yaliyompata huyo mtu aliyekuwa amepagawa na pepo na juu ya wale nguruwe.
2905110030	Basi, wakaanza kumwomba aondoke katika nchi yao.
2905120066	Yesu alipokuwa anapanda mashuani, yule mtu aliyekuwa amepagawa na pepo akamwomba amruhusu kwenda naye.
290513009d	Lakini Yesu akamkatalia. Badala yake akamwambia, “Nenda nyumbani kwa jamaa yako, ukawaambie mambo yote Bwana aliyokutendea na jinsi alivyokuonea huruma.”
290514006c	Basi, huyo mtu akaenda, akaanza kutangaza huko Dekapoli mambo yote Yesu aliyomtendea; watu wote wakashangaa.
2905150087	Yesu alivukia tena upande wa pili wa ziwa kwa mashua. Umati mkubwa wa watu ukakusanyika mbele yake, naye akawa amesimama kando ya ziwa.
290516006d	Hapo akaja mmojawapo wa maofisa wa sunagogi, jina lake Yairo. Alipomwona Yesu, akajitupa mbele ya miguu yake,
2905170082	akamsihi akisema, “Binti yangu mdogo ni mgonjwa karibu kufa. Twende tafadhali, ukamwekee mikono yako, apate kupona na kuishi.”
290518005c	Basi, Yesu akaondoka pamoja naye. Watu wengi sana wakamfuata, wakawa wanamsonga kila upande.
290519005b	Mmojawapo alikuwa mwanamke mwenye ugonjwa wa kutokwa damu kwa muda wa miaka kumi na miwili.
29051a00a9	Mwanamke huyo alikuwa amekwisha sumbuka sana kuwaendea waganga wengi. Na ingawa alikuwa amekwisha tumia mali yake yote, hakupata nafuu bali hali yake ilizidi kuwa mbaya.
29051b0067	Alikuwa amesikia habari za Yesu, na hivyo akaupenya msongamano wa watu kutoka nyuma, akagusa vazi lake.
29051c0048	Alifanya hivyo, maana alijisemea, “Nikigusa tu vazi lake, nitapona.”
29051d005d	Mara chemchemi ya damu yake ikakauka, akajisikia mwilini mwake kwamba ameponywa ugonjwa wake.
29051e007a	Yesu alitambua mara kwamba nguvu imemtoka. Basi akaugeukia ule umati wa watu, akauliza, “Nani aliyegusa mavazi yangu?”
29051f0061	Wanafunzi wake wakamjibu, “Unaona jinsi watu wanavyokusonga; mbona wauliza nani aliyekugusa?”
290520003d	Lakini Yesu akaendelea kutazama amwone huyo aliyefanya hivyo.
2905210081	Hapo huyo mwanamke, akifahamu yaliyompata, akajitokeza akitetemeka kwa hofu, akajitupa chini mbele ya Yesu na kusema ukweli wote.
2905220060	Yesu akamwambia, “Binti, imani yako imekuponya. Nenda kwa amani, upone kabisa ugonjwa wako.”
29052300aa	Yesu alipokuwa bado anaongea, watu walifika kutoka nyumbani kwa yule ofisa wa sunagogi, wakamwambia, “Binti yako amekwisha kufa. Ya nini kuendelea kumsumbua Mwalimu?”
290524005c	Lakini, bila kujali walichosema, Yesu akamwambia mkuu wa sunagogi, “Usiogope, amini tu.”
2905250056	Wala hakumruhusu mtu yeyote kufuatana naye ila Petro, Yakobo na Yohane nduguye Yakobo.
290526005f	Wakafika nyumbani kwa ofisa wa sunagogi naye Yesu akasikia makelele, kilio na maombolezo mengi.
290527005d	Akaingia ndani, akawaambia, “Mbona mnapiga kelele na kulia? Msichana hakufa, amelala tu.”
290528009f	Lakini wao wakamcheka. Basi, akawaondoa wote nje, akawachukua baba na mama ya huyo msichana na wale wanafunzi wake, wakaingia chumbani alimokuwa huyo msichana.
2905290064	Kisha akamshika mkono, akamwambia, “Talitha, kumi,” maana yake, “Msichana, nakwambia, amka!”
29052a0079	Mara msichana akasimama, akaanza kutembea. (Alikuwa na umri wa miaka kumi na miwili.) Hapo watu wakashangaa kupita kiasi.
29052b0060	Yesu akawakataza sana wasimjulishe mtu jambo hilo. Kisha akawaambia wampe huyo msichana chakula.
290601004d	Yesu aliondoka hapo akaenda katika kijiji chake, akifuatwa na wanafunzi wake.
29060200d2	Siku ya Sabato ilipofika, alianza kufundisha katika sunagogi. Wengi waliomsikia walishangaa, wakasema, “Je, ameyapata wapi mambo haya? Ni hekima gani hii aliyopewa? Tena, anatendaje maajabu haya anayoyafanya?
29060300a5	Je, huyu si yule seremala mwana wa Maria, na ndugu yao kina Yakobo, Yose, Yuda na Simoni; Je, dada zake si wanaishi papa hapa kwetu?” Basi, wakawa na mashaka naye.
2906040069	Yesu akawaambia, “Nabii hakosi heshima isipokuwa katika nchi yake, kwa jamaa zake na nyumbani mwake.”
2906050053	Hakuweza kutenda miujiza hapo, ila aliwawekea mikono wagonjwa wachache, akawaponya.
2906060071	Alishangaa sana kwa sababu ya kutoamini kwao. Kisha Yesu alivitembelea vijiji vya pale karibu akiwafundisha watu.
290607006d	Aliwaita wale wanafunzi kumi na wawili, akaanza kuwatuma wawiliwawili. Aliwapa uwezo wa kuwatoa pepo wachafu,
2906080076	na kuwaamuru, “Msichukue chochote mnapokwenda isipokuwa fimbo tu. Msichukue mkate, wala mkoba, wala fedha kibindoni.
2906090029	Vaeni viatu lakini msivae kanzu mbili.”
29060a0062	Tena aliwaambia, “Popote mtakapokaribishwa nyumbani, kaeni humo mpaka mtakapoondoka mahali hapo.
29060b008b	Mahali popote ambapo watu watakataa kuwakaribisheni au kuwasikiliza, ondokeni hapo na kuyakung'uta mavumbi miguuni mwenu kama onyo kwao.”
29060c0029	Basi, wakaondoka, wakahubiri watu watubu.
29060d004e	Waliwafukuza pepo wengi wabaya; wakawapaka mafuta wagonjwa wengi, wakawaponya.
29060e00df	Basi, mfalme Herode alisikia juu ya hayo yote, maana sifa za Yesu zilienea kila mahali. Baadhi ya watu walikuwa wakisema, “Yohane Mbatizaji amefufuka kutoka wafu, ndiyo maana nguvu za miujiza zinafanya kazi ndani yake.”
29060f0073	Wengine walisema, “Mtu huyu ni Eliya.” Wengine walisema, “Huyu ni nabii kama mmojawapo wa manabii wa kale.”
2906100066	Lakini Herode alipopata habari hizi alisema, “Huyu ni Yohane! Nilimkata kichwa, lakini amefufuka.”
29061100c3	Hapo awali Herode mwenyewe alikuwa ameamuru Yohane atiwe nguvuni, akamfunga gerezani. Herode alifanya hivyo kwa sababu ya Herodia ambaye Herode alimwoa ingawaje alikuwa mke wa Filipo, ndugu yake.
2906120054	Yohane alikuwa amemwambia Herode, “Si halali kwako kumchukua mke wa ndugu yako.”
290613003d	Basi Herodia alimchukia sana Yohane, akataka kumwua, asiweze.
29061400b9	Herode alimwogopa Yohane kwa maana alijua kwamba yeye ni mtu mwema na mtakatifu, na hivyo akamlinda. Herode alipenda kumsikiliza Yohane, ingawaje baada ya kumsikiliza, alifadhaika sana.
2906150093	Ikapatikana nafasi, wakati wa sikukuu ya kuzaliwa kwake Herode. Herode aliwafanyia karamu wazee wa baraza lake, majemadari na viongozi wa Galilaya.
29061600a7	Basi, binti yake Herodia aliingia, akacheza, akawafurahisha sana Herode na wageni wake. Mfalme akamwambia huyo msichana, “Niombe chochote utakacho, nami nitakupa.”
290617005c	Tena akamwapia, “Chochote utakachoniomba, nitakupa: hata ikiwa ni nusu ya ufalme wangu.”
2906180076	Hapo huyo msichana akatoka, akamwuliza mama yake, “Niombe nini?” Naye akamjibu, “Kichwa cha Yohane mbatizaji.”
2906190070	Msichana akamrudia mfalme mbio akamwomba, “Nataka unipe sasa hivi katika sinia kichwa cha Yohane mbatizaji.”
29061a007a	Mfalme akahuzunika sana, lakini kwa sababu ya kiapo chake, na kwa ajili ya wale wageni wake karamuni, hakutaka kumkatalia.
29061b006f	Basi, mfalme akamwamuru askari kukileta kichwa cha Yohane. Askari akaenda, akamkata kichwa Yohane mle gerezani,
29061c0047	akakileta katika sinia, akampa msichana naye msichana akampa mama yake.
29061d005c	Wanafunzi wa Yohane walipopata habari, walikwenda wakachukua mwili wake, wakauzika kaburini.
29061e005d	Wale mitume walirudi, wakakusanyika mbele ya Yesu wakamwarifu yote waliyotenda na kufundisha.
29061f00fd	Alisema hivyo kwa kuwa kulikuwa na watu wengi mno walikuwa wanafika hapo na kuondoka hata Yesu na wanafunzi wake hawakuweza kupata nafasi ya kula chakula. Basi, Yesu akawaambia, “Twendeni peke yetu mahali pa faragha kula chakula, mkapumzike kidogo.”
2906200041	Basi, Wakaondoka peke yao kwa mashua, wakaenda mahali pa faragha.
29062100b0	Lakini watu wengi waliwaona wakienda, wakawatambua. Hivyo wengi wakatoka katika kila mji, wakakimbilia huko Yesu na wanafunzi wake walikokuwa wanakwenda, wakawatangulia kufika.
2906220098	Waliposhuka pwani, Yesu aliona umati mkubwa wa watu, akawahurumia, kwa sababu walikuwa kama kondoo wasio na mchungaji. Akaanza kuwafundisha mambo mengi.
2906230075	Saa za mchana zilikwisha pita. Basi, wanafunzi wakamwendea Yesu, wakamwambia, “Hapa ni nyikani, na sasa kunakuchwa.
2906240057	Afadhali uwaage watu waende mashambani na katika vijiji vya jirani, wanunue chakula.”
2906250093	Lakini Yesu akawaambia, “Wapeni ninyi chakula.” Nao wakamwuliza, “Je, twende kununua mikate kwa fedha dinari mia mbili, na kuwapa chakula?”
290626008c	Yesu akawauliza, “Mnayo mikate mingapi? Nendeni mkatazame.” Walipokwisha tazama, wakamwambia, “Kuna mikate mitano na samaki wawili.”
2906270051	Basi, Yesu akawaamuru wanafunzi wawaketishe watu wote makundimakundi penye nyasi.
2906280040	Nao wakaketi makundimakundi ya watu mia moja na ya watu hamsini.
29062900ca	Kisha Yesu akaitwaa ile mikate mitano na wale samaki wawili, akatazama juu mbinguni, akamshukuru Mungu, akaimega mikate, akawapa wanafunzi wake wawagawie watu. Na wale samaki wawili pia akawagawia wote.
29062a001c	Watu wote wakala, wakashiba.
29062b0049	Wakaokota mabaki ya mikate na samaki pia, wakajaza vikapu kumi na viwili.
29062c0035	Nao waliokula hiyo mikate walikuwa wanaume elfu tano.
29062d0085	Mara Yesu akawaamuru wanafunzi wake wapande mashua, wamtangulie kwenda Bethsaida, ng'ambo ya ziwa, wakati yeye anauaga umati wa watu.
29062e002f	Baada ya kuwaaga watu alikwenda mlimani kusali.
29062f005a	Ilipokuwa jioni, mashua ilikuwa katikati ya ziwa, naye alikuwa peke yake katika nchi kavu.
29063000ad	Basi, akawaona wanafunzi wake wakitaabika kwa kupiga makasia, maana upepo ulikuwa unawapinga. Karibu na mapambazuko, Yesu aliwaendea akitembea juu ya maji. Alitaka kuwapita.
290631004a	Lakini walimwona akitembea juu ya maji, wakadhani ni mzimu, wakapiga yowe.
290632005f	Maana wote walipomwona waliogopa sana. Mara Yesu akasema nao, “Tulieni, ni mimi. Msiogope!”
290633004c	Kisha akapanda mashuani walimokuwa, na upepo ukatulia. Nao wakashangaa sana.
2906340059	maana hawakuwa bado wameelewa maana ya ile mikate. Akili zao zilikuwa bado zimepumbazika.
290635003a	Walivuka ziwa, wakafika nchi ya Genesareti, wakatia nanga.
2906360030	Walipotoka mashuani, mara watu wakamtambua Yesu.
290637009b	Basi, kwa haraka wakazunguka katika nchi ile yote, wakaanza kuwachukua wagonjwa wamelala juu ya mikeka yao, wakawapeleka kila mahali waliposikia Yesu yupo.
29063800aa	Kila mahali Yesu alipokwenda, vijijini, mijini, au mashambani, watu waliwaweka wagonjwa uwanjani, wakamsihi waguse walau pindo la vazi lake. Nao wote waliomgusa walipona.
2907010063	Baadhi ya Mafarisayo na walimu wa Sheria waliokuwa wametoka Yerusalemu walikusanyika mbele ya Yesu.
290702005d	Waliona kwamba baadhi ya wanafunzi wake walikula mikate kwa mikono najisi, yaani bila kunawa.
2907030077	Maana Mafarisayo na Wayahudi wengine wote huzingatia mapokeo ya wazee wao: hawali kitu kabla ya kunawa mikono ipasavyo.
29070400a6	Tena hawali kitu chochote kutoka sokoni mpaka wamekiosha kwanza. Kuna pia desturi nyingine walizopokea kama vile namna ya kuosha vikombe, sufuria na vyombo vya shaba.
29070500a5	Basi, Mafarisayo na walimu wa Sheria wakamwuliza Yesu, “Mbona wanafunzi wako hawayajali mapokeo tuliyopokea kwa wazee wetu, bali hula chakula kwa mikono najisi?”
29070600b1	Yesu akawajibu, “Wanafiki ninyi! Nabii Isaya alitabiri ukweli juu yenu alipoandika: Watu hawa, asema Mungu, huniheshimu kwa maneno matupu, lakini mioyoni mwao wako mbali nami.
290707004f	Kuniabudu kwao hakufai, maana mambo wanayofundisha ni maagizo ya kibinadamu tu.
290708003e	Ninyi mnaiacha amri ya Mungu na kushikilia maagizo ya watu.”
290709006b	Yesu akaendelea kusema, “Ninyi mnajua kuepa kwa ujanja sheria ya Mungu kwa ajili ya kufuata mapokeo yenu.
29070a0060	Maana Mose aliamuru: Waheshimu baba yako na mama yako, na, Anayemlaani baba au mama, lazima afe.
29070b00ac	Lakini ninyi mwafundisha, Kama mtu anacho kitu ambacho angeweza kuwasaidia nacho baba au mama yake, lakini akasema kwamba kitu hicho ni Korbani (yaani ni zawadi kwa Mungu),
29070c002d	basi, halazimiki tena kuwasaidia wazazi wake.
29070d007a	Hivyo ndivyo mnavyodharau neno la Mungu kwa ajili ya mafundisho mnayopokezana. Tena mnafanya mambo mengi ya namna hiyo.”
29070e0051	Yesu aliuita tena ule umati wa watu, akawaambia, “Nisikilizeni nyote, mkaelewe.
29070f0093	Hakuna kitu kinachoingia ndani ya mtu toka nje ambacho chaweza kumtia mtu najisi. Lakini kinachotoka ndani ya mtu ndicho kinachomtia mtu najisi.”
2907100019	Mwenye masikio na asikie!
290711005c	Alipouacha umati wa watu na kuingia nyumbani, wanafunzi wake walimwuliza maana ya huo mfano.
290712007c	Naye akawaambia, “Je, hata ninyi hamwelewi? Je, hamwelewi kwamba kitu kinachomwingia mtu toka nje hakiwezi kumtia unajisi,
2907130084	kwa maana hakimwingii moyoni, ila tumboni, na baadaye hutolewa nje chooni?” (Kwa kusema hivyo, Yesu alivihalalisha vyakula vyote.)
2907140049	Akaendelea kusema, “Kinachotoka ndani ya mtu ndicho kinachomtia najisi.
2907150059	Kwa maana kutoka ndani, katika moyo wa mtu, hutoka mawazo mabaya, uasherati, wizi, uuaji,
290716004d	uzinzi, uchoyo, uovu, udanganyifu, ufisadi, wivu, kashfa, kiburi na upumbavu.
290717003f	Maovu hayo yote yatoka ndani ya mtu, nayo humtia mtu najisi.”
2907180083	Yesu aliondoka hapo, akaenda hadi wilaya ya Tiro. Huko aliingia katika nyumba moja na hakutaka mtu ajue; lakini hakuweza kujificha.
290719007b	Mwanamke mmoja ambaye binti yake alikuwa na pepo, alisikia habari za Yesu. Basi, akaja akajitupa chini mbele ya miguu yake.
29071a0066	Mama huyo alikuwa Mgiriki, mwenyeji wa Sirofoinike. Basi, akamwomba Yesu amtoe binti yake pepo mchafu.
29071b0070	Yesu akamwambia, “Kwanza watoto washibe; kwa maana si vizuri kuchukua chakula cha watoto na kuwatupia mbwa.”
29071c0069	Lakini huyo mama akasema, “Sawa, Bwana, lakini hata mbwa walio chini ya meza hula makombo ya watoto.”
29071d0050	Yesu akamwambia, “Kwa sababu ya neno hilo, nenda. Pepo amemtoka binti yako!”
29071e0058	Basi, akaenda nyumbani kwake, akamkuta mtoto amelala kitandani, na pepo amekwisha mtoka.
29071f0068	Kisha Yesu aliondoka wilayani Tiro, akapitia Sidoni, akafika ziwa Galilaya kwa kupitia nchi ya Dekapoli.
2907200038	Basi, wakamletea bubu-kiziwi, wakamwomba amwekee mikono.
2907210059	Yesu akamtenga na umati wa watu, akamtia vidole masikioni, akatema mate na kumgusa ulimi.
2907220060	Kisha akatazama juu mbinguni, akapiga kite, akamwambia, “Efatha,” maana yake, “Funguka.”
2907230052	Mara masikio yake yakafunguka na ulimi wake ukafunguliwa, akaanza kusema sawasawa.
290724007a	Yesu akawaamuru wasimwambie mtu juu ya jambo hilo. Lakini kadiri alivyowakataza, ndivyo walivyozidi kutangaza habari hiyo.
2907250066	Watu walishangaa sana, wakasema, “Amefanya yote vyema: amewajalia viziwi kusikia, na bubu kusema!”
290801007a	Wakati huo umati mkubwa wa watu ulikusanyika tena, na hawakuwa na chakula. Basi, Yesu akawaita wanafunzi wake, akawaambia,
290802005d	“Nawahurumia watu hawa kwa sababu wamekuwa nami kwa muda wa siku tatu, wala hawana chakula.
290803005f	Nikiwaacha waende nyumbani wakiwa na njaa watazimia njiani, maana baadhi yao wametoka mbali.”
2908040066	Wanafunzi wake wakamwuliza, “Hapa nyikani itapatikana wapi mikate ya kuwashibisha watu hawa wote?”
2908050047	Yesu akawauliza, “Mnayo mikate mingapi?” Nao wakamjibu, “Saba.”
2908060091	Basi, akawaamuru watu wakae chini. Akaitwaa ile mikate saba, akamshukuru Mungu, akaimega, akawapa wanafunzi wake wawagawie watu, nao wakawagawia.
2908070055	Walikuwa pia na visamaki vichache. Yesu akavibariki, akaamuru vigawiwe watu vilevile.
290808004a	Watu wakala, wakashiba. Wakaokota mabaki yaliyosalia wakajaza makapu saba.
290809003c	Nao waliokula walikuwa watu wapatao elfu nne. Yesu akawaaga,
29080a004f	na mara akapanda mashua pamoja na wanafunzi wake, akaenda wilaya ya Dalmanutha.
29080b0084	Mafarisayo walikuja, wakaanza kujadiliana na Yesu. Kwa kumjaribu, wakamtaka awafanyie ishara kuonyesha anayo idhini kutoka mbinguni.
29080c0083	Yesu akahuzunika rohoni, akasema, “Mbona kizazi hiki kinataka ishara? Kweli nawaambieni, kizazi hiki hakitapewa ishara yoyote!”
29080d0055	Basi, akawaacha, akapanda tena mashua, akaanza safari kwenda ng'ambo ya pili ya ziwa.
29080e0057	Wanafunzi walikuwa wamesahau kuchukua mikate; walikuwa na mkate mmoja tu katika mashua.
29080f005e	Yesu akawaonya, “Angalieni sana! Jihadharini na chachu ya Mafarisayo na chachu ya Herode.”
2908100057	Wanafunzi wakaanza kujadiliana wao kwa wao, “Anasema hivyo kwa kuwa hatuna mikate.”
2908110092	Yesu alitambua hayo, akawaambia, “Mbona mnajadiliana juu ya kutokuwa na mikate? Je, bado hamjafahamu, wala hamjaelewa? Je, mioyo yenu imeshupaa?
2908120045	Je, Mnayo macho na hamwoni? Mnayo masikio na hamsikii? Je, hamkumbuki
2908130097	wakati ule nilipoimega ile mikate mitano na kuwapa watu elfu tano? Mlikusanya vikapu vingapi vya mabaki ya makombo?” Wakamjibu, “Kumi na viwili.”
290814007a	“Na nilipoimega ile mikate saba na kuwapa watu elfu nne, mlikusanya makapu mangapi ya makombo?” Wakamjibu, “Saba.”
290815002b	Basi, akawaambia, “Na bado hamjaelewa?”
2908160066	Yesu alifika Bethsaida pamoja na wanafunzi wake. Huko watu wakamletea kipofu mmoja, wakamwomba amguse.
290817008f	Yesu akamshika mkono huyo kipofu, akampeleka nje ya kijiji. Akamtemea mate machoni, akamwekea mikono, akamwuliza, “Je, unaweza kuona kitu?”
2908180058	Huyo kipofu akatazama, akasema, “Ninawaona watu wanaoonekana kama miti inayotembea.”
2908190077	Kisha Yesu akamwekea tena mikono machoni, naye akakaza macho, uwezo wake wa kuona ukamrudia, akaona kila kitu sawasawa.
29081a0049	Yesu akamwambia aende zake nyumbani na kumwamuru, “Usirudi kijijini!”
29081b009f	Kisha Yesu na wanafunzi wake walikwenda katika vijiji vya Kaisarea Filipi. Walipokuwa njiani, Yesu aliwauliza wanafunzi wake, “Watu wanasema mimi ni nani?”
29081c006a	Wakamjibu, “Wengine wanasema wewe ni Yohane Mbatizaji, wengine Eliya na wengine mmojawapo wa manabii.”
29081d0062	Naye akawauliza, “Na ninyi je, mnasema mimi ni nani?” Petro akamjibu, “Wewe ndiwe Kristo.”
29081e0038	Kisha Yesu akawaonya wasimwambie mtu yeyote habari zake.
29081f00c4	Yesu alianza kuwafundisha wanafunzi wake: “Ni lazima Mwana wa Mtu apatwe na mateso mengi na kukataliwa na wazee na makuhani wakuu na walimu wa Sheria. Atauawa na baada ya siku tatu atafufuka.”
2908200054	Yesu aliwaambia jambo hilo waziwazi. Basi, Petro akamchukua kando, akaanza kumkemea.
290821009d	Lakini Yesu akageuka, akawatazama wanafunzi wake, akamkemea Petro akisema, “Ondoka mbele yangu, Shetani! Fikira zako si za kimungu ila ni za kibinadamu!”
29082200a4	Kisha akauita umati wa watu pamoja na wanafunzi wake, akawaambia, “Mtu yeyote akitaka kuwa mfuasi wangu, lazima ajikane mwenyewe, auchukue msalaba wake, anifuate.
