0100000009	Doometsaa
090e24013f	Saa'ooli, «Ha k'ammaana duge Piliss's'eematuwaa kaalliide ane boytte; sa'ay wonttana gakkanaw, unttunttuwaa ubbaa bonk'k'oytte; unttunttakka ittuwaanne ashshenan wod'oytte» yaageedda. Unttunttu, «Eeno, neena lo"eeddabaa ubbaa ootsa» yaagiide zaareeddino. Shin k'eesii, «Ane hawaan S'oossaa oochcheetto» yaageedda.
090e2500bf	Hewaa diraw, Saa'ooli S'oossaa, «Piliss's'eema asatuwaa kaalaade boo? Neeni unttuntta Israa'eelatuu kushiyan aatsaade immanii?» yaagiide oochcheedda. Shin he gallassi S'oossay aw odibeenna.
090e26007c	Yaatina Saa'ooli, «Olanchchatuwaa kaappatoo, ubbay haayite; hachche ayba nagaray oosetteeddenttonne ane k'oriide demmoytte.
090e27009c	Israa'eeliyaa ashshiyaa Med'inaa Goday ero! Ta na'aa Yoonataana gidooppenne, hayk'k'anaw besse» yaageedda. Shin asaappe itti uraynne k'aalaa k'aattibeenna.
090e2800e0	Hewaappe guyyiyaan, Saa'ooli Israa'eeliyaa asaa ubbaa, «Hinttenttu ubbaykka ya baggan ek'k'ite; taaninne ta na'aa Yoonaataani ha baggan ek'k'ana» yaageedda. Hewaappe guyye asatuu, «Eeno, neena lo"owaa ootsa» yaageeddino.
090e2900b8	Hewaappe guyyiyaan, Saa'ooli Med'inaa Godaa Israa'eeliyaa S'oossaa, «Taw likke zaaruwaa imma» yaagiide woosseedda. Saamay Saa'oola bollanne Yoonataana bolla wod'd'ina Asay geeyeedda.
090e2a007f	K'ay Saa'ooli, «Ta bollanne ta na'aa Yoonataana bolla yeggite» yaageedda. Hewaappe guyye saamay Yoonataana bolla wod'd'eedda.
090e2b00c5	Saa'ooli Yoonaataana, «Ane neeni ootseeddawaa oda» yaageedda. Yoonaataani, «Taani guutsa eessaa ililuwaa ta s'am"aa s'eeraappe laac'c'aad. Hekko taani hawaan de'ay; taani hayk'k'ana» yaageedda.
090e2c006b	Saa'ooli hawaadan yaageedda; «Yoonaataanaa, neeni hayk'k'ana d'ayooppe, S'oossay taana wod'o!» yaageedda.
090e2d014d	Shin Asay Saa'oola, «Yoonaataani, Israa'eeliyaw ha wolk'k'aama s'oonuwaa aheedawe hayk'k'anee? Hewe ubbakka hanenna! De'uwaa Med'inaa Goday ero! Aa huup'iyaappe itti binnaanaynne biittan wod'd'enna; ayaw gooppe, I hachche hawaa S'oossaa maaduwaan ootseedda» yaageeddino. Yaatiide Asay Yoonaataana ashshina, I hayk'k'ennan atteedda.
090e2e0073	Hewaappe guyyiyaan, Saa'ooli Piliss's'eema asatuwaa yederssiyaawaa aggeeda; unttunttu barenttu gadiyaa simmeeddino.
090e2f00f2	Saa'ooli Israa'eeliyaa bolla kaate gidowaappe guyyiyaan, ubbaa ellekka de'iyaa bare morkkatuwaa oleedda; hewanttukka: Moo'aabatuwaa, Amoonatuwaa, Eedoomatuwaa, S'ooba kaatetuwaanne Piliss's'eema asatuwaa. Bare beedda sa'aan ubbaan s'ooneedda.
090e300072	I minniide oletteedda; Amaaleek'a asatuwaa s'ooneedda; Israa'eeliyaa asaa bonk'k'iyaawanttu kushiyaappe ashsheeda.
090e31007e	Saa'oola attuma naanay Yoonaataana, Yishiwiinne Malkkishuu'a; aw bayira naatti suntsay Meraabo; teefa naatti suntsay Miikaalo.
090e320069	Aa machata Ahima'aas'a naatto Ahino'aamo. Aa olanchchatuu gadaaway Aa aawuwaa ishaa Neera na'aa Abaneera.
090e330043	Saa'oola aawuwaa K'iisinne Abaneera aawuwaa Neeri Abii'eela naanaa.
090e3400af	Saa'ooli de'eedda laytsaa ubbaan Piliss's'eema asatuwaana suulo olaa olettiide de'eedda. Mino asaa woy s'ala asaa demmeedda wode ubbaan, I he uraa bare olanchchatuwaan gujjee.
090f01008f	Sammeeli Saa'oola, «Bare asaa Israa'eeliyaa bolla neeni kaatetanaaddan okkanaw Med'inaa Goday kiitteeddawe taana; Med'inaa Godaa k'aalaa sisa.
090f0200be	Ubbaappe Wolk'k'aama Med'inaa Goday hawaadan yaagee; ‹Israa'eelatuu Gibs'eppe kesiide yiyaa wode Amaaleek'a asatuu ogiyaan unttunttunna ek'etteedda diraw, taani Amaaleek'a asatuwaa murana.
090f0300e7	Ha"i ba; Amaaleek'a asatuwaa shoc'a; unttunttoo de'iyaawaa ubbaa ubbaanna d'ayssa; unttuntta ashshoppa; unttuntta mac'c'awaa attumawaa, d'ammiyaawaa k'uc'c'iyaawaa, miizzaa, dorssaa, gaaluwaanne hariyaa wod'a› yaagee» yaageedda.
090f040081	Saa'ooli asaa s'eegiide, S'eleema giyaa sa'aan paydiyaa wode Israa'eeliyaa laa"u s'eetu sha"a; Yihudaappe tammu sha"a Asay de'ee.
090f050050	Saa'ooli Amaaleek'atuwa katamaa biide, itti zanggaaraa giddon geemetti utteedda.
090f06013a	Saa'ooli K'eena asatuwaa, «Taani hinttentta Amaaleek'a asatuwaana ittippe d'ayssenna mala, denddite! unttunttu giddoppe kesite! Hawaappe kichchite! Ayaw gooppe, Israa'eelatuu Gibs'eppe kesiyaa wode, hinttenttu unttuntta ubbaw loytsi dees'a» yaageedda. K'eena asatuu Amaaleek'a asatuwaa giddoppe kesiide beeddino.
090f070064	Saa'ooli Amaaleek'a asatuwaa Hawiilappe doommiide, Gibs'e sintsan de'iyaa Shura gakkanaw shoc'eedda.
090f080075	Amaaleek'atuwa Kaatiyaa Agaaga pas'a de'ishshin, Saa'ooli omoodeedda; Aa asaa ubbaa k'ara mashshaan wod'i wursseedda.
090f09011c	Shin Saa'oolinne Aa olanchchatuu, Agaaganne ubbaappe lo"iyaa dorssatuwaa, miizzatuwaa, bolttiboltta maratuwaa, galotuwaanne hara lo"obatuwaa ubbaa ashsheddinno; unttunttu hawantta ubbaanna wod'i wurssanaw dosibeykkino; shin unttunttu laafabaanne kad'eteeddawaa ubbaanna d'aysseeddino.
090f0a003d	Med'inaa Godaa k'aalay Sammeelakko hawaadan yaagiidde yeedda;
090f0b00df	«Taani Saa'oola kaatiyaa kesseeddawoo kayyottay; ayaw gooppe, Saa'ooli taana kaalliyaawaa aggeeda; ta azazuwaa ootsibeenna» yaageedda. Hewaappe guyye Sammeeli metooteedda; he k'amma kumentsaa Med'inaa Godaakko waasseedda.
090f0c00e1	Wontta guuran Sammeeli denddiide, Saa'oolanna gaketanaw beedda; shin Asay aw, «Saa'ooli K'armmeloosa katamaa beedda; yaan barena hassayissiyaa hawulttiyaa esseedda; hewaappe simmiide, Gelggala wod'd'eedda» yaagiide odeedda.
090f0d0083	Sammeeli Saa'oolakko gakkeedda; Saa'ooli Sammeela, «Med'inaa Goday neena anjjo; taani Med'inaa Godaa azazuwaa ootsaad» yaageedda.
090f0e005e	Shin Sammeeli Saa'oola, «Ha taani sisiyaa dorssaa waasuunne miizzaa waasuu ayee?» yaageedda.
090f0f00df	Saa'ooli, «Olanchchatuu hawantta Amaaleek'atuwaappe aheeddino; unttunttu Med'inaa Godaw, ne S'oossaw yarshshanaw, ubbaappe lo"iyaa dorssatuwaanne miizzatuwaa ashsheddinno; shin haratuwaa muliyaakka d'aysseeddo» yaageedda.
090f100092	Sammeeli Saa'oola, «Ane ek'k'a; Med'inaa Goday zino k'amma taw odeeddawaa taani new oday» yaageedda. Hewaappe guyye Saa'ooli, «Oda» yaageedda.
090f1100b7	Sammeeli Saa'oola yaageedda; «Neeni neena s'eellina guutsa gidooppenne, Israa'eeliyaa zaretoo kaatiyaa gidabeykkii? Israa'eeliyaa bolla kaatetana mala, Med'inaa Goday neena okkeedda.
090f120088	S'oossay neena, ‹Baade Amaaleek'a asatuwaa iitatuwaa ubbaanna d'ayssa; unttunttu wurana gakkanaw unttuntta ola› yaagiide kiitteedda.
090f130086	Yaatina, ayaw Med'inaa Godaw azazettabeykkii? Ayaw omoodoo yaaretaade Med'inaa Godaa S'oossaa sintsan iitabaa ootsaaddii?» yaageedda.
090f1400a7	Saa'ooli, «Taani Med'inaa Godaa k'aalaw azazettaaddi! Med'inaa Goday taana kiitteeddawaadan baad; Amaaleek'a asatuwaa wod'a wurssaad; unttunttu Kaatiyaa Agaaga ahaad.
090f15009a	Shin olanchchatuu omooduwaappe dorssaanne miizzaa ubbaappe lo"iyaawantta, Med'inaa Godaw, ne S'oossaw, Gelggalan yarshshanaw akkiide yeeddino» yaageedda.
090f1600e7	Sammeeli Saa'oola, «Med'inaa Goday bare k'aalaw azazettiyaawaan nashettiyaawaa keeshshaa s'uuggiyaa yarshshuwaaninne imotaan nashettii? Be'a; azazettiyaawe yarshshiyaawaappe aad'd'ee; k'ay sisiyaawe dorssaa mod'd'uwaappe aad'd'ee.
090f1700cb	Ayaw gooppe, d'ibiyaawe shareechchiyaa nagaraa mala; k'ay otorettiyaawe eek'aw goynniyaa itatetsaa mala. Neeni Med'inaa Godaa k'aalaa is's'eedda diraw, I neeni kaatiyaa gidiyaawaa is's'eedda» yaageedda.
090f180096	Saa'ooli Sammeela, «Taani nagaraa ootsaad; Med'inaa Godaa azazuwaanne ne k'aalaa toochchaad. Taani asaw yayyeedda diraw, unttunttu geeddawaa ootsaad.
090f19006d	Hay ta nagaraa atto gaarikkii; taani Med'inaa Godaw goynnana mala, taananna Gelggala denddarkkii» yaageedda.
090f1a00b7	Sammeeli Saa'oola, «Taani neenana simmaade biikke! Neeni Med'inaa Godaa k'aalaa is's'eedda diraw, neeni Israa'eeliyaa bolla kaatiyaa gidiyaawaa Med'inaa Goday is's'eedda» yaageedda.
090f1b0065	Sammeeli Saa'oola matappe baanaw denddina, Saa'ooli Aa mayuwaa mac'araa oyk'k'ina mayuu peed'eteedda.
090f1c0079	Sammeeli Saa'oola, «Med'inaa Goday hachche Israa'eeliyaa kawutetsaa neeppe peed'iide neeppe lo"iyaa ne shooroo immeedda.
090f1d007f	Israa'eeliyaa Bonchchuu worddotenna, woy bare k'ofaa laammenna; ayaw gooppe, bare k'aalaa laammanaw I asaa gidenna» yaageedda.
090f1e00ec	Saa'ooli Sammeela, «Taani nagaraa ootsaad; shin ta gadiyaa c'imatuwaa sintsaaninne Israa'eeliyaa asaa sintsan hay taana kawushshopparkkii; taani Med'inaa Godaw, ne S'oossaw goynnanaadan, neeni taananna denddarkkii» yaagiide zaareedda.
090f1f005e	Hewaa diraw, Sammeeli Saa'oolanna ittippe Gelggala beedda; Saa'ooli Med'inaa Godaw goynneedda.
090f2000b6	Hewaappe guyyiyaan Sammeeli, «Amaaleek'atuwa Kaatiyaa Agaaga taakko ahite» yaagiide azazeedda. Agaagi kokkoriidde Sammeelakko yeedda; «Tumu hayk'k'u hawaadan c'ammii!» yaageedda.
090f2100b5	Sammeeli Agaaga, «Ne mashshay mac'c'awantta mela ashshowaadan, ne daayakka mac'c'awanttu giddon mela attana» yaageedda. Sammeeli Agaaga Med'inaa Godaa sintsan Gelggalan siifeedda.
090f220061	Hewaappe guyyiyaan, Sammeeli denddiide, Raama katamaa beedda; Saa'oolekka bare soo Gib'aa beedda.
090f2300c4	Sammeeli hayk'k'ana gakkanaw, Saa'oola be'anaw simmiide laa'entso bibeena; giddooppene, Sammeeli Saa'oola diraw yeekkeedda. Saa'oola Israa'eeliyaa bolla kaateyeeddawoo Med'inaa Goday kayyotteedda.
091001013a	Med'inaa Goday Sammeela, «Israa'eeliyaa bolla I kaatiyaa gidenna mala, taani is's'akichcheedda Saa'oola diraw, neeni awude gakkanaw yeekkay? Ane kac'iyaan zayitiyaa kuntsaade kesa; taani neena Beetaliheemiyaa Isseyakko kiittay; kaatiyaa gidana mala, taani Aa naanatuwaa giddoppe ittuwaa doora wotsaad» yaageedda.
09100200b5	Sammeeli, «Taani waanaade boo? Saa'ooli sisiide taana wod'ana» yaageedda. Med'inaa Goday Sammeela, «Ussatto ittinno akka baade, ‹Taani Med'inaa Godaw yarshshanaw yaad› yaaga.
0910030073	Isseyakka yarshshuwaa sa'aa s'eesa. Neeni ootsanabaa taani neena bessana; taani new odiyaawaa taw okka» yaageedda.
09100400be	Sammeeli Med'inaa Goday odeeddawaa ootseedda; Beeteleeme beedda. Beeteleeme katamaa c'imatuu kokkoriidde aanana gaketeeddino. Unttunttu Aa, «Neeni sarotetsaw yaad?» yaagiide oochcheeddino.
09100500e6	Sammeeli, «Ee; sarotetsaw yaad; taani Med'inaa Godaw yarshshanaw yaad; hinttenttukka geeyite; yaatiide taananna yarshshuwaa sa'aa denddite» yaageedda; k'ay Isseyanne Aa naanaa geeshshiide, yarshshuwaa sa'aa unttuntta s'eeseedda.
09100600b5	Unttunttu yarshshuwaa sa'aa gakkiyaa wode, Sammeeli Isseya na'aa Eli'aaba be'iide, «Tumuppe Med'inaa Goday okkiyaawe hawaan Med'inaa Godaa sintsan ek'k'eedda» yaagiide k'oppeedda.
09100700f0	Shin Med'inaa Goday Sammeela, «Aa malaa woy Aa geesaa adussatetsaa s'eelloppa; taani Aa is's'aad. Ayaw gooppe, taani Med'inaa Goday Asay s'eelliyaawaadan s'eellikke; Asay deemuwaa s'eellee; shin Med'inaa Goday wozanaa s'eellee» yaageedda.
091008007d	Isseyi Abinaadaaba s'eesiide, Sammeela sintsa aatseedda; Sammeeli, «tuytti; Med'inaa Goday hawaakka dooribeenna» yaageedda.
0910090066	Yaatina, Isseyi Shaama aatseedda; Sammeeli, «tuytti; Med'inaa Goday hawaakka dooribeenna» yaageedda.
09100a0096	Hewaadan ootsiidde, Isseyi bare naanaa laappunuwaa Sammeela sintsa aatseedda; shin Sammeeli Isseya, «Med'inaa Goday hawantta dooribeenna» yaageedda.
09100b00fb	Hewaa diraw, I Isseya, «New de'iyaa naanay hawanttu s'alaleeyye?» yaagiide oochcheedda. Isseyi, «Ubbaappe teefa na'ay atteedda; shin I dorssatuwaa heemmee» yaageedda. Sammeeli, «Kiittaade Aa ahissa; I yaana gakkanaw nuuni yarshshokko» yaageedda.
09100c0097	Isseyi kiittiide, na'aa ahiseedda; he na'ay arssa; ayfiyaana lo"iyaa malaa lo"a. Med'inaa Goday Sammeela, «Dendda ek'k'aade okka; hawe Aa» yaageedda.
09100d00e1	Sammeeli kac'iyaa zayitiyaa akkiide, Aa ishatuu sintsan Daawita okkeedda. He gallassappe doommiide, Med'inaa Godaa Ayyaanay Daawita bollan wolk'k'appe wod'd'eedda. Hewaappe guyyiyaan, Sammeeli denddiide, Raama katamaa beedda.
09100e0074	Med'inaa Godaa Ayyaanay Saa'oolappe shaaketeedda; Med'inaa Godaappe kiitetteedda iita ayyaanay Saa'oola un"etseedda.
09100f004f	Saa'oola k'oomatuu Aa, «S'oossaappe kiitetteedda iita ayyaanay neena un"etsee.
09101000e7	Nu goday diitsaa loytsi diis's'iyaa asaa koyana mala, bare k'oomatuwaa, hawaan de'iyaawantta azazo. S'oossaappe kiitetteedda iita ayyaanay neena oyk'k'iyaa wode, he bitani diitsaa diis's'ana; I diis's'ina new keekana» yaageeddino.
0910110067	Saa'ooli bare k'oomatuwaa, «Diitsaa loytsiide diis's'iyaa asaa koyiide, taw akkiide yiite» yaageedda.
09101200ef	K'oomatuwaappe ittuu Saa'oola, «Be'a; Beetaliheemiyaa Isseyaw diitsaa loytsiide diis's'iyaa itti na'ay de'ee. He na'ay s'alanne tooranchcha asaa; haasayaw c'inc'c'anne malaa lo"a asaa; k'ay Med'inaa Goday aanana ittippe de'ee» yaageedda.
0910130065	Yaatina, Saa'ooli Isseyakko kiittiide, «Ne dorssaa heemmiyaa ne na'aa Daawita taw yedda» yaageedda.
0910140092	Hewaappe guyye Isseyi ukitsaa, ogoruwaa woyniyaa eessaanne galo dorssaa mara ittuwaa hariyaan c'aaniide, bare na'aa Daawitana Saa'oolaw yeddeedda.
0910150089	Daawite Saa'oolakko yeedda; Aa kiitan geleedda. Saa'ooli Daawita loytsi doseedda; Daawite Saa'oolaw ola miishshaa oyk'k'iyaawaa gideedda.
0910160065	Yaatina, Saa'ooli Isseyaw, «Daawite taw ootsiidde gam"ishsho; taani Aa dosaad» yaagiide kiitteedda.
09101700c8	Hewaappe simmina, S'oossaappe kiitetteedda iita ayyaanay Saa'oola oyk'k'iyaa wode ubbaan, Daawite diitsaa akkiide bare kushiyan diis's'e; iita ayyaanay Aa yeddiyaa diraw, Saa'oolaw keekeenne I pas'ee.
09110100d0	Piliss's'eema asatuu barenttu olanchchatuwaa Yihudaan de'iyaa Sookko geetettiyaa sa'aa olaw shiishsheeddino; Sookoppenne Azeek'appe gidduwaan de'iyaa Efess's'amiima geetettiyaa itti sa'aan shiik'i utteeddino.
0911020084	Saa'oolinne Israa'eelatuu Eela geetettiyaa zanggaaraan shiik'i utteeddino; Piliss's'eema asatuwaana olettanaw salppiyaan keseeddino.
0911030087	Piliss's'eema olanchchatuu itti deriyaan salppina, Israa'eelatuukka hara deriyaan salppeeddino; unttunttu laa"uwaa zanggaaray shaakkee.
091104009b	Gaate kataman de'iyaa, Gooliyaada geetettiyaa itti tooraa k'ara bitanii Piliss's'eematuu shiik'eedda sa'aappe yeedda; Aa geesay usuppun wad'anne takkaad'e.
0911050091	I ishatamanne laappun kiilo giraame dees'iyaa nahaasiyaa birataa kootiyaa mayyeedda; k'ay nahaasiyaa birataa k'op'iyaa bare huup'iyaan wotseedda.
0911060081	Nahaasiyaa birataa gambbaaliyaa bare gediyaan aatseedda; bare hashiyaan nahaasiyaa birataappe k'os'etteedda s'ink'k'aa tookeedda.
09110700a0	Aa bodiyaa toomay shemayinniyaa wonddarashiyaa keeshshaa; bodiyaa ayfii laappun kiilo giraame dees'ee; gonddalliyaa tookkeedda itti bitanii Aa sintsan hamettee.
0911080138	Gooliyaade ek'k'iide, k'aalaa d'ok'k'u ootsiide, Israa'eeliyaa olanchchatoo hawaadan yaagiide c'eek'k'eedda; «Hinttenttu waanana giide olaw salppeedditee? Taani Piliss's'eema asaa gidikkittaa? K'ay hinttenttu Saa'oola k'oomatuwaa gidikkitee? Ane hinttenttu giddoppe itti asaa doorite; he bitanii taakko wod'd'o.
09110900b4	He bitanii taananna olettiide taana wod'ooppe, nuuni hinttenttu k'oomatuwaa gidana; shin taani Aa s'oonaade wod'ooppe hinttenttu nu k'oomatuwaa gidananne nuw moodetana» yaageedda.
09110a0090	K'aykka he Piliss's'eeme bitanii, «Taani hachche Israa'eeliyaa olanchchatuwaa naassay; taw itti asaa immite; ane laa"u oletteetto!» yaageedda.
09110b0062	Saa'oolinne Israa'eelatuu Piliss's'eemiyaa k'aalaa sisiide, yeellateeddinonne daroppe yayyeeddino.
09110c00c4	Daawite Yihudaa gadiyaan Beeteleheemen de'iyaa Efiraataa Isseya na'aa. Isseyaw hosppun attuma naanay de'iino; Saa'ooli kaatiyaa gidiide de'iyaa wode, Isseyi loytsi c'imeeddanne daro de'eedda asaa.
09110d00bc	Isseya attuma naanay bayiratiyaawanttu heezzatuu Saa'oola kaalliide olaa beeddino; olaa beedda Aa heezzu naanatuwaa suntsay hawaa; bayiray Eli'aaba; teefay Aminaadaaba; heezzentsuu Shaama.
09110e004e	Daawite naanatuwaa ubbaappe teefa. Bayira heezzu naanay Saa'oola kaalleeddino;
09110f0058	shin Daawite bare aawuwaa dorssatuwaa heemmanaw Saa'oola mataappe Beeteleeme simerettee.
0911100052	He Piliss's'eemi oytamu gallassaa guuranne omarssi yiide, Israa'eelatuwaa naassee.
09111100d0	Itti gallassi Isseyi bare na'aa Daawitaw hawaadan yaageedda; «Ha s'iis'etteedda tishaappe tammu kiilo giraamiyaanne ha tammu ukitsatuwaa akkaade, ne ishatoo afaade ne ishatuu shiik'eedda sa'aa ellekka gatsa.
0911120092	Ha tammu nukaa pilatuwaakka unttunttu shaalak'aw afa; ne ishatuu waan de'intto be'aade, unttunttu saro de'iyaawoo malaataa unttuttuppe akkaade ya.
0911130086	Kaatiyaa Saa'ooli, ne ishatuwaanne Israa'eeliyaa Asay ubbay, Piliss's'eema asatuwaana olettiide, Eela Zanggaaraan de'iino» yaageedda.
09111400e2	Daawite wontta guuraanna denddiide dorssaa wudiyaa hara asaa hentsiide, Isseyi azazeeddawaa c'aani akkiide beedda. Israa'eeliyaa olanchchatuu barenttu k'aalaa d'ok'k'u ootsiide garmmaamiidde olaw salppishin, Daawite gakkeedda.
0911150056	Israa'eeliyaa asatuunne Piliss's'eema asatuu ittuu ittuwaakko s'eelliide salppeeddino.
0911160081	Daawite bare aheedda miishshaa shink'k'aa naagiyaawaa kushiyan wotsiide, olaa salppiyaa wos's'i biide, bare ishatuwaa saroteedda.
09111700d1	Daawite bare ishatuwaanna haasayishin, Gaateppe yeedda tooraa k'aray, Piliss's'eemiyaa Gooliyaade bare salppiyaappe gas'aa kesiide, haroodewaadankka Israa'eelatuwaa naasseedda; I naassiyaawaa Daawite siseedda.
0911180059	Israa'eeliyaa Asay ubbay he bitaniyaa be'eedda wode, loytsi yayyiide aappe bak'atteedino.
0911190126	Israa'eeliyaa Asay ittuu ittuwaa, «Ha kesiyaa bitaniyaa be'eedditee? I tumuwaappe Israa'eeliyaa naassanaw kesseedda! Ha bitaniyaa wod'iyaa uraw Kaatiyaa Saa'ooli daro ak'uwaa immana; k'ay bare naattokka aw immana; Aa aawuwaa golliyaa Asay Israa'eelan kaatiyaa giiraakka giirenna» yaageeddino.
09111a00f4	Daawite bare matan ek'k'eedda asaa, «Ha Piliss's'eemiyaa wod'iide, ha yeellaa Israa'eeliyaappe k'uc'c'iyaa uraw ayay oosettanee? Ha k'as's'arettibeenna Piliss's'eemi, de'uwaa S'oossaa olanchchatuwaa naassiyaawe I oonee?» yaagiide oochcheedda.
09111b006c	Shin unttunttu Aa, «Ha bitaniyaa wod'iyaa uraw hawe hawe oosettana» yaagiide kasewaadankka aw zaareeddino.
09111c0116	Daawite asaana haasayiyaawaa Aa ishay ubbaappe bayiray Eli'aabi sisiide, Daawita bolla hank'k'uwaa ees's'i kesseedda; «Neeni ha sa'aa ayaw yaad? He amareeda dorssatuwaa woran oonana yeggaad? Ne otoruwaanne ne wozanaa itatetsaa taani eray; neeni olaa be'anaw yaadda» yaageedda.
09111d0060	Daawite, «Taani ha"i ay ootsaadditaa? Haray attooppe haasayanawukka danddaykkitaa?» yaageedda.
09111e006e	Daawite bare ishaa aggiide, hara asaakko simmiide, kasewaadankka oochcheedda; Asay aw kasewaadankka zaareedda.
09111f005b	Daawite haasayeeddawaa siseedda asatuu Saa'oolaw odeeddino; Saa'ooli Daawita s'eesisseedda.
0911200084	Daawite Saa'oola, «Ha bitaniyaa gaasuwaan O wozanaykka yayoppo; taani ne k'oomay baade, ha Piliss's'eemiyanna olettana» yaageedda.
09112100a8	Saa'ooli Daawita, «Ha Piliss's'eemiyanna neeni olettanaw danddayakka; ayaw gooppe, neeni na'aa; shin na'atetsaappe doommiide, I olettiide dic'c'eedda asaa» yaageedda.
091122009a	Shin Daawite Saa'oola, «Taani ne k'oomay ta aawuwaa dorssatuwaa heemmay; gaammuu woy Babbantsaa malatiyaa do'ay yiide wudiyaappe dorssaa oyk'k'iyaa wode,
091123006d	Aa kaallaade taani baade Aa doonaappe wotsa akkay; taakko simmiyaa wode, buuchchaa oyk'k'aade, shoc'a wod'ay.
09112400ac	Taani ne k'oomay gaammuwaanne babbantsa wod'aad; ha k'as's'arettibeenna Piliss's'eemi de'uwaa S'oossaa olanchchatuwaa naasseedda diraw, ikka unttunttuppe ittuwaadan hanana.
09112500c0	Gaammuwaanne babbantsa s'uguntsaappe taana ashsheeda Med'inaa Goday ha Piliss's'eemiyaa kushiyaappekka ashshanawaa» yaageedda. Saa'ooli Daawita, «Ba; Med'inaa Goday neenana gido» yaageedda.
09112600a9	Hewaappe guyyiyaan, Saa'ooli bare mayuwaa Daawita mayzeedda; Daawita huup'iyaan nahaasiyaa birataa k'op'iyaa wotseedda; nahaasiyaa birataa kootiyaakka Daawita mayzeedda.
0911270130	Daawite bare ola mayuwaa bolla mashshaa danc'c'eedda; hametti be'eedda; shin danddayibeenna; ayaw gooppe, hewaa malaa mayuwaa mayyi erenna. Hewaappe guyyiyaan, Daawite Saa'oola, «Taani hawaa mala mayuwaa mayyaade meezetabeenna diraw, hawaana baanaw danddaykke» yaagiide ola mayuwaa ubbaanna k'aareedda.
09112800b8	Daawite bare hentsaa gatimaa oyk'k'iide, shaafaappe muyla shuchchaa ichcheshatuwaa mas'i akkiide, bare k'arc'c'iituwan yeggeedda; bare yambbarshshaa oyk'k'iide, Gooliyaadekko mateedda.
0911290068	Gooliyaadekka Daawitakko shiik'i shiik'iide matattedda; gonddalliyaa tookkiyaa bitanii Aa sintsan de'ee.
09112a0074	I Daawita tishshi ootsi s'eelliide, Daawite na'aa gideeddawaanne malaa lo"anne arssa giddeeddawaa be'iide kad'eedda.
09112b0088	Daawita, «Neeni gatimaa oyk'k'aade ta bolla yaanaw, taana kanaa gaaddiyye?» yaageedda; bare s'oossatuwaa suntsan Daawita shek'k'eedda.
09112c0061	I k'aykka Daawita, «Haaya; taani ne ashuwaa saluwaa kafotoonne sa'aa do'atoo immana» yaageedda.
09112d00e1	Daawite Piliss's'eemiyaa, «Neeni mashshaa, bodiyaanne s'ink'k'aa oyk'k'aade ta bolla Iyyaasa; shin taani Ubbaappe Wolk'k'aama Med'inaa Godaa suntsan, neeni naasseedda Israa'eeliyaa olanchchatuu S'oossaa suntsan ne bolla yay.
09112e0112	Hachche Med'inaa Goday neena ta kushiyan aatsi immana; taani neena shoc'ana; ne k'ood'iyaakka muuc'a olana. Piliss's'eema olanchchatuwaa anhaa saluwaa kafotuwawunne sa'aa do'atoo taani hachche immana; yaatina, Israa'eelan S'oossay de'iyaawaa sa'aan de'iyaa Asay ubbay erana.
09112f00c4	Med'inaa Goday bare asaa ashshanaw tooraa woy mashshaa koyennawaa hawaan shiik'eedda Asay ubbay erana; ayaw gooppe, olay Med'inaa Godaawaa. I hinttentta ubbaa nu kushiyan aatsi immana» yaageedda.
0911300075	Piliss's'eemi denddiide biide, Daawitana olaa gaketanaw shiik'eedda wode, Daawite olettiyaa olaw ellekka wos's'eedda.
09113100f4	Daawite bare k'arc'c'iitiyaa giddo kushiyaa yeddiide, itti shuchchaa akkiide yambbarshshan wotsiide yambbariide, Piliss's'eemiyaa deemuwaa c'addeedda. Shuchchay bitaniyaw deemuwaa giddo geleedda; yaatina, bitanii biittan guufanniide kunddeedda.
0911320098	Yaatiide Daawite Piliss's'eemiyaa yambbarshshaaninne shuchchaan s'ooneedda. Daawite bare kushiyan mashshay baynnan Piliss's'eemiyaa c'addiide wod'eedda.
09113300ed	Daawite wos's'iidde biide, Aa bolla kes ek'k'iide, Piliss's'eemiyaa mashshaa oyk'k'iide shookuwaa giddoppe shoddi akkiide, Aa k'ood'iyaa muuc'eedda. Piliss's'eema asatuu barenttu tooraa k'aray hayk'k'eeddawaa be'eedda wode bak'atteedino.
09113400fa	Israa'eeliyaa asaynne Yihudaa Asay denddiide waasiidde, Piliss's'eema asatuwaa Gaatenne Ek'iroona katamatuwaa penggetuwaa gatsanaashin yedersseeddino; Piliss's'eema asaa anhay Gaatenne Ek'iroona gakkanaw, Shaa'irayma afiyaa ogiyaan ubbaan kunddeedda.
0911350068	Israa'eeliyaa Asay Piliss's'eema asatuwaa yederssi simmiide, unttunttu shiik'eedda sa'aa bonk'k'eeddino.
0911360080	Daawite Piliss's'eemiyaa k'ood'iyaa Yerusaalame aheedda; shin Piliss's'eemiyaa ola miishshaa bare dunkkaaniyaa giddon wotseedda.
09113700e9	Daawite Piliss's'eemiyaakko biishshin, Saa'ooli be'eedda wode, olanchchatuu kaappuwaa Abaneera, «Abaneera, ha wodallay O na'ee?» yaagiide oochcheedda. Abaneeri Saa'oola, «Kawoo, ne shemppu ero taani Aa erikke» yaagiide zaareedda.
