2a00000005	Luuka
2a091b0056	Mbabwirire okuli: Baguma omu bali hano barhaafa embere babone obwime bwa Nnamahanga.»
2a091c0083	Enyuma w'esiku zakagera ku munaane Yeesu aderhere ntyo, arhoola Petero, Yohaana na Yakobo; azamuukira oku musozi guhema Nnamahanga.
2a091d006f	Abeere ali ahema, eshusho ly'amalanga maage lyahindamuka, n'emyambalo yaage yaba mweru bweneene n'okubaraganya.
2a091e004b	Ho n'aho haboneka bantu babiri bali kuganiira naye: baliiri Muusa na Eliya,
2a091f0096	babonekana omu bukuuze gurhenga emwa Nnamahanga. Baalema baganiira haguma na Yeesu ebiyerekeere okugenda kwage kwali kwaneene kuyenerera eYerusaleema.
2a0920008c	Mwamo mango, Petero n'abaabo baliiri ero bweneene. Basisimukire, baabona obukuuze bwa Yeesu na bala balume babiri baliyimangire haguma naye.
2a092100eb	Muusa na Eliya babeere bali balekana na Yeesu, Petero amubwira ntya: «Mwigiriza, kuli kwinja rhubeere hano. Rhwayumbaka biraaro bisharhu: chiguma chaawe, echindi cha Muusa n'echindi cha Eliya.» Petero arhalimenyere ebyaliiri kuderha.
2a09220093	Petero abeere ali aderha ntyo, oluhomo lwayinja lwanabashukulira n'egichuuchu chaalo. Abigirizwa babeere baabona oluhomo lwabashukulira, bayuubaha.
2a09230058	Omulenge gwayunviikana m'olo luhomo: «Oyuula ye Mugala waani nachishogere. Mumuyunve!»
2a09240097	Enyuma w'ogo mulenge okuyunviikana, Yeesu obonekana ali yenyine. Abigirizwa baasira, na ntaaye babwirire chintu, mwamo mango, oku bibabonaga ko ahoola.
2a09250089	Olusiku lwakulikiraga, Yeesu na balaala bigirizwa basharhu aliiri nabo, barhenga oku musozi. Abantu banene bayinja gushigaanana na Yeesu.
2a0926007c	Omuntu muguma ayaamira ntya ahagarhi k'abantu: «Mwigiriza, nkuyingingire, ondolere ono mugala waani, kwenge ali w'echinege.
2a092700ab	Hali omuzimu onamufarha, ho n'aho anamuyamiisa olujamu, anamudirhimanya bweneene, anamukuliisa olufula omu buunu, n'ogurhamurhenga mo juba, n'okumuleka eyi amamuvunangula.
2a09280046	Nayingingire abigirizwa baawe bakuule oyo muzimu, aliko barhagalaga.»
2a0929008e	Yeesu aderha ntya: «Mwe gisisi chibi na chizira bwemeezi, kugera mango machi nabeera haguma nenyu n'okubalembera? Leerha mugala waawe hano.»
2a092a00a0	Omwana abeere ali ayegeera Yeesu, ola muzimu amubanda ahashi n'ogurhondera kumudirhimanya. Aliko Yeesu akalihira oyo muzimu, afumya omwana n'okumugalulira eshe.
2a092b008e	Abantu booshi basoomererwa obuhashe bunene bwa Nnamahanga. Oku booshi bali basoomererwa byooshi Yeesu ali ajira, abwira abigirizwa baage ntya:
2a092c0059	«Muyunve bwinja ebi nashonda kubabwira: Mwene oMuntu ayinja guhanwa omu fune z'abantu.»
2a092d00ba	Aliko abigirizwa barhayunvaga echi chinwa, eby'echi chinwa chiderhere byalibishirhwe y'abigirizwa barhamenyaga echi chiderhere. Baanali bayuubahire kubaza Yeesu ebiyerekeere echi chinwa.
2a092e004c	Haahulukira obuhaka omu bigirizwa b'ogushonda kumenya nde oli mukulu omu bo.
2a092f005f	Yeesu walimenyere obukengeere bw'emirhima yaabo, arhoola omwana murho, amuhira eburhambi bwage.
2a093000af	Ababwira ntya: «Oyankiriire oyu mwana oku ziino lyaani anyankiire nyenyine. N'onyankiriire ayankiriire owantumaga. Bulaala oli mudoorho omu mweshi oyo yeeri mukulu kulusha.»
2a0931008f	Yohaana ava aderha ntya: «Mwigiriza, rhwabonaga omuntu oli akuula abazimu oku ziino lyaawe. Rhwamubuza bulaala arhagukulikira haguma neerhu.»
2a09320058	Yeesu amushubiza ntya: «Murhamubuzaga, bulaala orhali mushombanyi wenyu ey'ali wenyu.»
2a09330068	Esiku Yeesu alikwaneene guheekwa omu mpingu zabeere zaaba hoofu, Yeesu ahiga bweneene kuja eYerusaleema.
2a09340085	Arhuma ab'okubala emyaazi embere zaage. Bagenda n'okuja omu gishagala chiguma ch'aBasamariya kumurheganyiza eby'obulagiirire byooshi.
2a0935004f	Aliko aBasamariya balahira kumuyankirira bulaala aliiri ayerekera eYerusaleema.
2a0936009f	Abigirizwa ba Yeesu, Yakobo na Yohaana babeere bamenya ntyo, baderha ntya: «Nnaweerhu, k'oshondere rhubwire omuliro guchime gurhenga empingu kubasingonyola?»
2a09370025	Yeesu abahindamukira n'okubakalihira.
2a09380020	Baava baja omu chindi gishagala.
2a0939005d	Babeere bali omu njira, omuntu muguma abwira Yeesu ntya: «Nagukulikira ngasi hooshi waaja.»
2a093a0092	Yeesu amubwira ntya: «Emitereri ejira enkunda n'enyunyi z'omu chaalege zijira enyogo, sy'aliko Mwene oMuntu arhajira ahagahengeka erhwe lyaage.»
2a093b007c	Yeesu abwira owindi ntya: «Onkulikire.» Aliko oyo muntu aderha ntya: «Nnaweerhu, onyemereere ntange nje guhamba daarha.»
2a093c0070	Yeesu amushubiza ntya: «Oleke abafu bahambe abafu baabo; wooyo ogende, oje kuyaamagaza oBwami bwa Nnamahanga.»
2a093d0079	Owindi muntu abwira Yeesu ntya: «Nnaweerhu, handeke nagukulikira, sy'aliko onyemereere ntange nje guseezera ab'emwani.»
2a093e0075	Yeesu amubwira ntya: «Omuntu wamarhondera guhinga akanashuba kulola enyuma, arhakwaneene omu Bwami bwa Nnamahanga.»
2a0a0100af	Enyuma w'ebyoola, Nnaweerhu achishoga bandi bigirizwa makumi gali mushanvu na babiri. Abarhuma babiri-babiri bamurhange omu gishagala chooshi na ngasi hooshi alikwaneene kuja.
2a0a02008a	Yeesu ababwira ntya: «Emyaaka y'ogushaluula elugire, sy'aliko abakozi bageehere. Leero, muheme nyina emyaaka arhume abakozi kuyishaluula.
2a0a030039	Mugende! Mbarhumire nka byaanabuzi ahagarhi ka banyambwe.
2a0a040065	Murhaheekaga chiro lufuranga, changwa eshaho, changwa ebindi biraato. Na ntaaye mulamusage omu njira.
2a0a050053	Omu ngasi nju nji mwaja mo, murhange muderhe ntya: ‹Omurhuula gube kw'eyi nju!›
2a0a060083	Akaba omoola muli omuntu oshondere omurhuula, ogo murhuula gwenyu gwanamubeera ko; n'akaba nanga, omurhuula gwenyu gwanabagalukira.
2a0a07007a	Mubeere mw'eyoola nju, mulye munanywe ebi nji baabaha, kwenge omukozi akwaneene omukamarho gwage. Murhazereeraga omu maju.
2a0a080048	Na ngasi gishagala nji mwaja mo, bakabayankirira, mulye ebi nji baabaha.
2a0a09005c	Mufumye abalwala nji baaba mo, munababwire ntya: ‹Obwime bwa Nnamahanga bwabayegereere.›
2a0a0a0070	Aliko, omu ngasi gishagala nji mwaja mo nji bakalahira kubayankirira, mugende omu njira zaacho munababwire ntya:
2a0a0b00b6	‹Rhubakungurhiire olujuchu lw'egishagala chenyu lwali lunaniirire oku magulu meerhu, lo lubaage buhamiiriza bw'amabi menyu. Aliko mumenye k'obwime bwa Nnamahanga bwabayegereere.›
2a0a0c0051	Mbabwirire oku m'olo lusiku nji byayoolohera Sodoomo kulusha echoola gishagala.»
2a0a0d0124	«Buhanya buchi oku wooyo gishagala ch'eKoraziini! Buhanya buchi oku wooyo gishagala ch'eBetesayida! Akaba ebisomereene byajirikeene emwenyu byakajirikeene eTiiro n'eSidoona, singa hamaagera siku zinene abantu b'eyoola balekere ebyaaha byaabo, singa bayambeere ebigunira n'okuyikala omu luvu!
2a0a0e005b	Cho charhuma, olusiku l'ogucha olushinja nji byayoolohera Tiiro na Sidoona kubalusha mwabo.
2a0a0f007b	Nawe gishagala ch'eGaperinaumu, k'omenyere mpu nji wazamuulwa guhika echaalege? Nangwa da! Nji wayandagazwa guhika ekuzimu.
2a0a100072	Obayunviriize eyi nyoono ny'ayunviriize, obalahiire eyi nyoono ny'alahiire, n'ondahiire eyi alahiire owantumaga.»
2a0a1100ab	Abigirizwa makumi gali mushanvu na babiri bagaluka n'obushagaluke n'okuderha ntya: «Nnaweerhu, n'abazimu nabo yi barhukenga amango rhuli rhwabarhegeka oku ziino lyaawe.»
2a0a120058	Yeesu ababwira ntya: «Nabonaga Shetaani arhoga gurhengera omu chaalege nka mubaraganyo.
2a0a130091	Muyunve bwinja: nabaheere oburhegesi b'okulabarha enjoka n'engobe, n'ogusinyongola obuhashe booshi bw'mushombanyi, na ntaacho nji chabajira kubi.
2a0a140074	Sy'aliko murhasiimaga kwenge abazimu bali babayunva; ahuubwe musiime okuba amaziino menyu mayandikirwe omu mpingu.»
2a0a15011b	Mw'ako gashanji, Yeesu ayunjuzwa obushagaluke kugerera Muuka-Mutagatiifu, aderha ntya: «Daarha wee, Nnaweerhu w'omu mpingu n'omu gulu, ngusimiriize kwenge ebi bintu wabibishire abanyabwenge n'abahanga, wanabibishuulira abaana badoorho. Neechi Daarha, bulaala ntyo ku walisimiisizwe.
2a0a1600a6	Daarha ampeere byooshi. Ntaaye onyinji nyoono Mugala nk'arhali Daarha yenyine, na ntaaye oyinji Daarha nk'arhali oMugala na ngasi yeeshi oMugala ashondere amumenye.»
2a0a170073	Yeesu ahindamukira abigirizwa baage, ababwirira ntya eburhambi: «Magishirwe ameesho mali maabona ebi muli mwabona!
2a0a1800c5	Bulaala, mbabwirire oku, baleebi banene n'abaami banene bali bashondere kubona ebi mwabo muli mwabona, aliko barhabibonaga ko. Bashondere kuyunva ebi mwabo muli mwayunva, aliko barhabiyunvaga ko.»
2a0a1900a3	Buzinda bw'ebi, mwigiriza muguma w'amarhegeko ayimanga n'okubaza Yeesu ntya omu kumurhega: «Mwigiriza, bichi nkwaneene kujira yi mbona akalamo k'esiku n'amango?»
2a0a1a0057	Yeesu amushubiza ntya: «Bichi biyandikirwe omu Rhegeko? Gurhe oliyunva eyi walisoma?»
2a0a1b00d0	Omwigiriza w'amarhegeko ashubiza ntya: «Osiime Nnaweerhu Nnamahanga waawe n'omurhima gwawe gooshi, n'emisi yaawe yooshi n'obwenge bwawe bwooshi. Kandi: Osiime n'omutuuranyi waawe nka okw'ochisiima wenyine.»
2a0a1c0054	Yeesu aja amubwira ntya: «Washubiize bwinja. Ojire ebyoola oderhere, nji waalama.»
2a0a1d005e	Aliko yeewe ashonda kuyeerekana okw'akwaneene. Abaza Yeesu ntya: «Omutuuranyi waani ye nde?»
2a0a1e00dc	Yeesu ashuba kumubwira ntya: «Haliiri muntu muguma warhengaga eYerusaleema guchimira eYeeriko. Abeere ali omu njira, abugaanana n'ebishumuusi. Byamunyega byooshi aligwerhe, bamushuurha banagenda eyi bamulekere nka mufu.
2a0a1f0085	Haahulukira omudaahwa muguma wachimaga mw'eyo njira, abeere abona oyo muntu, achigerera oku lwindi lunda lw'enjira, naye achigendera.
2a0a200069	oMulaawi muguma naye agera ahoola, abona oyo muntu, achigerera oku lwindi lunda lw'enjira, anachigendera.
2a0a210057	Aliko, oMusamariya muguma waliiri lugenzi, ahika hoofu naye. Amubwene, amubeera obonjo.
2a0a2200ae	Ashegera aha ali, amushomoola ebibihulu omu kubisheeshera kw'amavurha n'edivaayi, abirhuba n'ebiraka. Amubarhulira oku ndogomi yaage, amuheeka omu nju y'abagenzi, anamulanga.
2a0a2300e3	Eseezi ly'aho, oyo Musamariya akuula dinaari ebiri omu shaho yaage, aziheereza nyina enju y'abagenzi n'okuderha ntya: ‹Obuke bwinja oyu muntu. Hano ngaluka, nakujuha nyenyine ebindi byooshi waaba wakoleeseze k'oyu muntu.›»
2a0a240092	Yeesu aja abaza ntya ola mwigiriza w'amarhegeko: «Nd'obwene mw'aba bantu basharhu walibeere mutuuranyi w'oyu muntu wabugaananaga n'ebishumuusi?»
2a0a250079	Omwigiriza w'amarhegeko ashubiza ntya: «Ola muntu wamubeeraga obonjo.» Yeesu amubwira ntya: «Genda, nawe ojire ntyo.»
2a0a260073	Oku Yeesu n'abigirizwa baage bali omu njira, Yeesu aja omu gishagala chiguma. Omukazi oyirikwa Marita amuyankirira.
2a0a270085	Oyo Marita aligwerhe mwene waabo oyirikwa Mariya. Oyo Mariya ayikala embere za magulu ma Nnaweerhu, aliiri ayunviriza eChinwa chaage.
2a0a2800c3	Aliko Marita yeewe aliiri gukola orhwasi rhunene. Ahulukira n'okuderha ntya: «Nnaweerhu, ka birhakulunzize kubona mwene weerhu andekere gukola orhwasi rhooshi nyenyine? Omubwire angwase maani.»
2a0a29005b	Nnaweerhu amushubiza ntya: «Marita, Marita, oli wachilunza n'oguchikobola na bintu binene.
2a0a2a006d	Hali chintu chiguma chonyine ch'obulagiirire. Mariya yeewe achishogere echintu gikwiriire, girhakamunyagwa.»
2a0b0100cf	Lusiku luguma, Yeesu aliiri hantu haguma ey'ali gusaliira. Abeere amala gusaliira, muguma omu bigirizwa baage amubwira ntya: «Nnaweerhu, orhuyigirize gusaliira nk'oku Yohaana ayigirizaga abigirizwa baage.»
2a0b020075	Yeesu ababwira ntya: «Nka mwasaliira, mugende mwaderha ntya: ‹Daarha, eziino lyawe likuuzwe, obwime bwawe buyinje.
2a0b030027	Orhuhe ebiryo byeerhu bya ngasi lusiku.
2a0b040084	Orhubabalire ebyaaha byeerhu, bulaala neerhu rhubabalira abarhujirira amabi. Orhanagenda warhuleka rhwarhogera omu chigeregezo.›»
2a0b0500aa	Yeesu ashuba kubwira abigirizwa baage ntya: «Nde omu mwabo wakagwarha mwira waage, akaja emwage ahagarhi k'obudufu kumubwira ntya: ‹Mwira waani, ompoze migati esharhu,
2a0b06006a	bulaala muguma omu beera baani ahikire ahamwani gurhengera omu lugenzi na ntaacho ngwerhe namusheegera.›
2a0b0700b0	Akaba owabo omushubiize ntya ey'anali omu mwage: ‹Leka okumbera erhwe; olunvi lwachingirwe miira, nyoono n'abaana baani, rhwalyaamire. Ntakagala kuzuuka mpu nguhe emigati.›
2a0b0800a1	Okuli mbabwirire, chiro akaba arhazuukire kumuha emigati bulaala ali mwira waage, azuuka bulaala mwira waage arhaluhire kumuyinginga, anamuha byooshi alagiriire.
2a0b090077	«Bobunoola nyoono mbabwirire ntya: Muheme, mwanahaabwa; mushonde, mwanabona; mukongoorhe oku lunvi, mwanachinguulirwa.
2a0b0a004a	Bulaala ohema ahaabwa, oshonda abona n'okongoorha oku lunvi achinguulirwa.
2a0b0b0054	Nde y'eshe w'omwana omu mwabo nk'omugala amuhemere efi, akamuha enjoka ahaali h'efi?
2a0b0c002a	Changwa, nk'amuhemere egi, akamuha engobe?
2a0b0d00b1	Akaba mwabo, mwe bantu babi, muyinji guha abaana benyu ebintu binja, gurhe Daarha w'empingu ojira olukogo lunene kulusha agafundwa guhaana Muuka-Mutagatiifu oku bamuhemere ye?»
2a0b0e00b9	Lusiku luguma, Yeesu aliiri gukuula omuzimu wajiraga omuntu muguma kuba nyamugama. Omuzimu abeere ahuluka, nyamugama arhondera kuderha. Abantu banene baliiri ahoola basoomerwa bweneene.
2a0b0f006c	Aliko bantu baguma baderha ntya: «Yeesu ali akoleesa Belizebuuli, mukulu w'abazimu, omu guhulusa abazimu.»
2a0b100052	Abandi bantu nabo baarhega Yeesu omu kumuhema echimenyeeso ch'ogurhengera empingu.
2a0b11009d	Aliko, Yeesu alimenyere enkengeero zaabo, ababwira ntya: «Obwami buchishandeeze bonyine, bujiire ebw'olufu lwabo; enju zaabo zanahenera mo ziguma oku zindi.
2a0b120099	Akaba leero Shetaani ali achilwisa yenyine, gurhe obwami bwage bwakalama, kwenge muli mwaderha mpu nyoono ndi nakoleesa Belizebuuli omu guhulusa abazimu?
2a0b13008a	N'akaba ndi nahulusa abazimu kugerera Belizebuuli, abaana benyu babahulusa kugerera nde? Chi nji charhuma bonyine nji baaba bazuuzi benyu.
2a0b14006c	Aliko, akaba ndi nahulusa abazimu kulengera obuhashe bwa Nnamahanga, k'okuderha k'obwime bwage bwabahikiire.
2a0b15006e	Omuntu w'emisi ohagarhiire emitwaro yaage, amango ali alanga enju yaage, ebikulo byaage eyi bilangirwe bwinja.
2a0b160098	Aliko, akaba omulushire emisi agahulukira n'okumuhima, akamunyega emitwaro yaage yooshi alilangaliire; na ntyo anagabira abandi bantu ebintu amunyegaga.
2a0b17005d	Omuntu orhali haguma naani eyi ali andwisa; n'omuntu orhangwasa kugusha eyi ali ashandaaza.»
2a0b1800a4	«Amango omuzimu arhengere omu muntu, anaja omu mpinga gushonda amahumuukiro. Na nk'amabulire, anaderha ntya: ‹Nkola kugaluka omu nju yaani, mula narhengeraga.›
2a0b19003d	Ey'ayigera mo, anayibugaana ehyagiirwe enarheganyizwe bwinja.
2a0b1a0094	Leero, anaja agenda gushonda bandi bazimu mushanvu babi kumulusha. Baanaja mo n'okubeera mo. Oboorhere b'oyo muntu bwanaba bubi kulusha obwambere.»
2a0b1b00a1	Yeesu abeere ali aderha ntyo, omukazi muguma mw'abo bantu banene aderha n'omulenge munene n'okumubwira ntya: «Enda yaguheekaga egishwe n'amabeere makuyonsaga!»
2a0b1c006a	Aliko Yeesu ashubiza ntya: «Ahuubwe, bagishirwe abali bayunva eChinwa cha Nnamahanga n'ogukulikira cho.»
2a0b1d00ba	Abantu banene babeere bali bachiigusha, Yeesu arhondera kuderha ntya: «Echi gisisi chiri gisisi chibi: chiri chashonda echimenyeeso. Girhagahaabwa echindi chimenyeeso kuleka echa Yoona.
2a0b1e007a	Kwenge nka kulaala Yoona abaaga chimenyeeso oku bantu b'eNinaawi, ko n'oko Mwene oMuntu aba chimenyeeso kw'echiila gisisi.
2a0b1f00ee	Olusiku l'ogucha olushinja, omugoli w'egarhongo nj'ahulukira haguma n'abantu b'echi gisisi. Nj'abahaniisa, bulaala alirhengere omu mahanga ma hale kuja kuyunva ebinwa by'obwenge bunene bwa Solomoono. N'obo hanoola hali olushire Solomoono!
2a0b2000d3	Amango m'ogucha olushinja, abantu b'eNinaawi nabo nji bayimanga haguma n'abantu b'echi gisisi, n'okugihaniisa. Kwenge balekere ebyaaha byaabo amango Yoona ayamagazaga omwazi. Leero hanoola hali olushire Yoona.»
2a0b210089	«Ntaaye ochaana etara mpu alihire ahabishirwe changwa omu garhanda; ahuubwe analihanika oku gikondo, y'abaaja omu nju baabona obumoleke.
2a0b2200ac	Eliisho lyawe ly'etara ly'omubiri gwawe. Nk'eliisho lyawe likwiriire, omubiri gwawe gooshi nago gukolezeezwe. Aliko nk'alibiihire, omubiri gwawe nago eyi guli omu mwizimya.
2a0b23002f	Ochilange obumoleke bukuli mo burhaba mwizimya.
2a0b2400c3	Akaba leero omubiri gwawe gooshi gukolezeezwe, buzira kugwarha olunda n'oluguma omu mwizimya, omubiri gwawe gooshi nji gwaba gukolezeezwe kuguma n'amango etara likukoleezeza n'obumoleke bwalyo.»
2a0b25006f	Oku Yeesu ali aderha, oMufarisaayo muguma amulaalika emwage mpu aje kulya. Yeesu aja omu nju, ayikala n'okulya.
2a0b26003d	Oyo Mufarisaayo asoomerwa okubona Yeesu alya buzira gukalaba.
2a0b27009e	Aliko Nnaweerhu amubwira ntya: «Mwabo mwe Bafarisaayo muzigaana gucheesa emugongo w'engumbu n'embale, n'obo omu mirhima yenyu muyunjwire obushumuusi n'obubi.
2a0b280049	Mwe binganyi! Owalemaga omubiri g'omuntu k'arhanali ye walemaga omurhima?
2a0b290066	Aliko mwabo, muhaane n'omurhima g'obonjo ebiri omu mirhima yenyu, n'ebindi byooshi byacheeswa emwenyu.
2a0b2a011e	«Aliko buhanya buchi emwenyu, mwe Bafarisaayo! Munahaana entuulo y'echigabi chiguma ch'ekumi ch'ebirhi by'obulunge n'echa ngasi buuko bw'eshogo, aliko mwanagenda mwakeneereza kujira ebijiro bikwaneene n'obuzigire bwa Nnamahanga! Ebyoola bimwali mukwaneene kujira, buzira kuleka ebindi.
2a0b2b0093	«Buhanya buchi emwenyu, mwe Bafarisaayo! Musiima kuyikala oku bichumbi by'embere omu masinagoogi, munasiima abantu babalamuse n'obukenge omu soko!
2a0b2c006f	«Buhanya buchi oku mwabo! Muli nka shinda zirhagwerhe chimenyeeso, abantu banazilambagira ko buzira kumenya!»
2a0b2d0068	Muguma omu bayigiriza amarhegeko ava aderha ntya: «Mwigiriza, omu kuderha ntyo, orhudukangire neerhu!»
2a0b2e00a3	Yeesu amushubiza ntya: «Buhanya buchi oku mwabo nenyu bigiriza b'amarhegeko! Muheesa abantu emizigo ekomeere guheeka, nenyu mwenyine murhakanayihuma ko n'omudoke!
2a0b2f0066	«Buhanya buchi oku mwabo! Muyumbaka bwinja eshinda z'abaleebi n'obo bashookuluza benyu bababayirhaga!
2a0b300094	Omu kujira ntyo, muyerekeene oku muyemereere ebijiro bya bashookuluza benyu, bulaala boowe bo bayirhaga abaleebi, nenyu yi mwayumbaka eshinda zaabo!
2a0b310088	Cho girhumire Nnamahanga omu bwenge bwage bunene aderhere ntya: ‹Nabarhumira abaleebi n'entumwa. Bayirha baguma n'okulibuza abandi.›
2a0b32006d	Cho girhumire echi gisisi nji chaabazwa eshagama yasheeshwaga y'abaleebi booshi gurhengera okulemwa kw'egulu,
2a0b3300b2	gurhengera oku shagama ya Abeeli kugera oku shagama ya Zakariya, wayirhwaga ahagarhi k'entuuliro n'ahantu hatagatiifu. Neechi, mbabwirire byo, echi gisisi nji chabazibwa byooshi.
2a0b3400d3	«Buhanya buchi oku mwabo bigiriza b'amarhegeko! Mwakuulire olufunguulo loguchingula omulyango g'okuja omu nju y'okuyigira m'okumenya Nnamahanga. Nenyu mwenyine murhajaaga mo, n'abashondaga kuja mo, mwababuza.»
2a0b35008d	Yeesu ayuusize gurhenga ahoola, abigiriza b'amarhegeko n'aBafarisaayo barhondera kumulunza bweneene n'okumubaza oku biyerekeere bintu binene,
2a0b36003e	bashonda kumurhega, yi baabona echinwa chagarhuma bamusidaaka.
2a0c0100c2	Amo mango, abantu banene bachigusha bihumbi n'ebihumbi, oku bulyo baalema baalabarhana. Yeesu arhanga kubwira abigirizwa baage ntya: «Muchilange n'echachu y'aBafarisaayo, k'okuderha obulyaalya.
2a0c020052	«Ntaacho gishukuliirwe girhagashukuulwa, na ntaacho chibishirwe girhakamenyekana.
2a0c0300a1	Cho girhumire ngasi byooshi mwaderhere omu mwizimya nji byayunviikana ezuuba lyakola. Echi mwabohereeze omu gurhwi ebusiika, nji chayaamagazizwa oku nju elugulu.
2a0c04007a	«Mwe beera baani, mbabwirire byo: murhayuubahaga abantu bayirha omubiri, na nta chindi bakanachigala kujira enyuma z'aho.
2a0c0500bf	Nkola nabayeereka nde mukwaneene kuyuubaha. Muyuubahe Nnamahanga, yegwerhe obuhashe b'okuyirha n'ogukabula omu hantu h'amalibuko manene. Neechi, mbabwirire byo, oyoola yi muhemerwe kuyuubaha.
2a0c060072	Ka barhaguza nyunyi erhaano z'ebishwa oku bicheri bibiri? Aliko, chiro nta nguma omu zo eyibiriirwe na Nnamahanga.
2a0c07007b	N'enviiri z'amarhwe menyu zooshi ziganjirwe. Leero, murhayuubahaga chiro; mugwerhe akamaro kanene kulusha ebishwa binene.»
2a0c080082	«Mbabwirire byo: ngasi yeeshi nji wanyemeera embere z'abantu, Mwene oMuntu naye nj'amuyemeera embere za bamalahika ba Nnamahanga.
2a0c09005e	Aliko, ola nji wandahira embere z'abantu, naye nj'alahirwa embere za bamalahika ba Nnamahanga.
2a0c0a007b	«Na ngasi yeeshi nji waderhera kubi Mwene oMuntu nj'ababalirwa, aliko ola nji wadukanga Muuka-Mutagatiifu arhakababalirwa.
2a0c0b0084	«Hano nji babakululira omu masinagoogi, abarhwali n'abarhegesi, murhayuubahiraga obulyo nji mwabuurana, changwa bichi nji mwaderha.
2a0c0c004d	Bulaala Muuka-Mutagatiifu nj'abayigiriza ho n'aho bichi mukwaneene kuderha.»
2a0c0d007d	Muntu muguma mw'abo bantu banene abwira Yeesu ntya: «Mwigiriza, bwira mwene weerhu ampe echaani chigabi ch'omwandu gwerhu.»
2a0c0e0066	Yeesu amushubiza ntya: «Muza wee, nde wanjiraga muzuuzi changwa muntu w'okubagabira omwandu gwenyu?»
2a0c0f008c	Ashuba kubabwira ntya: «Muchilange n'okugwarha amahugu ma ngasi buuko, kwenge akalamo k'omuntu garharhengeere omu kanji k'ebikulo byaage.»
2a0c100047	Yeesu ababwira ogu mugani: «Eshwa ly'omugale muguma lyayeeza bweneene.
2a0c110076	Alema akengeera n'oguchiibaza ntya: ‹Bichi njirage? Bulaala ntagwerhe hantu hanene h'ogushaluulira emyaaka yaani.›
2a0c120083	Aderha ntya: ‹Tala oku naajira: nashanda enguli zaani, nayumbaka ezigalihire; nji nalundira mo amahemba maani n'ebindi bikulo.›
2a0c13009d	N'enyuma z'aho, nji nachibwira ntya omu murhima: ‹Ngwerhe ebintu binene bweneene bibiikirwe, bya myaaka minene; nahumuuka, naalya, nanywa, naashagaluka.›
2a0c14008d	Aliko Nnamahanga amubwira ntya: ‹Oli muhwinja! M'obu budufu waafa! Ka warheganyize nde nji waaba nyina ebi bintu byooshi wachibikiire?›»
2a0c150086	Yeesu ashuba kuderha ntya: «Ntyo ku bibeera omuntu ochihakira ebikulo byaage yenyine, aliko eyi arhali mugale embere za Nnamahanga.»
2a0c1600c3	Yeesu ashubi bwira abigirizwa baage ntya: «Mulolage egirhumire mbabwira oku murhachiganyaga elugulu w'akalamo kenyu, akaba bichi mwalya; changwa elugulu w'omubiri gwenyu, akaba bichi mwayambala.
2a0c170064	Bulaala akalamo kali ka bulagiirire kulusha ebiryo, n'omubiri guli gwabulagiirire kulusha emyambalo.
2a0c18009e	Mulole ebihungwe: birhahinga birhanashaluula, birhajira aha bibiikira changwa enguli. Aliko Nnamahanga yebiliisa! Mwabo muli b'akamaro kanene kulusha enyunyi!
2a0c19004d	Nde omu mwabo omu guchiiganya, wakagala kuleehya chiro bugeeke akalamo kaage?
2a0c1a005e	Akaba ntaacho mwagachigalira mw'ebi bintu bigeeke, gichi chagarhuma mwachilunza oku bisigeere?
2a0c1b0099	Mulole guurhe ebirhi biyaasa: birhakola, birhaluka fulema; aliko, mbabwire oku chiro mwami Solomoono omu bukuuze bwage arhayambalaga nka chiguma omu byo.
2a0c1c00ac	Akaba Nnamahanga ayambisa ntya egirhi chiri omu shwa zeene n'omuseezi banagiheba omu chibeeye, bichi byaagarhuma arhabayambisa nenyu kulusha, mwe bantu b'obwemeezi bugeeke!
2a0c1d0060	Nenyu, murhagendaga mwashonda gichi mwalya changwa gichi mwanywa, murhanachibuliisaga omurhuula.
2a0c1e0063	Ebyo byooshi by'abapagaani ba lino gulu bashonda buzira kuluha. Yisho wenyu ayinji oku mubikeneere.
2a0c1f0059	Ahuubwe, murhange mushonde obwime bwa Nnamahanga, n'ebyoola bindi naye nj'abaheereza byo.
2a0c200053	Murhayuubahaga, mwe buso bugeeke; kwenge byasimiisize Yisho okubaha oBwami bwage.»
2a0c2100e6	Yeesu ashuba kuderha ntya: «Muguze ebintu byenyu, muhe abakene efuranga. Muchijirire orhushaho rhw'efuranga rhurhagashaaja, muchibiikire ebikulo birhaagahwa omu mpingu. Eyoola nta mwizi wakayegeera yo na nta mushwa gwakabibiihya.
2a0c220045	Bulaala emunda ebikulo byaawe biri, yi n'omurhima gwawe gwaba guli.»
2a0c230065	Yeesu ashuba kuderha ntya: «Muchirheganye, mube muyambeere emyambalo y'akaasi n'amatara machaanirwe.
2a0c24008d	Nenyu mube kuguma n'aba bantu bali balinga nnahamwabo agaluke gurhenga oku buhya, hano akongoorha oku lunvi bagale kumuchinguulira jubaajuba.
2a0c2500a2	Bagishirwe aba bagaragu nnahamwabo ashimaana bataramire ey'agaluka! Okuli, mbabwirire, naye nj'ayambala emyambalo y'akaasi, nj'abayikaza n'okuyinja kubaha ebiryo.
2a0c260065	Nk'ayinjire omu budufu ahagarhi changwa buyerekeera gucha, akanababugaana bagitaramire, bagishirwe!»
