2800000006	Matayo
280c1e0084	J'hej'hoiha j'hola j'haabeli kuj'ha pamonga nani aj'he kinyume ni nene, ni j'haibetalepi kubhongan'ya pamonga nani oj'hu itabhwanya.
280c1f0083	Kwa hiyo nijobha kwa muenga, kila dhambi ni kufuru bhana bhibetakusamehebhwa, ila kun'kufuru Roho Mtakatifu bhibetakusamehebhwalepi
280c2000eb	. Na j'hej'hioha j'haijobha lilobhi kinyume kya Mwana ghwa Adamu, e'lu libetakusamehebhwa. Lakini j'hej'hioha j'hola j'haijobha kinyume ni Roho Mtakatifu, oj'hu ibetalepi kusamehebhwa mu bhulimwengu obho, na bhwala bhola bhwa bhwihida.
280c2100a2	Ama ubhombaghe libehe kuj'ha linofu ni litunda lyake kuj'ha linofu, au uharibuaj'hi litunda ni libehe lyake, kwa kuj'ha libehe litambulisibhwa kwa litunda lyakhe.
280c220095	Muenga kizazi kya liyoka, muenga bhaovu, mwebhwesya bhuli kujobha mambo manofu? Kwa kuj'ha kinywa kijobha kuhoma mu akiba j'ha ghaghaj'hele mu muoyo.
280c23008c	Munu nnofu mu akiba j'hinofu j'ha muoyo bhwake ghihoma manofu, na munu muovu mu akiba ovu j'ha muoyo bhwake ghwih'omesya kyakyaj'hele kiovu.
280c240084	Nikabhajobhela kuj'ha mu ligono lya hukumu bhanu bhibetakuh'omesya hesabu j'ha khila lilobhi lyalij'helepi ni maana lyabhalijobhili.
280c25006c	Kwa kuj'ha malobhi gha j'hobhi ghwibetakubhalangibhwa haki ni kwa malobhi gha j'hobhi ghwibetahukumibhwa.”
280c2600d4	Kisha baadhi j'ha bhaandishi ni Mafarisayo bhan'jibili Yesu bhakajobha” Mwalimu, tulondeghe kubhona ishara kuhoma kwa bhebhe.” Lakini Yesu akajibu ni kubhajobhela, “Kizazi kiovu na lya zinaa kilonda ishara.
280c270066	Lakini j'hij'helepi ishara j'haj'hibetakupisibhwa kwa bhene isipokuj'ha j'hela ishara j'ha Yona nabii.
280c2800d0	Kama vile nabii Yona kyaaj'hele mugati mu lileme lya somba m'baha kwa magono madatu pamusi ni pakilu, hivyo ndivyo Mwana ghwa Adamu kyaibetakuj'ha mugati mu mioyo ghya nchi kwa magono madatu pamusi ni pakilu.
280c2900c5	Bhanu bha ninawi bhibetakuj'hema mbele j'ha hukumu pamonga ni kizazi kya bhanu abha ni bhibetakukihukumu. Kwa kuj'ha bhatubuili kwa mahubiri gha Yona, na langai, munu fulani m'baha kuliko Yona apa.
280c2a00e0	Malkia ghwa kusini ibetakujhinuka mu hukumu pamonga ni bhanu bha kizazi e'khe ni kukihukumu. Ahidili kuhoma miisho ghya dunia kuhida kup'heleka hekima j'ha Selemani, na langai, munu fulani m'baha kuliko Selemani aj'hele apa.
280c2b0079	Bhwakati pepo bhachafu bhakamboka munu ghip'heta mahali papaj'helepi ni masi ilonda kup'homoseka, lakini akapabhona lepi.
280c2c0087	Kisha ijobha, “Nibetakherebhuka mu nyumba j'hangu j'hanihomili.' Paikherebhuka akajhikholela nyumba j'hisafishibhu na ij'hele tayari.
280c2d00f1	Kisha huenda ni kubhaleta bhangi roho bhachafu saba bhabhaj'hele bhabhibhi zaidi kuliko muene, ghihida kutama ghoha pala. Ni hali j'hiakhe j'ha mwisho huwa j'hibhibhi kuliko j'ha kubhwandelu. Efe ndo kyaj'hibeta kuj'ha kwa kizazi ekhe kiovu.
280c2e007e	Bhwakati Yesu ilongela ni bhumati langai, nyinamunu ni bhalongomunu bhakhaj'hema kwibhala, bhakaj'ha bhilonda kulongela nakhu.
280c2f0071	Munu mmonga akan'jobhela, “Langai nyinuaku ni bhalongobhu bhaj'hemili kwibhala bhilonda kulongela ni bhebhe”.
280c300065	Lakini Yesu ni kun'jobhela j'haan'jobheleghe, “Mabhu ndo niani? Ni bhalongobhangu ndo bha niani?”
280c31006c	Nu muene akanyosya kibhokho kya muene kwa bhanafunzi ni kujobha, “Langai abha ndo mabhu ni bhalongobhangu!
280c32009d	Kwa kuj'ha j'hej'hioha j'hola j'haibhomba mapenzi gha Tata ghwangu j'haaj'hele kumbinguni, munu oj'hu ndo ndongobhangu, n'dombo bhangu ni mabhu ghwa nene”.
280d010040	Ligono e'lu Yesu abhokili pa nyumba ni kutama kando j'ha bahari.
280d020085	Bhumati m'baha bhwakusanyiki ni kun'syonghoka, aj'hingili mugati mu bhuatu ni kutama. Bhumati bhuoha bhwa j'hemili kando j'ha bahari.
280d030061	Kisha Yesu akajobha malobhi ghamehele kwa mifuano, Akajobha, “Langai, mpanzi alothili kubhiala.
280d040059	Bho ibhiala baadhi j'ha mbeyu syabinili kando j'ha nj'hela ni fidege fikahida fikadonola.
280d050096	Mbeyu seng'he syabinili panani pa muamba, ambapo syakabhili lepi bhud'hopi bhwa kutosha. Ghafla sikakhipula kwa ndabha bhud'hopi bhwaj'helepi ni kina.
280d06005b	Lakini lij'hobha bho liyakili syanyanyibhu kwandabha syaj'helepi ni mizizi, na syaj'homili.
280d07008c	Mbeyu s'enge syabinili mu bhud'hopi bhunofu, mbeyu senge syabinili mu mab'ehe gha mifwa. Mab'ehe ghenye mifwa j'halotili kunani ghikaip'eta.
280d08007d	Mbeyu s'enge syabinili mu bhud'hopi bhunofu ni kuhogola mbeyu, s'enge mara mia moja zaidi, s'enge sitini ni s'enge thelathini
280d090029	J'haaj'hele ni mb'holokhoto na ap'elekai.
280d0a0068	Bhanafunzi bhakahida ni kun'jobhela Yesu, “Kwa ndabha j'ha kiki ghwilongela ni makutano kwa mifano?”
280d0b0060	Yesu akajibu akabhajobhela, “Mup'helibhu bhupendeleo bhwa mbinguni, bali bhene bhapelibhulepi.
280d0c00ac	Lakini j'hej'hioha j'haaj'henaku, kwa muene ibetakuj'hongesibhwa nesu, na ibetakukabha faida ibhaha nesu. Ila j'haabelikuj'ha naku hata khela kidebe kyaaj'henaku ipokibhwa.
280d0d0086	Hivyo nilongela nabhu kwa mifano kwa ndabha ingabhwa bhilola, bhasibhoni kweli. Na ingabhwa bhip'heleka, bhasip'heleki bhwala kumanya.
280d0e00e9	Bhunabii bhwa Isaya bhutimili kwa bhene, bhola bhwabhwijobha, “Pamwip'heleka mup'helekayi, lakini kwa namna j'hej'hioha mwibetalepi kuj'helebhwa; bhwakati pamwilola mubhwesiayi kulola, lakini kwa namna j'hej'hioha j'hela musimanyi.
280d0f010a	Na mioyo ghya bhanu abha j'himalikuj'ha ngisi, ni figumu kup'heleka na bhafumbili mihu gha bhene, ili bhasibhwesi kulola kwa mihu gha bhene, au kup'heleka kwa mb'olokhoto sya bhene, au kumanya kwa mioyo ghya bhene, hivyo ngabhanisanikili kabhele na nganibhaponyisi.'
280d100066	Bali mihu gha j'homu ghabarikibhu, kwa ndabha ghilola, ni mbolokhoto sya j'homu kwa kuj'ha sip'heleka.
280d1100ed	Hakika nikabhajobhela manabii bhingi ni bhanu bhabhajhele ni haki bhaj'hele ni hamu j'ha kughabhona mambo ghala gha mkaghabhona, na bhabhwesilepi kughabhona. Bhanyonyweghe kup'heleka mambo agha gha mwip'heleka, bhashindilu kughap'heleka.
280d120028	Henu mp'helekhesiayi mfuano ghwa mpanzi.
280d1300dd	Bhwakati j'hej'hioha pa ip'heleka lilobhi lya mfalme na asilimanyi, ndipo mwovu ihida ni kukitola kyakimalikuj'ha kimali kubhyalibhwa mugati mu n'teema ghwakhe. Ej'he ndo mbeyu j'hela j'haj'habhyalibhu kando j'ha nj'hela.
280d140067	Muene j'ha abhyalibhu mu miamba ndo j'hola j'haip'heleka lilobhi ni kulijamb'elela nyata kwa kuhobhoka.
280d15009d	Bado aj'helepi ni mizizi mugati mwake, ila isindamala kwa muda bhudebe. Bhwakati matatisu au malombosi paghihida kwandabha j'ha lilobhi ikwikungufula ghafla.
280d1600c5	Jhaabhyalibhu kati j'ha mabehe ghya mifwa oj'ho ndo j'hola j'haap'heliki lilobhi lakini malombosi gha bhulimwengu ni bhusiobhi bhwa bhutajiri bhukalisiobha lela lilobhi lisihidi likahogola matunda.
280d1700d9	J'haabhyalibhu mu bhud'opi bhunofu, oj'ho ndo j'hola j'haip'heleka lilobhi ni kulimanya. Oj'ho ndo j'hola j'haihogola matunda ni kuj'hendelela kuhogola limonga zaidi j'ha mara mia, s'enge sitini, s'enge thelathini.”
280d18008a	Yesu akabhap'ela mfuano bhongi. Akajobha, “Bhufalme bha kumbinguni bhwifananisibhwa ni munu j'ha abhiele mbeyu sinofu mu n'gonda ghwake.
280d19005c	Lakini bhanu bho bhisinjila, adui akahida akabhiala mag'ug'u pagati pa ngano kisha akabhoka.
280d1a0063	Baadaye ngano bho j'himelili ni kuhomesya mazao ghake, ndipo mag'ug'u ghakaj'ha ghihomisi na ghene.
280d1b0095	Ni bhatumishi bha n'kolo nyumba bhakahida bhakan'jobhela, 'Bwana, ghwabhiele lepi mbeyu j'hinofu mu n'gonda? J'hij'hebhuli henu lij'hele ni maghogho?
280d1c0071	Akabhajobhela, Adui abhombili e'le.' Bhatumishi bhakan'jobhela, “Kwa hiyo ghwilonda tulotaj'hi tukaghabhosi?”
280d1d005e	N'kolo n'gonda akajobha, 'Lepi, bhwakati mwidupula maghogho mwibeta kudupula pamonga ni ngano.
280d1e00e9	Mughalekai ghakholayi pamonga hadi bhwakati bhwa mavuno. Bhwakati bhwa mavuno nibetakujobha kwa bhavunaji, 'Kwanza mughadupulayi maghogho na mughakonga matita matita ni kughanyanya, lakini mukhonganiayi ngano mu lighala lyangu.””
280d1f00a8	Kisha Yesu akabhahomesela mfuano bhongi. Akajobha, “Bhufalme bhwa mbinguni bhwifanana ni mbeyu j'ha haradali ambaj'ho munu aitolili ni kuj'hibhiala mu n'gonda ghuake.
280d2000e7	Mbeyu ej'he kwa hakika ndo j'hidebe kuliko mbeyu s'enge sioha. Lakini paj'himela j'hiha m'baha kuliko mimea ghenge ghioha ghwa bustani, ghwij'ha lib'ehe, kiasi kwamba fidege fya kunani fihida ni kujenga fiseiswi mu matafi ghake.”
280d2100af	Akabhajobhela mfuano bhongi kabhele.”Bufalme bhwa mbinguni ni kama chachu j'hela j'haj'hitabhwalibhu ni n'dala ni kuj'hichanganya kwa fipemo fidatu kwa sembe mpaka fiumukai.
280d22005f	Agha ghoha Yesu aghajobhili mu bhumati kwa mifuanu. Na bila mifuano ajobhilepi khenu kwa bhene.
280d2300f7	E'j'he j'haj'hele kuj'ha khela kyakimali kujobhibhwa kup'hetela kwa nabii kibhwesiaghe kutimila, pala paajobhili, “Nibetakufumbula kinywa kyangu mu mifuano. Nibetakujobha mambo ghala ghaghaj'hele gha figheme kuhomela misingi ghya bhulimwengu”.
280d240093	Kisha Yesu abhaleka makutano ni kulota kunyumba. Bhanafunzi bha muene bhakan'kesya ni kujobha, “Tufafanulilayi mfano ghwa maghogho gha mun'gonda.
280d25004c	Yesu ajibili ni kujobha, “J'haibhiala mbeyu j'hinofu ndo Mwana ghwa Adamu.
280d26008b	N'gonda ndo bhulimwengu; ni mbeyu j'hinofu ndo abha bhana bhufalme. Maghogho ndo bhana bha j'hola mwovu, na adui j'haasibhiele ndo ibilisi.
280d27003f	Na mavuno ndo mwisu ghwa bhulimwengu, na bhavunaji ndo malaika.
280d280073	Kama vile maghogho kyaghibhonganibhwa ni kunyanyibhwa muoto, efyo ndivyo kyaj'hibeta kuj'ha mwisu ghwa bhulimwengu.
280d2900a4	Mwana ghwa Adamu ibetakubhalaghisya malaika bha muene, ni kubhonganiya kuhoma mu bhufalme bhuakhe mambo ghoha ghaghasababisibhu dhambi ni bhala bha bhibhomba maasi.
280d2a005f	Bhibetakubhatagha bhoha mu litanuru lya muoto, ambako kubeta kuj'ha ni kilelu ni kusiagha minu.
280d2b0085	Ndipo bhanu bhenye haki babhibetakung'ara kama lijobha mu Bhufalme bhwa Tata j'habhu. Muene j'ha aj'hele ni mbolokhoto na ap'helekai.
280d2c00b8	Bhufalme bhwa mbinguni ni kama hazina j'haj'hifighibhu mu n'gonda. Munu kama ajhibuene ni kuj'hifigha. Mu furaha j'hiakhe akalota kuhemelesya fyoha fya aj'he nafu, ni kuhemela n'gonda.
280d2d003a	Kabhele, bhufalme bhwa mbinguni ni kama munu j'ha thamani.
280d2e0079	Bhwakati bho aj'hibhuene j'hela j'haj'hij'hele ni thamani, akalota akahemelesya kila khenu kyaaj'henaku na akaj'hihemela.
280d2f0069	Bhufalme bhwa mbinguni ni kama nkwabhu bhwabhujele mmasi, na kwamba ghwibhonganisya fiumbe fya kila aina.
280d3000a5	Bhobhamemili bhavuvi bhaufutili pa lubhafu. Kisha bhakatama pasi bhakabhonganiya fenu finofu mugati mu k'henu, lakini fya fibelikuj'ha ni thamani fyataghibhu kutali.
280d310083	J'hibeta kuj'ha namna ej'he mu mwisu ghwa dunia. Malaika bhibetakuhida ni kubhatenga bhanu bhaovu kuh'oma miongoni mwa bhenye haki.
280d32005f	Ni kubhatagha mugati mu litanuru lya muoto, ambako kubetakuj'ha ni maombolezo ni kusiagha minu.
280d330036	Mughamanyili mambo ghoha agha? Bhanafunzi bhan'jibili,
280d3400b9	“Ena.”Kisha Yesu akabhajobhela, “Khila mwandishi ambaj'he aj'hele mwanafunzi ghwa bhufalme ibhwaningana ni n'kolo nyumba j'haihomesya fenu mu hazina j'ha muene fipya ni filala.”
280d350046	Ikaj'ha Yesu bho amalili mifano ghioha eghu, akabhoka pa sehemu ej'hu.
280d3600ba	Kisha Yesu akafika mu mkoa ghwa muene na akabhafundisya bhanu mu masinagogi. Matokeo ghake ni kuj'ha bhasyangele ni kujobha, “Ndaku munu oj'ho pa akabhili hekima ej'he ni miujiza eghe?
280d37006a	Munu oj'ho si mwana ghwa seremala? Mariamu nyinamunu lepi? ni bhalongomunu Yakobo, Yusufu, Simoni ni Yuda?
280d38005a	Ni bhalomb'omuni tuj'henabhu apa patete? Basi munu oj'ho aghakabhili ndaku ghoha agha?”.
280d390078	Akabhadadisya. Lakini Yesu akabhajobhela, “Nabii ikosalepi kuj'ha ni heshima isipokuj'ha kwa bhene ni nchi j'ha bhene.
280d3a004b	Na abhwesilepi kubhomba miujiza mingi kwa ndabha bhaj'helepi ni imani naku.
280e010039	Kwa bhwakati obhu, Herode ap'heliki habari juu j'ha Yesu.
280e020088	Akabhajobhela bhatumishi bha muene, “Oj'ho ndo Yohana Mbatizaji afufuiki kuhoma kwa bhafu. Kwa hiyo ngofu ise sijhele juu j'hiakhe.”
280e030081	Kwa kuj'ha Herode aj'hele akamuili Yohana akankonga ni kun'tagha gerezani kwa ndabha ya Herodia, n'dala ghwa Filipo kaka j'hiake.
280e040050	Kwa kuj'ha Yohana an'jobhili, “Si halali kun'tola muene kuj'ha n'dala munu.”
280e050055	Herode ngaan'komili lakini abhatilili bhanu kwa ndabha bhambwene Yohana kuj'ha nabii.
280e06006e	Lakini ligono lya kuhogoleka Herode bho afikili mwali Herodia amoghili pagati pa bhanu ni kumfurahisya Herode.
280e070053	Katika kujibu kili ahidili kwa kulapa kuj'ha ibetakumpela kyokyoha kyaibetakus'oma.
280e080063	Baada j'ha kushauribhwa ni nyinamunu, akajobha, “Nipelayi neno apa mutu bhwa Yohana Mbatizaji.”
280e0900a2	Mfalme aj'hele ni sikitiko kwa maombi gha binti, lakini kwa ndabha j'ha bhoha bha bhaj'hele chakulani pamonga nu muene aamuiri kuj'ha j'hilondeka j'hibhombekaghe.
280e0a002f	Alaghisye Yohana aletibhwaghe kuhomela gerezani
280e0b0062	ili adumulibhwaghe mutu na kyaletibhu nu lisinia nu kupelibhwa binti na akakipeleka kwa nyinamunu.
280e0c006e	Kisha bhanafunzi bha muene bhakahida kuutola m'bele ni kubhusiela, baada j'ha e'le bhakalota kun'jobhela Yesu.
280e0d00c2	Ni muene Yesu bho ap'heliki agha, akakitenga kuhoma mahali pala akapakama mu mashua akalota sehemu j'haj'hitengibhu. Bhwakati bhumati bhumanyili kwaalotili, bhankesili kwa mag'olo kuhoma mijini.
280e0e0073	Kisha Yesu akahida mbele j'ha bhene akabhubhona bhumati m'baha. Akabhabhonera k'hesa ni kubhaponya bhubhina bhwabho
280e0f00dc	Kimihi bho kifikiri, bhanafunzi bhakahida kwa muene nikujobha, “E'j'he sehemu j'ha jangwa ni ligono tayari limalili kulota. Bhatabhwanyisiayi makutano ili bhalota kufijijini bhakahemelayi fyakulya kwandabha j'ha bhene.
280e10005f	Lakini Yesu akabhajobhela, “Bhaj'helepi ni haja j'ha kul'ota. Mubhap'elayi muenga kyakulya”
280e11004a	Bhakan'jobhela, “Lepi tuj'henaj'hu mikate mihanu ni somba sibhele tu.”
280e120027	Yesu akajobha, Mughiletayi kwa nene.”
280e1300c7	Kisha Yesu akamuru bhumati kutama pasi pa manyasi. Akalota mikate mihano ni somba sibhele. Akalanga kunani kumbinguni, akabariki ni kumetula mikate akabhapela bhanafunzi. Bhanafunzi bhakaupela umati.
280e14004f	Bhakalya bhoha na bhakatupilwa. Kisha bhakafibhonganiya fipaku kumi na fibhele.
280e150062	Bhala bhabhalili bhakadiribhhu kuj'ha bhagosi elfu tano bila j'ha kubhalangibhwa bhadala ni bhana.
280e16007e	Mara moja akabhaamuru bhanafunzi bhaj'hingilayi mugati mu mashua, bhwakati bhobhuobhu muene akabhalagha bhumati bhalota nabhu.
280e170082	Baada j'ha kubhulagha bhumati ni kwilotela, akakuela panani pa kid'honda kus'oma muene. Bwakati ij'hele kimihi aj'hele okhu muene.
280e18007b	Lakini henu mashua ij'hele katikati j'ha bahari jhidengadenga kwandabha j'ha manyegha, kwani mp'ongo bhwaj'hele bhwa mpisho
280e190052	Bhwakati pakilu kya zamu j'ha nne Yesu abhakaribiri, akaj'haigenda panani pa masi.
280e1a00a6	Bhwakati bhanafunzi bha muene bha mbwene igenda panani pa masi gha bahari, bhakahofu ni kujobha, “E'le lij'hogij'hogi” ni kukwesya sauti katika hali j'ha bhuogha.
280e1b0054	Yesu akabhajobhela mara moja, akajobha, “Mwikipelayi muoyo! ndo nene! musitili.”
280e1c0068	Petro akan'jibu kwa kujobha, “Bwana, kama ndo bhebhe, niamuruayi nihidai panani pa masi kwa bhebhe.”
280e1d006d	Yesu akajobha, “Hidayi.” Hivyo Petro akapita mugati mu mashua ni kugenda panani pa masi kul'ota kwa Yesu.
280e1e007c	Lakini Petro bho abhuene manyegha, akatila, ni kubhwanja kujhibhila, pasi, akakuta sauti ni kujobha, “Bwana, niokolayi!”
280e1f0098	Yesu manyata akanyosya kibhoko kya muene akanjinula Petro ni kuj'obhela, “Bhebhe mwenye imani j'hidebe, kwa ndabha j'ha kiki likaj'hele ni bhuogha?”
280e20004a	Ndipo Yesu ni Petro bho bhaj'hingili mu mashua, mp'ongo ukagudama kubhuma.
280e21005c	Bhanafunzi mashuani bhakamwabudu Yesu ni kujobha, “Kuweli bhebhe ndo Mwana ghwa K'yara.”
280e22003e	Na bho bhamalili kulobhoka, bhakafika mu nchi j'ha Genesareti.
280e23007d	Ni bhanu pa lieneo lela bhobhammanyili Yesu, bhalaghisye bhujumbe kila sehemu sya kando, ni kundeta khila j'haaj'hele n'tamu.
280e24006c	Bhakan'sihi kuj'ha bhabhwesiaghe kukamula pindo lya livazi lya muene, na bhingi bhabhakamuili bhaponyisibhu.
280f010053	Ndipo Mafarisayo ni bhaandishi bhakahida kwa Yesu kuh'omela Yerusalemu. Ni kujobha,
280f02008b	“kwandabha j'ha kiki bhanafunzi bhikaghaharifu mapokelelu gha bhaseya? Kwa kuj'ha bhisamba lepi mabhokho gha bhene pa bhilya kyakulya.”
280f03007e	Yesu akabhajibu ni kubhajobhela, “Namu kwa ndabha j'hakiki mukajhiharifu sheria j'ha Bwana kwa ndabha j'ha mapokelelu ghinu?
280f040082	Kwa kuj'ha K'yara ajobhili, 'Uniheshimuaghe dadij'hu ni ndebhuaku; na 'J'haijobha bhuovu kwa dadij'he ni ndebhuakhe, hakika ifwa.'
280f0500a1	Lakini muenga mwijobha, 'Khila j'haikombola dadij'he ni nyina, “'Kila msaada ambabho j'ha alondeghe kukabha kwa nene henu j'hibetakujha kuh'oma kwa K'yara,”'
280f06008b	“Munu oj'ho aj'helepi ni haja j'ha kun'heshimu dadij'he. Mu namna ej'he mulitenguili lilobhi lya K'yara kwa ndabha j'ha mapokelelu ghinu.
280f07004c	Enyi bhanafiki, ni vyema kama Isaya kyaatabiri juu j'ha muenga bho ajobhili,
280f08005f	'Bhanu abha bhakaniheshimu nene kwa milomo ghiabhu, lakini mioyo ghiabhu ghij'hele patali nani.
280f09005e	Bhaakaniabudu bure, kwa ndabha bhifundisya mafundisu ghaghaj'hele malaghisu gha bhanadamu.”'
280f0a0048	Ndipo akabhakuta makutano ni kubhajobhela, “Mup'elekisiaghe ni kumanya
280f0b0083	Kij'helepi khenu kyakij'hingila mundomo mwa munu ni kumbomba najisi. Bali khela kyakih'oma mundomo, akebhai ndo najisi kwa munu.”
280f0c007a	Ndipo bhanafunzi bhakandotela ni kujobha ni Yesu, “Je!, Umanyili Mafarisayo bho bhalipheliki lilobhi lela bha dadili?”
280f0d0071	Yesu akabhajibu ni kujobha, “Khila mmea ambabho dadij'hangu ghwa mbinguni abhubhiele lepi bhwibeta kubhosibhwa.
280f0e0086	Bhalekayi bhene, bhene bhalongosi fipofu. Kama munu kipofu akandongosya kipofu nyinu, bhoha bhabhele bhibetakudumbukila mu lilende.”
280f0f0049	Petro akajibu ni kun'jobhela Yesu,” Tuj'helesiaghe mfano obho kwa tete,
280f100032	Yesu akajibu, “Namu pia bado mwij'helebhwa lepi?
280f110052	Muenga mumanyi lepi khila kyakhilota mundomo kup'etela mulileme ni kulota kuchoro?
280f120067	Lakini fenu fyoha fyafihomela mundomo fihomela mugati mumuoyo. Ndivyo fenu fyafikampela munu bhunajisi.
280f13007e	Kwa kuj'ha mu muoyo ghihoma mabhwasu mabhibhi, bhukomaji, bhuzinzi, bhuasherati, bhuheji, bhushuhuda bhwa bhudesi, ni malighu.
280f140078	Agha ndo mambo gha ghakamp'ela munu bhunajisi. Lakini kulya bila kusamba mabhokho kukambomba lepi munu kuj'ha najisi.”
280f150056	Ndipo Yesu ibhoka mahala pala ni kwitenga kulotela pande sya miji ghya Tiro ni Sidoni.
280f1600a2	Langai akahida n'dala Mkanani kuhomela lubhafu o'lu. Akakwesya sauti akajobha, “Unihurumilayi, Bwana, Mwana ghwa Daudi; binti j'hangu itesibhwa sana ni pepo.”
280f17009f	Lakini Yesu an'jibilepi lilobhi. Bhanafunzi bha muene bhakahida bhakan'sihi, bhakaj'ha bhijobha, “M'mbosiaghe alotaghe o'khu, mana akatuj'hweghela tu apa.”
280f180083	Yesu akabhajibu ni kujobha, Nalaghisibhulepi kwa munu j'hej'hioha isipokuj'ha kwa kondoo bhabhaj'hangili mu nyumba j'ha Israeli.”
280f190051	Lakini akahida ni kuj'hinama mbele j'ha muene, akajobha, “Bwana nisaidilayi.”
280f1a0056	Akan'jibu ni kujobha, “Khinofu lepi kulota kyakulya kwa bhana ni kus'opela mabwa,”
280f1b0061	Akajobha, “Ena, Bwana, hata mabwa madebe ghilya kyakulya kyakibina pameza mwa Bwana ghwabhi.”
280f1c00b2	Ndipo Yesu akajibu ni kujobha “N'dala, imani j'ha bhebhe m'baha. Na j'hibhombekaghe kwa bhebhe kama kyaghwilonda.” Ni binti ghwa muene amalikupontisibhwa bhwakati bhobhuobhu.
280f1d0074	Yesu akabhoka mahala pala ni kulota karibu ni bahari j'ha Galilaya. Kisha akalota panani pa kid'onda ni kutama okhu.
280f1e009c	Likundi libhaha kwa muene. Ni kundetela fiwete, fipofu, bubu, filema ni bhangi bhingi, bhabhaj'hele bhatamu. Bhabhakhili mu magholo gha Yesu na akabhaponya.
280f1f00a0	Nao bhumati bhukasyangala bho bhabhabhuene mabubu bhilongela, ni vilema bhakaj'ha bhasima, fiwete bhigenda, ni fipofu bhilola. Bhan'sifuili K'yara ghwa Israeli.
280f2000f1	Yesu akabhakuta bhanafunzi bha muene ni kujobha, “'Nibhabhonili huruma bhumati, kwandabha bhaj'hele nani kwa magono madatu bila kilya khenu kyokioha khela. Nikabhalagha lepi bhalotayi kwa bhene bila kulya bhasije bhakazimila mu nj'hela.”
280f210087	Bhanafunzi bha muene bhakan'jobhela, “Ndaku twibhwesya kukabha mikate ghya kutosya apa pa nyika ghya kushibisha umati m'baha obho?”
280f220064	Yesu akabhajobhela, “Muj'he ni mikate mil'enga?” Bhakajobha, “Saba, ni somba sidusu sudebe.”
280f230029	Yesu akabhaamuru bhumati bhutamaghe pasi.
280f240067	Akaghileta mikate j'hela saba ni somba, ni baada j'ha kushukuru, akaj'himetula ni kubhapela bhanafunzi.
280f2500aa	Bhanafunzi bhakabhap'hela bhumati. Bhanu bhoha bhakalya ni kutosheka. Na bhakabhonganya mabaki gha vipandi fya fyakulya fyafibakili fipandifipandi, fyamemili fikapu saba.
280f260042	Bhoha bhabhalili bhaj'hele bhagosi elfu nne bila bhadala ni bhana.
280f270065	Kisha Yesu akabhulagha bhumati bhakilotilayi na akaj'hingila mu mashua ni kulota sehemu sya Magadani.
281001005d	Mafarisayo ni Masadukayo bhakahida ni kunjera Yesu abhalasiaghe ishara j'haj'hihomela kunani.
2810020086	Lakini Yesu akabhajibu ni kubhajobhela kuj'ha “Ikaj'hiaghe kimihi mwijobha kuj'ha hali j'ha hewa j'hinofu, kwa kuj'ha anga lidung'u.
28100300cf	Ni lukhela mwijobha 'Hali j'ha hewa lelu j'hinofu lepi kwa kuj'ha anga lidung'u ni mabhengu ghaj'hifuniki anga lioha.' Mmanyiri kufasiri mwonekanu ghwa anga, lakini j'hij'helepi kufasiri ishara sya bhwakati.
28100400a6	Kizazi kiovu ni kya bhuzinzi kilonda ishara, lakini j'hij'helepi ishara j'hej'hioha j'haj'hibetakupelibhwa, isipokughwa j'hala Yona. Kisha Yesu akabhaleka ni kubhoka.
2810050057	Bhanafunzi bhakahida lubhafu lwa bhubhele, lakini bhaj'hele bhaj'habhilu kutola mikate.
281006006b	Yesu akabhajobhela “Mwikitahadharishiayi na muj'helayi makini ni chachu j'ha Mafarisayo ni Masadukayo.”
281007005f	Bhanafunzi bhakahojiana miongoni mwa bhene ni kujobha. “Kwa ndabha tukalotili lepi mikate.”
28100800e9	Yesu akalitambula e'lu ni kujobha, “Enyi j'ha muj'hele ni imani j'hidusu, kwa ndabha j'ha kiki mwibhuasya ni kujobhesana miongoni mwa j'humu ni kujobha kuj'ha kwa ndabha mkatolili ni kujobha kuj'ha kwa ndabha mkatolili lepi mikate?
2810090079	Je bado mmanyili lepi bhwala mwikhomboka lepi j'hela mikate mihanu kwa bhanu elfu tano, ni fikapu filenga fyamwabhongene?
28100a0041	Au mikate saba kwa bhanu elfu nne, na fikapu lilenga mwafitolili?
28100b00a3	J'hij'hebhuli hata mwej'helebhwa lepi kuja nizungumzileghe lepi kuhusiana ni mikate? Mukitunzaj'hi na mkitahadhariaj'hi ni chachu j'ha Mafarisayo ni Masadukayo.”
28100c009e	Kisha bhakamanya kuj'ha abhajobhilaghe lepi juu j'ha kujihadhari ni mikate j'haij'hele ni chachu, bali kujihadhari ni mafundisyo gha Mafarisayo ni Masadukayo.
28100d0095	Bhwakati Yesu afikiri sehemu sya Kaisaria j'ha Filipi, akabhakhota bhanafunzi bha muene, akajobha, “Bhanu bhijobha kuj'ha Mwana ghwa Munu niani?”
28100e007a	Bhaakajobha,” Bhangi bhijobha kuj'ha ni Yohana Mbatizaji; bhangi, Eliya; na bhangi Yeremia, au mmonga kati j'ha manabii.
28100f002d	Akabhajobhela, muenga mwijobha nene na niani?
2810100057	Akajibu Simoni Petro akajobha, “Bhebhe ndo Kristu Mwana ghwa K'yara j'ha aj'he hai”
