2800000006	Matayu
2a1119005a	Kumbiti kwanja kafiruwa katabiki muvitwatira vivuwa na kulemwa na wantu wa shiyiwuku ashi.
2a111a004f	Ntambu yayiweriti mumashaka ga Nuhu, ndo hayiweri mumashaka ga Mwana gwa Muntu.
2a111b00a2	Wantu wendereyiti kuliya na kulanda, na wapalu hawayugi na wadala kuyugwa mpaka shipindi shilii Nuhu pakayingiliti musafina. Mafuliku galawiti na kuwalaga woseri.
2a111c006e	Hayiweri gambira shipindi sha Lutu. Wantu wendereyiti kuliya na kulanda, kuhemera na kuuza, kuyala na kunyawa.
2a111d0077	Lishaka lilii Lutu pakawukiti Sodoma, motu na mabuhi ga motu gatowiti gambira mvula kulawa kumpindi na kuwalaga woseri.
2a111e0041	Ntambu ayi hayiweri mulijuwa lilii Mwana gwa Muntu pakawoneka.”
2a111f00a5	“Lijuwa lilii muntu yakawera pampindi pashitwiku pa numba yakuwi nakasuluka pasi kutola ulunda wakuwi, Ntambu iraa ayi muntu yoseri pakawera kuisi na kawuya ukaya.
2a11200017	Mmuholi mdala gwa Lutu!
2a11210071	Yoseri yakafira kugaponiziya makaliru gakuwi, hakagamiziyi na yoseri yakagamiziya makaliru gakuwi hakagalopoziyi.
2a11220078	Nukugambirani, pashiru palii wantu wawili hawaweri wankugonja mushitanda shimuwera, yumu hawamtoli na yumonga hawamleki.
2a11230058	Wadala wawili hawaweri wankusaga usaka pamuwera, yumu hawamtoli na yumonga hawamleki.”
2a11240057	Wantu wawili hawaweri wankutenda lihengu mulirambu, yumu hawamtoli na yumonga hawamleki
2a1125007b	wantumini wamkosiyiti Yesu, “Koshi Mtuwa?” Yesu kawankula, “Papawera na lintumbi, kunguru ndo hawaliwoni pamuwera.”
2a1201006b	Yesu kawagambiliti wantumintumi wakuwi mfanu, kawafunda wafiruwa kuluwa Mlungu mashaka goseri pota na koya.
2a12020059	Yesu kalonga, “Mlushi lumu kuweriti na mtoza yakamtira ndiri Mlungu, ama kumjali muntu.
2a1203009c	Na kuweriti na mkenja mulushi lulii yakamgenderiti hakimu pakaluwa haki yakuwi pakatakula, ‘Guntangi mpati shanfuruwa kupata kulawa kwa mngondu gwangu.’
2a12040099	Kwa shipindi shivuwa hakimu kafiriti ndiri kumtanga, kumbiti upeleru wakuwi kaligambira mweni, ‘Tembera neni namtira ndiri Mlungu pota kulishera wantu,
2a1205008d	toziya mkenja ayu kangaziyaga nentu, hanumwamuliri shauri lyakuwi. Pantenda ndiri hakendereyi kwiza panu na upeleru hakang'aziyi nentu!’”
2a1206004d	Mtuwa kendereyiti kutakula, “Mpikaniri ntambu yakatakuliti mtoza ayu mdoda.
2a1207006d	Vinu, hashi Mlungu hapeni kawamuliri wantu wakuwi yawamlilira pashiru na paliwala? Hashi, hakakawi kuwatanga?
2a12080066	Nukugambirani, hakawamuliri kanongola. Kumbiti Mwana gwa Muntu pakiza hakuweri na njimiru pasipanu?”
2a1209006a	Yesu kawagambiriti viraa mfanu gwagufata gwa walii yawalilola kuwera waherepa na kuwazarawu wantu wamonga.
2a120a0088	Kalonga, “Kuweriti na wantu wawili wakweniti kugenda Kunumba nkulu ya Mlungu kuluwa. Yumu kaweriti Mfalisayu na yumonga mtola kodi.”
2a120b00f2	Mfalisayu kagolokiti gweka yakuwi na kuluwa shimoyumoyu pakalonga, “‘Mlungu mayagashii, neni nanalwaliya ndiri, nampayu ndiri ama mndiyandiya gambira wantu wamonga. Nonga mayagashii kwaku toziya neni nulifana ndiri gambira mtola kodi ayu.
2a120c004d	Nfunga mala mbili mulijuma, ndaviya fungu lilongu lya vintu vyampatiti.’”
2a120d00af	Kumbiti mtola kodi kagolokiti kwa kutali, kanyasula ndiri sheni shakuwi kumpindi, su kahinginika mumoyu mwakuwi pakalonga, “Mlungu, gumoneri lusungu neni yantenda vidoda!”
2a120e0103	Yesu kalonga, “Nukugambirani, mtola kodi kawuyiti ukaya pawamlekeziyiti vidoda vyakatenditi, kumbiti Mfarisayu ulii wamlekeziyiti ndiri vidoda vyakatenda. Toziya woseri yawafira kulikweniziya hawawasulusiyi, na woseri yawalisulusiya weni hawawakweniziyi.”
2a120f007a	Wantu wamu wamjegiriti Yesu wana wadidini su kawatulili mawoku gakuwi. Wafundwa pawawoniti, wawalewelera ntambu yawatenda,
2a1210009d	kumbiti Yesu kawashema wana wizi kwakuwi pakalonga, “Muwaleki wana wadidini wizi kwaneni, namuwalewelera toziya Ufalumi wa Mlungu ndo wa wantu gambira awa.
2a1211006f	Nukugambirani nakaka! Muntu yoseri yakanka ndiri Ufalumi wa Mlungu gambira mwana mdidini hapeni kingiri amu.”
2a1212006d	Mkulu gwa Wayawudi kamkosiyiti Yesu, “mfunda muheri, ntendi shishi nwezi kupata ukomu wa mashaka goseri?”
2a12130069	Yesu kamkosiya, “Iwera ashi gunshema muheri? Kwahera muntu yakawera muheri kumbiti Mlungu gweka yakuwi.
2a1214008a	Gugamana malagaliru, ‘Naguwera muhumba, nagulaga, nagwiwa, nagumtakulila mpayu muntu yoseri, guwapanani ligoya tati na mawu gwaku.’”
2a12150056	Yomberi kawankula, “Kwanjira panweriti mdidini, nugajimira malagaliru goseri aga.”
2a121600d3	Yesu pakapikaniriti aga kamgambira, “Guleka shintu shimu shagufiruwa kutenda. Guwuzi kila shintu shaguwera nashu na guwagawiri wahushu mpiya azi, na gwenga haguweri mlundamali kumpindi, su gwizi na gunfati.”
2a12170058	Kumbiti muntu ulii pakapikaniriti aga, kahinginikiti nentu toziya kaweriti mlunda nentu.
2a12180082	Yesu kawoniti ntambu yakahinginikiti na katakula, “Ntambu ayi hayiweri vikamala kwa wantu walunda kwingira mu Ufalumi wa Mlungu.
2a12190088	Hayiweri ikamala kwa walunda mali kwingira mu Ufalumi wa Mlungu kuliku shigongolu shawamshema Ngamiya kupena mushitoboli sha sindanu.”
2a121a0043	Wantu walii pawapikaniriti aga wakosiya, “Su gaa hakalopoziwi?”
2a121b0050	Yesu kawankula, “Gawezekana ndiri kwa wantu, kumbiti kwa Mlungu gawezekana.”
2a121c004c	Peteru kamgambira, “Guloli! Twenga tuleka kaya zetu na kukufata gwenga.”
2a121d00a6	Yesu kawagambira, “Yina! Nukugambirani nakaka muntu yoseri yakalekiti numba, ama mdala, ama walongu, ama mawu na watati wakuwi, ama wana toziya ya Ufalumi wa Mlungu
2a121e0063	hakawanki gavuwa nentu mushipindi ashi na mushipindi shashiza hakawanki ukomu wa mashaka goseri.”
2a121f00ba	Yesu kawatoliti wantumintumi walii lilongu na wawili na kuwagambira, “Mpikaniri! Twankugenda Yerusalemu kulii kila shintu wambuyi wa Mlungu walembiti, kuusu Mwana gwa Muntu hagalawiri.
2a12200079	Hawamupanani kwa wantu yawaweriti ndiri Wayawudi, na womberi hawamtenderi lidufiya na hawamwigilangi na hawamtemeri mata.
2a1221005f	Hawamsyatangi ndomontu na hawamlagi, kumbiti lishaka lya tatu kwanjira pakahowiti hakazyuki.”
2a1222008e	Kumbiti wantumintumi wavimaniti ndiri vintu vyoseri avi, mana ya visoweru viweriti vififwa kwawomberi, na wavimaniti ndiri shakatakuliti Yesu.
2a12230064	Yesu pakaweriti kapakwegera na Yeriku, kuweriti na muntu yakana lwisi yakalivagiti panjira pakaluwa.
2a12240049	Pakapikaniriti lipinga lya wantu lyankupita kakosiya, “Kwana shishi?”
2a12250036	Womberi wamgambira, “Yesu gwa Nazareti kankupita.”
2a12260053	Nayomberi kalila kwa liziwu likulu, “Yesu! Mwana gwa Dawudi! Gumoneri lusungu!”
2a1227008c	Wantu wawalongoleriti wamkalipira pawamgambira kanyamalili. Kumbiti yomberi kendereyiti kubotanga, “Mwana gwa Dawudi! Gumoneri lusungu!”
2a12280077	Yesu kagolokiti, na kawagambira wamjegeri muntu kana lwisi ulii. Muntu kana lwisi pakasokiti pakwegela, Yesu kamkosiya,
2a1229005a	“Gufira nukutenderi shishi?” Nayomberi kawankula, “Mtuwa nduwa mpati kuwona kayi.”
2a122a003e	Yesu kamgambira, “Guwoni! Kwakunjimira kwaku, ndo gupona.”
2a122b0084	Pala palii, kaweza kuwona, na kamgendera Yesu, kalonga mayagashii kwa Mlungu. Lipinga lya wantu pawawoniti hangu, wamkwisiti Mlungu.
2a1301003f	Yesu kingiriti Yeriku, kaweriti kankupita munjira za lushi alu.
2a1302004f	Kuweriti na mkulu gwa watola kodi yawamshema Zakayu, mweni kaweriti mlundamali.
2a13030087	Kafiriti kumwona Yesu kaweriti gwa ntambu gaa, kumbiti toziya ya lipinga lya wantu na toziya kaweriti mfupi, na kasinditi kumwona Yesu.
2a13040064	Su kalongolera mbiru, kakwena pampindi pa mkuyu su kawezi kumwona Yesu kaweriti kankupita njira ayi.
2a13050092	Yesu pakaweriti kankwiza pahala palii, kaloliti kumtera na kumgambira Zakayu, “Kanongola gusuluki, toziya nfiruwa kulikala mnumba mwaku leru.”
2a13060035	Zakayu kasuluka kanongola, kumshemera kwa kunemelera.
2a1307008a	Wantu woseri pawawoniti hangu, wanjiti kuhinginika pawalonga, “Muntu ayu kagenda kuwera muhenga yakanaligoya ukaya kwa yakana vidoda!”
2a130800b5	Zakayu kagoloka, kumgambira Mtuwa, “Gupikaniri, Mtuwa! Hanuwapanani wahushu nusu ya ulunda wangu, na handa panumupokiti muntu yoseri kwa kumupayira hanumuwuzilili mala msheshi.”
2a1309006b	Yesu kamgambira, “Ulopoziwu usoka mnumba amu leru, toziya muntu ayu vira ndo kamushiyiwuku sha Aburahamu.
2a130a0040	Mwana gwa Muntu kiziti kusakula na kuwalopoziya yawagamiliti.”
2a130b00b0	Wantu pawaweriti wankupikanira aga, Yesu kendereyiti kuwagambira mfanu. Pakaweriti pakwegera kusoka Yerusalemu na wantu walii waliholiti kuwera Ufalumi wa Mlungu sambira usoka.
2a130c007c	Su kawagambira, “Kuweriti na muntu yumu yakaweriti mkulu yakagenda muisi ya kutali kaweri mfalumi, shakapanu kawuyi ukaya.
2a130d0096	Pamberi pa kuwuka, kawashemiti wantumintumi wakuwi lilongu na kuwapanani mpiya kila yumu na kuwagambira, ‘Guloli ntambu yamuweza kutenda pambuka.’
2a130e0082	Vinu wantu wakuwi wamgalambukiti, pakawukiti kala, wawatumiti wajumbi walongi, ‘Tumfira ndiri muntu ayu kaweri mfalumi gwetu.’
2a130f00b8	“Muntu ulii pawamtyeka kala kuwera mfalumi kawuyiti ukaya. Palii kawashemiti wantumintumi wakuwi kafira kavimani ntambu ya kila muntu kapata mpiya zininga kuliku ntambu yakawayupiti.
2a13100067	Ntumintumi gwa kwanja kiza na kulonga, ‘Mtuwa, mpata mpiya lilongu nentu ya mpiya yimu yagunupiti.’
2a131100aa	Nayomberi kamgambira, ‘Gutenda weri, gwenga gwa ntumintumi guherepa! Toziya guwera gwa mwaminika kwa shintu shididini, hanukutuli guweri mkulu kwa lushi zya milongu.’
2a13120068	Ntumintumi gwa pili kiza na katakula, ‘Mtuwa, mpata mpiya zyamuhanu nentu ya mpiya yimu yagunupiti.’
2a13130043	Kwa yumu ayu kamgambira, ‘Haguweri mkulu gwa lushi zya muhanu.’
2a13140056	“Ntumintumi gwingi kiza na kutakula, ‘Mtuwa, mpiya yaku ayi, ntawiti mushitambala.
2a1315007d	Nukutuliriti gwenga toziya gwenga gwa muntu gukalipa. Gwenga gutolaga shilii shaku ndiri na kubena shilii shaguyala ndiri.’
2a131600ca	Nayomberi kamgambira, ‘Gwenga gwa ntumintumi gufaa ndiri! Nukutoza kulawirana na visoweru vyaku! Guvimana neni muntu nkalipa, ntola shilii shashiwera ndiri shaneni na mbenanga vilii vyanyala ndiri.’
2a1317006f	Su iwera hashi gutuliti ndiri mpiya zyangu muluhanja? Pambuyiti hampati mpiya yangu pamuhera na mota yakuwi.”
2a13180087	“Shakapanu kawagambira woseri yawaweriti wagoloka palii, ‘Mmupoki mpiya ayi na mumupi ntumintumi ulii yakongeriti mpiya lilongu.’
2a1319004a	Kumbiti womberi wamgambira, ‘Mtuwa, ayu kana mpiya kala mala lilongu!’
2a131a00a2	Nayomberi kawankula, ‘Nukugambirani woseri yawawera na shintu, hawongelerwi, kumbiti woseri yawahera na shintu, ata shilii shididini shawawera nashi hawawapoki.
2a131b008e	Vinu woseri walii yawaweriti wangondu wangu yawanfira ndiri neni nweri mfalumi gwawu, muwajegi panu na kuwalaga palongolu pa masu gangu!’”
2a131c0042	Yesu pakatakuliti kala aga, su kawalonguleriti kugenda Yerusalemu.
2a131d0066	Pakaweriti pakwegera kusoka Betifagi na Betaniya, mulugongu lwa Mizeyituni, kawatumiti wafundwa wawili
2a131e008d	kawagambira, “Mgendi mushijiji sha palongolu penu, pamwingira hamwoni punda wamtawa mweni hakenitumiki na muntu. Mumyopoli na mumjegi panu.
2a131f0052	Muntu yoseri pakawakosiya, iwera hashi mwankumyopola, mumgambiri Mtuwa kamfira.”
2a13200047	Wagenditi munjira yawu, wawona kila shintu Yesu ntambu yakawagambiriti.
2a13210071	Pawaweriti wankumyopola punda ulii, weni yawawera na punda wawakosiya, “Iwera hashi mwankumyopola punda ayu?”
2a1322002a	Nawomberi wamwankula, “Mtuwa kamfira,”
2a13230082	su wamjega punda ulii kwa Yesu. Shakapanu wamyalikira nguwu zyawu pampindi pa punda na wamtanga Yesu kumkweniziya pampindi pakuwi.
2a13240040	Yesu kendereya na mwanja, na wantu wayalika nguwu zyawu munjira.
2a132500f3	Pakasokiti pakwegera na Yerusalemu, panjira panda ya lugongu lwa Mizeyituni, lipinga likulu lya wafundwa wanjiti kutenda lusheka na nemeleru walonga mayagashii Mlungu na kumkwisa yomberi kwa liziwu likulu pawatakula mauzauza makulu wagawoniti,
2a1326007d	“Mlungu gumtekeleri mfalumi yakiza mulitawu lya Mtuwa! Ponga iweri kumpindi nentu kwa Mlungu na ukwisa uweri kwa Mlungu!”
2a13270071	Shakapanu Wamafalisayu wamu mulipinga lilii lya wantu wamgambira Yesu, “mfunda, guwanyamaziyi wafundwa waku.”
2a13280057	Yesu kawankula, “Nukugambirani, handa pawanyamalila, mabuhi aga haganji kubotanga.”
2a1329004f	Pawasokiti pakwegera na lushi lwa Yerusalemu, na pakaluwona kanjiti kululilira,
2a132a005c	kalonga, “Meguvimani! Leru ayi vitwtatira vijega ponga. Kumbiti vinu galififa pamasu paku.
2a132b0070	Shipindi shankwiza ndo sheni wangondu waku hawakuzyengeti kwa maboma, hawakupingili na kukubabanika wega zoseri.
2a132c00b1	Hawakwagamiziyi gwenga na wantu yawalikala mngati, hapeni wakulekeli ata libuwi limu panani pa limonga, toziya gushimana ndiri shipindi sha Mlungu pakakwiziriti kukulopoziya.”
2a132d005e	Shakapanu Yesu kingiriti Mnumba nkulu ya Mlungu na kanja kuwawinga walii yawawuza vintu palii,
2a132e009a	kawagambira, “Walembiti mumalembu, Mlungu pakalonga, ‘Numba nkulu ya neni hayiweri numba ya kusalira.’ Kumbiti mwenga muyitenda mpanga ya wapoka.”
2a132f008d	Kila lishaka Yesu kaweriti kankufunda Mnumba nkulu ya Mlungu. Watambika wakulu na wafunda wa Malagaliru, na wakulu wa wantu wafiriti kumlaga,
2a133000a4	kumbiti wasinditi ntambu yakutenda aga, toziya wantu woseri waweriti wankumpikinira weri kila shisoweru shakatakuliti, na wafiriti ndiri kukosa shisoweru ata shimu.
2a140100aa	Lishaka limu Yesu kaweriti kankuwafunda wantu Mnumba nkulu ya Mlungu na kuvibwera visoweru viwagira, watambika wakulu na wafunda wa Malagaliru, pamuhera na wazewi, wiziti
2a14020076	na wamgambira, “Gutugambiri, gutenda vintu vyoseri avi kwa uwezu wa gaa? Ndo gaa yakakupiti uwezu wa kutenda aga?”
2a14030039	Yesu kawankula, “Vinu naneni hanuwakosiyi. Mung'ambiri,
2a1404004e	uwezu wa kubatiza wa Yohani Mbatiza ulawiti kumpindi ama ulawiti kwa wantu?”
2a14050091	Womberi wanjiti kuligambirana weni, “Hatulongi hashi? Patulonga, ‘Ulawiti kumpindi,’ yomberi hakatakuli, ‘Iwera hashi munjimira ndiri?’
2a140600a0	Kumbiti patulonga, ‘Ulawa kwa wantu,’ lipinga lyoseri lya wantu panu hawatugumi mabuhi, toziya woseri wavimaniti kuwera Yohani kaweriti mbuyi gwa Mlungu.”
2a1407003f	Su wamwankula, “Tuvimana ndiri uwezu wakuwi ulawiti koshi.”
2a1408005d	Yesu kawagambira, “Vira neni hapeni nuwagambirani ntenda vitwatira avi kwa uwezu wa gaa.”
2a140900a9	Yesu kawagambiriti wantu mfanu agu, “Kweniti na muntu yakayaliti mizyabibu mulirambu, kawazimila wakulima na mweni kagenditi mwanja, kalikaliti kulii shipindi shivuwa.
2a140a00d3	Shipindi sha kubenanga zyabibu shisokiti, kamtumiti mmanda kagendi kwa wakulima, kakatoli seemu ya mabenangu ga lirambu lya mizyabibu. Kumbiti wakulima wamkomanga ntumintumi ulii na wamuwuziya ukaya mawoku hera.
2a140b0079	Su kamtumiti ntumintumi gwingi, kumbiti wakulima walii wamkoma kayi na kumtendera vidoda, na wamwuziya ukaya mawoku hera.
2a140c0062	Kamtumiti ntumintumi gwa tatu, wakulima wamkoma mpaka kawera na vironda, shakapanu wamuwingawinga.
2a140d0080	Mweni kana lirambu kalikosiya, ‘Hantendi hashi? Hanumtumi mwana gwangu yanumfira, neni wera na unakaka hawamupanani ligoya!’
2a140e007d	Kumbiti wakulima walii pawamwoniti, wanja kuligambira, ‘Ayu ndo mhala gwakuwi. Tumlagi, uhala wakuwi hawuweri wa twenga!’
2a140f0073	Su wamlaviya kunja kulirambu, wamlaga.” Yesu kawakosiya, “Yakana lirambu ulii hakawatendi hashi wakulima walii?
2a14100098	Hakizi kuwalaga wakulima woseri, na hakawapanani wakulima wamonga lirambu lilii lya mizyabibu.” Wantu pawapikaniriti, watakula, “Iwezekana ndiri!”
2a141100be	Yesu kawaloliti na kukosiya, “Su Malembu aga Mananagala gana mana gaa? ‘Libuwi lyawalilemiti wanyawa wa numba, vinu ligalambuka na liwera libuwi lyaliwera na mana nentu kuliku goseri.’
2a14120079	Muntu yoseri pakaguwa pampindi pa libuwi hakamegeki vipandi vipandi, na libuwi palimtulukira muntu yoseri, halimtendi.”
2a14130097	Wafunda wa Malagaliru na watambika wakulu wafiriti kumbata, toziya wavimaniti mfanu agu guweriti kankuwatakula womberi, kumbiti palii wawatiriti wantu.
2a141400c3	Su waweriti wankusakula shipindi shifaa. Wawapanani wantu wamu mpiya walitendi waheri, su wawatuma wagendi kumjera Yesu kwa kumkosiya, su wawezi kumbata na kumjega kwa wakulu wa serikali ya Rumi.
2a141500d7	Walolalo walii wamgambira Yesu, “mfunda, tuvimana ntambu yagutakula na kufunda vitwatira vya nakaka. Tuvimana gwenga gwahera ubagula kwa muntu yoseri ulii, kumbiti gwenga gufunda unakaka wa vintu vyakafira Mlungu.
2a1416004d	Gutugambiri, handa vya halali ama vyahalali ndiri kulipa kodi kwa Kaisari!”
2a14170031	Kumbiti Yesu kavimaniti shawafira na kawagambira,
2a1418006f	“Mnanguziyi mpiya. Sheni sha mumpiya sha gaa na malembu yagalembwa mumpiya?” Wamwankula, “vya Kaisari.”
2a14190057	Su Yesu kawagambira, “Su vya Kaisari mpanani Kaisari na vya Mlungu mpanani Mlungu.”
2a141a0079	Waweza ndiri kumbata kwa shisoweru shoseri palii palongolu pa wantu, su wanyamaliti, pawalikangasha ntambu yakawankuliti.
2a141b0062	Shakapanu Masadukayu wamu, yawalongaga wantu yawahowa hapeni wazyuki, wamwiziriti Yesu na kulonga,
2a141c00b9	“mfunda, Musa katulembiriti Lilagaliru ali, ‘Muntu pakahowa na kumleka mdala yakahera mwana, mpaka mlongu gwakuwi kamtoli mkenja ulii su kamleleri wana mlongu gwakuwi yakahowiti.’
2a141d0059	Vinu kuweriti na walongu saba. Mkulu yakalongoleriti kumyuga kahowa pakaleka ndiri mwana.
2a141e002b	Mlongu gwa pili kamuyuga mdala mkenja ulii,
2a141f006b	na mlongu gwa tatu ntambu ira, vitwatira viweriti vira virii kwa woseri saba, wahowiti pawaleka ndiri wana.
2a14200032	Upeleru wakuwi na mdala mkenja ulii kahowiti vira.
2a14210063	Vinu mulishaka lya wahowiti kuzyuka, mdala ulii hakaweri gwa gaa? Toziya woseri saba wamuyugiti.”
2a14220038	Yesu kawankula, “Mushipindi ashi wapalu wayuga wadala,
2a14230079	kumbiti wapalu na wadala weni Mlungu hakawatangi kuwera mushipindi sha kuzyuka, hapeni wapalu wayugi wala wadala kuyugwa.
2a1424007b	Hawaweri gambira wantumintumi wa kumpindi na hapeni wahowi. Womberi ndo wana wa Mlungu, toziya wazyuka kulawa kwa wahowiti.
2a142500b5	Kumbiti Musa kalanguziyiti weri kuwera yawahowiti hawazyuki. Mumalembu Mananagala galembitwi shakatakuliti Mtuwa ndo Mlungu gwa Aburahamu, na Mlungu gwa Isaka, na Mlungu gwa Yakobu.
2a14260059	Mlungu ndo gwa yawawera wakomu, na Mlungu ndiri gwa wahowiti, kwakuwi woseri walikala.”
2a14270041	Wafunda wamu wa Malagaliru watakula, “mfunda guwankula weri!”
2a14280042	Watakuliti hangu toziya wasinditi kumkosiya kayi makosiwu gamonga.
2a1429004a	Yesu kawakosiya, “Watakula hashi kulonga Kristu kawera mwana gwa Dawudi?
2a142a006c	Mweni Dawudi kalemba kala mushintola sha Zaburi, ‘Mtuwa kamgambiriti Mtuwa gwangu, Gwikali kumliwu kwaneni
2a142b0046	Mpaka nuwatuli wangondu waku kuwera shiti sha kutulila magulu gaku.’
2a142c0059	Dawudi kamshemiti yomberi, ‘Mtuwa.’ Hayiweri hashi Mesiya kaweri mwana gwa Dawudi?”
2a142d003c	Yesu kawagambira wafundwa wakuwi kulongolu kwa wantu woseri,
2a142e00e7	“Muliloleri weri kuusu wafunda wa Malagaliru, weni wafira kugendagenda pawavalira lihabiti na wafira kulamsiwa kwa ligoya pahala pa masoku, weni wasyagula kulivaga pahala pa ligoya munumba zya Mlungu, na pahala paherepa mumsambu,
2a142f0074	Wawagambira wakenja mpayu na kuwapoka numba zyawu na pawaluwa Mlungu luwi ntali! Azabu yawu hayiweri nkulu nentu!”
2a15010074	Yesu kalola wega zoseri, kawawona wantu walunda pawatula mafupu gawu mulisanduku lya luhanja Mnumba nkulu ya Mlungu,
2a15020051	vira virii kamwoniti mkenja muhushu nentu pakatula senti ndidika mbili zya mpiya.
2a15030065	Kawagambira, “Nukugambirani kuwera nakaka mkenja muhushu ayu kalaviya zivuwa kuliku woseri wamonga.
2a1504008a	Wamonga walaviyiti mafupu gawu galii gagaziditi muulunda wawu, kumbiti muhushu ayu kwa uhushu wakuwi kalaviya vyoseri vyakalitumbiriti.”
2a1505009f	Wantumini wamu waweriti wankutakula kuusu Numba nkulu ya Mlungu, ntambu yawaherepeziya kwa mabuhi gaherepa na mafupu wagalaviyiti kwa Mlungu. Yesu kawagambira,
2a15060079	“Goseri aga gamgalola, shipindi shankwiza peni hapeni lisigali libuwi limu pahala pakuwi, kila shintu hashiharibiwi.”
2a15070081	Womberi wamkosiyiti, “mfunda, visoweru avi havilawili ndii? Hashilawiri shishi kutulanguziya kuwera shipindi ashi shankwiza?”
2a150800b9	Yesu kawankula, “Mliloli weri, nawawazyangani. Wantu wavuwa hawizi pawatakula shisoweru shangu, hawizi na kulonga, ‘Neni ndo mweni!’ Na ‘Shipindi hashizi!’ Kumbiti namuwafata.
2a1509007a	Namtira pampikanira ngondu na ndewu, vintu vyoseri avi mpaka vilawiri kwanja, kumbiti upeleru wa vitwatira avi wankali.”
2a150a006d	Yesu kendereya kutakula, “Isi yimu hailikomangi na isi yimonga, na ufalumi umu haulikomi na ufalumi umonga.
2a150b00a9	Hakuweri na malendemeru makulu ga isi na hakuweri na njala na ulweri wa tawuni pahala poseri, hakuweri na vitwatira vya kutiliziya na lilangaliru likulu kulawa kuliyera.
2a150c00b9	Pamberi pagalawira goseri aga, hawawabati na kuwatabisiya na hawawajegeni munumba za Mlungu na kuwatula muvibetubetu, hawawajegeni kulongolu kwa wafalumi na wakulu toziya munamini neni.
2a150d0037	Ayi hayiweri lupenyu lwenu kuvibwera visoweru viwagira.
2a150e003f	Kumbiti muvimani mumyoyu mwenu, namlihola ntambu ya kujiteteya,
2a150f0087	toziya Namweni neni hanuwapanani mwenga lulimi na luhala vyeni wangondu wenu woseri hapeni wawezi kusindana naga na kugalema gamtakula.
2a1510006a	Hagugalambukwi na mawu na tati gwaku, na walongu waku, na waganja waku, na wamonga pakati penu hawawalagi.
2a1511003e	Wantu woseri hawawakalalirani mwenga toziya ya litawu lyaneni.
2a15120038	Kumbiti hapeni luagamili ata luvili lumu mumituwi mwenu.
2a1513002f	Muweri pamgangamala mumoyu, hamliponiziyi weni.
2a15140070	“Pamwona Yerusalemu guzyengetwa na wangondu, su hamvimani kuwera shipindi shisoka peni isi ayi hayiharabisiwi.
2a1515007d	Woseri yawalikala Muyudeya watugili mulugongu, woseri yawawera mulushi wawuki, na woseri yawawera mumalambu nawawuya mulushi.
2a15160073	Toziya mashaka aga hagaweri ‘Mashaka ga kutoza,’ kulanguziya koseri kwakulembitwi mumalembu Mananagala gatimii.
2a151700a1	Shondi shondi wamawu yawawera na yinda na walii yawanoniziya mumashaka galii! Toziya hakuweri na malweri gavuwa muisi, na utoza wa Mlungu hawuwayizili wantu awa.
2a151800d1	Wamonga hawawalagi kwa upanga, na wamonga hawawatuli muvibetubetu muisi zoseri, na hawawatoli lopola mumaisi goseri na Yerusalemu hayitimbwi na wantu yawamumana ndiri Mlungu mpaka shipindi shawu pashimalilika.
2a151900d1	“Hakuweri na lilangaliru mumshenji, na mulyezi, na muntondu. Pasipanu wantu woseri yawaweriti muisi zoseri hawaweri na uhushu, lyoga lya kulishera kwa mtukuliru gwa makupala ga bahari na mihenyuhenyu yakuwi.
2a151a0071	Wantu pawafuwa myoyu kwa lyoga, pawalola vitwatira vyeni havilawili pasipanu, makakala ga kumpindi hagatikinyiki.
2a151b006b	Shipindi shilii Mwana gwa Muntu hakalawili, pakiza mumawingu pakawera na makakala pamuwera na ukwisa mkulu.
2a151c006d	Vintu avi pavyanja kulawira, mkalamuki na mnyasuli mituwi yenu kumpindi toziya ulopoziwu wenu wapakwegera.”
2a151d0052	Yesu kawagambiriti mfanu agu, “Mguloli mtera gwa mkuyu na mitera yamonga yoseri.
2a151e005b	Pamuwoniti mihamba yankwanja kumera, muvimana kuwera shipindi sha kutowa vula shapakwegera.
2a151f0061	Ntambu ira ayi, pamwona vitwatira avi vyankulawira, muvimani handa Ufalumi wa Mlungu wapakwegera.
2a1520005f	“Mliholi kuwera vintu vyoseri havilawili huti pamberi pa wantu woseri yawalikala vinu kuhowa.
2a15210046	Kumpindi na pasi panu hazipiti, kumbiti visoweru vyangu hapeni vipiti.
2a15220088	“Mliloleri weri! Namuwera vyambojola bojola, na lukologelu na lyaliya, ama pamlilola weri ndiri lishaka lilii halikwizireni vumu hera,
2a1523005b	gambira mgomiziwu. Toziya haguwayizili kwa wantu woseri yawalikala pahala poseri pasi panu.
2a152400ae	Mwenga mulikali masu na mumluwi Mlungu mashaka goseri su mpati makakala ga kugenda weri muvitwatira vyoseri vyeni ndo havilawili na kugoloka kulongolu kwa Mwana gwa Muntu.”
2a1525008a	Mashaka goseri paliwala, Yesu kaweriti kankufunda Mnumba nkulu ya Mlungu, na pamihi kaweriti kankugenda kulikala mulugongu lwa Mizeyituni.
2a1526004c	Kila pamandawila wantu woseri wagenditi Kunumba nkulu ya Mlungu kumpikinira.
2a1601004f	Msambu gwa mabumunda gachechema ndiri, yagushemwa Pasaka guweri sambira gusoka.
2a16020077	Watambika wakulu na wafunda wa Malagaliru waweriti wankusakula njira ya kumlaga Yesu kwa bada, toziya wawatiriti wantu.
