0100000005	Ugiti
020c1500b0	Ɗa Musa u ɗekei nkoshi m gba̱ra̱-gba̱ra̱ mi Isaraila dem, ɗa u danai le, banai i zagba nlala n na i kukiɗa n limata i kpaꞋa i ɗa̱ ma̱ ka̱ɗiva̱ ma Kupasamgbanai.
020c1600f0	Yaba dem u tsuwa̱n mpasa m malala ma̱ ni a masasu. Ka̱ta̱ u pitiku una̱ u izobu punu a mpasa ma. U yeve u vishangu a̱ utsutsu u kefeku, gaɗi n akambu dem. Ka̱ta̱ vuza wu uta̱ utsutsu u kefeku u kpaꞋa u ni ba, ali a kubana usana.
020c170103	Ayin a na baci Vuzavaguɗu wi a̱ kuka̱ra̱Ꞌa̱ adama a na wu una aza a Masar, wi ta̱ e kene mpasa gaɗi n akambu a̱ utsutsu u kefeku u ɗa̱, ka̱ta̱ u pasa u ka̱sukpa̱ ɗa̱. U kuka̱sukpa̱ kuni ka ka uwa a iꞋuwa i ɗa̱ ka̱ta̱ wu una ɗa̱ ba.
020c180059	I tono ili i nampa adama a na yo okpo ili i kutono i ɗa̱ nu ntsukaya n ɗa̱, ayin dem.
020c19009c	Ayin a na baci i yawai a iɗika i na Vuzavaguɗu u yaꞋankai ɗa̱ uzuwakpani u kuneke ɗa̱, ka̱ta̱ i lyaꞋa kelime n kuciɓasa n ka̱ɗiva̱ ka nampa.
020c1a0059	Muku n ɗa̱ me ece ɗa̱ baci, “Yiɗa̱i ka̱ɗiva̱ ka nampa ka ki o kuyotsongusu?”
020c1b00dc	Ka̱ta̱ i dana le, na va ka̱ɗiva̱ ka kupasamgbanai ka alyuka ka na Vuzavaguɗu wu uta̱ka̱i tsu a iɗika i Masar. Ɗa wu unai aza a Masar ama ɗa u ka̱sukpa̱i iꞋuwa i tsu. Ɗa uma a̱ kuɗa̱ngi ɗa a cikpai ni.
020c1c004d	Ɗa aza a Isaraila a yaꞋin derere tsu na Vuzavaguɗu u danai Musa n Haruna.
020c1d0106	N kayin ka gbayin, ɗa Vuzavaguɗu wu unai ngaji ma aza a Masar ra̱ka̱. U gita̱i m magaji ma FiriꞋauna vuza na wi ida̱shi a kakuba ko tsugono, ali a kubana a magaji ma vuza na wi ɗe ushiyi a̱ kunu ku ugbashi, koɓolo m muku n iyain mi ilikuzuwa ra̱ka̱.
020c1e00b8	FiriꞋauna n anan taji a̱ ni koɓolo n aza a Masar ra̱ka̱ a̱ ɗa̱nga̱i n kayin, ɗa a̱ ka̱na̱i ma̱shi n yoroli a iɗika i Masar ra̱ka̱, adama a na ukpa̱ u kawuriya u ɗa.
020c1f00d8	FiriꞋauna u suki a bana e ɗeke Musa n Haruna n kayin ka nanlo, u danai, “Ɗenga̱i i Ka̱sukpa̱ka̱ mu uma a̱ va̱, a̱ɗa̱ n uma a̱ ɗa̱ aza a Isaraila yaꞋin tsu na i danai va, banai i cikpa Vuzavaguɗu.
020c200082	Ɗikai kuzuwa ku ɗa̱ n ushiga wu nlala n anaka tsu na vu danai. Ama ka̱ta̱ i zuwaka mu una̱singai biꞋi, ka̱ta̱ i laza.”
020c210096	Ɗa ta na aza a Masar a gbagbalai uma a a yaꞋan moloko a̱ uta̱ punu a iɗika, ɗa a danai, “Ta baci nannai ba, ci ta̱ a̱ kukuwa̱ ra̱ka̱.”
020c2200a4	Uma a Isaraila a ɗikai kiya ku na ki uzuɓuki n yisiti ba, ɗa a̱ tsungi ku ɗa nvene n le ɗa a̱ ka̱ta̱la̱i punu a ucanuku u le, ɗa o woki a avangatsu e le.
020c23008f	Ɗa aza a Isaraila a yaꞋin tsu na Musa u danai le a yaꞋan. Ɗaɗa e ecei aza a Masar ili ya azurufa, koɓolo n azanariya, koɓolo n aminya.
020c2400c0	Vuzavaguɗu u zuwai aza a Isaraila a̱ ciya̱i wishi a̱ ubuta̱ wa aza a Masar. Ɗa e nekei le ili i na e ecei le dem. Ta aza a Isaraila a̱ pura̱i uciyi n a̱bunda̱i wa aza a Masar nannai.
020c2500d6	Ɗa uma a Isaraila a̱ ɗa̱nga̱i a̱ ka̱sukpa̱i Ramase, a̱ ka̱na̱i uye a kubana o Sukotu. Ka̱bunda̱i ka uma ka na a walai e ene ele ɗa a̱kpa̱n amangatawa̱nta̱li ali biꞋi koci, babu a̱ma̱ci m muku.
020c26006b	Ka̱bunda̱i ka uma ka aza na i aza a Isaraila ba, ɗa o tonoi le, ushiga wa anaka nu nlala u tonoi le feu.
020c2700e1	Ɗa a yaꞋin boroji vu na vi yisiti ba n kiya ku na a̱ uta̱ka̱i a iɗika i Masar. Boroji vu babu yisiti, adama na uta̱ka̱ le ta̱ m moloko a iɗika i Masar, a̱ ciya̱ o foɓusoko ka̱ci ke le ilikulyaꞋa ko boroji ba.
020c280067	Muku mi Isaraila a̱ da̱sa̱ngu ta̱ a iɗika i Masar, ali a̱ya̱ amangatawa̱na̱shi n kamangankupa.
020c2900a5	A kanna ku ukocishi ka̱ a̱ya̱ amangatawa̱na̱shi n kamangankupa ka nanlo, ɗaɗa Vuzavaguɗu wu uta̱ka̱i n uma a̱ ni a iɗika i Masar ka̱tsura̱-ka̱tsura̱.
020c2a0104	N kayin ka nanlo ka ɗa Vuzavaguɗu u zuwai a̱shi adama a na wu uta̱ka̱ le a iɗika i Masar. Kayin ka nampa, ka Vuzavaguɗu kaꞋa, adama a nannai aza a Isaraila ra̱ka̱ i ta̱ a kuzuwaka kayin ka nanlo ka a̱shi ali a kubana wu ntsukaya n na n kuta̱wa̱.
020c2b0097	Ɗa Vuzavaguɗu u danai Musa n Haruna, na va ɗaɗa wila̱ u ka̱ɗiva̱ ka kupasamgbanai, Ka̱ta̱ i ka̱sukpa̱ komoci ka lyaꞋa ilikulyaꞋa ya ba.
020c2c0068	Ama kagbashi dem ka na i tsulai wi ta̱ a kufuɗa wa lyaꞋa ilikulyaꞋa ya, wi baci n ukiɗi u kavaja.
020c2d005d	Komoci ka na baci ka̱ cipa̱i wa̱ ɗa̱ ko vuza zamalinga, wa kulyaꞋa ilikulyaꞋa ya ba.
020c2e0092	“I takuma inyama ya punu a asuvu a kpaꞋa ku te, ka̱ta̱ a̱ uta̱ka̱ n i ɗa pulai ba, ka̱ta̱ kpamu i takuma inyama ya i ɓoso etele a ba.
020c2f0039	Uma a Isaraila ra̱ka̱ a yaꞋansa ka̱ɗiva̱ ka nampa.
020c300180	Komoci ka na baci ki punu ida̱shi n a̱ɗa̱ ɗa u cigai kuyaꞋan feu ka̱ɗiva̱ ka kupasamgbanai ka Vuzavaguɗu, mayun ɗa maku ma vali ma na mi a kpaꞋa ku ni dem u ciya̱ ukiɗi u kavaja. Ka̱ta̱ ayin a nanlo u yeve u uwa a̱ ubuta̱ u ka̱ɗiva̱ wa koɓolo n a̱ɗa̱, wo okpo ta̱ vuza likuci feu. Mavali dem ma na a kiɗai kavaja ba, ka̱ta̱ u lyaꞋa ilikulyaꞋa ya ba.
020c31005e	Wila̱ u ka̱na̱ ta̱ yaba dem ko vuza likuci ko komoci ka na ki punu ida̱shi n a̱ɗa̱.”
020c320048	Ɗa muku mi Isaraila n yaꞋin tsu na Vuzavaguɗu u danai Musa n Haruna.
020c33006f	A kanna ka nanlo ka ɗa Vuzavaguɗu wu uta̱ka̱i m muku mi Isaraila a iɗika i Masar, ka̱tsura̱-ka̱tsura̱.
020d010019	Vuzavaguɗu u danai Musa,
020d020076	“Maku ma iyain ma vuma ma aza a Isaraila, ko vuma ko manama, ma̱ va̱ maꞋa, vu neke maꞋa a kubana wa̱ va̱.”
020d0300e1	Ɗa Musa u danai uma a, “Ciɓasai n kanna ka nampa ka na yu uta̱i a iɗika i Masar, a̱ ubuta̱ wu ugbashi, n utsura u Vuzavaguɗu wu uta̱ka̱i ɗa̱, ɗa u tuka̱i ɗa̱ na. Ka̱ta̱ i takuma boroji vu na vi n yisiti ba.
020d040047	A kanna ka nampa ko wotoi u Abibu ka ɗaɗa yu uta̱i a iɗika i Masar.
020d05011f	A ayin a na baci Vuzavaguɗu u bankai ɗa̱ a iɗika i uma i KanaꞋana, n Hitiya n Amoriya n Hiviya n Jebusiya, i na u kucinakai ikaya i nu u kuneke wu i ɗa. Iɗika i na yi m maniꞋin n tsuta̱, ka̱ta̱ vi yaꞋan ka̱ɗiva̱ vu ciɓasa n kanna ko wotoi ka nampa ka a̱ ka̱ya̱ dem.
020d06007b	I takuma boroji vu na a yaꞋin n yisiti ba ali ayin e cindere, a kanna ke cindere, i yaꞋan ka̱ɗiva̱ ka u Vuzavaguɗu.
020d0700c5	Yi ta̱ a kutakuma boroji vu babu yisiti va ali ayin e cindere, a̱ ka̱tsuma̱ ka ayin a nanlo, ka̱ta̱ a cina ili i na yi n yisiti a̱ ka̱tsuma̱ ka̱ ɗa̱, ko punu a̱ ubuta̱ u na yi dem ba.
020d0800c9	A kanna ka nanlo ka ɗa va kudana maku ma̱ nu, ‘Ili i na i zuwai ɗa mi kuyaꞋan ka̱ɗiva̱ ka nampa ka, ka ɗaɗa adama a ili i na Vuzavaguɗu u yaꞋankai mu, wu utuka̱i mu a iɗika i Masar.’
020d090117	Ka̱ɗiva̱ ka nampa ki ta̱ o kokpo an urotu e kukiye ku nu, n ili i kuciɓasa kpamu a̱ kuca̱n ku nu adama a na wila̱ u Vuzavaguɗu u yongo punu a̱ ka̱ɗu ka̱ nu, ka̱ta̱ vu dansa n una̱ u nu. Adama a na Vuzavaguɗu ɗa wu utuka̱i nu a iɗika i Masar n utsura u gbayin.
020d0a0061	Yi ta̱ a kuciɓasa n kanna ka̱ ka̱ɗiva̱ ka nampa ka a ayin a na a zuwai, a̱ ka̱ya̱ lakam.
020d0b00b9	“Ayin a na baci Vuzavaguɗu u tuka̱i ɗa̱ a iɗika i KanaꞋana, ɗa u nekei ɗa̱ i ɗa, uteku tsu na u yaꞋin uzuwakpani n a̱ɗa̱ n ikaya i ɗa̱ u kuneke ɗa̱ ta̱ iɗika ya,
020d0c008c	ka̱ta̱ i neke Vuzavaguɗu umaci u iyain u muku n ali n vuma, koɓolo n umaci u iyain u muku n ali wu nnama adama a na n Vuzavaguɗu n ɗa.
020d0d00d5	Kogono ka majaki dem ka na a̱ gita̱i kumatsa vi ta̱ a kufuɗa va tsupa m maku ma malala. Ama vi ciga baci kuyaꞋan nannai ba, vu koɗo majaki ma kuɗeku. Ama maku ma vuma dem vi ta̱ a kufuɗa va tsupa maꞋa.
020d0e00c2	“A kubana a ayin o yoku maku ma̱ nu me ece wu baci, ‘Yiɗa̱i na va?’ U shuku yi, ‘N utsura u Vuzavaguɗu u ɗa wu uta̱ka̱i tsu a iɗika i Masar, a̱ ubuta̱ u na ci ishi a tsugbashi.
020d0f0145	Ana FiriꞋauna u yaꞋin ugbamukaci, ɗa u iwain kuka̱sukpa̱ tsu tsu laza. Ɗa Vuzavaguɗu wu unai muku n ali n na a̱ gita̱i kumatsa n vuma nu nnama dem a Masar. I ɗaɗa i zuwai ɗa ci a kuyaꞋanka muku n iyain mu nnama alyuka u Vuzavaguɗu. Ka̱ta̱ tsu tsupaka maku ma iyain ma vuma dem a̱ ubuta̱ u Vuzavaguɗu.’
020d1000ab	Na va wi ta̱ o kokpo an urotu e kukiye ku nu n ili i kuciɓasa a̱ kuca̱n ku nu, a na Vuzavaguɗu wu uta̱ka̱i tsu a iɗika i Masar n utsura u gbayin u kukiye ku ni.”
020d11011f	Ana FiriꞋauna u ka̱sukpa̱i uma a lazai, Ka̱shile ka̱ ka̱sukpa̱ le o tono n uye wa asuvu ba, u na u walai a iɗika ya aza a̱ Filisitiya. Adama a na Ka̱shile ka dana ta̱, “I ta̱ a kufuɗa kusabaꞋa a̱ɗu e le ka̱ta̱ a suma o kubono a Masar ayin a na baci e enei kuvon.”
020d1200ad	Ɗa Ka̱shile ko tonoi n ele a uye u na u tonoi m meremune u na u walai a Mala ma Shili. Ayin a na aza a Isaraila a̱ ka̱sukpa̱i Masar i ta̱ ufoɓushi a na osoji o kuvon.
020d13010c	Ɗa Musa u ɗikai etele a̱ Isufu, adama a na a̱yi Isufu u zuwa ta̱ ɗe muku mi Isaraila a kucina u danai, “Mayun Vuzavaguɗu wi ta̱ a̱ kuta̱wa̱ wa̱ ɓa̱nka̱ ɗa̱, ka̱ta̱ i ɗika etele a̱ va̱ ayin a na baci yi a kulaza kuka̱sukpa̱ ubuta̱ u nampa.”
020d140074	Ɗa muku mi Isaraila n ka̱sukpa̱i Sukotu, ɗa a banai a̱ da̱sa̱ngi e Etam a̱ ka̱kina̱ kafu a uwa e meremune.
020d1500fe	N kanna Vuzavaguɗu u tsu wala ta̱ kelime ke le n kabashi ke keleshu adama a na u yotsongu le uye, n kayin tamkpamu u wala n ele n kabashi ke keleshu ka kutashi ka akina. Adama a na e ene ubuta̱, ciya̱ a fuɗa a yaꞋan nwalu n le n kanna n kayin dem.
020d16006a	Vuzavaguɗu u takpa kabashi ke keleshu n kanna ko ka kutashi ka akina n kayin a̱ ubuta̱ u uma a̱ ni ba.
020e010020	Ɗaɗa Vuzavaguɗu u danai Musa,
020e02009c	“Dana aza a Isaraila a kpatala o bono ka̱ca̱pa̱ a vaku a Pi-hahiro ɗevu n likuci i Bal-zefon. Ubuta̱ wa wi ta̱ e mere ma̱ likuci i Magidolu m mala.
020e03008c	FiriꞋauna u sheshe ta̱, ‘Uma a Isaraila i ta̱ ɗe a̱ kuka̱ra̱Ꞌa̱sa̱ keberiketi a iɗika ya, meremune ma̱ ka̱na̱i le ta̱.’
020e04011b	Mi ta̱ a kuzuwa FiriꞋauna u yaꞋan ugbamukaci, wi ta̱ a kuguva le, utsura u na n kulyaꞋa FiriꞋauna n osoji a̱ ni wi ta̱ o kokpo ukuna u tsugbayin a kubana wa̱ va̱. Nannai ɗa aza a Masar e kuyeve a na mpa ɗa Vuzavaguɗu.” Ɗa aza Isaraila a yaꞋin tsu na a danai le.
020e050125	Ana a danai mogono ma Masar uma a a laza ta̱, a̱yi n aza a̱ gba̱ra̱-gba̱ra̱ a̱ ni a yaꞋansakai a̱ɗu e le ɗa a danai. “Yiɗa̱i i zuwai ɗa ci yaꞋin ili i tsulau nannai, ɗa tsu ka̱sukpa̱i aza a Isaraila a lazai? Ɗa tso okpoi na babu aza a na a kuyaꞋanka tsu tsugbashi!”
020e060055	Ɗa FiriꞋauna u zuwai o foɓusoi ekeke o odoku o kuvon a̱ ni n osoji a̱ ni kpamu.
020e07008d	Ɗa u ɗikai ekeke o odoku o kuvon amangatawa̱nta̱li a singai, koɓolo n ekeke o odoku a Masar a na a buwai dem. Yaba dem n kovonshi vi ni.
020e0800b4	Ɗa Vuzavaguɗu u doku u zuwai FiriꞋauna mogono ma Masar ma yaꞋin ugbamukaci, adama a nannai, ɗa u ka̱na̱i kukiyangu aza a Isaraila a na i a kulaza n ka̱ɗu ke le ida̱shi.
020e0900e3	Ɗaɗa aza a Masar n ekeke o odoku o kuvon a FiriꞋauna ra̱ka̱, n aza a na a tsu kumba odoku a. A kiyangi aza a Isaraila ɗa a cinai le a vaki a̱ ka̱kina̱ ka Mala ma Shili ɗevu m Pi-hahiro a kapashi ko yoku ka Bal-zefon.
020e0a00d5	Ana FiriꞋauna wi a kuyawa ɗevu, ɗa aza a Isaraila a kpatalai a̱shi ɗa enei aza a Masar a̱ kuta̱wa̱ a̱ ka̱ca̱pa̱ ke le. Ɗa wovon u ka̱na̱i le n a̱bunda̱i, ɗa a lapai una̱ a kubana u Vuzavaguɗu.
020e0b011f	Ɗa aza a Isaraila a danai Musa, “Yiɗa̱i i zuwai ɗa vi yaꞋankai tsu nannai, vu uta̱ka̱i tsu a iɗika i Masar, vu tuka̱i tsu na adama a na tsu kuwa̱ e meremune? Asaun i ɗe a Masar a na a̱ kuciɗa̱ngu tsu ba? Yiɗa̱i i zuwai ɗa vu zuwai tsu tsu ka̱sukpa̱i iɗika i Masar?
020e0c00b8	Tsu dana wu ukuna u nampa a̱ tsu biꞋi na ɗe a Masar ba? Wi ishi ta̱ a kulaꞋa n kugaꞋan vu ka̱sukpa̱ tsu ci yaꞋanka aza a Masar tsugbashi, an tsa̱ kuwa̱ na e meremune.”
020e0d00c1	Ama Musa u danai uma a, “Ka̱ta̱ i pana wovon ba. Shamgbai de bini a̱ ubuta̱ u na yi de dem, Vuzavaguɗu wi ta̱ a kisa ɗa̱ anana. Uteku n anana yo kudoku ye kene aza a Masar a nampa ba.
020e0e006d	Vuzavaguɗu n ka̱ci ka̱ ni wi ta̱ a̱ kushilika̱ka̱ ɗa̱, a̱ɗa̱ ka̱ta̱ i yaꞋan ili i yoku ba.”
020e0f0077	Ɗaɗa Vuzavaguɗu u danai Musa, “Yiɗa̱i i zuwai ɗa vi a̱ kushiꞋa̱ka̱ mu? Dana uma a lyaꞋa kelime nu nwalu.
020e10008e	Ka̱ta̱ vu ɗengusa̱ kalangu ka̱ nu vu sapangu mala ma, ma mi ta̱ e kupece adama a na aza Isaraila a wala punu e mere a iɗika yu uɗekpu.
020e1100f7	Mi ta̱ a kuzuwa aza a Masar o okpo n ugbamukaci ka̱u ali ka̱ta̱ a̱ ɗa̱nga̱ adama a na o tono le. A ayin a nanlo ɗa ma̱ kuciya̱ tsugbayin a̱ ubuta̱ u FiriꞋauna n osoji a̱ ni dem n ekeke o odoku a̱ ni n akumbi e ekeke o odoku a feu.
020e120095	A ayin a na baci n ciya̱i tsugbayin u FiriꞋauna n ekeke o odoku a̱ ni ali n akumbi e le, ɗaɗa aza a Masar e kuyeve a na mpa ɗa Vuzavaguɗu.”
020e1300ce	Kalingata ka̱ Ka̱shile ka na ka tsu wala kelime ka aza o kuvon a Isaraila, ɗa u bonoi ka̱ca̱pa̱ ke le. Ɗa feu kabashi ke keleshu ka na ki o kutono le va feu ke sheruwengi ko bonoi ka̱ca̱pa̱ ke le.
020e1400ec	Ɗa keleshu ka ka shamgbai e mere ma aza a Masar n aza a Isaraila. E kuneke ka̱yimbi a kakambu ka aza a Masar, kutashi tamkpamu a kakambu ka aza a Isaraila. Ta keleshu ke pecei uma a nannai n kayin babu uteku u na a kuyawanai ɗeɗevu.
020e1500ed	Ɗa Musa u tsu ɗengusa̱ kukiye ku ni a gaɗi vu mala. Ɗa Vuzavaguɗu u suki n wunla̱i wu utsura u kasana u na u gita̱i kulapa a̱ ka̱tsuma̱ ka kayin ka nanlo dem, ali ɗa mini ma me pecei ugboku u re. Ɗa mere ma mo okpoi uɗekpu.
020e16007e	Ɗa aza a Isaraila a walai punu e mere a mala ma a iɗika i ɗekpu m mashilya ma̱ mini a kakambu ku usingai n ku ugula̱ dem.
020e17009a	Ɗa aza a Masar a kiyangi le, koɓolo n odoku a FiriꞋauna, koɓolo n ekeke o odoku o kuvon n akumbi a, ɗa o tonoi le a kuꞋuwa punu e mere ma mala ma.
020e1800b9	Ama n usana ka̱u kafu kayin ka asa, ɗa Vuzavaguɗu ɗe gaɗi vi keleshu ka akina ɗa u la̱na̱ki osoji a aza a Masar, ɗa u ka̱na̱i kuzuwa wovon a̱ a̱ɗu e le, ɗa a̱ ripula̱i.
020e190108	Ɗa anci e ekeke e le a̱ ka̱na̱i kuliɓa o kolyoꞋo, o doku a fuɗa a wala ba. Adama a nannai, ɗa aza a Masar a̱ ka̱na̱i ku dananai, “YaꞋan tsu suma tsu ka̱sukpa̱ uma a nanlo nannai, adama a na Vuzavaguɗu wi ta̱ a̱ vishili n a̱ tsu adama e le.”
020e1a00b6	Ɗaɗa Vuzavaguɗu u danai Musa, “Ɗengusa̱ kukiye ku nu a gaɗi vu mini va adama a na mo bono ma pala aza a Masar ra̱ka̱ n ekeke o odoku e le koɓolo n akumbi o odoku a dem.”
020e1b00fc	Ubuta̱ biꞋi ka̱li-ka̱li ɗa Musa u ɗengusa̱i kukiye ku ni ɗa u sapangi mala, gogo lo ɗa mini mo bonoi uteku u na ma mi ishi. Aza a Masar a gbagbalai adama a na a isa ka̱ci ke le, ɗa Vuzavaguɗu u niꞋwa̱nta̱ngi le punu ra̱ka̱ a mala ma.
020e1c00b4	Ɗa mini ma mo bonoi ɗa ma palai ekeke o odoku a FiriꞋauna n akumbi a dem koɓolo n osoji a FiriꞋauna a na o tonoi aza a Isaraila a kuꞋuwa a mala ma. Ko vuza te u laꞋa ba.
020e1d0074	Ama aza a Isaraila a walai a iɗika i ɗekpu, ɗa mini ma ma yaꞋin nshilya n re me te a̱ ugula̱ me te a usingai.
020e1e00a0	A kanna ka nanlo, ɗa Vuzavaguɗu wi isai aza a Isaraila e ekiye aza a Masar. Ɗa aza a Isaraila e enei even a ikyamba ya aza a Masar a̱ ka̱kina̱ ka mala ka.
020e1f00be	Ana aza a Isaraila e enei utsura u gbangam u na Vuzavaguɗu u yotsongi aza a Masar, ɗa a panai wovon u Vuzavaguɗu. Ɗa o doku ɗa e nekei a̱ɗu e le u Vuzavaguɗu m Musa kagbashi ka̱ ni.
020f0100f0	Ɗa Musa n aza a Isaraila a yaꞋin vishipa vu nampa va a kubana a̱ ubuta̱ u Vuzavaguɗu, mi ta̱ a kuyaꞋan vishipa vu kucikpa Vuzavaguɗu, adama a na a̱yi ɗa u ciya̱i ulyaꞋi u gbayin. U vakangi kodoku n kakumbi ka̱ ni dem a mala.
020f0200c0	Vuzavaguɗu ɗa katsura ka̱ va̱ a̱yi ɗa kpamu vishipa vu va̱, a̱yi ɗa wishi u va̱. A̱yi ɗa Ka̱shile ka̱ va̱, mi ta̱ a kucikpa yi, Ka̱shile ke esheku a̱ va̱, n kucikpa yi ta̱.
020f03003f	Vuzavaguɗu kovonshi kaꞋa, kula ku ni ku ɗa feu Vuzavaguɗu.
020f04009b	Ekeke o odoku a FiriꞋauna n osoji a̱ ni, u vakangi le a mala. Aza a̱ gba̱ra̱-gba̱ra̱ a uzagbi a FiriꞋauna u niꞋwa̱nta̱ngi le a Mala ma Shili.
020f050043	Ɗa mini mu uga̱vi ma palai le, ɗa a liɓai sai ɗaka tsu katali.
020f06007c	Kukiye ku singai ku nu Vuzavaguɗu ki ta̱ n tsugbayin n utsura, n kukiye ku singai ku nu ku ɗaɗa vu la̱nga̱sa̱i irala.
020f070097	N tsugbayin tsu utsura tsu nu tsu ɗa vu poloi aza a na i a tsurala n avu. Ɗa vu tsunki le wupa u nu, vu songi le n akina a̱ nu tsu mita̱ me ɗekpu.
020f0800bf	N utsura wa ayinviki a na a̱ uta̱i a̱ vunu vu nu, ɗa mala mo ɓolongi a̱ ubuta̱ u te. Mini ma̱ a̱bunda̱i mo bonoi ma yaꞋin mashilya, mala ma̱ kutsa̱i an katali e mere ma mala ma.
020f0900cc	“Vurala vi le vu danai, ‘N kusaɓa le ta̱, n kulyaꞋa le ta̱, n ku pecuku ta̱ ucanuku wa, n kuɗika ta̱ ili i na mi a kuciga, n kutala ta̱ kotokobi ka̱ va̱ ka̱ta̱ ekiye a̱ va̱ a una le.’
020f0a0074	Ama ɗa vu uvula̱i n ayinviki a̱ nu, ɗa mala ma palai le, ɗa a liɓai tsu ka̱ta̱mba̱ punu a̱ mini ma gbayin.
020f0b00ad	“Yayi a̱ ka̱tsuma̱ ka̱ a̱ma̱li wi uteku tsu nu Vuzavaguɗu? Yayi wi uteku tsu nu a̱ ka̱tsuma̱ ka tsugbayin n ciɗa, n utsura n tsugbayin a kuyaꞋan ili i mereve?
020f0c0043	Vu ba̱ra̱kpa̱i kukiye ku usingai ku nu ɗa iɗika i soɗongi le.
020f0d00ae	“N ucigi u gbayin u nu u ɗa vu ci yaꞋan kaguɓa ka uma a̱ nu a na vi isai. A̱ ka̱tsuma̱ ku utsura u nu u ɗa va kuguɓa le a kubana ubuta̱ wi ida̱shi u ciɗa u nu.
020f0e006a	Iɗika kakau yi ta̱ a kupana ka̱ta̱ i dagaza, una̱mgbi u ka̱tsuma̱ u ka̱na̱ ta̱ aza a Filisitiya.
020f0f0090	Ngono n Edom mi ta̱ a kudagaza, aza a̱ gba̱ra̱-gba̱ra̱ a Mowabu i ta̱ a̱ kulima̱ adama atakaci, aza KanaꞋana i ta̱ a̱ kuniꞋwa̱n,
020f1000d7	wovon n udagaji wi ta̱ a kuka̱na̱ le. Ama adama a utsura u kukiye ku nu, i ta̱ a kushamgba n utsura an katali, ali sai ayin a na uma a̱ nu a lazai, Vuzavaguɗu, ali sai ayin a na uma a na vu uta̱ka̱i a lazai.
020f1100bb	Vi ta̱ a̱ kuɗika le ka̱ta̱ vu shikpa̱ le, a kusan ku nu, ubuta̱ u na avu Vuzavaguɗu vu lapulukai ka̱ci ka̱ nu, A̱ A̱Ꞌisa̱ a na avu Vuzavaguɗu, vu lapulukai ka̱ci ka̱ nu.
020f120040	Vuzavaguɗu wi ta̱ a kulyaꞋa tsugono, ali ayin babu uteku.”
020f1300c6	Ana odoku a FiriꞋauna n ekeke o odoku n akumbi e le a uwai a mala ma, ɗa Vuzavaguɗu u bonokoi m mini ma, u palai le m maꞋa, ama aza a Isaraila a walai a iɗika i ɗekpu punu e mere ma mala ma.
020f140099	Ɗa taku vu Haruna Miriyamu keneki, u ɗikai ma̱ka̱nlu e ekiye a̱ ni ɗa ta na a̱ma̱ci n a̱bunda̱i o tonoi ni, a̱ ka̱na̱i tsuwaꞋi n e jeꞋi.
020f1500c1	Ɗa Miriyamu u yaꞋin vishipa vu nampa, “Ci yaꞋankai Vuzavaguɗu vishipa, adama a na a̱yi ɗa u ciya̱i ulyaꞋi u gbayin. A̱yi ɗa u niꞋwa̱nta̱ngi odoku n akumbi e le dem a mala.”
020f1600d3	Ɗaɗa Musa u tonoi n aza a Isaraila, ana a̱ ka̱sukpa̱i Mala ma Shili, ɗa u zuwai le a wala e meremune ma na e ci ɗeke Shuru. A yaꞋan ta̱ ayin a tatsu, ele a kuwala e meremune ma nanlo ama e ene mini ba.
020f170084	Ana a yawai a Mara a fuɗa o soꞋo mini ma ba, adama a na mini ma mi ta̱ n okono. (I ɗaɗa i zuwai ɗa e ɗekei ubuta̱ wa Mara.)
020f180051	Ɗa uma a yaꞋankai Musa mololo, a danai, “Yiɗa̱i tsa ɗamgba tso soꞋo?”
020f1900fe	Ɗa Musa u shiꞋika̱i Vuzavaguɗu, ɗa Vuzavaguɗu u yotsongi ni kacaka ka maɗanga. Ɗa u ɗikai u vakangi kaꞋa punu a̱ mini ma, ɗa mini ma mo bonoi uyoꞋo. A̱ ubuta̱ wa ɗe ɗa Vuzavaguɗu u nekei le kupiꞋisa n wila̱, ɗa kpamu u kondoi le.
020f1a0157	Ɗa u danai, “I pana baci ka̱la̱ka̱tsu ka Vuzavaguɗu Ka̱shile ka̱ ɗa̱ mayin, ɗa i yaꞋin ili i na i gaꞋin ni kpamu, ɗa i tonoi ili i na u danai derere. Ɗa kpamu i tonoi wila̱ u ni ra̱ka̱, mpa mi a̱ kutuka̱ ɗa̱ n ila̱nishi tsu na n suꞋuki aza a Masar ba, adama a na mpa ɗa Vuzavaguɗu vu na u tsu potsotongu ɗa̱.”
020f1b0093	Ɗaɗa uma a a yawai e Elim, a̱ ubuta̱ u na wi n a̱shi a̱ mini kupa n e re ni nshuwa amangatatsunkupa. Ɗa a vaki lo ɗevu n ubuta̱ u mini wa.
02100100ce	Aza a Isaraila ra̱ka̱ a̱ ka̱sukpa̱i Elim, ɗa a banai e meremune ma na e ci ɗeke Sin. Wi ta̱ e mere me Elim n Sinai. Ili i nanlo i yaꞋan ta̱ a kanna ke gendu ko wotoi u ire ana a̱ uta̱i a Masar.
0210020051	E meremune ma ɗe, ɗa aza a Isaraila ra̱ka̱ a yaꞋankai Haruna m Musa mololo.
