0100000009	UGenesisi
05012700b2	Kanti njalo lalabo abancane elalisithi bazathunjwa, abantwabenu abangakehlukanisi phakathi kokubi lokuhle, bazangena kulelolizwe. Ngizabapha lona njalo bazalithatha libe ngelabo.
0501280061	Kodwa lina, phendukani njalo lisuke liqonde enkangala lilandele indlela eya oLwandle oluBomvu.’
05012900c7	Lina laphendula lathi, ‘Sonile kuThixo. Sizahamba siyekulwa, njengokulaywa kwethu nguThixo uNkulunkulu wethu.’ Ngalokho lonke lahloma ngezikhali linakana ukuthi kulula ukungena elizweni lamaqaqa.
05012a0078	Kodwa uThixo wathi kimi, ‘Wothi kubo, “Lingayi ukuyakulwa, ngoba kangiyikuba lani. Lizakwehlulwa yizitha zenu.”’
05012b007c	Ngakho ngalitshela, kodwa kalizange lilalele. Lahlamukela umlayo kaThixo kwathi ngobuqholo benu layangena elizweni lamaqaqa.
05012c0099	Kwathi ama-Amori ayehlala kulawomaqaqa alihlangabeza alihlasela; alixotsha njengomtshitshi wenyosi, alibhuqa kusukela eSeyiri indlela yonke kusiya eHoma.
05012d005e	Laphenduka lafika lakhala phambi kukaThixo kodwa kazange alalele ukukhala kwenu walifulathela.
05012e0059	Ngakho lahlala eKhadeshi okwensuku ezinengi, okwesikhathi sonke elasichitha likhonale.”
050201009e	“Sasesiphenduka siqonda enkangala ngendlela yoLwandle oluBomvu njengokulaywa kwami nguThixo. Okwesikhathi eside sasilokhu sibhoda ezweni lamaqaqa aseSeyiri.
0502020016	UThixo wasesithi kimi,
0502030059	‘Selibhode labhoda ezweni lamaqaqa sekwanele; khathesi phendukani likhangele enyakatho.
050204009e	Nika abantu leziziqondiso: “Khathesi selizakwedlula elizweni labafowenu isizukulwane sika-Esawu, abahlala eSeyiri. Bazalesaba, kodwa libolimuka linanzelele.
05020500ac	Lingaboqala livuse impi ngoba angiyikulipha ilizwe labo, sengisitsho lesiqinti esilingana unyawo olulodwa. Nganika u-Esawu ilizwe laseSeyiri elamaqaqa ukuthi libe ngelakhe.
0502060051	Lizababhadala ngesiliva libhadalela ukudla elizakudla lamanzi elizawanatha.”’
05020700d0	UThixo uNkulunkulu wenu uyibusisile imisebenzi yezandla zenu. Ulikhokhele kulolonke uhambo lwenu phakathi kwenkangala enkulu kangaka. Iminyaka engamatshumi amane uThixo wenu ube lani, kalizange liswele lutho.
05020800d0	Ngakho sahamba sedlula ezihlotsheni zethu isizukulwane sika-Esawu abahlala eSeyiri. Saphenduka sisuka emgwaqweni wase-Arabha okhwela usuka e-Elathi le-Eziyoni-Gebheri, sahamba ngomgwaqo wenkangala yaseMowabi.
05020900cb	UThixo wasesithi kimi, ‘Lingahlukuluzi amaMowabi loba ukubavusela impi, ngoba angiyikulinika ngitsho lesiqintshana selizwe labo. Senginike ele-Ari isizukulwane sikaLothi ukuba kube yisabelo sabo.’”
05020a0066	(Ama-Emi ake ahlala khonapho, abantu abalamandla njalo abanengi kakhulu, futhi bebade njengama-Anakhi.
05020b005c	Labo njengama-Anakhi babebalwa njengamaRefayi, kodwa amaMowabi ayebabiza ngokuthi ngama-Emi.
05020c00dc	AmaHori ayekade ehlala eSeyiri, kodwa adudulwa yisizukulwane sika-Esawu. Babhubhisa amaHori ayelapho basebesakha endaweni yawo, njengalokho okwenziwa ngabako-Israyeli ezweni abaliphiwa nguThixo ukuba libe yisabelo sabo.)
05020d0064	“UThixo wasesithi, ‘Khathesi sukani lichaphe isiHotsha saseZeredi.’ Ngakho sachapha isihotsha.
05020e00da	Kwedlula iminyaka engamatshumi amathathu leyisificaminwembili sisuke eKhadeshi Bhaneya sisiyachapha isiHotsha saseZeredi. Ngalesosikhathi, amadoda ebutho alesosizukulwane ayesebhubhile, njengokufungelwa kwabo nguThixo.
05020f003d	UThixo wamelana labo waze wabatshabalalisa bonke ezihonqweni.
050210002c	Kwathi-ke sekufe abokucina emadodeni ebutho,
0502110012	uThixo wathi kimi,
0502120036	‘Lamuhla uzakwedlula emangweni waseMowabi ngase-Ari.
05021300bc	Ekufikeni kwakho kuma-Amoni, ungawahlukuluzi loba ukuwavusela impi, ngoba angiyikukunika loba yiliphi ilizwe lama-Amoni. Ngilinike lesisizukulwane sikaLothi ukuba kube yisabelo sabo.’”
0502140071	(Leli lalo laliphathwa njengelizwe lamaRefayi ayehlala khonapho; kodwa ama-Amoni ayebabiza ngokuthi ngamaZamzumu.
050215009e	Babengabantu abalamandla bebanengi kakhulu, njalo bebade njengama-Anakhi. UThixo wababhubhisa phambi kwama-Amoni, wona abadudulayo njalo ahlala endaweni yabo.
05021600a1	UThixo wayenze njalo esizukulwaneni sika-Esawu, esasiseSeyiri, ekubhubhiseni kwakhe amaHori phambi kwabo. Babadudula basebehlala endaweni yabo kuze kube lamuhla.
0502170087	Kanti-ke okunjengama-Avi ayehlala emizini ekhatshana njengeGaza, amaKhafithori ayevela eKhafithori ababhubhisa asehlala endaweni yabo.)
05021800be	“‘Suka khathesi uchaphe uDonga lwase-Arinoni. Uyabona, senginikele esandleni sakho uSihoni umʼAmori inkosi yaseHeshibhoni kanye lelizwe lakhe. Qalisa ukuthatha lelilizwe ulwe impi laye.
0502190099	Kusukela lamuhla ngizaqalisa ukuthelela izizwe zonke ngaphansi kwezulu ukukwesaba. Zizakuzwa indumela yakho zethuke zesabe zihlukuluzeke ngenxa yakho.’
05021a0083	Kusukela enkangala yaseKhedemothi ngathumela izithunywa kuSihoni inkosi yaseHeshibhoni ngisithi akubekhona ukuthula njalo ngisithi,
05021b007f	‘Sivumele sidabule elizweni lakho. Sizahamba ngomgwaqo omkhulu kuphela, asiyikuphambukela ngakwesokudla loba ngakwesokunxele.
05021c0059	Sithengisele ukudla lamanzi okunatha ngentengo yesiliva. Sivumele nje sedlule ngezinyawo,
05021d00ae	njengezizukulwane zika-Esawu ezihlala eSeyiri, kanye lamaMowabi ahlala e-Ari, asenzela khona, size sichaphe uJodani singene elizweni uThixo uNkulunkulu wethu asinika lona.’
05021e00d7	Kodwa uSihoni inkosi yaseHeshibhoni yala ukuthi sedlule. Ngoba uThixo uNkulunkulu wenu wayeyenze umoya wakhe waba lobuqholo lenhliziyo yakhe yaba lukhuni ukuze amnikele ezandleni zenu, njengoba esekwenzile khathesi.
05021f0085	UThixo wathi kimi, ‘Khangela, sengiqalisile ukunikela uSihoni lelizwe lakhe kuwe. Qalisa khathesi ukunqoba uthathe ilizwe lakhe.’
0502200049	Kwathi uSihoni ephuma lebutho lakhe ukusihlangabeza ekuhlaseleni eJahazi,
0502210063	uThixo uNkulunkulu wethu wamnikela kithi sambulala, yena kanye lamadodana akhe lebutho lakhe lonke.
050222006e	Ngalesosikhathi sathatha amadolobho akhe sawabhidliza, amadoda, abesifazane kanye labantwana. Kakho owasilayo.
0502230055	Kodwa izifuyo lakho konke esakuthumbayo emadolobheni esawanqobayo sazithathela khona.
05022400ca	Kusukela e-Aroweri emngceleni wodonga lwase-Arinoni, kanye lokusuka edolobheni elisedongeni, kusiya khonale eGiliyadi, akuladolobho elalingamelana lathi. UThixo uNkulunkulu wethu wawanikela wonke kithi.
05022500b2	Kodwa kusiya ngokulaya kukaThixo uNkulunkulu wethu, alizange lingene elizweni lama-Amoni, kumbe elizweni elisemingceleni yomfula uJabhoki loba lelo elilamadolobho asemaqaqeni.”
05030100ae	“Sasuka sasesiphenduka sakhwela njalo sisekele umgwaqo oya eBhashani, kanti u-Ogi inkosi yaseBhashani kanye lamabutho akhe wonke wayesihlangabeza ukuze alwe lathi e-Edreyi.
05030200ae	UThixo wathi kimi, ‘Ungamesabi ngoba sengimnikele kuwe lamabutho akhe wonke kanye lelizwe lakhe. Menze konke owakwenza kuSihoni inkosi yama-Amori, owayebusa eHeshibhoni.’
0503030095	Ngakho uThixo uNkulunkulu wethu wanikela u-Ogi inkosi yaseBhashani lamabutho akhe wonke ezandleni zethu. Sababulala bonke, kakho loyedwa owaphephayo.
05030400c9	Ngalesosikhathi sathumba wonke amadolobho akhe. Akusalanga dolobho lalinye esingalithumbanga phakathi kwawo wonke angamatshumi ayisithupha, umhlubulo wonke welizwe le-Agobhi, ilizwe lika-Ogi eBhashani.
05030500b8	Wonke amadolobho la ayevikelwa ngemiduli ephakemeyo langemigoqo yokuvala amasango lemijabo yokunxiba, kanti njalo yayiminengi eminye imizi eyayingahonqolozelwanga ngemiduli yokuvikela.
0503060097	Satshaya sabhuqa konke, kwaba njengalokhu esakwenza kuSihoni inkosi yaseHeshibhoni, sabhidliza wonke amadolobho, amadoda, abesifazane kanye labantwana.
0503070058	Kanti-ke izifuyo zonke kanye lesakuthumba emadolobheni abo sazithathela kwaba ngokwethu.
05030800ac	Ngakho ngalesosikhathi kulawo makhosi womabili ama-Amori sathumba ilizwe elisempumalanga yeJodani, kusukela ezindongeni zase-Arinoni kuze kuyefika ezintabeni zaseHemoni.”
050309005f	(IHemoni ibizwa ngokuthi yiSiriyoni ngamaSidoni, kanti-ke ama-Amori ayibiza ngokuthi yiSeniri.)
05030a009e	“Sathumba wonke amadolobho emagcekeni, kanye lawo wonke eGiliyadi, laseBhashani yonke kusiya eSalekha lase-Edreyi, engamadolobho ombuso ka-Ogi eBhashani.”
05030b00ee	(U-Ogi inkosi yaseBhashani nguye yedwa owayesesele emthonselaneni wamaRefayi. Umbheda wakhe wawungowensimbi njalo umude ukwedlula izingalo ezilitshumi lantathu kanti ububanzi bawo buzingalo eziyisithupha. Wona ulokhu useRabha yase-Amoni.)
05030c00dc	“Phakathi kwelizwe esalithumbayo ngalesosikhathi, nganika abakoRubheni labakoGadi ilizwe elisenyakatho yase-Aroweri endongeni zase-Arinoni, kuhlanganisa lengxenye yelizwe lamaqaqa aseGiliyadi, kanye lamadolobho akhona.
05030d00cc	EleGiliyadi lonke kanye lalo lonke eleBhashani, lombuso ka-Ogi, ngalinika abayingxenye yesizukulwane sikaManase.” (Umhlubulo wonke welizwe le-Agobhi ngaseBhashani lalisaziwa ngokuthi yilizwe lamaRefayi.
05030e00de	UJayiri, owosendo lukaManase, wathatha sonke isiqinti esisukela emangweni we-Agobhi kusiya emngceleni weGeshuri lamaMahakhathi; saba yisiqinti esabizwa ngaye, okokuthi lalamuhla iBhashani ibizwa ngokuthi yiHavothi-Jayiri.)
05030f0020	“IGiliyadi ngayinika uMakhiri.
05031000d1	Kodwa abakoRubheni labakoGadi ngabanika isiqinti selizwe elisuka eGiliyadi lisiya ezindongeni zase-Arinoni (phakathi laphakathi kwendonga kungumngcele) kusehla kusiya eMfuleni uJabhoki, ongumngcele wama-Amoni.
05031100a1	Umngcele wentshonalanga kuyiJodani ngase-Arabha, kusukela eKhinerethi kusiya oLwandle lwase-Arabha (uLwandle lweTswayi) ngaphansi ekwehleni okungapha ngePhisiga.
05031200d2	Ngalilaya ngalesosikhathi ngathi: ‘UThixo uNkulunkulu wakho ukuphile lelilizwe, lithathe libe ngelakho. Kodwa wonke amadoda asaqinile, ahlomele ukulwa, kumele achaphe kuqala phambi kwabafowenu abako-Israyeli.
0503130076	Kanti-ke abafazi benu, abantwana lezifuyo zenu (ngiyazi lifuyile kakhulu) bangazihlalela emadolobheni engilinike wona,
0503140100	kuze kuthi uThixo aphumuze abafowenu njengalokhu akwenzileyo kini, kanti labo njalo bazabe sebelithethe ilizwe abaliphiwe nguThixo uNkulunkulu wenu, ngaphetsheya kweJodani. Ngemva kwalokho, lonke ngamunye kuzamele libuyele eziqintini engilinike zona.’”
05031500bb	“Ngalesosikhathi ngalaya uJoshuwa ngathi: ‘Usuzibonele ngamehlo akho konke uThixo uNkulunkulu wakho akwenze emakhosini amabili la. UThixo uzakwenza khonokho kuzozonke izizwe oya kuzo.
050316004f	Ungazesabi lezozizwe, uThixo uNkulunkulu wakho uzakulwela yena uqobo lwakhe.’
0503170027	Ngalesosikhathi ngacela kuThixo ngathi:
05031800da	‘Oh Thixo wobukhosi, usuqalisile ukutshengisa inceku yakho ubukhulu bakho lesandla sakho esilamandla amakhulu. Kambe nguphi unkulunkulu ezulwini loba emhlabeni ongenza lokhu okwenzileyo lemisebenzi emikhulu oyenzayo?
050319006e	Ngivumela ngiye khona ngiyebona ilizwe elingaphetsheya kweJodani, ilizwe elihle lamaqaqa kanye leLebhanoni.’
05031a008e	Kodwa ngenxa yenu uThixo wangithukuthelela akazange athande ukungizwa. UThixo wathi kimi, ‘Kwanele, ungabe usakhuluma kimi futhi ngalindaba.
05031b00a2	Khwela phezu kwePhisiga ukhangele entshonalanga, enyakatho, eningizimu lasempumalanga. Ukhangele ulibone ngawakho amehlo ilizwe njengoba ungasoze uchaphe uJodani.
05031c00a8	Kodwa beka uJoshuwa esikhundleni, umkhuthaze njalo umqinise, ngoba uzakhokhela lababantu abachaphise njalo uzakwenza balithathe lelolizwe ozalibona libe yilifa labo.’
05031d0037	Ngakho sahlala esihotsheni phansi kweBhethi-Pheyori.”
05040100be	“Zwana-ke khathesi, Oh Israyeli, izimiso lemithetho engizalifundisa yona. Ilandeleni ukuze liphile njalo libe lakho ukuyalithatha lelolizwe uThixo uNkulunkulu wabokhokho benu alinika lona.
0504020092	Lingangezeleli kulokho engililaya khona njalo lingaphunguli loba yikuphi kwakhona, kodwa gcinani imilayo kaThixo uNkulunkulu wenu engilinika yona.
050403008b	Lazibonela ngawenu amehlo okwenziwa nguThixo eBhali-Pheyori. UThixo uNkulunkulu wenu wabatshabalalisa bonke ababekhonza uBhali wasePheyori,
0504040059	kodwa lina lonke elabambelela kuThixo uNkulunkulu wenu lilokhu lisaphila lalamuhla lokhu.
050405007f	Liyabona sengalifundisa izimiso lemithetho uThixo wami angilaya ngazo, ukuze liyigcine elizweni elingena kulo ukuba lilithathe.
05040600e1	Lizigcine ngonanzelelo ngoba lokhu kuzaveza obala ukuhlakanipha lokuzwisisa kwenu ezizweni ezizakuzwa ngalezizimiso njalo zitsho zithi, ‘Ngeqiniso lesisizwe esilodumo yisizwe sabantu abahlakaniphileyo njalo abazwisisayo.’
0504070083	Yisiphi esinye isizwe esilodumo esilabonkulunkulu baso ababaseduze laso njengoThixo uNkulunkulu wethu oba lathi nxa sikhuleka kuye?
0504080072	Yisiphi esinye isizwe esilezimiso eziqondileyo lemithetho enjengale imithetho engiyethula phambi kwenu lamuhla na?
05040900f7	Kodwa linanzelele, liqaphelisise ukuze lingakhohlwa izinto elizibonileyo loba zilibaleke ezinhliziyweni zenu ekuphileni kwenu konke. Fundisani abantwabenu ngalezizinto njalo labo babofundisa abantwababo labantwana babantwana abalandela emva kwabo.
05040a00e4	Khumbulani usuku elema ngalo phambi kukaThixo uNkulunkulu wenu eHorebhi, lapho athi khona kimi, ‘Buthanisa abantu ukuze bezwe amazwi ami ukuze bakwazi ukungidumisa nxa belokhu besahlala elizweni njalo bafundise abantwababo.’
05040b006d	Lasondela lema ngaphansi kwentaba ilavuka amalangabi eqonga phezulu, kulamayezi amnyama lomnyama owesabekayo.
05040c007a	Ngakho uThixo wakhuluma lani ephakathi komlilo. Lezwa umdumo welizwi kodwa alizange libone lutho; kwaba yilizwi lodwa nje.
05040d0094	Wakhupha ilizwi lokubuyisana lesivumelwano sakhe, imiThetho eliTshumi, waselilaya ukuba liyilandele njalo wayiloba ezibhebhedwini zamatshe ezimbili.
05040e00ad	Kungalesosikhathi lapho uThixo angiqondisa ukuba ngilifundise izimiso lemilayo okuzamele liyilandele ekuchapheni kwenu uJodani lisiya elizweni elizalithumba libe ngelenu.”
05040f0099	“Akulalutho loba yisimo bani elasibonayo mhla uThixo ekhuluma lani eHorebhi ephakathi kwelangabi lomlilo. Kunjalo-nje kumele lizinanzelele okuqinileyo,
0504100077	ukuze lingaxhwali libe selizenzela isithombe, loba umfanekiso olesimo bani, loba ngesilesimo sesilisa loba esesifazane,
0504110040	loba yiphi inyamazana emhlabeni loba inyoni endizayo emkhathini,
0504120058	loba yisiphi isinanakazana esihuquzelayo emhlabathini loba yinhlanzi ngaphansi kwamanzi.
05041300f2	Njalo nxa likhangela phezulu esibhakabhakeni libona ilanga, inyanga kanye lezinkanyezi, zonke ezihlobise zacecisa isibhakabhaka, lingalingeki lizikhothamele beselikhonza izinto uThixo uNkulunkulu wenu azibekela izizwe zonke ngaphansi kwezulu.
0504140099	Kodwa-ke lina, uThixo walithatha walenyula eziko lokuncibilikisa insimbi, walikhipha eGibhithe, ukuze libe ngabantu belifa lakhe, njengoba linje lamuhla.
05041500a3	UThixo wangithukuthelela ngenxa yenu, wafunga waphelela wathi angiyikuchapha uJodani ngingene elizweni uThixo uNkulunkulu wenu alinika lona ukuba libe yilifa lenu.
0504160077	Mina ngizafela kulelilizwe; angiyikuchapha uJodani, kodwa lina seliseduze ukuba lichaphe liyelithumba lelolizwe elihle.
05041700a5	Nanzelelani ukuthi lingalibali isivumelwano sikaNkulunkulu wenu asenza lani; lingazenzeli isithombe loba singesesimo bani salokho uThixo uNkulunkulu wenu akwalileyo.
050418004c	Ngoba uThixo uNkulunkulu wenu ungumlilo oqothulayo, uNkulunkulu olobukhwele.
05041900e0	Ngemva kokuba selike laba labantwana, lesizukulwane njalo selihlale ezweni okwesikhathi eside, lingasuka libe selixhwala beselizenzela loba yisiphi isithombe, lisenza okubi emehlweni kaThixo uNkulunkulu wenu limthukuthelisa,
05041a00d3	ngibiza izulu lomhlaba ukuthi libe ngufakazi wami ukuze libhujiswe masinyazana lingangeni elizweni elizachapha uJodani ukuze lilithumbe. Aliyikuhlala kulo isikhathi eside kodwa iqiniso yikuthi lizatshabalaliswa.
05041b0068	UThixo uzalihlakaza ezizweni, njalo abalutshwana benu yibo abazasinda ezizweni uThixo azalifuqela khona.
05041c0082	Khonale lizakhonza onkulunkulu ababunjwe ngabantu ngezigodo langamatshe, abangeke babone loba bezwe loba badle loba bezwe ukunuka.
05041d008d	Kodwa nxa likhonale lingadinga uThixo uNkulunkulu wenu, lizamfumana nxa limdinga ngezinhliziyo zenu ezipheleleyo langemiphefumulo yenu yonke.
05041e0078	Nxa selisosizini zonke lezizinto sezilehlela, lapho-ke ngezinsuku ezizayo lizabuyela kuThixo uNkulunkulu wenu limlalele.
05041f00ad	Phela uThixo uNkulunkulu wenu nguNkulunkulu olomusa; kayikulidela loba alibhubhise loba alibale isivumelwano sakhe asenza labokhokho benu, leso asiqinisa kubo ngesifungo.”
0504200110	“Buzani khathesi ngezinsuku ezedlulayo, kudala lingakabi khona, kusukela ngosuku uNkulunkulu adala ngalo umuntu emhlabeni; buzani kusukela ngapha kwamazulu kusiya ngale kwamazulu. Kambe kukhona yini okukhulu kangaka okwedlula lokhu osekuke kwenzakala loba kwezwakala na?
050421007d	Sikhona na esinye isizwe esake sezwa uNkulunkulu ekhuluma ephakathi kwelangabi lomlilo, njengalokhu eselikuzwile, saphila na?
0504220138	Kukhona na unkulunkulu oseke wazama ukuzithathela esinye isizwe phakathi kwesinye, ngokuhlola, ngemilingo yezibonakaliso, lezimangaliso, lezimpi, ngesandla esilamandla langokwelula ingalo, loba izenzo ezinkulu ezesabekayo, njengakho konke uThixo uNkulunkulu wenu alenzela khona eGibhithe lizibonela ngamehlo enu?
0504230069	Lakutshengiswa konke lokhu ukuze lazi ukuthi uThixo unguNkulunkulu; ngaphandle kwakhe kakho omunye futhi.
05042400a9	Esemazulwini wakwenza ukuthi lilizwe ilizwi lakhe ukuze libe lobuntu. Emhlabeni walitshengisa amalangabi omlilo akhe omkhulu, njalo lawezwa amazwi akhe ephuma emlilweni.
05042500a1	Ngenxa yokuthi wabathanda okhokho benu wakhetha izizukulwane zabo ezalandela ngemva kwabo, walikhipha eGibhithe ngoBukhona bakhe kanye langamandla akhe amakhulu,
050426009a	ukuxotsha zonke izizwe phambi kwenu, izizwe ezilamandla kulezenu lokulingenisa elizweni lazo ukuze aliphe lona libe yilifa lenu, njengoba kunjalo lamuhla.
0504270087	Yamukelani njalo likugcine ezinhliziyweni zenu lamuhla ukuthi uThixo unguNkulunkulu ezulwini phezulu lasemhlabeni phansi. Kakho omunye.
05042800dd	Gcinani izimiso zakhe lemilayo yakhe, engilinika yona lamuhla, ukuze kulihambele kahle lina kanye labantwabenu lokuthi liphile isikhathi eside elizweni eliliphiwa nguThixo uNkulunkulu wenu ukuze libe ngelenu kokuphela.”
0504290042	Ngakho uMosi wasekhetha amadolobho amathathu empumalanga yeJodani,
05042a00bb	ukuze kuthi wonke oyabe ebulele omunye abalekele khona nxa eyabe ebulele umakhelwane kungekho mona kodwa kube yingozi. Bangabalekela kwelinye lala amadolobho ukuze baphephise impilo zabo.
05042b00a9	Amadolobho lawo kwakuyila: iBhezeri emagcekeni asenkangala, lingelabakoRubheni; iRamothi eGiliyadi, lingelabakoGadi; kanye lelaseGolani eBhashani lona lingelabakoManase.
05042c0031	Lo ngumthetho owethulwa nguMosi kwabako-Israyeli.
05042d005d	Lezi kwakuyizilinganiso, izimiso lemithetho eyethulwa nguMosi kubo ekuphumeni kwabo eGibhithe
05042e00c0	njalo babesesigodini esiseduzane leBhethi-Pheyori empumalanga yeJodani elizweni likaSihoni inkosi yama-Amori, yena owabusa eHeshibhoni njalo wehlulwa nguMosi labako-Israyeli bephuma eGibhithe.
05042f0073	Bathatha ilizwe lakhe kanye lelizwe lika-Ogi inkosi yaseBhashani, amakhosi ama-Amori womabili empumalanga yeJodani.
0504300073	Ilizwe leli lalisuka e-Aroweri emaphethelweni ezindonga zase-Arinoni kusiya entabeni yaseSiyoni (khona kuyiHemoni),
050431007a	kuhlanganisa layo yonke i-Arabha empumalanga yeJodani kuze kuyefika oLwandle lwe-Arabha, ngaphansi komthezuko wasePhisiga.
05050100bf	UMosi wabizela ndawonye wonke u-Israyeli wathi kuye: “Zwana, wena Israyeli, izimiso lemithetho engizayethula ngesibopho phambi kwakho lamuhla. Ifunde njalo ube leqiniso ukuthi uyayilandela.
050502003b	UThixo uNkulunkulu wethu wenza isivumelwano lathi eHorebhi.
0505030076	UThixo kenzanga isivumelwano lesi labazali bethu, kodwa wasenza lathi, thina sonke esilokhe siphila kuze kube lamuhla.
0505040052	UThixo wakhuluma lawe likhangelene ubuso ngobuso ephakathi komlilo phezu kwentaba.
0505050099	(Ngalesosikhathi ngema phakathi kukaThixo lawe ukuze ngikwethulele ilizwi likaThixo, ngoba wawusesaba umlilo njalo awuzange ukhwele entabeni.) Wasesithi:
050506004b	‘NginguThixo uNkulunkulu wakho owakukhupha eGibhithe, elizweni lobugqili.
050507002c	Ungabi labanye onkulunkulu ngaphandle kwami.
050508006c	Ungazenzeli isithombe ngesimo saloba yini esezulwini phezulu loba phansi emhlabeni kumbe ngaphansi kwamanzi.
05050900d5	Ungazikhothameli loba ukuzikhonza; ngoba Mina, Thixo uNkulunkulu wakho, nginguNkulunkulu olobukhwele, ojezisa abantwana ngenxa yezono zabazali babo kuze kube yisizukulwane sesithathu lesesine salabo abangizondayo,
05050a006d	kodwa ngitshengisela uthando kuzizukulwane eziyinkulungwane zalabo abangithandayo njalo begcina imilayo yami.
05050b0074	Ungalisebenzisi ngeze ibizo likaThixo uNkulunkulu wakho, ngoba uThixo kayikumyekela olecala lokudlala ngebizo lakhe.
05050c005f	Gcina usuku lweSabatha ngokulwenza lubengcwele njengokulaywa kwakho nguThixo uNkulunkulu wakho.
05050d0040	Okwensuku eziyisithupha uzasebenza wenze yonke imisebenzi yakho,
05050e0155	kodwa usuku lwesikhombisa luyiSabatha kuThixo uNkulunkulu wakho. Ngalo awuyikwenza loba yiwuphi umsebenzi, wena, indodana yakho loba indodakazi yakho, inceku loba incekukazi yakho, inkabi yakho, ubabhemi wakho loba yisiphi isifuyo sakho, loba isihambi esikwethekeleleyo, ukuze izisebenzi zakho zesilisa kanye lezesifazane ziphumule njengawe.
05050f00d0	Khumbula ukuthi wawuyisigqili eGibhithe lokuthi uThixo uNkulunkulu wakho wakukhipha khona ngesandla esilamandla lengalo eyelulekileyo. Ngalokho uThixo uNkulunkulu wakho ukulaye ukuthi ugcine usuku lweSabatha.
05051000a0	Hlonipha uyihlo lonyoko, njengokulaywa nguThixo uNkulunkulu wakho, ukuze impilo yakho ibende lokuthi kukulungele elizweni uThixo uNkulunkulu wakho akunika lona.
050511000b	Ungabulali.
0505120009	Ungafebi.
050513000f	Ungantshontshi.
0505140026	Ungafakazi amanga ngomakhelwane wakho.
05051500c3	Ungahawukeli umfazi kamakhelwane wakho. Ungahawukeli indlu kamakhelwane wakho loba isiqinti sakhe, inceku loba incekukazi yakhe, inkabi yakhe loba ubabhemi wakhe loba yini ekamakhelwane wakho.’
0505160104	Le yiyo imilayo eyatshiwo nguThixo ngelizwi eliphakemeyo liphuma elangabini lomlilo leyezi kanye lomnyama owesabekayo; lina libuthene lonke entabeni, njalo kazange engezelele lutho. Ngakho wasekubhala konke lokhu ezibhebhedwini ezimbili zamatshe anginika zona.
0505170087	Lathi lisizwa ilizwi livela emnyameni, intaba ivutha amalangabi omlilo, wonke amadoda angabakhokheli labadala bezizwana zenu beza kimi.
05051800d1	Lathi, ‘UThixo wethu usitshengisile inkazimulo yakhe kanye lobukhosi bakhe, njalo silizwile ilizwi lakhe livela elangabini lomlilo. Lamuhla sesibonile ukuthi umuntu angaphila noma eke wakhuluma loNkulunkulu.
0505190093	Kodwa khathesi, kanti sizafelani pho? Umlilo omkhulu kangaka uzasiqeda du, njalo sizakufa nxa singaphinda sizwe ilizwi likaThixo uNkulunkulu wethu.
05051a007a	Ngoba ngubani umuntu wenyama onjengathi owake wezwa ilizwi likaNkulunkulu ophilayo ekhuluma ephakathi komlilo, waphila na?
05051b00a6	Sondela eduzane ulalele lokho okutshiwo nguThixo uNkulunkulu wethu. Ubususitshela lokho uThixo uNkulunkulu wethu azakutshela khona. Sizakulalela njalo sikulandele.’
05051c007a	UThixo walizwa ekukhulumeni kwenu lami wasesithi kimi, ‘Ngizwile okutshiwo ngabantu kuwe. Konke abakutshiloyo kulungile.
05051d0092	Sengathi ngabe inhliziyo zabo zingagxila ekungesabeni njalo bayigcine imilayo yami, ukuze kubalungele bona kanye labantwababo kuze kube laphakade!
05051e0032	Hamba uyebatshela ukuthi babuyele emathenteni abo.
05051f00b0	Kodwa wena hlala khonapha lami ukuze ngikuphe yonke imilayo, izimiso lemithetho ozabafundisa ukuthi bayigcine bayilandele elizweni lelo engizabanika lona ukuba libe ngelabo.’
0505200079	Ngakho nanzelelani lenze lokho uThixo uNkulunkulu wenu alilaya ngakho; lingaphambukeli yiloba kwesokudla loba kwesenxele.
0505210093	Hambani ngaleyondlela uThixo uNkulunkulu wenu alilaye ngayo, ukuze liphile liphumelele njalo lengezelele insuku zenu elizweni elizakuba ngelenu.”
050601009d	“Le yiyo imilayo, izimiso lemithetho uThixo uNkulunkulu wenu angithuma ukuthi ngilifundise ukuyigcina elizweni elizachapha uJodani lilithathe libe ngelenu,
05060200ad	ukuze lina, labantwabenu kanye labantwababo abezayo bamesabe uThixo uNkulunkulu wenu ekuphileni kwenu ngokugcina izimiso lemilayo engizalinika yona, ukuze libe lempilo ende.
05060300b8	Zwana, wena Israyeli, njalo unanzelele ukuthi uyalalela ukuze kukulungele njalo wande kakhulu elizweni eligeleza uchago loluju, njengokuthembisa kukaThixo, uNkulunkulu wabokhokho benu.
050604003f	Zwana, wena Israyeli: UThixo uNkulunkulu wethu, nguThixo munye.
0506050071	Thanda uThixo uNkulunkulu wakho ngenhliziyo yakho yonke langomphefumulo wakho wonke kanye langamandla akho wonke.
0506060042	Imilayo le engikupha yona lamuhla kumele ibe sezinhliziyweni zenu.
050607007d	Igcizeleleni ebantwaneni benu. Likhulume ngayo nxa lihlezi emakhaya enu lalapho lihamba endleleni, lapho lilala lanxa livuka.
0506080045	Ibopheleni ezandleni zenu ibe luphawu, liyibophele lasemabunzini enu.
050609003c	Ibhaleni emigubazini yezindlu zenu kanye lasemasangweni enu.
