0100000007	Geneză
09040100c4	Și cuvântul lui Samuel a ajuns la tot Israelul. Și Israel a ieșit la bătălie împotriva filistenilor și și-au așezat tabăra lângă Eben-Ezer, iar filistenii au așezat tabăra în Afec.
09040200ca	Și filistenii s-au desfășurat împotriva lui Israel; și după ce s-a întins bătălia, Israel a fost doborât înaintea filistenilor; și ei au ucis din armata din câmp cam patru mii de bărbați.
0904030108	Și când poporul a venit în tabără, bătrânii lui Israel au spus: De ce ne-a lovit DOMNUL astăzi înaintea filistenilor? Să ne luăm din Șilo chivotul legământului DOMNULUI, ca, atunci când vine printre noi, să ne salveze din mâna dușmanilor noștri.
09040400e7	Astfel, poporul a trimis la Șilo ca să aducă de acolo chivotul legământului DOMNULUI oștirilor care locuiește între heruvimi. Și cei doi fii ai lui Eli, Hofni și Fineas, erau acolo cu chivotul legământului lui Dumnezeu.
0904050088	Și când a venit chivotul legământului DOMNULUI în tabără, tot Israelul a strigat cu strigăt mare, încât pământul a răsunat.
09040600bb	Și când filistenii au auzit zgomotul strigătului au spus: Ce înseamnă zgomotul acestui strigăt mare în tabăra evreilor? Și au înțeles că venise chivotul DOMNULUI în tabără.
09040700a3	Și filistenii s-au înspăimântat, pentru că ziceau: Dumnezeu a venit în tabără. Și au spus: Vai nouă! Pentru că nu a fost un lucru ca acesta până acum.
0904080098	Vai nouă! Cine ne va elibera din mâna acestor Dumnezei puternici? Aceștia sunt Dumnezeii care au lovit pe egipteni cu tot felul de plăgi în pustie.
090409008f	Fiți tari și îmbărbătați-vă, filistenilor, ca să nu fiți servitori evreilor, cum v-au fost ei vouă, îmbărbătați-vă și luptați.
09040a00ba	Și filistenii s-au luptat și Israel a fost bătut; și au fugit fiecare om la cortul său; și a fost un foarte mare măcel, fiindcă au căzut din Israel treizeci de mii de pedeștri.
09040b0064	Și chivotul lui Dumnezeu a fost luat; și cei doi fii ai lui Eli, Hofni și Fineas, au fost uciși.
09040c008b	Și un bărbat din Beniamin a alergat din armată și a venit la Șilo în aceeași zi cu hainele sfâșiate și cu pământ pe capul său.
09040d00d4	Și când a venit, iată, Eli ședea pe un scaun pe lângă drum, veghind; fiindcă îi tremura inima pentru chivotul lui Dumnezeu. Și când omul a intrat în cetate și a spus aceasta, toată cetatea a strigat.
09040e0097	Și când Eli a auzit zgomotul strigătului, a spus: Ce înseamnă zgomotul acestui tumult? Și bărbatul a venit în grabă și i-a istorisit lui Eli.
09040f006c	Și Eli era în vârstă de nouăzeci și opt de ani; și ochii săi erau slabi, încât nu putea să vadă.
0904100096	Și bărbatul i-a spus lui Eli: Eu sunt unul care a venit din armată și am fugit astăzi din armată. Și Eli a spus: Ce s-a făcut acolo, fiul meu?
09041100d6	Și mesagerul a răspuns și a zis: Israel a fugit dinaintea filistenilor și a fost de asemenea un mare măcel în popor și cei doi fii ai tăi, Hofni și Fineas, sunt morți, și chivotul lui Dumnezeu este luat.
09041200f9	Și s-a întâmplat, când i-a amintit despre chivotul lui Dumnezeu, că Eli a căzut pe spate de pe scaunul său, lângă poartă; și și-a frânt gâtul și a murit, pentru că era om bătrân și greu. Și el judecase pe Israel patruzeci de ani.
090413010b	Și nora lui, soția lui Fineas, era însărcinată și aproape să nască; și când a auzit veștile că a fost luat chivotul lui Dumnezeu și că socrul ei și soțul ei au murit, s-a încovoiat și a intrat în durerile nașterii, pentru că au apucat-o durerile.
090414009b	Și când era pe moarte, femeile care stăteau lângă ea i-au spus: Nu te teme, pentru că ai născut un fiu. Dar ea nu a răspuns, nici nu a luat aminte.
09041500a7	Și ea a numit pe copil Icabod, spunând: Gloria s-a depărtat de Israel; din cauza chivotului lui Dumnezeu care a fost luat și din cauza socrului ei și soțului ei.
0904160055	Și ea a spus: Gloria s-a depărtat de Israel, căci chivotul lui Dumnezeu este luat.
0905010054	Și filistenii au luat chivotul lui Dumnezeu și l-au adus de la Eben-Ezer la Asdod.
090502006b	După ce filistenii au luat chivotul lui Dumnezeu, l-au adus în casa lui Dagon și l-au pus lângă Dagon.
09050300bd	Și când cei din Asdod s-au sculat devreme a doua zi, iată, Dagon era căzut cu fața la pământ înaintea chivotului DOMNULUI. Și l-au luat pe Dagon și l-au pus din nou la locul său.
09050400ee	Și când s-au sculat devreme a doua zi, iată, Dagon era căzut cu fața la pământ înaintea chivotului DOMNULUI; și capul lui Dagon și amândouă palmele mâinilor sale erau tăiate pe prag; numai trunchiul lui Dagon îi rămăsese.
0905050088	De aceea, nici preoții lui Dagon sau oricine intră în casa lui Dagon, nu calcă pe pragul lui Dagon în Asdod până în această zi.
090506007c	Iar mâna DOMNULUI a fost grea asupra celor din Asdod și i-a nimicit și i-a lovit cu tumori, Asdodul și ținuturile sale.
09050700ca	Și când oamenii din Asdod au văzut că este așa, au spus: Să nu rămână chivotul Dumnezeului lui Israel la noi, pentru că mâna sa este grea asupra noastră și asupra dumnezeului nostru, Dagon.
0905080109	De aceea au trimis și au adunat pe toți domnii filistenilor la ei și au spus: Ce să facem cu chivotul Dumnezeului lui Israel? Iar ei au răspuns: Să fie dus chivotul Dumnezeului lui Israel până în Gat. Și au dus chivotul Dumnezeului lui Israel într-acolo.
09050900da	Și așa a fost, după ce l-au dus acolo, că mâna DOMNULUI a fost împotriva cetății cu o foarte mare nimicire; și a lovit pe oamenii cetății, deopotrivă mici și mari și aveau tumori în părțile lor intime.
09050a00f7	De aceea au trimis chivotul lui Dumnezeu la Ecron. Și s-a întâmplat, cum a venit chivotul lui Dumnezeu la Ecron, că ecroniții au strigat, spunând: Au adus la noi chivotul Dumnezeului lui Israel, ca să ne ucidă pe noi și pe poporul nostru.
09050b0133	Astfel că au trimis și au adunat pe toți domnii filistenilor și au spus: Trimiteți chivotul Dumnezeului lui Israel și să meargă din nou la locul său, ca să nu ne ucidă, pe noi și pe poporul nostru, pentru că era o nimicire de moarte în toată cetatea; mâna lui Dumnezeu era foarte grea acolo.
09050c0067	Și oamenii care nu mureau erau loviți cu tumori; și strigătul cetății se înălța până la cer.
0906010043	Și chivotul DOMNULUI a fost șapte luni în ținutul filistenilor.
0906020094	Și filistenii au chemat pe preoți și pe ghicitori, spunând: Ce să facem cu chivotul DOMNULUI? Spuneți-ne cu ce să îl trimitem la locul său.
09060300ef	Și ei au spus: Dacă trimiteți chivotul Dumnezeului lui Israel, să nu îl trimiteți gol, ci întoarceți-i neapărat o ofrandă pentru fărădelege; atunci veți fi vindecați și veți ști de ce nu se depărtează mâna sa de la voi.
0906040119	Atunci ei au spus: Care să fie ofranda pentru fărădelege pe care să i-o întoarcem? Iar preoții au răspuns: Cinci tumori de aur și cinci șoareci de aur, conform cu numărul domnilor filistenilor, pentru că o singură plagă a fost peste voi toți și peste domnii voștri.
0906050105	De aceea să faceți chipurile tumorilor voastre și chipurile șoarecilor voștri, care strică pământul, și să dați glorie Dumnezeului lui Israel; poate că își va ușura mâna de peste voi și de peste dumnezeii voștri și de peste pământul vostru.
09060600b7	Pentru ce vă împietriți inimile, cum și-au împietrit egiptenii și Faraon inimile lor? După ce a lucrat minunat între ei, nu au lăsat poporul să plece? Și ei s-au depărtat.
09060700a6	Și de aceea, faceți un car nou și luați două vaci de lapte, peste care nu a fost pus jug, și înjugați vacile la car și aduceți acasă vițeii lor de la ele;
09060800d1	Și luați chivotul DOMNULUI și puneți-l în car; și puneți bijuteriile de aur, pe care i le întoarceți ca ofrandă pentru fărădelege, într-o ladă, alături de acesta, și trimiteți-l, ca să plece.
09060900ed	Și vedeți, dacă se va urca pe calea ținutului său la Bet-Șemeș, atunci el ne-a făcut acest mare rău; dacă nu, atunci vom ști că aceasta, care ne-a lovit, nu este mâna lui, ci a fost o întâmplare ceea ce ni s-a întâmplat.
09060a007a	Și oamenii au făcut astfel; și au luat două vaci de lapte și le-au înjugat la car și au închis vițeii lor acasă.
09060b005e	Și au pus în car chivotul DOMNULUI și lada cu șoarecii de aur și chipurile tumorilor lor.
09060c00f8	Și vacile au luat calea dreaptă spre calea Bet-Șemeșului, și au mers de-a lungul drumului mare, mugind în mers, și nu s-au abătut nici la dreapta nici la stânga; și domnii filistenilor au mers după ele până la granița Bet-Șemeșului.
09060d0088	Și cei din Bet-Șemeș secerau grâul lor în vale; și și-au ridicat ochii și au văzut chivotul și s-au bucurat când l-au văzut.
09060e00b4	Și carul a venit în câmpul lui Iosua, un bet-șemit, și a rămas acolo, unde era o piatră mare; și au despicat lemnul carului și au oferit vacile ca ofrandă arsă DOMNULUI.
09060f00f5	Și leviții au coborât chivotul DOMNULUI și lada care era cu acesta, în care erau bijuteriile de aur, și le-au pus pe piatra cea mare; și oamenii din Bet-Șemeș au oferit ofrande arse în aceeași zi și au sacrificat sacrificii DOMNULUI.
0906100063	Și când cei cinci domni ai filistenilor au văzut aceasta, s-au întors la Ecron în aceeași zi.
09061100c4	Și acestea sunt tumorile de aur pe care le-au întors filistenii DOMNULUI ca ofrandă pentru fărădelege: una pentru Asdod, una pentru Gaza, una pentru Ascalon, una pentru Gat, una pentru Ecron;
090612014f	Și șoarecii de aur, conform cu numărul tuturor cetăților filistenilor, care aparțineau celor cinci domni, deopotrivă cetățile întărite și satele țărănești, chiar până la piatra cea mare a lui Abel, pe care au pus jos chivotul DOMNULUI; piatră care rămâne până în această zi în câmpul lui Iosua, bet-șemitul.
09061300f8	Și DOMNUL a lovit pe oamenii din Bet-Șemeș, pentru că se uitaseră în chivotul DOMNULUI; chiar el a lovit din popor cincizeci de mii șaptezeci de bărbați; și poporul a plâns, pentru că DOMNUL lovise pe mulți din popor cu un mare măcel.
090614008c	Și oamenii din Bet-Șemeș au spus: Cine este în stare să stea înaintea acestui sfânt DOMN Dumnezeu? Și la cine să se urce de la noi?
0906150091	Și au trimis mesageri la locuitorii din Chiriat-Iearim, spunând: Filistenii au adus înapoi chivotul DOMNULUI; coborâți și urcați-l la voi.
09070100ba	Și oamenii din Chiriat-Iearim au venit și au urcat chivotul DOMNULUI și l-au adus în casa lui Abinadab pe deal și au sfințit pe Eleazar, fiul lui, să păzească chivotul DOMNULUI.
09070200b0	Și s-a întâmplat, că de când chivotul a rămas în Chiriat-Iearim, a trecut mult timp; fiindcă au fost douăzeci de ani; și toată casa lui Israel a plâns după DOMNUL.
0907030134	Și Samuel a vorbit către toată casa lui Israel, spunând: Dacă vă întoarceți la DOMNUL din toată inima voastră, atunci scoateți dumnezeii străini și pe Astarteea din mijlocul vostru și îndreptați-vă inimile către DOMNUL și serviți-i numai lui; și el vă va elibera din mâna filistenilor.
0907040057	Atunci copiii lui Israel au scos pe Baal și pe Astarteea și au servit numai DOMNULUI.
090705005b	Și Samuel a spus: Adunați tot Israelul la Mițpa și eu mă voi ruga DOMNULUI pentru voi.
09070600d7	Și s-au adunat la Mițpa și au scos apă și au vărsat-o înaintea DOMNULUI și au postit în ziua aceea și au spus acolo: Am păcătuit împotriva DOMNULUI. Și Samuel a judecat pe copiii lui Israel în Mițpa.
09070700c7	Și când filistenii au auzit că s-au adunat copiii lui Israel la Mițpa, domnii filistenilor s-au urcat împotriva lui Israel. Și când copiii lui Israel au auzit aceasta, s-au temut de filisteni.
0907080096	Și copiii lui Israel i-au spus lui Samuel: Nu înceta să strigi pentru noi către DOMNUL Dumnezeul nostru, ca să ne salveze din mâna filistenilor.
09070900a4	Și Samuel a luat un miel de lapte și l-a oferit ca ofrandă arsă în întregime DOMNULUI; și Samuel a strigat către DOMNUL pentru Israel; și DOMNUL l-a auzit.
09070a00ea	Și pe când Samuel aducea ofranda arsă, filistenii s-au apropiat să lupte împotriva lui Israel. Dar DOMNUL a tunat cu un tunet puternic în ziua aceea asupra filistenilor și i-a învins; și au fost bătuți înaintea lui Israel.
09070b0078	Și bărbații lui Israel au ieșit din Mițpa și au urmărit pe filisteni și i-au lovit până au ajuns sub Bet-Cara.
09070c008a	Atunci Samuel a luat o piatră și a pus-o între Mițpa și Șen și i-a pus numele Eben-Ezer și a spus: Până aici DOMNUL ne-a ajutat.
09070d009d	Astfel filistenii au fost supuși și nu au mai venit în ținutul lui Israel; și mâna DOMNULUI a fost împotriva filistenilor în toate zilele lui Samuel.
09070e00e6	Și cetățile pe care le luaseră filistenii de la Israel au fost restituite lui Israel, de la Ecron până la Gat; și ținuturile acestora Israel le-a eliberat din mâna filistenilor. Și a fost pace între Israel și amoriți.
09070f003d	Și Samuel a judecat pe Israel în toate zilele vieții sale.
0907100084	Și mergea în fiecare an și făcea înconjurul între Betel și Ghilgal și Mițpa și judeca pe Israel în toate locurile acelea.
0907110079	Și se întorcea la Rama, pentru că acolo era casa lui; și acolo judeca pe Israel; și a zidit acolo un altar DOMNULUI.
0908010063	Și s-a întâmplat, când Samuel era bătrân, că a făcut pe fiii săi judecători peste Israel.
090802007c	Și numele celui întâi născut al său era Ioel; și numele celui de-al doilea, Abiia; ei erau judecători în Beer-Șeba.
090803006c	Și fiii săi nu umblau în căile lui, ci se abăteau după câștig și luau mite și perverteau judecata.
0908040050	Atunci, toți bătrânii lui Israel s-au adunat și au venit la Samuel, la Rama.
090805009b	Și i-au spus: Iată, tu ești bătrân și fiii tăi nu umblă în căile tale; acum, pune peste noi un împărat ca să ne judece ca pe toate națiunile.
090806007d	Dar lucrul acesta nu i-a plăcut lui Samuel, când au spus: Dă-ne un împărat să ne judece. Și Samuel s-a rugat DOMNULUI.
09080700b6	Și DOMNUL i-a spus lui Samuel: Dă ascultare vocii poporului în tot ce îți spun ei, pentru că nu pe tine te-au lepădat ei, ci pe mine m-au lepădat, ca să nu domnesc peste ei.
09080800c5	Conform tuturor lucrărilor pe care le-au făcut din ziua în care i-am scos din Egipt până în această zi, prin aceea că m-au părăsit și au servit altor dumnezei, astfel îți fac și ție.
0908090088	De aceea acum, dă ascultare vocii lor, dar totuși avertizează-i hotărât și arată-le felul în care împăratul va domni peste ei.
09080a0056	Și Samuel a spus toate cuvintele DOMNULUI către poporul care îi cerea un împărat.
09080b00e2	Și a spus: Acesta va fi felul în care împăratul va domni peste voi: El va lua pe fiii voștri și îi va numi pentru el însuși, pentru carele sale și să fie călăreții săi; și unii vor alerga înaintea carelor lui.
09080c00cd	Și îi va rândui căpetenii peste mii și căpetenii peste cincizeci; și îi va pune să are câmpul lui și să îi strângă secerișul și să îi facă uneltele de război și uneltele carelor sale.
09080d0051	Și va lua pe fiicele voastre să fie parfumiere și bucătărese și brutărese.
09080e0085	Și va lua câmpurile voastre și viile voastre și grădinile voastre de măslini, pe cele mai bune, și le va da servitorilor săi.
09080f0077	Și va lua zeciuială din semințele voastre și din viile voastre și le va da ofițerilor săi și servitorilor săi.
0908100099	Și va lua pe servitorii voștri și pe servitoarele voastre și pe tinerii voștri cei mai frumoși și măgarii voștri și îi va pune la lucrul său.
0908110040	Va lua zeciuială din oile voastre; și veți fi servitorii lui.
0908120081	Și veți striga în acea zi din cauza împăratului vostru pe care vi-l veți fi ales; și DOMNUL nu vă va asculta în acea zi.
0908130073	Dar totuși, poporul a refuzat să asculte de vocea lui Samuel și au spus: Nu; ci vom avea un împărat peste noi,
0908140090	Ca să fim și noi ca toate națiunile; și împăratul nostru să ne judece și să iasă înaintea noastră și să lupte bătăliile noastre.
0908150057	Și Samuel a ascultat toate cuvintele poporului și le-a repetat în urechile DOMNULUI.
09081600a6	Și DOMNUL i-a spus lui Samuel: Dă ascultare vocii lor și pune un împărat peste ei. Și Samuel a spus bărbaților lui Israel: Mergeți fiecare om la cetatea lui.
09090100a4	Și era un om din Beniamin al cărui nume era Chiș, fiul lui Abiel, fiul lui Țeror, fiul lui Becorat, fiul lui Afiah, un beniamit, un bărbat puternic și viteaz.
09090200d8	Și el avea un fiu, al cărui nume era Saul, un tânăr ales și frumos; și nu era printre copiii lui Israel o persoană mai frumoasă decât el; de la umerii săi în sus el era mai înalt decât oricine din popor.
09090300be	Și măgărițele lui Chiș, tatăl lui Saul, se pierduseră. Și Chiș i-a spus lui Saul, fiul său: Ia acum cu tine pe unul dintre servitori și ridică-te, du-te să cauți măgărițele.
09090400c8	Și el a trecut prin muntele Efraim și a trecut prin țara Șalișa, dar nu le-a găsit; apoi au trecut prin țara Șaalim și nu erau acolo; și a trecut prin țara beniamiților dar nu le-a găsit.
09090500cc	Și când au ajuns în țara Țuf, Saul a spus servitorului său care era cu el: Vino și să ne întoarcem, ca nu cumva tatălui meu să nu îi mai pese de măgărițe și să se îngrijoreze pentru noi.
09090600db	Și el i-a spus: Iată acum, este în această cetate un om al lui Dumnezeu și el este un bărbat demn de cinste; tot ce spune el se întâmplă; acum să mergem acolo; s-ar putea să ne arate calea pe care să mergem.
09090700cd	Atunci Saul a spus servitorului său: Dar, iată, dacă mergem, ce să ducem omului acesta? Pentru că pâinea s-a terminat din sacii noștri și nu este vreun dar de adus omului lui Dumnezeu; ce avem noi?
09090800be	Și servitorul a răspuns din nou lui Saul și a zis: Iată, am aici la îndemână a patra parte dintr-un șekel de argint; pe acesta îl voi da omului lui Dumnezeu, ca să ne spună calea.
09090900c5	(Înainte, în Israel, când un om mergea să îl întrebe pe Dumnezeu, astfel vorbea: Veniți și să mergem la văzător, pentru că cel care este acum numit Profet înainte era numit Văzător.)
09090a0078	Atunci Saul a spus servitorului său: Bine spus; vino, să mergem. Astfel au mers la cetatea unde era omul lui Dumnezeu.
09090b0082	Și cum urcau dealul cetății, au găsit niște tinere servitoare ieșind să scoată apă și le-au spus: Este văzătorul aici?
09090c00bb	Și ele le-au răspuns și au zis: Este, iată, el este înaintea voastră; grăbiți-vă acum, pentru că a venit astăzi în cetate, fiindcă poporul aduce un sacrificiu pe înălțime;
09090d0147	Îndată ce veți fi intrat în cetate, îl veți găsi imediat, înainte să se urce la locul înalt să mănânce, pentru că poporul nu va mânca până când nu va veni el, deoarece el binecuvântează sacrificiul; și după aceea mănâncă cei chemați. De aceea acum, urcați-vă, căci pe la acest timp îl veți găsi.
09090e0078	Și s-au urcat în cetate; și când au intrat în cetate, iată, Samuel ieșea spre ei, ca să se urce la locul înalt.
09090f0058	Și DOMNUL îi spusese la ureche lui Samuel cu o zi înainte ca Saul să vină, zicând:
090910011a	Mâine, cam pe timpul acesta, voi trimite la tine un om din țara lui Beniamin și tu să îl ungi să fie căpetenie peste poporul meu Israel, ca să salveze pe poporul meu din mâna filistenilor, pentru că am privit la poporul meu, deoarece strigătul lor a ajuns până la mine.
0909110082	Și când Samuel l-a văzut pe Saul, DOMNUL i-a spus: Iată, pe omul despre care ți-am vorbit! Acesta va domni peste poporul meu.
0909120068	Atunci Saul s-a apropiat de Samuel la poartă și a zis: Spune-mi, te rog, unde este casa văzătorului.
09091300df	Și Samuel i-a răspuns lui Saul și a zis: Eu sunt văzătorul; urcă-te înaintea mea la locul înalt, fiindcă veți mânca astăzi cu mine; și mâine te voi lăsa să pleci și îți voi spune tot ce este în inima ta.
09091400e5	Și cât despre măgărițele care s-au pierdut cu trei zile în urmă, nu te mai gândi la ele, pentru că s-au găsit. Și asupra cui este toată dorința lui Israel? Nu este asupra ta și asupra întregii case a tatălui tău?
09091500dc	Și Saul a răspuns și a zis: Nu sunt eu un beniamit, din cel mai mic dintre triburile lui Israel, și familia mea este cea mai mică dintre toate familiile tribului lui Beniamin? Pentru ce atunci îmi vorbești astfel?
09091600b7	Și Samuel l-a luat pe Saul și pe servitorul său și i-a dus în cameră și i-a pus să șadă în locul cel mai important printre cei chemați, care erau cam treizeci de persoane.
090917006f	Și Samuel a spus bucătarului: Adu porția pe care ți-am dat-o, despre care ți-am spus: Pune-o lângă tine.
0909180134	Și bucătarul a ridicat spata și ceea ce era pe ea și a pus-o înaintea lui Saul. Și Samuel a zis: Iată, ceea ce a fost păstrat! Pune-o înaintea ta, mănâncă, pentru că a fost păstrată pentru tine, pentru acest timp, de când am spus: Voi invita poporul. Și Saul a mâncat cu Samuel în acea zi.
0909190072	Și după ce au coborât de pe locul înalt în cetate, Samuel a vorbit îndeaproape cu Saul pe acoperișul casei.
09091a00e3	Și s-au sculat devreme; și s-a întâmplat, pe când se revărsau zorile, că Samuel l-a chemat pe Saul pe acoperișul casei, spunând: Sus, ca să te trimit. Și Saul s-a sculat și au ieșit amândoi, el și Samuel, afară.
09091b00d0	Și pe când coborau la marginea cetății, Samuel i-a spus lui Saul: Spune servitorului să treacă înaintea noastră (și el a trecut) dar tu stai pe loc un timp, ca să îți arăt cuvântul lui Dumnezeu.
090a0100b2	Și Samuel a luat un potir cu untdelemn și l-a turnat pe capul lui și l-a sărutat și i-a spus: Nu este din cauză că DOMNUL te-a uns să fii căpetenie peste moștenirea sa?
090a020155	Când te vei fi depărtat de la mine astăzi, vei găsi doi bărbați la mormântul Rahelei, la granița lui Beniamin, la Țelțah; și ei îți vor spune: Măgărițele pe care ai mers să le cauți s-au găsit; și, iată, tatălui tău nu îi mai pasă de măgărițe și este îngrijorat pentru voi, spunând: Ce să fac pentru fiul meu?
090a0300e1	Atunci să mergi înainte de acolo și să vii la câmpia Tabor și acolo te vor întâlni trei oameni urcându-se la Dumnezeu la Betel, unul ducând trei iezi și altul ducând trei pâini și altul ducând un burduf cu vin;
090a040057	Și te vor saluta și îți vor da două pâini, pe care le vei primi din mâinile lor.
090a050132	După aceea vei veni la dealul lui Dumnezeu, unde este garnizoana filistenilor; și se va întâmpla, când vei fi intrat acolo în cetate, că vei întâlni o ceată de profeți, coborând de la locul înalt cu un psalterion și o tamburină și un fluier și o harpă, înaintea lor, și ei vor profeți;
090a060064	Și Duhul DOMNULUI va veni peste tine și vei profeți cu ei și vei fi transformat într-un alt om.
090a070084	Și să fie astfel, atunci când aceste semne ți se vor întâmpla, fă cum ți se arată ocazia, pentru că Dumnezeu este cu tine.
090a0800e9	Și să cobori înaintea mea la Ghilgal; și, iată, voi coborî la tine, ca să ofer ofrande arse și să sacrific sacrificii ale ofrandelor de pace. Șapte zile să rămâi, până voi veni la tine și îți voi arăta ce să faci.
090a09009e	Și a fost astfel, că atunci când s-a întors ca să plece de la Samuel, Dumnezeu i-a dat altă inimă; și toate aceste semne s-au întâmplat în acea zi.
090a0a0092	Și când au ajuns acolo la deal, iată, l-a întâlnit o ceată de profeți; și Duhul lui Dumnezeu a venit peste el și el profețea printre ei.
090a0b00f9	Și s-a întâmplat, când toți cei care îl cunoscuseră mai înainte au văzut că, iată, el profețea printre profeți, că oamenii au spus unul către altul: Ce este aceasta ce s-a întâmplat cu fiul lui Chiș? Este și Saul printre profeți?
090a0c0084	Și unul din acel loc a răspuns și a zis: Dar cine este tatăl lor? De aceea a devenit un proverb: Este și Saul printre profeți?
090a0d003c	Și, când a terminat de profețit, a ajuns la locul înalt.
090a0e00b1	Și unchiul lui Saul i-a spus lui și servitorului lui: Unde ați mers? Și el a spus: Să căutăm măgărițele; și când am văzut că nu erau nicăieri, am venit la Samuel.
090a0f0040	Și unchiul lui Saul a zis: Spune-mi, te rog, ce v-a zis Samuel.
090a1000a5	Și Saul i-a spus unchiului său: Ne-a zis pe față că măgărițele au fost găsite. Dar lucrul despre împărăție, despre care Samuel îi vorbise, nu i-a spus.
090a110031	Și Samuel a chemat poporul la DOMNUL, la Mițpa;
090a1200d1	Și a spus copiilor lui Israel: Astfel spune DOMNUL Dumnezeul lui Israel: Am scos pe Israel din Egipt și v-am eliberat din mâna egiptenilor și din mâna tuturor împărățiilor și de cei care vă oprimau;
090a13011c	Și voi ați lepădat în această zi pe Dumnezeul vostru, care el însuși v-a salvat din toate nenorocirile și necazurile voastre și i-ați spus: Nu, ci pune un împărat peste noi. De aceea acum, prezentați-vă înaintea DOMNULUI după triburile voastre și după miile voastre.
090a14005b	Și după ce Samuel a apropiat toate triburile lui Israel, tribul lui Beniamin a fost luat.
090a1500b8	După ce a apropiat tribul lui Beniamin după familiile lor, familia lui Matri a fost luată; și Saul, fiul lui Chiș, a fost luat, și după ce l-au căutat, el nu a putut fi găsit.
090a160090	De aceea au întrebat pe DOMNUL mai departe, dacă omul ar mai trebui să vină acolo. Și DOMNUL a răspuns: Iată, s-a ascuns printre lucruri.
090a170093	Și au alergat și l-au luat de acolo, și când a stat în mijlocul poporului, era mai înalt decât oricare din popor, de la umerii săi în sus.
090a1800b4	Și Samuel a spus întregului popor: Vedeți pe cel pe care l-a ales DOMNUL, că nu este nimeni ca el în tot poporul? Și tot poporul a strigat și a spus: Trăiască împăratul.
090a1900b4	Atunci Samuel a spus poporului felul împărăției și l-a scris într-o carte și a pus-o înaintea DOMNULUI. Și Samuel a dat drumul întregului popor, fiecărui om la casa lui.
090a1a007c	Și Saul a mers de asemenea acasă la Ghibea; și a mers cu el o ceată de bărbați, ale căror inimi le atinsese Dumnezeu.
090a1b0077	Dar copiii lui Belial au spus: Cum ne va salva acest om? Și l-au disprețuit și nu i-au adus daruri. Dar el a tăcut.
090b0100ab	Atunci Nahaș amonitul s-a urcat și a așezat tabăra împotriva Iabes-Galaadului; și toți oamenii din Iabes au spus lui Nahaș: Fă legământ cu noi și te vom servi.
090b0200ba	Și Nahaș amonitul le-a răspuns: Cu această condiție voi încheia un legământ cu voi, dacă vă scot tuturor ochiul drept și să îl pun ca o batjocură asupra întregului Israel.
090b0300ba	Și bătrânii Iabesului i-au spus: Dă-ne șapte zile de amânare, ca să trimitem mesageri în toate ținuturile lui Israel; și dacă nu este nimeni să ne salveze, vom ieși la tine.
090b04008b	Atunci au venit mesagerii la Ghibea lui Saul și au spus veștile în urechile poporului; și tot poporul și-a ridicat vocea și a plâns.
090b05009c	Și, iată, Saul venea în urma cirezii de la câmp; și Saul a spus: Ce îi este poporului de plânge? Și i-au spus toate veștile bărbaților din Iabes.
090b06006c	Și Duhul lui Dumnezeu a venit peste Saul când a auzit aceste vești și mânia lui s-a aprins foarte tare.
090b070128	Și a luat o pereche de boi și i-a despicat în bucăți și le-a trimis în toate ținuturile lui Israel prin mâinile mesagerilor, spunând: Oricine nu iese după Saul și după Samuel, astfel se va face boilor lui. Și frica DOMNULUI a căzut asupra poporului și ei au ieșit într-un acord.
090b080075	Și după ce i-a numărat la Bezec, copiii lui Israel erau trei sute de mii, iar bărbații lui Iuda treizeci de mii.
090b0900e7	Și au spus mesagerilor care veniseră: Astfel să spuneți bărbaților din Iabes-Galaad: Mâine, pe când arde soarele, veți avea ajutor. Și mesagerii au venit și au arătat aceasta bărbaților din Iabes; și ei s-au bucurat.
090b0a0068	De aceea bărbații din Iabes au spus: Mâine vom ieși la voi și să ne faceți tot ce vi se pare bun.
090b0b0131	Și a fost astfel a doua zi, că Saul a pus poporul în trei cete; și ei au intrat în mijlocul oștirii în garda de dimineață și au ucis pe amoniți până la arșița zilei; și s-a întâmplat, că aceia care au rămas au fost împrăștiați, astfel încât nu au rămas doi împreună dintre ei.
090b0c008e	Și poporul a spus lui Samuel: Cine este cel care a spus: Să domnească Saul peste noi? Aduceți pe oamenii aceia, ca să îi dăm la moarte.
090b0d0079	Și Saul a spus: Niciun om nu va fi dat la moarte în această zi, pentru că astăzi DOMNUL a lucrat salvare în Israel.
090b0e0062	Atunci Samuel a spus poporului: Veniți să mergem la Ghilgal și să înnoim împărăția acolo.
090b0f0100	Și tot poporul a mers la Ghilgal; și acolo au făcut pe Saul împărat înaintea DOMNULUI, în Ghilgal; și au sacrificat acolo sacrificii ale ofrandelor de pace înaintea DOMNULUI; și acolo Saul și toți bărbații lui Israel s-au bucurat foarte mult.
090c010086	Și Samuel a spus întregului Israel: Iată, am dat ascultare vocii voastre în tot ce mi-ați spus și am pus un împărat peste voi.
090c0200cf	Și acum, iată, împăratul umblă înaintea voastră; și eu sunt bătrân și încărunțit; și, iată, fiii mei sunt cu voi și eu am umblat înaintea voastră din copilăria mea până în această zi.
