0100000008	Génesis
03090400ad	y un toro y un carnero para los sacrificios de comunión, para sacrificar ante Yahvé; y una ofrenda de cereal mezclada con aceite, porque hoy Yahvé se os aparecerá’.”
030905007f	Trajeron lo que Moisés había ordenado ante la Tienda del Encuentro. Toda la asamblea se acercó y se puso de pie ante Yahvé.
0309060067	Moisés dijo: “Esto es lo que Yahvé mandó que hicierais, y la gloria de Yahvé se os aparecerá”.
03090700e8	Moisés dijo a Aarón: “Acércate al altar y ofrece tu ofrenda por el pecado y tu holocausto, y haz la expiación por ti y por el pueblo; y ofrece la ofrenda del pueblo y haz la expiación por ellos, como lo ha ordenado Yahvé.”
030908006b	Entonces Aarón se acercó al altar y mató el becerro de la ofrenda por el pecado, que era para él mismo.
03090900a7	Los hijos de Aarón le presentaron la sangre, y él mojó su dedo en la sangre, la puso sobre los cuernos del altar, y derramó el resto de la sangre al pie del altar;
03090a0096	pero la grasa, los riñones y el lóbulo del hígado de la ofrenda por el pecado, los quemó sobre el altar, como Yahvé le había ordenado a Moisés.
03090b003c	La carne y la piel las quemó al fuego fuera del campamento.
03090c0072	Mató el holocausto, y los hijos de Aarón le entregaron la sangre, y él la roció por todos los lados del altar.
03090d0061	Le entregaron el holocausto, pieza por pieza, junto con la cabeza. Él los quemó sobre el altar.
03090e004e	Lavó las entrañas y las patas, y las quemó sobre el holocausto en el altar.
03090f00a2	Presentó la ofrenda del pueblo, tomó el macho cabrío de la ofrenda por el pecado que era para el pueblo, lo mató y lo ofreció por el pecado, como el primero.
030910003b	Presentó el holocausto, y lo ofreció según la ordenanza.
0309110078	Presentó la ofrenda de cereal, llenó su mano de ella y la quemó sobre el altar, además del holocausto de la mañana.
03091200b4	También sacrificó el toro y el carnero, el sacrificio de comunión, que era para el pueblo. Los hijos de Aarón le entregaron la sangre, que roció por todos los lados del altar;
0309130088	y las porciones de grasa del toro y del carnero, el rabo gordo, la grasa que cubre las entrañas, los riñones y el lóbulo del hígado;
0309140045	pusieron la grasa sobre los pechos, y quemó la grasa sobre el altar.
0309150071	Aarón meció los pechos y el muslo derecho como ofrenda mecida ante Yahvé, tal como lo había ordenado Moisés.
030916009b	Aarón levantó sus manos hacia el pueblo y lo bendijo; y bajó después de ofrecer la ofrenda por el pecado, el holocausto y los sacrificios de comunión.
030917008b	Moisés y Aarón entraron en la Tienda del Encuentro, salieron y bendijeron al pueblo, y la gloria de Yahvé se apareció a todo el pueblo.
03091800af	Salió fuego de la presencia de Yahvé y consumió el holocausto y la grasa sobre el altar. Cuando todo el pueblo lo vio, gritaron de júbilo y se postraron sobre sus rostros.
030a0100bb	Nadab y Abiú, hijos de Aarón, tomaron cada uno su incensario, pusieron fuego en él y colocaron incienso, y ofrecieron delante de Yahvé un fuego extraño que él no les había mandado.
030a020053	Salió fuego de la presencia de Yahvé y los devoró, y murieron delante de Yahvé.
030a0300cb	Entonces Moisés le dijo a Aarón: “Esto es de lo que habló Yahvé, diciendo: ‘Me mostraré santo a los que se acerquen a mí, y ante todo el pueblo seré glorificado’”. Aarón guardó silencio.
030a0400ab	Moisés llamó a Misael y a Elzafán, hijos de Uziel, tío de Aarón, y les dijo: “Acercaos y sacad a vuestros hermanos de delante del santuario fuera del campamento.”
030a050063	Se acercaron, pues, y los llevaron en sus túnicas fuera del campamento, como Moisés había dicho.
030a06011c	Moisés dijo a Aarón, a Eleazar y a Itamar, sus hijos: “No llevéis el pelo suelto, ni os rasguéis las vestiduras, para que no muráis y para que él no se enoje con toda la asamblea; pero que vuestros hermanos, toda la casa de Israel, lloren por el fuego que Yahvé ha encendido.
030a0700b0	No saldréis de la puerta de la Tienda del Encuentro, para que no muráis, porque el aceite de la unción de Yahvé está sobre vosotros.” Ellos hicieron lo que dijo Moisés.
030a080021	Entonces Yahvé le dijo a Aarón:
030a0900c8	“Tú y tus hijos contigo no beberéis vino ni bebida embriagante cuando entréis en la Tienda del Encuentro, para que no muráis. Esto será un estatuto perpetuo a lo largo de vuestras generaciones.
030a0a004c	Debéis distinguir entre lo santo y lo profano, y entre lo impuro y lo puro.
030a0b0066	Enseñaréis a los hijos de Israel todos los estatutos que Yahvé les ha dado por medio de Moisés.”
030a0c00de	Moisés dijo a Aarón, a Eleazar y a Itamar, los hijos que le habían quedado: “Tomad la ofrenda de cereal que queda de las ofrendas hechas por fuego a Yahvé, y comedla sin levadura junto al altar, porque es santísima;
030a0d009b	la comeréis en lugar santo, porque es vuestra porción y la de vuestros hijos, de las ofrendas a Yahvé hechas por fuego; porque así me ha sido ordenado.
030a0e00ef	El pecho de la ofrenda mecida y el muslo de la ofrenda elevada los comeréis en un lugar puro, tú, tus hijos y tus hijas contigo; porque son dados como tu porción y la de tus hijos, de los sacrificios de comunión de los hijos de Israel.
030a0f0105	Traerán el muslo de la ofrenda elevada y el pecho de la ofrenda mecida junto con las ofrendas encendidas de la grasa, para mecerlos como ofrenda mecida ante Yahvé. Será para ti, y para tus hijos contigo, como porción perpetua, como lo ha ordenado Yahvé”.
030a1000cf	Moisés indagó diligentemente sobre el macho cabrío de la ofrenda por el pecado, y descubrió que había sido quemado. Se enojó con Eleazar y con Itamar, los hijos de Aarón que habían quedado, diciendo:
030a1100e0	“¿Por qué no habéis comido la ofrenda por el pecado en el recinto del santuario, ya que es santísima, y él os la ha dado para que carguéis con la iniquidad de la asamblea, para hacer expiación por ellos ante Yahvé?
030a120086	He aquí que su sangre no fue llevada al interior del santuario. Ciertamente debisteis comerla en el santuario, como yo lo ordené”.
030a1300fc	Aarón respondió a Moisés: “He aquí que hoy han ofrecido su ofrenda por el pecado y su holocausto ante Yahvé, y me han sucedido cosas como estas. Si yo hubiera comido hoy la ofrenda por el pecado, ¿habría sido aceptable a los ojos de Yahvé?”
030a14002b	Cuando Moisés oyó esto, le pareció bien.
030b010031	Yahvé habló a Moisés y a Aarón, diciéndoles:
030b02008b	“Hablad a los hijos de Israel, diciendo: ‘Estos son los seres vivos que podéis comer de entre todos los animales que hay en la tierra:
030b030054	Todo animal que tiene pezuña hendida y rumia entre los animales, ese podéis comer.
030b0400b1	“‘Sin embargo, no comeréis de los que rumian o de los que tienen pezuña hendida, estos: el camello, porque rumia pero no tiene la pezuña hendida, es impuro para vosotros.
030b050052	El damán, porque rumia pero no tiene la pezuña hendida, es impuro para vosotros.
030b060052	La liebre, porque rumia pero no tiene la pezuña hendida, es impura para vosotros.
030b07004e	El cerdo, porque tiene pezuña hendida pero no rumia, es impuro para vosotros.
030b080050	No comeréis de su carne ni tocaréis sus cadáveres. Son impuros para vosotros.
030b090097	“‘Podéis comer de todo lo que está en las aguas: todo lo que tiene aletas y escamas en las aguas, en los mares y en los ríos, eso podéis comer.
030b0a00b2	Pero todo lo que no tiene aletas y escamas en los mares y en los ríos, de todo lo que se mueve en las aguas y de todo ser viviente que está en las aguas, os será abominación;
030b0b004d	y los detestaréis. No comeréis de su carne, y aborreceréis sus cadáveres.
030b0c004a	Todo lo que no tenga aletas ni escamas en las aguas os será abominación.
030b0d0088	“‘Aborreceréis estas entre las aves; no se comerán porque son una abominación: el águila, el quebrantahuesos, el águila marina,
030b0e0028	el milano, cualquier especie de halcón,
030b0f001c	cualquier especie de cuervo,
030b100043	el avestruz, la lechuza, la gaviota, cualquier especie de gavilán,
030b110020	el búho, el cormorán, el ibis,
030b120022	el cisne, el pelícano, el buitre,
030b130047	la cigüeña, cualquier especie de garza, la abubilla y el murciélago.
030b140047	“‘Todo insecto alado que ande a cuatro patas os será abominación.
030b1500ad	Sin embargo, podréis comer estos de todos los insectos alados que andan a cuatro patas: los que tienen patas articuladas por encima de sus pies para saltar sobre la tierra.
030b160076	De ellos podréis comer: cualquier especie de langosta migratoria, la langosta devoradora, el grillo y el saltamontes.
030b17004f	Pero cualquier otro insecto alado que tenga cuatro patas os será abominación.
030b180067	“‘Por ellos quedaréis impuros: cualquiera que toque sus cadáveres quedará impuro hasta la tarde.
030b19006c	Cualquiera que levante alguna parte de sus cadáveres lavará sus vestidos y quedará impuro hasta la tarde.
030b1a0095	“‘Todo animal que tenga la pezuña hendida pero que no esté partida en dos, o que no rumie, os será impuro. Todo el que los toque será impuro.
030b1b00b2	Todo animal que ande sobre sus plantas, de entre todos los animales que andan a cuatro patas, os será impuro. Cualquiera que toque sus cadáveres quedará impuro hasta la tarde.
030b1c0064	El que levante su cadáver lavará sus vestidos y quedará impuro hasta la tarde. Os serán impuros.
030b1d008e	“‘Estos os serán impuros de entre los animales que se arrastran sobre la tierra: el topo, el ratón, cualquier especie de lagarto grande,
030b1e0047	el gecko, el lagarto monitor, la lagartija, el eslizón y el camaleón.
030b1f008b	Estos os serán impuros de entre todos los que se arrastran. Cualquiera que los toque cuando estén muertos quedará impuro hasta la tarde.
030b20010f	Todo aquello sobre lo que caiga cualquiera de ellos cuando esté muerto quedará impuro, ya sea un objeto de madera, de tela, de piel o un saco. Cualquier objeto con el que se haga algún trabajo será metido en agua y quedará impuro hasta la tarde; entonces será puro.
030b210074	Toda vasija de barro en la que caiga cualquiera de ellos, todo lo que haya en ella quedará impuro, y la romperéis.
030b2200a6	Todo alimento que se pueda comer sobre el cual caiga agua de esa vasija quedará impuro. Toda bebida que se pueda beber en cualquiera de esas vasijas quedará impura.
030b230098	Todo aquello sobre lo que caiga una parte de su cadáver quedará impuro; si es un horno o un fogón, será derribado. Son impuros, y os serán impuros.
030b240078	Sin embargo, un manantial o una cisterna donde se recoja agua será puro, pero el que toque su cadáver quedará impuro.
030b250061	Si parte de su cadáver cae sobre cualquier semilla de siembra que se vaya a sembrar, será pura.
030b260062	Pero si se ha echado agua sobre la semilla y parte de su cadáver cae sobre ella, os será impura.
030b27006f	“‘Si muere algún animal de los que podéis comer, el que toque su cadáver quedará impuro hasta la tarde.
030b2800a3	El que coma de su cadáver lavará sus vestidos y quedará impuro hasta la tarde. El que levante su cadáver lavará sus vestidos y quedará impuro hasta la tarde.
030b290051	“‘Todo animal que se arrastra sobre la tierra es abominación; no se comerá.
030b2a00bd	Todo lo que ande sobre su vientre, todo lo que ande a cuatro patas o todo lo que tenga muchas patas, de todo animal que se arrastra sobre la tierra, no lo comeréis, porque es abominación.
030b2b0081	No os hagáis abominables con ningún animal que se arrastra; no os hagáis impuros con ellos, para que no quedéis contaminados.
030b2c00a2	Porque yo soy Yahvé, vuestro Dios. Santificaos, pues, y sed santos, porque yo soy santo. No os contaminaréis con ningún animal que se arrastra sobre la tierra.
030b2d0081	Porque yo soy Yahvé, que os hice subir de la tierra de Egipto para ser vuestro Dios. Seréis, pues, santos, porque yo soy santo.
030b2e009c	“‘Esta es la ley acerca de los animales, de las aves, de todo ser viviente que se mueve en las aguas y de toda criatura que se arrastra sobre la tierra,
030b2f007f	para hacer distinción entre lo impuro y lo puro, y entre el animal que se puede comer y el animal que no se puede comer’.”
030c010022	Yahvé habló a Moisés, diciendo:
030c0200aa	“Habla a los hijos de Israel, diciendo: ‘Si una mujer concibe y da a luz un hijo varón, será impura siete días; será impura como en los días de su menstruación.
030c030040	Al octavo día se circuncidará la carne del prepucio del niño.
030c0400b4	Ella permanecerá purificándose de su sangre treinta y tres días. No tocará ninguna cosa sagrada ni entrará en el santuario, hasta que se cumplan los días de su purificación.
030c050090	Pero si da a luz una niña, será impura dos semanas, como en su menstruación; y permanecerá purificándose de su sangre sesenta y seis días.
030c0600f9	“‘Cuando se cumplan los días de su purificación por un hijo o por una hija, ella traerá al sacerdote, a la puerta de la Tienda del Encuentro, un cordero de un año para el holocausto, y un pichón o una tórtola para la ofrenda por el pecado.
030c0700ae	Él lo ofrecerá ante Yahvé y hará expiación por ella; entonces quedará purificada del flujo de su sangre. “‘Esta es la ley para la que da a luz, sea varón o hembra.
030c0800cf	Si no tiene lo suficiente para un cordero, tomará dos tórtolas o dos pichones: uno para el holocausto y el otro para la ofrenda por el pecado. El sacerdote hará expiación por ella, y quedará pura’”.
030d01002d	Yahvé habló a Moisés y a Aarón, diciendo:
030d0200f2	“Cuando un hombre tenga en la piel de su cuerpo una hinchazón, una erupción o una mancha brillante, y se convierta en la piel de su cuerpo en una infección de lepra, será llevado al sacerdote Aarón o a uno de sus hijos, los sacerdotes.
030d030111	El sacerdote examinará la infección en la piel del cuerpo. Si el vello en la zona infectada se ha vuelto blanco, y el aspecto de la infección es más profundo que la piel del cuerpo, se trata de una infección de lepra; el sacerdote lo examinará y lo declarará impuro.
030d0400d0	Pero si la mancha en la piel de su cuerpo es blanca, y su aspecto no es más profundo que la piel, y su vello no se ha vuelto blanco, entonces el sacerdote aislará a la persona infectada durante siete días.
030d0500b0	El sacerdote lo examinará al séptimo día. Si a sus ojos la infección se ha detenido y no se ha extendido en la piel, entonces el sacerdote lo aislará por siete días más.
030d0600e1	El sacerdote lo examinará de nuevo al séptimo día. Si la infección se ha desvanecido y no se ha extendido por la piel, el sacerdote lo declarará puro. Se trata de una simple erupción. Se lavará la ropa y quedará puro.
030d070094	Pero si la erupción se extiende en la piel después de haberse presentado al sacerdote para su purificación, se presentará de nuevo al sacerdote.
030d080077	El sacerdote lo examinará, y si la erupción se ha extendido por la piel, el sacerdote lo declarará impuro. Es lepra.
030d090053	“Cuando la infección de la lepra esté en un hombre, será llevado al sacerdote;
030d0a0088	y el sacerdote lo examinará. Si hay una hinchazón blanca en la piel, que ha vuelto blanco el vello, y hay carne viva en la hinchazón,
030d0b0081	se trata de una lepra crónica en la piel de su cuerpo, y el sacerdote lo declarará impuro. No lo aislará, porque ya es impuro.
030d0c009f	“Si la lepra brota por toda la piel, y la lepra cubre toda la piel del infectado, desde la cabeza hasta los pies, hasta donde alcance la vista del sacerdote,
030d0d0097	entonces el sacerdote lo examinará. Si la lepra ha cubierto todo su cuerpo, lo declarará puro de la infección. Todo se ha vuelto blanco: está puro.
030d0e003d	Pero el día en que aparezca carne viva en él, será impuro.
030d0f0060	El sacerdote examinará la carne viva y lo declarará impuro: la carne viva es impura. Es lepra.
030d100055	O si la carne viva cambia y se vuelve blanca de nuevo, entonces vendrá al sacerdote.
030d110075	El sacerdote lo examinará. Si la llaga se ha vuelto blanca, el sacerdote lo declarará puro de la llaga. Está puro.
030d120050	“Cuando alguien tenga un forúnculo en la piel de su cuerpo, y se haya curado,
030d130086	y en el lugar del forúnculo aparezca una hinchazón blanca, o una mancha brillante de color blanco rojizo, se mostrará al sacerdote.
030d1400c4	El sacerdote lo examinará. Si su aspecto es más profundo que la piel y su vello se ha vuelto blanco, el sacerdote lo declarará impuro. Es la infección de la lepra. Ha brotado en el forúnculo.
030d1500b8	Pero si el sacerdote lo examina, y he aquí que no hay vello blanco en él y no es más profundo que la piel, sino que se ha desvanecido, entonces el sacerdote lo aislará siete días.
030d160051	Si se extiende por la piel, el sacerdote lo declarará impuro. Es una infección.
030d170087	Pero si la mancha brillante permanece en su lugar y no se ha extendido, es la cicatriz del forúnculo; el sacerdote lo declarará puro.
030d1800a2	“O cuando alguien tenga una quemadura de fuego en su piel, y la carne viva de la quemadura se convierta en una mancha brillante de color blanco rojizo o blanco,
030d1900ef	entonces el sacerdote lo examinará. Si el vello de la mancha brillante se ha vuelto blanco y su aspecto es más profundo que la piel, es lepra. Ha brotado en la quemadura, y el sacerdote lo declarará impuro. Es la infección de la lepra.
030d1a00bc	Pero si el sacerdote lo examina y ve que no hay vello blanco en la mancha, y que no es más profunda que la piel, sino que se ha desvanecido, entonces el sacerdote lo aislará siete días.
030d1b008d	El sacerdote lo examinará al séptimo día. Si se ha extendido por la piel, el sacerdote lo declarará impuro. Es la infección de la lepra.
030d1c00d3	Si la mancha brillante permanece en su lugar y no se ha extendido en la piel, sino que se ha desvanecido, es la hinchazón de la quemadura. El sacerdote lo declarará puro, porque es la cicatriz de la quemadura.
030d1d004b	“Cuando un hombre o una mujer tenga una llaga en la cabeza o en la barba,
030d1e00e3	entonces el sacerdote examinará la llaga. Si su aspecto es más profundo que la piel, y el pelo en ella es amarillento y fino, entonces el sacerdote lo declarará impuro. Se trata de tiña. Es lepra de la cabeza o de la barba.
030d1f00d1	Si el sacerdote examina la infección de la tiña, y su aspecto no es más profundo que la piel, y no hay pelo negro en ella, entonces el sacerdote aislará a la persona infectada de tiña durante siete días.
030d2000b5	Al séptimo día el sacerdote examinará la infección. Si la tiña no se ha extendido, no hay pelo amarillento en ella, y la apariencia de la tiña no es más profunda que la piel,
030d210091	entonces la persona será afeitada, pero no se afeitará la zona de la tiña. Luego el sacerdote aislará al que tiene la tiña siete días más.
030d2200dc	Al séptimo día, el sacerdote examinará la tiña. Si la tiña no se ha extendido en la piel y su apariencia no es más profunda que la piel, entonces el sacerdote lo declarará puro. Se lavará la ropa y quedará puro.
030d230045	Pero si la tiña se extiende en la piel después de su purificación,
030d24008f	entonces el sacerdote lo examinará. Si la tiña se ha extendido en la piel, el sacerdote no necesitará buscar el pelo amarillento; es impuro.
030d25009a	Pero si a sus ojos se ha detenido la tiña y ha crecido pelo negro en ella, entonces la tiña está curada. Está puro, y el sacerdote lo declarará puro.
030d26006d	“Cuando un hombre o una mujer tenga manchas brillantes en la piel del cuerpo, manchas blancas y brillantes,
030d2700bf	entonces el sacerdote los examinará. Si las manchas brillantes en la piel de su cuerpo son de un blanco pálido, es una erupción inofensiva que ha brotado en la piel. La persona está pura.
030d28004c	“Si a un hombre se le cae el pelo de la cabeza, es calvo, pero está puro.
030d290067	Si se le ha caído el pelo de la parte delantera de la cabeza, tiene calvicie frontal, pero está puro.
030d2a007d	Pero si en la calva o en la frente calva hay una llaga de color blanco rojizo, es lepra que brota en su calva o en su frente.
030d2b00ac	Entonces el sacerdote lo examinará. Si la hinchazón de la llaga es de color blanco rojizo en su calva o en su frente, con la apariencia de la lepra en la piel del cuerpo,
030d2c006f	es un hombre leproso. Es impuro. El sacerdote lo declarará impuro sin falta; su infección está en su cabeza.
030d2d00a3	“El leproso que tenga la infección llevará los vestidos rasgados y el cabello desgreñado. Se cubrirá el labio superior y gritará: ‘¡Impuro! ¡Impuro!’.
030d2e0086	Todo el tiempo que la llaga esté en él, será impuro. Es impuro, por lo que vivirá aislado. Su morada estará fuera del campamento.
030d2f0061	“En cuanto al vestido en el que haya una infección de lepra, sea un vestido de lana o de lino;
030d300063	sea en la urdimbre o en la trama de lino o de lana, sea en el cuero o en cualquier objeto de cuero;
030d3100b2	si la mancha es verdosa o rojiza en el vestido, en el cuero, en la urdimbre, en la trama o en cualquier objeto de cuero, es una infección de lepra y será mostrada al sacerdote.
030d320059	El sacerdote examinará la infección y aislará el objeto infectado durante siete días.
030d3300ce	Al séptimo día examinará la infección. Si se ha extendido en el vestido, en la urdimbre, en la trama, o en el cuero, cualquiera que sea el uso que se le dé, la infección es un moho maligno. Es impuro.
030d3400ac	Quemará el vestido, la urdimbre o la trama en lana o en lino, o cualquier objeto de cuero en el que esté la infección, porque es un moho maligno. Será quemado al fuego.
030d35009a	“Pero si el sacerdote lo examina, y ve que la mancha no se ha extendido en el vestido, ni en la urdimbre, ni en la trama, ni en ningún objeto de cuero,
030d36006b	entonces el sacerdote ordenará que laven el objeto en que está la mancha, y lo aislará siete días más.
030d3700ff	Después el sacerdote lo examinará, una vez lavada la mancha. Si la mancha no ha cambiado de aspecto, aunque no se haya extendido, el objeto es impuro; lo quemarás al fuego. Es una corrosión, ya sea que el desgaste esté por el derecho o por el revés.
030d3800a9	Si el sacerdote lo examina, y ve que la mancha se ha desvanecido después de haberla lavado, entonces la arrancará del vestido, del cuero, de la urdimbre o de la trama.
030d3900b8	Y si aparece de nuevo en el vestido, en la urdimbre, en la trama o en cualquier objeto de cuero, es una erupción que se extiende. Quemarás al fuego aquello en lo que esté la mancha.
030d3a009e	Pero el vestido, la urdimbre, la trama o cualquier objeto de cuero que laves, si la mancha desaparece de ellos, se lavará por segunda vez y quedará puro”.
030d3b00a4	Esta es la ley sobre la plaga del moho en un vestido de lana o de lino, en la urdimbre o en la trama, o en cualquier objeto de cuero, para declararlo puro o impuro.
030e010022	Yahvé habló a Moisés, diciendo:
030e020060	“Esta será la ley para el leproso en el día de su purificación: será llevado al sacerdote,
030e030080	y el sacerdote saldrá fuera del campamento. El sacerdote lo examinará, y si la infección de la lepra ha sanado en el leproso,
030e04007e	entonces el sacerdote mandará tomar para el que se purifica dos aves vivas y puras, madera de cedro, hilo escarlata e hisopo.
030e050067	El sacerdote ordenará que se degüelle una de las aves en una vasija de barro sobre agua de manantial.
030e0600bf	En cuanto al ave viva, la tomará junto con la madera de cedro, el hilo escarlata y el hisopo, y los mojará, junto con el ave viva, en la sangre del ave degollada sobre el agua de manantial.
030e070080	Rociará siete veces sobre el que ha de ser purificado de la lepra, lo declarará puro, y soltará el ave viva en campo abierto.
030e0800cf	“El que se purifica lavará sus vestidos, se afeitará todo el pelo y se bañará en agua, y quedará puro. Después de eso podrá entrar en el campamento, pero permanecerá siete días fuera de su tienda.
030e0900b2	Al séptimo día se afeitará todo el pelo: se afeitará la cabeza, la barba, las cejas y todo su pelo. Lavará sus vestidos y bañará su cuerpo en agua. Entonces quedará puro.
030e0a00c0	“Al octavo día tomará dos corderos sin defecto, una cordera de un año sin defecto, tres décimas de un efa de flor de harina amasada con aceite como ofrenda de cereal, y un log de aceite.
030e0b009c	El sacerdote que lo purifica presentará al hombre que se ha de purificar, junto con estas cosas, delante de Yahvé, a la puerta de la Tienda del Encuentro.
030e0c00a3	“El sacerdote tomará uno de los corderos y lo ofrecerá como sacrificio por la culpa, junto con el log de aceite, y los mecerá como ofrenda mecida ante Yahvé.
030e0d00f8	Degollará el cordero en el lugar donde se degüella la ofrenda por el pecado y el holocausto, en el recinto del santuario; porque el sacrificio por la culpa pertenece al sacerdote, de la misma manera que el sacrificio por el pecado. Es santísimo.
030e0e00d0	El sacerdote tomará de la sangre del sacrificio por la culpa y la pondrá sobre el lóbulo de la oreja derecha del que se purifica, sobre el pulgar de su mano derecha y sobre el dedo gordo de su pie derecho.
030e0f005c	El sacerdote tomará del log de aceite y lo echará en la palma de su propia mano izquierda.
030e100092	El sacerdote mojará su dedo derecho en el aceite que tiene en su mano izquierda, y rociará del aceite con su dedo siete veces delante de Yahvé.
030e1100f6	Del resto del aceite que tiene en su mano, el sacerdote pondrá sobre el lóbulo de la oreja derecha del que se purifica, sobre el pulgar de su mano derecha y sobre el dedo gordo de su pie derecho, encima de la sangre del sacrificio por la culpa.
030e1200a0	Y el resto del aceite que quede en la mano del sacerdote lo pondrá sobre la cabeza del que se purifica; así el sacerdote hará expiación por él ante Yahvé.
030e13009b	“Entonces el sacerdote ofrecerá el sacrificio por el pecado y hará expiación por el que se purifica de su impureza. Después degollará el holocausto.
030e140083	El sacerdote ofrecerá el holocausto y la ofrenda de cereal sobre el altar. El sacerdote hará expiación por él, y quedará puro.
030e1500fa	“Pero si es pobre y no tiene recursos suficientes, tomará un cordero como sacrificio por la culpa para ser mecido, para hacer expiación por él, y una décima de efa de flor de harina amasada con aceite como ofrenda de cereal, y un log de aceite;
030e16008e	también dos tórtolas o dos pichones, según lo que pueda conseguir. Uno será para el sacrificio por el pecado y el otro para el holocausto.
030e17007c	“Al octavo día los traerá al sacerdote para su purificación, a la puerta de la Tienda del Encuentro, delante de Yahvé.
030e18007e	El sacerdote tomará el cordero del sacrificio por la culpa y el log de aceite, y los mecerá como ofrenda mecida ante Yahvé.
030e190103	Degollará el cordero del sacrificio por la culpa. El sacerdote tomará de la sangre del sacrificio por la culpa y la pondrá sobre el lóbulo de la oreja derecha del que se purifica, sobre el pulgar de su mano derecha y sobre el dedo gordo de su pie derecho.
030e1a0048	El sacerdote echará del aceite en la palma de su propia mano izquierda,
030e1b0074	y con su dedo derecho el sacerdote rociará del aceite que tiene en su mano izquierda siete veces delante de Yahvé.
030e1c00fc	Luego el sacerdote pondrá del aceite que tiene en su mano sobre el lóbulo de la oreja derecha del que se purifica, sobre el pulgar de su mano derecha y sobre el dedo gordo de su pie derecho, en el mismo lugar de la sangre del sacrificio por la culpa.
030e1d0091	El resto del aceite que quede en la mano del sacerdote lo pondrá sobre la cabeza del que se purifica, para hacer expiación por él ante Yahvé.
030e1e005a	Ofrecerá una de las tórtolas o uno de los pichones, según lo que haya podido conseguir,
030e1f00cc	de lo que haya podido adquirir, uno como sacrificio por el pecado y el otro como holocausto, junto con la ofrenda de cereal. Así el sacerdote hará expiación delante de Yahvé por el que se purifica”.
030e200075	Esta es la ley para aquel que tiene una infección de lepra y no dispone de medios suficientes para su purificación.
030e21002d	Yahvé habló a Moisés y a Aarón, diciendo:
030e22009a	“Cuando hayáis entrado en la tierra de Canaán, que yo os doy en posesión, y yo ponga una plaga de moho en una casa de la tierra de vuestra posesión,
030e230074	el dueño de la casa irá y se lo comunicará al sacerdote, diciendo: ‘Me parece ver como una plaga en mi casa’.
030e2400c6	El sacerdote ordenará que vacíen la casa antes de que él entre a examinar la plaga, para que no sea declarado impuro todo lo que hay en ella. Después el sacerdote entrará para examinar la casa.
030e2500a1	Examinará la mancha. Si la mancha está en las paredes de la casa con cavidades verdosas o rojizas, y su aspecto es más profundo que la superficie de la pared,
030e260061	entonces el sacerdote saldrá a la puerta de la casa y la mantendrá cerrada durante siete días.
030e270070	El sacerdote volverá al séptimo día y la examinará. Si la mancha se ha extendido por las paredes de la casa,
030e280085	el sacerdote ordenará que arranquen las piedras en las que está la mancha, y que las arrojen en un lugar impuro fuera de la ciudad.
030e290077	Hará raspar todo el interior de la casa, y echarán el polvo que hayan raspado fuera de la ciudad, en un lugar impuro.
030e2a006a	Tomarán otras piedras y las pondrán en lugar de las primeras; tomarán otra mezcla y revocarán la casa.
030e2b008c	“Si la mancha vuelve a brotar en la casa después de haber arrancado las piedras, de haber raspado la casa y de haberla revocado de nuevo,
030e2c0082	entonces el sacerdote entrará y la examinará. Si la mancha se ha extendido en la casa, es un moho maligno en la casa; es impura.
030e2d007a	Derribará la casa, sus piedras, su madera y todo el estuco de la casa, y lo sacará fuera de la ciudad a un lugar impuro.
030e2e0066	“Cualquiera que entre en la casa durante los días que esté cerrada quedará impuro hasta la tarde.
030e2f005d	El que duerma en la casa lavará sus vestidos, y el que coma en la casa lavará sus vestidos.
030e3000c7	“Pero si el sacerdote entra y la examina, y ve que la mancha no se ha extendido en la casa después de haber sido revocada, entonces el sacerdote declarará la casa pura, porque la plaga ha sanado.
030e310052	Para purificar la casa tomará dos aves, madera de cedro, hilo escarlata e hisopo.
030e32004a	Degollará una de las aves en una vasija de barro sobre agua de manantial.
030e3300ad	Tomará la madera de cedro, el hisopo, el hilo escarlata y el ave viva, los mojará en la sangre del ave degollada y en el agua de manantial, y rociará la casa siete veces.
030e340094	Purificará la casa con la sangre del ave, con el agua de manantial, con el ave viva, con la madera de cedro, con el hisopo y con el hilo escarlata.
030e35007a	Después soltará el ave viva fuera de la ciudad, en campo abierto. Así hará expiación por la casa, y quedará pura”.
030e360041	Esta es la ley para cualquier infección de lepra, para la tiña,
030e37002a	para la plaga en un vestido o en una casa,
030e380041	para la hinchazón, para la erupción y para la mancha brillante;
030e390051	para enseñar cuándo es impuro y cuándo es puro. Esta es la ley sobre la lepra.
030f01002d	Yahvé habló a Moisés y a Aarón, diciendo:
030f02007e	“Hablad a los hijos de Israel y decidles: ‘Cuando un hombre tenga un flujo de su cuerpo, será impuro a causa de su flujo.
030f030085	Esta será su impureza por causa de su flujo: ya sea que su cuerpo destile el flujo o que su cuerpo retenga el flujo, es su impureza.
030f040080	“‘Toda cama en la que se acueste el que tiene el flujo será impura, y cualquier mueble sobre el que se siente será impuro.
030f050068	Cualquiera que toque su cama lavará sus vestidos, se bañará en agua y quedará impuro hasta la tarde.
030f0600ab	El que se siente sobre cualquier mueble en el que se haya sentado el hombre que tiene el flujo, lavará sus vestidos, se bañará en agua y quedará impuro hasta la tarde.
