2800000005	Matei
290f04005a	Pilat l-a întrebat din nou: “Nu ai răspuns? Vezi câte lucruri depun împotriva ta!”
290f05003a	Dar Isus n-a mai răspuns nimic, așa că Pilat s-a mirat.
290f06004c	Și la sărbătoare le dădea drumul la un prizonier, pe oricine îi cereau.
290f07008b	Era unul numit Baraba, legat împreună cu tovarășii săi de insurecție, oameni care, în timpul insurecției, săvârșiseră o crimă.
290f080075	Mulțimea, strigând cu voce tare, a început să-i ceară să facă pentru el ceea ce făcea întotdeauna pentru ei.
290f090047	Pilat le-a răspuns: “Vreți să vi-l eliberez pe Regele iudeilor?”
290f0a0046	Pentru că a înțeles că preoții de seamă l-au predat din invidie.
290f0b0062	Dar preoții cei mai de seamă au stârnit mulțimea, ca el să le elibereze în schimb pe Baraba.
290f0c0064	Pilat i-a întrebat din nou: “Ce să fac atunci cu cel pe care voi îl numiți Regele iudeilor?”
290f0d002e	Și au strigat din nou: “Răstignește-L!”
290f0e005d	Pilat le-a zis: “Ce rău a făcut?” Dar ei au strigat foarte tare: “Răstignește-L!”
290f0f0080	Pilat, vrând să mulțumească norodul, i-a dat drumul lui Baraba, iar pe Isus, după ce l-a biciuit, l-a dat spre răstignire.
290f10004f	Soldații l-au dus în curtea care este pretoriul și au chemat toată cohorta.
290f110058	L-au îmbrăcat cu purpură; și i-au împletit o coroană de spini, pe care i-au pus-o.
290f12003a	Au început să-l salute: “Slavă, rege al iudeilor!”.
290f13005b	I-au lovit capul cu o trestie, l-au scuipat și, plecându-și genunchii, i-au adus omagiu.
290f140081	După ce și-au bătut joc de el, i-au luat mantia de purpură și i-au pus hainele lui. L-au dus afară ca să-l răstignească.
290f1500a5	Și au silit pe unul care trecea pe acolo, venind de la țară, Simon din Cirene, tatăl lui Alexandru și al lui Rufus, să meargă cu ei, ca să-și poarte crucea.
290f16005d	L-au dus la locul numit Golgota, care înseamnă, fiind interpretat, “Locul unui craniu”.
290f170041	I-au oferit să bea vin amestecat cu smirnă, dar el nu l-a luat.
290f180056	L-au răstignit, I-au împărțit hainele Lui și au tras la sorți ce să ia fiecare.
290f19002c	Era ceasul al treilea când L-au răstignit.
290f1a0046	Și peste el era scrisă supranumele acuzării: “REGELE IUDEILOR”.
290f1b0052	Împreună cu El au răstignit doi tâlhari, unul la dreapta și altul la stânga.
290f1c005b	S-a împlinit Scriptura care zice: “A fost socotit împreună cu călcătorii de lege”.
290f1d0087	Cei ce treceau pe acolo Îl huleau, clătinându-și capetele și zicând: “Tu, care ai distrus templul și l-ai zidit în trei zile,
290f1e002f	mântuiește-te și coboară-te de pe cruce!”
290f1f00aa	La fel și preoții cei mai de seamă, care își băteau joc între ei împreună cu cărturarii, ziceau: “A mântuit pe alții. El nu se poate salva pe sine însuși.
290f2000ac	Hristosul, Împăratul lui Israel, să se coboare acum de pe cruce, ca să-l vedem și să-l credem.” Cei care au fost răstigniți împreună cu el l-au insultat și ei.
290f210064	Când a venit ceasul al șaselea, a fost întuneric peste toată țara până la ceasul al nouălea.
290f2200c6	La ceasul al nouălea, Isus a strigat cu glas tare, zicând: “Eloi, Eloi, lama sabachthani?”, ceea ce înseamnă, fiind interpretat: “Dumnezeul Meu, Dumnezeul Meu, pentru ce M-ai părăsit?”
290f23004d	Unii din cei ce stăteau acolo, auzind, au zis: “Iată, cheamă pe Ilie.”
290f2400ab	Unul a alergat și, umplând un burete plin de oțet, l-a pus pe o trestie și i-a dat să bea, zicând: “Lasă-l în pace. Să vedem dacă vine Ilie să îl dea jos”.
290f250030	Isus a strigat cu glas tare și și-a dat duhul.
290f260037	Voalul templului s-a rupt în două, de sus până jos.
290f2700a9	Când centurionul, care stătea vizavi de el, a văzut că a strigat așa și că și-a dat ultima suflare, a zis: “Cu adevărat, omul acesta era Fiul lui Dumnezeu!”
290f280080	Erau și femei care priveau de departe, printre care Maria Magdalena, Maria, mama lui Iacov cel mic și a lui Iose și Salomeea,
290f290071	care, când era în Galileea, L-au urmat și Îi slujeau, și multe alte femei care s-au suit cu El la Ierusalim.
290f2a005c	Și când s-a făcut seară, fiindcă era ziua pregătirii, adică ziua dinaintea Sabatului,
290f2b00ad	a venit Iosif din Arimateea, un sfetnic de seamă, care și el însuși aștepta Împărăția lui Dumnezeu. A intrat cu îndrăzneală la Pilat și a cerut trupul lui Isus.
290f2c0077	Pilat a fost surprins să audă că era deja mort; și chemând centurionul, l-a întrebat dacă era mort de mult timp.
290f2d0038	Când a aflat de la centurion, i-a dat trupul lui Iosif.
290f2e00c8	Acesta a cumpărat o pânză de in și, coborându-l, l-a înfășurat în pânză de in și l-a pus într-un mormânt care fusese tăiat într-o stâncă. A rostogolit o piatră la ușa mormântului.
290f2f0044	Maria Magdalena și Maria, mama lui Iose, au văzut unde fusese pus.
291001007f	După ce a trecut Sabatul, Maria Magdalena, Maria, mama lui Iacov, și Salomeea au cumpărat miresme, ca să vină să-L ungă.
2910020060	Foarte devreme, în prima zi a săptămânii, au venit la mormânt, pe când răsărise soarele.
2910030059	Și ziceau între ele: “Cine va rostogoli pentru noi piatra de la ușa mormântului?”
2910040052	căci era foarte mare. Uitându-se în sus, au văzut că piatra era rostogolită.
291005008b	Intrând în mormânt, au văzut un tânăr care ședea în partea dreaptă, îmbrăcat într-o haină albă, și au rămas înmărmuriți.
291006009c	El le-a zis: “Nu vă mirați. Voi îl căutați pe Isus, Nazarineanul, care a fost răstignit. El a înviat! El nu este aici. Vedeți locul unde l-au pus!
291007009d	Dar mergeți și spuneți-le discipolilor săi și lui Petru: “El merge înaintea voastră în Galileea. Acolo îl veți vedea, așa cum v-a spus””.”
2910080086	Ei au ieșit și au fugit de la mormânt, pentru că tremurau și erau înmărmuriți. Nu au spus nimic nimănui, căci le era frică.
29100900dc	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) În prima zi a săptămânii, când S-a sculat dis-de-dimineață, S-a arătat mai întâi Mariei Magdalena, din care scosese șapte demoni.
29100a005b	Ea s-a dus și a anunțat pe cei care fuseseră cu El, în timp ce se jeleau și plângeau.
29100b0045	Când au auzit că era viu și că fusese văzut de ea, nu au crezut.
29100c0070	După aceea, El s-a arătat sub o altă formă, la doi dintre ei, pe când mergeau pe jos, în drum spre țară.
29100d0040	Ei s-au dus și au povestit celorlalți. Nici ei nu i-au crezut.
29100e00c7	După aceea s-a arătat celor unsprezece, pe când ședeau la masă, și i-a mustrat pentru necredința și împietrirea inimii lor, pentru că nu crezuseră pe cei ce-l văzuseră după ce înviase.
29100f0062	El le-a spus: “Mergeți în toată lumea și propovăduiți Vestea cea Bună la toată creația.
2910100055	Cine va crede și va fi botezat va fi mântuit, dar cine nu va crede va fi condamnat.
291011006b	Aceste semne îi vor însoți pe cei care vor crede: în numele meu vor alunga demoni, vor vorbi limbi noi,
29101200a1	vor lua în brațe șerpi și, dacă vor bea ceva mortal, nu le va face niciun rău, își vor pune mâinile peste bolnavi și aceștia se vor însănătoși.”
2910130059	Domnul, după ce le-a vorbit, S-a înălțat la cer și a șezut la dreapta lui Dumnezeu.
291014007b	Ei au ieșit și propovăduiau pretutindeni, Domnul lucrând cu ei și confirmând cuvântul prin semnele care urmau. Amin.
2a00000004	Luca
2a0101005f	Deoarece mulți s-au încumetat să facă o relatare despre cele ce s-au împlinit printre noi,
2a01020068	așa cum ni le-au transmis cei care au fost de la început martori oculari și slujitori ai cuvântului,
2a010300a4	mi s-a părut bine și mie, după ce am urmărit cu exactitate de la început desfășurarea tuturor lucrurilor, să-ți scriu cu rânduială, preamăritule Teofil,
2a01040042	ca să cunoști certitudinea lucrurilor în care ai fost instruit.
2a010500b3	În zilele lui Irod, împăratul Iudeii, era un preot numit Zaharia, din seminția preoțească a lui Abia. El avea o soție dintre fiicele lui Aaron, și numele ei era Elisabeta.
2a01060078	Amândoi erau neprihăniți înaintea lui Dumnezeu, umblând fără vină în toate poruncile și rânduielile Domnului.
2a0107006e	Dar nu au avut niciun copil, pentru că Elisabeta era stearpă, iar ei amândoi erau înaintați în vârstă.
2a01080061	În timp ce el îndeplinea slujba de preot în fața lui Dumnezeu, în ordinea împărțiriisale,
2a0109006d	după obiceiul slujbei de preot, îi revenea sarcina de a intra în templul Domnului și de a aduce tămâie.
2a010a003d	Toată mulțimea poporului se ruga afară la ora tămâierii.
2a010b0062	Și i s-a arătat un înger al Domnului, care stătea în picioare la dreapta altarului tămâiei.
2a010c003c	Zaharia s-a tulburat când l-a văzut și l-a cuprins frica.
2a010d009c	Dar îngerul i-a zis: “Nu te teme, Zaharia, căci cererea ta a fost ascultată. Soția ta, Elisabeta, îți va naște un fiu și îi vei pune numele Ioan.
2a010e0048	Vei avea bucurie și veselie, și mulți se vor bucura de nașterea lui.
2a010f0094	Căci el va fi mare înaintea Domnului și nu va bea nici vin, nici băutură tare. El va fi plin de Duhul Sfânt, încă din pântecele mamei sale.
2a0110004b	El va întoarce pe mulți dintre copiii lui Israel la Domnul Dumnezeul lor.
2a011100eb	El va merge înaintea lui în spiritul și cu puterea lui Ilie, “ca să întoarcă inimile părinților la copii” și pe cei neascultători la înțelepciunea celor drepți, ca să pregătească un popor pregătit pentru Domnul.”
2a0112008e	Zaharia a zis îngerului: “Cum pot fi sigur de aceasta? Pentru că eu sunt bătrân, iar soția mea este foarte înaintată în vârstă.”
2a01130092	Îngerul i-a răspuns: “Eu sunt Gabriel, care stă în fața lui Dumnezeu. Am fost trimis să-ți vorbesc și să-ți aduc această veste bună.
2a011400b5	Iată că vei tăcea și nu vei putea vorbi până în ziua în care se vor întâmpla aceste lucruri, pentru că nu ai crezut cuvintele mele, care se vor împlini la timpul lor.”
2a01150046	Poporul îl aștepta pe Zaharia și se mira că întârzie în templu.
2a01160097	Când a ieșit, nu a putut să le vorbească. Ei și-au dat seama că avusese o viziune în templu. El a continuat să le facă semne și a rămas mut.
2a0117003d	Când s-au împlinit zilele de slujbă, a plecat la casa lui.
2a01180065	După aceste zile, Elisabeta, soția sa, a rămas însărcinată și s-a ascuns cinci luni, spunând:
2a01190077	“Așa a făcut Domnul cu mine în zilele în care s-a uitat la mine, ca să-mi îndepărteze ocara printre oameni.”
2a011a006b	În luna a șasea, îngerul Gabriel a fost trimis de Dumnezeu într-o cetate din Galileea, numită Nazaret,
2a011b0072	la o fecioară care urma să se mărite cu un bărbat numit Iosif, din casa lui David. Numele fecioarei era Maria.
2a011c0080	După ce a intrat, îngerul i-a spus: “Bucură-te, preaiubită! Domnul este cu tine. Binecuvântată ești tu între femei!”
2a011d0075	Dar când l-a văzut, s-a tulburat foarte tare de această vorbă și s-a gândit ce fel de salut ar putea fi acesta.
2a011e0052	Îngerul i-a zis: “Nu te teme, Maria, căci ai găsit bunăvoință la Dumnezeu.
2a011f0068	Iată că vei concepe în pântecele tău și vei da naștere unui fiu și-i vei pune numele “Isus”.
2a01200079	El va fi mare și va fi numit Fiul Celui Preaînalt. Domnul Dumnezeu îi va da scaunul de domnie al tatălui său, David,
2a0121005e	și va domni peste casa lui Iacov pentru totdeauna. Împărăția lui nu va avea sfârșit”.
2a01220044	Maria a zis îngerului: “Cum se poate, dacă eu sunt fecioară?”
2a012300b2	Îngerul i-a răspuns: “Duhul Sfânt va veni peste tine și puterea Celui Preaînalt te va umbri. De aceea și Sfântul care se va naște din tine se va numi Fiul lui Dumnezeu.
2a01240085	Iată că și Elisabeta, ruda ta, a conceput un fiu la bătrânețe; și aceasta este luna a șasea cu cea care era numită stearpă.
2a0125003c	Căci nimic din ceea ce spune Dumnezeu nu este imposibil.”
2a01260073	Și Maria a zis: “Iată roaba Domnului; să mi se facă după cuvântul Tău.” Apoi îngerul a plecat de la ea.
2a01270068	În zilele acelea, Maria s-a sculat și s-a dus în grabă în ținutul muntos, într-o cetate din Iuda,
2a01280039	a intrat în casa lui Zaharia și a salutat pe Elisabeta.
2a01290075	Când Elisabeta a auzit salutul Mariei, copilul a sărit în pântecele ei; și Elisabeta s-a umplut de Duhul Sfânt.
2a012a007c	Ea a strigat cu glas tare și a zis: “Binecuvântată ești tu între femei și binecuvântat este rodul pântecelui tău!
2a012b0050	De ce sunt eu atât de favorizată, încât mama Domnului meu să vină la mine?
2a012c007c	Căci iată că, atunci când vocea salutului tău a ajuns la urechile mele, copilul a sărit de bucurie în pântecele meu!
2a012d0065	Binecuvântată este cea care a crezut, pentru că se va împlini ceea ce i s-a spus de la Domnul!”
2a012e0033	Maria a spus, “Sufletul meu slăvește pe Domnul.
2a012f0035	Duhul meu s-a bucurat în Dumnezeu, Mântuitorul meu,
2a0130007d	Căci a privit la starea umilă a robului Său. Căci iată, de acum înainte, toate generațiile mă vor numi binecuvântat.
2a01310055	Căci Cel ce este puternic a făcut lucruri mari pentru mine. Sfânt este numele lui.
2a0132004d	Îndurarea Lui este din generație în generație pentru cei ce se tem de El.
2a01330067	A dat dovadă de forță cu brațul. El i-a împrăștiat pe cei mândri în închipuirea inimilor lor.
2a0134004f	El a dat jos căpeteniile de pe tronurile lor, și i-a înălțat pe cei umili.
2a01350067	El a umplut de bunătăți pe cei flămânzi. El i-a trimis pe cei bogați la plimbare cu mâna goală.
2a01360049	El a ajutat pe Israel, robul Său, ca să-și aducă aminte de îndurare,
2a01370052	așa cum a vorbit părinților noștri, lui Avraam și urmașilor lui în veci.”
2a01380042	Maria a stat cu ea vreo trei luni și apoi s-a întors la casa ei.
2a01390051	Și s-a împlinit vremea când Elisabeta trebuia să nască și a născut un fiu.
2a013a006b	Vecinii și rudele ei au auzit că Domnul și-a mărit mila față de ea și s-au bucurat împreună cu ea.
2a013b0074	În ziua a opta, au venit să taie împrejur copilul; și voiau să-l numească Zaharia, după numele tatălui său.
2a013c0037	Mama lui a răspuns: “Nu așa, ci se va numi Ioan”.
2a013d0050	Ei i-au zis: “Nu este nimeni dintre rudele tale care să se numească așa.”
2a013e003a	Și i-au făcut semne tatălui său, cum voia să-l cheme.
2a013f005c	A cerut o tăbliță de scris și a scris: “Numele Lui este Ioan”. Cu toții s-au mirat.
2a0140005f	Gura i s-a deschis îndată și limba i s-a eliberat și a vorbit, binecuvântând pe Dumnezeu.
2a01410085	Frica a cuprins pe toți cei care locuiau în jurul lor și toate aceste cuvinte au fost povestite în tot ținutul muntos al Iudeii.
2a0142007f	Toți cei care le auzeau le strângeau în inima lor, spunând: “Ce va fi atunci copilul acesta?” Mâna Domnului era cu el.
2a0143004a	Zaharia, tatăl său, s-a umplut de Duhul Sfânt și a proorocit, zicând,
2a01440070	“Binecuvântat să fie Domnul, Dumnezeul lui Israel, pentru că a vizitat și a răscumpărat pe poporul Său;
2a0145004a	și a ridicat pentru noi un corn de mântuire în casa robului Său David.
2a01460050	(așa cum a vorbit prin gura sfinților Săi prooroci care au fost din vechime),
2a0147004c	mântuire de vrăjmașii noștri și din mâna tuturor celor care ne urăsc;
2a01480065	pentru a arăta milă față de părinții noștri, să ne aducem aminte de legământul Său sfânt,
2a0149003a	jurământul pe care l-a făcut lui Avraam, tatăl nostru,
2a014a006f	să ne îngăduie ca noi, izbăviți din mâna vrăjmașilor noștri, ar trebui să-l slujească fără teamă,
2a014b004b	în sfințenie și dreptate înaintea Lui în toate zilele vieții noastre.
2a014c0084	Și tu, copile, vei fi numit profet al Celui Preaînalt; căci tu vei merge înaintea feței Domnului, ca să-i pregătești căile,
2a014d0053	pentru a da cunoștință de mântuire poporului Său prin iertarea păcatelor lor,
2a014e005b	datorită înduratei milostiviri a Dumnezeului nostru, prin care ne va vizita zorii de sus,
2a014f0076	să lumineze pe cei ce stau în întuneric și în umbra morții; să ne călăuzească picioarele pe calea păcii.”
2a01500078	Copilul creștea și se întărea în duh și a stat în pustie până în ziua în care a apărut în fața lui Israel.
2a0201006a	În vremea aceea, Cezar Augustus a dat o poruncă prin care a poruncit ca toată lumea să fie înscrisă.
2a02020052	Aceasta a fost prima înscriere făcută când Quirinius era guvernator al Siriei.
2a02030038	Toți s-au dus să se înscrie, fiecare în cetatea lui.
2a020400a6	Și Iosif s-a urcat din Galileea, din cetatea Nazaret, în Iudeea, în cetatea lui David, care se numește Betleem, pentru că era din casa și din familia lui David,
2a0205007d	ca să se înscrie împreună cu Maria, care, fiind însărcinată, era făgăduită ca soție, pentru a se căsători cu el.
2a02060041	Pe când erau ei acolo, a venit ziua în care trebuia să nască.
2a02070097	Ea a născut pe primul ei fiu născut. L-a înfășurat în benzi de pânză și l-a culcat într-o iesle, pentru că nu mai era loc pentru ei în han.
2a02080066	În același ținut erau niște păstori care stăteau la câmp și vegheau noaptea asupra turmei lor.
2a02090076	Iată că un înger al Domnului stătea lângă ei și slava Domnului strălucea în jurul lor, și ei s-au îngrozit.
2a020a007c	Îngerul le-a zis: “Nu vă temeți, căci iată că vă aduc o veste bună de mare bucurie, care va fi pentru tot poporul.
2a020b005d	Căci vi s-a născut astăzi, în cetatea lui David, un Mântuitor, care este Hristos Domnul.
2a020c007e	Iată semnul care vă este dat: veți găsi un prunc înfășurat în fâșii de pânză, culcat într-o iesle de mâncare.”
2a020d006b	Deodată, a fost împreună cu îngerul o mulțime de oștiri cerești care lăudau pe Dumnezeu și spuneau
2a020e0066	“Slavă lui Dumnezeu în locurile prea înalte, pe pământ pace, bunăvoință față de oameni.”
2a020f00b2	Când îngerii au plecat de la ei în cer, păstorii și-au zis unul altuia: “Să mergem acum la Betleem, ca să vedem ce s-a întâmplat și ce ne-a făcut cunoscut Domnul.”
2a0210005c	Au venit în grabă și i-au găsit pe Maria și pe Iosif, iar pruncul era culcat în iesle.
2a0211006d	Când l-au văzut, au făcut să se răspândească pe larg cuvântul care le fusese spus despre acest copil.
2a02120042	Toți cei care auzeau se mirau de cele ce le spuseseră păstorii.
2a02130046	Dar Maria a păstrat toate aceste cuvinte, meditându-le în inima ei.
2a02140092	Păstorii s-au întors, slăvind și lăudând pe Dumnezeu pentru toate lucrurile pe care le auziseră și le văzuseră, așa cum le fusese spus.
2a021500a8	După ce s-au împlinit cele opt zile pentru tăierea împrejur a copilului, i s-a pus numele de Isus, care fusese dat de înger înainte de a fi conceput în pântece.
2a0216007d	După ce s-au împlinit zilele de curățire a lor, după legea lui Moise, l-au adus la Ierusalim, ca să-l prezinte Domnului
2a0217007c	(după cum este scris în legea Domnului: “Orice bărbat care va deschide pântecele va fi numit sfânt pentru Domnul”),
2a02180076	și să aducă jertfă, după cum este scris în legea Domnului: “O pereche de turturele sau doi pui de porumbel”.
2a021900a6	Iată, era un om în Ierusalim, al cărui nume era Simeon. Omul acesta era neprihănit și evlavios, căutând mângâierea lui Israel, și Duhul Sfânt era peste el.
2a021a006d	I se descoperise prin Duhul Sfânt că nu avea să vadă moartea înainte de a-L vedea pe Hristosul Domnului.
2a021b0082	El a venit în Duhul Sfânt în templu. Când părinții au adus copilul Isus, ca să facă cu privire la el după obiceiul legii,
2a021c003f	el l-a primit în brațe, a binecuvântat pe Dumnezeu și a zis
2a021d004c	“Acum, Stăpâne, dai drumul robului tău, după cuvântul Tău, în pace;
2a021e0028	Căci ochii mei au văzut mântuirea Ta,
2a021f003c	pe care ai pregătit-o înaintea ochilor tuturor popoarelor;
2a0220004e	ca o lumină de revelație pentru neamuri, și slava poporului Tău Israel.”
2a0221003b	Iosif și mama sa se mirau de cele ce se spuneau despre el.
2a022200ba	Simeon i-a binecuvântat și a zis mamei sale, Maria: “Iată, copilul acesta este rânduit pentru căderea și ridicarea multora în Israel și pentru un semn despre care se vorbește.
2a02230062	Da, o sabie va străpunge prin sufletul vostru, ca să fie descoperite gândurile multor inimi.”
2a02240099	Era o proorociță, Ana, fiica lui Fanuel, din seminția lui Așer (era de o vârstă înaintată, căci trăise cu un bărbat șapte ani de la feciorie,
2a02250087	și era văduvă de vreo optzeci și patru de ani), care nu se depărta de templu, închinându-se zi și noapte cu post și cu cereri.
2a0226008d	Subind chiar în ceasul acela, ea aducea mulțumiri Domnului și vorbea despre el tuturor celor care așteptau răscumpărarea în Ierusalim.
2a0227006b	După ce au împlinit tot ce era după Legea Domnului, s-au întors în Galileea, în cetatea lor, Nazaret.
2a02280070	Copilul creștea și se întărea în spirit, fiind plin de înțelepciune, și harul lui Dumnezeu era peste el.
2a02290051	Părinții lui se duceau în fiecare an la Ierusalim, la sărbătoarea Paștelui.
2a022a0062	Când a împlinit vârsta de doisprezece ani, s-au suit la Ierusalim, după obiceiul sărbătorii;
2a022b008a	și, după ce au împlinit zilele, pe când se întorceau, băiatul Isus a rămas în Ierusalim. Iosif și mama lui nu știau acest lucru,
2a022c0075	dar, presupunând că este în companie, au plecat o zi de drum; și l-au căutat printre rudele și cunoscuții lor.
2a022d0041	Cum nu l-au găsit, s-au întors la Ierusalim, în căutarea lui.
2a022e0090	După trei zile, l-au găsit în templu, stând în mijlocul învățătorilor, atât pentru a-i asculta, cât și pentru a le pune întrebări.
2a022f0053	Toți cei care îl ascultau erau uimiți de înțelegerea și de răspunsurile lui.
2a023000a6	Când l-au văzut, au rămas uimiți, iar mama lui i-a zis: “Fiule, de ce te-ai purtat așa cu noi? Iată că tatăl tău și cu mine te așteptam cu nerăbdare”.
2a02310062	El le-a zis: “Pentru ce Mă căutați? Nu știați că trebuie să fiu în casa Tatălui Meu?”
2a02320031	Ei nu au înțeles cuvântul pe care li-l spunea.
2a02330073	Și, coborând cu ei, a venit la Nazaret. El era supus lor, iar mama lui păstra în inima ei toate aceste cuvinte.
2a0234006d	Și Isus creștea în înțelepciune și în statură și în favoare înaintea lui Dumnezeu și a oamenilor.
2a030100f1	În al cincisprezecelea an al domniei lui Tiberiu Cezar, când Ponțiu Pilat era guvernator al Iudeii, Irod era tetrarh al Galileii, iar fratele său Filip era tetrarh al ținutului Ituraei și al Traconitei și Lisanias tetrarh al Abilenei,
2a03020076	în timpul marii preoții a lui Ana și Caiafa, cuvântul lui Dumnezeu a venit lui Ioan, fiul lui Zaharia, în pustie.
2a0303006f	El a venit în toată regiunea din jurul Iordanului, predicând botezul pocăinței pentru iertarea păcatelor.
2a0304009b	După cum este scris în cartea cuvintelor profetului Isaia, “Glasul cuiva care strigă în pustiu, 'Pregătiți calea Domnului. Fă-i cărările drepte.
2a03050083	Orice vale va fi umplută. Fiecare munte și deal va fi doborât. Cele strâmbe vor deveni drepte, și căile aspre să fie netede.
2a03060034	Toată făptura va vedea mântuirea lui Dumnezeu.”
2a0307008a	De aceea a zis mulțimilor care ieșeau să fie botezate de El: “Neam de vipere, cine v-a pus în gardă să fugiți de mânia viitoare?
2a030800cb	De aceea, dați roade demne de pocăință și nu începeți să spuneți între voi: “Avem ca tată pe Avraam!” Căci vă spun că Dumnezeu poate să-i ridice lui Avraam copii din aceste pietre!”.
2a0309008d	Chiar și acum toporul se află la rădăcina copacilor. Așadar, orice copac care nu produce fructe bune este tăiat și aruncat în foc.”
2a030a003a	Și mulțimile L-au întrebat: “Ce trebuie să facem?”
2a030b0073	El le-a răspuns: “Cine are două haine, să le dea celui care nu are. Cine are de mâncare, să facă la fel.”
2a030c0063	Au venit și vameșii să fie botezați și I-au zis: “Învățătorule, ce trebuie să facem?”
2a030d0045	El le-a zis: “Nu culegeți mai mult decât ceea ce vi se cuvine”.
2a030e00d6	Și soldații l-au întrebat și ei: “Și noi? Ce trebuie să facem noi?” El le-a spus: “Nu luați de la nimeni prin violență și nu acuzați pe nimeni pe nedrept. Fiți mulțumiți cu salariile voastre”.
2a030f0075	Pe când norodul era în așteptare și toți oamenii se gândeau în inimile lor dacă nu cumva Ioan este Hristosul,
2a031000c3	Ioan le-a răspuns tuturor: “Eu vă botez cu apă, dar vine Cel mai puternic decât mine, căruia nu sunt vrednic să-i dezleg cureaua sandalelor. El vă va boteza în Duhul Sfânt și în foc.
2a03110088	În mâna Lui este vânturatorul, va curăța bine aria și va strânge grâul în hambarul Său, dar va arde neghina cu foc nestins.”
2a03120048	Apoi, cu multe alte îndemnuri, propovăduia poporului vestea cea bună.
2a0313007f	Dar Irod tetrarhul, fiind mustrat de el pentru Irodiada, soția fratelui său, și pentru toate relele pe care le făcuse Irod,
2a03140049	a adăugat la toate acestea și aceasta: a închis pe Ioan în temniță.
2a03150053	Și când tot poporul era botezat, Isus, botezat și el, se ruga. Cerul s-a deschis
2a031600af	și Duhul Sfânt s-a pogorât peste el în chip trupesc, ca un porumbel, iar din cer s-a auzit un glas care zicea: “Tu ești Fiul Meu preaiubit. În tine sunt binevoitor”.
2a0317007c	Isus însuși, când a început să învețe, era în vârstă de vreo treizeci de ani, fiind fiul lui Iosif, fiul lui Heli,
2a03180050	fiul lui Matei, fiul lui Levi, fiul lui Melchi, fiul lui Jannai, fiul lui Iosif,
2a0319004f	fiul lui Matatia, fiul lui Amos, fiul lui Naum, fiul lui Esli, fiul lui Naggai,
2a031a0050	fiul lui Maat, fiul lui Matatia, fiul lui Semein, fiul lui Iosif, fiul lui Iuda,
2a031b0058	fiul lui Joanan, fiul lui Reșea, fiul lui Zorobabel, fiul lui Șealtiel, fiul lui Neri,
2a031c004e	fiul lui Melchi, fiul lui Addi, fiul lui Cosam, fiul lui Elmodam, fiul lui Er,
2a031d0050	fiul lui Iosif, fiul lui Eliezer, fiul lui Jorim, fiul lui Matei, fiul lui Levi,
2a031e0051	fiul lui Simeon, fiul lui Iuda, fiul lui Iosif, fiul lui Iona, fiul lui Eliachim,
2a031f0050	fiul lui Melea, fiul lui Menan, fiul lui Matata, fiul lui Natan, fiul lui David,
2a0320004f	fiul lui Isai, fiul lui Obed, fiul lui Boaz, fiul lui Salmon, fiul lui Nahșon,
2a03210052	fiul lui Aminadab, fiul lui Aram, fiul lui Hezron, fiul lui Pereț, fiul lui Iuda,
2a03220050	fiul lui Iacov, fiul lui Isaac, fiul lui Avraam, fiul lui Terah, fiul lui Nahor,
2a0323004d	fiul lui Serug, fiul lui Reu, fiul lui Peleg, fiul lui Eber, fiul lui Șelah,
2a0324004e	fiul lui Cainan, fiul lui Arfaxad, fiul lui Sem, fiul lui Noe, fiul lui Lameh,
2a03250058	fiul lui Matusalem, fiul lui Enoh, fiul lui Iared, fiul lui Mahalaleel, fiul lui Cainan,
2a0326003e	fiul lui Enos, fiul lui Set, fiul lui Adam, fiul lui Dumnezeu.
2a04010057	Isus, plin de Duhul Sfânt, s-a întors de la Iordan și a fost dus de Duhul în pustiu
2a04020091	timp de patruzeci de zile, fiind ispitit de diavol. În acele zile nu a mâncat nimic. După aceea, când acestea s-au încheiat, i-a fost foame.
2a04030069	Diavolul I-a zis: “Dacă ești Fiul lui Dumnezeu, poruncește ca piatra aceasta să se facă pâine.”
2a04040071	Isus i-a răspuns: “Este scris: “Nu numai cu pâine va trăi omul, ci cu orice cuvânt al lui Dumnezeu.””
2a04050060	Diavolul, ducându-l pe un munte înalt, i-a arătat într-o clipă toate împărățiile lumii.
2a0406007d	Diavolul i-a zis: “Îți voi da toate aceste autorități și slava lor, căci mi-au fost date mie și le dau oricui vreau.
2a0407004f	Așadar, dacă te vei închina înaintea mea, toate acestea vor fi ale tale.”
2a04080090	Isus i-a răspuns: “Du-te de aici, Satano! Căci este scris: “Să te închini Domnului, Dumnezeului tău, și numai lui să-i slujești!”.
2a0409007d	L-a dus la Ierusalim, l-a așezat pe vârful templului și i-a zis: “Dacă ești Fiul lui Dumnezeu, aruncă-te jos de aici,
2a040a005b	căci este scris, “El va pune pe îngerii Săi să vă păzească, ca să vă păzească.
2a040b005d	și, 'Pe mâinile lor te vor purta, ca nu cumva să-ți lovești piciorul de o piatră.””
2a040c005e	Isus, răspunzând, i-a zis: “S-a spus: “Să nu ispitești pe Domnul Dumnezeul tău”.”
2a040d0050	După ce a ispitit pe toți, diavolul a plecat de la el până la o altă dată.
2a040e0077	Isus s-a întors în Galileea cu puterea Duhului Sfânt, și vestea despre El s-a răspândit în tot ținutul din jur.
2a040f0038	El învăța în sinagogile lor, fiind slăvit de toți.
