2800000009	San Mateo
2a0e0c00f2	Y dijo tambien el que le habia convidado: Cuando haces comida ó cena, ^ no llames á tus amigos, ni á tus hermanos, ni á tus parientes, ni á [tus] vecinos ricos; porque tambien ellos no te vuelvan á convidar, y te sea hecha compensacion.
2a0e0d0052	Mas cuando haces banquete, llama á los pobres, los mancos, los cojos, los ciegos,
2a0e0e0073	Y serás bienaventurado; porque no te pueden retribuir: mas te será recompensado en la resurreccion de los justos.
2a0e0f008a	Y oyendo esto uno de los que juntamente estaban sentados á la mesa, le dijo: Bienaventurado el que comerá pan en el reino de los cielos.
2a0e10004a	El entónces le dijo: Un hombre hizo una grande cena, y convido á muchos.
2a0e11006a	Y á la hora de la cena envió á su siervo á decir á los convidados: Venid, que ya todo esta aparejado.
2a0e120092	Y comenzaron todos á una á excusarse. El primero le dijo: He comprado una hacienda, y necesito salir, y verla; te ruego que me des por excusado.
2a0e130069	Y el otro dijo: He comprado cinco yuntas de bueyes, y voy á probarlos: ruégote que me des por excusado.
2a0e140039	Y el otro dijo: Acabo de casarme y por tanto no puedo ir.
2a0e1500e6	Y vuelto el siervo, hizo saber estas cosas á su señor. Entónces enojado el padre de la familia, dijo á su siervo: Vé presto por las plazas, y por las calles de la ciudad, y mete acá los pobres, los mancos, y cojos, y ciegos.
2a0e160042	Y dijo el siervo: Señor, hecho es como mandaste, y aun hay lugar.
2a0e170078	Y dijo el señor al siervo: Vé por los caminos y por los vallados, y fuérza[los] á entrar, para que se llene mi casa.
2a0e180055	Porque os digo que ninguno de aquellos hombres que fueron llamados, gustará mi cena.
2a0e190036	Y muchas gentes iban con él; y volviéndose les dijo:
2a0e1a0099	Si alguno viene á mí, y no aborrece á su padre, y madre, y mujer, é hijos, y hermanos, y hermanas, y aun tambien su vida, no puede ser mi discípulo.
2a0e1b0053	Y cualquiera que no trae su cruz y viene en pos de mí, no puede ser mi discípulo.
2a0e1c008b	Porque ¿cuál de vosotros, queriendo edificar una torre, no cuenta primero sentado los gastos, si tiene [lo que necesita] para acabar[la?]
2a0e1d0083	Porque despues que haya puesto el fundamento, y no pueda acabar[la,] todos los que [lo] vieren, no comiencen á hacer burla de él,
2a0e1e003d	Diciendo: Este hombre comenzó á edificar, y no pudo acabar.
2a0e1f00b0	¿O cuál rey, habiendo de ir á hacer guerra contra otro rey, sentándose primero, no consulta si puede salir al encuentro con diez mil al que viene contra él con veinte mil?
2a0e20005b	De otra manera, cuando aun el otro está léjos, le ruega por la paz, enviándole embajada.
2a0e21006a	Así pues cualquiera de vosotros que no renuncia á todas las cosas que posee, no puede ser mi discípulo.
2a0e22004c	Buena es la sal; mas si aun la sal fuere desvanecida ¿Con qué se adobará?
2a0e230063	Ni para la tierra, ni para el muladar es buena; fuera la arrojan. Quien tiene oidos para oir, oiga.
2a0f01003f	Y SE llegaban á él todos los publicanos y pecadores á oirle.
2a0f020064	Y murmuraban los Fariséos y los escribas, diciendo: Este á los pecadores recibe, y con ellos come.
2a0f03002b	Y él les propuso esta parábola, diciendo:
2a0f0400a5	¿Qué hombre de vosotros, teniendo cien ovejas, si perdiere una de ellas, no deja las noventa y nueve en el desierto, y va á la que se perdió, hasta que la halle?
2a0f05002e	Y hallada, [la] pone sobre sus hombros gozoso;
2a0f06008a	Y viniendo á casa junta á los amigos y á los vecinos, diciéndoles: Dadme el parabien: porque he hallado mi oveja que se habia perdido.
2a0f070092	Os digo, que así habrá [más] gozo en el cielo de un pecador que se arrepiente, que de noventa y nueve justos, que no necesitan arrepentimiento.
2a0f08008e	¿O qué mujer que tiene diez dracmas, si perdiere una dracma, no enciende el candil y barre la casa. y busca con diligencia hasta hallar[la?]
2a0f09008a	Y cuando [la] hubiere hallado, junta las amigas y las vecinas, diciendo: Dadme el parabien, porque he hallado la dracma que habia perdido.
2a0f0a005b	Así os digo que hay gozo delante de los ángeles de Dios por un pecador que se arrepiente.
2a0f0b0022	Y dijo: Un hombre tenia dos hijos;
2a0f0c0081	Y el menor de ellos dijo á su padre: Padre, dáme la parte de la hacienda que [me] pertenece: y [él] les repartió la hacienda.
2a0f0d009a	Y no muchos dias despues, juntándolo todo el hijo menor, partió lejos á una provincia apartada, y allí desperdició su hacienda viviendo perdidamente.
2a0f0e0066	Y cuando todo lo hubo malgastado, vino una grande hambre en aquella provincia, y comenzóle á faltar.
2a0f0f0081	Y fué, y se llegó á uno de los ciudadanos de aquella tierra, el cual le envió á su hacienda para que apacentase los puercos.
2a0f10005f	Y deseaba henchir su vientre de las algarrobas que comian los puercos; mas nadie se [las] daba.
2a0f11007b	Y volviendo en sí, dijo: ¡Cuántos jornaleros en casa de mi padre tienen abundancia de pan, y yo aquí perezco de hambre!
2a0f12005f	Me levantaré, é iré á mi padre, y le diré: Padre, he pecado contra el cielo, y contra tí;
2a0f13004c	Ya no soy digno de ser llamado tu hijo; hazme como á uno de tus jornaleros.
2a0f14009f	Y levantándose, vino á su padre. Y como aun estuviese lejos, viólo su padre, y fué movido á misericordia, y corrió, y echóse sobre su cuello, y besóle.
2a0f15006c	Y el hijo le dijo: Padre, he pecado contra el cielo, y contra tí, y ya no soy digno de ser llamado tu hijo.
2a0f16007f	Mas el padre dijo á sus siervos: Sacad el principal vestido, y vestidle, y poned un anillo en su mano, y zapatos en sus piés;
2a0f170044	Y traed el becerro grueso, y matad[lo,] y comamos, y hagamos fiesta.
2a0f18006b	Porque este mi hijo muerto era, y ha revivido; habíase perdido, y es hallado. Y comenzaron á regocijarse.
2a0f190071	Y su hijo el mayor estaba en el campo; el cual como vino, y llegó cerca de casa, oyó la sinfonía y las danzas;
2a0f1a003c	Y llamando uno de los criados, preguntóle qué era aquello.
2a0f1b0068	Y él le dijo: Tu hermano ha venido; y tu padre ha muerto el becerro grueso, por haberle recibido salvo.
2a0f1c0064	Entónces [él] se enojó, y no queria entrar. Salió por tanto su padre, y le rogaba [que entrase.]
2a0f1d00ba	Mas él respondiendo, dijo al padre: Hé aquí, tantos años [há que] te sirvo, no habiendo traspasado jamás tu mandamiento, y nunca me has dado un cabrito para gozarme con mis amigos.
2a0f1e006d	Mas cuando vino este tu hijo, que ha consumido tu hacienda con rameras has matado para él el becerro grueso.
2a0f1f0054	El entónces le dijo: Hijo, tú siempre estás conmigo, y todas mis cosas son tuyas.
2a0f20007e	Mas era menester hacer fiesta y holgar[nos,] porque este tu hermano muerto era, y ha revivido; habíase perdido, y es hallado.
2a10010095	Y DIJO tambien á sus discípulos; Habia un hombre rico, el cual tenia un mayordomo; y este fué acusado delante de él como disipador de sus bienes.
2a10020081	Y lo llamó, y le dijo: ¿Qué [es] esto [que] oigo de tí? da cuenta de tu mayordomía, porque ya no podrás más ser mayordomo.
2a1003008c	Entónces el mayordomo dijo dentro de sí: ¿Qué haré? que mi señor me quita la mayordomía. Cavar, no puedo, mendigar, tengo vergüenza.
2a10040060	[Yo] sé lo que haré, para que cuando fuere quitado de la mayordomía, me reciban en sus casas.
2a10050063	Y llamando á cada uno de los deudores de su señor, dijo al primero: ¿Cuánto debes á mi señor?
2a1006006c	Y él dijo: Cien barriles de aceite. Y le dijo: Toma tu obligacion, y siéntate presto, y escribe cincuenta.
2a10070086	Y despues dijo á otro: ¿Y tú, cuánto debes? Y él dijo: Cien coros de trigo. Y él le dijo: Toma tu obligacion, y escribe ochenta.
2a10080099	Y alabó el señor al mayordomo malo por haber hecho discretamente; porque los hijos de este siglo son en su generacion mas sagaces que los hijos de luz.
2a10090075	Y yo os digo: Hacéos amigos de las riquezas de maldad, para que cuando faltareis, os reciban en las moradas eternas.
2a100a007c	El que es fiel en lo muy poco, tambien en lo más es fiel: y el que en lo muy poco es injusto, tambien en lo mas es injusto.
2a100b0055	Pues si en las malas riquezas no fuisteis fieles, ¿quién os confiará lo verdadero?
2a100c0049	Y si en lo ajeno no fuisteis fieles, ¿quién os dará lo que es vuestro?
2a100d00b8	Ningun siervo puede servir á dos señores; porque ó aborrecerá al uno y amará al otro; ó se allegará al uno, y menospreciará al otro. No podeis servir á Dios y á las riquezas.
2a100e005d	Y oian tambien todas estas cosas los Fariséos, los cuales eran avaros, y se burlaban de él.
2a100f00d1	Y díjoles: Vosotros sois los que os justificais á vosotros mismos delante de los hombres; mas Dios conoce vuestros corazones: porque lo que los hombres [tienen] por sublime, delante de Dios [es] abominacion.
2a1010007d	La ley y los profetas hasta Juan: desde entónces el reino de Dios es anunciado, y quien quiera se esfuerza á entrar en él.
2a10110059	Empero más fácil cosa es pasar el cielo y la tierra, que frustrarse un tilde de la ley.
2a10120079	Cualquiera que repudia á su mujer, y se casa con otra, adultera: y el que se casa con la repudiada del marido, adultera.
2a1013006a	Habia un hombre rico, que se vestia de púrpura y de lino fino, y hacia cada dia banquete con esplendidez:
2a10140065	Habia tambien un mendigo llamado Lázaro, el cual estaba echado á la puerta de él, lleno de llagas,
2a10150071	Y deseando hartarse de las migajas que caian de la mesa del rico; y aun los perros venian y le lamian las llagas.
2a10160083	Y aconteció que murió el mendigo, y fué llevado por los ángeles al seno de Abraham: y murió tambien el rico, y fué sepultado.
2a1017006e	Y en el infierno alzó sus ojos estando en los tormentos, y vió á Abraham de lejos, y á Lázaro en su seno.
2a101800bd	Entónces él dando voces dijo: Padre Abraham, ten misericordia de mí, y envia á Lázaro que moje la punta de su dedo en agua, y refresque mi lengua; porque soy atormentado en esta llama.
2a10190097	Y díjole Abraham: Hijo, acuérdate que recibiste tus bienes en tu vida, y Lázaro tambien males; mas ahora este es consolado aquí, y tú atormentado.
2a101a00a9	Y además de todo esto, una grande sima está constituida entre nosotros y vosotros, que los que quisieren pasar de aquí á vosotros, no pueden, ni de allá pasar acá.
2a101b0044	Y dijo: Ruégote, pues, padre, que le envies á la casa de mi padre;
2a101c006f	Porque tengo cinco hermanos; para que les testifique, porque no vengan ellos tambien á este lugar de tormento.
2a101d0041	Y Abraham le dice: A Moisés y á los profetas tienen; óiganlos.
2a101e0064	El entónces dijo: No, padre Abraham: mas si alguno fuere á ellos de los muertos, se arrepentirán.
2a101f007e	Mas [Abraham] le dijo: Si no oyen á Moisés y á los profetas, tampoco se persuadirán, si alguno se levantare de os muertos.
2a11010065	Y A sus discípulos dice: Imposible es que no vengan escándalos; mas ¡ay de aquel por quien vienen!
2a11020082	Mejor le fuera, si le pusiesen al cuello una piedra de molino, y le lanzasen en el mar, que escandalizar uno de estos pequeñitos.
2a11030063	Mirad por vosotros: Si pecare contra tí tu hermano, repréndelo; y si se arrepintiere, perdónale.
2a11040072	Y si siete veces al dia pecare contra tí, y siete veces al dia se volviere á tí, diciendo: Pésame; perdónale.
2a11050037	Y dijeron los apóstoles al Señor: Auméntanos la fé.
2a11060096	Entónces el Señor dijo: Si tuvieseis fé como un grano de mostaza, diréis á este sicómoro: Desarráigate, y plántate en el mar; y os obedecerá.
2a1107007c	¿Y quién de vosotros tiene un siervo que ara ó apacienta, que vuelto del campo le diga luego: Pasa, siéntate á la mesa?
2a11080084	¿No le dice ántes: Adereza que cene, y arremángate, y sírveme hasta que haya comido y bebido; y despues de esto come tú y bebe?
2a1109004f	¿Da gracias al siervo porque hizo lo que le habia sido mandado? Pienso que no.
2a110a008f	Así tambien vosotros, cuando hubiereis hecho todo lo que os es mandado, decid: Siervos inútiles somos; porque lo que debiamos hacer, hicimos.
2a110b0054	Y aconteció que yendo él á Jerusalem, pasaba por medio de Samaria, y de Galiléa.
2a110c006a	Y entrando en una aldéa, viniéronle al encuentro diez hombres leprosos, los cuales se pararon de léjos,
2a110d0048	Y alzaron la voz diciendo: Jesus, Maestro, ten misericordia de nosotros.
2a110e0070	Y como él [los] vió, les dijo: Id, mostráos á los sacerdotes. Y aconteció, que yendo ellos, fueron limpios.
2a110f0061	Entónces uno de ellos como se vió que estaba limpio, volvió, glorificando á Dios á gran voz;
2a11100053	Y derribóse sobre el rostro á sus piés, dándole gracias: y este era Samaritano.
2a1111005f	Y respondiendo Jesus, dijo: ¿No son diez los que fueron limpios? ¿Y los nueve donde [están?]
2a11120046	¿No hubo quien volviese y diese gloria á Dios, sino este extranjero?
2a11130033	Y díjole: Levántate, véte; tu fé te ha salvado.
2a1114008b	Y preguntado por los Fariséos cuando habia de venir el reino de Dios, les respondió, y dijo: El reino de Dios no vendrá con advertencia;
2a1115005f	Ni dirán: Hélo aquí, ó hélo allí; porque hé aquí el reino de Dios entre vosotros está.
2a11160078	Y dijo á sus discípulos: Tiempo vendrá, cuando desearéis ver uno de los dias del Hijo del hombre, y no [lo] veréis.
2a1117003e	Y os dirán: Hélo aquí, ó hélo allí. No vayais ni sigais.
2a111800a9	Porque como el relámpago relampagueando desde una parte debajo del cielo, resplandece hasta [la otra] debajo del cielo, así tambien será el Hijo del hombre en su dia.
2a1119004f	Mas primero es necesario que padezca mucho, y sea reprobado de esta generacion.
2a111a0054	Y como fué en los dias de Noé, así tambien será en los dias del Hijo del hombre.
2a111b0095	Comian, bebian, [los hombres] tomaban mujeres, y las mujeres maridos hasta el dia que entró Noé en el arca y vino el diluvio, y destruyó á todos.
2a111c0069	Asimismo tambien como fué en los dias de Lot: comian, bebian, compraban, vendian, plantaban, edificaban:
2a111d005c	Mas el dia que Lot salió de Sodoma, llovió del cielo fuego y azufre, y destruyó á todos:
2a111e0041	Como esto será el dia en que el Hijo del hombre se manifestará.
2a111f008f	En aquel dia, el que estuviere en el terrado, y sus alhajas en casa, no descienda á tomarlas: y el que en el campo, asimismo no vuelva atrás.
2a1120001d	Acordáos de la mujer de Lot.
2a11210060	Cualquiera que procurare salvar su vida, la perderá; y cualquiera que la perdiere, la salvará.
2a11220063	Os digo que en aquella noche estarán dos en una cama; el uno será tomado, y el otro será dejado.
2a1123004c	Dos mujeres estarán moliendo juntas; la una será tomada, y la otra dejada.
2a11240040	Dos estarán en el campo; el uno será tomado, y el otro dejado.
2a11250081	Y respondiendo, le dicen: ¿Dónde, Señor? Y él les dijo: Donde [estuviere] el cuerpo, allá se juntarán tambien las águilas.
2a12010057	Y PROPÚSOLES tambien una parábola sobre que es necesario orar siempre, y no desmayar.
2a12020055	Diciendo: Habia un juez en una ciudad, el cual ni temia á Dios, ni respetaba hombre.
2a1203006b	Habia tambien en aquella ciudad una viuda, la cual venia á él, diciendo: Hazme justicia de mi adversario.
2a12040081	Pero él no quiso por [algun] tiempo: mas despues de esto dijo dentro de sí: Aunque ni temo á Dios, ni tengo respeto á hombre;
2a1205005e	Todavia porque esta viuda me es molesta, le haré justicia, porque al fin no venga y me muela.
2a12060033	Y dijo el Señor: Oíd lo que dice el juez injusto.
2a12070072	¿Y Dios no hará justicia á sus escogidos, que claman á él dia y noche, aunque sea longánime acerca de ellos?
2a12080069	Os digo que los defenderá presto. Empero cuando el Hijo del hombre viniere, ¿hallará fé en la tierra?
2a12090067	Y dijo tambien á unos que confiaban de sí como justos, y menospreciaban á los otros, esta parábola:
2a120a004d	Dos hombres subieron al templo á orar; el uno Fariséo, y el otro publicano.
2a120b00a8	El Fariséo, en pié, oraba consigo de esta manera: Dios, te doy gracias, que no soy como los otros hombres, ladrones, injustos, adúlteros, ni aun como este publicano.
2a120c003f	Ayuno dos veces en la semana; doy diezmos de todo lo que poseo.
2a120d0090	Mas el publicano estando lejos, no queria ni aun alzar los ojos al cielo; sino que heria su pecho, diciendo: Dios, sé propicio á mí, pecador.
2a120e00a0	Os digo que éste descendió á su casa [más] justificado que el otro: porque cualquiera que se ensalza, será humillado, y el que se humilla, será ensalzado.
2a120f0061	Y traian á él los niños para que los tocase; lo cual viéndo[lo] los discípulos, les reñian.
2a12100074	Mas Jesus llamándolos, dijo: Dejad los niños venir á mí, y no los impidais, porque de tales es el reino de Dios.
2a12110066	De cierto os digo, que cualquiera que no recibiere el reino de Dios como un niño, no entrará en él.
2a1212005c	Y preguntóle un príncipe diciendo: Maestro bueno, ¿qué haré para poseer la vida eterna?
2a1213004f	Y Jesus le dijo: ¿Por qué me dices bueno? ninguno [hay] bueno sino solo Dios.
2a12140081	Los mandamientos sabes: No matarás, No adulterarás, No hurtarás, No dirás falso testimonio, Honra á tu padre, y á tu madre.
2a1215003c	Y él dijo: Todas estas cosas he guardado desde mi juventud.
2a12160091	Y Jesus, oido esto, le dijo: Aun te falta una cosa: vende todo lo que tienes, y da á los pobres, y tendrás tesoro en el cielo; y ven, sígueme.
2a1217004a	Entónces él, oidas estas cosas, se puso muy triste, porque era muy rico.
2a12180085	Y viendo Jesus que se habia entristecido mucho, dijo: ¡Cuán dificultosamente entrarán en el reino de Dios los que tienen riquezas!
2a1219006d	Porque más fácil cosa es entrar un camello por el ojo de una aguja, que un rico entrar en el reino de Dios.
2a121a003a	Y los que [lo] oian, dijeron: ¿Y quién podrá ser salvo?
2a121b0051	Y él [les] dijo: Lo que es imposible para con los hombres, posible es para Dios.
2a121c0063	Entónces Pedro dijo: Hé aquí, nosotros hemos dejado las posesiones nuestras, y te hemos seguido.
2a121d0087	Y él les dijo: De cierto os digo que nadie hay que haya dejado casa, ó padres, ó hermanos, ó mujer, ó hijos, por el reino de Dios,
2a121e0057	Que no haya de recibir mucho mas en este tiempo, y en el siglo venidero la vida eterna.
2a121f00a9	Y Jesus tomando [aparte] los doce, les dijo: Hé aquí subimos á Jerusalem, y serán cumplidas todas las cosas que fueron escritas por los profetas del Hijo del hombre.
2a12200054	Porque será entregado á las gentes, y será escarnecido, é injuriado, y escupido.
2a1221004e	Y despues que le hubieren azotado, le matarán; mas al tercer dia resucitará.
2a1222006c	Pero ellos nada de estas cosas entendian, y esta palabra les era encubierta; y no entendian lo que se decia.
2a12230061	Y aconteció que acercándose él á Jericó, un ciego estaba sentado junto al camino mendigando:
2a12240042	El cual como oyó la gente que pasaba, preguntó qué era aquello.
2a12250027	Y dijéronle que pasaba Jesus Nazareno.
2a1226004e	Entónces dió voces, diciendo: Jesus, hijo de David; ten misericordia de mí.
2a12270072	Y los que iban delante, le reñian que callase; mas él clamaba mucho mas: Hijo de David, ten misericordia de mí.
2a12280053	Jesus entónces parándose, mandó traerle á sí: y como él llegó, le preguntó,
2a12290042	Diciendo: ¿Qué quieres que te haga? Y él dijo: Señor, que vea.
2a122a002f	Y Jesus le dijo: Vé: tu fé te ha hecho salvo.
2a122b006a	Y luego vió, y le seguia, glorificando á Dios: y todo el pueblo como vió [esto,] dió á Dios alabanza.
2a13010034	Y HABIENDO entrado [Jesus,] iba pasando por Jericó:
2a1302005d	Y hé aquí un varon llamado Zaquéo, el cual era el principal de los publicanos, y era rico.
2a1303006c	Y procuraba ver á Jesus quien fuese; mas no podia á causa de la multitud, porque era pequeño de estatura.
2a13040061	Y corriendo delante, subióse á un árbol sicómoro para verle; porque habia de pasar por allí.
2a1305008c	Y como vino á aquel lugar Jesus, mirando le vió, y díjole: Zaquéo, dáte priesa, desciende, porque hoy es necesario que pose en tu casa.
2a13060035	Entónces el descendió aprisa, y le recibió gozoso.
2a1307005d	Y viendo [esto] todos, murmuraban, diciendo que habia entrado á posar con un hombre pecador.
2a130800b4	Entónces Zaquéo, puesto en pié, dijo al Señor: Hé aquí, Señor, la mitad de mis bienes doy á los pobres; y si en algo he defraudado á alguno, lo vuelvo con el cuatro tanto.
2a13090064	Y Jesus le dijo: Hoy ha venido la salvacion á esta casa; por cuanto él tambien es hijo de Abraham.
2a130a004d	Porque el Hijo del hombre vino á buscar y á salvar lo que se habia perdido.
2a130b00a9	Y oyendo ellos estas cosas, prosiguió y dijo una parábola, por cuanto estaba cerca de Jerusalem; y porque pensaban que luego habia de ser manifestado el reino de Dios.
2a130c0062	Dijo pues: Un hombre noble partió á una provincia lejos, para tomar para sí un reino, y volver.
2a130d005f	Mas llamados diez siervos suyos les dió diez minas, y díjoles: Negociad entretanto que vengo.
2a130e007e	Empero sus ciudadanos le aborrecian; y enviaron tras de él una embajada, diciendo: No queremos que este reine sobre nosotros.
2a130f00af	Y aconteció que vuelto él, habiendo tomado el reino, mandó llamar á si á aquellos siervos, á los cuales habia dado el dinero, para saber lo que habia negociado cada uno.
2a13100042	Y vino el primero, diciendo: Señor, tu mina ha ganado diez minas.
2a13110071	Y él le dice: Está bien, buen siervo; pues que en lo poco has sido fiel, tendrás potestad sobre diez ciudades.
2a1312003b	Y vino otro diciendo: Señor, tu mina ha hecho cinco minas.
2a1313003c	Y tambien á este dijo: Tú tambien se sobre cinco ciudades.
2a1314005d	Y vino otro diciendo: Señor, hé aquí tu mina, la cual he tenido guardada en un pañizuelo,
2a13150067	Porque tuve miedo de tí, que eres hombre recio; tomas lo que no pusiste, y siegas lo que no sembraste.
2a1316008d	Entónces [él] le dijo: Mal siervo, de tu boca te juzgo. Sabias que yo era hombre recio, que tomo lo que no puse, y siego lo que no sembré;
2a13170056	¿Por qué pues no diste mi dinero al banco; y yo viniendo lo demandará con el logro?
2a1318005b	Y dijo á los que estaban presentes: Quitadle la mina, y dadla al que tiene las diez minas.
2a1319002d	Y ellos le dijeron: Señor, tiene diez minas.
2a131a0079	Pues [yo] os digo que á cualquiera que tuviere, le será dado; mas al que no tuviere, aun lo que tiene le será quitado.
2a131b007b	Y tambien á aquellos mis enemigos, que no querian que yo reinase sobre ellos, traedlos acá, y degolladlos delante de mí.
2a131c0030	Y dicho esto, iba delante subiendo á Jerusalem.
2a131d0080	Y aconteció, que llegando cerca de Bethfage, y de Bethania, al monte que se llama de las Olivas, envió dos de sus discípulos.
2a131e00a4	Diciendo: Id á la aldéa de enfrente; en la cual como entrareis, hallaréis un pollino atado, en el que ningun hombre se ha sentado jamás: desatadle, y traed[lo.]
2a131f006d	Y si alguien os preguntare: ¿Por qué [le] desatais? le responderéis así: Porque el Señor lo ha menester.
2a13200046	Y fueron los que habian sido enviados, y hallaron como [él] les dijo.
2a13210055	Y desatando ellos el pollino, sus dueños les dijeron: ¿Por que desatais el pollino?
2a13220031	Y ellos dijeron: Porque el Señor le ha menester.
2a13230061	Y trajéronlo á Jesus; y habiendo echado sus vestidos sobre el pollino pusieron á Jesus encima.
2a1324002d	Y yendo él, tendian sus capas por el camino.
2a132500c3	Y como llegasen ya cerca de la bajada del monte de las Olivas, toda la multitud de los discípulos, gozándose, comenzaron á alabar á Dios á gran voz por todas las maravillas que habian visto,
2a13260063	Diciendo: Bendito el rey que viene en nombre del Señor: paz en el cielo, y gloria en lo altísimo.
2a13270065	Entónces algunos de los Fariséos de la compañía le dijeron: Maestro, reprende á tus discípulos.
2a13280053	Y él respondiendo, les dijo: Os digo que si estos callaren, las piedras clamarán.
2a13290039	Y como llegó cerca, viendo la ciudad, lloró sobre ella,
2a132a0087	Diciendo: ¡Oh si tambien tú conocieses, á lo ménos en este tu dia, lo que [toca] á tu paz! mas ahora está encubierto de tus ojos.
2a132b008b	Porque vendrán dias sobre tí, que tus enemigos te cercarán con baluarte; y te pondrán cerco, y de todas partes te pondrán en estrecho;
2a132c00ac	Y te derribarán á tierra, y á tus hijos, [los que están] dentro de tí; y no dejarán sobre tí piedra sobre piedra; por cuanto no conociste el tiempo de tu visitacion.
2a132d005d	Y entrando en el templo, comenzó á echar fuera á todos los que vendian y compraban en él,
2a132e0068	Diciéndoles: Escrito esta: Mi casa, casa de oracion es; mas vosotros la habeis hecho cueva de ladrones.
2a132f0088	Y enseñaba cada dia en el templo mas los príncipes de los sacerdotes, y los escribas, y los principales del pueblo procuraban matarle.
2a1330004c	Y no hallaban qué hacerle, porque todo el pueblo estaba suspenso oyéndole.
2a140100aa	Y ACONTECIÓ un dia, que enseñando él al pueblo en el templo, y anunciando el Evangelio, llegáronse los príncipes de los sacerdotes, y los escribas, con los ancianos,
2a14020076	Y le hablaron, diciendo: Dínos ¿con qué potestad haces estas cosas? ¿ó quién es el que te ha dado esta potestad?
2a1403005b	Respondiendo entónces Jesus, les dijo: Os preguntaré yo tambien una palabra; respondedme:
2a14040037	El bautismo de Juan ¿era del cielo, ó de los hombres?
2a1405006d	Mas ellos pensaban dentro de sí, diciendo: Si dijéremos: Del cielo; dirá: ¿Por qué pues no le creisteis?
2a1406006b	Y si dijéremos: De los hombres: todo el pueblo nos apedreará; porque están ciertos que Juan era profeta.
2a14070034	Y respondieron, que no sabian de donde [habia sido.]
2a1408004b	Entónces Jesus les dijo: Ni yo os digo con qué potestad hago estas cosas.
2a14090085	Y comenzó á decir al pueblo esta parábola: Un hombre planto una viña, y arrendóla á labradores, y se ausentó por mucho tiempo.
2a140a008c	Y al tiempo envió un siervo á los labradores, para que le diesen del fruto de la viña; mas los labradores le hirieron, y enviaron vacío.
2a140b0061	Y volvió á enviar otro siervo: mas ellos á este tambien herido y afrentado le enviaron vacío.
2a140c004f	Y volvió á enviar al tercer siervo; mas ellos tambien á este echaron herido.
2a140d007b	Entónces el señor de la vina dijo: ¿Qué haré? enviaré mi hijo amado: quizás cuando á este vieren, tendrán respeto.
2a140e0083	Mas los labradores viéndole, pensaron entre sí diciendo: Este es el heredero, venid, matémosle, para que la heredad sea nuestra.
2a140f005c	Y echáronlo fuera de la viña, y [le] mataron. ¿Qué pues les hará el señor de la viña?
2a1410006f	Vendrá, y destruirá á estos labradores, y dará su vina á otros. Y como ellos [lo] oyeron, dijeron: Guarda.
2a1411008b	Mas él mirándolos, dice: ¿Qué pues es lo que está escrito: La piedra que condenaron los edificadores, esta fué por cabeza de esquina?
2a14120072	Cualquiera que cayere sobre aquella piedra, será quebrantado; mas sobre el que la piedra cayere, le desmenuzará.
2a141300b2	Y procuraban los príncipes de los sacerdotes y los escribas echarle mano en aquella hora, porque entendieron que contra ellos habia dicho esta parábola; mas temieron al pueblo.
2a1414009f	Y acechándo[le] enviaron espías que se simulasen justos, para sorprenderle en palabras, para que le entregasen al principado y á la potestad del presidente:
2a141500a2	los cuales le preguntaron, diciendo: Maestro, sabemos que dices y enseñas bien, y que no tienes respeto á persona; ántes enseñas el camino de Dios con verdad.
2a1416002c	¿Esnos lícito dar tributo á Cesar, ó no?
2a1417004a	Mas él, entendiendo la astucia de ellos, les dijo: ¿Por qué me tentais?
2a14180066	Mostradme la moneda. ¿De quién tiene la imágen y la inscripcion? Y respondiendo dijeron: De César.
2a14190058	Entónces les dijo: Pues dad a César lo que es de César; y lo que es de Dios, á Dios.
2a141a0067	Y no pudieron reprender sus palabras delante del pueblo, ántes maravillados de su respuesta, callaron.
2a141b005a	Y llegándose unos de los Saducéos, los cuales niegan haber resurreccion, le preguntaron,
2a141c00ae	Diciendo: Maestro, Moisés nos escribió: Si el hermano de alguno muriere teniendo mujer, y muriere sin hijos, que su hermano tome la mujer, y levante simiente á su hermano.
2a141d0049	Fueron pues siete hermanos: y el primero tomó mujer, y murió sin hijos.
2a141e0038	Y la tomó el segundo, el cual tambien murió sin hijos.
2a141f0050	Y la tomó el tercero, asimismo tambien todos siete: y murieron sin dejar prole.
2a14200030	Y á la postre de todos murió tambien la mujer.
2a14210062	En la resurreccion, pues, ¿mujer de cuál de ellos será? porque los siete la tuvieron por mujer.
2a14220064	Entónces respondiendo Jesus, les dijo: los hijos de este siglo se casan, y son dados en casamiento:
2a14230083	Mas los que fueren tenidos por dignos de aquel siglo, y de la resurreccion de los muertos, ni se casan, ni son dados en casamiento:
2a1424007c	Porque no pueden ya mas morir; porque son iguales á los ángeles, y son hijos de Dios, cuando son hijos de la resurreccion.
2a1425009a	Y que los muertos hayan de resucitar, aun Moisés lo enseñó junto á la zarza, cuando dice al Señor: Dios de Abraham, y Dios de Isaac, y Dios de Jacob.
2a14260056	Porque Dios no es [Dios] de muertos, mas de vivos; porque todos viven [cuanto] á él.
2a14270049	Y respondiéndole unos de los escribas, dijeron: Maestro, bien has dicho.
2a14280022	Y no osaron más preguntarle algo.
2a1429003d	Y él les dijo: ¿Cómo dicen que el Cristo es Hijo de David?
2a142a0066	Y el mismo David dice en el libro de los Salmos: Dijo el Señor á mi Señor: Siéntate á mi diestra,
