2800000006	Mateyo
2a0830004a	Yesu walamwambileti, “Mwaname, pakwinga washoma njame, koya mulumuno.”
2a0831009e	Yesu kacamba kwalesa muntu kufuma ku ng'anda ya mukulene wa ng'anda yakupaililamo ne kumwambila Yailo eti, “Mwanenu lafu kendi, mutapensha beshikwiyisha.”
2a0832005d	Yesu mpwalanyumfwa makani ayo walambila Yailo eti, “Utatina, koshoma, mwanobe nabe cena.”
2a08330096	Yesu mpwalashika kung'anda ya Yailo liya kusuminisha muntu nambi umo eti engilemo, nsombi Petulo, Yohane, ne Jemusi kayi ne baishi nebanyina ba mwana.
2a083400a6	Bantu bonse mung'anda bali kabalila mwana mutukashi walikuba wafwa. Necikabeco Yesu walabambileti, “Kamucilekani kulila pakwinga uyu mwana nkafwapo, wonowa tulo.”
2a08350045	Popelapo bonse balamuwela, pakwinga bonse balikwi shibeti lafu kendi.
2a0836004a	Lino Yesu walekata mwana uyo pacikasa nekwambeti, “Mwana obe punduka!”
2a08370057	Popelapo walaba muyumi, walanyamuka. Lino Yesu walabambileti bamupe cakulya mwana alye.
2a0838007e	Baishi ne banyina ba mwana uyo balakankamana. Lino Yesu walabambileti kamutaya kwambila muntu uliyense pamakani aya alenshiki.
2a09010064	Yesu walabunganya beshikwiya bakendi ne kubapa ngofu shakufunya mishimu yaipa ne kushilika malwashi.
2a09020053	Lino Yesu walabatuma kuya kukambauka sha Bwami bwakendi Lesa ne kushilika malwashi.
2a09030083	Walabambileti, “Mutanyamunapo cintu nambi cimo mubulwendo bwenu, mutamanta inkoli, mukopa, cakulya, mali nambi byakufwala bibili.
2a09040070	Mwakashika mung'anda moshi bakamutambule cena, mukekale mwepelomo kushikikila busuba mboti mukafume mumushi umo.
2a0905007c	Uko nkweshi bakabule kumutambula, pakufuma mumushi umo, mukalipampe lusuko kumyendo. Ici nicikabe cishibisho kuli endibo.”
2a09060065	Beshikwiya balenda muminshi yonse, kabaya akukambauka Mulumbe Waina ne kushilika malwashi kuli konse.
2a09070097	Lino mwami Helode, mpwalanyumfwa byonse byalenshika, walapenga mumoyo pakwinga bantu bambi bali kabambeti, “Uyu ni Yohane lapunduku kufuma kubafu.”
2a09080073	Bambi bali kabambeti, “Ni Eliya laboneke kayi, nabambi eti, ni umo wa bashinshimi bakulukulu lapunduku kubafu.”
2a09090094	Helode walambeti, “Yohane ni usa ngondatimbula mutwi, nomba niyani uyu lenshinga bintu ibi mbyondanyumfunga?” Neco wali kayanda kubona Yesu uyo.
2a090a0083	Lino mpobabwelela batumwa balamwambila Yesu byonse mbyobalensa. Kufumapo Yesu walaya ne beshikwiya bakendi kuminshi yaku Betisaida.
2a090b00a3	Bantu bangi mpobalanyumfwa balamukonkela uko nkwalaya. Yesu walabatambula, neku bambila sha Bwami bwakendi Lesa, ne kushilika abo bali kabasuni kwambeti babe cena.
2a090c00e0	Lisuba mpolyalikuba pepi kwibila, beshikwiya bakendi bali likumi ne babili balaya kuli Yesu ne kumwambileti, “Kamubambilani bantu benga muminshi ne misena ili pepi balangole byakulya ne kwakona pakwinga kuno nikucisuwa.”
2a090d00c0	Nsombi Yesu walabambileti, “Amwe mubape byakulya.” Beshikwiya bakumbuleti, “Tukute owa shinkwa usanu ne inswi shibili. Lino sena musuni kwambeti tuye tule byakulya byakwana bantu aba?”
2a090e009b	Palikuba batuloba bonka bakwana 5,000. Lino Yesu walabambila beshikwiya bakendi eti, “Kamwambilani bantu bekale mumakoto, likoto lya makumi ali asanu.”
2a090f0027	Beshikwiya balensa mbuli ncobalambilwa.
2a09100085	Yesu walanyamuna shinkwa usanu ne Iswi shibili uto, walalanga kwilu ne kulumba Lesa, walakomona nekupa beshikwiya eti bayabile bantu.
2a0911007b	Bantu bonse balalya nekwikuta. Nomba beshikwiya balabwesa byonse byalashalako ku bantu nekwisusha bitundu likumi ne bibili.
2a09120097	Nabumbi busuba Yesu wali kapaila enka, beshikwiya bakendi naboyo balikuba pepi. Lino walabepusheti, “Sena bantu bangi balambangeti ame njame bani?”
2a091300b7	Balo balakumbuleti, “Bambi balambangeti njamwe Yohane mubatishi. Kayi nabambi balambangeti njamwe Eliya. Kayi nabambi eti njamwe umo wabanshinshimi bakulukulu walapunduka kubafu.”
2a0914007f	Lino Yesu walabepusheti, “Nomba amwe mukute kwambeti ame njame bani?” Petulo walakumbuleti, “Njamwe Wananikwa wa Lesa.”
2a09150055	Nomba Yesu walakonkomesha beshikwiya kwambeti kabatambila muntu nambi umo makani aya.
2a091600d9	Kayi walambeti, “Mwana Muntu welela kupenshewa ne kukanwa ne bamakulene beshimilumbo ne bamakulene baba Yuda ne beshikwiyisha ba Milawo nibakamukane. Nendi naka shinwe, nsombi busuba bwabutatu nakapunduke kubafu.”
2a091700a0	Kufumapo walambila bonseti, “Namuntu layandanga kunkonkela ame, welela kushiya nekusula bintu byonse busuba ne busuba kunyamuna lusanda lwakendi nekunkonkela.
2a09180084	Pakwinga layandanga kupulusha buyumi bwakendi nakabutaye. Nomba uyo latayanga buyumi bwakendi pacebo ca njame, cakubinga nakabucane.
2a0919008c	Nomba cainapo ni cani na muntu laba ne bintu byonse bili mucishi capanshi cino, nendi ubutaya buyumi bwakendi bwancinencine nambi kubononga?
2a091a00a6	Palico na muntu unyumfwa insoni pacebo ca maswi akame, neye Mwana Muntu nakamunyufwile insoni pakwisa mubulemu bwakendi ne mubulemu bwa Baishi nebwa bangelo bwaswepa.
2a091b0065	Cakubinga ndamwambilingeti mpobali bambi pano beshi bakabule kufwa kabatana babona Bwami bwa Lesa.”
2a091c0081	Mpopalapita masuba asanu ne atatu Yesu mpwalamba makani aya, walamanta Petulo ne Yohane ne Jemusi walaya pa mulundu kuya kupaila.
2a091d0058	Lino mpwalikupaila, ciwa cakendi Yesu calasanduka ne byakufwala byakendi byalabemba tuu.
2a091e0043	Popelapo kwalaboneka batuloba babili Mose ne Eliya kabamba ne Yesu.
2a091f0061	Balaboneka mubulemu bwa kwilu kayi kabambilana sha palufu lwa Yesu lwakuya kufwila ku Yelusalemu.
2a09200086	Lino Petulo ne abo mbwalikuba nabo balikuba mutulo. Nomba mpobalapunduka balabona bulemu bwa Yesu ne bantu babili bemana pepi nendiye.
2a092100cc	Pacindi mpwalikupansana nabo, Petulo walambila Yesu eti, “Bashikwiyisha, cileni kwambeti tuli pano katwibaka mishasha itatu, umbi wenu, umbi wa Mose, umbi wa Eliya.” Petulo nkalikwishiba ncali kwamba.
2a09220042	Kacamba, kwalesa likumbi lyabafwekelela. Lino beshikwiya balatina.
2a09230068	Lino mulikumbi umo mwalanyumfwika liswi lya kwambeti, “Uyu emwaname ndalamusala neco mumunyumfwile!”
2a092400a0	Lino maswi mpwalacileka kunyufwika, beshikwiya balabona Yesu lashala enka. Neco balamwena tonto, kufuma apo baliya kwambilapo muntu nambi umo mbuli ncobalabona.
2a09250078	Mumene mene Yesu ne beshikwiya bakendi batatu balaseluka pa mulundu, nalyo likoto linene lyabantu lyalakumanina ne Yesu.
2a09260087	Popelapo, muntu umbi wamulikoto ilyo walolobesheti, “Bashikwiyisha, ndamusengengeti munyumfwileko inkumbo uyu emwaname enka ngonkute.
2a09270089	Ukute mushimu waipa na ulamwikata ukute kakuwa, kayi ne kunyukuma mpaka ufuma lipofu kumulomo. Kayi nkaukute kumulekapo mpaka umulingapo.
2a09280046	Lino ndanga ndasenge beshikwiya benu eti baufunye, nomba balalilwa.”
2a09290091	Yesu walakumbuleti, “Ha! Bantu babula lushomo, mweshikupindimuna miyeyeyo, nomba ninjikale nenu cindi citali econi? Kamumuletani kuno mwana.”
2a092a00ae	Mwana uyo mpwalikuya kuli Yesu, mushimu waipa walamuwala panshi ne kumunyukumuna. Nendi Yesu walakalalila mushimu waipa ne kushilika mwana usa. Lino walamubwesha kuli baishi.
2a092b0093	Bantu bonse balakankamana mpobalabona ngofu shinene sha Lesa. Bantu kabacikankamana pa bintu ibyo mbyalensa, Yesu wabambila beshikwiya bakendi eti,
2a092c0061	“Kamunyumfwishisha makani aya ngoti ndimwambile! ame Mwana Muntu ninkayabwe mumakasa abantu.”
2a092d007e	Nsombi balo baliya kwinshiba ncalikwamba pakwinga calikuba casolama nomba baliyawa kwanyumfwishisha. Kayi balatina kumwipusha.
2a092e0056	Beshikwiya balatatika kupikishana kwambeti benshibe nomba mukulene niyani pakati pabo.
2a092f005f	Lino Yesu walenshiba ncobali kabayeya mumyoyo, walamanta mwana nekumwikalika kulubasu lwakendi.
2a093000d6	Lino walabambileti, “Muntu uliyense welela kutambula mwana mbuli uyu mulina lyakame, latambulu ame. Muntu uliyense ukute kutambula ame latambulunga uyo walantuma, pakwinga uyo ngomwasula pakati penu emukulene.”
2a0931009b	Lino Yohane walambeti, “Amwe beshikwiyisha, twabona muntu umbi nkafunya mishimu yaipa mulina lyenu, nomba twamukanisha pakwinga nte wa mulikoto lyetu.”
2a0932006b	Yesu walamwambileti, “Mutamukanisha, pakwinga uyo labulunga kutotekeshana nenjamwe uli kulubasu lwenu.”
2a09330050	Lino mpocalashika cindi cakwambeti Yesu enga kwilu, walayeya kuya ku Yelesalemu.
2a0934006d	Walatuma batumwa kuntangu kwakendi abo balaya kuya kwingila mumunshi wa Samaliya kwambeti bamubambile busena.
2a0935004b	Bantu ba mumunshi uyo baliyawa kumutambula pakwinga walikaya ku Yelusalemu.
2a09360097	Lino beshikwiya ba Yesu, Jemusi ne Yohane, mpobalabona balambeti, “Mwami, sena nkatwela kwambeti tukuwe mulilo ufume kwilu wise wononge bantu aba?”
2a0937002b	Yesu walacebuka ne kubakalalila beshikwiya.
2a09380030	Popelapo bonse balanyamuka balaya kumunshi umbi.
2a0939006a	Mpobalikuya munshila, muntu umbi walambila Yesu eti, “Nindimukonkelenga kuli konse nkweshi mwenganga.”
2a093a0074	Yesu walamukumbuleti, “Bamwaba bakute mishima, kayi ne bikeni bikute bisangala, lino Mwana Muntu liyawa pakona.”
2a093b0091	Panyuma pakendi Yesu walambila naumbi eti, “Unkokele.” Nsombi nendi muntu uyo walambeti, “Mwami tanshika munsuminishe njenga mbike bata.”
2a093c0066	Yesu walakumbuleti, “Leka bafwa babike bafu banabo, nsombi obe koya ukambauke sha Bwami bwa Lesa.”
2a093d005c	Naumbi muntu walambeti, “Nindimukonkele Mwami, lino tanguna nje ndaye kung'anda yakame.”
2a093e007b	Yesu walakumbuleti, “Muntu atatika kulima ne ngombe, kayi nkacebuku kunyuma, Lesa liya nendi incito mu Bwami bwakendi.”
2a0a0100a8	Panyuma pakendi Mwami Yesu walasala bambi batuloba makumi asanu ne abili ne bantu babili ne kubatuma nanshi kuntangu kuya muminshi ne misena yonse nkwalikuyanda kuyako.
2a0a02009b	Kufumapo walabambileti, “Kutebula kulafulu, lino beshikutebula balacepe. Lino sengani kuli mwine libala kwambeti atume bambi basebenshi beshikutebula.”
2a0a030042	Kamuyani, nomba ndamutumunga mbuli bana bambelele pakati pabaumpe.
2a0a040065	Mutamanta mpotomona ya mali, cola nambi nkwabilo. Mutataya cindi ca kupana mutende ne bantu munshila.
2a0a050050	Mung'anda muli monse momulengili mutangune kwambeti, Mube lumuno mung'anda muno.
2a0a0600a0	Na mung'anda umo muli muntu layandanga lumuno, lumuno ulo nilukabe kuli endiye. Nsombi na muliya muntu wa mushoboyo, ekwambeti lumuno nilukabwelele kuli njamwe.
2a0a0700b6	Mwakekala mung'anda yopeleyo kayi mukalye ne kunwa byonse byoti bakamupe pakwinga musebenshi uliwonse ukute kutambula malipilo akendi. Mutafumanga nkomulashikili nekuya kumanda ambi.
2a0a080045	Mwashika mumushi mweshi bakamutambule mukalye byonse mbyeti bakamupe.
2a0a090068	Mukasengule bantu balwashi mumunshi umo kayi nekubambila bantu eti, Bwami bwa Lesa bulesa pepi nenjamwe.
2a0a0a0063	Mwakashika mumunshi umbi bantu bakabule kumutambula, kamuyani munshila sha mumunshi uyo nekwambeti,
2a0a0b0090	nambi lusuko lwamuminshi iyi lulamatila kumyendo yetu nikulupampa nekwambeti lube kamboni. Lino inshibani kwambeti Bwami bwalesa Lesa buli pepi!
2a0a0c0066	Ndamwambilinga cakubingeti pabusuba bwakubeteka, minshi iyo nikabe ne mulandu kupita munshi wa Sodomu!
2a0a0d0111	“Ukute malele, obe Kolasini ne Betisaida! Pakwinga kuli incito yangofu yalenshika muli amwe, ne yalenshika kuminshi ya Tulo ne Sidoni, bantu bakusa, ne balasanduka kendi kuleka bwipishi nekufwala masaka kayi nekulinanika milota, kubonesheti balatembenuku kuleka bwipishi.
2a0a0e0069	Ndamwambilinga cakubingeti pabusuba bwakubeteka Lesa nakamupeni mulandu unene kupita baku Tulo ne Sidoni.
2a0a0f0073	Nenjobe Kapelenawo, sena ulayeyengeti nibakakunyamune mpaka kwilu? Sobwe, nibakakuwale panshi pabusena bwa bafu!”
2a0a10008b	Yesu walambila beshikwiya bakendi eti. “Uyo lanyumfwili amwe ekwambeti lanyumfwili ame, uyo weshi kukana ame lakana ne Bata balantuma.”
2a0a1100a4	Bantu bali makumi asanu ne abili ne bantu babili balabwelako kabalibakondwa balambeti, “Mwami, Lino ne mishimu yaipa ilatunyumfwilinga twayambila mulina lyenu.”
2a0a12004e	Yesu walabakumbuleti, “Ndamubona Satana nkalaka kwilu eti kubyasha kwamfula.
2a0a130083	Lino kamunyufwani! Ndamupanga ngofu shakulyata injoka ne tupilili kayi ne kukoma ngofu shonse sha mulwani. Kuliya ceti cikamulinge.
2a0a14006d	Nsombi mutakondwa kwambeti mishimu yaipa yamunyumfwilanga, nomba kondwani pakwinga mena enu alembwa kwilu.”
2a0a150104	Pacindico Yesu walakondwa mu Mushimu Uswepa. Lino walambeti, “Ndalumbu Ta, amwe mwine kwilu ne cishi ca panshi pakwinga mulayubululu kubantu babula kwiya bintu mbyomwalasoleka kubantu ba mano ne baiya. Cakubinga Ta, mwalayanda kwinsa kwelana nekuyanda kwenu.
2a0a1600bf	“Ba Ta balabika bintu byonse mumakasa akame. Kuliya muntu winshi mwana, nsombi ba Ta bonka. Kayi kuliya muntu winshi ba Ta, nsombi Mwana enka kayi ne abo Mwana mbwalasaleti abayubulwile.”
2a0a17007f	Popelapo walalanga kuli beshikwiya bakendi nekubambila kulubasu eti, “Bakute colwe abo balabononga bintu ibi mbyomulabononga.
2a0a1800ce	Ndamwambilingeti banshinshimi ne bami bangi bali kuyandishisha kubona mbyomulabononga, nomba baliya kubibonapo. Ni cakubinga bali kuyandishisha kunyumfwa bintu mbyomulayumfunga, nomba baliya kubinyumfwa.”
2a0a19009e	Popelapo kwalesa shikwiyisha Milawo kwambeti asunkwe Yesu ne kumwipusheti, “Amwe beshikwiyisha, nicani ncendela kwinsa kwambeti nkatambule buyumi butapu?”
2a0a1a0059	Yesu walamwipusheti, “Nomba mu Milawo mwalembwa cani? nomba mukute kubelengamo cani?”
2a0a1b00d2	Shikwiyisha Milawo walakumbuleti, “Suna Mwami Lesa wakobe ne moyo wakobe wonse, ne buyumi bwakobe bonse, nengofu shakobe shonse kayi ne miyeyo yakobe yonse, ‘Kayi kosuna munobe mbuli ncolisuni omwine.’”
2a0a1c004f	Yesu wamwambileti, “Ulakumbulu cena, uye winseco, nukabe ne buyumi butapu.”
2a0a1d0061	Lino shikwiyisha pakuyanda kulibonesheti walulama, walepusha Yesu eti, “Nomba muname niyani?”
2a0a1e00b2	Yesu walakumbuleti, “Kwalikuba muntu ku Yelusalemu walikuya ku Yeliko. Mpwalikuya munshila, walakumanya kapondo balamwikata, balamufulula ne kumuma, nekumushiya nkali wawisuka.
2a0a1f005f	Lino shimilumbo walikapita munshila yopeleyo, mpwalabona muntu uyo walomwa, walapitila kumbali.
2a0a200076	Neye Mulevi walikapita munshila yopeleyo, mpwalashika palikuba muntu walomwa walamubona nomba neye walapitila kumbali.
2a0a210061	Nsombi Musamaliya walikuba pabulwendo munshila yopeleyo mpwalamubona muntuyo walanyumfwa inkumbo.
2a0a2200c4	Walaya mpwalikuba wona waletila mafuta ne waini pabilonda byakendi nekusungapo bikwisa. Mpwalapwisha kwinseco walamumanta pambongolo yakendi ne kumutwala kung'anda ya bensu uko nkwalamubamba cena.
2a0a2300b0	Bushiku bwalakonkapo mu Samaliya uyo walapa mali mwine ng'anda ya bensu nekumwambileti, ‘Mumusunge cena, na mukasebensenshe mali naambi ninkese nkalipile ndakabwelanga.’”
2a0a24009c	Lino Yesu pakupwisha walepusha shikwiyisha milawo eti, “Lino mumuyeyo wakobe, niyani pabantu batatu aba welela kuba munendi wamuntu walomwa ne kapondo?”
2a0a250084	Shikwiyisha milawo walakumbuleti, “Uyo walamunyumfwila inkumbo.” Lino Yesu walamwambileti, “koya lino winse mbuli copeleco.”
2a0a2600a2	Lino Yesu nebeshikwiya bakendi mpobalikuba mulwendo lwabo, balashika mumunshi mwali kwikala Malita. Mutukashi uyo walabatambula ne makasa abili mung'anda yakendi.
2a0a270065	Malita walikuba ne mukwabo Maliya uyo walikuba wekala panshi pepi ne Yesu kakutika kwiyisha kwakendi.
2a0a2800b0	Lino pacindico Malita incito yalamufulila walaya kuli Yesu nekwambeti, “Mwami sena nkamubweni kwambeti kanike wakame landekelenga incito yonse? Kamumwambilani ese anyafwe.”
2a0a290052	Mwami Yesu walamukumbuleti, “Malita obe! wasukamanga nekupeshewa pa bintu bingi,
2a0a2a005a	nsombi kuli cintu cimo cisuniki, Maliya lasala cintu caina kayi kuliyeti akamulamunepo.”
2a0b0100af	Nabumbi busuba Yesu walikapaila kumusena umo. Mpwalapwisha, umo weshikwiya wakendi wamwambileti, “Mwami, kamutwiyishani kupaila mbuli Yohane ncalaisha beshikwiya bakendi.”
2a0b020068	Yesu walabambileti, “Pakupaila kamwambangeti, “Ta, lilemekwe lina lyenu lyaswepa, Bwami bwenu bwise.
2a0b03003c	Mutupenga byakulya bilayandikinga lelo, kayi ne masuba onse.
2a0b04006b	Mutulekelele bwipishi bwetu mbuli ncotukute kulekelela bantu beshikutwipishila, Kamutatutwala mumasunko.”
2a0b050085	Lino walabambileti, Nomba na umbi popele pano uya kung'anda yamunendi pakati pamashiku nekwambeti, Mwana, kombwelekako shinkwa utatu,
2a0b06004d	pakwinga ndapolelwa mwensu uli pabulwendo. Lino ndiya cakumupa kwambeti alye!
2a0b07009a	Lino munobe akumbwila mukati eti, utanshupa! Kucishinga tulacalako kendi kayi ame nebana bakame tulono kendi. Nkandelela kupunduka kwambeti nkupe shinkwa.
2a0b080084	Ndamwambilingeti, nakapunduke nekumupa, kwakubula kwambeti nimunendi nsombi pakwinga lakakatili kumusenga. Nakamupe byonse mbyabula.
2a0b09006a	Weco ndamwambilinga, kamusengani nimukapewe, kamulangolani nimukacane kayi kamukonkoshani nibakamucalilwe.
2a0b0a0076	“Pakwinga uyo weshi kusenga ukute kupewa, ne uyo weshi kulangola ukute kucana neye weshi kukonkosha nibakamucalwile.
2a0b0b0051	lino niyani mushali pakati penu, na mwanendi umusenga inswi, sena ngomupa injoka?
2a0b0c002b	Nambi amusenga liyi, sena ngomupa kapilili?
2a0b0d008b	Nomba amwe, mobantu baipa, mukute kupa bana benu byaina, nomba bata ba kwilu ngabalilweconi kupa Mushimu Uswepa kuli abo balamusengenga?”
2a0b0e009d	Yesu walikafunya mushimu waipa walikukanisha muntuyo kwamba. Mushimu uyo mpowalafumamo, muntuyo walatatika kwamba. Neco bantu bonse balikubapo balakankamana.
2a0b0f007b	Nsombi bambi balambeti, “Ukute kufunya mishimu yaipa pakwinga Belezebulu emwami wa mishimu yaipa, eukute kumupa ngofu.”
2a0b10005d	Cindi copeleco bambi balelesha kusunka Yesu eti ababoneshe cikankamanisho ceshi cifuma kwilu.
2a0b1100bd	Nsombi Yesu walenshiba miyeyo yabo, Lino walabambileti, “Bulelo bonse bwabukilana ne kutatika kulwana, bulelo ubo bukute kumwaika. Na bantu ba mukowa umo babukilana, mukowa uwo ngomwaika.
2a0b120090	Nomba na bwami bwa Satana bubukilana, nomba bwami ubo ngabuyuma econi? Amwe mulambangeti, nkute kupulisha mishimu yaipa ne ngofu sha Belezebulu.
2a0b130117	Lino na ame ndapulishinga mishimu yaipa mbuli ncobalenshinga beshikwiya benu, nomba ame ngamung'ambeconi eti ndapulishinga mishimu yaipa ne ngofu sha Belezebulu, nomba beshikwiya benu balapulishinga mishimu yaipa nengofu shabani? Palico beshikwiya benu nibakamulesheti mwalubila.
2a0b14006b	Nsombi na ame nkute kupulisha mishimu yaipa mungofu sha Lesa, ekwambeti Bwami bwa Lesa buli pakati penu.”
2a0b15005b	Na muntu wangofu kalangilila ng'anda yakendi ne byensho, buboni bwakendi nkabwela kwibwapo.
2a0b160087	Nsombi umbi wapitapo ngofu na lesa, nekumukoma, ukute kumanta bibya byakendi byonse mbyacinkilamo ne kuyabanya buboni mbwalebila bantu.
2a0b17008f	“Muntu uliyense labulunga kwikatishana nenjame nimulwani wakame, uyo labulunga kunyamfwa kubunganisha mbelele, nendi niweshi kupalanganya.”
2a0b1800a4	“Na mushimu waipa ulafumu mumuntu, ukute kuya mumalundu a kuyandaula kwakupumwinina. Nakulabulu kucanika, ukute kwambeti, nimbwelele mung'anda yakame mondalafuma.
2a0b190039	Lino na ulabwelele ukute kucana ng'anda iyo yaswepa cena.
2a0b1a00a4	Lino ukute kuletelapo imbi isanu ne ibili yapitapo pali nayo, kwambeti bengile nekwikala mumuntu uyo. Neco bwikalo bwamuntu uyo bukute kwipa kupita bwakutanguna.”
2a0b1b0070	Yesu mpwalapwisha kwambeco mutukashi umbi mulikoto walolobesheti, walelekwa mutukashi walakusema nekukuyamwisha.
2a0b1c0061	Lino Yesu walakumbuleti, “bakute colwe abo balanyumfunga Maswi a Lesa ne kwinsa ncalambanga!”
2a0b1d00c8	Bantu mpobalikuya kufula, Yesu walatatika kwambeti, “Bantu bacino cindi baipa, bakute kuyanda kubona cingashilo cishikufuma kwilu, lino nteshibakacibonepo cingashilo ico, nsombi ca mushinshimi Yona.
2a0b1e006b	Mbuli Yona ncalikuba cingashilo ku Ninive, neye Mwana Muntu nakabe cingashilo capewa kubantu ba cino cindi.
2a0b1f00ba	Pabusuba bwakubeteka mwami mutukashi wa kumbonshi kwa cishi ca Sheba nakamutoteke pakwinga walafuma kwakuma cishi kwisa akunyumfwa mano a Solomoni. Kamubonani pano mpwali wapita Solomoni
2a0b2000cb	Pabusuba bwakubetekwa, bantu baku Ninive nibakapunduke pamo ne bantu bamusemano uwu, nibakabatoteke. Pakwinga balo balasanduka kufuma kubwipishi, mpwalabakambaukila Yona. Lino mpwali pano wapita Yona.”
2a0b210098	“Kuliya muntu wela kumunika lampi ne kwisoleka nambi kwifwekelela ne nongo, nsombi ukute kwibika pelu kwambeti imunikile bonse balengilinga mung'anda.
2a0b2200a9	Menso enu emumuni wa mubili wenu. Na menso enu ali cena. Ne mubili wonse ukute kuba mu mumuni. Nsombi na menso enu abula kuba cena, mubili wonse ukute kuba mumunshinshe.
2a0b230043	Lino kamucenjelani kwambeti mumuni uli muli njamwe utaba mushinshe.
2a0b240076	Neco na mubili wonse kauli mumuni kwakubula mushinshe, mubili wonse ukutekuba mumuni mbuli lampi lilakumunikilinga.”
2a0b250074	Yesu mpwalapwisha kwamba, Mufalisi walamukuwa eti alye nendiye. Neco Yesu walaya mung'anda nekwikala kwambeti kulya.
2a0b26006a	Mufalisi uyo walakankamana mpwalaboneti Yesu latatiki kulya katana asamba kumakasa kwelena ne myambo yabo.
2a0b270097	Popelapo Mwami Yesu walamwambileti, “Lino amwe Bafalisi mukute kusuka kunsa kwambale nenkomeshi, nsombi mumyoyo yenu mwesula kulisuna ne nebukapondo.
2a0b280052	Amwe mobantu baluya! Sena Lesa walalenga byakunsa ntendiye walalenga ne byamukati?
2a0b290075	Pakupa bapenga, mubapenga bintu ibyo bili mukati munkomeshi ne mumbale, Lino byonse bintu byenu nibikabe byaswepa.”
2a0b2a0131	“Mapensho, kuli amwe Bafalisi! Pakwinga mulabikilinga mano kwambeti mupe Lesa ca likumi pa tuntu tungana tungangana tweshikulengesha kwambeti buchisa bununkile cena. Nsombi nkamukute kwinshila bantu bintu byalulama nambi kusuna Lesa. Pakwinga bintu ibi mwelela kubinsa, kwakubula kusula nabimbi ibyo.”
2a0b2b00a3	“Mapensho nakabe pali njamwe Bafalisi! Pakwinga mukute kusala bipuna byabulemu mumanda akupaililamo, ne kusuna kupewa mitende yabulemu mumisena yakulishilamo.”
2a0b2c0074	“Mapensho nakabe pali njamwe bafalisi, pakwinga mulyeti manda ataboneke ngobakute kulyatapo cakubula kwinshiba.”
2a0b2d006c	Lino shikwiyisha Milawo umbi walakumbuleti, “Amwe mobeshikwiyisha pakwambeco nenjafwe mulatusampulunga.”
2a0b2e008f	Yesu walambeti mapensho kuli abo beshikwiyisha Milawo pakwinga mukute kupa bantu mikuli yalema, nsombi amwe mobene nkamukumyuko nambi pang'ana.
2a0b2f0080	Mapensho nakbe pali njamwe, pakwinga mukute kwibaka byumbwe byaina byabashinshimi, kakuli bamashali benu ebalashina bashinshimi.
2a0b300089	Lino ekwambeti ico calensa bamashali benu cilaleshengeti mukute kucisuminisha kwambeti balo balashina bashinshimi amwe mwalebaka byumbwe.
2a0b31008d	Weco Lesa mu mano akendi walambeti, ninkabatume bashinshimi ne batumwa, Lino nabambi pakati pabo nibakabashine kayi nabambi nibakabapenshewe.
2a0b320071	Nomba bantu bacino cindi nibakapewe mulandu wa bashinshimi bonse balashinwa kufuma kumatatikilo a cishi capanshi,
2a0b3300dd	Kutatikila kukushinwa kwa Abelo kushikila kukushinwa kwa Sakaliya, uyo walashinwa pakati pa cipaililo kayi ne Musena Uswepa wa Ng'anda yakendi Lesa. Ndamwambilingeti bantu ba musemano uwu nibakapewe mulandu palibi byonse.
2a0b340098	“Malele kuli abo beshikwiyisha milawo! Mwalamanta maki akucalwila bantu bamano. Amwe mobene muliya kwingila, mwalakanisha abo balikuyanda kwingila.”
2a0b350089	Yesu mpwalafuma mung'anda umo, beshikwiyisha Milawo kayi ne Bafalisi balatatika kumutongokila ne kumwipusha mipusho ingi yapusana pusana.
2a0b360032	Balikuyanda kumucaninapo mulandu mumyambo yakendi.
2a0c0100f1	Pacindico bantu mpobalabungana kwalikuba Yesu, bantu balatatika kulyatana cebo cakufula, Yesu walatanguna kwambila beshikwiya bakendi eti, “Kamucenjelani kamutabeti cishikufufumisha shinkwa ca Bafalisi, pakwinga nkabenshi ncobakute kwamba.
2a0c020048	Kantu kalikonse kafwekewa nikakafwekulwe nambi kasolama nikakenshibikwe.
2a0c03008d	Neco bilibyonse mbyomulamba mumushinshe nibikanyufwike patuba pa bonse, mbyomulabelebeshana ne muntu mucipinda nibikambwe pamenso a bantu.”
2a0c040062	“Ndamwambilinga mobanse mutatina abo beshikushina mubili, nomba kuliya nacimbi ncobela kwinsapo.
2a0c050097	Lino ndamwambilingeti ngomwelela kutina ni Lesa uyo ukute kushina buyumi bwa muntu, kayi ukute ngofu shakumuwalani mumulilo utapu, mumutinenga Lesa.”
2a0c060073	Sena Tutite tusanu ntebakute kulishiwa ne tumali tung'ana twa mangwe? Lino kuliya nambi umo Lesa ngwakute kulubapo.
2a0c070073	Nomba mishishi yenu ili mumutwi mwenu yonse waibelenga. Neco mutatinanga pakwinga amwe mwadula kupita baciba bangi.
2a0c080089	“Ndamwambilinga cakubinga, muntu uliyense lansumininga pamenso abantu, nenjame nde Mwana Muntu ninkamusumine pamenso a bangelo ba Lesa.
2a0c090073	Nsombi Muntu uliyense lankananga pamenso a bantu, nenjame nde Mwana Muntu ninkamukane pamenso a bangelo ba Lesa.”
2a0c0a0098	“Muntu uliyense weshi kwamba maswi aipa pa Mwana Muntu inga ulekelelwa, nsombi muntu uliyense weshikusampula Mushimu Uswepa, nteshi akalekelelwepo.”
