2800000005	Matei
290913009c	Yesu ngaabakia, “Mwenga mwa lubelekwo lwangali u'bi'lya! Nilu'a tama na mwenga mpaka pakubawi? Nilu'a kunkomeya mpaka pakubawi? Munnete mwinsembe pano.”
29091400b0	Nabembe ngabanneta yu'lu' mwinsembe kwa Yesu. Yu'lu' moka paamweni Yesu, popopo ngannyi'ya yu'lu' mwinsembe kyundaunda, ngatu'la pai' no galabuka ku'no kapiya matutume munkano.
2909150081	Yesu ngaalaluya tati' bake mwinsembe, “Mwana wako ngu'su'mbu' yi' intumbwi pakubawi?” Ngannyangwa, “Bu'ka kuunangu'ta wake.
290916009c	Aywo moka akokotyage kuntu'mbu'ki'ya mumwoto au mumasi' li'nga kunnangamisa. Lakini mana kaukombwa panga kikowe sosoti, sonde utubi'ki kiya utuyangatiye.”
290917007c	Yesu ngannyangwa panga, “Kwa mwanjaa buli ubaya panga, ‘Mana kaukombwa?’ Goti gendawesekana kwa ywembe ywau'bi'lya.”
2909180080	Popopo, aywo tati' ywa mwinsembe ngau'bu'ya lilobe kabaya, “Nendau'bi'lya! Lakini uniyangatiye kwo kotoka u'bi'lya kwangu'.”
29091900b9	Yesu pakibweni kipi'nga sa bandu kakikongolekana pamope kiyu'ngu'ya, ngankalipya yu'lu' moka kammakia, “Wenga wa moka bubu na kiibamakutu, nikuamulisa ummu'ke na kaneunnyingi kai'!”
29091a009b	Yu'lu' moka aatikemelya, ngannyi'ya kyundaunda kwa makakala na kummu'ka. Yu'lu' mwinsembe aabile kati ntwi, kwa nyo bandu baingi ngababaya, “Ayomwike.”
29091b003c	Lakini Yesu ngankamwa luboko kunkakatuya, naywembe ngayi'ma.
29091c007f	Bai, Yesu paayingi nnyumba, banamasi' bake ngabannaluya pakisake, “Mwanjaa namani twenga tukombwili kummi'nga yu'lu' moka?”
29091d004e	Naywembe ngaabakia, “Moka ywa kubinnya awesekanali bu'ka mpaka kwo lu'ba.”
29091e0087	Yesu na banamasi' bake ngababu'ka kwo no yendelya na mwanja kwo pi'tya ku Galilaya. Yesu aapaili mundu ywoywoti atange pandu pabaabile,
29091f00c3	kwa mwanjaa aai kaayi'gana banamasi' bake kaabakia, “Mwana wa Mundu aalu'a songelwa no kamukiyilwa kwa bandu. Nabembe baalu'a kummulaga, lakini lisu'ba lyenetatu bu'ka waa kwake alu'a yu'ka.”
2909200066	Lakini banamasi' bake baatangiteli panga saakilongei saalomboli namani, nabembe ngabayogopa kunnaluya.
2909210070	Bai ngabaika Kapalanaumu no bu'ka po yingya nnyumba Yesu ngaalaluya, “Mwabile kamulongelya ki'li' mundi'la?”
2909220087	Lakini banamasi' baayangwili, kwa mwanjaa mundi'la baabile kabataukana panga ywaku' mukipi'nga sabe ywabile nku'lu' muno kulikoni boti.
29092300b7	Ngatama pai' na kwakema boti ku'mi na abi'li', ngaabakia, “Mundu ywoywoti mana kapala panga nku'lu' ywa boti, apalikwa apange wa kuundi'la kuliko boti na apange ntumisi ywa boti.”
2909240056	Bu'kapo ngantola mwana nsene, ngannyi'mi'ka pakatikati yabe. Ngankumbatya na kwabakia,
29092500a7	“Mundu ywoywoti ywampokya yumo ywa aba bana asene kwa lina lyangu' anipokya nenga. Na ywaanipokya nenga anipokya nenga baili, ila ampokya ata yu'lu' ywaanitumike.”
2909260091	Yoani ngammakia, “Mwalimu, tumweni mundu kabi'nga moka kwa lina lyako, na twenga ngatunkanikiya kwa mwanjaa ywembe abileli pamope na twenga.”
2909270099	Yesu ngaabakia, “Kanemunkanikiye, kwa mwanjaa ntu'pu' ywoywoti ywapanga mangelongelo kwa lina lyangu', bu'kapo kalongela likowe linyatau kwangu' nenga.
2909280035	Kwa mwanjaa ywakotoka taukana na twenga abile kasitu.
29092900aa	Kakape nimmakianga, ywoywoti ywampeya mwenga ata kikombe sa masi' go nywa kwa mwanjaa mwenga mwabandu ba Kilisitu kakape mundu ywo, aakosali upo yaibu'ka kwa Nnu'ngu'.”
29092a008e	Ywoywoti ywampanga yumo ywa bana ba babaniu'bi'lya aponeye, yapanga male kwake atabilwe liwe liku'lu' lya lwaga paingo na kuntaikulya mubaali.
29092b00b2	Luboko lwako mana lukupangiye uponeye, ulukate! Yapanga male kwako yingya muukoto wangayomoka ubile na luboko lumo, kulikoni baa na maboko gabi'li' no yingya mumwoto wangayomoka.
29092c003b	Pandu po, matekenya gake gawaali, wala mwoto wake uimikali.
29092d00bc	Mana lugu'lu' lwako lukupangiye uponeye, ulukate! Yapanga male kwako yingya muukoto wangayomoka ubile na lugu'lu' lumo, kulikoni baa na magu'lu' gabi'li' no taikulilwa mumwoto wangayomoka.
29092e003b	Pandu po, matekenya gake gawaali, wala mwoto wake uimikali.
29092f00b5	Mana liyo lyako likupangiye uponeye, uliyokwe! Yapanga male kwako yingya muukulungwa wa Nnu'ngu' ubile na liyo limo kulikoni baa na minyo gabi'li' no taikulilwa mumwoto wangayomoka.
2909300039	Pandu po matekenya gake gawaali wala mwoto wake uimikali.
290931002e	“Kwa mwanjaa kila mundu aatakilwa kwa mwoto.
29093200b7	Mwinyo unogite, lakini mana uobiye kilyi'lyi' sake, mwayi'ya namani li'nga uki'li'bu'ye kilyi'lyi' kai'? Mubee na mwinyo nkati yinu na mutame pamope kwa amani kila mundu na nnyine.”
290a0100b6	Yesu ngabu'ka ku'lu' yenda kunkoa wa Yudea no loka liyi' lya Yordani. Na ipi'nga yambone ya bandu yaatikongolekana kai' nnu'ngi' yake, naywembe ngatumbwa kwayi'gana kati mwayobelile.
290a02007c	Bi'ngi' ba Mafalisayo ngabaisa li'nga kumpaya kwa kunnaluya, “Buli, yendayi'ki'ti'lwa nnalu'me kupeya talaka nnyumbowe?”
290a03002f	Yesu ngaayangwa, “Musa aamwamulise namani?”
290a040068	Ngabayangwa, “Musa aayi'ki'tiye panga nnalu'me endakombwa kumwandikya nnyumbowe talaka na kummu'ya.”
290a050052	Yesu ngaabakia, “Musa aamwandiki salya yo kwa kitumbu so nonopa kwinu kwa myoyo.
290a06004c	Lakini tangu' nsimu wa Nnu'ngu' paumbike dunia, aaumbike nnalu'me na nnwawa.
290a07005a	Kwa kitumbu si', nnalu'me aalu'a kwaleka tati' bake na mau' bake no lu'mbana na nnyumbowe,
290a080055	na abo abi'li' baapanga yi'ga yimo. Kwa nyo, baapangali abi'li' kai', ila yi'ga yimo.
290a09003b	Bai, saakilu'mbaniye Nnu'ngu', mundu kaneakilekanganiye.”
290a0a0048	Pabaabile nnyumba kai', banamasi' bake ngabannaluya abali ya likowe lyo.
290a0b0058	Ngaayangwa, “Mundu ywoywoti ywanneka nnyumbowe no kobeka nnwawa ywi'ngi' apanga ugoni.
290a0c0057	Nyinyonyo na nnwawa ywanneka nsengowe no ku'nda kwa nnalu'me ywi'ngi', apanga ugoni.”
290a0d0062	Bandu baabile kabannetya Yesu bana anangu'ta li'nga aakunywe, lakini banamasi' bake ngabaakalipya.
290a0e00b2	Lakini Yesu paabweni nyo, aatiusika muno, ngaabakia, “Mwayi'ki'ti'ye bana anangu'ta baisange kasangu', kanemwakanikiye, kwa mwanjaa bana kati ba Ukulungwa wa Nnu'ngu' nga wabe.
290a0f0086	Kakape nimmakianga, mundu ywoywoti ywakotoka kuuyi'ki'tya Ukulungwa wa Nnu'ngu' kati mwana nnangu'ta, katu auyingyali ukulungwa wo.”
290a10004d	Bu'kapo ngaakumbatya bana balu', no bi'ka maboko panani yabe li'nga kwayalya.
290a11009b	Yesu paabile kabu'ka, mundu yumo aatikummutukya, ngakilikita nnu'ngi' yake ngannaluya, “Mwalimu nnogau, nipange buli li'nga niulisi ukoto wangayomoka?”
290a12005f	Yesu ngammakia, “Mbona unikema nannogau? Ntu'pu' ywoywoti ywabile nnogau ila Nnu'ngu' kisake.
290a13009a	Witangite amuli, ‘Kaneubulage, kaneupange upege, kaneupange ugoni, kaneuyibe, kaneukong'ondeli ubu'su', kaneuku'pi'ye, waisimu tati' na mau' bako.’”
290a14004d	Ngayangwa, “Mwalimu, amuli yoti yi' niikamwile bu'ka kuunangu'ta wangu'.”
290a1500d2	Yesu nganningulya kwa kumpenda, ngammakia, “Upu'ngu'kilwe na kili'be simo. Uyende, ukapi'mi'ye kila kili'be saubile naso na mbanje ye ukaapei aki'ba, nawenga waapanga na amana kunani. Bu'kapo, uniki'ngame.”
290a160063	Aywo mundu payu'wine nyo, ngaku'ku'li'ka muno, Ngabu'ka kanyopa kwa mwanjaa aabile na mali yambone.
290a17008c	Yesu ngalingulya lwingo lwoti na kwabakia banamasi' bake, “Mulinguli mwainonwipe kwa bababile na mali, yingya mu Ukulungwa wa Nnu'ngu'!”
290a180088	Banamasi' baatisangala kwa mayi'gi'yo go. Lakini Yesu ngaabakia kai', “Mwabana bangu', kunonwipe muno yingya mu Ukulungwa wa Nnu'ngu'!
290a190065	Male kwa mbu'nda pi'ta mulipoyo lya singano kulikoni mundu tayili yingya mu Ukulungwa wa Nnu'ngu'.”
290a1a006a	Banamasi' bake ngabasangala muno, ngabalaluyana bene na bene, “Kwa nyo nyai lelo ywawesa kosopolelwa?”
290a1b0076	Yesu ngaalingulya na kwabakia, “Likowe li' kwa mundu liwesekanali, lakini kwa Nnu'ngu' makowe goti gendawesekana.”
290a1c0055	Apo Petili ngammakia, “Linga, na twenga tukilei kila kili'be kukuki'ngama wenga!”
290a1d00a2	Apo Yesu ngaabakia, “Kakape nimmakianga, mundu ywaileka nyumba yake, mwasawe, nnu'mbu'we, mau', tati', bana au migunda kwa kitumbu sangu' na kwa abali inannoga,
290a1e00b1	aali'pi'lwa mala mya kwa nsimu wa nambi'yambi'. Aapokya nyumba na alongo, mau' na tati', bana na migunda pamope na ngu'su'mbu'. Na nsimu wawaaisa aalu'a pokya ukoto wangayomoka.
290a1f005b	Lakini baingi bababile alongoi baalu'a ba kuundi'la, na ba kuundi'la baalu'a ba alongoi.”
290a2000e6	Pabaabile mundi'la kabayenda Yelusalemu Yesu aatilongolya. Banamasi' bake baatisangala muno, na bandu babaabile kabaaki'ngama ngabayogopa. Yesu ngaatola kai' banamasi' bake ku'mi na abi'li' pambwega na kwabakia gagaalu'a kumpitya.
290a2100bf	Ngabaya, “Twendau'bu'ka yenda Yelusalemu, na Mwana wa Mundu aalu'a kamukiyilwa kwa api'ndo ba dini na balimu ba salya. Bembe baalu'a kumuukumu kiwo na kunkamukiya kwa bandu bangali Ayahudi,
290a220076	abo baalu'a kunsalanga na kummunia mmata, baalu'a kunku'mbwa na kummulaga. Bu'kapo lisu'ba lyenetatu, aalu'a yu'ka.”
290a230075	Yakobi na Yoani, bana ba Zebedayo, baannyendeli Yesu na kummakia, “Mwalimu, tupala utupangi sosoti satwakulu'ba.”
290a240032	Yesu ngaalaluya, “Mupala nimpangyange ki'li'?”
290a250059	Ngabammakia, “Utuyi'ki'ti'ye tama yumo kummalyo na ywi'ngi' kunki'ya muutukupu wako.”
290a2600bd	Lakini Yesu ngaabakia, “Mwenga mutangiteli samukilu'ba. Buli, mwendakombwa nywelya nnobo wa ngu'su'mbu' wanaalu'a nywelya nenga, au batisilwa ubatiso wa kiwo wanaalu'a batisilwa nenga?”
290a27007b	Ngabannyangwa, “Twendakombwa.” Yesu ngaabakia, “Nnobo waninywelya mwaunywelya na ubatiso wanibatisilwa mwaabatisilwa,
290a280097	lakini tama lwingo lwa mmalyo au lwa nki'ya alyo lyengo lyangu' nengali kumpeyanga. Lipala li'no Nnu'ngu' alu'a kwapeya balu' bababi'kilwe wisowiso.”
290a290054	Balu' banamasi' bi'ngi' ku'mi pabayu'wine go, ngabatumbwa kwausikya Yakobi na Yoani.
290a2a00b5	Kwa nyo Yesu ngaakema banamasi' bake pamope na kwabakia, “Mutangite panga, ayi'mi'li'ki ba bandu bangali Ayahudi batawala bandu babe kwa ukali', na api'ndo babe baatumya kinyatau.
290a2b006e	Lakini kwinu mwenga kaneibe nyo. Ila ywoywoti ywapala panga nku'lu' mukipi'nga sinu aapalikwa ba ntumisi winu,
290a2c003e	na ywoywoti ywapala panga nnongoi apalikwa ba mmanda ywa boti.
290a2d0096	Kwa mwanjaa Mwana wa Mundu aaisili li'nga tumikilwa, ila tumikia na kuupiya bwu'mi wake ube mali'po ga kwakombwa bandu baingi li'nga bakosopolelwe.”
290a2e00db	Bu'kapo ngabaika Yeliko. Yesu paabile kabu'ka pakilambo so na banamasi' bake pamope na kipi'nga kiku'lu' sa bandu, mbulibuli yumo lina lyake Batimayo, mwana wa Timayo, aabile atami mbwega ya ndi'la kalu'ba yangatiyilwa.
290a2f0081	Paayu'wine panga Yesu ywa ku Nasaleti aabile kapi'ta, ngatumbwa u'bu'ya lilobe kabaya, “Yesu, Mwana wa Daudi, unibi'ki kiya!”
290a300098	Bandu baingi ngabankalipya kwa kummakia atame liki, lakini ywembe ngau'bu'ya lilobe kai' kwa makakala kabaya, “Yesu, Mwana wa Daudi, unibi'ki kiya!”
290a31008e	Yesu ngayi'ma no baya, “Munkeme aise pano.” Bai ngabankema yu'lu' mbulibuli, ngabammakia, “Ube na mwoyo nku'lu'! Ukatuke, endakukema.”
290a320041	Ngataikwa nganju yake no yi'ma kiyu'ngu'ya, na kunnyendelya Yesu.
290a330065	Yesu ngannaluya, “Upala nikupangi ki'li'?” Yu'lu' mbulibuli ngayangwa, “Mwalimu, mbala lola.”
290a340067	Yesu ngammakia, “Uyende, imani yako ikutepwile.” Popopo aakombwi lola, ngaanki'ngama Yesu kundi'la.
290b0100ad	Yesu na banamasi' bake pabaabile kabaegelya ku Yelusalemu lwingo lwa kilambo sa Bethfage na Betania, papipi na Kitu'mbi' sa Minjaituni, Yesu aatumike banamasi' bake abi'li',
290b0200a6	ngaabakia, “Muyende pakilambo sakibile nnu'ngi' yinu. Pamutumbwa yingya bai, mukammona mwana mbu'nda atabilwe, na anakolelelwali na mundu. Mukamundwe, munnete pano.
290b03008a	Manaitei mundu ywoywoti kannaluya panga, ‘Mboni mupanga nnya?’ Mummakie panga, ‘Bwana endakumpala na aasi'yali kunki'li'bu'ya.’”
290b040066	Bai, pabayi'i ngabammona mwana mbu'nda, ywatabilwe mbwega ya simbasimba panja ya nniango, ngabamundwa.
290b050083	Pabaabile kabamundwa, bandu babaayi'mi papipi nabo baatikwalaluya, “Mupanga namani? Mwanjaa namani mumundwa mwana mbu'nda yu'?”
290b060056	Banamasi' ngabayangwa kati mu'lu' mwabaabakiyilwe na Yesu, nabembe ngabaaleka bayende.
290b070067	Bu'kapo, ngabampelekya Yesu yu'lu' mwana mbu'nda no tandika magu'bo gabe panani yake li'nga Yesu atame.
290b080072	Bandu baingi baatandike magu'bo gabe mundi'la, na bi'ngi' baatandike ndambi' ya mikongo yabakatike mumigunda yabe.
290b0900a6	Bandu boti babaalongoli nnu'ngi' ya Yesu na babaabile nsu'gu' yake baau'bwiye malobe gabe kababaya, “Nnu'ngu' alumbilwe! Ayaliwite ywembe ywaisa kwa lina lya Bwana!
290b0a0051	Uyaliwite ukulungwa wawisa wa au'ku' bitu Daudi! Nnu'ngu' wa kunani alumbilwe!”
290b0b00ca	Yesu aayingi pakilambo sa Yelusalemu, aayi'i ntawalia mpaka munyumba ya Nnu'ngu' na kukilinga wisowiso kila kili'be. Lakini kwa mwanjaa yaai kitamwiyo, ngayenda Betania pamope na balu' ku'mi na abi'li'.
290b0c0040	Pammalau' yake pabaabile kabauma Betania, Yesu yamminyike njala.
290b0d00eb	Bai, ngaubona nkongo wa ntini wene maakapi maingi kwa kuutalu. Ngauegelya li'nga aulinge, pi'ngi' kunani yake awesa pata litunda. Lakini paikite papipi nawo, aakibwenili kili'be ila maakapi sika, kwa mwanjaa nsimu wo waai wo pambikali.
290b0e00bf	Kwa nyo, Yesu ngaukosya lasi nkongo wu'lu' kaubakia, “Tumbulya nambi'yambi' ata milele, mundu kanealye litunda kai' bu'ka kunani yako.” Paabile kalongela go, banamasi' bake bai kabayu'wa.
290b0f00ed	Bu'kapo, ngabaika ku Yelusalemu. Yesu paayingi muluwa lwa nyumba ya Nnu'ngu', ngatumbwa kwabi'nganga bandu babasulusage na babapi'mage ili'be muluwa lwo. Aapi'li'ngwi mamesa ga balu' babati'kwanage mbanje na iti'gu' ya asulusi ba ngunda.
290b100065	Kai', annyi'ki'tiyeli mundu ywoywoti pi'ta apu'twile kigombo so sulusa paluwa lwa nyumba ya Nnu'ngu'.
290b1100d7	Bu'kapo ngaayi'gana mayi'gi'yo gano, “Iandikilweli mu Mayi'gi'yo Mapeleteu panga, ‘Nyumba ya Nnu'ngu' yaakemelwa nyumba yo salilya kwa bandu ba mataipwa goti?’ Lakini mwenga mwiyu'yite mbango ya apokonyoli!”
290b1200af	Api'ndo ba dini na balimu ba salya pabayu'wine go, baatumbwi pala ndi'la ya kummulaga, lakini bannyogopage kwa mwanjaa kipi'nga soti sa bandu kisangalage mu'lu' mwaayi'ganage.
290b130047	Payikite kitamwiyo, Yesu na banamasi' bake ngababu'ka pakilambo si'lu'.
290b14006b	Pammalau' yake kindai' pabaabile kabapi'ta, baaubweni wu'lu' nkongo wa ntini uyu'mite woti ata ngi'ga yake.
290b150082	Petili aaku'mbu'ki makowe gagaalongolile na ngammakia Yesu, “Mwalimu, uulinge wu'lu' nkongo wa ntini wawaaukosi lasi, uyu'mi.”
290b160041	Yesu ngaabakia banamasi' bake, “Mupalikwa mumwu'bi'li Nnu'ngu'.
290b1700b0	Kakape nimmakianga, mundu ywoywoti mana alongei kwo u'bi'lya na pangali kyukala pamwoyo wake, kakibakia kitu'mbi' si' kiyokoke pakibile kikatu'le mubaali, kakape ilu'a pangika.
290b18006a	Kwa nyo nendakummakia, gogoti gamugalu'ba kamusali, muu'bi'li panga mwendagapokya, ago gaalu'a panga ginu.
290b190093	Na pamuyi'ma salya, mana mubile na mayu'mano na mundu ywi'ngi', munsami, li'nga Tati' binu bababile kunani bansami mwenga makosa ginu nyinyonyo.”
290b1a0075	Lakini mwenga mana mukani kwasamya bi'ngi' makosa gabe, Tati' binu ba kunani bansamyali mwenga makosa ginu nyinyonyo.
290b1b00b7	Bai, Yesu na banamasi' bake ngabaika kai' Yelusalemu. Yesu paabile katyanga muluwa lwa nyumba ya Nnu'ngu', api'ndo ba dini, balimu ba salya na ayi'mi'li'ki ba bandu baatikunnyendelya.
290b1c0054	Ngabannaluya, “Upanga makowe ga kwa utawala gani? Na nyai ywakupei utawala wu'?”
290b1d007e	Yesu ngaabakia, “Nilu'a kunnaluya liswali limo, mana muniyangwile, nenga nilu'a kummakia kwa utawala gani nipanga makowe ga.
290b1e0066	Yoani Ywabatisage aapatike utawala wo batisa bu'ka kwa nyai? Kwa Nnu'ngu' au kwa bandu? Muniyangwe.”
290b1f00a9	Nabembe ngabatumbwa laluyana bene na bene kababaya, “Mana tuyangwi panga utawala wake waabu'i kwa Nnu'ngu', aatulaluya, ‘Kwa kitumbu saku' mukotwike kumwu'bi'lya?’
290b200094	Kai', tuwesali baya waaumi kwa bandu.” (Baayogwipe kipi'nga sa bandu, kwa mwanjaa boti baau'bi'lile panga Yoani kakape aai nnondoli ywa Nnu'ngu'.)
290b21007c	Bai, ngabannyangwa Yesu, “Tutangiteli.” Nembe ngaabakia, “Nanenga nimmakiangali panga nipanga ga kwa utawala waku'.”
290c010147	Bu'kapo, Yesu aatumbwi longela makowe ga kwa balu' api'ndo kwo tumya ngongo, “Mundu yumo aapandike minjabibu munng'unda wake na auti'li'ti'kiye lubi'go. Pakati yake aatengenise pandu po komangya minjabibu li'nga ipiye divai, na aasengite kisewe. Bu'kapo, ngaakolisa nng'unda wo kwa ali'mi no yabwa mwanja wa kunni'ma wi'ngi'.
290c02006d	Masu'ba go una pagatimile, ngantuma mpangakasi wake yumo kwa balu' ali'mi li'nga bampei iku'ta ya mauno gake.
290c03006e	Lakini balu' ali'mi ngabammoywa mpangakasi yu'lu', kunku'mbwa na kunki'li'bu'ya pangali kumpeya kikowe sosoti.
290c040088	Yu'lu' mwene nng'unda ngantuma kai' mpangakasi ywi'ngi'. Yu'lu' nembe ngabanku'mbwa, ngabannumiya muntwe na kumpangya makowe malau muno.
290c0500a6	Mwene nng'unda antumike kai' mpangakasi ywi'ngi', balu' ali'mi ngabammulaga. Bu'kapo ngaatuma bi'ngi' baingi, lakini balu' ali'mi baatikwalumiya na bi'ngi' kwabulaga.
290c0600af	Mwene nng'unda aaigali na mundu yumo bai, naywembe aai mwana wake ywampendile. Kuundi'la ngantuma kwa balu' ali'mi kabaya, ‘Nitangite panga balu'a kumwisimu mwana wangu'.’
290c070089	Lakini balu' ali'mi pabamweni kaisa, ngababakiyana, ‘Ayu' nga ywalu'a lisi nng'unda wu'. Bai, tummulage na nng'unda wu' upange witu.’
290c080063	Bai, ngabammoywa yu'lu' mwana na kummulaga, ntwi wake bautaikuli panja ya nng'unda wa minjabibu.”
290c0900ba	Bu'kapo Yesu ngaalaluya, “Bai, yu'lu' mwene nng'unda wa minjabibu alu'a panga buli? Ywembe alu'a isa na kwabulaga balu' ali'mi. Bu'kapo, alu'a kwakolisa nng'unda wu'lu' ali'mi bi'ngi'.
290c0a007f	Buli, munasomali Maandiko Mapeleteu gagabaya, ‘Liwe lyabalikani asengi, nambi'yambi' lipangike liwe liku'lu' lya pakitumembe.
290c0b0042	Likowe li' libu'i kwa Bwana, nalyembe lya ayabu muno kasitu.’”
290c0c00b8	Bai, abo api'ndo baapalike ndi'la ya kummoywa Yesu, kwa mwanjaa baatangite panga ngongo yo aalongelyage bembe. Lakini kwa kitumbu sa kukiyogopa kipi'nga sa bandu, ngabakotoka no bu'ka.
290c0d0071	Bai, bi'ngi' ba Mafalisayo na bandu ba kipi'nga sa Helode baatumilwe bampi'ndi'ke Yesu kwo pi'tya milongelo yake.
290c0e0152	Baatikunyendelya na kunnaluya, “Mwalimu, tutangite panga wenga wa mundu wa ukakape. Kai', unnyogopali mundu kwa mwanjaa, uyi'me wa mundu kili'be lili kasako, lakini uyi'gana ndi'la ya Nnu'ngu' kwa ukakape. Tubakiye, panga salya ya Musa yendatuyi'ki'ti'ya li'pa koli kwa Kaisali, nkulungwa wa Roma, au lili? Tupalikwa tuli'pe au lili?”
290c0f0091	Lakini kwa mwanjaa aatangite panga bandu balu' anapiki, ngaabakia, “Mwanjaa namani munipi'ndi'ka? Munileti lwela lumo pano li'nga nilulinge.”
290c100081	Ngabannetya lu'lu' lwela. Nembe ngaalaluya, “Kuminyo ku' na lina li' lyaliandikilwe, lya nyai?” Ngabannyangwa, “Kaisali.”
290c11006c	Bai, Yesu ngaabakia, “Ga Kaisali mumpei Kaisali na ga Nnu'ngu' mumpei Nnu'ngu'.” Boti baatisangala muno.
290c12007f	Bu'kapo, Masadukayo, balu' babakana u'bi'lya panga kubile na lisu'ba lyo yu'yi'lwa kwa awi'li, ngabamwisilya Yesu na kunnaluya,
290c1300a2	“Mwalimu, Musa aatuandiki panga mundu ywakobike mana awile pangali papa mwana, ipalikwa nnongowe ankobeke aywo nnwawa nng'wi'li'kwa li'nga ampapi nnongowe bana.
290c140068	Bai, kwabile na alongo saba, aywo mmele aakobike nnwawa lakini yu'lu' nnalu'me awile pangali papa mwana.
290c150077	Ywenebi'li' ngankobeka yu'lu' nnwawa, nembe ngawaa kai' pangali papa mwana. Ngaipanga nyinyo kai' kwa nnongo ywenetatu.
290c160084	Na boti saba bankobike nnwawa yu'lu' bu'ka po waa ywi'ngi', lakini baawile pangali papa bana. Kuundi'la, yu'lu' nnwawa nembe ngawaa.
290c17007a	Bai, lisu'ba lyo yu'yi'lwa babawile, ywembe aapanga nnyumbo wa nyai, kwa mwanjaa aakobekilwe na balu' alongo boti saba?”
290c180077	Yesu aatikwayangwa, “Mwobite kwa kitumbu so kotoka tanga mwagaandikilwe Mayi'gi'yo Mapeleteu na makakala ga Nnu'ngu'.
290c190062	Kwa mwanjaa awi'li pabaalu'a yu'ka baakobekali wala baaku'ndali, kati mwababile malaika ba kunani.
290c1a00f6	No bu'kana na uyu'ki wa babawile, munasomali mukitabu sa salya ya Musa galu' maandiko gagalongelya bu'kana na si'lu' kiwi'mbi' sasaayakite mwoto? Nnu'ngu' ammakie Musa, ‘Nenga na Nnu'ngu' wa Bulaimu, Nnu'ngu' wa Isaki, na Nnu'ngu' wa Yakobi.’
290c1b0060	Ywembe Nnu'ngu' ywa bandu babawile lili, ywembe Nnu'ngu' wa bandu akoto. Mwenga mutioba muno.”
290c1c00cb	Palu' Yesu pataukanage na Masadukayo, kwabile na mwalimu yumo ywa salya ya Musa, ywembe aatangite panga Yesu aayangwi wiso. Bai, aatikumwegelya na kunnaluya, “Amuli yaku' yaibile ngu'lu' pi'ta yoti?”
290c1d0073	Yesu aatiyangwa, “Amuli ngu'lu' nga yi'no, ‘Upi'kani wenga wa Isilaili, Bwana Nnu'ngu' witu nga Bwana yumo bai.
290c1e0077	Umpende Bwana Nnu'ngu' wako kwa mwoyo wako woti, kwa loo yako yoti, kwa malango gako goti na kwa makakala gako goti.’
290c1f008e	Na amuli yenebi'li' nga yi'no, ‘Umpende ywa papipi yako kati mwawipenda wamwene.’ Ntu'pu' amuli yi'ngi' ngu'lu' kulikoni yi'no ibi'li'.”
290c200090	Yu'lu' mwalimu ywa salya ya Musa ngammakia Yesu, “Ulongei wiso Mwalimu, panga Nnu'ngu' yumo kisake, wala ntu'pu' Nnu'ngu' ywi'ngi' ila ywembe.
290c21010a	Na mundu apalikwa kumpenda Nnu'ngu' kwa mwoyo wake woti, kwa malango gake goti na kwa makakala gake goti. Nembe apalikwa kumpenda ywa papipi kati mu'lu' mwaipenda mwene. Makowe go gangama muno kulikoni salaka ya nyama yo langamisa pamwoto, na salaka yi'ngi' yoti.”
290c2200cd	Nembe Yesu pamweni aywo mundu ayangwi kwa malango, ngammakia, “Wenga ubileli kuutalu no yingya muukulungwa wa Nnu'ngu'.” Payomwi longela go, ntu'pu' mundu ywalowite kunnaluya kai' Yesu likowe lyolyoti.
290c23008b	Yesu paabile kayi'gana muluwa lwa nyumba ya Nnu'ngu', aatilaluya, “Mboni balimu ba salya ya Musa babaya panga Kilisitu mwana wa Daudi?”
290c2400b0	Daudi mwene kalongoyelwa na Loo Mpeleteu aatibaya, ‘Bwana Nnu'ngu' ammakie bwana wangu', Utame kummalyo gangu', mpaka panaalu'a kwabi'ka andumu bako pai' ya magu'lu' gako.’
290c2500a8	“Daudi mwene ankema Kilisitu ‘Bwana.’ Kwa nyo, Kilisitu apangali mwana wake bai, ila Bwana wake kai'.” Si'lu' kipi'nga sa bandu saai kakimpi'kania kwo napusika.
290c2600b3	Mumayi'gano gake aatikwabakia, “Mwili'ndi'le bu'kana na balimu ba salya ya Musa, bembe bapenda tyanga bawati makanju malaso, no penda pangilwa abali na bandu kwa isima mumasoko.
290c270069	Kai', bembe bapendi tama muiti'gu' ya nnu'ngi' mumayumba ga kunnu'ba Nnu'ngu' no penda isimilwa muiyambo.
290c280082	Bapokonywa mali ya alwawa awi'li'ka no salya sala ndaso li'nga bayu'wanike na bandu. Kwa kitumbu si', balu'a ukumilwa munomuno.”
290c2900ba	Yesu aatami papipi na lisanduku lya amana ya nyumba ya Nnu'ngu', kaalingulya bandu mwabayi'ya mbanje nkati ya lisanduku li'lu'. Matayili baingi baayi'i mbanje yambone nkati ya lisanduku.
290c2a0040	Aaisi nnwawa yumo nng'wi'li'kwa nki'ba, ngapiya ela ibi'li' bai.
290c2b00bc	Bai, Yesu aakemite banamasi' bake na kwabakia, “Kakape nimmakianga, ayu' nnwawa nng'wi'li'kwa nki'ba, apiyite mbanje yambone muno kulikoni boti babaayi'ile nkati ya lisanduku lya salaka.
290c2c0091	Kwa mwanjaa bi'ngi' baabawi bu'ka mumbanje yababile nayo, lakini ywembe kwa uki'ba wabile nawo, aapiyite ili'be yoti yabile nayo mumaisa gake.”
