2800000008	מתיו
290427006d	ישוע קם, נזף ברוח ופקד על הים להירגע. מיד שקטה הרוח והים נרגע.
290428009a	לאחר מכן הוא פנה אל תלמידיו ושאל בתמיהה:”מדוע נבהלתם כל־כך? עדיין אינכם מאמינים בי?“
2904290087	התלמידים נמלאו פחד ושאלו זה את זה:”מיהו האיש הזה שאף הרוח והים נשמעים לו?“
29050100b3	בהגיעם אל הגדה השנייה של הכינרת ירד ישוע מהסירה, והנה רץ לקראתו מכיוון בית־הקברות איש אחוז רוח רעה.
2905030106	איש זה גר בבית־הקברות והיה בעל כוח פיזי אדיר. בכל פעם שאסרו אותו בכבלים ושרשרות הוא היה מנתק אותם בקלות ויוצא לחופשי. איש לא היה יכול להתגבר עליו.
2905050096	יומם ולילה נהג להסתובב כמשוגע בין הקברים ועל ההרים, צועק ופוצע את עצמו באבנים חדות.
2905060058	בראותו את ישוע מרחוק, רץ האיש לקראתו ונפל לרגליו.
29050700ec	ישוע פקד על השד שבתוך האיש:”צא החוצה, שד!“השד צעק צעקה מחרידה:”מה אתה עומד לעשות לי, ישוע בן אל־עליון? למען אלוהים, אל תייסר אותי!“
2905090083	”מה שמך?“שאל ישוע.”לגיון“, השיב השד.”אינני לבדי; אנחנו כאן שדים רבים.“
29050a0057	השדים התחננו לפני ישוע שלא ישלח אותם למקום נידח.
29050b005e	בקרבת המקום היה עדר גדול של חזירים שרעה במורד ההרים.
29050c0052	”שלח אותנו לתוך החזירים האלה“, התחננו השדים.
29050d00cc	ישוע הסכים, והם יצאו מהאיש ונכנסו לתוך החזירים. כל החזירים (בערך אלפיים) דהרו בטירוף במורד ההר ישר לתוך הים וטבעו.
29050e00d8	רועי החזירים ברחו לערים ולכפרים שבסביבה, וסיפרו לכולם מה שקרה. כל האנשים רצו מיד אל המקום כדי לראות את המחזה במו עיניהם.
29050f00ba	עד מהרה התאספו אנשים רבים ליד ישוע, אולם כשראו את האיש יושב לרגלי ישוע לבוש היטב ושפוי בדעתו, נמלאו פחד.
290510003a	עדי ראייה סיפרו לבאים מה שהתרחש,
290511005f	והאנשים התחננו לפני ישוע שילך משם ויעזוב אותם לנפשם.
2905120083	כשחזר ישוע לסירה התחנן לפניו האיש שיצאו ממנו השדים שירשה לו להצטרף אליו.
29051300c9	אולם ישוע לא הסכים לכך.”לך הביתה למשפחתך ולחבריך“, אמר ישוע.”ספר להם כיצד ריחם עליך אלוהים, ואיזה נס חולל בך.“
29051400a3	האיש הלך לבקר בעשר הערים הגדולות וסיפר לאנשים על הפלא הגדול שחולל ישוע, וכולם התפלאו מאוד.
290515007a	ישוע חצה בסירתו את הכינרת והגיע אל הגדה שממול, שם כבר חיכה לו קהל רב.
290516005c	אחד מראשי בית־הכנסת המקומי, יאיר שמו, נפל לפני ישוע
29051700d0	והתחנן בפניו שירפא את בתו הקטנה.”בתי גוססת“, קרא יאיר בייאוש.”אנא, בוא לביתי ושים את ידיך עליה, כדי שתבריא ותחיה.“
2905180070	ישוע הלך עם יאיר, והקהל הגדול הלך אחריהם, נדחף ונדחק סביב ישוע.
290519006d	בקרב הקהל הייתה אישה שסבלה משטף דם מתמיד במשך שתים־עשרה שנה.
29051a00bc	היא סבלה קשות מטיפולים של רופאים שונים, ולאחר שהוציאה את כל כספה, לא זו בלבד שמצבה לא השתפר, הוא אף החמיר!
29051b0068	היא שמעה על המעשים שישוע עשה, ולכן הלכה אחריו ונגעה בבגדו.
29051c005a	”אם רק אצליח לגעת בבגדיו אהיה בריאה“, חשבה לעצמה.
29051d0062	ואכן, ברגע שנגעה בבגדו פסק שטף הדם, והאישה ידעה שנרפאה.
29051e008a	באותו רגע הרגיש ישוע שיצא ממנו כוח ריפוי. הוא הסתובב לאחור ושאל:”מי נגע בי?“
29051f00ab	תלמידיו התפלאו על השאלה המשונה והשיבו:”ראה כמה אנשים נדחפים אליך מכל צד, ואתה שואל מי נגע בך?“
2905200071	אולם ישוע התעלם מהערתם והמשיך להסתכל סביבו, מחפש את מי שנגע בו.
2905210095	האישה, אשר ידעה כי נרפאה, התקרבה אליו, נפלה לרגליו בפחד ובחרדה וסיפרה לו את כל האמת.
2905220070	”בתי, אמונתך ריפאה אותך!“אמר לה ישוע.”היי בריאה ולכי לשלום.“
29052300c2	בזמן שישוע דיבר אל האישה, הגיעו למקום שליחים מביתו של יאיר והודיעו לאב:”בתך מתה; אין צורך להטריח את המורה.“
290524005d	אולם ישוע התעלם מכך ואמר ליאיר:”אל תפחד; רק תאמין!“
2905250075	ישוע עצר את הקהל ולא הרשה לאיש ללכת איתו, פרט לפטרוס, יעקב ויוחנן.
2905260070	בהגיעם לביתו של יאיר מצאו את כולם בוכים ומתאבלים על מות הילדה.
2905270098	ישוע נכנס פנימה ושאל את האנשים:”מדוע אתם בוכים ומתרגשים? הילדה לא מתה; היא רק ישנה.“
29052800d5	כל הנוכחים לעגו לו, אולם הוא לא שם לב לכך וביקש מכולם לצאת משם. הוא לקח את ההורים ואת תלמידיו ונכנס איתם לחדרה של הילדה.
29052900ec	ישוע אחז בידה של הילדה וקרא:”טליתא, קומי!“(כלומר:”קומי, ילדה!“) היא הייתה בת 12 והיא אכן קמה ממיטתה והתהלכה בבית. הוריה התפלאו מאוד,
29052b0086	אך ישוע הזהיר אותם שלא יספרו לאף אחד מה שקרה, וביקש שיתנו לילדה משהו לאכול.
2906010067	זמן קצר לאחר מכן חזרו ישוע ותלמידיו לנצרת – עירו של ישוע.
29060201e8	בשבת הלך ישוע לבית הכנסת ולימד את הקהל. אנשים רבים התפלאו מאוד על חוכמתו ועל הניסים שחולל. אך הם ידעו שהוא אחד מהם ושהוא גר בסביבה וקראו:”הוא אינו טוב מאתנו. הוא סך הכול נגר פשוט, בנה של מרים ואחיהם של יעקב, יוסף, יהודה ושמעון; ואחיותיו גרות כאן בינינו.“הדבר גרם להם עלבון.
29060400c1	”הנביא הוא מכובד רק בקרב אנשים זרים“, השיב להם ישוע.”בני עירו, בני משפחתו וחבריו לעולם אינם מכבדים אותו.“
29060500bf	בגלל חוסר אמונתם לא יכול היה ישוע לעשות שם מעשי גבורה גדולים. הוא רק הניח את ידיו על מספר חולים וריפא אותם.
2906060083	חוסר אמונתם הדהים אותו מאוד. לאחר מכן עבר ישוע מכפר לכפר ולימד את האנשים.
29060700c8	הוא קרא אליו את שנים־עשר התלמידים, נתן להם סמכות וכוח לגרש רוחות רעות ושדים, ושלח אותם בזוגות אל הכפרים והערים.
29060800c2	הוא אמר להם שלא ייקחו איתם דבר מלבד מקל הליכה; לא מזון, לא שמיכות, לא כסף ולא בגדים נוספים או זוג נעליים נוסף.
29060a0082	”בכל כפר הישארו אצל מארח אחד בלבד; אל תעברו ממקום למקום“, הורה להם ישוע.
29060b0118	”אם במקום כלשהו לא יקבלו אתכם ולא יקשיבו לכם, לכו משם. אך לפני שתלכו נקו את האבק מרגליכם, כדי שהאנשים יראו שמילאתם את חובתכם ועתה הנכם עוזבים אותם לגורלם.“
29060c0084	וכך יצאו השליחים לדרך. לכל מי שפגשו בדרך קראו לחזור בתשובה ולהפסיק לחטוא.
29060d005d	הם גרשו שדים רבים, ריפאו הרבה חולים ומשחו אותם בשמן.
29060e0131	גם המלך הורדוס שמע על אודות ישוע, משום שכולם דיברו על הניסים שחולל. המלך חשב את ישוע ליוחנן המטביל שקם לתחייה, ולכן אמר:”איני מתפלא על כך שהוא יכול לעשות ניסים ונפלאות.“
29060f00bd	אנשים אחרים חשבו את ישוע לאליהו הנביא שקם לתחייה; היו שטענו כי ישוע הוא נביא חדש בדומה לנביאים שחיו בעבר.
29061000a1	”לא“, אמר המלך הורדוס בהחלטיות.”אני בטוח שזהו יוחנן, האיש שאת ראשו כרתי. הוא קם לתחייה!“
29061100ce	זמן מה קודם לכן שלח הורדוס חיילים לאסור את יוחנן, כי יוחנן אמר שאסור להורדוס להתחתן עם הורודיה – אשת אחיו פיליפוס.
29061300a6	הורודיה שנאה את יוחנן בשל כך ורצתה במותו כנקמה, אולם לשם כך היה עליה לקבל את רשותו של הורדוס.
2906140100	ואילו הורדוס כיבד את יוחנן ולא הרשה להורודיה לפגוע בו, כי ידע שיוחנן הוא אדם ישר וקדוש. הורדוס אהב מאוד להקשיב לדברי יוחנן אף כי גרמו לו מבוכה.
29061500f8	ביום הולדתו של הורדוס הייתה להורודיה הזדמנות מצוינת להשיג את מבוקשה. המלך ערך מסיבה גדולה לכל האנשים החשובים, לקציני הצבא ולמושלי הגליל.
290616014f	בתה של הורודיה נכנסה לאולם ושעשעה את האורחים בריקודים. הורדוס נהנה כל־כך מריקודיה עד שנשבע בפזיזות:”חי נפשי, את יכולה לבקש ממני כל מה שתרצי ואני מבטיח שתקבלי זאת; עד חצי המלכות אתן לך!“
29061800c0	הבת יצאה מהאולם בהתרגשות ומיהרה להתייעץ עם אמה. הורודיה הורתה לה מיד:”בקשי ממנו את ראשו של יוחנן המטביל!“
290619008a	הבת מיהרה חזרה אל המלך וקראה:”אני רוצה את ראשו של יוחנן המטביל על מגש ומיד!“
29061a0072	המלך נמלא צער רב, אך לא יכול היה להפר את שבועתו בנוכחות האורחים,
29061b0107	אז שלח את אחד משומרי ראשו אל הכלא, כדי לכרות את ראשו של יוחנן. השומר כרת את ראשו של יוחנן והביאו חזרה על מגש. הוא מסר את המגש לבת, וזו מסרה אותו לאמה.
29061d007b	כאשר שמעו תלמידי יוחנן מה שקרה, באו לקחת את גופתו וקברו אותה לפי הדת.
29061e006a	בינתיים חזרו השליחים ממסעם וסיפרו לישוע כל מה שעשו ולימדו.
29061f00f5	”הבה ניקח חופשה קצרה מן הקהל הרב הזה וננוח במקום שקט – הרחק מכול המולה“, הציע ישוע, כי אנשים כה רבים באו אליהם, כך שלא היה להם זמן לאכול.
2906200056	ישוע ותלמידיו הפליגו בסירה למקום שבו קיוו לנוח.
29062100c1	אך אנשים רבים ראו אותם בעת שעזבו ורצו לפניהם לאורך החוף; הם כבר המתינו לישוע ותלמידיו במקום שבו עגנה הסירה.
29062200f3	כאשר ירד ישוע מהסירה וראה את הקהל שחיכה לו על החוף, נמלא חמלה, כי הם נראו בעיניו כעדר ללא רועה. הוא לימד אותם דברים רבים שהיה עליהם לדעת.
2906230100	עם רדת הערב באו התלמידים לישוע וביקשוהו:”אמור לכל האנשים האלה שילכו לקנות מזון בכפרי הסביבה, כי השעה מאוחרת ובמקום השומם הזה אין דבר לאכול.“
29062500e7	”אתם בעצמכם תאכילו אותם.“השיב ישוע.”במה נאכיל אותם?“שאלו התלמידים בתמיהה.”נצטרך הון תועפות כדי לקנות אוכל לכל האנשים האלה!“
29062600ab	”לכו לראות כמה ככרות לחם יש לנו“, אמר ישוע. הם חזרו ואמרו:”יש בידינו חמש ככרות לחם ושני דגים.“
2906270072	ישוע ביקש מהקהל לשבת על הדשא, ולשבת בשורות של חמישים או מאה איש.
2906290120	הוא לקח את חמש ככרות הלחם ואת שני הדגים, הביט לשמים, ביקש מאלוהים שיברך את האוכל. לאחר מכן פרס את הלחם ונתן לכל אחד מתלמידיו פרוסת לחם וחתיכת דג, כדי שיגישו לקהל.
29062a0037	והאנשים אכלו עד ששבעו לחלוטין!
29062b00d6	כחמשת־אלפים גברים (לא כולל נשים וילדים) השתתפו בארוחה, ולבסוף כשנאספו הפירורים והשאריות מהארץ הם מילאו שנים־עשר סלים.
29062d00ee	בתום הארוחה ביקש ישוע מתלמידיו לעלות לסירה ולשוט לבית־צידה, שם יפגוש אותם מאוחר יותר. ישוע עצמו נשאר להיפרד מהקהל ולשלח אותו הביתה.
29062e0051	לאחר שעזבו כולם עלה ישוע על אחד ההרים להתפלל.
29062f006c	בלילה, בזמן שהתלמידים היו בסירה באמצע הים וישוע היה על החוף,
29063000e3	הוא ראה שתלמידיו בצרה – שהם חותרים בחוזקה ונאבקים עם הרוח והגלים. בערך בשעה שלוש בבוקר הלך אליהם ישוע כשהוא פוסע על־פני המים,
290631009e	אולם כשראו התלמידים אדם הולך על־פני המים, נבהלו מאוד וצרחו מפחד, כי חשבו שראו רוח רפאים.
290632005d	ישוע דיבר אליהם מיד והרגיע אותם:”אל תפחדו; זה אני!“
290633008c	הוא עלה לסירה והרוח פסקה. התלמידים ישבו שם נבוכים לגמרי ולא הבינו כיצד זה קרה,
2906340067	כי למרות הפלא של הערב הקודם הם עדיין לא הפנימו את מה שקרה.
2906350095	ישוע ותלמידיו הגיעו לגינוסר, קשרו את הסירה ועלו לחוף. אנשי המקום הכירו מיד את ישוע,
29063700a8	ומיהרו לספר לכל אנשי הסביבה את דבר בואו. האנשים החלו להביא אליו חולים רבים על מיטות ואלונקות.
29063800e1	הם נשאו את החולים לכל מקום שישוע הלך – לכפר, לעיר או לשדה – והתחננו לפניו שירשה להם לפחות לגעת בכנף בגדו; וכל מי שנגע בו נרפא.
2907010072	יום אחד באו אחדים מהפרושים והסופרים אל ישוע כדי לחקור את מעשיו.
29070200a7	הם הבחינו בכך שכמה מתלמידיו של ישוע אינם נוטלים ידיים לפני הארוחה, כפי שנהוג במסורת היהודית.
2907030094	(במסורת היהודית של אז, במיוחד אצל הפרושים, נהגו ליטול ידיים עד למרפק לפני כל ארוחה.
2907040116	גם בשובם מן השוק עליהם ליטול ידיים לפני שהם נוגעים באוכל. זוהי רק דוגמה אחת ממנהגים רבים שהם מקיימים מאות שנים. דוגמה נוספת היא הכשרת סירים, מחבתות וכלים.)
29070500b1	הם שאלו את ישוע:”מדוע התלמידים שלך אינם שומרים את מסורת אבותינו הדורשת נטילת ידיים לפני הארוחה?“
2907060116	”צבועים שכמוכם!“ענה להם ישוע.”הנביא ישעיהו תיאר אתכם נכונה כשאמר:’ניגש העם הזה בפיו, ובשפתיו כבדוני, ולבו רחק ממני, ותהי יראתם אותי מצות אנשים מלומדה‘.
290708008b	”אתם מתעלמים ממצוותיו של אלוהים, ובמקומם אתם ממציאים מצוות ומנהגים למיניהם.
2907090077	ביטלתם את מצוות אלוהים כדי שתוכלו לקיים את המסורת שהמצאתם בעצמכם!
29070a008b	קחו למשל את המצווה’כבד את אביך ואת אמך‘. משה אמר שכל מקלל אביו ואמו מות יומת!
29070b00d0	ואילו אתם אומרים שמותר לאדם להתעלם מצרכי הוריו העניים, אם הוא מבטיח לתרום לעבודת אלוהים את אשר הוא חייב לתת להוריו.
29070c00a4	כך אתם מפרים את מצוות אלוהים כדי לקיים את המסורת שהמצאתם אתם. זוהי רק דוגמה אחת מתוך רבות.“
29070e007c	ישוע אסף סביבו שנית את כל הקהל ואמר:”הקשיבו אלי כולכם והשתדלו להבין:
29070f008e	לא מה שנכנס אל גופכם מטמא אתכם, אלא מה שיוצא מתוכו. כל מי שיש לו אוזניים שישמע!“
290711008b	לאחר שעזבו את הקהל והגיעו הביתה, שאלו התלמידים את ישוע למה התכוון במשל שסיפר.
29071200b2	”מה, גם אתם אינכם מבינים?“שאל ישוע בתימהון.”האם אינכם מבינים כי האוכל שאתם אוכלים אינו מטמא אתכם?
290713006c	הרי האוכל אינו בא במגע עם הלב; האוכל עובר דרך מערכת העיכול.“
2907140051	ישוע הוסיף ואמר:”המחשבות הן המטמאות את האדם.
2907150063	כי מקרב לב האדם יוצאות מחשבות רעות של ניאוף, גניבה, רצח,
290716008f	בגידה, רדיפת בצע, רשעות, רמאות, פריצות, קנאה, הוצאת־דיבה, גאווה, ניבול־פה וכדומה.
2907170095	כל הדברים הנתעבים האלה יוצאים מתוך לב האדם, והם המטמאים והמרחיקים אותנו מאלוהים.“
29071800de	ישוע עזב את הגליל והלך לאזור צור וצידון. הוא ניסה להסתיר את דבר בואו, אך לא עלה בידו. כמו תמיד נפוצו השמועות על בואו במהירות.
2907190092	לאישה אחת הייתה בת אחוזת שד. כאשר שמעה האישה על בואו של ישוע באה אליו, נפלה לרגליו
29071a008d	והתחננה לפניו שיגרש את השד מבתה (היא הייתה אישה יוונית שנולדה בפניקיה הסורית).
29071b00be	”תחילה עלי לעזור לבני עמי – היהודים“, ענה לה ישוע.”אין זה צודק לקחת את לחמם של הילדים ולהשליכו לכלבים.“
29071c00bc	”נכון, אדוני“, ענתה האישה.”אולם גם גורי הכלבים מקבלים תחת השולחן את השאריות והפירורים מצלחות הילדים.“
29071d007a	ישוע אמר לה:”בגלל תשובתך בתך נרפאה; לכי לביתך ותראי שהשד יצא ממנה.“
29071e0089	האישה הלכה לביתה ומצאה את בתה הקטנה שוכבת רגועה על מיטתה לאחר שיצא ממנה השד.
29071f006d	מצור הלך ישוע לצידון, ומשם חזר לים הכינרת דרך אזור עשר הערים.
2907200095	ההמון הביא אליו איש חרש ואילם, וכולם התחננו לפניו שישים את ידיו על האיש וירפא אותו.
29072100c5	ישוע הרחיק את החרש־אילם מההמון, הכניס את אצבעותיו לאוזני האיש, לאחר מכן ירק על אצבעותיו ונגע בלשונו של האילם.
2907220060	ישוע נשא את עיניו לשמים, נאנח וקרא:”אפתח“(”היפתח!“).
290723008c	מיד נפתחו אוזני האיש והוא שמע. גם לשונו הותרה והוא היה מסוגל לדבר ולשמוע היטב.
290724017e	ישוע ביקש מהנוכחים שלא להפיץ את הדבר. אולם ככל שהרבה להזהירם, כך הם הרבו לספר לאחרים, כי מעשיו הדהימו אותם כל כך. שוב ושוב קראו האנשים בהתרגשות:”ראו איזה מעשים נפלאים ונהדרים; הוא אפילו מסוגל לרפא חרשים־אילמים!“
29080100aa	יום אחד כשהתאסף קהל גדול סביב ישוע, שוב לא היה להם מה לאכול. ישוע כינס את תלמידיו כדי לדון במצב.
290802008e	”אני מרחם על האנשים האלה“, אמר.”הם נמצאים כאן כבר שלושה ימים, ונגמר להם האוכל.
2908030084	אם אשלח אותם הביתה רעבים, הם יתעלפו בדרך, מפני שחלקם באו ממקומות רחוקים.“
290804006c	”מאין נמצא להם אוכל במקום השומם הזה?“שאלו התלמידים בפליאה.
290805005d	”כמה ככרות לחם יש לכם?“שאל אותם ישוע.”שבע“, השיבו.
29080600e3	ישוע ביקש מהקהל לשבת על הארץ. הוא לקח את שבע ככרות הלחם, הודה לאלוהים עליהן, פרס את הלחם לפרוסות ונתן לתלמידיו כדי שיגישו לקהל.
290807007c	הם מצאו גם כמה דגים קטנים. ישוע ברך עליהם וביקש מתלמידיו להגישם לקהל.
2908080120	למרבה הפלא אכלו כולם עד ששבעו, ולאחר מכן שלח אותם ישוע הביתה. כארבעת־אלפים איש השתתפו בארוחה באותו יום, וכשאספו את השאריות והפירורים הם מילאו שבעה סלים גדולים!
29080a0066	מיד לאחר מכן עלו ישוע ותלמידיו לסירה ושטו לאזור דלמנותא.
29080b00c4	הפרושים בדלמנותא שמעו על בואו, ובאו להתווכח איתו ולנסותו. הם אמרו לישוע:”הראה לנו אות מהשמים, ואז נאמין בך.“
29080c00cf	ישוע נאנח אנחה עמוקה והשיב:”לא אחולל למענכם כל פלא ולא אראה לכם כל אות מהשמים. כמה הוכחות דרושות לכם כדי שתאמינו?“
29080d005b	ישוע עזב אותם, חזר לסירה ושט לגדה השנייה של הכינרת.
29080e007c	התלמידים שכחו לקחת איתם מספיק אוכל, ונותרה להם בסירה רק כיכר לחם אחת.
29080f00a0	בהיותם בסירה הזהיר ישוע את תלמידיו בתקיפות:”היזהרו מהשאור של המלך הורדוס ושל הפרושים!“
29081000c2	”למה הוא מתכוון?“שאלו התלמידים זה את זה. לבסוף הגיעו למסקנה שהוא ודאי מדבר על כך ששכחו לקחת איתם מספיק לחם.
29081100b4	ישוע הקשיב לשיחתם והגיב:”אתם טועים לגמרי. איני מדבר כלל על הלחם שבסירה. האם קשה לכם כל־כך להבין זאת?
2908120067	למה אתם לא רואים, למה אתם לא שומעים? למה אתם לא קולטים דבר?
29081300ec	”האם שכחתם את חמשת־אלפים האנשים שהאכלתי בחמש כיכרות לחם? אמרו לי, כמה לחם נותר לאחר הארוחה?“”שנים־עשר סלים מלאים“, ענו התלמידים.
29081400bc	”וכאשר האכלתי את ארבעת־אלפים האנשים בשבע ככרות לחם, כמה נותר בסוף?“”שבעה סלים מלאים“, השיבו התלמידים.
2908150071	”ואתם עוד מעזים לחשוב שאני דואג משום שיש לנו רק כיכר לחם אחת?“
29081600a5	בהגיעם לבית־צידה הביאו אליו מספר אנשים אדם עיוור, והתחננו לפניו שיגע בו וישיב לו את ראייתו.
29081700c0	ישוע אחז ביד העיוור והוציאו אל מחוץ לכפר, שם ירק בעיניו והניח עליהן את ידיו.”האם אתה רואה עכשיו?“שאל ישוע.
2908180099	האיש הביט סביבו והשיב:”כן! אני רואה אנשים; אבל הם נראים מטושטשים – כמו עצים מהלכים!“
29081900a0	ישוע הניח שוב את ידיו על עיני האיש, והן נרפאו כליל. עתה יכול היה האיש לראות למרחוק בבירור.
29081a0094	ישוע שלח אותו הביתה אל משפחתו ואמר:”אל תלך לספר את הדבר לאנשי הכפר; לך ישר הביתה.“
29081b00e5	ישוע ותלמידיו עזבו את הגליל והלכו לכפרי קיסריה של פיליפוס. בדרך שאל ישוע את תלמידיו:”מה אומרים עלי אנשים? למי הם חושבים אותי?“
29081c00b3	”יש אנשים שחושבים שאתה יוחנן המטביל, “ענו התלמידים,”ואחרים חושבים שאתה אליהו הנביא או נביא אחר.“
29081d0073	”ומי אתם חושבים שאני?“המשיך ישוע לשאול.”אתה המשיח!“קרא פטרוס.
29081e0046	אולם ישוע הזהיר אותם שלא יגלו זאת לאיש.
29081f00f6	רק מאז החל ישוע לספר להם על הייסורים המצפים לו, והוא עוד סיפר שראשי הכוהנים, הסופרים והזקנים יגרמו למותו, אך יקום לתחייה לאחר שלושה ימים.
2908200088	ישוע דיבר אתם בגלוי לב, אולם פטרוס לקח אותו הצידה והוכיח אותו:”אל תדבר כך!“
29082100dd	ישוע הביט בפטרוס ואמר לו בחומרה:”סור ממני, שטן שכמוך! אתה מסתכל על הדברים מנקודת ראות אנושית, ולא מנקודת ראותו של אלוהים.“
29082200c2	ישוע ביקש מתלמידיו להתקרב אליו ולהקשיב.”מי שרוצה ללכת בעקבותיי עליו להתכחש לעצמו, לשאת את צלבו וללכת אחרי.
29082300a2	מי שחפץ להציל את חייו – יאבד אותם, ואילו מי שיוותר על חייו למעני ולמען הבשורה – יציל אותם.
290824006f	”איזה רווח יש לאדם שיכול להשיג את כל העולם אבל מפסיד חיי־נצח?
2908250041	מה כבר יכול בן־אדם לתת בתמורה לחייו?
29082600df	דעו לכם, שכל מי שמתבייש בי ובדברי בדור החוטא וחסר האמונה הזה, הוא יהיה לבושה לבן־האדם כאשר יבוא בכבודו עם המלאכים הקדושים.“
29090100d4	ישוע המשיך לדבר אל תלמידיו:”אני אומר לכם, שאחדים מכם העומדים כאן היום יזכו לחיות ולראות את מלכות אלוהים באה בגבורה!“
29090200df	כעבור שישה ימים לקח ישוע את פטרוס, יעקב ויוחנן ועלה איתם על פסגת הר גבוה. רק ארבעתם היו שם. לפתע זרחו פניו של ישוע בזוהר נפלא;
2909030035	בגדיו הבריקו והלבינו עד מאוד.
2909040060	והנה הופיעו אליהו הנביא ומשה רבנו והחלו לדבר עם ישוע.
29090500a6	”רבי, כמה טוב שאנחנו כאן!“קרא פטרוס.”אנחנו ניבנה כאן שלוש סוכות לכבוד – לך, למשה ולאליהו!“
2909060068	פטרוס לא ידע מה לומר, כי התלמידים היו מבוהלים וחסרי מילים.
290907007d	בעודו מדבר סכך עליהם ענן, ומתוכו קרא קול:”זהו בני האהוב, שמעו בקולו!“
2909080078	התלמידים הביטו סביבם וגילו שאליהו ומשה נעלמו, וישוע לבדו נותר עמם.
2909090092	כאשר ירדו מההר ישוע ציווה עליהם שלא יספרו לאיש את מה שראו, עד לאחר שיקום מן המתים.
29090a00d3	השלושה לא גילו את הדבר לאיש, אולם שוחחו על כך בינם לבין עצמם, ולעיתים קרובות תהו למה התכוון ישוע כשאמר שיקום מן המתים.
29090b0098	התלמידים שאלו את ישוע מדוע הסופרים אומרים שאליהו הנביא צריך לבוא תחילה (לפני המשיח).
29090c017c	ישוע השיב שאליהו באמת צריך לבוא קודם וישליט סדר בכל, ושלמעשה אליהו כבר בא ואותם האנשים נהגו בו באופן מחפיר – בדיוק כפי שניבאו הנביאים.”למה אתם חושבים שהתכוונו הנביאים כשניבאו שהמשיח יסבול עינויים וחרפה?“שאל.
29090e0098	למרגלות ההר הם פגשו את תשעת התלמידים האחרים, מוקפים בקהל רב ומתווכחים עם כמה סופרים.
29090f0061	הקהל הביט בישוע בכבוד ובהערצה, וכולם רצו לקבל את פניו.
2909100038	”על מה אתם מתווכחים?“שאל ישוע.
290911008b	איש מהקהל השיב:”רבי, הבאתי אליך את בני שתרפא אותו; נכנס בו שד המונע ממנו לדבר.
290912012d	בכל פעם שהשד תוקף את הילד הוא משליך אותו על הרצפה, והילד האומלל מזיל ריר מפיו, שיניו נוקשות וכוחותיו עוזבים אותו. ביקשתי מתלמידיך לגרש את השד, אך הם לא יכלו לעשות זאת.“
290913008e	”הו, דור חסר־אמונה, “אמר ישוע,”עד מתי יהיה עלי לסבול אתכם? הביאו אלי את הילד.“
29091400ac	הם הביאו אליו את הילד, אך ברגע שראה השד את ישוע הוא תקף את הילד, הפיל אותו על הרצפה וריר נזל מפיו.
2909150070	”מתי החלו ההתקפות האלה?“שאל ישוע.”בהיותו ילד קטן“, השיב האב.
29091600cb	”לעיתים קרובות מנסה השד לדחוף את הילד לתוך אש או לתוך מים, כדי להרוג אותו. אנא, רחם עלינו ועזור לנו, אם אתה יכול.“
290917006f	”אם אני יכול?“אמר ישוע.”אם אתה מאמין, הכול אפשרי ובר ביצוע!“
2909180064	”אני מאמין! אנא עזור לי וחזק את אמונתי!“התחנן האב בבכי.
29091900c4	כשראה ישוע שהקהל הולך ורב, נזף בשד ופקד:”שד חרש ואילם, אני מצווה עליך לעזוב את הילד הזה ולא לשוב אליו לעולם!“
29091a00b3	השד פרץ בצעקה מפחידה ושוב השליך את הילד על הרצפה ויצא ממנו. הוא נראה כגופה לכן עבר לחש בקהל: הילד מת.
29091b007a	אולם ישוע אחז בידו ועזר לו לעמוד על רגליו, והילד הזדקף – בריא לגמרי.
29091c009a	כאשר נשאר ישוע בבית עם תלמידיו לבדם, הם שאלו אותו:”מדוע לא יכולנו אנחנו לגרש את השד?“
29091d0053	”זהו מקרה מיוחד שדורש תפילה וצום“, השיב ישוע.
29091e0193	הם עזבו את האזור ההוא ועברו דרך הגליל. ישוע לא סיפר לאיש על בואם, כי רצה לבלות זמן מה עם תלמידיו ולהכינם לקראת מה שעומד לקרות לו.”בן־האדם עומד להימסר לידי אויביו“, פתח ישוע.”הם יהרגו אותו, אולם לאחר שלושה ימים יקום לתחייה.“
2909200058	התלמידים לא הבינו למה התכוון, אך חששו לשאול אותו.
2909210095	כשהגיעו לכפר־נחום ונכנסו לבית מארחיהם שאל ישוע את תלמידיו:”על מה התווכחתם בדרך?“
290922005a	הם התביישו לספר לו, משום שהתווכחו מי החשוב ביניהם.
29092300b9	ישוע התיישב, קרא אליו את התלמידים ואמר:”מי שרוצה להיות הראשון צריך להיות האחרון – עליו לשרת את כולם!“
2909240074	ישוע קרא אליו ילד קטן והציג אותו לפניהם. הוא חיבק את הילד והכריז:
29092500a1	”כל המקבל ילד קטן כזה בשמי – כאילו מקבל אותי; וכל המקבל אותי – מקבל את אבי אשר שלח אותי.“
29092600c0	יוחנן תלמידו פנה אליו ואמר:”רבי, ראינו איש שמגרש שדים בשמך ואמרנו לו לחדול מכך, כי אין הוא שייך לקבוצתנו.“
290927008a	”אל תמנעו ממנו, “אמר להם ישוע,”כי מי שעושה דברים כאלה בשמי לא ידבר עלי רעות.
2909280034	כל מי שאינו נגדנו הוא לצידנו.
2909290086	מי שייתן לכם אפילו כוס מים בלבד, משום שאתם שלי, אני מבטיח לכם שיקבל את שכרו.
