2900000006	Malkus
290b0c003a	Cilkǝlu nǝ za'ti betanya wasǝn, a Yesu ɗǝ kum kuzǝn.
290b0d00b0	Nǝ' en pǝkkǝ kah tel lolu u mul dwa lede, Nǝllǝ' ya ni u tambi mil tǝnkiwai. Nǝm mbǝci ma'tu, tambi ulǝn tǝnkiwai amma dwakatl, gaki luɓal kǝpǝtl mil ki kah u wai.
290b0e005a	I ul kah nisisu, “Bǝmulǝn ɗam mil lwanǝwai hal patwagi!” Amilkushtiwas ɗǝ kubti.
290b0f00a2	Is mbǝci Ulshelima, I Yesu tye ge' libi ki Lya i'gop katti mil ultitaka alǝbi, i'dǝzhanisi kundǝn ki ulpwasǝn taka, ne' mil shotti ulpi, ne'mil utl balutaka,
290b100031	Taza'si sǝllǝ ge' libi ki Lya nǝ ulǝn nǝwai,
290b110095	Ippisi shilǝn, i ulsisu, “Kilaciɗa: ‘Libi ini nǝndemti libi shilǝn ki Lya ki mi' dǝplǝɓa’ ki ni ɓo ka palliniyi lu dǝpki mǝgǝlsi.”
290b1200bc	Nǝbas lǝɓasi nemi' lashti zhil ki Musa nǝskumshilǝni u is gop ngau shitu kigoptiti sǝ'tloti, gaki mbalǝn diɓǝli sikupɓultwasi, mus dopga ki mbalǝn si kup gagashit ki kushtiwasi.
290b13003a	Nǝ su' pǝ u Yesu ne' milkushtiwasi is pe' ɗǝ ge'gadli.
290b14003f	Nǝkyau si ɓeuti, is ye'kah nǝsi akokkǝnyi hal nǝ tlilgisi,
290b15005a	Bitlus dambǝlti i' ul Yesu su, “Mullashti, nǝya! Kah u nǝ' pǝlibbi u. Akokkǝn i!”
290b160036	I Yesu ndǝgi. I' ulsisu, “Lakǝn mbadli tǝn Lya”
290b1700a4	“Bali a mipi'kini, in mulnǝ a ndǝ nǝ Lya u, tǝn ma' utl calgatl usu, ‘Ndus ɗǝki nda swa ge' dlǝlka u’ abǝ ta bwas mba dlwa swai u nǝn pǝlitti ulisi.
290b180060	Gaki nǝgu a mi pikkini ulnǝ ka gyemin ge' shilǝn nǝ Lya u, i' ndǝ nǝ nali u, kǝm mbitini.
290b190096	Kogassi u kǝn kidlǝlni ɗǝ gyep Lya u, in ka ngapǝn mullǝn mbatlu, a tusintaka, Gaki bwaswakǝn ki lya ma tǝn tusi'kin bezǝn lǝɓawakǝn taka.
290b1a0073	Inkiɗa tusti mulnǝ ngapǝnti mbatl takawai u bwaswakǝn ki lya ma tikǝn ndusi'kin ulnǝ ki pǝliti u takawai.”
290b1b0084	Nǝspalswa Ulshelima u, ti dut tyagelu libi ki Lya, i Lǝɓasi ne'mi'bǝl lashti zhil ki Musa, nǝ mi'kina ki mbalǝn is mbǝ ma'ti,
290b1c005a	Is ul Yesu su, “Nǝ shitu u kǝn kipǝl usiɗa u? Wokǝn bǝlkishitu kǝpǝlti nǝgu?”
290b1d0075	Yesu i' ulsisu, “Ta pǝllikin undi gyepton. A ndǝgi nǝni, amine adlǝmi'kini nǝ ndǝtl ki okǝn amipǝl usi ɗa.
290b1e0048	Baptisma ki Yahaya sul lya, kǝnpeka koki mbalǝn kǝni? Dlǝminǝni!”
290b1f0088	Is gob shottibi ne' elsǝni asi usu, “In ma ulnǝsu, ‘Sul lya kǝn pe'ku’ tǝn ulminsu ‘Ya lakiɗa bǝma ndǝ ninǝti ɗawai?’
290b200081	Ngo nǝnǝgu sa ussu, ‘Ki mbalǝn kǝn u’” (Siɓulti' hwu'mbalǝn, nǝ kowongi simani Yahaya mul nje shinkǝ ki Lya kǝni.)
290b210067	Is ndǝgi' Yesu, “Simani wai.” I Yesu usu, “Akǝn pi'kini nǝ ndǝltu kǝn amipǝl usi ɗawai.”
290c0100e0	Yesu pǝlisi shilǝn nǝ cibǝlti, i ulsisu, “Mullǝn ɗa mulnǝ pǝl gu inabi. I' gandǝli, i' ɗushu ki cetti mill inabi isi. I' kǝn yakǝn kǝs ki mul ɓutti gu. Ip bǝl mbalǝn yen mi' kwolu kǝ lǝbi. Ilǝge Atliwon.
290c02004d	Nǝgis cilu, i shin zheliwasi ma mi' kwolu i tǝ'kami' na mil inabi i te'ɗi.
290c030040	Ngo nǝnǝgu mi'kwolluyi is gobti, is liti is katti tohwas koni.
290c04003f	I' shin zheli won' ɗanu ma'si; is li'muli aga, is lati ge'sha.
290c050078	I' shin gon'ɗanu, tiɓo, is tloti. I shin gen ɗanu diɓǝli; genwasǝn gen'ɓo is tlosi, genwasǝn ge'si ɓo is li'si.
290c060075	Hal nǝgunma Yakǝn, nǝm ɗiti. Gunǝ ti lyapti u. Ibpa' shi' yakǝni swamasi, i' usu, ‘nǝgon as yen naltwasi.’
290c07007e	Ngo nǝnǝgu mi'kollu i ma is ul elsǝsu ‘Yakuwas kǝngu, mulgu tiɗǝ nje' bwasi nganni, Mi tloti, alǝɓayi dǝmginǝn.’
290c080028	Is gobti is tloti, is latitaka tyakalbi.
290c090057	Yakǝn tǝ mulgu i pǝli? Tǝn mbǝti a tlwami' kwollu i si, ab bǝlmbalǝn yen gu isi.
290c0a008c	Kiniɓo ka yanǝn shilǝn ki Lya ki laci gasonwaiya? Ki laci ɗa ɗǝ ussu, ‘Zǝnga u nǝ mi' kǝbbi nge u, i dǝm zǝnga gǝsbi ki ze'ki.
290c0b003b	Gu kyautǝn ki Lya kǝni, ma'mini ulki gagashi'kǝni.’”
290c0c00b4	Bal lǝɓa, nǝ mi' bǝtl lashti zhil ki Musa ne' mi'kina is ngau shitu ki gobtiti, simani cimɓǝlti u tǝnsi ni, is kum ɓulti ki hwu mbalǝn. Gaki nǝgu is zati, is ziga wasǝn.
290c0d0055	Is shin palisiyawa yentey nǝ mbalǝn ki Hilidus, gaki si hwodǝl Yesu geshilǝ wasi.
290c0e00e4	Nǝs mbǝ u, is ultisu, “Mul, lashti mimani ki mul dlǝb balini, kiɗa olt mbalǝn wai, i' kan kowonngi ndatce, sai kullcit mbalǝn shitu ki Lya kǝnkiɗa. A ndalini ki tǝnɓalt upki banya, ki Kaisalya bal gu ki Loma, ko imi?
290c0f00a4	Tǝm ɓatliya kobǝn ɓatliwai?” Ti'ma nǝm mangashtwasǝn u nǝsikǝn ndǝtti u, I'ulsisu, “Yalaki i ki cimbǝltǝn ɗa? Nǝ kaminǝn ulpu te'ɗi tanǝyani.”
290c100066	Is kamiktai. I ulsisu, “Shin ki wokǝni nǝ shishipti ki wokǝntǝnki? Is ultisu, ki Kaisalkǝni.”
290c110070	I Yesu ulsisu, “Bǝlǝn Kaisal, ulnǝ ki Kaisal u, a'bǝlǝn Lya ulnǝ ki Lya u.” Is kum gagashinti ki Yesu.
290c12004e	Sadukiyawa, si ussu, tlǝllya ki mi' mǝshtiɗawai, is mbǝ ma ti, nǝ gyemti,
290c13009e	“Mul lashti” is usu, “Musa alacimi, ǝn yelse ki mulǝn amǝcu, isza kǝliwasi bǝ yakǝn ni'ɗawai u, adǝmi hwel ki kan kǝlisi, azi yelse wagisi mil.
290c14005f	Is, pǝl mbalǝnyen elsǝni ini mwani gudǝl ninngi. Nǝm pǝl kutleti, immǝci taza yakǝnwai.
290c15004f	Kilopisi ma i kǝnkǝli i, tima immǝci, tambi Yakǝn sitwai. Ki maki ma nǝgu.
290c160041	Nǝgu must ningi i sambi yakǝn ne'twai. Patibisi ikǝli i mǝci.
290c170066	Gas, tlǝllya kǝmik mashti, kǝli kǝwo kǝntidǝmi age' si? Gaki muswasǝn sadǝm nǝkǝli isi i.”
290c180066	I Yesu ulsisu, “Gaki nǝgu ki gǝlni ɗawaiwa? Gaki kimanǝn lwabatwai, bǝmanǝn pǝlti ki Lya wai.
290c190074	Gas tlǝllya kǝmik mǝshti kuletti nǝn ɗawai, abǝkǝndǝti nǝn ɗawai, sitdǝm kǝnǝ milshinkǝn ki Lya kǝni.
290c1a009b	Gaki tlǝl lya kimi mǝshti, kataɓa, dlap lashti ki lwabakki musa waiya, kǝnǝgunǝ Lya ultisu, ‘Ami ki Lya ki Iblahim, nǝ Ishaku nǝ Yakubu waiya?’
290c1b004f	Gi'nǝ Lya wasǝn bǝ mul mushtiwai u, Lya wasǝn kamini. Balini kagǝlni i.”
290c1c00a1	I mul bǝl lashti won ki Musa immbǝ immbisi ɗǝ shotti bi ne yelsǝni. Nǝ' en Yesu apǝlisi shilǝn ki zeki u in gyem Yesu, “Zhilu kǝnki mul natl kǝni?”
290c1d005e	I Yesu ndǝgiti i ultisu “Mul nalti tikǝ, ‘Kumini mi' Islaila, Lya i nǝn, Lya nǝmkǝni.
290c1e004c	Lyam Lya wagi nǝ mbadlwagi, nǝ dliwagi, nǝmanti wagi, nǝ ndǝl twagi.’
290c1f0065	Mul bǝtlti iki, ‘ki Lyam yelsewagi kǝnǝ gawagi.’ Zho ulǝn nǝnɗa ti ngǝtl gu nǝnaltwai.”
290c200069	I' mul lashti zhil ki Musa i ultisu, “A ndǝgi balini mul lashti, Lya nǝm kǝni, gonnǝn ɗawai saiti,
290c2100b2	A' lyam Lya nǝ mus mbatlwagi, nǝ mus mantiwagi, nǝ mus ndǝltwagi, a' lyam yel'sewagi kǝnǝ gawagi, Ai ngǝtl ulnǝ ki kyeli Lya u nǝ poshti poshti u nǝ kini ɗa u lolu.”
290c220097	Nǝ Yesu Ye'ni tapǝlli shilǝn ki zeki u, I ultisu, “Kiɗa lolu nǝ gu'ki Lya wai.” Pa'ti bisi mulǝn a ngemti nǝ ndǝl ki mbatl ki ullǝn nuwai.
290c23007a	Nǝ Yesu ɗǝ, kulcik mbalǝn age libi ki Lya i' usu, “Yalaki i mi' lashti zhil ki Musa usu almasihu yakǝnkǝ Dauda ni?
290c24009c	Dauda gawasi, tǝn ndǝl ki yalki mbatl ki Lya ki gunti I usu, “‘Lya ul Lya i usu, “Dǝm tǝn toh shimtini, he nǝ azǝkki a ga ɗǝ mik ngekki.”’
290c250068	Dauda gawasi immɓe' ki ‘Lya.’ Yala'ti atdǝm yakuwasɗa?” Hwu mbalǝn is ga'ki' kǝm nǝ holtugi.
290c2600b8	A ge'lu kulcik mbalǝn ki Yesu, i' usu, “Pǝn ɗemɗem nǝmi bǝtl lashti zhil ki Musa, mi' lyap dunnǝ bas lulugǝl, lyamtiwasǝn tǝ mbalǝn gob shinnissi age'lu ulti nǝ ultitaka,
290c270059	lyamtiwasǝn tǝ mbalǝn bǝtlsi ludǝp kizeki age'lu dopga ki Yahudawa, nǝlu daddabǝl.
290c280089	Siki mi'ɗap lǝɓa ki mudliyi nǝ mwani mǝcisi u, nǝ pǝtl pyasi' shilǝn nǝ Lya gaki gǝl assan. Sisǝ' pocisi batlti mulndǝlti.”
290c290084	I Yesu dǝm malgun kǝlu kap up ki libi ki Lya, ati ya' ulpu nǝsi uttti agibɓi u. Hwu mbalǝn mik ulki toh asi utti ulpi milnalti.
290c2a0073	Amma guli kǝliwonmbǝ gunǝ bǝ ullǝn nǝɗawai u gunǝ mwaniwas mǝci i bǝl bwasti dlom ki kobo, iki kobo nǝm,
290c2b0084	I Yesu taki milkushtiwas bi, i ulsisu, “Balini, amipikkini, ulnǝ guli u utti u gunǝ bǝ ulǝn nǝɗa wai u ngǝl ki mbalǝn kap.
290c2c0065	Musswasǝn si bǝlini tǝngaki usǝn wasǝn, ti ɓo jwa ulnǝ nǝtoh u tǝbǝli, gunǝ itidǝmiti.”
290d010074	Yesu ɗǝpeti tet libi ki Lya, nǝm age'mil kushtiwasi i ultisu, “Mullashti, nǝyen undi zǝnga i nǝ kǝpbi i!”
290d020062	I Yesu ultisu, “Kǝn ɗǝye' unndibas kǝpbi iwa?” Ba zǝnga u nǝ bǝkǝn dizhatti takawai u.
290d030083	Yesu kǝdǝmi atǝn zǝga Zaitun gunǝ ɗǝ ya' libi ki Lya u iki Bitlus, nǝ Yakubu, nǝ Yahaya, nǝ Andalawas is gyemti amalgǝni
290d040057	“Dlǝmimi anǝmi sǝppǝl usi u? Undi ulu kǝntǝn yeni gasi u nǝɗǝ lyap ndatu?”
290d050032	I Yesu ulsisu, “Maninca bǝ mulǝn gǝl kiniwai.
290d060061	Mbalǝn diɓǝli sǝn bǝti ge' shin ini, asi ussu ‘Siki ami,’ hal Sǝngǝl mbalǝn diɓǝli.
290d070086	Inki kup shilǝn ki dlati dlati nǝ kumini kumini wasǝn u bǝ ɓatlwakǝn tlǝwai. Hwel nǝgu tǝnda, amma pati bisi i' ɓalla u wai.
290d080094	Mɓalǝn nǝntli yelsǝni mbalǝn, gunti, nǝntli gunti. Nǝngotti kup nyapti ki atli agǝ luyen, nǝ kuzǝn. Ngo nǝnǝgu la'ti gǝs ki bǝnani.”
290d0900c6	“Pǝn ɗemɗem nǝ gawakǝn, gakisǝn tilakin kina ɗǝ mik atli, as likin age lu dopga ki Yahudawa. Gaki shin ini, kin dliti akina ɗǝmik kǝndǝdlom nǝ gumsi tǝn gaki ki pisi ulnǝ' manini u.
290d0a003d	Adǝmi hwel gopti shilǝn ki Lya kǝn pa tǝn dlǝmi mbalǝn.
290d0b008e	Ga'si unǝ satǝlakin kina ɗǝ gumsi' u, bǝ hwok kiniwai, ngo nǝnǝgu kini kǝmil shilǝnwai, Yalkimbatl ki Lya kǝn bǝtl kin ulki dlǝmi.
290d0c006c	Yel'se nǝn bǝtl yel'sewasi as tloti, bwasi tǝn bǝtl yakuwasi mil nǝn tlǝlli' mikzi'si as laki a tlosi.
290d0d0059	Mbalǝn nǝnnge'kini gaki shin ini, ngo nǝnǝgu mulnǝ a ngashbi nǝpatwasu tǝnpeti.”
290d0e00a3	Ka yenǝn a dllǝl bezǝn kyautǝn mull cik zhenti gelu unǝ bǝ a mbunwai u (mull dlǝm lashti tǝmmanica), Ginǝ ge' atl ki Yahudiya u as kitǝli as tege'zǝnga.
290d0f0044	Mulnǝ ge libi ki lya u bǝppe' suɗi atte' libi gaki ka' ullǝnwai.
290d10002d	Mulnǝ agegu u bǝ pal te' ɗǝ ka' lulutwai.
290d110036	Mi' tugi nǝ mi' mil kali age'cin u ulki cik go'kǝni!
290d12002e	Shilǝnni nǝ Lya bǝ ulu nda age' watlǝnwai.
290d1300a4	Age cin u nǝnpǝl bezǝn lǝɓa u nǝ bǝ a pǝldlǝ gason wai u, tun nǝ Lya pǝl dǝplǝɓa, i mbǝl cin ki sǝti, kǝnpǝl u ndwas nǝwai, nǝpatiki dǝplǝɓa.
290d140064	“Tǝ' Lya abosǝn mutti takawai u, da mulǝn kǝnsatwai, gaki ginǝ olsi i, in ndokǝl mutti taka.
290d150060	Age cin u inmullǝn a ulkisu, ‘Yen Almasihu ngu u!’ Ko ‘yenǝn, ti ngwa!’ Bǝ ndǝniwai.
290d16009a	Gaki almasihu ki lǝgati nǝ mik njeshinkǝn ki Lya ki lǝgatti sǝn peti teɗi asi pǝl ulkǝ gagashinti tǝn gaki sǝ'gǝl ginǝ' olsi i, ǝnnǝn pǝtu.
290d170048	Tǝngaki nǝgu a' pǝn ɗemɗem; apikini mus lǝɓa u nǝ nǝn ndatu.”
290d180052	“Amma age' muttyi, kalki bǝna, “‘Cin nǝndǝp dǝmshal, Liy kǝn cil nuwai.
290d19003d	Cadlǝl nǝn gobti nda sullya, Nǝn wu' bas lǝɓa ki lya.’
290d1a005f	“Age' cin u mbalǝn nǝn ye' Yakǝn mbalǝn ɗǝ mbǝtige' ku'kuti, nǝ naltwasi nǝ ndǝlti.
290d1b007e	Tǝnshik mil shinkǝnwas suɗi as dom ginǝ' olsi kal nǝ kina, tohna nǝ tohshimti, nǝ ngwatlti ki dǝplǝɓa nǝ ki lya.”
290d1c0055	“Kulcin ulǝn tǝn pǝt ki kah: Kayenǝn tǝɓal dǝltu, manini watlǝn ɓal nja i.
290d1d0056	Ɗaɗanu kayenǝn u ndigi ɗǝ ndatu, manini tǝɓal nja i, tǝn bidlabi kǝn tiɓali.
290d1e003c	Balini, amipikkini, hwonnu kǝnpatwai, sainǝ mus usi a nda.
290d1f0038	Lya nǝ atli nǝn pati amma shilǝn yini kǝnpa'twai.”
290d20005d	“Amma cini nǝ gasi isi, mullǝn maniwai ko mik shinkǝni ko Yakǝni, mul zǝtti mani katl.
290d210062	Pǝn ɗemɗem! Dǝmni nǝ manti aki shilǝn nǝ Lya! Gaki ki manǝn gasi u nǝtǝ cin u mbǝ uwai.
290d220081	Kǝnǝ mullǝ'lo kǝni: Isza' libiwasi ipbǝl zheliwasi kyautǝn ko gukǝni nǝ kyautǝnwasi, i'ul mul kitǝn dlabi usu Dlǝlgal.
290d230066	Dlǝlnigal, gaki kǝmanǝn gasi unǝ tǝmullibini paluwai, ko asuti ko agasi ko abilucili ko nǝ kyau.
290d24002e	Bǝm mbǝ katl, ambikin ɗǝ nde' Yemmbuɗwai.
290d250039	Ulna dlǝmmikini u, I ami pikkini: ‘dlǝlni galt!’”
290e0100c9	Mutti lob kǝn ɗǝ as pǝl daddaɓǝl ki ɗakǝshti ki biledi u' nǝ bǝ Yis ɗagibiwai u, I bas lǝɓasi ki Lya nǝ mi'lashti zhil ki Musa is ngau shitu u nǝ sǝ' gob Yesu ɗa u ki hwuni sǝ' tloti.
290e02004a	Is usu “Bǝspǝli ge' daddaɓǝl luwai, gaki ɓa mbalǝn tlǝl dlati.”
290e0300dc	Yesu a Betaniya a libi ki mulnǝ si mbeti ki Saminu dakǝl. Ti ɗamti ngu, I kǝliwon mbǝ nǝ yakǝn lǝda gunǝs pǝli nǝ zǝnga ki onis, nǝ mil a giɓi ki naldi mul ulpi. It tatl lǝda mili, it ci ndǝlli' Yesu aga.
290e04005d	Ginǝ a lǝbi u is kum lwetl ki mbadlǝ, is ul yelsǝni su, “Ya lak kon nǝ milu ɗa nǝgu?
290e050080	Tǝ'sa ulin taka u, ngǝtl upki ndacin ki hwon nǝm as bǝlginǝ bǝ ulǝn nisi ɗawai u, da nǝn gǝtlti!” Is mati kǝli isi.
290e06004d	Iki i Yesu usu. “Zakǝnti, Ya laki iki hwottiti ɗa? Ulki zokki tǝpǝlini.
290e070088	Ginǝ bǝ ulǝn nisiɗawai u sinekkini ko gasiukǝni. Ko gasiukǝn ki lyamtini kin pǝlissi zo'lǝɓa, gaki ko gasi u kǝn kine'kǝnwai.
290e08004a	I kǝliyi pǝl pǝl tiwasi. It bene mil adli it li'kǝnǝni kamin gutǝni.
290e090085	Balini amipikkini, mus lu unǝ tǝ dlǝp shilǝn ki Lya tǝn dǝplǝɓa u, sin gobti dlǝb ulnǝ kǝli u pǝli u gaki da mbǝtlti.”
290e0a0074	I Yahuza Iskalyoti, nǝm ge' mil kushtiwasi kutl nǝ lobpi, illǝma bas lǝɓasi ki Lya gaki tǝbbǝl yesu masi ɗa.
290e0b005f	Nǝskumi nǝgu u is pǝlhwol mbatli, is ndigi sǝ'bǝlti ulpi. I' Yahuda ngwau shitu ki bǝlti.
290e0c00f0	Cin ki nǝm ki dadabǝl ki biledi gunǝbǝ yis ɗagiɓiwai u, a kuɗi pǝtl dli i ɗǝ poshti yakǝn mbǝla gaki dadabǝl ki ɗakǝshti, i mil kushtiwas gyemti is usu, “A ukǝn ki lyamti tǝn le' likǝni' lu ɗap dadabǝl ki ɗakushti?”
290e0d0079	I' shin mil kushtiwasi gudǝl lob, i' ulsisu, “Ten ge'gatli, kin mati nǝ mullǝn ki kami nǝ tobmal a' bǝlǝnti kali.
290e0e0095	Ulǝn mullibi u nǝ' te giɓi usu, ‘Mul lashti ɗǝ ngau: kǝbsi nǝtǝ' dǝmi ti' ɗap ulki ɗami ki dadaɓǝl ki ɗakǝshti ne mil kushtiwasu?’
290e0f0064	Tǝn mbokikin toh tǝnbal kǝpson ki libi ki lya, gunǝ ki likǝni ki zoki. A lǝbi ki likǝnimi.”
290e100076	I' mil kushtiyi za'lǝbi, is su ge'gatli, is mbi ulisi kǝnǝ gunǝ Yesu dlǝmisi u. Is likǝn dadabǝl ki ɗakǝshti.
290e11003a	Nǝ bisu pǝ u, i Yesu mbǝ ne' milkushtiwas kutl nǝ lob.
290e120074	Asi ɗap ulki ɗami ngu, i Yesu usu, “balini amipi'kini, nǝm agekini tin bǝltǝni, gunǝ ti ɗamti nǝ ami u.”
290e130047	I mikushwasi ispǝl du'tugi, asi ultisu nǝ nǝm nǝm, “ko a mini?”
290e140049	I' ulsisu, “Nǝm ge' kutl nǝ lobpi gunǝ ami ɗamti ge' gal nǝm miti.
290e15009d	Ya'kǝn mbalǝn nǝn zǝ'ga, kan u nǝɗa kǝlaci tǝntu. Amma ulki zǝ'go'kǝni tǝnmulnǝ nǝn bǝtl yakǝn mbalǝn u, nǝn ngǝtli' muli tǝ azǝntwai.”
290e16007d	Si ge' ɗamti, i Yasu kan biledi, nǝn ngem Lya u, iccaccali, ibbǝl mil kushti wasi, i' usu, “Kamini; guɓo dliyikǝni.”
290e170059	Iki i'kan mbǝgamal, kimal ki innabi iki in ngem Lya, ibbǝlsi, muswasǝn is tle a giɓi.
290e180053	“Guki hwulayini ki njikǝ' alkawali, gunǝ bǝna dli gaki mbalǝn u” i' ulsisu.
290e190065	“Bali ami pikkini, akǝn tle' malki innabi nuwai, sai gasiwu nǝta tle pyale' i ge' gu'ki Lya u.”
290e1a003f	Nǝs ulwul ki ndwa'ti Lya u, is peki is totǝn zǝga ki zaitun.
290e1b0072	I Yesu ulsisu, “Muswakǝn kǝn ndatini, ki laciɗa: ‘An li'ti mul byatl mbǝla i', mbǝla i nǝn dla'ti ga.’
290e1c0047	Amma kal ki tlǝl lya ini, an ngǝtltikin ɗǝ mbǝkǝshti a Galili.”
290e1d003f	I Bitlus usu, “In muswasǝn sǝn ndatu, ami akǝn ndatwai.”
290e1e0078	I Yesu ultisu, “Bali ami dlǝmi'ki, age' gasu, kapǝn tǝ guda la'yal asǝn lop, kǝn usu kǝmanǝn wai asǝn maki.”
290e1f007a	I Bitlus go' dlǝmti nǝndǝlti ati usu, “In nǝn tlotǝn imimiku, akǝn nge' makkiwai.” Muswasǝnma nǝgu sǝ dlǝmi.
290e200065	Is lǝge'luwon nǝɗǝ mbettiki Gatsemani, i' ul mil kushtiwasisu, “dǝmniki ta shilǝn nǝ Lya.”
290e210061	I' kan Bitlus nǝ Yakubu, nǝ Yahaya, a ge'nǝgu i wuli gop hwottiti a mbadlwasi, i wuli tlwedli.
290e22004d	I' ulsisu “Mbadli ɗǝ bǝna, kǝnǝ ta mǝci. Dlilni aki, a dlilni gal.”
290e230060	Nǝ' ɓeukina ten ngulen u, in nda atli, in ngem Lya, i' usu, in nǝn pǝtu akami' bǝna u taka.
290e24007d	I' usu, “Abba, Bwasinǝn, mus lǝɓa mul pǝkǝni amaki. Kami mbǝgamalu taka. Musnǝ nǝgu bǝ manti ki gayiwai, gwagi.”
290e25008f	Ippal te ma' mil kushtiwasi im mbǝsi ɗǝ nde' yemmbuɗi, i' ul Bitlus su, “Bitlus! Nde' embukǝn kiɗaya? Kǝkǝn maddǝb kǝpǝdǝliwaiya?
290e26006c	Dǝmni ki pǝdǝli a ngemǝn Lya, ɓa'ndan ge' cibǝlti, yalki mbatl ki lya akami i' amma dli a ndǝlwai.”
290e270032	Ippal tya ɗaɗɗanu, in ngem Lya, kǝnǝ kiɗigi.
290e280072	Nǝppal te'ɗu, im mbisi ɗǝ nde' yemmbuɗi, gaki yemmbu' a njikǝn dwaɗǝn wasǝn. Is hwol ulnǝ sǝ' dlǝmitu.
290e29009f	Patl te' ki makisi, i' ulsisu, “Kiɗi nde' yemmbuɗi aki shu'ta? Anjikǝn i! Cin ambǝ i. Yanini, sabǝl yakǝn mbalǝn a toh ɗǝ mi' pǝtl bezǝn laɓa i'.
290e2a002b	Hillya! Mǝzǝnga! Mul bǝltǝn u ɓalu!”
290e2b00c9	Ti ge' shilǝn, Yahuda ngu, nǝm ge' mil kushtiwasi kutl nǝ lopi, im mbǝ ne' hwu' mbalǝn siki ngapi nǝ bas pǝga nǝ kumbǝl, bas lǝɓasi ki Lya, mi' lashti zhil ki Musa, ne' mi'kina shinsi suɗi.
290e2c0074	Mulbǝtlti u, takǝndi nesi i, “Mulnǝ akucenttu, tiki mullisi: a'gobpǝnti, a'zǝngane'ti a'ngappǝnti kizeki.”
290e2d0049	Nǝ mbǝkki Yahuza, I'lǝmak Yesu, I' ultisu, “mullashti!” I'kucenti.
290e2e0029	Imbalǝni gob Yesu is ngapti nǝ ndǝlti.
290e2f0085	Nǝm ge' milkushti ki Yesu ki dlǝli nja nǝti, in ndust pǝga wasi ittele zheli ki bali ki bas lǝɓasi ki Lya nde'ti, ippa'ti kǝm.
290e300066	I Yesu ulsisu, “kipe'ni ton nǝ bas pǝga nǝ kuɓǝl wakǝn ki' gobpǝnnǝn ɗama ami mǝgǝlkǝma?
290e31008f	Ko gasiwu kǝni amine'kini, age' libi ki Lya ami dlǝp shilǝn ki Lya, kagobnǝnwai. Pǝlǝn dli nǝgu gaki tǝ shilǝnki Lya njikǝnǝnɗa.”
290e320027	Musswasǝn alǝbi is za'ti, is kitǝli.
290e33005e	Yakǝn giɗǝnsiwon gunǝ bǝ ulǝn nidɗa dliwai u amma ul idlatlti katl, ati bǝtl Yesu kal.
290e34004b	Nǝs'gob Yesu u, i' kitǝli bǝ ulǝn nidɗa dliwai, is zakkisi ul idlatti.
290e35007b	Is tǝla Yesu ma' ki bali ki bas lǝɓasi ki Lya, mus bas lǝɓasi, ne' mi'kina, ne' mi'lashti zhil ki Musa is domga ma'ti.
290e360082	I Bitlus bǝlti kali, alolu lolu, swa dlomban ɗǝ ki bali ki bas lǝɓasi ki Lya. Alǝbi iddǝm ne' mi'ɓutti dlabi, a ti ko'utu.
290e370084	Bas laɓasi ne'mi'dlil shilǝn si ngau ulnǝ sǝm mbi tǝn Yesu u tǝdǝmki ta pǝl byaslǝɓayi sǝm mbi sǝ'tlotti ɗa, sa mbiwai.
290e380033	Mbalǝn diɓǝli is lige'ga, biwasǝn anda nǝmwai.
290e390026	A ge' kale igyen, shali Yesu lǝga'ga:
290e3a008a	“Mǝkum ti usu, ‘Tǝn batti libi ki lya u nǝ mbalǝn kǝni nǝ toh u, a'kǝn kundu ge'mutti maki, gunǝ'bǝ kǝntiki toh wai u.’”
290e3b0025	Mus nǝ nǝgu biwasǝn a nda nǝmwai.
290e3c0089	I ki bali ki bas lǝɓasi ki Lya hiliya akinawasǝn, ingem Yesu, i'ultisu, “Ulki dlimi ni'ɗawaiya? Shilǝn u nǝsi dlimti tǝnkupa?”
290e3d0087	Yesu a shilǝn wai ta dlǝmi' ulǝnwai. I ki bali ki bas lǝɓasi ki Lya ngemti ɗaɗɗanu, “Ko kiki Almasihu yakǝn ki mulnaltwa?”
290e3e0070	Yesu usu, “Amini, kǝn ye' yakǝn mbalǝn kidǝmi tǝntohship ki mul ndǝl ki Lya, ti sussuɗi ge' kukkuti.”
290e3f0067	I ki bali ki bas lǝɓasi kye'kyesh lulugǝllwasi. In gyemi, “Undǝ sheda ukǝn tǝn ngayin ɗaɗanu?
290e400066	Ka kumǝn musǝn Lya u nǝppǝli uwaiya. Ya kiyanǝni?” Mus i mbalǝni pochi shilǝn gaki sǝ'tloti.
290e410091	I gen gob bezetti makǝn, is kǝndi' dwaɗǝn, is lili'ti, si ultisu, “Dlǝmimi okǝn liki!” Mik ɓutti dlabi ki libi ki Lya is gob lilititi.
290e420056	Bitlus a atli adlomban ge' libini, I zheli Yakǝn kǝli kǝ bali ki bas lǝɓasi mbǝ.
290e430065	Nǝ en Bitlus ɗiko' utu u, I' yati kizekki. I' ultisu, “Kima a yenǝnki nǝ Yesu, Banazelet tu!”
290e440089	Amma i musǝn matti, i' usu, “Aman ulnǝ ki dlǝmti uwaima.” Nǝdl dlǝmi nǝgu u, i' hilya illǝbidla, alǝmdǝmtwai i guda la'yali.
290e45005b	I zheli yakǝn kiliyi yenti, itl dlǝmi ginǝ ki dlǝli alǝbi u, “Guma age' si tiɗa.”
