0100000009	Kutendeka
012c1100a8	Yusufu waalandile evi, “Ata, nene nsivinda kukita evio! Nalanda evi, olia wenka wakwatwanga wali ni kikombe i muzia wane. Inzi mwemue bange ilepo bwino kuli sinue.”
012c1200a9	Yuda waamupaleeme ni kumwana nangue, “We mulopue, napaapaata nandepo keebo kamo ka kunvwika ku matui akua tawelenzi. Tekufiitilua mubombi obe pantu wewe uli nga Farao.
012c13005e	We Tawelenzi, waatwipuziizie fwe babombi bobe nangue, ‘Kubako muli ni sinue ao mwalawenu?’
012c1400c1	Fwefue twa-asukile evi, ‘Ee, tuli ni situe mukote ni mwana wa mu bukote bwakue, inzi mukuluube kwa ozo mwanike waafwile. Ozo mwana i asyelepo sie wakosele mu livumo lyabo, ni se amutonene.’
012c150033	Wewe waatwanine fwe babombi bobe tumuleete umumone,
012c160066	Inzi fwefue twa-asukile nangue, ‘Mulumendo tavinda kumusia se, pantu kine wamusia, se kuti wafua.’
012c17005d	Wewe wa-anine babombi bobe nangue, ‘Kine temukeeza ni mwalawenu, tekuti tukamonane nenu.’
012c18004d	“Lutwaabweleele kuli situe, twaamubwilile byonse bitwa-aninue na tawelenzi.
012c190047	Situe waalandile evi, ‘Kabili endo mwaye mutusitileko binge bilio.’
012c1a00ae	Fwefue twaalandile evi, ‘Tetuvinda kukookelako. Inzi kine tulikuya ni mwalawetu, tulikukookelako, pantu tetuvinda kuya kumonana na olia muntu kine tetuiile ni mwalawetu.’
012c1b006e	Mubombi obe, tawe, waatwanine, ‘Mumanine nangue mukazi wane Rakeli wanvyaliile sie baana babili balalumenke.
012c1c004f	Umo nsikili nakue, kisinka waaputwilue sie tuniini tuniini, kabili nsyamumwene.
012c1d0077	Kine mwantwamina ni ozu, ni ye waya kukitikilua na kibiipile, kuti mwangipailila sie na bulanda bwa mu bukote bwane.’
012c1e0081	“Ni pakako kine naya kuli tawe, mubombi obe, tekuba nali na ozu mulumendo, pantu maswapi a bukose bwakua tawe ali mu ozu mwana,
012c1f0075	pa-akaba kumona nangue mulumendo tetuli nakue wakaba kufua. Ni babombi bobe baakeepaizia sibo mukote wali ni bulanda.
012c200093	Pantu mubombi obe waikitile kikwatizi kuli se walanda nangue, ‘Kine nsikaba kumubwezia kuli wewe, naakaba ni kilubo kya muyayaya kuli we tawe.’
012c210096	Kansi evi ne mubombi obe nakulomba nsyale nali muzia kuli we tawelenzi pa kifuka kyakua ozu mulumendo, inzi ozu mulumendo asele aye pamo ni bakuluube.
012c220072	Ale ndikubwela syani kuli tawe tekuba namutweme ozu mulumendo? Nsitonene kuya kumona kyakaba kumukitikila tawe.”
012d0100ce	Yusufu wa-andilue kusipikizia ntanzi yabo bonse baali baimeene pepi nakue. Waalandile evi, “Mwe babombi bonse ba mu Misri, fume.” Lwaafuminepo babombi bonse ba mu Misri, Yusufu waimaniizie ku bakuluube.
012d02005f	Wa-angwile walila mpaka ni Bamisri baali bali panze baunvua, pamo ni ba mu nghanda yakua Farao.
012d030095	Yusufu waabaanine bakuluube, “Nene ndi Yusufu. Tawe akikosele ni lenu kumo?” Bakuluube lubaunvwile evio, ba-andilue kumwasuka pantu baamutiinine.
012d040092	Yusufu waabaanine bakuluube, “Namilomba mun'mpalame.” Baamupaleeme. Waabaanine evi, “Nene ndi Yusufu umwasisiizie ni kuleetua kono ku Misri.
012d05008e	Kansi tekunvue bulanda ao kufiitilwane pantu mwansisiizie, inzi waminue sie pantu Leza wantangiziizie kono pakuti n'mpususie bukose bwa bantu.
012d06007f	Eno ikili sie myaka ibili ya nzala mu kyalo. Kusyele ni inge myaka isaano ya nzala. Mu ezio myaka tekukaba kulima ao kuzombola.
012d07008c	Leza wantangiziizie ntanzi yenu pakuti n'misunge mwe basyelepo, kuti luvyalo lwenu lukatwalilile pa kyalo ni kumipususia na bupusuko bukata.
012d0800a1	Kansi te mwemue bandeetele pano, inzi ni Leza. Ni ye wankitile kuba nga se kwa Farao ni mukulu wa mu nghanda yakue yonse, ni ndabukizi wa kyalo kyonse kya Misri.
012d0900a5	“Ale lenge musele kuli tawe mumwane nangue Yusufu mwana obe walanda evi, ‘Leza anteekele kuba ndabukizi wa kyalo kyonse kya Misri. Lenga ukookele kono kuli nene,
012d0a00ae	ukabe kwiza kwikala ku Goseni, koko i kuwaakaba wapalameene ni nene. Wewe ni baana bobe, ni benzikulu bobe, ni mikooko yobe, ni nghombe yobe pamo ni binge byonse byuli nabio.
012d0b008c	Papo i panaakakusunga pantu kukili ni inge myaka isaano ya nzala, evi tekuti ukabe mupabi, wewe ni lupua lobe pamo ni byonse byuli nabio.’
012d0c007a	“Evi mwaimwena na menso enu, ni mwalawane Benyamina waimwena na menso akue nangue nene i wenka Yusufu alimukulanda nenu.
012d0d009a	Mukabe kuya kumubwila tawe bulumba bwane bonse bundi nabo mu kyalo kya Misri, ni bintu byonse bimwamona. Kabili mukabe kulenga kumukoosiizia tawe kono.”
012d0e0065	Kupwako, wamukumbatila Benyamina watendeka kulila. Benyamina ni ye wamukumbatila ni kutendeka kulila.
012d0f005c	Kabili waakumbatiile bakuluube bonse ni kubalilila. Pa kyamba, bakuluube baalanzyenie nakue.
012d100074	Mpunda luyaunvwikile ku nghanda yakua Farao nangue bakuluube kwa Yusufu bakiiza, Farao ni babombi bakue baawamiinue.
012d11007d	Farao waamwanine Yusufu, “Baane bakuluubo nangue, ‘Kite evi, longele bintu pa nama yenu musele muye ku kyalo kya Kanaani,
012d120099	muye mu mutwame sinue ni lupua lwenu mwize kono kwane, ni ne naakamipeela biweme bya mu kyalo kya Misri, kabili mwaakaba mwalia binonene bya mu kyalo.’
012d130084	Kabili baane nangue, ‘Twame matyakala a mono mu Misri a kuti muye mutwaminemo baana benu ni bakazi benu pamo ni sinue mwize nakue.
012d14006c	Kabili tekusakamane palua bintu byenu pantu bintu biweme bya mu kyalo kyonse kya Misri byaakaba byenu.’”
012d150069	Baizraeli baakitile muba-aniinue. Yusufu waabapeele matyakala ni mpao ya mu nzila nga mwaalandiile Farao.
012d160075	Kubalua muntu waapeelue ngubo ya lenu, inzi Benyamina wene waapeelue ngubo isaano ya lenu ni nfolanga ya mutofue 300.
012d1700a7	Waamutumiine se punda lyanondo yaali yatweme bintu biweme bya mu Misri ni punda ikota lyanondo yaali yatweme nghano ni mikate pamo ni binge bilio bya mpao ya mu nzila.
012d18004a	Lu-aabapeele nsambu ya kuya, waabaanine evi, “Tekukankabule mu nzila.”
012d19004e	Kupwako, basela kufuma ku Misri ni kuya ku kyalo kya Kanaani kuli sibo Yakobo.
012d1a00a4	Baamwanine nangue, “Yusufu akikosele ni lenu kumo, kabili i ndabukizi wa mu kyalo kyonse kya Misri!” Yakobo lu-aunvwile evio, waapenzukile pantu taabaketekeele.
012d1b0092	Baamulondolweleele byonse biba-aninue na Yusufu. Lu-aamwene matyakala aatuminue na Yusufu akuti atwamuemo, mutima wakua sibo Yakobo waateekameene.
012d1c0063	Izraeli waalandile evi, “Emwe! Eyo mwana wane akikosele! Mpaka nkabe kuya kumumona lunsinafue.”
012e01006c	Izraeli waile pamo ni byonse bi-aali nabio waya kufika ku Beri-Seba, wamwelela Leza wakua se Izaaki ngelelo.
012e020078	Leza waamwanine Izraeli mu kimonua kya busiku. Waamukuutile, “Yakobo, Yakobo.” Wa-asukile nangue, “Ne ono pano.”
012e030073	Waamwanine, “Nene ndi Leza, Leza wakua so. Tekutiina kukookela ku Misri pantu i kunaakakukita kuba mutundu ukata.
012e040055	Ndikukooka pamo nobe ku Misri, kabili naakakusezia paakale. Yusufu i waakakuziika.”
012e050094	Yakobo waafumine ku Beri-Seba. Baizraeli baamutweme sibo Yakobo, ni baana babo pamo ni bakazi babo mu matyakala aatuminue na Farao kuti bamutwamemo.
012e060086	Kupwako, batwama nama yabo pamo ni bunonsi bwabo bubaanonkele mu kyalo kya Kanaani. Yakobo waya ku Misri pamo ni luvyalo lwakue lonse.
012e07006c	Baana bakue balalume, ni baana bakue banakazi, ni benzikulu bakue balalume ni banakazi, waile nabo ku Misri.
012e08006d	Yakobo ni baana bakue baile ku Misri. Meena a baana bena Yakobo, aliwakutua Izraeli, ni aza: Rubeni i libeli.
012e090042	Ni bena Rubeni ni baba: Hanoki, ni Palu, ni Hesroni pamo ni Karmi.
012e0a008f	Ni meena a baana balalume bakua Simeoni ni aza: Yemueli, ni Yaminu, ni Ohadu, ni Yakini, ni Zohari pamo ni Sauli mwina mwanakazi wa ku Kanaani.
012e0b0050	Ni meena a baana balalume bakua Lawi ni aza: Gershoni, ni Kohati pamo ni Merari.
012e0c00ce	Ni meena a baana balalume bakua Yuda ni aza: Eri, ni Onanu, ni Sela, ni Peresi, ni Zera. Inzi Eri ni Onanu baafwiliile mu kyalo kya Kanaani. Ni meena a baana balalume bakua Perezi ni aza: Hesroni ni Hamuli.
012e0d0057	Ni meena a baana balalume bakua Isakari ni aza: Tola, ni Pua, ni Iobu pamo ni Simuroni.
012e0e0051	Ni meena a baana balalume bakua Zabuloni ni aza: Seredi, ni Eloni pamo ni Yaleli.
012e0f0087	Babo i bena Lea ba-aamuvyaliile Yakobo ku Padani-Aramu pamo ni Dina mwana mwanakazi. Baana bakue bonse, balalume ni banakazi, baali 33.
012e100073	Ni meena a baana balalume bakua Gadi ni aza: Sifioni, ni Hagi, ni Suni, ni Eziboni, ni Eri, ni Arodi pamo ni Areli.
012e1100ac	Ni meena a baana balalume bakua Aseri ni aza: Imuna, ni Isiwa, ni Isiwi, ni Beria pamo ni nkazi yabo Sera. Ni meena a baana balalume bakua Beria ni aza: Heberi ni Malkieli.
012e120091	Baba i baana bena Silipa waufiiziwe Yakobo. Lea waapeelue ozu Silipa na Labani kuti aye wali mubombi wakue. Bonse pamo baali lyanondo ni mutanda.
012e13004f	Ni meena a baana balalume bakua Rakeli muka Yakobo ni aza: Yusufu ni Benyamina.
012e140088	Yusufu waavyele baana babili balalume muli Asenati mwina Potifera kitambua wa mu muzi wa Oni, ni bo meena abo ni aza: Manase ni Efraimu.
012e150097	Ni meena a baana balalume bakua Benyamina ni aza: Bela, ni Bekeri, ni Asibeli, ni Gera, ni Naamani, ni Ehi, ni Rosi, ni Mupimu, ni Hupimu pamo ni Ardi.
012e160042	Baba i baana lyanondo ni bana bakua Yakobo ba-aavyele muli Rakeli.
012e170025	Dani waavyele mwana mwalalume Husimu.
012e18005b	Ni meena a baana balalume bakua Nafutali ni aza: Yazeli, ni Guni, ni Yezeri pamo ni Silemu.
012e190078	Baba i baana kilooba bakua Yakobo ba-aavyele muli Biliha. Rakeli waapeelue Biliha na Labani kuti aye wali mubombi wakue.
012e1a006f	Bantu baile na Yakobo mu Misri, bantu ba mu luvyalo lwakue pasili kupendako bamuka baana bakue, baali bantu 66.
012e1b007e	Yusufu lu-aali ku Misri waavyele baana babili balalume. Bantu bonse ba mu luvyalo lwakua Yakobo baile ku Misri baali bantu 70.
012e1c007c	Yakobo waamutumine Yuda kuti abatangilile kuya kumwana Yusufu bakabe kuya kusaakaana nakue mu Goseni. Lubaafikile ku Goseni,
012e1d0094	Yusufu waingiile mu tyakala yakue aye asaakaane ni se Izraeli ku Goseni. Lubaamoneene, Yusufu waile kumukumbatila mu mukosi. Waalilile musita ukata.
012e1e005d	Izraeli waamwanine Yusufu nangue, “Evi vinakumona wakosele mpaka lenu, kansi kuti nafua.”
012e1f00bc	Kabili Yusufu waabaanine bakuluube pamo ni lupua lonse lwakua se nangue, “Evi ndikusela ngie n'mubwile Farao nangue, ‘Bakuluamwine pamo ni lupua lwakua tawe bakifuma ku Kanaani, baiza.
012e200076	Baba bantu ni basungi ba nama, kabili bezile ni bisepe byabo bya nghombe ni bya mikooko pamo ni bintu byabo byonse.’
012e21004c	Kine Farao akabe kumikuuta ni kumiipuzia nangue, ‘Mulimwabomba mwiloki?’
012e2200ef	Mukabe kumwana nangue, ‘Fwefue tuli basungi ba nama kutula ku bwanike bwetu nga mwaali mwakitila babikolue betu.’ Ni pakako, wakaba kumyana mukabe kwikala ku Goseni, pantu kubalua musungi wa mikooko, Bamisri bamumwene kuba wa mpuni.”
012f0100b4	Yusufu waile kumwana Farao nangue, “Tawe ni bakuluamwine kufuma ku Kanaani, bakiiza ni bisepe bya nghombe ni bya mikooko pamo ni bintu byonse bibali nabio. Evi bali ku Goseni.”
012f02003b	Waatweme bakuluube basaano ni kuya kubalangisia kuli Farao.
012f03008a	Farao waabeepuziizie babo bantu, “Mulimwabomba mwiloki?” Baamwasukile Farao, “Fwefue tuli basungi ba nama nga vyaali babikolue betu.
012f0400b6	Twaiza twikale mu keno kyalo pantu mu kyalo kya Kanaani nzala yakila kubiipa, kabili ni bikusi bya kuliisia nama yetu tekuli. Ni pakako, twapaapaata utwitabizie kwikala ku Goseni.”
012f050042	Farao waamwanine Yusufu, “Kyawama pantu so ni bakuluubo bakiiza.
012f0600b3	Kyalo kya Misri kili mu maboko obe. Baleke bakuluubo pamo ni so bekale pa nkendo iwamiisie ya Goseni. Kabili kine umaninepo bantu bapamine, ukababiike pa busungi bwa nama yane.”
012f07004a	Yusufu waile kumulangisia se Yakobo kuli Farao. Yakobo waamupaalile Farao.
012f080035	Farao waamwipuziizie Yakobo, “Uli na myaka inga?”
012f0900d4	Yakobo wa-asukile evi, “Ndi sie na myaka 130, kabili naali nakuukakuuka sie. Babikolue bane ni bo baali bakuukakuuka sie. Inzi bene baikeele myaka ingi, kabili ni bwikazi bwabo tebwaali bwabiipile nga bwane.”
012f0a0031	Kupwako, Yakobo wamupaala Farao ni kufumamo waya.
012f0b0080	Yusufu waamupeele se ni bakuluube nkendo yaali yawamiisie ya mu kyalo kya Misri pepi ni muzi wa Ramese nga mwa-aniinue na Farao.
012f0c0076	Yakobo ni baana bakue pamo ni luvyalo lwakue lonse, baali bapeelua bilio na Yusufu kukonkana ni bwingi bwa baana babo.
012f0d007e	Nzala yaakilile kubiipa mpaka bilio byapwililika mu kyalo kyonse, bantu ba mu Misri ni ba ku Kanaani baemiiziwe sana na nzala.
012f0e00b8	Yusufu waakolonghaniizie nfolanga yonse yaamwenekele mu kyalo kya Misri ni mu kyalo kya Kanaani, ezio yaanonkelue lubaasisiizie nghano. Yusufu waatwele nfolanga mu nghanda yakua Farao.
012f0f00b7	Nfolanga yonse luyaapwile mu kyalo kya Misri ni kya Kanaani, Bamisri baile kumwana Yusufu nangue, “Tupeele bilio tukeeza kufua na nzala pa ntanzi yobe pantu tetukili na nfolanga.”
012f100061	Yusufu waabaanine evi, “Kine temukwete nfolanga, n'mpeele nama yenu ni nene n'mipeele bilio.”
012f110089	Bamisri baamupeele Yusufu farasi, ni mikooko, ni mbuzi, ni nghombe, pamo ni punda. Ni wene waabapeele bilio bya kulia mwaka onse walingi.
012f1200f3	Mwaka waakonkelepo, baile kumwana Yusufu nangue, “Tetuvinda kukufiika kantu. We mukulu, nfolanga yetu yonse yapua, ni bisepe bya nama bitwaali nabio twaakupeele. Evi tetukili kabili na kantu ka kukupeela, inga sie mibili yetu ni kyalo kyetu.
012f1300f0	Tekutulekeela tufue pa ntanzi yobe, fwefue ni kyalo kyetu. Kansi twaipeela sie utusite fwefue benka ni kyalo kyetu na bilio, evi tuye twali bazia bakua Farao, twalomba utupeele bilio tulie tukafua, ni kyalo kyetu kikeeza kusyala kibolia.”
012f1400a3	Yusufu waamusitiile Farao kyalo kyonse kya Misri. Bamisri baasisiizie kyalo pa mulandu wa nzala yaakilile kubiipa. Kyalo kyonse kya Misri kya-alukile kyakua Farao.
012f150055	Yusufu waakuusiizie Bamisri kufuma mu mipaka yonse ya Misri ni kubaleeta mukati mizi.
012f160096	Inga sie nkendo yaali yaikeelemo babitambua i isyaasitilue pantu Farao waali wabapeela bilio bya kulia. Keki i kyaalengele tekuti basisie nkendo yabo.
012f17007a	Yusufu waabaanine bantu nangue, “Unvue, kyalo pamo ni mwemue namusitila Farao. Ale poke mbezu ezi mubyale mu makaba enu.
012f1800c2	Pa musita wa kuzombola, mukabuulepo kimo kya pa bisaano ni kumupeela Farao, ni byaakasyalapo i bimwaakaba mwafumiapo mbezu ni bilio bimwaakaba mwalia ni baana benu pamo ni ba mu nghanda yenu.”
012f190063	Baalandile evi, “We mukulu, wabomba. Evi watupususia. Twaitabila kuya twali bazia bakua Farao.”
012f1a00af	Ozu mulandu Yusufu waukitile kuba muzilo nangue, kimo kya pa bisaano kiye kyapeelua likolo. Leli lifunde ni lenu kumo likiliko. Inga sie mu nkendo yaali yaikeelemo babitambua.
012f1b0059	Baizraeli baikeele ku Goseni mu Misri momo mubaanonkele, baasandulukile ni kukila kuvula.
012f1c0063	Yakobo waikeele mu Misri myaka lyanondo ni kilooba. Myaka yonse yaikeele Yakobo pa kyalo yaali 147.
012f1d00d3	Kufua kwakua Izraeli lukwaapaleeme, waamukuutile mwana wakue Yusufu wamwana nangue, “Kine wangitabizia, biika kuboko kobe kwinsina litanta lyane unkitile kiweme ni kisinka. Nakulomba tekuti ukanziike mu Misri.
012f1e0081	Inzi pankafua ntonene ukanziike kolia kwaaziikilue babikolue bane.” Yusufu wa-asukile evi, “Nakaba kukita nga muwalandila.”
012f1f006e	Izraeli waalandile evi, “Ale ndapile.” Yusufu walapa. Kupwako, Izraeli wafwinamina pa bulita lya ku mitue.
0130010093	Pa kyamba kya nsiku, muntu umo waamubwilile Yusufu nangue se Yakobo alwele ku Goseni. Kupwako, Yusufu watwama baana bakue, Manase ni Efraimu, baya.
0130020087	Lubaafikile, muntu umo waamubwilile Yakobo nangue, “Mwana obe Yusufu waiza,” Izraeli waikoseleziizie, wabuuka ni kwikala pa bulita.
0130030074	Yakobo waamwanine Yusufu nangue, “Leza wa Maka onse lu-aan'mwenekeele ku Luzi mu kyalo kya Kanaani, waan'mpaalile.
01300400b4	Wanghanine nangue, ‘Naakakuvuzia ni kukusandulula, kabili naakakukita kuba libumba lya ntundu, ni pa kyamba kyobe, nvyalo yobe naakaipeela keki kyalo kuba bupyani bwabo lonse.’
0130050094	“Ni evi baba baana babili bawaavyaliile mu Misri lunaali nsinaize kuli wewe, ni baana bane. Efraimu ni Manase baakaba bane nga Rubeni, ni Simeoni.
013006006b	Inzi baana bawaakavyala pa kyamba kya baba, baakaba bobe, ni bupyani bwabo bwaakaba kuli Efraimu ni Manase.
01300700cd	Nakita evi pa mulandu wakua noko Rakeli waafwiliile mu Kanaanni pepi ni Efura lunaali nalimukufuma ku Padani-Aramu. Naamuziikile mu Kanaani mumbali musebo ulungi ku Efura.” (Eno nsiku Efura i Betlehemu).
0130080047	Izraeli lu-aamwene bena Yusufu waipuziizie evi, “Ale baba ni bani?”
013009008f	Yusufu wa-asukile evi, “Baba ni baana bane banaapeelue na Leza mono mu Misri.” Yakobo waalandile evi, “Ale bapalamike pano n'mbapaale.”
01300a007e	Menso akua Yakobo te aali amona pa mulandu wa bukote. Yusufu waamupalamikiile baana, Yakobo ni ye waabakwete ni kubakumbatila.
01300b0080	Izraeli waamwanine Yusufu, “Nsyaali naswapiile nangue twaakamonana kabili. Inzi evi Leza wan'mpaala namonako ni baana bobe.”
01300c004e	Kupwako, Yusufu wabafumia mu kyeni kyakua Izraeli. Yusufu waakontamiine pansi.
01300d00dd	Yusufu waabakwete baana bonse babili. Efraimu ku kuboko kwakue kwa kulio walungheeme ku kuboko kuso kwakua Izraeli, ni Manase ku kuboko kwakue kwa kuso walungheeme ku kuboko kulio kwakua Izraeli ni kubapalamika kuli wene.
01300e00b6	Inzi Izraeli waakilinghaniizie maboko akue, kuboko kulio wabiika pa mutue wakua Efraimu waali wali mwanike, ni kuboko kwakue kwa kuso wabiika pa mutue wakua Manase waali wali mukulu.
01300f0098	Yakobo waamupaalile Yusufu walanda, “Leza waali watangiliile tawekulu Abrahamu ni tawe Izaaki, Leza waali wanombwele mu bukose bwane bonse mpaka lenu,
01301000ca	olia malaika wan'mpususiizie mu maavia onse, abapaale baba balumendo. Bakabe bakuutua mu liina lyane, ni mu liina lyakua tawekulu Abrahamu ni lyakua tawe Izaaki. Bakakile kusanduluka mu kyalo kyonse.”
01301100c5	Yusufu lu-aamwene nangue se wabiika kuboko kwakue kwa kulio pa mutue wakua Efraimu, taawaamiinue. Ni pakako, waakwete kuboko kwakua se, wafumia pa mutue wakua Efraimu wabiika pa mutue wakua Manase.
0130120083	Waamwanine se nangue, “We tawe, tekukita evi pantu mukulu ni ozu. Wene i wakuti ubiikile kuboko kobe kwa kulio pa mutue wakue.”
01301300be	Se waakeene walanda nangue, “We mwana wane, n'manine kindimukukita. Manase waakaba mutundu ukata. Inzi mwalawakue waakaba mukulu kukila wene, ni nvyalo yakue yaakaba libumba lya ntundu.”
01301400d2	Bobo busiku, Yakobo waabapaalile wabaana nangue ku ntanzi Baizraeli baakaba balombelana mapaalo balanda nangue, “Leza akupaale nga vi-aapaalile Efraimu ni Manase.” Yakobo waatangiziizie Efraimu pali Manase.
01301500a3	Kabili Izraeli waamwanine Yusufu, “Mona nene nsisyaumiine kufua, inzi Leza waakaba pamo nenu, kabili waakamilombola kuti mukabwelele mu kyalo kya babikolue betu.
0130160088	Inzi wewe pantu uli nga mukulu pa ba kobe, nakulundilako nkendo imo pa nkendo inaapokele ku Ba-amori ku maka a kipanga ni buta bwane.”
0131010078	Yakobo waakuutile baana bakue wabaana nangue, “Ize munkolonghane n'myane bintu byaakamikitikila mu nsiku ya ku ntanzi.
0131020040	“Mwe bena Yakobo, kolonghane munvue. Mutwilizie sinue Izraeli.
013103006c	“Rubeni, wewe uli libeli wane, maka ane ni ntendeko ya kuluma kwane, mukulu mu mukinzi, mukulu mu buvinde.
0131040067	Wewe uliwabiluluka nga menda. Teukaba wakindeeme, pantu waaselele pa bulita bwakua so ni kubutiikaania.
0131050041	“Simeoni ni Lawi, ni benenke. Bipanga byabo i bilwilo bya bubi.
01310600c0	We mutima wane, tekwingila mu mapange abo a mu kafiso. Bulumba bwane tekuti bwampane na kilie kyabo pantu baipaile muntu na kipuki kyabo, ni mubutaale bwabo baaputwile misipa ya nghombe ndume.
0131070095	Kikonko kyabo kitiipue, pantu kikilile kusasa, ni kipuki kyabo pantu tekyaali na nkumbu. Naakabakasania muli Yakobo. Naakabasalanghania muli Izraeli.
0131080071	“We Yuda, ba kobe baakakutasia. Kuboko kobe kwaakaba pa mukosi wa balwani bobe. Baana bena so baakakukontamina.
0131090097	Yuda, i nkalamu musoka kufuma mu kwipaya nama, we mwana wane wakibwela. Wene waakonteeme, waifiika nga nkalamu, nga nkalamu mukota, nani waakamubuusia?
01310a006e	Nfimbo teikafuma mu Yuda, ao kabango ka bukolo mu maulu akue, mpaka Shilo akeeze, wene waakanakilua na ntundu.
01310b009c	Wene waakakakila punda wakue ku muzabibu, ni musoka wa punda ku muzabibu uwamiisie. Waakufula ngubo yakue mu divai, ni bivwalo byakue mu mulopa wa mizabibu.
01310c0044	Menso akue akaba akasikile na divai. Meeno akue aswetele na mabeele.
01310d006d	“Zabuloni waakeekala mumbali lyezi, ni ye waakaba kyabu kya maato. Mipaka yakue yaakaba yafikile ku Sidona.
01310e003d	“Isakari i punda alumine aliwaifiika mu bipata bya mikooko.
01310f009e	Amwene nkendo ya kutuuziapo paweme, ni kyalo nangue kyaali kyafwaniine. Akoosiizie kikoope kyakue kuti kitwame bitwamo, ni kuya wali mubombi wa miilo ikolele.
0131100043	“Dani waakapingula bantu bakue nga umo wa mu mikoa yakua Izraeli.
0131110096	Dani waakaba kizoka kya mumbali musebo, kizoka kiniini kya mumbali nzila kili ni bwimba kilikyasuma farasi ku kasinghino ni aselelepo wapona kansenia.
0131120026	“We Yawe, n'mpembeele bupusuko bobe.
013113004b	“Gadi, waakasakukilua na libumba, inzi wene waakabasakukila ni kubakonka.
013114005e	“Mu kyalo kya Aseri mwaakaba bilio bingi, ni ye waakaba wafumia bya kulia biweme bya makolo.
0131150037	“Nafutali i mbazi asikakilue aliwalanda twebo tuweme.
0131160066	“Yusufu i musambo wa mazabo, musambo wa mazabo mumbali kasulo. Misambo yakue itambaleele mu kibumba.
0131170049	Wene waasakukiilue na bantu bali ni mivui, baamulasile mivui ni kumwemia.
013118009e	Inzi buta bwakue bwaasyele bwalumine, maboko akue aalumiiziwe na maboko akua wa Maka onse, wakua Yakobo. Wa-aalwilue musungi wa mikooko, libue lyakua Izraeli,
01311900a2	Na Leza wakua so waakakukwasia. Na Leza wa Maka onse waakakupaala. Na mapaalo a mwiulu mu muulu, mapaalo a mu biina bifikile pansi, mapaalo a konsia ni a kwimita.
01311a00bc	Mapaalo akua so ni akata kukila mapaalo a mpili ya kale, kukila bintu bitonekele bya mpili ya muyayaya. Bebi byonse biye byali pa mutue wakua Yusufu, pa mpala yakua mulombozi pa bakuluube.
01311b0067	“Benyamina i mumbue asasile. Lukeelekeele alikulia mabingo, ni kyungulo alikukasania bi-aipayanga.”
01311c0076	Ezi i mikoa lyanondo ni ibili yakua Izraeli, kabili evi i viba-aninue na sibo ni kubapaala kubalua muntu mapaalo akue.
01311d0094	Yakobo waabaanine baana bakue nangue, “Evi pasyankabe kufua ni kuya ku bantu bane. Mukabe kunziika mu kilibu kili mu bukaba bwakua Efuroni Muhiti,
01311e00c7	kilibu kili mu bukaba bwa ku Makipela lya ku kabanga ka Mamure mu kyalo kya Kanaani, kilibu kyaasitilue na Abrahamu pamo ni bukaba bwakua Efuroni Muhiti, evi iye yali nkendo ya kuziikamo bantu bakue.
01311f0091	Momo i mwaaziikilue Abrahamu ni mukazi wakue Sara, momo i mwaaziikilue Izaaki ni mukazi wakue Rebeka, kabili momo i munaaziikile mukazi wane Lea.
013120003f	Bobo bukaba pamo ni kilibu kilimo, byaasitilue ku bena Heti.”
013121006e	Yakobo lu-aapwile kulanda na baana bakue, waaleele pa bulita ni kufua. Waakolonghaniiziwe pamo ni bantu bakue.
013201003d	Yusufu waipoozele pali se ni kubamba kumulila wamukumbatiile.
0132020057	Yusufu wa-anine babombi bakue bakondapa, basube mubili wakua se na mafuta tekuti ubole.
013203004a	Baapwile nsiku 40 bamusuba mafuta akusibola. Bamisri baamulilile nsiku 70.
0132040092	Nsiku ya kumulila luyaapitile, Yusufu waabaanine babiloolo bakua Farao nangue, “Kine kuti mwangitabizia, namipaapaata muye mumwane Farao nangue,
01320500c2	‘Tawe lu-aali wasyafua, wanghanine nkaye nkamuziike mu kilibu ki-aateaniizie mu kyalo kya Kanaani. Ni pakako, namilomba mun'mpeele nsambu ya kuya kuziika tawe, mane kabili nkabe kubwela.’”
013206003f	Farao waamwanine evi, “Endo umuziike so nga mu-aakwaniine.”
013207009d	Kupwako, Yusufu wasela ku Kanaani, waya kumuziika se. Babiloolo bonse bakua likolo, ni babikolue ba Baizraeli pamo ni babikolue ba Bamisri, baile pamo nakue.
01320800ab	Lupua lwakue lonse, ni bakuluube pamo ni bange bonse ba mu lupua lwakua se baile pamo nakue. Mu Goseni mwaasyele sie baana babo, ni mikooko yabo, ni mbuzi pamo ni nghombe.
0132090071	Bantu baali baselele mu matyakala ni baali baselele pa punda, baile pamo nakue. Lyaali lyali libumba likata sana.
01320a00ae	Lubaafikile ku Atadi pa nkendo ya kupupiiziapo lya ku kabanga ka Yordani, paapitile musita ukata balimukulila muzowa ukata. Yusufu pamo ni bange baamulilile se nsiku kilooba.
01320b00d0	Bekazi ba mu Kanaani lubaamwene babo bantu balimukulila ku Atadi baalandile evi, “Azo malilo onvwikile, ni malilo akata a Bamisri!” Pa ezio nkendo i kipalipakuutilua Abeli-Misuraimu, ili ku bwala Yordani.
01320c002b	Baana bakue baamukitiile nga mu-aabaaniine.
01320d00bb	Baamutweme ni kuya kumuziika mu kilibu kya ku Makipela lya ku kabanga ka Mamure, kilibu kyaasitile Abrahamu pamo ni bukaba kuli Efuroni Muhiti, pakuti ibe nkendo ya kuziikamo bantu bakue.
