0100000018	ઊત્પત્તિ
050c1000a0	પણ લોહી તમારે ખાવું નહિ એ તમારે પાણીની જેમ જમીન પર રેડી દેવું.
050c110268	તમારા અનાજનો, દ્રાક્ષારસનો કે તેલનો દશમો ભાગ, અથવા તમારાં ઘેટાંબકરાંનાં અને અન્ય જાનવરોનાં પ્રથમજનિત અથવા તમારી લીધેલી કોઈ પણ માનતા અથવા તમારા ઐચ્છિકાર્પણ તથા તમારા હાથનાં ઉચ્છાલીયાર્પણ એ સર્વ તમારા રહેઠાણોમાં ખાવાની તમને રજા નથી.
050c12029d	પણ તમારે અને તમારા દીકરાએ અને તમારી દીકરીએ, તમારા દાસે અને તમારી દાસીએ તમારા ઘરમાં રહેનાર તમારા લેવીએ યહોવાહ તમારા ઈશ્વર જે સ્થળ પસંદ કરે તેમાં તમારા યહોવાહની સમક્ષ તે ખાવાં; અને જે સર્વને તમે તમારો હાથ લગાડો છો તેમાં યહોવાહ તમારા ઈશ્વરની સમક્ષ આનંદ કરવો.
050c1300ed	પોતાના વિષે સાંભળો કે જ્યાં સુધી તમે આ ભૂમિ પર વસો ત્યાં સુધી લેવીઓનો ત્યાગ તમારે કરવો નહિ.
050c140194	જયારે યહોવાહ તમારા ઈશ્વર પોતાના આપેલા વચન મુજબ તમારો વિસ્તાર વધારે ત્યારે તમને જો માંસ ખાવાની ઇચ્છા થાય તો ખાવું કેમ કે મન માનતાં સુધી ખાવાની તમને છૂટ છે.
050c15024b	તમારા ઈશ્વર યહોવાહે પોતાના નામ માટે પસંદ કરેલું સ્થળ જો બહુ દૂર હોય તો જેમ યહોવાહે તમને આજ્ઞા આપી છે તેમ, તમારાં ઘેટાંબકરાં તથા અન્ય જાનવર કે જે યહોવાહે તમને આપ્યાં છે તે કાપવાં અને તમારી ઇચ્છા થાય ત્યાં સુધી તમારે ઘરે ખાવાં.
050c1600fe	હરણ કે સાબરનું માંસ ખવાય છે તેમ તમારે તે ખાવું; માણસ શુદ્ધ કે અશુદ્ધ સ્થિતિ હોય તો પણ તે ખાઈ શકે છે.
050c170121	પરંતુ એટલું સંભાળજો કે લોહી તમારા ખાવામાં ન આવે, કારણ કે, રક્તમાં જ જીવ છે અને માંસ સાથે તેનો જીવ તમારે ખાવો નહિ.
050c180087	તમારે લોહી ખાવું નહિ, પણ જળની જેમ જમીન પર ઢોળી દેવું.
050c19015a	તમારે તે ખાવું નહિ; એ માટે કે યહોવાહ તમારા ઈશ્વરની દૃષ્ટિમાં જે યથાર્થ છે તે કર્યાથી તમારું તથા તમારી પાછળ તમારા સંતાનોનું ભલું થાય.
050c1a00ed	તમારી પાસેની અર્પિત વસ્તુઓ તથા તમારી માનતાઓ તે તમારે યહોવાહે પસંદ કરેલા સ્થાનમાં લઈ જવાં.
050c1b0198	અને યહોવાહ તમારા ઈશ્વરની વેદી પર તમારે તમારાં દહનીયાર્પણ એટલે માંસ તથા લોહી ચઢાવવાં; પણ તમારા યજ્ઞોનું લોહી તમારે યહોવાહ તમારા ઈશ્વરની વેદી પર રેડી દેવું.
050c1c01bc	જે સર્વ આજ્ઞાઓ હું તમને ફરમાવું છું તે ધ્યાન આપીને સાંભળો એ માટે કે યહોવાહ તમારા ઈશ્વરની દૃષ્ટિમાં જે સારું અને યથાર્થ કર્યાથી તમારું અને તમારાં સંતાનોનું સદા ભલું થાય.
050c1d0163	જે દેશજાતિઓનું વતન પ્રાપ્ત કરવા તમે જાઓ છો તેઓનો જયારે યહોવાહ તમારા ઈશ્વર તમારી આગળથી નાશ કરે અને તમે તેઓનું વતન પામી તેમના દેશમાં રહો,
050c1e01ec	ત્યારે સાવધ રહેજો, રખેને તેઓનો તમારી આગળથી નાશ થયા પછી તમે તેઓનું અનુકરણ કરીને ફસાઈ જાઓ. અને તમે તેઓના દેવદેવીઓની પૂછપરછ કરતાં એવું કહો કે “આ લોકો કેવી રીતે પોતાના દેવદેવીઓની પૂજા કરે છે.”
050c1f023c	યહોવાહ તમારા ઈશ્વર વિષે એવું કરશો નહિ; કેમ કે જે સર્વ અમંગળ કાર્યો યહોવાહની દૃષ્ટિએ ધિક્કારજનક છે. તે તેઓએ પોતાના દેવદેવીઓની સમક્ષ કર્યા છે. કેમ કે પોતાના દીકરા દીકરીઓને પણ તેઓ તેઓનાં દેવદેવીઓની આગળ આગમાં બાળી નાખે છે.
050c2000f5	મેં તમને જે આજ્ઞાઓ આપી છે તે તમારે કાળજી રાખીને પાળવી. તમારે તેમાં કંઈ વધારો કે ઘટાડો કરવો નહિ.
050d0100e5	તમારી મધ્યે કોઈ પ્રબોધક કે સ્વપ્નદ્રષ્ટા ઊભો થાય અને જો તે તમને ચિહ્ન કે ચમત્કાર બતાવે,
050d020189	જો કદાચ તેણે તમને કહેલા ચિહ્ન કે ચમત્કાર થાય અને જો તમને તે કહે “ચાલો આપણે અન્ય દેવદેવીઓની પૂજા કરીએ જેને તમે જાણતા નથી અને ચાલો આપણે તેમની સેવા કરીએ,”
050d030202	તોપણ તે પ્રબોધકના શબ્દોને કે સ્વપ્નદ્રષ્ટાને સાંભળશો નહિ, કેમ કે યહોવાહ તમારા ઈશ્વર તમારી કસોટી કરે છે કે, તમે તમારા પૂરા અંત: કરણથી તથા પૂરા જીવથી યહોવાહ તમારા ઈશ્વર પર પ્રેમ કરો છો કે નહિ તે જણાય.
050d04015d	તમે તમારા ઈશ્વર યહોવાહ પાછળ ચાલો અને તેમનો ડર રાખો અને તેમની આજ્ઞાઓ પાળો, તેમનું કહ્યું કરો તથા તમે તેમની સેવા કરો. અને તેમને વળગી રહો.
050d05034b	અને તે પ્રબોધક તથા તે સ્વપ્નદ્રષ્ટાને મારી નાખવો; કેમ કે તે યહોવાહ તમારા ઈશ્વર જે તમને મિસર દેશમાંથી બહાર લાવ્યા છે, જેમણે તમને ગુલામીમાંથી મુક્ત કર્યા તેમની સામે બળવો કરવાનું કહે છે, એ માટે કે રખેને જે માર્ગમાં ચાલવાની યહોવાહ તમારા ઈશ્વરે તમને આજ્ઞા આપી છે તેમાંથી તે તમને ભમાવી દે. એ રીતે તું તારી મધ્યેથી દુષ્ટતા દૂર કર.
050d06021b	જો તારો ભાઈ એટલે તારી માનો દીકરો અથવા તારી દીકરી અથવા તારી પ્રિય પત્ની તથા તારો પ્રિય મિત્ર તને લલચાવતાં એમ કહે કે “ચાલો જે અન્ય દેવદેવીઓને તમે જાણતા નથી, તેમ તમારા પિતૃઓ પણ જાણતા નહોતા તેઓની આપણે પૂજા કરીએ.
050d07014b	તથા જે દેશજાતિઓ તમારી ચોતરફ, તમારી આસપાસમાં કે તમારાથી દૂર પૃથ્વીના એક છેડાથી બીજા છેડા સુધી છે તેઓનાં દેવદેવીઓની સેવા કરીએ.”
050d080122	તો તમારે તેઓની વાત સાંભળવી કે માનવી નહિ, તમારી આંખ તેની પર દયા ન લાવે. તમારે તેને જવા દેવો નહિ અને છુપાવવો પણ નહિ.
050d090119	પરંતુ તેને નક્કી મારી નાખવો, તેને મારી નાખવા માટે તમારો હાથ પહેલો તેના પર પડે ત્યાર બાદ બીજા લોકો પણ તેમ કરે.
050d0a01ae	તમારે તેને પથ્થર વડે મારી નાખવો, કેમ કે યહોવાહ તમારા ઈશ્વર જે તમને મિસર દેશમાંથી એટલે ગુલામીમાંથી બહાર લાવ્યા, તેમની પાસેથી તમને દૂર લઈ જવાનો પ્રયત્ન તેણે કર્યો છે.
050d0b00d0	સર્વ ઇઝરાયલ તે સાંભળીને બીશે. અને પછી ફરીથી એવી કોઈ દુષ્ટતા તમારી મધ્યે થશે નહિ.
050d0c00ee	જે નગરો યહોવાહ તમારા ઈશ્વર તમને રહેવા માટે આપે છે તેઓમાંથી એક પણ વિષે તમે એવી વાત સાંભળો કે,
050d0d01a5	કેટલાક બલિયાલપુત્રો તમારી મધ્યેથી નીકળી જઈને તેઓના નગરના લોકોને એમ કહીને ખેંચી લીધા છે કે ચાલો આપણે જઈને અન્ય દેવદેવીઓ કે જેઓને તમે જાણતા નથી તેમની સેવા કરીએ.”
050d0e016a	તેથી તારે તેની પૂરેપૂરી તપાસ કરવી, શોધ કરીને ખંતથી પૂછપૂરછ કરવી. જો તે વાત સાચી અને નક્કી હોય કે એ અમંગળ કર્મ તમારી મધ્યે કરવામાં આવેલું છે.
050d0f0179	તો તમારે નગરના બધા રહેવાસીઓનો, તેમાં જે બધા લોકો રહે છે તે સર્વનો તેઓના પશુઓના ટોળાં સાથે તલવારની ધારથી સંપૂર્ણપણે નિશ્ચે હુમલો કરીને નાશ કરવો.
050d1001d9	તેમાંની સર્વ લૂંટ તે નગરના ચોકની વચમાં એકઠી કરીને યહોવાહ તમારા ઈશ્વર પ્રત્યે તે નગરને તથા તેની સર્વ લૂંટને અગ્નિમાં છેક બાળી નાખવાં; તેનો સદાને માટે ઢગલો થઈ જાય; તે ફરીથી બંધાય નહિ.
050d11027c	લૂંટમાંથી કશું જ તમારે તમારા હાથમાં રાખવું નહિ. તેથી યહોવાહ તમારા પર ગુસ્સો કરવાથી પાછા વળશે અને બદલામાં તેઓ તમારા પ્રત્યે કૃપાળુ બનશે. તેઓ તમારા પ્રત્યે કરુણા દર્શાવશે અને જેમ તમારા પિતૃઓને વચન આપેલું હતું તે પ્રમાણે તમને સંખ્યામાં વધારશે.
050d1201c3	યહોવાહ તમારા ઈશ્વરની આજ્ઞાઓ જે હું આજે તમને ફરમાવું છું તે તમે તેમની વાણી સંભાળીને પાળશો, યહોવાહ તમારા ઈશ્વરની દ્રષ્ટિમાં જે યોગ્ય છે તે કરશો ત્યારે ઈશ્વર તે પ્રમાણે કરશે.
050e010129	તમે યહોવાહ તમારા ઈશ્વરનાં સંતાન છો. મૃત્યુ પામેલાંને લીધે તમારે તમારા શરીર પર ઘા ન કરવા, કે ચહેરા પર મૂંડન ન કરવું.
050e020166	કેમ કે તમે યહોવાહ તમારા ઈશ્વરના પવિત્ર લોકો છો, પૃથ્વીની સપાટી પરના સર્વ લોકોમાંથી તમને યહોવાહે પોતાની ખાસ પ્રજા થવા માટે પસંદ કર્યા છે.
050e030066	તમારે કોઈ અશુદ્ધ વસ્તુમાંથી ખાવું નહિ.
050e040079	તમારે આ પ્રાણીઓને ખાવાં એટલે બળદ, ઘેટાં, બકરાં,
050e050077	હરણ, સાબર, કાળિયાર, જંગલી બકરાં, પર્વતીય ઘેટાં.
050e060115	જે કોઈ પ્રાણીની ખરી ફાટેલી હોય અને ફાટીને તેના બે ભાગ થઈ ગયેલા હોય, વાગોળતો હોય તેવાં પ્રાણીને તમે ખાઈ શકો.
050e070214	પરંતુ, તમારે કેટલાંક પ્રાણીઓ જેવા કે, વાગોળતાં હોય પણ જેઓની ખરી બે ભાગમાં ફાટી ગયેલી હોય આ પ્રાણીઓ ન ખાવાં. એટલે કે ઊંટ, સસલું તથા શાફાન કેમ કે તેઓ વાગોળે છે પણ તેમની ખરી ફાટેલી નથી, તેઓ તમારા માટે અશુદ્ધ છે.
050e080178	ડુક્કરની ખરી ફાટેલી હોય છે પણ તે વાગોળતું નથી એટલે તે તમારા માટે અશુદ્ધ છે. તેનું માંસ તમારે ખાવું નહિ અને તેમના મૃતદેહને તમારે સ્પર્શ કરવો નહિ.
050e0900b7	જળચર પ્રાણીઓમાં તમારે ખાવાં તે આ છે: જેમને ભિંગડાં તથા પર હોય તે ખાવાં;
050e0a00de	પરંતુ જેઓને પર કે ભિંગડાં ના હોય તેવા જળચરો તમારે ખાવાં નહિ, તેઓ તમારા માટે અશુદ્ધ છે.
050e0b0052	બધાં જ શુદ્ધ પક્ષીઓ તમે ખાઈ શકો.
050e0c0092	પણ આ પક્ષીઓમાંથી તમારે ખાવાં નહિ એટલે કે, ગરુડ, ગીધ, કુરર,
050e0d0069	સમડી, બાજ તથા કલીલ તેની જુદી જાત પ્રમાણે.
050e0e0039	પ્રત્યેક જાતના કાગડા,
050e0f0067	શાહમૃગ, ચીબરી, સીગલ, તથા દરેક જાતના શકરા,
050e100032	ચીબરી, ઘુવડ, રાજહંસ,
050e110032	જળકૂકડી, ગીધ, કરઢોક;
050e12006d	દરેક જાતનું બગલું, હંસલો તથા ચામાચીડિયું.
050e130097	બધાં પાંખવાળાં સર્પટિયાં તમારા માટે અશુદ્ધ છે. તે ન ખાવાય
050e14005e	પરંતુ તમે બધાં શુદ્ધ પક્ષીઓ ખાઈ શકો.
050e1502b9	પોતાની રીતે મૃત્યુ પામેલા કોઈ પણ પશુનું માંસ તમારે ખાવું નહિ. તમારા નગરમાં રહેતા પરદેશીને ખાવા માટે આપવું હોય તો આપો. ભલે તે લોકો ખાય; અથવા કોઈ પરદેશીને તે વેચે તો ભલે વેચે. કેમ કે તમે તો યહોવાહ તમારા ઈશ્વરના પવિત્ર લોક છો. વળી બકરીના બચ્ચાંને માતાના દૂધમાં બાફવું નહિ.
050e1600b6	પ્રતિવર્ષ તમારે તમારા ખેતરના બીજની બધી ઊપજમાંથી દશમો ભાગ જુદો રાખવો.
050e170276	તેઓ જે જગ્યા પોતાના પવિત્રસ્થાન માટે પસંદ કરે ત્યાં તેઓની આગળ તમારા અનાજનો દશાંશ, તમારા દ્રાક્ષારસનો, તમારા તેલનો તથા તમારાં પશુ તથા ઘેટાં બકરાંના તથા અન્ય જાનવરોના પ્રથમજનિતને તમારે ખાવાં, કે જેથી તમે યહોવાહ તમારા ઈશ્વરનો આદર કરતાં શીખો.
050e1801dc	જો મુસાફરી એટલી લાંબી હોય કે તે તું લઈ જઈ શકે નહિ, કેમ કે જ્યારે યહોવાહ ઈશ્વર તને આશીર્વાદ આપે, ત્યારે યહોવાહ તારા ઈશ્વર જે જગ્યા તેમના પવિત્રસ્થાન માટે પસંદ કરે તે તારાથી ઘણે દૂર હોય,
050e1900f0	તો તમારે તે વેચીને, નાણાં તમારા હાથમાં લઈને યહોવાહ તમારા ઈશ્વર જે જગ્યા પસંદ કરે ત્યાં જવું.
050e1a01df	અને તારું દિલ ચાહે તે ખરીદવા માટે તારે એ પૈસા વડે બળદો, ઘેટાં, દ્રાક્ષારસ અને મધ તમને જે કંઈ પસંદ પડે તે ખરીદવું અને તમારા ઈશ્વર યહોવાહ સમક્ષ તમારે અને તમારા કુટુંબે તે ખાઈને આનંદ કરવો;
050e1b0103	તમારા ઘરના લેવીઓને તમારે કદી ભૂલવા જોઈએ નહિ. કારણ કે, તેઓને તમારી સાથે કોઈ પણ ભાગ કે વારસો મળેલો નથી.
050e1c00fb	દર ત્રીજે વર્ષને અંતે તે વર્ષની તમારી ઊપજનો દશમો ભાગ કાઢી લાવીને તમારા ઘરમાં તમારે સંગ્રહ કરવો;
050e1d01f9	તમારા ઘરમાં રહેનાર લેવી કે જેને તમારી સાથે કોઈ ભાગ કે વારસો મળ્યો નથી, તે તથા પરદેશી, અનાથ તથા વિધવા આવે અને ખાઈને તૃપ્ત થાય. એ માટે કે જે કામ તમે કરો છો તેમાં તમારા ઈશ્વર યહોવાહ તમને આશીર્વાદ આપે.
050f01007a	દર સાતમું વર્ષ તમારે માટે છુટકારાનું વર્ષ થાય.
050f02023e	અને છૂટકો કરવાની રીત આ છે; દરેક લેણદારે પોતાના પડોશીને દેવાથી મુકત કરવા. તેણે પોતાના પડોશી પાસેથી તથા પોતાના ભાઈ પાસેથી દેવું વસૂલ કરવા દબાણ કરવું નહિ. કારણ કે યહોવાહના માનાર્થે છુટકારાનો ઢંઢેરો જાહેર કરવામાં આવ્યો છે.
050f0300f5	વિદેશીઓ પાસે તમે દેવું ભરપાઈ કરાવી શકો છો પરંતુ તારું લેણું જો તારા ભાઈ પાસે હોય તો તે જતું કર.
050f040151	તોપણ તમારામાં કોઈ ગરીબ નહિ હોય કેમ કે યહોવાહ તમારા ઈશ્વર તમને જે દેશના વતનનો વારસો આપે છે, તેમાં યહોવાહ નક્કી તમને આશીર્વાદ દેશે;
050f050149	ફક્ત એટલું જ કે તમે યહોવાહ તમારા ઈશ્વરની વાણી ખંતથી સાંભળીને આ જે સર્વ આજ્ઞાઓ આજે હું તમને જણાવું છું, તે તમે કાળજીથી પાળશો તો.
050f0601c6	કેમ કે તમને આપેલા વચન મુજબ યહોવાહ તમને આશીર્વાદ આપશે અને તમે અનેક પ્રજાઓના લેણદાર બનશો, તમે કોઈના દેવાદાર નહિ બનો અને તમે અનેક પ્રજાઓ પર રાજ કરશો, પણ કોઈ તમારા પર રાજ કરશે નહિ.
050f070136	જે દેશ યહોવાહ તમારા ઈશ્વર તમને આપે છે, તેમાં તમારા ઘરમાં રહેતો તમારો કોઈ જ્ઞાતિજન ગરીબ હોય તો તમે તમારું હૃદય કઠણ ન કરો.
050f080111	પરંતુ તેમના પ્રત્યે તમારો હાથ ઉદાર રાખો અને તેની અછતને લીધે જેટલાંની તેમને જરૂરિયાત હોય તે પ્રમાણે આપો.
050f090225	પણ સાવધ રહો, રખેને તમારા મનમાં એવો દુષ્ટ વિચાર આવે કે સાતમું વર્ષ એટલે છુટકારાનું વર્ષ પાસે છે. અને તમારી દાનત તમારા ગરીબ ભાઈની વિરુદ્ધ બગડે અને તમે તેને કંઈ ન આપો. અને તે યહોવાહની આગળ પોકાર કરે તો તમે દોષિત ઠરશો.
050f0a01d2	વળી તમારે તેને આપવું જ કે જે તેને આપતાં તમારો જીવ કચવાય નહિ. કારણ કે, એ કાર્યને લીધે યહોવાહ તમારા ઈશ્વર તમારાં બધાં કામમાં એટલે જે કંઈ કામ તમે હાથમાં લેશો તેમાં તમને આશીર્વાદ આપશે.
050f0b01ab	કેમ કે દેશમાંથી ગરીબો કદી ખૂટશે નહિ તેથી હું તમને આજ્ઞા કરું છું કે, તમારે તમારા દેશમાં તમારા ભાઈ પ્રત્યે જરૂરિયાતમંદવાળા પ્રત્યે તથા ગરીબ પ્રત્યે ઉદારતા બતાવવી.
050f0c016d	જો તમારો ભાઈ એટલે કોઈ હિબ્રૂ સ્ત્રી કે પુરુષ તમારે ત્યાં વેચાયો હોય અને છ વર્ષ સુધી તે તમારી ચાકરી કરે. તો સાતમે વર્ષે તમારે તેને છોડી મૂકવો.
050f0d009c	જયારે તમે તેને મુક્ત કરો ત્યારે તેને ખાલી હાથે જવા દેવો નહિ;
050f0e01a7	તમારે તમારાં ઘેટાંબકરાંમાંથી અને તમારાં ખળામાંથી અને તમારાં દ્રાક્ષકુંડમાંથી તેને ઉદારતાથી આપવું. યહોવાહે તમને આપેલા આશીર્વાદના પ્રમાણમાં તમારે તેને આપવું.
050f0f015b	અને તમારે યાદ રાખવું કે, તમે પોતે પણ મિસરમાં ગુલામ હતા અને યહોવાહ તમારા ઈશ્વરે તમને છોડાવ્યા હતા. એ માટે હું આજે તમને આ આજ્ઞા આપું છું.
050f10018e	અને એમ બને કે, જો તે તમને કહે કે ‘મારે તમારી પાસેથી જવું નથી,” એ માટે કે તેને તમારી સાથે અને તમારાં ઘરનાંની સાથે પ્રેમ છે. અને તમારે ત્યાં સુખચેનમાં રહે છે.
050f110154	તો એક સોયો લઈને તેને બારણાની સાથે ઊભો રાખીને તેનો કાન વીંધવો એટલે તે સદાને માટે તારો દાસ થશે. અને તારી દાસી વિષે પણ એ પ્રમાણે કરવું.
050f120221	જયારે તમે તેને ગુલામીમાંથી મુકત કરો ત્યારે એમ કરવાનું તમને કઠણ ન લાગવું જોઈએ. કારણ કે, મજૂરના પગાર કરતાં બમણી ચાકરી તેણે તમારે ત્યાં છ વર્ષ સુધી કરી છે. તમારા સર્વ કામમાં યહોવાહ તમારા ઈશ્વર તમને આશીર્વાદ આપશે.
050f130219	તમારાં ઘેટાંબકરાંના તથા અન્ય જાનવરના પ્રથમજનિત નર બચ્ચાંને તમારે યહોવાહ તમારા ઈશ્વરને અર્પિત કરી દેવાં; પ્રથમજનિત એટલે કે વાછરડા પાસે કંઈ કામ ન કરાવ અને તારા ઘેટાંબકરાંના પ્રથમજનિત બચ્ચાંને તું ન કાતર.
050f1400ef	વર્ષોવર્ષ તમારે અને તમારા પરિવારે યહોવાહ તમારા ઈશ્વરે પસંદ કરેલા સ્થાને તે પ્રાણીઓ ખાવાં.
050f150120	પરંતુ જો તેને કંઈ ખોડખાંપણ હોય, એટલે કે અપંગ અંધ કે કશી ખોડવાળું હોય તો તે યહોવાહ તમારા ઈશ્વરને તેનો યજ્ઞ ન કરો.
050f1600ae	તમે તે તમારે ઘરે ખાઓ; જેમ હરણ તથા સાબર, તેમ શુદ્ધ કે અશુદ્ધ જન તે ખાય.
050f1700b2	પરંતુ તમારે તેનું લોહી ખાવું નહિ તેને પાણીની જેમ જમીન પર ઢોળી દેવું.
0510010174	આબીબ માસ ધ્યાન રાખીને યહોવાહ તમારા ઈશ્વર પ્રત્યે પાસ્ખાપર્વ પાળો; કેમ કે આબીબ માસમાં યહોવાહ તમારા ઈશ્વર તમને રાત્રે મિસરમાંથી બહાર લઈ આવ્યા.
0510020160	અને પોતાનું નામ રાખવા માટે યહોવાહ જે સ્થળ પસંદ કરે ત્યાં ઘેટાંબકરાંનો કે અન્ય જાનવરોનો પાસ્ખાયજ્ઞ તું યહોવાહ તમારા ઈશ્વર પ્રત્યે કર.
0510030234	તમારે તેની સાથે ખમીરી રોટલી ન ખાવી. સાત દિવસ સુધી તમારે તેની સાથે ખમીર વગરની એટલે દુઃખની રોટલી ખાવી કારણ કે, તમે મિસર દેશમાંથી ઉતાવળે નીકળ્યા હતા. અને આ રીતે તમે મિસરમાંથી જે રીતે બહાર આવ્યા તે દિવસ આખા જીવનભર યાદ રહે.
0510040184	સાત દિવસ સુધી તમારી સર્વ સરહદોમાં તમારી મધ્યે ખમીર જોવામાં આવે નહિ. તેમ જ પહેલે દિવસે સાંજે વધેલા બલિદાનનું થોડું પણ માંસ સવાર સુધી રહેવા દેવું નહિ.
05100500ee	જે નગરની ભાગળ યહોવાહ તારા ઈશ્વર તમને આપે તેમાંની કોઈ પણ ભાગળમાં તારે પાસ્ખાયજ્ઞ કરવું નહિ.
051006019f	પરંતુ, યહોવાહ તારા ઈશ્વર પોતાના પવિત્રસ્થાન માટે જે જગ્યા પસંદ કરે ત્યાં સાંજે સૂર્યાસ્ત સમયે એટલે જે વર્ષે તમે મિસરમાંથી બહાર આવ્યા તે સમયે, પાસ્ખાયજ્ઞ કરો.
05100700f7	યહોવાહ તમારા ઈશ્વરે પસંદ કરેલી જગાએ તમારે તે શેકીને ખાવું; સવારમાં પાછા પોતાના તંબુઓમાં જવું.
0510080142	છ દિવસ સુધી તમારે બેખમીરી રોટલી ખાવી, સાતમા દિવસે યહોવાહ તમારા ઈશ્વર માટે પવિત્ર સભા કરવી, તે દિવસે તમારે કોઈ કામ કરવું નહિ.
051009011b	તમે તમારે પોતાને માટે સાત અઠવાડિયાં ગણો; ઊભા પાકને દાતરડું લગાવાનું શરૂઆત કરો તે સમયથી સાત અઠવાડિયાં ગણવાં.
05100a0154	તમે યહોવાહ તમારા ઈશ્વર પ્રત્યે અઠવાડિયાનાં પર્વ ઉજવો, યહોવાહ તમારા ઈશ્વરે આપેલા આશીર્વાદ પ્રમાણે તમારા હાથનાં ઐચ્છિકાર્પણ આપો.
05100b0299	યહોવાહ તમારા ઈશ્વરે પોતાના પવિત્રસ્થાન માટે પસંદ કરેલી જગ્યાએ તમે, તમારા સંતાન, તમારી દીકરી, તમારા દાસ, તમારી દાસીઓ, નગરની ભાગળમાં રહેતા લેવીઓ, તમારી મધ્યે રહેતા વિદેશીઓ, અનાથો તથા તમારી મધ્યે રહેતી વિધવાઓએ બધાએ મળીને યહોવાહ તમારા ઈશ્વરની આગળ આનંદ કરવો.
05100c00c3	તમે મિસરમાં ગુલામ હતા તે યાદ રાખીને તમે આ કાનૂનો પાળો અને તેને અમલમાં મૂકો.
05100d0100	તમારા ખળામાંથી તથા તમારા દ્રાક્ષકુંડમાંથી ઊપજ ભેગી કરી લો પછી તમે સાત દિવસ સુધી માંડવાપર્વ ઉજવો.
05100e015b	તમારાં પર્વ દરમિયાન તમે, તમારા સંતાન, તમારી દીકરી, તમારા દાસ, તમારી દાસી, લેવી, નગરની ભાગળમાં રહેતા પરદેશીઓ, અનાથો તથા વિધવાઓ આનંદ કરો.
05100f01de	તમે યહોવાહ તમારા ઈશ્વરના માટે યહોવાહે પસંદ કરેલા સ્થાને સાત દિવસ સુધી પર્વ ઉજવો, કેમ કે યહોવાહે તમારી બધી ઉપજમાં, તમારા હાથનાં સર્વ કામોમાં તમને આશીર્વાદ આપશે, તમે પુષ્કળ આનંદ પામશો.
051010024c	તમારા બધા પુરુષો એ જે જગ્યા યહોવાહ પસંદ કરે ત્યાં વર્ષમાં ત્રણ વાર યહોવાહ તમારા ઈશ્વરની આગળ ઉપસ્થિત થવું. બેખમીરી રોટલીના પર્વના પ્રસંગે અઠવાડિયાનાં પર્વના પ્રસંગે અને માંડવાપર્વના પ્રસંગે યહોવાહ આગળ ખાલી હાથે આવવું નહિ.
0510110141	પરંતુ, દરેક માણસે પોતાની યથાશક્તિ પ્રમાણે યહોવાહની આજ્ઞા પાળીને યહોવાહ તમારા ઈશ્વરે આપેલા આશીર્વાદ પ્રમાણે તમારે આપવું.
0510120188	જે નગરની ભાગળ યહોવાહ તારા ઈશ્વર તમને આપે તેમાં તમે તમારા માટે તમારા કુળોમાંથી ન્યાયાધીશો તથા બીજા અધિકારીઓની નિમણૂક કરો, તેઓ લોકોનો ઉચિત ન્યાય કરશે.
051013015b	તમે ન્યાય માટે બળજબરી ન કરો, પક્ષપાત ન કર, લાંચ ન લો, કેમ કે લાંચ જ્ઞાની આંખોને અંધ બનાવી દે છે અને ન્યાયી માણસોના વચનો ખોટા કરી નાખે છે.
0510140122	તમે ન્યાયનું અનુસરણ કરો, કે જેથી તમે જીવતા રહો અને જે દેશ યહોવાહ તમારા ઈશ્વર તમને આપે છે તેનો વારસો પ્રાપ્ત કરો.
05101500e9	તમે યહોવાહ તમારા ઈશ્વરની માટે જે વેદી બનાવો તેની બાજુએ કોઈ પણ જાતની અશેરા મૂર્તિ ન ગોઠવો.
05101600db	તમારે તમારા માટે કોઈ સ્તંભ ઊભો કરવો નહિ. કેમ કે, યહોવાહ તમારા ઈશ્વર તેને ધિક્કારે છે.
0511010170	યહોવાહ તમારા ઈશ્વરને તમારે ખોડખાંપણવાળાં કે કંઈ પણ રીતે ખરાબ બળદ કે ઘેટો અર્પણ કરવો નહિ. કેમ કે યહોવાહ તમારા ઈશ્વરને તે બલિદાનો ઘૃણાસ્પદ છે.
05110201c2	જો યહોવાહ તમારા ઈશ્વર તમને જે ગામો આપે છે તેમાં તમારી મધ્યે કોઈ સ્ત્રી કે પુરુષ મળી આવે કે જે યહોવાહ તમારા ઈશ્વરના કરારનું ઉલ્લંઘન કરીને તેમની દૃષ્ટિમાં જે ખોટું છે તે કરે,
0511030162	અને જો કોઈ બીજા દેવોની પૂજા કરતો હોય, તેઓની આગળ નમતો હોય, એટલે સૂર્ય, ચંદ્ર અથવા તારા જેના વિષે મેં તમને ફરમાવ્યું નથી તેની પૂજા કરતો હોય,
0511040183	તે વિષે તમને ખબર પડે કે તમે તે વિષે સાંભળો તો તમે તે વિષે કાળજીપૂર્વક તપાસ કરો. જો એ વાત સાચી અને ચોક્કસ હોય કે, એવું ઘૃણાસ્પદ કામ ઇઝરાયલમાં બન્યું છે.
0511050144	તો એવું અધમ કૃત્ય કરનાર સ્ત્રી કે પુરુષને, એટલે તે જ સ્ત્રી કે પુરુષને નગરના દરવાજા આગળ લાવીને તેમને પથ્થર મારીને મારી નાખો.
051106011c	બે સાક્ષીના કે ત્રણ સાક્ષીના આધારે તે મરનારને મરણદંડ આપવામાં આવે; પણ એક સાક્ષીના આધારે તેને મરણદંડ આપવો નહિ.
