2800000006	Mathiu
281a2a009d	Jisu leksiit rangsoom we wangta, “Ewah nga maang chamkang jaakhoh nah, chamchoh lookkep ah lajen toonhaat jih ang abah, an thung jun doh toom ang raaha.”
281a2b006c	Heh we ngaak kah adi heliphante loong ah mokjup ruh eh arah we japtup kata; neng mik uh tajen daapsok rumta.
281a2c0038	Eno Jisu ah lekjom we wang ano, erarah ah we soomwangta.
281a2d00a6	Eno we ngaak ra haano heliphante loong asuh liita, “Amadi uh sen thok naangjup ruh nih elan? Sok an! Mina Sah ah rangdah miloong lak nah kot suh saapoot echang ela.
281a2e003c	Saat an, kah ih. Sok an, arah nga khuumtante mina rah ah!”
281a2f00a6	Jisu ih erah baat tokdi heliphante dung dowa Judas, dong khoom taha. Heh damdi mih loong hantek lang apah pan romwah phokhoh nyia hadaang phokhoh ih daapjah rum taha.
281a300079	Judas ih miloong asuh jatthukta: “Marah mih chupphak ang erah mih ah sen ih jam han rah ang ah. Eno erah ah khak an!”
281a310065	Judas Jisu reeni phangla ih wang ano liita, “Semroongroong toomtong uh, Nyootte,” eno chupphakta.
281a320085	Jisu ih ngaakbaatta, “Nga joonwah, tumjih raang ih wang halu, echaan eh uh!” Eno mih loong ah wang rum ano, Jisu ah jokhak rumta.
281a330059	Jisu dam dowa mih wasiit ih heh lang ah heehoom ano Romwah Phokhoh dah, na ah chepdookta.
281a34006f	Jisu ih baatta, “An lang ah hetoop nah we ngaaksak uh, “O mina ih lang toon ah erah mina ah lang doh ti ah.
281a35009e	Sen ih tanih jatkan nga pangsuh seng Wah ah ejen poon et thengtang, eno lakdam damdoh rangsah sipaahi loong ah asih wanyi nang ih ehan et daapkaat theng taha?
281a36006c	Enoothong, emah mok ang abah Rangteele ni elang jaatjaat etheng ih liiha ah amiisak doh mamah ma jen ang ah?
281a3700d3	Eno Jisu ih miloong asuh liita, “Sen loong ah nga joot suh lang apah pan nih ra halan, ehuh elek jootjoot ah? Ngah ih Rangteenok ni tong ano saarookwih kah nyootsoot tang rah ah, erah di mamah lah joh ih tahe?
281a3800bb	Enoothong arah loong ah khowah loong ih Rangteele ni raangthiin rumta ra amiisak toom ih pun raaha ih angla.” Eno heliphante loong ah heh ah thiinhaat rum ano thoontang moongsoon rumta.
281a39008e	Jisu khakte loong ah ih Romwah Phokhothoon Kaiphas nok adi siitwan rumta, erah di Hootthe nyootte nyia hadaang phokhothoon loong lomtong rumta
281a3a00c8	Pitar ah haloot nawa neng lilih ih wang ano Romwah Phokhothoon nok adi thok phanjoh wanta. Pitar ah nokmong ni nopkhoom wang ano, sipaahi loong damdi roongtong wang ano mamah angthaak ah ih ban sokta.
281a3b007b	Romwah Phokhoh loong nyia ah Ngoong awang loong ah ih lalangka di Jisu jen tek haat theng mat ih joot suh taat chung rumta;
281a3c0087	enoothong warep ih Jisu tiit hahuung baat suh taat wang rumha bah uh, hahuung tiit baat suh lampo tajeeta. Hethoondi wanyi toonchap ano
281a3d0078	baat nyuuta, “Arah mih rah ih liita, ‘Ngah ih Rangteenok ah thaak haat ang no, sa jom doh we jen hoon ang eah.’”
281a3e0072	Romwah Phokhothoon ah toonchap ano Jisu suh liita, “An tiit erah thetbaat halu adi ngaak jengjih tatam jeeka?”
281a3f00b9	Enoothong Jisu ah su su ih tongta. Eno Romwah Phokhothoon ah ih we chengta, “Ething Rangte mendi ngah ih an suh thoomhoon thuk hala: baat thaak uh, Rangte Sah Kristo ang uh bah ah.”
281a4000e7	Jisu ih ngaakbaatta, “An ih liihu ah ju ang ah. Enoothong ngah ih sen loong suh baat rumhala: aadowa ih Mina Sah ah sen ih Elong Rangte damdoh jaawako nah tong arah nyia rangmong hasong nawa jiingmuung damdoh raaha rah tup an!”
281a4100b8	Erah dowa ih Romwah Phokhothoon rah ih heh nyuh ah ranhoom ano liita, Rangte kaanju hu! Erah tokkhodoh wahoh haaki takah jamke! Sen ih Rangte kaanju tiit belam jengta rah echaat ettan.
281a42005f	Sen ih mamet thunhan?” Miloong ah li rumta, “Heh emoong ela eno tek haat jaatjaat etjih.”
281a430044	Eno heh the adi took rum ano buh rumta; erah dam ih heh botte rah ih
281a440060	liita, “Seng tiit ah taat ban jat thaak uh Kristo ang uh bah ah! Jatthaak uh o eh buh taho!”
281a450080	Pitar ah nok taakkhuung ni tong adi Romwah Phokhothoon laksuh minuh ah kah ano liita, “An nep Galili nawa Jisu damdi angtu.”
281a460074	Eno heh ih loongtang dung ni daanta. “An ih tumjih tiit baat hu erah ngah ih tajatkang,” Pitar ih ngaakbaat ano,
281a47009b	erah dowa kaawan ko ih dokkhoom kata. Romwah Phokhoh laksuh nuhoh ih we tup ano erah dowa miloong asuh baat rumta, “Najaret dowa Jisu damdi heh angta.”
281a480063	Eno Pitar ih daan ano we ngaak liita, “Ngah ethoom nep jen eang ngah ih erah mih ah tajatkang!”
281a4900bc	Amasah ritdi erah di chap rumta miloong ah Pitar reeni kata. “Amiimi anbah neng dam dowa ju angkoko,” Miloong ah ih liita. “Sen Galili nok hah loong ah sen jeng nawa ih jatjoh hi!”
281a4a00d6	Eno Pitar ih liita, “Ngah ih thoomhoon damdi ami tiit baat rumhala! Rangte ih toomjat kohang, ngah ih tajatkang liitang ah hahuung tiit baatkang bah ah! Ngah ih erah mih ah tajatkang!” Erah damdam woh ah weeta,
281a4b008d	eno Pitar ih Jisu jengta ah samthunta: “Woh maang weeka doh an ih tajatkang ih lekjom jeng uh.” Heh dokkhoom kah ano rapne ih huung kata.
281b010064	Rangkhano ih loongtang Romwah Phokhoh nyia mihak phokhoh loong ih Jisu tek haat suh kaankoong rumta.
281b020040	Eno jaanruh ih khak rum ano, Roman kobono Pilat suh kowan rumta.
281b0300ac	Jisu khumtante Judas, ih Jisu tek haat tiit ah jat ano, heh thetre ah dokthunta, eno ngunkholok lo rookjom ah romwah phokhoh nyia hadaang phokhoh loong asuh ngaak kokaatta.
281b0400d8	Judas ih liita, ‘Ngah rangdah jih reelang, toongtang mina tiit ah leekbaat angno tek haat thuk kohang!” “Erah seng raangtaan ih tumjih ma thih aleh?” Miloong ah ih ngaak liita, “Erah bah an mat ba hanih!”
281b050051	Judas ih ngunkholok ah Rangsoomnok ni piihaat wan ano; heh teeteewah chiiti kata.
281b060084	Romwah Phokhoh rah ih ngunkholok ah toon ano liita, “Arah ngun ah sih thaang, seng Hootthe jun ih Rangsoomnok nah tami thiinke.”
281b070076	Neng ih erah tiit ah jen punwaan rum ano, ngunkholok ah ih Paaktek hoonte wah Phek wenwah mangbeng theng et reh rumta.
281b08003c	Erah thoidi erah phek asuh amadi uh “Sih Phek” et menha.
281b0900b1	Eno khowah Jeremiah ih banbaatta jengkhaap ah amiisak angla: “Neng ih ngunkholok lo rookjom ah ekap et rumta, Ijirel mina ih roomwaan rum ano heh suh thaang et korumta rah ah,
281b0a005a	eno erah ngun ah ih paaktek hoonte wah phek reh rum ah, Teesu ih baat tahang jun ih ah.”
281b0b00a4	Jisu ah heh suh jengkhaap chengte Roman kobonor ngah ni chapwangta. “Jehudi luungwang an tam anglu?” heh ih chengta. “An ih liihu aju,” Jisu ih ngaakbaatta.
281b0c006f	Eno heh ih Romwah phokhoh nyia hadaang phokhoh loong ih heh thet tiit baatta adi heh ih suusu boichaat ruh eta.
281b0d0054	Erah thoih Pilat ih heh suh liita, “Erah thetbaat rum halu an ih tanih chaatko?”
281b0e0059	Ang abah uh Jisu ah jaasiit uh tangaak jengta, erah thoidi Kobonor ah rapne ih paatjaata.
281b0f0079	Khopi Kuwaang rookwih Roman kobonor ih phaatak ni tongte noksong ih marah jamha mina, o ang abah uh wasiit kadaap haatta.
281b10004b	Erah tokdi phaatak ni mirep ih jat arah mina hemen ah Jisas Barabas tongta.
281b110092	Eno miloong ah lomthok rum kano, Pilat ih cheng rumta, “Sen ih marah wah ah daapthuk he, Jisas Barbabbas ah tama Jisu Kristo et liiha rah ah?”
281b12006e	Pilat ih samsek et jatta Jehudi ngoong awang loong ih Jisu Kristo ah miksuk et rum ano jokoh jarum halang eah.
281b1300b8	Pilat ah mat hoon nok ni tong adi, heh minuh ih kongphaak esiit maat kaatta: “Tumjih uh nakkah et an, tumeah muphe nga mangphe di erah wah tungthoidi ngah rapne ih chamnaang tang.”
281b1400ac	Romwah phokhoh nyia hadaang phokhoh loong ah ih miloong ah jeng thuk rumta, Pilat ih Barabas ah daap haat etjih toom ang ah eah nyia Jisu ah tek haat etjih toom ang ah eah.
281b150090	Enoothong Pilat ih miloong asuh cheng rumta, “Arah wanyi dowa marah wah ah daap haat korumha?” “Barabbas ah!” Miloong ah ih ngaakbaatta.
281b16009b	“Erah ang abah, Jisu Kristo ih liiha asuh ngah ih tumjih et ang?” Pilat ih cheng rumta. “Bangphak nah rapbot an!” mih loongtang ih ngaakbaat rumta.
281b17007a	Eno Pilat ih cheng rumta, “Heh tumjih thetre kota?” Miloong ah erong ih toonriing rumta: “Bangphak nah rapbot an!”
281b1800df	Pilat ih miloong ah sok rum adi, heh tumjih uh lakah miijeng thang ih phaangrook rumta, eno heh ih khamteng ah toon ano, miloong miksok di helak ah saatiita eno liita, “Arah mina tek ah nga mat tah angka! Arah sen mat!”
281b19006c	Miloong ah ih ngaakbaatta, “Arah mih tekla mat ah seng sak nah nyia sengsuh sengsah sak nah toomdat ha!”
281b1a006e	Eno Pilat ih neng suh Barabas ah daap korumta; Jisu ah ruh ih buthuk rum ano, bangphak nah rapbot suh korumta.
281b1b0062	Eno Pilat sipaahi loong ih Jisu ah kobonor nok ni siitwan rum ano, loongtang ih kookchap wanrumta.
281b1c0042	Neng ih henyuh hekhat ah khook rum ano nyusaang ah kap thuk rumta.
281b1d010c	Erah lidi suh nawa ih khopok ah hoon rum ano heh khoh adi phokthuk rumta, eno kiingthom ah jaawako lak adi piithuk et rumta; eno neng ah heh lathong adi neng lakuh di kotbon rum leh joonnaam soomtu et rumta. “Jehudi luungwang ah roitang toomtong kah!” ih li rumta.
281b1e0059	Heh sak adi neng took ah ih took, heh kiingthom ah nge rum ano heh khoh adi buh et rumta.
281b1f0090	Jen joonnaam rum ano heh sak dowa nyuh ah ngaakkhook rum ano henyuh hekhat ah we kap thuk rumta. Eno bangphak nah botwan suh doksiit kaat rumta.
281b20009a	Neng dokkhoom ih karum adi Siren hadaang nawa wasiit hemen ah Simoon chomui rumta, eno sipaahi loong ah ih heh suh Jisu bangphak roong hui laatbaat rumta.
281b21005f	Neng hah esiit Golgotha, ih liiha adi thok rumta, erah langla, “Mih khoraang hah” ih liiha.
281b220083	Erah di neng ih Jisu suh kham ekhah jih damdi woi rum ano jok thuk rumta, enoothong taat taajok ano Jisu ih erah jok ah edaan etta.
281b230086	Neng ih Jisu ah bangphak ni rapbot rum ano henyuh hekhat ah joopche rum ano rangkhoni wenhaat rumta o ko nah nyuchep dat thaak ah eah.
281b240033	Erah lilih neng erah di tong rum ano ban sok rumta.
281b25006e	Heh khothung adi neng ih heh chickram le ah amet raang rum ano rapbot rumta: “Arah Jisu Jehudi luungwang.”
281b260057	Erah di Jisu damdi ehuh wanyi, esiit ah dak hekko esiit ah jaawako ih wak rapbot rumta.
281b270057	Miloong erah di lengkhoomte loong ah ih neng tok ah nyoongleh Jisu ah chikram et rumta:
281b28009a	“An ih Rangteenok ah thaak uno sa jom mongdoh we hoonte laangma angtu! Rangte sah ang ubah an teeteewah pang et uh ba! Bangphak dowa dat khoom raaho!”
281b29007b	Emamah romwah phokhothoon nyia Hootthe nyootte loong erah dam ih hadaang phokhoh loong ih Jisu ah chekram ngitkhuung rumta:
281b2a00bf	“Heh ih mihoh bah epang kah eta, enoothong heteewah ah tajen pangka nih! Heh ah Ijirel luungwang ah baata nih? Heh amadoh bangphak dowa ah jen datkhoom raaha bah, seng ih hesuh hanpi et ih!
281b2b009a	Heh ih Rangte suh laalom ano heh teewah ah Rangte Sah kah ih thiikta. Ese ang ah, eno bah seng ih sokthaak ih amadoh heh Rangte ih tam pangra thaak ha!”
281b2c0046	Heh damdi uh wanyi wakbot rumta nyi ah ih emamah roong chekram nyuuta.
281b2d004a	Rangnithung di deek akaan thoontang ni saapoot jom raang ih rangnak datta.
281b2e00af	Saasongko saapoot jom taan di Jisu ah erong ih riinghuungta, “Eloi, Eloi, Lema Sabachthani?” erah langla, nga Rangte, nga Rangte, an ih ngah tumet suh thiinhaat halang?”
281b2f005e	Mararah mina erah di chapte loong ah ih japchaat rum ano li rumta, “Heh ih Elijah poonha!”
281b300082	Erah damdam wasiit ah soonkah ano, chanthah tuiba adi nyutom ah khak ano, thaangne jih kham adi tem ano, Jisu suh taat jok thukta.
281b310058	Rukho loong ah ih li rumta, “Ma ban sokthaak ih, Elijah ih heh tam pangra thaak ha!”
281b320037	Jisu ah erongwah we ih riinghuung ano heh tak ah supta.
281b33007e	Eno Rangteenok ni nyuh tinta ah hekhoh dowa ih hetang tuk ih khoonyi ih khoodatta. Hah ah moh eta, jong loong ah khoodat etta,
281b34005b	mangbeng loong ah raapphok eta, eno Rangte mina tekchoote loong ah hantek ngaakthing rumta.
281b350085	Neng ih mangbeng ah thiinhaat rum ano, Jisu tek nawa ngaakthing lini, neng ah Esa Hadaang adi mirep ih japtup rum arah ih wang rumta.
281b3600b8	Jisu ban sok rumta loong arami saahaap nyia sipaahi ah ih hah mota nyia erah di mamangta loong ah sok rum ano rapne ih cho rumta, eno jeng rumta, “Amiimi heh Rangte Sah angta joh!”
281b370084	Erah di minuh loong hantek ih haloh nawa ih bansok rumta, neng ah Jisu lilih Galili nawa ih dook heh sokboite roong phankhoom rumta.
281b38006a	Minuh loong dung adi Meeri Magdaleni, Jeems nuh Meeri ah lang, Josep nyia Jibedi minuh loong ah ang rumta.
281b390070	Rangja ko di, changteng wasiit Aramathea nawa thok taha, hemen ah Josep angta, heh uh Jisu liphante esiit angta.
281b3a006a	Heh Pilat pandi nopwang ano Jisu mang ah suh wangta. Pilat ih Jisu mang ah Josep suh koh an ih baat rumta.
281b3b0036	Eno Josep ih mang ah toon ano, nyuleep ena ih khoonta,
281b3c009c	eno heh ih mangbeng luung ah jong khoni erarah ih thoh aradi thiin kaatta. Eno heh ih mangbeng luung kaawan adi jonglo elongwah ah tangkoong thiin ano kata.
281b3d004b	Meeri Magdelini nyia Meeri nusiit ah mangbeng ko ih soknyu ano tong nyuuta.
281b3e0065	Jehudi loong naangtongsa saalih adi, romwah phokhoh nyia Phirasi loong ah Pilat damdi chotong rum ano
281b3f007c	baat rumta, “Chuupha, eleek warah ih ething tokdi heh ame jengta rah dokthunhi, ‘Ngah sa jom lidoh we ngaakthing ete.’
281b400138	Erah thoih, baat rum uh, sa jom mong adoh heh mangbeng ah naririh toom et ban karum ah, heliphante loong ih heh mang ah nak toom jen hutoon karum asuh ah, miloong asuh tek nawa ngaaksaat eta ih phoh tumbaat rum ah. Eno bah arah lithoon ih leekbaat hi ah jaakhoh ni lekbaatti nang ih ehanthoon ih thette angla.”
281b410063	“Naririh ih ban an,” Pilat ih baat rumta; mangbeng ah mathan jen bansok an et ban sokkah an.”
281b42005e	Eno neng ah karum ano mangbeng dowa jonglo ah huk miinmook karum ano bante suh ban thuk rumta.
281c010075	Jehudi naangtongsa lih adi Meeri Megdelini nyia nuhoh Meeri ah naangtongsa rangkhano di mangbeng theng sokkah nyuuta.
281c02007a	Baphuk ih erah di hasah mota; rang nawa rangsah ah ra haano, mangbeng dowa jonglo ah dokkoongta, eno erah khoh adi tongta.
281c03005b	Heju hela ah weephaak likhiik angta, eno henyuh hekhat ah nge likhiik puung chamcham angta.
281c040033	Bante loong ah tekmang likhiik ih dong mocho rumta.
281c050089	Rangsah ih minuh nyi asuh liita. “Set nakcho ansih,” “Ngah ih jat ih nyu hala, set ih Jisu banphak ni tek haatta rah bansok hansih.
281c06005a	Heh aadi tajeeka; heh ih baatta jun ih ejen ngaaksaat eta. Heh juptheng ah sokwang hansih.
281c0700ea	Echaan ih ngaakwang ansih no, heliphante loong suh thongbaat wan ansih, ‘Heh tek nawa ejen ngaaksaat eta eah, heh amadi set ngah ngah Galili ni kala; erah nah sen ih heh ah japtup an!’ Samthun et an ngah ih baat rumhala rah ah.”
281c08009d	Erah thoidi nengnyi ah mangbeng nawa echaan ih soonwang nyuuta, thako adi echo ih nyu thako adi tenroon ang nyuuta, eno heliphante loong asuh baatwan nyuuta.
281c0900a4	Baphuk ih Jisu ah nyi damdi chomui nyu ano baat nyuuta, “Semroonroong toomtong ansih.” Nengnyi ah Jisu reeni ra nyuuha no, heh lasih ah joh nyu ano soom nyuuta.
281c0a008b	“Nakcho ansih,” Jisu ih baat nyuuta. “Galili nawa ngaaphoh ngaano loong asuh baatkaat ansih, neng ih ngah erah nah japtup rumhang.”
281c0b00a5	Minuh nyi ah lam ni wang nyu adi, mararah mangbeng bante sipaahi loong ah samnuthung ni ngaakwang rum ano romwah phokhoh suh mamah angta tiit loong ah baatwan rumta.
281c0c0093	Romwah phokhoh loong ah hadaang phokhoh loong damdi chotong rum ano kaankoong rumta; eno neng ih bante sipaahi loong asuh ngun hantek et korum ano,
281c0d0076	baat rumta, “Sen ih Jisu mang ah heliphante loong ih rangphe di sen emokjup ih pootdi hutoon rumta ih tumbaat an.”
281c0e0075	Eno Kobonor ih arah tiit ah japchaat abah, seng ih ma hukbaat ih sen tathih kan eah, sen erah suh nak sootsaam an.”
281c0f0090	Bante loong ah ih ngun ah thaang rum ano neng ih baatta jun ih re rumta. Eno erah tiit ah Jehudi loong chamchi ni chiinyah tuk ih tiiwaan rumla.
281c100055	Heliphante asih wasiit loong ah Galili kong ni Jisu ih baat rumta hah adi wang rumta.
281c110059	Jisu ah tup rum ano heliphante loong mararah mongchi taat ang abah uh heh rangsoom rumta.
281c120079	Jisu ah nengko ih tiitkhoom kah ano baat rumta, “Rangmong hasong nyia hatoh adi jaatrep chaan aphaan ngah suh kotahang.
281c130095	Erah ang abah, sen kah anno, noongrep nawa mina loong ah nga liphante ih hoon kah an: Heh Wah, Heh Sah, nyia Esa Chiiala mendoh, juungtem tem kah an,
281c1400aa	eno ngah ih baat rumhala tiit ah mirep ih erah lam ah toomphan asuh nyootsoot kaat an. Eno Ngah ah sen damdoh rang nyia hah maang thoonthoon saarookwih roong tonghang.”
2900000004	Maak
290101002e	Arah Rangte sah, Jisu Kristo Ruurang Ese tiit.
29010200a0	Erah jengkhaap ah khowah Isaia ih mamet baatta erah jun ih phang langta: “Rangte ih liita, ‘Ngah ih an ngah nah kaamwah an lam ban tan suh daapkaat hang.’
2901030082	Mih esiit phisaang hamong ni riingla, ‘Teesu raangtaan ih lam ban hoon thiin an; heh khoom raangtaan ih lamjun et hoon an!’”
29010400d4	Eno Joon ah phisaang hah ni juungtem nyia Rangte tiit tumbaat lam ih dong taha. Heh ih mina loong suh baatta, “Sen rangdah loong nawa ngaaklek ano juungtem an, eno ba Rangte ih sen rangdah ah biin anaan han.”
29010500b2	Judia juungkhuung nyia Jerusalem samnuthung nawa mina loong ah Joon jengkhaap chaat karumta. Neng ih neng rangdah loong ah dokbaat rum ano Jordan Juung adi juung ah tem ih rumta.
2901060094	Joon ih mokchongdoot roon nawa ih hoon arah nyuh akhat kapta, heh room adi siikhoop roomkhe ah khe etta, eno heh phaksat ah wotuute nyi najui angta.
2901070087	Heh ih mina loong suh thaaraam lam ih baat rumta, “Mina wasiit nga lih nah raakte ang hala erah wah ah nga nang ih elongthoon ang ah.
2901080082	Ngah bah heh lakhoop pak taajoh tha uh taliikang. Ngah ih juung nawa ih tem rumhala, heh ih bah Esa Chiiala nawa ih tem raahan.”
290109006f	Rekamdi Jisu ah Najaret hadaang Galili juungkhuung dowa thok taha, eno Joon ih Jordan juung ni Jisu juungtemta.
29010a0073	Juung nawa Jisu dokkhoom damdam, rang ah laangdat ano Esa Chiiala ah wotuupi woh likhiik ih datpuh raaha rah tupta.
29010b004e	Eno rang ni dongjengta, “An ah nga mongnook Sah. Ngah an suh eroon elang.”
29010c003a	Erah damdam Esa Chiiala ih phisaang hah ko ni kaat thukta,
29010d008c	erah di heh saarookbaji tongta, eno Soitaan ih phateeta. Erah damdi woma siiawi nep angta, enoothong rangsah loong ra haano chosokboi rumta.
29010e0069	Joon phaatak ni sakta lini, Galili ni Jisu ah kah ano Rangte re nawa Ruurang Ese loong ah tumbaat kaatta.
29010f0093	“Saapoot ese thok ah chang ela,” Jisu ih liita, Rangte Hasong ah thok ih hala! Sen rangdah loong nawa elek ean, eno Ruurang Ese ah hanpi an!”
2901100086	Jisu Kristo Galili juungsitum kaang ni khoom kah adi, heh ih nyah haate soophoh wanyi Simoon nyia heno Endriu chaak ha tokdi japtupta.
2901110093	Jisu ih nyi suh baatta, “Nga damdoh wang hansih ngah ih mih mamet joh ah erah nyoot nyuuha.” Jisu ih Pitar nyia Endriu khoonkhuung nawa poonta.
2901120042	Erah damdam chaak ah thiinhaat nyu ano heh damdi roongwang nyuuta.
2901130085	Amasah haloot ni wang adi, Jebidi sah soophonyi Jeems nyia Joon we japtupta. Nengnyi ih khoonkhuung ni chaak khookham tok ang nyuuta.
29011400b8	Jisu ih tupnyu ano erah damdam laan poon ruh et nyuuta; eno nyi wah Jebidi ah neng ih lakbiitte ih siitkaat rumta ah damdi khoonkhuung ni thiinhaat nyu ano Jisu damdi roongwang nyuuta.
2901150098	Jisu nyi heliphante loong ah Keparnam hadaang adi thok rumta, Jehudi naangtongsa saalih adi, Jisu ah Jehudi rangsoomnok ni kah ano phang nyootsoot kata.
29011600ad	Heh ih nyootsoot rumta ah chaat rum ano mina loong ah rapne ih paatja rumta, heh Hootthe nyootte loong ah ih nyootta ah likhiik lah angthang ih, chaan aphaan pan et nyootta.
2901170056	Erah damdam chiithih laakhah pan mih wasiit, Jehudi rangsoomnok ni thok haano riingta.
2901180090	“Najaret nawa Jisu, an ih seng tumjih et he? Aani seng thet haat suh tam wang halu? Ngah ih jat et hala an o ah—an ah Rangte Esa kaamwah!”
2901190052	Jisu ih laathih asuh baatta, “Nak hoopti uh, arah mih sak dowa doksoon eh uh!”
29011a0051	Chiithih laakhah rah ih mih ah mootnyoong thiin ano, riinghuung lam ih doksoonta.
29011b010d	Miloong ah rapne ih paatja rumta, eno neng chamchi ni wasiit wasiit suh phang chengmui rumta, “Arah tumjih ah? Arah tiit ah jaat hoh tiit na tam nyoot ha? Arah mih adi chiithih laakhah dok phanjih chaan nep bojeela! Heh jeng ah chiithih laakhah ih nep chaat ha ah!”
29011c0048	Eno Jisu ruurang ah erah dowa ih Galili hakong noongrep ni ruurang kata.
29011d0083	Jisu nyi heliphante, erah damdi Jeems nyia Joon, Jehudi rangsoomnok nawa dokkhoom rum ano phangla Simoon nyi Endriu nok ni karumta.
29011e006b	Simoon hopnuh ah sokwi ih sat ano jup eta, Jisu thok damdam, heh maasaat tiit ah laan banbaat ruh ih rumta.
29011f0080	Jisu ah wang ano, heh lak adi joh ano deesiitta. Heh sokwi khoisat ah laan de ruh eta, eno neng suh phaksat ah jam koh ih rumta.
290120006c	Rangsa lup damdam rangjaako di miloong ih Jisu jiinni khoisatte nyi echeek ebaang loong thutsiit jarum taha.
290121003c	Erah hah dowa mina loongtang erah nokka adi thutkhoom rumta.
29012200bf	Jisu ih hephan dowa khoisat maasaat ah deesiit ano mikmuh juungbaan loong ah phanhaatta. Jisu ih mikmuh juungbaan loong suh tumjih uh tami jeng thukta, tumeah Jisu ah o angla neng ih jat eta.
290123008f	Erah saalih rangkhano chichuruh di, Jisu ah saat ano, erah nok dowa dokkhoom kata. Erah hadaang dowa tikpakpak hani Rangsoom suh dokkhoom kata.
2901240046	Enoothong Simoon nyi heh joonte loong ah heh jam sok dokkhoom karumta,
2901250047	eno japtup rum ano Jisu suh baat rumta, “Warep ih an ban sok halu.”
29012600c8	Enoothong Jisu ih ngaakbaat rumta, “Seng arah rum dowa hahoh loong adoh ekaatjih jaatjaat ang ah. Ngah ih erah hah loong adoh uh nyootsoot jaatjaat etjih tumeah, ngah erah raangtaan ih ra tahang.”
2901270080	Eno Jisu ah Galili hakong noongrep ni tumkhoom ano Jehudi rangsoomnok loong adi tum nyootsootta, juungbaan ah riim dokphan etta.
29012800a2	Engam ang arah wasiit, Jisu ngathong ni heh lakuh di tongwang taha, eno chosok ih weehang ih baatta. “An ih thun ubah, ngah ejen saasiit ehang.” heh ih liita.
290129006c	Jisu heh minchan ah dong ano, heh lak ah janghaat ano taajota. Eno liita, “Esaasiit et ha,” ‘Sa uh!”
29012a002c	Lakdamdam di erah mih ah laan saade ruh eta.
29012b0046	Eno Jisu ih erah wah asuh dangdang ih baat ano, echaan ih kaat thukta,
29012c00fc	jen baat ano liita, “boichaat uh, an ih o suh uh arah tiit ah nak baat uh. Enoothong phangla romwah jiinnah wang uno heh ih toomhuk sokboiho an khoisat deetu rah ah, mirep ih de eta ih toomjat rumho, Moses ih baatta jun ih an khosa ah kowan et uh.”
29012d0100	Enoothong erah warah ih noongrep ni heh khoisat deeta tiit ah phang tiibaat kaatta. Erathan ih tiibaatta, Jisu ah erah hadaang adi saasa tanaan wangta. Erah nang ih, heh hatik ni tong katta, ang abah uh miloong ah heh jiinni noongrep nawa thokruh ih rumta.
2902010053	Rekam ritdi Jisu Keparnam ni, ngaakwangta, eno heh nok ni eje ih tiibaat mui rumta.
290202009c	Erah thoidi miloong ah nokmong ni lathoh lathang ih lomkhoom rumta, kaasakthong ni nep hantek ang rumta. Jisu ih neng suh ruurang ese tiit nyootsoot rum adi
2902030035	wabaji ih hiimuung wasiit Jisu reeni thokpi wanrumta.
29020400bf	Enoothong mih hantek ang thoidi, Jisu jiinni erah mih ah tajen noppi rumta. Erah thoidi Jisu khothung pun nokkhoh adi loohoom rum ano dam khoh adi hiimuung ah jupthiin rum ano datthiin rumta.
2902050071	Jisu ih neng tuungmaang ah tup ano hiimuung ah suh baatta, “Nga sah, an rangdah loong ah biin anaan et halu.”
290206005e	Heh reeni tongta Hootthe nyootte loong ah ih erah chaat rum ano neng thungthung ni thun rumta,
2902070080	“Heh emah mamah ih naan jengla? Arah ba Rangte kaanju tiit! Rangte heh luulu ih ba rangdah loong ah biin anaan jen hoon ah!”
2902080057	Erah damdam Jisu ih neng tenthun ah jat rum ano li rumta, “Emah sen ih mamet thunhan?
29020900a6	Hiimuung asuh, ‘an rangdah loong ah biin anaan et taho ih baat ah laangpopoh nih ang ah,’ adoleh, ‘an dam ah toonpi uno wang uh ih baat ah elaang nih ang ah?’
29020a0099	Erah ang abah, ngah ih jatthuk rumha Mina Sah jiinni arah hatoh adi rangdah loong jen biin anaanjih chaan jeela eah.” Eno Jisu ih hiimuung asuh baatta,
29020b0048	“Ngah ih baat hala, toonchap uh, dam ah toonpi uno nok nah wang uh!”
29020c00da	Neng loongtang miksok di, erah wah ah toonchapta, eno heh dam ah toonpi ano seek ih toonsoonta. Neng loong ah rapne ih paatja rum ano Rangte rang ah phoong rum ano jeng rumta, “Arah likhiik babah uh tathaak tupke!”
29020d008a	Jisu Galili juungsitum kaangko adi we ngaak kata. Miloong ah heh jiinni lomkhoon rumta, eno Jisu ih erah loong asuh phang nyootsoot rumta.
29020e00ab	Erah di lengkhoom adi, sokse seete Leewi Alphias sah, apit ni tong arah japtupta. Eno Jisu ih heh suh baatta, “Nga lilih eho.” Eno Leewi ah toonchap ano heh lilih eta.
29020f00c6	Rekamdi Jisu ih Leewi nok ni phaksat sata. Sokse seete loong nyia rangdah mina hantek Jisu lilih ih rumta, eno neng dung dowa rukho loong ah ih heliphante loong damdi teebun ni cham roong sah rumta.
29021000e5	Pharisi dung dowa mararah Hootthe nyootte loong ah ih Jisu ah sokse seete nyia rangdah mina loong damdi phaksah arah japtup rum ano, neng ih heliphante loong asuh cheng rumta, “Erah likhiik mina loong damdi mamet phaksah ha?”
