130000000c	Псалми
280a060056	А йдіть краще до загублених овець дому Ізраїля.
280a070072	Ідіть та проповідуйте кажучи: „Наблизилось Царство Небесне“.
280a0800ca	Хворих зцілюйте, мертвих воскрешайте, прокажених очищайте, демонів виганяйте. Даром отримали – даром давайте.
280a090067	Не беріть ні золота, ні срібла, ні грошей до поясів своїх,
280a0a00a4	ні торбини в дорогу, ні двох сорочок, ні взуття, ні палиці, бо робітник достойний своєї їжі.
280a0b00ca	А коли увійдете в якесь місто чи село, дізнайтеся, хто в ньому достойний, і залишайтеся в нього, поки не вийдете.
280a0c006a	Зайшовши в дім, привітайте його, кажучи: „Мир цьому дому!“
280a0d00ba	І якщо той дім дійсно достойний, мир ваш зійде на нього. Якщо ж недостойний, ваш мир повернеться до вас.
280a0e00da	А якщо хтось не прийме вас і не послухає ваших слів, то, виходячи з того дому або з того міста, обтрусіть пил зі своїх ніг.
280a0f009f	Істинно кажу вам: легше буде землі Содомській і Гоморрській у день суду, ніж тому місту.
280a1000a2	Ось Я посилаю вас, як овець поміж вовків. Тому будьте мудрі, як змії, та невинні, як голуби.
280a11009f	Стережіться людей, бо вони віддаватимуть вас до судів і у своїх синагогах битимуть вас.
280a12008e	Поведуть вас до правителів та царів заради Мене, на свідчення їм та язичникам.
280a1300a2	Коли видаватимуть вас, не турбуйтеся, як і що казати, бо дано буде вам у той час, що казати:
280a140074	не ви будете говорити, а Дух Отця вашого промовлятиме через вас.
280a1500b1	Брат видасть на смерть брата, а батько – дитину. Повстануть діти проти батьків та вбиватимуть їх.
280a1600a3	І всі будуть ненавидіти вас через ім’я Моє. Але хто витримає до кінця, той буде спасенний.
280a170113	Коли ж будуть вас переслідувати у цьому місті, тікайте до іншого. Істинно кажу вам: ви не закінчите [обходити] всі міста Ізраїлю, як прийде Син Людський.
280a18007a	Учень не вищий за [свого] вчителя, а раб не вищий за свого господаря.
280a19012f	Достатньо учневі стати, як його вчитель, і рабу стати, як його господар. Якщо господаря дому назвали Вельзевулом, то наскільки більше [називатимуть так] Його домашніх.
280a1a00b9	Не бійтеся їх, бо немає нічого захованого, що не відкрилося б, і нічого таємного, що не стало б відомим.
280a1b00a6	Те, що Я кажу вам у темряві, говоріть при світлі, і те, що чуєте на вухо, проповідуйте з дахів.
280a1c00ce	Не бійтеся тих, хто, вбиваючи тіло, не може вбити душі. Бійтеся більше Того, Хто може і душу, і тіло знищити в Геєні.
280a1d00b8	Хіба два горобці не продаються за асарій? Однак жоден із них не впаде на землю без відома Отця вашого.
280a1e0052	У вас же на голові навіть волосся пораховане.
280a1f005a	Отже, не бійтеся: ви набагато цінніші за горобців.
280a200089	Кожного, хто визнає Мене перед людьми, і Я визнаю перед Моїм Небесним Отцем.
280a210098	Але кожного, хто зречеться Мене перед людьми, зрікусь і Я перед Моїм Небесним Отцем.
280a22008f	Не думайте, що Я прийшов принести мир на землю. Я прийшов принести не мир, а меч.
280a2300bd	Адже Я прийшов, аби підняти „сина проти його батька, доньку проти її матері, невістку проти її свекрухи,
280a240045	і ворогами людини будуть її домашні“.
280a250107	Хто любитиме свого батька та матір більше, ніж Мене, той не достойний Мене, і хто любитиме сина або доньку більше, ніж Мене, той не достойний Мене.
280a260076	І хто не бере хреста свого й не йде за Мною, той не достойний Мене.
280a2700a0	Хто зберігає життя своє, той втратить його, а хто втратить його заради Мене, знайде його.
280a280094	Хто приймає вас, Мене приймає, а хто приймає Мене, приймає Того, Хто надіслав Мене.
280a290100	Хто приймає пророка в ім’я пророка, отримає винагороду пророка, і хто приймає праведника в ім’я праведника, отримає винагороду праведника.
280a2a00de	І хто дасть тільки чашу холодної води одному з цих малих в ім’я учня, – істинно кажу вам, – не втратить своєї винагороди».
280b0100c9	Коли Ісус закінчив навчати дванадцятьох Своїх учнів, то пішов звідти навчати та проповідувати в їхніх містах.
280b020076	Іван, почувши у в’язниці про діла Христові, надіслав своїх учнів
280b03006b	спитати Його: ―Ти Той, Хто має прийти, чи нам чекати іншого?
280b040087	Ісус у відповідь сказав: ―Ідіть і скажіть Іванові те, що ви бачите й чуєте:
280b0500e4	сліпі прозрівають, каліки ходять, прокажені очищаються, глухі чують, мертві оживають, а бідним проповідується Добра Звістка.
280b060055	І блаженний той, хто не спокуситься через Мене.
280b0700e1	Коли ж вони пішли, Ісус почав говорити людям про Івана: «На що ви ходили подивитися в пустелю? На тростину, розхитану вітром?
280b0800d6	На кого ви виходили дивитись? На людину в м’якій одежі? Але ті, що носять м’які одежі, знаходяться в царських палацах.
280b0900a1	То на кого ж ви ходили дивитись? На пророка? Так, Я кажу вам, навіть більше, ніж на пророка.
280b0a00cf	Він той, про кого написано: „Ось Я посилаю Мого посланця перед обличчям Твоїм, який приготує дорогу перед Тобою“.
280b0b00f7	Істинно кажу вам: серед народжених жінками ще не було більшого за Івана Хрестителя, але найменший у Царстві Небесному більший за нього.
280b0c00cd	Від днів Івана Хрестителя й донині Царство Небесне здобувається силою, і хто докладає зусиль, той здобуває його.
280b0d0056	Адже всі Пророки та Закон пророкували до Івана.
280b0e0057	І якщо хочете знати, він – Ілля, який має прийти.
280b0f0030	Хто має вуха, нехай слухає!
280b1000bc	Із ким же Мені порівняти цей рід? Він подібний до дітей, котрі сидять на базарі та, звертаючись до інших,
280b1100b1	кажуть: „Ми грали вам на сопілці, а ви не танцювали. Ми співали вам жалібні пісні, а ви не ридали“.
280b120075	Прийшов Іван, який не їсть і не п’є, а вони кажуть: „Має демона!“
280b130136	Прийшов Син Людський, Який їсть і п’є, а вони кажуть: „Ось чоловік – ненажера й п’яниця, приятель митників та грішників“. Однак мудрість виправдана її власними ділами».
280b1400a7	Тоді [Ісус] почав докоряти містам, у яких сталося найбільше Його чудес, бо вони не покаялись:
280b15010e	«Горе тобі, Хоразине! Горе тобі, Віфсаїдо! Бо якби в Тирі та Сидоні сталися ті чудеса, які були у вас, то вони давно би покаялися в мішковині та попелі.
280b16006f	Проте кажу вам: Тиру та Сидону легше буде в день суду, ніж вам.
280b170102	І ти, Капернауме, чи будеш піднесений до неба? Ні, ти до пекла зійдеш! Коли б у Содомі сталися чудеса, які сталися в тебе, він залишився б донині.
280b180078	Проте кажу вам: землі Содомській легше буде в день суду, ніж тобі».
280b1900fe	У той час Ісус промовив у відповідь: «Славлю Тебе, Отче, Господи неба і землі, за те, що Ти приховав це від мудрих та розумних і відкрив дітям.
280b1a0048	Так, Отче, бо такою була Твоя добра воля.
280b1b00e8	Усе Мені було доручено Моїм Отцем. Ніхто не знає Сина, окрім Отця, і ніхто не знає Отця, окрім Сина й того, кому Син хоче відкрити.
280b1c006c	Прийдіть до Мене всі втомлені та обтяжені, і Я заспокою вас.
280b1d00ca	Візьміть на себе Моє ярмо й навчіться від Мене, бо Я лагідний та покірний серцем, і знайдете спокій вашим душам.
280b1e0044	Бо ярмо Моє добре і тягар Мій легкий».
280c0100d1	У той час Ісус проходив у Суботу через засіяні поля пшениці. Його учні зголодніли й почали зривати колосся та їсти.
280c0200b4	Фарисеї ж, побачивши це, сказали Йому: ―Ось Твої учні роблять те, чого не дозволено робити в Суботу!
280c0300af	Тоді Він сказав їм: ―Ви не читали, що зробив Давид, коли зголоднів він, а також і ті, що були з ним?
280c0400f0	Як увійшов у Дім Божий та з’їв хліби покладання, котрі не дозволено було їсти ані йому, ані тим, хто був із ним, а тільки священникам?
280c0500bd	Або хіба ви не читали в Законі, що в Суботу в Храмі священники порушують Суботу й залишаються невинними?
280c060049	Але Я кажу вам: тут щось більше, ніж Храм.
280c0700a3	Якби ви зрозуміли, що означає: «Милосердя хочу, а не жертви», то не засуджували б невинних.
280c08003d	Бо Син Людський – Господь Суботи.
280c09004e	Вирушивши далі, Він зайшов у їхню синагогу.
280c0a00c1	Там був чоловік із всохлою рукою. І щоб звинуватити Його, вони запитали: ―Чи дозволено зцілювати в Суботу?
280c0b00b9	Він же промовив: ―Хто з вас, маючи одну вівцю, якщо вона впаде в Суботу в яму, не візьме й не витягне її?
280c0c0087	Наскільки ж людина цінніша за вівцю! Тому в Суботу дозволено робити добро.
280c0d00b7	Тоді сказав чоловікові: ―Простягни свою руку! Той простягнув, і його рука стала здоровою, як і друга.
280c0e0065	Фарисеї ж вийшли та радились проти Нього, як Його вбити.
280c0f009b	Дізнавшись [про це], Ісус пішов звідти. За Ним пішло багато людей, і Він зцілив їх усіх.
280c100046	Однак наказав їм, щоб не виявляли Його,
280c110048	аби збулося сказане через пророка Ісаю:
280c1200e8	«Ось Слуга Мій, Якого Я обрав, Мій Улюблений, Якого вподобала душа Моя. Я покладу Духа Мого на Нього, і Він звіщатиме суд народам.
280c13008f	Він не буде ні сперечатися, ні кричати, і ніхто не почує Його голосу на вулицях.
280c1400c5	Надломленої тростини Він не доламає, ґнота світильника, що тліє, не загасить, доки не встановить правосуддя.
280c150050	І на Його ім’я покладатимуть надію народи».
280c1600bd	Тоді привели до Нього біснуватого – сліпого та німого. [Ісус] зцілив його, так що німий говорив та бачив.
280c170064	Усі люди дивувались та говорили: ―Чи це не Син Давидів?
280c1800bf	Але фарисеї, почувши [це], казали: ―Він виганяє демонів не інакше, як [силою] Вельзевула, володаря демонів.
280c1900fc	[Ісус] же, знаючи їхні думки, відповів: ―Кожне царство, розділене в собі, буде спустошене, і кожне місто чи дім, розділені в собі, не встоять.
280c1a00a8	Якщо сатана виганяє сатану, то він розділився в собі самому. Як же тоді встоїть його царство?
280c1b00b2	І якщо Я виганяю демонів Вельзевулом, то ким виганяють ваші сини? Тому вони будуть вашими суддями.
280c1c0080	Але якщо Я Духом Божим виганяю демонів, то прийшло до вас Царство Боже.
280c1d00e3	Або як може хтось увійти в дім сильного та забрати його майно, якщо спочатку не зв’яже сильного? Лише тоді пограбує його дім.
280c1e007a	Хто не зі Мною, той проти Мене; і хто не збирає зі Мною, той розкидає.
280c1f00bd	Тому кажу вам: усякий гріх та богохульство проститься людям, але богохульство проти Духа не проститься.
280c20011d	І якщо хтось скаже слово проти Сина Людського, йому проститься, але якщо хтось скаже проти Святого Духа, не проститься йому ні в цьому віці, ні в майбутньому.
280c2100e7	Або визнайте дерево добрим і плід його добрим, або визнайте дерево поганим і плід його поганим. Бо дерево пізнається за плодом.
280c2200b6	Роде гадючий, як ви можете казати добре, будучи злими? Адже чим переповнене серце, те говорять вуста.
280c2300aa	Добра людина з доброї скарбниці виносить добро, а погана людина з лихого скарбу виносить зло.
280c240095	Кажу вам: за кожне пусте слово, яке скажуть люди, вони відповідатимуть у день суду.
280c250078	Бо з твоїх слів будеш виправданий і з твоїх слів будеш засуджений.
280c2600af	Тоді деякі книжники та фарисеї промовили: ―Учителю, ми хочемо побачити якесь знамення від Тебе.
280c2700f7	[Ісус] у відповідь промовив: ―Рід лукавий та невірний шукає знамення, та не дасться йому знамення, хіба що тільки знамення пророка Йони.
280c2800c9	Адже так, як Йонабув у череві кита три дні та три ночі, так буде й Син Людський у серці землі три дні та три ночі.
280c2900eb	Люди Ніневіївстануть на суд із цим родом і засудять його, бо вони покаялись через проповідь Йони, а ось тут Хтось більший за Йону.
280c2a0127	Цариця Півднявстане на суд із цим родом і засудить його, бо вона прийшла з далекого краю землі послухати Соломонову мудрість, а ось тут Хтось більший за Соломона.
280c2b00ae	Коли нечистий дух виходить із людини, то йде в місця безводні шукати відпочинку й, не знаходячи,
280c2c00ca	каже: «Повернусь я у дім свій, звідки вийшов». І, повернувшись, знаходить його порожнім, заметеним та прибраним.
280c2d0121	Тоді він іде й бере з собою інших сімох духів, гірших за себе, і входять та живуть там. І для людини останнє стає гіршим за попереднє. Так буде і з цим злим родом.
280c2e00b5	Коли [Ісус] ще говорив до народу, прийшли Його мати та брати і, стоячи надворі, бажали говорити з Ним.
280c2f00a0	Хтось сказав Йому: ―Ось Твоя мати й Твої брати стоять надворі, бажаючи говорити з Тобою.
280c300086	Він же у відповідь сказав тому, хто говорив: ―Хто Моя мати і хто Мої брати?
280c310081	І, показавши рукою на Своїх учнів, промовив: ―Ось Моя мати та Мої брати.
280c32008e	Бо той, хто виконує волю Мого Небесного Отця, є Моїм братом, сестрою і матір’ю.
280d010061	Того ж дня Ісус, вийшовши з дому, сидів на березі моря.
280d0200b2	І зібрався біля Нього великий натовп, так що Він зайшов у човен та сів, а всі люди стояли на березі.
280d030070	Він багато навчав їх притчами, кажучи: «Ось сіяч вийшов сіяти.
280d040096	Коли він сіяв, деякі [зерна] впали біля дороги; птахи, налетівши, повидзьобували їх.
280d0500b9	Інші впали на кам’янистий ґрунт, де не було багато землі, і відразу проросли, бо земля була неглибока.
280d060095	Коли ж зійшло сонце, то опалило паростки, вони зів’яли й, не маючи коріння, всохли.
280d070067	Ще інші впали поміж терни. Терни виросли та заглушили їх.
280d0800b7	А інші впали в добру землю та дали врожай: одні в сто, інші в шістдесят, треті в тридцять разів більше.
280d090032	Хто має вуха, нехай слухає!»
280d0a0077	Підійшовши, учні запитали Його: ―Чому Ти говориш до них притчами?
280d0b00a1	Він же у відповідь сказав: ―Бо вам дано пізнати таємниці Царства Небесного, а їм не дано.
280d0c00ab	Адже тому, хто має, додасться, і матиме надмірно, а від того, хто не має, і те, що має, забереться.
280d0d00b1	Тому до них Я говорю притчами, бо вони, «дивлячись, не бачать, а слухаючи, не чують і не розуміють».
280d0e0113	Щодо них збувається пророцтво Ісаї, що каже: «Ви будете слухати й слухати, але ніколи не зрозумієте; будете дивитись і дивитись, але ніколи не побачите.
280d0f0139	Бо серце цього народу згрубіло, важко стали чути вухами й очі свої заплющили, щоб не побачити очима, не почути вухами, не зрозуміти серцем і не навернутись, щоб Я зцілив їх».
280d10004d	Блаженні очі, які бачать, і вуха, які чують.
280d1100f3	Істинно кажу вам: багато пророків та праведників бажали побачити те, що ви бачите, і не побачили, та почути те, що ви чуєте, і не почули.
280d120055	Отже, послухайте, [що означає] притча про сіяча.
280d1300fd	До кожного, хто слухає Слово про Царство й не розуміє його, приходить лукавий і викрадає посіяне в його серці. Це те, що посіяне біля дороги.
280d1400a5	Посіяне ж на кам’янисту землю – це той, хто, почувши Слово, відразу з радістю приймає його.
280d1500c8	Але він не має коріння в собі, є тимчасовим. Коли настають труднощі або гоніння за Слово, він відразу відпадає.
280d1600f6	Посіяне серед тернів – це ті, що чують Слово, але турботи цього віку й омана багатства придушують Слово, і воно залишається безплідним.
280d1700fb	А посіяне в добру землю – це той, хто чує та розуміє Слово. Він насправді приносить врожай: у сто, у шістдесят або в тридцять разів більший.
280d1800c9	[Ісус] розповів їм іншу притчу: «Царство Небесне подібне до чоловіка, який посіяв добре насіння на своєму полі.
280d190091	Але коли чоловік спав, прийшов його ворог, посіяв кукіль серед пшениці та пішов.
280d1a0073	А як зійшло посіяне та показався колос, тоді з’явився й кукіль.
280d1b00e3	Тоді прийшли слуги господаря та сказали йому: „Господарю, хіба ми не добре насіння посіяли на полі? Звідки ж узявся кукіль?“
280d1c00ae	Він відповів їм: „Це зробив ворог“. Раби запитали його: „Хочеш, щоб ми пішли та випололи його?“
280d1d0076	Він сказав: „Ні, щоб, виполюючи кукіль, не повиривали й пшениці“.
280d1e0132	Залиште, щоб обоє росли разом до жнив. А під час жнив я скажу женцям: „Зберіть спочатку кукіль та пов’яжіть його в снопи, щоб спалити, а пшеницю зберіть до моєї клуні“».
280d1f00d9	[Ісус] розповів їм іншу притчу: «Царство Небесне подібне до гірчичного зерна, яке чоловік узяв та посіяв на своєму полі.
280d20013c	Хоча воно і є найменшим серед усього насіння, але коли виростає, стає більшим за інші рослини й стає деревом, до якого прилітають птахи небесні та гніздяться на його гілках».
280d2100fa	[Ісус] розповів їм ще іншу притчу: «Царство Небесне подібне до закваски, яку жінка взяла та поклала до трьох мір борошна, доки все вкисло».
280d22007d	Усе це Ісус говорив людям притчами й нічого не говорив їм без притчі,
280d2300c2	щоб збулося сказане через пророка: «Відкрию в притчі вуста Мої, розповім про приховане від початку світу».
280d2400dd	Тоді, відпустивши людей, [Ісус] зайшов у дім. Його учні підійшли до Нього, кажучи: ―Роз’ясни нам притчу про кукіль на полі.
280d25007b	Він, відповідаючи, сказав: ―Сіяч доброго насіння – це Син Людський.
280d26008b	Поле – це світ, добре насіння – це сини Царства, а кукіль – це сини лукавого.
280d270094	Ворог, який його посіяв, – це диявол. Жнива – це кінець світу, а женці – це ангели.
280d28008d	Отже, як збирають кукіль та палять його у вогні, так само буде при кінці світу.
280d2900c4	Син Людський надішле своїх ангелів, і вони зберуть з Його Царства всі спокуси та тих, хто робить беззаконня.
280d2a0069	І викинуть їх у вогняну піч, де буде плач та скрегіт зубів.
280d2b009a	Тоді праведники сяятимуть, як сонце, у Царстві Свого Отця. Хто має вуха, нехай слухає!
280d2c0100	Царство Небесне подібне до скарбу, захованого в полі. Чоловік, знайшовши його, знов ховає і на радощах іде, продає все, що має, і купує те поле.
280d2d0077	Ще Царство Небесне подібне до купця, який розшукує гарні перлини.
280d2e0087	Знайшовши одну дорогоцінну перлину, він іде, продає все, що має, і купує її.
280d2f00a2	Ще Царство Небесне подібне до невода, закинутого в море, який зібрав багато всякої [риби].
280d3000c4	Коли він наповнився, його витягли на берег і, сівши, відібрали все добре в посуд, а непридатне викинули геть.
280d31008a	Так буде й при кінці світу: вийдуть ангели, відділять злих з-поміж праведних
280d320069	і викинуть їх у вогняну піч, де буде плач та скрегіт зубів.
280d330051	Чи зрозуміли ви все це? Вони відповіли: ―Так!
280d3400ff	Він сказав їм: ―Тому кожен книжник, навчений про Царство Небесне, подібний до господаря дому, який виносить зі своєї скарбниці нове й старе.
280d35006a	Коли Ісус закінчив розповідати ці притчі, то пішов звідти.
280d3600ff	Він прийшов на Свою батьківщину й навчав людей у їхній синагозі, так що вони були здивовані та казали: «Звідки в Нього така мудрість та сила?
280d3700a9	Чи Він не син теслі? Хіба Його мати не зветься Марією, а Його брати – Яків, Йосиф, Симон та Юда?
280d380067	Хіба всі Його сестри не серед нас? Звідки в Нього все це?»
280d3900ee	І вони спокушалися через Нього. Ісус же сказав їм: «Не буває пророка без пошани, хіба тільки на своїй батьківщині та у своєму домі».
280d3a0058	І не зробив там багато чудес через їхнє невір’я.
280e010045	У той час тетрарх Ірод почув про Ісуса
280e0200c1	та сказав своїм слугам: «Це Іван Хреститель. Він воскрес із мертвих, і тому ці чудеса діються через Нього».
280e0300c0	Бо Ірод, схопивши Івана, зв’язав його та посадив до в’язниці через Іродіаду, дружину Филипа, свого брата,
280e040072	тому що Іван казав йому: «Не годиться тобі одружуватися з нею!»
280e050082	Ірод бажав би вбити його, але боявся народу, який вважав Івана пророком.
280e0600bc	Коли святкували день народження Ірода, дочка Іродіади станцювала серед [гостей] і сподобалася Іродові.
280e070071	За це він клятвою обіцяв дати їй усе, що вона тільки попросить.
280e080099	Вона ж, навчена своєю матір’ю, сказала: «Дай мені на блюді голову Івана Хрестителя».
280e0900aa	Цар засмутився, але через клятву й тих, що сиділи з ним за столом, наказав виконати її бажання.
280e0a006b	Він надіслав [людей] до в’язниці відрубати Іванові голову.
280e0b0095	Його голову принесли на блюді та віддали дівчині, а вона віднесла її своїй матері.
280e0c00be	Після того учні Івана прийшли, забрали його тіло та поховали, а потім прийшли та сповістили про це Ісуса.
280e0d010f	Коли Ісус почув це, то сів у човен та відплив звідти в пустинне місце, щоб бути на самоті. Але люди з різних міст, дізнавшись про це, пішли пішки за Ним.
280e0e00aa	Вийшовши на берег, [Ісус] побачив багато людей, змилосердився над ними та зцілив їхніх хворих.
280e0f0101	Коли настав вечір, Його учні підійшли й сказали: ―Тут пустинне місце, і година вже пізня, відпусти людей, щоби пішли в села та купили собі їжу.
280e10005f	Ісус же сказав їм: ―Не треба їм іти, ви дайте їм їсти!
280e11007b	Вони відповіли Йому: ―Ми тут маємо лише п’ять хлібів та дві рибини.
280e120039	Він сказав: ―Принесіть їх Мені!
280e13012c	[Ісус] наказав людям посідати на траву. Потім узяв п’ять хлібів та дві рибини, подивився на небо, благословив їх і, розломивши, дав хліби учням, а учні [роздали] людям.
280e140081	Усі їли та наситилися, і назбирали дванадцять повних кошиків залишків.
280e150087	Тих, що їли, було близько п’яти тисяч чоловіків, не рахуючи жінок та дітей.
280e1600e2	Відразу після цього [Ісус] звелів учням сісти в човен та переплисти на другий бік раніше за Нього, поки Він відпустить людей.
280e1700c8	А відпустивши людей, [Ісус] зійшов на гору, щоб помолитися на самоті. Коли настав вечір, Він залишився там один.
280e1800a7	Човен віддалився вже далеко від берега, і через супротивний вітер його почали кидати хвилі.
280e190078	О четвертій сторожі ночі[Ісус] пішов до Своїх учнів, ідучи по воді.
280e1a0093	Побачивши, що Він іде по воді, учні жахнулись і з переляку закричали: «Це привид!»
280e1b0082	Але Ісус тієї ж миті заговорив до них: ―Будьте сміливі! Це Я! Не бійтеся!
280e1c009e	Тоді Петро сказав у відповідь: ―Господи, якщо це Ти, накажи, щоб я пішов до Тебе по воді!
280e1d0083	[Ісус] сказав: ―Іди! І, вийшовши з човна, Петро почав іти по воді до Ісуса.
280e1e009c	Але, побачивши сильний вітер, злякався, почав тонути й закричав: ―Господи, спаси мене!
280e1f00a3	Ісус, одразу простягнувши руку, схопив його та промовив: ―Маловіре, чому ти засумнівався?
280e20003e	Коли вони сіли в човен, вітер стих.
280e21007e	Ті, що були в човні, вклонилися Йому, кажучи: «Ти істинно – Син Божий!»
280e220066	Перепливши [море], вони прибули до Генезаретської землі.
280e2300c1	Люди з тієї місцевості впізнали Ісуса та надіслали звістку по всій околиці. До Нього принесли всіх хворих
280e2400ad	і благали Його дозволити лише торкнутися до краю Його одягу, і всі, хто торкнувся, були зцілені.
280f010084	Тоді деякі фарисеї та книжники з Єрусалима підійшли до Ісуса й запитали:
280f020094	―Чому Твої учні порушують звичай наших батьків? Вони їдять, не помивши своїх рук.
280f030086	Він же відповів їм: ―А чому ж ви порушуєте заповідь Божу через ваш звичай?
280f0400d2	Адже Бог сказав: «Шануй батька та матір», а також: «Той, хто зневажає батька або матір, нехай буде покараний смертю!»
280f0500b4	Ви ж говорите, що той, хто скаже батькові або матері: «Те, чим я міг би допомогти тобі, – дар Богові»,
280f060097	той [може] не шанувати своїх батьків. Так ви скасували Слово Боже через свій звичай.
280f07005e	Лицеміри, добре пророкував про вас Ісая, коли казав:
280f080073	«Цей народ шанує Мене лише устами, а серце його далеко від Мене.
280f09007d	Даремно вони поклоняються Мені, навчаючи людей людських заповідей».
280f0a0077	Покликавши народ, [Ісус] промовив до них: «Слухайте та зрозумійте!
280f0b009d	Не те, що входить в уста, оскверняє людину, але те, що виходить з уст, оскверняє людину».
280f0c00a5	Тоді учні підійшли до Нього й сказали: ―Чи знаєш, що фарисеї образилися, почувши [ці] слова?
280f0d00a7	[Ісус] відповів: ―Кожна рослина, яка не була посаджена Моїм Небесним Отцем, буде викоренена.
280f0e00a4	Облиште їх, вони сліпі поводирі сліпців. Якщо сліпий веде сліпого, то обидва впадуть в яму.
280f0f0058	Петро у відповідь сказав: ―Поясни нам цю притчу.
280f100054	Тоді [Ісус] запитав: ―Невже ви ще не розумієте?
280f110081	Не знаєте, що все, що входить в уста, потрапляє в шлунок і виходить геть?
280f12007d	А те, що виходить з уст, походить із серця, саме це й оскверняє людину.
280f1300d4	Бо з серця виходять погані думки, вбивства, перелюб, статева розпуста, крадіж, неправдиві свідчення та богохульство.
280f14007e	Саме це оскверняє людину, а їсти немитими руками не оскверняє людини.
280f15005e	Вийшовши звідти, Ісус пішов до земель Тира й Сидона.
280f16011b	І ось прийшла до Нього одна жінка-ханаанеянка з тієї землі. Вона казала благаючи: ―Господи, Сину Давида, змилуйся наді мною! Моя донька одержима злим духом.
280f1700fa	Але [Ісус] нічого не відповів їй. Тоді підійшли Його учні та благали Його, кажучи: ―[Допоможи] їй та відпусти, бо вона йде за нами й кричить.
280f180088	У відповідь Він сказав: ―Я посланий лише до загиблих овець народу Ізраїля.
280f190083	Вона ж, підійшовши, вклонилася Йому та сказала: ―Господи, допоможи мені!
280f1a007e	Він же відповів: ―Не годиться брати хліб від дітей та кидати щенятам.
280f1b00b5	Проте вона сказала: ―Так, Господи, але й щенята їдять крихти, які падають зі столу їхніх господарів.
280f1c00d4	Тоді Ісус відповів їй: ―О жінко, твоя віра велика! Нехай станеться, як ти бажаєш. І тієї ж миті її донька була зцілена.
280f1d008d	Відійшовши звідти, Ісус пішов до Галілейського моря, зійшов на гору й сів там.
280f1e0110	І прийшло до Нього багато людей, які мали з собою кривих, сліпих, калік, німих та багатьох інших [хворих]. Вони поклали їх біля Його ніг, і Він зцілив їх.
280f1f00f6	Побачивши, що німі розмовляють, криві стають здоровими, каліки ходять і сліпі бачать, люди дивувались та прославляли Бога Ізраїлевого.
280f200145	Ісус же покликав Своїх учнів та сказав: ―Жаль Мені цих людей, тому що вже три дні залишаються зі Мною й не мають, що їсти. Я не хочу відпускати їх голодними, щоб не ослабли в дорозі.
280f2100a5	Учні спитали Його: ―Звідки в пустелі нам взяти стільки хліба, щоб нагодувати такий натовп?
280f220098	Ісус сказав їм: ―Скільки маєте хлібів? Вони відповіли: ―Сім і декілька малих рибин.
280f23003a	Він звелів людям сісти на землю.
280f24009c	Потім узяв сім хлібів та рибу, подякував, розламав та дав учням, а учні [роздали] людям.
280f25006f	Усі їли та наситились. І зібрали сім повних кошиків залишків.
280f26007b	Тих, хто їв, було чотири тисячі чоловіків, не рахуючи жінок та дітей.
280f270078	Відпустивши людей, [Ісус] сів у човен та відплив до землі Магадана.
28100100aa	Фарисеї та садукеї прийшли до Ісуса й випробовуючи Його, просили показати їм знамення з неба.
2810020098	Він відповів їм: «Коли настає вечір, ви кажете: „Буде ясна погода, бо небо червоне“.
28100300e1	А вранці [кажете]: „Сьогодні буде негода, бо небо похмуре“. Отже, обличчя неба ви можете розпізнати, а ознаки часу не можете?
28100400e6	Рід лукавий та невірний шукає знамення, та не дасться йому знамення, хіба що тільки знамення Йони». І, залишивши їх, пішов геть.
