0100000003	Mui
06050e00d8	Dunu da bu adole i, “Hame mabu! Na da Hina Gode Ea gegesu dunu amo ilia Hina esalebe.” Yosiua da Hina Ema nodoma:ne osoboga diasa:ili, amane sia:i, “Hina! Na da dia hawa: hamosu dunu. Na da adi hamoma:bela:?”
06050f009e	Amasea, Hina Gode Ea gegesu dunu ilia Hina da ema amane sia:i, “Dia emo salasu fadegama. Di da hadigi sogebi amoga lela!” Yosiua da ea sia:i defele hamoi.
06060100ac	Yeligou dunu da Isala:ili fi dunu ilima beda:iba:le, ilia moilai bai bagade gagoi logo ga:su da noga:le ga:i dagoi ba:i. Dunu da gadili masunu o ganodini misunu da hamedei.
060602008c	Hina Gode da Yosiuama amane sia:i, “Na da Yeligou moilai bai bagade amola Yeligou hina bagade amola ea dadi gagui dunu huluane dima imunu.
0606030055	Di amola dia dadi gagui dunu amo sisiga:le masa. Eso gafeyale ganodini agoane hamoma.
06060400f4	Gobele salasu dunu fesuale amo afae afae dalabede gaguli da Gode Ea Gousa:su Sema Gagili amoga bisili masunu. Eso fesuga dilia da Yeligou moilai bai bagade amo fesuale agoane sisiga:ma. Amola ahoasea, gobele salasu dunu da dalabede fulaboma:mu.
0606050124	Amasea, ilia da dalabede ha:giwane sedagawane afadafa fulaboma:mu. Amo nabasea, dunu huluane da gilisili ha:giwane wele sia:ma:mu. Amasea, Yeligou moilai bai bagade gagoi amo da mugululi dagoi ba:mu. Amasea, dilia dadi gagui dunu huluane da hedolo moilai bai bagade fane legemusa: masa:mu.”
060606009f	Yosiua da gobele salasu dunu gilisili ilima amane sia:i, “Dilia Gode Ea Gousa:su Sema Gagili lale, dili dunu fesuale dalabede gaguiwane amoga bisili masa.”
06060700bb	Amalalu, e da dunu huluane ilima amane sia:i, “Defea! Gusuba:i masa! Ilegei dunu dadi gaguiwane Gode Ea Gousa:su Sema Gagili bisima. Eno dunu huluane fa:no bobogele moilai sisiga:ma.”
0606090109	Yosiua ea sia:i defele, ilegei sosodo aligisu dunu da bisili, fa:no gobele salasu dunu fesuale da Gode Ea Gousa:su Sema Gagili gaguli amola dalabede fulabosa asi. Amola fa:no dunu huluane da asili, Yeligou moilai bai bagade sisiga:le asi. Dalabede sia: bagade nabi.
06060a006f	Be Yosiua da dunu huluane ilima ouiya:ma:ne sia:beba:le, e da ilima bu sia:beba:le fawane wele sia:ma:ne sia:i.
06060b0099	Dunu da Hina Gode Ea Gousa:su Sema Gagili gaguli afae fawane moilai bai bagade sisiga:mu sia:i. Amalalu, ilia da abula diasu gilisisuga bu misini, golai.
06060d0158	Yosiua da golale, hahabedafa wa:legadole, gobele salasu amola dadi gagui da ilia musa: hamoi defele, Yeligou moilai bai bagade sisiga:i. Ilegei dadi gagui bisili, amalalu gobele salasu fesuale dalabede fulabolala asi, amalu gobele salasu dunu Hina Gode Ea Gousa:su Sema Gagili gaguli asili, fa:no dunu huluane. Dalabede da fulabosa dalebe nabi.
06060e008a	Eso ageyaduga ilia da Yeligou moilai bai bagade afae fawane sisiga:le, abula diasuga buhagi. Ilia da eso gafeyale amoga agoane hou hamosu.
06060f0077	Eso fesuga ilia da hahabedafa wa:legadole, ilia musa: hou defele Yeligou moilai bai bagade amo fesuale agoane sisiga:i.
06061000a6	Amo esoha, ilia da fesuale sisiga:lala, Yosiua da dunu huluane wele sia:ma:ne sia:i. E da ilima amane sia:i, “Hina Gode da Yeligou moilai bai bagade dilima i dagoi.
06061100f9	Moilai bai bagade amola liligi huluane amo ganodini diala amo Godema gobele salasu agoane ima:ne, wadela:lesima. Be hina: da:i bidi lasu uda La:iha:be amola ea sosogo fi, amo fawane mae medole legema. Bai e da ninia desega ahoasu dunu ela wamolegei.
0606120073	Be liligi huluane wadela:lesima. Dilia liligi mae lama. Agoane hamosea, Isala:ili dunu huluane da se bagade nabimu.
06061300a0	Be liligi eno amo da silifa, gouli o balasi amoga hamoi, amo huluane da Hina Godema ima:ne ilegei. Amo huluane dilia Hina Gode Ea muni ligisisu ganodini salima.
0606140114	Amasea, gobele salasu dunu da dalabede fulaboi. Amo nababeba:le, dunu huluane da ha:giwane wele sia:i. Amalalu, Yeligou ea gagoi da mugululi sa:i dagoi. Amalalu, Isala:ili dadi gagui dunu huluane da moloiwane agoloba:le heda:le, Yeligou moilai bai bagade doagala:le lai dagoi.
06061500a2	Ilia da dunu, uda amola mano huluane moilai bai bagade ganodini esala, amo gobiheiga medole legei dagoi. Ilia da bulamagau, sibi amola dougi huluane medole legei.
06061600c3	Amalalu, Yosiua da musa: desega ahoasu dunu aduna elama amane sia:i, “Alia amo musa: wadela:i hamosu uda amo ea diasuga asili, e amola ea sosogo fi ali da ema sia:i defele, gadili oule misa.”
06061700d0	Amaiba:le, ela da asili, La:iha:be, ea eda, ame, yolalali amola sosogo fi gadili oule misi. Ili gaga:ma:ne, ela da sosogo fi amola ilia udigili hawa: hamosu dunu amo Isala:ili abula diasu gilisisuga oule asi.
06061800eb	Amalalu, Isala:ili dunu da Yeligou moilai bai bagade amola liligi huluane amo ganodini diala amo laluga gobesi dagoi. Be liligi amo gouli, silifa, balasi amola amoga hamoi huluane ilia da lale, Hina Gode Ea muni ligisisu ganodini sali.
0606190103	Be Yosiua da musa: wadela:le hamosu uda La:iha:be amola ea sosogo fi hame medole legei. Bai e da desega ahoasu dunu amo Yosiua da Yeligou moilai bai bagadega asunasi, amo wamoaligi. (La:iha:be egaga fi da Isala:ili soge ganodini esalu amola wali eso esalebe.)
06061a013f	Amo esoha, Yosiua da sisasu olelei, amane, “Nowa dunu da Yeligou moilai bai bagade bu gagusia da Hina Gode Ea gagabusu aligima:ne ba:mu. Nowa da amo moilai bai bagade ea bai gagusia da ea magobo mano fisi dagoi ba:mu. Amola nowa da amo moilai bai bagade ea gagoi logo ga:su gagusia da ea ufi mano fisi dagoi ba:mu.”
06061b007a	Hina Gode da Yosiua fidimusa: sigi esalu. Soge huluane amo ganodini, dunu huluane da Yosiua ea gasa bagade hou nabi dagoi.
060701012f	Hina Gode da Isala:ili dunuma ilia da liligi huluanedafa wadela:lesima:ne amola Ema ilegei liligi mae wamolama:ne sia:i dagoi. Be ilia da Ea sia: hame nabi. Dunu ea dio amo A:iga:ne da liligi wamolai dagoi. (A:iga:ne da Gami egefe amola Sa:badai ea aowa. E da Sila sosogo fi Yuda fi amo ganodini esalu.)
06070200c5	Yosiua da asunasiba:le, Isala:ili desega ahoasu dunu da Yeligou fisili, A:iai moilai bai bagade (Bedele moilai ea eso mabadi la:idi diala, Beda:ifene moilai gadenei) amo ea hou hogola asi. Ba:lalu,
06070300d2	ilia da Yosiuama buhagili, amane sia:i, “A:iai da moilai bai fonobahadi fawane. Dadi gagui dunu huluane amoga doagala:musa:, mae asunasima. 3000 o 2000 dunu amo fawane da amo moilai wadela:lesimu da defea.”
0607040080	Amaiba:le, Isala:ili dadi gagui dunu 3000 agoane da A:iai moilaiga doagala:musa: asi. Be ilia se nabi, amola beba:le bu hobea:i.
060705010c	A:iai dunu da moilai bai bagade gagoi logo ga:su amoga ilima gegene, ili sefasili igi lamu sogebi amoga sefasi. Isala:ili dunu da agoloba:le sa:ili hobeale, A:iai dunu da Isala:ili dunu 36amo medole legei. Amalalu, Isala:ili dunu da ilia gasa fisili bagadewane beda:i.
06070600e4	Yosiua amola Isala:ili dunu da se nababeba:le, ilia abula gadelale, Hina Gode Ea Gousa:su Sema Gagili midadi osoboga diasa:i. Ilia da:i dioi olelema:ne, ilia dialuma amo osobo gulu amoga dedebole amo esoga osoboga diasa:i dialu.
06070700db	Amola Yosiua da amane sia:i, “Hinadafa Gode! Dia da abuliba:le nini Yodane Hano degema:ne oule misibala:? Nini A:moulaide dunu amoga wadela:musa: oule misibala:? Ninia Yodane Hano na:iyado bega: esalumu da defea galu.
060708005a	Hina Gode! Isala:ili dunu da ilima ha lai dunu amoga hobea:iba:le, na da adi sia:ma:bela:?
06070900c6	Ga:ina:ne dunu amola dunu huluane amo soge ganodini esala da amo sia: nababeba:le, nini sisiga:le, nini huluane medole legemu. Amasea, ninia da Dia Dio nodone gaga:ma:ne, Dia da adi hamoma:bela:?”
06070a0060	Be Hina Gode da Yosiuama amane sia:i, “Wa:legadoma! Di da abuliba:le osoboga udigili diahala:?
06070b010f	Isala:ili fi da wadela:le hamoi dagoi. Ilia da Na Gousa:su amo ilia noga:le bobogema:ne Na sia:i, amo wadela:lesi dagoi. Ilia da liligi mogili Nama gobele sanasimusa: ilegei, amo lai dagoi. Ilia da wamolai amola ogogoi, amola liligi wamolai amo ilia liligi ganodini sali.
06070c00d6	Amaiba:le, Isala:ili dunu da ilima ha lai dunuma hasalimu gogolesa. Ilia da beba:le hobeasa. Bai ilisu da wali wadela:musa: ilegei dagoi. Amo liligi wamolai dilia hame fadegale fasisia, Na da dili hame sigi masunu.
06070d00ab	Wale gadoma! Dunu huluane da Nama misa:ne, ilia dodofema:ne sia:ma. Dilia da amo liligi hame fadegale fasisia, dilia da dilima ha lai ilima gegemu da hamedei agoane ba:mu.
06070e00a0	Hahabe dilia fi afae afae Nama oule misa. Na da fi afae ilegemu. Amo fi ilegei da sosogo fi afae afae Nama oule misa:ne sia:ma. Amasea, na da dunu afae ilegemu.
06070f00c3	Amo dunu Na da wamolasu dunu ilegemu. Amo dunu amola ea sosogo fi amola ea liligi huluane, laluga gobesima. Bai e da Na Gousa:su wadela:lesi dagoi, amola gogosiasu bagade Isala:ili fi ilima i.”
0607100064	Hahabedafa, Yosiua da Isala:ili dunu huluane fi afae afae oule misini, Yuda fi da ilegei dagoi ba:i.
060711009e	E da Yuda fi amo ganodini afae afae amo oule misini, Sila ea fi ilegei dagoi ba:i. Amo da sosogo fi afae afae misini, Sa:badai ea sosogo fi ilegei dagoi ba:i.
0607120088	Amalalu, Yosiua da Sa:badai ea sosogo fi dunu afae afae oule misini, A:iga:ne (Gami egefe amola Sa:badai ea aowa) amo ilegei dagoi ba:i.
0607130095	Yosiua da A:iga:nema amane sia:i, “Na gofe! Isala:ili Hina Gode ba:ma:ne, dafawane sia: olelema. Dia hamoi olelema. Nama amo hou mae wamolegema.”
0607140062	A:iga:ne da bu adole i, “Dafawane! Na Isala:ili Hina Godema wadela:le hamoi. Na da agoane hamoi.
0607150130	Ninia liligi lai amo ganodini, na da Ba:balounia abula, silifa2gilogala:me agoane amola gouli 1/2 gilogala:me baligi amo ba:i dagoi. Na da amo bagade hanaiba:le, lai dagoi. Dilia da na abula diasu ganodini amo liligi uli dogoi ganodini wamolegei dagoi ba:mu. Silifa da eno liligi hagudu dialebe ba:mu.”
06071600aa	Amaiba:le, Yosiua da dunu mogili asunasi. Ilia da hehenane, wamolai liligi amo A:iga:ne ea abula diasu ganodini wamolegei dagoi ba:i. Amola silifa da hagudu dialebe ba:i.
0607170096	Amo liligi huluane ilia da A:iga:ne abula diasuga gadili gaguli asili, Yosiua amola Isala:ili dunu huluane da gaguli asili, Hina Gode ba:ma:ne ligisi.
06071800df	Yosiua amola Isala:ili dunu huluane da A:iga:ne, silifa, abula, gouli amola A:iga:ne ea dunu amola uda mano huluane, ea bulamagau, ea dougi, ea sibi amola ea abula diasu amo gaguli, Bidi Hamosu Fago sogebiga hiouginana asi.
06071900f9	Amola Yosiua da amane sia:i, “Dia da abuliba:le amo se nabasu ninima iaha. Hina Gode da wali dima se imunu.” Amalalu, dunu huluane da A:iga:ne igiga medole legei. Ilia da ea sosogo fi amola ea liligi huluane igiga medole lelegele, laluga gobesi.
06071a00ce	Ilia da ea da:i hodo amo igi ligisisu bagade amoga dedeboi. Amo igi ligisisu da wali eso dialebe. Amaiba:le, amo fago sogebi ea dio da wali Bidi Hamosu Fago. Amalalu, Hina Gode da Ea gia:i bagade ougi fisi.
06080100fe	Hina Gode da Yosiuama amane sia:i, “Dia dadi gagui dunu huluane oule asili, A:iai diasuga heda:ma. Mae da:i dioma amola mae beda:ma. Na da fidimuba:le, di da A:iai hina bagade hasalimu. Di da ea dunu fi, ea moilai bai bagade amola ea soge huluane lamu.
06080200e8	Dilia da Yeligou amola Yeligou hina bagadema hamoi amo defele A:iai amola ea hina bagadema defele hamoma. Be wali, liligi amola ohe fi amo ganodini diala amo dilisu lamu. Be ilia fofogadigima:ne, ilia fa:no bega: doagala:musa: masa.
0608030099	Amaiba:le, Yosiua amola ea dadi gagui dunu da A:iai diasu doagala:musa: momogi. E da ea dadi gagui dunu amo 30,000 ilegele, gasi ganodini gadili asunasi.
060804007e	E da ilima amane sia:i, “Dilia A:iai diasu na:iyado bega: fonobahadi gadenenewane wamoaligima. Ilima doagala:musa: momagema.
06080500a4	Na amola na dunu da moilai bai bagadega doagala:musa: misunu. A:iai dunu da ninima gegemusa: masea, ninia da musa: hamoi defele ogogole sinidigili iliba:le hobeamu.
060806009e	Ilia da ninima fa:no bobogemu amola ninia da ili moilai bai bagade fisima:ne bisili hobeamu. Ninia da musa: hamoi defele ilima hobealala, amo ilia da dawa:mu.
0608070073	Amasea, dilia da dilia wamoaligi sogebi fisili, moilai bai bagadega doagala:le lamu. Hina Gode da amo dilima imunu.
0608080083	Dilia moilai bai bagade huluane lai dagosea, amo Hina Gode Ea hamoma:ne sia:i defele, laluga gobesima. Na da dilima sia:i dagoi.”
06080900df	Amalalu, Yosiua da amo dunu gadili asunasili, ilia da ilia wamoaligi sogebiga asili, ouesalu. Amo sogebi da A:iai amoga eso dabe la:idi A:iai amola Bedele amoga dogoa dialu. Yosiua da amo gasia abula diasu gilisisuga esalu.
06080a00a5	Hahabedafa, Yosiua da wa:legadole, ea dadi gagui dunu gilisi. Amalalu, e amola Isala:ili ouligisu dunu da dadi gagui dunu bisili, A:iai moilai bai bagadega oule asi.
06080b00d8	Dadi gagui dunu da A:iai moilai bai bagade logo holei bagade amoga doaga:musa: asili, ilia da gano la:idi amoga ha wa:i fisu gagui. Ilia da agologa esalu amola A:iai da agolo eno amoga dialu. Dogoa da fago soge ba:i.
06080c006c	Yosiua da5000 dunu agoane lale, ilia da A:iai ea eso dabe la:idi (A:iai amola Bedele dogoa) amoga wamoaligi.
06080d00cc	Dadi gagui da A:iai moilai bai bagadega doagala:musa: esalu. Bisili ha wa:i fisu esalebe dunu da gano la:idi dialu amola eno dunu da eso dabe la:ididili wamoaligili esalu. Yosiua da amo gasia umiga esalu.
06080e0119	A:iai hina bagade dunu da Yosiua ea dunu ba:beba:le, hedolowane hamoi. E amola ea dunu huluane da Yodane umiga gadili asili, ilia da musa: sogebi Isala:ili dunuma gegei amoga bu gegemusa: dawa:i galu. Be Isala:ili dunu da ea baligiga doagala:musa: esalu, amo e da hame dawa:i galu.
06080f0051	Yosiua amola ea dunu da ogogole A:iai dunuma hobeamusa:, hafoga:i sogega hehenai.
06081000a2	A:iai hina bagade da ea dunu huludafa Yosiua ea dunu sefasimusa: masa:ne sia:i. Ilia da hehenane, ilia moilai bai bagade da baligidu beba:loba da sedagawane ba:i.
060811007e	A:iai dunu huluanedafa da Isala:ili dunu sefasi. A:iai moilai bai bagade logo da doasi dagoi amola gaga:su dunu hamedafa ba:i.
06081200b2	Amalalu, Hina Gode da Yosiuama amane sia:i, “Dia goge agei amo A:iai moilai bai bagadega sogiagama. Na da amo moilai bai bagade dima imunu.” Yosiua da amo sia:i defele hamoi.
06081300b6	E da ea lobo ligia gadole, Isala:ili dunu da ilia wamoaligisu hedolo fisili, moilai bai bagadega hehenane, lai dagoi. Ilia da hedolowane A:iai moilai bai bagade ulagimusa: lalu didi.
06081400c1	A:iai dunu da beba:loba, lalu mobi heda:lebe muagado doaga:i amo ba:i. Isala:ili dunu da hafoga:i sogega hehenai amo da sinidigili ilima doagala:musa: mabeba:le, ilia da hobeamu logo hame ba:i.
060815008a	Yosiua amola ea dunu da eno dunu da A:iai moilai bai bagade lale, laluga gobesi amo ba:beba:le, sinidigili, A:iai dunu fane legemusa: asi.
06081600d3	Isala:ili dunu A:iai moilai bai bagade ganodini esalu da amo gegesu fidimusa: misi. Amalalu, A:iai dunu da Isala:ili dunu amoma sisiga:i dagoi ba:i. A:iai dunu afae da hame hobea:i, huluane bogogia:i dagoi ba:i.
060817006d	Be A:iai hina bagade da hame bogoi. Isala:ili dunu da amo hina bagade lale, afugili, Yosiuama hiouginana asi.
06081800c8	Isala:ili dunu da A:iai dunu huluane amo wadela:i soge amo ganodini medole legei dagoi. Amalalu, ilia da sinidigili, A:iai moilai bai bagade ganodini esalebe dunu, uda amola mano huluane medole legei.
06081a00d6	Yosiua da ea goge agei amo A:iai moilai bai bagadega sogiagai mae fisili, dunu huluanedafa da medole legei dagoiba:le fawane yolesi. A:iai ganodini esalebe huluane da bogogia:i. Idi da dunu 12,000 agoane amola uda.
06081b0088	Hina Gode da Yosiuama sia:i defele, Isala:ili dunu ilisu da ohe fi amola liligi amo moilai bai bagade ganodini galu gagulaligimusa: lai.
06081c007b	Yosiua da A:iai moilai bai bagade laluga gobesi amola wadela:lesi dagoi. Wali eso, amo moilai bai bagade da amaiwane diala.
06081d0134	E da A:iai hina bagade ifaga hegoa:nesili, ea da:i hodo daeya doaga:ma:ne yolesi. Eso dabe amoga, e da amo hina bagade ea da:i hodo fadegama:ne sia:i. Amo lale, ilia da moilai bai bagade holeiga gisalugala:i. Ilia da ea da:i hodo amo igi ligisisu bagadega dedeboi. Amo igi ligisisu da wali eso amogawi diala.
06081e004b	Amasea, Yosiua da Iba:le Goumia, Isala:ili fi ilia Hina Godema oloda hamoi.
06081f0136	Amo oloda, e da Mousese, Hina Gode Ea hawa: hamosu dunu amo ea olelei defele gagui. Mousese hamoma:ne sia:i defele, “oloda igiga hamoi be amo igi da gobihei o goahei amoga hame hedofai ba:mu.” Amo oloda da:iya, ilia da Hina Godema gobele salasu gobesi amola ilia da Hahawane Gilisili Olofole Iasu Godema i.
060820006b	Amogawi, Isala:ili dunu huluane ba:lalu, Yosiua da sema amo Mousese da dedei, amo igi gasui enoga bu dedei.
0608210217	Isala:ili dunu, ilia hina dunu, ouligisu dunu, ilia fofada:su dunu amola ilia gilisisu ganodini esalebe ga fi dunu da Hina Gode Ea Gousa:su Sema Gagili la:ididili amola la:ididili lelu. Ilia da gobele salasu dunu amo da Gode Ea Gousa:su Sema Gagili gagui, amo ilia odagia ba:sa lelu. Isala:ili dunu dogoa mogili, la:idi da Gelesime Goumi ilia baligiga ba:i, la:idi da Iba:le Goumi ilia baligiga ba:i. Ilia da Gode Ea hahawane dogolegele fidisu lama:ne, Hina Gode Ea hawa: hamosu dunu Mousese da ili amo hou hamoma:ne musa: sia:i dagoi.
06082200bf	Amalalu, Yosiua da dunu huluane nabima:ne, Sema huluane idi dagoi. E da hahawane dogolegele fidisu sia: huluane amola gagabusu aligima:ne sia: huluane Sema buga ganodini dedei amo defele idi.
06082300a2	Yosiua da Mousese ea hamoma:ne sia:i amo huluanedafa dunu gilisisu (amo gilisisu ganodini, dunu, uda, mano amola ga fi dunu huluane esalebe ba:i) ilima idi dagoi.
0609010192	Yodane Hano eso dabe la:idi hina bagade dunu huluane da Isala:ili dunu ilia gasa bagade hasalasu hou nabi dagoi. Amo hou ilia da goumi soge ganodini, umi soge Medidela:inia Wayabo Bagade bega: amola soge gano asili Lebanone sogega doaga:i, amo esalebe dunu huluane da Isala:ili dunu ilia hou nabi. Amo hina bagade dunu ilia fi da Hidaide, A:moulaide, Ga:ina:naide, Belesaide, Haifaide amola Yebiusaide.
0609020055	Amo hina bagade dunu da gilisili, Yosiua amola Isala:ili dunu ilima gegemusa: gilisi.
0609030074	Be Gibionaide dunu (ilia da Haifaide fi dunu) ilia da Yosiua ea hou amo Yeligou amola A:iai amoma hamoi nababeba:le,
0609040094	ilia da Yosiuama ogogomusa: dawa:i galu. Ilia da ha:i manu lale, ilia dougi da:iya esa wadela:lesi dagoi amola waini gadofo gadelale nodomei ligisi.
060905004b	Ilia da abula wadela:i amola hea emo salasu wadela:iba:le nodomei gasisali.
06090600cb	Amalalu, ilia da Isala:ili abula diasu gilisisu Giliga:le amoga gala amoga asili, Yosiua amola Isala:ili dunu ilima amane sia:i, “Ninia da soge sedagaga misi. Ninia da dilima gousa:su hamomu galebe.”
060907007d	Be Isala:ili dunu da amane sia:i, “Ninia da dilima gousa:su abuliga hamoma:bela:? Amabela:? Dilia da gadenene esalabala?”
06090800a0	Ilia da Yosiuama amane sia:i, “Ninia da dia hawa: hamosu dunu esala.” Yosiua da ilima amane adole ba:i, “Dilia da nowala:? Dilia da habidili misibala:?”
06090900a0	Amalalu, ilia da amo sia: ema olelei, “Ninia da dilia Hina Gode Ea hou nababeba:le, soge sedade amoga misi dagoi. Ninia da Ea hou Idibidi soge ganodini hamoi,
06090a00fa	amola E da A:moulaide hina bagade aduna Yodane Hano eso mabadi la:idiga esalu (amo da Hesiabone hina bagade amo ea dio Saihone amola Ba:isia:ne hina bagade Asiadalode moilai bai bagadega esalu amo ea dio Oge) Hina Gode da elama hamoi, amo ninia nabi.
06090b00cd	Ninia ouligisu dunu amola fi dunu huluane ninia soge ganodini esala da nini ha:i manu momagele, dima gousa:musa: masa:ne sia:i. Ilia da nini da dima hawa: hamomusa: sia:ne, dilima gousa:su hamoma:ne sia:i.
06090c0096	Ninia agi ga:gi ba:ma! Ninia da dilima gousa:musa: nini soge fisili, amo agi ga:gi da gugumi ba:i. Ba:ma! Wali amo da hafoga:i amola moloba: fi dagoi.
06090d00bc	Ninia da waini amo waini gadofo ganodini sogasalaloba, waini gadofo da gaheabolo ba:i. Be wali ilia da gadelai. Ninia sedagaga misiba:le ninia abula amola emo salasu da hea hamoi dagoi.”
06090e005a	Isala:ili dunu da ilima ha:i manu lai, be ilia hou dawa:ma:ne Hina Godema hame adole ba:i.
06090f0098	Yosiua da hahawane gousa:su ilima hamoi amola amo dunu hame medole legei. Isala:ili ouligisu dunu da dafawane amo gousa:su hame fisima:ne ilegele sia:i.
0609100055	Be eso udiana asili, Isala:ili dunu da Gibionaide dunu da gadenene fi amo nabi dagoi.
06091100ba	Amaiba:le, Isala:ili dunu da asili, eso udiana asili ilia esalebe moilale bai bagadega doaga:i. Amo moilale gagai bai bagade ilia dio da Gibione, Gifaila, Bialode amola Gilia:de Yialimi.
06091200cc	Be Isala:ili ouligisu dunu da Hina Gode Ea Dioba:le amo dunu hame medomu ilegele sia:i dagoiba:le, ilia da amo dunu medole legemu hamedei ba:i. Isala:ili dunu huluane da ilia ouligisu dunuma sia:ga gegei.
0609130093	Be Isala:ili ouligisu dunu da bu adole i, “Ninia da Isala:ili Hina Gode Ea Dioba:le amo dunuma sia:i dagoiba:le, ninia da ilima se imunu hamedei.
060914005e	Ninia sia:i dagoiba:le, amo dunu hame medole legemu. Amai hame galea, Gode da ninima se imunu.
0609150057	Ilia da esalumu da defea. Be ilia da ninia lalu habei amola hano nasu gaguli misunu.”
06091600d3	Yosiua da Isala:ili dunuma ilia da Gibionaide dunu ema oule misa:ne sia:i. E da ilima amane adole ba:i, “Dilia da abuliba:le ninima ogogobela:? Dilia gadenene esalebeba:le, abuliba:le sedagaga esala sia:bela:?
06091700d8	Dilia da agoane hamoiba:le, Gode da dilima ougi, se imunu. Dilia fi da mae fisili, eso huluane udigili hawa: hamosu dunu esalumu. Dilia da na Gode Ea modale ligiagai diasuga lalu habele amola hano dili gaguli misunu.
0609180126	Ilia da bu adole i, “Ninia da sia: amo dilia Hina Gode da Ea hawa: hamosu dunu Mousese ema soge huluane lama amola amo ganodini fi dunu huluane medole legema sia:i dagoi, amo nababeba:le ninia da agoane hamoi. Ninia da dilima bagade beda:iba:le amola nini da bogosa:besa:le amo ogogosu hamoi.
0609190059	Be wali ninia da dia lobo ganodini gagui gala. Dia asigi dawa:su defele ninima hamoma.”
06091a006d	Amaiba:le Yosiua da agoane hamoi. E da Gibionaide dunu gaga:i amola Isala:ili dunuma amo mae medoma:ne sia:i.
06091b0115	Be e da ili da udigili hawa: hamoma:ne sia:i. Ilia da Isala:ili dunuma amola Hina Gode Ea oloda amoga lalu habele, amola hano dili gaguli misi. Amola mae fisili hamonanu, ilia da wali eso amola Hina Godema nodomusa: sogebi E da ilegei, amoga ilia da amo udigili hawa: hamonana.
060a010106	Yelusaleme hina bagade amo Adounaisidege da Yosiua da Yeligou mugululi ea hina bagade fane legei amo defele A:iai mugululi, ea hina bagade medole legei, amo nabi dagoi. E da Gibione dunu da Isala:ili dunuma gousa:su hamone, ilia fi amo ganodini esala amola nabi.
060a0200eb	Yelusaleme dunu fi da bagadewane beda:i. Bai Gibione da moilai bai bagade. Gibione da moilai huluane hina bagade gala amo defele galu. Ilia dadi gagui dunu da gasa bagade amola Gibione moilai ea defei da A:iai moilai defei baligiligai.
060a0300b1	Amaiba:le, Adounaisidege da Hibalone hina bagade Houha:me, Yamade hina bagade Ba:ila:me, La:igisi hina bagade Yafaia amola Egelone hina bagade Dibe ilima sia: adole iasi, amane,
060a040094	“Nama fidila misa. Gibione moilai bai bagade dunu da Yosiua amola Isala:ili dunu ilima gousa:su hamoiba:le, na da Gibione doagala:musa: masunu.”
060a0500c7	Amo A:moulaide hina bagade biyale gala amo Yelusaleme hina bagade, Yamade hina bagade, La:igisi hina bagade amola Egelone hina bagade, ilia da gilisili Gibione moilai bai bagade sisiga:le, doagala:i.
060a0600d5	Gibione dunu da Yosiua (Giliga:le abula moilaiga esalu) ema sia: adole iasi, “Nini mae fisima! Wahadafa nini gaga:la misa! Agolo sogega esala A:moulaide hina bagade huluane da gilisili ninima doagala:i dagoi.”
060a07006c	Amaiba:le, Yosiua amola ea dadi gagui dunu huluane (noga:idafa dadi gagui amola da asi) da Giliga:le yolesi.
060a080090	Hina Gode da Yosiuama amane sia:i, “Ilima mae beda:ma. Na da dima hasalasu hou i dagoi. Dunu afae da dima bu gasawane gegemu hamedei ba:mu.”
060a0900c8	Daeya wa:le ahoanoba hadigi, Yosiua amola ea dadi gagui dunu da Giliga:le fisili, Gibione moilai bai bagadega asi. Ilia da A:moulaide dunu ilima hedolowane doagala:loba, A:moulaide dunu da fofogadigi.
060a0a0133	Hina Gode da hamoiba:le, A:moulaide dunu da Isala:ili dadi gagui dunu ba:loba, bagade beda:iba:le hobea:i. Isala:ili dadi gagui da ili bagohame Gibione moilai bai bagadega medole legele, sefasi. Sefasili, ilia da goumi adobo logo amo Bede Houlone amoga sefasili, Asiga moilai amola Ma:gida moilaiga doaga:i.
060a0b0106	A:moulaide dunu da goumi logoga Isala:ili dadi gagui ilima hobeale ahoananoba, Hina Gode da hamoiba:le, gibu mugene da ilima sa:ili mae fisili Asiga ahoasu amoga sa:i. Amola mugene igi amoga medole legei idi da Isala:ili dunuga medole legei idi amo baligi dagoi.
060a0c010a	Amo esoha Hina Gode da hamoiba:le, Isala:ili dunu da A:moulaide dunuma hasali. Amola amo esoha, Isala:ili dunu huluane ba:ma:ne, Yosiua da Hina Gode hamoma:ne amane sia:i, “Eso! Di Gibione moilaiga gadodili leloma. Oubi! Di A:iyalone Fago amoga gadodili leloma.”
060a0d00e8	Amalalu, eso da mae asili, oulelu amola oubi da mae asili, oulelu. Isala:ili dunu da ilima ha lai hasali dagoiba:le fawane bu asi. Amo hou da Ya:isa buga ganodini dedei diala. Eso da mu dogoa amo ganodini lelu, eso afaega hame sa:i.
060a0e0096	Amo hou amo Hina Gode da osobo bagade dunu ea sia:ne ba:su, musa: da hame ba:su amola fa:no amo hame ba:su. Hina Gode da Isala:ili fi fidima:ne gegei.
060a0f0054	Amalalu, Yosiua amola ea dadi gagui dunu da Giliga:le abula diasu gilisisuga buhagi.
060a100064	Be A:moulaide hina bagade biyale gala da hobeale, Ma:gida sogebi gele gelabo amo ganodini wamoaligi.
060a110045	Dunu eno da amo ba:i dagoi. Ilia wamoaligisu ilia da Yosiuama olelei.
