2800000007	Matúš
290f250025	Tu Ježiš nahlas zakričal a skonal.
290f260042	V tej chvíli sa opona v chráme roztrhla napoly odhora až nadol.
290f27007e	Keď rímsky stotník, ktorý stál pri kríži, videl, ako Ježiš zomieral, zvolal: „Ten človek bol naozaj Syn Boží!“
290f28009a	Obďaleč stálo niekoľko žien a pozorovalo všetko, čo sa deje. Bola medzi nimi Mária Magdaléna; Mária, matka Jakuba mladšieho a Jozefa; a Salome.
290f29007f	Tie ho sprevádzali a pomáhali mu už vtedy, keď bol v Galilei. A boli tu aj iné ženy, ktoré s ním prišli do Jeruzalema.
290f2a0049	Bol deň pripravovania, čiže deň pred sobotou, a pomaly sa zvečerilo.
290f2b00a0	Jozef z Arimatey, vážený člen židovskej rady, ktorý tiež očakával Božie kráľovstvo, predstúpil smelo pred Piláta a požiadal ho o Ježišovo telo.
290f2c0070	Pilát sa začudoval: „Vari už naozaj zomrel?“ Dal si zavolať stotníka a spýtal sa ho, či je to pravda.
290f2d0049	Keď mu stotník potvrdil Ježišovu smrť, dovolil Jozefovi telo vziať.
290f2e009e	Ten kúpil plátno, sňal Ježišovo telo z kríža, zavinul ho do plátna a uložil do vlastnej hrobky, vytesanej v skale. Vchod do hrobu privalili balvanom.
290f2f0049	Mária Magdaléna a Mária Jozesova sa prizerali, kde Ježiša pochovali.
2910010091	Mária z Magdaly, Jakubova matka Mária a Salome nakúpili po sobote voňavé masti, aby nimi podľa židovskej obyčaje natreli Ježišovo telo.
2910020050	Zavčasu ráno v prvý deň týždňa, len čo vyšlo slnko, pobrali sa k hrobu.
2910030051	Cestou si hovorili: „Kto nám odvalí kameň, ktorý je pri vchode do hrobu?“
2910040056	Keď však prišli na miesto, zistili, že ten obrovský kameň je od hrobu odvalený.
291005006a	Vstúpili do hrobky a na pravej strane videli sedieť mladého muža v bielom odeve. Veľmi sa ho zľakli.
29100600b8	On ich však upokojoval: „Nebojte sa! Viem, že hľadáte Ježiša z Nazareta, ktorého ukrižovali. Nie je tu, vstal z mŕtvych! Pozrite sa na miesto, kde ho položili: je prázdne.
291007009e	Choďte a oznámte jeho učeníkom vrátane Petra: Ježiš ide pred vami do Galiley. Stretnete sa tam s ním, tak ako vám to oznámil pred svojou smrťou.“
2910080076	Ženy vybehli z hrobky a celé predesené utekali preč. Triasli sa od hrôzy a nikomu nič nepovedali, lebo sa báli.
29100900dd	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Ježiš Kristus vstal z mŕtvych v nedeľu zavčasu ráno. Najprv sa ukázal Márii Magdaléne, žene, z ktorej kedysi vyhnal sedem démonov.
29100a0084	Tá bežala k Ježišovým učeníkom, ktorých našla plačúcich a zúfalých, a oznámila im: „Ježiš žije! Videla som ho!“
29100b0012	Ale neuverili jej.
29100c0045	Potom sa ukázal dvom učeníkom, ktorí šli z Jeruzalema na vidiek.
29100d003e	Vrátili sa, oznámili to ostatným, ale ani im nikto neveril.
29100e0099	Neskôr sa ukázal svojim jedenástim učeníkom, práve keď jedli. Karhal ich pre nevieru i preto, že tak tvrdohlavo odmietali uveriť, že je živý.
29100f0067	Potom ich poveril úlohou: „Choďte do celého sveta a všetkým ľuďom oznamujte radostnú správu:
2910100065	kto uverí vo mňa a dá sa pokrstiť, bude zachránený. Ale toho, kto odmietne veriť, Boh odsúdi.
291011007b	Tých, ktorí uveria, budú sprevádzať tieto znamenia: Budú v mojom mene vyháňať démonov a hovoriť novými jazykmi.
2910120085	Budú brať do rúk hady, ktoré im neublížia, a jedovatý nápoj im neuškodí. Na chorých budú vkladať ruky a uzdravia ich.“
291013005c	Po týchto slovách bol Pán Ježiš vzatý do neba a zaujal svoje miesto po Božej pravici.
2910140096	Jeho učeníci sa rozišli do sveta a všade zvestovali radostnú správu o Kristovi. A Pán bol s nimi a ich slová potvrdzoval zázračnými činmi.
2a00000007	Lukáš
2a01010050	Už mnohí predo mnou sa usilovali spísať udalosti, ktoré sa u nás odohrali.
2a0102006f	Vychádzali pri tom zo slov tých, ktorí boli od začiatku očitými svedkami a zvestovateľmi Božieho slova.
2a0103007d	Napriek tomu som sa rozhodol dôkladne preskúmať, roztriediť a napísať ti, vznešený Teofil, všetky dostupné správy,
2a01040040	aby si získal istotu, že to, o čom si sa dozvedel, je pravda.
2a010500bc	V dobe, keď bol Herodes kráľom Judska, žil istý kňaz menom Zachariáš. Zachariáš bol členom Abiášovej skupiny. Jeho manželka Alžbeta pochádzala z Áronovho kňazského rodu.
2a0106005f	Obaja boli čestní ľudia, Boha rešpektovali a žili podľa Božích prikázaní a predpisov.
2a0107004e	Boli to už starší ľudia a zostali bezdetní, lebo Alžbeta bola neplodná.
2a0108006f	V čase, keď prišiel rad na Zachariášovu kňazskú skupinu a on konal v chráme svoje kňazské povinnosti,
2a0109006c	bol práve Zachariáš vybratý losom, aby vstúpil vo svätyne a tam na oltári priniesol kadidlovú obeť.
2a010a003a	Všetci zhromaždení ľudia sa v tom čase vonku modlili.
2a010b006a	Zachariáš bol práve vo svätyni, keď sa mu ukázal Pánov anjel po pravej strane kadidlového oltára.
2a010c0041	Keď ho Zachariáš uvidel, predesil sa a zmocnila sa ho bázeň.
2a010d00b5	Boží posol ho však upokojoval: „Neboj sa, Zachariáš! Prišiel som ti oznámiť, že Boh vypočul tvoju modlitbu. Manželka Alžbeta ti porodí syna, ktorému dáte meno Ján.
2a010e0065	Budeš mať z neho veľkú radosť a potešenie a mnohí budú za jeho narodenie nesmierne vďační.
2a010f008b	Boh ho poverí veľkou úlohou. Počas svojho života nebude piť víno ani iný opojný nápoj. Duch Svätý bude v ňom už od narodenia.
2a01100053	Mnohých z izraelského národa privedie naspäť k Bohu, ich skutočnému Pánovi.
2a01110103	On sám pôjde pred Ním a bude mať toho istého ducha a tú istú moc, ako mal Eliáš. To preto, aby obnovil lásku medzi rodičmi a deťmi, aby tých, čo konajú svojvoľne, priviedol k múdrosti spravodlivých a pripravil tak ľudí na Jeho prijatie.“
2a01120080	Zachariáš namietol: „Ako môžem veriť, že je to pravda? Veď sme s manželkou obaja starí a deti už mať nemôžeme.“
2a0113007f	Anjel mu však povedal: „Ja som Gabriel a prichádzam s posolstvom priamo od Boha. Mám ti oznámiť túto radostnú správu.
2a01140058	No keďže si neuveril, budeš nemý, kým sa moje slová v určenom čase nenaplnia.“
2a0115005b	Ľudia vonku medzitým čakali na Zachariáša a čudovali sa, že je vo svätyni tak dlho.
2a01160061	Keď konečne vyšiel, nemohol prehovoriť. Posunkami im dal najavo, že mal vo svätyni videnie.
2a01170045	Keď sa skončil týždeň jeho chrámovej služby, vrátil sa domov.
2a01180054	Onedlho nato Alžbeta otehotnela, ale tajila to pred ľuďmi až do piateho mesiaca.
2a01190056	Radovala sa: „Boh sa nado mnou zľutoval a zbavil ma pohŕdania a neúcty ľudí.“
2a011a0062	Pol roka po Zachariášovom videní poslal Boh anjela Gabriela do galilejského mestečka Nazareta
2a011b0073	k dievčaťu, ktoré sa volalo Mária. Bola snúbenicou Jozefa, ktorý pochádzal z Dávidovho kráľovského rodu.
2a011c005c	Anjel sa jej prihovoril: „Raduj sa, lebo Boh je s tebou a obdaril ťa svojou milosťou.“
2a011d0048	Máriu jeho slová znepokojili a snažila sa pochopiť, čo to znamená.
2a011e004a	Posol pokračoval: „Neboj sa, Mária! Boh ťa chce nesmierne požehnať.
2a011f002a	Narodí sa ti syn a dáš mu meno Ježiš.
2a0120004c	Bude mať veľkú moc a bude Synom Najvyššieho. Boh mu dá Dávidov trón,
2a01210048	naveky bude kráľom Izraela a jeho kráľovstvo sa nikdy neskončí.“
2a01220057	Mária však namietala: „Ako sa mi môže narodiť dieťa? Veď nežijem s mužom!“
2a01230098	Anjel jej povedal: „Duch Svätý to spôsobí. Zjaví sa pri tebe moc Najvyššieho a sväté dieťa, ktoré sa ti narodí, bude sa volať Boží Syn.
2a01240081	Veď aj tvoja príbuzná Alžbeta, po celý život neplodná, bude mať vo svojej starobe syna. Narodí sa jej už o tri mesiace.
2a01250020	U Boha nie je nič nemožné.“
2a01260074	Mária na to povedala: „Som Pánovou služobníčkou. Nech sa teda stane, ako si povedal.“ Potom anjel odišiel.
2a01270065	O niekoľko dní sa Mária vydala do mestečka v judských kopcoch, kde žil Zachariáš s Alžbetou.
2a01280028	Keď vošla do ich domu a pozdravila sa,
2a0129005b	pocítila Alžbeta, ako sa v nej dieťa pohlo. V tej chvíli Alžbetu prenikol Svätý Duch
2a012a006b	a nadšene zvolala: „Mária, Boh ťa požehnal spomedzi všetkých žien a aj tvoj syn bude požehnaním.
2a012b0043	Aká je to pre mňa česť, že ma navštívila matka môjho Pána.
2a012c0047	Len čo som začula tvoj pozdrav, dieťatko sa vo mne od radosti pohlo.
2a012d0052	Si blahoslavená, lebo si uverila Božiemu zasľúbeniu. Jeho slová sa splnia.“
2a012e0031	Nato Mária povedala: „Moje srdce chváli Pána
2a012f0028	a radujem sa v Bohu, mojom Spasiteľovi.
2a0130006e	Mňa, bezvýznamné dievča, si všimol. Ľudia zo všetkých národov budú o mne hovoriť ako o požehnanej,
2a01310057	pretože vidím, aké veľké a úžasné veci vykonal mocný Boh. Jeho meno je sväté
2a01320044	a svoje milosrdenstvo preukazuje všetkým, ktorí ho berú vážne.
2a01330037	Vystiera svoju mocnú ruku, aby maril plány pyšných,
2a0134003d	aby zosadzoval vládcov z trónu a pozdvihoval utláčaných.
2a0135004e	Hladných sýtil dobrými vecami a bohatých prepúšťal s prázdnymi rukami.
2a01360038	Ujal sa svojho ľudu, Izraela a stále mu je milosrdný.
2a01370044	Tak to naveky sľúbil našim otcom: Abrahámovi i jeho potomkom.“
2a0138003f	Mária ostala u Alžbety tri mesiace a potom sa vrátila domov.
2a0139002a	Keď nastal čas, Alžbete sa narodil syn.
2a013a005f	Keď sa všetci susedia a príbuzní dozvedeli, ako ju Boh požehnal, radovali sa spolu s ňou.
2a013b0073	Zišli sa na ôsmy deň, keď podľa zákona chlapcov obrezávali, a chceli mu dať meno po otcovi – Zachariáš.
2a013c0036	Ale Alžbeta povedala: „Nie, bude sa volať Ján.“
2a013d003e	Namietali: „Vo vašej rodine sa predsa nikto tak nevolal.“
2a013e0030	Tu sa obrátili na otca, aké mu chce dať meno.
2a013f0055	Vypýtal si tabuľku a na prekvapenie všetkých napísal: „Bude sa volať Ján.“
2a0140004d	V tej chvíli sa Zachariášovi opäť vrátila reč a začal chváliť Boha.
2a0141007a	Všetci susedia pochopili, že sa deje čosi mimoriadne a naplnila ich bázeň. Hovorilo sa o tom po celej hornatej Judei.
2a0142009d	Každý, kto o tom počul, uvažoval vo svojom srdci: „Z toho chlapca určite vyrastie niekto významný. Veď je zrejmé, že ho sprevádza Božia moc.“
2a01430042	Duch Svätý naplnil Zachariáša a dal mu tieto prorocké slová:
2a01440059	„Chvála Pánovi, Bohu Izraela, že prichádza svojmu ľudu na pomoc a vyslobodzuje ho.
2a01450038	Posiela nám mocného Záchrancu z rodu kráľa Dávida,
2a01460037	ktorého už dávno ohlasoval ústami svojich prorokov;
2a01470044	oslobodí nás od našich nepriateľov a tých, čo nás nenávidia.
2a01480058	Boh prejavil svoje milosrdenstvo a priznáva sa k našim otcom a k svojej zmluve s nimi.
2a0149003a	Veď Boh sa prísahou zaviazal nášmu otcovi Abrahámovi,
2a014a005d	že nás vyslobodí z rúk nepriateľov, aby sme mu mohli slobodne vzdávať česť a chválu
2a014b003a	a mohli po celý náš život žiť čestne a spravodlivo.
2a014c0073	A ty, syn môj, budeš prorokom Najvyššieho a budeš pod Pánovým vedením pripravovať ľudí na jeho príchod.
2a014d004d	Budeš im hovoriť, že Boh chce ľudí zachrániť odpustením ich hriechov.
2a014e004a	Veď Boh je plný zľutovania a milosrdenstva. Slnko spásy už vychádza,
2a014f007c	aby zažiarilo všetkým, čo žijú v tme a v tieni smrti. Boh nás povedie po ceste, ktorá vedie k zmiereniu a pokoju.“
2a015000a2	Chlapec rástol a jeho duch mocnel. Neskôr odišiel na púšť, kde žil v ústraní až do chvíle, keď vystúpil so svojím posolstvom pred izraelský národ.
2a0201005f	V tom čase nariadil cisár Augustus, aby sa vykonalo sčítanie ľudu v celej Rímskej ríši.
2a0202005c	Tento súpis sa konal pred tým, než sa rímskym miestodržiteľom v Sýrii stal Kvirinius.
2a02030053	Každý bol povinný dať sa zapísať v meste, odkiaľ pochádzali jeho predkovia.
2a020400a2	Aj Jozef so svojou snúbenicou Máriou putoval z galilejského Nazareta do judského mesta Betlehem, rodiska kráľa Dávida. Jozef totiž pochádzal z jeho rodu.
2a02050047	Keď sa vydali na cestu, Mária už bola vo vysokom stupni tehotenstva.
2a0206002e	Počas pobytu v Betleheme nastal čas pôrodu.
2a02070076	Márii sa narodil jej prvorodený syn. Zavinula ho do plienok a uložila do jaslí, lebo v hostinci už nebolo miesta.
2a02080053	Za mestom pásli pastieri svoje ovce. Aj v tú noc boli pri stáde a strážili ho.
2a02090072	Zrazu sa pred nimi zjavil Pánov anjel a celá krajina sa rozžiarila odleskom Božej slávy. Veľmi sa vyľakali,
2a020a0072	ale anjel ich upokojoval: „Nebojte sa, nesiem vám radostnú správu, z ktorej sa môžu tešiť všetci ľudia.
2a020b0050	V Dávidovom meste sa vám dnes narodil Záchranca. On je Mesiáš a váš Pán.
2a020c0065	Nájdete dieťatko zavinuté v plienkach a ležiace v jasliach: to je ten, o ktorom vám hovorím.“
2a020d0062	Potom sa k anjelovi pripojili celé zástupy nebeského vojska. Všetci chválili Boha a hovorili:
2a020e0051	„Sláva Bohu na nebi a na zemi pokoj ľuďom, ktorí našli Božiu priazeň.“
2a020f00aa	Len čo sa anjeli vrátili do neba, pastieri sa rozhodli: „Poďme sa pozrieť do Betlehema, aby sme videli veci, o ktorých nám Boh prostredníctvom anjela hovoril.“
2a02100057	Ponáhľali sa do mesta a našli Máriu s Jozefom i novorodeniatko ležiace v jasliach.
2a02110057	Keď ho uvideli, všetkým rozpovedali, čo zažili a čo im anjel povedal o dieťatku.
2a0212003b	Ľudia, ktorí to počuli, sa ich slovám veľmi čudovali.
2a0213003c	Mária si to všetko uchovala v srdci a premýšľala o tom.
2a02140072	Pastieri sa vrátili k svojim stádam, radovali sa a velebili Boha, že našli všetko tak, ako im anjel oznámil.
2a02150077	Na ôsmy deň dali Mária a Jozef chlapca obrezať. Dali mu meno Ježiš, ako to anjel určil už pred jeho narodením.
2a021600e1	Mojžišov zákon prikazoval, aby každá žena, ktorej sa narodí dieťa, išla do chrámu a priniesla obeť. Preto aj Mária, keď bola podľa Zákona obradne čistá, prišla s Jozefom do chrámu. Vzali so sebou aj dieťa:
2a02170063	v Mojžišovom zákone je totiž napísané, že každý prvorodený chlapec bude zasvätený Bohu.
2a02180066	Priniesli aj obeť, ktorú mali podľa zákona obetovať chudobní: dve hrdličky alebo dvoch holubov.
2a021900ba	V tom čase žil v Jeruzaleme zbožný starec Simeon. Bol to čestný muž, Boha i jeho prikázania bral vážne a viedol ho Svätý Duch. Simeon očakával Božie potešenie pre Izrael.
2a021a0062	Duch Svätý mu zjavil, že nezomrie, kým na vlastné oči neuvidí Bohom sľúbeného Mesiáša.
2a021b0067	Vedený Božím Duchom prišiel do chrámu práve vo chvíli, keď rodičia zasväcovali Ježiša Bohu.
2a021c002c	Simeon vzal dieťa do náručia a modlil sa:
2a021d004f	„Pane, ďakujem ti, že si splnil svoj sľub. Teraz môžem pokojne zomrieť,
2a021e0040	lebo som na vlastné oči videl toho, ktorý prinesie záchranu.
2a021f0029	V ňom ponúkaš záchranu celému svetu;
2a0220003a	on bude svetlom pohanom a slávou svojho ľudu Izraela.“
2a02210037	Jozef a Mária boli z jeho slov o dieťati prekvapení.
2a022200b3	Simeon im požehnal a Márii ešte povedal: „Toto dieťa bude príčinou pádu jedných a povýšenia druhých v Izraeli. Je znamením z neba, proti ktorému sa mnohí postavia,
2a0223004f	a tak prezradia svoje zmýšľanie. A tvoje srdce prenikne bolesť ako meč.“
2a02240090	Bola tam aj prorokyňa Anna, dcéra Fanuelova z rodu Aserovho. Po sedemročnom manželstve ovdovela a teraz už bola vo veľmi pokročilom veku:
2a02250091	mala osemdesiatštyri rokov. Celý svoj život prežila v chráme a jej dni aj noci boli naplnené službou Bohu, modlitbami a častými pôstmi.
2a02260086	Aj ona k nim pristúpila a ďakovala Bohu za to dieťa. Hovorila o ňom všetkým, ktorí v Jeruzaleme očakávali príchod Mesiáša.
2a0227005f	Keď Jozef s Máriou splnili všetko, čo prikazoval Zákon, vrátili sa do Nazareta v Galilei.
2a02280083	Chlapec rástol, jeho duch mocnel, nadobúdal poznanie a múdrosť. Všetci mohli vidieť, že Boh ho zahŕňa svojím dobrodením.
2a02290050	Ježišovi rodičia putovali každý rok do Jeruzalema na veľkonočné sviatky.
2a022a004c	Keď mal Ježiš dvanásť rokov, tiež sa vybrali na sviatky do Jeruzalema.
2a022b0065	Po slávnosti sa všetci vydali na cestu domov, ale Ježiš zostal bez vedomia rodičov v Jeruzaleme.
2a022c00ab	Spočiatku sa ani neznepokojovali, lebo si mysleli, že zostal niekde medzi pútnikmi. Ale keď sa celý deň neukázal, začali ho hľadať medzi príbuznými a známymi.
2a022d0041	Nenašli ho, a preto sa vrátili do Jeruzalema a hľadali ho tam.
2a022e006e	Až po troch dňoch ho našli v chráme, ako sedí medzi učiteľmi Zákona, počúva ich a kladie im otázky.
2a022f0044	Všetci, ktorí tam boli, žasli nad jeho múdrosťou a odpoveďami.
2a02300095	Rodičov prekvapilo, že je v chráme, a matka mu vyčítala: „Syn náš, čo si nám to urobil? Báli sme sa s otcom o teba a hľadali sme ťa.“
2a02310071	Ježiš im odpovedal: „Prečo ste ma hľadali? Či neviete, že musím byť tam, kde ide o veci môjho Otca?“
2a02320022	Oni však jeho slová nepochopili.
2a0233007a	Ježiš sa potom vrátil s rodičmi do Nazareta. Bol im dobrým synom a jeho matka premýšľala o všetkom, čo sa stalo.
2a0234004e	Ježiš rástol a rozvíjal sa telesne aj rozumovo a bol milý Bohu i ľuďom.
2a030100cf	V pätnástom roku vlády cisára Tiberia, keď bol Pilát Pontský rímskym správcom Judei a tetrarchami boli: Herodes v Galilei, jeho brat Filip v Iturei a na území Trachonitidy a Lyzaniáš v Abiléne.
2a03020083	V čase, keď veľkňazský úrad zastávali Annáš a Kaifáš, vyzval Boh Jána, syna Zachariášovho, aby vystúpil z ústrania.
2a030300ea	Ján Krstiteľ z Božieho poverenia prechádzal údolím rieky Jordán a kázal: „Zmeňte svoje myslenie a svoj život. Obráťte sa k Bohu, vyznajte svoje hriechy a na znamenie toho, že vám Boh odpustil, sa nechajte pokrstiť.“
2a0304008f	Takto sa splnila dávna predpoveď proroka Izaiáša: „Na púšti volá hlas: Pripravte cestu Pánovi a odstráňte z nej všetky prekážky.
2a03050056	Zasypte priehlbiny, zarovnajte vrchy! Odstráňte zákruty, uhlaďte hrboľaté cesty.
2a03060031	A každý človek uvidí, ako Boh zachraňuje.“
2a0307008d	Zástupom, ktoré za ním vychádzali, aby ich pokrstil, hovoril: „Hadie plemeno, myslíte si, že takto môžete uniknúť Božiemu hnevu?
2a03080105	Dokážte svojím životom, že ste sa odvrátili od svojich hriechov. Nenahovárajte si, že sa vám nemôže nič stať len preto, že ste potomkovia Abraháma. Neklamte samých seba! Veď Boh môže aj tieto kamene oživiť a urobiť z nich Abrahámove deti.
2a03090093	Sekera Božieho súdu je už priložená ku koreňom stromov. Každý strom, ktorý neprináša dobré ovocie, bude vyťatý a hodený do ohňa.“
2a030a0033	Ľudia sa ho spytovali: „Tak čo máme robiť?“
2a030b0090	Ján im odpovedal: „Máte dve košele? Rozdeľte sa s tými, čo nemajú ani jednu. Máte čo jesť? Rozdeľte sa s tými, čo sú hladní.“
2a030c0075	Prichádzali k nemu aj vyberači daní, aby ich pokrstil a spytovali sa ho: „Učiteľu, čo máme robiť my?“ –
2a030d0038	„Nevyberajte viac, ako je stanovené,“ odpovedal im.
2a030e0089	„A čo my?“ spytovali sa vojaci. „Nikomu neubližujte ani nikoho nevydierajte. A buďte spokojní so žoldom, ktorý dostávate.“
2a030f007e	Ján vedel, že ľudia očakávajú príchod Mesiáša. Všetci si dokonca začali myslieť, že by ním mohol byť práve on.
2a031000c1	Preto im Ján povedal: „Ja vás krstím vodou, ale prichádza ktosi mocnejší, ako som ja. Tomu nie som hoden ani remienok rozviazať na obuvi. On vás bude krstiť Svätým Duchom a ohňom.
2a03110076	On prečistí zrno, zbaví ho pliev, pšenicu zhromaždí do svojej sýpky, ale plevy spáli v neuhasiteľnom ohni.“
2a0312006a	Ján napomínal ľudí i rôznym iným spôsobom a zároveň ich povzbudzoval hlásaním radostnej zvesti.
2a0313009a	Karhal i Herodesa, tetrarchu nad Galileou. Vyčítal mu, že žije s Herodiadou, manželkou svojho brata. Napomínal ho i za ostatné zlo, ktoré páchal.
2a03140047	Herodes svoje zločiny zavŕšil tým, že dal neskôr Jána uväzniť.
2a03150074	Keď sa všetok ľud dával krstiť a bol pokrstený aj Ježiš, vyšiel z vody a modlil sa. Vtom sa otvorilo nebo a
2a0316008f	zostúpil naňho Svätý Duch v podobe holubice. Z neba sa ozval hlas: „Ty si môj milovaný Syn a to, čo robíš, ma napĺňa radosťou!“
2a031700a3	Ježiš mal okolo tridsať rokov, keď začal verejne pôsobiť. Ľudia ho pokladali za syna tesára Jozefa, ktorého otcom bol Heli a jeho predkami boli postupne:
2a03180023	Matat, Lévi, Melchi, Janai, Jozef,
2a03190024	Matatiáš, Amos, Naum, Esli, Nagge,
2a031a0028	Mahat, Matatiáš, Semein, Josech, Joda,
2a031b002b	Johannan, Resa, Zorobábel, Salatiel, Neri,
2a031c0022	Melchi, Adit, Kosam, Elmodam, Ér,
2a031d0024	Jesus, Eliezer, Iorim, Matat, Lévi,
2a031e0025	Simeon, Júda, Jozef, Jonam, Eliakim,
2a031f0023	Melea, Mena, Matat, Nátan, Dávid,
2a03200021	Jesse, Obéd, Bóz, Sala, Náson,
2a0321002b	Aminadab, Admin, Arni, Ezrom, Fares, Júda,
2a03220028	Jákob, Izák, Abrahám, Thara, Náchor,
2a03230021	Seruch, Ragau, Falek, Eber, Sala,
2a03240023	Kainam, Arfaxad, Sem, Noe, Lámech,
2a03250028	Matuzalem, Enoch, Jared, Maleel, Kainam,
2a03260029	Enos, Set a Adam, ktorého otcom bol Boh.
2a040100b1	Ježiš sa vrátil od Jordánu naplnený Svätým Duchom. Duch ho teraz viedol na púšť, kde s ním bol štyridsať dní. Po celý ten čas nič nejedol a diabol ho pokúšal.
2a04020036	Keď uplynulo tých štyridsať dní mal veľký hlad.
2a0403006b	Vtedy mu diabol povedal: „Ak si naozaj Boží Syn, prikáž tomuto kameňu, aby sa premenil na chlieb!“
2a0404005e	Ale Ježiš mu odpovedal: „Je napísané: Na to, aby človek žil, nepotrebuje len jedlo.“
2a04050050	Potom ho diabol vyviedol na vysoký vrch, ukázal mu všetky kráľovstvá sveta
2a0406006e	a povedal: „Dám ti moc i slávu týchto kráľovstiev, pretože patria mne, a môžem ich dať, komu chcem.
2a04070059	Ak predo mnou padneš na kolená a vzdáš mi úctu ako Bohu, toto všetko bude tvoje.“
2a0408006b	Ježiš mu odpovedal: „Je napísané: Pána, svojho Boha budeš uctievať a iba jemu budeš slúžiť!“
2a04090068	Potom ho diabol zaviedol do Jeruzalema na vežu chrámu a povedal mu: „Ak si Boží Syn, zoskoč dolu.
2a040a0045	Veď je napísané: Boh prikáže svojim anjelom, aby ťa ochránili,
2a040b003f	a ponesú ťa na rukách, aby si si neporanil nohy o kameň.“
2a040c0065	Ježiš mu opäť odpovedal: „Ale je napísané aj toto: Nebudeš pokúšať Boha, je tvoj Pán!“
2a040d0054	Po týchto slovách diabol ukončil pokúšanie a na určitý čas od neho odišiel.
2a040e006e	Ježiš sa vrátil vyzbrojený mocou Ducha do Galiley a zvesť o ňom sa čoskoro rozšírila po celom okolí.
2a040f0039	Učil v synagógach a chválil ho každý, kto ho počul.
2a04100095	Prišiel aj do Nazareta, kde vyrastal. Keďže bola sobota, šiel – ako každú sobotu – do miestnej synagógy. Keď vstal, aby čítal z Písma,
2a04110077	podali mu zvitok, na ktorom bola napísaná kniha proroka Izaiáša. Rozvinul ho a našiel miesto, kde bolo napísané:
2a041200ec	„Duch Boží ma vedie, lebo ma Boh určil, aby som chudobným priniesol radostnú správu a tých, ktorí majú zlomené srdce, uzdravil. Poslal ma, aby som oznámil väzňom vyslobodenie, slepým vrátil zrak, utláčaných oslobodil
2a0413005a	a všetkým rozhlásil, že prichádza čas, v ktorom chce Boh prejaviť svoju milosť.“
2a0414006c	Ježiš zvinul zvitok, podal ho sluhovi a sadol si. Všetci, čo boli v synagóge sa na neho uprene pozreli.
2a04150059	A vtedy Ježiš doložil: „To, čo ste práve počuli, sa dnes stalo skutočnosťou.“
2a041600a2	Všetci, čo tam boli, mu prisviedčali a obdivovali, aké krásne slová plynú z jeho úst. A spytovali sa: „Ako je to možné? Nie je to azda syn Jozefov?“
2a041700b0	Ale Ježiš pokračoval: „Asi by ste mi radi pripomenuli príslovie: ‚Lekár, uzdrav sa sám!‘ Prečo neurobíš doma také isté zázraky, ako si urobil v Kafarnaume?“
2a04180069	Ježiš im odpovedal: „Pravda je totiž taká, že žiadneho proroka si neuctia tam, odkiaľ pochádza!
2a0419009d	Len si spomeňte, ako to bolo za čias proroka Eliáša, keď tri a pol roka nepršalo. V celej krajine nastal veľký hlad. V Izraeli bolo vtedy mnoho vdov,
2a041a0060	ale ani k jednej Boh neposlal Eliáša: naopak, poslal ho k pohanskej vdove zo Sarepty v Sidone.
2a041b0074	Alebo za čias proroka Elizea: v Izraeli bolo veľa malomocných, ale uzdravený bol iba Náman, pohan zo Sýrie.“
2a041c0043	Po týchto slovách sa všetci poslucháči v synagóge rozzúrili,
2a041d0071	schmatli Ježiša a vyviedli ho za mesto na svah vrchu, na ktorom bolo ich mesto postavené, aby ho zhodili dolu.
2a041e0048	Ježiš však zrazu prešiel pomedzi nich a pokračoval vlastnou cestou.
2a041f0046	Pobral sa do mesta Kafarnaum v Galilei a každú sobotu tam vyučoval.
2a04200059	Poslucháči žasli nad jeho učením, lebo ich učil ako niekto, kto má autoritu a moc.
2a0421005f	Raz, keď učil v synagóge, bol tam muž ovládaný diablovým duchom. Ten začal vykrikovať:
2a04220088	„Hej! Choď preč! Načo si prišiel, Ježiš z Nazareta? Chceš nás zahubiť? Ja viem, kto si: ten Svätý, čo prišiel od Boha!“
2a0423009f	Ježiš však démonovi prikázal: „Mlč a vyjdi z neho!“ Zlý duch tým mužom mocne zalomcoval, hodil ho medzi nich a vyšiel z neho, ale neublížil mu.
2a04240088	Ohromení ľudia sa medzi sebou zhovárali: „Aké mocné slová! S akou autoritou rozkazuje démonom, že ho na slovo poslúchajú?“
2a04250032	Správa o ňom sa ihneď rozletela po celom kraji.
2a04260095	Zo synagógy sa pobral do domu rybára Šimona. Šimonova svokra bola ťažko chorá a lomcovala ňou vysoká horúčka. Prosili ho, aby ju uzdravil.
2a04270072	Ježiš sa sklonil nad chorú a na jeho slovo horúčka zmizla. Žena vstala z postele a šla im pripraviť jedlo.
2a0428009a	Keď zapadlo slnko, všetci k nemu privádzali svojich blízkych, ktorí trpeli rozličnými ťažkosťami. Ježiš na nich kládol ruky a uzdravoval ich.
2a0429009c	Mnohých oslobodil aj od démonov, ktorí kričali: „Ty si Syn Boží!“ Ale Ježiš im pohrozil, lebo nechcel, aby práve oni hovorili, že je Mesiáš.
2a042a008b	Zavčasu ráno odišiel z domu na osamelé miesto. Ľudia ho všade hľadali, a keď ho našli, chceli mu zabrániť, aby od nich odišiel.
2a042b0091	Ale on im povedal: „Aj ostatným mestám musím hlásať radostnú správu o prichádzajúcom Božom kráľovstve, veď na to ma Boh poslal.“
