2800000006	Mateyo
2808080091	Lelo umukalamba wabasilika ayaswike ukuti, “Iyoo Mwemfumu, nsilingile ukuti mwise muŋanda yandi, lelo landenifye isiwi umubomfi wandi alapola.
28080900db	Pantu nanebo nalikwata abonakila, kabili nalikwata nabasilika abanakila. Ndeba umo ukuti, ‘Kabiye!’ Nao ayaa kabili naeba umbi ukuti, ‘Isa!’ Nao aisa, kabili ndeba umusya wandi ukuti, ‘kitefi!’ Nao akita.”
28080a0083	Lintu Yesu aumfwile ifi alisungwike nokweba abamukonkele ukuti, “Ndemyeba ikine kine, nsyasangapo uwakitetekelo mu Israeli ngoyu.
28080b0088	Ndemyeba ukuti, abengi bakesa ukufuma kukabanga nakumasamba nokwikala pamo na Abulahamu, Isaaki na Yakobo pamutebeto Mubufumu bwamumulu.
28080c004d	Lelo abana babufumu bakaposwa mumfimfi, ukukaba ukulila nokusumanya ameno.”
28080d008d	Yesu aebele umukalamba wabasilika ukuti, “Kabiye, kyalaba ngafintu usumine.” Kabili nomubomfi wamusilika alipolele pali kalyakene kasita.
28080e0061	Lintu Yesu aile muŋanda yakwa Petelo, amweene nyinafyala wakwa Petelo ali pabulo nalwala impepo.
28080f0049	Amukwete kuminwe apopene nempepo yamuleka, aimine nokutampa ukubatangata.
280810007d	Ikyungulo, abantu abengi abakwete ingulu babaletele kuli Yesu. Yesu atamfisye ingulu kwisiwi nokundapa bonse abali nabalwala.
2808110066	Ifi fyakitike pakufikilisya ifyalandile kasesema Esaya ukuti, “Aundepe amalwele yesu nokutuposya.”
2808120061	Nomba lintu Yesu amwene ibumba lyamukolongana aebele abasambi bakwe ukwabukila busilya bwamumana.
2808130077	Kafundisya wamafunde aisile kuli ena nokumweba ukuti, “Mwekafundisya, ningipekanya ukuya nemwe konse kuntu muleya.”
280814008e	Kabili Yesu amwaswike ukuti, “Bamumbwe balikwata amendo, kabili nefyoni fyalikwata ifinsa lelo Umwana Wamuntu takwata apakusamina umutwe.”
2808150064	Naumbi uwali umusambi alandile kuli ena ukuti, “Wemfumu, leka mbale mbwelelemo ndeyasika taata.”
2808160051	Lelo Yesu amwaswike ukuti, “Nkonka, kabili leka abafwa basike abafwa banabo.”
2808170042	Kabili nalintu Yesu apateme mubwato, abasambi bakwe balimukonkole.
280818005a	Apopene akashululu kaima pamumana namaputa yalapumaula kubwato, Yesu ena ninsi ali mutulo.
280819005d	Abasambi baile kuli Yesu mukumusibusya. Bamwebele ukuti, “Tupususwye we Mfumu, twalafwa!”
28081a0080	Yesu abaswike ukuti, “Kinsi muletiina, mwebakitetekelo ikinono!” Aimine nokukalipila umwela namaputa, kabili kwali icilenga.
28081b0071	Abasambi balipapile, nokulanda ukuti, “Busye muntu wamusango syani uyu? Nomwela namaputa nafyo filemumfwila!”
28081c00c8	Lintu Yesu afikile busilya bwamumana, kukyalo kyabena Gadara, bamukumenye kubantu babili abafumine mumanda. Aba bantu balikwete ingulu kabili bali nabakalipa ikyakuti tapali abalepita kuli ilya nsila.
28081d008d	Palyapene balapunda ukuti, “Nifinsi ulefwaya kuli fwebo, Wemwana wakwa Lesa? Busye waisa mukutukanda ilyo insita yapekanisiwa tailafika?”
28081e0043	Nomba akatalamukilafye kwali umukuni uwankumba uukalamba isyalelya.
28081f0057	Kabili ingulu syapapete Yesu ukuti, “Ngawalatutamfyamo, ututume mumukuni wankumba.”
280820009b	Kabili Yesu asyebele ukuti, “Kabiyeni,” Syafumine nokuya mumukuni wankumba kabili nomukuni wa nkumba watentemukila mumukonko wayawila mumumana nokufwa.
2808210079	Abantu abalesunga inkumba, balibutwike, baile mumusumba, mukulondolola ilyasi lyonse nefyakitike kubantu abakwete ingulu.
280822005d	Bonse mumusumba baile mukukumanya Yesu, lintu bamumwene bamupapete ukuti afume mukyalo kyabo.
2809010043	Yesu apatame mubwato nokubwelela busilya bwamumana kumusumba wakwe.
28090200b8	Abantu bamo baletele kuli ena uwabulebe ninsi nalala pabutanda. Kabili lintu Yesu amwene ikitetekelo bakwete, aebele uwabulebe ukuti, “Sipa, wemwana wandi! Imembu syobe syaelelwa.”
280903005c	Pali ifi, bakafundisya bamafunde bayebele abene beka ukuti, “Uyu muntu alepontela Lesa!”
2809040067	Lelo Yesu ikyo alisibe amatontonkanyo yabo, abepwisye ukuti, “Nikinsi muletontonkanisisya ifyabubifi?
280905006c	Busye kinsi kyayangukapo pakulanda ati, ‘Imembu syobe syaelelwa’ nangu ukulanda ati, ‘Ima nokwenda’?
28090600a0	Lelo nalamilangisya nomba ukuti Umwana wa Muntu alikwata amaka yakwelela imembu.” Eikyo aebele uwabulebe ukuti, “Ima, piita ubutanda bobe kabiye kuŋanda”
280907001d	Kabili alimine nokuya kwakwe.
280908005b	Lintu abantu bamwene ifi, bakwetwe umwenso, kabili balumbenye Lesa pakupeela amaka kubantu.
28090900a7	Lintu Yesu afumine kuli ilya nkende, amwene kasonkesya wamusonko, wesina lya Mateyo, naikala muntu alebombela. Amwebele ukuti, “Nkonka.” Mateyo aimine nokumukonka.
28090a0089	Kabili ilyo Yesu alelya muŋanda yakwa Mateyo, bakasonkesya bamusonko abengi nababembu baisile yamba ukulya na Yesu kumo nabasambi bakwe.
28090b0097	Lintu Abafalise bamo bamwene ifi, baipwisye abasambi bakwe ukuti, “Kinsi Kafundisya wenu aliila pamo nabakasonkesya wamusonko elo nababembu bambi?”
28090c0062	Lelo lintu Yesu abomfwile abaswike ukuti, “Abantu abatuntulu tabakabila shiŋanga kano abalwele.
28090d007b	Kabiyeni musambilile umwalola ifi, ‘Nkabila uluse, telambo.’ Pantu nsyaisa mukwita abalungami lelo nakonka ababembu.”
28090e0090	Elo abasambi bakwa Yohani kabatisya baisile kuli Yesu nokumwipusya ati, “Nikinsi fwebo naba Falise tufungila, lelo abasambi bobe tabafunga?”
28090f00ba	Yesu abaswike ukuti, “Busye insindisi syakwa sibwinga kuti syaba syani nobulanda ilyo sikili nasibwinga? Lelo insita ikafika ilyo sibwinga akapiitwa pali bena lyena bakalafunga ukulya.
2809100073	“Takwaba uubika ikikamba ikipya pansalu yakale, pantu ikikamba kipya kuti kyalepula insalu nekipunda kyakulilako.
28091100c3	Nangu ukubika umwangasi uusilabila munyambi isikote, umusango inyambi kuti syapuuka, umwangasi wapongoloka nenyambi syaonaika. Lelo babika umwangasi munyambi isipya epakupususya fyonse fibili.”
28091200c2	Yesu palya akili alelanda ifi, kwaisile intungulusi yaba Yuda kuli ena, yamufukamina nokulanda ukuti, “Umwana wandi afwafye ililine, nomba twende umutambalikepo amaboko kabili alaba nomweo.”
280913003f	Eikyo Yesu aimine nokumukonka kabili nabasambi bakwe baile nao.
2809140076	Umwanakasi uwalekyusiwa nomukunko pamyaka ikumi limo naibili aisile kunuma yakwa Yesu, nokukumya kupela yansalu yakwe.
2809150047	Aebele mumutima wakwe ukuti, “Nganakumyafye kunsalu yakwe ndepola.”
280916009a	Yesu apilibwike nokumona, alandile ati, “Sipa wemwana wandi umwanakasi,” “Ikitetekelo kyobe kyakuposya.” Pali ilya ine nsita umwanakasi alipolele.
280917006e	Yesu aingile muŋanda yantungulusi yaba Yuda. Lintu amwene abalelisya imitolilo nebumba lyabantu abalelolosya,
280918005f	alandile ukuti, “Bonse fumineni panse! Uyu mukasyana tafwile alelefye!” Elo bonse bamuseka.
2809190050	Lelo lilyafye abantu bafuma panse, aingile ayamukwata pakuboko, kabili nao aima.
28091a0039	Ilyasi lyapali ifi lyasabankene muli ilya nkende yakyalo.
28091b0091	Yesu afumine kuli ilya kende, kabili kilya aleya, abaume babili impofu batampile ukumukonka. Bapundile ukuti, “Mwana Davidi, tubelele uluse!”
28091c00a3	Lintu Yesu aingile muŋanda, impofu syaisile kuli ena, kabili nao asipwisye ukuti, “Busye namusumina ati, kuti nakitefi?” Bayaswike ukuti, “Eee, Mwemfumu?”
28091d0059	Yesu aikete amenso yabo nokulanda ukuti, “Nakikitwe, ukulingana ne kitetekelo kyenu!”
28091e0057	Kabili namenso yabo yaliswike. Yesu abasokele ukuti, “Mwiebako nangu umo pali ifi!”
28091f0045	Lelo bailesabankanya ilyasi pali Yesu muli ilya nkende yakyalo yonse.
280920005b	Lintu abaume babili baleya, baletele umuntu uusyalelanda kuli Yesu pantu alikwete ikibanda.
28092100a9	Kabili lintu ikibanda kyantafiwe muli ena, umuntu usyalelanda atampile ukulanda, kabili nabonse balisungwike. Bapundile ukuti, “Tatwatala monapo ifyaifi mu Israeli!”
280922005d	Lelo Abafalise balandile ukuti, “Mukalamba wafibanda eumupele amaka yakutamfya ifibanda.”
28092300a0	Kabili Yesu aile aletandala mumisumba yonse nemisi. Afundisye mumasinagogi, abilile Imbila Nsuma yabufumu, nokundapa abantu abalwele amalwele yamisango misango.
2809240078	Lintu amwene ibumba lyabantu aiketwe nobulanda, pantu baali nabasakamana, ababula uwakubafwa ngempaanga isyabula kacema.
280925004b	Aebele abasambi bakwe ukuti, “Ubusombosi bukalamba, lelo ababomfi banono.
2809260048	Pepeni kuli Lesa wabusombosi ukuti atume ababomfi abengi mukusombola.”
280a01007f	Yesu aitile abasambi bakwe ikumi limo nababili nokubapa amaka yakutamfya umipasi yakowela nokundapa amalwele yamisango misango.
280a020084	Aya emasina ya batumwa ikumi limo na babili, Simoni (uwaleitwa Petelo) na munyina Andereya, Yakobo na munyina Yohani bamwana Zebede,
280a03005e	Filipi na Batolomeo, Tomasi na Mateyo kasonkesya wamusonko, Yakobo mwana Alufeya, na Tadeyasi,
280a04003b	Simoni umwina kenani, na Yudasi Isikalyoti uwafutwike Yesu.
280a050073	Yesu atumine aba batumwa ikumi limo nababili nokubeba ukuti, “Mwilaya ku benafyalo na mumisumba ya bena Samaliya.
280a06003c	Lelo muleya ku mpaanga isyaluba isya muŋanda yakwa Israeli.
280a070043	Kabili mukalesimikila ukuti, ‘Ubufumu bwakwa Lesa buli mupepi!’
280a08009f	Mukaleundapa abalwele, mukalebusya abafwa, mukaleundapa abafibasi, nokutamfya ifibanda. Mwapokelela ukwabula ukulipila, eikyo mukalepela ukwabula ukulipilisya.
280a090051	Mwipiita ulupiya ululi lonse ulwa Siufele, golide nangu ulwa kyela mumifuko yenu,
280a0a0068	mwipiita akacola nangu imikansu ibili, insapato nangu inkonto. Ababomfi bafwile bapelwa fintu balefwaya.
280a0b007e	“Kabili onse umusumba nangu umusi untu mwayamo, fwayenimo umuntu uulingile, mukaleikala nao mpaka mukafume muli ilya nkende.
280a0c003d	Ngamwaya paŋanda, mulelanda ukuti, ‘Umutende ube nemwe.’
280a0d007e	Muli iyo ŋanda nga bamipokelela, lekeni umutende wenu ube paŋanda, lelo nga bakana ukumipokelela umutende wenu umibwelelele.
280a0e008a	Kabili umo ngakana ukumipokelela nangu ukumfwa ku masiwi yenu, kunteni ulukungu kunkasa syenu nokufuma muli ulya musumba nangu iyo ŋanda.
280a0f007e	Ndemyeba ikinsika ati pabusiku bwabupingusi, Lesa akalangapo uluse ulukulu ku bantu bamu Sodoma na Gomora ukukila uyo musumba.
280a100061	“Moneni! Namituma nge mpaanga pakati ka mimbulu. Mukengele nge nsoka kabili mufuuke nge nkunda.
280a11005d	Mukengele ku bantu, pantu bakamikwata nokumitwala mufilye, kabili bakamilopola mu masinagogi.
280a120064	Pamulandu wandi bakamitwala kubalasi nakuli basyamfumu, mukuba bakambone kuli beena, naku Benafyalo.
280a130074	Lelo ngabamikwata, mwikasakamana pafyo mukalanda nangu ifyo mukafilanda, lintu insita ikafika mukapelwa ifyakulanda.
280a14005e	Pantu amasiwi mukalanda tayakabe yenu, yakafuma ku mupasi wakwa Wisinwe ukalalanda muli mwebo.
280a150065	“Munina akepaisya munina, nawisi akakita fimofine kubana, nabaana nabo bakemina wisi nokumwipaisya.
280a160066	Kabili mukapatwa kuli bonse pamulandu nesina lyandi. Lelo onse ukasipikisya ukufika kumpela akapusuka.
280a170096	Ngabamipakasa mu musumba umo, butukileni muli umbi. Ndemyeba ukuti tamwakapwisye umulimo wenu mumisumba yonse iyamu Israeli ninsi Umwana Wamuntu aisa.
280a180046	“Umusambi tekuti akile kafundisya, umubomfi teti akile imfumu yakwe.
280a1900a2	Umusambi kuti afika pakuba nga kafudisya nomubomfi nge mfumu. Ngakyakuti umutwe wa ŋanda baleewita ukuti Beleezebu, abamuŋanda bakabeta amasina ayabi ukukilapo!
280a1a005e	“Mwilabatiina, pantu takuli ikyafimbwapo ikisyakasokoloke, nangu ikyafisama ikisyakesibikwe.
280a1b006f	Ifyo ndemyeba mumfimfi mukafilande palubuto, nafyonse mwaumfwa mukumisonga imwe mukalefilanda pamulu wa ŋanda.
280a1c0075	Kabili mwilatiina abepaya umubili lelo teti bepaye umweo, lelo muletiina uwingonaula fyonse umubili nomweo mu Gehena.
280a1d007a	Busye utupele tubili tatusitisiwa nolupiya lumo? Lelo tapali nangu kamo akengapona pansi ukwabula ubufwayo bwakwa Wisinwe.
280a1e0028	Imwe nemisisi yakumitwe yenu yalipendwa.
280a1f0032	Eikyo mwilatiina, pantu mwalikila utupele utwingi!
280a200062	“Bonse abalanda palwalala ukuti baba nanebo, nanebo nkakita fimofine pamenso yakwa Taata mumulu.
280a21004a	Lelo onse uwankana pamenso ya bantu, nkamukana pamenso yakwa Taata mumulu.
280a22006c	Mwilatontonkanya ukuti naisa mukuleta umutende pesonde iyoo, nsyaisa mukuleta umutende lelo naleta ulupanga.
280a230063	Naisa mukupusanya umwana umwaume nawisi, umwana umwanakasi nanyina, umuko umwanakasi nanyina fyala,
280a240033	kabili abalwani ba muntu, bakaba ba muŋanda yakwe.
280a250088	“Onse uwatemwa wisi nanyina ukukila nebo tandingile, kabili naonse uwatemwa umwana wakwe umwaume no mwanakasi ukukila nebo tandingile.
280a26004a	Onse usipiita umusalaba wakwe no kunkonka, talingile ukuba umusambi wandi.
280a270060	Onse uwasanga umweo wakwe akaulufya, kabili onse uwalufya umweo wakwe pamulandu wandi akausanga.
280a280060	“Onse uwamipokelela ninsi apokelela nebo, kabili naonse uwampokelela ninsi apokelela uwantuma.
280a2900c9	Onse uwapokelela kasesema pamulandu wakuti ni kasesema, akapokelela ikilambu kyakwa kasesema, kabili naonse uwapokelela umuntu umulungami pamulandu wakuti mulungami, akapokelela ikilambu kya mulungami.
280a2a00a0	Kabili naonse uwapeela kamo pali utu twaike ulukombo lwamensi yatalala pamulandu wakuti kamusambi kandi, ndemyeba ikinekine nati akapokelapo ikilambu kyakwe.”
280b0100a0	Lintu Yesu apwiile ukulangilila abasambi bakwe ikumi limo nababili ifyakukonka, afumine kuli ilya nkende nokuya mukufundsiya nokusimikila mumisumba yamu Galili.
280b020077	Nomba lintu Yohani Kabatisya mukifungo aumfwile pafintu fyonse Klistu aleekita, atumineko abasambi bakwe bamo kuli ena.
280b03004c	Baipwisye Yesu ukuti, “Busye niwebo uuli nokwisa nangu tuloleleko umbi?”
280b04004a	Yesu ayaswike ukuti, “Kamwebeni Yohani fintu muleumfwa nafintu mulemona,
280b05008d	impofu silemona, ifilema fileyenda, abafibasi balepola, bankomya matwi baleumfwa, abafwa balebusiwa, kabili ne Mbila Nsuma ilebilwa kubabusu.
280b060028	Alipalwa uusiipununa pamulandu wandi!”
280b0700bb	Lintu abasambi bakwa Yohani baile, Yesu atampile ukulanda pali Yohani kwi bumba ukuti, “Lintu mwaile kuli Yohani mukiswebebe, kinsi mwaleenekela ukumona? Busye litete lilepunga kumwela?
280b080070	Busye kinsi mwaile mukumona? Busye muntu uwafwele insalu syabusaka? Iyoo abantu abafwala ifyo bekala ku kipango!
280b090067	Busye kinsi mwaile mukumona? Busye nikasesema? Ee, lelo ndemyeba ukuti, mwamwene uwakila pali kasesema.
280b0a0076	Yohani emuntu amalembo yalandapo ukuti, ‘Moneni, nkatuma intumi yandi iyakuntangilila, iyakukupekanisisya insila.’
280b0b007f	Ndemyeba ukuti Yohani mukalamba ukukila bonse abaikalapo pakyalo. Lelo uwakepesya Mubufumu bwa mumulu mukalamba ukukila Yohani.
280b0c0079	Ukufuma pansita yakwa Yohani Kabatisya ukufika nandakai Ubufumu bwamumulu bwaba bwakulwila, nababulwila pamaka ebabupoka.
280b0d0040	Pantu bakasesema bonse namafunde yalesesema ukufika pali Yohani,
280b0e0053	ngamulefwaya ukusumina imbila yabo, Yohani ni Eliya uo balandile ukuti ali nokwisa.
280b0f0013	Uuli namatwi omfwe!
280b10007f	“Nomba, busye nipii ningapasyanya ino nkulo? Ili nga baike abaleyangala pakisankano. Ibumba limo lilebilisya ilinankwe ukuti,
280b110064	‘Twalimilisisye inyimbo syapa bwinga, lelo tamwakindile! Twalimimbile cilolo, lelo tamwalilile!’
280b120063	Pantu lintu Yohani aisile talelya nokunwa, kabili nabonse balandile ukuti, ‘Alikwata ikibanda!’
280b1300eb	Lintu Umwana Wamuntu aisile aliliile nokunwa, kabili bonse balandile ukuti, ‘Moneni uyu muntu, alalisya, kabili alanwa, nikibusa wabakasonkesya bamusonko na babembu!’ Nomba ifikitwa fyamano yakwa Lesa filasinina ukuti wakisinka.”
280b140059	Yesu atampile ukwebaula imisumba umo akitile ifipesyamano ifingi, lelo abantu tabalapile.
280b1500bb	“Walisyama, we Chorazini! Walisyama, we Betisaida! Ifisugusyo ifyakitwa muli webo fingakitwa mu Tare nangu Sidoni, abantu bamulya ngabalilapile akale mukufwala ifilanga nokuisuba imito!
280b160071	Ndemyeba ukuti pabusiku bwa Bupingusi Lesa akalangapo uluse ulukalamba kubantu bamu Tare na Sidoni ukukila mwebo!
280b1700a0	Kabili nawe Kapenamu! Busye walefwaya ukuisansabika ukufika mumulu? Ukaposwa ku Gehena! Ifisungusyo fyakitilwe muli webo fingakitwa mu Sodoma nandakai ngepoili!
280b180062	Eikyo ndemyeba ukuti Pabusiku bwa bupingusi Lesa akalangapo sodoma uluse ulukulu ukukila mwebo!”
280b1900a6	Pali iyoine nsita Yesu aebele ukuti, “Mwetaata, Imfumu ya mumulu napesonde! Namitotela pantu ifi fintu mwalififisa kubamano naku basambilila, mwafisokolola ku bana.
280b1a0024	Ee, Mwetata ifi fyali bufwayo bwenu.
280b1b00a3	“Tata alimpela ifintu fyonse. Kabili takwaba uwaisiba Umwana kanofye Wisi, kabili takwaba uwaisiba Wisi kanofye Umwana nabo bonse abo Umwana aasala ukusokolwela.
280b1c0054	“Iseni kuli nebo, mwebacucutika, namweba fininwa nefisendo, nalamipeela ukutuusya.
280b1d0080	Piteeni ikoli lyandi, kabili nokusambilila kuli nebo, pantu ndiwamutembo kabili nalifuuka mu mutima, kabili mukasanga ukutuusya.
280b1e003f	Pantu ikoli lyandi talyayafya, nekisendo kyandi kyalyanguka.”
280c010091	Yesu na basambi bakwe baaleyenda mwibala lya ŋano Pesabata. Abasambi bakwe bayambile ukusaba imisonso ya ŋano balalya pantu balyumfwile insala.
280c020076	Lelo lintu Abafalise bamwene ifi baebele Yesu ukuti, “Mona, abasambi bobe balekita ifyakanisiwa ukukita Pesabata!”
280c030067	Yesu ayaswike ukuti, “Busye tamwabelenga fintu Davidi akiitile na bantu bakwe lintu baumfwile insala?
280c0400b6	Aingile muŋanda yakwa Lesa na bantu bakwe nokulya umukate wapelwe kuli Lesa, nanguline takyali nakisuminisiwa mumafunde bena ukulya, kanofye basimapepo ebaali nabasuminisiwa ukulya.
280c05009a	Nangu busye tamwabelenga mwifunde ukuti basimapepo bamwi Tempele abalebomba pe Sabata bakaana ukusunga ikyebo kya pabusiku bwe Sabata, lelo bali abakaele?
280c06002c	Ndemyeba ukuti pano pali uwakila pe Tempele.
280c070062	Mwingesiba umwalola ukuti, ‘Ine mfwaya uluse telambo lyanama.’ Ngatamupeela abakaele imilandu,
280c08002b	pantu Umwana Wamuntu ni Mfumu ye Sabata.”
280c09003e	Yesu afumine kuli ilya nkende nokuya ingila mu sinagogi lyabo,
280c0a008d	kabili kwali umuntu uwali nekisansa kyalemana. Baipwisye Yesu ukuti, “Busye kyalisuminisiwa ukundapa Pesebata?” Pakuti bamupele umulandu.
280c0b0077	Yesu ayaswike ukuti, “Ngakyakuti umo pali mwebo nakwata Impaanga elo yawila mukikulo Pesabata, busye tekuti ailobole?
280c0c0068	Busye umuntu takindamapo ukukila Impaanga! Eikyo kyalisuminisiwa ukukita ikisuma pabusiku bwe Sabata.”
280c0d0079	Elo aebele umuntu ukuti, “Tambalika ukuboko kobe.” Umuntu atambalike ukuboko, kabili kwalipolele nga kumbi ukwasyala.
280c0e0037	Elo Abafalise bafuma baya mukumfwana ifya kwipaya Yesu.
280c0f007c	Ikyo Yesu alisibe amapange yabo, alifumine kuli ilya nkende, kabili ne bumba ilikalamba lyalimukonkele nao alibondepe bonse.
280c10002a	Alibasokele ukuti beyebako bambi pali ena.
280c110037	Ifi fyali kufikilisya ifyalandile kasesema Ezaya ukuti,
280c12008a	“Uyu emubomfi wandi, uo nasala, uo natemwa, kabili uo mbekelwamo. Nkabika Umupasi wandi pali ena, kabili akasimikila ubupingusi kufyalo.
280c13004c	Takalekita fikansa nangu ukupuunda, tapakabe uukomfwa isiwi lyakwe mumisebo.
280c14005c	Takafunaule itete ilyafwantwa, nangu ukusimya ulukuni ululepya. Mpaka umulinganya ukakimfye,
280c15002b	kabili ifyalo fikabika isubilo muli ena.”
280c160084	Baletele kuli Yesu umuntu uwali impofu kabili talelelanda pantu alikwete ifibanda. Nao Yesu aundepe umuntu ayamba ukumona nokulanda.
280c17006d	Ibumba lyonse lyalipapile pali fintu Yesu akiitile. Baipwisye ukuti, “Busye kuti aba Mwana wakwa Davidi?”
280c18008f	Lintu Abafalise bena baumfwile ifi bayaswike ukuti, “Atamfya ifibanda pamulandu umukalamba wafibanda Belezebu alamupeela amaka yakutamfya.”
280c1900d0	Yesu alisibe fintu baletontonkanya eikyo abebele ukuti, “Ubufumu bonse ngabwayakanika nokwamba ukuilwisya teti bwiminine. Kabili nomusumba nangu ulupwa ulwayakanika mu mabumba nokwamba ukuilwisya lukonaika.
280c1a006e	Kansi Satana ngakuti atamfya Satana ninsi aimina umwine eka. Nomba busye ubufumu bwakwe kuti bwaiminina syani?
280c1b0074	Ngantamfya ingulu ukubomfya Belezebu. Kansi ngabana benu bena batamfisya mu maka yakwani? Abana benu ebakamipingula!
280c1c005f	Umupasi wakwa Lesa ngeumpa amaka yakutamfya ingulu ninsi Ubufumu bwakwa Lesa nabwisa palimwebo.
280c1d0095	“Takuli umuntu uwingengilila umuntu uwamaka nokupiita ifyuma fyakwe, kano ayambilapo ukukaka umuntu uwamaka, elo engengila nokupiita ifyuma fyakwe.
280c1e0052	“Onse usyaba nanebo ninsi mulwani, usingafwa ukukolonganika ninsi alasalanganya.
280c1f007e	Kabili ndemyeba ukuti abantu kuti baelelwa imembu syonse nefyabubifi balaanda, lelo onse uwapontela Mupasi wamusilo takelelwe.
280c20007f	Nowalanda amasiwi yamusalalula pa Mwana Wamuntu kuti aelelwa, lelo uwapontela Mupasi Wamusilo takelelwe pali ndakai nomuyayaya.
280c21008c	“Pakukwata ikitwalo ikisuma kukwata ikimuti ikisuma, ngokwete ikimuti ikibi ukakwata ikitwalo ikibi. Ikimuti bakisibila kufitwalo kitwala.
280c220066	Mwensonka mwe! Kuti mwalanda syani ifintu ifisuma mwe babifi? Pantu akanwa kalanda ifyaisula mumutima.
280c23007e	Umuntu umusuma afumya ifintu ifisuma ifyamukipao kyakwe ikisuma, kabili nomubifi afumya ifintu ifibi ifyamukipao kyakwe ikibi.
280c24006f	Lelo Ndimukumyeba ukuti, pabusiku bwa bupingusi umuntu onse akalubulula pesiwi lyonse ilyabula ubuyo aalandapo.
280c25005d	Amasiwi yenu yakabomfesiwa mukumipingula, kukulanda ati muli bakaele nangu muli bamilandu.”
280c260078	Elo bakafundisya Bamafunde naba Falise bamo baeba Yesu ukuti, “Wekafundisya, Tulefwaya ukumona ikisibilo kuli webo.”
280c2700a4	Lelo Yesu abaswike ukuti, “Inkulo iyabubifi kabili iyabukende ilomba ikisibilo, lelo tapali ikisibilo ikikapelwa kuli yena ukukila ikisibilo kyakwa kasesema Yona.
280c280090	Filyafine Yona apwiile insiku sitatu, ubusiku nakasuba munda yakisabi, efintu no Mwana Wamuntu akapwa insiku sitatu, ubusiku nakasuba mu musili.
280c2900bf	Pabusiku bwa bupingusi abantu baku Ninive bakeminina nokumipa umulandu, pantu balilapile imembu syabo lintu baumfwile Yona alesimikila, nomba ndemyeba nati, pano pali umukalamba ukukila Yona!
280c2a00df	Pabusiku bwa bupingusi Namfumu waku Sheba akeminina nokumipa umulandu, pantu alyendele ukufuma kukyalo kyakwe ukwisa umfwa kumafundisyo ayamano ku mfumu Solomoni, kabili ndemyeba nati, pano pali umukalamba ukukila Solomoni!
280c2b0073	“Ilyo umupasi wakowela wafuma mumuntu, ulaya ulelulumba umwabula amensi mukufwaya umwakutuusya kabili taumusanga.
280c2c0092	Uyeba uwine weka ukuti, ‘Nalabwelela muŋanda yandi.’ Ilyo wabwelelamo nokusanga tamuli nangu kimo, namupyangwa, nabamubika bwino, umwabusaka.
280c2d00dc	Ulaya wayapiita imipasi simbi isili kinelubali isyabipisyapo ukuukila, nokwisa ikala mulya. Nomba imibeele yabumi bwaulya muntu, iya pakulekelesya yabipisyapo ukukila iyantansi. Ifi efikakitika kuli ino nkulo iyibifi.”
280c2e0075	Lintu Yesu aalelanda na bantu, nyina na bamunyina bakwa Yesu balifikile. Baiminine panse balefwaya ukuti balande nao.
280c2f006a	Umo pa bantu abaali kulya amwebele ukuti, “Banoko na bamunoko beminine panse balefwaya ukulanda nobe.”
280c30004f	Yesu amwaswike ukuti, “Busye bamayo nibani? Nangu bamuninane bandi nibani?”
280c310050	Elo asonta pabasambi bakwe nokulanda ukuti, “Moneni! Aba ebamayo nabamuninane!
280c32004b	Onse uukita ubufwayo bwakwa Taata emuninane, enkansi yandi kabili emayo.”
280d01004c	Bulyabwine busiku Yesu afumine muŋanda nokuya mumbali ya mumana eko aikele.
280d020072	Ibumba ilikalamba lyalimukolongene ikyakuti apateme mubwato emo aikala, kabili nebumba lyonse lyaiminine kunshiko.
280d03004a	Abebele ifintu ifingi mumilumbe ukuti, “Katanda wa mbuto aile mukutanda.
280d040054	Nalintu atandile, imbuto simo syaponene mumbali yansila, kabili nefyoni fyaisilelya.
280d05007e	Simbi syaponene pansakalabwe, apaali iloba ilinono, inseke syatampile ukumena bwangu bwangu pantu umusili tawaile saana pansi.
280d060051	Lelo lintu akasuba katulile, fyonse fyalipile nokubonsa pantu tafyakwete imisila.
280d070042	Simbi syaponene mu myunga. Imyunga syalikulile nokwisa sitabilila.
280d0800a1	Lelo simbi syaponene mu musili uusuma, kabili syalikulile nokutwala ifisabo, imiku umwanda umo, simbi amakumi mutanda, nasimbi amakumi yatatu ukukila isyabyelwe.
280d09001d	“Uukwete amatwi naomfwe!”
280d0a005a	Elo abasambi baisile kuli Yesu bamwipusya ukuti, “Nikinsi ulandila nabantu mumilumbe?”
280d0b0068	Yesu abaswike ukuti, Pantu ukwisiba inkama ya bufumu bwa mumulu kwalipelwa kuli mwebo, lelo tekuli bena.
280d0c009b	Pantu umuntu uwakwatapo fimo akapelelwapo nafimbi, pakweba ati akakwate ifingi ukukilapo, lelo umuntu usyakwata nangu kimo akapokwa na kanono kantu akwata.
280d0d0074	Ifi efintu ndandila nabo mumilumbe, “Pakuti balolesye, lelo ukwabula ukumona kabili bomfwe lelo ukwabula ukwiluka.
280d0e0089	Ubusesemo bwakwa kasesema Esaya bwalifikilisye kuli bena ukuti, “‘Mukomfwa lelo ukwabula ukwiluka, mukalolesya lelo ukwabula ukumona,
