010000000a	Yaritilish
05151500c5	Shuning bilen sheherning hemme xelqi bir bolup uni chalma-kések qilip öltürsun. Siler bu yol bilen özünglardin rezillikni chiqiriwétisiler; pütkül Israil bu ishni anglap qorqidighan bolidu.
051516007a	Eger birsi ölüm jazasigha layiq gunah sadir qilip, öltürülgen bolsa we jesitini bir derexke ésip qoyghan bolsanglar,
051517013c	ölüki kéchiche derexte qalmisun; qandaqla bolmisun, siler derexke ésilghuchini shu künde kömüwétinglar (chünki kimdekim [derexke] ésilghan bolsa, Xuda teripidin lenetke qaldurulghan kishi hésablinidu). Shundaq qilsanglar, Perwerdigar Xudayinglar silerge miras qilip bergen zéminni bulghimighan bolisiler.
051601009a	Sen qérindishingning kalisi ya qoyi ézip ketkinini körseng, chatiqing bolmay yürme; qandaqla bolmisun, uni qérindishingning qéshigha yetküzüp ber.
05160200c2	Egerde qérindishing sanga yéqin olturmisa we yaki igisini tonumisang, shu haywanni öz öyüngge élip kélip, qérindishing uni izdep kelgüche özüng saqlap andin uninggha tapshurup bergin.
05160300c4	Sen oxshashla uning yitken éshiki yaki kiyimlirinimu shundaq qil; shundaqla qérindishingning herqandaq yitken nersisini tépiwalsang, unimu shundaq qilghin; sen özüngni bu ishtin qachurmighin.
05160400b6	Eger qérindishingning éshiki yaki kalisining yolda yiqilip chüshkinini körseng, sen bu ehwaldin özüngni qachurmighin; qérindishinggha yardemliship ulighini tartip turghuzghin.
05160500be	Ayal kishi bolsa erlerning kiyimini kiymisun; shuninggha oxshashla er kishi ayal kishining kiyimini kiymisun; chünki kimki shundaq qilsa, Perwerdigar Xudayingning aldida yirginchlik bolidu.
05160600c1	Eger sen yolda kétiwétip, bir derexte yaki yerde baliliri yaki tuxumliri bolghan qushning uwisigha uchrisang, anisi tuxum yaki balilirini bésip yatqan bolsa, ana-balilirini biraqla almighin;
051607007e	héch bolmighanda sen anisini qoyuwétip, balilirinila alsang bolidu; shundaq qilsang sanga yaxshi bolup uzun ömür körisen.
051608009d	Yéngi bir öy salsang, ögzengge bir tosma tam yasighin; bolmisa birsi uningdin yiqilip chüshse, özüngge qan tökülüsh gunahini keltürüshüng mumkin.
0516090090	Öz üzümzarliqinggha ikki xil uruq chachmighin; bolmisa térighiningning hemmisi we üzümzarliqning mehsulatliri bulghan’ghan hésablinidu.
05160a0034	Sen kala bilen éshekni birge qoshup yer heydimigin.
05160b0043	Yung we kanaptin ibaret ikki xil yiptin toqulghan kiyimni kiymigin.
05160c003c	Sen yépin’ghan tonungning töt burjikige pöpük qoyghin.
05160d0052	Eger biri xotun élip uninggha yéqinchiliq qilghandin kéyin uninggha öch bolup,
05160e009f	Uning yaman gépini qilip, uninggha betnam chaplap, erz qilip: «Men bu xotunni aldim, lékin uninggha yéqinchiliq qilsam uning qiz emeslikini bildim» dése,
05160f007a	undaqta qizning ata-anisi qizning pakliq ispatini élip sheher derwazisida olturghan sheherning aqsaqallirigha keltürsun,
051610007d	andin qizning atisi aqsaqallargha söz qilip: «Men qizimni bu kishige xotunluqqa berdim, lékin u uninggha öch bolup qaldi;
05161100c8	we mana, u uning yaman gépini qilip, betnam chaplap erz qilip: «Qizingning qiz emeslikini bildim» deydu. Biraq mana qizimning pakliq ispati!» dep, ispat rextni aqsaqallarning aldida yéyip qoysun.
051612004c	U waqitta sheherning aqsaqalliri érini tutup uninggha tayaq-terbiye bérip,
0516130113	Israildiki bir pak qizning yaman gépini qilip, uninggha betnam chapliding dep, yüz shekel kümüsh töletsun; andin ular pulni qizning atisigha bersun dep békitsun. Emma qiz bolsa shu kishining xotuni bolup turuwérishi kérek; er pütün ömride uni qoyup berse bolmaydu.
051614003a	Lékin bu söz rast chiqip, qizning pakliq ispati bolmisa,
051615011b	qizni atisining öyining derwazisi aldigha aparsun we atisining öyide buzuqluq qilip Israilning ichide shermendilik qilghanliqi üchün uning shehirining ademliri shu yerde uni chalma-kések qilip öltürsun. Shundaq qilghininglarda siler özünglardin rezillikni chiqiriwétisiler.
05161600ac	Eger birsi éri bar xotun bilen zina qilip tutulup qalsa, zina qilishqan er-xotun ikkilisi öltürülsun. Shundaq qilghanda Israilning ichidin rezillikni chiqiriwétisiler.
051617005f	Eger birsi sheherde biraw bilen wediliship qoyghan bir qizni uchritip, uning bilen bille bolsa,
0516180111	ikkilisini sheherning derwazisigha élip chiqip chalma-kések qilip öltürünglar; qiz bolsa sheherde turup warqirimighini üchün, er bolsa bashqisining wedileshken qizi bilen yatqini üchün öltürülsun. Shundaq qilip, siler özünglardin rezillikni chiqiriwétisiler.
0516190090	Eger er kishi bashqisi bilen wedileshken qizni dalada uchritip, uni tutuwélip uning bilen yatsa, peqet qiz bilen yatqan er kishi öltürülsun.
05161a00ad	Qizgha bolsa, héchnéme qilmanglar, chünki qizning özide ölümge layiq héch gunah yoq. Bu ish bolsa birsi qoshnisigha hujum qilip uni öltürwetken’ge oxshash ishtur.
05161b0078	Chünki u bashqisigha wedileshken qizni dalada tutuwalghanda, qiz towlighan bolsimu uni qutquzghudek kishi tépilmighan.
05161c0060	Eger birsi birer er bilen wedileshmigen qizni tutuwélip, uning bilen yétip her ikkisi tutulsa,
05161d00d8	qiz bilen yatqan adem qizgha yéqinchiliq qilip xar qilghini üchün qizning atisigha ellik shekel kümüsh bérishi kérek; andin qizni özige xotun qilip élishi kérek; u pütkül ömride uni qoyup berse bolmaydu.
05161e0054	Héchkim atisining xotunini almasliqi kérek, atisining yotqinini achmasliqi kérek.
0517010067	Kimki soqulush yaki késilish tüpeylidin axta qiliwétilgen bolsa, Perwerdigarning jamaitige kirmisun.
0517020092	Kimki haramdin tughulghan bolsa Perwerdigarning jamaitige kirelmes; oninchi ewladighiche mundaqlardin héchkim Perwerdigarning jamaitige kirmisun.
051703009b	Héchbir Ammoniy we ya héchbir Moabiy Perwerdigarning jamaitige kirmisun; oninchi ewladighiche ulardin héchkim Perwerdigarning jamaitige hergiz kirmisun.
05170400d0	Seweb shuki, siler Misirdin chiqqininglarda ular aldinglargha yémeklik, su élip chiqmidi we silerge ziyankeshlik qilishqa silerni qarghisun dep, Aram-Naharaimdiki Pétorluq Béorning oghli Balaamni yallidi.
05170500b7	Lékin Perwerdigar Xudayinglar bolsa Balaamning sözini anglimay, belki siler üchün qarghishni beriketke aylanduruwetti; chünki Perwerdigar Xudayinglar silerge muhebbet baghlighan.
0517060067	Siler hemme künliringlarda [Ammoniylar we Moabiylar]ning aman-ésenliki we bextini hergiz istimenglar.
05170700b9	Lékin Édomiylar qérindishinglar bolghach, ulargha nepret bilen qarimanglar. Misirliqlarghimu nepret bilen qarimanglar, chünki siler ularning zéminida musapir bolup turghanidinglar.
051708005f	Bularning üchinchi ewladidin tughulghan balilar Perwerdigarning ibadet jamaitige kirse bolidu.
051709005b	Düshmenliringge qarshi jengge chiqip chédir tikseng, herxil napakliqtin éhtiyat qilghin.
05170a0088	Eger aranglarda kéchisi birsi chüshide Sheytan atlap napak bolghan bolsa, u chédirgahdin chiqip ketsun; chédirgahqa udulla kirmisun;
05170b0050	kechqurun kirgende u sugha chüshüp, kün patqanda chédirgahgha yénip kirsun.
05170c0060	[Hajitinglar] üchün chédirgahning sirtida bir jayinglar bolsun; teretke shu yerge béringlar.
05170d0072	Saymanliring ichide bir gürjek bolsun; sen sirtta teretke oltursang, uning bilen orek kolap teritingni kömüwet.
05170e00f3	Chünki Perwerdigar Xudaying séni qutquzushqa, düshmenliringni aldinglargha tapshurushqa chédirgahing otturisida yüridu; shunga séning chédirgahing pak bolsun. Bolmisa U séningkide birer paskiniliq körse sendin ayrilip kétishi mumkin.
05170f004b	Öz xojisidin qéchip yéninggha kelgen qulni öz xojisigha tutup bermigin.
051710008f	U aranglarda siler bilen bille turup, qaysi sheherning derwazisi ichide qaysi yerni tallisa, shu yerde tursun. Siler uninggha zulum qilmanglar.
051711007d	Israilning qizlirining arisida héchbir pahishe bolmisun, Israilning oghullirining arisida héchbir pahishe hezilek bolmisun.
05171200c1	Bir qesemni beja keltürmek üchün Perwerdigar Xudayinglarning öyige pahishining pulini yaki hezilekning pulini keltürmigin; chünki bu ikkisi Perwerdigar Xudayingning aldida yirginchliktur.
05171300af	Siler öz qérindishinglardin ösüm almanglar; pulning ösümi bolsun, ashliqning ösümi bolsun yaki herqandaq ösüm alghudek bashqa nersining ösümini alsanglar bolmaydu.
05171400eb	Emma chetelliktin ösüm alsanglar bolidu, lékin qérindishinglardin héch ösüm almanglar. Shundaq qilsanglar Perwerdigar Xudayinglar siler uni igileshke kiridighan zéminda, qolliringlarning barliq emgikide silerge beriket béridu.
05171500ba	Sen Perwerdigar Xudaying aldida bir nersini atashqa qesem qilghan bolsang, uninggha emel qilishqa hayal qilma. Bolmisa, Perwerdigar Xudaying uni sendin telep qilghinida gunahkar bolisen.
0517160052	Lékin eger sen bir nersini atashqa qesem qilmisang, u sanga héch gunah bolmaydu.
051717009e	Aghzingdin chiqqan’gha emel qilghin; Perwerdigar Xudayinggha qesem qilip atighiningni, yeni aghzingning sözi boyiche ixtiyariy hediyengni sunushung kérek.
0517180065	Sen qoshnangning talliqigha kirseng xalighiningche yep toyun, emma qacha-quchanggha élip mangmighin.
0517190098	Qoshnangning pishqan ziraetlikige kirseng, qolung bilen ziraetning béshini üzüp alsang bolidu; emma qoshnangning ziraetlirige orghaq salghuchi bolma.
05180100cd	Eger birsi bir ayalni emrige alghandin kéyin uningda birer set ishni bilip, uningdin söyünmise, undaqta u talaq xétini pütüp, uning qoligha bérishi kérek; andin uni öz öyidin chiqiriwetse bolidu.
051802003e	Ayal uning öyidin chiqqandin kéyin bashqa erge tegse bolidu.
051803008f	Bu ikkinchi ermu uni yaman körüp, talaq xétini yézip qoligha bérip uni öz öyidin chiqiriwetse yaki uni alghan ikkinchi éri ölüp ketse
05180400f7	uni qoyup bergen awwalqi éri uni napak hésablap, ikkinchi qétim xotunluqqa almisun; chünki undaq qilsa, Perwerdigarning aldida yirginchlik ish bolidu. Sen Perwerdigar Xudaying sanga miras qilip béridighan zéminning üstige gunah yüklimigin.
05180500c3	Eger birkim yéngidin xotun alghan bolsa uninggha ne jengge chiqish, ne bashqa birer ishqa buyrulmisun; u belki alghan xotunini xush qilish üchün bir yilghiche erkin-azad bolup öyide oltursun.
0518060085	Héchkim yarghunchaq yaki tügmenning üsti téshini kapaletke almisun; chünki bu ish birsining hayatini kapaletke alghandek bolidu.
05180700d0	Eger birkim Israillardin bolghan qérindishining birini bulap kélip, uni quldek ishletse we yaki uni sétiwetse shu bulangchi öltürülsun; siler shundaq qilsanglar aranglardin rezillikni chiqiriwétisiler.
05180800c9	Pése-maxaw wabasi peyda bolsa, özünglargha pexes bolunglar, Lawiy kahinlarning silerge barliq körsetkinini qilinglar; men ulargha qandaq emr qilghan bolsam shuninggha köngül qoyup emel qilinglar.
0518090065	Misirdin chiqqininglarda Perwerdigar Xudayinglarning yolda Meryemge qandaq qilghinini eske élinglar.
05180a0056	Eger sen öz burader-qoshnanggha qerz berseng, kapalet élish üchün öyige kirmigin;
05180b006b	belki tashqirida turup tur; sanga qerzdar kishi özi sanga béridighan kapaletni tashqirigha élip chiqsun.
05180c0056	Shu kishi yoqsul bolsa sen uningdin kapaletke alghan [kiyimni] yépinip uxlimighaysen;
05180d00ee	Héch bolmighanda sen belki kapaletni kün patqanda uninggha qayturup bergin; shundaq qilsang u öz tonini yépinip uxlighanda, sanga bext-beriket tileydu. Shundaq qilsang bu ish sanga Perwerdigar Xudayingning aldida heqqaniyliq sanilidu.
05180e0088	Ajiz, namrat medikargha naheqliq qilma, meyli u qérindashliringlardin bolsun yaki yéza-sheherliringlarda turghan musapirlardin bolsun.
05180f00da	U namratliqtin öz heqqige intizar bolghachqa, u ishligen shu küni kün pétishtin burun heqqini choqum bergin; bolmisa, u séning toghrangda Perwerdigargha peryad kötüridu, bu ish gunah bolup béshinggha chüshidu.
05181000ba	Balilirining jinayiti üchün ata öltürülmisun, balilarmu atining jinayiti üchün öltürülmisun; belki jinayiti bar bolghan herbir kishi öz gunahi üchün ölüm jazasini tartsun.
051811006c	Sen musapir yaki yétim toghrisidiki hökümni burmilima; tul ayalning kiyim-kécheklirinimu kapaletke alma,
05181200b4	belki özüngning Misirda qul bolup Perwerdigar Xudaying séni shu yerdin hör qilip qutquzup kelginini yadinggha keltürgin. Shunga men sanga buninggha emel qilghin dep buyruymen.
0518130114	Sen étizliqingning hosulini yighqiningda bir bagh önchini untup qalghan bolsang, uni élip kélish üchün yénip barmighin; u önche musapir, yétim-yésir we tul xotun’gha tegsun. Shundaq qilghanda Perwerdigar Xudaying séning qolliringning barliq emgikini beriketleydu.
0518140088	Zeytun derixingni qaqqiningdin kéyin shaxlirida qalghanlirini qayta qaqma; qalduqliri musapir, yétim-yésir we tul xotun’gha tegsun.
0518150089	Üzümzarliqingning üzümlirini yighip bolghandin kéyin washang qilmighin. Qalduqliri musapir, yétim-yésir we tul xotun’gha tegsun.
0518160079	Özüngning Misir zéminida qul bolghiningni yadinggha keltürgin; shunga men sanga buninggha emel qilghin dep buyruymen.
05190100c2	Eger ikki kishi birnersini taliship qélip, höküm bérishni telep qilip sot aldigha kelse, undaqta soraqchilar dewagha höküm chiqirip heqdarni heq, gunahi bar ademni gunahkar dep jakarlisun.
0519020084	Eger gunahkar adem derrige layiq bolsa, soraqchi uni özining aldida yerge yatquzup, uning qilghan gunahigha layiq sanap derrilisun.
0519030080	Lékin peqet qiriq derrila urulsun; shuningdin ziyade urulmisun, köp urulsa shu qérindishing köz aldingda kemsitilgen bolidu.
0519040032	Sen xaman tépiwatqan kalining aghzini boghmighin.
0519050110	Eger bir yerde turidighan qérindash aka-inilarning biri bala yüzi körmey ölüp ketse, ölgen kishining ayali yat bir kishige tegmisun; belki uning érining birtughqan qérindishi uning qéshigha kirip uni xotunluqqa élip, birtughqan qérindashliq burchini ada qilsun;
051906006d	ölgen qérindishining ismi Israildin öchürülmesliki üchün ayalning tunji balisigha uning ismi qoyulsun.
0519070124	Lékin eger bu kishi yenggisini élishni xalimisa, yenggisi [sheher] derwazisidiki aqsaqallarning qéshigha bérip: «Érimning birtughqan qérindishi öz qérindishining ismini Israilda qaldurushqa unimidi; u men üchün birtughqan qérindashliq burchini ada qilishqa unimidi», dep éytsun.
0519080092	Andin uning shehiridiki aqsaqallar uni chaqirtip uninggha nesihet qilsun; eger u: «Men uni xotunluqqa élishni xalimaymen», dep ching turuwalsa,
05190900d5	yenggisi aqsaqallarning köz aldida uning qéshigha bérip, uning putidin keshini saldurup, yüzige tükürüp: «Bir tughqan qérindishi üchün aile qurushqa unimighan kishige shundaq qilinsun!» dep jakarlisun.
05190a0055	Shu kishining nami Israilning ichide: «Keshi sélin’ghuchining öyi» dep atalsun.
05190b00b8	Eger ikki adem bir-biri bilen urushup qalghinida birining ayali öz érige yardemliship érini urghuchining qolidin ajratmaqchi bolup, qolini uzitip urghuchining jan yérini tutuwalsa,
05190c0038	undaqta sen uninggha héch rehim qilmay qolini késiwet.
05190d003f	Séning xaltangda chong-kichik ikki xil taraza téshi bolmisun.
05190e002d	Öyüngde chong-kichik ikki xil efah saqlima.
05190f00a1	Taraza téshing toptoghra, durus bolsun; efahingmu toptoghra, durus bolsun. Shundaq qilsang Perwerdigar Xudaying sanga béridighan zéminda ömrüng uzun bolidu.
0519100070	Chünki kimki shundaq ishlar qilsa, kimki naheq ish qilsa, Xudaying Perwerdigarning aldida yirginchlik sanilidu.
0519110061	Misirdin chiqip kéliwatqininglarda Amaleklerning silerge néme qilghinini ésinglarda tutunglar;
05191200af	ular Xudadin qorqmay, yolda silerge uchrap, siler hérip-charchap halinglar qalmighan chaghda, keyninglarda qalghan ajiz kishilerni urup yoqatmidimu? U Xudadin héch qorqmidi.
0519130101	Shunga, Perwerdigar Xudaying mirasing bolsun dep sanga igileshke béridighan zéminda, Perwerdigar Xudaying etrapingdiki barliq düshmenliringdin amanliq berginide, Amaleklerning namini asmanning tégide eslenmigüdek derijide öchürüwet; bu ishni unutma.
051a010078	Sen Perwerdigar Xudaying sanga miras qilip béridighan zémin’gha kirip uni özüngning qilip igilep olturaqlashqanda,
051a0200d8	Perwerdigar Xudaying sanga béridighan zéminning hosulini alghanda, sen yerning deslepki pishqan méwisini élip, séwetke sélip Perwerdigar Xudaying Öz namini qoyushqa tallaydighan jaygha élip bérishing kérek;
051a0300f0	andin shu waqittiki kahinning qéshigha keltürüp, uninggha: «Perwerdigar Özi bizge bérishke ata-bowilirimizgha qesem qilghan zémin’gha kirdim, bügün men Perwerdigar Xudayingning aldida shundaq bolghinigha guwahmen», dep éytisen.
051a04005c	Kahin séwetni qolungdin élip uni Perwerdigar Xudayingning qurban’gahining aldida qoyidu;
051a0500fb	andin sen Perwerdigar Xudayingning aldida söz qilip mundaq deysen: — «Méning atam esli ghérib bir aramiy idi; Misirgha chüshüp olturaqlashti; ular shu yerde sani az musapir bolsimu, barghanséri köpiyip ulugh, küchlük, chong bir xelq boldi.
051a060056	Lékin Misirliqlar bizge qattiq qolluq qilip, zulum sélip bizni éghir emgekke saldi.
051a07009b	Emma biz ata-bowilirimizning Xudasi Perwerdigargha peryad qiliwiduq, Perwerdigar awazimizni anglap biz tartiwatqan xarliq, japa we zulumgha nezirini saldi.
051a080089	Shuning bilen Perwerdigar küchlük qol we uzartqan bilek, dehshetler we möjizilik alametler we karametler bilen bizni Misirdin chiqirip
051a09006f	bizni bu yerge élip kélip bu zémin’gha, yeni süt bilen hesel éqip turidighan bir zémin’gha ige qildi!
051a0a00ef	Emdi mana, ey Perwerdigar, Sen manga bergen bu zéminning méwisining deslepki pishqinini Séning qéshinggha ekeldim», deysen. Shularni dep, séwetni Perwerdigar Xudayingning huzurida qoyup, Perwerdigar Xudayingning aldida sejde qilisen;
051a0b00c2	shundaq qilip sen we öyüngdikiler Perwerdigar Xudayingning silerge ata qilghan hemme németliridin xush bolunglar; özüng, Lawiylar we aranglarda turidighan musapirlar qoshulup shadlininglar.
051a0c00f8	Sen her üchinchi yilida, yeni ondin biri bolghan öshre yilida hemme hosulungning ondin birini öshre ayrip bolghandin kéyin, sen Lawiy bilen musapirgha, yétim-yésir, tul xotunlargha derwaziliringning ichide shulardin yep toyunsun dep bérisen;
051a0d0145	we sen Perwerdigar Xudayingning aldida söz qilip shundaq deysen: «Men öyümdin [Xudagha] muqeddes qilin’ghan nersilerni ayrip élip chiqip, Sen manga tapilighan emr boyiche bularni Lawiy bilen musapirgha, yétim-yésir, tul xotunlargha berdim; men Séning emrliringning héchbirini ne buzmidim, ne héchqachan unutmidim;
051a0e00f9	matem tutqanlirimda shulardin héchnémini yémidim, napak halette turup buningdin birnémini almidim; ölgen kishige atap buningdin héchnéme bermidim, belki Perwerdigar Xudayimning awazini anglap her ishta Sen manga emr qilghining boyiche qildim.
051a0f00da	Emdi Sen muqeddes makaning bolghan asmanlardin nezer sélip Öz xelqing Israilni, shundaqla ata-bowilirimizgha qesem bilen qilghan wedeng boyiche, hesel bilen süt aqidighan, bizge bergen bu zéminni beriketligeysen».
051a10009e	Bügün Perwerdigar Xudaying bu belgilimilerge hem hökümlerge emel qilishqa emr qildi; pütün qelbing, pütün jéning bilen ularni tutup ulargha emel qil.
051a1100d3	Sen bügün Perwerdigarni özüngning Xudaying bolushqa, shundaqla Uning yollirida méngishqa, Uning belgilimilirige, Uning emrlirige, Uning hökümlirige emel qilip Uning awazigha qulaq sélishqa qobul qilding;
051a120092	we Perwerdigar bolsa bügün silerni Özining xas xelqi bolushqa, Uning barliq emrlirini tutushqa (U silerge wede qilghandek) silerni qobul qildi.
051a1300dc	Shundaq bolsa, U silerge izzet, nam-shöhret we shan-sherep bérip, Özi yaratqan barliq ellerdin silerni üstün qilidu. Buning bilen siler Uning éytqinidek, Perwerdigar Xudayinglar üchün muqeddes bir xelq bolisiler.
051b01007a	Musa we Israilning aqsaqalliri xelqqe buyrup mundaq dédi: — «Men bügün silerge tapilighan bu barliq emrni tutunglar.
051b0200a1	Iordan deryasidin ötüp Perwerdigar Xudayinglar silerge béridighan zémin’gha kirgen künde, siler chong-chong tashlarni tiklep ularni hak bilen aqartinglar;
051b030112	andin ata-bowiliringlarning Xudasi Perwerdigar silerge wede qilghinidek, Perwerdigar Xudayinglar silerge béridighan, süt bilen hesel éqip turidighan zémin’gha kirishinglar üchün deryadin ötkininglerde, bu qanunning hemme sözlirini shu tashlargha pütüp qoyunglar.
051b040082	Siler Iordan deryasidin ötüp, méning bügünki emrim boyiche shu tashlarni Ébal téghida tiklep, ularni hak bilen aqartinglar.
051b050069	Siler shu yerde Perwerdigar Xudayinglar üchün tömür eswab tegmigen tashlardin qurban’gah yasanglar;
051b0600a9	Perwerdigar Xudayinglarning bu qurban’gahi yonulmighan, pütün tashlardin yasalsun; uning üstide köydürme qurbanliqlarni Xudayinglar Perwerdigargha atap sununglar,
051b070071	we shu yerde inaqliq qurbanliqlirinimu sununglar, ulardin yep Perwerdigar Xudayinglarning huzurida shadlininglar.
051b080052	Siler shu tashlar üstige bu qanunning hemme sözlirini éniq pütüp qoyunglar».
051b09009f	Andin Musa bilen Lawiy kahinlar pütkül Israilgha söz qilip: «Ey Israil, shük turup anglanglar! Siler bügün Perwerdigar Xudayinglarning xelqi boldunglar.
051b0a0097	Emdi Perwerdigar Xudayinglarning awazigha qulaq sélip, men bügün silerge tapilighan uning emrliri we belgilimilirige emel qilinglar» — déyishti.
051b0b0031	Shu küni Musa xelqqe emr qilip mundaq dédi: —
051b0c00b0	Siler Iordan deryasidin ötkendin kéyin, bular, yeni Shiméon, Lawiy, Yehuda, Issakar, Yüsüp bilen Binyaminlar Gerizim téghining üstide turup, xelqqe bext-beriket tilisun.
051b0d0068	Bular, yeni Ruben, Gad, Ashir, Zebulun, Dan bilen Naftali Ébal téghining üstide lenet oqushqa tursun.
051b0e0041	U waqitta Lawiylar Israillarning hemmisige yuqiri awaz bilen: —
051b0f00e5	«Kimki hünerwenning qoli bilen birer oyma yaki quyma mebudni yasap chiqsa (Perwerdigar aldida yirginchlik ishtur!), uni yoshurunche tiklep qoysa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b100074	«Kimki ata-anisini közge ilmisa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b110080	«Kimki qoshnisining pasil téshini yötkise lenetke qalsun», dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b120073	«Kimki bir korni yoldin azdursa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b1300a0	«Kimki musapir, yétim-yésir we tul xotun toghrisidiki hökümni burmilisa, lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b14009e	«Kimki atisining xotuni bilen yatsa, atisining yotqinini achqan bolghachqa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: Amin! — désun.
051b150077	«Kimki haywan bilen munasiwet qilsa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: Amin! — désun.
051b1600a4	«Kimki atisining qizi yaki anisining qizi bolghan öz hemshirisi bilen yatsa lenetke qalsun» — dep jakarlisun. Andin xelqning hemmisi jawaben: Amin! — désun.
051b170071	«Kimki qéynanisi bilen yatsa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: Amin! — désun.
051b180085	«Kimki qoshnisini paylap turup yoshurun öltürse lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b190092	«Kimki gunahsiz ademni öltürüp uning qéni üchün heq alsa lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051b1a00aa	«Kimki bu qanunning sözlirige köngül bölmey, uninggha emel qilishta ching turmisa, lenetke qalsun» dep jakarlisun. Andin xelqning hemmisi jawaben: — Amin! désun.
051c0100d2	Eger sen Perwerdigar Xudayingning sözini anglap, Uning men bügün sanga tapshuridighan emrlirige emel qilishqa köngül bölseng, Xudaying Perwerdigar séni yer yüzidiki hemme ellerning üstige chong qilidu;
051c02006b	Perwerdigar Xudayingning sözini anglisang bu hemme bext-beriketler sanga egiship üstüngge chüshidu: —
051c030048	Sen sheherde bext-beriketlik bolisen, sehradimu bext-beriketlik bolisen.
051c0400a1	Baliyatqungning méwisi bilen yéringning méwisi, charpayliringning méwisi, yeni kalangning nesilliri we qoy padiliring tughqini bolsa, bext-beriketlik bolidu.
051c050044	Séwiting bext-beriketlik bolidu, tengnengmu bext-beriketlik bolidu.
051c06004a	Sen kirsengmu bext-beriketlik bolisen, chiqsangmu bext-beriketlik bolisen.
051c070097	Sanga qarshi chiqqan düshmenliringni Perwerdigar aldingda meghlup qilidu; ular bir yol bilen sanga hujumgha kélip, yette yol bilen aldingdin qachidu.
051c0800b7	Séning ambarliringda we qolung bilen qilidighan barliq ishliringda Perwerdigar üstüngge bext-beriket buyruydu; Perwerdigar Xudaying sanga béridighan zéminda U séni beriketleydu.
051c0900a6	Eger sen Perwerdigar Xudayingning emrlirini tutup yollirida mangsang, Özi qesem bilen sanga wede qilghandek Perwerdigar séni tiklep Özige muqeddes bir xelq qilidu.
051c0a0072	Shuning bilen yer yüzidiki hemme xelqler séning Perwerdigarning nami bilen atalghiningni körüp sendin qorqidu.
051c0b00d2	Perwerdigar séni yashnitidu; sanga bérishke ata-bowiliringgha qesem bilen wede qilghan zéminda séni öz bediningning méwisi bilen charpayliringning méwisi we yéringning méwisini mol we berketlik qilidu.
051c0c00de	Perwerdigar séning zémininggha öz waqtida yamghur bérip qolliringning hemme ishlirini beriketlesh üchün öz xezinisi bolghan asmanni sanga achidu; özüng héch kimdin qerz almaysen, belki köp ellerge qerz bérisen.
051c0d00c2	Perwerdigar séni quyruq emes, bash qilidu; sen peqet üsti bolup, asti bolmaysen. Eger men silerge bügün tapilighan Perwerdigar Xudayingning emrlirige qulaq sélip, ularni tutup emel qilsang,
051c0e00aa	shundaqla men bügün silerge buyrughan hemme sözlerning héch biridin ong yaki solgha chetnep ketmiseng, bashqa ilahlargha egiship qulluqigha kirmiseng, shundaq bolidu.
051c0f0103	Lékin shundaq boliduki, eger Perwerdigar Xudayingning awazigha qulaq salmay, men bügün silerge tapilighan uning barliq emrliri bilen belgilimilirini tutmisanglar hem ulargha emel qilmisanglar, bu lenetlerning hemmisi sanga egiship üstüngge chüshidu: —
051c100038	Sen sheherde lenetke qalisen, sehradimu lenetke qalisen.
051c110034	Séwiting lenetke qalidu, tengnengmu lenetke qalidu.
051c120071	Baliyatqungning méwisi, yéringning méwisi, kalangning nesilliri we qoy padiliringning tughqini lenetke qalidu.
051c13003a	Sen kirsengmu lenetke qalisen, chiqsangmu lenetke qalisen.
051c1400d6	Séning Perwerdigarni tashlighan rezil qilmishliring üchün u sen yoq qilin’ghuche, tézdin halak qilin’ghuche, qolung qilghan barliq ishliringda séning üstüngge lenet, parakendilik we deshnem chüshüridu.
051c15005a	Perwerdigar sen igileshke kiridighan zémindin séni yoqatquche sanga waba chaplashturidu.
051c1600db	Perwerdigar séni sil-waba késili, kézik késili, yallughluq késili we bezgek késilige giriptar qilip, qurghaqchiliq, chawirish apiti we hal apitige muptila qilidu. Bu apetler sen yoq qilin’ghuche séni qoghlaydu.
051c170051	Béshingning üstidiki asman mistek, ayighingning astidiki yer tömürdek bolidu.
051c18008c	Perwerdigar séning zéminingda yaghidighan yamghurni topa-chang we qum qilidu; ular taki sen halak bolghuche asmandin üstüngge chüshidu.
051c1900e3	Perwerdigar Özi séni düshmenliringning aldida meghlup qilidu. Sen ulargha qarshi bir yol bilen bérip, ularning aldidin yette yol bilen qachisen; yer yüzidiki hemme ellerni dekke-dükkige salidighan obyékt bolup qalisiler.
