0100000008	1 Mojzes
0227040061	Za to so naredili obramna dela, da to spojijo skupaj; z dvema robovoma je bilo to spojeno skupaj.
02270500be	Skrbno narejen pas njegovega efóda, ki je bil na njem, je bil iz istega, glede na njegovo delo; iz zlate, modre, vijolične, škrlatne in sukane tančice; kakor je Gospod zapovedal Mojzesu.
022706007e	Izdelali so oniksova kamna, obdana z ležiščema iz zlata, vgravirana kakor so vgravirani pečati, z imeni Izraelovih otrók.
0227070070	Položil jih je na ramena efóda, da bodo kamni za spomin Izraelovim otrokom; kakor je Gospod zapovedal Mojzesu.
0227080079	Naredil je naprsnik spretne izdelave, podoben efódovemu delu; iz zlate, modre, vijolične, škrlatne in sukane tančice.
0227090082	Bil je štirioglat; naprsnik so naredili prepognjen. Pedenj je bila njegova dolžina in pedenj njegova širina; bil je prepognjen.
02270a006b	Na njem so postavili štiri vrste kamnov. Prva vrsta je bil sardij, topaz in granat. To je bila prva vrsta.
02270b0026	Druga vrsta smaragd, safir in diamant.
02270c0027	Tretja vrsta hijacint, ahat in ametist.
02270d0061	Četrta vrsta beril, oniks in jaspis; bili so obdani v ležišča iz zlata v njihovih obdanostih.
02270e009a	Kamni so bili glede na imena Izraelovih otrók, dvanajst, glede na njihova imena, podobni gravuram pečata, vsak s svojim imenom, glede na dvanajst rodov.
02270f0054	Na naprsniku so naredili verižici na krajih, iz spletenega dela, iz čistega zlata.
022710006f	Naredili so dve ležišči iz zlata in dva zlata obročka in dva zlata obročka vstavili v dva konca naprsnika.
0227110050	Vstavili so dve spleteni verižici iz zlata v dva obročka, na krajeh naprsnika.
0227120073	Dva konca dveh spletenih verižic so privezali na dve ležišči in ju pritrdili na obramna dela efóda, pred njim.
022713007d	Naredili so dva obročka iz zlata in ju položili na dva konca naprsnika, na njegov rob, ki je bil na notranji strani efóda.
02271400b0	Naredili so dva druga zlata obročka in ju položili na dve strani pod efód, proti njegovi prednji strani, nasproti drugemu njegovemu spoju, nad skrbno narejenim pasom efóda.
02271500d1	Naprsnik z njegovimi obročki so z modrim trakom privezali k obročkom efóda, da bi bil ta lahko nad skrbno narejenim pasom efóda in da se naprsnik ne bi odvezal od efóda; kakor je Gospod zapovedal Mojzesu.
0227160049	Naredil je svečano oblačilo efóda iz spletenega dela, celega iz modre.
0227170086	Bila je odprtina v sredi svečanega oblačila, kakor odprtina brezrokavne verižne srajce s trakom naokoli odprtine, da se ne raztrga.
0227180071	Na obšivih svečanega oblačila so naredili granatna jabolka iz modre, vijolične, škrlatne in sukane tančice.
0227190093	Naredili so zvončke iz čistega zlata in zvončke postavili med granatna jabolka, na obšivu svečanega oblačila, naokoli med granatnimi jabolki;
02271a0096	zvonček in granatno jabolko, zvonček in granatno jabolko naokoli obšiva svečanega oblačila za služenje v tem; kakor je Gospod zapovedal Mojzesu.
02271b0061	Naredili so plašče iz tankega lanenega platna iz spletenega dela, za Arona in za njegove sinove
02271c0080	in turban iz tankega lanenega platna in čedne klobučke iz tankega lanenega platna in kratke platnene hlače iz sukane tančice
02271d006e	in pas iz sukane tančice in modre in vijolične in škrlatne, iz vezenine; kakor je Gospod zapovedal Mojzesu.
02271e007d	Naredili so ploščico svéte krone iz čistega zlata in nanjo napisali pisanje, podobno gravuram pečata: »SVETO GOSPODU.«
02271f0068	K temu so privezali moder trak, da ga pričvrstijo visoko na turbanu; kakor je Gospod zapovedal Mojzesu.
022720009c	Tako je bilo vse delo šotorskega svetišča skupnosti končano. Izraelovi otroci so storili glede na vse, kar je Gospod zapovedal Mojzesu, tako so storili.
022721009a	Šotorsko svetišče so prinesli k Mojzesu, šotor, vso njegovo opremo, njegove zaponke, njegove deske, njegove zapahe, njegove stebre, njegove podstavke,
022722005c	pokrivalo rdeče barvanih ovnovih kož, pokrivalo iz jazbečevih kož, zagrinjalo pokrivala,
0227230033	skrinjo pričevanja, njena drogova, sedež milosti,
022724002f	mizo in vse njene posode in hlebe navzočnosti,
0227250078	čisti svečnik z njegovimi svetilkami, celo s svetilkami, da so razvrščene in vse njegove posode in olje za svetlobo,
022726005c	zlat oltar, mazilno olje in dišeče kadilo, tanko preprogo za vrata šotorskega svetišča,
0227270079	bronast oltar, njegovo rešetko iz brona, njegova drogova in vse njegove posode, [okrogel] umivalnik in njegovo vznožje,
02272800bf	tanko preprogo dvora, njegove stebre in njegove podstavke, tanko preprogo za velika dvorna vrata, njene vrvice in njene količke in vse posode službe šotorskega svetišča za shodni šotor,
02272900a0	službene obleke, da opravljajo službo na svétem kraju in svéta oblačila za duhovnika Arona in oblačila njegovih sinov, za služenje v duhovniški službi.
02272a005a	Glede na vse, kar je Gospod zapovedal Mojzesu, tako so Izraelovi otroci opravili vse delo.
02272b0089	Mojzes je pogledal na vse delo in glej, naredili so ga kakor je Gospod zapovedal, celo tako so ga naredili, in Mojzes jih je blagoslovil.
0228010026	Gospod je spregovoril Mojzesu, rekoč:
0228020049	»Na prvi dan prvega meseca boš postavil šotorsko svetišče skupnosti.
0228030047	Vanj boš postavil skrinjo pričevanja in skrinjo pokril z zagrinjalom.
0228040087	Prinesel boš mizo in uredil stvari, ki naj bi bile razvrščene na njej, in vanj boš prinesel svečnik ter prižgal njegove svetilke.
0228050079	Postavil boš oltar iz zlata za kadilo pred skrinjo pričevanja in k vratom šotorskega svetišča obesil tanko preprogo.
0228060057	Postavil boš oltar žgalne daritve pred vrati šotorskega svetišča shodnega šotora.
0228070053	[Okrogel] umivalnik boš postavil med shodni šotor in oltar in vanj boš dal vodo.
022808004d	Napravil boš dvor naokoli in pri velikih vratih dvora obesil tanko preprogo.
0228090082	Vzel boš mazilno olje in mazilil šotorsko svetišče in vse, kar je v njem in ga posvetil in vse njegove posode in to bo svéto.
02280a0066	Mazilil boš oltar žgalne daritve in vse njegove posode in oltar posvéti. To bo oltar, najsvetejše.
02280b0045	Mazilil boš [okrogel] umivalnik in njegovo vznožje in ga posvétil.
02280c0063	Arona in njegove sinove boš privedel k vratom šotorskega svetišča skupnosti in jih umil z vodo.
02280d0071	Na Arona boš nadel svéta oblačila in mazili ga in posvéti ga, da mi bo lahko služil v duhovniški službi«.
02280e0037	Privedel boš njegove sinove in jih oblekel s plašči.
02280f00b6	Mazilil jih boš, kakor si mazilil njihovega očeta, da mi bodo lahko služili v duhovniški službi, kajti njihovo maziljenje bo zagotovo večno duhovništvo skozi njihove rodove.«
0228100050	Tako je Mojzes storil. Glede na vse, kar mu je Gospod zapovedal, tako je storil.
022811006e	Pripetilo se je v prvem mesecu, v drugem letu, na prvi dan meseca, da je bilo šotorsko svetišče vzdignjeno.
022812008f	Mojzes je vzdignil šotorsko svetišče, privezal njegove podstavke, postavil njegove deske, vstavil njegove zapahe in vzdignil njegove stebre.
022813007e	In šotor je razprostrl nad šotorskim svetiščem, in nad njim postavil pokrivalo šotora; kakor je Gospod zapovedal Mojzesu.
022814006e	Vzel je pričevanje, ga položil v skrinjo, drogova namestil na skrinjo in na skrinjo položil sedež milosti.
022815008c	Skrinjo je prinesel v šotorsko svetišče in obesil zagrinjalo pokrivala ter pokril skrinjo pričevanja; kakor je Gospod zapovedal Mojzesu.
0228160060	Mizo je položil v shodni šotor, proti severni strani šotorskega svetišča, zunaj zagrinjala.
0228170052	Na njej je urejeno položil kruh pred Gospodom; kakor je Gospod zapovedal Mojzesu.
0228180061	Svečnik je postavil v shodni šotor, nasproti mizi, na strani šotorskega svetišča proti jugu.
0228190046	Pred Gospodom je prižgal svetilke; kakor je Gospod zapovedal Mojzesu.
02281a003a	Zlati oltar je postavil v shodnem šotoru pred zagrinjalom
02281b0049	in na njem je zažgal dišeče kadilo; kakor je Gospod zapovedal Mojzesu.
02281c003b	Pri vratih šotorskega svetišča je obesil tanko preprogo.
02281d00ae	Pri vratih šotorskega svetišča shodnega šotora je postavil oltar žgalne daritve in na njem daroval žgalno daritev in jedilno daritev; kakor je Gospod zapovedal Mojzesu.
02281e005f	Med shodni šotor in oltar je postavil [okrogel] umivalnik in vanj dal vodo, da se z njo umiva.
02281f004a	Mojzes, Aron in njegovi sinovi so tam umivali svoje roke in svoja stopala.
0228200073	Ko so odhajali v shodni šotor in ko so prihajali bliže k oltarju, so se umili; kakor je Gospod zapovedal Mojzesu.
0228210084	Dvor je uredil naokoli šotorskega svetišča in oltarja in obesil tanko preprogo velikih dvornih vrat. Tako je Mojzes končal delo.
0228220059	Potem je oblak pokril shodni šotor in Gospodova slava je napolnila šotorsko svetišče.
0228230086	Mojzes pa ni bil zmožen vstopiti v shodni šotor, ker je na njem vztrajal oblak in Gospodova slava je napolnila šotorsko svetišče.
022824006e	Ko je bil oblak dvignjen iznad šotorskega svetišča, so Izraelovi otroci odšli naprej po vseh svojih poteh,
0228250055	toda če oblak ni bil dvignjen, potem niso potovali do dneva, ko je bil dvignjen gor.
0228260095	Kajti Gospodov oblak je bil nad šotorskim svetiščem podnevi, ogenj pa je bil na njem ponoči, v očeh vse Izraelove hiše, na vseh njihovih poteh.
0300000008	3 Mojzes
030101005b	Gospod je zaklical k Mojzesu in mu spregovoril iz šotorskega svetišča skupnosti, rekoč:
03010200a8	»Spregovori Izraelovim otrokom in jim reci: ›Če katerikoli človek izmed vas prinese dar Gospodu, boste prinesli svojo daritev izmed živine, od tropa in od črede.
03010300bf	Če bo njegov dar žgalna daritev od črede, naj daruje samca brez pomanjkljivosti. Daroval ga bo iz svoje lastne prostovoljne volje pri vratih šotorskega svetišča skupnosti pred Gospodom.
030104005e	Svojo roko bo položil na glavo žgalne daritve in ta bo sprejeta zanj, da opravi spravo zanj.
03010500a9	Bikca bo zaklal pred Gospodom in duhovniki, Aronovi sinovi, bodo prinesli kri in kri poškropili naokoli nad oltarjem, ki je pri vratih šotorskega svetišča skupnosti.
0301060033	Žgalno daritev bo odrl in jo razrezal na koščke.
0301070058	Sinovi duhovnika Arona bodo na oltar položili ogenj in po vrsti na ogenj položili les.
0301080075	Duhovniki, Aronovi sinovi, bodo položili dele, glavo in tolščo, po vrsti na les, ki je na ognju, ki je na oltarju,
030109009c	toda njegovo drobovino in njegove noge bo umil v vodi. Duhovnik bo vse sežgal na oltarju, da bo žgalna daritev, ognjena daritev, prijetnega vonja Gospodu.
03010a0072	Če bo njegov dar za žgalno daritev od tropov, namreč od ovc ali od koz, bo privedel samca brez pomanjkljivosti.
03010b0083	Zaklal ga bo na severni strani oltarja pred Gospodom. Duhovniki, Aronovi sinovi, bodo njegovo kri poškropili naokoli nad oltarjem.
03010c008c	Razrezal ga bo na koščke, z njegovo glavo in njegovo tolščo. Duhovnik jih bo po vrsti položil na les, ki je na ognju, ki je na oltarju,
03010d009d	toda drobovje in noge bo umil z vodo. Duhovnik bo vse to prinesel in to sežgal na oltarju. To je žgalna daritev, ognjena daritev, prijetnega vonja Gospodu.
03010e0079	Če bo žgalna daritev za njegov dar Gospodu od perjádi, potem bo svojo daritev prinesel od grlic ali od mladih golobov.
03010f007f	Duhovnik bo to prinesel na oltar in ji odščipnil vrat in jo sežgal na oltarju; in njena kri bo iztisnjena ob strani oltarja.
0301100069	Njeno golšo bo odtrgal z njenimi peresi in jo odvrgel na vzhodnem delu, poleg oltarja, ob kraju za pepel
03011100b8	in nalomi jo s perutmi, toda ne bo je ločil narazen. Duhovnik bo to sežgal na oltarju, na lesu, ki je na ognju. To je žgalna daritev, ognjena daritev, prijetnega vonja Gospodu.‹«
030201007a	»›Ko bo kdorkoli daroval jedilno daritev Gospodu, bo njegov dar iz fine moke in na to bo izlil olje in položil kadilo.
03020200cd	To bo prinesel Aronovim sinovom, duhovnikom. In od tega bo zajel prgišče moke in od olja, z vsem kadilom in duhovnik bo to sežgal na oltarju v spomin na to, da bo ognjena daritev, prijeten vonj Gospodu.
0302030077	Ostanek jedilne daritve bo od Arona in njegovih sinov. To je najsvetejša stvar Gospodovih daritev, narejenih z ognjem.
030204009a	Če prineseš dar jedilne daritve, spečen v peči, naj bodo to nekvašeni kolači iz fine moke, pomazani z oljem ali nekvašeni vaflji, pomazani z oljem.
0302050067	Če bo tvoj dar jedilna daritev, spečena v ponvi, naj bo ta iz fine nekvašene moke, umešane z oljem.
0302060048	Razdelil jo boš na koščke in nanjo izlil olje. To je jedilna daritev.
0302070068	Če bo tvoj dar jedilna daritev, spečena v tvoji ponvi za cvrtje, naj bo narejena iz fine moke z oljem.
030208007e	Jedilno daritev, ki je narejena iz teh stvari, boš prinesel Gospodu in ko je ta izročena duhovniku, jo bo prinesel na oltar.
0302090081	Duhovnik bo vzel od jedilne daritve njegov spomin in tega bo sežgal na oltarju. To je ognjena daritev, prijetnega vonja Gospodu.
03020a0085	To, kar je ostalo od jedilne daritve, bo od Arona in njegovih sinov. To je najsvetejša stvar Gospodovih daritev, narejenih z ognjem.
03020b00c2	Nobena jedilna daritev, ki jo boste prinesli h Gospodu, naj ne bo pripravljena s kvasom, kajti nobenega kvasa niti nobenega medu ne boste sežgali pri vsaki Gospodovi daritvi, narejeni z ognjem.
03020c006d	Kar se tiče daru prvih sadov, jih boste darovali Gospodu, toda ne bodo sežgani na oltarju za prijeten vonj.
03020d00b4	Vsak dar svoje jedilne daritve boš začinil s soljo; niti ne boš trpel, da bi sol zaveze tvojega Boga manjkala pri tvoji jedilni daritvi. Z vsemi svojimi darovi boš daroval sol.
03020e00bd	Če daruješ jedilno daritev svojih prvih sadov Gospodu, boš daroval za jedilno daritev svojih prvih sadov zeleno žitno klasje, posušeno ob ognju, torej žito, omlateno iz polnih klasov.
03020f003f	Nanj boš izlil olje in nanj dal kadilo. To je jedilna daritev.
030210008e	Duhovnik bo sežgal spomin od tega, del od stolčenega žita in del od njegovega olja, z vsem njegovim kadilom. To je ognjena daritev Gospodu.
030301009a	Če bo njegov dar darovanje mirovne daritve, če jo bo daroval od črede; bodisi je ta samec ali samica, jo bo daroval brez pomanjkljivosti pred Gospodom.
03030200af	Svojo roko bo položil na glavo njegovega daru in ga zaklal pri vratih šotorskega svetišča skupnosti. Aronovi sinovi, duhovniki, pa bodo kri poškropili naokoli po oltarju.
030303007a	Daroval bo dar mirovne daritve, ognjeno daritev Gospodu; tolščo, ki pokriva drobovje in vso tolščo, ki je na drobovju.
0303040068	In obe ledvici in tolščo, ki je na njiju, ki je ob bokih in opno nad jetri, z ledvicama, bo odstranil.
0303050091	Aronovi sinovi bodo to sežgali na oltarju nad žgalno daritvijo, ki je na lesu, to je na ognju. To je ognjena daritev, prijetnega vonja Gospodu.
0303060076	Če bo njegov dar za darovanje mirovne daritve Gospodu od tropa; samec ali samica, ga bo daroval brez pomanjkljivosti.
0303070043	Če daruje jagnje za njegov dar, potem ga bo daroval pred Gospodom.
03030800a5	Svojo roko bo položil na glavo svojega daru in ga zaklal pred šotorskim svetiščem skupnosti, Aronovi sinovi pa bodo njegovo kri poškropili naokoli nad oltarjem.
03030900cf	Daroval bo od žrtvovanja mirovne daritve, ognjeno daritev Gospodu; njegovo tolščo in celoten tolsti rep; odrezal ga bo tik ob hrbtenici; in tolščo, ki pokriva drobovje in vso tolščo, ki je na drobovju
03030a006c	in obe ledvici in tolščo, ki je na njiju, ki je ob bokih in opno nad jetri, z ledvicama; to bo vzel stran.
03030b0052	Duhovnik bo to sežgal na oltarju. To je hrana darovanja, ognjena daritev Gospodu.
03030c003b	Če bo njegov dar kozel, potem ga bo daroval pred Gospodom.
03030d009e	Svojo roko bo položil na njegovo glavo in ga zaklal pred šotorskim svetiščem skupnosti, Aronovi sinovi pa bodo njegovo kri poškropili naokoli po oltarju.
03030e0077	Od tega bo daroval svoj dar, ognjeno daritev Gospodu; tolščo, ki pokriva drobovje in vso tolščo, ki je na drobovju.
03030f006d	In obe ledvici in tolščo, ki je na njiju, ki je ob bokih in opno nad jetri, z ledvicama, to bo vzeto proč.
030310006c	Duhovnik jih bo sežgal na oltarju. To je hrana ognjene daritve za prijeten vonj. Vsa tolšča je Gospodova.
030311006c	To bo večen zakon za vaše rodove po vseh vaših prebivališčih, da ne jeste niti tolšče niti krvi.‹«
0304010026	Gospod je spregovoril Mojzesu, rekoč:
03040200d0	»Govôri Izraelovim otrokom, rekoč: ›Če bo duša zaradi nevednosti grešila zoper katerekoli izmed Gospodovih zapovedi, glede stvari, ki se ne bi smele storiti, in bo storila zoper katerokoli izmed njih;
03040300b3	če duhovnik, ki je maziljen, stori greh glede na greh ljudstva, potem naj za svoj greh, ki ga je zagrešil, privede mladega bikca brez pomanjkljivosti Gospodu za daritev za greh.
0304040093	Bikca bo privedel k vratom šotorskega svetišča skupnosti pred Gospoda in svojo roko bo položil bikcu na glavo in pred Gospodom bo bikca zaklal.
0304050062	Duhovnik, ki je maziljen, bo vzel od krvi bikca in jo prinesel do šotorskega svetišča skupnosti
030406006e	in duhovnik bo svoj prst pomočil v kri in pred zagrinjalom svetišča kri sedemkrat poškropil pred Gospodom.
03040700e6	Duhovnik bo nekaj krvi dal na rogove oltarja prijetnega vonja pred Gospodom, ki je v šotorskem svetišču skupnosti; in vso kri bikca bo izlil ob vznožju oltarja žgalne daritve, ki je ob vratih šotorskega svetišča skupnosti.
0304080079	Iz njega bo vzel vso tolščo bikca za daritev za greh; tolščo, ki pokriva drobovje in vso tolščo, ki je na drobovju,
030409006a	dve ledvici in tolščo, ki je na njiju, ki je ob bokih in opno nad jetri, z ledvicama, to bo vzeto proč,
03040a006c	kot je bilo vzeto od bikca žrtvovanja mirovnih daritev. Duhovnik jih bo sežgal na oltarju žgalne daritve.
03040b0071	In kožo bikca in vse njegovo meso z njegovo glavo, z njegovimi nogami, njegovim drobovjem in njegovim iztrebkom.
03040c009f	Celo celotnega bikca bo odnesel naprej, zunaj tabora, na čist prostor, kjer je bil izsut pepel in ga z ognjem sežgal na lesu. Sežgan bo kjer je izsut pepel.
03040d00d2	Če celotna Izraelova skupnost greši zaradi nevednosti in bo stvar skrita pred očmi zbora in so storili nekaj zoper katerokoli izmed Gospodovih zapovedi glede stvari, ki ne bi smele biti storjene in so krivi;
03040e0096	ko je greh, ki so ga zagrešili zoper njega znan, potem bo skupnost darovala mladega bikca za greh in ga privedla pred šotorsko svetišče skupnosti.
03040f006d	Starešine skupnosti bodo pred Gospodom svoje roke položili na glavo bikca in bikec bo zaklan pred Gospodom.
0304100056	Duhovnik, ki je maziljen, bo k šotorskemu svetišču skupnosti prinesel od krvi bikca
0304110073	in duhovnik bo svoj prst pomočil v nekaj od krvi in jo sedemkrat poškropil pred Gospodom, torej pred zagrinjalom.
03041200cc	Nekaj krvi bo dal na rogove oltarja, ki je pred Gospodom, to je v šotorskem svetišču skupnosti in vso kri bo izlil ob vznožju oltarja žgalne daritve, ki je ob vratih šotorskega svetišča skupnosti.
030413003f	Iz njega bo vzel vso njegovo tolščo in jo sežgal na oltarju.
0304140090	Z bikcem bo storil kakor je storil z bikcem daritve za greh; tako bo storil s tem. In duhovnik bo zanje opravil spravo in to jim bo odpuščeno.
030415006d	Bikca bo odnesel zunaj tabora in ga sežgal kakor je sežgal prvega bikca. To je daritev za greh za skupnost.
03041600a4	Ko je voditelj grešil in storil nekaj zaradi nevednosti zoper katerokoli izmed zapovedi Gospoda, svojega Boga, glede stvari, ki naj ne bi bile storjene in je kriv,
030417008d	ali če njegov greh, v čemer je grešil, pride k njegovemu spoznanju; bo prinesel svoj dar, kozlička izmed koz, samca brez pomanjkljivosti.
030418007f	Svojo roko bo položil na glavo kozla in ga zaklal na kraju, kjer koljejo žgalno daritev pred Gospodom. To je daritev za greh.
03041900a1	Duhovnik bo s svojim prstom vzel od krvi daritve za greh in to dal na rogove oltarja žgalne daritve in njegovo kri bo izlil ob vznožju oltarja žgalne daritve.
03041a00a6	Vso njegovo tolščo bo sežgal na oltarju, kakor tolščo žrtvovanja mirovnih daritev. Duhovnik bo zanj opravil spravo, glede na njegov greh in ta mu bo odpuščen.
03041b00ba	Če kdorkoli izmed preprostega ljudstva greši zaradi nevednosti, medtem ko stori nekaj zoper katerokoli izmed Gospodovih zapovedi, glede stvari, ki ne bi smele biti storjene in je kriv;
03041c00b0	ali če njegov greh, ki ga je zagrešil, pride v njegovo spoznanje; potem bo za svoj greh, ki ga je zagrešil, prinesel svoj dar, kozlička od koz, samico brez pomanjkljivosti.
03041d0066	Svojo roko bo položil na glavo daritve za greh in na kraju žgalne daritve bo zaklal daritev za greh.
03041e0086	Duhovnik bo s prstom vzel od njegove krvi in to dal na rogove oltarja žgalne daritve in vso njegovo kri bo izlil ob vznožju oltarja.
03041f00d1	Odvzel bo vso njegovo tolščo, kakor je odvzeta tolšča žrtvovanja mirovnih daritev, in duhovnik jo bo sežgal na oltarju v prijeten vonj Gospodu, in duhovnik bo zanj opravil spravo in to mu bo odpuščeno.
030420004b	Če privede jagnje v dar za greh, bo prinesel samico, brez pomanjkljivosti.
0304210077	Svojo roko bo položil na glavo daritve za greh in jo na kraju, kjer koljejo žgalno daritev, zaklal v daritev za greh.
030422008a	Duhovnik bo s svojim prstom vzel od krvi daritve za greh in to dal na rogove oltarja žgalne daritve in vso kri izlil ob vznožju oltarja.
030423010e	Odvzel bo vso njeno tolščo, kakor je tolšča jagnjeta odvzeta od žrtvovanja mirovnih daritev, in duhovnik jih bo sežgal na oltarju, glede na daritve, narejene z ognjem Gospodu, in duhovnik bo opravil spravo za njegov greh, ki ga je zagrešil in ta mu bo odpuščen.
030501009a	Če duša greši in sliši glas priseganja in je priča, bodisi da je to videla ali izvedela o tem; če tega ne izusti, potem bo nosila svojo krivičnost.
03050200d6	Ali če se duša dotakne katerekoli nečiste stvari, bodisi je to truplo nečiste živali ali truplo nečiste živine ali truplo nečistih plazečih bitij, in če je to skrito pred njim, bo tudi on nečist in kriv.
03050300a6	Ali če se on dotakne nečistosti človeka, kakršnakoli nečistost je to, da se bo človek z njo omadeževal in je to skrito pred njim; potem bo kriv, ko izve o tem.
03050400d6	Ali če duša priseže, razglašujoč s svojimi ustnicami, da stori zlo ali da stori dobro, karkoli je to, kar bo človek s prisego razglasil in bo to skrito pred njim; ko izve o tem, potem bo kriv v eni izmed teh.
030505005c	Zgodilo se bo, ko bo kriv v eni izmed teh stvari, da bo priznal, da je v tej stvari grešil.
03050600d2	Za svoj greh, ki ga je zagrešil, bo prinesel Gospodu svojo daritev za prestopek, samico izmed tropa, jagnje ali kozlička izmed koz za daritev za greh; in duhovnik bo zanj opravil spravo glede njegovega greha.
03050700c1	Če pa ne bo zmožen prinesti jagnjeta, potem bo za svoj prekršek, ki ga je zagrešil, Gospodu prinesel dve grlici ali dva mlada goloba, enega za daritev za greh in drugega za žgalno daritev.
0305080097	Prinesel ju bo duhovniku, ki bo najprej daroval to, kar je za daritev za greh in njegovo glavo bo odščipnil od vratu, toda tega ne bo ločil narazen.
0305090083	Poškropil bo od krvi daritve za greh na strani oltarja. Preostanek krvi pa bo iztisnil ob vznožju oltarja. To je daritev za greh.
03050a009e	Drugo pa bo daroval za žgalno daritev, glede na določen način in duhovnik bo zanj opravil spravo za njegov greh, ki ga je zagrešil in ta mu bo odpuščen.
03050b0108	Toda če ne bo zmožen prinesti dveh grlic ali dveh mladih golobov, potem naj tisti, ki je grešil, za svoj dar prinese deseti del škafa iz fine moke za daritev za greh; nanjo ne bo dal olja niti ne bo nanjo dal kakršnegakoli kadila, kajti to je daritev za greh.
03050c00b8	Potem bo to prinesel do duhovnika in duhovnik bo vzel prgišče tega, torej spomin od tega in to sežgal na oltarju, glede na daritve, narejene z ognjem Gospodu. To je daritev za greh.
03050d00ae	Duhovnik bo zanj opravil spravo glede njegovega greha, ki ga je zagrešil v eni od teh [stvari] in ta mu bo odpuščen. Preostanek pa bo duhovnikov, kot jedilna daritev.‹«
03050e0026	Gospod je spregovoril Mojzesu, rekoč:
03050f00fb	»Če duša zagreši prekršek in greši zaradi nevednosti v Gospodovih svétih stvareh, potem bo za svoj prekršek iz tropa privedla ovna brez pomanjkljivosti Gospodu, s tvojo oceno po srebrnih šeklih, po svetiščnem šeklu, v daritev za prestopek.
03051000c3	Odkupil se bo zaradi škode, ki jo je storil v svéti stvari in k temu bo dodal peti del in ga dal duhovniku. Duhovnik bo zanj opravil spravo z ovnom daritve za prekršek in to mu bo odpuščeno.
03051100b7	Če duša greši in zagreši katerokoli od teh stvari, ki so po Gospodovih zapovedih prepovedane, da se storijo; čeprav tega ni vedel, je vendarle kriv in bo nosil svojo krivičnost.
03051200e2	Iz tropa bo duhovniku privedel ovna brez pomanjkljivosti, s tvojo oceno, v daritev za prestopek in duhovnik bo zanj opravil spravo glede njegove nevednosti, v kateri je nevedno grešil in tega ni vedel in ta mu bo odpuščena.
0305130045	To je daritev za prestopek. Zagotovo se je prekršil zoper Gospoda.«
0306010026	Gospod je spregovoril Mojzesu, rekoč:
03060200d2	»Če duša greši in zagreši prekršek zoper Gospoda in laže svojemu bližnjemu v tem, kar mu je bilo izročeno, da varuje, ali v družbi, ali v stvari, odvzeti z nasiljem, ali je zavedel svojega bližnjega,
030603008c	ali je našel to, kar je bilo izgubljeno in glede tega laže in krivo prisega; v čemerkoli izmed vsega tega kar človek dela, v tem greši.
03060400d6	Potem se bo zgodilo, ker je grešil in je kriv, da bo povrnil to, kar je nasilno odvzel proč ali stvar, ki jo je varljivo pridobil ali to, kar mu je bilo izročeno, da varuje ali izgubljeno stvar, ki jo je našel,
03060500a8	ali vse to o čemer je krivo prisegel. To bo torej povrnil v glavnici in k temu bo dodal še petino in to dal tistemu, ki mu pripada, na dan svoje daritve za prekršek.
030606008d	H Gospodu bo [prek] duhovnika privedel svojo daritev za prestopek, ovna brez pomanjkljivosti iz tropa, s tvojo oceno, v daritev za prestopek.
0306070079	Duhovnik bo zanj pred Gospodom opravil spravo in odpuščeno mu bo za karkoli od vsega, kar je storil v teh prekrških.«
0306080026	Gospod je spregovoril Mojzesu, rekoč:
03060900b6	»Zapovej Aronu in njegovim sinovom, rekoč: ›To je postava žgalne daritve: ›To je žgalna daritev, ker vso noč, do jutra, gorí na oltarju in oltarni ogenj bo gorel v njej.‹
03060a00b8	Duhovnik si bo nadel laneno obleko in kratke platnene hlače bo nadel na svoje meso in pobral pepel, ki ga je ogenj na oltarju použil z žgalno daritvijo in ga položil poleg oltarja.
03060b0062	Odložil bo svoje obleke in si nadel druge obleke in pepel odnesel zunaj tabora, na čist prostor.
03060c00be	Ogenj na oltarju naj gorí na njem; naj ne bo ugasnjen. Duhovnik naj na njem vsako jutro zažiga les in nanj po vrsti polaga žgalno daritev in na njem naj zažiga tolščo mirovnih daritev.
03060d0036	Ogenj bo vedno gorel na oltarju; nikoli naj ne ugasne.
03060e005c	To je postava jedilne daritve. Aronovi sinovi jo bodo darovali pred Gospodom, pred oltarjem.
03060f00aa	Od tega bo vzel prgišče moke jedilne daritve in od olja in vse kadilo, ki je na jedilni daritvi in to bo na oltarju sežgal Gospodu v prijeten vonj, torej spomin na to.
03061000a3	Preostanek pa bodo Aron in njegovi sinovi pojedli. Z nekvašenim kruhom bo pojedena na svétem prostoru. Na dvoru šotorskega svetišča skupnosti jo bodo pojedli.
03061100ab	Ta ne bo pečena s kvasom. To sem jim dal za njihov delež mojih daritev, narejenih z ognjem; to je najsvetejše, kakor je daritev za greh in kakor daritev [za] prekršek.
03061200b0	Vsi moški izmed Aronovih otrók bodo jedli od nje. To bo zakon na veke v vaših rodovih glede Gospodovih daritev, narejenih z ognjem; vsak, kdor se jih dotakne, bo svét.‹«
0306130026	Gospod je spregovoril Mojzesu, rekoč:
03061400c9	»To je dar Arona in njegovih sinov, ki ga bodo darovali Gospodu na dan, ko je maziljen: deseti del škafa fine moke za neprestano jedilno daritev, polovico od tega zjutraj in polovico od tega zvečer.
0306150096	V ponvi naj bo pripravljena z oljem in ko je ocvrta, jo boš v njej prinesel in pečene koščke jedilne daritve boš daroval v prijeten vonj Gospodu.
