2800000006	Mateus
2a09320061	Jesus respondeu: “Não o proíbam. Qualquer um que não for contra vocês está a seu favor.”
2a09330061	Como o momento dele subir aos céus se aproximava, Jesus estava determinado a ir para Jerusalém.
2a0934005f	Ele enviou mensageiros a sua frente para uma vila samaritana, para deixar tudo pronto para ele.
2a09350061	Mas, as pessoas de lá não o receberam bem, pois perceberam que ele estava indo para Jerusalém.
2a09360081	Quando Tiago e João viram isso, disseram: “Senhor, você quer que nós mandemos descer fogo do céu para queimar esta vila?”
2a09370039	Mas, Jesus se virou e reprovou a atitude dos discípulos.
2a0938002a	Depois, eles prosseguiram para outra vila.
2a0939005a	Enquanto eles caminhavam, um homem disse a Jesus: “Eu o seguirei para onde você for.”
2a093a009c	Jesus disse ao homem: “As raposas têm suas tocas, e os pássaros têm os seus ninhos, mas o Filho do Homem não tem nem mesmo um lugar para descansar.”
2a093b0090	Então, Jesus disse a outro homem: “Siga-me!” Mas, o homem respondeu: “Senhor, primeiro deixe que eu vá para casa e sepulte o meu pai.”
2a093c006c	Jesus respondeu: “Deixe que os mortos sepultem os seus próprios mortos. Vá e anuncie o Reino de Deus.”
2a093d007a	Outro homem disse: “Senhor, eu o seguirei! Porém, primeiro deixe-me ir para casa para me despedir da minha família.”
2a093e006d	Jesus lhe disse: “Quem começa a arar a terra e depois olha para trás, não serve para o Reino de Deus.”
2a0a010087	Depois disso, o Senhor nomeou setenta outros discípulos e os enviou em duplas para cada cidade e cada lugar que ele planejava visitar.
2a0a02009f	Jesus lhes disse: “A colheita é grande, mas são poucos os trabalhadores. Orem para que o Senhor da colheita envie trabalhadores para ajudar na sua lavoura.
2a0a030058	Então, prossigam em seu caminho: Estou lhes mandando como ovelhas para o meio de lobos.
2a0a040092	Não levem dinheiro, sacola ou até mesmo um par de sandálias a mais e não percam tempo conversando com as pessoas que encontrarem pelo caminho.
2a0a05005b	A primeira coisa que dirão ao entrar em uma casa será: ‘Que a paz esteja nesta casa!’
2a0a0600a6	Se lá morar uma pessoa pacífica, então, a paz de vocês ficará neste lar. Mas, se for ao contrário, e a pessoa não for de paz, a sua paz retornará para vocês.
2a0a070089	Fiquem nessa casa, comendo e bebendo o que lhes derem, pois um trabalhador merece ser pago. Não fiquem mudando de uma casa para a outra.
2a0a080066	Se vocês entrarem em uma cidade e as pessoas de lá receberem bem vocês, comam o que lhes oferecerem
2a0a090067	e curem os seus doentes. Depois, digam para os que vivem lá: ‘O Reino de Deus chegou para vocês.’
2a0a0a0078	Porém, se vocês entrarem em uma cidade e não forem bem recebidos, saiam pelas ruas, dizendo para os moradores de lá:
2a0a0b00b5	‘Nós estamos limpando até mesmo o pó de sua cidade que grudou em nossos pés, para lhes mostrar a nossa desaprovação. Mas admitam isto: O Reino de Deus chegou para vocês.’
2a0a0c0068	Eu lhes digo que, no Dia do Julgamento, Deus terá mais tolerância com Sodoma do que com aquela cidade.
2a0a0d0101	Ai de você, Corazim! Ai de você, Betsaida! Pois se os milagres que vocês viram acontecer tivessem acontecido em Tiro e Sidom, as pessoas de lá teriam se arrependido há muito tempo, e elas vestiriam roupas de tecidos grosseiros e se cobririam de cinzas.
2a0a0e005d	É por isso que, no julgamento, Deus será mais tolerante com Tiro e Sidom do que com vocês.
2a0a0f0065	E você, cidade de Cafarnaum? Acha que subirá até o céu? Você será lançada no mundo dos mortos!
2a0a10008c	Quem os ouve também me ouve, e quem os rejeita também me rejeita. Mas, qualquer um que me rejeita também rejeita aquele que me enviou.”
2a0a1100bd	Os setenta discípulos voltaram muito animados, dizendo: “Senhor, até mesmo os demônios nos obedecem quando, pelo poder do nome do senhor, ordenávamos que eles saíssem das pessoas!”
2a0a12003d	Jesus respondeu: “Eu vi Satanás cair do céu como um raio.
2a0a130085	Sim, eu lhes dei poder para pisarem em serpentes e escorpiões e para superarem a força de todos os inimigos, e nada lhes fará mal.
2a0a140088	Mas, não fiquem contentes porque os espíritos maus lhes obedecem. Fiquem felizes porque os nomes de vocês estão escritos no céu.”
2a0a150112	Naquele momento, Jesus foi tomado pela alegria do Espírito Santo e disse: “Agradeço a você, Pai, Senhor do céu e da terra, pois escondeu essas coisas das pessoas sábias e inteligentes, mas as revelou aos pequeninos! Sim, Pai, você ficou feliz ao fazer dessa maneira.
2a0a1600bd	O meu Pai me entregou todas as coisas. Ninguém entende o Filho, a não ser o Pai, e ninguém entende o Pai, a não ser o Filho e aqueles para quem o Filho escolhe mostrar quem o Pai é.”
2a0a17009e	Quando eles estavam sozinhos, Jesus se virou para os discípulos e lhes disse: “Aqueles que veem o que vocês estão vendo deveriam ficar realmente felizes.
2a0a1800c6	Eu lhes digo: muitos profetas e reis gostariam de ver o que vocês estão vendo, mas eles não viram. E eles também gostariam de ouvir as coisas que vocês estão ouvindo, mas eles não ouviram.”
2a0a1900ab	Certa vez, um especialista na lei religiosa se levantou e, tentando pegar Jesus em uma armadilha, disse: “Mestre, o que eu preciso fazer para conseguir a vida eterna?”
2a0a1a004b	Jesus perguntou: “O que está escrito na lei? Como você a interpreta?”
2a0a1b00c1	O homem respondeu: “Ame o Senhor, seu Deus, com todo o seu coração e com toda a sua alma, com todas as suas forças e com todos os seus pensamentos. E ame o seu próximo como a si mesmo.”
2a0a1c0045	Jesus lhe disse: “Você está certo! Faça isso e você viverá.”
2a0a1d0057	Mas, o homem querendo se justificar, perguntou a Jesus: “E quem é o meu próximo?”
2a0a1e00b0	Jesus respondeu: “Um homem estava descendo de Jerusalém para Jericó. Ele foi atacado por ladrões, que roubaram tudo o que ele tinha, bateram nele e o deixaram quase morto.
2a0a1f007b	Por coincidência, um sacerdote estava viajando pelo mesmo caminho. Ele viu o homem, mas passou pelo outro lado da estrada.
2a0a200085	Depois, um levita apareceu. Mas, quando ele chegou ao lugar e viu o homem, também fez questão de passar pelo outro lado da estrada.
2a0a21005d	Finalmente, um samaritano apareceu na estrada. Ao passar, ele viu o homem e sentiu pena dele.
2a0a2200a7	Ele se aproximou e tratou os ferimentos do homem com óleo e vinho e depois fez curativos. Então, ele levou o homem em seu jumento para uma pensão, onde cuidou dele.
2a0a2300ac	No dia seguinte, deu dois denários para o dono da pensão e lhe disse: ‘Cuide dele e, se você gastar mais do que o dinheiro que deixei, eu lhe pagarei quando voltar.’
2a0a240066	Qual desses três homens você acha que foi o próximo para o homem que foi atacado pelos ladrões?”
2a0a250076	O especialista em religião respondeu: “Aquele que o ajudou.” Jesus, então, disse-lhe: “Vá e faça o mesmo!”
2a0a26006a	Continuando sua jornada, Jesus chegou a uma vila, e uma mulher, chamada Marta, convidou-o para a sua casa.
2a0a270061	Tinha ela uma irmã chamada Maria, que se sentou aos pés do Senhor e ouviu os seus ensinamentos.
2a0a280114	Marta ficou preocupada com tudo que precisava ser feito para a preparação da refeição. Então, veio até Jesus e lhe disse: “Mestre, você não se importa de minha irmã ter deixado todo o serviço da casa para que eu fizesse sozinha? Diga a ela para vir e me ajudar!”
2a0a290058	O Senhor respondeu: “Marta, Marta, você está preocupada e agitada com muitas coisas!
2a0a2a0073	Mas, apenas uma coisa é realmente necessária. Maria escolheu a melhor de todas, e esta não será tirada dela.”
2a0b0100cc	Certa vez, Jesus estava orando em um determinado lugar. Quando ele terminou, um dos seus discípulos lhe pediu: “Senhor, por favor, ensine-nos a orar, como João Batista ensinou aos seus discípulos.”
2a0b020078	Jesus lhes disse: “Quando vocês orarem, digam: ‘Pai, que o seu nome seja reconhecido como santo. Venha o seu Reino.
2a0b03002b	Dá-nos cada dia o alimento que precisamos.
2a0b040078	Perdoa-nos os nossos pecados, assim como perdoamos aos que nos têm ofendido. E não nos deixe cair em tentação.’”
2a0b0500a4	Jesus continuou a lhes dizer: “Digamos que você tenha um amigo e que, no meio da noite, você vá à casa dele e lhe diga: ‘Meu amigo, empreste-me três pães,
2a0b06004c	pois um amigo meu veio me visitar e eu não tenho nada para lhe oferecer.’
2a0b0700b7	Talvez, o seu amigo lá de dentro responda: ‘Não me incomode. Eu já tranquei a porta. Os meus filhos e eu já estamos deitados. Eu não vou me levantar para lhe dar nada agora.’
2a0b0800be	Eu lhes digo: mesmo que ele se recuse a se levantar e lhe dar o pão, apesar de você ser seu amigo, se você for persistente, o seu amigo se levantará e lhe dará tudo o que você precisa.
2a0b090074	Eu lhes digo: peçam, e vocês receberão; procurem, e vocês encontrarão; batam, e a porta se abrirá para vocês.
2a0b0a0061	Pois, todo o que pede recebe; todo o que procura acha; e para todo o que bate a porta se abrirá.
2a0b0b005c	Qual de vocês, pais, se o seu filho lhe pedir um peixe, em lugar disso lhe dará uma cobra?
2a0b0c0031	Ou, se ele pedir um ovo, lhe dará um escorpião?
2a0b0d00a1	Então, se vocês, mesmo sendo maus, ainda sabem dar boas coisas para os seus filhos, quanto mais o Pai celestial dará o Espírito Santo para quem lhe pedir!”
2a0b0e00a5	Jesus estava expulsando um demônio que tinha feito com que um homem ficasse mudo. Quando o demônio saiu, o mudo falou, e todos que estavam vendo ficaram admirados.
2a0b0f0066	Mas, alguns disseram: “Ele expulsa os demônios usando o poder de Belzebu, o chefe dos demônios.”
2a0b10006d	Outros procuravam testar Jesus, pedindo que ele fizesse um milagre, para mostrar que seu poder vinha de Deus.
2a0b1100c1	Jesus sabia o que eles estavam pensando e disse: “Qualquer reino em que os cidadãos lutam entre si será destruído. Uma família em que seus membros lutam entre si também será destruída.
2a0b12008d	Se Satanás luta contra si mesmo, como pode o seu reino continuar a existir? Vocês dizem que eu expulso demônios usando o poder de Belzebu.
2a0b130099	Mas, se eu os expulso pelo poder de Belzebu, pelo poder de quem a sua própria gente os expulsa? Eles mesmos serão a prova de que vocês estão errados.
2a0b14008e	No entanto, se eu estou expulsando demônios pelo poder de Deus, então, isso prova que o Reino de Deus chegou. Está aqui mesmo entre vocês!
2a0b15005e	Quando um homem forte, que está bem armado, vigia sua casa, tudo o que ele tem está a salvo.
2a0b1600b8	Mas, se um homem mais forte ainda vier e o vencer, tirando dele todas as armas das quais ele depende para a sua proteção, então, ele conseguirá levar tudo o que o dono da casa tem.
2a0b17006b	Assim, todos que não estão comigo estão contra mim, e todos que não constroem comigo estão destruindo.
2a0b1800ce	Quando um espírito mau é expulso de alguém, ele vai direto para o deserto, procurando um lugar para ficar. Quando não consegue encontrar um lugar, ele diz: ‘Eu irei voltar para a casa da qual saí.’
2a0b19003c	Quando ele volta, encontra sua antiga casa limpa e arrumada.
2a0b1a00af	Então, ele sai e encontra mais outros sete espíritos, ainda piores do que ele, e todos ficam morando ali. No final, a situação desse homem fica ainda pior do que antes.”
2a0b1b0084	Enquanto Jesus falava, uma mulher, no meio da multidão, gritou: “Abençoada é a mulher que pôs você no mundo e o amamentou!”
2a0b1c006c	Mas Jesus disse: “Ainda mais abençoados são aqueles que ouvem a palavra de Deus e fazem como ela diz!”
2a0b1d00db	Quando as pessoas começaram a se juntar em volta de Jesus, ele lhes disse: “Esta é uma geração de pessoas más, pois procuram algum sinal milagroso, mas nenhum sinal será dado a eles, a não ser o sinal de Jonas.
2a0b1e007c	Da mesma maneira que Jonas foi um sinal para o povo de Nínive, o Filho do Homem também será um sinal para esta geração.
2a0b1f00e9	No julgamento, a rainha do Sul se levantará contra o povo desta geração e o condenará, pois ela veio de muito longe para ouvir os sábios ensinamentos de Salomão. E, agora, há aqui alguém ainda mais importante do que Salomão.
2a0b2000f0	No julgamento, o povo de Nínive se levantará contra as pessoas desta geração e as condenará, pois eles se arrependeram dos seus pecados, quando ouviram a mensagem de Jonas. E agora, há alguém aqui que é mais importante do que Jonas.
2a0b2100b4	Ninguém acende um lampião e depois o esconde ou o coloca debaixo de um cesto. Não, o lampião deve ser colocado no velador, para que aqueles que entram na casa possam ver a luz.
2a0b2200b8	Os olhos são como uma luz para o corpo. Quando os seus olhos são bons, todo o seu corpo fica cheio de luz. Mas, quando os seus olhos são ruins, então, o seu corpo está nas trevas.
2a0b23005d	Então, tenha cuidado para que a luz que está dentro de você não seja, na verdade, trevas.
2a0b2400bf	Se todo o seu corpo estiver cheio de luz, sem nenhuma parte escura, então, ele estará completamente iluminado, exatamente como acontece quando você é iluminado pela luz de um lampião.”
2a0b250071	Após Jesus terminar de falar, um fariseu o convidou para comer com ele. Assim, Jesus foi e se sentou para comer.
2a0b260068	O fariseu ficou surpreso por Jesus não lavar as mãos antes de comer, como era cerimonialmente exigido.
2a0b270098	Então, o Senhor lhe disse: “Vocês, fariseus, limpam a parte de fora do copo e do prato, mas, por dentro vocês estão cheios de ganância e maldade.
2a0b28005f	Seus tolos! Vocês não acham que aquele que fez a parte de dentro também fez a parte de fora?
2a0b290079	Portanto, deem aos pobres o que está dentro do copo e do prato. Então, ao agirem assim, tudo ficará limpo para vocês.
2a0b2a00de	Ai de vocês, fariseus! Vocês pagam o dízimo sobre ervas e verduras, mas negligencia a justiça e o amor de Deus. Vocês precisam prestar atenção a essas coisas, mas não devem se esquecer de cumprir também as outras.
2a0b2b009e	Ai de vocês, fariseus! Vocês gostam de ter os melhores lugares nas sinagogas e de serem cumprimentados com respeito, quando estão nas praças dos mercados.
2a0b2c0070	Ai de vocês, que são como túmulos sem identificação, sobre os quais as pessoas andam sem nem perceberem!”
2a0b2d0072	Um dos especialistas na lei religiosa reagiu, dizendo: “Mestre, quando você fala assim, também nos insulta!”
2a0b2e00bd	Jesus respondeu: “Ai de vocês também, especialistas na lei! Vocês colocam sobre as pessoas cargas muito pesadas para serem carregadas, mas não levantam um único dedo para ajudá-las.
2a0b2f007a	Ai de vocês, que constroem túmulos para homenagear os profetas, mas foram os seus próprios antepassados que os mataram!
2a0b30008c	Assim, vocês mostram que concordam com o que os seus antepassados fizeram. Eles mataram os profetas, e vocês constroem túmulos para eles!
2a0b310097	É por isso que Deus, em toda a sua sabedoria, disse: ‘Enviarei profetas e apóstolos para eles. Alguns, eles matarão. Outros, eles perseguirão.’
2a0b320081	Por isso, esta geração de pessoas será culpada pelo sangue de todos os profetas que foi derramado desde o princípio do mundo;
2a0b3300a2	desde o sangue de Abel até o sangue de Zacarias, que foi assassinado entre o altar e o santuário. Sim, eu lhes digo: esta geração será culpada por tudo isso.
2a0b340096	Ai de vocês, especialistas na lei! Vocês guardaram a chave do conhecimento. Vocês mesmos não entram e também não deixam que os outros entrem.”
2a0b35009c	Enquanto Jesus estava saindo, os educadores religiosos e os fariseus começaram a atacá-lo agressivamente, fazendo todo tipo de perguntas para provocá-lo.
2a0b36007f	Eles estavam esperando uma oportunidade de pegá-lo, tentando fazer com que ele dissesse algo que pudesse ser usado contra ele.
2a0c0100db	Nesse meio tempo, milhares de pessoas se ajuntaram, de tal modo que elas pisavam umas nas outras. Jesus falou primeiro aos seus discípulos: “Tenham cuidado com o fermento dos fariseus, ou seja, com a falsidade deles.
2a0c02005a	Pois tudo que está escondido será revelado. Tudo que estiver em segredo será conhecido.
2a0c030098	Tudo o que vocês disseram na escuridão será ouvido na luz do dia. E tudo o que vocês disseram em segredo será anunciado aos quatro cantos da terra.
2a0c040095	Eu lhes digo, meus amigos, não tenham medo daqueles que matam o corpo, pois uma vez que tenham feito isso, não há mais nada que eles possam fazer.
2a0c0500b1	Deixem-me dizer de quem vocês devem ter medo: vocês devem temer aquele que, depois de ter matado, ainda tem o poder de lançá-los na Geena. É dele que vocês devem ter medo.
2a0c060073	Não é verdade que cinco passarinhos são vendidos por alguns centavos? Mas, Deus não se esquece de nenhum deles.
2a0c070073	Até os cabelos da cabeça de vocês foram contados. Não tenham medo! Vocês valem mais do que muitos passarinhos.
2a0c0800ba	Eu lhes digo que isto é verdade: aqueles que disserem publicamente que pertencem a mim, o Filho do Homem também irá dizer, diante dos anjos de Deus, que essas pessoas pertencem a ele.
2a0c090054	Mas, aqueles que me negarem também serão negados por mim diante dos anjos de Deus.
2a0c0a0087	Qualquer um que falar contra o Filho do Homem será perdoado, mas quem disser blasfêmias contra o Espírito Santo não será perdoado.
2a0c0b00ab	Quando vocês forem levados para serem julgados nas sinagogas, e diante de governantes e de autoridades, não se preocupem como irão se defender ou com o que irão dizer.
2a0c0c004b	O Espírito Santo lhes ensinará, naquela mesma hora, o que devem dizer.”
2a0c0d007a	Alguém que estava na multidão disse a Jesus: “Mestre, por favor, diga ao meu irmão para dividir a herança comigo.”
2a0c0e0086	Jesus respondeu: “Homem, quem me indicou como seu juiz para decidir como a sua herança deve ser dividida?” Ele disse às pessoas:
2a0c0f00ae	“Prestem atenção! Tenham cuidado com todos os pensamentos e com todas as ações mesquinhas, pois a vida de uma pessoa não se resume a todas as coisas que ela possui.”
2a0c100087	Então, ele contou para a multidão uma história como exemplo. “Certa vez, havia um homem rico que possuía terras muito produtivas.
2a0c110057	O homem pensou: ‘O que eu devo fazer? Eu não tenho onde guardar a minha colheita.’
2a0c1200de	Ele, então, decidiu: ‘Eu sei o que farei: vou derrubar os meus depósitos e construirei outros depósitos de cereais maiores ainda. Assim, eu terei espaço para guardar toda a minha colheita e também tudo o que possuo.
2a0c130083	Depois, direi a mim mesmo: Você já tem riquezas o bastante para viver por muitos anos. Então, relaxe, coma, beba e aproveite!’
2a0c140085	Mas, Deus lhe disse: ‘Você é um homem tolo! Nesta mesma noite, você morrerá e, aí, quem ficará com tudo que você guardou?’
2a0c150077	É isso o que acontece com as pessoas que acumulam riquezas para si, mas não são ricas no que diz respeito a Deus.”
2a0c160085	Jesus disse aos seus discípulos: “É por isso que eu lhes digo: não se preocupem com a vida, com o que comer ou com o que vestir.
2a0c17005d	A vida é bem mais do que apenas a comida, e o corpo é bem mais do que apenas vestir roupas.
2a0c180098	Vejam os corvos. Eles não semeiam nem colhem, não têm despensas ou depósitos, mas Deus os alimenta. E vocês são mais valiosos do que os pássaros.
2a0c190059	Vocês podem acrescentar uma hora a mais em sua vida, por mais que se preocupem com isso?
2a0c1a0075	Se vocês não podem fazer nada em relação a uma coisa pequena como essa, então, por que se preocupar com o resto?
2a0c1b00df	Pensem nos lírios e em como eles crescem. Eles não trabalham e nem tecem os fios para fazerem roupas. Mas, eu lhes digo que nem mesmo Salomão, em toda a sua glória, se vestiu de forma tão bela quanto qualquer um deles.
2a0c1c0098	Assim, se Deus veste a erva, que hoje está no campo, mas que amanhã é lançada no forno, muito mais irá vesti-los, vocês que têm fé tão pequena.
2a0c1d004d	Não se preocupem com o que irão comer ou beber. Não se preocupem com isso.
2a0c1e006f	Todas essas são coisas com que as pessoas no mundo se preocupam, mas o seu Pai sabe que vocês precisam delas.
2a0c1f0047	Busquem primeiro o Reino de Deus, e vocês receberão as demais coisas.
2a0c20004f	Não tenha medo, pequeno rebanho, pois o seu Pai tem prazer em lhe dar o Reino.
2a0c2100e3	Vendam o que vocês têm e deem o dinheiro aos pobres. Consigam para si mesmos bolsas que não se estragam: um tesouro no céu, que nunca irá acabar, onde nenhum ladrão poderá roubá-lo e nem as traças poderão destruí-lo.
2a0c22004c	Pois o que vocês mais valorizam é o que realmente mostra quem vocês são.
2a0c23003a	Estejam vestidos e prontos e deixem seus lampiões acesos.
2a0c2400a8	Sejam como os empregados que esperam pela volta do seu patrão depois da festa de casamento. Eles já estão preparados para abrir a porta assim que ele chegar e bater.
2a0c2500ca	Felizes os empregados que o patrão encontra preparados quando ele chega. Eu lhes digo que isto é verdade: ele se vestirá, fará com que eles se sentem para comer e ele mesmo servirá seus empregados.
2a0c26006e	Mesmo se ele chegar à meia-noite, ou mais tarde, felizes dos empregados se ele os encontrar alerta e prontos!
2a0c270091	Mas, lembrem-se disto: se o dono da casa soubesse quando um ladrão chegaria, ele ficaria vigiando e não deixaria que a sua casa fosse invadida.
2a0c28006e	Vocês também devem estar preparados, pois o Filho do Homem virá quando não estiverem esperando por ele.”
2a0c29005f	“Você está contando essa história apenas para nós, ou é para todos?”, Pedro perguntou.
2a0c2a00bd	O Senhor respondeu: “Então, quem é o administrador confiável e sábio, que o patrão coloca como responsável na casa, para distribuir a comida para os outros empregados na hora certa?
2a0c2b0064	Feliz desse empregado quando o seu patrão voltar e descobrir que ele cumpriu tudo como deveria ser.
2a0c2c0061	Eu lhes digo que isto é verdade: o patrão deixará esse empregado como o responsável por tudo.
2a0c2d00d6	Mas, e se o empregado pensar: ‘Meu patrão está demorando para voltar.’ E então, ele começar a bater nos outros empregados, tantos nos homens quanto nas mulheres, e passar a comer e beber até ficar bêbado?
2a0c2e00a6	Um dia, o patrão desse empregado chegará de repente e ele não saberá. O patrão o punirá duramente e o condenará a ir para o lugar onde estão os desobedientes.
2a0c2f009a	O empregado que sabia qual era a vontade do seu patrão e, ainda assim, não se aprontou, ou não seguiu as instruções dele, será castigado com dureza.
2a0c3000c3	Mas, o empregado que não sabia e fez coisas que mereciam punição será punido apenas levemente. Para quem muito foi dado, muito será exigido. E para quem foi confiado mais, mais será pedido.
2a0c31004b	Eu vim para pôr fogo na terra e como seria bom se já estivesse queimando!
2a0c320059	Mas, eu preciso primeiro passar por um batismo, e como estou agoniado esperando por isso!
2a0c330055	Vocês acham que eu vim trazer paz à terra? Não, eu lhes digo que trago a divisão.
2a0c34007b	A partir de agora, se houver cinco pessoas em uma família, elas ficarão divididas: três contra duas e duas contra três.
2a0c3500ab	Pais ficarão contra os filhos e os filhos contra os pais. As mães contra as filhas e as filhas contra as mães. As sogras contra as noras e as noras contra as sogras.”
2a0c360099	Então, Jesus falou para a multidão: “Quando vocês veem uma nuvem subindo no oeste, imediatamente dizem: ‘Vai chover.’ E isso realmente acontece.
2a0c370052	E quando sopra o vento sul, vocês dizem: ‘Irá fazer calor.’ E isso acontece.
2a0c380091	Hipócritas! Como é que vocês sabem interpretar com tanta certeza se vai fazer calor ou chover, mas não sabem como interpretar a época atual?
2a0c39004f	Por que vocês não pensam por si mesmos e julgam o que é o certo a ser feito?
2a0c3a00fa	Quando vocês estiverem indo para o tribunal com quem os acusou, tentem fazer um acordo com essa pessoa antes do julgamento. Caso contrário, vocês podem ser levados a um juiz, o juiz pode entregá-los ao guarda e o guarda pode jogá-los na prisão.
2a0c3b006e	Eu lhes digo que vocês não irão sair da prisão enquanto não pagarem até o último centavo da dívida.”
2a0d010094	Mais ou menos naquele momento, algumas pessoas disseram a Jesus como Pilatos matara alguns galileus, enquanto eles ofereciam sacrifícios no Templo.
2a0d020085	“Vocês acham que esses galileus eram mais pecadores do que quaisquer outros, porque eles morreram desse jeito?” Jesus perguntou.
2a0d03005c	“Eu lhes digo que não. Mas, a menos que vocês se arrependam, todos irão morrer também.
2a0d040093	E aquelas dezoito pessoas que morreram quando a torre em Siloé caiu sobre elas? Vocês acham que elas eram as piores pessoas em toda a Jerusalém?
2a0d050062	Eu lhes digo que não. Porém, a não ser que vocês se arrependam, todos irão morrer também.”
2a0d0600c0	Então, Jesus lhes contou esta história como exemplo: “Havia um homem que tinha uma figueira em sua plantação de uvas. Ele chegou, procurando frutos na árvore, mas não encontrou nenhum.
2a0d0700cd	Então, disse ao jardineiro: ‘Veja! Durante três anos eu venho procurar algum fruto nesta figueira e não encontro nenhum. Corte esta árvore! Por que ela deveria ocupar espaço na minha plantação?’
2a0d080099	O jardineiro respondeu: ‘Patrão, por favor, deixe a figueira aí apenas por mais um ano. Eu irei cavar a terra em volta dela e colocarei fertilizante.
2a0d090052	Se ela produzir frutos, então, muito bem. Se não, então, mande cortá-la.’”
2a0d0a0033	Um sábado, Jesus estava ensinando em uma sinagoga.
2a0d0b0096	Havia ali uma mulher que fazia dezoito anos que se encontrava doente por causa de um espírito mau. Ela ficava curvada e não conseguia se endireitar.
2a0d0c004e	Quando Jesus a viu, chamou-a e disse: “Você está curada da sua doença.”
2a0d0d0065	Depois, ele colocou as suas mãos sobre ela e, imediatamente, a mulher se endireitou e louvou a Deus.
2a0d0e00cf	No entanto, o líder da sinagoga ficou chocado por Jesus ter curado em um sábado. Ele disse para a multidão: “Há seis dias dedicados ao trabalho. Venham e sejam curados nesses dias e não no sábado.”
2a0d0f009e	Mas o Senhor disse para o líder: “Hipócritas! Qualquer um de vocês não desamarra, no sábado, seu boi ou jumento do estábulo e o leva para beber água?
2a0d1000a2	Por que essa mulher, uma descendente de Abraão, que Satanás manteve amarrada por dezoito anos, não deveria ser desamarrada e libertada neste dia de sábado?”
2a0d11009e	O que Jesus disse envergonhou todos os seus opositores. Mas, todos na multidão estavam muito felizes com todas as coisas maravilhosas que ele estava fazendo.
2a0d12006a	Depois, Jesus perguntou: “Então, com o que se parece o Reino de Deus? Com o que eu poderia compará-lo?
2a0d1300a5	É como uma semente de mostarda que um homem plantou em seu jardim. Ela cresceu e virou uma árvore. Os pássaros, então, vieram e fizeram ninhos em seus galhos.”
2a0d140048	Ele perguntou novamente: “Com o que eu posso comparar o Reino de Deus?
2a0d15007b	É como o fermento que uma mulher pegou e misturou em três medidas de farinha e que fez com que toda a massa crescesse.”
2a0d160056	Jesus percorreu as cidades e vilas em volta, ensinando em seu caminho para Jerusalém.
2a0d170052	Alguém lhe perguntou: “Senhor, apenas poucos serão salvos?” Jesus respondeu:
2a0d18007e	“Tentem de todas as maneiras entrar pela porta estreita, pois, eu lhes digo que muitos tentarão entrar e não conseguirão.
2a0d1900f8	Uma vez que o dono da casa se levante e feche a porta, vocês ficarão do lado de fora, batendo na porta e dizendo: ‘Senhor, por favor, abra a porta para nós!’ Mas, ele responderá: ‘Eu não conheço vocês e não sei de onde vocês são.’
2a0d1a006d	Então, vocês dirão: ‘Mas, nós comemos e bebemos com você. E você ensinou nas ruas da nossa cidade.’
2a0d1b0096	Ele responderá: ‘Eu lhes digo que não conheço vocês e não sei de onde vocês são. Saiam de perto de mim, todos vocês que não fazem o bem.’
2a0d1c008c	Haverá choro e ranger de dentes quando vocês virem Abraão, Isaque, Jacó e todos os profetas no Reino de Deus, e vocês, do lado de fora.
2a0d1d0065	As pessoas virão do leste e do oeste, do norte e do sul, e se sentarão para comer no Reino de Deus.
2a0d1e004c	Pois, os últimos serão os primeiros, e os primeiros serão os últimos.”
2a0d1f0083	Nesse momento, alguns fariseus vieram até Jesus e lhe disseram: “Você deveria ir embora daqui, porque Herodes quer matá-lo.”
2a0d2000ae	Jesus respondeu: “Vão e digam para aquela raposa que eu continuarei a expulsar demônios e a curar pessoas hoje e amanhã. E no terceiro dia eu terminarei o que vim fazer.
2a0d2100a2	Bem, de qualquer forma, eu devo seguir o meu caminho hoje e amanhã e depois de amanhã também. Pois, não seria certo para um profeta morrer fora de Jerusalém.
2a0d220117	Jerusalém, Jerusalém, que mata os profetas e apedreja aqueles que Deus envia para você! Por quantas vezes eu tentei reunir todos os seus filhos, exatamente como uma galinha faz com os seus pintinhos, quando os coloca debaixo de suas asas. Mas, vocês recusaram todas as vezes.
2a0d2300a6	Vejam! A casa de vocês ficará abandonada. E eu lhes digo que vocês não me verão até o dia em que disserem: ‘Abençoado aquele que vem em nome do Senhor!’”
2a0e010072	Em um sábado, Jesus foi comer na casa de um dos líderes dos fariseus, onde todos o observavam muito atentamente.
2a0e020037	Havia um homem lá com os braços e as pernas inchados.
2a0e030078	Então, Jesus perguntou aos especialistas na lei religiosa e aos fariseus: “A lei permite curar no sábado ou não?”
2a0e04004b	Mas, eles ficaram quietos. Jesus tocou no homem, curou-o e o mandou embora.
2a0e050088	Depois, Jesus lhes disse: “Se o seu filho ou o seu boi caísse em um poço no sábado, vocês não o tirariam de lá imediatamente?”
2a0e06002d	Eles não foram capazes de responder a Jesus.
2a0e07008d	Então, ao notar como os convidados tinham escolhido sentar nos lugares de honra, ele contou uma história para eles. E, assim, ele começou:
2a0e0800a6	“Quando você for convidado para uma festa de casamento, não escolha o lugar de honra, pois pode ser que alguém mais importante do que você tenha sido convidado.
2a0e0900df	A pessoa que convidou os dois para a festa virá e lhe dirá: ‘Dê o seu lugar para este homem se sentar.’ Então, muito constrangido, você terá que sair desse lugar para se sentar em qualquer outro que tenha sobrado.
