0100000009	ኡመመ
0a140400a1	ኤርገሲስ ሞትች አማሳዻን፣ “ነሞተ ይሁዳ ጉያ ሰዲ ኬሰት ወልት ና ቀብ፤ አትስ አስት አርገም” ጄዼ።
0a14050072	አማሳን ገሩ ዮሙ ነሞተ ይሁዳ ዋሙ ዴሜት ዬሮ ሞትች እሳፍ ኬኔ ጫላ ቱሬ።
0a14060129	ዳዊትስ አቢሻይዻን፣ “ሼባን እልም ቢክሪ ሚዻ አቤሳሎም ኑ ሚዼ ሰነ ጫላ ኑ ሚዸ። አት ነሞተ ጎፍታኬቲ ፉዸዹቲ እሰ አርእ፤ ዮ ከና አቺ እን መጋላ ደአትኖ ቀቡ አርገቴ ኑ ጀላ ምልቀ” ጄዼ።
0a1407011b	ከናፉ ነሞትን ዮኣቢፊ ኬሬቶትን፣ ጴሌቶትኒፊ ነሞትን ወራና ጀጀቦን ሁንድ አጀጀ አቢሻይ ጀለት ህሪረኒ ቀጄለን። እሳንስ ዬሩሳሌሚ ከአኒ ሼባ እልመ ቢክሪ ሰነ አርኡፍ ቀጄለን።
0a1408017c	ኡቱመ እሳን ግቤኦን ኬሰ ከታ ጉዳ ብረ ጅረኑ አማሳን እሳን ስመቹፍ ዹፌ። ዮኣብ ኡፈተሳ ከን ወራና ኡፈቴ፤ ቀልቀል ጎራዴንሳ ኬሰ ጅሩስ ሰበታን ሙዺሳት ህዸሜ ቱሬ። አኩመ እን ገረ ፉለ ዱራት ተርካንፈቴንስ ጎራድች ቀልቀለሳ ኬሳ ለፈ ቡኤ።
0a140900c4	ዮኣብስ አማሳን፣ “ያ ኦቦሌሶ፣ አከም ጅርተ?” ጄዼ። ከነረት ዮኣብ እሰ ዹንገቹፍ ሀርከሳ ምርጋቲን ሀሬደ አሜሳይ ቀበቴ።
0a140a0168	አሜሳይ አከ ዮኣብ ጎራዴ ሀርካ ቀቡ ህንሁበትኔ ቱሬ፤ ከናፉ ዮኣብ ጎራዴ ሰነ ገራሳት ድሬ፤ መርኡማንሳስ ለፈት ጅጌ። አማሳንስ ኡቱ ለመተ ህንወራነምን ዱኤ። ኤርገሲሞ ዮኣቢፊ ኦቦሌስሳ አቢሻይ ሼባ እልመ ቢክሪ ሰነ አርአን።
0a140b00c5	ነሞተ ዮኣብ ኬሳ እን ቶኮ አሜሳይ ብረ ዻበቴ፣ “ነምን ዮኣብን ጃለቱ፣ ከን ገሬ ዳዊት ተኤ ሁንድ ዮኣብን ዱካ ሃቡኡ!” ጄዼ።
0a140c015a	ዬሮ ከነት ሬፍ አማሳ ዺጋን ፋለሜ ከራረ ጪሰ ቱሬ፤ ነምች ቶኮስ አከ ሎልቶትን ሁንድ አች ዸዻበተን አርጌ። እንስ ዮሙ አከ ወር ገረ አሜሳይ ዹፈን ሁንድ ዸዻበተን አርጌት ከራራ ገረ ለፈ ቆቲሳት እሰ ሀርክሴ ወያረ ቡሴ።
0a140d00a2	ኤርገ ሬፍ አሜሳይ ከራራ ካፈሜ ቦዴ ነሞትን ሁንድኑ ሼባ እልመ ቢክሪ ሰነ አርኡፍ ዮኣብ ፋነ ቀጄለን።
0a140e00e4	ሳቤኤንስ ጎሶተ እስራኤል ሁንደ ኬሰ ደርቤ ገረ አቤል ቤት መኣካቲፊ ገረ ብየ ቤሪት ሁንዳ ዸቄ፤ ነሞትን ቤሪትስ ወልት ቀበመኒ እሰ ዱካ ቡአን።
0a140f0115	ሎልቶትን ዮኣብ ወጅን ቱረን ሁንድኑስ ዹፈኒ አቤል ቤት መኣካት ሳቤኤ መርሰን። እሳንስ ሀመ ከረ መጋላ ሰናት ናኔሰኒ ብዮ ቱለን፤ ዮሙ ደላ መጋላ ሰና ጅግሱፍ ቱማ ቱረንትስ፣
0a141000cc	ዱበርቲን ኦጌቲን ቶኮ መጋለቲዻ እሳን ዋምቴ፣ “ዸገኣ! ዸገኣ! አከ አን ዋ እሰት ህሙ ደንደኡፍ ዮኣብ አስ ሃዹፉ እት ህማ” ጄቴ።
0a14110110	እን ገረሼ ዸቄ፤ እሼንስ፣ “አት ዮኣቢ?” ጄቴ ጋፈቴ። እንስ፣ “አን እሱመ” ጄዼ ዴብሴ። እሼንሞ፣ “ዋን ተጃጅልቱንኬ ዱበቱ ዸገእ” ጄቴ። እንስ፣ “አን ዸገኣን ጅረ።”
0a141200c3	እሼንስ እት ፉፍቴ አከነ ጄቴ፤ “በረ ዱሪ ነሞትን፣ ‘ገረ አቤል ዸቃ ጎርሰ ጋፈዻ’ ጄዹ ቱሬ፤ አከሲንስ ዱቢን ንዹመ ቱሬ።
0a14130103	አን ወረ እስራኤል ኬሰ ነጋፊ አመነሙማን ጅራተን ኬሳ ቶኮዸ። አት መጋላ እስራኤል ኬሰት ሃዸ ታቴ ቶኮ በሌሱፍ ያዳ ጅርተ። አት ማሊፍ ዻለ ዋቀዮ ልቅምሱ በርባደ?”
0a14140099	ዮኣብሞ አከነ ጄዼ ዴብሴ፤ “ወን ኩን ነራ ሃፈጋቱ! መጋለቲ በሌሱን ዮካን ልቅምሱን ነራ ሃፈጋቱ!
0a141501a9	ወን ኩን አከነ ምት። ነምች ሼባ ጄዸሙ እልም ቢክሪ ከን ብየ ጋራ ኤፍሬም ሱን ሞቲት፣ ዳዊትት ሀርከሳ ኦል ፉዸቴረ። ነምቸ ቶክቸ ከነ ደበርሳ ኬና፤ አንስ መጋላ ከነ ገድ ዺሴ ነንበአ።” ዱበርቲን ሱንስ ዮኣቢን፣ “መታን ነምቸ ሰና ደላ እራን ገድ ሲፍ ደርበተመ” ጄቴ።
0a141601b7	ኤርገሲ ዱበርቲን ሱን ጎርሰሼ ከን ኦጉማን ጉተሜ ሰናን ነሞተ ሁንደ ብረ ዸቅጤ፤ እሳንስ መታ ሼባ እልመ ቢክሪ ሰና ኩተኒ ዮኣቢፍ ገድ ደርበተን። ከናፉ እን መለከተ አፉፌ፤ ነሞትንሳ መጋለቲ ዺሰኒ ቶኮን ቶኮን ነማ መነ ኦፊሳት ገሌ። ዮኣብሞ ገረ ዬሩሳሌም ሞትቸ ብረት ዴብኤ።
0a14170094	ዮኣብ ሎልቶተ እስራኤል ሁንደረት፣ ቤናያ እልም ዬሆያዳሞ ኬሬቶታፊ ጴሌቶተረት አጀጃ ተኤ፤
0a14180088	አዶራም ነሞተ ሆጂ ሁምና ሆጄተንረት ሙደሜ፤ ዬሆሻፋጥ እልም አሂሉድሞ ገልሜሳ ተኤ፤
0a1419004d	ሼዋን በሬሳ፣ ዛዶቂፊ አብያታርሞ ሉቦተ ቱረን፤
0a141a0056	አከሱመስ ኢራስ ነምች ጎሰ ያእር ሱን ሉበ ዳዊት ቱሬ።
0a15010102	ጀበነ ዳዊት ኬሰ ቤል ወጋ ሰዲ ወልት ኣንሴ ቡኤ፤ ከናፉ ዳዊት ፉለ ዋቀዮ በርባዴ። ዋቀዮስ፣ “ሰበቢ ሳኦል ግቤኦኖተ አጄሴፍ እሳፊ መነሳረ የከ ዺጋቱ ጅረ” ጄዼ።
0a1502016e	ሞትችስ ግቤኦኖተ ወልት ቀቤ እሳን ወጅን ሃሰኤ። ግቤኦኖትን ሀምባ አሞሮታ ቱረን መሌ እልማን እስራኤሎታ ምት፤ እስራኤሎን አከ እሳን ኤገን ከኩ ሴነኒፍ፤ ሳኦል ገሩ ህናፋ እስራኤሊፊ ይሁዳፍ ቀቡን ግቤኦኖተ በሌሱ በርባዴ ቱሬ።
0a150300c7	ዳዊትስ፣ “አን ማልን እስኒፍ ጎዸ? አከ እስን ዻለ ዋቀዮ ኤብፍተኒፍ አን አከምን አራረ ቡሱ ደንደአ?” ጄዼ ግቤኦኖተ ጋፈቴ።
0a1504015b	ግቤኦኖትንሞ፣ “ኑ ሳኦልራ ሜቲ ዮካን ወርቄ ጋፈቹፍ ምርገ ህንቀብኑ፤ ዮካን አከ ነምን ቶኮዩ እስራኤል ኬሰት ዱኡ ጎቹፍ ኑ ምርገ ቀብና?” ጄዸኒ ዴብሰኒፍ። ዳዊትስ፣ “አከ አን ማል እስኒፍ ጎዹ በርባዱ?” ጄዼ ጋፈቴ።
0a150500ca	እሳንስ አከነ ጄዸኒ ሞትቻፍ ዴቢ ኬነን፤ “ነመ አከ ኑ ዲገምኑፊ አከ ኑ እስራኤል ኬሰትስ እዶ ቶኮሌ ህንአርገትኔ ኑ ጎዼ ሰነ፣
0a1506010f	ሰኚሳ ኬሳ ዺር ቶርበ ኑፍ ሃኬነመን፤ ኑስ ዸቅኔ ብየ ሳኦል ነምቸ ዋቀዮ ፍለቴ ሰና፣ ግቤኣት ፉለ ዋቀዮ ዱረት እሳን ፈንፍና።” ከናፉ ሞትች፣ “ቶሌ እስኒፍን ኬነ” ጄዼ።
0a150700db	ሞትች ገሩ ሰበቢ ከኩ ዋቀዮ ከን ዳዊቲፊ ዮናታን እልመ ሳኦል ግዱት ጎዸሜ ሰናቲፍ ጄዼ ሜፊቦሼት እልመ ዮናታን እልመ ሳኦል ዱአ ጀላ ባሴ።
0a1508010f	ሞትችስ አርሞኒፊ ሜፊቦሼት እልማን ሪጥጳን እንተል አያ ሳኦሊፍ ዴሴ ለማኒፊ እልማን ሜሮብ እንተል ሳኦል አድሪኤል እልመ በርዝላይ ነምቸ ጎሰ ሜሆላቲፍ ዴሴ ሸነን ጌሴ።
0a1509015d	እንስ ደበርሴ ግቤኦኖተት እሳን ኬኔ። ጀርስ እሳን አጄሰኒ ጋረ ጉባት ፉለ ዋቀዮ ዱረት እሳን ፈንሰን። ቶርባንሳኒዩ ወሉማን ዹመን፤ እሳንስ አኩመ ገርቡን ሃመሙ ጀልቀቤን ዬሮ ምዻን ሃመሙት ጉዮተ ጀልቀባት አጄፈመን።
0a150a0166	ሪጥጳን እንተል አያ ሱን ወያ ገዳ ፉዸቴ ከታረ አፈቴ። እሼንስ ዬሮ ምዻን እት ሃመሙ ጀልቀብዴ ሀመ ቦካን ሬፈ ጀረ አጄፈመኒ ሰነት ሰሚዻ ሮቡት አከ ጉያ ጉያ አላቲን ሰሚ ሀልከንሞ ብኔንሶትን ቦሶና ሬፈ ሰነ ቱቀን ህንኤየምኔ።
0a150b0069	ወን ሪጥጳን እንተል አያ ሳጀቶን ሳኦል ሱን ሆጄቴ ዳዊትት ህመሜ፤
0a150c012d	እንስ ዸቄ ለፌ ሳኦሊፊ ለፌ እልመሳ ዮናታን ነሞተ ያቤሽ ግልኣድ ብራ ፍዴ። እሳን ኦብዲ ቤት ሻን እዶ ፍልስጤሞትን ጋፈ ግልቦኣት ሳኦልን አጄሰን እት ጀረ ፈንሰን ሰና እሳን ሀተኒ ቱረኒቲ።
0a150d00a4	ዳዊትስ ለፌ ሳኦሊፊ ለፌ ዮናታን እልመ ሳኦል አቺ ፍዴ፤ ለፌን ወረ አጄፈመኒ ፈንፈመኒስ ወልት ቀበሜ።
0a150e013b	እሳንስ ለፌ ሳኦሊፊ ለፌ እልመሳ ዮናታን ብየ ቤንያም ኬሰት፣ እዶ ዜላ ጄዸሙት አዋለ ቂሽ አባ ሳኦል ኬሰት አዋለኒ ዋን ሞትች አጀጄ ሁንደ ጎዸን። ሰነ ቦዴ ዋቅን ከዸትና ዋኤ ብየቲፍ ዽኣቴ ንዸገኤ።
0a150f00c3	አመስ ፍልስጤሞታፊ እስራኤል ግዱት ወራን ንከኤ። ዳዊትስ ነሞተሳ ወጅን ፍልስጤሞተ ወራኑፍ ዱሌ፤ እንስ አከ መሌ ደዸቤ።
0a151000e3	ነምች ጎሰ ራፋ ከን ይሽቢ-ቤኖብ ጄዸሙ ቶኮ ኤቦ ናሲ ከን ኪሎ ግራሚ ሰዲፊ ወለካ ኡልፋቱፊ ጎራዴ ሃራ ህዸቴ ቱሬ፤ እንስ ዳዊትን አጄሱ በርባዴ።
0a15110130	አቢሻይ እልም ዜሩያ ገሩ ዳዊትን በራሩ ዹፌ፤ ነምቸ ፍልስጤም ሰነስ ዸኤ አጄሴ። ነሞትን ዳዊትስ፣ “አከ እብሳን እስራኤል ህንዻምኔፍ አት ስአች ኑ ወጅን ወራነ ህንዸቅጡ” ጄዸኒ ከከተኒፍ።
0a151200df	ኤርገሲሞ ለፈ ጎብ ጄዸሙት ፍልስጤሞተ ወጅን ወራን ብራ ከኤ። ዬሮ ሰነትስ ሲቤካይ ነምች ብየ ሁሻ ነምቸ ሳፍ ጄዸሙ ቶኮ ሰኚ ራፋ ኬሳ አጄሴ።
0a15130116	ወራነ ብራ ከን ፍልስጤሞተ ወጅን ጎብት ጎዸሜ ኬሰትሞ ኤልሃናን እልም የእሬ ኦሬጊም ነምች ብየ ቤትልሄም ጎልያድ ነምቸ ግቲ ከን ሶማን ኤቦሳ ሎሳ ወየ ዾፍቱ ገኡ ሰነ ንአጄሴ።
0a15140153	አመስ ወራነ ጋትት ጎዸሜ ከን ብራ ኬሰት ነምቸ ሀመ ወዪ ገኡ ከን ቶኮ ቶኮ ሀርከሳራ ቁቦተ ጀአ ጀአ አከሱመስ ቶኮ ቶኮ ሚለሳራ ቁቦተ ጀአ ጀአ ወሉመት ቁቦተ ድግደሚ አፉር ቀቡ ቶኮቱ ቱሬ፤ እንስ ሰኚ ራፋ ኬሳ ዸለቴ።
0a1515007f	ዮሙ እን እስራኤልን ቱቱቄትስ፣ ዮናታን እልም ሽሜኢ ኦቦሌስ ዳዊት እሰ አጄሴ።
0a151600a4	ጀር አፍረን ኩኔን ሰኚወን ራፋ ወረ ጋት ኬሰ ቱረኒዸ። እሳንስ ሀርከ ዳዊቲፊ ሀርከ ነሞተሳቲን ዹመን።
0a160100a5	ዳዊት ዮሙ ዋቀዮ ሀርከ ዲኖተሳ ሁንዳፊ ሀርከ ሳኦል ጀላ እሰ ባሴት ዱቢ ፋርፈትና ከነ ዋቀዮፍ ፋርፈቴ።
0a16020063	እንስ አከነ ጄዼ፦ “ዋቀዮ ከታኮት፤ ደአትኖኮቲፊ ኦልቻኮት፤
0a16030107	ዋቅንኮ ከታኮ ከን አን ኮሉ እት ገሉዸ፤ እን ጋቸነኮቲፊ ጋንፈ ፈይነኮት። እን ደአትኖኮ ጭማ፣ ኮሉኮቲፊ ፈይሳኮት፤ አት ነሞተ ሁምናን ነመት ከአን ጀላስ ነ ባስተ።
0a16040075	“አን ዋቀዮ ገለን እሳፍ መሉ ሰነ ነንዋመዸ፤ ዲኖተኮ ጀላስ ነንበራረመ።
0a16050058	ደምበሊን ዱኣ ነ መርሴረ፤ ሎላን በዲሳስ ነ ልቅምሴረ።
0a1606004c	ፉኞን ሲኦል ነት መረሜ፤ ክዮን ዱኣስ ነት ዹፌ።
0a160700c2	“አን ዽጵነኮ ኬሰት ዋቀዮን ነንዋመዼ፤ ዋቀኮት ነንእየዼ። እንስ መነ ቁልቁሉማሳቲ ሰገሌኮ ዸገኤ፤ እይኮስ ጉረሳ ሴኔ።
0a1608009a	ለፍት ንሆለቴ፤ ንሶቾቴስ፤ ሁንዴወን ሰሚወኒ ንራፈመን፤ ሰበቢ እን ዼከሜፍስ እሳን ንሆለተን።
0a16090090	ኣር ፉኛንሳቲ ኦል በኤ፤ እብድ ዋ በርበዴሱ አፋንሳቲ በኤ፤ ጭሌን ቦበኡስ አፋንሳቲ በኤ።
0a160a0069	እን ሰሚወን ተርሳሴ ገድ ቡኤ፤ ዱሜሶን ጉራችስ ሚለሳ ጀለ ቱረን።
0a160b005b	እን ኪሩቤልን ያበቴ በርሴ፤ ቆቾ ቅሌንሳቲንስ ኦል በኤ።
0a160c005f	እን ዱከነ፣ ዱሜሰ ሰሚ ከን ቦካዻን ዱከናኤሞ ጎዶሳ ጎዸቴ።
0a160d003e	እፈ ፉለሳ ኬሳስ በከካን በለቅሴ በኤ።
0a160e006b	ዋቀዮ ሰሚዻ ንቀቀዌሰኤ፤ ሰገሌን ዋቀ ዋን ሁንዳ ኦሊስ ንዸገአሜ።
0a160f0066	እን ጥየሳ ደርበቴ ዲኖተ ብትኔሴ፤ በከካስ ገድ ዺሴ እሳን ፍጤ።
0a161000b5	ዼከምሰ፣ ዋቀዮቲን ሁምነ ሀፉረ ፉኛንሳቲ በኡቲንስ ሱሉለወን ገላና እፈት ባፈመን፤ ሁንዴወን ለፋስ ቁላ ሀፈን።
0a1611006c	“እን ኦል ጉባዻ ገድ ሂጠቴ ነ ቀቤ፤ ብሻኖተ ገድ ፈጎ ኬሳስ ነ ባሴ።
0a16120079	እን ዲነኮ እሰ ጀባ ጀላ፣ አመጃጆተኮ ወረ አከ መሌ ነት ጭመን ጀላስ ነ ባሴ።
0a16130062	እሳን ጉያ ረክነኮት ነት ዹፈን፤ ዋቀዮ ገሩ ገርጋርሰኮ ቱሬ።
0a16140057	እን እዶ በልኣት ነ ባሴ፤ ዋን ነት ገመዴፍስ ነ ኦልቼ።
0a1615007b	“ዋቀዮ አኩመ ቀጄሉማኮቲት ና ኬኔረ፤ አኩመ ቁልቁልነ ሀርከኮትስ ነ በዻሴ።
0a16160061	አን ከራ ዋቀዮ ኤጌራቲ፤ ዋቀኮራ ገረገሌ ሀምነ ህንሆጄትኔ።
0a16170064	ሴርሳ ሁንድኑ ፉለኮ ዱረ ጅረ፤ አንስ አጀጀሳራ ህንጀልአትኔ።
0a1618005c	አን ፉለሳ ዱረት ሙዳ ህንቀቡ ቱሬ፤ ጩቡራስ ኦፍ ኤገዼረ።
0a1619007c	ዋቀዮ አኩመ ቀጄሉመኮት፣ አኩመ አን ፉለሳ ዱረት ቁልቁሉ ተኤትስ ነ በዻሴረ።
0a161a0095	“አት ነመ አመነማት አመነሙማኬ አርግሲፍተ፤ ነመ ሙዳ ህንቀብኔትስ ከን ሙዳ ህንቀብኔ ታተ፤
0a161b0058	ነመ ቁልቁሉት ቁልቁሉ ታተ፤ ነመ ጀልኣትሞ ጀልኣ ታተ።
0a161c0088	አት ወረ ገድ ኦፍ ቀበን ንኦልችተ፤ ወረ ኦፍ ቱለንሞ ገድ ዴብሱፍ እጅኬ እሳን እላለ።
0a161d005b	ያ ዋቀዮ፣ አት እብሳኮት፤ ዋቀዮ ዱከነኮ እፈት ንጌደረ።
0a161e0080	አን ገርጋርሰኬቲን ሎልቶተ ዺበዼ ነንዴመ፤ ዋቀኮቲንስ ደላ ኡታሉ ነንደንደአ።
0a161f00b2	“ዋቀ ከነ፣ ከራንሳ ሙዳ ህንቀቡ፤ ዱቢን ዋቀዮ ህርእነ ህንቀቡ። ወረ እሰት ኮሉ ገለን ሁንዳፍ እን ጋቸነ ተአ።
0a1620004b	ዋቀዮ መሌ ዋቅን ኤኙ? ዋቀኬኘ መሌስ ከታን ኤኙ?
0a16210061	ከን ሁምነ ነ ህዸቺሱ፣ ከን አከ ከራንኮስ ነጋ ተኡ ጎዹ ዋቀ።
0a16220061	እን ሚለኮ አከ ሚለ ቦሮፋ ጎዸ፤ እዶ ኦል ዼራረስ ነ ዻበቺሰ።
0a1623006b	እን ሀርከኮ ወራናፍ ሌንጅሰ፤ እሬንኮስ እዳ ናሲ ደብሱ ንደንደአ።
0a1624007e	አት ገርጋርሰኬ ከን ነመ ፈይሱ ጋቸነ ናፍ ጎተ፤ ገርጋርስኬስ ነመ ጉዳ ነ ጎዼ።
0a1625005f	አከ ኮሜንኮ ህንሙጩጫኔፍ፣ ሚለኮቲፍ ዳንዲ በልእፍቴርተ።
0a16260081	“አን ዲኖተኮ አርኤ ነንበሌሴ፤ ሀመ እሳን በርበዳአንትስ አን ዱበት ህንዴብኔ።
0a162700a8	አን ጉቱማን ጉቱት እሳን ነንበርበዴሴ፤ እሳን ዴብአኒ ከኡ ህንደንደአን፤ እሳንስ ሚለኮ ጀለት ንኩፈን።
0a16280072	አት ሎላፍ ሁምነ ነ ህዸቺፍቴ፤ አመጃጆተኮስ ፉለኮ ዱረት ገድ ዴብፍቴ።
0a16290087	አከ ዲኖትንኮ ዱግደ ዱበት ዴብአኒ በቀተን ጎቴርተ፤ አንስ አመጃጆተኮ በርበዴሴረ።
0a162a00ba	እሳን ገርጋርሳፍ እየን፤ ገሩ ከን እሳን ኦልቹ ቶኮዩ ህንቱሬ፤ ገረ ዋቀዮትስ ንእየተን፤ እን ገሩ ዴቢ ህንኬንኔፍ።
0a162b0086	አንስ አኩመ አዋረ ለፋት እሳን ነንዳኬ፤ ቡሌሴስ አኩመ ዾቄ ዳንዲራት እሳን ዽዺቴ።
0a162c00a2	“አት ሎለ ነሞታ ጀላ ነ ባፍቴርተ፤ መታ ሰቦታ ጎቴ ነ ጅራችፍቴርተ። ሰብን አን ህንቤክኔ ነ ተጃጅለ፤
0a162d0075	ነሞትን ኦርማ ነ ሶሶበተን፤ እሳን አኩመ ዋኤኮ ዸገአኒን ናፍ አጀጀመን።
0a162e0068	እሳን ሁንድ አብዲ ኩተተን፤ ሆለቻስ ደአትኖሳኒ ጀባ ኬሳ በአን።
0a162f007e	“ዋቀዮ ጅራታዸ! ከታንኮ ሃኤብፈሙ! ዋቅንኮ፣ ከታን፣ ፈይሳንኮ ኦል ኦል ሃጄዹ!
0a1630004e	እን ዋቀ ሃሎ ና ባሱ፣ ከን ሰቦተስ ነ ጀለ ገልቹ፣
0a16310092	ከን ዲኖተኮ ጀላስ ብልሰ ነ ባሱዸ። አት አመጃጆተኮቲ ኦል ነ ጎተ፤ ጎልቶተ ጀላስ ነ ባፍቴ።
0a1632008c	ከናፉ ያ ዋቀዮ፣ አን ሰቦተ ግዱት ስን ሌልሰ፤ ፋርፈትና ገለታሌ መቃኬቲፍ ነንፋርፈዸ።
0a163300a1	“እን ሞአናወን ጉርጉዳ ሞቲሳቲፍ ንኬነ፤ ድበማሳ ዳዊቲፊ ሰኚሳቲፍ፣ አራረ በረ በራ ንአርግሲሰ።”
0a1701012e	ዱቢን ዳዊት ዹመረት ዱበቴ ከናዸ፦ “ህመን ዳዊት እልም እሴይ፣ ህመን ነመ ዋቅን ዋን ሁንዳ ኦሊ፣ ኦል ኦል እሰ ቀቤ፣ ነመ ዋቅን ያቆብ እሰ ድቤ ፋርፈታን እስራኤል ጃለተማን ሱን አከነ ጄዼ፦
0a17020060	“ሀፉር ዋቀዮ ከራኮቲን ዱበቴረ፤ ዱቢንሳስ አረበኮረ ቱሬ።
0a170300b7	ዋቅን እስራኤል ዱበቴረ፤ ከታን እስራኤል አከነ ናን ጄዼ፦ ‘ነምን ቀጄሉማን ሰበ ቡልቹ፣ ከን ሶዳ ዋቃቲን ቡልቹ፣
0a170400bb	እን አከ እፈ ቢፍቱ ገነማ ከን እዶ ዱሜስ ህንጅሬት በኡ፣ አኩመ እፈ አዱ ከን ኤርገ ቦካን ጫሜ ቦዴ መርገ ብቅልቹት።’
0a170500f2	“መንኮ ዋቀ ዱረት ቀጄላ ምቲ? እን ከኩ በረ በራ ነ ወጅን ሴኔ እሰስ ቀጄልቼ ከራ ሁንዳን ንኤገ ምቲ? እሰቱ ፈይነኮ ፊጣን ባሴ ፌዺኮ ሁንደስ ናፍ ጉተ ምቲ?
0a17060078	ነሞትን ሀሞን ሁንድኑ ገሩ አኩመ ቆራቲ ሀርካን ወልት ህንቀበምኔት ገተሙ።
0a17070095	ነምን ቆራቲ ቱቁ ከምዩ ምአ ስቢላ ዮካን ሶማ ኤቦ ቀበተ፤ ቆራቲን ሱንስ ለፉመ ጅሩት ጉበመ።”
0a170800e4	መቃን ነሞተ ዳዊት ወረ ጀጀቦ ከናዸ፦ ዮሼብ-በሼቤት ነምች ተህክሞን ሆገና ሰደኒ ቱሬ፤ እንስ ሎለ ቶኮረት ኤቦ ምርምርሴ ነሞተ ዽበ ሰዴት ፍጤ።
0a17090178	ከን እሰት ኣኑሞ ኤሌኣዛር እልመ ዶዶ ነምቸ ጎሰ አሆኣ ቱሬ፤ እንስ ዬሮ ፍልስጤሞተ ሎላፍ አችት ወልት ቀበመኒ ቱረን ሰነ ወራኑፍ ኩተተንት፣ ነሞተ ጀጀቦ ዳዊት ወጅን ቱረን ሰደን ኬሳ ቶኮ ቱሬ። ኤርገሲ ነሞትን እስራኤል ቦዴት ዴብአን፤
0a170a012e	እን ገሩ ኡቱ ለፈ ዻበቴ ቱሬ ህንሶቾእን ሀመ ሀርክሳ ደዸቤ ጎራዴሳት ጎጉት ፍልስጤሞተ ንሩኩቴ። ዋቀዮ ጋፈስ ሞአኖ ጉዳ ኬኔ። ሎልቶትንስ ወረ ዱአንራ ሂከቹ ቆፋፍ ገረ ኤሌኣዛርት ዴብአን።
0a170b0126	እሰት ኣኔስ ሳማ እልመ ኣጌ ነምቸ ጎሰ ሀራራቱ ቱሬ። ዮሙ ፍልስጤሞትን እዶ ሌህ ጄዸሙት ለፈ ቆቲሳ ከን ምስራን ጉተሜ ቶኮ ብረት ወልት ቀበመንት ሎልቶትን እስራኤል እሳን ዱራ በቀተን።
0a170c00b2	ሳማን ገሩ ለፈ ቆቲሳ ወለካት እዶ ቀበቴ ቱሬ። እንስ እራ እትሱዻን ፍልስጤሞተ ፍጤ፤ ዋቀዮስ ሞአትና ጉዳ ኬኔ።
0a170d0111	ዬሮ ምዻን ሃመሙት ኡቱ ሎልቶትን ፍልስጤሞታ ሱሉለ ሬፋይም ኬሰት ወልት ቀበመኒ ጅረኑ፣ ሀንገፎተ ሶዶመን ሰነ ኬሳ ነሞትን ሰዲ ገረ ሆልቀ አዱላምት ገረ ዳዊት ገድ ቡአን።
0a170e007f	ዬሮ ሰነት ዳዊት ደአትኖ ጭማ ኬሰ ቱሬ፤ ሎልቶትን ፍልስጤምሞ ቤትልሄም ቱረን።
0a170f00a8	ዳዊትስ ዼቦቴ፣ “ኡቱ ነምን ቶኮ ቦለ ብሻኒ ከን ከረ ቤትልሄም ብረ ጅሩ ኬሳ ብሻን ዹጋቲ ና ፍዴሆ!” ጄዼ።
0a1710014c	ከናፉ ነሞትን ጀጀቦን ሰደን ሱን ቁበተ ፍልስጤሞታ ኬሳን ደርበኒ ቦለ ብሻኒ ከን ከረ ቤትልሄም ብረ ጅሩ ኬሳ ብሻን ወራበኒ ዳዊቲፍ ፍደን። እን ገሩ ዹጉ ንድዴ፤ ቆደ ከና ብሻን ሰነ ፉለ ዋቀዮ ዱረት ዸንገላሴ።
0a17110141	እንስ፣ “ያ ዋቀዮ፣ ዋን ከነ ጎቹን ነራ ሃፈጋቱ! ብሻን ኩን ዺገ ነሞተ ሉቡ ኦፊሳኒት ኩተተኒ ዴመኒ ምቲ?” ጄዼ። ከናፉ ዳዊት ብሻን ሰነ ህንዹግኔ። ኤጋ ወን ነሞትን ጀጀቦን ሰደን ሱን ሆጄተን ከነ ቱሬ።
0a171200ff	አቢሻይ እልም ዜሩያ ኦቦሌስ ዮኣብ ሆገና ሰደንሳኒ ቱሬ። እንስ ነሞተ ዽበ ሰዲት ኤቦሳ ኦል ካፈቴ እሳን ፍጤ፤ አከሲን እንስ አኩመ ነሞተ ሰደን ሰና ቤከማ ተኤ።
0a17130099	አቢሻይን ወረ ሰደን ጫላ ኡልፍነ ህንአርገኔሬ? እን ዮ እሳን ኬሳ ቶኮ ተኡ ባቴዩ አጀጃሳኒ ተኤ።
0a17140148	ቤናያ እልም ዬሆያዳ ሎልቱን ጭማን ብየ ቀብዝኤል ሱንስ ሎልቱ ሞአትና ጉርጉዳ አርገምሲሴ ቱሬ። እንስ ሎልቶተ ሞኣብ ከኔን አከ መሌ ጀጀቦ ተአን ለመ አጄሴ። ጋፈ ጨቢን ሮቤ ቶኮስ ቦለ ኬሰ ሴኔ ሌንጨ አጄሴ።
