280000000f	मत्ती
2a0b1601c2	पन ज़ैखन तैस करां कोई निगर मैन्हु तैस पुड़ हमलो केरते त तैस अपने कब्ज़े मां केरतां तैसेरे सारे हथियार घिंनी गाते ज़ैस पुड़ तैसेरो भरोसो थियो, ते तैसेरी सारी जेइदाद लुटी गाते।
2a0b1700df	ज़ै मीं सेइं साथी नईं तै मेरे मुखालफे, ते ज़ै मीं सेइं साथी अकोट्ठू न केरे ते तै खिलारते।
2a0b1801a8	“ज़ैखन केन्ची मैन्हु मरां भूत निसते त तैन शुक्कोरो ठैरन मां आराम तोपते ते ज़ैखन तैस तै आराम न मैल्ले त ज़ोते कि अवं वापस तैस्से घरे मां गालो ज़ैट्ठां अवं निसोरोईं।
2a0b19008c	ते तैखन तैन भूत वापस एइतां तैन घर साफ सुथरु रोड़ू लाते।
2a0b1a015a	तैखन तै एप्पू सेइं साथी सत होरां भूतां साथी घिन्तां तैस मां अन्तर गेइतां बिश्शतन, ते तैस मैनेरो हाल पेइले हाले करां जादे बुरो भोते।”
2a0b1b0156	ज़ैखन यीशु इना गल्लां ज़ोने लग्गोरो थियो, त भीड़ी मरां अक कुआन्श जोरे सेइं ज़ोने लगी, “धने तै कुआन्श ज़ैसां तीं ज़र्म दित्तू ते तू पालो।”
2a0b1c00e2	पन यीशुए ज़ोवं, “हाँ, पन धन आन तैना लोक ज़ैना परमेशरेरू वचन शुन्तन ते तैस पुड़ अमल केरतन।”
2a0b1d015a	ज़ैखन हछे लोक भोने लगे त यीशु ज़ोवं, “इस ज़मानेरे लोक बुरेन, तैना निशान तोपतन, पन योनेरे निशानेरे अलावा एन होरो कोई निशान न दित्तो गालो।
2a0b1e0133	किजोकि ज़ेन्च़रे योना नबी नीनवेरे लोकन जो निशान बनो तेन्च़रे मैनेरू मट्ठू भी इस ज़मानेरे लोकां केरे लेइ निशान बनेलू।
2a0b1f01ba	पन दक्षिणेरी रानी आदालतरे दिहाड़े इस ज़मानेरे लोकन दोषी बनाली, किजोकि तै बड़े दूरेरां सुलैमानेरे ज्ञानेरे बारे मां शुन्तां ओरी थी। ते इड़ी हेरा सुलैमाने करां भी बड्डोए।
2a0b2001dd	नीनवेरे लोक आदालतरे दिहाड़े इस ज़मानेरे लोकन सेइं साथी खड़े भोइतां मुर्ज़म बनाले। किजोकि तैनेईं योनारे प्रचारे सेइं पापन करां मनफिरावरो थियो, पन इड़ी हेरा तै आए, ज़ै योना करां भी बड्डोए।
2a0b21010a	“कोई मैन्हु दीयो बैलतां भांडे हैठ या ओड़कतां न छ़डे, बल्के उच्ची ठैरी रखतन ताके अन्तर एजने बालन लौ भोए।
2a0b220136	अछ़ जानेरे लेइ दीयेरी ज़ेरि आए, अगर तेरी अछ़ रोड़ीए, त तेरी जानी मां भी लौए, ते अगर तेरी अछ़्छ़े बुरीए त तेरी जान भी आंधरीए।
2a0b2300cb	एल्हेरेलेइ खबरदार रेइयां, कोस्कोई एरू न भोए कि ज़ै लौ तीं मां आए तै आंधरू न भोए।
2a0b2400fc	अगर तेरी जानी मां लौए, त तैसेरो कोई भी हिस्सो आंधरो न भोए, त सब एरू भोलू, ज़ैखन दीयो चमकतां लौ देते।”
2a0b250199	ज़ैखन तै एना गल्लां ज़ोने लोरो थियो, त केन्चे फरीसे यीशु कां मिनत की, कि मीं सेइं साथी रोट्टी खा, ते यीशु तैसेरे घरे जेव ते तैसेरे कां गेइतां रोट्टी खाने बिश्शो।
2a0b2600c7	फरीसी लोक एन हेरतां हैरान भोव, कि ए बगैर हथ-पाव धोने रोट्टी खांने बिश्शी जेव।
2a0b270139	पन प्रभुए फरीसी सेइं ज़ोवं, “हे फरीसाव तुस कटोरो, ते थाली बेइरमेईं त बड़ी साफ केरतथ, पन तुश्शे अन्तर ज़ुलम ते लालच़ भेरतांए।
2a0b2800cd	हे बेअक्लाव, ज़ैनी बेरीयोवं हिस्सो बनावरोए, तैनी आंट्लेइयों हिस्सो नईं बनेरो?
2a0b2900ab	बस्सा एन्त्री चीज़ दान केरा, त हेरा, सब किछ तुश्शे लेइ साफ भोइ गालू।
2a0b2a01fc	पन हे फरीसाव, तुसन पुड़ अफ़सोस! तुस पुतनेरो ते ज़ीरेरो ते कने सेब्ज़ारो दशोवं हिस्सो देतथ, पन तुस इन्साफ केरने करां त परमेशरेरे प्यारे करां दूर रातथ, लोड़तू थियूं कि दशोवं हेसे सेइं साथी इन भी केरेथे।
2a0b2b0165	हे फरीसाव, तुसन पुड़ अफ़सोस! तुस लोक चातथ कि प्रार्थना घरन मां तुसन एग्री कुर्सन पुड़ बिशालन ते बज़ारन मां लोक तुसन कां झुकतां नमस्कार केरन।
2a0b2c010a	पन हे फरीसाव तुसन पुड़ अफ़सोस! तुस तैन छ़ेपोरी कब्रां केरे ज़ेरेथ, ज़ैन पुड़ लोक च़लतन, पन तैन पतो न भोए।”
2a0b2d0104	तैखन शास्त्री मरां एक्के तैस जुवाब दित्तो, “हे गुरू एना गल्लां ज़ोइतां तू इश्शी तुहीन लोरोस केरने।”
2a0b2e0181	यीशुए ज़ोवं, “हे शास्त्री लोकव, तुसन पुड़ अफ़सोस! तुस मैनन् पुड़ त एत्रो भारो लदतथ ज़ै छ़ूनो असुखतो भोते ते पन एप्पू अपने कानूने मन्नेरी कोशिश भी न केरन।
2a0b2f00de	तुसन पुड़ अफ़सोस! तुस नेबी केरि कब्रां बनतथ ते तुश्शे दादे-पड़दादेईं तैना मारोरे थिये।
2a0b30016c	बस्सा, तुस शहातथ कि तुस अपने दादे-पड़दादां केरे कम्मां केरि पूरी तैइद केरतथ, किजोकि तैनेईं त नबी कत्ल कमाए ते तुस तैन नेबी केरि कब्रां बनातथ।
2a0b31012e	एल्हेरेलेइ प्रभु परमेशरेरी अक्लां ज़ोवं, नबी त प्रेरित तैन कां भेज़नेन तैना तैन मरां किछ कत्ल केरेले ते किछन सताले।
2a0b3200e0	बस्सा ई कौम सारे नेबी केरे खूनेरे ज़ै दुनियारे शुरू करां देंतो बगेवरोए ज़िमेवार भोली।
2a0b3301f0	हाबिलेरे खूने करां देंतो ते जकर्याहरे कत्ले तगर ज़ै तुसेईं मन्दरेरे ते बलिदान केरनेरे ठारारे मझ़ाटे मन्दरेरे अंगने मां कत्ल कियोरो थियो। अवं ज़ोताईं कि ए कौम तैन केरे खूनेरी ज़िमेवार भोली।
2a0b34018b	पन हे फरीसाव तुसन पुड़ अफ़सोस! तुसेईं शास्त्री लोकेईं चाबी त अपने कब्ज़े मां रख्खी, पन तुस एप्पू भी दाखल न भोए ते ज़ैना दाखल भोनू चाते थिये तैना भी रोके।”
2a0b350144	ज़ैखन यीशु तैट्ठां निस्सी जेव त शास्त्री ते फरीसी लोकेईं तै घेरो ते सरकरे मारे च़ेव्रे पासना बड़े असुखते सवाल पुच्छ़ने लगे।
2a0b3600ab	ताके यीशुएरे ज़बा एरी गल निस्से ज़ैस सेइं लोक तैस पुड़ गलती लांन।
2a0c01021a	एत्रे मां हज़ारेईं मैन्हु अकोट्ठे भोइ जे, ते एक्की होरि उन्ढे खिरकते थिये त यीशुए सेब्भन करां पेइले अपने चेलन खड़े भोइतां ज़ोवं, “फरीसी लोकां केरे पाखंडेरे खमीरे यानी तैन केरे रीति रूवाज़न करां हुशार रेइयथ।
2a0c0200b0	कोई चीज़ ओड़कोरी नईं ज़ै बांदी न भोए, ते न कोई चीज़ छ़पोरीए ज़ै ज़ानी न गाए।
2a0c030177	एल्हेरेलेइ ज़ैना गल्लां तुसेईं आंधरे मां ज़ोरिन तैना गल्लां लोई मां शुनोनिन, ते ज़ैना गल्लां तुसेईं अन्तर ज़ोरिन तैन केरू एलान लाए पुड़ भोनूए।
2a0c04011a	“दोस्तव अवं तुसन सेइं सच़ ज़ोताईं कि तैन करां न डेरथ ज़ैना जानी नुकसान पुज़ातन तैसेरे बाद तैना किछ न केरि बटन।
2a0c0501a0	पन अवं तुसन सेइं सच़ ज़ोताईं कि केस करां डर्रू लोड़ते, ज़ैस जानी मारनेरे बाद तैसेरी आत्माई नरके मां छ़डनेरो अधिकारे, हाँ अवं तुसन सेइं सच़ ज़ोताईं कि तैस करां डरा।
2a0c0600c7	कुन दूई पेंइसन मां पंच़ च़ड़ोली न बिकन? पन परमेशर तैन मरां केन्ची भी न बिसरे।
2a0c0700eb	बल्के तुश्शे दोग्गेरे सारे बाल गनोरेन डरा नन्ना तुस त काई च़ुड़ोलन करां भी जादे कीमती आथ।
2a0c08015b	“अवं तुसन ज़ोताईं कि ज़ै कोई मैन्हु केरे सामने मेरो इकरार केरेलो, त अवं मैनेरू मट्ठू भी परमेशरेरे स्वर्गदूतां केरे सामने इकरार केरेलो
2a0c090112	पन ज़ै मैन्हु केरे सामने मेरो इन्कार केरेलो त तैसेरो इन्कार परमेशरेरे स्वर्गदूतां केरे सामने कियो गालो।
2a0c0a0122	“ज़ैना लोक मैनेरे मट्ठेरे खलाफ किछ ज़ोले तै तैस माफ़ केरेलो पन ज़ै पवित्र आत्मारी तुहीन केरेलो तैस माफ़ न केरेलो।
2a0c0b012f	“ज़ैखन तैना तुसन प्रार्थना घरन मां ते बड़े-बड़े ते अधिकैरन कां नेले त फिक्र न केरथ कि अस कुन ज़ोम ते केन्च़रे जुवाब देम।
2a0c0c00a6	किजोकि पवित्र आत्मा तुसन तैस वक्ते ज़ोलो कि तुसेईं कुन ज़ोनूए।”
2a0c0d015f	फिरी भीड़ी मरां केन्चे एक्के यीशु सेइं ज़ोवं, “हे गुरू जी मेरे ढ्लाए जो ज़ो, कि इश्शे बाजी केरि जेइदाती मरां मेरो हिस्सो मेरे हवाले केरे।”
2a0c0e00bb	यीशुए तैस जुवाब दित्तो, “अवं केनि तुश्शो हाकिम या बंटने बालो बनेवरोइं?”
2a0c0f011c	ते यीशुए तैन सेइं ज़ोवं, “हर किसमेरे लालच़े करां दूर भोइयथ ते न केन्चेरी जेइदाद केन्चेरी जानी करां जादे भोए।”
2a0c1000b8	तैखन यीशुए तैन अक मिसाल शुनाई, “केन्ची अमीरेरे ज़मीनी मां बड़ी फसल बनी।
2a0c1100f5	तै अपने दिले मां सोचतां ज़ोने लगो, कि अवं कुन केरि, मीं कां ठारे नईं कि ज़ैड़ी अवं अन्न रेख्खी सेखी?
2a0c120132	तैखन तैनी ज़ोवं कि, ‘अवं अक कम केरताईं, अपने पुराने कोठार पुटतां होरे बड्डे कोठार बनेइ ते अपनू सारू अन्न तैस मां रखेलो।
2a0c130118	फिरी मीं अपने आपे सेइं ज़ोनूए कि, मीं कां त बड़े सालन तगर अन्न जम्हां भोरूए, मेरी जान आरामे सेइं खा ते एश केर।’
2a0c140143	पन परमेशरे तैस मैन्हु जो ज़ोवं, ‘हे बेवकूफ अज़े राती तू मरेलो, ते ज़ैन किछ तीं अपने लेइ जम्हां केरतां रखेरुए तैन केसेरू भोलू?’
2a0c15010d	एल्हेरेलेइ ज़ै अपने लेइ दौलत जम्हां केरते, पन परमेशरेरी नज़री मां तै अमीर न भोए एसेरो भी एरो हाल भोनोए।”
2a0c160163	तैखन यीशुए अपने चेलन सेइं ज़ोवं, एल्हेरेलेइ तुस न अपने ज़िन्दगरी ज़रूरतरे लेइ फिक्र केरा, कि तुस कुन खाले, ते न अपने जानारी कि कुन लामेले।
2a0c170096	किजोकि प्राण रोट्टी करां ते जान लिगड़े करां बेधतां भोते।
2a0c18016b	कांवां केरां तक्का, तैना न बेन ते न कटन ते न तैन कां गुदाम या कोठार भोन, तांभी परमेशर तैन खाने जो देते ते तुस त च़ुड़ोलन करां भी जादे कीमती आथ।
2a0c1900a9	तुसन मां एरो कौन आए, ज़ै फिक्र केरतां अपनि उमर अक घड़ी भी बधैई सकते?
2a0c1a00f1	बस्सा, ज़ैखन तुस ए अक निकड़ी ज़ेरि गल भी न केरि बटथ, त बाकी बेड्डी चीज़ां केरि फिक्र किजो केरतथ?
2a0c1b01ee	सोसनेरे फूड़ू केरे तक्का कि तैना केन्च़रे बेडोतन? तैना न मेहनत केरन ते न कत्तन, फिरी भी अवं तुसन सेइं ज़ोताईं कि राज़ो सुलैमाने भी अपने सारे धन दौलतरे बावजूद भी तैन केरां ज़ेरां लिगड़ा न लां।
2a0c1c0173	बस्सा ज़ैखन परमेशरे मैइदानेरो घास, ज़ै अज़ आए ते कालां लौवंने मां फुकनोए, एरी खूबसूरती देते, त हे घट विश्वासे बाले लोकव, कुन तै तुसन लिगड़ न देलो?
2a0c1d00c9	ते एस फिक्रे मां न रेइयथ, कुन खामेले, या कुन पीमेले, या कुन लामेले, ते न शक केरथ।
2a0c1e0142	किजोकि दुनियारी सैरी कौमां एस्से फिक्रे मां लेगोरी रेइचन, पन तुश्शो बाजी ज़ानते, कि तुसन कोनां-कोनां चीज़ां केरि ज़रूरत आए।
2a0c1f00c6	पेइले परमेशरेरे राज़्ज़ेरे तलाश केरा, फिरी तुसन एना सैरी चीज़ां मैल्ली गैली।
2a0c200146	“तुस भैड्डां केरे निकड़े केन्नरे ज़ेरेथ, तुस कोन्ची गल्लरे लेइ न डरा, किजोकि तुश्शे बाजेरी खुशी एस्से मां आए, कि तै तुसन राज़ दे।
2a0c210188	अपनू घरबार बेच़तां धर्मरथ देथ, ते एप्पू जो अक बेटुवो बनाथ, ज़ै पुरानो न भोए, स्वर्गे मां दौलत जम्हां केरा ज़ै कधे न मुक्के, ज़ैड़ी न च़ोर पुज़े ते न कीड़ो खाए।
2a0c22008e	किजोकि ज़ैड़ी तेरी दौलत भोली, तैड़ी तेरो दिल भी लग्गेलो।
2a0c2300e7	“सेवा केरनेरे लेइ रोड़ेच़ारे कमर बेंद्धतां तियार भोथ, ते तुश्शे दीये सैरी राती बलते रान।
2a0c24019d	तुस मेरे एजनेरे लेइ एन्च़रे तियार राथ, ज़ेन्च़रे मैन्हु केरे अपने मालिके, ज़ै ड्लाएरे धामी मरां वापस एजने बलगतन, कि ज़ैखन तै एज्जे ते दार गुड़कान त अस दार खोल्लम।
2a0c25026e	तैना नौकर धन आन ज़ैना अपने मालिकेरे वापस एजने पुड़ बींझ़े मैलतन, अवं तुसन सेइं सच़ ज़ोताईं, कि तै एप्पू तैन रोड़ेच़ारे नौकरन लिगड़ां लेइतां तियार लाएलो, ते मालिक तैन सेइं खुश भोइतां एप्पू सेइं साथी रोट्टी खाने बिशालेलो ते तैन केरि सेवा केरेलो।
2a0c260114	अगर मालिक एध्धी राती या झ़ेझ़ेरेपार एइतां अपने नौकरन बींझ़े लाए त तैन नौकरां केरे लेइ केत्री रोड़ी गल्ले।
2a0c2700f7	पन याद रखा, अगर घरेरे मालिके, च़ोर एजनेरो पतो भोए त तै बींझ़ो राथो ते अपने घरे च़ोरी न देथो भोने।
2a0c280125	बस्सा, तुस भी मेरे वापस एजनेरे लेइ तियार राथ, मैनेरू मट्ठू यानी अवं तैस वक्ते एज्जेलो ज़ेइस तुसन खियाल भी न भोलो।”
2a0c2900e0	पतरसे पुच़्छ़ू, “हे प्रभु ज़ै मिसाल तीं शुनाई तै सिर्फ इश्शे लेइए या सेब्भी केरे लेइए?”
2a0c2a016f	प्रभुए ज़ोवं, “कौने ईमानदार अक्लमन्द नौकर ज़ेसेरो मालिक तैस अपने नौकरन पुड़ मुन्शी रखे ताके तैन केरि खूराक ठीक मौके पुड़ रोड़ेच़ारे बंटतो राए?
2a0c2b00bb	तै नौकर धने कि ज़ेसेरो मालिक एज्जे ते मालिक तैस रोड़ेच़ारे कम केरतू लाए।
2a0c2c00ec	अवं तुसन सेइं सच़ ज़ोताईं कि तै अपने सारे घरबारेरी हेरगैशरो अधिकार तैसेरे सुपुर्द केरेलो।
2a0c2d0182	पन अगर तै नौकर अपने दिले मां ज़ोए कि मेरे मालिके एजने हेजू बड़ू च़िरे ते होरि नौकरन ते नौकरेनन मार धाड़ केरनि शुरू केरे ते खेइ पीतां नशे मां मसत भोइ गाए।
2a0c2e01d3	ते तैस नौकरेरो मालिक केन्ची एरे दिहाड़े एज्जे ज़ेइस तैस नौकरे एजनेरो पतो न भोए ते तै मालिक एज्जी गाए त तैस नौकरेरे टुक्ड़े-टुक्ड़े केरतां ते तैसेरी हालत बेइमाना केरि ज़ेरि भोली।
2a0c2f01b1	हर तै नौकर ज़ै ज़ानते कि तैसेरे मालिकेरी कुन मर्ज़ी आए, कि तै कुन केरे, मगर तै अपने आपे कम केरनेरे लेइ तियार न केरे ते अपने मालिकेरी मर्ज़ी पूरी न केरे तैस पक्की मार बज़नीए।
2a0c300151	पन अगर कोई नौकरे ज़ैस नईं पतो कि मेरे मालिकेरी कुन मर्ज़ी, कि अवं कुन केरि, ते तैन केरे ज़ैस सेइं तैस सज़ा मैल्ले, त तैस घट सज़ा मैलेली।”
2a0c3100ca	यीशुए ज़ोवं, “अवं धेरती पुड़ अग लांने ओरोईं ते अगर अग लग्गोरी भोथी त रोड़ू थियूं।
2a0c3200c3	पन मीं बड़े जल्दी दुःख झ़ैल्लनोए, ते अवं बड़ो परेशानईं ज़ां तगर दुख न झ़ेल्ली।
2a0c330101	कुन तुस एन सोचतथ कि अवं धेरती पुड़ मेल कराने लेइ ओरोईं? नईं! अवं तुसन सेइं ज़ोताईं, कि अलग केरने ओरोईं।
2a0c3401c0	अज़्ज़ेरे बाद अगर एक्की घरे मां पंच़ मैन्हु भोले त तैना एप्पू मांमेइं बेंटोले, ट्लाई ज़ैना मीं पुड़ विश्वास न केरन तैना दुइयां केरे खलाफ भोले, ते दूई, ट्लेइयां केरे खलाफ भोले।
2a0c350147	बाजी मट्ठेरे खलाफ भोलो ते मट्ठू बाजेरे खलाफ भोलू, हैई कुइयरे खलाफ ते कुई हैईयरे खलाफ ते शिख नुशारे ते नुश शिखारे खलाफ भोनीए।”
2a0c360141	फिरी यीशुए बड़े मैनन् मां ज़ोवं, “कि ज़ैखन तुस बिदलार डुबते पासेरां च़लती लातथ त तुस ज़ोतथ कि झ़ड़ी एजने बालीए ते तैन्ने भोते।
2a0c3700b7	ते दक्षिणेरे पासेरां हवा च़ली त तुस ज़ोतथ गर्मी भोरीए ते तैन्ने भोते।
2a0c380124	हे पाखंडी लोकव, तुस धरती ते अम्बरेरो हाल हेरतां मौसमेरो अंदाज़ो केरनो ज़ानतथ, पन इन न ज़ैनी बटथ कि, परमेशर कुन चाते?
2a0c39007b	“तुस एप्पू फैसलो केरा कि, तुश्शे लेइ कुन रोड़ूए।
2a0c3a0192	ज़ैखन तू लीडरे सेइं साथी हाकिमे कां गाथ त बत्ते मां तैस सेइं फैसलो की न केरस, एरू न भोए तै तीं हाकिमे कां ने ते हाकिम सिपाहीएरे हवाले केरे, ते तू कैद भोइ गास।
2a0c3b00d7	अवं तुसन सेइं ज़ोताईं कि ज़ां तगर तू पाई-पाई न देले त तांतगर तैट्ठां छुट्टी न सकेलो।”
2a0d0101d9	तैस मौके किछ लोक तैड़ी आए, तैना यीशु सेइं तैन गलील इलाकेरे लोकां केरे बारे मां ज़ोने लगे, ज़ैन केरो खून, रोमेरे गवर्नर पिलातुसे मन्दरे मां जानवरां केरे बलिदाने सेइं साथी मलेवरो थियो।
2a0d02017f	यीशुए तैन जुवाब दित्तो, “कुन तुस एन समझ़तथ कि तैन गलीलेरे लोकां केरो एत्रो बुरो हाल एल्हेरेलेइ भोवं, कि तैना बाकी गलीलेरे लोकन करां जादे पापी थिये?
2a0d0300cf	अवं तुसन सेइं ज़ोताईं कि, अगर तुस भी पापन करां मन न फिराले त सब एन्च़रे नाश भोनेथ।
2a0d040173	या कुन तैना अठारे ज़न्हे ज़ैन उन्ढो शीलोहेरो गुम्मट बिछ़ड़ोरो थियो, ते तैना सब तैस हैठ मेरि जे, ते तैना यरूशलेम नगरेरे होरि लोकन करां पापी थिये?
2a0d05010a	अवं तुसन सेइं सच़ ज़ोताईं, कि नईं बल्के अगर तुस भी पापन करां मन न फिराले त तुस सब एन्च़रे नाश भोइ गानेथ।”
2a0d060186	तैसरां बाद यीशुए तैन अक मिसाल देइतां ज़ोवं, “केन्चे मैने अपनि बागी मां अक फ़ेगेरो बुट लोरो थियो, ते तैस बुट्टे पुड़ हर साल फल तोपने अव पन तैस फल न मैल्लो।
2a0d0701c9	तैखन तैनी बागबने सेइं ज़ोवं, ‘हेर अवं ट्लाई सालां केरो देंतो इस फ़ेगेरे बुट्टे पुड़ फल लोरोईं तोपने, पन अज़ तगर एस पुड़ फल न मैल्लो एस केट्टी छ़ड एनी किजो रोड़ी ठार च़िकतां रखोरीए?’
2a0d0800c4	पन तैनी तैस जुवाब देइतां ज़ोवं, मीं निदतां एसेरे च़ेव्रे पासन खाद छडनियें।
2a0d09006c	अगर फिरी भी फल न लगो त फिरी केट्टी देनोए।”
2a0d0a00b5	एक्की आरामेरे दिहाड़े यीशु प्रार्थना घरे मां शिक्षा देने लोरो थियो।
2a0d0b012b	हेरा, तैड़ी अक कुआन्श थी ज़ैस अठारे सालां केरि देंती भूतेरे सैइयेरे वजाई सेइं कुबड़ी भोरी थी। तै सिधी न थी भोइ बटती।
2a0d0c00f5	यीशुए तै कुबड़ी कुआन्श लाई त एप्पू कां कुजाई ते ज़ोवं, “हे कुआन्श, तू अपनि तकलीफी करां छुटी जेई।”
2a0d0d00db	ते यीशुए तैस कुआन्शी पुड़ हथ रखे ते तै लूशी बेज़्झ़ोइं ते परमेशरेरी तारीफ़ केरने लगी।
2a0d0e0214	पन प्रार्थना घरेरो प्रधान यीशु पुड़ नराज़ भोव कि, एनी ए कुआन्श, आरामेरे दिहाड़े किजो बज्झ़ाई ते ज़ोने लगो, “हफते मां शा दिहाड़े कम काज़ केरनेरे लेइ आन, ते तैन्ने मां कोई बज्झ़ावरो भी लोड़चे, ते आरामेरी दिहैड़ी न।”
2a0d0f012b	प्रभु यीशुए तैस जुवाब दित्तो, “ए पाखंडी लोकव कुन तुस आरामेरी दिहाड़ी अपने दांत या गधे खोलतां तैन पानी पियाने न नेथ?
2a0d1001ae	त कुन एन रोड़ू न भोवं कि ज़ै कुआन्श बेज़्झ़ोइ तै अब्राहमेरे खानदाने मरां ए, ज़ै अठारे सालां केरि देंती शैताने गुलैमी मां रखोरि थी त आरामेरे दिहाड़े ए कुआन्श छुटानी न थी?”
2a0d110199	ज़ैखन यीशुए एना गल्लां ज़ोई त तैसेरे खलाफ ज़ोने बाले सेब्भी केरि बेइज़ती भोइ, ते सारे लोक यीशुए ज़ैना महिमारां कम्मां अपने हथेइं कियोरां थियां खुशी मनाने लगे।
2a0d1200d3	तैखन यीशु तैन सेइं ज़ोने लगो, “परमेशरेरू राज़ कौस चीज़री ज़ेरूए अवं केस सेइं ज़ोईं?
2a0d130209	तन शेरीएरे बीज़ेरू ज़ेरू आए, ज़ैन एक्की मैने एन्तां अपनि बागी मां बेवं, पन ज़ैखन तैन बीज़ बेव गाते, तै उगतां सारे निक्के-निक्के बुट्टन केरां बड्डो भोते। ते अम्बरेरां च़ुड़ोल्लू भी तैस पुड़ बिशने लगां।”
2a0d1400a1	यीशुए फिरी ज़ोवं, “अवं परमेशरेरे राज़्ज़ेरी मसाल केस सेइं देईं?
2a0d150100	तैन खमीरेरू ज़ेरूए, ज़ैन केन्ची कुआन्शां आनू, ते हछे अट्टे मां मलाव ते सारू अट्टू खमीर बेनि ज़ोवं।”
2a0d16011d	यीशु अपने चेलन सेइं साथी यरूशलेम नगरे मांमेइं गांते बार नगरन मां ते ड्लोंव्वन मां शिक्षा देंतो च़लोरो थियो।
2a0d1700ff	केन्चे यीशु पुच़्छ़ू, “हे प्रभु कुन थोड़े ज़ेरे लोक हमेशारी सज़ाई करां बच़ेले?” यीशु तैन सेइं ज़ोवं।
2a0d18017e	“परमेशरेरे राज़्ज़े मां सुन्कड़े दारेरां बत्तां गानेरी कोशिश केरा, किजोकि अवं तुसन सेइं ज़ोताईं कि बड़े लोक अन्तर गानेरी कोशिश केरेले पन न गेइ सकेले।
2a0d190203	ज़ैखन घरेरो मालिक एक्की बार दार बंद केरि छ़डते, त तुस बेइर खड़ खड़े दार गुड़काते, ते बिनती केरते राथ कि, ‘हे प्रभु इश्शे लेइ दार खोल्ल,’ ते तै तुसन जुवाब देते कि अवं तुसन न ज़ैनी तुस कौन आथ ते कोट्ठां ओरेथ?
2a0d1a010e	तैखन तुस ज़ोले कि, ‘असेईं तीं सेइं साथी खोरी पियोरी नईं, ते तीं इश्शे अंगने मां असन शिक्षा नईं दित्तोरी।’
2a0d1b00f7	पन तै तुसन सेइं ज़ोलो, ‘अवं तुसन न ज़ैनी तुस कौन आथ, ते कोट्ठां ओरेथ हे बेइमानव मीं करां दूर भोथ।’
2a0d1c0172	ज़ैखन तुस अब्राहम, इसहाक ते याकूब ते सब नेबन परमेशरेरे राज़्ज़े मां सामने लाएले ते अपनो आप बेइरोवं कढते लाएले, त लेरां देते ते दंत च़ापते राले।
2a0d1d0152	लोक पूर्बेरां ते पछमेरां ते उत्तर ते दक्षिणेरे देंते यानी दुनियारे सारे लोकन मरां लोक परमेशरेरे राज़्ज़ेरी धामी मां एइते लाएले।
2a0d1e00f4	ते हेरा किछ एरेन कि ज़ैना पेइले आन, तैना पत्रोवं भोनेन ते ज़ैना पत्रोवं आन, तैना पेइले भोनेन।”
2a0d1f0102	तैखने किछ फरीसी लोक यीशु कां आए ते ज़ोने लगे, “इट्ठां निस ते च़लो गा, किजोकि हेरोदेस तीं मारने चाते।”
2a0d2001fb	पन यीशुए तैन ज़ोवं, तैस मैन्हु सेइं ज़ै लोई अरो ज़ेरो आए, गेइतां तैस सेइं ज़ोथ कि, “अवं अज़ ते कालां भूतां केरो सैयो कढने ते बिमारन बज़्झ़ांनेरू कम केरने लोरोईं ते एन कम ट्लेइ दिहाड़न मां मीं पूरू केरनूए।
2a0d2100f3	बस्सा मीं अज़ ते कालां ते ट्लेईदी मीं सफर केरनूए, किजोकि नबी सिर्फ यरूशलेम नगरे मां मारे गाले।
2a0d22029d	“हे यरूशलेमे नगरेरे लोकव, हे यरूशलेमे नगरेरे लोकव, तुसेईं केत्रे नबी कत्ल किये, ज़ैना बड़े पेइले तुसन कां आए, ते ज़ैना तुसन कां भेज़े तैन घोड़ेईं बेई, मीं केही फेरेईं सोचू कि तेरे बच्चन अकोट्ठे केरि ज़ेन्च़रे कुकड़ी अपने बच्चन अपने फंगन हैठ रखचे, पन तुस राज़ी न भोए।
2a0d2301d8	हेरा तुश्शू घर तुश्शे लेइ छ़ड्डू गाते, ते अवं तुसन सेइं ज़ोताईं कि तुस मीं केन्ची तरीके भी न लेई सकेले, ज़ांतगर तुसन एन ज़ोनेरो मौको न एज्जेलो, धने तै ज़ै प्रभुएरे नंव्वे सेइं एइते।”
2a0e010159	यीशु फिरी आरामेरे दिहाड़े एक्की फरीसेरे घरे रोट्टी खाने जेव त बड़े फरीसी लोक ध्याने सेइं लोरे थिये तकने, ताके तैसेरी कोई गलती ट्लान।
2a0e0200fa	तैड़ी अक बिमार मैन्हु थियो ज़ेसेरी ज़ंघां पैखड़ी शोजती थी ते पस-पाक च़लती थी, तै तैड़ी बिशोरो थियो।
2a0e030116	यीशुए शास्त्री ते फरीसी लोकन पुच़्छ़ू, “कि आरामेरे दिहाड़े कानूनेरे मुताबिक कोई बज्झ़ानो जेइज़े की नईं?”
2a0e0400d5	तैना च़ुप राए, तैखन यीशुए तैस बिमारे पुड़ अपनो हथ रख्खो ते तै बज्झ़ाव, ते घरजो भेज़ो।
2a0e05014e	ते फरीसन सेइं ज़ोवं, “तुसन मरां एरो कौने, ज़ेसेरू मट्ठू या दांत खड्डे मां खिरके ते आरामेरी दिहाड़ी भोए, ते तैस तैट्ठां बेइर न कढे?”
2a0e060084	ते तैन लोकेईं यीशुएरी गल्लां केरो जुवाब न देइ बटो।
