280000000e	ՄԱՏԹԷՈՍ
290a0d009c	Մանուկներ բերին իրեն՝ որպէսզի դպչի անոնց. բայց աշակերտները կը յանդիմանէին բերողները:
290a0e0122	Երբ Յիսուս տեսաւ, ընդվզելով ըսաւ անոնց. «Թո՛յլ տուէք այդ մանուկներուն՝ որ գան ինծի, եւ մի՛ արգիլէք զանոնք, որովհետեւ Աստուծոյ թագաւորութիւնը այդպիսիներունն է:
290a0f00e4	Ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Ո՛վ որ չընդունի Աստուծոյ թագաւորութիւնը պզտիկ մանուկի մը պէս, բնա՛ւ պիտի չմտնէ անոր մէջ”»:
290a10006c	Ու գիրկը առաւ զանոնք, ձեռք դրաւ անոնց վրայ եւ օրհնեց զանոնք:
290a1100fa	Երբ ան դուրս ելաւ, ճամբան մարդ մը վազեց, ծնրադրեց անոր առջեւ ու հարցուց անոր. «Բարի՛ վարդապետ, ի՞նչ ընեմ՝ որ ժառանգեմ յաւիտենական կեանքը»:
290a12008e	Յիսուս ըսաւ անոր. «Ինչո՞ւ բարի կը կոչես զիս. մէկէ՛ն զատ բարի չկայ, որ Աստուած է:
290a13010c	Գիտե՛ս պատուիրանները. շնութիւն մի՛ ըներ, սպանութիւն մի՛ ըներ, գողութիւն մի՛ ըներ, սուտ վկայութիւն մի՛ տար, զրկանք մի՛ ըներ, պատուէ՛ հայրդ ու մայրդ»:
290a14008a	Ան ալ պատասխանեց անոր. «Վարդապե՛տ, պահած եմ այդ բոլորը՝ պատանութենէս ի վեր»:
290a15013f	Յիսուս անոր նայելով՝ սիրեց զայն եւ ըսաւ անոր. «Մէ՛կ բան կը պակսի քեզի. գնա՛, ծախէ՛ ունեցածդ, տո՛ւր աղքատներուն, ու գանձ պիտի ունենաս երկինքը. ապա վերցո՛ւր խաչը ու հետեւէ՛ ինծի»:
290a16008d	Ան ալ այս խօսքին համար խոժոռելով՝ տրտմած գնաց, որովհետեւ շատ ստացուածք ունէր:
290a1700d7	Յիսուս՝ շուրջը նայելով՝ ըսաւ իր աշակերտներուն. «Ո՜րչափ դժուար է Աստուծոյ թագաւորութիւնը մտնել անոնց՝ որ դրամ ունին»:
290a180122	Աշակերտները այլայլեցան անոր խօսքերէն. բայց Յիսուս դարձեալ ըսաւ անոնց. «Զաւակնե՛ր, ո՜րչափ դժուար է Աստուծոյ թագաւորութիւնը մտնել՝ իրենց դրամին վստահողներուն:
290a19009c	Դիւրին է որ ո՛ւղտը ասեղին ծակէն անցնի, քան թէ հարուստը Աստուծոյ թագաւորութիւնը մտնէ»:
290a1a0073	Անոնք չափազանց ապշեցան եւ ըսին իրարու. «Ա՛լ ո՞վ կրնայ փրկուիլ»:
290a1b00da	Յիսուս նայելով անոնց՝ ըսաւ. «Ատիկա անկարելի է մարդոց քով, բայց ոչ՝ Աստուծոյ քով. քանի որ ամէն բան կարելի է Աստուծոյ քով»:
290a1c0087	Պետրոս սկսաւ ըսել անոր. «Ահա՛ մենք թողուցինք ամէն ինչ եւ հետեւեցանք քեզի»:
290a1d0134	Յիսուս պատասխանեց. «Ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Չկայ մէկը՝ որ թողուցած ըլլայ տուն, եղբայրներ, քոյրեր, հայր, մայր, կին, զաւակներ, կամ արտեր՝ ինծի եւ աւետարանին համար,
290a1e0123	ու չստանայ հարիւրապատի՛կը հիմա՝ այս ատեն՝ տուներ, եղբայրներ, քոյրեր, մայրեր, զաւակներ եւ արտեր՝ հալածանքներու հետ, ու յաւիտենական կեանքը՝ գալիք աշխարհին մէջ”:
290a1f006a	Բայց շատ առաջիններ պիտի ըլլան յետին, եւ յետիններ՝ առաջին»:
290a200170	Երբ անոնք դէպի Երուսաղէմ բարձրացող ճամբան էին, Յիսուս անոնց առջեւէն կ՚երթար: Անոնք այլայլած էին ու հետեւելով՝ կը վախնային: Դարձեալ քովը առնելով տասներկուքը, սկսաւ ըսել անոնց՝ ի՛նչ որ պիտի պատահէր իրեն.
290a21011d	«Ահա՛ Երուսաղէմ կը բարձրանանք, եւ մարդու Որդին պիտի մատնուի քահանայապետներուն ու դպիրներուն. մահուան պիտի դատապարտեն զայն, հեթանոսներուն պիտի մատնեն զայն,
290a2200c0	պիտի ծաղրեն ու խարազանեն զայն, պիտի թքնեն անոր վրայ եւ սպաննեն զայն. բայց յարութիւն պիտի առնէ երրորդ օրը»:
290a2300eb	Ապա Յակոբոս ու Յովհաննէս՝ Զեբեդէոսի որդիները՝ գացին անոր քով, եւ ըսին. «Վարդապե՛տ, կ՚ուզենք որ ի՛նչ որ խնդրենք՝ ընես մեզի համար»:
290a240054	Ան ալ ըսաւ անոնց. «Ի՞նչ կ՚ուզէք՝ որ ընեմ ձեզի»:
290a2500ba	Անոնք ալ ըսին իրեն. «Շնորհէ՛ մեզի, որ բազմինք մեզմէ մէկը՝ աջ կողմդ, ու միւսը՝ ձախ կողմդ քու փառքիդ մէջ»:
290a2600f3	Յիսուս ըսաւ անոնց. «Չէք գիտեր ի՛նչ կը խնդրէք: Կրնա՞ք խմել այն բաժակը՝ որ ես կը խմեմ, եւ մկրտուիլ այն մկրտութեամբ՝ որով ես կը մկրտուիմ»:
290a27010d	Անոնք ըսին իրեն. «Կրնա՛նք»: Յիսուս ըսաւ անոնց. «Արդարեւ պիտի խմէ՛ք այն բաժակը՝ որ ես կը խմեմ, ու պիտի մկրտուի՛ք այն մկրտութեամբ՝ որով ես կը մկրտուիմ.
290a2800ba	բայց իմ աջ կողմս եւ ձախ կողմս բազմիլը՝ իմս չէ տալը, հապա պիտի տրուի անո՛նց՝ որոնց համար պատրաստուած է»:
290a29008a	Երբ միւս տասը աշակերտները լսեցին, սկսան ընդվզիլ Յակոբոսի ու Յովհաննէսի դէմ:
290a2a011f	Իսկ Յիսուս իրեն կանչեց զանոնք եւ ըսաւ անոնց. «Գիտէք թէ հեթանոսներուն իշխան համարուածնե՛րը կը տիրապետեն իրենց վրայ, եւ անոնց մեծամեծնե՛րը կ՚իշխեն իրենց վրայ:
290a2b00aa	Բայց այդպէս թող չըլլայ ձեր մէջ. հապա ձեզմէ ո՛վ որ ուզէ մեծ ըլլալ՝ անիկա ձեր սպասարկո՛ւն ըլլայ,
290a2c0077	ու ձեզմէ ո՛վ որ ուզէ գլխաւոր ըլլալ՝ անիկա բոլորին ստրո՛ւկը ըլլայ:
290a2d00dc	Քանի որ մարդու Որդին եկաւ ո՛չ թէ սպասարկութիւն ընդունելու, հապա՝ սպասարկելու եւ իր անձը իբր փրկանք տալու շատերու համար»:
290a2e0112	Յետոյ եկան Երիքով: Երբ դուրս կ՚ելլէր Երիքովէն՝ աշակերտներով եւ մեծ բազմութեամբ, Տիմէոսի որդին՝ կոյր Բարտիմէոս՝ նստած էր ճամբային եզերքը ու կը մուրար:
290a2f009d	Երբ լսեց թէ Յիսուս Նազովրեցին է, սկսաւ աղաղակել. «Յիսո՛ւս, Դաւիթի՛ Որդի, ողորմէ՜ ինծի»:
290a3000a8	Շատեր կը հրահանգէին անոր՝ որ լռէ: Բայց ան ա՛լ աւելի կ՚աղաղակէր. «Դաւիթի՛ Որդի, ողորմէ՜ ինծի»:
290a3100ca	Յիսուս կանգ առնելով՝ ըսաւ որ կանչեն զայն: Կանչեցին կոյրը եւ ըսին անոր. «Քաջալերուէ՛, ոտքի՛ ելիր, քե՛զ կը կանչէ»:
290a320061	Ան ալ իր հանդերձը նետելով՝ կանգնեցաւ ու եկաւ Յիսուսի:
290a3300b6	Յիսուս պատասխանեց անոր. «Ի՞նչ կ՚ուզես՝ որ ընեմ քեզի»: Կոյրը ըսաւ. «Ռաբբունի՛, թող աչքերս բացուին՝՝»:
290a3400be	Յիսուս ըսաւ անոր. «Գնա՛. հաւատքդ բժշկեց քեզ»: Իսկոյն անոր աչքերը բացուեցան, ու ճամբան կը հետեւէր Յիսուսի:
290b0100de	Երբ մօտեցան Երուսաղէմի, եւ հասան Բեթփագէ ու Բեթանիա, Ձիթենիներու լերան մօտ, Յիսուս իր աշակերտներէն երկուքը ղրկեց՝ ըսելով.
290b0200fa	«Գացէ՛ք այդ ձեր դիմացի գիւղը. անոր մէջ մտնելով՝ իսկոյն պիտի գտնէք կապուած աւանակ մը, որուն վրայ մա՛րդ նստած չէ. արձակեցէ՛ք զայն ու բերէ՛ք:
290b0300a5	Եթէ մէկը ըսէ ձեզի. “Այդ ի՞նչ կ՚ընէք”, ըսէ՛ք. “Տէրոջ պէտք է”, եւ իսկոյն հոս պիտի ղրկէ զայն»:
290b040090	Գացին ու գտան աւանակը, դուրսը՝ փողոցին մէջ, դրան քով կապուած, եւ արձակեցին զայն:
290b050078	Հոն կայնողներէն ոմանք ըսին իրենց. «Ինչո՞ւ կ՚արձակէք այդ աւանակը»:
290b06008b	Իրենք ալ պատասխանեցին անոնց ինչպէս Յիսուս պատուիրեր էր, եւ թոյլ տուին իրենց:
290b070091	Երբ աւանակը բերին Յիսուսի, դրին անոր վրայ իրենց հանդերձները, ու նստաւ անոր վրայ:
290b0800cc	Շատեր իրենց հանդերձները կը փռէին ճամբային վրայ. ուրիշներ ճիւղեր կը կտրէին ծառերէն եւ կը տարածէին ճամբային վրայ:
290b0900bd	Առջեւէն գացողներն ու իրեն հետեւողները կ՚աղաղակէին. «Ովսաննա՜. օրհնեա՜լ է ա՛ն՝ որ կու գայ Տէրոջ անունով:
290b0a00a6	Օրհնեա՜լ է մեր Դաւիթ հօր թագաւորութիւնը՝ որ կու գայ՝՝: Ովսաննա՜ ամենաբարձր վայրերուն մէջ»:
290b0b00fe	Յիսուս մտաւ Երուսաղէմ ու գնաց տաճարը: Երբ շուրջը նայեցաւ՝ ամէն բանի վրայ, արդէն իրիկուան ժամը ըլլալուն՝ մեկնեցաւ Բեթանիա տասներկուքին հետ:
290b0c005a	Հետեւեալ օրը՝ երբ կ՚ելլէին Բեթանիայէն՝ անօթեցաւ,
290b0d0119	եւ հեռուէն տեսնելով տերեւալից թզենի մը՝ գնաց, որ թերեւս բան մը գտնէ վրան. բայց երբ գնաց անոր քով, ոչինչ գտաւ՝ տերեւներէն զատ, որովհետեւ դեռ թուզի ատենը չէր:
290b0e00a1	Ուստի ըսաւ անոր. «Ասկէ ետք ո՛չ մէկը պտուղ ուտէ քեզմէ յաւիտեան»: Եւ իր աշակերտները լսեցին:
290b0f0124	Երր հասան Երուսաղէմ, տաճարը մտնելով՝ Յիսուս դուրս հանեց տաճարին մէջ ծախողներն ու գնողները, տապալեց լումայափոխներուն սեղանները եւ աղաւնի ծախողներուն աթոռները,
290b100062	ու թոյլ չտուաւ որ մէ՛կը անօ՛թ մը անցընէ տաճարին մէջէն:
290b1100fc	Եւ սորվեցուց անոնց՝ ըսելով. «Միթէ գրուած չէ՞. “Իմ տունս աղօթքի տուն պիտի կոչուի բոլոր ազգերուն”. բայց դուք զայն աւազակներու քարայր ըրիք»:
290b12012d	Դպիրներն ու քահանայապետները լսելով ասիկա՝ կը փնտռէին թէ ի՛նչպէս կորսնցնեն զայն, քանի կը վախնային անկէ. որովհետեւ ամբողջ բազմութիւնը ապշած էր անոր ուսուցումին վրայ:
290b130044	Երբ իրիկուն եղաւ՝ քաղաքէն դուրս ելաւ:
290b140069	Առտուն՝ երբ կ՚անցնէին անկէ, տեսան թզենին՝ արմատէն չորցած:
290b150086	Պետրոս վերյիշեց եւ ըսաւ անոր. «Ռաբբի՛, ահա՛ թզենին որ անիծեցիր՝ չորցած է»:
290b160068	Յիսուս պատասխանեց անոնց. «Հաւա՛տք ունեցէք Աստուծոյ վրայ:
290b17014d	Որովհետեւ ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Ո՛վ որ ըսէ այս լերան. "Ելի՛ր ու ծո՛վը նետուէ", եւ չտատամսի իր սիրտին մէջ, հապա հաւատայ թէ ի՛նչ որ ըսէ՝ կ՚ըլլայ, պիտի ըլլայ անոր՝ ի՛նչ որ ըսէ”:
290b1800b8	Ուստի կը յայտարարեմ ձեզի. “Ի՛նչ որ կը խնդրէք աղօթքով, հաւատացէ՛ք թէ պիտի ստանաք, ու պիտի ըլլայ ձեզի”:
290b1900d9	Երբ կայնիք աղօթքի, ներեցէ՛ք՝ եթէ մէկուն դէմ բան մը ունիք, որպէսզի ձեր Հայրն ալ՝ որ երկինքն է՝ ներէ ձեզի ձեր յանցանքները:
290b1a008b	Իսկ եթէ դուք չներէք, ձեր Հայրն ալ՝ որ երկինքն է՝ պիտի չներէ ձեր յանցանքները»:
290b1b00b3	Դարձեալ եկան Երուսաղէմ: Երբ կը քալէր տաճարին մէջ, քահանայապետները, դպիրներն ու երէցները եկան անոր,
290b1c00b6	եւ ըսին. «Ի՞նչ իշխանութեամբ կ՚ընես այդ բաները. ո՞վ տուաւ քեզի այդ իշխանութիւնը՝ որ ընես այդ բաները»:
290b1d00f3	Յիսուս պատասխանեց անոնց. «Ես ալ ձեզի՛ հարցնեմ բան մը. պատասխանեցէ՛ք ինծի, ու ես պիտի ըսեմ ձեզի թէ ի՛նչ իշխանութեամբ կ՚ընեմ այդ բաները:
290b1e0089	“Յովհաննէսի մկրտութիւնը երկինքէ՞ն էր՝ թէ մարդոցմէ”: Պատասխանեցէ՛ք ինծի»:
290b1f00c5	Անոնք կը մտածէին իրենց մէջ՝ ըսելով. «Եթէ պատասխանենք. “Երկինքէն”, պիտի ըսէ. “Հապա ինչո՞ւ չհաւատացիք անոր”:
290b2000db	Իսկ եթէ պատասխանենք. “Մարդոցմէ”բ»: Կը վախնային ժողովուրդէն, որովհետեւ բոլորը ի՛րապէս մարգարէ կը նկատէին՝՝ Յովհաննէսը:
290b2100ef	Ուստի պատասխանեցին Յիսուսի. «Չենք գիտեր»: Յիսուս ալ պատասխանեց անոնց. «Ես ալ չեմ ըսեր ձեզի թէ ի՛նչ իշխանութեամբ կ՚ընեմ այդ բաները»:
290c01012a	Ապա սկսաւ առակներով խօսիլ անոնց հետ ու ըսել. «Մարդ մը այգի տնկեց, ցանկ քաշեց անոր շուրջը, հնձանի փոս փորեց, աշտարակ կառուցանեց, մշակներու յանձնեց զայն, եւ ճամբորդեց:
290c020089	Ատենին ծառայ մը ղրկեց մշակներուն, որպէսզի մշակներէն ստանայ այգիին պտուղէն:
290c03005b	Իսկ անոնք բռնեցին, ծեծեցին զայն ու պարապ ճամբեցին:
290c0400be	Դարձեալ ուրիշ ծառայ մըն ալ ղրկեց անոնց. զայն ալ քարկոծելով՝ գլուխը վիրաւորեցին եւ անպատուուած ճամբեցին:
290c0500c2	Դարձեալ ուրիշ մը ղրկեց, ու զայն սպաննեցին: Շատ ուրիշներ ալ ղրկեց, որոնցմէ ոմանք ծեծեցին եւ ոմանք սպաննեցին:
290c0600ac	Տակաւին սիրելի որդի մը ունէր. վերջապէս զայն ալ ղրկեց անոնց՝ ըսելով. “Թերեւս պատկառին որդիէս”:
290c0700c5	Բայց այդ մշակները ըսին իրարու. “Ա՛յս է ժառանգորդը. եկէ՛ք սպաննենք զայն, ու ժառանգութիւնը մե՛րը պիտի ըլլայ”:
290c080058	Բռնեցին զայն, սպաննեցին եւ այգիէն դուրս հանեցին:
290c0900aa	Ուրեմն այգիին տէրը ի՞նչ պիտի ընէ. պիտի գայ ու կորսնցնէ մշակները, եւ այգին պիտի տայ ուրիշներու:
290c0a00a7	Չէ՞ք կարդացեր սա՛ գրուածը. “Այն քարը՝ որ կառուցանողները մերժեցին, անիկա՛ եղաւ անկիւնաքարը.
290c0b005e	ասիկա Տէրոջմէ՛ն եղաւ, եւ սքանչելի է մեր աչքերուն”»:
290c0c00fa	Անոնք կը ջանային բռնել զայն, բայց բազմութենէն կը վախնային. որովհետեւ գիտցան թէ այդ առակը խօսեցաւ իրենց դէմ: Ուստի թողուցին զայն, եւ գացին:
290c0d0095	Փարիսեցիներէն ու Հերովդէսեաններէն ոմանք ղրկեցին անոր, որպէսզի խօսքով բռնեն զայն:
290c0e01a5	Անոնք եկան եւ ըսին անոր. «Վարդապե՛տ, գիտենք թէ ճշմարտախօս ես, ու ո՛չ մէկուն համար հոգ կ՚ընես. քանի որ երեսպաշտութիւն չես ըներ մարդոց, հապա ճշմարտութեամբ կը սորվեցնես Աստուծոյ ճամբան: Արտօնուա՞ծ է կայսրին տուրք տալ. տա՞նք՝ թէ չտանք»:
290c0f00c8	Յիսուս գիտնալով անոնց կեղծաւորութիւնը՝ ըսաւ անոնց. «Ինչո՞ւ զիս կը փորձէք: Բերէ՛ք ինծի դահեկան մը՝ որ տեսնեմ»:
290c1000ab	Անոնք ալ բերին: Ըսաւ անոնց. «Որո՞ւնն են այս պատկերն ու գրութիւնը»: Անոնք ըսին իրեն. «Կայսրի՛ն»:
290c1100e2	Յիսուս ալ պատասխանեց անոնց. «Ինչ որ կայսրինն է՝ կայսրի՛ն տուէք, եւ ինչ որ Աստուծոյ է՝ Աստուծո՛յ oտուէքp»: Ու զարմացան իր վրայ:
290c120095	Սադուկեցիներն ալ, որոնք կ՚ըսեն թէ յարութիւն չկայ, եկան անոր քով եւ հարցուցին իրեն.
290c130106	«Վարդապե՛տ, Մովսէս գրեց մեզի. “Եթէ մէկուն եղբայրը մեռնի, ու կինը այրի ձգէ եւ զաւակ չթողու, անոր եղբայրը թող առնէ անոր կինը ու զարմ տայ իր եղբօր”:
290c140082	Ուրեմն եօթը եղբայրներ կային. առաջինը կին առաւ եւ մեռաւ, ու զարմ չթողուց:
290c15007c	Երկրորդը առաւ զայն եւ մեռաւ. ա՛ն ալ զարմ չթողուց. նոյնպէս ալ երրորդը:
290c160073	Եօթն ալ զայն առին ու զարմ չթողուցին. բոլորէն ետք՝ կինն ալ մեռաւ:
290c1700d3	Ուրեմն յարութեան ատեն, երբ յարութիւն առնեն, անոնցմէ որո՞ւն կինը պիտի ըլլայ. որովհետեւ եօթն ալ ունեցան զայն իբր կին»:
290c1800c2	Յիսուս պատասխանեց անոնց. «Արդեօք դուք մոլորած չէ՞ք՝ քանի որ ո՛չ Գիրքերը գիտէք, ո՛չ ալ Աստուծոյ զօրութիւնը:
290c1900eb	Արդարեւ երբ մեռելներէն յարութիւն առնեն, ո՛չ կ՚ամուսնանան եւ ո՛չ ամուսնութեան կը տրուին, հապա երկինքի հրեշտակներուն պէս կ՚ըլլան:
290c1a0172	Բայց մեռելներուն մասին՝ թէ յարութիւն կ՚առնեն, Մովսէսի գիրքին մէջ չէ՞ք կարդացեր, թէ ի՛նչպէս Աստուած մորենիին մէջէն խօսեցաւ անոր՝ ըսելով. “Ե՛ս եմ Աբրահամի Աստուածը, Իսահակի Աստուածը եւ Յակոբի Աստուածը”:
290c1b0083	Ան մեռելներուն Աստուածը չէ, հապա՝ ողջերուն. ուրեմն դուք շատ մոլորած էք»:
290c1c0115	Դպիրներէն մէկը մօտեցաւ, մտիկ ըրաւ անոնց՝ երբ կը վիճաբանէին, ու նշմարելով թէ լաւ պատասխանեց անոնց՝ հարցուց անոր. «Ո՞րն է բոլոր պատուիրաններուն առաջինը»:
290c1d00db	Յիսուս պատասխանեց անոր. «Բոլոր պատուիրաններուն առաջինը սա՛ է. “Մտի՛կ ըրէ, ո՛վ Իսրայէլ. Տէրը՝ մեր Աստուածը՝ միա՛կ Տէրն է:
290c1e00df	Սիրէ՛ Տէրը՝ քու Աստուածդ՝ ամբողջ սիրտովդ, ամբողջ անձովդ, ամբողջ միտքովդ եւ ամբողջ զօրութեամբդ”: Ա՛յս է առաջին պատուիրանը:
290c1f00a6	Ու երկրորդը՝ ասոր նման. “Սիրէ՛ ընկերդ քու անձիդ՝՝ պէս”: Ասոնցմէ մեծ ուրիշ պատուիրան չկայ»:
290c2000b1	Դպիրը ըսաւ անոր. «Լա՛ւ, վարդապե՛տ, ճշմարտութեամբ ըսիր թէ Աստուած մէ՛կ է, եւ անկէ զատ ուրիշ մը չկայ.
290c21010e	նաեւ ամբողջ սիրտով, ամբողջ խելքով, ամբողջ անձով ու ամբողջ զօրութեամբ զայն սիրելը, եւ ընկերը իրեն պէս սիրելը՝ բոլոր ողջակէզներէն ու զոհերէն աւելի է»:
290c220114	Յիսուս՝ տեսնելով որ ան խելամտութեամբ պատասխանեց, ըսաւ անոր. «Աստուծոյ թագաւորութենէն հեռու չես»: Եւ ա՛լ ուրիշ ո՛չ մէկը կը յանդգնէր բան մը հարցնել անոր:
290c2300b2	Երբ Յիսուս կը սորվեցնէր տաճարին մէջ՝ ըսաւ. «Դպիրները ի՞նչպէս կ՚ըսեն թէ “Քրիստոս Դաւիթի որդին է”:
290c2400fa	Արդարեւ ի՛նք՝ Դաւիթ՝ Սուրբ Հոգիով կ՚ըսէ. “Տէրը ըսաւ իմ Տէրոջս. «Բազմէ՛ իմ աջ կողմս, մինչեւ որ քու թշնամիներդ պատուանդան դնեմ ոտքերուդ»”:
290c2500ce	Ուրեմն ի՛նք՝ Դաւիթ՝ Տէր կը կոչէ զայն. ի՞նչպէս ան կ՚ըլլայ իր որդին»: Բազմութենէն շատեր հաճոյքով մտիկ կ՚ընէին անոր:
290c260100	Իր ուսուցումին մէջ կ՚ըսէր անոնց. «Զգուշացէ՛ք դպիրներէն, որոնք կ՚ուզեն երկայն հանդերձներով շրջիլ, կը փնտռեն բարեւները՝ հրապարակներուն վրայ,
290c27008c	առաջին աթոռները՝ ժողովարաններու մէջ, եւ առաջին բազմոցները՝ ընթրիքներու մէջ.
290c2800cb	որոնք կը լափեն այրիներուն տուները, ու իբր պատրուակ՝ աղօթքը կ՚երկարեն: Ասոնք աւելի՛ խստութեամբ պիտի դատուին՝՝»:
290c2900e0	Յիսուս գանձանակին դիմաց նստած՝ կը նայէր թէ բազմութիւնը գանձանակին մէջ ի՛նչպէս դրամ կը ձգէ: Շատ հարուստներ՝ շատ բան ձգեցին:
290c2a0078	Աղքատ այրի մըն ալ եկաւ ու երկու լումայ ձգեց, որ նաքարակիտ մը կ՚ընէ:
290c2b0101	Իր աշակերտները կանչելով իրեն՝ ըսաւ անոնց. «Ճշմա՛րտապէս կը յայտարարեմ ձեզի թէ այս աղքատ այրին՝ գանձանակը դրամ ձգողներուն բոլորէն աւելի ձգեց.
290c2c00d2	որովհետեւ բոլորը իրենց առատութենէն ձգեցին, բայց ան՝ իր կարօտութենէն՝ ձգեց իր ամբողջ ունեցածը, իր ամբողջ ապրուստը»:
290d0100d6	Մինչ դուրս կ՚ելլէր տաճարէն, իր աշակերտներէն մէկը ըսաւ իրեն. «Վարդապե՛տ, տե՛ս ինչպիսի՜ քարեր են, եւ ի՛նչ տեսակ շէնքեր»:
290d0200b1	Յիսուս պատասխանեց անոր. «Կը տեսնե՞ս այդ մեծ շէնքերը. քար քարի վրայ պիտի չմնայ, ամէնը պիտի քակուի»:
290d0300cd	Մինչ ան նստած էր Ձիթենիներու լեռը՝ տաճարին դիմաց, Պետրոս, Յակոբոս, Յովհաննէս ու Անդրէաս հարցուցին իրեն՝ առանձին.
290d0400a3	«Ըսէ՛ մեզի, ե՞րբ պիտի ըլլայ ատիկա, եւ ի՞նչ նշան պիտի ըլլայ այդ բոլորին կատարուելու ատենը»:
290d05008e	Յիսուս պատասխանելով անոնց՝ սկսաւ ըսել. «Զգուշացէ՛ք որ ո՛չ մէկը մոլորեցնէ ձեզ.
290d0600aa	որովհետեւ շատե՜ր պիտի գան իմ անունովս՝ ըսելով. “Ե՛ս եմ Քրիստոսը”, ու պիտի մոլորեցնեն շատերը:
290d070102	Բայց երբ լսէք պատերազմներու մասին, եւ պատերազմներու տարաձայնութիւններ՝ մի՛ վրդովիք, որովհետեւ պէտք է որ այս ամէնը ըլլայ, բայց դեռ վախճանը չէ:
290d080136	Արդարեւ ազգ ազգի դէմ պիտի ելլէ, ու թագաւորութիւն՝ թագաւորութեան դէմ, եւ տեղ-տեղ երկրաշարժներ պիտի ըլլան. սովեր ու խառնակութիւններ ալ պիտի ըլլան: Ասոնք ցաւերուն սկիզբն են:
290d090168	Զգուշացէ՛ք դուք ձեզի համար. քանի որ ատեաններու պիտի մատնեն ձեզ, ժողովարաններու մէջ պիտի ծեծեն ձեզ, ու կառավարիչներու եւ թագաւորներու առջեւ պիտի կենաք՝ իմ պատճառովս, անոնց վկայութիւն ըլլալու համար:
290d0a0061	Բայց նախ պէտք է որ աւետարանը քարոզուի բոլոր ազգերուն:
290d0b015e	Իսկ երբ մատնելու տանին ձեզ, նախապէս մի՛ մտահոգուիք թէ ի՛նչ պիտի խօսիք, ո՛չ ալ խոկացէք. հապա այդ ժամուն ինչ որ ձեզի տրուի՝ զա՛յն խօսեցէք. որովհետեւ ո՛չ թէ դուք էք որ պիտի խօսիք, հապա Սուրբ Հոգին»:
290d0c00d6	«Եղբայրը մահուան պիտի մատնէ եղբայրը, ու հայրը՝ զաւակը. եւ զաւակներ պիտի ելլեն իրենց ծնողներուն դէմ ու մեռցնեն զանոնք:
290d0d00af	Բոլորին ատելի պիտի ըլլաք իմ անունիս համար: Բայց ո՛վ որ տոկայ մինչեւ վախճանը՝ անիկա՛ պիտի փրկուի:
290d0e0172	Երբ տեսնէք թէ աւերողին պղծութիւնը՝՝ - որու մասին Դանիէլ մարգարէին միջոցով խօսուած է - հաստատուած է հո՛ն ուր պէտք չէ ըլլար, (ո՛վ որ կարդայ՝ թող հասկնայ,) այն ատեն Հրէաստանի մէջ եղողները լեռնե՛րը թող փախչին:
290d0f0084	Ա՛ն որ տանիքին վրայ է՝ թող չիջնէ տունը, ու չմտնէ իր տունէն բան մը առնելու.
290d10006b	եւ ա՛ն որ արտին մէջ է՝ թող չվերադառնայ իր հանդերձը առնելու:
290d110063	Բայց վա՜յ այդ օրերը յղի եղողներուն ու ծիծ տուողներուն:
290d12004a	Աղօթեցէ՛ք՝ որ ձեր փախուստը ձմեռը չըլլայ:
290d1300f7	Որովհետեւ այդ օրերը այնպիսի՛ տառապանք պիտի ըլլայ, որուն նմանը՝ Աստուծոյ ստեղծած աշխարհի սկիզբէն մինչեւ հիմա եղած չէ, ո՛չ ալ պիտի ըլլայ:
290d1400d4	Եթէ Տէրը այդ օրերը չկարճեցնէր, ո՛չ մէկ մարմին պիտի փրկուէր. բայց այդ օրերը կարճեցուց ընտրեալներուն համար՝ որ ընտրեց:
290d150098	Այն ատեն եթէ մէկը ըսէ ձեզի. “Ահա՛ հո՛ս է Քրիստոսը”, կամ. “Ահա՛ հո՛ն է”, մի՛ հաւատաք:
290d160122	Որովհետեւ սուտ քրիստոսներ եւ սուտ մարգարէներ պիտի ելլեն, ու ցոյց պիտի տան նշաններ եւ սքանչելիքներ, որպէսզի եթէ կարելի ըլլայ՝ մոլորեցնեն նոյնիսկ ընտրեալնե՛րը:
290d170060	Իսկ դուք զգուշացէ՛ք. ահա՛ նախապէս ըսի ձեզի ամէն ինչ»:
290d180099	«Բայց այդ օրերը, այդ տառապանքէն ետք, արեւը պիտի խաւարի եւ լուսինը իր փայլը պիտի չտայ.
290d19008a	աստղերը երկինքէն պիտի իյնան, ու երկինքի մէջ եղող զօրութիւնները պիտի սարսին:
290d1a008e	Այն ատեն պիտի տեսնեն մարդու Որդին, ամպերու մէջ եկած՝ մեծ զօրութեամբ ու փառքով:
290d1b00cf	Այն ատեն պիտի ղրկէ իր հրեշտակները եւ պիտի հաւաքէ իր ընտրեալները չորս հովերէն, երկրի ծայրէն մինչեւ երկինքի ծայրը»:
290d1c00b7	«Թզենիէ՛ն սորվեցէք առակ մը. երբ անոր ոստերը կակուղնան ու տերեւները ցցուին, կը հասկնաք թէ ամառը մօտ է:
290d1d0071	Դուք ալ՝ երբ եղած տեսնէք ասոնք, գիտցէ՛ք թէ մօտ է՝ դռներուն քով:
290d1e00a5	Ճշմա՛րտապէս կը յայտարարեմ ձեզի. “Այս սերունդը պիտի չանցնի, մինչեւ որ այս բոլորը պատահին”:
