2a00000005	Lucas
2a051500a0	Y os Libanes, y Phariseyes se chibaron á penchabar, y penar: ¿Coin sinela ocona sos chamulia solajais: Coin astisarela ertinar grecos, sino Un-debél colcoro?
2a0516006f	Y Jesus, sasta jabilló as suncais de junos, les rudeló, y penó: ¿Qué penchabais andré jirés carlochines?
2a05170062	¿Qué sinela mas astis, penar: Ertinados á tucue sinelan os grecos; o penar: Costunate y pirela?
2a051800b9	Pues somia que chaneleis, que o Chaboro e manu terela sila opré la pu de ertinar grecos, penó al Paralitico: A tucue penelo, costunatucue, ustila tun cheripen, y chatucue á tun quer.
2a0519009b	Y se costunó yescotria anglal de as aquias de junos, y ustiló a cheripen, andré que sinaba: y se chaló a desquero quer, diñando chimusolano á Debél.
2a051a0071	Y sináron os sares pasmados, y majarificaban á Debél: y perelales de dal, penaban: Achibes hemos dicado zibos.
2a051b008d	Y despues de ocono chaló abrí, y dicó a yeque Publicano araquerado Levi, sos sinaba bestelado á la quejeña, y le penó: Plastañamangue.
2a051c0042	Y ardiñelandose mecó sarias desquerias buchias: y le plastañó.
2a051d00ab	Y le queró Levi yeque jachipen bari andré desquero quer, y abilló oté yeque plastañi bari de Publicanes, y de averes, sos sinaban bestelados sat junos á la mensalle.
2a051e008d	Tami os Phariseyes, y os Libanes sinaban ululés, y penaban á os discipules de Jesus: ¿Presás jamais, y piyais sat os Publicanes y chores?
2a051f0080	Y Jesus les rudeló, y penó: A ocolas sos sinelan mistos, salamito no les sinela necesario, sino á ocolas sos sinelan merdés.
2a0520004a	Na he abillado á araquerar á os laches á penitencia, sino á os chores.
2a0521008c	Y ocolas le penáron: ¿Presas os discipules de Juan ayunan tanto, y manguelan, y tambien os es Phariseyes, y os de tucue jamelan y piyelan?
2a05220075	O penó á junos: ¿Por baji astisarelas querelar, que os chabores e Rom ayunen, o chiros que o Rom sinela sat junos?
2a05230064	Tami abillarán chibeses, andré que o Rom les sinará nicabado, y ayunarán andré ocolas chibeses.
2a052400be	Y les penó yeque semejanza: Na chibela cayque remiendo de chan nebó andré plata puri: presas de aver beda o nebó parabela al puro: y ademas na nichobela mistos remiendo nebó sat o puro.
2a052500a7	Y cayque chibela mol nebó andré pigotes purés, presas de aver beda o mol nebó parabelará á os pigotes, o mol se butanará, y se chibelarán a najabar os pigotes.
2a05260054	Tami jomte chibar o mol nebó andré pigotes nebés, y o yeque y o aver se conserva.
2a05270059	Y cayque sos piyela o puro camela yescotria o nebó, presas penela: fetér sinela o puro.
2a060100aa	Y anacó que yeque Canché duisquero brotobo, o chiros que nacase por os ortalames, desqueres discipules velaban prosapias, y estregandolas andré as bastes, las jamaban.
2a0602005d	Y yeques es Phariseyes les penaban: ¿Presas querelais ma na sinela lacho andré os Canchés?
2a0603008e	Y Jesus ustilando a varda, les rudeló: ¿Ni aun terelais lirenado ocolo ma queró David, pur tereló bóquis ó, y ocolas sos sat ó sinaban?
2a060400bc	¿Como chaló andré o quer de Debél, y ustiló os manres e proposicion, y jamó, y diñó á ocolas sos sat ó sinaban: aunque n’astisirelaban jamar de junos, sino os erajais colcores?
2a0605003f	Y les penó: O Chaboro e manu sinela Erañó tambien e Canché.
2a0606007c	Y anacó, que aver Canché chaló tambien andré a Synagoga, y bedaba. Y sinaba oté manu sos terelaba seca a baste bustari.
2a06070081	Y os Libanes, y os Phariseyes le sinaban acechando, somia dicar, si chibaria lacho andré Canché: somia alachar de que acusarlo.
2a060800ab	Tami ó pincharaba as suncais de junos, y penó al manu, sos terelaba a baste seca: Costunatucue, y sinchitatucue andré medio. Y ó costunandose, se sinchitó en pindré.
2a06090085	Y Jesus les penó: Sangue puchabelo: ¿Sinela licito querelar mistos andré Canchés, ó querelar choro, diñar mestipen o nicobarla?
2a060a0072	Y dicando á os sares al crugos, penó al manu: Buchara tun baste, ó la bucharó, y sinaba chibado lacho a baste.
2a060b0060	Y junos se pereláron de furor, y chamuliaban os yeques sat os averes que querelarian sat Jesus.
2a060c0072	Y anacó andré ocolas chibeses, que chaló abrí al bur á manguelar, y nacó sari a rachi manguelando á Debél.
2a060d0073	Y pur sinaba de chibes, araqueró á os discipules de ó, y escogiseró duideque de junos, sos araqueró Apostoles.
2a060e007d	A Simon, á coin diño o sobre-nao de Pedro, y á Andres desquero plal, á Santiago, y á Juan, á Phelipe, y á Bartholomé.
2a060f0050	A Mathéo, y á Thomas, á Santiago de Alphéo, y á Simon araquerado o Zelador.
2a06100046	A Judas plal de Santiago, y á Judas Iscariotes, sos sinaba o Sungalo.
2a061100c6	Y chalando bajines sat junos, entrisaró andré yeque llano, sat la plastañi de desqueres discipules, y de yeque sueti bari de sari a Judéa, y de Jerusalém, y de la cunara, y de Tyro, y de Sydon,
2a061200a8	Sos habian abillado á junelarle, y somia que los chibase lacho de desqueres merdipénes. Y junos sos sinaban atormentados de Bengues prachindes sinaban chibados lacho.
2a0613005f	Y sari a sueti camelaba pajabarle: presas abrí de ó chaló sila, y os chibaba lacho á sares.
2a0614007f	Y ó ardiñando as aquias ácía desqueres discipules, penaba: Majarados os chorores, presas á sangue sinela o chim de Debél.
2a0615007f	Majarados sangue sos acana terelais bóquis: presas perelalés sinareis: Majarados sangue sos acana orobais; presas girelareis.
2a061600ad	Majarados sinareis, pur sangue aborrecieren os manuces, y sangue buchararen de junos, y sangue curararen, y chibaren abrí o nao de sangue, como choro, por o Chaboro e manu.
2a061700a4	Asaselaos andré ocola chibes, y alendaos; presas o manchin de sangue sinela baro andré o Tarpe; presas de ocona beda trataban á os Prophetas os batuces de junos.
2a06180043	¡Tami ysna de sangue os balbalés, presas terelais jiré consuelo!
2a0619008c	¡Ysna de sangue, os sos sinelais perelalés; presas terelareis bóquis! Ysna de sangue os, sos acana girelais; presas golareis y orobareis.
2a061a007f	¡Ysna de sangue, pur majarificaren sangue os manuces; presas andiar querelaban á os Prophetas calabeosos os batuces de junos!
2a061b007a	¡Tami penelo á sangue sos lo junelais: Camelad á jires daschmanuces, querelad mistos á junos sos camelan sangue choro.
2a061c006b	¡Majarad á junos sos zermánelan á sangue, y manguelad á Debél por junos sos araquerelan sangue choro!
2a061d0096	Y á ó sos curáre tucue andré yeque mejilla, dinle tambien a aver. Y á ó sos nicobeláre tucue o uchardo, na ó impidas lliguerar tambien a furi.
2a061e005e	Din á os sares ma tucue manguelaren: y á ó sos ustiláre ma sinela de tucue, na se lo pida.
2a061f0057	Y ma camelais que querelen á sangue os manuces, ocolo matejo querelad sangue á junos.
2a06200081	Y si camelais á junos sos camelan á sangue, ¿qué merito terelareis? Presas os chores tambien camelan á junos sos os camelan.
2a06210080	Y si querelais mistos á junos sos querelan mistos á sangue, ¿qué merito terelareis? Presas os chores tambien querelan ocono.
2a062200a2	Y si prestisareis á ocolas, de coines ujarais ustilar, ¿qué merito terelareis? Presas tambien os chores prestisaran yeques á averes, somia ustilar aver tanto.
2a062300d5	Camelad pues á jirés daschmanuces: querelad mistos, y diñad prestado, bi ujarar por ocono chichi; y jire manchin sinará baro, y sinareis chabores e Udscho, presas o sinela gacho aun para os sungalés y chores.
2a06240041	Sinelad pues canreosos, sasta tambien jiré Dada sinela canreoso.
2a06250067	Na juzgueis, y na sinareis juzgados; na sapleis, y na sinareis saplados. Ertinad, y sinareis ertinados.
2a062600bb	Diñad, y á sangue se diñará: melalo lacho, perelalo, y baro, y costunado diñarán andré jiré chepo: presas sat o matejo melalo con que melalareis, á sangue se volverá á melalar.
2a06270082	Y les penaba tambien yeque semejanza: ¿Acaso astisará yeque chindó guiar á aver chindó? ¿Na perarán os dui andré o butron?
2a06280075	No sinela o discipulo opré desquero Duquendio, tami sinará perfecto saro ocola sos sinare sasta desquero Duquendio.
2a0629006f	¿Y presas diquelas a chiriria andré a aqui de tun plal, y na diquelas a condari, sos terelas andré tun aqui?
2a062a011b	¿O sasta astisarelas penar á tun plal: Mequelamangue, plal, sicobar á tucue a chiriria, sos sinela andré tun aqui, no dicando tucue a condari, sos sinela andré tun aqui? Sungalo, sicobela brotoboro a condari de tun aqui, y despues dicarás, somia sicobar a chiriria de tun plal.
2a062b006b	Presas na sinela carschta lachi, sos parbarela mibaes chorés: ni carschta chori, sos terela mibaes laches.
2a062c0078	Pues sari carschta sinela pincherada por o mibao. Presas na ustilelan beous de espinos, ni ustilelan traquias de jarres.
2a062d009f	O manu lacho del manchin lacho de desquero carlo sicobela lacho: y o manu choro del manchin choro sicobela choro; presas dela baribustria e carlo penela a mui.
2a062e004d	¿Por qué pues araquerais mangue Erañó, Erañó, y na querelais ma penelo?
2a062f006c	O saro sos abillela á mangue, y junela minrias vardas, y as querela, diaré sangue a coin sinela semejante.
2a063000ef	Sinela semejante á yeque manu, sos querela quer, ma cavó y ahondó, y queró silno sat pardi opré yeque bar, y pur peró a pani bari, diñó sat sila o len contra ocola quer, y n’astisaró chalabearlo, presas sinaba chitado opré bar.
2a063100d5	Tami o sos junela, y na querela bajin, semejante sinela á yeque manu, sos chitela desquero quer opré chiquen bi pardi, y contra que diñó sat sila o len, y yescotria peró: y sinaba bari la ruina de ocola quer.
2a07010063	Y pur acabó de penar sarias oconas vardas á la sueti, sos junelaba, se chaló andré Capharnaúm.
2a07020075	Y sinaba oté baribu merdo y casi á la meripen yeque lacró de yeque Centurion; sos sinaba baribu pachibelado de ó.
2a07030083	Y pur juneló penar de Jesus, bichabó á ó yeques pures es Chuti, manguelandole, que abillase á chibar lacho á desquero lacró.
2a07040079	Y junos, yescotria que abilláron á Jesus, le querelaban barias instancias, penando: Merece que le otorguisareles ocono.
2a07050041	Presas camela á amari rati: y ó amangue ha querdi yeque cangri.
2a070600d7	Y Jesus chalaba sat junos. Y pur sinaba sunparal é quer, bichabó á ó el Centurion desqueres monres, penando: Erañó, na ustileles ocona trabajo, que menda na sinelo cabalico de que chales andré de minrio guer.
2a0707008c	Por ocono ni aun he penchabado mangue cabalico de nichobelar á orotarte: Tami penlo sat yeque varda, y sinará chibado lacho minrio lacró.
2a070800de	Presas menda tambien sinelo manu chitado ostely de las vardas de averes, y terelo jundunares ostely de mangue; y penelo á ocona: Cha, y chala; y al aver; Abillel, y abillela; y al lacro de mangue: Querel ocono, y querela.
2a0709009e	Pur Jesus junelo ocono, se zibó: y dicando palal á la sueti, que o plastañaba, penó: Aromali sangue penelo, que ni andré Israel he alachado fé tan bari.
2a070a0072	Y pur junos limbidiáron al quer sos habian sinado bichabados, alacháron sasto al lacró, sos habia sinado merdo.
2a070b0086	Y anacó despues, que chalaba á yeque foros araquerado Naim: y desqueres discipules chalaban sat ó, y yeque bari plastañi de sueti.
2a070c00b4	Y pur abilló sunparal de la bundal e foros, he acoi que sicobaban abrí á yeque mulo, chaboro colcoro de sun dai, sos sinaba piuli, y abillaba sat siró baribustri sueti e foros.
2a070d0056	Yescotria que la dicó o Erañó, perelalo de canrea por siró, le penó: Na orobeles.
2a070e0091	Y chaló sunparal, y pajabó á la jestarí e muló. Y junos sos lo lligueraban, se sustiláron. Y penó: Bédoro, á tucue penelo, costunatucue.
2a070f0059	Y se bejeló ó sos habia sinado muló, y se chibó á chamuliar, y le diñó á sun dai.
2a07100094	Y tereláron os sares dal baro, y majarificaban á Debél, penando; Propheta baro se ha ardiñado andré amangue; y Debél ha abillado á sun sueti.
2a0711004a	Y o chimusolano de ocona zibo voltisaró por sari Judéa, y por sari a pu.
2a0712003e	Y penáron á Juan desqueres discipules sarias oconas buchias.
2a07130085	Y Juan araqueró dui es discipules de ó, y os bichabó á Jesus, penando: ¿Sinelas tucue ó sos ha de abillar, ó ujaramos á aver?
2a071400a8	Y sasta abillasen á ó oconas manuces, le penáron; Juan o Bautista ha bichabado amangue á tucue, y penela; ¿Sinelas tucue ó sos ha de abillar, ó ujaramos á aver.
2a07150096	Y Jesus andré ocola matejo chiros chibó lacho á baribustrés de merdipénes, y de llagas, y de bengues chores, y diñó vista á butrés perpentas.
2a071600ff	Y despues os rudeló, penando: Chalad, y penad á Juan, ma habeis junelado y dicado: Que os perpentas diquelan, os langues pirelan, os zarapiosos sinelan chibados lacho, os cajuques junelan, os mules ardiñelan, á os chorores sinela pucanado o Evangelio.
2a0717003f	Y majaró sinela ó, sos na sinare escandalizado andré mangue.
2a071800a3	Y pur hubieron chalado os discipules de Juan, se chibó á penar á la sueti de Juan: ¿Qué chalasteis á dicar andré o desierto? ¿salchuyo chalabeado del bear?
2a071900ba	¿Tami qué chalasteis abrí á dicar? ¿Manu chito de coneles laches? Aromali junos sos chibelan coneles laches, y se parbarelan andré delicias, andré os querés es Crallises sinelan.
2a071a005c	Tami qué chalasteis abrí á dicar? Propheta? Aromali sangue penelo, y fetér que Propheta:
2a071b0086	Ocona sinela, del que sinela randado: He acoi bichabelo minrio Manfariel anglal de tun chiche, sos julabará tun drun anglal de tucue.
2a071c00b0	Presas menda penelo sangue, que andré os chindados de romias, na sinela fetér Propheta, que Juan o Bautista; tami o mendesquero andré o chim de Debél, sinela fetér que ó.
2a071d0091	Y sari a sueti, y os Publicanes, sos le juneláron, diñáron chimusolano á Debél, junos sos habian sinado muchobelados sal o bautismo de Juan.
2a071e0094	Tami os Phariseyes, y os Chandes de la Eschastra gireláron o consejo de Debél andré sí matejos, ocolas sos na habian sinado muchobelados por ó.
2a071f006a	Y penó o Erañó: Pues á coin penaré, que se semejan os manuces de ocona rati, y á coin se nichobelan?
2a072000d4	Semejantes sinelan á os chabores, sos sinelan bejelados andré ó masquero chamuliando andré sí, y penando: A sangue hemos giyabelado sat pajandias, y na quelasteis: á sangue hemos endechado, y na orobasteis.
2a0721005e	Presas abilló Juan o Bautista, sos na jamaba manro, ni piyaba mol, y penelais: Bengui terela.
2a0722007c	Abilló o Chaboro e manu, sos jamela, y piyela, y penelais: He acoi manu jamador, y matogaro, monro de Publicanes y chorés.
2a07230045	Tami a chaneleria ha sinado justificada por sares desqueres chabores.
2a07240083	Y le mangaba yeque Phariséo, que chalase á jamar sat ó: y habiendo chalado andré o quer e Phariséo, se bejeló á la mensalle.
2a072500b4	Y yeque cadchi chumasconá, sos sinaba andré o foros, chanelando que sinaba á la mensalle andré o quer e Phariséo, lligueró yeque pigote de alabastro, perelalo de ampio lacho:
2a072600d6	Y sinchitandose á desqueres pindrés palal de ó, se chibó á muchobelarle sat la pani de sus aquias os pindrés, y os enjugaba sat o bal de desquero jeró, y le chupendiaba os pindrés, y os ampiaba sat o ampio.
2a072700c5	Y pur ocono dicó o Phariséo, sos le terelaba convidado, penó andré sí matejo: Si ocona manu sinaba Propheta, chanelaria mistos ma, y coin sinela a cadchi, sos le pajabela; presas sinela chori.
2a07280065	Y Jesus le rudeló, penando: Simón, camelo penar á tucue yeque buchi. Y ó rudeló: Duquendio, pen.
2a07290066	Dui debisaráron jayere á yeque manu: o yeque le debisaró pansch cientos calés, y o aver cincuenta.
2a072a0070	Tami sasta na terelasen chichi de que plasararle, se los estomó á os dui. ¿Pues cual es dui le camela fetér?
2a072b0070	Rudeló Simón, y penó: Penchabelo, que ocola, á coin estomó butér. Y Jesus le penó: Mistos has penchabado.
2a072c0106	Y voltañandose acia a cadchi, penó á Simón: ¿Diquelas ocona cadchi? Menda me chalé andré tun quer, na diñaste mangue pani somia os pindrés: tami ocona sat a pani de desquerias aquias ha muchobelado minrés pindrés, y os ha enjugado sat desqueres bales.
2a072d006b	Na diñaste mangue chupendi: tami ocona, desde que abilló andré, na ha mucado de chupendarme os pindrés.
2a072e005a	Na ampiaste minrio jeró sat ampio; tami ocona sat ampio lacho ha ampiado minres pindrés.
2a072f009b	Pre o matejo penelo; que estomados le sinelan os baribustres grecos de siró, presas cameló baribu. Tami al que mendesquero se estoma, mendesquero camela.
2a07300037	Y penó á siró: Estomados á tucue sinelan os grecos.
2a0731006b	Y ocolas sos jamelaban oté, se chibáron á penar enré si: ¿Coin sinela ocona, sos aun os grecos estoma?
2a0732004a	Y penó á la cadchi: Tun fé ha chibado tucue sasti: Chatucue andré paz.
2a08010073	Y anacó despues, que Jesus chalaba por foros y gau, garlando y chamuliando o chim de Debél; y os duideque sat ó.
2a080200aa	Y tambien yeques cadchias, sos ó terelaba chibado lacho de bengues chorés, y de merdipénes: Maria sos se heta Magdalena, de coin terelaba bucharado abrí efta bengues,
2a08030072	Y Juana romi de Chûsa, Queresquero de Herodes, y Susanna, y averes butrés, sos le asistian de desqueres jayeres.
2a0804006d	Y sasta se hubiese catanado sueti baribustri, y abillasen solictos á ó de los fores, os penó por parabola:
2a08050098	Manu chaló abrí á chibar desqueri simiente: y al chibarle, yeque aricata peró sunparal al drun, y sinaba hollada, y la jamáron as patrias e Charos.
2a0806004f	Y aver peró opré bar: y pur se ardiñó, se secó presas na terelaba humedad.
2a08070052	Y aver peró andré jarres, y as jarres, sos ardiñáron sat siró, la mulabáron.
2a0808009e	Y aver peró andré pu lachi: y ardiñó, y diñó mibao á ciento por yeque. Penado ocono, se chibó á penar á goles: Coin terela canes de junelar, junele.
2a0809003d	Os discipules de ó le puchababan, que parabola sinaba ocona.
2a080a00a5	O les penó: A sangue sinela diñado chanelar o mysterio e chim de Debél, tami á os averes por parabolas: somia que dicando na diquelen, y junelando na jabillelen.
2a080b003d	A parabola sinela ocona: A simiente sinela a varda de Debél.
2a080c00b9	Y junos sunparal al drun, sinelan ocolas sos la junelan, unga; tami yescotria abillela o Bengui, y nicobela a varda del carlochin de junos, somia que na se chibelen sastos pachibelando.
2a080d00c4	Tami junos opré la bar; sinelan ocolas sos ustilelan sat pesquital a varda, pur la junelan; y oconas na terelan raices, presas á chiros pachibelan, y andré o chiros e tentacion limbidian palal.
2a080e00ad	Y ma peró andré jarres: oconas sinelan junos, sos la junelan, y se mequelan mulobar de las duas, y de la bestipen, as buchias lachias de ocona chipen, y na diñelan mibao.
2a080f0099	Tami ma peró andré pu lachi: oconas sinelan junos, sos junelando a varda sat carlochin lacho y sasto, a reterelan, y diñelan mibao andré orpachirima.
2a081000bb	Cayque urdiflela yeque antorcha, y a ucharela sat yeque melalo, ó a chitarela ostely de la cheripen: tami a chitarela opré o candelero, somia que diquelen a dut junos sos chalan andré.
2a08110089	Presas na sinela buchi pandada, sos na terele de sinar despandada: ni escondida, sos na terele de sinar pincherada, y andré dut abillar.
2a0812009c	Diquelad pues, sasta junelais, presas a ocola sos terela, le sinará diñado: y á ó sos na terela, aun ocolo, sos penchabela terelar, le sinará nicobado.
2a08130069	Y abilláron á ó sun dai, y desqueres plalores, y na astisaraban bigorear á ó por a baribustri sueti.
2a0814004d	Y le penáron: Tiri dai y tires plalores sinelan abrí, sos te camelan dicar.
2a08150075	Tami ó rudeló y les penó: Minri dai y minres plalores sinelan ocolas, sos junelan a varda de Debél, y a ujarelan.
2a0816009f	Y anacó, que yeque chibes chaló ó, y desqueres discipules andré yeque berdo; y les penó: Naquelemos á la aver cunara de la pani, y se chibáron á nacar.
2a08170090	Y o chiros que junos navegaban, ó quereló o sobindoi, y se costunó buros de bear andré a pani, y se perelaban de pani, y sinaban en paripen.
2a081800a3	Y bigoreandose á ó, le ostináron, penando: Duquendio, que meramos: Y ó costunandose chamulió al bear, y al buros de la pani, y cesó: y sinaba querdi bonanza.
2a081900cc	Y les penó: ¿Anduque sinela jiré fé? Y junos perelales de dal se zibáron, y penaban os yeques á os averes: ¿Coin penchabelais sinela ocona, sos andiar penela á os beares, y al moros, y o obedecen?
2a081a0046	Y chaláron á la pu es Gerasenos, sos sinela de mamui de la Galiléa.
2a081b00ad	Y yescotria que ardiñó andré chiquen, chaló á ó yeque manu, sos terelaba bengui, baribu chiros, y na chibaba conel, ni socababa andré quer, sino andré os sepulchres.
2a081c00cc	Ocona, yescotria que dicó á Jesus, se bucharó ostely anglal de ó, y diñando un gole, penó: ¿Quéterelas que dicar con-a-mangue, Jesus, Chaboro e Debél Udscho? Manguelote, que na atormentes mangue.
2a081d00e5	Presas penaba al bengui jindo, que chalase abrí del manu; presas sinaba baribu chiros que le ustilaba: y aunque le terelaban estardo, y pandado sat berigas y saces, asparaba as saces, y acosado del bengui najaba á os desiertos.
2a081e0082	Y Jesus le puchabó, y penó: ¿Qué nao terelas tucue? Y ó rudeló! Legion: presas habian chalado andré ó baribustres bengues.
2a081f0030	Y le manguelaban, que na os bichabase al butron.
2a0820008b	Piraba oté yeque bari plastañi de baliches jamando andré o bur: y le manguelaban, que os mequelase chibarse andré junos. Y se lo mecó.
2a082100a7	Chaláron pues os bengues abrí e manu, y chaláron andré os baliches: y yescotria os baliches se chibáron por yeque luchipen sat sila andré a pani, y se amuláron.
2a08220059	Pur ocono dicáron os durotunés, najáron, y lo penáron andré o foros, y por os gaues.
2a082300f1	Y chaláron abrí somia dicar que habia anacado, y abilláron á Jesus: y alacháron bestelado al manu, de coin habia chalado abrí os bengues, sos sinaba acana vestido, y andré desquero bardon, á ós pindrés de ó, y tereláron dal baro.
2a08240056	Y les penáron junos sos lo habian dicado, sasta habia sinado listrabado de la legion.
2a08250096	Y le mangueló sari a sueti del chim es Gerasenes, que se chalase de junos: presas terelaban dal baribu. Y ó costunó andré o berdo, y se limbidió.
2a08260075	Y o manu, de coin habian chalado abrí os bengues, le manguelaba somia sinar sat ó. Tami Jesus le bichabó, y penó:
2a08270098	Limbidiatucue á tun quer, y pen quan bari furune Debél ha querdi con-a-sangue. Y chaló penando por saro o foros, quanto mistos le habia querdi Jesus.
2a0828005f	Y anacó, que habiendo limbidiado Jesus, le ustiláron a sueti: pues sares le sinaban ujarando.
2a08290095	Y abilló manu araquerado Jayro, sos sinaba Mancloy e Synagoga: y chibandose a os pindrés de Jesus, le manguelaba, que chalase andré desquero quer.
2a082a0081	Presas terelaba chabori colcori sasta de dui deque berjis, y ocona sinaba merando. Y o chiros que ó chalaba, a sueti o apretaba.
2a082b00a2	Y yeque cadchi sos terelaba len de rati dui-deque berjis, y habia plasarado o saro que terelaba andré salamites, y de cayque n’astisaraba sinar chibada mistos:
2a082c0076	Abilló á ó por palal, y pajabó a orla de desqueri talorori: y andré o matejo chiros cesó o len de desqueri rati.
2a082d00b5	Y penó Jesus: ¿Coin ha pajabado mangue? Y negandolo sares, penó Pedro, y junos sos sat ó sinaban: Duquendio, a sueti aprieta tucue, y pandela, y penelas: ¿Coin mangue pajabela?
2a082e0063	Y penó Jesus: Yeque ha pajabado mangue: presas he pincherado, que ha chalado sila abrí de mangue.
2a082f00ca	Pur a cadchi se dicó andiar pincherada, abilló sat dal, y se chibó á desqueres pindrés: y penó anglal sari a sueti a causa, presas le habia pajabado; y sasta yescotria habia sinado chibada mistos.
2a0830004c	Y ó le penó: Dugida, tun fé ha chibado tucue mistos: Chatucue andré paz.
2a0831007f	Sinando ó aun chamuliando, abilló yeque al Mancloy e Synagoga, y le penó: Muli sinela tun chabori: na molestes al Duquendio.
2a08320071	Tami Jesus pur ocono juneló, penó al batu de la bedori: Na darañeles, pachibel colcoramente, y sinará mistos.
2a08330087	Y pur bigoreó al quer: na mecó chalar andré á cayque, sino á Pedro, y á Santiago, y á Juan, y al batu, y á la dai de la bedori.
2a08340066	Y os sares orobaban, y a plañian. Y ó penó: Na orobeleis, na sinela muli a bedori, sino que sobela.
2a0835002e	Y se le girelaban, chanelando que sinaba muli.
2a08360049	Tami ó la ustiló pre a bas, y penó á gole baro: Bedori, Costunatucue.
2a0837005b	Y limbidió a ochi á siró, y se costunó yescotria. Y ó penó, que le diñesen de jamar.
2a08380069	Y os batuces de siró sináron canguelados, y ó les penó, que á cayque penasen ma habia sinado querdi.
2a0901007e	Y araquerando a os duideque Apostoles, les diñó silo y potestad, opré sares os bengues, y que chibelasen lacho merdipénes.
2a09020046	Y os bichabó á garlar o chim de Debél, y á chibar lacho os merdes.
2a09030075	Y les penó: Na lliguereles chichi para o drun, ni cáste, ni manroña, ni manro, ni jayere, ni tereleis dui coneles.
2a0904004d	Y saro quer andré que chalareis oté permaneced, y na chaleis abrí de oté.
2a0905008a	Y sares junos sos na ustilasen sangue: al chalar abrí de ocola foros, bucharelad o pracos de jires pindrés andré machiria contra junos.
2a0906006b	Y chalando abrí, guillaban de gau andré gau, garlando ó Evangelio, y chibando lacho por sarias aricatas.
2a0907006e	Y bigoreó á as canes de Herodes o Tetrarcha o saro sos querelaba Jesus, y peró andré zibó, presas penaban
2a0908008b	Yeques: Que Juan ha ardiñado de enrun os mules: y averes: Que Elias habia abillado: y averes: Que yeque propheta es pures habia ardiñado.
2a09090072	Y penó Herodes: Menda amulé á Juan: ¿Coin pues sinela ocona, de coin junelo tales buchias? Y camelaba dicarlo.
2a090a00a5	Y limbiados os Apostoles, le penáron o saro sos terelaban querdi: y ustilandolos sat o aparte, se chaló á yeque stano desierto, sos sinela del chim de Bethsaidá.
2a090b00a0	Y pur os manuces lo chaneláron, lo plastañáron: Y Jesus os ustiló, y les chamuliaba del chim de Debél, y chibaba mistos á junos sos lo terelaban menester.
2a090c00fd	Y o chibes se habia chibado á bejelarse: pur bigoreandose á ó os duideque, le penáron: Bichaba á ocona sueti, somia que chalen á os gaues, y sosias sunparal, se chibelen á sobelar, y alachalen que jamar: presas acoi sinamos andré yeque desierto.
2a090d00b2	Y les penó: Diñadles sangue de jamar: y junos penáron: Na terelamos butér de pansch manres y dui maches: á no sinar que mu chalamos á quinar jachipen para sari ocona sueti.
2a090e0099	Presas sinaban sasta yeques pansch jazare manuces. Y ó penó á desqueres discipules: Quereladlos bestelar andré plastañias de cincuenta en cincuenta.
2a090f0033	Y andiar lo quereláron: y os sares se besteláron.
2a091000b6	Y ustilando os pansch manres, y os dui maches, ardiñó as aquias al Tarpé, os majarificó, y asparabó: y diñó á desqueres discipules, somia que os childasen anglal de la sueti.
2a09110060	Y jamáron os sares, y se pereláron. Y ustiláron ma les sobró, duideque cornichas de cotores.
2a09120093	Y anacó, que sinando ó colcoro bedando, se alachaban sat ó desqueres discipules: y os puchabó, y penó: ¿Coin penela a sueti que sinela menda?
2a09130074	Y junos rudeláron, y penáron: Juan o Bautista, y averes Elias, y averes que se ardiñó yeque es purés Prophetas.
2a0914006b	Y les penó: ¿Y sangue coin penelais, que sinelo menda? Rudelando Simon Pedro, penó: O Christo de Debél.
2a0915003e	O yescotria os amenazó, y penó, que na lo penasen á cayque,
2a091600e2	Penandoles: Jomte, que o Chaboro e Manu padezca baribustrias buchias, y que sinele desechado de los purés, y de los Manclayes es erajais, y de los libanés: y que sinele diñado á la meripen, y que ardiñele al trino chibes.
2a0917008a	Y penaba á sares: O sos palal de mangue camela abillar, nieguese á sí matejo, y ustile desquero trijul saro chibes, y plastañe mangue.
2a0918007b	Presas ó sos camelare salvar, desqueri ochi, a najará: y o manu sos najare desqueri ochi por camelar mangue la alachará.
2a09190083	¿Presas que aprovechasarela á yeque manu, si ustilare sari a chiquen, y si najela ó á sí matejo, y se caquerela á sí matejo?
2a091a00b5	Presas ó sos se afrentare de mangue, y de minrias vardas, se afrentará de ó o Chaboro e Manu, pur abillará sat desquero chimusolano, y sat o del Dada, y es majarés Manfarieles.
2a091b007b	Tami penelo sangue en chachipen: que yeques sinelan acoi, sos na penchararán meripen, disde que diquelen o chim de Debél.
2a091c00a0	Y anacó sasta otor chibases despues de oconas vardas, que ustiló sat ó á Pedro, y á Santiago, y á Juan, y costunó á yeque bur á manguelar á Un-debél.
2a091d0087	Y o chiros que manguelaba, a figura de desqueri chiché se quereló aver: y os talarores de ó se tornáron parnes, y resplandecientes.
2a091e004e	Y he acoi que chamuliaban sat ó dui gaches. Y oconas sinaban Moysés y Elias,
2a091f007a	Que se mequeláron dicar andré chimusolano: y chamuliaban de la meripen de ó, sos terelaba de cumplir andré Jerusalém.
2a0920009f	Tami Pedro, y junos sos sat ó sinaban, se alachaban cargados de sobindoi; y ostinando dicáron o chimusolano de Jesus, y á os dui gaches, sos sinaban sat ó.
