0100000008	Ebandeli
0709010082	Abimeleki, mwana mobali ya Yerubali, akendeki na Sishemi epai ya banoko na ye mpe na ndako mobimba ya tata ya mama na ye. Alobaki:
07090200f8	«Botuna nanu motuna oyo epai ya bakambi nyonso ya engumba Sishemi: ‹Eloko nini eleki malamu mpo na bino? Bakamba bino na bana mibali tuku sambo ya Yerubali to na mwana mobali moko?› Boyeba ete ngai mpe bino tozali makila moko mpe nzoto moko.»
07090300c2	Tango banoko na ye balobaki maloba nyonso ya Abimeleki epai ya bakambi nyonso ya Sishemi, mitema na bango nyonso ekendeki epai ya Abimeleki, pamba te balobaki ete azali ndeko na bango ya mobali.
070904009f	Bapesaki ye mbongo ya bibende ya palata, tuku sambo oyo bazwaki na tempelo ya Bala-Beriti. Na mbongo yango, Abimeleki afutaki bato ya mobulu mpo na kolanda ye.
07090500db	Akendeki na Ofira, na ndako ya tata na ye, mpe abomaki bandeko na ye ya mibali tuku sambo, bana ya Yerubali na likolo ya libanga moko ya monene. Kasi Yotami, mwana mobali ya suka ya Yerubali, abikaki mpo ete amibombaki.
07090600a6	Bakambi nyonso ya Sishemi mpe ndako nyonso ya Milo basanganaki mpo na kokende kokomisa Abimeleki mokonzi, pembeni ya terebente, na likonzi ya mabanga kati na Sishemi.
07090700a8	Tango bayebisaki makambo yango epai ya Yotami, amataki likolo ya ngomba Garizimi mpe agangaki makasi: «Bino bakambi ya Sishemi, boyoka ngai, mpo ete Nzambe ayoka bino.
070908007f	Mokolo moko, banzete ebimaki mpo na kokomisa moko kati na yango mokonzi. Elobaki na nzete ya Olive: ‹Zala mokonzi na biso.›
07090900b2	Nzete ya Olive ezongiselaki yango: ‹Natika penza mafuta na ngai, oyo bapesaka na yango Nzambe mpe bato lokumu, mpo ete nakende koningana-ningana na likolo ya banzete mosusu?›
07090a0046	Banzete elobaki na nzete ya figi: ‹Yaka mpe zala mokonzi na biso.›
07090b009e	Nzete ya figi ezongiselaki yango: ‹Natika penza elengi na ngai mpe mbuma na ngai ya kitoko mpo ete nakende koningana-ningana na likolo ya banzete mosusu?›
07090c0046	Banzete elobaki na nzete ya vino: ‹Yaka mpe zala mokonzi na biso.›
07090d00a8	Kasi nzete ya vino ezongiselaki yango: ‹Natika penza vino na ngai, oyo esepelisaka banzambe mpe bato mpo ete nakende koningana-ningana na likolo ya banzete mosusu?›
07090e0054	Sima, banzete nyonso elobaki na nzete ya nzube: ‹Yaka mpe zala mokonzi na biso.›
07090f00f3	Nzete ya nzube ezongiselaki yango: ‹Soki bolingi penza kopakola ngai mafuta mpo ete nazala mokonzi na bino, boya kobombama na se ya pio na ngai. Soki bongo te, tika ete moto ebima na nzete ya nzube mpe ezikisa banzete ya sedele ya Libani!›
07091000d2	Soki penza bosaleli na bosembo mpe na bosolo, wana bokomisi Abimeleki mokonzi; soki bozalaki na motema malamu liboso ya Yerubali mpe libota na ye, soki bosalelaki ye kolanda misala malamu oyo ye asalelaki bino,
0709110072	bobosana te ete tata na ngai abundelaki bino, andimaki ata kokufa mpo na kokangola bino wuta na loboko ya Madiani.
07091200f2	Kasi na mokolo ya lelo, botombokeli libota ya tata na ngai, bobomi bana na ye ya mibali tuku sambo, na libanga moko, mpe botie Abimeleki, mwana mobali ya mwasi mowumbu na ye, mokonzi ya bato ya Sishemi, pamba te azali ndeko na bino ya mobali.
0709130098	Soki bosaleli na bosembo mpe bosolo liboso ya Yerubali mpe libota na ye, na mokolo ya lelo, tika ete Abimeleki asepela na bino, mpe bino bosepela na ye!
07091400d6	Kasi soki ezali bongo te, tika ete moto ebima wuta na Abimeleki mpe etumba bino bavandi ya Sishemi mpe ya Beti-Milo; mpe tika ete moto ebima wuta na bino bavandi ya Sishemi mpe ya Beti-Milo, mpe etumba Abimeleki!»
070915006e	Yotami abimaki, akendeki na Beri mpe avandaki kuna, pamba te azalaki kobanga Abimeleki, ndeko na ye ya mobali.
070916002e	Sima, Abimeleki akambaki Isalaele mibu misato.
0709170079	Nzambe atindaki molimo mabe kati na Abimeleki mpe bavandi ya Sishemi, mpe bavandi ya Sishemi basalelaki Abimeleki likita.
070918011d	Nzambe asalaki bongo mpo na kozongisa mabe na mabe na oyo basalaki tango babomaki bana mibali tuku sambo ya Yerubali, mpo ete makila na bango etangama na moto ya ndeko na bango ya mobali, Abimeleki, mpe na mito ya bato ya Sishemi oyo basungaki ye mpo na koboma bandeko na ye ya mibali.
07091900e4	Bavandi ya Sishemi batielaki Abimeleki motambo na likolo ya bangomba: batiaki bato na esika ya kobombama mpo na kobotola biloko epai ya baleki nzela nyonso oyo bazalaki koleka pene na bango. Mpe bamemelaki Abimeleki sango yango.
07091a0086	Nzokande Gali, mwana mobali ya Ebedi, akendeki na Sishemi, elongo na bandeko na ye ya mibali; mpe bato ya Sishemi batielaki ye motema.
07091b00d1	Na tango ya kobuka bambuma ya vino, bato ya Sishemi bakendeki na bilanga, bakamolaki vino mpe basalaki feti monene kati na tempelo ya nzambe na bango. Wana bazalaki kolia mpe komela, balakelaki Abimeleki mabe.
07091c0113	Bongo Gali, mwana mobali ya Ebedi, alobaki: «Abimeleki nde nani liboso ya Sishemi mpo ete biso bato ya Sishemi tosalela ye? Boni, azali mwana mobali ya Yerubali te? Zebuli azali molobeli na ye te? Bosalela bato ya Amori, tata ya Sishemi! Kasi mpo na nini tosalela Abimeleki?
07091d00aa	Oh soki kaka nazalaki kokamba bato oyo, mbele nalingaki kobengana Abimeleki, mpe nalingaki koloba na ye: ‹Bakisa lisusu makasi ya mampinga na yo, mpe yaka tobunda.›»
07091e006f	Tango Zebuli, moyangeli ya engumba, ayokaki makambo oyo Gali, mwana mobali ya Ebedi, alobaki, asilikaki makasi.
07091f00cb	Atindaki bantoma na nkuku epai ya Abimeleki mpo na koloba na ye: «Gali, mwana mobali ya Ebedi, mpe bandeko na ye ya mibali bayaki na Sishemi, mpe bazali kotindika bato ya engumba mpo ete batombokela yo.
070920006a	Sik’oyo telema, na butu, yo elongo na bato na yo; bokende kovanda kati na elanga, na esika ya kobombama.
07092100c3	Bongo, na tongo-tongo, wana moyi ezali kobima, okokende mpe okobundisa engumba. Tango Gali elongo na bato na ye nyonso bakobima mpo na kokutana na yo, sala nyonso oyo loboko na yo ekoki kosala.»
070922009d	Na butu, Abimeleki elongo na mampinga na ye nyonso batelemaki, bakabwanaki na biteni minei mpe bakendeki kovanda kati na esika ya kobombama, pene ya Sishemi.
0709230091	Tango Gali, mwana mobali ya Ebedi, abimaki mpe atelemaki na ekuke ya engumba, Abimeleki elongo na basoda na ye babimaki na esika oyo babombamaki.
07092400c2	Tango Gali amonaki bato, alobaki na Zebuli: — Tala, bato bazali kokita wuta na likolo na bangomba. Kasi Zebuli alobaki na ye: — Oyo ozali komona lokola bato, ezali nde bililingi ya bangomba.
07092500bb	Kasi Gali alobaki lisusu: — Tala, bato bazali kokita elongo na basoda wuta na likolo ya ngomba ya kati-kati ya engumba, mpe bamosusu bazali koya na nzela ya terebente ya bamoni makambo.
07092600ae	Zebuli alobaki na Gali: — Sik’oyo, tia lisusu monoko! Mpe loba lisusu: «Abimeleki nde nani mpo ete tosalela ye?» Ezali te bato oyo yo otiolaki? Kende sik’oyo kobunda!
070927003f	Boye, Gali amemaki bavandi ya Sishemi mpe abundisaki Abimeleki.
0709280076	Abimeleki alandaki Gali, mpe Gali akimaki liboso ya Abimeleki, mpe bato ebele penza bakufaki kino na ekotelo ya ekuke.
070929007f	Abimeleki avandaki na Aruma, mpe Zebuli abenganaki Gali elongo na bandeko na ye ya mibali mpo ete bavanda lisusu te na Sishemi.
07092a006e	Mokolo oyo elandaki, bato ya Sishemi babimaki mpe bakendeki na bilanga. Bato bamemaki sango epai ya Abimeleki.
07092b00d3	Abimeleki azwaki bato na ye mpe akabolaki bango na biteni misato ya basoda, mpe atiaki bango kati na bilanga, na esika ya kobombama. Tango amonaki bato kobima longwa na engumba, atelemaki mpo na kobundisa bango.
07092c00e1	Nzokande, tango Abimeleki mpe masanga ya mampinga oyo bazalaki elongo na ye bakendeki na lombangu mpe batelemaki na ekuke ya engumba, masanga mibale mosusu ya mampinga balandaki bato kino na bilanga mpe babomaki bango nyonso.
07092d009c	Abimeleki abundisaki engumba mokolo mobimba, abotolaki engumba yango mpe abomaki bato oyo bazalaki kuna. Bongo abebisaki engumba mpe asopelaki yango mungwa.
07092e009c	Tango bavandi nyonso ya ndako molayi ya Sishemi bayokaki makambo yango, bakendeki kobombama kati na libulu ya mabanga ya tempelo ya Beriti, nzambe na bango.
07092f0051	Bamemelaki Abimeleki sango ete bavandi ya ndako molayi ya Sishemi basangani wana.
0709300110	Abimeleki elongo na bato na ye nyonso bamataki na ngomba Tsalimoni. Abimeleki azwaki epasola mpe akataki mwa bitape ya nzete, amemaki yango na mapeka na ye mpe alobaki na bato nyonso oyo bazalaki elongo na ye: «Oyo bomoni ngai kosala, bino mpe bosala bongo na lombangu.»
0709310134	Boye bato nyonso bakataki, moto na moto etape na ye ya nzete. Balandaki Abimeleki, batiaki bitape ya nzete na libulu ya mabanga mpe batumbaki libulu yango ya mabanga elongo na bato nyonso oyo bazalaki kati na yango. Boye bato nyonso ya ndako molayi ya Sishemi bakufaki: bato pene nkoto moko, mibali mpe basi.
070932004c	Sima na yango, Abimeleki akendeki na Tebesi, azingelaki mpe abotolaki yango.
07093300bf	Nzokande, ezalaki na ndako moko ya molayi mpe ya makasi kati na engumba. Bavandi nyonso, mibali mpe basi, bakimelaki kuna; bakangaki ekuke sima na bango mpe bamataki na likolo ya ndako yango.
070934007d	Abimeleki ayaki kino na ndako molayi mpo na kobundisa yango, mpe apusanaki kino na ekuke ya ndako yango mpo na kotumba yango.
0709350069	Na tango yango, mwasi moko abwakaki libanga oyo banikelaka ble na moto ya Abimeleki mpe epanzaki ye moto.
07093600fb	Abimeleki abengaki na lombangu elenge mobali oyo azalaki komema bibundeli na ye mpe alobaki na ye: «Bimisa mopanga na yo mpe boma ngai mpo baloba te na tina na ngai: ‹Mwasi moko abomaki ye.›» Boye, elenge mobali atobolaki ye mopanga mpe akufaki.
0709370057	Tango bana ya Isalaele bamonaki ete Abimeleki akufi, bazongaki moto na moto epai na ye.
0709380071	Boye, Nzambe azongiselaki Abimeleki mabe oyo asalaki tata na ye tango abomaki bandeko na ye ya mibali tuku sambo.
070939009d	Nzambe azongiselaki bato ya Sishemi mabe nyonso oyo basalaki. Ezali ndenge wana nde elakeli mabe oyo Yotami, mwana mobali ya Yerubali, asakolaki ekokisamaki.
070a0100d0	Sima na kufa ya Abimeleki, ezalaki Tola, mwana mobali ya Puwa, mwana mobali ya Dodo, moto ya Isakari, nde atelemaki mpo na kobikisa Isalaele. Azalaki kovanda na Shamiri, kati na etuka ya bangomba ya Efrayimi.
070a020062	Akambaki Isalaele mibu tuku mibale na misato; sima na yango, akufaki, mpe bakundaki ye na Shamiri.
070a03005a	Yairi, moto ya Galadi, akitanaki na Tola mpe akambaki Isalaele mibu tuku mibale na mibale.
070a0400bd	Azalaki na bana mibali tuku misato oyo bazalaki kotambola likolo ya ba-ane, mpe bazalaki na bamboka tuku misato kati na Galadi. Kino na mokolo ya lelo, babengaka yango «Bamboka ya Yairi.»
070a05002a	Yairi akufaki, mpe bakundaki ye na Kamone.
070a0600d7	Bana ya Isalaele basalaki lisusu makambo mabe na miso ya Yawe; basalelaki banzambe Bala, Asitarite, mpe banzambe ya Siri, ya Sidoni, ya Moabi, ya Amoni mpe ya Filisitia. Basundolaki Yawe mpe basalelaki Ye lisusu te.
070a07007b	Boye, kanda ya Yawe epelaki likolo ya Isalaele, mpe Yawe akabaki bango na maboko ya bato ya Filisitia mpe ya bato ya Amoni.
070a080093	Mibu zomi na mwambe, banyokolaki bana nyonso ya Isalaele oyo bazalaki kovanda na ngambo mosusu ya Yordani, mokili ya bato ya Amori, kati na Galadi.
070a090094	Bato ya Amoni mpe bakatisaki na ngambo ya Yordani mpo na kobundisa libota ya Yuda, ya Benjame mpe ya Efrayimi. Boye, Isalaele akomaki na pasi mingi.
070a0a0092	Bana ya Isalaele bagangaki epai ya Yawe: — Tosalaki masumu na miso na Yo, pamba te tosundolaki Yo, Nzambe na biso, mpe tosalelaki banzambe Bala.
070a0b0083	Yawe azongiselaki bana ya Isalaele: — Boni, nabikisaki bino te na maboko ya bato ya Ejipito, ya Amori, ya Amoni mpe ya Filisitia?
070a0c00aa	Tango bato ya Sidoni, ya Amaleki mpe ya Maoni banyokolaki bino, boni, bogangaki epai na Ngai te mpo na kosenga lisungi? Boni, nakangolaki bino te wuta na maboko na bango?
070a0d0063	Kasi bino, bosundolaki Ngai mpe bosalelaki banzambe mosusu. Yango wana, nakokangola bino lisusu te.
070a0e005b	Bokende koganga epai ya banzambe oyo boponaki mpo ete ebikisa bino awa bozali kati na pasi.
070a0f00c2	Kasi bana ya Isalaele balobaki na Yawe: — Ya solo, tosalaki lisumu na miso na Yo. Oyo omoni ete ezali malamu na miso na Yo, sala yango na biso; kasi tobondeli Yo: bikisa biso lisusu sik’oyo!
070a100089	Bongo bana ya Isalaele balongolaki banzambe ya bapaya kati na bango mpe basalelaki Yawe. Mpe Yawe akokaki lisusu te kotala pasi na bango.
070a110095	Tango bato ya Amoni basanganaki mpe batiaki molako na bango kati na Galadi, bana ya Isalaele basanganaki mpe batiaki molako na bango kati na Mitsipa.
070a12007d	Bato mpe bakonzi ya Galadi balobanaki: «Moto oyo akobundisa liboso bana ya Amoni akozala mokonzi ya bato nyonso ya Galadi.»
070b01006f	Jefite, moto ya Galadi, azalaki elombe ya bitumba. Azalaki mwana mobali oyo Galadi abotaki na mwasi ya makangu.
070b0200c5	Nzokande mwasi ya Galadi abotelaki ye mpe bana mibali. Mpe tango bakolaki, babenganaki Jefite; balobaki na ye: «Ozali na libula te kati na ndako ya tata na biso, pamba te ozali mwana ya makangu.»
070b0300a7	Boye, Jefite akimaki mosika ya bandeko na ye ya mibali mpe akomaki kovanda kati na etuka ya Tobi. Bato ya mobulu basanganaki na ye mpe bazalaki kotambola elongo na ye.
070b040036	Sima na mwa tango, bato ya Amoni babundisaki Isalaele.
070b050070	Wana bato ya Amoni bazalaki kobundisa bana ya Isalaele, bampaka ya Galadi bakendeki koluka Jefite, kati na Tobi.
070b060057	Balobaki na Jefite: — Yaka, mpe zala mokambi na biso mpo ete tobundisa bato ya Amoni.
070b0700cd	Jefite azongiselaki bampaka ya Galadi: — Boni, ezali bino te bato oyo boyinaki ngai mpe bobenganaki ngai wuta na ndako ya tata na ngai? Mpo na nini bozali koya sik’oyo epai na ngai, awa bokomi na pasi?
070b0800cc	Bampaka ya Galadi balobaki lisusu na Jefite: — Soki tozongi sik’oyo epai na yo, ezali mpo ete oya elongo na biso, obundisa bato ya Amoni mpe okoma mokonzi na biso, mokonzi ya bavandi nyonso ya Galadi.
070b0900ad	Jefite azongiselaki bampaka ya Galadi: — Soki bozongisi ngai mpo na kobundisa bato ya Amoni, bongo Yawe akabi bango na maboko na ngai, boni, nakozala solo mokonzi na bino?
070b0a008e	Bampaka ya Galadi bazongiselaki Jefite: — Tika ete Yawe azala Motatoli kati na biso! Tika ete apesa biso etumbu soki tosali te ndenge olobi.
070b0b00c9	Boye Jefite akendeki nzela moko na bampaka ya Galadi, mpe bato ya Galadi bakomisaki ye mokambi mpe mokonzi ya mampinga. Mpe Jefite azongelaki koloba maloba na ye nyonso liboso ya Yawe, kati na Mitsipa.
070b0c0096	Bongo Jefite atindaki bantoma epai ya mokonzi ya bato ya Amoni mpo na koloba na ye: — Ozwi biso na likambo nini mpo ete oya kobundisa mboka na biso?
070b0d0116	Mokonzi ya bato ya Amoni azongiselaki bantoma ya Jefite: — Ezali mpo ete Isalaele abotolaki mokili na ngai tango abimaki na Ejipito; babotolaki mokili yango longwa na lubwaku ya Arinoni, mayi moke ya Yaboki kino na lubwaku ya Yordani. Sik’oyo, zongisela ngai yango na kimia.
070b0e0054	Jefite atindaki lisusu bantoma epai ya mokonzi ya bato ya Amoni mpo na koloba na ye:
070b0f006e	— Tala maloba oyo Jefite alobi: «Bana ya Isalaele bazwaki mokili ya Moabi te to mokili ya bato ya Amoni te.
070b10007e	Kasi tango bana ya Isalaele babimaki na Ejipito, batambolaki na esobe kino na ebale monene ya Barozo, mpe bakomaki na Kadeshi.
070b11011e	Batindaki bantoma epai ya mokonzi ya Edomi, mpo na koloba na ye: ‹Pesa biso nzela ya koleka na mokili na yo.› Kasi mokonzi ya Edomi aboyaki koyoka. Bana ya Isalaele batindaki lisusu bantoma epai ya mokonzi ya Moabi, kasi ye mpe aboyaki. Boye, bana ya Isalaele bawumelaki na Kadeshi.
070b1200f4	Na sima, batambolaki na esobe mpe babalukaki na sima ya mokili ya Edomi mpe ya Moabi, balekaki na ngambo ya este ya mokili ya Moabi mpe batongaki milako na bango kuna, na ngambo mosusu ya lubwaku ya Arinoni. Kasi bakotaki te na mokili ya Moabi.
070b1300d0	Bongo bana ya Isalaele batindaki bantoma epai ya Sikoni, mokonzi ya bato ya Amori, oyo azalaki kovanda na Eshiboni mpo na koloba na ye: ‹Tika biso toleka na mokili na yo mpo ete tokende na esika na biso.›
070b1400a3	Kasi Sikoni andimaki te bana ya Isalaele mpo ete baleka na mokili na ye. Boye asangisaki bato na ye nyonso; batongaki milako, na Yakatsi, mpe babundisaki Isalaele.
070b1500dc	Kasi Yawe, Nzambe ya Isalaele, akabaki Sikoni mpe bato na ye nyonso na maboko ya bana ya Isalaele, mpe balongaki bango. Boye bana ya Isalaele babotolaki mokili nyonso ya bato ya Amori oyo bazalaki kovanda na etando wana.
070b160084	Babotolaki etuka nyonso ya bato ya Amori, longwa na lubwaku ya Arinoni kino na mayi moke ya Yaboki, longwa na esobe kino na Yordani.
070b170098	Awa Yawe, Nzambe ya Isalaele, asili kobotola mokili ya bato ya Amori mpe apesi yango epai ya bana ya Isalaele, yo olingi sik’oyo kobotola bango yango?
070b180067	Boni, okozwa te oyo Kemoshi, nzambe na yo, apesi yo? Biso tokozwa oyo Yawe, Nzambe na biso, apesi biso.
070b190081	Boni, ozali malamu koleka Balaki, mwana mobali ya Tsipori, mokonzi ya Moabi? Boni, asila koswanisa to kobundisa bana ya Isalaele?
070b1a00c5	Mibu nkama misato, bana ya Isalaele bavandaki na Eshiboni, na Aroeri, na bamboka na yango ya mike mpe na bingumba nyonso oyo ezali pembeni ya Arinoni. Mpo na nini bobotolaki yango te na tango wana?
070b1b00a8	Ngai nasali yo mabe te, kasi yo nde ozali kosala ngai mabe na kobundisa ngai. Tika ete Yawe, Mosambisi, akata lelo likambo kati na bana ya Isalaele mpe bato ya Amoni.»
070b1c0045	Kasi mokonzi ya Amoni aboyaki koyoka maloba oyo Jefite atindelaki ye.
070b1d00a3	Molimo na Yawe akitelaki Jefite. Jefite akatisaki Galadi mpe Manase, mpe alekaki na Mitsipe ya Galadi. Wuta na Mitsipe ya Galadi, akendeki kobundisa bato ya Amoni.
070b1e0059	Jefite alapaki ndayi epai na Yawe, alobaki: «Soki okabi bato ya Amoni na maboko na ngai,
070b1f00a3	nakobonzela Yo, Yawe, lokola mbeka ya kotumba, nyonso oyo ekobima na ekuke ya ndako na ngai mpo na koyamba ngai, tango nakozonga na elonga wuta na bato ya Amoni.»
070b200058	Bongo Jefite akatisaki bandelo ya bato ya Amoni, mpe Yawe akabaki bango na maboko na ye.
070b2100be	Abebisaki bingumba tuku mibale oyo ezali na kati-kati ya Aroeri mpe Miniti kino na Abele-Keramimi. Ezalaki kobebisama ya makasi mpo na bato ya Amoni oyo bakweyaki liboso ya bana ya Isalaele.
070b2200e3	Tango Jefite azongaki na ndako na ye, na Mitsipa, mwana na ye ya mwasi abimaki mpo na koyamba ye; azalaki kobina mpe kobeta mbonda ya moke. Azalaki mwana na ye kaka moko: azalaki na mwana mosusu te, ezala ya mwasi to ya mobali.
070b2300da	Tango kaka Jefite amonaki ye, apasolaki bilamba na ye mpe agangaki: — Ah, mwana na ngai ya mwasi! Opesi ngai mawa mingi mpe otie ngai na mobulu, pamba te nalapaki ndayi epai na Yawe mpe nakoki lisusu kozonga sima te.
070b2400bf	Mwana na ye ya mwasi alobaki: — Tata na ngai, opesaki elaka epai na Yawe. Sala na ngai ndenge olakaki epai na Yawe, pamba te Yawe azongisi mabe na mabe epai ya banguna na yo, bato ya Amoni.
070b2500cf	Abakisaki: — Pesa ngai nzela ete likambo oyo moko esalema mpo na ngai: Tikela ngai basanza mibale mpo ete nakende koyengayenga mpe kolela, elongo na baninga na ngai, bozangi na ngai koyeba nzoto ya mobali.
070b2600d6	Jefite alobaki na ye: — Okoki na yo kokende. Mpe atikaki ye kokende mpo na basanza mibale. Boye mwana mwasi akendeki na ngomba elongo na baninga na ye ya basi, mpe alelaki mpo ete ayebaki nanu nzoto ya mibali te.
070b2700dd	Sima na basanza mibale, azongaki epai ya tata na ye, Jefite; mpe Jefite akokisaki epai ya mwana na ye ya mwasi, ndayi oyo alapaki. Nzokande, atikalaki kaka koyeba nzoto ya mobali te. Boye, ekoma momesano kati na Isalaele:
070b280081	mibu nyonso, bilenge basi ya Isalaele babimaka mikolo minei, mpo na kosala feti na tina na mwana mwasi ya Jefite, moto ya Galadi.
070c0100f9	Bato ya Efrayimi basanganaki, bakatisaki na ngambo ya Tsafoni mpe balobaki na Jefite: — Mpo na nini okatisaki mondelo ya bato ya Amoni mpo na kobundisa bango, bongo obengaki biso te mpo ete tokende na yo elongo? Tokotumba yo elongo na ndako na yo!
070c0200ab	Jefite azongiselaki bango: — Ngai mpe bato na ngai, tozalaki na kobendana makasi na bato ya Amoni; mpe tango nabengaki bino, bokangolaki ngai te wuta na maboko na bango.
070c0300ed	Tango namonaki ete bokangoli na bino ngai te, nakabaki bomoi na ngai, mpe nakatisaki ngai moko nzela ya bato ya Amoni mpo na kobundisa bango; mpe Yawe apesaki ngai elonga likolo na bango. Sik’oyo, mpo na nini boyei lelo kobundisa ngai?
070c0400f5	Jefite asangisaki mibali nyonso ya Galadi, mpe babundisaki bato ya Efrayimi. Bato ya Galadi balongaki bato ya Efrayimi; mpe bato ya Efrayimi balobaki: «Bino bato ya Galadi, bozali na bino kaka bato oyo bokimaki wuta na Efrayimi mpe na Manase.»
070c050102	Bato ya Galadi bakangaki esika oyo bakatisaka Yordani na makolo, pene ya etuka ya Efrayimi. Mpe tango nyonso mokimi moko ya Efrayimi azalaki koloba: «Tika ngai nakatisa,» bato ya Galadi bazalaki kotuna ye: «Ozali moto ya Efrayimi?» Soki azongisi: «Te,»
070c0600fc	bazalaki kosenga ete aloba: «Shiboleti;» soki alobi: «Siboleti,» mpo ete akoki te koloba yango malamu, bazalaki kokanga ye mpe koboma ye na esika oyo bakatisaka Yordani na makolo. Na tango wana, babomaki bato ya Efrayimi nkoto tuku minei na mibale.
070c07007f	Jefite, moto ya Galadi, akambaki Isalaele mibu motoba. Sima na yango, akufaki, mpe bakundaki ye kati na engumba moko ya Galadi.
070c08003f	Sima na Jefite, Ibitsani, moto ya Beteleemi, akambaki Isalaele.
070c0900fb	Azalaki na bana mibali tuku misato mpe bana basi tuku misato. Abalisaki bana na ye ya basi na libanda ya libota ya botata na ye, mpe ayeisaki bilenge basi tuku misato ya bikolo mosusu mpo na bana na ye ya mibali. Ibitsani akambaki Isalaele mibu sambo.
070c0a0035	Ibitsani akufaki, mpe bakundaki ye kati na Beteleemi.
070c0b0051	Sima na Ibitsani, Eloni, moto ya libota ya Zabuloni, akambaki Isalaele mibu zomi.
070c0c0051	Eloni akufaki, mpe bakundaki ye kati na mboka Ayaloni, kati na etuka ya Zabuloni.
070c0d005d	Sima na Eloni, Abidoni, mwana mobali ya Ileli, moto ya mokili ya Piratoni, akambaki Isalaele.
070c0e0096	Azalaki na bana mibali tuku minei mpe bakoko ya mibali tuku misato oyo babandaki kotambola likolo ya ba-ane tuku sambo. Akambaki Isalaele mibu mwambe.
070c0f008b	Abidoni, mwana mobali ya Ileli, akufaki, mpe bakundaki ye na Piratoni, kati na etuka ya Efrayimi, na mokili ya bangomba ya bato ya Amaleki.
070d01007d	Bana ya Isalaele basalaki lisusu mabe na miso ya Yawe, mpe Yawe akabaki bango mibu tuku minei na maboko ya bato ya Filisitia.
070d02008b	Ezalaki na mobali moko, moto ya Tsorea, ya libota ya Dani, kombo na ye ezalaki Manoa; mwasi na ye azalaki ekomba, mpe abotelaki ye bana te.
070d03008e	Anjelu na Yawe abimelaki mwasi ya Manoa mpe alobaki: «Tala, ozali ekomba mpe ozali na bana te, kasi okokoma na zemi mpe okobota mwana mobali.
070d040066	Sik’oyo, sala keba! Komela vino te to masanga mosusu ya makasi, mpe kolia te eloko nyonso ya mbindo;
070d0500eb	pamba te okozwa zemi mpe okobota mwana mobali. Bakoki te kokata suki ya moto na ye, pamba te mwana mobali yango akozala bule mpo na Nzambe wuta na libumu ya mama na ye. Akobanda kokangola Isalaele wuta na maboko ya bato ya Filisitia.»
070d0600da	Tango mwasi azongaki epai ya mobali na ye, ayebisaki ye: «Moto moko ya Nzambe ayaki epai na ngai, azalaki lokola Anjelu na Nzambe: azalaki somo mingi. Natunaki ye te soki awuti wapi, mpe ayebisaki ngai te kombo na ye.
070d07010f	Kasi alobaki na ngai: ‹Okozwa zemi mpe okobota mwana mobali. Bongo komela vino to masanga mosusu ya makasi te mpe kolia eloko moko te ya mbindo, pamba te mwana mobali oyo okobota akozala bule mpo na Nzambe wuta na libumu ya mama na ye kino na mokolo na ye ya kufa.›»
070d0800ce	Bongo Manoa asambelaki Yawe: «Oh Nkolo, nabondeli Yo: tika ete ozongisa lisusu moto na Nzambe, oyo otindelaki biso, mpo ete aya lisusu koteya biso nini tosengeli kosala mpo na mwana mobali oyo akobotama!»
070d090093	Nzambe ayokaki Manoa, mpe Anjelu na Nzambe ayaki lisusu epai ya mwasi, wana avandaki na bilanga. Kasi mobali na ye, Manoa, azalaki elongo na ye te.
070d0a0073	Mwasi ya Manoa akendeki mbangu koyebisa mobali na ye: «Tala, namoni moto oyo abimelaki ngai na mikolo oyo eleki!»
070d0b00a8	Manoa atelemaki mpe alandaki mwasi na ye. Tango akomaki epai ya moto yango, alobaki: — Boni, ezali yo nde osololaki na mwasi na ngai? Azongisaki: — Iyo, ezali ngai.
070d0c008c	Manoa atunaki ye: — Tango maloba na yo ekokokisama, mibeko nini tosengeli kotosa mpo na bomoi ya mwana? Mpe ye mwana asengeli kosala nini?
070d0d0064	Anjelu na Yawe azongiselaki Manoa: — Mwasi na yo asengeli kosala makambo nyonso oyo nayebisaki ye.
070d0e00ac	Akolia eloko moko te oyo ewuti na nzete ya vino, akomela vino te to masanga mosusu ya makasi, akolia eloko moko te ya mbindo; asengeli kosala makambo nyonso oyo natindi ye.
070d0f0068	Manoa alobaki na Anjelu na Yawe: — Soki okoki kozela mwa moke, wana tozali kobongisela yo mwana ntaba.
070d1000dc	Anjelu na Nzambe azongiselaki Manoa: — Ata ozelisi ngai, nakolia ata eloko na yo moko te; kasi soki obongisi mbeka ya kotumba, bonzela yango nde Yawe. Manoa asosolaki te ete oyo azali liboso na ye azali Anjelu na Yawe.
070d11006a	Manoa atunaki Anjelu na Yawe: — Kombo na yo nani mpo ete topesa yo lokumu tango elaka na yo ekokokisama?
070d120076	Anjelu na Yawe azongiselaki ye: — Mpo na nini ozali kotuna ngai kombo na ngai? Kombo na ngai ezali kombo ya kokamwa.
070d1300bd	Boye Manoa azwaki mwana ntaba elongo na mbeka ya gato, abonzaki yango na likolo ya libanga, liboso ya Yawe. Wana Manoa mpe mwasi na ye bazalaki kotala, Yawe asalaki likambo moko ya kokamwa.
070d1400af	Ndenge moto ezalaki komata na likolo longwa na etumbelo, Anjelu na Yawe mpe amataki kati na moto. Tango bamonaki bongo, Manoa mpe mwasi na ye bakweyaki bilongi kino na mabele.
