0100000006	1 Mose
011f3200aa	wo du meine Töchter beleidigest oder andere Weiber dazu nimmst über meine Töchter. Es ist hie kein Mensch mit uns; siehe aber, Gott ist der Zeuge zwischen mir und dir.
011f33007f	Und Laban sprach weiter zu Jakob: Siehe, das ist der Haufe und das ist das Mal, das ich aufgerichtet habe zwischen mir und dir.
011f3400a0	Derselbe Haufe sei Zeuge, und das Mal sei auch Zeuge, wo ich herüberfahre zu dir, oder du herüberfährest zu mir über diesen Haufen und Mal, zu beschädigen.
011f350059	Der Gott Abrahams und der Gott Nahors und der Gott ihrer Väter sei Richter zwischen uns.
011f3600bc	Und Jakob schwur ihm bei der Furcht seines Vaters Isaak. Und Jakob opferte auf dem Berge und lud seine Brüder zum Essen. Und da sie gegessen hatten, blieben sie auf dem Berge über Nacht.
011f370086	Des Morgens aber stund Laban frühe auf, küssete seine Kinder und Töchter und segnete sie; und zog hin und kam wieder an seinen Ort.
0120010042	Jakob aber zog seinen Weg; und es begegneten ihm die Engel Gottes.
012002005a	Und da er sie sah, sprach er: Es sind Gottes Heere; und hieß dieselbige Stätte Mahanaim.
012003005e	Jakob aber schickte Boten vor ihm her zu seinem Bruder Esau ins Land Seir, in der Gegend Edom.
012004008f	Und befahl ihnen und sprach: Also saget meinem HERRN Esau: Dein Knecht Jakob läßt dir sagen: Ich bin bis daher bei Laban lange außen gewesen
012005008f	und habe Rinder und Esel, Schafe, Knechte und Mägde; und habe ausgesandt dir, meinem HERRN, anzusagen, daß ich Gnade vor deinen Augen fände.
0120060084	Die Boten kamen wieder zu Jakob und sprachen: Wir kamen zu deinem Bruder Esau; und er zeucht dir auch entgegen mit vierhundert Mann.
0120070095	Da fürchtete sich Jakob sehr, und ihm ward bange; und teilete das Volk, das bei ihm war, und die Schafe und die Rinder und die Kamele in zwei Heere.
012008005b	Und sprach: So Esau kommt auf das eine Heer und schlägt es, so wird das übrige entrinnen.
01200900ba	Weiter sprach Jakob: Gott meines Vaters Abraham und Gott meines Vaters Isaak, HERR, der du zu mir gesagt hast: Zeuch wieder in dein Land und zu deiner Freundschaft, ich will dir wohltun:
01200a00cb	ich bin geringe aller Barmherzigkeit und aller Treue, die du an deinem Knechte getan hast; denn ich hatte nicht mehr weder diesen Stab, da ich über diesen Jordan ging, und nun bin ich zwei Heere worden.
01200b00a1	Errette mich von der Hand meines Bruders, von der Hand Esaus; denn ich fürchte mich vor ihm, daß er nicht komme und schlage mich, die Mütter samt den Kindern.
01200c007c	Du hast gesagt: Ich will dir wohltun und deinen Samen machen wie den Sand am Meer, den man nicht zählen kann vor der Menge.
01200d0060	Und er blieb die Nacht da und nahm von dem, das er vorhanden hatte, Geschenk seinem Bruder Esau:
01200e0046	zweihundert Ziegen, zwanzig Böcke, zweihundert Schafe, zwanzig Widder
01200f0073	und dreißig säugende Kamele mit ihren Füllen, vierzig Kühe und zehn Farren, zwanzig Eselinnen mit zehn Füllen;
01201000a0	und tat sie unter die Hand seiner Knechte, je eine Herde besonders, und sprach zu ihnen: Gehet vor mir hin und lasset Raum zwischen einer Herde nach der andern.
01201100a7	Und gebot dem ersten und sprach: Wenn dir mein Bruder Esau begegnet und dich fraget: Wem gehörest du an? und wo willst du hin? und wes ist's, das du vor dir treibest?
012012007a	sollst du sagen: Es gehöret deinem Knechte Jakob zu, der sendet Geschenk seinem HERRN Esau und zeucht hinter uns hernach.
01201300a2	Also gebot er auch dem andern und dem dritten und allen, die den Herden nachgingen, und sprach: Wie ich euch gesagt habe, so saget zu Esau, wenn ihr ihm begegnet,
01201400ca	und saget ja auch: Siehe, dein Knecht Jakob ist hinter uns. Denn er gedachte, ich will ihn versöhnen mit dem Geschenk, das vor mir hergehet; danach will ich ihn sehen, vielleicht wird er mich annehmen.
012015004b	Also ging das Geschenk vor ihm her, aber er blieb dieselbe Nacht beim Heer.
0120160079	Und stund auf in der Nacht und nahm seine zwei Weiber und die zwo Mägde und seine elf Kinder und zog an die Furt Jabbok,
012017004b	nahm sie und führete sie über das Wasser, daß hinüberkam, was er hatte;
0120180048	und blieb allein. Da rang ein Mann mit ihm, bis die Morgenröte anbrach.
012019009b	Und da er sah, daß er ihn nicht übermochte, rührete er das Gelenk seiner Hüfte an; und das Gelenk seiner Hüfte ward über dem Ringen mit ihm verrenkt.
01201a007f	Und er sprach: Laß mich gehen, denn die Morgenröte bricht an. Aber er antwortete: Ich lasse dich nicht, du segnest mich denn.
01201b0031	Er sprach: Wie heißest du? Er antwortete: Jakob.
01201c0083	Er sprach: Du sollst nicht mehr Jakob heißen, sondern Israel. Denn du hast mit Gott und mit Menschen gekämpft und bist obgelegen.
01201d008b	Und Jakob fragte ihn und sprach: Sage doch, wie heißest du? Er aber sprach: Warum fragest du, wie ich heiße? Und er segnete ihn daselbst.
01201e0069	Und Jakob hieß die Stätte Pniel; denn ich habe Gott von Angesicht gesehen, und meine Seele ist genesen.
01201f0056	Und als er vor Pniel überkam, ging ihm die Sonne auf; und er hinkte an seiner Hüfte.
01202000aa	Daher essen die Kinder Israel keine Spannader auf dem Gelenk der Hüfte bis auf den heutigen Tag, darum daß die Spannader an dem Gelenk der Hüfte Jakobs gerühret ward.
0121010095	Jakob hub seine Augen auf und sah seinen Bruder Esau kommen mit vierhundert Mann. Und teilete seine Kinder zu Lea und zu Rahel und zu beiden Mägden.
0121020072	Und stellete die Mägde mit ihren Kindern vorne an und Lea mit ihren Kindern hernach und Rahel mit Joseph zuletzt.
012103005f	Und er ging vor ihnen her und neigete sich siebenmal auf die Erde, bis er zu seinem Bruder kam.
0121040068	Esau aber lief ihm entgegen und herzete ihn und fiel ihm um den Hals und küssete ihn; und sie weineten.
01210500a4	Und hub seine Augen auf und sah die Weiber mit den Kindern und sprach: Wer sind diese bei dir? Er antwortete: Es sind Kinder, die Gott deinem Knechte bescheret hat.
0121060048	Und die Mägde traten herzu mit ihren Kindern und neigeten sich vor ihm.
0121070083	Lea trat auch herzu mit ihren Kindern und neigeten sich vor ihm. Danach trat Joseph und Rahel herzu und neigeten sich auch vor ihm.
012108007b	Und er sprach: Was willst du mit all dem Heer, dem ich begegnet bin? Er antwortete: Daß ich Gnade fände vor meinem HERRN.
012109003e	Esau sprach: Ich habe genug, mein Bruder; behalt, was du hast.
01210a00c4	Jakob antwortete: Ach nicht! Habe ich Gnade funden vor dir, so nimm mein Geschenk von meiner Hand; denn ich sah dein Angesicht, als sähe ich Gottes Angesicht; und laß dir's wohlgefallen von mir.
01210b009b	Nimm doch den Segen von mir an, den ich dir zugebracht habe; denn Gott hat mir's bescheret, und ich habe alles genug. Also nötigte er ihn, daß er's nahm.
01210c0047	Und er sprach: Laß uns fortziehen und reisen; ich will mit dir ziehen.
01210d00bf	Er aber sprach zu ihm: Mein HERR, du erkennest, daß ich zarte Kinder bei mir habe, dazu Vieh und säugende Kühe; wenn sie einen Tag übertrieben würden, würde mir die ganze Herde sterben.
01210e00a4	Mein HERR ziehe vor seinem Knechte hin. Ich will mählich hinnach treiben, danach das Vieh und die Kinder gehen können, bis daß ich komme zu meinem HERRN in Seir.
01210f00a0	Esau sprach: So will ich doch bei dir lassen etliche vom Volk, das mit mir ist. Er antwortete: Was ist's vonnöten? Laß mich nur Gnade vor meinem HERRN finden.
0121100037	Also zog des Tages Esau wiederum seines Weges gen Seir.
0121110073	Und Jakob zog gen Suchoth und bauete ihm ein Haus und machte seinem Vieh Hütten; daher heißt die Stätte Suchoth.
012112009f	Danach zog Jakob gegen Salem, zu der Stadt des Sichem, die im Lande Kanaan liegt (nachdem er aus Mesopotamien kommen war), und machte sein Lager vor der Stadt.
0121130084	Und kaufte ein Stück Ackers von den Kindern Hemors, des Vaters Sichems, um hundert Groschen; daselbst richtete er seine Hütte auf.
0121140055	Und richtete daselbst einen Altar zu und rief an den Namen des starken Gottes Israel.
0122010064	Dina aber, Leas Tochter, die sie Jakob geboren hatte, ging heraus, die Töchter des Landes zu sehen.
0122020078	Da die sah Sichem, Hemors Sohn, des Heviters, der des Landes HERR war, nahm er sie und beschlief sie und schwächte sie.
0122030051	Und sein Herz hing an ihr und hatte die Dirne lieb und redete freundlich mit ihr.
012204004a	Und Sichem sprach zu seinem Vater Hemor: Nimm mir das Mägdlein zum Weibe.
0122050094	Und Jakob erfuhr, daß seine Tochter Dina geschändet war; und seine Söhne waren mit dem Vieh auf dem Felde, und Jakob schwieg, bis daß sie kamen.
0122060040	Da ging Hemor, Sichems Vater, heraus zu Jakob, mit ihm zu reden.
01220700dc	Indes kamen die Söhne Jakobs vom Felde. Und da sie es höreten, verdroß es die Männer und wurden sehr zornig, daß er eine Narrheit an Israel begangen und Jakobs Tochter beschlafen hatte; denn so sollte es nicht sein.
0122080080	Da redete Hemor mit ihnen und sprach: Meines Sohns Sichems Herz sehnet sich nach eurer Tochter; lieber, gebet sie ihm zum Weibe!
012209004f	Befreundet euch mit uns; gebet uns eure Töchter und nehmet ihr unsere Töchter
01220a005a	und wohnet bei uns. Das Land soll euch offen sein; wohnet und werbet und gewinnet drinnen.
01220b0078	Und Sichem sprach zu ihrem Vater und Brüdern: Lasset mich Gnade bei euch finden; was ihr mir saget, das will ich geben.
01220c007a	Fordert nur getrost von mir Morgengabe und Geschenk, ich will's geben, wie ihr heischet; gebt mir nur die Dirne zum Weibe.
01220d007b	Da antworteten Jakobs Söhne dem Sichem und seinem Vater Hemor betrüglich, darum daß ihre Schwester Dina geschändet war,
01220e008e	und sprachen zu ihnen: Wir können das nicht tun, daß wir unsere Schwester einem unbeschnittenen Mann geben; denn das wäre uns eine Schande.
01220f007e	Doch dann wollen wir euch zu Willen sein, so ihr uns gleich werdet und alles, was männlich unter euch ist, beschnitten werde.
012210006e	Dann wollen wir unsere Töchter euch geben und eure Töchter uns nehmen und bei euch wohnen und ein Volk sein.
012211006c	Wo ihr aber nicht willigen wollet, euch zu beschneiden, so wollen wir unsere Tochter nehmen und davonziehen.
012212002b	Die Rede gefiel Hemor und seinem Sohn wohl.
0122130099	Und der Jüngling verzog nicht, solches zu tun; denn er hatte Lust zu der Tochter Jakobs. Und er war herrlich gehalten über alle in seines Vaters Hause.
0122140076	Da kamen sie nun, Hemor und sein Sohn Sichem, unter der Stadt Tor und redeten mit den Bürgern der Stadt und sprachen:
01221500c1	Diese Leute sind friedsam bei uns und wollen im Lande wohnen und werben, so ist nun das Land weit genug für sie; wir wollen uns ihre Töchter zu Weibern nehmen und ihnen unsere Töchter geben.
01221600b5	Aber dann wollen sie uns zu Willen sein, daß sie bei uns wohnen und ein Volk mit uns werden, wo wir alles, was männlich unter uns ist, beschneiden, gleichwie sie beschnitten sind.
0122170079	Ihr Vieh und Güter und alles, was sie haben wird unser sein, so wir nur ihnen zu Willen werden, daß sie bei uns wohnen.
01221800b7	Und sie gehorchten dem Hemor und Sichem, seinem Sohn, alle, die zu seiner Stadt Tor aus und ein gingen, und beschnitten alles, was männlich war, das zu seiner Stadt aus und ein ging.
01221900d7	Und am dritten Tage, da sie es schmerzete, nahmen die zween Söhne Jakobs, Simeon und Levi, der Dina Brüder, ein jeglicher sein Schwert und gingen in die Stadt türstiglich und erwürgeten alles, was männlich war.
01221a0097	Und erwürgeten auch Hemor und seinen Sohn Sichem mit der Schärfe des Schwerts; und nahmen ihre Schwester Dina aus dem Hause Sichems und gingen davon.
01221b007e	Da kamen die Söhne Jakobs über die Erschlagenen und plünderten die Stadt, darum daß sie hatten ihre Schwester geschändet,
01221c0050	und nahmen ihre Schafe, Rinder, Esel und was in der Stadt und auf dem Felde war,
01221d006e	und alle ihre Habe, alle Kinder und Weiber nahmen sie gefangen und plünderten alles, was in den Häusern war.
01221e012c	Und Jakob sprach zu Simeon und Levi: Ihr habt mir Unglück zugerichtet, daß ich stinke vor den Einwohnern dieses Landes, den Kanaanitern und Pheresitern; und ich bin ein geringer Haufe. Wenn sie sich nun versammeln über mich, so werden sie mich schlagen. Also werde ich vertilget samt meinem Hause.
01221f0058	Sie antworteten aber: Sollten sie denn mit unserer Schwester als mit einer Hure handeln?
01230100b2	Und Gott sprach zu Jakob: Mache dich auf und zeuch gen Bethel und wohne daselbst; und mache daselbst einen Altar dem Gott, der dir erschien, da du flohest vor deinem Bruder Esau.
01230200a2	Da sprach Jakob zu seinem Hause und zu allen, die mit ihm waren: Tut von euch die fremden Götter, so unter euch sind, und reiniget euch und ändert eure Kleider.
01230300c6	Und lasset uns auf sein und gen Bethel ziehen, daß ich daselbst einen Altar mache dem Gott, der mich erhöret hat zur Zeit meiner Trübsal und ist mit mir gewesen auf dem Wege, den ich gezogen bin.
0123040099	Da gaben sie ihm alle fremden Götter, die unter ihren Händen waren, und ihre Ohrenspangen; und er vergrub sie unter eine Eiche, die neben Sichem stund.
0123050086	Und sie zogen aus. Und es kam die Furcht Gottes über die Städte, die um sie her lagen, daß sie den Söhnen Jakobs nicht nachjagten.
0123060062	Also kam Jakob gen Lus im Lande Kanaan, die da Bethel, heißt, samt all dem Volk, das mit ihm war,
012307008b	und bauete daselbst einen Altar und hieß die Stätte El-Bethel, darum daß ihm daselbst Gott offenbaret war, da er floh vor seinem Bruder.
0123080074	Da starb Debora, der Rebekka Amme, und ward begraben unter Bethel, unter der Eiche; und ward, genannt die Klageiche.
0123090058	Und Gott erschien Jakob abermal, nachdem er aus Mesopotamien kommen war, und segnete ihn
01230a0089	und sprach zu ihm: Du heißest Jakob; aber du sollst nicht mehr Jakob heißen, sondern Israel sollst du heißen. Und also man ihn Israel.
01230b00b2	Und Gott sprach zu ihm: Ich bin der allmächtige Gott; sei fruchtbar und mehre dich; Völker und Völkerhaufen sollen von dir kommen, und Könige sollen aus deinen Lenden kommen.
01230c0070	Und das Land, das ich Abraham und Isaak gegeben habe, will ich dir geben und will's deinem Samen nach dir geben.
01230d0045	Also fuhr Gott auf von ihm; von dem Ort, da er mit ihm geredet hatte.
01230e0083	Jakob aber richtete ein steinern Mal auf an dem Ort, da er mit ihm geredet hatte, und goß Trankopfer drauf und begoß ihn mit Öl.
01230f003f	Und Jakob hieß den Ort, da Gott mit ihm geredet hatte, Bethel.
0123100053	Und sie zogen von Bethel. Und da noch ein Feldwegs war von Ephrath, da gebar Rahel.
01231100ac	Und es kam sie hart an über der Geburt. Da es ihr aber so sauer ward in der Geburt, sprach die Wehmutter zu ihr: Fürchte dich nicht, denn diesen Sohn wirst du auch haben.
0123120071	Da ihr aber die Seele ausging, daß sie sterben mußte, hieß sie ihn Benoni; aber sein Vater hieß ihn Benjamin.
0123130055	Also starb Rahel und ward begraben an dem Wege gen Ephrath, die nun heißt Bethlehem.
0123140065	Und Jakob richtete ein Mal auf über ihrem Grabe; dasselbe ist das Grabmal Rahels bis auf diesen Tag.
0123150048	Und Israel zog aus und richtete eine Hütte auf jenseits des Turms Eder.
01231600a8	Und es begab sich, da Israel im Lande wohnete, ging Ruben hin und schlief bei Bilha, seines Vaters Kebsweibe; und das kam vor Israel. Es hatte aber Jakob zwölf Söhne.
012317006a	Die Söhne Leas waren diese: Ruben, der erstgeborne Sohn Jakobs, Simeon, Levi, Juda, Isaschar und Sebulon.
012318002d	Die Söhne Rahels waren: Joseph und Benjamin.
0123190032	Die Söhne Bilhas, Rahels Magd: Dan und Naphthali.
01231a006e	Die Söhne Silpas, Leas Magd: Gad und Asser. Das sind die Söhne Jakobs, die ihm geboren sind in Mesopotamien.
01231b008a	Und Jakob kam zu seinem Vater Isaak gen Mamre in die Hauptstadt, die da heißt Hebron, da Abraham und Isaak Fremdlinge innen gewesen sind.
01231c002b	Und Isaak ward hundertundachtzig Jahre alt.
01231d0080	Und nahm ab und starb und ward versammelt zu seinem Volk, alt und des Lebens satt. Und seine Söhne Esau und Jakob begruben ihn.
0124010032	Dies ist das Geschlecht Esaus, der da heißt Edom.
0124020097	Esau nahm Weiber von den Töchtern Kanaans: Ada, die Tochter Elons, des Hethiters; und Ahalibama, die Tochter des Ana, die Neffe Zibeons, des Heviters;
0124030032	und Basmath, Ismaels Tochter, Nebajoths Schwester.
012404003a	Und Ada gebar dem Esau Eliphas, aber Basmath gebar Reguel.
0124050065	Ahalibama gebar Jehus, Jaelam und Korah. Das sind Esaus Kinder, die ihm geboren sind im Lande Kanaan.
01240600ce	Und Esau nahm seine Weiber, Söhne und Töchter und alle Seelen seines Hauses, seine Habe und alles Vieh mit allen Gütern, so er im Lande Kanaan erworben hatte, und zog in ein Land von seinem Bruder Jakob.
01240700a7	Denn ihre Habe war zu groß, daß sie nicht konnten beieinander wohnen; und das Land, darin sie Fremdlinge waren, mochte sie nicht ertragen vor der Menge ihres Viehes.
012408003e	Also wohnete Esau auf dem Gebirge Seir. Und Esau ist der Edom.
0124090054	Dies ist das Geschlecht Esaus, von dem die Edomiter herkommen, auf dem Gebirge Seir.
01240a006f	Und so heißen die Kinder Esaus: Eliphas, der Sohn Adas, Esaus Weibes; Reguel, der Sohn Basmaths, Esaus Weibes.
01240b0048	Eliphas Söhne aber waren diese: Theman, Omar, Zepho, Gaetham und Kenas.
01240c0070	Und Thimma war ein Kebsweib Eliphas, Esaus Sohns, die gebar ihm Amalek. Das sind die Kinder von Ada, Esaus Weib.
01240d006d	Die Kinder aber Reguels sind diese: Nahath, Serah, Samma, Missa. Das sind die Kinder von Basmath, Esaus Weib.
01240e008f	Die Kinder aber von Ahalibama, Esaus Weib, der Tochter des Ana, der Neffe Zibeons, sind diese, die sie dem Esau gebar: Jehus, Jaelam und Korah.
01240f00af	Das sind die Fürsten unter den Kindern Esaus: Die Kinder Eliphas, des ersten Sohns Esaus, waren diese: der Fürst Theman, der Fürst Omar, der Fürst Zepho, der Fürst Kenas,
0124100087	der Fürst Korah, der Fürst Gaetham, der Fürst Amalek. Das sind die Fürsten von Eliphas, im Lande Edom, und sind Kinder von der Ada.
01241100da	Und das sind die Kinder Reguels, Esaus Sohns: der Fürst Nahath, der Fürst Serah, der Fürst Samma, der Fürst Missa. Das sind die Fürsten von Reguel im Lande der Edomiter und sind Kinder von der Basmath, Esaus Weib.
01241200aa	Das sind die Kinder Ahalibamas, Esaus Weibes: der Fürst Jehus, der Fürst Jaelam, der Fürst Korah. Das sind die Fürsten von Ahalibama, der Tochter des Ana, Esaus Weib.
0124130039	Das sind Esaus Kinder und ihre Fürsten. Er ist der Edom.
012414007b	Die Kinder aber von Seir, dem Horiten, der im Lande wohnete, sind diese: Lothan, Sobal, Zibeon, Ana, Dison, Ezer und Disan.
0124150042	Das sind die Fürsten der Horiten, Kinder des Seir, im Lande Edom.
0124160057	Aber des Lothan Kinder waren diese: Hori und Heman; und Lothans Schwester hieß Thimna.
0124170048	Die Kinder von Sobal waren diese: Alwan, Manahath, Ebal, Sepho und Onam.
0124180089	Die Kinder von Zibeon waren: Aja und Ana. Das ist der Ana, der in der Wüste Maulpferde erfand, da er seines Vaters Zibeons Esel hütete.
012419004a	Die Kinder aber Anas waren: Dison und Ahalibama, das ist die Tochter Anas.
01241a003b	Die Kinder Disons waren: Hemdan, Esban, Jethran und Charan.
01241b002e	Die Kinder Ezers waren: Bilhan, Sawan und Akan
01241c0024	Die Kinder Disans waren: Uz und Man.
01241d006b	Dies sind die Fürsten der Horiten: der Fürst Lothan, der Fürst Sobal, der Fürst Zibeon, der Fürst Ana,
01241e0079	der Fürst Dison, der Fürst Ezer, der Fürst Disan. Das sind die Fürsten der Horiten, die regieret haben im Lande Seir.
01241f006a	Die Könige aber, die im Lande Edom regieret haben, ehe denn die Kinder Israel Könige hatten, sind diese:
0124200047	Bela war König in Edom, ein Sohn Beors; und seine Stadt hieß Dinhaba.
0124210050	Und da Bela starb, ward König an seiner Statt Jobab, ein Sohn Serahs von Bazra.
012422004b	Da Jobab starb, ward an seiner Statt König Husam aus der Themaniter Lande.
0124230092	Da Husam starb, ward König an seiner Statt Hadad, ein Sohn Bedads, der die Midianiter schlug auf der Moabiter Felde; und seine Stadt hieß Awith.
012424002b	Da Hadad starb, regierete Samla von Masrek.
0124250039	Da Samla starb, ward Saul König, von Rehoboth am Wasser.
0124260048	Da Saul starb, ward an seiner Statt König Baal Hanan, der Sohn Achbors.
01242700b2	Da Baal Hanan, Achbors Sohn, starb, ward an seiner Statt König Hadar, und seine Stadt hieß Pagu; und sein Weib hieß Mehetabeel, eine Tochter Matreds, die Mesahabs Tochter war.
0124280085	Also heißen die Fürsten von Esau in ihren Geschlechtern, Örtern und Namen: der Fürst Thimna, der Fürst Alwa, der Fürst Jetheth,
0124290037	der Fürst Ahalibama, der Fürst Ela, der Fürst Pinon,
01242a0037	der Fürst Kenas, der Fürst Theman, der Fürst Mibzar,
01242b0092	der Fürst Magdiel, der Fürst Jram. Das sind die Fürsten in Edom, wie sie gewohnet haben in ihrem Erblande. Und Esau ist der Vater der Edomiter.
0125010065	Jakob aber wohnete im Lande, da sein Vater ein Fremdling innen gewesen war, nämlich im Lande Kanaan.
0125020107	Und das sind die Geschlechter Jakobs: Joseph war siebenzehn Jahre alt, da er ein Hirte des Viehes ward mit seinen Brüdern; und der Knabe war bei den Kindern Bilhas und Silpas, seines Vaters Weiber, und brachte vor ihren Vater, wo ein bös Geschrei wider sie war.
0125030084	Israel aber hatte Joseph lieber denn alle seine Kinder, darum daß er ihn im Alter gezeuget hatte; und machte ihm einen bunten Rock.
0125040099	Da nun seine Brüder sahen, daß ihn ihr Vater lieber hatte denn alle seine Brüder, waren sie ihm feind und konnten ihm kein freundlich Wort zusprechen.
0125050065	Dazu hatte Joseph einmal einen Traum und sagte seinen Brüdern davon; da wurden sie ihm noch feinder.
0125060045	Denn er sprach zu ihnen: Höret, lieber, was mir doch geträumet hat!
0125070092	Mich deuchte, wir banden Garben auf dem Felde, und meine Garbe richtete sich auf und stund, und eure Garben umher neigeten sich gegen meine Garbe.
012508009f	Da sprachen seine Brüder zu ihm: Solltest du unser König werden und über uns herrschen? Und wurden ihm noch feinder um seines Traums und seiner Rede willen.
01250900c6	Und er hatte noch einen andern Traum, den erzählte er seinen Brüdern und sprach: Siehe, ich habe noch einen Traum gehabt. Mich deuchte, die Sonne und der Mond und elf Sterne neigeten sich vor mir.
01250a00db	Und da das seinem Vater und seinen Brüdern gesagt ward, strafte ihn sein Vater und sprach zu ihm: Was ist das für ein Traum, der dir geträumet hat? Soll ich und deine Mutter und deine Brüder kommen und dich anbeten?
01250b0044	Und seine Brüder neideten ihn. Aber sein Vater behielt diese Worte.
01250c004a	Da nun seine Brüder hingingen, zu weiden das Vieh ihres Vaters in Sichem,
01250d008b	sprach Israel zu Joseph: Hüten nicht deine Brüder des Viehes in Sichem? Komm, ich will dich zu ihnen senden. Er aber sprach: Hie bin ich!
01250e00bb	Und er sprach: Gehe hin und sieh, ob es wohl stehe um deine Brüder und um das Vieh; und sage mir wieder, wie sich's hält. Und er sandte ihn aus dem Tal Hebron, daß er gen Sichem ginge.
01250f0061	Da fand ihn ein Mann, daß er irre ging auf dem Felde; der fragte ihn und sprach: Wen suchest du?
012510004b	Er antwortete: Ich suche meine Brüder; lieber, sage mir an, wo sie hüten.
01251100aa	Der Mann sprach: Sie sind von dannen gezogen; denn ich hörte, daß sie sagten: Lasset uns gen Dothan gehen. Da folgte Joseph seinen Brüdern nach und fand sie zu Dothan.
0125120066	Als sie ihn nun sahen von ferne, ehe denn er nahe bei sie kam, schlugen sie an, daß sie ihn töteten,
012513003c	und sprachen untereinander: Sehet, der Träumer kommt daher!
012514009c	So kommt nun und lasset uns ihn erwürgen und in eine Grube werfen und sagen, ein böses Tier habe ihn gefressen, so wird man sehen, was seine Träume sind.
0125150067	Da das Ruben hörete, wollte er ihn aus ihren Händen erretten und sprach: Lasset uns ihn nicht töten!
01251600e6	Und weiter sprach Ruben zu ihnen: Vergießet nicht Blut, sondern werfet ihn in die Grube, die in der Wüste ist, und leget die Hand nicht an ihn. Er wollte ihn aber aus ihrer Hand erretten, daß er ihn seinem Vater wiederbrächte.
0125170069	Als nun Joseph zu seinen Brüdern kam, zogen sie ihm seinen Rock mit dem bunten Rock aus, den er anhatte;
0125180064	und nahmen ihn und warfen ihn in eine Grube; aber dieselbige Grube war leer und kein Wasser drinnen.
01251900cd	Und setzten sich nieder zu essen. Indes huben sie ihre Augen auf und sahen einen Haufen Ismaeliter kommen von Gilead mit ihren Kamelen; die trugen Würze, Balsam und Myrrhen, und zogen hinab nach Ägypten.
01251a006d	Da sprach Juda zu seinen Brüdern: Was hilft's uns, daß wir unsern Bruder erwürgen und sein Blut verbergen?
01251b00aa	Kommt, lasset uns ihn den Ismaeliten verkaufen, daß sich unsere Hände nicht an ihm vergreifen; denn er ist unser Bruder, unser Fleisch und Blut. Und sie gehorchten ihm.
01251c00b4	Und da die Midianiter, die Kaufleute, vorüberreiseten, zogen sie ihn heraus aus der Grube und verkauften ihn den Ismaeliten um zwanzig Silberlinge; die brachten ihn nach Ägypten.
01251d0058	Als nun Ruben wieder zur Grube kam und fand Joseph nicht darinnen, zerriß er sein Kleid
01251e0056	und kam wieder zu seinen Brüdern und sprach: Der Knabe ist nicht da, wo soll ich hin?
01251f005b	Da nahmen sie Josephs Rock und schlachteten einen Ziegenbock und tunkten den Rock ins Blut.
012520009a	Und schickten den bunten Rock hin und ließen ihn ihrem Vater bringen und sagen: Diesen haben wir funden; siehe, ob es deines Sohnes Rock sei, oder nicht.
0125210084	Er kannte ihn aber und sprach: Es ist meines Sohnes Rock; ein böses Tier hat ihn gefressen, ein reißend Tier hat Joseph zerrissen.
012522006d	Und Jakob zerriß seine Kleider und legte einen Sack um seine Lenden und trug Leid um seinen Sohn lange Zeit.
01252300dc	Und alle seine Söhne und Töchter traten auf, daß sie ihn trösteten; aber er wollte sich nicht trösten lassen und sprach: Ich werde mit Leide hinunterfahren in die Grube zu meinem Sohne. Und sein Vater beweinete ihn.
0125240061	Aber die Midianiter verkauften ihn in Ägypten dem Potiphar, des Pharao Kämmerer und Hofmeister.
0126010080	Es begab sich um dieselbige Zeit, daß Juda hinabzog von seinen Brüdern und tat sich zu einem Mann von Odollam, der hieß Hira.
012602006d	Und Juda sah daselbst eines Kanaaniter-Mannes Tochter, der hieß Suah; und nahm sie. Und da er sie beschlief,
012603003a	ward sie schwanger und gebar einen Sohn, den hieß er Ger.
0126040045	Und sie ward aber schwanger und gebar einen Sohn, den hieß sie Onan.
0126050059	Sie gebar abermal einen Sohn, den hieß sie Sela; und er war zu Chesib, da sie ihn gebar.
012606003f	Und Juda gab seinem ersten Sohn Ger ein Weib, die hieß Thamar.
012607003c	Aber er war böse vor dem HERRN; darum tötete ihn der HERR.
0126080075	Da sprach Juda zu Onan: Lege dich zu deines Bruders Weib und nimm sie zur Ehe, daß du deinem Bruder Samen erweckest.
01260900ca	Aber da Onan wußte, daß der Same nicht sein eigen sein sollte, wenn er sich zu seines Bruders Weib legte, ließ er's auf die Erde fallen und verderbete es, auf daß er seinem Bruder nicht Samen gäbe.
01260a003d	Das gefiel dem HERRN übel, das er tat, und tötete ihn auch.
01260b00ee	Da sprach Juda zu seiner Schnur Thamar: Bleibe eine Witwe in deines Vaters Hause, bis mein Sohn Sela groß wird. Denn er gedachte: Vielleicht möchte er auch sterben wie seine Brüder. Also ging Thamar hin und blieb in ihres Vaters Hause.
01260c00c5	Da nun viele Tage verlaufen waren, starb des Suah Tochter, Judas Weib. Und nachdem Juda ausgetrauert hatte, ging er hinauf, seine Schafe zu scheren, gen Thimnath mit seinem Hirten Hira von Odollam.
01260d0066	Da ward der Thamar angesagt: Siehe, dein Schwäher gehet hinauf gen Thimnath, seine Schafe zu scheren.
01260e00fa	Da legte sie die Witwenkleider von sich, die sie trug, deckte sich mit einem Mantel und verhüllete sich und setzte sich vor die Tür heraus an dem Wege gen Thimnath; denn sie sah, daß Sela war groß worden, und sie ward ihm nicht zum Weibe gegeben.
