0100000009	1 Mosebok
040d17009d	Så kom de til Eskol-dalen; der skar de av en vinranke med en drueklase, og den bar to mann mellem sig på en stang; likeledes tok de granatepler og fikener.
040d180052	Dette sted blev kalt Eskol-dalen efter den drueklase som Israels barn skar av der.
040d19004c	Da firti dager var til ende, vendte de tilbake efter å ha utspeidet landet.
040d1a00b7	De gikk avsted og fant Moses og Aron og hele Israels barns menighet i ørkenen Paran, i Kades, og gav dem og hele menigheten beskjed om hvad de hadde sett, og viste dem landets frukt.
040d1b007f	De fortalte ham og sa: Vi kom til det land du sendte oss til, og det flyter virkelig med melk og honning, og her er dets frukt.
040d1c0071	Men det folk som bor i landet, er sterkt, og byene er som festninger og meget store; der så vi også Anaks barn.
040d1d0092	Amalekittene bor i sydlandet, og hetittene og jebusittene og amorittene bor i fjellbygdene, og kana'anittene bor ute ved havet og langsmed Jordan.
040d1e0085	Men da folket knurret mot Moses, søkte Kaleb å stagge dem og sa: Vi vil dra op og ta landet i eie; vi skal nok få det i vår makt.
040d1f0072	Men de menn som hadde vært med ham der op, sa: Vi makter ikke å dra op mot det folk; for det er sterkere enn vi.
040d2000d0	Og de talte ille blandt Israels barn om det land de hadde utspeidet, og sa: Det land vi drog igjennem for å utspeide det, er et land som fortærer sine innbyggere, og alle de vi så der, var høivoksne folk;
040d210088	der så vi kjempene, Anaks barn av kjempeætten, og mot dem var vi i våre egne øine som gresshopper, og det syntes også de at vi var.
040e01004a	Da tok hele menigheten til å rope og skrike, og folket gråt hele natten.
040e020098	Og alle Israels barn knurret mot Moses og Aron, og hele menigheten sa til dem: Gid vi var død i Egyptens land eller her i ørkenen! Å, at vi var død!
040e0300b0	Hvorfor fører Herren oss inn i dette land, så vi må falle for sverdet? Våre hustruer og våre barn vil bli til rov. Var det ikke bedre for oss å vende tilbake til Egypten?
040e040052	Og de sa til hverandre: La oss velge oss en høvding og vende tilbake til Egypten!
040e05005d	Da falt Moses og Aron ned på sitt ansikt foran hele den forsamlede menighet av Israels barn.
040e060074	Og Josva, Nuns sønn, og Kaleb, Jefunnes sønn, som var blandt dem som hadde utspeidet landet, sønderrev sine klær
040e07007d	og talte til hele Israels barns menighet og sa: Det land som vi drog igjennem for å utspeide det, er et overmåte godt land.
040e08007e	Dersom Herren har velbehag i oss, så fører han oss inn i dette land og gir oss det - et land som flyter med melk og honning.
040e0900c3	Sett eder bare ikke op mot Herren og vær ikke redde for folket i det land, for vi skal fortære dem som det var brød; deres vern er veket fra dem, og Herren er med oss, vær ikke redde for dem!
040e0a0075	Da vilde hele menigheten stene dem; men Herrens herlighet åpenbarte sig i sammenkomstens telt for alle Israels barn.
040e0b009c	Og Herren sa til Moses: Hvor lenge skal dette folk forakte mig, og hvor lenge vil de la være å tro på mig, enda jeg har gjort så mange tegn iblandt dem?
040e0c006e	Jeg vil slå dem med pest og utrydde dem, og så vil jeg gjøre dig til et større og sterkere folk enn dette.
040e0d0060	Da sa Moses til Herren: Egypterne har hørt at du med din kraft har ført dette folk ut fra dem,
040e0e010a	og de har sagt det til dette lands innbyggere; de har hørt at du, Herre, er midt iblandt dette folk, at du, Herre, har åpenbaret dig for dem øie til øie, og at din sky står over dem, og at du går foran dem i en skystøtte om dagen og i en ildstøtte om natten.
040e0f0061	Men dreper du nu dette folk, alle som en, da kommer hedningene, som har hørt ditt ry, til å si:
040e100075	Herren maktet ikke å føre dette folk inn i det land han hadde tilsvoret dem, derfor slaktet han dem ned i ørkenen.
040e110043	Men la nu din kraft, Herre, vise sig stor, som du har talt og sagt:
040e1200d4	Herren er langmodig og rik på miskunnhet, han forlater misgjerning og overtredelse; men han lar ikke den skyldige ustraffet, han hjemsøker fedres misgjerning på barn, på dem i tredje og på dem i fjerde ledd.
040e130076	Tilgi da dette folk dets misgjerning efter din store miskunnhet, som du har tilgitt dem hele veien fra Egypten og hit!
040e140031	Da sa Herren: Jeg har tilgitt dem efter ditt ord.
040e150042	Men sa sant jeg lever og hele jorden er full av Herrens herlighet,
040e1600a7	så skal alle de menn som har sett min herlighet og de tegn som Jeg har gjort i Egypten og i ørkenen, og som nu har fristet mig ti ganger og ikke hørt på min røst,
040e17006d	sannelig, de skal ikke se det land jeg bar tilsvoret deres fedre; ingen som har foraktet mig, skal få se det
040e1800a4	Men min tjener Kaleb - fordi det var en annen ånd i ham, og han trolig fulgte mig, så vil jeg føre ham inn i det land han har vært i, og hans ætt skal eie det.
040e19007b	Men amalekittene og kana'anittene bor her i dalen; vend derfor om imorgen og dra ut i ørkenen på veien til det Røde Hav!
040e1a0028	Og Herren talte til Moses og Aron og sa:
040e1b0081	Hvor lenge skal denne onde menighet holde på å knurre mot mig? Jeg har hørt Israels barns knurr, hvorledes de knurrer mot mig.
040e1c006d	Si til dem: Så sant jeg lever, sier Herren: Som I har talt for mine ører, således vil jeg gjøre med eder:
040e1d00a4	I denne ørken skal eders døde kropper falle, alle de blandt eder som blev mønstret, så mange som I er, fra tyveårsalderen og opover, I som har knurret mot mig;
040e1e009e	sannelig, I skal ikke komme inn i det land som jeg med opløftet hånd har svoret å ville la eder bo i, undtagen Kaleb, Jefunnes sønn, og Josva, Nuns sønn.
040e1f007c	Eders barn, som I sa vilde bli til rov, dem vil jeg føre der inn, og de skal lære det land å kjenne som I har ringeaktet.
040e200032	Men eders døde kropper skal falle i denne ørken.
040e210091	Og eders barn skal flakke om som hyrder i ørkenen i firti år og bøte for eders utroskap mot Herren, inntil I alle er blitt til lik i ørkenen.
040e2200ad	Likesom I utspeidet landet i firti dager, således skal I lide for eders misgjerninger i firti år, et år for hver dag; og I skal kjenne at jeg har vendt mig bort fra eder.
040e2300b0	Jeg, Herren, har sagt: Sannelig, således vil jeg gjøre med hele denne onde menighet, som har sammensvoret sig mot mig; her i ørkenen skal de gå til grunne, her skal de dø.
040e2400a0	De menn som Moses hadde sendt for å utspeide landet, og som var kommet tilbake og hadde fått hele menigheten til å knurre mot ham ved å tale ille om landet,
040e250056	disse menn, som hadde talt ille om landet, blev slått ned for Herrens åsyn og døde.
040e260075	Bare Josva, Nuns sønn, og Kaleb, Jefunnes sønn, blev i live av de menn som var gått avsted for å utspeide landet.
040e27004b	Og Moses bar disse ord frem for alle Israels barn; da sørget folket sårt.
040e28009f	Og de stod tidlig op om morgenen og drog opover mot fjellhøiden og sa: Se, her er vi, og vi vil dra op til det sted som Herren har talt om; for vi har syndet.
040e290044	Men Moses sa: Hvorfor overtreder I Herrens bud? Det vil ikke lykkes.
040e2a0062	Dra ikke der op! For Herren er ikke blandt eder, I kommer bare til å bli slått av eders fiender.
040e2b009d	For amalekittene og kana'anittene vil møte eder der, og I skal falle for sverdet, fordi I har vendt eder bort fra Herren, og Herren vil ikke være med eder.
040e2c0065	Men de drog i overmodig tross op til fjellhøiden; men Herrens pakts ark og Moses forlot ikke leiren.
040e2d0082	Da kom amalekittene og kana'anittene, som bodde der på fjellet, ned og slo dem sønder og sammen og forfulgte dem like til Horma.
040f010020	Og Herren talte til Moses og sa:
040f02006a	Tal til Israels barn og si til dem: Når I kommer inn i det land som I skal bo i, det som jeg vil gi eder,
040f0300d3	og I ofrer Herren ildoffer - brennoffer eller slaktoffer av storfeet eller av småfeet til en velbehagelig duft for Herren - enten for å opfylle et løfte eller som et frivillig offer eller på eders høitider,
040f04008c	da skal den som bærer sitt offer frem for Herren, som matoffer ofre tiendedelen av en efa fint mel blandet med en fjerdedel av en hin olje,
040f050078	og som drikkoffer skal du ofre fjerdedelen av en hin vin sammen med brennofferet eller slaktofferet, hvis det er et lam.
040f060080	Men hvis det er en vær, da skal du ofre som matoffer to tiendedeler av en efa fint mel blandet med en tredjedel av en hin olje,
040f070062	og som drikkoffer tredjedelen av en hin vin; du skal ofre det til en velbehagelig duft for Herren.
040f08006d	Ofrer du en ung okse til brennoffer eller slaktoffer for å opfylle et løfte eller som takkoffer til Herren,
040f090078	da skal der sammen med den unge okse ofres som matoffer tre tiendedeler av en efa fint mel blandet med en halv hin olje,
040f0a0067	og som drikkoffer skal du ofre en halv hin vin; det er et ildoffer til en velbehagelig duft for Herren.
040f0b0054	Således skal der gjøres for hver okse og for hver vær og for hvert lam eller kje.
040f0c0062	Efter tallet på de dyr I ofrer, skal I gjøre således for hvert enkelt dyr, så mange som de er.
040f0d0062	Hver innfødt skal gjøre således når han ofrer et ildoffer til en velbehagelig duft for Herren.
040f0e00ac	Og hvis en fremmed som holder til hos eder, eller som for alltid bor blandt eder, ofrer et ildoffer til en velbehagelig duft for Herren, så skal han gjøre like ens som I.
040f0f00c4	I menigheten skal det være én lov for eder og for den fremmede som holder til hos eder - en evig lov, fra slekt til slekt; for Herrens åsyn gjelder det samme for den fremmede som for eder selv.
040f100058	Én lov og én rett skal det være for eder og for den fremmede som holder til hos eder.
040f110020	Og Herren talte til Moses og sa:
040f120059	Tal til Israels barn og si til dem: Når I kommer inn i det land som jeg fører eder til,
040f130043	og eter av landets brød, da skal I utrede en offergave til Herren.
040f140071	Av det første av eders deig skal I gi en kake som gave; I skal gi den likesom I utreder gaven fra treskeplassen.
040f150050	Av det første av eders deig skal I alltid gi Herren en gave, slekt efter slekt.
040f16005c	Når I uforvarende gjør en synd og ikke holder alle disse bud som Herren har forkynt Moses,
040f17007b	alt det som Herren har befalt eder ved Moses fra den dag av da Herren befalte det, og siden gjennem alle følgende slekter,
040f1800ea	da skal hele menigheten, hvis det er gjort uten dens vitende og av vanvare, ofre en ung okse som brennoffer til en velbehagelig duft for Herren med tilhørende matoffer og drikkoffer, som foreskrevet er, og en gjetebukk som syndoffer.
040f1900f8	Og presten skal gjøre soning for hele Israels barns menighet, så får de forlatelse; for det var gjort av vanvare, og de har båret frem for Herrens åsyn sitt offer, et ildoffer til Herren, og sitt syndoffer for den synd de har gjort av vanvare.
040f1a0083	Og hele Israels barns menighet og den fremmede som holder til hos dem, får forlatelse, fordi det var hendt hele folket av vanvare.
040f1b005d	Men når en enkelt mann synder av vanvare, da skal han ofre en årsgammel gjet til syndoffer.
040f1c009a	Og presten skal gjøre soning for Herrens åsyn for den som har forsyndet sig av vanvare, så han, når soningen for ham er fullført, kan få forlatelse.
040f1d00a6	For den innfødte blandt Israels barn og for den fremmede som holder til hos dem, skal det være én lov; den gjelder for eder alle når nogen gjør noget av vanvare.
040f1e008d	Men den som gjør noget med opløftet hånd, enten det er en innfødt eller en fremmed, han håner Herren, og han skal utryddes av sitt folk;
040f1f0070	for han har ringeaktet Herrens ord og brutt hans bud. Den mann skal utryddes, han skal lide for sin misgjerning.
040f200057	Mens Israels barn var i ørkenen, traff de på en mann som sanket ved på sabbatsdagen.
040f210064	Og de som traff på ham da han sanket ved, førte ham frem for Moses og Aron og for hele menigheten.
040f22005d	Og de satte ham fast; for det var ikke gitt dem noget bud om hvad der skulde gjøres med ham.
040f23005e	Da sa Herren til Moses: Mannen skal late livet, hele menigheten skal stene ham utenfor leiren.
040f240073	Så førte hele menigheten ham utenfor leiren og stenet ham, så han døde, således som Herren hadde befalt Moses.
040f250017	Og Herren sa til Moses:
040f2600a1	Tal til Israels barn og si til dem at de skal gjøre sig dusker på kantene av sine klær, slekt efter slekt, og de skal sette en blå snor på hver enkelt dusk.
040f2700c3	Sådanne dusker skal I ha, forat I, når I ser på dem, skal komme i hu alle Herrens bud og holde dem og ikke fare hit og dit efter eders hjerte og efter eders øine, som lokker eder til utroskap
040f280054	- forat I skal komme i hu alle mine bud og holde dem og være hellige for eders Gud.
040f290068	Jeg er Herren eders Gud, som førte eder ut av Egyptens land for å være eders Gud. Jeg er Herren eders
041001009d	Korah, en sønn av Jishar, sønn av Kahat, Levis sønn, og Datan og Abiram, sønner av Eliab, og On, en sønn av Pelet, av Rubens ætt, tok en flokk med sig.
04100200a2	De trådte fram for Moses, og sammen med dem to hundre og femti menn av Israels barn, høvdinger i menigheten, utkåret til medlemmer av folkerådet, aktede menn.
04100300c6	De flokket sig sammen mot Moses og Aron og sa til dem: Nu får det være nok! Hele menigheten er hellig, alle sammen, og Herren er midt iblandt dem; hvorfor ophøier I eder da over Herrens menighet?
0410040034	Da Moses hørte disse ord, falt han på sitt ansikt.
04100500dd	Og han talte til Korah og hele hans flokk og sa: Imorgen skal Herren åpenbare hvem som tilhører ham, og hvem som er hellig, så han lar ham komme nær til sig; og den som han utvelger, ham vil han la komme nær til sig.
041006003f	Gjør nu dette: Ta eder ildkar, både Korah og hele hans flokk,
04100700a5	og ha ild i dem og legg røkelse på dem for Herrens åsyn imorgen, og den mann som Herren utvelger, han skal være den hellige. Det får nu være nok, I Levis barn!
041008002d	Og Moses sa til Korah: Hør nu, I Levis barn!
04100900d4	Er det for lite for eder at Israels Gud har utskilt eder fra Israels menighet for å la eder komme nær til sig, så I skal utføre tjenesten ved Herrens tabernakel og stå for menighetens åsyn for å tjene den?
04100a006f	Han har latt dig komme nær til, og med dig alle dine brødre, Levis barn; og nu attrår I endog prestedømmet!
04100b005c	Derfor er du og hele din flokk oprørere mot Herren; for hvad er Aron, at I knurrer mot ham?
04100c0056	Så sendte Moses bud efter Datan og Abiram, Eliabs sønner; men de sa: Vi kommer ikke.
04100d00a4	Er det ikke nok at du har ført oss op fra et land som flyter med melk og honning, for å la oss dø i ørkenen, siden du endog vil gjøre dig til hersker over oss?
04100e00ab	Heller ikke har du ført oss inn i et land som flyter med melk og honning, eller gitt oss åkrer og vingårder i eie; tenker du du kan synkverve disse folk? Vi kommer ikke
04100f00b1	Da blev Moses meget vred og sa til Herren: Vend dig ikke til deres offer! Ikke så meget som et asen har jeg tatt fra dem, og ikke en eneste blandt dem har jeg gjort noget ondt.
041010006f	Så sa Moses til Korah: Imorgen skal du og hele din flokk stille eder frem for Herrens åsyn, du og de og Aron!
04101100b7	Og I skal ta hver sitt ildkar og legge røkelse på dem, og I skal bære hver sitt ildkar frem for Herrens åsyn, to hundre og femti ildkar, og du og Aron skal og ta hver sitt ildkar.
0410120098	Så tok de hver sitt ildkar og hadde ild i dem og la røkelse på dem; og de stilte sig ved inngangen til sammenkomstens telt, og likeså Moses og Aron.
0410130088	Og Korah samlet hele menigheten imot dem ved inngangen til sammenkomstens telt; da åpenbarte Herrens herlighet sig for hele menigheten.
0410140028	Og Herren talte til Moses og Aron og sa:
0410150051	Skill eder ut fra denne menighet, så vil jeg gjøre ende på dem i et øieblikk.
0410160095	Men de falt ned på sitt ansikt og sa: Gud, du Gud som råder over livsens ånde i alt kjød! Vredes du på hele menigheten fordi om én mann synder?
0410170020	Da talte Herren til Moses og sa:
0410180062	Tal til menigheten og si: Gå bort fra hele plassen rundt omkring Korahs, Datans og Abirams bolig!
0410190050	Så stod Moses op og gikk til Datan og Abiram, og de eldste i Israel fulgte ham.
04101a00be	Og han talte til menigheten og sa: Vik bort fra disse ugudelige menns telter, og rør ikke ved noget av det som hører dem til, forat I ikke skal bli bortrykket for alle deres synders skyld!
04101b00bb	Da gikk de bort fra Korahs, Datans og Abirams bolig, rundt omkring; men Datan og Abiram var gått ut og stod i inngangen til sine telt med sine hustruer og sine barn, både store og små.
04101c0098	Og Moses sa: Derpå skal I kjenne at det er Herren som har sendt mig til å gjøre alle disse gjerninger, og at det ikke er av egen drift jeg gjør det:
04101d009c	Dersom disse folk dør på samme måte som alle andre mennesker, eller de hjemsøkes på samme måte som alle andre mennesker, da har Herren ikke sendt mig;
04101e00c7	men dersom Herren gjør noget som ikke før er hendt - dersom jorden lukker op sin munn og sluker dem og alle deres, så de farer levende ned i dødsriket, da vet I at disse menn har foraktet Herren.
04101f0044	Med det samme han hadde endt denne tale, da revnet jorden under dem;
0410200072	jorden lukket op sin munn og slukte dem og deres boliger og alle de folk som hørte Korah til, og alt det de eide,
0410210072	og de fòr levende ned i dødsriket med alle sine; jorden skjulte dem, og de omkom og blev utryddet av menigheten.
041022006d	Og hele Israel som stod rundt omkring dem, rømte da de hørte deres skrik; de sa: Jorden kunde sluke oss og.
0410230066	Og det fòr ild ut fra Herren og fortærte de to hundre og femti menn som hadde båret frem røkelsen.
0410240020	Da talte Herren til Moses og sa:
041025007f	Si til Eleasar, Arons sønn, presten, at han skal ta ildkarene ut av branden, men sprede glørne langt bort! For de er hellige,
04102600f7	de ildkar som tilhørte disse menn som ved sin synd har forbrutt sitt liv; der skal gjøres tynne plater av dem til å klæ alteret med, for de bar dem frem for Herrens åsyn, og derfor er de hellige; og de skal være til et tegn for Israels barn.
0410270098	Så tok Eleasar, presten, de ildkar av kobber som de hadde båret frem de menn som var brent op, og lot dem hamre ut til plater til å klæ alteret med,
041028010f	forat Israels barn skulde komme i hu at ingen fremmed mann - ingen som ikke er av Arons ætt - skulde komme nær til for å brenne røkelse for Herrens åsyn, så det ikke skulde gå ham som det gikk Korah og hans flokk - således som Herren hadde talt til ham ved Moses.
0410290078	Men dagen efter knurret hele Israels barns menighet mot Moses og Aron og sa: Det er I som har slått Herrens folk ihjel!
04102a009a	Da nu menigheten samlet sig imot Moses og Aron, vendte de sig begge mot sammenkomstens telt, og se, skyen dekket det, og Herrens herlighet åpenbarte sig.
04102b0035	Og Moses og Aron gikk frem foran sammenkomstens telt,
04102c0020	og Herren talte til Moses og sa:
04102d006c	Gå bort fra denne menighet, så vil jeg gjøre ende på dem i et øieblikk. Da falt de ned på sitt ansikt,
04102e00dc	og Moses sa til Aron: Ta ildkaret og ha ild fra alteret i det og legg røkelse på og skynd dig så bort til menigheten med det og gjør soning for dem! For vreden er gått ut fra Herrens åsyn, hjemsøkelsen har begynt.
04102f00bb	Og Aron gjorde som Moses hadde sagt, og tok ildkaret og løp midt inn i flokken, og se, hjemsøkelsen hadde alt begynt blandt folket. Så la han røkelsen på og gjorde soning for folket,
041030004a	mens han stod der mellem de døde og de levende; da stanset hjemsøkelsen.
0410310073	Men det var fjorten tusen og syv hundre mann som døde under hjemsøkelsen, foruten dem som døde for Korahs skyld.
0410320065	Og Aron vendte tilbake til Moses ved inngangen til sammenkomstens telt; og hjemsøkelsen var stanset.
0411010020	Og Herren talte til Moses og sa:
041102009a	Tal til Israels barn, og få tolv staver av dem, en stav for hver stamme; av hver stammehøvding skal du få en stav, og på den skal du skrive hans navn.
041103006e	Og Arons navn skal du skrive på Levis stav; for det skal være en stav for hvert overhode over deres stammer.
0411040063	Og du skal legge dem i sammenkomstens telt foran vidnesbyrdet, der hvor jeg kommer sammen med eder.
0411050087	Da skal det skje at den manns stav som jeg utvelger, skal spire; så får jeg vel fred for Israels barns knurr, som de plager eder med.
04110600a4	Så talte Moses til Israels barn, og alle deres høvdinger gav ham hver sin stav, en stav for hver stamme, i alt tolv staver; og Arons stav var mellem deres staver.
041107003f	Og Moses la stavene ned for Herrens åsyn i vidnesbyrdets telt.
04110800c1	Da nu Moses dagen efter kom inn i vidnesbyrdets telt, fikk han se at Arons stav - den som var for Levis hus - hadde spiret; den hadde både skutt spirer og satt blomster og fått modne mandler.
0411090076	Da bar Moses alle stavene ut fra Herrens åsyn og viste dem til alle Israels barn; og de så dem og tok hver sin stav.
04110a00d2	Og Herren sa til Moses: Bær Arons stav inn igjen foran vidnesbyrdet for å gjemmes som et tegn for de gjenstridige; og du skal gjøre ende på deres knurr, så jeg slipper å høre på det; ellers skal de dø.
04110b003c	Og Moses gjorde så; han gjorde som Herren hadde befalt ham.
04110c0059	Men Israels barn sa til Moses: Se, vi omkommer, vi er fortapt, vi er fortapt alle sammen!
04110d006d	Enhver som kommer nær - som kommer nær til Herrens tabernakel, han må dø. Skal vi da omkomme alle sammen?
04120100c8	Da sa Herren til Aron: Du og dine sønner og hele din fars hus skal bære skylden for overtredelser mot helligdommen, og du og dine sønner skal bære skylden for overtredelser mot eders presteembede.
04120200c6	Også dine brødre, Levi stamme, din fars stamme, skal du la komme nær til sammen med dig, - og de skal holde sig til dig og tjene dig; men du og dine sønner, I skal stå foran vidnesbyrdets telt.
04120300bd	Og de skal ta vare på det du skulde varetatt, og det som er å vareta ved hele teltet; men helligdommens redskaper og alteret må de ikke komme nær, forat de ikke skal dø, både de og I.
041204009b	De skal holde sig til dig og ta vare på det som er å vareta ved sammenkomstens telt, hele arbeidet ved teltet; men ingen fremmed må komme nær til eder.
041205009a	Men I skal ta vare på det som skal varetas ved helligdommen, og det som er å vareta ved alteret, forat det ikke mere skal komme vrede over Israels barn.
04120600a6	For det er jeg som har tatt eders brødre levittene ut blandt Israels barn som en gave til eder, overgitt til Herren for å utføre tjenesten ved sammenkomstens telt.
04120700f6	Men du og dine sønner skal ta vare på eders prestetjeneste i alt som vedkommer alteret og gjerningen innenfor forhenget, og utføre tjenesten. Jeg gir eder eders prestetjeneste som en gave; men den fremmede som kommer nær til, skal late livet.
04120800c6	Og Herren talte til Aron: Se, jeg har gitt dig det som skal gjemmes av gavene til mig; alt det som Israels barn helliger, har jeg gitt dig som ditt embedes del og dine sønner som en evig rettighet.
04120900d4	Dette skal høre dig til av det høihellige og undtas fra ilden: alle deres offer, både matoffer og syndoffer og skyldoffer, som de gir mig til gjengjeld; de er høihellige og skal høre dig og dine sønner til.
04120a0067	På det høihellige sted skal du ete det; alt mannkjønn kan ete av det, hellig skal det være for dig.
04120b00d6	Likeledes skal dette høre dig til som de gaver de skal avgi: Alle Israels barns svingegaver, dem har jeg gitt dig og dine sønner og dine døtre som en evig rettighet; enhver i ditt hus som er ren, kan ete av det.
04120c0076	Alt det beste av olje og alt det beste av most og korn, førstegrøden derav, som de skal gi Herren, har jeg gitt dig.
04120d008e	Førstegrøden av alt det som er i deres land, som de kommer til Herren med, skal høre dig til; enhver i ditt hus som er ren, kan ete av det.
04120e0029	Alt bannlyst i Israel skal høre dig til.
04120f00ff	Alt som åpner morsliv, alt levende som de kommer til Herren med, enten det er mennesker eller dyr, skal høre dig til. Dog skal du la dem løse det som er førstefødt av mennesker, og likeså skal du la dem løse det som er førstefødt av de urene dyr.
04121000bc	Og løsepengene for en gutt skal du la dem utrede fra han er en måned gammel, efter det verd du skal sette på ham: fem sekel sølv efter helligdommens vekt, sekelen regnet til tyve gera.
04121100d2	Men det førstefødte av kyr eller av får eller av gjeter skal ikke løses; de er hellige; deres blod skal du sprenge på alteret, og deres fett skal du brenne som ildoffer til en velbehagelig duft for Herren.
0412120066	Men deres kjøtt skal høre dig til; likesom svinge-brystet og det høire lår skal det høre dig til.
04121300ca	Alle hellige gaver som Israels barn skal avgi til Herren, har jeg gitt dig og dine sønner og dine døtre som en evig rettighet; dette er en evig saltpakt for Herrens åsyn for dig og dine efterkommere.
04121400a2	Og Herren sa til Aron: Du skal ikke ha nogen arv i deres land, og det skal ikke tilfalle dig nogen del iblandt dem; jeg er din del og din arv blandt Israels barn.
0412150083	Men all tiende i Israel har jeg gitt Levis barn til arv, som lønn for den tjeneste de utfører, tjenesten ved sammenkomstens telt.
041216006a	Israels barn skal ikke mere komme nær til sammenkomstens telt, for da fører de synd over sig og må dø.
04121700dd	Men levittene, de skal utføre tjenesten ved sammenkomstens telt, og de skal bære skylden for folkets overtredelser; det skal være en evig lov, fra slekt til slekt. Men nogen arvedel skal de ikke ha blandt Israels barn.
04121800a3	For den tiende som Israels barn skal avgi til Herren, har jeg gitt levittene til arv; derfor har jeg sagt til dem at de ikke skal ha nogen arv blandt Israels barn.
0412190020	Og Herren talte til Moses og sa:
04121a00c2	Du skal tale til levittene og si til dem: Når I tar imot den tiende av Israels barn som jeg har sagt I skal få av dem som eders arv da skal I gi Herren en gave av den - tiendedelen av tienden,
04121b006a	og denne eders gave skal regnes for eder som jevngod med kornet fra treskeplassen og med vinen fra persen.
04121c00a1	Således skal også I avgi en gave til Herren av all den tiende som I får av Israels barn, og denne gave til Herren av eders tiende skal I gi til Aron, presten.
04121d008e	Av alle de gaver I får, skal I avgi til Herren hele den gave som tilkommer ham; det beste av enhver gave skal være den del som helliges ham.
04121e009f	Og du skal si til dem: Når I har avgitt den beste del av det, da skal det regnes for levittene likt med det som kommer inn fra treskeplassen og fra vinpersen.
04121f0075	I kan ete det hvor I vil, I og eders husfolk; for det er den lønn I får for eders tjeneste ved sammenkomstens telt.
0412200099	Når I således avgir det beste av det, kommer I ikke til å føre synd over eder, og da vanhelliger I ikke Israels barns hellige gaver og skal ikke dø.
0413010028	Og Herren talte til Moses og Aron og sa:
04130200ac	Dette er et lovbud som Herren har kunngjort: Si til Israels barn at de skal komme til dig med en rød kvige som ikke har lyte eller feil, og som det ikke er kommet åk på.
041303006f	Den skal I gi til Eleasar, presten, og han skal føre den utenfor leiren, og de skal slakte den for hans åsyn.
0413040093	Og Eleasar, presten, skal ta noget av dens blod på sin finger, og han skal sprenge med blodet syv ganger bortimot forsiden av sammenkomstens telt.
0413050075	Så skal de brenne kvigen for hans øine; både dens hud og dens kjøtt og dens blod, og skarnet med, skal de brenne.
0413060066	Og presten skal ta sedertre og isop og karmosinrød ull og kaste det i ilden, der hvor kvigen brennes.
041307008b	Derefter skal presten tvette sine klær og bade sitt legeme i vann, så kan han komme inn i leiren; men han skal være uren til om aftenen.
0413080081	Den mann som brenner kvigen, skal og tvette sine klær i vann og bade sitt legeme i vann; men han skal være uren til om aftenen.
04130900bd	Og en mann som er ren, skal sanke sammen asken av kvigen og legge den utenfor leiren på et rent sted, og den skal gjemmes for Israels barns menighet til renselsesvann; det er et syndoffer.
04130a00b5	Og den som sanker sammen asken av kvigen, skal tvette sine klær og være uren til om aftenen. Dette skal være en evig lov for Israels barn og for den fremmede som bor iblandt dem.
04130b0056	Den som rører ved en død, ved liket av et menneske, han skal være uren i syv dager.
04130c009f	Den tredje og den syvende dag skal han rense sig med vannet, så blir han ren; men renser han sig ikke den tredje dag og den syvende dag, da blir han ikke ren.
04130d0100	Hver den som rører ved en død, ved liket av et menneske som er død, og ikke renser sig, han gjør Herrens tabernakel urent, han skal utryddes av Israel; fordi det ikke er sprengt renselsesvann på ham, er han uren, hans urenhet kleber fremdeles ved ham.
04130e008c	Dette er loven: Når et menneske dør i et telt, skal hver den som kommer inn i teltet, og alt det som er i teltet, være urent i syv dager.
04130f0042	Og ethvert åpent kar som der ikke er bundet dekke over, er urent.
04131000a1	Og hver den som ute på marken rører ved en som er drept med sverd, eller ved et annet lik eller ved menneskeben eller ved en grav, skal være uren i syv dager.
041311008d	Og for å rense den som således er blitt uren, skal de ta noget av asken efter det brente syndoffer og helle rinnende vann på det i et kar.
04131200ea	Og en mann som er ren, skal ta Isop og dyppe i vannet og sprenge på teltet og på alle de ting og alle de folk som var der, og på den som har rørt ved menneskeben eller ved en som er drept, eller ved et annet lik eller ved en grav.
04131300e9	Og den tredje dag og den syvende dag skal den rene sprenge noget av vannet på den som er blitt uren; og når hans renselse er fullført på den syvende dag, skal han tvette sine klær og bade sig i vann, så blir han ren om aftenen.
04131400ac	Men den som blir uren og ikke renser sig, han skal utryddes av menigheten; for han har gjort Herrens helligdom uren; det er ikke sprengt renselsesvann på ham, han er uren.
04131500aa	Dette skal være en evig lov for dem. Den som sprenger med renselsesvannet, skal tvette sine klær, og den som rører ved renselsesvannet, skal være uren til om aftenen.
041316006d	Og alt det den urene rører ved, skal være urent, og den som rører ved ham, skal være uren til om aftenen.
0414010097	I den første måned kom Israels barn, hele menigheten, til ørkenen Sin, og folket blev nogen tid i Kades; der døde Mirjam, og der blev hun begravet;
0414020043	Men menigheten hadde ikke vann; da samlet de sig mot Moses og Aron.
0414030068	Og folket kivedes med Moses og sa: Å, at vi var omkommet dengang våre brødre omkom for Herrens åsyn!
0414040065	Hvorfor har I ført Herrens menighet inn i denne ørken, så vi må dø her, både vi og vår buskap?
04140500c3	Og hvorfor har I ført oss op fra Egypten, så vi er kommet til dette onde sted, hvor det hverken vokser korn eller fiken eller vintrær eller granatepler, og hvor det ikke finnes vann å drikke?
0414060098	Men Moses og Aron gikk bort fra folket, til inngangen til sammenkomstens telt, og falt ned på sitt ansikt; da åpenbarte Herrens herlighet sig for dem.
