2800000006	Matius
290a2b007f	Tetapi kalian tidak boleh seperti ini. Siapapun dari kalian yang mau menjadi penguasa, dia harus menjadi seperti seorang hamba,
290a2c0066	dan siapa pun yang ingin menjadi yang pertama di antara kalian harus menjadi hamba untuk kalian semua.
290a2d008b	Karena Anak Manusia tidak datang untuk dilayani tetapi untuk melayani, dan untuk memberikan nyawa-Nya sebagai tebusan bagi banyak orang.”
290a2e00a3	Lalu Yesus dan murid-murid-Nya tiba di Yeriko. Dan ketika mereka meninggalkan kota itu, ada seorang pengemis buta bernama Bartimeus, sedang duduk di pinggir jalan.
290a2f007a	Ketika dia mendengar bahwa Yesus dari Nazaret sedang lewat, dia mulai berteriak, “Yesus, Anak Daud, kasihanilah saya!”
290a300077	Banyak orang menyuruhnya diam, tetapi itu hanya membuatnya semakin berteriak, “Yesus, Anak Daud, kasihanilah saya!”
290a31008b	Yesus berhenti, dan berkata, “Bawa dia kemari.” Jadi mereka memanggilnya, berkata kepadanya, “Kabar baik! Bangun. Dia memanggilmu.”
290a320044	Bartimeus melompat dan melepaskan jubahnya, dan datang kepada Yesus.
290a330082	“Apa yang kamu ingin Aku lakukan untukmu?” Yesus bertanya padanya. “Guru,” katanya kepada Yesus, “Saya ingin melihat!”
290a3400b5	Yesus berkata kepada orang itu, “Kamu bisa pergi. Imanmu pada-Ku sudah menyembuhkanmu.” Bartimeus segera bisa melihat dan dia mengikuti Yesus saat Dia melanjutkan perjalanannya.
290b0100a0	Ketika mereka mendekati Yerusalem, mereka tiba di Betfage dan Betania, yang berada di dekat Bukit Zaitun. Lalu Yesus menyuruh dua murid-Nya berjalan lebih dulu.
290b0200d8	Lalu Yesus berkata kepada mereka, “Pergilah ke desa di depan itu. Sesudah kamu masuk, kamu akan menemukan seekor keledai muda yang diikat yang belum pernah ditunggangi siapa pun. Lepaskan ikatannya dan bawa kemari.
290b030083	Dan kalau ada yang bertanya apa yang kamu lakukan, katakan kepada mereka, ‘Tuhan membutuhkannya dan akan segera kembalikan.’”
290b040086	Jadi kedua murid itu pergi, dan menemukan seekor keledai muda diikat ke pintu, di jalan dekat sebuah rumah, lalu mereka melepaskannya.
290b050065	Ada beberapa orang yang berdiri di sekitar situ bertanya, “Kenapa kalian melepaskan keledai itu”?
290b06006b	Kedua murid itu menjawab tepat seperti yang Yesus perintahkan, dan orang-orang itu membiarkan mereka pergi.
290b070071	Mereka membawa keledai itu kepada Yesus, mengenakan jubah mereka di atas punggungnya, dan Yesus duduk di atasnya.
290b08007d	Banyak orang mengalas jubah mereka di jalan, sementara yang lain meletakkan dahan dan daun-daun yang mereka potong di ladang.
290b09006c	Semua orang yang mengikuti Yesus dari belakang berseru, “Hosana! Pujilah Dia yang datang dalam nama Tuhan.
290b0a0053	Memberkati kerajaan ayah kita Daud yang akan datang! Hosana di tempat tertinggi!”
290b0b00c5	Waktu Yesus memasuki Yerusalem dan masuk ke rumah Tuhan. Dia melihat sekelilingnya, mengamati segalanya, dan kemudian, karena hari sudah larut, Dia kembali ke Betania bersama kedua belas murid-Nya.
290b0c0049	Keesokan harinya, ketika mereka meninggalkan Betania, Yesus merasa lapar.
290b0d00cf	Dari kejauhan Dia melihat pohon ara dengan daun di atasnya. Jadi Dia mendekati pohon itu untuk melihat apakah ada buahnya. Tetapi ternyata tidak ada buahnya, hanya daun saja, karena itu belum musim buah ara.
290b0e008a	Lalu Yesus berkata kepada pohon itu, “Mulai sekarang tidak akan ada orang yang makan buahmu.” Murid-murid-Nya mendengar kata-kata-Nya.
290b0f00c9	Ketika mereka tiba kembali di Yerusalem, Yesus masuk ke rumah Tuhan. Dia mulai mengusir orang-orang yang membeli dan menjual di rumah Tuhan. Dia membalikkan meja penukar uang dan kursi penjual merpati.
290b100041	Dia melarang orang yang membawa barang melalui teras rumah Tuhan.
290b1100b4	Dia menjelaskan kepada mereka, “Bukankah Kitab Suci mengatakan, ‘Rumah-Ku akan disebut rumah doa untuk semua bangsa’? Tetapi kamu sudah mengubahnya menjadi sarang pencuri!”
290b1200d9	Waktu para imam kepala dan guru-guru agama Yahudi mendengar apa yang terjadi, mereka mencoba menemukan cara untuk membunuh Yesus. Tetapi mereka takut kepada Yesus, karena semua orang sangat terkesan dengan ajaran-Nya.
290b13003f	Ketika malam tiba, Yesus dan murid-murid-Nya meninggalkan kota.
290b14007f	Keesokan paginya ketika Yesus dan murid-murid-Nya kembali, mereka melihat pohon ara itu sudah layu dari akarnya sampai ke atas.
290b150093	Petrus teringat apa yang sudah Yesus lakukan, lalu dia berkata kepada-Nya, “Guru, lihat, pohon ara yang Engkau kutuk itu sudah menjadi kering.”
290b160026	“Percaya pada Allah,” jawab Yesus.
290b1700e5	“Percayalah ketika Aku berkata kepadamu bahwa jika kamu perintahkan gunung ini, ‘Keluarlah dari sini dan terbuanglah ke laut,’ dan kamu tidak ragu dalam hati, tetapi yakin tentang apa yang kamu minta, maka itu akan terjadi!
290b180091	Aku berkata kepadamu bahwa apa pun yang kamu doakan, apa pun yang kamu minta, percayalah bahwa kamu sudah menerimanya, dan kamu akan menerimanya.
290b1900a8	Tetapi ketika kamu berdoa, dan kalau kamu memiliki sesuatu yang melawan seseorang, ampunilah mereka, sehingga Bapamu yang di surga juga dapat mengampuni dosa-dosamu.”
290b1b00c6	Waktu Yesus dan murid-murid-Nya kembali ke Yerusalem, dan ketika Dia sedang berjalan keliling teras rumah Tuhan, para imam kepala, guru-guru agama Yahudi, dan para pemimpin Yahudi datang kepada-Nya.
290b1c0071	Lalu mereka bertanya kepada-Nya, “Dengan otoritas apa Engkau melakukan semua ini?” Siapa yang memberi-Mu hak?
290b1d00b8	Lalu Yesus berkata kepada mereka, “Izinkan Aku mengajukan pertanyaan. Kalau kalian menjawab-Ku, maka Aku akan memberitahukan kepadamu dengan otoritas siapa Aku melakukan hal-hal ini.
290b1e0048	Baptisan Yohanes — apakah itu datang dari surga, atau dari manusia?”
290b1f00bb	Lalu mereka mendiskusikannya di antara mereka sendiri. Mereka berkata, “Jika kita mengatakan Allah yang berikan, Dia akan menjawab, ‘Jadi mengapa kamu tidak percaya kepada Yohanes?’
290b2000a6	Tetapi jika kita mengatakan, itu berasal dari manusia, yah…” Mereka takut pada orang banyak, karena semua orang percaya bahwa Yohanes sebagai seorang nabi sejati.
290b2100a1	Jadi mereka menjawab Yesus, “Kami tidak tahu.” “Kalau begitu, Aku tidak akan memberitahumu dengan otoritas siapa Aku melakukan hal-hal ini,” jawab Yesus.
290c01014b	Kemudian Yesus mulai berbicara kepada mereka menggunakan ilustrasi: “Suatu ketika ada seorang laki-laki yang membuat kebun anggur. Dia memasang pagar di sekelilingnya, menggali lubang untuk memeras buah anggur, dan membangun menara pengawas. Kemudian dia menyewakannya kepada beberapa petani, lalu dia pergi melakukan perjalanan.
290c020083	Ketika waktu panen tiba, dia mengirim salah satu hambanya ke petani penyewa untuk mengambil beberapa buah anggur dari kebun anggur.
290c03004d	Tetapi mereka menangkapnya, memukulinya, dan mengirimnya pergi tanpa apa-apa.
290c04005a	Lalu orang itu mengirim seorang hamba yang lain. Mereka memukul kepalanya dan menyiksanya.
290c050098	Dia mengirim pelayan lain, dan yang ini mereka bunuh. Dia mengirim banyak pelayan lain, dan mereka memukuli beberapa dari mereka dan membunuh yang lain.
290c0600b3	Pada akhirnya satu-satunya yang tersisa adalah anak laki-lakinya yang dia cintai, dan akhirnya dia mengirimnya, dia berpikir ‘pasti mereka akan menghormati anak saya sendiri.’
290c070095	Tetapi para petani berkata satu sama lain, ‘Ini ahli waris pemiliknya — jika kita membunuhnya, kita bisa mendapatkan apa yang akan dia warisi!’
290c080054	Jadi mereka membawanya dan membunuhnya, dan melemparkannya ke luar kebun anggur itu.
290c0900af	Sekarang apa yang akan dilakukan oleh pemilik kebun anggur itu? Dia akan datang dan membunuh para petani itu, dan kemudian dia akan menyewa kebun anggur itu kepada orang lain.
290c0a0090	Pernahkah kalian membaca Kitab Suci ini: ‘Batu yang dianggap tidak berguna oleh tukang-tukang bangunan, sudah menjadi batu fondasi yang utama.
290c0b003c	Ini dari Tuhan, dan sungguh menakjubkan untuk dilihat!’”
290c0c00d0	Para pemimpin Yahudi berusaha agar Yesus ditangkap karena mereka menyadari bahwa ilustrasi itu ditujukan kepada mereka, tetapi mereka takut pada orang banyak. Jadi mereka meninggalkan-Nya sendirian dan pergi.
290c0d0099	Kemudian mereka mengirim beberapa orang Farisi dengan beberapa pendukung Herodes kepada Yesus dalam upaya untuk menjebak-Nya dengan apa yang Dia katakan.
290c0e0128	Mereka datang dan berkata, “Guru, kami tahu Engkau orang yang jujur dan Engkau tidak peduli dengan pendapat orang lain. Sebaliknya Engkau mengajarkan kehendak Allah tanpa memandang kedudukan orang. Jadi apakah menurut Hukum Taurat, boleh atau tidak kita membayar pajak kepada pemerintah Romawi?
290c0f011f	Haruskah kami membayar, atau haruskah kami menolak?” Yesus, menyadari betapa munafiknya mereka, lalu Dia bertanya kepada mereka, “Mengapa kamu mencoba untuk menjebak-Ku dengan pertanyaan seperti itu? Coba bawakan kemari satu keping uang perak yang biasa dipakai untuk bayar pajak.”
290c10007f	Mereka memberi-Nya uang itu. Lalu Yesus bertanya kepada mereka, “Gambar dan tulisan siapa ini?” “Kaisar,” jawab mereka.
290c1100b5	Lalu kata Yesus, “Kalau begitu kembalikan kepada Kaisar apa yang menjadi miliknya, dan berikan kembali kepada Allah apa yang menjadi milik-Nya,” Mereka heran dengan jawaban-Nya.
290c12005f	Kemudian orang Saduki, yang tidak percaya dengan kebangkitan, datang dan mengajukan pertanyaan:
290c1300d5	“Guru, Musa memberitahu kami bahwa jika seorang laki-laki yang sudah beristri meninggal tanpa memiliki anak, maka jandanya harus menikah dengan saudara laki-lakinya, dan meneruskan keturunan bagi saudaranya itu.
290c140061	Dulu ada tujuh orang laki-laki bersaudara. Yang pertama menikah, lalu meninggal tanpa punya anak.
290c150066	Yang kedua menikahi jandanya, dan kemudian meninggal, tanpa anak. Yang ketiga melakukan hal yang sama.
290c16005b	Faktanya ketujuh orang itu meninggal tanpa memiliki anak. Akhirnya perempuan itu mati juga.
290c17006f	Jadi nanti waktu kebangkitan, dia akan menjadi istri siapa, karena dia adalah istri dari ketujuh bersaudara?”
290c180083	Yesus berkata kepada mereka, “Ini membuktikan bahwa kalian keliru, dan bahwa kalian tidak mengetahui Kitab Suci atau kuasa Allah.
290c190068	Ketika orang mati bangkit, mereka tidak menikah, dan tidak dikawinkan. Mereka seperti malaikat di surga.
290c1a00e6	Tetapi mengenai kebangkitan, bukankah kalian membaca dalam tulisan-tulisan Musa kisah tentang semak yang terbakar, di mana Allah berbicara kepada Musa dan berkata kepadanya, ‘Akulah Allah Abraham, Allah Isak, dan Allah Yakub.’
290c1b0053	Dia bukan Allah orang mati, tetapi Allah yang hidup. Kalian sudah sangat keliru!”
290c1c00dc	Kemudian salah satu guru agama datang dan mendengar mereka berdebat. Dia menyadari bahwa Yesus sudah memberi mereka jawaban yang bagus. Jadi dia bertanya kepada-Nya, “Perintah mana yang paling penting dari semuanya?”
290c1d0076	Yesus menjawab, “Perintah pertama adalah, ‘Dengarlah, hai umat Israel, Tuhan Allah kita adalah satu-satunya Allah.
290c1e0083	Kasihilah Tuhan, Allahmu, dengan segenap hatimu, dengan segenap jiwamu, dengan segenap pikiranmu, dan dengan segenap kekuatanmu.’
290c1f008e	Yang kedua adalah, ‘Kasihilah sesamamu sama seperti kamu mengasihi dirimu sendiri.’ Tidak ada perintah yang lebih penting daripada ini.”
290c200082	“Benar, Guru,” jawab laki-laki itu. “Memang benar seperti yang Engkau katakan bahwa Allah itu satu, dan tidak ada yang lain.
290c2100df	Kita harus mengasihi-Nya dengan segenap hati kita, semua pengertian kita, dan seluruh kekuatan kita, dan kita harus mengasihi sesama kita seperti diri kita sendiri. Ini jauh lebih penting daripada persembahan dan kurban.”
290c2200c7	Yesus melihat bahwa dia memberikan jawaban yang bijaksana, dan berkata, “Kamu tidak jauh dari kerajaan Allah.” Sesudah ini tidak ada yang cukup berani untuk bertanya lebih banyak lagi pada Yesus.
290c230080	Ketika Yesus sedang mengajar di rumah Allah, Dia bertanya, “Mengapa para guru agama menyatakan bahwa Kristus adalah Anak Daud?
290c2400c9	Sebagaimana Daud sendiri menyatakan, ketika dikuasai oleh Roh Allah berkata, ‘Tuhan Allah berkata kepada Tuhanku, “Duduklah di sebelah kanan-Ku sampai Aku menyerahkan musuhmu di bawah kakimu.”’
290c250097	Karena Daud sendiri memanggil-Nya Tuan, bagaimana Dia bisa menjadi anak Daud?” Orang banyak mendengarkan apa yang Yesus katakan dengan sangat senang.
290c2600be	Yesus terus mengajar mereka dengan mengatakan, “Hati-hatilah terhadap para pemimpin agama! Mereka suka berjalan-jalan di pasar dan tempat-tempat umum dengan jubah panjang supaya dihormati.
290c270073	Mereka senang duduk di kursi paling depan di rumah pertemuan orang Yahudi, dan tempat terbaik di pesta-pesta makan.
290c280110	Mereka biasa menipu janda-janda dengan merampas harta mereka, dan untuk menutupi kejahatan mereka, mereka selalu berdoa panjang-panjang, supaya orang lain mengira mereka orang baik. Akibat perbuatan mereka itu, mereka akan menerima hukuman yang berat dalam penghakiman.”
290c2900ac	Yesus duduk di dekat peti persembahan sambil memperhatikan orang-orang yang mengisi uang di kotak persembahan. Banyak dari orang kaya memberi uang dalam jumlah yang banyak.
290c2a005d	Kemudian seorang janda miskin datang dan memasukkan hanya dua uang logam yang kecil nilainya.
290c2b00b8	Yesus memanggil murid-murid-Nya dan mengatakan kepada mereka, “Aku berkata yang sebenarnya: janda miskin ini sudah memberi persembahan yang nilainya lebih besar dari semua yang lain.
290c2c0098	Karena mereka semua memberi dari kekayaan mereka, tetapi janda itu memberi dari apa yang dia miliki. Dia memberikan semua biaya hidup yang dia punya.”
290d010093	Saat Yesus meninggalkan rumah Tuhan, salah satu murid-Nya berkata kepada-Nya, “Guru, lihatlah batu-batu besar dan bangunan-bangunan megah ini!”
290d0200a1	Jawab Yesus, “Kalian perhatikan baik-baik semua bangunan besar ini? Tidak satu pun batu yang akan tersusun di atas batu yang lain. Semuanya akan dirobohkan.”
290d030076	Saat Yesus duduk di Bukit Zaitun menghadap rumah Tuhan, Petrus, Yakobus, Yohanes, dan Andreas bertanya secara pribadi,
290d040073	“Guru, tolong beritahukan kepada kami kapan ini akan terjadi. Apa tanda bahwa semua ini akan segera terpenuhi?”
290d05006b	Yesus mulai memberitahukan mereka, kata-Nya, “Kalian harus hati-hati supaya tidak ada yang menipu kalian.
290d060060	Banyak orang akan datang dan berkata, ‘Aku adalah Kristus.’ Mereka akan menipu banyak orang.
290d070092	Jangan kuatir jika kalian mendengar tentang perang di sekitar dan perang di tempat yang jauh. Hal-hal ini harus terjadi tetapi ini bukanlah akhir.
290d0800c3	Bangsa akan berperang melawan bangsa, dan kerajaan melawan kerajaan. Akan ada gempa bumi di berbagai tempat, dan kelaparan juga. Ini baru awal, seperti ibu hamil yang rasa sakit untuk melahirkan.
290d0900f9	Hati-hati dengan dirimu sendiri! Mereka akan menyerahkan kalian ke pengadilan untuk diadili. Kalian akan dipukuli di tempat pertemuan orang Yahudi. Karena Aku, kalian harus berdiri di hadapan para gubernur dan raja, dan kalian akan menjadi saksi-Ku.
290d0a0068	Sebelum akhir dunia ini, Kabar Baik tentang Aku harus disampaikan ke semua suku bangsa di seluruh dunia.
290d0b00ce	Saat mereka datang untuk menangkap dan mengadilimu, jangan kuatir tentang apa yang harus kamu jawab. Katakan saja apa yang kamu katakan pada saat itu, karena itu bukan kamu yang berbicara, tetapi Roh Kudus.
290d0c00d0	Saudara laki-laki akan menyerahkan saudaranya sendiri untuk dibunuh, dan seorang bapak akan menyerahkan anaknya untuk dibunuh. Anak-anak akan berbalik melawan orang tua mereka dan membuat mereka dihukum mati.
290d0d006c	Kamu akan dibenci oleh semua orang karena Aku, tetapi siapapun yang bertahan sampai akhir akan diselamatkan.
290d0e00bb	Tetapi ketika kalian melihat ‘penyembahan berhala yang menajiskan’ berdiri di tempat yang tidak seharusnya (biar pembaca mengerti), maka mereka yang ada di Yudea harus lari ke gunung.
290d0f007e	Dan untuk mereka yang sedang ada di atap rumah — janganlah turun untuk mengambil barang apapun juga yang ada di dalam rumah.
290d100048	Mereka yang bekerja di ladang — jangan pulang untuk mengambil jubahmu.
290d11009c	Pada waktu bencana itu terjadi, benar-benar sulit bagi ibu-ibu yang sedang hamil atau menyusui pada saat itu, karena mereka akan sulit untuk melarikan diri!
290d120047	Berdoalah supaya kesusahan besar itu tidak terjadi selama musim dingin.
290d1300c2	Karena ini akan menjadi hari-hari penuh kesulitan yang belum pernah terjadi sebelumnya sejak awal penciptaan Allah hingga sekarang, dan kesusahan yang seperti ini tidak akan pernah terjadi lagi.
290d14009f	Jika Allah tidak mempersingkat hari ini, tidak ada yang akan selamat. Namun demi mereka yang sudah Allah pilih, maka kesusahan itu tidak akan berlangsung lama.
290d15007e	Jadi, jika ada yang memberitahu kalian, ‘Lihat, inilah Kristus,’ atau ‘lihat, Dia ada di sana,’ jangan kalian percaya.
290d1600b1	Karena Kristus-Kristus palsu dan nabi-nabi palsu akan muncul, dan mereka akan melakukan tanda-tanda dan mujizat-mujizat untuk menipu orang-orang pilihan Allah, jika itu mungkin.
290d170070	Karena itu kalian harus hati-hati! Aku sudah memberitahukan segalanya kepada kalian sebelum hal-hal itu terjadi.
290d18006d	Inilah yang akan terjadi setelah masalah itu: ‘matahari akan menjadi gelap, bulan tidak akan bersinar lagi,
290d190050	bintang-bintang akan jatuh dari langit, dan kekuatan surgawi akan terguncang.’
290d1a0082	Pada waktu itu semua orang akan melihat Anak Manusia datang di antara awan-awan, dengan kuasa dan kemuliaan yang besar dari surga.
290d1b00a1	Dia akan mengutus para malaikat, dan mengumpulkan semua orang pilihan-Nya dari mana pun mereka berada, dari bagian terjauh di bumi hingga titik terjauh di surga.
290d1c00a4	Ambil pelajaran dari pohon ara. Ketika ranting-rantingnya sudah menjadi lunak dan tunas-tunasnya mulai mengeluarkan daun, kalian tahu bahwa musim panas sudah dekat.
290d1d0075	Ketika kalian melihat tanda-tanda itu mulai terjadi, kalian harus tahu bahwa waktu kedatangan-Ku kembali sudah dekat!
290d1e005c	Saya katakan yang sebenarnya, generasi ini tidak akan berakhir sampai semua hal ini terjadi.
290d1f0056	Langit dan bumi akan berakhir, tetapi perkataan-Ku tetap berlaku untuk selama-lamanya.
290d200095	Tidak ada yang tahu hari atau jam kapan ini akan terjadi — para malaikat di surga pun tidak tahu, dan Anak pun tidak; hanya Bapa sendiri yang tahu.
290d21006d	Jadi kalian harus berhati-hati, tetap berjaga-jaga dan berdoa! Karena kamu tidak tahu kapan ini akan terjadi.
290d220104	Ini seperti seorang pria yang pergi dalam perjalanan. Sebelum dia meninggalkan rumahnya, dia membagi tugas kepada setiap pelayannya dan menjelaskan tanggung jawab mereka masing-masing. Dia juga menyuruh penjaga pintu untuk menjaga baik-baik sampai dia kembali.
290d2300b5	Jadi tetap bersiap-siap dan berjaga-jaga, karena kamu tidak tahu kapan pemilik rumah akan kembali. Mungkin di sore hari, di tengah malam, sebelum matahari terbit, atau di pagi hari.
290d240047	Jangan sampai waktu pemilik rumah datang, ternyata kalian sedang tidur.
290d250043	Apa yang saya katakan, saya memberitahu semua orang: Perhatikan!”
290e0100b5	Itu dua hari sebelum Paskah dan Pesta Roti Tidak Beragi. Para imam kepala dan para pemimpin agama mencoba mencari cara yang sembunyi-sembunyi untuk menangkap Yesus dan membunuh-Nya.
290e02009d	Lalu kata mereka satu sama lain, “Jangan kita melakukannya selama Paskah berlangsung, karena kalau tidak, orang banyak bisa marah dan membuat kekacauan.”
290e030111	Sesudah itu Yesus dan murid-murid-Nya pergi ke Betania. Mereka makan di rumah Simon si penderita kusta. Waktu itu seorang perempuan datang dengan botol pualam yang berisi parfum narwastu murni yang sangat mahal. Dia memecahkan stoples dan menuangkan parfum ke kepala Yesus.
290e040082	Tetapi ada beberapa orang dari mereka yang ada di sana menjadi kesal dan berkata, “Mengapa memboroskan minyak wangi seperti ini?
290e050075	Itu bisa saja dijual dengan harga yang mahal dan uangnya bisa diberikan kepada orang miskin.” Mereka marah padanya.
290e060082	Tetapi Yesus berkata kepada mereka, “Biarkan dia sendiri! Mengapa kalian tegur dia karena melakukan sesuatu yang baik kepada-Ku.
290e0700a1	Karena kesempatan untuk menolong orang miskin selalu ada, dan kalian dapat membantu mereka kapan pun kalian mau. Tetapi Aku tidak akan selalu ada bersama kalian.
290e080075	Sebenarnya perempuan ini sudah melakukan apa yang dia bisa: dia mengurapi tubuh-Ku untuk mempersiapkan penguburan-Ku.
290e090077	Apa yang Aku katakan ini benar: di mana pun Kabar Baik tersebar di dunia, orang akan mengingat apa yang dia lakukan.”
290e0a008d	Kemudian Yudas Iskariot, salah satu dari dua belas murid Yesus, pergi ke imam-imam kepala dan mengatur untuk menyerahkan Yesus kepada mereka.
290e0b0093	Ketika mereka mendengar ini, mereka sangat senang, dan berjanji akan membayarnya dia. Jadi Yudas mulai mencari kesempatan untuk mengkhianati Yesus.
290e0c00c4	Pada hari pertama Pesta Roti Tidak Beragi, saat domba Paskah dikurbankan, murid-murid Yesus bertanya kepada-Nya, “Guru, di mana Engkau mau kami pergi dan menyiapkan perjamuan Paskah untuk-Mu?”
290e0d0098	Yesus menyuruh dua murid-Nya, dan berkata, “Pergilah ke kota dan di sana kamu akan bertemu dengan seorang laki-laki yang membawa kendi air. Ikuti dia,
290e0e0088	dan ketika dia masuk ke sebuah rumah, tanyakan kepada pemiliknya di mana tempat Aku dan murid-murid-Ku dapat merayakan perjamuan Paskah.
290e0f00b3	Dia akan membawa kalian ke ruang besar di lantai atas yang sudah dilengkapi dengan meja dan perabot lainnya. Kalian dapat membuat persiapan untuk perjamuan Paskah kita di sana.”
290e10007e	Maka kedua murid itu pergi ke kota, dan menemukan hal-hal seperti yang Yesus katakan. Lalu mereka menyiapkan perjamuan Paskah.
290e110041	Pada malam hari Yesus pergi ke sana dengan kedua belas murid-Nya.
290e1200aa	Saat mereka duduk makan, Yesus berkata, “Aku berkata kepada kalian yang sebenarnya: salah satu dari kalian akan mengkhianati-Ku; orang yang makan dengan-Ku sekarang.”
290e130052	Mereka terkejut, dan mereka masing-masing bertanya, “Pasti bukan saya, Yesus?”
290e140063	“Itu salah satu dari Dua Belas, salah satu dari kalian berbagi makanan ini denganku,” jawabnya.
290e1500cc	“Anak Manusia akan mati, seperti yang sudah ditulis dalam Kitab Suci. Tetapi betapa mengerikannya bagi orang yang mengkhianati Anak Manusia! Akan lebih baik bagi dia jika dia tidak pernah dilahirkan.”
290e16009e	Saat mereka sedang makan, Yesus mengambil roti. Dia memberkatinya, dan memberikannya kepada mereka. “Ambil. Ini adalah tubuh saya,” katanya kepada mereka.
290e17006c	Lalu dia mengambil cangkir itu. Dia memberkatinya, dan memberikannya kepada mereka. Mereka semua meminumnya.
290e180069	Kata Yesus kepada mereka, “Inilah darah-Ku, menjadi tanda perjanjian yang dicurahkan bagi banyak orang.
290e190075	Saya mengatakan yang sebenarnya, saya tidak akan minum anggur sampai hari saya meminumnya segar di kerajaan Allah.”
290e1a0062	Lalu mereka menyanyikan lagu pujian kepada Allah, Yesus dan murid-murid-Nya pergi ke Bukit Zaitun.
290e1b00cb	Dalam perjalanan Yesus berkata kepada mereka, “Kalian semua akan meninggalkan-Ku. Karena seperti yang dikatakan Kitab Suci, ‘Aku akan memukul Gembala, dan domba-domba-Nya akan lari tercerai berai.’
290e1c005c	Tetapi sesudah Aku bangkit dari antara orang mati, Aku akan mendahului kalian ke Galilea.”
290e1d006d	Lalu kata Petrus kepada Yesus, “Aku tidak akan meninggalkan Engkau bahkan jika semua orang melakukannya.”
290e1e0096	Yesus menjawabnya, “Aku mengatakan yang sebenarnya bahwa hari ini, malam ini, sebelum ayam berkokok dua kali, kamu akan menyangkal Aku tiga kali.”
290e1f00ac	Tetapi Petrus menjawab lagi dengan tegas dan berkata, “Bahkan jika saya harus mati bersama-Mu, saya tidak akan pernah menyangkal-Mu.” Semuanya mengatakan hal yang sama.
290e200093	Mereka tiba di sebuah tempat bernama Getsemani, di mana Yesus memberitahu murid-murid-Nya, “Duduklah di sini sementara Aku pergi untuk berdoa.”
290e210099	Yesus mengajak Petrus, Yakobus, dan Yohanes ikut bersama-Nya. Dia membawa Petrus, Yakobus, dan Yohanes bersamanya. Dia mulai sangat sedih dan bermasalah.
290e220090	Yesus mengatakan kepada mereka, “Penderitaan saya sangat menyakitkan rasanya seperti saya sekarat. Tolong, tetap di sini dan tetap terjaga.”
290e23008d	Dia pergi sedikit lebih jauh dan kemudian jatuh ke tanah. Dia berdoa, meminta untuk dijauhkan dari waktu yang akan datang, jika memungkinkan.
290e2400bf	Lalu Yesus berdoa, “Abba, Bapa! Engkau dapat melakukan segala sesuatu. Tolong, ambillah cawan penderitaan ini dari-Ku. Tetapi jangan menurut kehendak-Ku, melainkan kehendak-Mu yang jadi.”
290e2500b0	Kemudian Yesus kembali dan menemukan murid-murid-Nya tertidur. Lalu Yesus bertanya kepada Petrus, “Simon, apakah kamu sedang tidur? Tidak bisakah kamu tetap terjaga satu jam?
290e26006f	Tetap terjaga, dan berdoalah supaya kamu tidak jatuh ke dalam godaan. Semangat memang rela, tapi raga lemah.”
290e27004f	Yesus meninggalkan mereka sekali lagi, dan kembali berdoa dengan hal yang sama.
290e28008e	Kemudian Yesus kembali, dan sekali lagi Dia menemukan mereka sedang tidur karena mereka sangat mengantuk. Mereka tidak tahu harus berkata apa!
290e290105	Sesudah itu Yesus kembali untuk ketiga kalinya, dan waktu Dia kembali, Dia bertanya kepada mereka, “Apakah kamu masih tidur? Apakah kamu masih istirahat? Itu sudah cukup, karena waktunya sudah tiba! Lihat, Anak Manusia akan diserahkan ke tangan orang berdosa.
290e2a004e	Bangunlah! Mari kita pergi! Lihat, orang yang menyerahkan Aku sudah datang.”
290e2b00e5	Waktu Yesus masih bicara, Yudas — salah satu dari kedua belas murid-Nya — datang dengan segerombolan orang yang membawa pedang dan pentungan, yang dikirim oleh para imam kepala, pemimpin agama, dan para pemimpin orang Yahudi.
290e2c008f	Sebelumnya Yudas sudah memberitahukan kepada mereka: “Dia yang saya peluk, itulah Yesus. Tangkap Dia, dan bawa Dia pergi dengan penjagaan.”
290e2d0049	Yudas langsung mendekati Yesus dan berkata. “Guru,” lalu memeluk-Nya.
290e2e002d	Dan orang-orang itu langsung menangkap Yesus.
290e2f0087	Tetapi salah satu murid Yesus mengeluarkan parangnya dan menyerang pelayan imam besar, dan memotong salah satu telinganya sampai putus.
290e3000a3	Lalu Yesus berkata kepada mereka, “Apakah kalian pikir Aku ini pemberontak sehingga kalian datang untuk menangkap Aku dengan menggunakan pedang dan pentungan?”
290e3100c4	“Padahal Aku ada di sana bersama kalian, mengajar di rumah Tuhan setiap hari. Mengapa kalian tidak menangkap Aku? Tetapi ini terjadi untuk menggenapi apa yang sudah tertulis dalam Kitab Suci.”
290e32003f	Kemudian semua murid Yesus meninggalkan Dia dan melarikan diri.
290e330052	Salah satu pengikut-Nya adalah seorang pemuda yang hanya mengenakan pakaian linen.
290e340048	Mereka menangkapnya, tetapi dia lari telanjang, meninggalkan pakaiannya.
290e350077	Mereka membawa Yesus ke rumah imam besar tempat semua imam kepala, para pemimpin Yahudi, dan guru-guru agama berkumpul.
290e360091	Petrus mengikuti Yesus dari kejauhan, dan sampai ke halaman rumah imam besar. Dia duduk bersama para penjaga dan menghangatkan diri di dekat api.
290e3700be	Di dalam para imam kepala dan seluruh dewan pemerintahan mencoba mencari cara untuk membuktikan Yesus bersalah supaya mereka bisa membunuh Yesus. Tetapi mereka tidak menemukan bukti apa pun.
