2800000005	Matta
281a13004c	bibei tomange ceu mani kanbo co yii ciyeu, ci yuelagum cari duklume yabkaro.
281a14004f	la ki mee con yii kange bibei tomange ceu kweb cilombo yobeu na ci can cari to.
281a150052	kanbo ci ca cari to tiyeri, con yici, bicom ma yii komti win more kume an miyem ye
281a160049	cin ma fir neorer, cinter meka ceko kiwinti min nyumom ke bomo na teluwe?
281a17004b	la co yii ci, wuro dor kangti kange mo mor kwele wineu co nii a miye yetiye
281a180076	bibwe nifire an u kanbo mulangi dorcereu la kwanco nii kercer ci miye bibwe nii ye tin yor ni conin na cibou co bo di.
281a190053	Yahuda wo a miye co tiyeu me co, ma nii merangka? la con yi co, mon tokum ki bwimi.
281a1a0077	kanbo cica carito tiyeri, Yeecu tu carito yoten bibwiyer an kabkangum. con ne bibei tomange ceu, con tu cam wuro bwimi,
281a1b004d	con tu kwelmwenge, con ma buka kangek co ca nee ciye, yii ci ko nom gwam kume
281a1c0046	won bwiyalemi wo noro ceu wo corena tab ka bwiran kerer nubo kila-kila
281a1d005b	la ma yii komti, mani ma no mwem inabim bo wo ti tak mano kange okm fuije mor liyare Teemi.
281a1e0026	la ci okm nuweu, co ci cu bang jaitune
281a1f0080	la Yeecu yii ci, gwam kume kan kottangi ker mir ki kume wo, wori mulangum mulange. man tumom nii to tiyeu, kwame ten do an yalam
281a200036	la bwiko wo ma kwenunmeri, man yaken ten kumen Galili.
281a210049	Bitru yii co bwentano tangnim bo anyarangum ker mwer di, mi mani ma yarti
281a220068	Yeecu yii co bicom ma yinenti mor kume wo bicake na manb kiyangeri mon yi moki mo nyom yebo kirito ta'ar
281a230077	Bitru yii co, bwentano ma bweya kange mori, mani ma yiti mi ma nyomnenbo la tangunim bi bei tomange cembo tokti nyo ken
281a240073	co Yeecu yaken kange ci fiye wo co tike Getca maniyeu laco yii bi bei tomangeceu ka yim fo miki yankab ma koub dilo
281a250058	con tu Bitru kange bibeyo lo Jabadi yobeu, kange co, con ter bulankako kange tutum nerem
281a26005d	la co yii ci, dumemi ki no mor bulanka wo a lamti ki mo bwareu ka yim for koma corka kange mo
281a2700ad	con kutaken tenkab biduwar la con yarken ki tikob ceb. laco kob dilo con toki, mo Teemi na an mamdi, kweie wo a cum ye, kebo mi a bwang tentiye la an bwanten dike mo cuiyeu.
281a280071	con yila bibei tomang ce nin co fiya ci dam dum lacon yii Bitru mo maka cor ti kange mo bwen na nang kenoko wina?
281a290059	kom cori kom kwob dilo kati ko yarken cuwaka, yuwa tangbe kwama kom ciya, la bwiyo kwambo
281a2a0069	coca yila yobece co kob dilo, con tok mo Teemi nona kwele wo cunin man nocori, be dike mo cuiti ye a mani
281a2b003b	con yilau ten co fiya ci da dumti wori nuwe ciyeu tu'u kabo
281a2c004f	con dubangum ci tak nako ta'areu, co kob dilo ti co tok tika dike kitanca tokeu
281a2d0094	Yeecu yila bi bei tomangkace nin, la con yii ci, ko damdum duwal komti fuobi? koto kwama con dadom, la cin neken bi bwe nifire kange nob bwiran ker.
281a2e0032	ko kwen bi ya to niwo a miye yetiyeu won lambi dom
281a2f0070	kambo co tok keretiyeu, yafuda win mor kwob cilom bo yobeu kange nubo dur nubero. cin bou ki kulenti kange kulki
281a300051	na weu, nii wo amiye Yeecu tiyeu tiibum ci yii ci nii wo ma teiceri co, ko tam co
281a310042	na con bou Yeecu nin con toki, yarume nii merangka laco tei bwiciu
281a32005b	Yeecu yii co, farmi, ma dike mo bo makau, co ci bouwe ciyoti kanko dor Yeecu de laci tamco.
281a330052	la kange, kange Yeecu ter kan ceko coku kulendo cuwalum tu'u canga nii wabe durko,
281a340058	co Yeecu yii ce dokken kulen mwero fiye ce [loco] nubo wo tu kulene di a dwiya kin kulen
281a350073	mo kwatiri mani maco tee mi ti ya, la can tommer dike cum wenange kwob cilombo yobeu wo nob tomangeb cebo wucakkeu?
281a360035	la a ma nyi na bifumero na dim na wo tam nar ma nyeu?
281a370089	la Yeecu yii nubo dim wiyeu, ka bou kin kulen kange kulki bou ko ta ye na nii kwiye? mati yii ma meranti kir-kir kur waber la ka ta yebo.
281a38005b	wo gwam ma nyo na dike nob dukumero na dimla bi bei tomange ceu gwam dubom co cuakkanyi cu.
281a390075	nubo buro ta co Yeecu yaken ki co kayafa nin nii wabe durko, fiye nob muiangkabo kange nubo durko mwerkangum wari yeu
281a3a006b	la Bitru bwang cinen tenti ku tan kange karak nii wabere durko con do ken mor co yii na co to dike a matiye
281a3b0056	na weu laya wabeu kange nob tikali cebo ki to warke cuerker dor Yeecu na ci tualum co.
281a3c003f	la fiya bo win wo. na duwaleu nob warker cwerkero kila bou kab.
281a3d0046	la ciki nii wo ki canwerum kur wabe kwamaro na co muti mor kume ta'ar.
281a3e0058	nii wabe kwen titiye lanme, co, mo man ki diker kar kaka? warke wini ci war ti dor mwere
281a3f0075	la Yeecu kumom. nii wabe durko yii co mo yii nen ti ki nyal kange kwama wo ki dumeu, yii kenon mo kritti bi bwe kwama
281a400075	Yeecu karcenen, mon to kum ki ko kab mon to bi bwenii yim kang ko catiyer bikwanrd, la yiranti dor bi loro dii kwama.
281a41007d	la nii wabe durko worbangum belleceu, ki tok kero bwir, ye bwi bou do nob warker ti dualla? koto na wo kom nuwam kero bwirko.
281a42002b	ye ko kwatiye? cin ciya ciki con daten buar
281a43004e	ci tuom cinen ti bi tom bo tikob, yila cibukten co. ci kwabanco ki kani ceyeu.
281a440037	la ciki, yii bo ker dukumer mo kiritti. we wo kwa nene?
281a450063	la Bitru yim kale mor karake, la bubya kange canga bou cinen yii mo ki no kange Yeecu wo Galiliu”
281a460052	la Bitru kanangum kabum ciyem gwam tokti ki, ma nyombo dike motokker ti dorce reu.
281a47006b	kanbo co cerken nyi lo ko kaleri, kange bubya toco la yii nubo wiyeu, nii wo ken kino kange Yeecu bunajare.
281a480033	yila con kanangum ten kange weri, ma nyom bo nii co
281a490079	kakten nyo bi budar di nubo wo tirangum wiyeu bou yii Bitru, bicom mon wi more ciye ken wori kero mo tok tiyeu nugum nen.
281a4a0054	la con yoten kan cilka kange weri manyombo nii co, ladanjang bi cukeu mob kiya ngeu,
281a4b007c	Bitru kwabi ki kero Yeecu tokeu. bicake na mob kiyangeu mwan kanang ye kiro ta'ar. la con cerken kale cociwiye kefir neerer.
281b01006a	kambo fini celummeri, liya wabe kanga nubo dur nubero cin fuwakang nureu ciya tam Yeecu ti naci twalumceu.
281b020028	cin bwanco, cin neken liya dur ko Bilatu
281b03009e	dila ya fuda niwo nekenceu, kokacito ci war Yeecu nin bolang twal keri in do yiloka-yilotak yila cimen ki nungeu kwini ta'ar durem faricawanin kannge nubo dur
281b040070	yii ki mimmam bwirang ke ma neken buyale wo mabo bwirang keu la cin toki kii, ye yonyo wiye? nuwa ciko dor mwer?
281b050051	dila cutang culom nungemwi bitine ku wabe liyan dob ci, yaken yan yeiken dor cero
281b060044	dila ni durwabero tu culom nungembo yiki, kebo dnggdong mor werfuner
281b070090	la ci fuwakam keroco tibercer, kemero lacin te num ka fiye nii muka tinngek nin yilam fiye tuwe fabube bi ye kenwo mor tinnyere, kemer buyalr ka
281b08003f	won co dike bwici cuo fi coti toti nyii Irimiya di duwenne kowo
281b09007b	dila dike toki nyii Iremiya nii du kumeu diim cin tu culom nungem kwini ta'ar wo fene bibei Iccere, la yo dor ciro nin neu,
281b0a003e	cin neken na tenka bitinek nii tinngeret, nawo kwama yi yeureu
281b0b005f	dila Yeecunti kabum liya durko, liyadurko meco, mun liya yafudawarka? Yeecu ciya, nyoo mwa toke
281b0c0041	dila nob webebbo durko kange nubo durko cin mwelcinen, tokbo ker,
281b0d0043	dila Bilatu yico ki, mwo nuwabo mwelka tinim bowo ci mamen tiye ka?
281b0e0039	dila yicobo ker winwo, dike liya durko nyimanyi kambo ken
281b0f0035	liya durko nyamkang niwin nin nii wo nubo ma dacenneu
281b100036	ki kwama wuro cin wiki kange nii furcina deco Barnaba.
281b110078	la kaci muromere, dila Bilatu yici ki we kom cuiti a nya kumen kannge? Barnaba, kaka a wo ci cuwoti ki Yeecu kiritti ka?
281b120025	wori cin nyimwom cibomkico na kiyerce
281b13007a	kanbo ciyim kutile twomcinen twomange ki, cirom nii wo nin nii manki bwaranke wuro min cokkan mor dukume kambo ken kercer.
281b140077	ki kwwamawo durem liya wabembo kannge nubo durko cin bolum nubo cin yi ki a nyani nen kange Barnaba nin, a twalum Yeecu
281b150042	dila dur liya meci kom cuiti a nya kumen kange? cin yi ki, Barnaba
281b160057	Bilatu yi ci ye ma ma Yeecu ninti woci cuwoti kiritti dila gwamceu cii ciya akulken co.
281b170054	lan yii ci, ye bwiye, bwiran kererde camane? di cin ciya ki diro duro dur, akulkenco
281b1800b3	kambo Bilatu to manica doldiker tiyeri wori kwobkanke atin kweni, duu mwembo nirim kemceko kabum nubem, yiki, mimanki bwiranke dor buyale niwo manki kwirankru komma dike komcuiye.
281b190048	nubo kwarub yiki, dila buyaleceu a yii ken dor nyo kange bi beyo lokyeun
281b1a004b	la nya cinen Banaba dila ma Yeecu nin balyanyeri neken co cinen na yekom co
281b1b006e	la nob dakkeb liya dureko cintu Yeecu cin yaken ciko mor luwe liyako dur, lacin murou tangne nob dukkebo ducce
281b1c0038	cin marancinen meke na nyime ci dokcinen kulendo fiyere.
281b1d00c1	cin me cinen lalam duwek cuakkek cin dok cinenti dorcer, yila cineco dango ciya tam kamce ko cal ciyere cin cunyii kabumce ci ma ci nen buuomti, ci yi ti ki dume mweu akutan nyi liya yafudawar'
281b1e0040	cin tuomcinenti betuombo bwitak, ci yom damngo ci mweco ciko dor
281b1f007c	kam cidim buo kace keri, cin cokum lalango cin dok ci nen kulencero, cin cin ca cin kaba ya ken kica fiye ciya kulen cotiyeu
281b200072	kambo ci ciro kalere, cin kwabti bue ni bakurame kange dencero caminu, woci dokco ayakangeci natum bwatiye kulkake
281b21003e	cin lau fiye kange ci cuotiki goltau, wuro yitiye, kweldu wee,
281b22004e	cine neco mwem mwerum kange dike tweitweyeu naci nom kanbo citwiyeri lako nobo
281b230044	kanbo ci kulken ceri, cin kabkannyum belleceu kimaka dacenek dor cer
281b240017	lacin yiken ci too coti
281b250048	cin mulang dike kange cin yei ci nenti dor cer yiiki wonco liya yafudane
281b260055	cin yenkeco wari kange nob kub nyo yob, win neu kango cacci yerece wneu kango mwokece
281b270025	burombo cutiyeu too co t, fok doroti,
281b280089	laciti tokii, mwo muki mwom wurom lo kwamau yila mu mum mor kume ta'ar fulom dor mwero cile no munbi bwe kwamari yarau cuktom bwatiye nin
281b290056	nyoken durem nob wabebo macinen kange nob mulamgkab kange liyab bo durembo, ciyi tiki,
281b2a0077	fulom kangumbo la fueki fuloka dorek ceko co liya jorilawa. ciya yirau dor cuktum bwatiyem nabi ne bilinke fiye ciwuyeu
281b2b0048	kambo ca ciya kange kwama. kwama a cerco wori cinyi ciki cimbi bwe kwama
281b2c003a	nyo naco nob kubbowo nyo yob ci kulkenci wari yeu ci toce.
281b2d00c6	ki kakukce kumta cileu cumuom bitineu kwarub yalam kene ta'ar na meece. ki kene taareri, Yeecu kun diro kibi kwan yikii, eli-eli lama cabak tani? ki tokki, kwamanin, kwamami, yebwi mu mirannye wiye?
281b2f0046	kanbo birombo timbo dmmen muwari nyeri, lacin yiki, nyi bicuor Iliyaro
281b300067	dangjang dangjang kange woom nacwak yatuu cukko dokti mor munge fuwar dokti dor damge tarcinen ciya nom
281b310039	latangneceu, dubomco nabito keno Iliya anbou na fulomcori
281b32004c	la Yeecu kundiro kibi kwan cii neyee cola nyam kang yuwa tangbek ceko nin ne
281b330065	dila kuwabe kwama woram moro yob tamdi yiraken ciko bitini. bitrneu mikan nyi, bangtinimbo yaranngum,
281b340043	tuwe tinimbo wumangum, birombo wucakkeu darangum dameu cin kunangum
281b350066	cin cirangum mor tuwe tinim kanbo ca kwenum meri, cin doken cinar loro wu cakke cin yau nubo nin kila.
281b360098	ka dur nob dakkebo kange nubo wuro to Yeecu cin cwamtai kibi mikaka bitineko kange diko bwiyeuri, cin cwamtai kibi cuom cin yiki, bilinke wobi bwe kwama
281b370050	na tubo killa wofo Galili birombo bwangten Yeecu naci too ceu cin citi toi kutan
281b380051	morece mar yamu magdaliya, maryamu nee Yeecu kange yucufu, kange nii bibwe zabadi
281b390058	kimeri lani cwekaka ko kange inni armatiya bou, dencoro yucufu cekeneu inni bwanka Yeecu
281b3a003b	ya bilatunin me aneco bwi Yeecu dila Bilatu ne nyaldo aneco
281b3b002e	Yucufu tu bwi Yeecu cumuom ki lalango wucekke,
281b3c004d	la dokkenco mor tuweco ca wobi fwijeu mor la cin tungti tero nyi tuwe co cuwi
281b3d003b	Maryamu Magdaliya kange Maryamu wineu ciyim cunga ko wineri
281b3e0057	cilfiniceu nawo kume yulangka ko cumeu, liya wabe kange faricawa cin muri kange Bilatu.
281b3f005b	cin yiki, tee luwe nyim kwabi ki kwama wo ni bibolero wuro kidu meu toki kii ki kume taardi
281b4000a0	man kwenum nyori ne nyaldo a to tuweti na kume yo bbece kebo nyori nob bwanka cebo anbou kumco, laci yi nubo, in kwennm tuwe. la buoko an la kaba ko ceu bwiraka
281b410040	Bilatu yici kom tu nob to kabo kamma tokako kibi kwan kumer gwam
281b42003b	la ci ya cito tuweti cin cumuom tuweu cin titi to ka kaning
281c010076	ki kume kakuk fobka fiini, dadonm celti na kume winneu mor nibere. maryamu makdaliya kange maryamu, ya naci tuwe Yeecu
281c020060	la bitine muka ducce, wori yuwa tangbe kwama wucake yirau di kwama bou tungum tero, yiti dor cer
281c03002f	yirom cembo na milbangka, la kulen cero na cuno
281c04003b	nubo to tuwe tiyeu cwa tai duccu, cin yilam na bilenti nibe
281c050067	nob tomangem kwama wucake yi natubo wuro ki, kom cware tai min yimom kom ki do Yeecu wo ci yei bwatiyeu
281c060035	mani fo, kwenum na woco tokeu, tofiye teluwe daa wiye
281c070073	kom ya wulom, wulom kiyibi bei tomange ceu, kwenum nin, to wii kakom yakenti Galili ka fiya co firen to min yi kom.
281c08005f	natubo wo wulom-wulom dubom tuweu, ki tai kange for nerero dur, cin cwa na ciyi bi bei tomange.
281c09003b	la Yeecu fiya ci, ci ki yarume natubo bou tam naceko, wabco
281c0a0053	Yeecu yici, kom nuware tai ki ya kom yi yitob mibo ciya yaa Galilin ciya toye firen
281c0b0066	fiye natubo wuro mor yameri. nobo to tuwe tiye doken cinar lor, cin yi liya nob wabeko dike maneugwam,
281c0c006b	nob wabe kwama mwerkangi kange nubo durko, cin tokkan dike wo cange ci, cin ne nob toka tuweko kyemer duccu
281c0d0058	cin yi ci tanne nubeu, be bei tomange ceu bou bon kum bilen cero, fiya cuwo kom da dumti
281c0e004c	tona kero wo lam liya durkori, nyan ken co na daken ki ner cere fiye ki wiye
281c0f0071	nyori nob toka tuwe ko wo yuwo kyemero la cin mani na wo ci yi ciyeu kero wuro wati mor yahudawa yaken ciko duwen
281c10004d	la ci bei tomange kwob culombo wiineu yaken Galili dor bangero Yeecu yi ciyeu
281c11002e	la cin to cori, cin wab co, di kangumbo ciyabo
281c120057	Yeecu bou cinen, yi ci ker ki, bi kwamer liyaret cin neye dii kwama kange dor biitiner.
281c130079	kom ya ki dok nobo a yilam bi bei tomange ka le wo gwam kom yu'u cinen mwem ki den te, kange bwe kange yuwa tangbe wucake
281c140066	kom meran cinen ciya bwangten dikero gwam wo ma yi kom ki nyial leu to mikange kom ya ciko cwile kale.
2a00000004	Luka
2a01010049	Nubo ɗuce wo tum nangen mulangka dor digero wo tim ɗong ɗong more beu,
2a0102004c	Nawo bou binen kang nubo wo kaba tom nuwe kanga nuweu kange cangatini kereu.
2a0103007e	La yilam yarak tak minen wori min fuwam ɗigero wiyak ki kaba, nan mulang mwen ɗigero wo wank ki wank nii la ɗureu Tiyofila.
2a01040034	Nyori na mwi nyimon bilenke dikero ci merang mweneu.
2a01050073	Ki kumeni Hiridu liya Yahuda, nii wabe kange wi dendo Zakariya wo mwanlor Abija; Wice Alicabatu ken naniyak Haruna.
2a0106004d	Gwam ce ci cak-cak ka kwama (ci manki) kurom mor werfun kange bidoti te luwe.
2a01070045	Dila ciman ki bwe wori Alicabatu Combilome, ri cin cirarangum gwance.
2a0108004e	La kambo Zakariya ka kwama ma nangentini nii waberti wo bwangten cokka ce keu.
2a0109008c	Ki nure ciki bwangten de naci cok nii wabe wo a wabtiyeu, la cin cok co ki dajen naci doken mor bi kur wabe Teluwe naci tui nuwanko ficange.
2a010a004c	Mwerka nibe ko gwam kuob dilo ti kale ki kwama wo nuwanko ficangeu tui tiye.
2a010b0045	La bwetomange Teluweu cer cinen lan tiken cattiyer tancilan ficanger.
2a010c002e	Kambo Zakariya toceri, kwomco, la taito tanco.
2a010d0085	Dila bwe tomange kwama yico “Cuware tai Zakariya, wori cin nuwam dilo mweu. Wi mwe Alicabatu an bo mwen bwe. Mwi Co dencero Yowana.
2a010e004d	Mwan yikam ki bilangtum kange fuwor nere, la nubo kila a bilangti ki borcere.
2a010f0096	Wori Canyi lan ki dur kabuni Te-luwe. Mani co no mwem bi tuittuibti kaka diker no karo kwam kwame, Catin din ki yiwa tangbe ko wucakeu mor fwiye nece.
2a0110003b	Naniyak Iciraila ko duce wo a yila cuko Teluwe kwama Cenen.
2a011100bc	Can ya kabum Teluwe mo yu wa tangbo kange bikwan Iliyak, Na yilau ki ner tebembo bibeyo nen kange wo bongi nyeu na ya mor nyomka cak-cake -na ci Ywel te luwe nin nubo wo ci cok cineneu.”
2a0112005a	Zakariya yi Bwetanange wucake “Ma nyom dike wo nyi? wori min cele ri wimi coro kilam”.
2a01130080	Nii tomangeu wucakeu Ciya yicoki “Mo Jibrai'lu, wo tire kabum kwamau. Cin tomu ye nami yinen ker, nan bo mwen ki kero lomlome.
2a0114009f	La to! Mwan yilam cōk, mani mwa dol tokka kere ti, dila diya dikero buro dimmeri ntimade. Wori mwi nebo bilenker ker miro nin, wo a diiti ki kwama dong-donge
2a0115004d	La nubo ningtang Zakariya ti. Cin nyimangi wori cinti lenger mor bikur waber.
2a011600a1	Dila ki kwa'ma ci ceruweri, dolbo yici ker. La ciin nyimom ki cin to dukum ki kwamawo ci mor bikur-wabereu. La cin nungkancinen ti ki kank worimani citok ker ti.
2a01170038	La yilam kambo kumeni nanger cero cume ri, cin cu lo co.
2a01180067	Kambo kume ni wo cumeri, wice Alicabatu tum fwer la cin yu rangum dorceri na cuwako nunge ce. Cin yiki,
2a01190057	“Wo lo diker kwama mamene kambo ci toye ki corciniyeu, naci tum kwenduwe miu ka nobe.
2a011a0061	Ki ciwako nukkune, kwama tom nii tomange wuccake Jibrailu mor Cinanlor Galili ci coti ki Nazaret,
2a011b005f	bubiya nin wo cine ken nii kange wo den cero Yucufu, wo naniyak Dauda, la bubiya dendo Maryamu.
2a011c0052	Cin bow Cinenri ciki, “A Ysrumnen, mo wo fiya cini ducce! Teluwe wi kange mo”.
2a011d003d	La cin kulongum duce, ki kercero la cin kwabi, ya rume ye wo.
2a011e0052	Bwe tomange wuccake yicoki, “Cuware tai, Maryamu, wori mwin fiya cini kwama nin.
2a011f003b	To, mwan tu fwed ri na mwi bo bwe. Mwa cun den cero 'Yecu'.
2a01200066	Can yilam nii dur la ci cuu ki Bibwe nii dur re. Teluwe kwama atin ne co kuti le liyare Tekwace Dauda.
2a0121003b	Can ma liyar dor lo Yakubu diiri, Liyar cero manki dika”.
2a0122005c	Maryamu me bibwetomange wuccake ki; “Dike wo a bwinyi la mi nyumumbo nii na bare wiyeu?”
2a012300a5	Bibwe tomange kwaama ciya ri yi co ki, “Yuwa tangba kwamako an bow mwinen, ri bi kwan nii dur reu atin bow dor mwer. La wucakke wo mwi bo tiyeu a coki Bibwe kwama.
2a01240070	To, na niya mweko Alicabatu tu fwer ki ciraka ceko. Wo co cuwiyak ceko mukkune, co wo no ci cuoti ki combilomeu.
2a01250031	Di kero kange mani wo mani a mati kabum kwama”.
2a0126006a	Maryamu yi ki, “To, min bubiya canga kwama. A yila men na tomange meu”. Dila bwe tomange kwama dob co.
2a0127005e	Dila Maryamu kweni ki kume tini co wulom wulom yaken mor bi ten kongtini, yaken bi ten Yahuda.
2a01280034	Ciin yaken mor luwe Zakariya ri cin yarum Alicabatu.
2a0129006e	Yilam kambo Alicabatu nuwa yarume Maryamu ri bwe mor fwe ce mokangi la Alicabatu diim ki yuwa tangbako wucake.
2a012a006a	Ciin kung dir cero kibi kwan ciki, “Mwin nii bi bwiyere mor natube, ri nii bwiyere bwe wo mor fwiye meu.
2a012b0038	Ye bwi wo fiya yenye, la ne Te luwe mi a bou ti mi nene?
2a012c0036	La ta kambo diir yaru mer mwero bou tu miyeri bwe fwe.
2a012d0058	Nii bi bwiyere co nawiye wo ne bilenke ki digero wo ciyi co fiye kwama wiye atin dii me.
2a012e0028	Maryamu yiki “Dume miu caklang Te luwe
2a012f0033	re, yuwa tangba miu bilangi kwama nii cyer yerenin.
2a01300065	Wori cin to cukka dorek bubiya canga ce. La to, nawo kange kab kaltini gwam a co yeki nii bi bwiyere.
2a01310040	Wori co, wo nii bi kwaneu, ma men digero dur, la den cero wucak.
2a01320046	Jire duwe ceu tii nyo kal ya ciko kaleu ki buro wo nuwa taicero tiyeu.
2a0133005f	Cin nung bi kwancero ki kank cek, cin yalum buro ki kunka duwek keu ki dike ci kwati neer cere.
2a0134004b	Cin cukkangum bi bei liyabbe dor kutile cero nin, la cin kungum nob fuebbo.
2a01350057	Cin cam ki nob wurabbo ki diketi no ken, dila nubo cuwe cuweu cin yoken ci kang kwicer.
2a01360045	Cin ne canga ce Iciraila tikali, nyori naci kwabi naci nung jire duwe
2a0137003c	(Nawo ci yi tebbe beu) ciyi Ibrahim kange naniyak ceke diri.
2a0138003d	Maryamu yi kange Alicabatu cuyako ta'ar ri cin yilaken lo co.
2a01390042	La kwama bou na Alicabatu a bom bwi bwece, la cin bou bwe bwayile.
2a013a006e	Nubo bi dom kange ca kange na niyak ceko nuwa ki kwama nung cinen Jire duwe ce durko, la cin bilangi kange co.
2a013b0067	La yilam ki diye naruberi cin bow naci mwatum lar bwero. Ciikin cuom co “Zakariya”, na den te cero.
2a013c0033	Dila neele ciya ki o, onga. “A cuoco ki Yuwana”
2a013d0047	Cin yicoki, “Nii kange man mor naniya kumek wo cico tiki dendo we”.
2a013e003a	Cin nung tece ninki kang kambo ci cuiti naci ne co dendeu.
2a013f0068	Tece me ci ya neco ter mulankar la cin mulangi, “Den cero Yohanna”. Cin nyimangi gwam dor dikero wo.
2a01400061	Dangjang dangjang nyi ceu wumom ri la biyen cero fiya cyer ka. cin tok ker la cin cak lang kwama.
2a01410057	Taito bou dor nubo gwam wo yim Cunga cekeu. Kerowo yalati gwam mor biten kongni Yahuda.
2a01420070	Nubo gwam wo nuwa ri, yoken mor nere ce, tokti ki “La ye bwewo a yila tiye?” La kang Te luwe ko wi kange co.
2a01430043	Tece Zakariya diim ki yuwa tangbe ko wuccake la tok ker dukumer, ki
2a01440061	“Caklanka fiye Teluwe wiye, kwama Iciraila, cin bow naci ma tikali la cinma nob cebo nin cerka.
2a0145002d	Cin kung binek cume fuloka lo canga ce Dauda,
2a0146002d	(nawo ci tokki nyi nob tomange ceu kwattiye),
2a0147002f	fuloka nob kiyeb beu kange nubo wo kwerbo nyeu.
2a01480050	Can ma wuro naci nung, tebbe bo nin jire duwe ri la naci kwa nor cero wucak keu,
2a0149001c	weri wo ci yii tebo Ibrahim.
2a014a0063	Cii weri naci nebo co kambo ci cokum bo kange nob kiyeb bekeri, nabi bwangci nenten kibi kwan neret
2a014b0045	mor wucakke kange cak-cake kabum cem ki kumetinibeu kale we nin gwam.
2a014c0091	O, kange mo, bwe, ciya co nen ki bwe tomange nii durre, la mwan yaken kabum tikobe Te-luwe ri na mwi ywel nure ceu, na mwi ywel nubo ki boka ceko
2a014d003c	na ne nob cebo nyom ka fulokak ki tab ka bwirank kerer cero.
2a014e0065	Wo an bwi wori jire duwe kwama beu duwi kabo, wo kercer di filango ceru dii yeu atin bou na tikangbo,
2a014f007b	na ne filang ki nubo wo yim kumta cilenen kange kakulok bwareke. Ca tin ma wuro na bwangten ki nabe ko mor nure lima nereke
2a01500075	La bweu dwi la yilam ki bi kwan mor yuwa tangba, la ciki no mor yere na nyimde diye ci ter cerkako yanglang Iciraila.
2a02010064	La ki kumetini co, kaicar Augusta tung tomange cin toki ciki a kiyeu nubo gwam wo yim dor bitinereu.
2a02020041	Won co kiye ka kaba maneu ki kwama wo kiriyuc ma liyar ti curiya.
2a0203003f	La nubo gwam yarangen cinanlor cer naci mulangum ki kiye kakor.
2a02040084	Yucufu ken kwenu Galili wo mor cinanlor Nazaret la cin yaken Yahuza, cinanlor Dauda, wo cuoti Baitalomi, wori ciki no naniyak Dauda.
2a0205004a	Cin yaken wi naci mulangum dercero kange Maryamu wo ci bob beu la ki fwer.
2a02060037	La kambo ci wi ye ri, kwama lam wo ci bom bwe tiye lam.
2a0207007b	Cii bo bwe bibare, bwe kaba ce, la cin kwomum co ki yilang ko cuwe mer la yoken co mor tokum nennem wori ci man ki fiye wi.
2a02080051	La nob biyuwareb bo wi cungako co ci dami ner bitibere to bi cir cero ti ki kume.
2a02090063	Bwe tomange Te luweu cer cinen, la duktangka Te luwek ko tebum cunga ceko, la cin dim ki tai ducce.
2a020a007a	Dila Bwe tomange kwama yici “Ko cuware tai, wori mi bo kumen ki kero ken wo a bou hi ki fuwor nerero dur nubo nin gwame.
2a020b0047	Duwen cin bo kimen nii fuloka mor cinan lor Dauda! Cin Kiritti Te luwe!
2a020c005e	Wo co yirombo wo ci nekom tiye, kam fiya bweu kumon mor yilango cuwemer, yom mor tokum nennem.
2a020d0056	Dangjang ri bwe tomange kwama kange mwer kamka dur ko dii kwa'ma caklang kwama ti ciki
2a020e0058	“Duktanka ki kwama firen dii, rila fuwor nere a fiya tiber nubero co (Kwama) ciyacike.
2a020f00b1	La yilam kambo bi bei tomange kwama dubom ci yilaken dii lo kwamari, nob bi warebbo yi bwiti ci, “na weu ko biya Baitalami nabi to dikero wo bwiyeu, wo Teluwe nung bi neneu”
2a02100056	cin cu wulom-wulom wii dila cin fiya Maryamu, Yucufu kange bwe fiyerko dam mor tokume.
2a02110045	Kambo ci tom ceri, cin yi nubo dikero cii yi cii dor bwe fiyerko weu.
2a02120042	Gwam wo nuwari, ma nyimanka dor dikero nob bi yuwarebbo yi ci yeu.
2a02130049	Dila Maryamu ki bulangi dor digero ci nuwa gwam, la cin yoken mor nerece.
2a02140082	Nob bi yuwarebo yilaken ci duktangi ri ci caklank kwama ti ki dikero gwam woci nuwau kange wo ci toweu dong-dong nawo ci yi ciyeu.
2a02150082	Kambo kume narube dimeri, fiyaco ci biye cinen lareu cin ne co dendo Yecu, dendo bwe tomange kwama ne na nyinde cii tu fwer cereu.
2a0216007b	Kambo kumeni wucakeu ce cumeri, na wo mor wer fun mucaro, ciin bou ki co bikur waber mor Urucalima naci neken co kwama nin.
2a02170066	Nawo mulangum mor werfun Te luwe “Gwam bwe kabo wo bwayileri, atin cokum co ki dimen, cina kwama ce.
2a02180060	La cin ma wabka nawo ci toki mor werfun Te luwe re, “nagum fe yob kakaa kalti nawurmero yab”
2a021900a7	La Nii kange wi Urucalima wu dencero cimon ne, ni wo cak cak laci ne dor bwanka kwama. Ciki ningtan nii a bii Iciraila nin neer tiye, la yuwa kange kwamak wi kange co.
2a021a0055	La yuwa tangbe kwamako nungcine ki mani ci bwiyati ne citom Kiritti Teeluweri nyinde.
2a021b0079	La yuwa tangbe kwamako ya ki co mor bi kur waber. Kambo Teb bwe fiyerko Yeco bou kice, naci macinen nawo werfundo nungeu,
2a021c002e	cin tu beu kangcek ri cin caklang kwama, ciki,
