010000000d	1 Mojžišova
0a031c0081	To když potom David uslyšel, řekl: Čist jsem já i království mé před Hospodinem až na věky od krve Abnera syna Nerova.
0a031d00e3	Nechať přijde na hlavu Joábovu i na všecken dům otce jeho, a nechť není prázden dům Joábův toho, jenž by trpěl tok, aneb malomocného a na hůl se podpírajícího, aneb padajícího od meče a nemajícího chleba.
0a031e006f	A tak Joáb a Abizai bratr jeho zamordovali Abnera, proto že byl zabil Azaele bratra jejich v Gabaon v bitvě.
0a031f00a7	I řekl David Joábovi a ke všemu lidu, kterýž byl s ním: Roztrhněte roucha svá, a přepašte se pytli, a plačte před Abnerem. Král pak David šel za márami.
0a0320007b	A když pochovávali Abnera v Hebronu, pozdvih král hlasu svého, plakal nad hrobem Abnerovým, plakal také všecken lid.
0a03210076	V tom naříkaje král pro Abnera, řekl: Tak-liž jest měl umříti Abner, jako umírá nějaký ničemný člověk?
0a032200ba	Ruce tvé nebyly svázány a nohy tvé měděnými poutami nebyly sevříny, ale padl jsi jako ten, kdož padá od lidí nešlechetných. Tedy ještě více všecken lid plakal nad ním.
0a032300e4	Potom přišel všecken lid, a měli k tomu Davida, aby jedl chléb ještě záhý. Ale David přisáhl, řka: Toto ať mi učiní Bůh a toto přidá, jestliže prvé, než slunce zapadne, okusím chleba aneb čehokoli jiného.
0a03240068	Což když poznal všecken lid, líbilo se jim to; a všecko, což činil král, líbilo se všemu lidu.
0a0325006c	I poznal všecken lid a všecken Izrael v ten den, že nepošlo to od krále, aby zabili Abnera syna Nerova.
0a03260061	Řekl pak král služebníkům svým: Nevíte-liž, že kníže, a veliké, padlo dnes v Izraeli?
0a032700ac	A já ještě nyní mdlý jsem, jakožto pomazaný král, muži pak tito, synové Sarvie, jsou mi nepovolní. Odplatiž Hospodin tomu, kdož zle činí, vedlé zlosti jeho.
0a0401007c	A když uslyšel Izbozet syn Saulův, že umřel Abner v Hebronu, zemdlely ruce jeho, a všecken lid Izrael byl předěšen.
0a040200ba	Měl pak syn Saulův dva muže hejtmany nad dráby, jméno jednoho Baana, a jméno druhého Rechab, synové Remmona Berotského z synů Beniamin; nebo i Berot počítá se v Beniaminovi.
0a0403004c	Utekli pak byli Berotští do Gittaim, a byli tam pohostinu až do toho dne.
0a040400fe	Měl také byl Jonata syn Saulův syna chromého na nohy, (nebo když byl v pěti letech a přišla pověst o Saulovi a Jonatovi z Jezreel, vzavši ho chůva jeho, utíkala, a když pospíchala utíkajici, on upadl a okulhavěl), jehož jméno Mifibozet.
0a0405007f	A odšedše synové Remmona Berotského, Rechab a Baana, vešli o poledni do domu Izbozetova. On pak spal na lůžku poledním.
0a0406007c	A aj, když vešli až do domu, jako by bráti měli obilé, ranili ho v páté žebro, Rechab a Baana bratr jeho, a utekli.
0a040700bd	Nebo když byli vešli do domu, a on spal na lůžku svém v pokojíku svém, kdež léhal, probodli jej a zabili, a sťavše hlavu jeho, vzali ji, a šli cestou po pustinách celou tu noc.
0a040800e5	I přinesli hlavu Izbozetovu k Davidovi do Hebronu a řekli králi: Aj, hlava Izbozeta syna Saulova, nepřítele tvého, kterýž hledal bezživotí tvého. Hle, pomstil dnes Hospodin pána mého krále nad Saulem i semenem jeho.
0a040900a7	Tedy odpovídaje David Rechabovi a Baanovi bratru jeho, synům Remmona Berotského, řekl jim: Živť jest Hospodin, kterýž vysvobodil duši mou ze všech úzkostí,
0a040a00cf	Kdyžť jsem toho, kterýž mi oznámil, řka: Aj, Saul zahynul, (ješto se jemu zdálo, že veselé noviny zvěstuje,) vzal a zabil jsem ho v Sicelechu, jemuž se zdálo, že ho budu darovati za poselství:
0a040b00c2	Čím pak více lidi bezbožné, kteříž zamordovali muže spravedlivého v domě jeho na ložci jeho? A nyní, zdaliž nebudu vyhledávati krve jeho z ruky vaší, a nevyhladím vás z země?
0a040c00be	I rozkázal David služebníkům, aby je zbili. I zutínali jim ruce i nohy jejich, a pověsili u rybníka při Hebronu. Hlavu pak Izbozetovu vzavše, pochovali v hrobě Abnerově v Hebronu.
0a0501007a	Tehdy přišla všecka pokolení Izraelská k Davidovi do Hebronu, a mluvili, řkouce: Aj, my kost tvá a tělo tvé jsme.
0a050200cf	A předešlých časů, když byl Saul králem nad námi, ty jsi vyvodil i zase přivodil lid Izraelský. A nadto řekl Hospodin tobě: Ty pásti budeš lid můj Izraelský, a ty budeš vývoda nad Izraelem.
0a050300ac	Přišli také všickni starší Izraelští k králi do Hebronu, a učinil s nimi král David smlouvu v Hebronu před Hospodinem. I pomazali Davida za krále nad Izraelem.
0a05040054	Ve třidcíti letech byl David, když počal kralovati, a kraloval čtyřidceti let.
0a05050087	V Hebronu kraloval nad Judou sedm let a šest měsíců, a v Jeruzalémě kraloval třidceti a tři léta nade vším Izraelem a Judou.
0a050600c4	Táhl pak král s lidem svým k Jeruzalému proti Jebuzejskému, obyvateli té země; kterýž mluvil Davidovi, řka: Nevejdeš sem, leč odejmeš slepé a kulhavé, pravíce: Nevejdeť sem David.
0a05070038	A však vzal David hrad Sion, toť jest město Davidovo.
0a050800e6	Nebo řekl David v ten den: Kdož by koli porazil Jebuzea, a zlezl by žlaby jeho, a pobil by ty slepé i chromé, kteréž má v nenávisti duše Davidova, knížetem bude. Protož pravili: Slepý a kulhavý nevejde do toho domu.
0a05090077	I bydlil David na tom hradě, a nazval jej městem Davidovým; nebo vystavěl je David vůkol od Mello až do vnitřku.
0a050a0065	A tak David čím dále tím více prospíval a rostl, Hospodin zajisté, Bůh zástupů, byl s ním.
0a050b0097	Poslal také Chíram král Tyrský posly k Davidovi a dříví cedrového, i tesaře, kameníky a zedníky umělé, kteříž vystavěli dům Davidovi.
0a050c007b	I poznal David, že ho potvrdil Hospodin za krále nad Izraelem, a že zvýšil království jeho pro lid svůj Izraelský.
0a050d0093	Nabral pak sobě David ještě více ženin i žen z Jeruzaléma, když byl přišel z Hebronu, a naplodilo se Davidovi ještě více synů a dcer.
0a050e0066	A tato jsou jména těch, kteříž se jemu zrodili v Jeruzalémě: Sammua, Sobab, Nátan a Šalomoun;
0a050f0027	Též Ibchar a Elisua, a Nefeg a Jafia;
0a0510001e	A Elisama a Eliada a Elifelet.
0a051100ae	Uslyšavše pak Filistinští, že pomazali Davida za krále nad Izraelem, vytáhli všickni Filistinští hledati ho. Což když zvěděl David, sstoupil na místo hrazené.
0a05120041	Protož Filistinští přitáhše, položili se v údolí Refaim.
0a051300b9	Tedy tázal se David Hospodina, řka: Potáhnu-li proti Filistinským? Vydáš-li je v ruku mou? Odpověděl Hospodin Davidovi: Táhni, neboť vydám jistotně Filistinské v ruku tvou.
0a051400bb	I přitáhl David do Balperazim, a porazil je tam, a řekl: Protrhlť jest Hospodin nepřátely mé přede mnou, jako vody protrhují břehy. Protož nazval jméno místa toho Balperazim.
0a05150043	Nebo zanechali tu rytin svých, kteréž pobral David i muži jeho.
0a05160048	Opět znovu vytáhli Filistinští, a rozprostřeli se v údolí Refaim.
0a0517007c	I tázal se David Hospodina. Kterýž odpověděl: Netáhni, ale obejda je po zadu, teprv dotřeš na ně naproti moruším.
0a0518008c	A když uslyšíš, že šustí vrchové moruší, hneš se také; nebo tehdáž vyjde Hospodin před tebou, aby zbil vojska Filistinských.
0a0519006e	I učinil David tak, jakž mu přikázal Hospodin, a porazil Filistinské od Gabaa, až kudy se jde do Gázer.
0a06010044	Tedy sebral opět David výborného lidu z Izraele třidceti tisíc.
0a060200c3	A vstav, šel David i všecken lid, kterýž byl s ním, z Bála Judova, aby přinesli odtud truhlu Boží, při kteréž se vzývá jméno, jméno Hospodina zástupů, sedícího nad cherubíny.
0a060300a0	I vstavili truhlu Boží na nový vůz, vzavše ji z domu Abinadabova, kterýž byl na pahrbku. Uza pak a Achio, synové Abinadabovi, spravovali ten vůz nový.
0a06040072	A tak vzali ji z domu Abinadabova, kterýž byl na pahrbku, jdouce s truhlou Boží; Achio pak šel před truhlou.
0a060500a5	Ale David i všecken dům Izraelský hrali před Hospodinem na všelijaké nástroje z dříví cedrového, totiž na harfy, loutny, bubny, husličky, a na cymbály.
0a06060076	A když přišli k humnu Náchonovu, vztáhl ruku svou Uza k truhle Boží a pozdržel jí, nebo uchýlili se volové.
0a06070069	Protož rozhněval se Hospodin na Uzu, a zabil ho Bůh pro neprozřetelnost; i umřel tu u truhly Boží.
0a0608007f	Tedy zkormoutil se David, proto že se Hospodin tak přísně obořil na Uzu. I nazváno to místo Peres Uza až do tohoto dne.
0a0609005b	A boje se David Hospodina v ten den, řekl: Kterakž má vjíti ke mně truhla Hospodinova?
0a060a0092	Pročež David nechtěl přenésti k sobě truhly Hospodinovy do města svého, ale způsobil to, aby se obrátila do domu Obededoma Gittejského.
0a060b0081	I pobyla truhla Hospodinova v domě Obededoma Gittejského za tři měsíce, a požehnal Hospodin Obededomovi i všemu domu jeho.
0a060c00d1	V tom povědíno jest králi Davidovi, že požehnal Hospodin domu Obededomovu i všemu, což má, pro truhlu Boží. Tedy odšed David, přenesl truhlu Boží z domu Obededomova do města Davidova s veselím.
0a060d006c	A když poodešli ti, kteříž nesli truhlu Hospodinovu, na šest kroků, obětoval voly a tučný dobytek.
0a060e005a	David pak poskakoval ze vší síly před Hospodinem, a byl oblečen David v efod lněný.
0a060f0063	A tak David i všecken dům Izraelský provázeli truhlu Hospodinovu s plésáním a zvukem trouby.
0a061000d6	Stalo se pak, když truhla Hospodinova vcházela do města Davidova, že Míkol dcera Saulova vyhlídala z okna, a viduci krále Davida plésajícího a poskakujícího před Hospodinem, pohrdla jím v srdci svém.
0a061100b6	A když přinesli truhlu Hospodinovu, postavili ji na místě jejím u prostřed stanu, kterýž jí byl David rozbil; a obětoval David před Hospodinem oběti zápalné i pokojné.
0a0612007d	Zatím když přestal David obětovati obětí zápalných a pokojných, dal požehnání lidu ve jménu Hospodina zástupů.
0a061300ce	Dal také všemu lidu a všemu množství Izraelskému, od muže až do ženy, jednomu každému jeden pecník chleba a kus masa, a vína láhvici jednu. I odšel všecken lid, jeden každý do domu svého.
0a0614010c	Potom navracoval se David, aby dal požehnání domu svému. I vyšla Míkol dcera Saulova vstříc Davidovi, a řekla: Jak slavný byl dnes král Izraelský, kterýž se odkrýval dnes před děvkami služebníků svých, tak jako se odkrývá jeden z lehkomyslných!
0a061500dd	I řekl David k Míkol: Před Hospodinem, (kterýž mne vyvolil nad otce tvého a nad všecken dům jeho, přikázav mi, abych byl vývodou lidu Hospodinova, totiž Izraele,) plésal jsem a plésati budu před Hospodinem.
0a061600a4	Anobrž čím se ještě více opovrhu nežli tuto, a ponížím se u sebe sám, tím i u těch děvek, o nichž jsi mluvila, i u těch, pravím, slavnější budu.
0a0617004c	Protož Míkol dcera Saulova neměla žádného plodu až do dne smrti své.
0a07010079	I stalo se, že když král seděl v domě svém, a Hospodin jemu dal odpočinutí vůkol přede všemi nepřátely jeho,
0a0702007a	Řekl král Nátanovi proroku: Pohleď medle, já bydlím v domě cedrovém, truhla pak Boží přebývá mezi kortýnami.
0a0703005a	I dí Nátan králi: Cožkoli jest v srdci tvém, jdi, učiň, nebo Hospodin s tebou jest.
0a07040040	Potom té noci stalo se slovo Hospodinovo k Nátanovi, řkoucí:
0a07050081	Jdi a pověz služebníku mému Davidovi: Takto praví Hospodin: Zdaliž ty mi stavěti budeš dům, v kterémž bych přebýval?
0a070600a5	Poněvadž jsem nebydlil v domě od toho dne, jakž jsem vyvedl syny Izraelské z Egypta, až do dne tohoto, ale přecházel jsem s stánkem a příbytkem sem i tam.
0a070700e6	Nadto kudyž jsem koli chodil se všechněmi syny Izraelskými, zdali jsem jedno slovo řekl kterému z soudců Izraelských, kterémuž jsem přikázal pásti lid svůj Izraelský, řka: Proč jste mi neustavěli domu cedrového?
0a070800ab	Protož nyní toto díš služebníku mému Davidovi: Takto praví Hospodin zástupů: Jáť jsem tě vzal z ovčince od stáda, abys byl vývodou lidu mého Izraelského.
0a070900c2	A býval jsem s tebou všudy, kamž jsi koli se obracel; všecky také nepřátely tvé vyhladil jsem před tváří tvou, a učinil jsem tobě jméno veliké, jako jméno vyvýšených na zemi.
0a070a00b8	Způsobím tolikéž místo lidu svému Izraelskému, a vštípím jej, a bydliti bude v místě svém a nepohne se více, aniž ho budou více trápiti lidé nešlechetní jako prvé,
0a070b00cf	Hned od toho dne, jakž jsem ustanovil soudce nad lidem svým Izraelským, až jsem teď dal odpočinutí tobě přede všemi nepřátely tvými. Přesto oznamujeť Hospodin, že on sám tobě dům vzdělá.
0a070c0094	Když se vyplní dnové tvoji, a usneš s otci svými, vzbudím símě tvé po tobě, kteréž vyjde z života tvého, a utvrdím království jeho.
0a070d0054	Onť ustaví dům jménu mému, a já utvrdím trůn království jeho až na věky.
0a070e007c	Já budu jemu otcem, a on mi bude synem. Kterýž když zhřeší, trestati ho budu metlou lidskou a ranami synů lidských.
0a070f0077	Ale milosrdenství mé nebude odjato od něho, tak jako jsem je odjal od Saule, kteréhož jsem zahnal od tváři tvé.
0a07100074	A tak utvrzen bude dům tvůj a království tvé až na věky před tebou, a trůn tvůj bude stálý až na věky.
0a07110058	Vedlé všech slov těchto, a podlé všeho vidění tohoto, tak mluvil Nátan Davidovi.
0a0712009b	Tedy všed král David, posadil se před Hospodinem a řekl: Kdo jsem já, Panovníče Hospodine, a jaký jest dům můj, že jsi mne přivedl v ta místa.
0a071300b7	Nýbrž ještěť se to málo vidělo, Panovníče Hospodine, že jsi také mluvil i o domu služebníka svého na dlouhé časy, ješto jest to povaha lidská, Panovníče Hospodine.
0a0714006e	Ale což již více má mluviti David před tebou? Však ty znáš služebníka svého, Panovníče Hospodine.
0a07150073	Pro slovo své a podlé srdce svého činíš všecky tyto věci veliké, v známost je uvodě služebníku svému.
0a071600a5	(Protož zveleben jsi Hospodine Bože, nebo není tobě rovného, anobrž není žádného Boha kromě tebe,) podlé toho všeho, jakž jsme slýchali ušima svýma.
0a07170133	Kdo tedy jest jako lid tvůj, jako Izrael, který národ na zemi, jehož by Bůh šel, aby jej sobě vykoupil za lid, a dobyl sobě jména, a učinil tobě, ó Izraeli, tyto veliké věci a hrozné v zemi tvé, před oblíčejem lidu svého, kterýž jsi sobě vysvobodil z Egypta, z pohanstva bohů jejich?
0a0718006c	A vzdělal jsi sobě lid svůj Izraelský, sobě v lid až na věky, a protož, Hospodine, jsi jejich Bohem.
0a07190098	Nyní tedy, Hospodine Bože, slovo to, jímž jsi se zamluvil služebníku svému a domu jeho, naplniž je až na věky, a učiň tak, jakž jsi mluvil,
0a071a00c1	Tak aby zvelebováno bylo jméno tvé až na věky, když se říkati bude: Hospodin zástupů jest Bůh nad Izraelem, a dům služebníka tvého Davida aby byl stálý před oblíčejem tvým.
0a071b00c5	Nebo ty, Hospodine zástupů, Bože Izraelský, zjevil jsi mně služebníku svému, řka: Dům ustavím tobě. Protož usoudil služebník tvůj v srdci svém, aby se modlil tobě modlitbou touto.
0a071c008a	A tak již, Panovníče Hospodine, ty sám jsi Bůh, a slova tvá jsou pravda, jimiž jsi zaslíbil služebníku svému dobré věci tyto.
0a071d00d0	Již tedy rač požehnati domu služebníka svého, aby trval na věky před oblíčejem tvým. Nebo ty jsi, Hospodine Bože, mluvil, že požehnáním tvým požehnán bude dům služebníka tvého na věky.
0a0801006c	Stalo se potom, že porazil David Filistinské, a zemdlil je; i vzal David Meteg Amma z ruky Filistinských.
0a080200d7	Porazil také Moábské a změřil je provazcem, na zemi je rozprostíraje; a odměřil jich dva provazce k zbití a celý provazec k živení. I učiněni jsou Moábští Davidovi služebníci, a dávali jemu plat.
0a08030081	Porazil též David Hadadezera syna Rohobova, krále Soba, když byl vytáhl, aby rozšířil končiny své až k řece Eufraten.
0a080400b6	A pobral mu David tisíc vozů a sedm set jezdců, a dvadceti tisíc mužů pěších, a zpodřezoval David žily všechněm koňům vozníkům; toliko zanechal z nich ke stu vozům.
0a08050084	Přitáhli pak byli Syrští od Damašku na pomoc Hadadezerovi králi Soba, ale David porazil z Syrských dvamecítma tisíc mužů.
0a0806009e	Tedy osadil David stráží Syrii Damašskou, a byli Syrští služebníci Davidovi, dávajíce plat; nebo zachovával Hospodin Davida, kamžkoli se obrátil.
0a0807006a	Pobral také David štíty zlaté, kteréž měli služebníci Hadadezerovi, a přinesl je do Jeruzaléma.
0a08080056	Z Betach též a z Berot, měst Hadadezerových, nabral král David velmi mnoho mědi.
0a08090050	A když uslyšel Tohi král Emat, že porazil David všecko vojsko Hadadezerovo,
0a080a0129	Poslal Tohi Jorama syna svého k králi Davidovi, aby ho pozdravil přátelsky, a spolu s ním se radoval z toho, že šťastně bojoval s Hadadezerem, a porazil ho; (nebo Hadadezer vedl válku proti Tohi). Kterýžto přinesl s sebou nádoby stříbrné, též nádoby zlaté a nádoby měděné.
0a080b0072	Ty také obětoval král David Hospodinu s stříbrem a zlatem posvěceným ze všech národů, kteréž podmanil,
0a080c0092	Totiž z Syrských a Moábských, též z synů Ammon a z Filistinských, i z Amalechitských a z kořistí Hadadezera syna Rohobova, krále Soba.
0a080d0072	Zvelebil také David své jméno, když se navracoval od pobití osmnácti tisíců Syrských v údolí solnatém.
0a080e00d0	Protož i nad Idumejskými stráž postavil, všecku krajinu Idumejskou stráží osadiv. I učiněni jsou všickni Idumejští služebníci Davidovi; nebo zachovával Hospodin Davida, kamž se koli obrátil.
0a080f005d	I kraloval David nade vším Izraelem, a činil David soud a spravedlnost všemu lidu svému.
0a0810004b	Joáb pak syn Sarvie byl nad vojskem, a Jozafat syn Achiludův kancléřem;
0a0811005b	Sádoch také syn Achitobův a Achimelech syn Abiatarův kněžími, a Saraiáš písařem.
0a08120060	Benaiáš pak syn Joiadův byl nad Cheretejskými a Peletejskými, a synové Davidovi knížaty.
0a0901006f	Tedy řekl David: Jest-li ještě kdo pozůstalý z domu Saulova, abych jemu učinil milosrdenství pro Jonatu?
0a0902009f	Byl pak služebník domu Saulova, jehož jméno bylo Síba. I zavolali ho k Davidovi. I řekl král jemu: Ty-li jsi Síba? Odpověděl: Jsem služebník tvůj.
0a090300a6	Řekl jemu král: Jest-liž ještě kdo z domu Saulova, abych jemu učinil milosrdenství Boží? Odpověděl Síba králi: Ještě jest syn Jonatův chromý na nohy.
0a0904006c	I řekl jemu král: Kdež jest? Odpověděl Síba králi: Tam jest v domě Machiry, syna Amielova v Lodebar.
0a0905004c	Protož poslav král David, vzal ho z domu Machiry, syna Amielova z Lodebar.
0a090600ab	A když přišel Mifibozet syn Jonaty, syna Saulova, k Davidovi, padl na tvář svou a poklonil se. I řekl David: Mifibozete. Kterýž odpověděl: Aj, služebník tvůj.
0a090700bf	Řekl jemu David: Neboj se, nebo jistě učiním s tebou milosrdenství pro Jonatu otce tvého, a navrátím tobě všecka pole Saule otce tvého, a ty jídati budeš za stolem mým vždycky.
0a0908006d	Kterýž pokloniv se, řekl: Co jest služebník tvůj, že jsi se ohlédl na psa mrtvého, jakýž jsem já?
0a09090087	Zatím povolal král Síby, služebníka Saulova a řekl jemu: Cožkoli měl Saul i všecka čeled jeho, to jsem dal synu pána tvého.
0a090a0112	Budeš tedy jemu spravovati rolí, ty i synové tvoji i služebníci tvoji, a snášeti budeš, aby měl syn pána tvého pokrm, kterýž by jedl, ale Mifibozet syn pána tvého jídati bude vždycky za stolem mým. (Měl pak Síba patnácte synů a dvadceti služebníků.)
0a090b00d2	Odpověděl Síba králi: Vedlé všeho, jakž přikázal pán můj král služebníku svému, tak učiní služebník tvůj, ačkoli i Mifibozet mohl by jídati za stolem mým jako jeden z synů královských.
0a090c0090	Měl také Mifibozet syna malého, jemuž jméno bylo Mícha; a všickni, kteříž bydlili v domě Síbově, byli za služebníky Mifibozetovi.
0a090d0079	A tak Mifibozet zůstával v Jeruzalémě, proto že vždycky za stolem královským jídal; a byl kulhavý na obě noze.
0a0a010057	Stalo se také potom, že umřel král Ammonitský, a kraloval Chanun syn jeho po něm.
0a0a0200fb	I řekl David: Učiním milosrdenství s Chanunem synem Náhasovým, jakož otec jeho učinil milosrdenství nade mnou. Tedy poslal David, aby ho potěšil skrze služebníky své pro otce jeho. I přišli služebníci Davidovi do země Ammonitských.
0a0a030118	I řekla knížata Ammonitská k Chanunovi, pánu svému: Cožť se zdá, že David činí poctivost otci tvému, že poslal k tobě, kteříž by tě potěšili? Zdaliž ne proto, aby shlédl město a vyšpehoval je, a potom je podvrátil, poslal David služebníky své k tobě?
0a0a0400a0	A tak Chanun vzav služebníky Davidovy, oholil každému půl brady, a zustřihoval roucha jejich až do polovice, totiž až do zadků jejich, a propustil je.
0a0a0500b1	To když oznámili Davidovi, poslal proti nim, (nebo muži ti zohaveni byli velice,) a řekl jim král: Pobuďte v Jerichu, dokudž neobrostou brady vaše, potom se navrátíte.
0a0a0600d8	Vidouce pak Ammonitští, že se zošklivili Davidovi, poslavše, najali ze mzdy z Syrie z domu Rohob, a z Syrie Soba dvadcet tisíců pěších, a od krále Maacha tisíc mužů, a od Istoba dvanácte tisíc mužů.
0a0a07003f	Což uslyšev David, poslal Joába se vším vojskem udatných.
0a0a080083	A tak vytáhše Ammonitští, šikovali se k boji u brány, Syrští také, Soba a Rohob, a Istob i Maacha zvláště byli na poli.
0a0a09009b	A protož vida Joáb proti sobě sšikovaný boj s předu i s zadu, vybrav některé ze všech výborných Izraelských, sšikoval je také proti Syrským.
0a0a0a005a	Ostatek pak lidu dal pod správu Abizai bratra svého, a sšikoval jej proti Ammonitským.
0a0a0b00a5	A řekl: Jestliže Syrští budou silnější mne, přispěješ mi na pomoc; jestliže pak Ammonitští silnější budou tebe, také přispěji, abych pomohl tobě.
0a0a0c0087	Posiliž se, a buďme udatní, bojujíce za lid náš a za města Boha našeho, Hospodin pak učiní, což se jemu dobře líbiti bude.
0a0a0d0053	I přistoupil Joáb s lidem svým k bitvě proti Syrským, a oni utekli před ním.
0a0a0e00a1	Tedy Ammonitští vidouce, že utíkají Syrští, utekli i oni před Abizai a vešli do města. I navrátil se Joáb od Ammonitských a přišel do Jeruzaléma.
0a0a0f004c	Ale Syrští vidouce, že by poraženi byli od Izraele, sebrali se vespolek.
0a0a10008c	Poslal také Hadarezer a vyvedl Syrské, kteříž bydlejí za řekou, a přišli k Helam; Sobach pak, hejtman vojska Hadarezerova, vedl je.
0a0a1100bd	I oznámeno to Davidovi. Kterýžto shromáždiv všecken lid Izraelský, přepravil se přes Jordán, a přitáhli k Helam. I sšikovali se Syrští proti Davidovi, a bojovali proti němu.
0a0a1200a5	Tedy utekli Syrští před Izraelem, a porazil David z Syrských sedm set vozů a čtyřidceti tisíc jezdců. Sobacha také hejtmana vojska toho ranil, i umřel tu.
0a0a1300d2	Když pak viděli všickni králové, kteříž byli při Hadarezerovi, že jsou poraženi od Izraele, vešli v pokoj s Izraelem a sloužili jemu. A nesměli již více Syrští táhnouti na pomoc Ammonitským.
0a0b0100d5	I stalo se po roce, když králové vyjíždívají na vojnu, že poslal David Joába a služebníky své s ním, též i všecken Izrael, aby hubili Ammonitské; i oblehli Rabba. David pak zůstal v Jeruzalémě.
0a0b0200c6	Tedy stalo se k večerou, když vstal David s ložce svého, procházeje se po paláci domu královského, že uzřel s paláce ženu, ana se myje; kterážto žena byla vzezření velmi krásného.
0a0b030076	A poslav David, vyptal se o té ženě a řekl: Není-liž to Betsabé dcera Eliamova, manželka Uriáše Hetejského?
0a0b0400a4	Opět poslal David posly a vzal ji. Kterážto když vešla k němu, obýval s ní; (nebo se byla očistila od nečistoty své). Potom navrátila se do domu svého.
0a0b050052	I počala žena ta. Protož poslavši, oznámila Davidovi, řkuci: Těhotná jsem.
0a0b06006d	Poslav pak David, vzkázal Joábovi: Pošli ke mně Uriáše Hetejského. I poslal Joáb Uriáše k Davidovi.
0a0b070071	A když přišel Uriáš k němu, otázal se ho, jak se má Joáb, a jak se má lid, a kterak se vede v vojště?
0a0b08008b	Řekl také David Uriášovi: Jdiž do domu svého, a umyj sobě nohy. I vyšel Uriáš z domu králova, a poslán za ním dar královský.
0a0b090068	Ale Uriáš spal u vrat domu královského se všemi služebníky pána svého, a nešel do domu svého.
0a0b0a009e	Což když oznámili Davidovi, řkouce: Nešel Uriáš do domu svého, řekl David Uriášovi: Však jsi z cesty přišel. Pročež jsi nešel do domu svého?
0a0b0b0130	Odpověděl Uriáš Davidovi: Truhla Boží a Izrael i Juda zůstávají v staních, a pán můj Joáb i služebníci pána mého na poli zůstávají, já pak mám vjíti do domu svého, abych jedl a pil, a spal s manželkou svou? Jakož jsi živ ty, a jako jest živa duše tvá, žeť toho neučiním.
0a0b0c0087	Tedy řekl David Uriášovi: Pobuď zde ještě dnes, a zítra propustím tebe. I zůstal Uriáš v Jeruzalémě toho dne i nazejtří.
0a0b0d00a1	V tom pozval ho David, aby jedl před ním a pil, a opojil ho. A však on šel večer spáti na ložce své s služebníky pána svého, a nešel do domu svého.
0a0b0e004e	A když bylo ráno, napsal David list Joábovi, kterýž poslal po Uriášovi.
0a0b0f0090	Psal pak v listu těmi slovy: Postavte Uriáše proti bojovníkům nejsilnějším; mezi tím odstupte nazpět od něho, aby raněn jsa, umřel.
0a0b100078	I stalo se, když oblehl Joáb město, že postavil Uriáše proti místu, kdež věděl, že jsou nejsilnější muži.
0a0b110090	A vyskočivše muži z města, bojovali proti Joábovi. I padli někteří z lidu, z služebníků Davidových, také i Uriáš Hetejský zabit.
0a0b120047	Tedy poslav Joáb, oznámil Davidovi všecko, což se zběhlo v bitvě.
0a0b130061	A přikázal tomu poslu, řka: Když vypravíš králi všecky věci, které se zběhly v bitvě,
0a0b1400a1	Při čemž jestliže se popudí prchlivost královská a řekne-liť: Proč jste přistoupili k městu, bojujíce? Zdaliž jste nevěděli, že házejí se zdi?
0a0b1500d4	Kdo zabil Abimelecha syna Jerobosetova? Zdali ne žena, svrhši na něj kus žernovu se zdi, tak že umřel v Tébes? Proč jste přistupovali ke zdi? tedy díš: Také služebník tvůj Uriáš Hetejský umřel.
0a0b160059	A tak šel posel, a přišed, oznámil Davidovi všecko to, pročež ho byl poslal Joáb.
0a0b170074	A řekl posel ten Davidovi: Zmocnili se nás muži ti, a vytrhli proti nám do pole, a honili jsem je až k bráně.
0a0b18009e	V tom stříleli střelci na služebníky tvé se zdi, a zbiti jsou někteří z služebníků králových, také i služebník tvůj Uriáš Hetejský zabit.
0a0b19009d	Tedy řekl David poslu: Tak pověz Joábovi: Nic tě to nerozpakuj, že tak i jinak sehlcuje meč. Ztuž boj svůj proti městu a zkaz je, a potěš drábů.
0a0b1a005d	Uslyševši pak manželka Uriášova, že umřel Uriáš muž její, plakala manžela svého.
0a0b1b009a	A když pominul pláč, poslav David, vzal ji do domu svého, a měl ji za manželku; i porodila mu syna. Ale nelíbilo se to Hospodinu, co učinil David.
0a0c010092	Protož poslal Hospodin Nátana k Davidovi. Kterýž přišed k němu, řekl jemu: Dva muži byli v městě jednom, jeden bohatý a druhý chudý.
0a0c020026	Bohatý měl ovec i volů velmi mnoho,
0a0c0300e7	Chudý pak neměl nic, kromě jednu ovečku malou, kterouž byl koupil a choval, až i odrostla při něm a při dětech jeho tolikéž. Chléb jeho jedla a z číše jeho pila, a v lůnu jeho spávala, a tak byla mu jako za dceru.
0a0c040103	Když pak přišel pocestný k tomu bohatému člověku, líto mu bylo vzíti z ovcí aneb z volů svých, což by připravil pocestnému, kterýž k němu přišel, ale vzav ovečku toho chudého člověka, připravil ji muži, kterýž byl přišel k němu.
0a0c050089	Tedy rozhněval se David na muže toho náramně a řekl Nátanovi: Živť jest Hospodin, že hoden jest smrti muž, kterýž to učinil.
0a0c060055	Ovečku také tu zaplatí čtvernásobně, proto že učinil věc tu, a nelitoval ho.
0a0c0700a8	I řekl Nátan Davidovi: Ty jsi ten muž! Takto praví Hospodin Bůh Izraelský: Já jsem tě pomazal, abys králem byl nad Izraelem, a vytrhl jsem tebe z ruky Saulovy.
