010000000a	Бытие
050c150193	Аще же далече отстоит место от тебе, иже изберет Господь Бог твой призывати имя Его тамо, и заколеши от волов твоих и от овец твоих, яже даст тебе Бог твой, якоже заповедах тебе, и снеси во градех твоих по желанию души твоея.
050c16009e	Якоже ястся серна и елень, тако да снеси е: нечистый при тебе, и чистый такожде да снест.
050c170092	Вонми крепце, еже не ясти крове: кровь бо есть душа его: да на снестся душа с мясы:
050c180051	да не снесте ея, на землю пролиете ю аки воду:
050c1900ee	да не снеси ю, да благо тебе будет и сыном твоим по тебе во веки, аще сотвориши се, еже добро и угодно есть пред Господем Богом твоим.
050c1a00fb	Разве святая твоя, яже аще будут тебе, и обеты твоя взем да приидеши на место, еже изберет Господь Бог твой оное себе призвати имя Его тамо:
050c1b0135	и сотвориши всесожжения твоя: мяса да вознесеши на олтарь Господа Бога твоего, кровь же жертв твоих да пролиеши пред степени олтаря Господа Бога твоего, мяса же да снеси.
050c1c012e	Снабди и послушай, и да сотвориши вся словеса, яже Аз заповедаю тебе, да благо тебе будет и сыном твоим во веки, аще сотвориши добро и угодно пред Господем Богом твоим.
050c1d0107	Аще же потребит Господь Бог твой языки, в няже входиши ты тамо, наследити землю их, от лица твоего, и приимеши ю в наследие, и вселишися в земли их:
050c1e0113	внемли себе, да не взыщеши последовати им, по потреблении их от лица твоего, не взыщи богов их, глаголя: якоже творят языцы сии богом своим, сотворю и аз:
050c1f011b	да не сотвориши Господу Богу твоему тако: мерзостна бо Господеви, яже возненавиде, сотвориша богом своим, яко сыны своя и дщери своя жгут огнем богом своим.
050c2000bb	Всяко слово, еже аз заповедаю тебе днесь, сие снабди творити: да не приложиши к сему, ни отимеши от него.
050d01008b	Аще же востанет в тебе пророк, или видяй соние, и даст тебе знамение или чудо,
050d0200ae	и приидет знамение или чудо, еже рече к тебе, глаголя: идем да послужим богом иным, ихже не весте:
050d030140	да не послушаете глагол пророка того, или видящаго сон той: яко искушает Господь Бог твой вас, иже уведети, аще любите Господа Бога вашего всем сердцем вашим и всею душею вашею:
050d0400f6	вслед Господа Бога вашего ходите, и Того бойтеся, и заповеди Его сохраните, и гласа Его послушайте, и Тому служите, и к Нему прилепитеся:
050d0501d7	и пророк той или видяй сон да умрет: глагола бо, иже прельстити тя от Господа Бога твоего изведшаго тя из земли Египетския, избавльшаго тя из работы, еже совратити тя с пути, егоже заповеда тебе Господь Бог твой ходити по нему: и погубите сами злое от вас самих.
050d06019f	Аще же помолит тя брат твой от отца твоего или от матере твоея, или сын твой, или дщерь твоя, или жена твоя яже на лоне твоем, или друг твой, равен души твоей, отай глаголя: идем и послужим богом иным, ихже не видел еси ты и отцы твои,
050d0700b3	от богов языков, иже окрест вас, близ сущих тебе, или дальних от тебе, от конца земли до конца земли,
050d0800c5	да не соизволиши ему и не послушаеши его, и да не пощадит его око твое, и не возлюбиши его, ниже прикрыеши его:
050d0900bb	возвещая да возвестиши о нем, и рука твоя да будет на нем в первых убити его, и руки всех людий послежде:
050d0a00f7	и побиют его камением, и умрет, яко взыскал есть отвратити тебе от Господа Бога твоего, изведшаго тя из земли Египетския, от дому работы:
050d0b00aa	и весь Израиль услышав убоится, и не приложит ктому сотворити по словеси сему злому еже в вас.
050d0c00ad	Аще же услышиши в единем от градов твоих, яже Господь Бог дает тебе, вселитися тамо, глаголющих:
050d0d00df	изыдоша мужи беззаконнии от вас и отвратиша вся живущыя во граде их, глаголюще: идем, да послужим богом иным, ихже не весте,
050d0e00a9	и да взыщеши и вопросиши и обыщеши зело, и се, истинно слово яве, сотворися мерзость сия в вас:
050d0f00b8	убивая да убиеши вся живущыя во граде онем убийством меча, проклятием проклените его, и вся яже в нем,
050d10012a	и вся корысти его собереши на распутия его, и зажжеши град огнем, и вся корысти его всенародно пред Господем Богом твоим, и будет пуст во веки, не возградится по сем:
050d11015c	и да ничтоже прилепится от проклятия руце твоей, да отвратится Бог от ярости гнева Своего: и даст тебе милость и помилует тя, и умножит тя, якоже глагола тебе, якоже клятся Господь отцем твоим,
050d120115	аще послушаеши гласа Господа Бога твоего, еже хранити вся заповеди Его, яже аз заповедаю тебе днесь, творити доброе и угодное пред Господем Богом твоим.
050e0100bc	Сынове есте Господа Бога вашего: да не нарезуетеся и не возложите плеши между очима вашима над мертвым:
050e0200f2	яко людие святи есте Господеви Богу вашему, и вас избра Господь Бог ваш быти вам людем избранным Ему от всех языков иже на лицы земли.
050e030035	Да не снесте всякия мерзости.
050e04006f	Сия скоты ядите: телца от говяд и агнца от овец и козла от коз:
050e050069	еленя и серну, и буйвола и ланя, и зубря и онагра и сайгака.
050e0600a5	Всяк скот на двое деля пазнокти, и копыто на двое копыта, и отрыгая жвание в скотех, да ясте.
050e070160	И сих да не снесте от отрыгающих жвание и от делящих пазнокти на двое, но копыт не раздвояющих: велблюда и заяца и хирогрилля: яко отрыгают жвание сии, но копыт не раздвояют, нечиста сия вам суть.
050e080122	И свинии, яко на двое делит пазнокти и копыта раздвояет, и сия жвания не отрыгает, нечиста сия вам есть: от мяс их да не ясте, и мертвечинам их да не прикоснетеся.
050e090079	И сия да ясте от всех яже в воде: вся, имже суть перие и чешуя, ядите.
050e0a0071	И всех, имже несть перия, на чешуи, да не ясте: нечиста суть вам.
050e0b002f	Всяку птицу чисту да ясте.
050e0c0029	И сих да не ясте от них:
050e0d0034	орла и грифа и орла морскаго,
050e0e003d	и неясыти и иктина и подобных сим:
050e0f0077	и врана и врабия, и выпелицы и сухолапля, и ястреба и подобных сим:
050e100048	и врана нощнаго и лилика и подобных сим:
050e110053	и еродиа и лебедя, и ивина и катаракта, и вдода
050e120093	и нощнаго нетопыря, и сыча и теслоноса, и харадриона и подобных сим, и порфириона.
050e13005c	Вся гады птичия нечиста суть вам: да не ясте от них.
050e14002f	Всяку птицу чисту да ясте.
050e15015d	Всякия мертвечины да не ясте: приселнику, иже во градех твоих, да дасте, и да яст, или да продасте страннику: яко людие святи есте Господеви Богу вашему. Да не свариши ягняте во млеце матере его.
050e16008c	Десятины да даси от всего плода семене своего, плод нив твоих от года до года,
050e1701cd	и да снеси я пред Господем Богом твоим на месте, идеже изберет Господь Бог твой призывати имя Его тамо: да принесеши десятину пшеницы твоея и вина твоего и елеа твоего, и первенцы волов твоих и овец твоих, да научишися боятися Господа Бога твоего вся дни.
050e180140	Аще же далече будет путь от тебе и не возможеши донести их, яко далече место от тебе, еже изберет Господь Бог твой призывати имя Его тамо, яко да благословит тя Господь Бог твой:
050e1900b5	и продаси сие на цене, и возмеши сребро в руку твою, и пойдеши на место, иже изберет Господь Бог твой,
050e1a0165	и даси сребро за все, на неже пожелает душа твоя, на волы и овцы, или на вино, или на сикеру, или на все, егоже желает душа твоя, и да снеси тамо пред Господем Богом твоим, и возвеселишися ты и дом твой.
050e1b0097	И левит иже во градех твоих, не оставивши его, яко несть ему части ни жребия с тобою:
050e1c00a3	по трех летех да изнесеши всю десятину жит твоих в лето оно, да положиши ю во градех твоих:
050e1d0165	и приидет левит, яко несть ему части ни жребия с тобою, и пришлец, и сирота и вдова, яже во градех твоих, да ядят и насытятся: да благословит тя Господь Бог твой во всех делех твоих, яже аще сотвориши.
050f010044	В седмое лето да сотвориши отпущение.
050f02011b	И сице заповедь отпущения: да оставивши весь долг твой, имже должен ближний тебе, и от брата своего не истяжеши, яко наречеся отпущение Господу Богу твоему.
050f0300b5	От чуждаго да истяжеши, елика суть твоя у него: брату же твоему отпущение да сотвориши долга твоего.
050f040116	Яко не будет у тебе недостаточен: сего ради словесе благословением благословит тя Господь Бог твои в земли, юже тебе Господь Бог дает во жребий прияти ю.
050f050142	Аще же слухом послушаете гласа Господа Бога вашего хранити и творити вся заповеди сия, яже аз заповедаю тебе днесь, яко Господь Бог твой благословил тя есть, якоже глагола тебе,
050f0600be	и взаим даси языком многим, ты же не займеши, и обладати будеши ты языки многими, тобою же не возобладают.
050f07016e	Аще же брат от братии твоея будет тебе недостаточен во единем от градов твоих в земли, юже Господь Бог твои дает тебе, да не отвратиши сердца твоего, ниже сожмеши руки твоея пред братом твоим требующим:
050f0800ab	отверзая да отверзеши руку твою ему, и взаим да даси ему, елико просит, и елико ему не достанет.
050f09019a	Внемли себе: да не будет слово тайно в сердцы твоем беззакония, глаголя: близ есть седмое лето, лето отпущения, и возлукавнует око твое брату твоему требующему, и не даси ему, и возопиет на тя ко Господу, и будет тебе грех велик:
050f0a019b	даянием да даси ему, и взаим да даси ему, елико воспросит, якоже требует: и не опечалися в сердцы своем, дающу ти ему, яко сего ради слова благословит тя Господь Бог твой во всех делех твоих, и во всем, на неже возложиши руку твою:
050f0b0141	ибо не оскудеет недостаточный от земли твоея, сего ради аз заповедаю тебе творити слово сие, глаголя: отверзая отверзи руце твои брату твоему нищему и просящему на земли твоей.
050f0c00ee	Аще же продастся тебе брат твой Евреанин, или Евреаныня, да поработает тебе шесть лет, и в седмое да отпустиши его свободна от себе:
050f0d006f	егда же пустиши его свободна от себе, да не отпустиши его тща:
050f0e00e4	напутное ему да уготовиши от овец твоих и от пшеницы твоея и от вина твоего: якоже благослови тя Господь Бог твой, да даси ему,
050f0f00f1	и помяни, яко раб и ты был еси в земли Египетстей, и свободи тя Господь Бог твой оттуду: сего ради аз заповедаю тебе творити слово сие.
050f1000a4	Аще же речет к тебе: не отиду от тебе, яко возлюбих тя и дом твой, яко добро есть есть у тебе:
050f1100cf	да возмеши шило, и провертиши ему ухо пред дверми у степени, и будет ти раб во веки: и рабе твоей сотвориши такожде.
050f120137	Да не будет жестоко пред тобою, отпущаемым им от тебе свободным, понеже годовую мзду наемничу работа тебе шесть лет: и благословит тя Господь Бог твой во всем, еже твориши.
050f130157	Всяко первородное, еже родится от волов твоих и от овец твоих, мужеск пол да освятиши Господеви Богу твоему: да не делаеши первородным телцем твоим и да не стрижеши первенца во овцах твоих.
050f1400bf	Пред Господем Богом твоим да яси я от лета до лета, на месте, идеже изберет Господь Бог твои, ты и дом твой.
050f1500be	Аще же будет на нем порок, хромота, или слепота, и всякий порок зол, да не пожреши его Господу Богу твоему.
050f16009e	Во градех твоих да снеси я: нечистый и чистый у тебе такожде да яст, яко серну или еленя.
050f170062	Токмо крове да не снесте: на землю проливай ю аки воду.
05100100d2	Храни месяц новых (плодов), и да сотвориши Пасху Господеви Богу твоему, яко в месяце новых изшел еси из Египта нощию.
05100200d5	И да пожреши Пасху Господеви Богу твоему, овцы и говяда на месте, еже изберет Господь Бог твой призывати имя Его тамо.
051003014f	Да не снеси в ню кваснаго: седмь дний да яси в ню опресноки, хлеб озлобления, яко со тщанием изыдосте из Египта, да поминаете день исхода вашего от земли Египетския вся дни жития вашего:
05100400ef	да не явится тебе квасно во всех пределех твоих седмь дний, и да не преноществует от мяс, яже пожреши в вечер в первый день, до утрия.
0510050099	Не возможеши жрети Пасхи ни в единем от градов твоих, яже Господь Бог твой дает тебе:
051006012b	но токмо на месте, еже изберет Господь Бог твой призывати имя Его ту, тамо пожреши Пасху в вечер при захождении солнца, во время в неже изшел еси из земли Египетския:
05100700d0	и свариши, и испечеши, и снеси на месте, идеже изберет Господь Бог твой: и возвратишися заутра, и пойдеши в дом твой.
0510080102	Шесть дний да яси опресноки, в седмый же день исходный праздник Господеви Богу твоему: да не сотвориши в нем всякаго дела, кроме яже суть души.
05100900ba	Седмь седмиц всецелых да сочтеши себе: в начало же твоего серпа на жатву начни исчисляти седмь седмиц,
05100a00ee	и да сотвориши праздник седмиц Господеви Богу твоему, якоже рука твоя может, елика даст тебе, якоже благослови тя Господь Бог твой.
05100b0192	И возвеселишися пред Господем Богом твоим ты и сын твой и дщерь твоя, и раб твой и раба твоя, и левит иже во градех твоих, и пришлец, и сирота и вдова, яже в вас, на месте, идеже изберет Господь Бог твой призывати имя Его тамо:
05100c00a0	и помянеши, яко раб был еси (ты) в земли Египетстей, и сохраниши и сотвориши заповеди сия.
05100d00a7	Праздник кущей да сотвориши себе седмь дний, егда собереши от нивы твоея и от точила твоего:
05100e00fa	и да возвеселишися в празднице твоем ты и сын твой и дщи твоя, раб твой и раба твоя, и левит и пришлец, и сирота и вдова, яже во градех твоих:
05100f0187	седмь дний да празднуеши Господеви Богу твоему на месте, еже изберет Господь Бог твой призывати имя Его тамо: аще же благословит тя Господь Бог твой во всех плодех твоих и во всяком деле рук твоих, и будеши веселяся.
051010018d	В три времена лета да явится всяк мужеск пол пред Господем Богом твоим, на месте, еже изберет Господь Бог твой: в праздник опресноков, и в праздник седмиц, и в праздник кущей: да не явишися пред Господем Богом твоим тощь:
051011008d	кийждо по силе рук своих, по благословению Господа Бога твоего, еже даде тебе.
05101200e9	Судии и книгочии поставиши себе во всех градех твоих, яже Господь Бог твой дает тебе по племенам, и да судят людем суд праведный:
05101300d5	да не уклонят суда, ниже познают лице, ниже да возмут даров: дары бо ослепляют очи мудрых и отмещут словеса праведных.
05101400ae	Праведне праведное гоните, да поживете, и вшедше наследите землю, юже Господь Бог твой дает вам.
05101500af	Да не насадиши себе дубравы: всякаго древа близ олтаря Господа Бога твоего да не сотвориши себе,
0510160071	да не поставиши себе капища, еже возненавиде Господь Бог твой.
05110100ef	Да не пожреши Господеви Богу твоему телца или овчате, на немже есть порок, всяк глагол зол: яко мерзость Господеви Богу твоему есть.
051102012b	Аще же обрящется у тебе во единем от градов твоих, яже Господь Бог твои дает тебе, муж или жена, иже сотворит лукавое пред Господем Богом твоим, преступити завет Его:
05110300d9	и шедше послужат богом иным и поклонятся им, солнцу, или луне, или всякому яже от красоты небесныя, ихже не повелех тебе:
05110400ae	и возвестится тебе, и взыщеши зело, и се, истинно бысть слово, мерзость сотворися сия во Израили:
05110500cc	да изведеши человека того, или жену ту, иже сотвориша дело злое сие, пред двери, и побиете их камением, и да умрут.
0511060098	При двою свидетелех или при трех да умрет: умираяй да не умрет при единем свидетели:
05110700cb	и рука свидетелей да будет на нем в первых, умертвити его, и рука всех людий послежде: и измите злое от вас самех.
05110801b8	Аще же неудоборешимо слово у тебе в суде между кровию и кровию, и между судом и судом, и между язвою и язвою, и между прением и прением, словеса судная в градех твоих, и востав взыдеши на место, еже изберет Господь Бог твой призвати имя Его тамо:
05110900a3	и приидеши к жерцем левитом, и к судии, иже будет в тыя дни, и взыскавше возвестят тебе суд:
05110a012d	и сотвориши по словеси, еже возвестят тебе от места, еже изберет Господь Бог твой призывати имя Его тамо, и да сохраниши зело творити вся, елика законоположатся тебе:
05110b00d7	по закону и по суду, егоже рекут тебе, сотвориши, да не уклонишися от словесе, еже известят тебе, ни на десно, ни на лево.
05110c0154	И человек, иже сотворит в гордости, еже не послушати жерца предстоящаго служити во имя Господа Бога твоего, или судии, иже в тыя дни будет, да умрет человек той, и да измеши злое от Израиля:
05110d006f	и вси людие услышавше убоятся, и не будут нечествовати ктому.
05110e0132	Аще же внидеши в землю, юже Господь Бог твой дает тебе в жребий, и приимеши ю, и вселишися на ней, и речеши: поставлю князя над собою, якоже и прочии языцы, иже окрест мене:
05110f0166	поставляя да поставиши над собою князя, егоже изберет Господь Бог твой, от братии твоея да поставиши над собою князя, не возможеши поставити над собою князя человека чуждаго, яко не брат твой есть.
0511100120	Обаче да не умножит себе коней, ниже да возвратит людий во Египет, яко да не умножит себе коней: Господь же рече вам: не приложите возвратитися путем сим ктому:
05111100ac	и да не умножит себе жен, да не превратится сердце его: и сребра и злата да не умножит себе зело.
05111200bd	И будет егда сядет на престоле власти своея, да напишет себе второзаконие сие в книзе от жерцев левитов,
0511130106	и будет с ним, и да чтет ю во вся дни жития своего, да научится боятися Господа Бога своего и хранити вся заповеди сия и оправдания сия, творити я:
051114013c	да не возвысится сердце его от братии его, да не преступит от заповедий ни на десно, ни на лево яко да будет многа лета во власти своей, той и сыны его с ним, в сынех Израилевых.
05120100da	Да не будет жерцем левитом всему племени Левиину части ниже жребия со Израилем: приношения Господу жребий их, да ядят я:
051202008c	жребий же да не будет ему в братии его: Господь Сам жребий его, якоже рече ему.
05120300c7	И сей суд жерцев, яже от людий, от приносящих жертвы, аще телца, аще овцу: и даси жерцу рамо, и челюсти, и утробу:
05120400ad	и начатки пшеницы твоея и вина твоего и елеа твоего, и начаток стрижения овец твоих да даси ему:
0512050120	яко того избра Господь Бог твой от всех племен твоих предстояти пред Господем Богом твоим, служити и благословити во имя Господне, той и сынове его во вся дни.
0512060103	Аще же приидет левит от единаго градов ваших, от всех сынов Израилевых, идеже той обитает, якоже желает душа его, на место, еже изберет Господь,
05120700b3	да служит имени Господа Бога вашего, якоже и вся братия Его левити предстоящии тамо пред Господем:
0512080064	часть отделеную да яст, кроме продажи яже по отечеству.
05120900bb	Аще же внидеши в землю, юже Господь Бог твой дает тебе, да не навыкнеши творити по мерзостем языков тех:
05120a00cd	да не обрящется в тебе очищая сына своего и дщерь свою огнем, волхвуя волхвованием и чаруяй и птицеволшебствуяй,
05120b0099	чародей обавая обаванием, утробоволхвуяй и знаменосмотритель, и вопрошаяй мертвых:
05120c00dc	есть бо мерзость Господеви Богу твоему всяк творяй сия: сих бо ради мерзостей потребит я Господь Бог твой от лица твоего.
05120d0053	Совершен да будеши пред Господем Богом твоим.
05120e00c6	Языцы бо сии, ихже ты наследиши, сии чарований и волхвований послушают: тебе же не тако даде Господь Бог твой.
05120f009c	Пророка от братии твоея, якоже мене, возставит тебе Господь Бог твой, Того послушайте:
0512100153	по всему, елико просил еси от Господа Бога твоего в Хориве в день собрания, глаголюще: да не приложим слышати гласа Господа Бога нашего, и огня великаго сего не увидим по сем, да не измрем.
0512110065	И рече Господь ко мне: право вся, елика глаголаху к тебе:
05121200d8	Пророка возставлю им от среды братии их, якоже тебе: и вдам слово Мое во уста Его, и возглаголет им, якоже заповедаю Ему:
05121300b8	и человек той, иже не послушает словес Его, елика возглаголет Пророк оный во имя Мое, Аз отмщу от него:
0512140114	обаче пророк, иже вознечествует глаголати во имя Мое слово, егоже не повелех ему глаголати, и иже аще возглаголет во имя богов инех, да умрет пророк той.
0512150087	Аще же речеши в сердцы своем: како познаем слово, егоже не глагола Господь?
0512160118	Елика аще возглаголет пророк во имя Господне, и не сбудется, и не случится слово сие, егоже не рече Господь: в нечестии глагола Пророк той, не убойтеся его.
05130100ec	Егда же погубит Господь Бог твой языки, ихже Господь Бог твой дает тебе землю, и наследиши их и вселишися во градех их и в домех их,
051302009f	три грады да отлучиши себе среди земли твоея, юже Господь Бог твой дает тебе в наследие.
05130300f2	Уготови себе путь, и на трое раздели пределы земли твоея, юже разделяет тебе Господь Бог твой: и да будет убежище тамо всякому убийце.
0513040126	Сие же да будет заповедание убийце, иже аще убежит тамо, и жив будет: иже аще убиет ближняго своего не ведя, и сей не ненавиде его прежде вчерашняго дне и третияго,
051305017c	и иже аще пойдет с подругом своим в лес собирати дрова, и поползнется рука его с секирою секущаго дрова, и спадши секира с топорища улучит подруга его, и умрет, сей да убежит во един от градов сих, и жив да будет:
051306018e	да не погнав ужик крове вслед убившаго, яко разгорится сердце ему, и постигнет его, аще должайший будет путь, и убиет душу его, и умрет: и сему несть суд смертный, понеже не бе ненавидя его прежде вчерашняго и третияо дне:
0513070087	сего ради заповедаю аз тебе слово сие, глаголя: три грады да отлучиши себе.
05130800ea	Аще же разширит Господь Бог твой пределы твоя, якоже клятся отцем твоим, и даст тебе Господь всю землю, юже рече дати отцем твоим,
051309014d	аще послушаеши творити вся заповеди сия, яже аз заповедаю тебе днесь, любити Господа Бога твоего, ходити во всех путех Его вся дни: и да приложиши себе еще три грады к сим трием градом,
05130a00dd	и да не пролиется кровь безвинна в земли твоей, юже Господь Бог твой дает тебе в жребий, и да не будет в тебе крови повинен.
05130b0116	Аще же будет у тебе человек ненавидяй ближняго своего, и навет сотворит нань, и востанет нань, и поразит душу его, и умрет, и вбегнет во един от градов сих,
05130c00b9	да послют старейшины града того, и возмут его оттуду, и да предадят его в руце ужиков крове, и да умрет:
05130d00a1	да не пощадит его око твое, и да очистиши кровь неповинную от Израиля, и благо будет тебе.
05130e0117	Да не предвижеши пределов ближняго своего, яже поставиша отцы твои в наследии твоем, еже наследовал еси в земли, юже Господь Бог твой дает тебе во жребий.
05130f018a	Да не пребудет свидетель един во свидетелство на человека по всякой обиде и по всякому преступлению и по всякому греху, имже аще согрешит: при устех двою свидетелей и при устех триех свидетелей да станет всяк глагол.
051310008a	Аще же востанет свидетель неправеден на человека, глаголя на него нечестие,
05131100b5	да станут оба человека, имже есть пря, пред Господем и пред жерцы и пред судиями, иже будут в тыя дни,
05131200c3	и да испытают их судии прилежно, и се, свидетель неправеден свидетелствова неправду, воста на брата своего:
05131300ad	да сотворите ему, якоже и он умысли сотворити супротив брата своего, и измите злое от вас самех:
0513140098	да и прочии услышавше убоятся, и не приложат ктому творити словесе злаго сего в вас:
0513150115	да не пощадит его око твое: душу за душу, око за око, зуб за зуб, руку за руку, ногу за ногу, якоже аще кто даст порок на ближняго своего, сице воздастся ему.
051401012a	Аще же изыдеши на брань на враги твоя, и узриши кони и всадники и люди множайшыя тебе, да не убоишися их: яко Господь Бог твой с тобою, изведый тя из земли Египетския.
051402009e	И будет егда приближишися к рати, и приступив жрец да возглаголет к людем и речет к ним:
0514030108	послушай, Израилю, вы исходите днесь на рать ко врагом вашым: да не ослабеет сердце ваше, ни убойтеся, ниже устрашитеся и не уклонитеся от лица их:
051404008f	яко Господь Бог ваш идый пред вами споборствует вам на враги вашя и спасет вас.
0514050131	И да рекут книгочия к людем, глаголюще: кий человек создавый храмину нову, и не обнови ея? Да идет, и да возвратится в дом свой, да не умрет на рати, и человек ин обновит ю:
0514060107	и кии человек, иже насади виноград, и не веселися от него? Да идет, и возвратится в дом свой, да не умрет на рати, и человек ин возвеселится от него:
05140700e0	и кий человек, иже обручи себе жену, и не понял ю? Да идет, и возвратится в дом свой, да не умрет на рати, и ин человек поймет ю.
051408013e	И да приложат книгочия глаголати к людем, и да рекут: кий человек страшлив и слаб сердцем? Да идет, и возвратится в дом свой, да не устрашит сердца брата своего, аки сердце свое.
05140900a5	И будет егда умолкнут книгочия глаголюще к людем, и поставят воеводы воинства вожды людий.
05140a006d	Аще же приидеши ко граду воевати нань, и воззовеши я с миром:
05140b00e2	аще убо мирное отвещают ти, и отверзут тебе (град), вси людие обретшиися во граде да будут тебе дань дающе и послушающии тебе:
05140c0077	аще же не покорятся тебе, и сотворят с тобою рать, да обсядеши его,
05140d00ad	дондеже предаст я Господь Бог твой в руце твои: да избиеши всяк мужеск пол в нем убийством меча,
05140e0117	кроме жен и имения, и вся скоты, и вся елика суть во граде, и все стяжание да плениши себе, и да снеси весь плен врагов твоих, яже Господь Бог твой дает тебе.
05140f00fd	Тако да сотвориши всем градом, иже суть далече от тебе зело, иже не суть от градов языков сих, ихже Господь Бог дает тебе наследити землю их:
051410004e	от них да не оставите жива всякаго дыхания:
05141100f4	но и проклятием проклените их, Хеттеа и Аморреа, и Хананеа и Ферезеа, и Евеа и Иевусеа и Гергесеа, якоже заповеда тебе Господь Бог твой:
05141200cc	да не научат вас творити всякия мерзости своя, елики твориша богом своим, и согрешите пред Господем Богом вашим.
05141301b4	Аще же обсядеши град един дни многи воевати его в приятие себе, да не истребиши садовия его, возложив железо нань, но токмо да яси плод от них, самого же да не посечеши: еда древо, еже в дубраве, человек есть, иже внити от лица твоего в забрала?
05141400f9	Но древо, еже веси, яко не ястся плод его, сие потребиши и посечеши, и сотвориши лествицы на град, иже творит на тя рать, дондеже предастся.
05150100c5	Аще же обрящется убиеный на земли, юже Господь Бог дает тебе наследити, лежащь на поли, и не ведят убившаго и:
0515020085	да изыдут старцы и судии твои и да измерят до градов, иже окрест убиенаго:
05150300dd	и будет град приближаяйся убиеному, и да возмут старейшины града того юницу от говяд, еюже не делано, и яже ярма не понесе:
05150400d1	и да изведут старейшины града того юницу в дебрь суху, яже не оранна, ниже насеяна, и да пресекут жилы юницы в дебри:
051505011f	и да приступят жерцы Левити: яко сих избра Господь Бог твой предстояти Ему и благословляти во имя Его: и во устех их да будет всякое прекословие и всякая язва:
