2a00000007	Lúcás
2a041900e0	Achd go fírinneach deirimsi ribh, Go rabhadar morán baintreachach a láethibh Elias a Nísraél, an tráth do bhí an fhiormámeint druite trí blíadhna agus sé mhí, ionnas go raibh gorta mhór ar feadh na talmhan uile;
2a041a0072	Achd níor cuireadh Blías dionnsoighe áon aca, achd go Sarepta na Sidonia, chuan mná do bhí na baintreabhaigh.
2a041b0083	Agus do bhádar morán lobhar a Níseaél ré linn Eliséus an faidh; agus níor glanagh éin neach aca, achd Náaman an Sirianach.
2a041c0056	Agus do líonadh a raibh ann sa tsíonagóig dfeirg, an tan do chúaladar na neithesi,
2a041d00d8	Agus ar néirghe na seasamh dhóibh, do theilgeadar as an gcathruigh a mach é, agus rugadar léo é ar mhaluidh an tsléibhe ar a raibh a gcathaire ar na togbháil, do chum go dteilgfidis síos a ndiaigh a chine é.
2a041e0035	Achd ar ngabháil dosan tré na lár, do imthigh sé,
2a041f0075	Agus do chúaigh sé síos go Capernáum, cathair don Ghalilé, agus do bhiodh sé dhá dteangasg ann sna sabboidibh.
2a0420005e	Agus do bhí úathbhás acasan an a theagasg: óir do bhí a comhrádh maille ré hughdarrás.
2a04210075	Agus do bhí neach ann sa tsionagóig, ann a raibh spiorad deamhuaighe neamhghlan, agus do éigh sé do ghúth mhór,
2a0422009a	Ag rádh, Uch; créud í an bhúain atá aguinne riot, a Iósa Nasardha? an dár sgrisne tháinic tú? a tá a fhios agumsa cia thú, Neach Náomhtha Dé.
2a042300ae	Agus do imdhearg Iósa é, ag rádh, Bí ad thochd, agus tárr a mach as. Agus do imthigh an deamhan as, ar na thrasgairt go lár, gan díoghbháil ar bith do dhéanamh dhó.
2a042400d1	Agus do ghabh crith cách uile, agus do labhradar ré chéile, ag rádh, Créud é an níse! go náithingheann sé do na spiorádaibh go neamhghlana lé cumhachdaibh agus lé neart, agus go dtigid siad a mach.
2a0425004d	Agus do chúaidh a thúarasghbháil an gach uile ionard don tirsin tancheall.
2a042600c4	Agus an tan do éirigh Iósa as an tsínagóig, do chúaidh sé a steach go tigh Shímóin. Agus do bhí fiabhrus romhór ar mháthair mhná Shimóin; agus do chuireadar impidhe airsean air a son.
2a0427009f	Agus ar seasamh dhosan ós a cionn, do imdhearg sé an fiabhrus; agus dfag an fíabhrus í: agus ar néirghe dhisi do lathair do rinne sí friotholamh dhóibh.
2a042800c8	Agus ar ndul don ghrein faoi, gach áon ága rabhadar dáoine eagcrúaidh ó thinneasaibh éugsamhla tugadar chuigesean íad; agus ar gcur a láimh dhósan ar gach áon díobh, do shlánuigh sé íad.
2a042900d5	Agus fós do imthighid ís na deamhain as mórán, ag éighmhe, agus ag rádh, Is tusa Críod Mac Dé. Achd dá nimdheargadh dhósan ní léigheadh sé dhóibh a rádh: go raibh a fhios aca gur bhé féin Críosd.
2a042a00de	Agus ar néirghe don lá, do imthigh sé a mach, agus do chúaidh sé a nionad fasamháil: agus do bhí an slúagh agá lorgaireachd, agus tangadar chuige, agus do bhádar dá chonghbhail, do chum nách achradh sé úatha.
2a042b0099	Achd a dubhairt seision ríu, Go firinneach is éigin damhsa flaitheas Dé do sheanmóir do chaithreachaibh eile leis: óir is chuige so do cuireadh mé.
2a042c0044	Agus do bhíodh sé ag deanamh seanmóra a síonagogaibh na Galilé.
2a05010074	Agus tárla, an tau do ling an pobal air déisfeach ré bréithir Dé, gur sheas seision láimh ré loch Ghenesaret,
2a05020087	Agus do chonnairc sé dhá luing do bhí ar an loch achd do imthigheadar na híasgaireadha asda, agus do bhíadar ag nighe a líontadh.
2a0503009b	Agus ar ndul dósan a loing dhíobh, do budh lé Símón, do íarr sé air dul beagán ón tír. Agus ar suidhe dhó do theagaisg sé an pobal as an luing.
2a05040095	Agus mar do sguir sé do labhairt, a dubhairt sé ré Símón, Déunuigh romhaibh ar an ndubhaigéun, agus leigidh sios bhir líontagh chum gabhála.
2a050500cf	Agus ar bhfreagra do Shímon a dubhairt sé ris, A Mhaighisdir, do thuirrsigheamar sinn féin feadh na hoidhche uile, agus níor ghabhamair éin ní: achd cheana ar do bhreithir se cuirfe mé síos an líon.
2a0506005c	Agus an tan do rinneadar so, do íadhadar ar iomarchuigh éisg: ionnus gur briseadh a líon.
2a050700e0	Agus do sméideadar ar a gcompánachuibh, do bhí ann sa luing eile, do chum go dtiocfaidis chuca do thabhairt chunghnamh, dhóibh. Agus thangadarsan, agus do líonadar an dá luing, ionnus go rabhadar a niunmhe a mbáidhte.
2a05080092	Agus an tan do chonnairc Símon Peadar so, do shléuchd sé ag giúinibh Iósa, ag rádh, Imthigh úaim a Thighearna; óir is duine peacthach mé.
2a05090063	Óir do ghabh eagla é féin, agus a raibh na fhochair uile, ar son na gabhála éisg do ghabhadar:
2a050a00c5	Agus mar an gcéadna Séumas, agus Eóin, clan Shebedei, do bhí na gcompánachuibh ag Simon. Agus a dubhairt Iósa ré Símon, Na bíodh eagla ort; as so a mach bíaidh tú iasgaire ar dháoinibh.
2a050b0065	Agus an tan tugadarsan a ienga chum tire, ar bhfagbháil an uile neither dhóibh, do leanadar eisean.
2a050c00fe	Agus tárla, an tan do bhí sé a ccathruigh áirighe, fénch óglach lán do lubhra: agus ar bhfaicsin Iósa dhó do leig sé é féin síos ar aghaidh, agus do ghuidh sé é, a rádh, A Thighearna, más toil leachd é, is éidir leachd misi do ghlanadh
2a050d006c	Agus ar sineadh a láimhe, do bhean sé ris, ag radh, As toil: bí glan. Agus dfag an lubhra é ar an mball.
2a050e00ba	Agus do aithin sé dhe gan a innisin do dhuine ar bith: achd imthigh, taisbéin thú féin don tsagart, agus íodhbair ar son do ghlanta, mar do aithin Máoisi, mar fhíaghnaisi dhóibh.
2a050f0094	Achd is móide do leathnuighe a thúarasghbháil sin: agus do chruinnigh slúagh mór déisdeachd ris, agus dfagháil fóiríghne a dteinneas úadh.
2a0510004e	Achd do chúaidh seisean fá leith ar an bhfasach, agus do rinne sé urnuighe.
2a0511011a	Agus tárla go raibh sé lá áirighe, ag teagasg, agus go rabhadar na Phairisínigh agus doctúirí an dlighe na suidhe a láthair, noch tháinic as gach uile bhaile don Ghalilé, agus do thir Iúdaighe, agus ó Jerusaléim: agus do bhí cumhachda an Tighearna chum a slánuighthe.
2a05120094	Agus, féuch, do íomchradar dáoine a leabuidh oglach do bhí a bpairilis: agus do íarradar a thabhairt a sdeach, agus a chur na fhíadhnuisisean.
2a051300db	Agus an tráth nach bhfuaradar cáoi ar a thabhairt a sdeach tré mhéud ná cuideachda, do chúadar súas ar a tigh, agus do léigeadar é féin, agus a leabuidh sios tríd an slinnteach ar lár, a bhfíaghnuisi Iósa.
2a05140071	Agus ar bhfaicsin a gcreidimh dhósan, a dubhairt sé ris, A dhuine, a táid do pheacuidh ar na maithleamh dhuit.
2a051500c6	Agus thionnsgnadar na sgríobuidhe agus na Phairisinigh diosbóireachd do dhéanamh, ag rádh, Créd é an fearsa labhras blaisphéimighe? Cía fheúdus peacuigh do mhaitheamh, achd Día ná áonar?
2a0516008c	Achd ar naithne a smúaintighe Díosa, do fhreagair sé, agus a dubhairt sé ríu; Créd é an ní so smuaintighthísi an bhur gcroidhthibh?
2a05170063	Cia is usa, a rádh, A táid do pheacuidh ar na maitheamh dhuit; ná a rádh, Eirigh agus siobhail?
2a051800dd	Achd do chum go mbeith a fhíios agaibh go bhfuil cumhachda ag Mac an duine, peacuidh do mhaitheamh ar an dtalamh, (a dubhairt sé ré fear na pairilisi,) A deirimsi riot, Eirigh, tóg do leabuidh, agus imthigh dod thigh.
2a05190099	Agus ar néirghe dhósan ar an mball an a bhfiadhnuisi, do thóg an leabuidh an raibh sé na luighe, agus do chuaidh sé dhá thigh fein, ag moládh Dé.
2a051a008d	Agus do ghabh úathbhás cách uile, agus do mholadar Día, agus do líonadh deagla íad, ag rádh, Do choncamair neithe doichreidte a niugh.
2a051b00a6	Agus tar éisi so do chúaidh Iósa a mach, agus do chonnairc sé puibliocán, dár bháinm Lébhi, na shuidhe ag bord an chusduim: agus a dubharit séris, Lean misi.
2a051c0055	Agus ar bhfágbháil gach éin neithe dhósan, déirigh sé, agus do lean sé eisean.
2a051d008d	Agus do rinne Lébhi féusda mór dhó an a thigh féin: agus do bhí cuideachda mhór phuibliocán agus dáoine eile do shuidh na bhfochair.
2a051e00d6	Agus do rinne cuid díobh do bhi na sgríobuidhibh agus na Bhphairisíneachuibh monabhar a naghaidh a dheisciobalsan, ag rádh, Creud fá niththísi agus fá nibhthí a bhfochair na bpuibliocán agus na bpeacthach?
2a051f0079	Agus ag freagra a dubhairt Iósa ríu, Ní bhfuil ríachdanus leágha ar na dáoinibh slána; achd ar na dáoinibh tinne.
2a0520004f	Ní tháinic misi do ghairm na bhfiréunach, achd na bpeacthach chum aithrighe.
2a052100d2	Achd a dubhradarsan ris, Créud fá dtroisgid deisciobail Eóin go minic, agus créd fá ndéunuid síad urrnaighe, agus mar an gcéudna deisciobail na Bhphairisíneach; achd ithid agus ibhid do dheisciobailsi?
2a052200a4	Agus a dubhairt seision ríu, An bhféadtáoisi a thabhairt air chloinn tséomra an fhir núa phósda trosgadh do dhéunamh, an feadh bhías sé féin na bhfochair?
2a0523007a	Achd tiocfaid na láethe an tan bhéurthar an fear núa phósda úatha, ann sna láethibh sin do dhéunuid síad trosgadh.
2a052400d4	Agus a dubhairt sé fós tré chosamhlachd ríu; Ní chuireann neach ar bith preabán éuduigh núa air sheanchulaidh, nó, brisidh an téudach núa é, agus ní thig an preabán núaéuduigh leis a tseinéudach?
2a052500a7	Agus ní chuireann duine ar bith fíon núa a seanbhuidéuluibh; nó brisfidh an fíon núa na buidéil, agus dóirtfidhear an fíon agus rachuid na buidéil a múgba.
2a05260058	Achd fíon núa is cóir do chur a mbuidéuluibh núadha; agus béid síad aráon slán.
2a05270081	Agus ní bhfuil duine ar bith ibheas seinfhíon lér ab áill fíon núa ar ball: óir a deir sé, Is é seinfhíon is folláine.
2a060100bc	Agus tárla ag ghabháil trí ghortuibh dhósan, an dara sábboid taréis an cheud gur bheanadar a dheisciobáil déusa, agus tar éis a gcunnealta eidir a lámhuibh dhóibh, dúadar íad.
2a0602006b	Achd a dubhradar cuid do na Pharisineachuibh ríu, Créd fa ndéuntáoi ní nach indéanta ann sa tsáoire?
2a060300ae	Agus ar bhfreagra Díosa a dubhairt sé ríu, An né nár leughabhuirsi an ní so, do rinne Dáibhi, an tan do bhí ocrus air féin, agus ar an mhuinntir do bhí na fharradh;
2a060400d6	Cionnus do chúaidh sé a sdeach go tigh Dé, agus do ghlac sé arán na fiaghnuisi agus a dúaigh sé é, agus tug sé fós don mhuinntir do bhí na fhochair é: noch nár choir ithe achd do na sagurtuibh amháin?
2a0605004c	Agus a dubhairt seisean ríu, As Tighearna don tsábboid féin Mac an duine.
2a060600ad	Agus tárla fós a sábbóid eile, go ndeachuidh seisean a sdeach don tsinagóg agus gur theaguisg sé: agus do bhí óglach ann sin agá raibh a lámh dheas ar na seargadh.
2a060700b9	Agus do bhí coimhéud ag na sgríobuidhibh agus ag na Pharisineachuibh airsean, dá fhéuchuin an ndéanadh sé leigheas ann sa tsábbóid; do chum go bhfuighidís adhbar gearáin air.
2a060800b5	Achd daithin seisean a smúaintighthe, agus a dubhairt sé ris an duine agá raibh an lámh sheargthuigh, Eirigh, agus seas a lar cháich. Agus do éirigh seision agus do sheas sé.
2a060900ac	Ann sin a dubhairt Iósa ríusan, Fíafróchaidh misi dhíbhsi ní áirighe An cóir maith do dheanamh, nó olc dhéanamh sá tsábbóid? anum do shábháil, nó do sgrios?
2a060a00bc	Agus an tan do fhéuch sé orrtha uile na thimcheall, a dubhairt sé ris a nóglach, Sín amach do lámh. Agus do rinne seisean mar sin: agus do haiseagadh a lámh slán mar an lámh eile.
2a060b0068	Agus do líonadh íadsan do chuthach; agus do lúaidheadar ré a chéile créd do dheunaidis ré Híosa.
2a060c008f	Agus tárla ann sna láethibh sin, go ndeachuidh seisean amach ar shlíabh do dhéunamh úrnaighe, agus do chaith sé an oidhche ag guidhe Dé.
2a060d007f	Agus ar néirghe don lá, do ghoir sé a dhesiciobail chuige: agus do thogh sé dhá fhéar dhéug asda, dár ghoir se absdail;
2a060e0072	Simon, dár ghoir sé fós Peadar, agus Aindrías a dhearbhráthair, Séumas agus Eóin, Philip agus Bartoloméus,
2a060f0049	Matha agus Tomás, Séumas mac Alphei, agus Simon da ngoirthear Selótes.
2a06100058	Iudás deatbhráthair Shéumuis, agus Iudás Iscariót, (an té fós do bhráth eision).
2a06110127	Agus táinig sé a núas léo, agus do sheas sé ar mhachuire réidh, agus a choimhthionól deisciobail, agus mórán mór do phobal ó thír Iúdaighe uile agus ó Ierusalem, agus ó chois fairrge Thírus agus Shídon, noch tháinig deisdeachd leisin, agus dfagháil leighis ar a neasláintibh;
2a06120054	Agus a raibh ar ná gciorrbhadh ag spioraduibh neamhglana, agus do leighiseadh íad.
2a06130080	Agus do bhí an slúagh uile ag íarruidh cuimealta ris: óir do bhídh subhailce ag dul úadh, agus do shlánuidh sé iad uile.
2a06140097	Agus are dtógbháil a shúl súas dósan air a dheisciobluibh, a duiubhairt sé, As beannaighthe sibhsi a dháoine bochda: óir as libh flaitheas Dé.
2a06150094	As beannaighthe sibh a dháoine atá ocrach a nois: óir sáiséochthar sibh. As beannaighthe sibhsi cháoidheas a nois: óir do dhéuntáoi gáire.
2a061600c0	As beannaighthe bheithí, an tráth fhúathóchuid dáoine sibh, agus chuirfid siad as a gcuideachda sibh, agus imdheargfuid sibh, agus chuirfid bhur nainm amach mar olc, ar son Mhic an duine.
2a061700bb	Déunnidh gáirdeachus an lá sin, agus éirghidh a náirde ré lúthgháire: óir, féuch, as mór bhur lúaidheachd ar neamh: oír as mar sin do rinneadar a naithreacha ris na faibhibh.
2a06180052	Achd as anáoibhinn dáoibhsi a dháoine saidhbhre! óir atá bhur sólás aguibh.
2a061900a9	As anáoibhinn dáoibh a dháoine atá sáitheach! óir biáidh ocras orúibh. As anáoibhinn dáoibh a dháoine atá a gáirighe a nois! óir cáoifidhe agus goilfidhe.
2a061a008e	As anáoibhinn dáoibh, an tráth a déuruid na huile dháoíne mith ribh! óir as mar sin do rinneadar a naithreacha ris na fáidhibh fallsa.
2a061b0073	Achd a deirim ribhsi atá ag éisdeachd, Grádhuighidh bhur námhuid, déunuidh maith don dreim air ar fúadh sibh,
2a061c007f	Tabhruidh bhur mbeannachd don dreim mhalluigheas sibh, agus déunuidh urrnaíghe ar son na muinntire do ní bhur ndíoghbháil.
2a061d0093	An té bhúaileas tú air a ngíall iompó chuige an gíall eile; agus an té bheanus do chlóca dhíot ná bac dhe do chíota fós a bhreith leis.
2a061e0064	Agus tabhuir do gach neach íarrus ort; agus ón te thógbhás do chuid úait ná híarr air ais é.
2a061f0059	Agus mar as toil libh dáoine do dhéunamh dhíbh, deunuidhsi mar an gcéudna dhóibhsin.
2a062000ac	Oír má tá grádh aguibh don mhuinntir ghrádhuigheas sibh, créud é an buidheachus bhías oruibh? óir grádhuighid ná peacthuigh féin na dáoine ghrádhuigheas íad.
2a0621008f	Agus má níthí maith don mhuinntir do ní maith dhíbh, créud é an buidheachus bhías oruibh? óir do níd na peachtuidh féin an gcéadna.
2a062200e2	Agus dá dtugtháoi áirleagadh dona dáoinibh ó a sáoltí a fhagháil a rís, créud é an buidheachus bhias oruibh? óir do bheirid na peachthaidh áirleagadh do na peachthachaibh, do chum go bhfuighdís a leitheid a rís.
2a0623011b	Ar a nadhbharsin grádhuighidh bhur námhuid, agus déunuidh maith, agus tabhruidh áirleaghadh úaibh, gan súil ré héinní arís; agus budh mór bhur lúaideachd, agus beithí bhur gcloinn ag an té as Airde: óir bí seisean cinealta les na dáoinibh dombuídheacha agus saithe.
2a0624004b	Ar a nadhbharsin bíthísi trócaireach, mar atá bhur Nathuir trocuireach.
2a0625008b	Agus ná beiridh breath, agus ní bhéurthar breath oruibh: ná damnuighe, agus ní daiméontar sibh: maithidh, agus maithfithear dháoibh:
2a062600e3	Tabhruidh úaibh, agus do bhéurthar dháoibh; agus do bhéuruid dáoine an bhur nnched, moisúr maith, dingthe, craithte agus ag dul thairis. Oír as lesi an miosúr an a dtoimhéosdáoi, toimhéosdar mar an gcéudna dháoibh.
2a0627007b	Agus do labhuir se cosamhlachd ríu, An bhféudann an dall dhall eile dothreorigheadh? an ne neach duitdfid aráon sa díg?
2a06280076	Ní bhfuil an deisciobal ós cionn a mhaighisdir: achd gidh bé neach bhus diongmhála, bíaidh sé mar a mhaighisdir.
2a06290082	Agus créud fa a bhfaiceann tú an broth beag a súil do dhearbhráthar, agus nach dtugair dod aire an tsail atá ad shúil féin?
2a062a015d	Nó cionnus as éidir leachd a rádh réd dhearbhrathair, A dhearbhrathair, léig dhamh an broth atá ad shúil do bháin aisde, agus nách bhfaiceann tú an tsail atá ad shuil féin? A fhir an dhúarchrábhuidh, ar tus teílg amach an tsail as do shuil féin, agus an sin bhus léir dhuit, an broth atá a súil de dhearbhráthar do bhúain aisde.
2a062b005b	Oír ni maith an crann iomchras drochthoradh; agus ní holc an crann iomchras toradh maith.
2a062c008a	Oír is ó a thoradh aitheantar gach uile chrann. Oír ní chruinnighid dáoine fígidhe do dheilgneach, na cáora fineamhna do dhriseach.
2a062d00c2	Do bheir an duine maith ní maith as cisde maith a chroidhe féin; agus do bheir an droch dhuine droch ní as droch chisde a chróidhe fein: oír is as iomarcuidh an chróidhe, labhrus an béal.
2a062e006a	Achd créud fá ngoirthísi, A Thighearna, a Thighearna dhíomsa, agus nach déuntáoi na neithe a deirim?
2a062f0091	Gach uile neach thig chugamsa, agus éisdeas rém bhríaththruibh, agus do ní dhá reir, foillséochuidh mé dháoibhsi cía ré ar cosmhuil é:
2a0630012b	As cosmhuil é ré neach do thóg a thigh, agus do thochail, agus do chúaidh go domhuin a dtalumh, agus do chuir a shocrughadh ar charruig: agus mar tháinig an tuile, do bhúail an sruth go fíochmhar fán dtigh úd, achd níor bhéidir leis a chorrughadh: óir do bhí sé socrughthe ar charruig.
2a063100d3	Achd gidh bé chluin, agus nach deun, as cosmhuil é ré neach do thóg a thigh air thalamh gan socrughadh; air ar bhúail an tuile go fíochmhar, agus do thuit sé do láthair; agus ba mór tuitim an tighe sin.
2a07010077	Agus an tráth do chríochnuigh sé a bhríathra uile a néisdeachd an phobail, do chúaidh sé a sdeach go Capernáum.
2a07020060	Agus do bhí óglach caiptin áirighe, go bréoite, a riochd bháis, air a raibh cion mór aige.
2a0703009d	Agus an tan do chúaluidh sé tuarasgbháil Iósa, do chuir sé sinnsir na Níuduighe chuge, ag íarruidh air teachd agus a shearbhfhoghantuidhe shlánughadh
2a07040073	Agus an tan thangadar so chum Iósa, díarradar air go díthcheallach, ag rádh, Gur bhfíu é so do thabhuirt dó:
2a0705004c	Oír atá grádh áige dar gcineadhne, agus do thóg sé sionagóg dhúinne.
2a070600e8	Agus do chuaidh Iósa léo. Agus an tan do bhí sé a ngar don tigh, do chuir an caiptín a cháirde chuige, ag rádh ris, A Thighearna, Ná cuir búaidhreadh ort féin: óir ní fíu misi go rachfá a sdeach fá chléith mo thighe:
2a0707007c	Ar a nadhbharsin níor mheas mé gur bhfíu mé féin dul ad ionnsuighe: achd abhuir a bhfocal, agus bíaidh móglach slán.
2a070800b9	Oír as duine misi féin atá faoi chumhachdiabh. Aga bhfuilid saighdíuirigh fum, agus a deirim ris an bhfearso, Imthigh, agus imthighe sé; agus ré fear eíle, Tárr, agus thigh sé;
2a070900cd	Agus ar ná gcloisdin so Díosa, do bhí iongnadh aige ann, agus ar bhfilleadh dhó, a dubhairt sé ris a tslúagh do lean é, A deirim ribh, Nach bhfuair mé a Nisrael féin, a chomhmór se do chreideamh.
2a070a0077	Agus ar bhfilleadh a steach, do na teachduiribh do cuireadh chuige, fúaradar an searchfhoghantaidh do bhí tinn slán.
2a070b00a1	Agus tárla an lá na dhiáigh sin, go ndeachaidh sé don chathruigh dá ngoirthear Náin; agus do chúadar mórán dá dheisciobluibh leis, agus buidhean mhór.
2a070c00e3	Agus an tan tháinig sé a ngar do dhoras na caithreach, fénch, do bhí duine marbh agá bhreith amach, do bhí na áon mhac agá mháthair, agus í na baintreabhaigh; agus do bhí coimhthionól mór ón chathruigh na fochair.
2a070d0065	Agus ar na faicsin don Tighearna, do ghabh trúaighe mhór dhi é, agus a dubhairt sé ría, Na guil.
2a070e00a2	Agus táinic sé agus do bhean sé ris an gcomhraidh: (agus do sheasadar an luchd do bhí agá iomchar) agus a dubhairt sé; A ógánaigh, a deirim riot, éirigh.
2a070f0070	Agus déirigh an duine marbh na shuidhe, agus do thionnsgain sé labhairt. Agus tug sé dhá mháthair féin é.
2a0710008e	Agus do ghabh eagla íad uile: agus tugadar glóir do Dhía, ag rádh, Déirghe fáidh mór an ar measg; agus, Dféuch Día ar a phobal féin.
2a07110076	Agus do chúaidh an túarasgbháil so amach air féadh thíre Iúdaighe uile, agus air feadh gach éintíre timcheall.
2a07120038	Agus dinnseadar a dheisciobail na neithe so uile Déoin.
2a071300bf	Agus are ngairm Deóin deisi áirighe dá dheisciobluibh chuige do chuir sé dionsuighe Iósa íad, ag rádh, An tusa an té do bhí chum teachda? nó an bhfuilmid ag feathamh ré neach eile?
2a071400b7	Agus an tan thangadar na firsi shuigesean, a dubhradar, Do chuir Eóin Baisde sinne chugad, ag rádh, An tusa an té do bhí chum teachda? nó an bhfuilmid ag feathamh ré neach eile?
2a071500aa	Agus ar an uár sin fein do chlánuigh seisean mórán dáoine ó easláintibh agus ó phláighibh, agus ó dhroch spioraduibh; agus thug sé á radharc do mhórán dall.
2a07160130	Agus ar bhfreagra Díosa a dubhairt sé ríu, Ar nimtheachd díbh, innisidh Deóin na neithe do chonncabhair agus do chúalabhair; go bhfaicid na daill, go siubhlaíd na bacuidh, go nglantar na lobhair, go gchimid na bodhair, go néirghid na mairbh, go bhfuil an soisgéul dá sheanmóir do na bochdaibh.
2a0717003e	Agus as beannaighthe an té, nach bhfuighe oilbhéim ionnumsa.
2a071800e6	Agus an tráth do imthigheadar teachdairighe Eóin, do thionnsgoin seison a rádh ris an bpobal a dtimcheall Eóin, Créud é an ní agá ndeachabhair dhá fhéuchain amach ar an bhfásach? An giolcach ar na bhogadh ag an ngaoith?
2a071900d7	Achd créud é an ní agá ndeachabhair amach dá Chéuchuin? Duine atá ar na éudughadh a néuduighibh mine? Féuch, an luchd bhíos a néudaighibh onóracha, agus a saimhe, is a bpálásuibh na ríogh bhíd said.
2a071a007d	Achd créd é an ní agá ndeachubhair amach dhá fhéuchuin? Fáidh? A deirim ribh go firinneach, agus ní as mó ná faidh.
2a071b006c	Ag so an te, ar a bhfuil sgríobhtha, Féuch, cuirim mo theachdaire romhad, oillmhéochus do shlighe romhad.
2a071c0098	Oir a deirim ribh, Nach bhfuil éidir chlannuibh na mban faidh as mó ná Eóin Baisde: Achd cheana an té as lugha a rioghachd Dé as mó é na eisean.
2a071d007d	Agus ar na gcloisdin so, do mholadar an pobal uile, agus na puibliocáin, Día, do bhí ar na mhaisdeadh ré baisdeadh Eóin.
2a071e008a	Achd tugadar na Phairsínigh agus an luchd dlighe tarcuisne ar choinhairle Dé na naghuídh féin, gan a bheith ar na mhaisdeagh úadhsan.
2a071f006c	Agus a dubhairt an Tighearna, Cía ré saimhéola mé daóine an chinidh so? agus cía ré ar comshuil íad?
2a072000e6	As cosmhul íad re leanbuibh na suidhe ar áit an mharguidh, agus éighmheas ar á chéile, agus a deir: Dó rinneamair píobaireachd dhaóibh, agus ní dhearnabhair damhsa; do rinneamair caoí dhaóibh, agus ní dhearnabhair gul.
2a07210064	Oír tháinig Eóin Baisde ní ag ithe aráin ná ag ol fíona; agus a deirthísi, Atá deamhan ann.
2a0722008e	Tháinic Mac an duine ag ithe agus ag ól; agus a deirthí, Feuch an duine cráosach, fioníobhaighe cara na bpuibliocán agus na bpeachthach!
2a0723003a	Achd atá an eagna ar na sáoradh ó na cloinn féin uile.
2a072400a7	Agus do íarr duine áirighe do na phairisíneachaibh air, bíadh ithe na fhochair. Agus ar ndul a sdeach go tigh an phairisínigh dhó, do shuidh sé sios chum bídh.
2a072500a4	Agus, féuch, an tráth fúair bean don chatbraigh, do bhí na peachthach, a fhios go raibh sé na shuidhe ag bíadh a dtígh an phairisinigh, tug si bocsa ola lé,
2a072600d6	Agus ar seasamh agá chosuibh don táobh shiar dhe ag gul, do thionnsgain sí a chosa dionnladh lé na déuruibh, agus a dtiurmughadh lé gruáig a cinn, agus do phóg sí a chosa, agus do ong sí leis an ola íad.
2a072700db	Agus an tan do chonnaire an phairisineach tug an cuirteadh dhósan sin, smuáin sé na inntinn, ag rádh, Dá madh fáidh an fearso, daithnéochadh sé cía agus gá bionnus an bheanso bheanus ris, óir as peacthach í.
2a0728008e	Agus ar bhfreagra Díosa a dubhairt sé rís, A Shiomóin, atá ní agam ré rádh riot. Agus a dubhairt seision, A Mhaighisdir, abuir romhad.
2a0729007e	Do bhádar días dfeitheamhnuibh ag fear áirligthe: do dhligh sé cúig chéad pighinn dfior aca, agus cáogad don dara fear.
2a072a00a2	Agus an tráth nach raibh díolaigheachd ag ceachdar díobh ré na thabhairt dó, do mhaith sé dhóibh aráon. Uime sin ínnis damhsa, cia aca léir ab annsa é?
2a072b009f	Agus ar bhfreagra do Shímón a dubhairt sé, Measuim gur leis an té, dár mhaith sé an tsuim as mó Agus a dubhairt seision is, As maith an bhreath rug tú.
2a072c0116	Agus ar bhfilleadh dhó chum na mná, a dubhairt sé ré Síomón, An bhfaicean tú an bhean so? tháinic misi a sdeach dod thighsi agus ní thug tú uisgi chum mo chos díonladh: achd do nigh an bhean so mo chosa le na déuruibh, agus dé thiormuigh sí íad le grúaig a cinn.
2a072d005e	Ní thug tusa póg dhamh: achd ó tháinig mé a sdeach níor choisg sisi do phógadh mo chos.
2a072e0052	Níor ong tú mo cheann lé hola: achd do ong an bhean so mo chosa ré huinnement.
2a072f00b2	Ar a nadhbharsin a deirim riot, Go bhfuilid a hiomad peacaidh, ar na maitheamh dhi; air sin as mór a grádheas sí. Achd gidh bé dá maithtear beagan as beag grádhuigheas sé.
2a07300044	Agus a dubhairt sé ría, Atáid do pheacuidh ar na maitheamh dhuit.
2a07310096	Agus do thionnsgnadar an lion do bhí na suidhe na fhochair air an mbórd, a rádh ionnta féin, Cía an fear so mhaitheas na peacuidh mar an gceadna?
2a0732005d	Agus a dubhairt sé ris an mnáoi, Do shlánuigh do chréideamh thú; imthigh a síothcháin.
2a080100b6	Agus tárla na dhiáigh so, gur shiobhuil seisean tré gach cathair, agus gach baile, ag seanmórughadh, agus ag siosgéulughadh ríoghachda Dé: agus an dá fhear dhég na fhochair,
2a08020090	Agus mná áirighe, do leigheasadh ó dhroichspioraduibh agus ó easláintibh, Muire dá ngoirthí Mhagdalén, as a ndeachadar seachd ndeamhain,
2a08030073	Agus Ioanna bean Chúsa feadmannuigh Iorúaith, agus Susanna, agus mórán eile, do chaith risean dá máoin féin.
2a08040081	Agus an tan do chruinnigh buidhean mhórr, agus trangadar as gach uile chathruigh chuigesion, do labhair sé a gcosamhlachd riú:
2a08050109	Do chúaidh síoladóir áirighe amach do chur a shíl féin: agus ag cur an tsíl do, do thuit cuid de chois na sligheadh; agus ag cur an tsíl dó, do thuit cuid de chois na sligheadh; agus do brughadh fá chosaibh dáoine é, agus dithadar énlaith a naiéir é.
2a0806006c	Agus do thuit cuid eile ar charraic; agus ar bhás dó, do shearg sé, do bhrígh nach raibh taisleach aige.
2a0807006e	Agus do thuit cuid eile a measg deilguigh; agus ar bhfas don deilgneach a náoinfheachd ris, do thachdadar é.
