0100000008	Suencuek
07011c005a	Israel a om vaengah a moem tih Kanaan te saldong la a khueh tih a haek rhoe a haek moenih.
07011d006d	Gezer ah aka om Kanaan te khaw Ephraim loh ana haek pawt dongah Gezer kah Kanaan tah amih lakli ah kho a sak.
07011e0091	Kitron kah khosa rhoek neh Nahalal kah khosa rhoek te khaw Zebulun loh ana haek pawt dongah a lakli ah Kanaan loh kho a sak tih saldong la om uh.
07011f0075	Akkho kah khosa rhoek, Sidon kah khosa rhoek neh Ahlab, Akhzib, Helbah, Aphek, Rehoh te khaw Asher loh ana haek pawh.
070120005b	Amih te ana haek pawt dongah khohmuen kah aka om Kanaan lakli ah Asher long khaw kho a sak.
07012100dc	Bethshemesh kah khosa rhoek neh Bethanath khosa rhoek te Naphtali loh ana haek pawt dongah khohmuen kah aka om Kanaan lakli ah kho a sak. Tedae Bethshemesh neh Bethanath kah aka om rhoek te tah amih ham saldong la om uh.
0701220060	Tlang kah Dan ca rhoek te Amori loh la a nen dongah anih te tah kol la suntlak sak ham pae pawh.
0701230096	Amori khaw Heres tlang, Aijalon neh Shaalbim ah khosak ham huul uh ngawn dae Joseph imko kah a bong a ban a puel phoeiah tah amih te saldong la om uh.
0701240041	Amori khorhi he Akrabbim kham lamloh Sela voelh a poeng duela om.
07020100f8	BOEIPA puencawn te Gilgal lamloh Bokim la cet tih, “Na pa rhoek taengah ka caeng vanbangla nangmih te Egypt lamkah kan doek tih nangmih he khohmuen khuila kang kun puei coeng. Te dongah, 'Nangmih taengkah ka paipi te kumhal duela ka phae mahpawh.
0702020093	Tedae khohmuen kah khosa rhoek neh paipi na saii uh mahpawh. A hmueihtuk te palet pa uh,’ ka ti lalah ka ol na ngai kolla bahamlae he he saii uh?
07020300b6	Te dongah, 'Amih te na mikhmuh lamkah ka haek voel pawt vetih voeivang ah nangmih taengah kho a sak uh ni, amih kah pathen nangmih taengah hlaeh la om uh ni,’ ka ti coeng,” a ti.
0702040074	He ol he BOEIPA kah puencawn loh Israel ca rhoek boeih taengah a thui vaengah pilnam loh a ol a huel uh tih rhap uh.
0702050050	Te dongah tekah hmuen te Bokim tila ming a sak uh tih BOEIPA te pahoi a nawn uh.
070206006c	Joshua loh pilnam te a tueih daengah, Isreal ca rhoek loh a rho te rhip a paan uh tih khohmuen te a huul uh.
07020700c4	Joshua tue boeih neh Joshua phoeikah hinglung aka vang a hamca rhoek, Israel ham a len la a saii pah BOEIPA bibi boeih aka hmu rhoek kah a tue khuiah tah pilnam loh BOEIPA taengah tho a thueng uh.
070208004f	BOEIPA kah sal Joshua, Nun capa Joshua tah ya neh kum rha a lo ca vaengah duek.
0702090058	Anih te Gaash tlang, tlangpuei Ephraim tlang Timnathkhehres kah amah rho rhi ah a up uh.
07020a00a5	Te vaengkah cadilcahma boeih loh a napa rhoek taengla a khoem uh tih amih hnukah aka poe cadilcahma long tah BOEIPA khaw, Israel ham a saii pah bibi te ming uh pawh.
07020b0056	Israel ca rhoek loh BOEIPA mikhmuh ah thae a saii uh tih Baal te tho a thueng thil uh.
07020c00c3	A napa rhoek kah BOEIPA Pathen, Egypt kho lamkah amih aka khuen te a hnoo uh. A kaepvai kah pilnam pathen, pathen tloe rhoek kah a hnuk te a vai uh tih a bakop thil uh dongah BOEIPA te a veet uh.
07020d0040	BOEIPA te a hnoo uh. Baal neh Ashtoreth taengah tho a thueng uh.
07020e00e4	BOEIPA kah thintoek loh Israel taengah sai tih aka tuk aka vat rhoek kut ah a tloeng dongah amih te a reth uh. Amih te kaepvai kah a thunkha rhoek kut ah a yoih coeng dongah a thunkha rhoek mikhmuh ah koep pai uh thai voel pawh.
07020f00a3	BOEIPA loh a thui tih amih taengah BOEIPA loh a caeng vanbangla a caeh uh takuem ah BOEIPA kut loh amih taengah yoethaenah la a om pah tih amih te mat a daengdaeh.
0702100067	Tedae lai aka tloek te BOEIPA loh a phoe sak dongah amih aka tuk aka vat kut lamloh amih a khang la om.
07021100ea	Tedae amih kah lai aka tloek te khaw hnatang uh pawh. Te dongah pathen tloe rhoek taengah cukhalh uh tih amih taengah bakop uh. A napa rhoek kah a pongpa nah longpuei te koeloe a phaelh uh tih BOEIPA olpaek hnatun ham he saii uh pawh.
07021200fb	Amih ham lai aka tloek te BOEIPA loh a phoe sak vaengah khaw lai aka tloek te BOEIPA loh a om puei. Amih aka nen tih amih aka huet mikhmuh ah a nguekcoinah te BOEIPA khaw hal tih lai aka tloek kah a tue khuiah tah a thunkha kut lamloh amih te a khang.
07021300dc	Tedae lai aka tloek te a duek vaengah tah mael uh bal tih a napa rhoek lakah taoe poci uh. Amih taengah thothueng ham neh amih te bawk ham a tloe pathen hnukah pongpa uh. A khoboe neh a mangkhak longpuei te voei uh pawh.
070214008e	Te dongah BOEIPA kah a thintoek loh Israel taengah sai tih, “A napa rhoek ham ka uen, ka paipi te namtu loh a poe tih kai ol hnatun uh pawh.
070215007d	Namtom lamkah te amih mikhmuh ah hlang haek hamla ka koei mahpawh. Te te Joshua loh a hnoo tih amah khaw duek coeng,” a ti.
070216008f	Israel loh BOEIPA kah longpuei a ngaithuen tih a khuiah pongpa ham te a napa rhoek kah a ngaithuen bangla a ngaithuen pawt khaw amih te a noem.
0702170062	Te dongah BOEIPA loh namtom rhoek te koeloe a haek kolla a paih tih Joshua kut ah tloeng pah pawh.
0703010072	namtom rhoek khaw Kanaan kah caemtloek pakhat khaw aka ming pawh Israel boeih te noemcai ham ni BOEIPA loh a hlun.
0703020077	Te daengah ni a mikhmuh ah caemtloek aka ming pawh Israel ca rhoek ka cadilcahma loh caemtloek a cang ham te a ming eh.
0703030096	Te vaengah Philisti boei panga neh Kanaan boeih Baalhermon tlang lamloh Lebokhamath duela Lebanon tlang ah kho aka sa Sidoni neh Khivee rhoek te khaw,
070304008f	BOEIPA kah olpaek te a yaak uh nim? Te nen te noemcai ham tih Israel te ming sak ham om coeng. Te te Moses kut lamloh a napa rhoek a uen coeng.
0703050068	Te dongah Isreal ca rhoek loh Kanaan kah Khitti, Amori Perizzi, Khivee neh Jebusi lakli ah kho a sak uh.
070306007c	Amih nu te a yuu la a loh uh tih a ca rhoek te amih Kanaan nu te a paek uh dongah amih kah sungrhai taengah tho a thueng uh.
070307008f	Te vaengkah Israel ca rhoek BOEIPA mikhmuh ah thae a saii uh tih BOEIPA a Pathen te a hnilh uh dongah Baal neh Asherah te tho a thueng thil uh.
07030800bc	Te vaengah BOEIPA kah thintoek Israel taengah sai. Te dongah amih te Aramnaharaim manghai Kushanrishathaim kut ah a yoih tih Israel ca rhoek te Kushanrishathaim taengah kum rhet thotat uh.
07030900bf	Tedae Israel ca rhoek te BOEIPA taengah pang uh tih Israel ca rhoek ham khangkung te BOEIPA loh a thoh pah. Te vaengah Kaleb amah lakah aka noe, a mana Kenaz capa Othniel loh amih te a khang.
07030a00d6	Anih te BOEIPA Mueihla loh a om thil dongah Israel ham lai a tloek pah. Caemtloek la a caeh vaengah Aram manghai Kushanrishathaim te anih kut ah BOEIPA loh a paek. Te dongah a kut te Kushanrishathaim soah taenglue.
07030b0047	Te dongah khohmuen he kum sawmli mong tih Kenaz capa Othniel khaw duek.
07030c00ac	Tedae BOEIPA mikhmuh ah thae saii ham Israel ca rhoek loh a khoep uh tih BOEIPA mikhmuh ah thae a saii uh dongah Israel soah Moab manghai Eglon te BOEIPA loh a tanglue sak.
07030d0085	Te vaengah Ammon neh Amalek koca rhoek tah anih taengla kibaeng uh. Israel te a paan tih a tloek dongah rhophoe khopuei te a huul uh.
07030e0050	Te dongah Isreal ca rhoek te Moab manghai Eglon taengah kum hlai rhet thotat uh.
07030f0101	Israel ca rhoek loh BOEIPA te a pang thil uh vaengah amih ham khangkung la Benjamin koca, Gera capa Ehud te, BOEIPA loh a thoh pah. Anih te bantang kut aka poem hlang ni. Te dongah Israel ca rhoek loh anih kut dongah Moab manghai Eglon ham khocang a pat uh.
0703100084	Te vaengah Ehud amah ham cunghang a saii tih a ha rhaepnit neh a sen dongkhat lo. Te te a himbai khui kah a bantang phai la a kaelh.
0703110050	Moab manghai Eglon taengla khocang a thak vaengah Eglon a sak hoeng paduk la om.
070312004d	Khocang nawn ham te bawt a coeng phoeiah khocang aka phuei pilnam te a tueih.
07031300d7	Tedae amah te tah Gilgal kah mueidaep ah bal tih “Manghai nang ham kai taengah yinhnuk ol om,” a ti nah. Te dongah manghai loh, “Saah lah,” a ti nah tih a taengkah aka pai boeih te anih taeng lamloh nong uh.
07031400bc	Te dongah nohung imhman ah amah bueng a ngol vaengah Ehud loh a paan. Te phoeiah Ehud loh, “Nang hamla kai taengah Pathen kah olka om,” a ti nah. Te vaengah ngolkhoel dong lamloh thoo.
0703150078	Ehud loh banvoei kut te a yueng phoeiah a bantang phai kaep kah cunghang a loh tih manghai kah a bung khuila a thun pah.
0703160092	Te vaengah thihna hnukah a tueng pataeng khaw muelh. A bung lamkah cunghang te a bong pah pawt dongah thiha te a tha loh a yol tih a aek khaw coe.
070317004a	Ehud te imkawt la cet imhman thohkhaih te a hnukah khoep a dan tih a kalh.
07031800b7	Anih a caeh phoei daengah manghai sal rhoek te ha pawk uh hatah imhman thohkhaih khoep a kalh uh te lawt a hmuh uh. Te dongah, “Nohung imhman ah a kho a khuk pueng muema “a ti uh.
070319009b	A yah duela a rhing uh dae imhman thohkhaih te ong tarha pawh. Te dongah cabi a loh uh tih a ong uh hatah a boei te diklai ah a duek la tarha ana yalh pah.
07031a0070	Amih a uelh uh vaengah Ehud tah vawl loeih. Te dongah anih tah mueidaep rhoek te a poeng tih Seirah duela loeih.
07031b0094	A pha van neh Ephraim tlang ah tuki a ueng. Te vaengah tlang lamkah Israel ca rhoek tah anih taengla suntla uh. Tedae anih te amih hmai la om coeng.
07031c00fd	Te phoeiah Ehud loh amih te “Na thunkha Moab te BOEIPA loh nangmih kut dongla m'paek coeng dongah kai hnuk han hloem uh,” a ti nah. Te dongah anih hnukah suntla uh tih Moab te Jordan lamkai ah a tuuk uh tih hlang pakhat khaw kat sak ham pae uh pawh.
07031d0086	Te vaeng tue kah Moab a tloek te hlang rhalh boeih neh tatthai hlang boeih te thawng rha tluk lo tih hlang pakhat khaw loeih sak pawh.
07031e005e	Te khohnin ah Moab loh Israel kut hmuiah kunyun sut tih khohmuen loh kum sawmrhet khuiah mong.
07031f007d	Ehud phoeiah tah Anath capa Shamgar om tih Philisti hlang ya rhuk neh vaito ciksum te a tloek phoeiah Israel te khaw a khang.
070401005b	Ehud a duek phoeiah BOEIPA mikhmuh ah thae saii ham te Israel ca rhoek loh koep a khoep uh.
070402009e	Te dongah amih te BOEIPA loh Hazor aka manghai thil Kanaan manghai Jabin kut neh anih kah caempuei mangpa Sisera, Kharosheth-hagoyim ah aka om taengah a yoih.
070403008a	Anih te thi leng ya ko a khueh dongah Israel ca rhoek te thamanah neh kum kul a nen. Te dongah Israel ca rhoek tah BOEIPA taengah pang uh.
0704040052	Te vaeng tue ah Lappidoth yuu tonghmanu, nu Deborah loh Israel ham lai a rhoe pah.
0704050099	Deborah te Ephraim tlang kah Ramah laklo neh Bethel laklo kah rhophoe hmuiah kho a sak. Te vaengah laitloeknah ham Israel ca rhoek loh anih te a paan uh.
0704060101	Te vaengah Kedesh Naphtali lamkah Abinoam capa Barak te a tah tih a khue. Te phoeiah anih te, “Israel Pathen BOEIPA loh ng'uen moenih a? Cet lamtah Tabor tlang la mawt. Naphtali ca rhoek neh Zebulun ca rhoek khui lamkah hlang thawng rha namah neh puei uh.
07040700a3	Jabin kah caempuei mangpa Sisera neh anih kah leng khaw, a hlangping te khaw nang taengah Kishon soklong duela kan sol vetih na kut ah kam paek bitni,” a ti nah.
0704080092	Barak loh Deborah taengah, “Ka taengah na pongpa atah ka cet ngawn ni, tedae kai taengah ni na pongpa pawt atah ka cet van mahpawh,” a ti nah.
0704090115	Te dongah, “Nang taengah ka pongpa khaw ka pongpa ngawn suidae, na pongpa nah longpuei kah Sisera te BOEIPA loh huta kut dongla a yoih coeng dongah nang kah na boei na mang ngawn tah om voel mahpawh,” a ti nah. Te phoeiah Deborah te thoo tih Barak te Kedesh la a caeh puei.
07040a008b	Kedesh ah Zebulun neh Naphtali te Barak loh a hueh. Te vaengah a kho neh hlang thawng rha a caeh dongah Deborah khaw anih taengla luei van.
07040b0079	Te vaengah Moses masae Hobab koca Heber Keni tah Kain lamloh hoep uh tih Kedesh Zaanannim kah thingnu taengah dap a tuuk.
07040c0054	Te phoeiah Tabor tlang kah Abinoam capa Barak a luei te Sisera taengla a puen pa uh.
07040d0095	Sisera loh amah kah leng rhoek te thi leng ya ko la boeih a hueh tih amah taengkah pilnam pum te Kharosheth-hagoyim lamloh Kishon soklong la a khuen.
07040e00f9	Te dongah Deborah loh Barak taengah, “Sisera he na kut dongla BOEIPA loh m'paek coeng dongah tihnin ah thoo laeh. Na mikhmuh ah BOEIPA a caeh moenih a?,” a ti nah. Te dongah Barak loh a hnukah hlang thawng rha neh Tabor tlang lamloh suntla thuk.
07040f00a8	Sisera neh leng boeih, caem boeih te Barak mikhmuh ah BOEIPA loh cunghang ha neh a khawkhek pah. Te dongah Sesera tah leng dong lamloh rhum tih a kho neh vik rhaelrham.
070410009e	Tedae leng hnuk neh caem hnuk te Barak loh Kharosheth-hagoyim duela a hloem. Te dongah Sisera caem te cunghang ha neh boeih a tulh tih pakhat khaw sueng pawh.
070411009b	Tedae Hazor manghai Jabin laklo neh Keni Heber imko laklo ah he rhoepnah la ana om dongah Sisera tah Keni Heber yuu Jael kah dap duela a kho neh rhaelrham.
07041200b6	Te dongah Jael tah Sisera doe hamla cet tih, “Ka boeipa ha pah dae, kai taengla ha pah dae, rhih boeh,” a ti nah. Te daengah te dap khuila kun tih anih te himbai neh mulh a khuk.
070413009c	Te phoeiah Jael taengah, “Tui ka halthi coeng tih a yol khaw bet n'tul laem,” a ti nah. Te dongah suktui tuitang te a ong tih a tul phoeiah koep a khuk.
07041400a6	Sisera loh Jael taengah, “Dap thohka ah pai lamtah hlang aka lo ni om tih nang n'dawt vaengah, 'Hlang om mai a?,’ a ti,” atah, 'Om pawh,’ ti nah,” a ti nah.
07041500db	Tedae Heber yuu Jael loh dap kah hlingcong te a loh tih a kut dongah thilung a pom. A muel la Sisera te a paan tih a baengpae khuila hlingcong te a hen. A ih muelh vaengah cirhong dongah a pawlh coeng dongah pahoi duek.
07041600f5	Barak loh Sisera te a hloem vaengah anih aka doe la Jael lawt ha moe tih, “Halo la lamtah nang loh na tlap hlang te namah kan tueng eh?,” a ti nah. Tedae a kun rhoi vaengah Sisera tah a baengpae kah hlingcong dongah a duek la tarha ana yalh.
0704170060	Tekah khohnin ah Kanaan manghai Jabin te Pathen loh Israel ca rhoek kah mikhmuh ah a kunyun sak.
070418007d	Israel ca rhoek kah kut aka cu long khaw Kanaan manghai Jabin taengah rhaprhap a cuk thil tih Kanaan manghai Jabin te a saii.
0705010047	Te vaeng khohnin ah Deborah neh Abinoam capa Barak loh a hlai rhoi tih,
0705020065	Pilnam loh a puhlu vaengah, Israel khuiah tawnlo rhoek khaw lim hamla, BOEIPA tah a yoethen pai saeh!
070503007f	Manghai rhoek loh ya nawn saeh, boeica rhoek loh hnatun saeh, BOEIPA te ka hlai vetih, Israel Pathen BOEIPA te ka tingtoeng ni.
0705040088	“BOEIPA, Seir lamkah na lo tih, Edom khohmuen lamkah na luei vaengah, diklai hinghuen tih vaan rhoek khaw cip, khomai khaw tui la pha.
070505005a	“Sinai kah BOEIPA mikhmuh ah, Israel Pathen BOEIPA mikhmuh ah tlang rhoek khaw moelh uh.
070506007d	“Anath capa Shamgar tue vaengah, Jael tue vaengah, caehlong mueng tih a hawn kah aka cet khaw caehlong a kael te a paan uh.
070507006a	Israel ah khosakung a tal he, Deborah a thoh duela tal uh coeng tih, Israel khuikah manu la ka phoe coeng.
0705080077	Pathen thai rhoek a tuek uh vaengah vongka ah rhal khaw om dae, Israel thawng sawmli kah photling neh, cai ke hmu pawh.
0705090069	Ka lungbuei loh, Israel aka taem taeng neh pilnam taengah aka puhlu rhoek, BOEIPA tah a yoethen pai saeh.
07050a006b	Laak bok dongah aka ngol rhoek, himbaidok dongah aka ngol tih, longpuei kah aka cet rhoek loh lolmang saeh.
07050b00ae	Sihthang ah aka phayang rhoek kah ol long tah, BOEIPA kah duengnah neh a khosakung rhoek kah duengnah te Israel lakliah a thoelh uh tih BOEIPA pilnam kah vongka la suntla uh.
07050c008a	Haenghang laeh, haenghang laeh, Deborah, haenghang laeh, haenghang laeh laa thoh laeh. Thoo laeh, Barak na tamna Abinoam capa te sol laeh.
07050d007d	Rhaengnaeng loh, BOEIPA kah pilnam aka khuet rhoek taengla a suntlak vaengah kai taengah khaw hlangrhalh rhoek neh ha suntla.
07050e00ae	Amih yung te Ephraim lamloh Amalek khui la, namah hnukkah Benjamin neh Makir lamkah na pilnam long khaw, lairhoe mancai aka thueng, Zebulun khui lamkah aka taem la ha suntla.
07050f0096	Ka mangpa rhoek khaw Issakhar neh Deborah khuiah, Barak khaw Issakhar bangla a kho neh tuikol la a paan tih, Reuben kho-rha ah lungbuei khenah la yet.
0705100072	Balae tih saelvong laklo ah na ngol, lungbuei khenah aka yet he, Reuben khorha ah tuping kah a rhungnah aka ya la.
0705110095	Gilead loh Jordan rhalvang ah a om vaengah, Dan khaw balae tih sangpho dongah a bakuep? Asher loh tuitun langkaeng ah kho a sak tih lihmoi ah om sut.
070512004e	Zebulun neh Naphtali tah, hmuen sang ah duek ham, a hinglu aka soek pilnam ni.
0705130097	Vathoh manghai rhoek ha pawk uh tih, Kanaan manghai rhoek te Meggido tui kah, Taanakh ah a tloek vaengah, mueluemnah neh cak pakhat pataeng lo uh pawh.
0705140064	Vaan lamkah aisi rhoek lo a vathoh puei dongah, amih loh Sisera te longpuei lamkah a vathoh thil uh.
0705150064	Kishon soklong loh amih te a yo, khosuen soklong Kishon soklong, ka hinglu na sarhi neh na hnah mai.
0705160048	Te vaengah marhang aka lueng loh, rhetlonah a pet te a khomae a phop uh.
07051700bd	Meroz te thaephoei thil. BOEIPA kah puencawn loh, “BOEIPA kah bomnah, BOEIPA kah bomnah loh, hlangrhalh rhoek te a paan pawt dongah, a khuikah khosa rhoek te thaephoei thil saeh,” a ti.
0705180060	Keni Heber yuu Jael, huta rhoek khuiah na yoethen. Dap khuikah huta rhoek lakah khaw na yoethen.
0705190056	Tui a hoe vaengah, suktui a paek tih, aka khuet baeldung dongah, suknaeng a khuen pah.
07051a00a5	Hlingcong te a kut neh a thueng tih a bantang lamloh thakthaekung kah thilung neh, Sisera te a hen. Te dongah a lu te pop. Te vaengah a phop tih a baengpae la pawlh.
07051b0086	A kho ah a sop uh doela cungku tih yalh. A kho laklo ah sop uh tih, a yalh vaengah a sop nah hmuen ah, cungku tih pahoi rhoelrhak sut.
07051c009d	Bangbuet long a dan vaengah thohhuel ah Sisera manu te rhap, “Ba aih lae anih kah leng tah ha pawk ham a uelh? Ba aih lae anih kah leng tah khokan a hnong.
07051d0042	A boeinu hlangcueih rhoek te a doo tih, a ol pataeng a thuung pah.
07051e00be	Hula te kutbuem la a tael uh khaw hmu uh pawt nim? tongpa a lu ham tah hula a bok la, Sisera ham amah kutbuem la, himbaitnim, amhmo rhaekva, amhmo kutbuem, kutbuem rhawn kah rhaekva khaw om.
07051f009a	Na thunkha rhoek loh boeih milh saeh BOEIPA. Tedae a thayung thamal neh khomik aka thoeng bangla a lungnah. Te dongah khohmuen loh kum sawmli khuiah mong.
0706010075	Israel ca rhoek loh BOEIPA mikhmuh ah thae a saii. Te dongah BOEIPA loh amih te kum rhih khuiah Midian kut ah a paek.
0706020090	Te dongah Midian mikhmuh ah, Midian kut te Israel soah tanglue. Israel ca rhoek loh amamih ham buep te tlang, lungko neh, rhalmahim ah a tuk uh.
0706030059	Israel kah a lotawn khaw Midian, Amalek neh khothoeng ca loh ham paan tih a luei thil uh.
070604009b	Amih te a rhaeh thil uh tih khohmuen cangpai te a phae uh. Gaza duela na ka cet te Israel neh tu, vaito, laak ham kangna khaw hinglu hlawtnah paih uh pawh.
07060500c8	Amih loh a dap te boiva neh a paan uh. A paan uh vaengah hlangping neh kaisih bangla muep ha pawk uh. Te vaengah amih neh a kalauk rhoek tah tae lek na moenih. Te dongah khohmuen phae ham ni a muk uh.
0706060064	Midian mikhmuh ah Israel he bahoeng a tlayae coeng dongah Israel ca rhoek loh BOEIPA a pang thil uh.
0706070053	Midian kawng dongah BOEIPA te Israel ca rhoek loh a pang thil uh khaw ana om coeng.
07060800c3	Te vaengah Israel ca rhoek ham tonghma pakhat te BOEIPA loh a tueih tih, “Amih te, 'Israel Pathen BOEIPA loh, 'Nangmih he kai loh Egypt lamkah kan doek tih sal imkhui lamloh nangmih he kam poh.
07060900a5	Egypt kut lamkah khaw, nangmih aka nen kut cungkuem lamkah khaw, nangmih kan lat coeng. Nangmih mikhmuh lamloh amih te ka haek tih amih khohmuen te nangmih kam paek.
07060a00b1	Te vaengah nangmih taengah, 'Kai tah BOEIPA na Pathen ni, a khohmuen ah na om uh thil Amori pathen te rhih uh boeh,’ ka ti lalah ka ol na hnatun uh pawh,’ a ti,” a ti nah.
07060b00b4	BOEIPA kah puencawn te koep ha pawk tih Ophrah kah rhokael hmuiah ngol. Te vaengah Midian mikhmuh lamkah rhaelrham ham Abiezer Joash neh a capa Gideon loh misur rhom ah cang a boh.
07060c006c	Anih taengah khaw BOEIPA puencawn a phoe pah tih, “Tatthai hlangrhalh nang taengah BOEIPA om,” a ti nah.
07060d0162	Tedae anih te Gideon loh, “Ka boeipa, kaimih taengah BOEIPA om ta. Tedae balae tih kaimih taengah a cungkuem he a thoeng? A khobaerhambae cungkuem te melae? Te te kaimih taengah a pa a thui vaengah tah Kaimih he BOEIPA loh Egypt lamkah n'doek moenih a?” a ti. Tedae BOEIPA loh kaimih he n'phap tih Midian kut ah kaimih n'tloeng coeng he,” a ti nah.
07060e00a2	Te vaengah BOEIPA te anih taengla la hooi uh tih, “Na thadueng neh cet lamtah Midian kut lamkah Israel he khang laeh. Nang kan tueih rhoe moenih a?” a ti nah.
07060f00af	Te dongah amah te, “Ka Boeipa aw, Israel he ba nen lae ka khang eh? Manasseh khuiah tattloel la kai he thawngkhat ka lo tih a pa imko khuiah kai ni canoi coeng,” a ti nah.
0706100078	Tedae anih te BOEIPA loh, “Nang taengah ka om vetih Midian te hlang pakhat banglam ni na tloek ngawn eh?,” a ti nah.
070611007f	Te vaengah Gideon loh, “Na mikhmuh ah mikdaithen ni ka dang atah kai taengah na thui te miknoek la kai taengah han saii laeh.
07061200ba	Nang taengla ka pawk tih ka khosaa kang khuen te na mikhmuh ah ka tloeng duela he lamloh ana nong boel dae,” a ti nah. Te dongah, “Kai khaw nang bal duela kana om bitni,” a ti nah.
07061300d6	Gideon te cet tih maae ca neh vaidam te vaidamding la cangnoek pakhat a hmoel. Maeh te vaihang dongah a doh phoeiah maehhang te am khuiah a thun. Te phoeiah rhokael hmui kah puencawn taengla a khuen tih a tawn pah.
07061400a8	Pathen kah puencawn loh Gideon taengah, “Maeh neh vaidamding te lo lamtah thaelpang soah tloeng lah. Te phoeiah maehhang bueih thil,” a ti nah vanbangla a saii pah.
07061500f3	Te phoeiah BOEIPA puencawn loh a kut dongkah cunghol hmuidong te a thueng tih maeh neh vaidamding te a nawn te a nawn hatah lungpang lamloh hmai thoo tih maeh neh vaidamding te a hlawp. Te phoeiah BOEIPA puencawn khaw a mikhmuh lamloh vik cet.
070616009f	Te daengah anih te BOEIPA kah puencawn la Gideon loh a hmuh. Te phoeiah Gideon loh, “Aw, ka Boeipa Yahovah, BOEIPA puencawn te maelhmai neh ka hmuh,” a ti.
0706170055	Tedae anih te BOEIPA loh, “Na sading saeh, rhih boeh, na duek mahpawh,” a ti nah.
0706180093	Te dongah Gideon loh BOEIPA ham hmueihtuk pahoi a suem pah. Hmueithuk te khaw ngaimongnah BOEIPA a sui tih tihnin duela Abiezer Ophrah ah om pueng.
07061900bb	Tekah khoyin ah Gideon te BOEIPA loh, “Na pa kah vaito a tal pakhat neh vaitotal kum rhih koep khuen lamtah na pa kah Baal hmueihtuk koengloeng laeh, a taengkah Asherah te khaw top pah.
07061a00b1	Hekah lunghim som ah he BOEIPA na Pathen ham hmueihtuk suem laeh. Vaito a pabae te maehlaep la khuen lamtah na top sut Asherah thing neh hmueihhlutnah la nawn laeh,” a ti nah.
07061b00d2	Te dongah Gideon loh a sal hlang parha te a khuen tih BOEIPA loh a taengah a thui pah vanbangla a saii. Tedae khothaih ah a saii ham te a napa cako neh khopuei kah hlang rhoek te a rhih dongah khoyin ah a saii.
07061c00cb	Mincang ah khopuei kah hlang rhoek loh a thoh uh vaengah Baal kah hmueihtuk te ana tim tih a taengkah Asherah khaw ana top pa uh, vaito pabae te khaw hmueihtuk a suem tangtae dongah tarha ana nawn pa uh.
07061d00b5	Te dongah hlang loh a hui taengah, “Hekah hno aka saii he ulae?” a ti uh tih a cae uh. Tedae a tlap uh vaengah tah, “Hekah hno he Joash capa Gideon long ni a saii,” a ti uh.
07061e00a7	Te dongah khopuei hlang rhoek loh Joash taengah, “Na capa te hang khuen, Baal kah hmueihtuk a palet tih a taengkah Asherah a top dongah duek kangna saeh,” a ti uh.
07061f012f	Tedae a taengkah aka pai rhoek boeih taengah Joash loh, “Nangmih loh Baal ham na kamkaih uh a ya? Anih te nangmih loh na khang uh tang a ya? Anih aka oelh tah mincang a pha neh ki duek bitni. Baal he pathen la a om van oeh atah a hmueihtuk a palet pah vaengah amah loh a huul kanoek mako,” a ti nah.
07062000a4	Te dongah tekah khohnin lamkah longtah tah, “A hmueihtuk ka palet pah tih Baal amah te khaw ka ho coeng,” a ti nah ngaih la Gideon te Jerubbaal la tloep a khue.
0706210078	Te vaengah Midian boeih neh Amalek khaw khothoeng ca rhoek loh tun kibaeng uh tih a kat phoeiah Jezreel kol ah rhaeh uh.
0706220061	Tedae BOEIPA Mueihla loh Gideon te a thing dongah tuki te a ueng tih a hnukkah Abiezer te a hueh.
0706230099	Manasseh ram tom ah puencawn te a tueih tih amah hnuk ah a khue. Te phoeiah puencawn te Asher, Zebulun neh Naphtali la a tueih tih amih doe hamla cet uh.
0706240068	Te phoeiah Gideon loh Pathen te, “Na thui tangtae bangla Israel te ka kut neh aka khang la na om atah,
07062500da	Tumul hluem khat te cangtil hmuen ah ka khueh he. Teka tumul hluem khat dong bueng ah buemtui om tih diklai boeih te phueihuet la a om atah na thui bangla Isreal te ka kut neh na khang ni tila ka ming eh?,” a ti nah.
0706260092	Te dongah om tangloeng tih a vuen kah a thoh vaengah tah tumul hluem te a sui. Te vaengah tumul hluem dongkah buem tui te baeldung a bae la a sui.
07062700fa	Tedae Gideon loh Pathen taengah, “Na thintoek loh kai taengah sai boel mai saeh lamtah, vai mah ka thui mai vai bueng mah ka noem dae eh, tumul hluem a phueihuet he tumul hluem amah thim la om vetih diklai pum he buemtui a om atah,” a ti nah bal.
070628007f	Pathen long khaw a rhoi pah dongah tekah khoyin ah tah tumul hluem bueng te phueihuet la om tih diklai pum te buemtui boeih bo.
07070100ab	Te dongah Jerubbaal Gideon neh a taengkah pilnam boeih te a thoh puei tih Hardo sih ah rhaeh uh. Te vaengah Midian rhaehhmuen tah tuikol kah Moreh som tlangpuei ah om van.
07070200bd	Te phoeiah BOEIPA loh Gideon te, “Midian te amih kut ah kan tloeng ham dongah na taengkah pilnam te yet aih. 'Kamah kut loh kamah he n'khang,’ a ti neh Israel loh kai taengah kohang ve.
