2800000006	Matiyu
2a0c100045	Yesu belle nani tinan tigold, aworo, “Kunen nmong wa ni kumat kang,
2a0c11005e	a kpiliza liti mye aworo, 'Iyaghari nba su, na ndumun kiti kanga na nba ciu ileo nighe ku ba?'
2a0c120057	Ame woro, 'Nene nbasu. Nba turzunu illai ile nkee ididia, nceu vat nile imon na ndumun.
2a0c130074	Nnin bellin kidowo nighe, “kidowo, ning uceo illyou in nakus gbardang. Shinno, uso ulii, uso nin, lanzu nmang.”'
2a0c140069	Kutelle worroghe, 'Fe unit ulalang nin kiyitik kane nba seru ulaife, ile imone na uceu iba lawu inghari?'
2a0c150053	Nanere umon ba yitu, ulenge na a ceo imon, a na ayita nin nimon kiti Kutelle ba.”
2a0c16007b	Yesu woro non Katuwa mye, “Bara nani meng nbelling munu, yenje iwa dama nin nlai-sa imon nli, sa imon nshonu kidowo mine.
2a0c17003a	Bara ulai katin imon nlii, kidowo tutun katin imon nshonu.
2a0c180083	Yenjen agoron, na idin su tibli sa ugirbi ba. Na idinin kiti kaciso sa filai ba, Kutelle din nli ninghinu. Na anun katin anyine ba!
2a0c190039	Nin ghari nanya minne nwasa akpina ngbardanag nayiri mye?
2a0c1a0045	Andi na iwasu isu ile imon icinghe ba, iyari inta idama nin kagisine?
2a0c1b009b	Yenjen amamu kusho inda na idin kunju. Na idin su katuwa sa fiyari. Nin nani meng nbelling munu ko Solomon nin ngongon mye wa shon imon nafo umong mine ba.
2a0c1c009f	Andi Kutelle din tizu ukpi kusho kuyok, uleng na idiku kitimone, udu nkui ina to nani nlah, iyaghari bati na aba su anunku kuyok ba, anan cing nyinnu sa uyenu!
2a0c1d004c	Na iwa dama kitene nimonli sa ile imon na iba sonu, na iwa so nin damuwa ba.
2a0c1e0057	Bara vat nigbir inye din piziru, ile imone, ame Ucif mine yiru au idinin su nile imone.
2a0c1f0038	Piziran kipin tigo mye, kagisin nimone iba kpin munu ku.
2a0c200063	Na iwa lanza fiu, bara na idi kago kabene ba, bara ucif mine din lanzu nmang ani munu kipin tigowe.
2a0c21007e	Lessen ile imon na idumun Inii anan diru, keen tikka to nati ba jarzu ba, ceon imus kitene kani kika ukiri duku, sa kiyoro ba.
2a0c220038	Kiti kanga na Imus fe duku, kinere kibinaife ba yitu ku.
2a0c230041	Tern alutuk ajangarang mine gangang, na tipilila mine yita nkasu,
2a0c240088	soon nafo annit alenge na idin ncaa Nchikilari mine, ule na aba sa unuzu kitin buki nilugma, asa ada ariyo kibulun ima punghe mun dedei.
2a0c25009a	Kucin kone unan nmariari ale na Cikilare mine ba dase nani ncaa, kidegen nworo munu, aba bunku kulutuk ku kujangarang mye, ati nani iso, a ni nani imonli.
2a0c260069	Cikilari une nwandak nin lijii kiyitik, sa udu shantu kiti idi se nani idin ncaa, acin ane anan nmariari.
2a0c270064	Udu Ubune yinno, asa Cikilari Kilare yiru kubi ko na akiri ba dak, na aba yinnu ipuru ghe kilari ba.
2a0c28003b	Soon nin yiru, na iyiru kubi ko na gono nnite ba dak ba.”
2a0c290054	Bitrus woroghe “Cikilari, udin bellu to tinan tigoldo bara arika, sa anite vat?”
2a0c2a0076	Cikilare woro, “Ghara unan nginu sa uyenu, ujinjin ule na Cikilare ba nighe acin mye, ani nani imonli kube dedei ya?
2a0c2b0056	Unan nmariari kucin kone, ule na Cikilare ba da seghe nsu nile imon na ataghe in suwe?
2a0c2c002c	Kidegene nworo munu, aba nighe imon mye vat.
2a0c2d0081	Kucin kone nwa woro kibnei, 'Cikilari ndandauna sa udak,' acizina ufo nacin mye nilime nan nishono, atunna ncii nin nso atah hem,
2a0c2e007f	cikilari kucin kone ba dak liri lo na adin ncawe ba, sa kubi ko na ayiru ba, aba kezughe agir, a ceoghe kiti na na salin yinnu.
2a0c2f007a	Kucin kone nin tanni npilizu ncikilare, nin salin nke ncin nye sa asu nafo na Cikilare na bellin, iba foghe nin likuntung.
2a0c3000c7	Ame ule na ayiru ba, idinsu ile imon na ibatin ikpizighe, iba kutughe baat bara utanni mye, vat ile na inaghe gbadang, iba piziru gbardan kiti mye, ule na iyinna ninghe, iba tirinu gbardang kiti mye.
2a0c31003d	Nnna dak nda tii ulah inye, nda usu nigheri iwadi ita ula ku.
2a0c320049	Meng dinin nshintinu ule na nba shintinu munu mun, ndi shotu iwadi imala!
2a0c330055	Idin kpilizu nafo nna dak, nda ni munu nshau inye? Nani ba, nna dak nda wuso munuari.
2a0c34005e	Nene nbellin munu nanya kilari awatua ba yitu ku, anit na tatt ba su ivira nin na nanit natat.
2a0c3500a6	Iba kosu kidowo, ucif nivira nin nsaune, usaune nivira nin ncif; unna nivira nin nshono, ushon nivira nin nnah; nan nles nivira nin nwul, uwul nivira nin nan nles.”
2a0c36007b	Yesu wadi nbellu ligoze, tutun, “Asa iyene awut kusari kitene, asa woro, 'Na nin dandaunu,' ba uwauri ba juuy nanere udi.
2a0c37004f	Asa iyene ufunu nuzu kadas, asa iworo, 'Kiti ba yitu puu kang,' nanere ba yitu.
2a0c38007a	Anun anan rusuzu natiminne, iyiru ubellu nimon inyi nin kitene, ani iyaghari nta na iyiru ubellu kube ko na tidi nanye ba?
2a0c390030	Iyaghari ntah na idin wucu kidegen nati mine ba?
2a0c3a006a	Asa uda nin nan nivira kitingo kubi na idi libau udowe keelin uliru baba iwa do idi teru munu kilari tigo.
2a0c3b0052	Meng bellin munu, na uba nuzu nacara mine ba, se una nari fikubu na udumun vat.”
2a0d01006d	Kubi kone among anit bellinghe kitene na Galiliyawa, alenge na Bilatus wa munu nmyi mine, kitin ngutunu nmyi.
2a0d020073	Yesu kauwa aworo nani, “Ulin kpilizu nafo a Galitiyawa ale katin kagizine nin kulapi, nara idin niu nlo libau we?
2a0d030066	Na nani ba, meng nbelling munu, asa na anung su udiu kutyin ba vat mine iba nanu nloli libauwe lineme.
2a0d04008f	Sa anit likure nin kulir nanyan Nsiliyom, ale na kisoro wa diu ki molo nani, idin kpilizu nafo inung wa din kulapi ikatina vat nanit Urshalima?
2a0d050057	Na nani ba, meng bellin munu, asa na anung su udiu katyin ba vat mine ba nanu tutun.”
2a0d060064	Yesu belle nani tinan tigoldo, “Umang wa bilisu kupau nanya kunen me, ada pizira kumate na ase ba.
2a0d070098	Unite belle unan ncaa kunene, 'Yene akus atatari ale asa nda nnan da se kumat kutca kone, na nse imonku ba, werne kunin, bara iyang ku wa nanza kunene?'
2a0d080059	Unan ncaa kunene kauwa aworo, 'Suna kunin nlo likuse, mang ba wuzu kuwu, in tighe utanki.
2a0d090044	Asa natah kumat likus ndake, ucaun, asa na ana ba, uwerne kunin!'”
2a0d0a003e	Nene Yesu wadin ndursuzuwe nanya kutyin nlirag namon Asabbath,
2a0d0b008d	umon uwani wa duku kikane, wenge na adimun nakus likure nin kulir, uruhu unazang, nkuzu kidowo wa seghe, aso kangarang awasa ayisina dert ba.
2a0d0c004b	Kubi na Yesu nyene ghe, ayicila ghe aworo, “Shino nin nkuzu kidowo fe.”
2a0d0d0040	A tarda ucara me kitene me, dedei ayisina dert, azazina Kutelle.
2a0d0e00d4	Inung ago nanya kutyin nlirag, lanza ayi, bara Yesu nnaghe ushinu liyiru nasabar. Ago we kauwa, iworo ligoze, “Ayiri kutocin duku alonge na iwasa isu katuwa, dan lelan shin ninghinu a na liyiri Nasabbath ba.”
2a0d0f0080	Cikilari kauwa aworo nani, “Anan rusuzu nati, na anug sa itere nijaki sa innah kite mine, idi ni nani nmyen liri Nasabbath ba?
2a0d100085	Bara tutun ule ushono Ibrahim, ulenge na Sheitan ntereghe akus likure nin kulir, itereghe na iwasa ibunku ghe liyiri Nasabbath ba?”
2a0d11007d	Na abelle ile imone, vat nale na idi nivira nanghe lanza incing, vat ligoze wadi su liburi liboo, kitene nimon ididia na asu.
2a0d12005f	Ame Yesu woro nani, “Kipin tigoo Kutelle di nafo iyaghari? Nin nyaghari nba gwadu kinin muna?
2a0d130094	Kidi nafo fimus kuku, fongo na unit nyawna amin nfilo nanya kunen me, in foni nkuno fiso kutca kudia, anyin kusho ani nda kee addo mine tilanghe.”
2a0d140041	Tutun aworo, “Min nyanghari nba gwadu kipin tigoo Kutelle muna?
2a0d150058	Kidi nafo uyist na uwani nyauna, amunu nin nayanga atat an nbulun, udu kubi na umuzo.”
2a0d16004b	Yesu wa do lizzi nanya kipin nin nigbir libau udu Urshulima a dursuzo nani.
2a0d170048	Umong woroghe, “Cikilari, anan nse ntucu ba karnu ba?” A belle nani,
2a0d18005c	“Suun nnono inan pira kibulun kishuut, bara anit gbardang ba piziru, na iba se upiruwe ba.
2a0d1900bc	Kubi na unan kilari nnuzu, amin ntursu kibulun, anung ba yisinu ndas inin riyuu kibulun woro, 'Cikilari, Cikilari, tiba piru.' Ame ba kauwu aworo munu, 'Na meng yiru munu, sa inuzu nwere.'
2a0d1a003e	Aning ba woru, 'Tina tii tisono nbun fe, udursuzu tibau bite.'
2a0d1b006a	Ame ba kauwa nani, 'Meng bellin minu, na meng yiru kika na inuzu ku ba. Cacanan kupo nighe, anan magunta.'
2a0d1c00a9	Kubi ba dak na iba su kuculu nin yaru nayini, kubi na iyene Ibrahim, Ishaku, Yakubu, nin vat na nan nliru nin nnu Kutelle, nanya kipin tigo me, - anung inutun munu ndas.
2a0d1d0061	Iba da duru unuzu nasari annass inyi, inani nshino idin nlii nimonli kutebul kipin tigoo Kutelle.
2a0d1e004e	Yinon nani, unan ncizinu ba so unan kidung, unan kidung da so unan ncizinu.”
2a0d1f0064	Kubi baat, amon Afarsayawa da kiti me iworo, “Caan suuna kikane bara Hirudus dinin su amollufi.”
2a0d200096	Yesu woro “Caan idi bellin kinyinyo kane, 'Ndin kaluzu nagbergenu nshizhino nin tikonu, kitimone nin nkui, a liyiri lin tat, nba malu katuwa nighe.'
2a0d21008c	Nanya nko yang, usoyi doli, ntunun kitimone nin nkui, nin liyiri ndortine, na iyinna imolu unan nliru nin nnu Kutelle ndas nin Urshulima ba.
2a0d2200cd	Urshulima, Urshulima, te na udin molusu anan nliru nin nnu Kutelle ufiliso alenge na ina tu nani kitife. Ndinin su npitirin nono fe, nafo kukuru na asa a pitirino nono me nanya nagilit nafe nyinna nani ba.
2a0d230085	Yene nfillo kilari fe, meng bellin fi, na iba kuru uyenei ba, se ubelle, 'Unan nmariarife ulenge na uba dak nanya lisan Cikilare.'”
2a0e01006d	Uso liyiri namong Asabbath, kube ado nanya kilari nmon udia Nafarsayawa alii imonlii, iwadi ncara me chochot.
2a0e020046	Kikane nbun me, umon wa duku awa dinin nkonu nmyi adin nniyu mun kang.
2a0e030076	Yesu tirino anan nyiru nduka nanya Nayahudawa, nin na Farsayawa, “Iyinna ishin nin nit liyiri Nasabbath, sa babu?”
2a0e040037	Inung so tiik. Ame Yesu minghe a fiyaghe, a woro caang.
2a0e050084	Ame woro nani, “Ghari nanya mine ule na adinin gono sa finna na adio nanya nrijiya nwui Nasabbath na aba du dedei adi natun ba?”
2a0e06002b	Na inung wa yinin ukauwu ghe nite imone ba.
2a0e070070	Kubi na Yesu wa yene alenge na ina yicila nani asa ifere niti lisosin ngongong, abelle tinan tigoldo aworo nani,
2a0e080089	“Kubi na iyicilati uduu kiti nbuki nilugma, nauwa so kiti nse ngongon ba, bara sa umon duku na ina yicila ghe na akatinti nin ngongong.
2a0e090067	Asa unite nin fe vat ndah, iba woru fi, 'Naci unit ule kitife,' nin ncing uba kpulu idi so kiti kibene.
2a0e0a00a8	Asa iyicilafi cang idi so kiti kibene, kube na ulle na ana cila yicilafi ndaa, aba bellin fe, 'Udon nigh dah kiti kidya.' Uba se ngongon kiti nale vat na isosin nan fi.
2a0e0b0064	Bara vat nlenge na atoltuno liti me iba ghantingh, ame ulenge na aghantina liti me iba toltunghe.”
2a0e0c00cf	Yesu tutun woro nnit une na ana yicila ghe, “Kubi na ushiniya ubuki sa imonli, na uwa yicila adondon fe, likura fe, sa anan nimon nacara kupo fe, inung ba kuru iyicila fi, ikpilin in nifi na ubase uduk ba.
2a0e0d004d	Asa ubasu ubuki yicila akimon, agurgu aturri nin naduu ana salin nyenju kiti,
2a0e0e005b	uba se nmari, bara na iwasa ikpilla inafi ba, bara uba se uduk liyirin nfitu nanit alau.”
2a0e0f0084	Umong na asosin kutebule nin Yesu, lanza ile imone, aworo ghe, “Unan nmariari ulenge na aba su kileo nanya kipin tigoo Kutelle!”
2a0e10004b	Ame Yesu woro ghe, “Umon unit wa dinin nbuki udia, ayicila anit gbardang.
2a0e11007f	Na imonli nyini, ayicila anan katuwa kilari me, ato nani ido idi yicila alenge na ana bellin nani, 'Idak, bara ko yang inyini.'
2a0e120083	Inug vat nafo itere tinu cizina udasu nin kucikusu, unan nburne woro ghe, 'Meng na seru kunen, nba du ndi yene. Na nbase udake ba.'
2a0e13006e	Umong tutun woro, 'Meng na seru inna ibaba ukashi utaun, ndin cinu udu idi gwada inin. Na meng base udake ba.'
2a0e14004a	Umon unit woro ghe, 'Meng nasu ilugma ipese, bara nani na nbase udake ba.'
2a0e1500be	Unan katuwa kilare kpilla ada belle Cikilare ile imone. Ale Cikilare kilare nana nayi, abelle unan katuwa my, 'Caan nanya kagbire dedei nan tibau udanin, nakimon, agurgu, a aduu nan naturi.'
2a0e160056	Unan katuwa woro, 'Cikilari, ile imon na ubelle nsu inin, har nene kiti duku, sa unit.
2a0e170068	Cikilare belle unan katuwa me, 'Nuzu udo tibau tididia ukpeshilu nani idak, bara kilari nighe nan kullo.
2a0e180060	Bara meng nbellin munu, na umon nanya nalele na iwa burun uyicilu nani dudu imonli nighe ba.'”
2a0e19003e	Nene ligozin na nit wa din cin nin ghe, a girtino a woro nani,
2a0e1a0099	wase umong ndaa kiti ning na anari ucef mge, unna nye, uwani nye, nwana nye, ni lime nan nishono - ee, umunu ulai me - na a batina usu gono katwa nin ba.
2a0e1b004d	vat inle na a yira kuca nkul nye a dufini ba na awa sa asu gono katwa nin ba.
2a0e1c00ac	Bara ghari nanya mine, ule na a dinin su a kee kilari na aba so a batiza imon ile na aba mulun kewe ayinin sa a nin nimong ile na ama ke kelare mun udu umale anin cizin ba?
2a0e1d004d	Ana nani ba, a wa cizin lituine na a mala ba, vat nle na a yene a ba sisughe,
2a0e1e0034	a beling ule unite na cizin ukee kilari na amala ba.
2a0e1f00a3	Sa uyapin agomari, na ama du likum nin mung ugo, na aba so a seru ashawara sa ama yinnu likume nin na nit amoi likure wase uleli ugowe nda nin na nit amoi akutaba?
2a0e200058	Andi na nani ba, aleli anang likume nwadi piit, a taa umong adi foo acara bara iso mang.
2a0e21006a	Bara nanere, vat nanya mine andi na usuna ile imong na udumung ba na uwa sa usoo unam masun iyinu ning ba.
2a0e220041	Nto caun, bara na misali mamas, mi ba kuru me lawa ntwe tutungha?
2a0e230063	Na mima yitu nin katwa tutung ba, I ma gutunu mining. Ule na adi nin na tuf na a lanza, na a lanza.
2a0f01004f	Vat nanang sesun gandu nan gisin nanan kulapi wa dasu kitin yesu idin lanzughe.
2a0f02007d	Afarsayawa nan nanang niyerte wa din gbulu idin belu natimene, “unit ulele din sesu aman kulapi amini din nlii nanghenu.”
2a0f03001d	Yesu benle nani tinankuguldo,
2a0f040098	“Ghari nanya mine, a wadi nin nakam akut likure ada dira kurum naye na aba sunu akut kutir nin kutir a doo mpiziru kurume nanya kushue se ase kuninba?
2a0f05003e	A wanin se kuning, na ama ti kunin nabandang a su ayi aboo ba.
2a0f060086	A wa saa kilari, a yicila adondong nan nanan kupoo mye, abelin nani, “Bunoni liburu liboo, bara nan nse Kukam nighe na kuna wulu.”
2a0f0700a7	Nbelin munu au nanere, liburi liboo ba yitu kitene kani bara unan kulapi warum ule na a suna kulapi mye, akatin anit akut kutir nin kutir ale na idi nanya kulapi mene.
2a0f08007d	Sa u yeme uwaniari na adi nin nikubu likure, firum wa wulughe, na aba ti ula limoo a kuu kutyye a piziru sey a see fi nin ba?
2a0f09007e	A wa see, a yicila adondong nin naman kupoo mye a benle nani “buno ni liburi liboo bara nam see fikubunighe na fina wulu.”
2a0f0a0061	Nanere, mbelen minu, liburi liboo ba yitu nbun nnono kadura Kutelle uwarum nwa sun kulapi mye.”
2a0f0b004b	Yesu moro, “Umong unit wadi nin nano niba, ubene nanya myene woron ncife,
2a0f0c0036	'Ucif, nai unang ugadue,' a koso nani utamani mye vat.
2a0f0d006c	Ma itaa ayiri ba, ubene fita udun kan kipen piit, adi wultun vat imong ile na iwa nighe nan nadondong a hem.
2a0f0e0056	Na amala uwultune vat, kukpong kudindya deu nanyan mgene, anin cizina upiziru nimonli.
2a0f0f004a	Ado adi piziru katwa kitin kon kunang myenne, a naghe katwa libya na ledu.
2a0f100047	Aso nin nayiaboo adin lii nimonli naledu bara na umong naghe imonli ba.
2a0f11008b	Bara nani na kibinaiye nsa kidomomye, aworo, 'Acin ncef nighe amashinnari din lii imonli igutuzuna, mmile da sosin kikane kukpon ba moliia!
2a0f120063	Mba sunu kikane ndo kitin ncif ning, nning belinghe, “Ucif, nta kulapi nnang kitene, nin kiti fe.
2a0f13003c	Na mbatin iyicilai usaun fe ba; tai nafo nkong kucin fe.”'
2a0f14008e	Usaun ubene nya udu kitin ncife, na awa doo piit, ucife yeneghe, anin lanzan nkunekune me, a taa ucum, adi gbindiringhe a luluu kukpan nuu me.
2a0f15005b	Usaune woroghe, 'Ucif, nta kulapi kitene kani nin bun fe. Na mbatin i yicilai usaun fe ba.'
2a0f160063	Ucife woro na cinme, 'Daan nin nimoon icine, i shoonghe, i tighe ficancan, nin na kpatok nabunu me.
2a0f170048	Daan ning fina fi gbondilong ida boo fining. Na ti li tisu liburi liboo.
2a0f180059	Bara na usaunighe wa ku aminim nta luai. A wa wulu aminin saa.' Inin cizina liburi liboo.
2a0f19005e	Usaun ukune wa di di kunen. Na a da susut kilare, alanza tigangang nan na lantung nin nyizinu.
2a0f1a0031	Ayicila nkan kucin a tirino iyanghari nse kilare?
2a0f1b004e	Kucine woroghe, 'gwana fe nsa ucif fe uni boo fina fidya, bara na asaa ucine.'
2a0f1c0047	Ayi nana usaun ukune, a nari upiru kilare ucife nuzu, ada fooghe acara.
2a0f1d00a3	Bara nani usaun ukune kpana a woron ncife, 'Yene, mbgardang nakus ale na nta nin fi, na insa nanza fi kibinai ba, na usa nayi kagono kayin nboo nan na du nighe ba.
2a0f1e0063	bara na usaun fe nsaa, ule na ana di molu imon lisosin nan nawani ahem, umini nabooghe fina fidya.'
2a0f1f0051	Ucife woroghe, 'usaun ning, udi ligowe nin me vat ni mon ile na idi inan in fere.
2a0f20006d	Bara nani ucaun ti su ayiaboo ti nyizin, bara na gwana fe wa ku, amini nta ulai nene: awa wulu aminin nsa.”
2a10010083	Yesu kuru a woro nono katwa me, “Umong unan nikurfung wadi nin nang tamani me, ida belinghe unang yeujun ntamanie din nanzu unis.
2a10020094	Unan nikurfughe yicila ghe aworoghe, 'I yanghari ndin lanze litife? Daa uda nyii kibatiza nimon ile na nwa nili uyenje bana na fe unit ucineari ba.'
2a100300d0	Unan yenjughe ntamane woro letime, 'I yanghari mbati nin litining, I yanghari mba ti, bara na cikilari nighe ma kalu katwa kane nacara nighe? Na indi nin likava mawuzu wuzu ba, tutung indi lanzu incin kufili.
2a1004005d	In yiru imon ile na mba ti, bara na lwa kala katwa kane nacara nighe, anit ma sesui ngamine.'
2a10050080	Unan yeujun ntamane yicila vat nale na cikilare din durtu nami tire, anin tirino unan burne, 'Imashinari cikilare din durtu fi?'
2a10060066	A woro, 'A mudu akut likure nnuf kuca.' Anin waroghe 'Soo mas, kibatiza fe kaa, u nyertin akut ataun.'
2a1007009c	Unang yeuju ntamane woro mmong, 'I mashinari idin durtufi?' A woro, 'A mudu akut likure nialkama.' A woroghe 'Kibatiza fe kanga yertina akut likure sa aba.'
2a100800a0	Unan nikurfughe taghe njah bara na awa su katwa me caut ba, bara na nono nyii ulele di nin nibinai nsu nimon icine bara anit mime ba na nafo nonon nkananghe di.
2a1009006a	In belin fi, pizira adondong bara litife nin nimon nyii, bara I wa nyaa ima pirizin fi nanya nilari mi ne.
2a100a00b9	Ule na adi nin yinnu-sa-uyenu nanya nimon baat ade nin yinnu-sa-uyenu nanya ni dya, ule na adi nin salin yinnu-sa-uyenu nanya ni baat na ama yitu nin yinnu-sa-uyenu nanya nimon idya ba.
2a100b0064	Bara nani, andi na udi nin yinna-sa-uyenu nimoon inyii ba, ghari ba yinnu ninfi nin nimoon kidegene?
2a100c005d	Nanere, andi na udi nin yinnu-sa-uyenu kitene kuturan mong ba, ghari ma nifi ile na idi infe?
2a100d00bb	Na kucin wasaa amyino an cin nilara naba kubi kurume ba, sa a ma nari umong ati usun mmong, sa a su umong katwa amari usun mmong, na u wasa usu Kutelle licin nin tamani kubi kurume ba.”
2a100e0054	Afarsayawe na i wadi anam su nikurfunghari, I lanza ule ulire vat, itunna nsisu ghe.
2a100f0092	A woro nani, “Idin suzu kidegen mine niyizi nanitari, bara nani Kutelle yiru nibinai mine. Ileli imon na idin ruu ining idi zemzem nizi Kutelle.
2a101000a5	Uduka nin nanan liru nin nuu Kutelle wa di, Yohana nin daa. Unuzun koni kubi udu sa ligang, uliru Kutelle idim belun nin, vat nanit din shoo ati nanya ti bau ti bau.
2a10110075	Bara nani ukatin nin sauki nworu kitene kani nin kadas kata nin waru fiyert firum nanyan nliru me ikala sa uti kinuu.
2a10120093	Vatin nlenge na akoo uwani me ayira umong adin nozu nin na wani ahem, nanere uwani ule na akoo ules me aminin di yira umong adin nozu nin les uhem.
2a1013006a	Umong unan nikurfung wa duku na iwa shonghe imoon icine anin din lanzun mmang vat liri nanya ntamani udya.
2a10140039	Umong unan kufilli nunnu kibulung me nin nanut kidowo me.
2a10150063	A wadin su a li mbubun nimon li na idin disu kuteen, banin nani, ninau nin din lelu anut kidowo me.
2a10160078	Usuo inlong liyiri unam kufille kuu anan kadura Kutelle da yiraghe udu abunu Ibrahim. Unam nikurfughe wang kuu ikasaghe.
2a10170052	Nanyan nla, adin niu, a fiya iyisi me ayene Ibrahim ku piit nin Liazaru figiri me.
2a101800a2	A fiya liwai me aworo, 'Ibrahim ucif lanza nkune-kune ning utuu Liazaru ku, a diti liyicin me nanyan myen adak ada tii limila cancam, indin niu namyan nla ulele.'
2a10190099	Bara nani Ibrahim woro, 'Gono kubin laife uwa seru imon icine nlaife, Liazaru sere imon inanzang. Bara nani itaghe insheu kibinai kikane, fe tutung uniu.
2a101a008b	Banin nani kuwu kudya nkese nari bara na alenge na ima kafinu udu kiti fe na iwasa i kafina ba, a na umong wasa a kafina udak kiti bite ba.
2a101b0056	Unan nikurfughe woro, 'Ndin foo fi nacara, Ibrahim ucif. U tuughe udun ngan cif nighe.
2a101c0068	Bara na idi nin nwana inung nataun bara anan wunno nani atuf, bara iwa dak imus kitin niu kaane tutung.'
2a101d0056	Bara nani Ibrahim woro, 'Idi nin Musa nan nanan liru nin nuu Kutelle; na ilanza nani.'
2a101e0091	Unan nikurfunghe kpana aworo, 'na nanere ba, Ibrahim ucif, bara nani iwase umong ulenge na aba du kitimene nanya nabi, I ma kpiliu nibinai mine.'
2a101f008e	Bara nani Ibrahim woroghe, 'Andi na ima lanzu Musa ku nan nanan liru nin nuu Kutelle ba, na ima lanzu umong tutung ba sa afita nanya nani.'”
2a1101007d	Yesu woro nono katwa me, “Nanere imong duku na I ma ti nari ti te kulapi, bara nani kash inle na imong ine madak nacaramye!
2a11020074	Uma yitughe barabara I terughe kuyazan n nto I tuu ghe nanya kuli kudya, nuuru ati umong nanya nabebene alele atiro.
2a11030056	Yenjen ati mime, gwana fe nwa ti kulapi, kpadanghe, a wa yenin, I shawa nin kulapi me.
2a1104007d	A wa tifi kulapi kuzur nanya liyirine, akuru a da kitife kuzure, abelin 'men intafi kulapi,' doleari u shawa nin kulapi kune.
2a1105004e	Nono katwan Yesu wa woro ucef kinari mene, “kpina nari uyenu sa uyenu ku.”
2a1106008c	Cikilare woro, “I wadinin yinu sauyenu nafo fiyip nikan, I ba benlu kuca koone, 'Fita kikane udi soo nanya kuli,' kuma lanzu a nunko lifi.
2a11070092	Bara nani ghari nanya mine, na adi nin kucin katwa kunen sa adi libya nakam, na asaa unuzu kunen ubelinghe, 'abelinghe da nenenene ama soo kilai'?
2a11080063	Na ama belinghe, 'Kankai imemon nli, anin teru katino me a suyi katwa mmalu kilai. Fe nin le infe'?
2a11090044	Na a benle kucine nja ba, bara na asuu lmonile na itaghe ku, a suwa?
2a110a008e	Nanere anun wang, I wa su vat nimong ile na ita munu nsue, I ma benlu, 'Na arik a cin a cuneari ba. Fi suu imon i le na itanarin suere cas.”
2a110b0050	Na I wa din libau udu urshalima, a wa din cin magazangazam nsamariyo nin Galili.
2a110c0057	Na awa piru inkan kagbiri, kikane azuru nin namong anit akuturu. I yisina piit nin ghe.
2a110d004d	I ghantina ti wuyi me, I din belu, “Yesu, Kumalami, lanza nkunekume bit.”
2a110e0068	Na ayene nani, a woro nani, “Can idi duro a timune kitin nadidya kutii nlira.” Na i doo, ise ushinu.
2a110f0053	Na warum nanya mene yene ashino a kpiliya kidowo a ghartina liwui adin vuu Kutelle.
2a1110003e	Ada tumuno nabun Yesu, adin godighe ame wadi ku Samariya wari.
2a11110048	Yesu kawa, a woro, “Na anun likurera wa shin baa? Ingisin mzakure dey?
2a11120041	Na amon duku na iba kpinlu I ruu Kutella ba, maa koo kumarare?”
2a11130040	A woro ghe, “Fita ughaa, uyinun sali yenu fe nshino nin fi.”
2a1114007b	Na afarsayawe ntiringhe ubelem nsa kitari tigoo Kutelle, Yesu kawa nani a woro, “Kilari togoo Kutelle na imun ncamari ba.
2a1115005f	Sa ima woro, 'Yene kikaa!' sa, 'Yene kikan ni!', bara na kilari tigoo Kutelle di nanya mene.”
2a1116006c	Yesu woro nanang katwa me, “Ayiri din cinu na I ba yitu nin su nyenu nlon lirin ngono nit, na ima yenu ba.
2a1117005a	I ma benlu minu, 'Yeneng, kekanii!' Yeneng kikaa!' na iwa doo nyenjwe ba, sa I durtu nani,
2a1118007e	nafo na nicananghe nwa nuzu na wite awa manliin, asa mi nuzun ko kuwut udu kitin kune, nanere Gono nnit ba yitu nanya liri me.
2a11190040	Bara na ama niyu nimon gbardan nin burne i nin narighe nko kuje.
2a111a0050	Nafo na uwa di nanyo nayirin Nuhu, nanere tutung ima ti nanya nayirin Gono nnit.
2a111b008b	I wadin nle, iyitan nso, I suzu ilugma I niza ashono mene nilugma, udu liri lo na Nuhu wa pirum njirgi - men nwure daa mida mulso nani vat.
2a111c0064	Namere nafo na udi nanya nayirin Lot, I wadin nli iyitan nso, I sese, I lese I bilsa, I key ni lari.
2a111d006f	Bara nami nanya liri longo na Lot in nuzu nanyan Sodom, atantani nla wa din nnuzu kitine kani uda leo nani vat.
2a111e002e	Nanere u ma so liri longo na Gono nnit ba dak.
2a111f0087	Nanyan lolire, na I wa yinin ule na adi kitene kutii tolu adi yiru kutura me nanya kilare. Na iwa yinin ule na adi kunen saa kilari ba.
2a11200016	Lizinon nin wanin Lot.
2a1121005a	Vat nle na a din piziru ulai me ama diru unin, bara nani elu na anari ulai me aba se unin.
2a11220062	Nbelim minu, nanya kitik kane ida se an waba non kitene nkomi urume. I ba yiru umong, isuun umong.
2a11230039	Awani naba ba yitu tiyazung, I ba yiru warum isuun warum.
2a11240039	Anit naba ma yitu kuneen, I ba yiru umong isuun umong.”
2a1125005e	I tiringhe, “Nweri cikilari?” Anin woro nani, kika na libi nonku agbulluk ma kilinu kitee.
2a12010048	A benle nani tinan tigoldo intizu nlira, na nibinai mene nwati seeng ba,
2a1202008e	a benle, “umong unan wucun nliru wadin kan kagbiri, unam wucun nliru une wadi nin fiu Kutelle ba, tutng na adin yenju unit nin titti litiba.
