0100000006	1 Mose
05030f0016	Mede Gilead maa Makir,
0503100095	Rubenfoɔ ne Gadfoɔ no, memaa wɔn asase bi a ɛfiri Gilead fa bi, kɔsi Arnon subɔnhwa ho, de kɔsi Asubɔnten Yabok a ɛyɛ Amonfoɔ hyeɛ no so.
0503110075	Atɔeɛ hyeɛ no firi Asubɔnten Yordan a ɛda Araba a ɛfiri Kineret kɔsi Nkyene Ɛpo a ɛda Pisga bepɔ ayaase no.
05031200b3	Na mehyɛɛ mo saa ɛberɛ no sɛ, “Awurade mo Onyankopɔn de asase yi ama mo sɛ momfa. Nanso mo mmarima akofoɔ nyinaa nhyɛ akodeɛ nni mo nuanom Israelfoɔ anim ntwa Yordan.
0503130068	Mo yerenom, mo mma ne mo afieboa bebrebe no deɛ, monnya wɔn wɔ mo akyi wɔ nkuro a mede ama mo no so.
05031400b2	Sɛ Awurade bɔ Israelfoɔ a wɔaka no ho ban na wɔtena asase a Awurade de ama wɔn a ɛtwam Asubɔnten Yordan no so a, afei motumi sane mo akyi ba asase a mede ama mo no so.”
05031500ab	Saa ɛberɛ no, meka kyerɛɛ Yosua sɛ, “Woahunu deɛ Awurade wo Onyankopɔn ayɛ saa ahemfo baanu yi. Saa ara na ɔbɛyɛ ahemman a ɛwɔ Yordan atɔeɛ fam no nyinaa.
0503160036	Nsuro aman a wɔwɔ hɔ no na Awurade bɛko ama wo.”
0503170025	Saa ɛberɛ no, mesrɛɛ Awurade sɛ,
05031800a6	“Ao Otumfoɔ Awurade, meyɛ wʼakoa. Afei, na worekyerɛ me wo kɛseyɛ ne wo tumi. Onyame bɛn na ɔwɔ ɔsoro anaa asase so a ɔbɛtumi ayɛ mmaninneɛ te sɛ wo?
050319006c	Mesrɛ wo, ma me ntwa Yordan nkɔhwɛ asase nwanwa a ɛda ɛfa hɔ, ɔman fɛfɛ no ne Lebanon mmepɔ no.”
05031a0088	Nanso ɛsiane mo enti, Awurade bo fuu me. Na wantie me. Na Awurade ka kyerɛɛ me sɛ “Ɛyɛ, nka saa asɛm yi ho hwee bio nkyerɛ me.
05031b0086	Foro kɔ Pisga na hwɛ atɔeɛ ne atifi ne anafoɔ ne apueeɛ. Esiane sɛ, worentwa Yordan no enti, wʼankasa fa wʼani hwɛ asase no.
05031c0086	Nanso, tu Yosua na bɔ nʼaba so, na hyɛ no den na ɔno na ɔbɛdi saa nnipa yi anim atwa na wama wɔadi asase a wʼani tua yi so.”
05031d0030	Ɛno enti, yɛtenaa subɔnhwa a ɛbɛn Bet-Peor.
05040100ba	Afei, Israel montie mmara ne nhyehyɛeɛ a merebɛkyerɛkyerɛ mo yi yie. Monni so na moanya nkwa, na moatumi akɔ asase a Awurade mo agyanom Onyankopɔn de rema mo no so na moatena hɔ.
0504020082	Mommfa bi nka ho, na monnyi biribiara nso mfiri mmara a Awurade mo Onyankopɔn de ama me sɛ memfa mma mo no mu, na mmom monni so.
0504030062	Mode mo ani hunuu deɛ Awurade yɛɛ mo wɔ Baal-peor no. Ɔsɛee nnipa pii a na wɔsom abosom no.
0504040057	Nanso, wɔn a na wɔdi Awurade mo Onyankopɔn nokorɛ nyinaa da so te ase bɛsi ɛnnɛ.
0504050095	Sɛ moduru asase a mobɛtena so no so a, yeinom ne mmara a ɛsɛ sɛ modi so. Ɛfiri Awurade, yɛn Onyankopɔn, nkyɛn. Ɔde ama me sɛ memfa mma mo.
05040600bb	Sɛ modi so a, ɛbɛma mo agye nim wɔ adwene ne nyansa mu. Na sɛ aman a wɔatwa mo ho ahyia no te saa mmara yi a, wɔbɛteam sɛ, “Ɔman bɛn na wɔwɔ nyansa ne adwene sɛ Israel!”
0504070079	Ɔman kɛseɛ bɛn na ɛwɔ onyame a ɔbɛn wɔn pɛɛ te sɛ Awurade, yɛn Onyankopɔn, a yɛfrɛ no a ɔgye yɛn so yi?
050408005e	Na ɔman bɛn na ɛwɔ edin sei a ɛwɔ mmara pa te sɛ saa mmara yi a mede rema mo ɛnnɛ yi?
05040900c5	Monhwɛ yie! Monhwɛ yie pa ara na mo werɛ amfiri deɛ moahunu sɛ Awurade yɛ ma mo. Sɛ mote ase yi, mommma saa nsɛm yi mfiri mo adwene mu da! Na monhwɛ nso sɛ mo mma ne mo nananom nso bɛte.
05040a013c	Ka kyerɛ wɔn, ne titire no, ɛda a mokɔgyinaa Awurade mo Onyankopɔn anim wɔ bepɔ Horeb a ɔka kyerɛɛ me sɛ, “Frɛ ɔmanfoɔ no wɔ mʼanim na mɛkyerɛ wɔn deɛ wɔnyɛ no. Sɛ ɛba saa a, wɔbɛsua sɛdeɛ wɔbɛdi me ni berɛ dodoɔ a wɔte ase no, na ɛnam so ma wɔatumi akyerɛ wɔn mma mmara no.”
05040b0080	Mobɛgyina bɛnee bepɔ no ayaase ɛberɛ a na bepɔ no rehye no. Egyaframa no tu kɔɔ soro a omununkum ne esum kabii aduru no.
05040c0067	Na Awurade kasa faa ogya no mu kyerɛɛ mo. Motee nsɛm no, nanso moanhunu no. Ɛnne kɛkɛ na ɛbaeɛ.
05040d006d	Ɔdaa nʼapam a ɔkyerɛɛ mo sɛ monni so no adi; mmaransɛm edu a ɔtwerɛɛ guu aboɔ ɛpono mmienu so no.
05040e007b	Saa ɛberɛ no na Awurade hyɛɛ me sɛ memfa mmara a ɛsɛ sɛ modi so wɔ asase a morebɛhyɛne so akɔtena so no mma mo.
05040f0060	Monhwɛ yie! Ɛberɛ a Awurade kasa faa ogya mu kyerɛɛ mo firi bepɔ Horeb so no, moanhunu no.
050410005a	Ɛno enti, Monnnaadaa mo ho nyɛ mfoni hunu bi wɔ mo tirim sɛ ɔyɛ ɔbaa anaa ɔbarima,
0504110011	aboa anaa anomaa,
050412001f	aboa a ɔwea fam anaa nsuomnam.
05041300b4	Na sɛ mohwɛ ewiem na mohunu owia, ɔsrane ne nsoromma a, mma wɔnntwetwe mo nkɔsom wɔn. Awurade, mo Onyankopɔn, yɛɛ saa ewiem abɔdeɛ yi maa nnipa a wɔwɔ asase so nyinaa.
0504140071	Na mo deɛ, Awurade yii mo firii dadeɛ fononoo mu wɔ Misraim sɛ mommɛyɛ nʼadedifoɔ sɛdeɛ mote ɛnnɛ yi.
05041500a2	Mo enti, Awurade bo fuu me yie. Ɔkaa ntam sɛ, merentwa Asubɔnten Yordan nkɔ asase pa a Awurade, mo Onyankopɔn, de rema mo sɛ mo agyapadeɛ sononko no so da.
0504160058	Ɛwom sɛ mobɛtwa Yordan akɔtena hɔ asase no so, na me deɛ, mɛwu wɔ asuo no fa ha.
05041700b7	Enti, monhwɛ yie na moammu apam a Awurade, mo Onyankopɔn, ne mo ayɛ no so. Sɛ moyɛ abosom sɛso biara a mo Awurade mo Onyankopɔn abra mo no a, na ɛkyerɛ sɛ, moabu apam no so.
0504180051	Awurade, mo Onyankopɔn, yɛ Onyame ninkunfoɔ ne ogya a ɔhye adeɛ Onyankopɔn.
05041900ad	Moawowo mma ne mmanana akyi, na moatena asase no so akyɛre no, sɛ bɔne fa mo na moyɛ ohoni bi nam so yɛ bɔne wɔ Awurade mo Onyankopɔn ani so nam so hyɛ no Abufuo a,
05041a00b9	mefrɛ ɔsoro ne fam sɛ mʼadansefoɔ de tia mo saa ɛda yi sɛ, ntɛm so, mobɛhye afiri asase a moretwam wɔ so akɔ Yordan akɔfa no so. Morentena hɔ nkyɛ na wɔasɛe mo pasapasa.
05041b0048	Na Awurade bɛbɔ mo apansam aman mu a mo mu kakra bi na wɔbɛtena ase.
05041c008f	Ɛhɔ a ɛyɛ ahɔhosase no so na mobɛsom ahoni a wɔde nnua ne aboɔ na ayɛ, anyame a wɔnhunu adeɛ na wɔnte asɛm na wɔnnidi nte hwa no.
05041d0079	Ɛhɔ na mobɛpere bio ahwehwɛ Awurade mo Onyankopɔn. Na sɛ mode mo akoma ne mo kra nyinaa hwehwɛ no a, mobɛhunu no.
05041e0081	Sɛ ɔhaw bi to mo na yeinom nyinaa ba mo so a, akyire no, mobɛsane akɔ Awurade mo Onyankopɔn nkyɛn na moayɛ ɔsetie ama no.
05041f00b0	Ɛfiri sɛ, mo Awurade mo Onyankopɔn no yɛ mmɔborɔhunu Onyankopɔn. Ɔrennya mo na ɔrensɛe mo anaa ne werɛ remfiri apam a ɔne mo agyanom pameeɛ a ɔkaa ntam sii so no.
05042000d9	Hwehwɛ abakɔsɛm mu firi ɛberɛ a Onyankopɔn bɔɔ nnipa wɔ asase so bɛsi ɛnnɛ yi. Afei, hwehwɛ firi ɔsoro ano kɔsi ɔsoro ano. Hwɛ sɛ biribi kɛseɛ a ɛte sɛ yei asi pɛn anaasɛ woate biribi saa pɛn?
0504210063	Ɔman bi ate Onyankopɔn nne sɛ ɔrekasa afiri ogya mu sɛdeɛ moteeɛ na wɔda so te ase yi anaa?
05042200ff	Onyame foforɔ bi nam ɔgye a ɔnam amanehunu, nsɛnkyerɛnneɛ a ɛyɛ nwanwa, ɔko, tumidie ne ahodwiredeɛ so agye ɔman bi afiri ɔman foforɔ bi nsam afa sɛ ne dea anaa? Nanso, saa na Awurade, mo Onyankopɔn, yɛ maa mo wɔ Misraim a mo ani hunuiɛ.
0504230073	Ɔdaa yeinom nyinaa adi kyerɛɛ mo sɛdeɛ ɛbɛyɛ a mobɛhunu sɛ Awurade yɛ Onyankopɔn a nʼakyi obi nni hɔ.
0504240089	Ɔmaa motee ne nne firi soro nam so tenetenee mo so. Ɔmaa mohunuu ne ogya fadum wɔ asase so, ɛnna motee ne nne firii ogya no mfimfini.
050425008a	Esiane sɛ na ɔpɛ mo agyanom asɛm, na ɔpɛɛ sɛ ɔhyira wɔn asefoɔ enti na ɔno ara nam ne tumi kɛseɛ so yii mo firii Misraim no.
050426007c	Ɔpamoo saa aman yi a na wɔn ho yɛ den sene mo wɔ mo anim sɛdeɛ mobɛba wɔn asase so abɛdi so sɛdeɛ ɛte ɛnnɛ yi.
0504270076	Enti, monkae na momma no ntim mo akoma mu: Awurade yɛ Onyankopɔn wɔ ɔsoro ne asase so, na onyame bi nka ne ho bio!
05042800b5	Sɛ moyɛ ɔsetie ma mmara no ne ahyɛdeɛ no a mede bɛma mo ɛnnɛ no a, ɛbɛsi mo ne mo mma yie. Mobɛnyini akyɛre wɔ asase a Awurade mo Onyankopɔn de rema mo afebɔɔ no so.
050429003b	Afei, Mose yii nkuropɔn mmiɛnsa bi wɔ Yordan apueeɛ fam
05042a007a	a, sɛ ɛba sɛ obi akum obi a wanhyɛ da na ɔnni onipa ko no ho menasepɔ bi a, ɔtumi dwane kɔ hɔ kɔbɔ ne ho adwaa.
05042b00a2	Ɔyii Beser a ɛda ɛserɛ ne asase tata so no maa Rubenfoɔ. Ɔde Ramot a ɛwɔ Gilead no maa Gadfoɔ ɛnna ɔde Golan a ɛwɔ Basan no nso maa Manase abusuakuo.
05042c002c	Yeinom ne mmara a Mose de maa Israelfoɔ no.
05042d005c	Israelfoɔ no firii Misraim no, yeinom ne akwankyerɛ, mmara ne ahyɛdeɛ a Mose de maa wɔn
05042e00ff	ɛberɛ a wɔduruu bɔnhwa a ɛbɛn Bet-Peor a ɛda Asubɔnten Yordan apueeɛ fam. Kane no, na Amorifoɔ na wɔte asase yi so ɛberɛ a wɔn ɔhene Sihon a ɔfiri Hesbon di adeɛ. Mose ne Israelfoɔ firi Misraim ɛreba no, wɔsɛe ɔhene yi ne nkurɔfoɔ.
05042f0081	Wɔfaa nʼasase no sane faa Basanhene Og asase nso kaa ho. Saa ahemfo baanu yi na wɔyɛ Amorifoɔ ahemfo a wɔte Yordan apueeɛ.
0504300064	Saa asase yi na ɛfiri Aroer a ɛda Arnon subɔnhwa ano kɔsi Sion bepɔ, a wɔfrɛ no Hermon no ho.
050431004f	Israelfoɔ no sane faa nsaase a ɛfiri Araba ɛpo no ano kɔsi bepɔ Pisga ase.
050501007f	Mose frɛɛ Israelfoɔ nyinaa ka kyerɛɛ wɔn sɛ: Montie mmara ne ahyɛdeɛ a mede rema mo ɛnnɛ no yie. Monsua na monni so.
050502004a	Ɛberɛ a yɛwɔ Horeb no, Awurade yɛn Onyankopɔn ne yɛn yɛɛ apam bi.
0505030070	Ɛnyɛ yɛn agyanom na Awurade ne wɔn yɛɛ apam tete no, na mmom, ɔne yɛn a yɛte ase ɛnnɛ yi na ɛyɛeɛ.
0505040034	Awurade ne mo kasaa animuanimu firi ogyaframa no mu.
05050500ae	Megyinaa mo ne Awurade ntam, ɛfiri sɛ, na mosuro ogya no enti, moamforo bepɔ no. Ɔkasa kyerɛɛ me na me nso mekaa nsɛm a ɔkaeɛ no kyerɛɛ mo. Nsɛm a ɔkaeɛ no nie:
0505060047	“Mene Awurade mo Onyankopɔn a meyii mo firii nkoasom wɔ Misraim no.
050507002a	“Monnsom onyame foforɔ biara nka me ho.
0505080087	Monnyɛ ohoni anaa biribiara a ɛsɛ adeɛ a ɛwɔ ewiem, anaa deɛ ɛwɔ asase so, anaa deɛ ɛwɔ nsuo mu, anaa deɛ ɛwɔ asase ase.
050509010d	Monnkoto ohoni biara nsom no ɛkwan biara so, na me, Awurade mo Onyankopɔn, meyɛ ninkunfoɔ. Na me ne onyame foforɔ bi nkyɛ mo dɔ a modɔ me no. Na sɛ nnipa bi bɔne a wayɛ enti metwe wɔn aso a, metwe wɔn aso kɔsi wɔn awontoatoasoɔ a wɔtan me no nyinaa so.
05050a0045	Na medɔ awoɔ ntoatoasoɔ mpem a wɔdɔ me na wɔdi mʼahyɛdeɛ so.
05050b004a	Mommmɔ Awurade Onyankopɔn din basabasa. Sɛ moyɛ saa a, ɔbɛbu mo fɔ.
05050c0046	Monkae homeda na monni no sɛ ɛda kronkron, sɛdeɛ Awurade ahyɛ no.
05050d0027	Nnansia na momfa nyɛ mo nnwuma nyinaa,
05050e00e0	na ɛda a ɛtɔ so nson no yɛ homeda ma Awurade Onyankopɔn. Saa ɛda no, ɛnsɛ sɛ moyɛ adwuma biara; ɛnsɛ sɛ mo mmammarima, mo mmabaa anaa mo asomfoɔ anaa mo anantwie ne mo afunumu anaa mo ahɔhoɔ yɛ adwuma biara.
05050f00d0	Monkae sɛ berɛ bi a atwam no na moyɛ nkoa wɔ Misraim, na Awurade, mo Onyankopɔn, nam anwanwa tumi ne tumi nnwuma so na ɔyii mo firii hɔ. Ɛno enti na Awurade mo Onyankopɔn hyɛ mo sɛ monni homeda no.
0505100099	Di wʼagya ne wo maame ni sɛdeɛ Awurade, mo Onyankopɔn, hyɛ mo no. Na ɛbɛma wo nkwa nna aware wɔ asase a Awurade wo Onyankopɔn de bɛma wo no so.
0505110008	Nni awu.
050512000e	Nsɛe awadeɛ.
050513000c	Mmɔ korɔno
050514001d	Nni wo yɔnko ho adansekurumu
05051500af	Mma wʼani mmere wo yɔnko yere. Mma wʼani mmere wo yɔnko fie anaa nʼasase anaa nʼakoa anaa nʼafenawa, ne nʼanantwie, nʼafunumu anaa biribiara a ɛyɛ wo yɔnko dea.”
05051600c9	Awurade de nne kɛseɛ a ɛfiri ogyaframa no mu ka kyerɛɛ mo firii omununkum a esum kabii atwa ho ahyia mu. Nsɛm a ɔkaeɛ ara ni na ɔtwerɛɛ ne nsɛm no guu aboɔ ɛpono mmienu so na ɔde maa me.
0505170078	Motee nne no firii esum mu ɛberɛ a bepɔ no ogya redɛre framfram no, mmusuakuo mu ntuanofoɔ no nyinaa baa me nkyɛn.
05051800c0	Wɔkaa sɛ, “Awurade yɛn Onyankopɔn, akyerɛ yɛn nʼanimuonyam ne ne tumi na yɛate ne nne afiri ogya mu. Ɛnnɛ, yɛahunu sɛ, sɛ Onyankopɔn ne onipa kasa koraa a, onipa tumi tena ase.
05051900a3	Na afei, adɛn enti na ɛsɛ sɛ yɛwuwu? Sɛ Awurade, yɛn Onyankopɔn, kasa kyerɛ yɛn bio a, akyinnyeɛ biara nni ho sɛ yɛbɛwuwu na ogya no ahye yɛn pasaa.
05051a0068	Enti, ɔkra teasefoɔ bɛtumi ate Onyankopɔn teasefoɔ no nne afiri ogyaframa no mu na watena ase anaa?
05051b0097	Wo, kɔ na kɔtie deɛ Awurade yɛn Onyankopɔn no ka. Na afei, bra na bɛka biribiara a ɔka kyerɛɛ wo no kyerɛ yɛn, na yɛbɛtie na yɛadi so.”
05051c0099	Awurade tee mo nne ɛberɛ a mokasa kyerɛɛ me no, Awurade ka kyerɛɛ me sɛ, “Mate nsɛm a nnipa ka kyerɛɛ wo no. Nsɛm a wɔkaaeɛ no nyinaa yɛ.
05051d0093	Ao, sɛ daa wɔbɛnya akoma sɛdeɛ ɛbɛma wɔasuro me na wɔadi mʼahyɛdeɛ nyinaa so a, anka ɛbɛyɛ ama wɔn ne wɔn asefoɔ nyinaa afebɔɔ.
05051e0040	“Kɔ na kɔka kyerɛ wɔn sɛ, wɔnsane mmra wɔn ntomadan mu.
05051f00c2	Nanso, wo deɛ, wo ne me ntena ha sɛdeɛ ɛbɛyɛ a mɛtumi de me nhyɛ ne me mmara ama wo. Wobɛkyerɛkyerɛ nnipa no sɛdeɛ wɔbɛtie wɔ asase a mede rema wɔn no so sɛ wɔn agyapadeɛ.”
050520008d	Enti, Mose ka kyerɛɛ nnipa no sɛ, “Monyɛ ɔsetie mma Awurade mo Onyankopɔn ahyɛdeɛ nyinaa, na monni ne nkyerɛkyerɛ so pɛpɛɛpɛ.
05052100a0	Akwan a Awurade mo Onyankopɔn ahyɛ mo sɛ monnante so no so, monnante so. Na moatena ase nna tenten na asi mo yie wɔ asase a morebɛkɔ akɔtena so no so.”
0506010099	Yeinom ne ahyɛdeɛ, mmara ne nhyehyɛeɛ a Awurade mo Onyankopɔn ka kyerɛɛ me sɛ menkyerɛ mo na monni so wɔ asase a moretwa Yordan akɔtena so no,
05060200a6	sɛdeɛ ɛbɛyɛ a mo, mo mma ne wɔn mma bɛsuro Awurade mo Onyankopɔn mmerɛ dodoɔ a mote ase. Sɛ modi ne mmara ne nʼahyɛdeɛ nyinaa so a, mo nkwa nna bɛware.
05060300c9	Montie, Ao Israel, na monhwɛ yie nni so sɛdeɛ ɛbɛyɛ a, ɛbɛsi mo yie na mo ase atrɛ yie wɔ asase a nufosuo ne ɛwoɔ resene wɔ so sɛdeɛ Awurade, mo agyanom Onyankopɔn, hyɛɛ mo ho bɔ no.
050604003a	Tie, Ao Israel, Awurade yɛn Onyankopɔn yɛ Awurade koro.
0506050060	Dɔ Awurade wo Onyankopɔn firi wʼakoma mu nyinaa ne wo kra nyinaa mu ne wʼahoɔden nyinaa mu.
0506060040	Momma saa mmaransɛm a mede rema wo ɛnnɛ yi ntena mo akoma mu.
0506070074	Momfa nhyɛ mo mma mu. Sɛ mowɔ fie anaa monam ɛkwan so, sɛ moda hɔ anaa mosɔre anɔpa a, monkyerɛkyerɛ wɔn.
0506080047	Monkyekyere no sɛ agyinahyɛdeɛ mmɔ mo nsa na momfa bi mmɔ abotire.
0506090033	Montwerɛ ngu mo fie aponnwa ne mo aboboanopono ho.
05060a00ca	Ɛrenkyɛre biara, Awurade mo Onyankopɔn de mo bɛba asase a ɔkaa ntam sɛ ɔde bɛma mo agyanom Abraham, Isak ne Yakob no. Ɛyɛ asase a animuonyam nkuropɔn a ɛnyɛ mo na mokyekyereeɛ ahyɛ so ma.
05060b00ed	Wɔde nneɛma pa a ɛnyɛ mo na moyɛeɛ bɛhyɛ no ma. Mobɛto nsuo afiri abura a ɛnyɛ mo na motuiɛ mu, na mobɛdidi afiri turo a ɛnyɛ mo na moyɛeɛ mu ne ngo nnua a ɛnyɛ mo na moduaeɛ. Sɛ modidi mee wɔ saa asase yi so wie a,
05060c0058	monhwɛ yie na mo werɛ amfiri Awurade a ɔgyee mo firii nkoasom mu Misraim asase so no.
05060d0062	Ɛsɛ sɛ mosuro Awurade, mo Onyankopɔn, na mosom ɔno nko ara. Ne din nko ara na momfa nka ntam.
05060e0050	Monnni anyame foforɔ akyi—anyame a wɔyɛ nnipa a wɔatwa mo ho ahyia no dea;
05060f0084	na Awurade mo Onyankopɔn a ɔwɔ mo ntam no yɛ Onyankopɔn ninkunfoɔ a nʼabufuhyeɛ no bɛhye mo na ɔbɛsɛe mo afiri asase so.
0506100053	Monnsɔ Awurade, mo Onyankopɔn, nhwɛ sɛdeɛ moyɛeɛ ɛberɛ a na mowɔ Masa no.
050611007a	Ɛsɛ sɛ modi Awurade mo Onyankopɔn ahyɛdeɛ so pɛpɛɛpɛ—monni mmara no mu nsɛm nyinaa so sɛdeɛ ɔde ama mo no.
0506120094	Monyɛ deɛ ɛtene na ɛyɛ wɔ Awurade ani so na biribiara awie mo yie. Na moakɔ akɔtena asase pa a Awurade hyɛɛ ho bɔ kyerɛɛ mo agyanom no.
050613005f	Mobɛpam atamfoɔ a wɔte mo asase no so nyinaa sɛdeɛ Awurade ka kyerɛɛ mo sɛ ɔbɛyɛ no.
050614007b	Daakye bi, mo mma bɛbisa mo sɛ, “Saa mmara ne nʼahyɛdeɛ a Awurade, yɛn Onyankopɔn de ama yɛn yi aseɛ ne sɛn?”
0506150074	Monka nkyerɛ wɔn sɛ “Na yɛyɛ Farao nkoa wɔ Misraim, nanso Awurade nam anwanwatumi so yii yɛn firii Misraim.
050616005d	Yɛhunuu Awurade nsɛnkyerɛnneɛ nnwuma a ɔyɛ tiaa Misraim, Farao ne ne nkurɔfoɔ nyinaa.
0506170069	Ɔyii yɛn firii Misraim sɛdeɛ ɛbɛyɛ a, ɔbɛtumi de asase a wahyɛ yɛn agyanom ho bɔ no ama yɛn.
05061800a1	Na Awurade yɛn Onyankopɔn hyɛɛ yɛn sɛ yɛnni mmara no nyinaa so na yɛmfa obuo ne anidie mma no sɛdeɛ ɛbɛma daakye asi yɛn yie sɛdeɛ ɛte ɛnnɛ yi.
0506190078	Ɛfiri sɛ, sɛ yɛdi mmara no nyinaa a Awurade, yɛn Onyankopɔn, de ama yɛn no so a, ɛbɛma yɛayɛ ateneneefoɔ.”
0507010105	Sɛ Awurade mo Onyankopɔn de mo ba asase a morebɛkɔ akɔtena so no so a, ɔbɛpam amanaman pii a wɔwɔ mo anim no a wɔyɛ Hetifoɔ, Girgasifoɔ, Amorifoɔ, Kanaanfoɔ, Perisifoɔ, Hewifoɔ ne Yebusifoɔ. Yeinom yɛ aman nson a wɔsoso na wɔyɛ den sen mo.
0507020099	Sɛ Awurade mo Onyankopɔn de saa aman yi hyɛ mo nsa na modi wɔn so a, monsɛe wɔn pasapasa. Mo ne wɔn nnhyehyɛ apam biara na monnhunu wɔn mmɔbɔ.
0507030064	Mo ne wɔn nni awadeɛ na mommma mo mmammaa ne mo mmammarima nnware wɔn mmammarima ne wɔn mmammaa.
050704005b	Ɛfiri sɛ, wɔakɔsom wɔn anyame foforɔ. Na Awurade abufuo bɛhuru atia mo na wasɛe mo.
0507050093	Deɛ ɛsɛ sɛ moyɛ wɔn ne sɛ, mommubu wɔn afɔrebukyia na monnwiri wɔn abosom adum no ngu. Montwitwa wɔn abosompɔ ngu na monhye wɔn ahoni.
050706009a	Na moyɛ nnipa kronkron a moyɛ Awurade mo Onyankopɔn dea. Nnipa a wɔwɔ asase so nyinaa, mo na Awurade mo Onyankopɔn ayi mo sɛ nʼagyapadeɛ sononko.
0507070078	Ɛnyɛ sɛ modɔɔso sene nnipa a aka no enti na Awurade anya mo ho dɔ no, na mo na mosua koraa wɔ nnipa no nyinaa mu.
05070800c3	Na mmom, ɛyɛ Awurade dɔ a ɔdɔ mo, ne ne ntam a ɔdii so no: ntam a ɔka kyerɛɛ mo agyanom sɛ ɔde ne nsa a tumi wɔ mu no bɛyi mo afiri nkoasom asase so ne Misraimhene Farao tumi ase no.
05070900a6	Monhunu sɛ Awurade mo Onyankopɔn yɛ Onyankopɔn; ɔyɛ nokorɛ Onyankopɔn a ɔdi ne dɔ apam so kɔsi awoɔ ntoatoasoɔ apem a wɔdɔ no na wɔdi nʼahyɛdeɛ so.
05070a004c	Nanso, ɔntwentwɛn na ɔsɛe. Ɔtwe wɔn a wɔmpɛ nʼasɛm aso, sɛe wɔn.
05070b0047	Ɛno enti, monni ahyɛdeɛ ne mmara a mede rema mo ɛnnɛ yi nyinaa so.
05070c0096	Sɛ motie mmara yi na modi ne nyinaa so nokorɛm a, Awurade, mo Onyankopɔn, nso bɛdi nʼapam a ɔfiri ne nokorɛ dɔ mu ne mo agyanom pameeɛ no so.
05070d010c	Ɔbɛdɔ mo na wahyira mo na wayɛ mo ɔman kɛseɛ. Ɔbɛma mo awo mma bebree na wama mo asase adɔre na mo nyɛmmoa ase ayɛ bebree. Sɛ moduru asase a ɔhyɛɛ ho bɔ sɛ ɔde bɛma mo agyanom no so a, mobɛnya aburoo, nsã, ngo, anantwie, nnwan ne mpɔnkye bebree.
05070e008b	Wɔbɛhyira mo aboro aman a wɔwɔ asase so nyinaa so. Mo mmarima renyɛ saadwe, na mo mmaa nso renyɛ abonini, na mo nyɛmmoa nso bɛwowo.
05070f009f	Na Awurade bɛbɔ mo ho ban afiri yadeɛ nyinaa ho. Ɔremma owuyadeɛ a ebi bɔɔ mo wɔ Misraim no bi mmɔ mo, na ɔde saa yadeɛ no nyinaa bɛma mo atamfoɔ.
0507100095	Monsɛe aman a Awurade mo Onyankopɔn de bɛhyɛ mo nsa no nyinaa. Monnhunu wɔn mmɔbɔ na monnsom wɔn anyame. Sɛ moyɛ saa a, ɛbɛsum mo afidie.
0507110069	Mobɛbisa mo ho sɛ, “Na sɛ saa aman yi yɛ den kyɛn yɛn a, ɛbɛyɛ dɛn na yɛatumi apamo wɔn?”
050712006e	Nanso, monnsuro wɔn. Monkae adeɛ a Awurade, mo Onyankopɔn, de yɛɛ Farao ne ne manfoɔ nyinaa wɔ Misraim.
050713011e	Mode mo ankasa mo ani hunuu amanehunu, nsɛnkyerɛnneɛ a ɛyɛ hu ne anwanwasɛm a ɛbaa wɔn so. Mohunuu tumi nsa ne abasa a wɔatrɛ mu a Awurade, mo Onyankopɔn, nam so yii mo firii hɔ no. Nnipa a mosuro wɔn seesei no, Awurade Onyankopɔn de wɔn bɛfa saa ɛkwan korɔ no ara so.
050714007b	Ɛno akyi, Awurade, mo Onyankopɔn, bɛma mmɔborɔ abɛpam kakra a aka no afiri wɔn atɛeɛ mu kɔsi sɛ wɔn ase bɛhye.
0507150064	Monnsuro saa aman no, ɛfiri sɛ, Awurade, mo Onyankopɔn, a ɔso na ne ho yɛ nwanwa no wɔ mo afa.
05071600b4	Nkakrankakra, Awurade, mo Onyankopɔn, bɛpamo saa aman no adi mo anim ɛkan. Ɔrenyi wɔn nyinaa mfiri hɔ prɛko pɛ; anyɛ saa a, nkekaboa no ase bɛdɔre ntɛm na wɔaba mo so.
0507170075	Nanso, Awurade, mo Onyankopɔn de wɔn bɛhyɛ mo nsa, na ɔbɛma wɔn adwene ayɛ basabasa kɔsi sɛ ɔbɛsɛe wɔn.
0507180076	Ɔde wɔn ahemfo bɛhyɛ mo nsa na mobɛpepa wɔn din afiri ɔsoro ase. Obiara rentumi nsɔre ntia mo; mobɛsɛe wɔn.
05071900c5	Wɔn anyame ahoni no, momfa ogya nhye wɔn. Mommma mo ani mmere ɛso dwetɛ anaa sikakɔkɔɔ no, na mommfa nto mo ho na anyɛ afidie anyi mo, ɛfiri sɛ, ɛyɛ Awurade, mo Onyankopɔn, akyiwadeɛ.
05071a00a7	Mommfa akyiwadeɛ biara mma mo fie, na moankɔyɛ nnome sɛ saa nneɛma no, na amma wɔansɛe mo. Ɛsɛ sɛ mokyi saa nneɛma no korakora, ɛfiri sɛ, ɛyɛ abusudeɛ.
05080100b8	Monhwɛ yie na monni mmara a merehyɛ ama mo ɛnnɛ yi so, sɛdeɛ ɛbɛyɛ a, mobɛtena ase na moadɔɔso na moakɔ asase a Awurade kaa ntam de hyɛɛ mo agyanom bɔ no na moatena so.
