0100000005	Camba
02081400d9	Wa Firawna sang ɓa sikɗuk, Nikiɗi woosa Musaa ne: «Kim na ɓaaɓa teel ɗah, kurka fu kaɗ coha na Firawna ŋ wahtuuni a na kaɗohe kala, fu woo ɗe ne: “Nikiɗi woo ne, fu faɗ cuuɓiŋ ɗe wa kaɗ ɗe ñaamka.
02081500a2	Fu sang ɗah, marka! A hey ɓeke caakoof laayoh na laayoh ŋ ɓooɓiŋ ɗa na dag ciŋ ɗa na ɗa. Ee di'! Ca riif kahan ciŋ ɓi Misra, ca ul merhey miŋ kur ki.
0208160088	Mbaɗi a hey talsohe Gosen, wi cuuɓiŋ ɗe genoh, po ali caakoof reyanɗi nga. Teemb ndeem, fu hey inhe ne a yi Nikiɗi nik ŋ kur kii.
0208170061	A hey tose cuuɓiŋ ɗe ŋ in ci miskiɗ ci aa hee ruhsiɗe ŋ cuuɓiŋ ɗa te wa nikan kim.”»
0208180097	Nikiɗi haɓɗohhaa ɗaa, caakoof laayiɗ tummba eel suusus yakak, ca yipukka ŋ kahan Firawna, na kahan caŋ dag caŋ ɗe na kur ka; Misra yahrukohha.
020819007d	Firawna ɓeeɗukka Musaa na Aaruna a woosa ɓa ne: «Kaɗaat ɗu seeƴka wuu Koohiŋ ɗu, waaye wa nikaat ŋ ɗooƴ kur ki.»
02081a00d3	Musaa loffa ɗe ne: «Muk! Ineem waas haa, wa in tiimbuuɗ nga ɓi Misra. Ɓa waaɗɗi seeƴuk ci ɓoo joy seeƴuk wuu Nikiɗi Koohiŋ ɓoo. Ɓoo tuma ŋ has ciŋ ɓa ɗah, ɓa tapanɗi ɓoo atoh po ɓoo kaan e?
02081b0076	Ɓoo joy kaɗ ini ree tiindu neeh kaahay ŋ bilaf fa, ɓoo seeƴuk nga wuu Nikiɗi, Koohiŋ ɓoo findi a woyoh ɓoo.»
02081c008e	Firawna woosa ɓa ne: «Ee, ŋ hey ɗu faɗe ɗu kaɗ ŋ bilaf fa ɗu seeƴka wuu Nikiɗi Koohiŋ ɗu, waaye kinaat us lool te kiimɗaat to.»
02081d00e1	Musaa woosa ɗe ne: «Marka! Ŋ pulee ndii ɗah, ŋ hey kiime Nikiɗi, kim a saɓsoh ɗu na caakoof ci, fu na dag ciŋ ɗa na ɓooɓiŋ ɗa. Waaye kina ɓoo ñaañohis, fu sangoh Israayel ci ne ɓa kaɗ seeƴka wuu Nikiɗi.»
02081e0033	Musaa kurkohha ɗiskaŋ Firawna, a kiimmba Nikiɗi.
02081f0088	Nikiɗi teyɗukka kiimaŋ ɗe, a saɓsohha Firawna na caakoof ca, a yi na dag caŋ ɗe na ɓooɓaŋ ɗe. Ali caakoof tasisɗi ŋ kur ka.
020820005d	Waaye Firawna taalndiɗta, a ndengɗissa keeñiŋ ɗe. A sannga faɗ Israayel ca ne ɓa coot.
0209010099	Wa Firawna sang, Nikiɗi woosa Musaa ne: «Kaɗa ŋ Firawna, fu woo ɗe ne: “Nikiɗi Koohiŋ Heber ci woo ne, faɗa ɓooɓiŋ ɗe ɓa kaɗ ɗe ñaamka.
020902001d	Fu sang, fu ris ɓa amb ɗah,
0209030098	marka, a hey dege yaahiŋ ɗe ŋ ɗoopaat ciŋ ɗa, kosaay miskiɗ wi na kaɓkohe ruhus ŋ panis ci, mbaam ci, ngeelemb ci, inoh ci, mbaal ci na pe' ci.
0209040071	Waaye Nikiɗi hey talsohe ɗoopaat ciŋ ɓi Misra na ciŋ Israayel ci, ali yino kaananɗi ngaŋ ciŋ Israayel ci.
0209050034	A gapiɗ naamooneem, wa nikan kim ngaŋ kur ki.”»
0209060084	Wa Kooh wiis, Nikiɗi tummba ina a woyee, ɗoopaat caŋ ɓi Misra kaannda ŋ kur ka jen, waaye ali yino kaanɗi ŋ caŋ Israayel ca.
02090700d0	Weɗi Firawna woosoh ɓi ɓo' ne ɓa meeksoh, waaye a woyuusa ne ali ɗoopaat yino kaanɗi ŋ caŋ Israayel ca po ya uup ƴissuut sah! Hondohɗi keeñiŋ ɗe rissa ndengiɗ, a faɗɗi Israayel ca ne ɓa coot.
02090800a7	Wa Firawna sang ɓa faɗ, Nikiɗi woosa Musaa na Aaruna ne: «Nuyaat ɗuund ŋ yaah ciŋ ɗu po ca riif, ŋ utohaani; hey ɗah, Musaa njafa ŋ ɗafki, ŋ fiki Firawna.
0209090094	Ɗuundeem hey ɓoƴsuke ɗuuku, wa ruhus ŋ kur kiŋ Misra jen, ŋ ɓooɓi, na ɗoopaat ci, wa tum ufis ci na hee pulɗe mapuuƴ ŋ faan ciŋ ɓa.»
02090a0091	Musaa na Aaruna ɓayya ɗuunda, Musaa njaffaa ŋ ɗafka ŋ fiki Firawna, wa tummba ufis ca na pulɗe mapuuƴ ŋ faan caŋ ɓooɓa na ɗoopaat ca.
02090b0065	Heɗ haf caŋ Misra minɗi tufuk ŋ fiki Musaa sagu riifa ɓa riifee na ufis ca, findi ɓi Misra jen.
02090c005f	Findi Nikiɗi woyohee wa Musaa, a ndengiɗta keeñiŋ Firawna, yeem sikɗukɗi Musaa na Aaruna.
02090d00c2	Wa Firawna sang ɓa sikɗuk, Nikiɗi woosa Musaa ne: «Kurka kim na ɓaaɓa teel fu kaɗ ŋ Firawna, fu woo ɗe ne: “Nikiɗi, Koohiŋ Heber ci woo ne: Faɗa ɓooɓiŋ ɗe ɓa kaɗ ɗe ñaamka.
02090e00ae	Waasii a hey ruhsiɗe ŋ ɓooɓiŋ ɗa na dag ciŋ ɗa na ɗa sah, naamoociŋ ɗe jen, ci na hee ɗa miske ŋ keeñ. Wa teeɓ ɗa ne, ali in hendɗi na Nikiɗi ŋ kehƴi jen.
02090f0071	Te a raɗseen yaahiŋ ɗe a laɓ ɗa na kosaay ki na ape ɗah, fu heeɗi nikisse ŋ kehƴii, fu na ɓooɓiŋ ɗa.
0209100055	Waaye a yi tufkiɗ ɗa ne a min ɗa teeɓ hatiliŋ ɗe te tiikiŋ ɗe wil kehƴi jen.
0209110057	Te fu taalndiɗiɗ, fu ris ndeng haf ŋ ɓooɓiŋ ɗe, fu sangiɗ ɓa faɗ ne ɓa coot,
020912007b	weɗi tah, marka, kim ŋ wahtuunii, a hey toɓe atoh galacaac raakiɗ hatil, mand naa raakohɗi ndii, ina Misra nikoh poyi.
020913009d	Ɗiski wa nik, nakoha ɗoopaat ciŋ ɗa na ini fu raak jen ɗasɗu, fu tumɗi ineem ɗah, ɓooɓi wala ɗoopaat ci wa raakan ŋ hari jen, wa hey ca ape.”»
0209140088	Wa dag caŋ Firawna kerah woo ceem, ɓum nga ɓa ambeen woo kiŋ Nikiɗi, ɓa arra ɓay ñaam caŋ ɓa na ɗoopaat caŋ ɓa ŋ kahan ca.
020915005c	Ɓinooɓa ambeeɗi woo kiŋ Nikiɗi, ɓa faɗta ñaam caŋ ɓa na ɗoopaat caŋ ɓa ŋ hara.
0209160099	Nikiɗi woosa Musaa ne: «Raɗsa yaahiŋ ɗa ŋ eel ci, toɓ galacaac keen ŋ Misra, ŋ ɗafuk ɓooɓi na ɗoopaat ci na in ci na guurse ŋ kur ki jen.»
0209170072	Musaa raɗissa ndooɗaŋ ɗe ŋ eel ci, Nikiɗi indngeeɗa, a toɓeeɗa galacaac, melña doheeɗa in ci ŋ kehƴi.
020918008e	In mand ɗaa misik raakohɗi ina Misra nikoh poyi; toɓaŋ atoh caŋ galacaaca miskohngaana, wa hunee na meleñ te wa keeneeɗa ɗisik nu nik.
020919007b	Wa tapukka in ca nikee ŋ bilaf fa jen na hatil, ɓooɓa na ɗoopaat ca; wa weersohha kidig ca na in ca soksee ŋ yohon ca.
02091a0034	Wa tasee ree ŋ Gosen dong, ɗiska Israayel ca gene.
02091b008b	Firawna nakohha ɓeeɗkiɗu Musaa na Aaruna, a woosa ɓa ne: «Waasii ŋ bakaaɗiɗ, a mi na ɓooɓiŋ ngo tooñ, Nikiɗi a yi nik ŋ keeh.
02091c007a	Kiimaat ɗe, ɓoo kaaniɗ na toɓiŋ atoh ciŋ galacaaci yakki na indngi, ŋ hey ɗu faɗe ɗu coot, ŋ ambissanɗi ɗu.»
02091d00a8	Musaa loffa ɗe ne: «Ŋ pul kur ki ɗah, ŋ hey raɗse yaah ciŋ ngo ŋ Nikiɗi, ŋ kiim ɗe, indngi na toɓiŋ galacaaci tufuk po fu inah ne Nikiɗi a yi raak kehƴi.
02091e0048	Waaye, ŋ inhiɗ ne fu na dag ciŋ ɗa, ɗu nupɗi Nikiɗi Kooh paaɗ.»
02091f005a	Raak guuraah caŋ ɓa, lorsoona ɓiɗseeɗa, leeŋ'a poseeɗa, tahha po toɓa yahrohha ca.
020920004c	Waaye heet caŋ beleeca kanak ca yahrukoheeɗi sagu mirndoha ca na mirndohe.
020921008d	Musaa kurkohha ŋ ɗiskaŋ Firawna, a pulla kur-taaha, a raɗissa yaah ciŋ ɗe ŋ Nikiɗi, toɓa na indnga na toɓaŋ galacaaca toppa ndaam.
0209220091	Wa Firawna hot ne toɓaŋ galacaaca hun na indnga seekiɗ, a taalndiɗta a bakaaɗeeɗa. A ndengiɗta keeñiŋ ɗe, dag caŋ ɗe nammba tum ɗaa.
0209230071	Findi Nikiɗi woyohee, wa taambohha ŋ Musaa, keeñiŋ Firawna nikka ndengiɗ, a faɗɗi Israayel ca ne ɓa coot.
020a0100a9	Wa Firawna sang faɗ Israayel ca, Nikiɗi woosa Musaa ne: «Kaɗa ŋ Firawna, ñam ndengiɗ keeñiŋ ɗe na ciŋ dag ciŋ ɗe ne ŋ teeɓoh keemaan ciŋ ngo ŋ fikiiɓa,
020a02008b	ne fu min naandsuk kuɓuuciŋ ɗa, na set ciŋ ɗa findi ŋ njembtoh ɓi Misra na keemaan ci ŋ tum nga jen. Ne ɗu inah ne ñam Nikiɗi.»
020a0300c7	Musaa na Aaruna kaɗta ŋ Firawna, ɓa woosa ɗe ne: «Inii weɗ Nikiɗi Koohiŋ Heber ci woo: “Fu na hee hey sange ruhsiɗ haf fu ŋ fikiice po kiɗa? Faɗa ɓooɓiŋ ɗe ɓa min ɗe kaɗ ñaamka.
020a040041	Fu sang ɗah, marka, kim a hey ruhsiɗe njeeleer ŋ kur kiŋ ɗa.
020a050091	Ca hey riife kur ki po ca muur merhey mi jameet, ca ñam in ci toɓiŋ atoh ciŋ galacaac ci faɗ, ca heyɗi faɗe ali in ŋ kidig ciŋ bilaf fi.
020a0600b7	Ca hey riife ŋ kahan ciŋ ɓooɓiŋ ɗa jen, na ciŋ dag ciŋ ɗa na wiŋ ɗa. Waa hee nike naamooni hotohuuɗi ŋ Misra, ŋ caac caŋ ɗa poyi.”» Musaa eɗta ɗe finho, a cootta.
020a0700b1	Dag caŋ Firawna woosa ɗe ne: «Ƴaarii na hee ɓoo hey kafnde po kiɗa? Faɗa ƴaaɓii ɓa coot, ɓa kaɗ ñaamka Nikiɗi Koohiŋ ɓa. Hanaa fu inahɗi ne Misra yahrukohiɗ?»
020a080085	Musaa na Aaruna haytohuusa ŋ Firawna, a woosa ɓa ne: «Ɗu miniɗ kaɗ ñaamka Nikiɗi, Koohiŋ ɗu, waaye a ɓinde na hee kaɗe?»
020a0900bc	Musaa loffa ɗe ne: «Ɓoo jen, komaaki na yakak, ƴaar na ɓitiɓ, cafaƴ na fiir, na ɗoopaat ciŋ ɓoo, mbaal ci, pe' ci na inoh ci, laam, ɓoo na hee haɓɗe feet yakiɗ wuu Nikiɗi.»
020a0a0087	A njembitta ɓa an: «Nikiɗi nikaat na ɗu! Nik rek ne ñam faɗan ɗu ɗu coot na ɓooɓiŋ ɗu ɗah! Wa leeriɗ ne ɗu na waake ro'.
020a0b0079	Muk! Ɗu ɓi ƴaar ci dong, kaɗaat ɗu ñaamka Nikiɗi, ineem weɗ ɗu kiim.» Weɗi ɓa aañoh ɓa ŋ ɗiskaŋ Firawna.
020a0c008c	Nikiɗi woosa Musaa ne: «Raɗsa yaahiŋ ɗa ŋ Misra, njeeleer ci hay, ca ñam paangfi jen, in ci toɓiŋ atoh ciŋ galacaac ci faɗ jen.»
020a0d00a6	Musaa raɗissa ndooɗaŋ ɗe ŋ Misra, Nikiɗi puuɗissa ŋ pulohaaɗ-noh. Mbaɗi wa hooɓukka puuɗis, wa neehha puuɗis. Wa Kooh wiis, puuɗsa hayya na njeeleer ca.
020a0e0086	Ca yipukka ŋ kur kaŋ Misra jen, ca yonnga ŋ ɗisik nu nik, njeeleer hend ɗaa laay hotohuuɗi ŋ Misra te ca moosanɗi hotissu nga.
020a0f00d4	Ca ulla merhey ma po wa minisɗi hotu, ca ñammba rim caŋ kidig ca na in ca nikee ŋ yohon ca jen, ca toɓaŋ galacaaca faɗe, ali in hiliir taseeɗi ŋ kidig ca na in ca nikee ŋ yohon ca ŋ kur kaŋ Misra jen.
020a10007a	Weɗi Firawna aroh ɓeeɗuk Musaa na Aaruna, a woosa ɓa ne: «Ŋ bakaaɗiɗ ŋ Nikiɗi Koohiŋ ɗu, ŋ bakaaɗta nga ɗu,
020a11007b	waaye wa topan waasii. Mi yii kiim ɗu, ɗaasaat to te ɗu kiim Nikiɗi Koohiŋ ɗu, a saɓsoh ho na naamooni na ape wii.»
020a120033	Musaa kurkohha ɗiskaŋ Firawna, a kiimmba Nikiɗi,
020a1300b6	Nikiɗi puuɗissa puuɗis raakiɗ hatil ŋ muyohaaɗ-noh, wa cootiɗta njeeleer ca jen, ŋ ɓakaŋ cookma na woyse Cookmaŋ-Hapeel-ca, ali njeeleer eleerkisɗi ŋ kur kaŋ Misra jen.
020a14004f	Waaye Nikiɗi ndengiɗta keeñiŋ Firawna po a faɗɗi Israayel ca ne ɓa coot.
020a15007e	Wa a sang ɓa faɗ, Nikiɗi woosa Musaa ne: «Raɗsa yaahiŋ ɗa ŋ eel ci, kur ki ñuus, ñuusi ɓooɓi saaɓɗan saaɓiɗ.»
020a16005a	Musaa raɗissa yaahiŋ ɗe ŋ eel ci, ñuus tuɗ ruhussa ŋ Misra jen ina ree neeh kaahay.
020a17009f	Ŋ neeh ca kaahay caam, ali ɓo' mineeɗi hot morom ce te ali ɓo' nga ɓi Misra mineeɗi kuruk ŋ ɗiska a nik. Waaye ɗiska Israayel ca genee nikee ñiiniɗ.
020a1800a8	Firawna ɓeeɗukka Musaa. A woosa ɗe ne: «Kaɗaat, ɗu ñaamka Nikiɗi, ɓayndohaat ɓooɓiŋ ɗu jen. E ɗoopaat ciŋ ɗu, inoh, mbaal na pe', ca ɗi joy tas ndii.»
020a19008d	Musaa woosa ɗe ne: «E fu sah na hee ɓoo tahe raak ɗoopaat ci ɓoo na hee seeƴkohe wuu Nikiɗi, Koohiŋ ɓoo, na ci ɓoo hoomɗiɗan ɗe.
020a1a00bb	Ɓoo hey ɓayndohe ɗoopaat ciŋ ɓoo jen, ali yino tasanɗi nga. Ceɗ ɓoo na hee nihsohe ci ɓoo seeƴkohan wuu Nikiɗi. Te ɓoo inahɗi paaɗ ci ɓoo joy kooɗ feeh ɓoo reeɗi ɗah.»
020a1b0050	Nikiɗi ndengiɗta keeñiŋ Firawna, yeem waaɗɗi faɗ Israayel ca ne ɓa coot.
020a1c006f	Firawna woosa Musaa ne: «Pula ndii, te wortuka hotis pukiŋ ngo; mbehi fu hotissan pukiŋ ngo, fu hey kaane.»
020a1d0043	Musaa woosa ɗe ne: «Ee, a fu woo wa; ŋ hotissanɗi pukiŋ ɗa.»
020b0100be	Ŋ ineem, Nikiɗi woosa Musaa ne: «Ŋ hey ruhsiɗisse naamo, naamooni mirndoh, ŋ Firawna na ɓi Misra, ƴut ɗah, a hey ɗu faɗe ɗu coot jameet; a yi sah na hee ɗu aañoote ne ɗu coot.
020b020081	Ɗiski wa nik, woya Israayel ci ne ɓo' nu nga ɗah, ƴaar na ɓitiɓ, meeksaat gentohiŋ ɗe in haɓɗohuuɗ haalis mbaa urus.»
020b0300a2	Nikiɗi ɓekeen ŋ keeñ ciŋ ɓi Misra ini tah ɓa baahohha Israayel ci. Te Musaa sah nikee ɓo' kerhiɗuuɗ ŋ Misra, ŋ fiki dag caŋ Firawna na ɓi Misra jen.
020b04006f	Musaa woosa Firawna ne: «Inii weɗ Nikiɗi woo: “Ŋ ndengelnde wek, mi yi Nikiɗi, ŋ hey aase ŋ Misra jen,
020b0500af	saaw ci ƴaar ci nik nga jen hey kaane, ciŋ ɗoopaat ci na ɓiŋ ɓooɓi. Ini amboh ciŋ ɗoopaat ci jen, yaŋ ñaama ɓitɓa ŋ oɗohaana po yiŋ Firawna yi ɓoof ŋ kur ki.
020b060069	Rooy keeh-keeh hey kerhasse ŋ Misra jen, rooy ci moosɗi kerhu nga, te mand ɗaa moosissanɗi kerhu nga.
020b07009d	Waaye ɗiska Israayel ci gen, ɓuu sah hurnukanɗi ɓo' nga mbaa ɗoopaat. Wa teeɓ ɗu ne mi yi Nikiɗi ŋ raakiɗ talsoh ŋ harmban Misra na Israayel.”»
020b0800bc	Ŋ ineem, Musaa taalndiɗta, a woosa ɓa ne: «Dag ciŋ ɗa ɓii jen hey ƴeke ŋ fikiiso, ɓa kiimee so ne ŋ coot na ɓooɓiŋ ngo, ŋ han coot.» A pulla kahan Firawna na ayruk miskiɗ.
020b090061	Nikiɗi woosa ɗe ne: «Firawna sikɗukanɗi ɗa ne ŋ min tum keemaan laayiɗ ŋ kur kiŋ ɗe.»
020b0a008f	Musaa na Aaruna tummba keemaan caam jen ŋ fiki Firawna. Waaye Nikiɗi ndengiɗta keeñiŋ Firawna po, a faɗɗi Israayel ca ne ɓa pul kur ce.
020c010030	Weɗi Nikiɗi woyoh Musaa na Aaruna ŋ Misra ne:
020c02004a	«Caɓnii weɗ na hee nike nga ɗu caɓni koc, weɗ caɓni koc ŋ kiis ki.
020c030092	Kaɗaat ɗu woya cuuɓiŋ Israayel ne, neeh ndaŋkiyaah ŋ caɓnii, fah nu nga ɗah, waakaat mbaal naar mbaa suket, fah nu nga ɗah ɗoopaat yino.
020c0400c3	Nik ne fahi ƴissuutiɗ po wa minɗi reehiɗ mbaal mbaa suket yino ɗah, ɓa ɓeeɗkaat gentoh ciŋ ɓa uup ɓa reɓ; ɓa marak ɓo' nu nga ɗah, ini a min ñam, ɓa ɓay ɗoopti ɓa min reehiɗ.
020c050036	A nikaat naar, a raak kiis yino te a raakuu ali sikka.
020c0600a1	Ɗu hey ɗe ɗaake baahiɗ po caɓni raak neeh ndaŋkiyaah na neeh nikiis; ɗu ɓi cuuɓiŋ Israayel jen, fah nu nga ɗah hey hoose ɗoopteem ne nohi muyee ɗah.
020c070083	Ɗu hey ɓaye ŋ ñif miŋ ɗe, ɗu reef ŋ leentooni na ɓak ci kanak ciŋ yahndeer kahan nu nik ne ɗoopteem hey ñamse nga ɗah.
020c08005b	A na hee hey utse ŋ weka mbaɗi, ɗu ñam ɗe na mbuuru raakaaɗi lawiir na paangi aayiɗ.
020c090064	A heyɗi ñamse nonaaɗi, a heyɗi bahalse, aa hee hey utse na hafi na kot ci na in ci ŋ ɗooƴ ce.
020c0a006f	Ɗu heyɗi ɗaake nga wuu kim na ɓaaɓa, in nu tas nga ɗe ɗah, ɗu na hee wa hey dohe bala Kooh wiisan ɗah.
020c0b00cd	Ɗu ñamohan ɗe an: tokɗukaat ŋ kinoh po ɗu ndeng, ñafaɗ ci ɓeku ŋ kot ci, ɗu amb ndooɗ ŋ yaah ciŋ ɗu, te ɗu ñam ɗe ñam gaawiɗ. Ineem weɗ kañam kiŋ seeƴkiŋPaak wuu so, mi yi Nikiɗi.
020c0c00b6	Ŋ wekeem ŋ hey aase ŋ Misra jen, ŋ ruhsiɗ kakaan ŋ saaw ciŋ ɓa jen, ini amboh ciŋ ɗoopaat ci po ɓiŋ ɓooɓi. Ŋ hey name teeɓ kooh ciŋ ɓa ne ca keeh haa, ñam Nikiɗi.
020c0d00c2	Waaye ŋ kahan ci ɗu na hee nikohe, ñif meem hey nikee mandargaani na hee ɗu tose, ŋ hota ɗah, ŋ hey ca ƴakaandke, wa tos ɗu ŋ naamooni na ape, wi maa hee ruhsiɗe ne ŋ laɓ ɓi Misra.
020c0e00ae	Mbeheem na hee nike ini fu inah ne, ɗu na ɓi rimkohan nga ɗu, na hee naandsuke kiis nu ree na feet yakak wuu so, mi yi Nikiɗi. Feeteem nikan nga ɗu nakohi heyɗi faɗse.
020c0f00fb	Ɗu ñaman mbuuru raakaaɗi lawiir ini ree neeh yasna-kanak. Ini kooɗoh ŋ mbehi koc ɗu hey nihse lawiir ci nik ŋ kahan ciŋ ɗu po ŋ mbeha yasna-kanakɗoh. Yaa nu ñam mbuuru raakiɗ lawiir ŋ neeh ceem ɗah, a hey pulɗasse ŋ cuuɓiŋ Israayel.
020c100085	Mbehi koc na wi yasna-kanakɗoh, ɗu hey cohe coh yakak wuu so, ɗu heyɗi pangke, ɗal kañam ki ɗu na hee haɓɗe yaa nu nga ɗah.
020c1100ae	Ɗu hey yakɗe feetiŋ Mbuuruuci raakaaɗi lawiir ceem ne ɗu naandsuk mbehi ŋ pulɗoh ɗu Misra. Ɗu heya haɓɗe, ɗu na ɓi rimkohan nga ɗu, wa nik nakohi heyɗi faɗse.
020c1200a4	Caɓni koc raak neeh ndaŋkiyaah na neeh nikiis ɗah, ini amboh ŋ niinaŋ wa ɗu ñaman mbuuru raakaaɗi lawiir po ŋ niinaŋ mbeha ndaŋkiyaah-kanak na yino'ɗoh.
020c13009b	Ini ree neeh yasna-kanak, lawiir joyɗi nik ŋ kahan ciŋ ɗu; te hanhe mbaa geniɗ nu ñam inaa raakiɗ lawiir ɗah, a hey pulɗasse ŋ cuuɓiŋ Israayel.
020c14006f	Kon ɗu ñamanɗi inaa raakiɗ lawiir; na ɗisik nu ɗu min gen ɗah, ɗu ñaman ɓi mbuuru raakaaɗi lawiir.»
020c15008e	Weɗi Musaa ɓeeɗkoh yakak caŋ Israayel jen, a woosa ɓa ne: «Kaɗaat ɗu ɓaya mbaal wala pe', fah nu nga ɗah, ɗu hoos ɗe, a nik Paaki.
020c1600d7	Ɗu ɓay ɓi car hisoɓ, ɗu hooƴ ca ŋ ñif mi ɗu na hee taaknohe ŋ ɗoopti ɗu hoosan, ɗu reefa ŋ leentooni na ɓak ci kanak ciŋ yahndeeriŋ kahan nu nik. Ali ɓo' kanaat pul ŋ kahan ce mbaɗi po Kooh wiis.
020c1700b0	Nikiɗi hey aase ŋ Misra jen, ne a ruhsiɗ naamo nga waaye, a hot ñif mi ŋ yahndeer ci ɗah, a hey ƴakaandke kahan ciŋ ɗu, a faɗanɗi malaakaani na yahrohe a aas nga ca.
020c180055	Ɗu na ɓi rimkohan nga ɗu, ɗu hey taambɗe nakohiŋ ɗe weem, ɗu tumee wa po faw,
020c190054	ɗu kaɗ po ɗu aas kur ka a gapee ɗu ne a hey ɗu wa one ɗah, ɗu hey wa haɓɗe.
020c1a002c	Kuɓuuciŋ ɗu meekis ɗu ini wa tokis ɗah,
020c1b00f4	woyaat ɓa ne: “Weɗ seeƴkiŋ Paak wuu Nikiɗi, yi ruhsiɗee naamo ŋ ɓi Misra, a ƴakaandukka kahan caŋ ɓoo te a muciɗta fah ciŋ ɓoo, wa ɓoo nikoh ñaam.”» Wa Musaa reehiɗ woo, Israayel ca ƴekka ŋ kehƴi ne ɓa ñaamuk Nikiɗi.
020c1c0040	Ƴutta ɓa kaɗta haɓɗa jok ina Nikiɗi nakee Musaa na Aaruna.
020c1d009b	Mbaɗi ŋ ɗooƴ weka, Nikiɗi appa saaw ca ƴaar caŋ Misra jen. Ina amboh caŋ ɗoopaat ca, yaŋ ambuuɗa nik kasoona po yaŋ Firawna ya ɓoof ŋ kur ka.
020c1e008c	Ŋ weka mbaɗi, Firawna na dag caŋ ɗe jen na ɓi Misra jen kurukka; rooy keeh-keeh raakka ŋ Misra, raakɗi kahna tasee raak ɓo' kaaniɗ.
020c1f00b4	Firawna ɓeeɗukka Musaa na Aaruna ŋ ɗooƴ wekaam, a woosa ɓa ne: «Kurkaat ɗu pul ŋ ɓooɓiŋ ngo, kaɗaat ɗu ñaamka Nikiɗi, ɗu ɓi Israayel ci jen findi ɗu kiimohee wa.
020c200066	Ɓayaat sah ɗoopaat ciŋ ɗu jen findi ɗu woyoha, ɗu coot te ɗu kiim Koohiŋ ɗu a barke'iɗ to.»
020c210080	Ɓi Misra liiɓee ne ɓa jen ɓa hey kaane, weɗ tah ɓa tufukka Israayel ca, ɓa aañeeɗa ɓa ne ɓeem araat pul kur kaŋ ɓa.
020c220084	Weɗi Israayel ca ɓayndohoh mun ca ɓa siiɓe, raak ca tumuuɗi lawiir paaɗ; ɓa poonnda kanoh caŋ ɓa na kulɓa, ɓa likukka ca.
020c230087	Ɓa haɓiɗta ina Musaa woyee ɓa, ɓa meekissa ɓi Misra ngaŋ in caŋ ɓa haɓɗohsee urus mbaa haalis, ɓa nammba ɓa meekis kulɓa.
020c240092	Nikiɗi ɓekeen ŋ keeñ ciŋ ɓi Misra ini tah ɓa baahohha Israayel ci po ɓa eɗta ɓa in ca ɓa meeksohe. Ŋ ineem, ɓa ɓarngiɗta ɓi Misra.
020c2500b2	Wa ɓa ɓarngiɗ ɓa, ɓa pulohha kur kaŋ Ramses, ɓa kaɗta ɓak Sukkoot. Ɓa nikee ƴaar ndengiɗ junni-teemet-yasna-yino ne fu kinndohɗi komaakca ƴin ca na ɓitiɓ ca ɗah.
020c260083	Ɓo' laayiɗ pulohha ŋ heet wiiriis hunnda na ɓa. Mbaal caŋ ɓa na pe' caŋ ɓa na inoh ca laayeen lool, ca hunnda ca kaɗeeɗa.
020c2700ad	Ɓa tufkasse tufku ne ɓa pul Misra, ɓa raweeɗi haɓiɗ kañam, weɗ tah ɓa haɓiɗta mbuuru raakaaɗi lawiir na mun ca siiɓuuɗ ca guufaaɗiica ɓa pulohee na ca Misra.
020c28005a	Ŋ mbeheem, weɗ Israayel ca tumoh kiis teemet-nikiis na kiis ndaŋkiyaah-kaahay ŋ Misra.
020c29005c	Wa kiis ceem reeh, ŋ noha mbaɗi, cuuɓiŋ Nikiɗi puleeɗa Misra rung rung, ɓa kaɗeeɗa.
020c2a0080	Ŋ wekaam, a neehha ɓa niiɗ wa a pulɗee ɓa Misra. Weɗ tah gomal nu hay ɗah, Israayel ci joyiɗ ɗe neeh ñaamuk ŋ wekeem.
020c2b0076	Wa in ceem raak, Nikiɗi woosa Musaa na Aaruna ne: «Inii weɗ nakohu ŋ ini kaɗ ŋ Paaki: Ali hanhe joyɗi ñam nga.
020c2c0054	Ñaami fu inah ne a romu romu, a miniɗ ñam nga, raak ɗa tumiɗ po a nguɗuk ɗah.
020c2d003a	Ɓoyi genohaah mbaa surgaani na wirndasse joyɗi ñam nga.
020c2e0059	Paakeem ñamohsan ŋ ɗooƴ kahan ci, ali sepet pulanɗi ŋ hari. Te ali ƴoh weersanɗi.
020c2f004c	Ɓo' nu nik ne fu ɓaah ŋ cuuɓiŋ Israayel ɗah, fu joyiɗ yakiɗ feeteem.
020c3000c1	Hanheeri gen ŋ harmban ɗu, waaɗ ɓaah ŋ seeƴkiŋ Paaki wuu Nikiɗi ɗah, ƴaar ci nik ŋ fah ce jen joyiɗ nguɗuk, a hana min haɓiɗ findi Israayel ci. Ɓoyi nguɗukɗi minɗi ɓaah nga.
020c31004a	Nakohi yino; wa faɗɗi Israayel ci, wa namɗi faɗ hanheeci gen na ɗu.»
020c320045	Weɗi Israayel ci jen haɓɗoh jok ina Nikiɗi nakee Musaa na Aaruna.
020c33004e	Mbaɗi Nikiɗi puliɗta Israayel ci Misra, ɓa hunnda rung rung ɓa kaɗeeɗa.
020d010030	Wa Nikiɗi puliɗ Israayel ca, a woosa Musaa ne:
