1300000006	Psalms
134411004b	War en Kot me kid toto pan pak kid; leowa kotikot re ’rail ni nana Jinai.
1344120087	Komui kotidalan poa o jaliedier me jalidi kan, o kom kotin ale on aramaj pai kan, pil on ir me katiwo kan, pwe leowa en kotikot waja o.
1344130066	Kapina leowa nin ran akan karoj; Kot kin kotiki on kitail katoutou patail, ap pil kotin jauaja kitail.
1344140043	Atail Kot iei jauaj patail, o leowa Kaun kin kotin dorela jan mela.
1344150075	Melel, Kot pan kotin kawela monan a imwintiti kan, o a pan kotin lejer pajan takain monan ir, me dadaurata ar katiwo.
134416005c	leowa kotin majanier: I pan kapure don ir jan nan Pajan, I pan wa ir do jan nan kapin madau.
134417004a	Pwe koe en tiakedi on nan ntan imwintiti kan, o noum kidi kan en tamotamo.
134418006d	Main Kot, a janjal duen omui kotikot jili, duen omui kotikot jili nan mol omui jarawi, ai Kot o ai Nanmwarki.
1344190054	Pwin en kaul kin tion, ap pwin en jaunkajan nan pun en peinakap akan, me wiadar aip.
13441a0043	Kapina Kot Ieowa nan momodijo kan, komail me kijan parer en Ijrael.
13441b0082	Peniamin tikitik kin kakaun nan pun ar, jaupeidi en Iuda ianaki japwilim ar akan toto, jaupeidi en Jepulon, o jaupeidi en Naptali.
13441c0067	Omail Kot kotin kauadar omail wei; Main Kot, I me komui en kotin katenetenedi, pwe japwilim omui dodok.
13441d004d	Nanmarki kan pan wa don uk ar kijakir pweki omail im en kaudok nan Ierujalem.
13441e0098	Kom kotin lipor on man en nan rau, o pwin kau ol ianaki na kan, o wei kan, me kin pepei pweki kijin moni. Kotin kamueit pajan wek kan, me kin men mauin.
13441f0044	Jaupedi en Akipten pan pwarado; men Moren pan pokadan Kot pa’rail.
134420003d	Komail wei kan nin jappa kauli on Kot, kakaul o kapina Ieowa.
1344210063	I, me kin kotikot jili nanlan, nanlan en majia! Kilan, a kin kotiki on japwilim a nanjapwe manaman.
134422004e	Komail kamelele mana en Kot! A linan mi ren Ijrael, o a mana mi nan tapok kan.
134423006c	Kot meid kapuriamui nan mole jaraui. I Kot en Ijrael. A pan kotiki on aramaj akan mana o kelail. Kapina Kot!
1345010037	MAIN Kot, kotin jauaja ia, pwe pil itida lel on maur i.
1345020061	I pan kirila nan waja lujujur lol, waja me jota kakaluak; i mi nan pil lol, o ad pan kamop ia la.
134503005d	I pana kila ai janejan, kapin wor ai kirkilar, maj ai juedalar, pwe a warailar ai auiaui Kot.
13450400a1	Me kin tata kin ia nin joka repa me toto jan pit en mon ai. Me imwintiti on ia, o me kin kawe ia la, ap jota karepa, kin kelail. I en pwain, me i jota kulia jan.
134505004b	Main Kot, kom kotin mani ai pweipwei, o ai japun kan me jota rir jan komui.
13450600a1	Kom der mueid on irail, me auiaui komui, en jarodi pweki nai, Main Ieowa Jepaot; kom der mueid on irail, me rapaki komui, en namenokala pweki nai, Kot en Ijrael.
134507003c	Pwe i kin kankaururla pweki komui, maj ai me dir en namenok.
134508003e	I wialar men wai amen ren ri ai kan, o nain in ai jaja ia lar.
134509005a	Pwe limpok on tanpaj omui kajor ia dier, o lalaue en ir, me kin lalaue komui id ko don ia.
13450a0039	I kin janejan melel o kaijejol, ari jo, re kin lalaue ia.
13450b0028	I likau kidar ed eu, a re kin lalaue ia.
13450c0052	O me mondi pan wanim, kin kajekajenda ia, o wajan kan jakau, re kin kakaul kin ia.
13450d0081	A i kin kapakap on komui Main Ieowa ni anjau me kon on; Main Kot, kom kotin mani ia pweki omui kalanan lapalap o kotin jauaja ia.
13450e0069	Kotin dore ia la jan nan pwel, pwe i ender kirila; pwe i en piti jan, me kailon kin ia o jan nan pil lol;
13450f0062	Pwe lapake ender kamop ia la, o waja lol ender kadala ia la, o au en por o ender pur pena on po i.
1345100063	Mani ia, Main Ieowa, pwe omui kalanan meid mau, kom kotin majan don ia, pweki omui kalanan lapalap.
134511005b	O kom der karirela jan japwilim omui ladu jilan omui, pwe i majak; kom kotin madan mani ia!
1345120049	Kom kotido ren nen i o dorela i, kotin dore ia la pweki ai imwintiti kan.
134513005c	Komui manier duen ai jarodier, o ai lijela, o ai namenok, me palian ia, kin janjal on komui.
13451400ae	Ai jarodier kin kawela nan monion i, o i luetalar melel. i auiaui, ma jota me pan injenjuedeki mepukat, a jota man amen; o ma jota, me pan kamait ia la, a jota me i kak diar.
1345150054	Irail kin kamana kin ia ede, o kanim pil kin ia pinika ni ai men nim piladar kaualap
134516003f	Arail tepel en wiala injar arail, o lidip arail, o kapup arail.
134517004e	Maj arail en rotorotala, pwe ren der kilan waja, o irail en koj pena kokolata.
1345180046	Wudokidi on po ’rail omui onion, o omui onion melel en lel on irail.
134519003e	Deu ’rail en lijelipinda, o jota me pan kaujon nan im arail.
13451a006c	Pwe re kin pakipaki, me kom kotin kaloker, o re kin indinda, me dene komui kin kaloke mal japwilim omui kan.
13451b0043	Kom kotin kaloedi on ir ni japun toto, pwe ren der konodi omui pun.
13451c0043	Irij jan ir nan puk en kamaur, pwe ren der ian me pun kan kileledi.
13451d0049	A nai me luet, o i kin waiwairok. Main Kot, omui jauaja ia en jinjila ia.
13451e0046	I pan kapina mar en Kot ki kaul pot, o i pan wauneki i melel ki danke.
13451f0045	I me Ieowa kotin kupura jan kau ol, me oje o pat en na pualapual mia.
1345200054	Me luet akan kin kilan, o peren kida, o me kin rapaki Kot, monion arail pan maurada.
1345210052	Pwe Ieowa kotin mani me jamama kan, o a jota kotin mamaleki japwilim a jalidi kan.
1345220046	Nanlan en kapina i, pil jappa, o madau, o karoj me kin mokimokid lole.
1345230066	Pwe Kot pan kotin jauaja Jion, o a pan kauada kanim en Iuda kan, pwe aramaj en kaujon waja o, o aneki.
134524004c	O wan a ladu kan pan jojoki irail, o me kin pok on mar a, pan kaujon waja o.
1346010043	MAIN Kot kom kotin mada do, dore ia la, Main Ieowa, pwen jauaja ia!
1346020069	Me kin majamajan ia, en namenokala o jarodi, o me kin peren kida ai apwal akan, en ponjeker wei o lejila.
1346030039	Pwe irail me kin indinda due ai: Io ol o! ren namenokala.
1346040077	A me kin idok komui, en pereperen o popolki komui, o me kin pok on omui maur, en indinda anjau karoj: Kot meid kapinan.
1346050080	A nai me luet o jamama. Main Kot, kom kotin madan don ia, pwe komui ta jauaj pa i o ai jaundor; Main Ieowa, kom der kotin pwand!
1347010041	MAIN Ieowa, i liki komui, kom der mueid on, i en jarodi kokolata.
134702006a	Kom kotin dore ia la pweki omui pun, o kotin jauaja ia, o kotin kapaike don ia karon omui kan o jauaja ia.
1347030098	Komui en koti wiala ia paipalap, waja i pan kak pitila ia anjau karoj, pwe kom kotin inauki on ia er, me kom pan dore ia la, pwe komui ai paip o ai kel.
1347040050	Ai Kot, jauaja ia jan nan pa en me doo jan Kot, o jan nan pa en me japun o weit.
1347050042	Pwe komui kapore pa i, Main Ieowa, komui ai kel jan ni ai pulepul.
134706006a	I liki komui jan ni ai ipwidier, o komui me kaipwi ia jan nan kaped en in ai, i pan kapina komui kokolata.
1347070044	Nai dueta meakot me kapuriamui on me toto; a komui kel pa i manaman.
1347080030	Kom kotin kadireki au ai kapin o danke on komui.
1347090049	Kom der kotin kaje ia la ni ai mala, o der muei jan ia ni ai pan luetala.
13470a0057	Pwe ai imwintiti kin palian ia ni ar lokaia, o me kin majamajan ia, kin kapakapun pena,
13470b0049	O indinda: Kot muei janer i, komail paki o koledi i, pwe jota jauaj pa a.
13470c0050	Main Kot, kom der kotin doo wei jan ia, Main Kot! Kom kotin madando o jauaja ia.
13470d006d	A me palian ia en namenokala o jarodi; o me rapa kin ia, pwen kame ia la, ren kadupale kidi namenok o lalaue.
13470e003f	A i pan auiauita, o i pan kalaudela ai kapin on komui kokolata.
13470f0054	Au ai en kaloki jili omui pun, o omui kamau pan ran karoj, me jota kak wadawad pena.
1347100043	I kin weweid jili ni mana en Ieowa Kaun; i pan kapina omui pun eta.
1347110070	Main Kot, kom kotin padaki on ia er jan ni ai pulepul, o i kaloki jili omui manaman akan jan maj kokodo lel met.
13471200a1	Main Kot, kom der kotin muei jan ia ni ai mala, pit en mon ai lao puetepuetala, lao i pan padaki on jeri en jeri kan omui wiawia o on me pan kokodo omui manaman.
1347130059	Main Kot, omui pun meid ileile, kom kin wiada dodok lapalap. Main Kot, ij me rajon komui?
1347140070	Pwe komui kotiki on kit er kamajak laud o toto, o kom kotin pur on kamau kit ada o wai ia dado jan nan waja lol.
1347150044	Komui pan kotin kaileile ia da, o kom pan kotin pur on kamait ia la.
1347160073	I ap pan kapinaki komui kajan, pweki omui melel, ai Kot, I pan kauleki on komui arp, on komui, me Jaraui en Ijrael.
134717004a	Kil in au ai o nen i, me re kotin dorelar, pan pereperen o kauli on komui.
134718006e	Pil lo i pan indinda duen omui pun jan manjan lel jautik. Pwe irail, me men kawe ia la, namenokala o jarodier.
1348010051	MAIN Kot, kom kotiki on nanmarki en kapun, o kotiki on nain nanmarki ol omui pun.
1348020058	Pwen kaunda japwilim omui aramaj akan nin tiak pun, o dorela japwilim omui me luet akan.
1348030039	Nana kan en kare don aramaj akan popol o dol akan me pun.
1348040069	A pan jauaja pun en me luet ren aramaj akan; a pan dorela nain me jamama kan, o pan tiakedi me morjued o.
1348050051	Aramaj pan majak komui jan eu kainok lel eu kainok, arain katipin o jaunipon mia.
1348060046	A pan kotidi dueta katau on mat kap, dueta katau me kawujokejok jap o.
1348070054	Me pun o pan memaurata ni a ran akan, o muei mau pan pwaida, lao jaunipon jolar mia.
134808004d	A pan kotin kaunda jan eu madau lel won eu, o jan pilap o lel ni imwin jappa.
1348090057	Me kaukaujon nan jap tan, pan dairukedi on mo a, o a imwintiti kan pan kanala pwel par.
13480a006b	Nanmarki en Tarjij o me mi nan dake kan, pan wa don i ar kijakij; nanmarki en Arapia o Jepa pan wia nopwei.
13480b0045	Nanmarki kan karoj pan kaudoki on i, men liki kan karoj pan upa on i.
13480c004a	Pwe a pan dorela me jamama o, me kin weriwer, o me luet, me jota jauaj pa.
13480d004a	A pan kupura me tikitik o jamama, o pan kotin jauaja nen en me jamama kan.
13480e005f	A pan kotin dorela nen arail jan ren me morjued o weit, o nt’ arail me kajampwal mon jilan i.
13480f0080	A pan ieiajata o kold jan wein Arapia pan wijik won i, o aramaj akan pan kapakapaki i anjau karoj, a pan kapaida ni anjau karoj.
1348100090	Wantuka kan pan pwaida mau nin jappa o pon nana kan, korn pan momand dueta Lipanon; o aramaj akan pan woj ada nan kanim akan dueta ra nan jap o.
1348110086	Mar a pan duedueta kokolata; arain katipin a pan mimieta, iduen warai en mar a, o re pan kapaikida i; men liki kan karoj pan kapina i.
1348120043	Kapin on Kot leowa, Kot en jrael, i eta, me kin wiada manaman akan.
1348130049	O kapin on mar a linan kokolata, o jap karoj en direki a wau! Amen, amen!
1348140026	Iet imwilan kapakap en Dawid nan Ijai.
1349010047	MELEL, Kot kompoke pan men Ijrael, irail me makelekel nan monion arail.
134902004b	A nai, ekij ta, a na i kat pan lodi, o I koren ion krijedi ni ai kakakawei.
134903004a	Pwe I juedeki me aklapalap akan, ni ai kilaner en me japun akn ar pwaidar.
1349040056	Pwe jota apwal kot lel on irail ni ar pan mela, re kin kelail o war arail wilar melel.
1349050055	Jota ar apwal kot dueta aramaj tei kan, o re jota pan kalokolok dueta aramaj tei kan.
1349060051	Ari aklapalap, iei kapwat en tapin wor arail, o arail likau, iei arail tiak weit.
134907004f	Por en maj arail tikitik o jued kilar ar wilar, o re kin wiada, me re inon ion.
1349080060	Re kin mamaleki meakaroj, o re kin lokelokaia me jued, o re kin lalaue o lokaia ni ar aklapalap.
1349090052	Dene arail lokaia tapi jan nanlan, o me irail indinda, dene I eta me pun ni jappa.
13490a003f	I me aramaj akan lokididi on irail; o pil totoia re kin nimala.
13490b0052	Re kin inda: Iaduen, Kot pan kotin injenoki irail? O menda ren me aklapalap irail?
13490c0050	Kilan, iduen me doo jan Kot akan; irail meid pai nin jappa, o re pan kapwapwala.
13490d0057	Iaduen, likamata jota katopa ai kamakelekeladar monion i o kaminela pa i kat ni me pun?
13490e0040	Pwe ran karoj i pan kalokolok, o ni manjan karoj ai kamekam mia.
13490f0078	Koren ion i pil pan indinda dueta irail, a jo, pwe i de pan juedeki japwilim omui jeri kan karoj jan maj kokodo lel met.
134910003b	I ap madamadaua duen mepukat, pwen dedeki, a i jota kak on.
134911004d	Nai lao pedelon on mon mol en Kot jaraui o kilaner imwin mo doo jan Kot akan.
134912005b	Melel kom kotin pwili kin irail edi waja likakerij; kom kotin kapup irail edi on nani pwel.
1349130050	Iaduen arail madan joredier. Irail lokidokila, o imwila ’rail meid kamajapwek.
1349140045	Main Ieowa, kom kin kotin kawela mom arail nan kanim o dueta auramen.
1349150039	Ni ai madak nan monion i, o waiwairok nan ai mudilik kan,
1349160052	I ap diaradar, me nai ol pweipwei men, me jota aja meakot; dueta man amen mo omui.
1349170053	Ari jo, i pan mimieta re omui kokolata, pwe komui kotin kolekol eta pa i pali maun.
134918004d	Komui kin kalua ia duen kupur omui, o kom pan kotin kajamo ia nan linan omui.
134919003c	Ma komui ta ai Kot, i jota pan anane meakot nanlan de jappa.
13491a0063	Ma pali war ai o nen i pan dupokala, pil menda, pwe komui Main Kot kamait pa i o pwaij ai kokolata.
13491b0072	Pwe kom kotin mani irail, me muei jan komui pan lokidokila; Kom pan kotin kajapokela karoj, me wuki wei jan komui.
13491c006b	A iet ai peren, i en teneten on Kot, o i en kaporoporeki Kot leowa, pwen kalok jili omui wia wia kan karoj.
134a010057	MAIN Kot, da me kom kotin kaje kin kit ala, o da me re onioniki japwilim omui jip akan?
134a0200a3	Kom kotin kupura japwilim omui momodijou, me kom kotin pwaindar maj o, o me komui dorelar, pwen wiala japwilim omui, kotin kupura dol Jion, waja me kom kotikot ia.
134a030058	Kom koti don waja me lijelipin anjau warai; imwintiti me kawelar meakaroj nan im jaraui.
134a04005c	Me palian komui, kin weriwer nan tanpaj omui o pwilikidi arail dikedik en ani mal akan lole.
134a050030	Irail pwaradar dueta ir, me wia palapal nan wei.
134a060036	Re kin kawela did kajelel akan ki jile laud o tikitik.
134a070053	Irail karonala tanpaj omui; irail kajaminela o tiakedi waja me mar omui kotikot ia.
134a080065	Irail kin inda nan monion arail: Na, kitail pan kawela! Irail karonalar wajan kaudok karoj nan jap o.
134a09006e	Jolar manaman akai janjal on kitail, o jolar jaukop amen mia, o jota amen re atail me pan aja imwilan mepukat.
134a0a0051	O Main Kot, arai da me morjued o pan lalaue, o imwintiti o pan mamaleki mar omui?
134a0b004c	Da me komui kotiki wei jan lim omui? Kotikida pali maun omui o kaimwijokala.
134a0c004f	Pwe Kot ai Nanmarki jan maj o. I me jauaj pan meakaroj, me kin wiaui nin jappa.
134a0d0059	Kom kotin kamueit pajaner madau ki omui manaman, o kom kotin kawelar monan drake nan pil.
134a0e004d	Kom kotin kawelar monan walroj, ap kotiki on aramaj nan jap tan, pwen kanala.
134a0f005b	Komui kotin kapwaredar parer o pilap akan, o pilap kalaimun akan me kom kotin kanalanaladi.
134a100042	Ran o pon me japwilim omui; komui kotin wiadar jaunipon o katipin.
134a110048	Komui wiadar irair en jap akan; komui me kin wia anjaun karakar o kapou.
134a120061	Kom kotin kupura mepukat: Imwintiti o lalaue komui Main, o aramaj pweipwei kan mamaleki mar omui.
134a130070	Kom der kotiki on man laualo nen en japwilim omui muroi, o kom der likidmaliela pwin en japwilim omui luet akan.
134a140049	Kom kotin tamanda inau o, pwe jap olar waja karoj o im akan pual pajaner.
134a15005d	Re der kotin mueid on me luet o, en namenok purela, me jamama o luet akan en kapina mar omui.
134a160089	Main Kot, kom kotida o kotin kaimwijokala japwilim omui dodok; kom kotin tamanda kankaurur, me kin wiaui on kmui jan ren me pweipwei kan.
134a170073	Kom kotin der maliela weriwer en japwlim omui imwintiti, moronoron en me palian komui kan, me kin lalaudalar karoj.
134b010067	Je kapina komui, Main Kot, je kapina komui, pwe mar omui me koren, o omui manaman akan kaloki jili due.
134b020025	Pwe ni a anjau I pan wiada kapun pun.
134b030035	Jap o tou a kan kin rerer; a I kin kolekol a ur akan.
134b04006b	I indan me aklapalap akan: Komail der aklapalap! O on me doo jan Kot akan: Komail der keleki omail manaman!
134b05004b	Komail der kaileilada mon omial, komail der kokaia jued ni omail aklapalap.
134b060048	Pwe jota jauajpa jan ni maj en lan de kapin lan, de jan nana en jap tan.
134b070049	Pwe Kot, me kin kadeikada, o me kin kajapwilidi amen, o kajapwilada amen.
134b080097	Pwe dal eu mi nan lim en Ieowa, me dir en wain kelail, me a kotin kodidodie; a me doo jan Kot akan karoj nan jappa pan nim jan, o re pan nimala moroke.
134b090033	A I pan padapadak kokolata, o kaulion Kot en Iakop.
134b0a0053	I pan kawela mana en me doo jan Kot akan karoj, a mana en me pun kan pan kakairida.
134c01003c	KOT me indand mau ren Iuda, o mar a me linan ren men Ijrael.
134c020032	Tanpaj a im pwal mi nan Jalem, o tanpaj a mi Jion.
134c030054	I waja a kotin katip pajan ia kananan kajik katieu, o pere, o kodlaj, O tatan mauin.
134c04002e	Komui me linan o manaman jan dol en mauin kan.
134c050058	Me aklapalap akan lodier on men kul akan o mela, o jaunpei komad karoj en kidi pa arail.
134c060038	Main Kot en Iakop oj o war kin pupekidi omui majan akan.
134c07003b	Komui meid kamajapwek. Ij me kak u mo ’mui ni omui onion?
134c080051	Ni omui kotin kajaledar omui kadeik jan nanlan, jappa ap majapwekadar o nenenlar,
134c090048	Ni en Kot a kotidar, pwen kadeik, o jauaja me luet akan karoj nin jappa.
134c0a006a	Pwe makar en aramaj kin kalinanada komui, o ma re pan pur on moromoron, luan omui onion pan itar on irail.
134c0b006d	Komail inau on Ieowa omail Kot o kapwaiada. Komail karoj, me mi impa, wa don ren me kalom omail kijakij akan.
134c0c004f	I me pan atia jan jaupeidi kan ar komad, a meid kalom on nanmarki en jappa kan.
134d01004f	I KIN likwirki nil ai on Kot, on Kot, me i pan likwir on, o i me kotin mani ia.
134d02006f	Ni ai anjau apwal, i kin rapaki leowa; ni pon pa i kin u wei o jota kin dukedi, pwe wen I jota kak injenemaula.
134d030048	Ni ai tamanda Kot, i kin ajenokida, ni ai madamadaua, nen i kin luetala.
134d04005e	Kom kin kotin kolekol por en maj ai, pwe ira en papat; nai inen en luet, jolar itar on lokaia.
134d05003e	I kin lamelame duen ran en maj akan, duen par akan me jamalar.
134d060059	Ni pon i kin lamelame duen ai kajan arp, o monion i kin madamadaua; nen i kin raparapaki.
134d070046	Kalelapok, leowa pan kotin onion kokolata, o a jota pan kotin maki on?
134d080037	A kalanan rojelar melel, o a inau imwijokalar kokolata?
134d090041	Kot kotin malielar a mak on kit, o a karirikilar onion a kalanan?
134d0a0060	Ari jo, i indadar: Mepukat me mau on ia; pali maun en lim en me Lapalap pan kak dorela meakaroj.
134d0b0055	I me i kin taman kida wiawian leowa; melel i kin tamanda omui manaman akan jan maj o,
134d0c0045	O madamadaua duen omui wiawia kan karoj, o kilekilan duen omui dodok.
134d0d0044	Main Kot, al omui me pun. Ia waja amen Kot manaman mia dueta Kaun o?
134d0e005f	Komui ta Kot me kin wia manaman akan. Komui kotin kajanjaledar omui manaman nan pun en wei kan.
134d0f0055	Komui kotin dore kila japwilim omui kan omui manaman, iei jeri en Iakop o Iojep akan.
134d10005c	Pil akan ariri komui, Main Kot, pil akan ariri komui, rap majapwekadar, o waja lol rererdar.
134d110053	Tapok kalaimun akan kamoredier pil, tapok kan wiadar nanjapwe, o liol piripir jili.
134d120058	Nanjapwe wiauier nanlan; japwilim omui liol akan kamaraini jappa; jappa mokieda o rerer.
134d130057	Al omui mi nan madau, al omui tatik nan pil kalaimun akan, o jota me kaan aluwilu omui.
134d140041	Kom kotin kalua japwilim omui kan dueta pwin eu ren Mojej o Aron.
134e010056	KOMAIL nai aramaj akan, ron ai kujoned; komail kapaike don jalon omail padak en au ai!
134e02003c	I pan ki pajan au ai, pwen padak, o pan kida kajoi en maj o,
134e03003a	Me kitail ronadar o ajaer, o jam atail kajoi on kitail er,
134e040081	Pwe kitail ender karirila jan kadaudok arail, me pan pwarado mur, o kaparokki wau en leowa, o a manaman o a dodok kapuriamui kan.
134e050095	Pwe a kotin kauada men kataman eu ren Iakop, o kotikida kapun eu ren men Ijrael, me u kotin kakaliki on jam atail akan, pwe ren ujelan nair jeri kan,
134e060062	Pwe di en mur en aja due, o jeri ko, me pan ipwidi; o ni ar kokoda, ren pil kajoi on nair jeri kan
134e070065	Pwe irail en kaporoporeki Kot, o ren der monokela en Kot a wiwia kan, o ren kapwaiada a kujoned akan.
134e08007a	O ren der dueta jam arail akan, me kainok kanudi o katiwo eu, me monion arail jota teneten, o nen arail jota melel on Kot.
134e09003e	Dueta kainok Epraim, me wa tatan mauin, ap purela jan nan pei.
134e0a004e	Irail jota dadaurata inau en Kot, o re jota men weweideki duen a kujoned akan.
134e0b004f	O re monokelar a wiawia kan o a manaman akan, me a kotin kajaljale on irail er.
134e0c0050	A kotin wiadar manaman akai janjal mon jam arail akan nan Akipten, nan jap Joan.
134e0d005a	A kotin palan pajan madau o kotin mueid on ir, en kotela, o wiadar pil dueta kel takai eu.
134e0e0043	A kotin kalua kin irail tapik ni ran o, o ni pon umpul en kijiniai.
134e0f0045	A kotin palan pajan paip nan jap tan o kanim pile kin irail pil toto.
134e100059	O a kotin kapkapwile wei pilap kai jan nan paip, pwe ren pwile wei dueta pilap laud akan.
134e110050	Ari jo, re dadaurata ni arail didi on I, o re kaonioni me Lapalap o nan jap tan.
134e120043	O re kajonejon Kot nan monion arail, ni ar inon ion kan arail mana.
134e130049	O re palian Kot ni ar inda: Melel Kot pan kak wiada tepel eu nan jap tan?
134e14007c	Kilan, a poki paip o, pe pil en pwarado o pilap akan pwilepwile wei, a iaduen, a pan kak kida prot o uduk on na aramaj akan?
134e150062	Ieowa lao manier mepukat, ap kotin onionadar, o kijiniai wiauier ren Iakop, o onion lel on Ijrael,
134e160036	Pweki ar jo kamelele Kot, o jota kaporoporeki a jauaj.
134e170044	A ap kotin majani on tapok en poa kan, o ritinida wanim on lan akan.
134e180048	O kotin kamoredi on ir mana, pwe ren mana, o a kotiki on ir prot en lan.
134e190047	Irail kanalar prot en tounlan kan; a kotin kadar on ir kijin mana toto.
134e1a005e	A kotin kapwaredar pan lan an en maj en lan, o ni a manaman a kotin kamokidada an en pali air.
134e1b0049	O a kotin kamoredi on ir uduk dueta pwel par, o manpir dueta pik en oror.
134e1c0038	O a kotin kapup irail di waja karoj, me irail kaujon ia.
134e1d003e	Rap manamana o medilar kaualap, o a kotin mueid on ir ar inon.
134e1e002d	A ni ar kapwaiadar ar inon, o ni ar manamana.
134e1f0074	Onion en Kot ap lel on irail er, o kamelar ol lapalap re ’rail, o kotin wokiedi mana kap en Ijrael kajampwal akan.
134e20003d	A re kalaudelar arail dip, o re jota kamelele a manaman akan.
134e210055	I me a kotin mueidoki ren mela, re jota paida, o ar apwal akan me toto arain ar maur.
134e22003d	Ni a kotin kame irail la, rap idok i, o wukila, o rapaki Kot.
134e23003b	O re tamandar, me Kot kele parail o Kot lapalap ar jaundor.
134e24003e	O re lik janjal mau on i ni au arail o re likam on i ni lo ar.
134e250043	A monion arail jota teneten on i, o re jota dadaurata melel a inau.
134e26008b	Ari jo, a kotin kalanan on ir, o kotin makeki on ir dip arail, o jota kame irail la, o katukiedi a onion pan pak toto, o jota onioni melel.
134e270052	Pwe a kotin kupura, me irail pali uduk, dueta kijinian, me pir wei o jolar puredo.
134e280043	Pan pak toto re kanudi on i nan jap tan, o kakupur juedi i nan mal.
134e290051	Irail pur on anjau karoj kajonejon Kot, o re akapuni on me Jaraui ren men Ijrael.
134e2a004d	Re jolar tamanda lim a manaman, me dore ir ala jan ar imwintiti kan ni ran o.
134e2b004d	Duen a kotin wiadar a manaman akan nan Akipten o a dodok kapuriamui nan Joan.
134e2c0048	A kotin kawuki on nta ar pil akan, rap jolar kak nima jan ar pilap akan.
134e2d005e	Ni a kotin kapwaredar man jued akan nan pun arail, me kan ir ala, o proj akan, me kawe ir ala.
134e2e0038	A kotiki on muedi ar tuka kan, o ar wantuka on man jiek.
134e2f003a	A kotin kawekilar akel ar wain o tuka kan ki akel tikitik.
134e30003a	A kotin kamekila ar man akel akan o ar pwin man akan liol.
134e31006d	A kotin onion melel o porone won ir tounlan jued kai, o mueid on ir, ren linaranar, o morjued, o kainjenjued.
134e32006e	A kotin kaonopa dan onion al apot, o jota dorelar maur arail jan mela, o kotin mueid on kilitop ni maur arail.
134e330050	A kotin kamelar mejeni karoj nan Akipten, mejeni en ar kelail nan im en Am akan.
134e34003d	A kotin kaluala japwilim a kan dueta pwin jip eu nan jap tan.
134e35005a	A kotin kalua irail ni pun, pwe ren der majak meakot, a madau kadupaledi ar imwintiti kan.
134e36005a	A kotin wa ir ala lel ni irair en jap jaraui, lel nana wet, me lim a pali maun kileledier.
134e370093	O kotin pakipaki men liki kan mo ’rail, o kotin nek on ir jap arail, pwen jojoki, o a kotiki on kainok en Ijrael akan, en kaukaujon nan im arail.
134e380054	A re jonejon? o kaonion Kot lapalap, o jota peiki on i, o jota duki on a majan akan.
134e390067	O re muei jan o mamaleki meakaroj, dueta jam arail akan, o re jota teneten, dueta kajik katieu luet eu.
134e3a005b	O re kaonion i ni ar kaudok pon dol akan, o re kupur juedeki i ki arail dikedik en ani kan.
134e3b0047	A Kot lao kotin mani mepukat, ap kotin onionada o kajapok ir ala melel.
134e3c0051	A kotin muei jan tanpaj a nan Jilo, im pwal o, waja a kotikot ia ren aramaj akan.
134e3d0049	A kotiki wei japwilim akan nan imaten, o a linan nan pa en imwintiti kan.
134e3e004e	A kotiki wei japwilim a aramaj akan ni kodlaj, o kotin onioni japwilim a jojo.
134e3f0045	Kijiniai kanala ar manakap akan, o ar peinekap akan jolar kak papaud.
134e400042	Arail jamero kan mekilar kodlaj, a jolar li odi kan, me kin maiei.
134e410060	Ieowa ap kotin opala waja dueta amen me mairelar, dueta ol komad amen kin nijinij ni a kan wain.
134e42003e	A kotin kaloedier a imwintiti kan o kanamenok ir ala kokolata.
134e43003d	A kotin kajelar im en Iojep, o jota piladar kainok en Epraim.
134e44003f	Pwe a kotin piladar kainok en Iuda, kol Jion, me a koti kupura.
134e450059	O a kotin kauadar tanpaj a im jaraui waja ileile, dueta jappa me pan teneten ea kokolata.
134e46004e	Ap kotin piladar japwilim a ladu Dawid, o a kotin ale i jan nan deun jip akan.
134e470066	A kotin kalua i jan ren jip en kadidi kan, pwen kamana japwilim a kainok en Iakop o a jojo men Ijrael.
134e48005e	O a kotin apapwali ir ni tiak en monion melel o pun, o kakaun irail ada ni koiok en lim a kan.
134f01007e	MAIN Kot, men liki kan tan don japwilim omui jojo; irail kajamilela japwilim omui im jaraui, o re wiaki Ierujalem kantakai eu.
134f02007d	Re ki oner manpir en pan lan akan kalep en japwilim omui ladu kan, o uduk en japwilim omui jaraui kan on man en nan jap akan.
134f03004c	Impan Ierujalem irail wudo kila nt’ ar dueta pil, o jota, me pan jarepedi.
134f040058	Kit wialar kanamenok eu on men imp at, o me kapil kit pena, kin lalaue o kaurur kin kit.
134f050058	Main leowa, arai da kom pan kotin onion, o inon en kupur omui pan lulada dueta kijiniai?
134f06006c	Kom kotin wudokidi on men liki kan, me jaja komui, omui onion, o on wei kan, me jota kin likwir on mar omui.
134f070022	Pwe re kawelar Iakop o im ar akan.
134f08005f	Kom der kotin tamanda dip en jam at akan; a kom kotin madan jauaja kit, pwe kit me malaulaular.
134f090089	Main Kot, jauaj pat, kom kotin jauaja kit, pweki wau en mar omui. Kom kotin dore kit ala o kotin maki on kit dip at akan, pweki mar omui!
134f0a00ab	Da me kom kotin mueid on men liki kan en inda: Ari, ia arail Kot? Kom kotin kajale on men liki kan depuk en ntan japwilim omui ladu kan, me wudokilar, en pil janjal mo at!
