0100000018	उत्पत्ती
050f0701e2	परंतु याहवेह तुमचे परमेश्वर जो देश तुम्हाला देत आहेत, त्यातील कोणत्याही नगरात कोणी इस्राएली बांधव गरीब असेल, तर त्यांच्याकरिता तुमचे हृदय कठोर करू नका किंवा तुमची मूठ बांधून ठेऊ नका.
050f0800c5	त्यांना गरज लागेल तितके तुम्ही त्यांना उदारमनाने व निर्व्याज उसने द्यावे.
050f0902aa	हा दुष्ट विचार मनात न आणण्याची खबरदारी घ्या: “कर्जमाफी करण्याचे सातवे वर्ष जवळ आले आहे.” म्हणून तुम्ही एखाद्या इस्राएली बांधवाबद्दल वाईट इच्छा दाखवू नका आणि मदत नाकारू नका. जर तो याहवेहकडे आपले गार्‍हाणे घेऊन गेला, तर ते तुमच्याविरुद्ध पाप असे मोजण्यात येईल.
050f0a01ec	तुम्ही त्यांना उदारपणे दिले पाहिजे आणि त्याबद्दल तुम्ही अंतःकरणात कुरकुर करू नये; मग तुम्ही जे काही कराल आणि जे कार्य हातात घ्याल त्यात याहवेह तुमचे परमेश्वर तुम्हाला आशीर्वादित करतील.
050f0b017f	देशात नेहमीच गरीब असतील. म्हणून मी तुम्हाला आज्ञा देत आहे की तुमच्या देशातील इस्राएली बांधव जे गरीब आणि गरजवंत आहेत, त्यांना उदारहस्ते मदत करावी.
050f0c01a2	जर तुमच्यापैकी कोणी—इब्री पुरुष किंवा इब्री स्त्री—दास म्हणून स्वतःला विकले आणि सहा वर्षे त्यांनी तुमची सेवा केल्यानंतर सातव्या वर्षी त्यांना मुक्त करावे.
050f0d00e3	आणि ज्यावेळी तुम्ही त्यांना मुक्त कराल, त्यावेळी त्यांना रिकाम्या हाताने जाऊ देऊ नका.
050f0e0221	तर तुम्ही तुमच्या गुरांच्या कळपातून, तुमच्या खळ्यातून, तुमच्या द्राक्षारसाच्या कुंडातून उदारहस्ते द्यावे. ज्याप्रकारे याहवेह तुमच्या परमेश्वराने तुम्हाला आशीर्वादित केले आहे त्याप्रकारे त्यांना द्या.
050f0f016e	स्मरण ठेवा, तुम्हीही इजिप्त देशामध्ये गुलाम होता आणि याहवेह तुमच्या परमेश्वराने तुमची सुटका केली. म्हणूनच मी आज तुम्हाला ही आज्ञा देत आहे.
050f1001e4	परंतु तुमच्या दासाची तुमच्यावर आणि तुमच्या कुटुंबावर प्रीती असेल आणि त्याला तुमच्या घरी राहण्यात आनंद वाटत असेल आणि तो तुम्हाला म्हणेल की “तुम्हाला सोडून जाण्याची माझी इच्छा नाही,”
050f110126	तर आरी घेऊन, त्याचा कान दरवाजावर धरून, तो आरपार टोचावा. मग तो तुमचा कायमचाच दास होईल. तुमच्या दासीचेही असेच करावे.
050f120388	पण जेव्हा तुम्ही तुमच्या दासदासींना दास्यातून मुक्त कराल, तेव्हा वाईट वाटून घेऊ नये; कारण लक्षात ठेवा की, सहा वर्षात एखाद्या मोलकर्‍यासाठी जितका खर्च तुम्हाला आला असता, त्याच्या निम्म्याहूनही कमी खर्चात त्यांनी तुमचे काम केले आहे आणि त्यांना मुक्त करण्यासाठी तुम्ही जे काही कराल, त्याबद्दल याहवेह तुमचे परमेश्वर तुम्हाला आशीर्वादित करतील.
050f13027c	तुमच्या गुरांचे आणि शेरडामेंढरांचे प्रथम जन्मलेले नर, याहवेह तुमच्या परमेश्वरासाठी तुम्ही पवित्र म्हणून वेगळे ठेवावेत. तुमच्या गुरांचे प्रथमवत्स तुम्ही शेतीच्या कामासाठी वापरू नयेत आणि तुमच्या मेंढरांच्या प्रथम वत्साची लोकर कातरू नये.
050f14014e	प्रत्येक वर्षी तुम्ही आणि तुमच्या कुटुंबाने याहवेह तुमच्या परमेश्वरासमोर, ते जे स्थान निवडतील त्या ठिकाणी त्यांचे मांस खावे.
050f1501a4	तरी, त्या प्राण्यात काही दोष आढळल्यास, म्हणजे तो लंगडा किंवा आंधळा असेल किंवा त्यामध्ये कोणतेही व्यंग असले तर याहवेह तुमच्या परमेश्वराला त्याचे अर्पण करू नये.
050f160118	ते तुम्ही आपल्याच नगरात खावे. हरिण किंवा सांबर खातात त्याप्रमाणेच, विधीनुसार अशुद्ध व शुद्ध यांनी ते खावे;
050f1700da	परंतु तुम्ही त्याच्या रक्ताचे सेवन करू नये; तर ते पाण्यासारखे जमिनीवर ओतून द्यावे.
05100101ad	अवीव हा महिना पाळावा आणि याहवेह तुमच्या परमेश्वरासाठी वल्हांडण सण साजरा करावा, कारण त्यांनी अवीव महिन्यात तुम्हाला इजिप्त देशामधून रात्रीच्या वेळी बाहेर काढले.
05100201dd	याहवेह तुमच्या परमेश्वराला तुमचे वल्हांडण सणाचे अर्पण म्हणजे शेरडेमेंढरे किंवा गाईबैल असावे आणि याहवेह त्यांच्या नावाच्या स्थापनेसाठी जे स्थान निवडतील तिथे त्याचे अर्पण करावे.
0510030270	ते खमीर असलेल्या भाकरीबरोबर खाऊ नये, परंतु सात दिवस तुम्ही बेखमीर भाकर खावी, ही तुमच्या क्लेशाची भाकर होय, कारण इजिप्त देश घाईघाईने सोडताना तुम्हाला खावी लागली होती—इजिप्तमधून तुमची सुटका झाली त्या वेळेची आठवण तुम्हाला आयुष्यभर राहील.
0510040165	सात दिवसापर्यंत तुमच्या संपूर्ण देशात खमीर अजिबात दृष्टीस पडू नये. बली देण्यात आलेले मांस दुसर्‍या दिवसाच्या सकाळपर्यंत राहू देऊ नये.
051005014d	याहवेह तुमचे परमेश्वर तुम्हाला देत असलेल्या शहरांपैकी कोणत्याही शहरात तुम्ही वल्हांडणाच्या यज्ञपशूचे अर्पण करावयाचे नाही,
05100601cc	तर ते आपल्या नावाच्या स्थापनेसाठी जे स्थान निवडतील तिथेच वल्हांडणाचा यज्ञपशू तुम्ही सूर्यास्ताच्या वेळी अर्पावा, कारण त्याच वेळेला तुम्ही इजिप्त देशामधून बाहेर पडला होता.
051007011a	याहवेह तुमचे परमेश्वर निवडतील त्या स्थानी ते भाजावे आणि खावे. मग दुसर्‍या दिवशी सकाळी आपल्या तंबूत परतावे.
0510080133	तुम्ही सहा दिवस बेखमीर भाकर खावी आणि सातव्या दिवशी याहवेह तुमच्या परमेश्वरासाठी सभा भरवावी आणि कोणतेही काम करू नये.
0510090095	उभ्या पिकाला विळा लावल्यापासून तुम्ही सात आठवडे मोजावे.
05100a01e6	मग याहवेह तुमच्या परमेश्वरासमोर तुम्ही सप्ताहांचा उत्सव साजरा करावा. यावेळी तुम्ही तुम्हाला मिळालेल्या आशीर्वादांच्या प्रमाणात याहवेह तुमच्या परमेश्वराला स्वेच्छार्पणे वाहावीत.
05100b0263	याहवेह तुमच्या परमेश्वरासमोर त्यांनी आपल्या नावासाठी निवडलेल्या पवित्रस्थानी—तुम्ही, तुमचे पुत्र व कन्या, तुमचे दास व दासी, तुमच्या नगरातील लेवी आणि परदेशी, तुमच्यामध्ये राहणारे अनाथ आणि विधवा यांनाही उत्सवात सामील करून घ्यावे.
05100c0132	तुम्ही इजिप्त देशामध्ये गुलाम होता, याचे तुम्हाला स्मरण राहावे आणि म्हणून या विधीचे तुम्ही काळजीपूर्वक पालन करावे.
05100d010a	तुमच्या खळ्यातील आणि द्राक्षकुंडातील उत्पादन तुम्ही गोळा केल्यानंतर सात दिवस मंडपाचा सण साजरा करा.
05100e01c5	आनंदोत्सव साजरा करण्यास—तुम्ही, तुमचे पुत्र व कन्या, तुमचे दास व दासी, तुमच्या नगरातील लेवी, परदेशी, तुमच्यामध्ये राहणारे अनाथ आणि विधवा यांनाही उत्सवात सामील करून घ्यावे.
05100f024d	हा सण सात दिवस याहवेह तुमचे परमेश्वर जे स्थान निवडतील तिथे साजरा करावा. कारण याहवेह तुमच्या परमेश्वराने तुम्हाला तुमच्या सर्व उत्पन्नात आणि हाती घेतलेल्या तुमच्या कामात आशीर्वादित केले यास्तव तुमचा आनंद परिपूर्ण व्हावा.
05101001e2	वर्षातून तीन वेळा तुमच्या सर्व पुरुषांनी याहवेह तुमच्या परमेश्वरासमोर हजर व्हावे: बेखमीर भाकरीचा सण, सप्ताहांचा सण व मंडपांचा सण. या प्रत्येक प्रसंगी याहवेहसमोर रिक्तहस्ते येऊ नये:
0510110141	याहवेह तुमच्या परमेश्वराने तुम्हाला ज्याप्रकारे आशीर्वादित केले आहे, त्या प्रमाणात तुम्ही प्रत्येकाने भेटवस्तू आणावी.
05101201de	याहवेह तुमचे परमेश्वर जी सर्व शहरे तुमच्या प्रत्येक गोत्राला देणार आहेत, त्या सर्व शहरांमध्ये न्यायाधीश आणि शास्ते यांची तुम्ही नेमणूक करावी व त्यांनी लोकांचा न्याय नीतीने करावा.
051013015a	भेदभाव किंवा विपरीत असा न्याय कधीही करू नये. लाच घेऊ नये, कारण लाच ही शहाण्या माणसांना आंधळे करते आणि निरपराध्याचे शब्द विपरीत करते.
051014017c	न्याय आणि केवळ न्यायाचीच कास तुम्ही धरावी, जेणेकरून याहवेह तुमचे परमेश्वर तुम्हाला देणार असलेल्या देशाचा ताबा घेऊन तुम्ही तिथे वस्ती करू शकाल.
05101500e6	याहवेह तुमच्या परमेश्वराच्या वेदीशेजारी तुम्ही अशेरा मूर्तीचे लाकडी स्तंभ उभारू नका,
05101600e5	आणि पूजास्तंभ उभारू नयेत, कारण याहवेह तुमच्या परमेश्वराला त्यांचा अत्यंत तिटकारा आहे.
0511010154	तुम्ही याहवेह तुमच्या परमेश्वराला दोष अथवा व्यंग असलेला बैल किंवा मेंढरू यांचे अर्पण कदापि करू नये; कारण त्याचा त्यांना वीट आहे.
05110201b5	समजा याहवेहने तुम्हाला दिलेल्या देशातील एखाद्या नगरात तुमच्यातील कोणी पुरुष अथवा स्त्री याहवेह तुमच्या परमेश्वराच्या कराराविरुद्ध त्यांच्या दृष्टीने पातक करेल,
051103015f	आणि त्यांनी माझ्या आज्ञेच्या विरुद्ध अन्य दैवतांची उपासना केली, त्यांना किंवा सूर्य किंवा चंद्र किंवा आकाशातील तारे यांना नमन केले,
05110401c9	आणि हे तुमच्या कानी आले, तर ही गोष्ट खरी आहे की नाही याची तुम्ही प्रथम काळजीपूर्वक खात्री करून घ्यावी. इस्राएलात ही घृणास्पद गोष्ट घडली आहे व हे सत्य आहे असे निश्चित झाल्यावर,
0511050156	ही घृणास्पद गोष्ट करणार्‍या त्या पुरुषाला अथवा स्त्रीला नगराच्या वेशीजवळ घेऊन जावे आणि त्या व्यक्तीला मरेपर्यंत धोंडमार करावा.
051106017d	दोन किंवा तीन साक्षीदारांच्या साक्षीवर एखाद्याला मृत्यू दंड द्यावे लागते, परंतु केवळ एका साक्षीदाराच्या साक्षीवर कोणालाही मृत्यू दंड देऊ नये.
0511070204	ही धोंडमार करण्यासाठी जे साक्षीदार आहेत, त्यांनी प्रथम त्या मनुष्याला दगडमार करावा आणि नंतर इतरांनी त्यात सहभागी व्हावे. अशा रीतीने तुमच्यामधून दुष्टाई घालवून तुम्ही स्वतःला शुद्ध करून घ्यावे.
051108021d	तुमच्या न्यायालयात खटले येतात, ज्यांचा निवाडा करण्याचे काम तुमच्या आवाक्याबाहेरचे असेल—मग ते रक्तपात असो, फिर्याद अथवा मारामारी असोत—याहवेह तुमच्या परमेश्वराने निवडलेल्या स्थानी तुम्ही तो वाद न्यावा.
0511090159	त्याकाळी जे लेवी याजक किंवा न्यायाधीश आपल्या पदावर असतील, त्यांच्याशी तुम्ही मसलत करावी आणि ते त्या वादाचा निर्णय तुम्हाला देतील.
05110a025e	ते आपला निर्णय देतील आणि ते सांगतील त्याप्रमाणे अगदी तंतोतंत तुम्ही करावे. याहवेहने निवडलेल्या स्थानी त्यांनी दिलेला निर्णय तुम्ही अगदी तंतोतंत पाळावा. त्यांनी तुम्हाला जे काही करण्यास सांगितले आहे ते सर्व करण्याची काळजी घ्या.
05110b0108	ते तुम्हाला जे काही शिकवतील व जो निर्णय ते देतील, त्याच्या उजवीकडे वा डावीकडे न वळता, तो अंमलात आणावा.
05110c0250	याहवेह तुमच्या परमेश्वराने निवडलेला, त्यावेळी पदावर असलेल्या न्यायाधीशाचा अथवा याजकांचा निर्णय न पाळण्याचे धाडस जो कोणी करेल, त्याला मृत्यूची शिक्षा दिली जावी. अशा रीतीने इस्राएलातून तुम्हाला ही दुष्टाई काढून टाकता येईल.
05110d00af	हे सर्व लोक ऐकतील व भयभीत होतील आणि पुढे ते उन्मत्तपणा करणार नाहीत.
05110e019c	याहवेह तुमचे परमेश्वर तुम्हाला देणार असलेल्या देशात तुम्ही याल व तो ताब्यात घ्याल आणि स्वतःशी म्हणाल, “इतर राष्ट्रांना जसा राजा आहे तसा आपल्यालाही असावा,”
05110f01f2	तर ज्या माणसाची याहवेह तुमचे परमेश्वर निवड करतील, त्यालाच तुम्ही राजा म्हणून नेमावे. तो तुमच्या भाऊबंदांपैकी असावा; परदेशीयाला म्हणजे इस्राएली पैकी नसलेल्यास तुम्ही राजा म्हणून नेमू नये.
051110021f	राजाने स्वतःसाठी घोड्यांचा मोठा संग्रह करू नये किंवा त्याने आपल्यासाठी अधिक घोडे आणण्यासाठी आपली माणसे इजिप्त देशात पाठवू नये, कारण “तुम्ही त्या मार्गाने परत जाऊ नये,” असे याहवेहने तुम्हाला सांगितले आहे.
051111015a	तुमच्या राजाने अनेक स्त्रिया करू नयेत, जेणेकरून त्याचे अंतःकरण बहकून जाईल. त्याने आपल्यासाठी चांदी व सोन्याचा मोठा संग्रह करू नये.
0511120171	जेव्हा तो आपल्या राजासनावर बसेल, तेव्हा त्याने लेवी याजकांच्या जवळ असणार्‍या नियमशास्त्रामधून हे सर्व नियम व आज्ञा स्वतः लिहून काढाव्यात.
05111301e4	ती प्रत नेहमीच त्याच्याजवळ असेल. त्याने त्या नियमांचे दररोज वाचन करावे म्हणजे तो याहवेह त्याच्या परमेश्वराचा आदर करण्यास शिकेल आणि या नियमाचे आणि विधीचे सर्व शब्द काळजीपूर्वक पाळेल
05111401e8	व त्याने स्वतःला आपल्या इस्राएली बांधवांपेक्षा अधिक श्रेष्ठ समजू नये आणि नियमांपासून उजवीकडे किंवा डावीकडे वळू नये. मग तो आणि त्याचे वंशज अनेक पिढ्या इस्राएलावर दीर्घकाळ राज्य करतील.
05120101af	लेवी याजकांना—अर्थात् संपूर्ण लेवी गोत्राला—इतर गोत्रांप्रमाणे इस्राएलात वाटा किंवा वतन नाही. ते याहवेहला केलेल्या होमार्पणावर जगतील, कारण हेच त्यांचे वतन आहे.
0512020145	त्यांच्या इस्राएली भाऊबंदांप्रमाणे त्यांना वतन नसेल; कारण याहवेहच त्यांचे वतन आहेत, जसे त्यांनी त्यांना अभिवचन दिले होते.
0512030136	बैलाचे किंवा मेंढराचे अर्पण करणार्‍या लोकांकडून मिळणारा याजकांचा हा वाटा आहे: खांदा, अंतर्गत अवयव आणि डोक्याचे मांस.
0512040152	याशिवाय धान्य, नवा द्राक्षारस व जैतुनाचे तेल यांच्या उत्पन्नाचे प्रथम भाग आणि मेंढरांची प्रथम कातरलेली लोकर त्यांना दिली जावी,
05120501b4	कारण याहवेह तुमच्या परमेश्वराने त्यांना आणि त्यांच्या वंशजांना सर्व गोत्रातून पिढ्यान् पिढ्या निरंतर उभे राहून आणि याहवेहच्या नावाची सेवा करण्यासाठी निवडले आहे.
05120601b3	जर एखाद्या लेवीची इस्राएली राष्ट्राच्या एका नगरातून दुसर्‍या नगरात जाऊन राहण्याची कळकळीची इच्छा असल्यास आणि तो याहवेहने निवडलेल्या पवित्रस्थानी येऊन राहिल्यास,
051207013d	याहवेह त्याच्या परमेश्वराच्या नावाने इस्राएली भूमीत इतर लेवी बांधवांप्रमाणे याहवेहच्या उपस्थितीत त्याने सेवा करावी.
0512080138	वारसाहक्काने मिळालेली संपत्ती विकून आलेले पैसे त्याच्याकडे असतील तरी देखील त्याला इतरांप्रमाणेच सारखा वाटा मिळावा.
0512090172	जेव्हा तुम्ही याहवेह तुमच्या परमेश्वराने दिलेल्या वचनदत्त देशात याल, तेव्हा त्या देशात राहणार्‍या राष्ट्रांच्या अमंगळ चालीरीती शिकू नका.
05120a01a0	तुमच्यामध्ये आपल्या पुत्राचा किंवा कन्येचा होम करणारा, शकुनमुहूर्त पाहणारा किंवा चेटके करणारा, दुष्ट आत्म्यांची मदत घेऊन भविष्य सांगणारा, जादूटोणा करणारा,
05120b0105	अथवा वशीकरण करणारा, अथवा कोणी मध्यस्थ अथवा मृतात्म्यांना बोलावून त्यांच्याशी मसलत करणारा असू नये.
05120c01b0	जो कोणी अशी कृत्ये करतो त्याचा याहवेहला तिरस्कार आहे; आणि त्यांच्या या अमंगळ कृत्यांमुळेच त्या राष्ट्रांना याहवेह तुमचे परमेश्वर तुमच्यापुढून घालवून देणार आहेत.
05120d0096	तुम्ही याहवेह तुमच्या परमेश्वरापुढे निर्दोषपणे चालावे.
05120e024b	जी सर्व राष्ट्रे शकुनमुहूर्त पाहणार्‍यांचे व दैवज्ञांची भाकिते ऐकतात त्या राष्ट्रांचा ताबा तुम्ही घेणार आहात, त्यामधून त्यांना हुसकावून लावा. परंतु याहवेह तुमचे परमेश्वर तुम्हाला अशा गोष्टी करण्याची परवानगी देत नाहीत.
05120f0113	याहवेह तुमचे परमेश्वर इस्राएलातून तुमच्यासाठी माझ्यासारखा एक संदेष्टा उभा करतील. तुम्ही त्याचे ऐकावे.
05121002d5	कारण होरेबाच्या पर्वताजवळ हीच विनंती तुम्ही स्वतः याहवेह तुमच्या परमेश्वराजवळ केली होती, जेव्हा तुम्ही विनविले, “याहवेह आमच्या परमेश्वराचा भयावह आवाज पुन्हा ऐकण्याचा अथवा त्या पर्वतावर तो भयावह अग्नी पुनरपि पाहण्याचा प्रसंग आम्हावर येऊ नये, नाहीतर आम्हाला मृत्यू येईल.”
051211008f	तेव्हा याहवेह मला म्हणाले: “ते जे म्हणतात ते योग्य आहे.
05121201c5	त्यांच्या भाऊबंदांतून मी त्यांच्यासाठी तुझ्यासारखा एक संदेष्टा उभा करेन आणि मी माझी वचने त्याच्या मुखात घालेन. मी त्याला ज्याकाही आज्ञा देईन त्या सर्व तो त्यांना सांगेल.
0512130104	तो संदेष्टा जे काही माझ्या नावाने बोलेल आणि जो कोणी माझे शब्द ऐकणार नाही, त्याची मी स्वतः झडती घेईन.
051214016a	पण जो संदेष्टा माझ्या नावाने असे काही बोलतो ज्याची मी आज्ञा दिली नाही किंवा जो संदेष्टा इतर दैवतांच्या नावाने बोलतो त्याला जिवे मारावे.”
05121500cc	तुम्ही स्वतःशी म्हणू शकता, “हा संदेश याहवेह बोलले नाहीत, हे आम्ही कसे ओळखावे?”
0512160244	तर एखाद्या संदेष्ट्याने याहवेहच्या नावाने ज्या गोष्टीची घोषणा केलेली असेल, ती गोष्ट जर घडून आली नाही किंवा खरेच तसे होत नसेल तर तो संदेश याहवेहने दिलेला नाही. तो संदेष्टा उन्मत्तपणे बोलला आहे, तुम्ही त्याचे भय बाळगू नये.
05130101c4	याहवेह तुमचे परमेश्वर जी भूमी तुम्हाला देणार आहेत, तेथील राष्ट्रांचा ते नाश करतील व जेव्हा तुम्ही त्यांना त्या भूमीतून घालवून द्याल आणि त्यांच्या शहरात व घरात वस्ती कराल,
051302012a	त्यावेळी याहवेह तुमचे परमेश्वर जी भूमी तुम्हाला वतन म्हणून देत आहेत, त्यामधील तीन शहरे तुम्ही वेगळी करून ठेवावी.
051303020d	यातील अंतर निश्चित करा आणि याहवेह तुमचे परमेश्वर तुम्हाला वतन म्हणून देत असलेल्या भूमीचे तीन भाग करा, म्हणजे एखाद्याने कोणाची हत्या केली, तर त्याला स्वतःच्या संरक्षणासाठी त्या नगरात पळून जाता येईल.
0513040213	जो कोणी एखाद्या व्यक्तीची हत्या करतो आणि आश्रयाच्या नगरात पळून जातो, त्याच्यासाठी हे नियम असावे: एखाद्या मनुष्याने मनात काहीही द्वेष नसताना व हेतुपुरस्सर नव्हे, पण चुकून त्याच्या शेजार्‍याचा वध केला.
05130502d2	एखादा मनुष्य लाकडे तोडण्यासाठी आपल्या शेजार्‍याबरोबर अरण्यात गेला आणि झाड तोडत असता त्याने कुर्‍हाड चालविली व ती दांड्यातून निसटून उडाली व त्याच्या शेजार्‍याला ती लागली आणि तो मरण पावला, तर त्या मनुष्याने पळून जाऊन या तीन शहरांपैकी एका शहराचा आश्रय घेऊन सुरक्षित राहावे.
05130602bd	नाही तर, अशा रक्तपाताबद्दल सूड घेणारा संतापाने त्याचा पाठलाग करेल व मार्ग लांब असल्याने त्याला वाटेत गाठून ठार मारेल. त्याला मृत व्यक्तीबद्दल द्वेष नव्हता व त्याने पूर्वनियोजित केल्याशिवाय आपल्या शेजार्‍याशी हे कृत्य केले, तो प्राणदंडाच्या शिक्षेस पात्र नव्हता.
05130700b8	म्हणून मी तुम्हाला आज्ञा देतो की तीन शहरे निवडून ती वेगळी करून ठेवावी.
0513080160	याहवेह तुमच्या परमेश्वराने तुमच्या पूर्वजांना वचन दिल्याप्रमाणे तुमच्या देशाच्या सीमांचा विस्तार करून संपूर्ण देश तुम्हाला दिला,
0513090207	कारण मी आज तुम्हाला देत असलेल्या या सर्व आज्ञांचे काळजीपूर्वक पालन केले—तुम्ही याहवेह तुमच्या परमेश्वरावर प्रीती केली व त्यांच्या मार्गात आज्ञाधारकपणे चाललात—तर तुम्ही आणखी तीन शहरे निवडावीत.
05130a017a	हे करावे, अशा रीतीने याहवेह तुमचे परमेश्वर तुम्हाला वतनादाखल देत असलेल्या भूमीवर निरपराधी माणसांचे रक्त सांडल्याचा दोष तुमच्यावर येणार नाही.
05130b016d	परंतु कोणी द्वेषाने दबा धरून राहील व आपल्या शेजार्‍यावर अचानक प्राणघातक हल्ला करून त्याला ठार करेल आणि मग यापैकी एखाद्या शहरात पळून जाईल,
05130c016d	तर त्या गावाच्या वडील मंडळीने माणसे पाठवून त्याला धरून आणावे व त्याला वध झालेल्या माणसाच्या रक्तपाताचा सूड घेणार्‍याच्या स्वाधीन करावे.
05130d0158	त्याला दया दाखवू नये. इस्राएलास निरपराधी माणसांचे रक्त सांडल्याच्या दोषापासून शुद्ध करावे, म्हणजे तुमचे सर्व बाबतीत कल्याण होईल.
05130e0198	याहवेह तुमचे परमेश्वर जो देश तुम्हाला वतनात देत आहेत, तो ताब्यात घेतल्यावर, आधीच्या माणसांनी ठेवलेल्या शेजार्‍याच्या जमीन हद्दीच्या खुणा कदापि बदलू नये.
05130f01e3	केवळ एकाच साक्षीदाराच्या साक्षीवर तुम्ही कोणालाही त्याच्या गुन्ह्याबद्दल किंवा अपराधाबद्दल कदापि दोषी ठरवू नये. दोन किंवा तीन साक्षीदारांच्या संमतीने प्रकरण स्थापित केले पाहिजे.
05131000ab	एखाद्याने मत्सराने खोटी साक्ष देऊन कोणावर चुकीचा आरोप लावल्यास,
051311010b	त्या दोन्हीही इसमांना याहवेहसमोर, त्यावेळी जबाबदार असलेल्या याजकांपुढे आणि न्यायाधीशांपुढे आणावे.
0513120177	न्यायाधीशांनी त्यांची बारकाईने चौकशी करावी आणि साक्षीदार खोटे बोलत असल्याचे सिद्ध झाले व तो दुसर्‍या इस्राएली बांधवावर खोटा आरोप करीत असेल,
0513130166	तर त्याच्या बांधवाचे जे करण्याचे त्याने मनात योजिले होते, तेच त्याचे करण्यात यावे. अशा रीतीने तुमच्यातील दुष्टाई तुम्ही घालवून टाकावी.
05131400db	इतर लोक हे ऐकतील व भयभीत होतील आणि तुम्हामध्ये अशी दुष्टाई पुन्हा कधीही घडणार नाही.
051315013b	खोट्या साक्षीदाराला तुम्ही दया दाखवू नये: जिवाबद्दल जीव, डोळ्याबद्दल डोळा, दाताबद्दल दात, हाताबद्दल हात, पायाबद्दल पाय.
05140102ad	जेव्हा तुम्ही तुमच्या शत्रूशी युद्ध करण्यास जाल आणि तुमच्यासमोर घोडे व रथ आणि तुमच्या सैन्यापेक्षा फारच मोठे शत्रुसैन्य पाहाल, तेव्हा त्यांना घाबरू नका. कारण ज्यांनी तुम्हाला इजिप्त देशातून सुखरुपपणे बाहेर आणले, ते याहवेह तुमचे परमेश्वर तुम्हाबरोबर असतील.
05140200d1	तुम्ही युद्धाला सुरुवात करण्यापूर्वी, याजकाने पुढे यावे आणि सैन्याला सांगावे.
05140301aa	त्याने म्हणावे: “हे इस्राएली लोकहो, ऐका: जेव्हा आज तुम्ही लढण्यासाठी तुमच्या शत्रूविरुद्ध पुढे जात आहात; मन कचरू देऊ नका वा भयभीत होऊ नका; त्यांना घाबरू वा भिऊ नका.
051404015d	कारण याहवेह तुमचे परमेश्वर तुम्हाबरोबर जात आहेत. ते तुमच्यासाठी तुमच्या शत्रूविरुद्ध लढतील आणि तुम्हाला विजय प्राप्त करून देतील.”
051405026e	नंतर सेनाधिकारी आपल्या सैनिकांना म्हणतील: “तुम्हामध्ये असा कोणी आहे का, की ज्याने नुकतेच नवीन घर बांधले असून, तो अद्याप त्या घरात राहिला नाही? तर त्याने घरी जावे, कारण या युद्धात तो कदाचित मारला गेला तर दुसरा कोणीतरी त्या घरात राहू लागेल.
05140601b2	तुम्हापैकी असा कोणी आहे, ज्याने द्राक्षमळा लावला, पण त्याचे फळ अद्याप खाल्लेले नाही? तर त्याने घरी जावे. कदाचित युद्धात तो मारला जाईल आणि दुसरा कोणी त्याचा आनंद घेईन.
05140701e2	तुमच्यापैकी कोणाचा वाङ्निश्चय झालेला असून त्याचा अद्याप विवाह झाला नाही असा आहे का? त्याने घरी जावे आणि विवाह करावा. कदाचित युद्धात तो मारला जाईल आणि दुसरा कोणी तिच्याशी विवाह करेल.”
