2800000006	Methiu
290a0f0099	Gu è nathek shii izai yao phro, “Hanyie è aniphiing duiine Hamangkhung-aphuii Sajathua achoi sapho shii ne khuchung de ji pha ithua adun mua phro.”
290a100069	Chiihphado shii ai è aniphiing shii awai wad è giak srane zab shii wad chaing ne khirzey phi ruii phro.
290a1100b7	Isu yi awai mirek ji duiine jao ramuii shii, bran jia è ran srane ai ibi shii lagiung niing ne chiih-è aishii sai, “Wie Masdo, gu ne idang pha chai mua pha nyie rek chid phlei?”
290a12007c	Isu è aishii sai, “Na ne nyie rek ne gu shii wie rone ho phlei?” Hanyie de wie oi ro, wie ne Hamangkhung-aphuii bie ro.
290a130102	Na ne muyungthek ne thieg: bran shii ne sgoh arek rabo, chiih-è, siulao arek rabo chiih-è, mugo agow rabo; chiih-è, gai bran chiang shii biidiie akhlam rabo; chiih-è gai ro mana shii biidiie khlam ne ayie rabo Chiih-è aphuii nane amuii shii ilab rek bo.
290a140055	Bran ji è yao, “Masdo” “Hì pha muyungthek ne gu ne filiao ba è nuii phro.”
290a15010e	Isu è aishii miang riig srane aishii miie ne yao, “Din ne mana jia chiid dang pha um ba ro. Dun srane na shii nyie um pha ji liu srane bang yi dushothek shii phi muii bo, chiih-è nane hamang-khung hà bukho re ruii phro; chiihphado è na gu rog shii lua gieng bo.”
290a16007b	Jipha bran è ji yoi mage shii, ai mizia ne miung srane, chiih-è ai ne duhug è rey dun, nyieliieshii ai ne bajo bukho ro.
290a17009b	Isu è awai samoythek shii shan srane riig ne chiih-è ithek shii yao, “Bukho branthek ne Hamangkhung-aphuii ro Sajathua shii khud phane bajo diig ro.”
290a1800a4	Jipha miyaogamthek re-è samoythek ne wiengphleg dun, jishii, Isu è nyayao lumao dun ro, gu aniphiing wo, Hamangkhung-aphuii Sajathua shii khud phane bajo diig ro!
290a190072	Bukhothek ne Hamangkhung-aphuii pha Sajathua re pha ji shii ne yuaphiang sthuh simen cho è khud pha ji wie ba ro.
290a1a006d	Hì è ne samoythek ne zab bajo wieng ne awaithek chung sai rai, “Chiihphado hanyie shii ragia re phlei?”
290a1b00b8	Isu è ithek shii miang riig srane chang, “Hì ne branthek è are mua phro, jishii, Hamangkhung-aphuii è ne re muii ruii phro. Hamangkhung-aphuii è ne zab nya re muii ruii phro.”
290a1c0067	Chiihphado Phithar è yao mage, “Riig mage bo! Gathek ne zab thoh muii srane narog shii lua giang.”
290a1d00ad	“Um,” Isu è ithek shii yao, “Gu è nathek shii yao, hanyie magunde mua chiang è hò dinne khuiino dinne bumuii dinne aphuii ne amuii dinne ani dinne raig thoh arone,
290a1e010e	ai ne hì pha ishak shii de bajo mua ruii phro. Aishii ne hòthek, khuiino thek, bumuiithek, amuiithek anithek chiih-è raigthek ne wieng chiieng mua din ruii phro, chiih-è diigchiao de mua ruii phro; chiih-è din pha damzi thog shii ai ne idang pha chai mua ruii phro.
290a1f00a0	Jishii thuh ne hanyie giu ithua shii um pho ne luii ithua hà re ruii phro, chiih-è thuh bajo hanyie yi luii ithua hà um pho ne giu ithua hà re ruii phro.”
290a20013f	Isu chiih-è ai samoythek è Jerusalem hà wuii pha lumuii è lua ramuii shii. Isu ne ithek è ibi lua ramuii shii, samoythek ne samdiig dun ro; chiih-è, branthek hanyie è ai idoh luagiengpho thek ne zab rum dun phro. Din ne de Isu ne samoy snanyi shii yoh ithua hà noh srane aishii nyie re ruii pha jithek yao phro.
290a2100fe	Ai è ithek shii yao, “Yoi bo, gethek ne Jerusalem hà wuiiramuii ro, thiisa hà Bran Dufuii shii ne zum srane Phabi wegthek shii chiih-è Iphey yua pha masdothek shii phi muii phro. Ithek è aishii iy yi pha the srane migi arek pho shii phi ruii phro,
290a22008c	ithek è aishii makhakriing ne chan cho ne, chia ne, chiih-è ua muii phro; jishii ai ne inai da-uom shii ne chai hà hòi din ruii phro.”
290a23008c	Chiihphado è Zebedi pha dufuii, Jems chiih-è Jon è Isu moe shii wuii srane yao, “Masdo, nyie magunde gasa shii rek phi bo è now ro.”
290a240029	Isu è isa shii sai, “jine nyie lei?”
290a25009a	Ai è chang, “Na è nawai bran shii khoh mage shii, gasa shii de narog dug yi bo è now ro, jia shii na phazoi hà, jia shii na phawig hà dug yi bo.”
290a2600cf	Isu è isa shii yao, “Nasa nyie lia pha ji ne nasa ne athieg mua ro. Nasa de gu è niing pha gog riie ji nyaniing mua ne bey? Chiih-è gu miyi pha khowo riie duiine nasa de khowo riie nyayie mua ne bey?”
290a2700aa	Ai è chang, “Gasa de nyayie mau.” Isu è isa shii yao, izai nasa de gu è niing pha gog riie de nyaniing mua phro, chiih-è gu miyi pha khowo riie de nyawo mua phro.
290a2800b2	Jishii, nasa shii gu phawig chiih-è phazoi hà dug yi pha rangsua ne gu shii oi ro. Hì pha ithua ne Hamangkhung-aphuii è hanyie shii rab ne ruii phi pha ji shii phi ruii phro.
290a290052	Gai samoythek sua è ji yoi mage shii, ithek ne Jems chiih-è Jon shii lijieg dun.
290a2a00ce	Chiih-è Isu ithek zab shii ò ho srane yao, “Nathek ne ji pha bran shii thieg, hanyie shii ithek shii blu rek pha migi-arekpho ro bohkhohthek phi muii phro, chiih-è dumuiithek shii ne zab riichai um ro.
290a2b0084	Hì è rek pha ji ne ithek duchoi shii arek rabo. Nathek è hanyie magunde boh rek yang pha now arone, ai ne gai ro khiao rek bi bo;
290a2c005f	chiih-è nathek è hanyie magunde ibi re yang pha now arone, ai ne zab pha khiao rek bi phi bo.
290a2d009a	Bran Dufuii rang de blia rek yi pha awuii ro; ai ne ithek shii nong phi pha wuii phro, ai ne awai chai phi srane bran bajo shii thoh phi pha wuii phro.”
290a2e00da	Ithek ne Jerikho hà wuii thog ne Isu è samoythek nane bran ibrog rog shii jipha ithua è fuang thoh ne wuiiramuii shii, Thimaeyus pha dufuii Barthimaeus miegthi pha nane chayem jia lumuii shii dug ne rai iang doh ro.
290a2f008b	Jipha bran è jine Isu Nazareth rone yoi mage shii, Isu shii ziak ne ho, “Isu, Dawid Saja pha Dufuii wo! Gu shii de bushun now phi bo!”
290a30008a	Branthek è aishii aro rabo ne bajo giung. Jishii, ai ne din è de gang ziak ne ho mage, “Dawid pha Dufuii wo! Gu shii bushun noh bo!”
290a3100a3	Isu è khan srane yao, “Aishii ho mage bo.” Ji-è, ithek è miegthi pha bran jishii ho ne yao, “Sang srane jai ne wuii mage bo, Isu è na shii ho muii ro.”
290a320057	Ji è yao mage ne ai ne awai yung de fen marui srane ran ne Isu moe hà wuii thog ruii.
290a33008f	Isu è aishii sai, “Gune na shii nyie rek phi bo è yang lei?” miegthi pha ji è yao. “Masdo, gu ne dinne mieg doh mua yi pha yang ro.”
290a3400bc	Isu è aishii yao, “Dun mage bo, nawai migi ji è nawai shii gang rek jong phi ro.” Ji è yao mage shii ai ne mieg doh dun ro. Ji-è, chiihphado ai de Isu rog shii lumuii hà luagieng.
290b0100d6	Isu chiih-è ai samoythek ne Jerusalem hà wuiiramuii shii, Bethphach chiih-è Bethany beng pha thawun ne ithek è nui bie ro, ithek ne Sumaro um pha phiing hà wuii srane Isu è samoy nyi shii yung ne ibi thoh ge,
290b0200ce	Isu è isa shii yung ne ibi thoh ge, “Thrang ibi pha thiig hà wuii srane ji pha thiig hà nasa ne khuchung de bran è a-in dang ba pha bambao jia doh ruii phro. Ji shii sey srane ichiih shii now ruii bo.
290b030086	Ji è rek shii branthek è sai ruii arone, ithek shii yao mage bo, hìne Masdo è chiid muii ro, hìne jog idoh thoh din ruii phro.”
290b0400e7	Isu è ji yao ched ne ji pha samoy nyi ne wuii dun. Thiisa hà wuii thog mage shii Isu è nyie ro è yao pha duiine bambaoduii jia ne hò habin shii phang srane ruii iang pha doh. Samoy nyi è ji pha bambaoduii shii sey ramuii shii
290b050076	thiichiih riu pha branthek è isa shii giung, nasa ne hì pha bambao phang ne ruii pha ji nyie rek pha sey ramuii lei?
290b060081	Ai è ithek shii Isu è khi-èrek ne yua pha ji yao ne chang. Ji nuii ne ji pha branthek è isa shii ji pha bambao now ne dun ge.
290b0700be	Samoy nyi è ji pha bambao shii ne Isu moe shii noh ne dun thog ruii. Thiichiih noh thog shii ithek è yung thek yie ne bambao lakhung shii go phi shii Isu ne ji pha lakhung hà in dun phro.
290b08009c	Branthek è awaithek yung thek hun srane Isu wuii pha lumuii shii wio phi, chiih-è, bran giakthek è de iphang che srane Isu wuii pha lumuii shii wiao phi.
290b0900a8	Ibi idoh luagieng pha branthek è ziak ne yao, “Hamangkhung-aphuii! Na ne bajo wie ro, hanyie Hamangkhung-aphuii pha ibeng è wuii pha bran jishii ne khirzey phi ara.
290b0a0085	Hamangkhung-aphuii è Aphuii saja Dawid aphuii pha Sajathua pha ji shii ne khirzey phi phro, Hamangkhung-aphuii na ne bajo wie ro!”
290b0b00c3	Isu Jerusalem hà wuii thog ne Hamangkhung-aphuii ro Misiahò hà wuii srane zab shan ne riig marui ne Isu chiih-è ai samoythek ne habjuang re dun pha ji è Bethany beng pha ji shii wuii dun ro.
290b0c0063	Jipha thimiang shii, Isu nane ai samoythek ne Bethany è wuiiramuii shii Isu ne bajo chi-iy-iy dun.
290b0d0102	Ithek ne ìujia ruang ba shii Isu è irab bajo um pha Iphem hingmuii jia doh mage, ji-è, Isu ne ji pha Iphem hingmuii shii iwoi sow pha wuii dun. Ji-è rek magunde, ji pha Iphem ne iwoi awoi ro, nyieliieshii, ji pha hingmuii ne iwoi woi pha ishak are ba ro.
290b0e0095	Ji-è, Isu ne ji pha Iphem hingmuii shii thamiie, “Sudoh è thiwing ne na iwoi ne hanyie è de achie mua phro!” Ji è yao phane samoythek de yoi.
290b0f013f	Isu nane ai samoythek ne Jerusalem hà wuii thog mage shii, Isu ne Hamangkhung-aphuii ro Misiahò hà wuii srane chongjai rek pha branthek shii giung ne gieng muii srane bang zia rai pha thiibliiethek shii de phun ne fen ne chiih-è branthek hanyie è pharo ruii ne chong rek pha muro thek shii srobro rek ne fen maphi.
290b100080	Chiihphado shii, Isu è branthek shii Hamangkhung-aphuii Misiahò shii chongjai rek pha manathek shii hanyie shii de ayie yi ro.
290b1100ed	Chiih-è, branthek shii yao: “Hamangkhung-aphuii ro jigigam ne hì è zey ne um ro, gu Misiahò ne zab pha branthek è sia pha hò ro, jishii, ithek è ji pha Hamangkhung-aphuii ro Misiahò ne mugo pho si pha hò rab ne ruii mua ro.”
290b12010b	Boh phabithek chiih-è Iphey yua pha masdothek è ji pha miyao yoi mage ne, ithek ne Isu shii ua pha noh, chiihphado è aishii ua pha lumuii sow ne rai. Phabi nane Iphey yua pha masdothek ne Isu shii rum, nyieliieshii bajo branthek ne ai muyua jishii bajo sangdun ro.
290b13006b	Ji è re ched ne habjuang re sha mage ne Isu chiih-è ai samoythek ne ji pha rajan thoh srane dun din phro.
290b1400a3	Din pha thimiang riang, Isu nane ai samoythek ne ji pha lumuii è lua din mage shii, ji pha iphem hingmuii ne iriing è yi dang ne zab goh ne um iang pha doh phro.
290b150098	Diyu nyie re pha ji Phithar ne nowluii srane Isu shii yao, “Masdo, riig mage bo, hì pha iphem hingmuii ne na è thamiie marui pha ji è iy dun ro.”
290b160040	Isu è ithek shii yao, Hamangkhung-aphuii shii migi rek mage bo.
290b17010a	Gu nathek shii izai yao dang phro, hanyie è lubu è migi now srane hì pha phiing shii hùg srane khamuii hà fen bo ne yao na de, jine re dun phro. Jishii, ithek è nyie yao pha ji shii migi now chid phro, chiihphado, re ruii phro, chiih-è ji re pha rek phi phro.
290b1800eb	Jiphachiang è gu nathek shii izai yao dang phro, “khuchung magunde, nathek migi è Hamangkhung-aphuii shii sia srane nyie lia magunde, nathek jine mua jong rone migi rek bo, chiihphado, nathek è nyie lia pha ji ne phi ruii phro.”
290b1900ef	Nathek jai srane Hamangkhung-aphuii shii sia pha saro arone, misia sia pha ishak shii nathek shii hanyie magunde gidieg rek ne de aishii khung phi bi bo, chiihphado nathek ro asi pha blia rek pha ji de Hamangkhung-aphuii è khung phi phro.
290b1b00e2	Isu chiih-è ai samoythek dinne Jerusalem shii wuii thog shii, Isu ne Hamangkhung-aphuii ro Misiahò hà wuii ne lua ramuii shii Phabi dukhothek chiih-è Iphey yua pha masdothek chiih-è wegthek è Isu moe shii wuii thog ruii.
290b1c007d	Chiih-è, aishii sai, “Hì pha blia rek mua pha riichai ne na shii hanyie miphi lei chiih-è hanyie miyao ne rek yi lei?”
290b1d00b4	Isu è ithek shii chang ne yao, “Gu de nathek shii musai jia sai phro, gu musai ji nathek de chang mua arone gu de nathek shii hì pha riichai ne hanyie miphi pha ji yao phro.”
290b1e0098	Gu shii de yao mage bo, “Jon è branthek shii khowo phi pha riichai hanyie miphi lei? Jine Hamangkhung-aphuii miphi bey? Asi pha jine bran phi bey?”
290b1f0141	Ji sai mage ne ji pha branthek ne awaithek chung khnaing rai srane Isu musai ji chang pha nung rai dun. Ithek ne awaithek chung yao rai, khi-èrek ne chang sha rai phlei? Gethek è hì ne Hamangkhung-aphuii miphi rone chang arone, ai ne gethek shii yao din ruii phro, ji-arone nathek ne Jon shii nyie rek ne izai anow ga?
290b2000b7	Chiih-è, hì ne bran miphi rone yao arone, branthek è gethek shii gui noh phro. Ji-è ithek ne rum ne ayao mua pha re dun, nyieliieshii branthek ne Jon ne chaig rone thieg jong dun.
290b2100c8	Ji-è, ji pha branthek ne Isu shii athieg rone chang thog ruii. Ji-è Isu de ithek shii yao, “Chiihphado gu de nathek shii hì pha riichai è gu shii blia rek pha hanyie miphi ji gu de ayao phro.”
290c010139	Isu è ithek shii najang shan ne yao: Luangjia shii bran jia è angur raig hai, chiih-è raig shii shan ne muthua thua srane, angur shii chab ne chui ne ikho rey pha nyahiung chog, chiih-è riigpho shii rai yi pha haliig giu jia rab phro. Chiihphado è angur raig cheipho shii phi srane hò thoh marui ne lua dun.
290c020070	Angur khrab pha ishak thog mage shii, cheipho è awai mathang yamiing yi pha ai è awai khiao shii thoh ge phro.
290c03005f	Raig cheipho è khiao ji shii zum srane zuang mage, chiih-è nyie de aphi pha idoh thoh din ge.
290c04007f	Chiihphado shii muspho è khiao gai shii thoh ge; raig cheipho è aishii de khrug lakhung shii zuang srane biwo rek ne thoh ge.
290c0500b7	Jipha muspho è dinne gai khiao thoh ge, chiih-è aishii de ua muii phro; chiih-è ithek gai shii duiine bajo awie pha rek phro, chiih-è giak shii zuang ne giak shii ne ua muii phro.
290c0600c9	Idoh noi shii jia led dang bie ne thoh ge pha ji ne awai è miie pha awairo dufuii ro, ai è awai dufuii shii cheipho hà thoh ge, ai è yao, gune luthong phro ithek ne gu dufuii shii ne ilab phi phro.
290c07008f	Jishii cheipho è awaithek chung yao rai, hì ne muspho ro dufuii ro. Thawuii ne ua rai haro, chiih-è ai ro nuruii thek ne gethek ro rey phro!
290c08006e	Ji-è, ithek ne dufuii shii zum srane ua ne chiih-è cheipho è ai siu shii angur raig è fuang fen muii phro.
290c090085	Isu è sai, “Chiihphado shii, muspho è cheipho shii nyie rek phlei?” Ai ne wuii ne ua srane raig gai cheipho shii phi muii phro.
290c0a0075	Nathek de hì pha jigigam atham bey? Rungpho è lubao awie rone snai muii pha ji shii ne zab è de mugak re dun phro.
290c0b0035	Jine Ithong mirek ro, jine bajo wie pha mieg shii ro.
290c0c00d3	Jewish dumuiithek ne Isu shii zum pha bidiang phro, nyieliieshii ithek ne thieg ai miyao najang shan ne ithek gidieg shii yao phrone thieg, jishii ithek ne ibrogthek rum, jiè ithek aishii thoh marui ne rek dun.
290c0d005a	Pharisithek chiih-è Herod pha branthek yi Isu hà thoh ge srane musai rog shii chua phro.
290c0e01a6	Ithek aishii wuii srane sai, “Masdo, gathek ne thieg nane izai yao phro, nane branthek è nyie now na de sam-adiig pha yao phro, branthek ro ilab shii de nyie ilab aphi pha rek ro. Jishii branthek shii Hamangkhung-aphuii muyang pha chiang shii nane izai yao phro, Gathek shii yua riig bo Romanthek saja dumuii shii mijin phi pha ji ne gethek Iphey shii buii bey? Gathek ne ithek shii nyaphi ne ba asi aphi chiid haba?”
290c0f00a4	Jishii Isu è ithek ro khua ji è riig srane chang, “Nathek nyie rek ne gu shii chua pha bidiang phlei? Bang shikhi jia yi mage bo, chiih-è gu riig-riig haro.”
290c10009b	Ithek è aishii jia yi ne phi, chiih-è ai è sai, “Hanyie mizia chiih-è hanyie ibeng lei.” Ithek è chang, “Hì ne Roman thek saja dumuii ro ro.”
290c110100	Isu è ithek shii yao, “Chiihphado, hì ne wie ro, nyie yi saja dumuii è re pha ji ne saja dumuii shii phi muii bo, chiih-è nyie yi Hamangkhung-aphuii è re pha ji ne Hamangkhung-aphuii shii phi muii bo.” Chiih-è ithek ne Isu shii wiengphleg dun ro.
290c12006a	Chiihphado shii Sadusithek hanyie è iy pha ji è ahòi phrone yao phothek ne Isu moe shii wuii srane yao,
290c1300c8	Masdo, Moses è hì pha Iphey ne gathek shii zey phi phro: Bran jia è yiy yi ne, ani agiak pha iy dun, ai ikhuii è ji pha misiung shii yiy ne ani giak arone, ji pha ani ne iy dun pha ro nyare yi bo.
290c140054	Luangjia shii khuiino miley um; zab è khoh ji è yiy yi srane ani agiak pha iy dun.
290c1500ae	Chiihphado shii din pha ikhuii ji è de ji pha hò-amuii shii yiy, chiih-è ai de ani agiak pha iy dun. Uomchiieng pha khuii shii de ithek shii nyie re pha ji duiine re phro,
290c16009b	chiih-è chiihphado shii gai thek, zab khuiino miley è ji pha hò-amuii shii yiy srane ani agiak pha iy dun. Zab pha idoh shii ji pha hò-amuii de iy dun.
290c17007d	Chiihphado shii, iy pho yi zab hòi pha Inai sieng mage shii, ithek miley è yiy pha hò-amuii ji ne, hanyie ro yiy re phlei?
290c1800a2	Isu è ithek shii chang, “Nathek ne asi pha branthek ara! Nyieliieshii nathek ne hì pha Hamangkhung-aphuii ro jigigam chiih-è ai riichai shii athieg mua phro.
290c190065	Iy pho thek hòi din mage shii, ithek ne, hamangkhliie duiine re ne hamangkhung hà ne yiy ayiy phro.
290c1a0147	Iy pho ne hòi ruii phro, ithek ne jabiing hòi pha Moses ro Jigigam ji shii atham bey? Thiichiih shii zey phro Hamangkhung-aphuii è Moses shii yao, ‘Gune Abraham ro Hamangkhung-aphuii ro, Isakh ro Hamangkhung-aphuii ro, chiih-è Jakhob ro Hamangkhung-aphuii ro’ Ai è ji yao shii ne bajo idam ibi hà ithek ne iy jong ro.
290c1b00a7	Hamangkhung-aphuii ne branthek ro Hamangkhung-aphuii ro, jiè hanyie iy dun magunde thuh de isieng ba ro, jishii iy pho ro asi ro. Nathek ne zab adunmey pha now ro!”
290c1c00cd	Thiichiih shii um pha Iphey yua pha masdo jia è ithek mulo ramuii pha yoi. Ai è Isu yi Sadusithek shii ne wie è chang pha doh, jiè ai ne Isu shii musai sai: “Nyie muyung ne zab è de mugak ba lei?”
290c1d0085	Isu è aishii chang, “Zab è mugak muyung ne hì ro, ‘Israel pho! yoi mage bo, gethek ro Ithong Hamangkhung-aphuii ne jia bie ro.
290c1e0081	Nawai Hamangkhung-aphuii shii nawai lubu è, nawaithek ragung è, nawaithek khani è, nawaithek chua rog shii è miie mage bo.’
290c1f00c6	Chiih-è nyichiieng pha mugak muyung ne hì ro: ‘Nawaithek ro hadung-haluii pho shii de nawaithek chung miie rai pha duiine miie bo.’ Thiichiih è ne nyi ji è boh gai mugak muyung oi sha ro.”
290c2000cb	Iphey yua pha masdo ji è Isu shii yao, masdo! “Wie ro, hì ne izai chak ro, na è yao pha ji ne, Ithong ne Hamangkhung-aphuii bie ro, chiih-è, gai Hamangkhung-aphuii ne oi ro, jishii ai jia bie ro”
290c210143	Chiih-è branthek ne Hamangkhung-aphuii shii awaithek lubu è awaithek khani è awaithek chua è miie chiid phro, chiih-è awaithek shii miie pha duiine hadung-haluii pho shii de miie chiid phro. Hì pha muyung nyi nuii ne rek pha ne miiram ua ne Hamangkhung-aphuii shii khlem ne zid phi pha ji è de bajo boh muyung ba ro.
290c2200b2	Isu è nuii shii ji pha bran miyao ne wie ro, “Na ne Hamangkhung-aphuii ro Sajathua è muna ruang asi sha phro.” Ji è yao ched mage ne zab ne rum ne Isu shii musai asai mua.
290c2300c1	Isu ne Hamangkhung-aphuii ro Misiahò shii miyao yua ne rai srane branthek shii musai jia sai ruii, nyie khi-èrek ne Iphey yua pha masdothek ne Masi ne Dawid Saja pha riing rone yao mua phlei?
290c2400ba	Dawid shii Hamangkhung-aphuii ro Ragung è yao yi phro: Ithong è gu Ithong shii yao; Gu è na shuangthek shii gu lai luii aruii sapho ne Na ne guro phazoi pha riichai ithua shii dug bo.
290c25009a	Dawid awai de aishii ne Ithong rone ho, jiè nyie khi-èrek ne Masi ne Dawid ro riing re mage phlei? Bran ibrogthek ne Isu miyao ji sang ne nuiiramuii ro.
290c2600bf	Isu è ithek shii yua, ai è yao, “Iphey yua pha masdothek è ragia rek ne rai bo, ithek ne yung phiang rog shii lua ne branthek shii riig yi pha bajarai ithua hà ilab phi yi pha rek phro.
290c27007c	Misiahò hà wuii ne de ithek ne mugak biang shii ong ne chiih-è michie-chie pha ithua shii biang wie shii ong ne dug phro.
290c2800bf	Ithek ne misiung thek phua yi srane chiih-è ithek hò de rio maphi, chiih-è ithek ne branthek wie rone riig yi pha misia de phiang sia phro. Ithek zab shii ne bajo awie pha re ruii phro!”
290c290088	Isu yi Hamangkhung-aphuii ro Misiahò pha mizid gam moe shii dug ne rai ramuii shii, ai è bukho branthek ne bajo bang zid pha doh ruii;
290c2a0044	chiihphado shii dusho misiungmuii jia wuii ne bang ìujia chab phro.
290c2b00cf	Ji è doh mage ne Isu è awai samoythek shii awai moe shii ho srane yao, “Gune nathek shii izai yao dang phro, hì pha dusho misiung ne mizid pha gam ne bran shii gai re-è ne zab è de bajo muna zid phro.
290c2c00a1	Gai thek ne awaithek shii nyie um pha ji è ìujia yi srane zid bie phro, jishii ai ne dusho magunde awaishii nyie um thith pha ji yi srane zab zid muii phro.”
290d0100a6	Isu ne Hamangkhung-aphuii ro Misiahò ji thoh srane dun ramuii shii, ai samoy jia è aishii yao, “Masdo, hì pha lubao chiih-è hòthek ne bajo khie doh muii ro.”
290d0200b3	Isu è aishii chang ne yao, “Nathek ne hì pha boh lubao hò ne riig iang bo! Doh jia shii ne hì pha hòthek pha lubaothek ne jia de khim ne arai mua pha zab chuak dun phro.”
290d0300a1	Isu ne ji pha Hamangkhung-aphuii ro Misiahò pha khlei pha sumaro phiing shii dug ne rai shii, Phithar, Jems, Jon chiih-è Andrew ne aishii ug ne wuii thog ruii.
290d0400c2	Ithek è aishii yao, “Gathek shii yao phi bo, ji pha inai ne khuchung thog ruii phlei? Chiih-è, ji pha inai thog sha ruii rone thieg yi pha gathek è nyie doh shii ji pha inai ne re phlei?”
290d05006e	Isu è ithek shii yao, nathek ne nowbthan ne rai iang bo, chiih-è branthek è ithek shii akhin-aring yi rabo.
290d060075	Bajo branthek è ithek shii yao ruii phro, gune ji pha Masi ro! Bran bajo thek ne gu beng è yi ne khinrin ruii phro.
290d0700d5	Chiih-è, nathek ne mak thek inui thog pha yoi mage shii, chiih-è mak ruang hà thog pha mua yoi mage shii, nathek ne aram chid rabo. Jithek ne izai re ruii phro, jishii, jine jong pha ishak thog sha rone asi ro.
290d0800fd	Du-ùa chung de gui rai ruii phro; zab ithua thek chung de gui ruii phro, thiichiih shii zab hà sajid sham ne, chiih-è zab pha chieniing pha thek oi pha diig re ruii phro. Jithek ne hò-amuii thek è ani giak pha ibi shii riie pha duiine diig ruii ro.
290d090123	Nathek ne nawaithek shii nowbthan srane bujuii ne rai iang bo. Nathek shii de zum ne limiang hò hà noh srane Jewthek misiahòthek shii zuang ruii phro; nyieliieshii gu shii nuii pha chiang è nathek shii ne dumuiithek chiih-è saja thek moe shii noh ne ithek ro migi chiang ji yao yi phro.
290d0a0070	Ai ne zab pha ibi shii guro miyao wie hìne zab branthek shii chiih-è zab pha du-ùathek shii yao ched bi phro.
290d0b0144	Khuchung magunde, nathek shii zum srane limiang moe shii noh dun shii, nathek ne khi-èrek ne yao sha phlei! Inow ne arum chid rabo; nyieliieshii, ji pha idoh shii ne nathek shii yao mua pha lumuii phi ruii phro; nathek è nyie yao pha miyaogam ne ithek miyao pha asi phro, ji ne Hamangkhung-aphuii Ragung è yao gieng phro.
290d0c00af	Khuiino chung magunde, zum srane ua yi pha phi muii phro, aphuii è ani shii de ji è rek ruii phro, aniphiingthek de awaithek pha aphuii amuii shii ji è rek ne ua muii phro.
290d0d00db	Zab branthek ithek shii gu chiang è snai ne chiih-è ariig yang pha rek ruii phro, nyieliieshii ithek è gu shii migi rek phro. Jishii, hanyie è awai migi shii zab pha inai thog dang pha rek pho ne ragia re ruii phro.
290d0e0116	“Nathek ne doh ruii phro, akhie dang pha ibuii jia yi khi hà ai arai pha ji shii riu ruii phro.” Thampho ne hì thieg bo: Hì pha miyao ne nyie yao pha ji ne thieg pha bidiang bo. Chiihphado shii hanyie ne Judea pha ithua hà um lei ne ithek ne phiingthek hà ran dun phro.
290d0f0066	Bran hanyie yi awai hòzak hà um pho ne buzam awai hò iliing hà dun ne mana yi pha ishak amua rabo.
290d10004e	Bran hanyie ne raig hà um pho ne awaithek yung yi pha idoh hò hà adun rabo.
290d11005b	Hò-amuii hanyie ani wiig ne chiih-è ani ìu um pho ne ji pha inai shii ne bajo diig phro!
290d120049	Jipha ishak ne hakhanshak shii are yi pha Hamangkhung-aphuii shii sia bo!
290d1300e8	Hì thek pha diig inai ne, Hamangkhung-aphuii è igobi sohjambling rab dang pha ishak è yi ne thuh thog pha hanyie è athieg ba pha awie dang pha diig ji thog ruii phro. Ji re pha idoh shii ji duiine mia pha diig ne dinne are phro.
290d1400c8	Jishii Hamangkhung-aphuii è diig pha inai shii ne la-ìu-ìu rek phi phro; ai è ji arek arone, hanyie de asieng mua phro. Jimagunde awai è gua pha branthek chiang shii inai la-ìu-ìu rek phi phro.
290d15009f	Chiihphado è, hanyie magunde nathek shii yao, riig bo, ichiih shii ne Masi um ro! Din ne, riig bo, the jine Masi rone yao na de! Jishii aishii migi arek rabo.
290d1600e0	Biidiie pha Masi chiih-è biidiie pha chaigthek ne khia ruii phro. Ithek ne are mua pha bliathek rek ne chiih-è buangthek ji rek ne, chiih-è rek mua arone, Hamangkhung-aphuii è gua pha branthek shii khinrin pha nyiu phro.
290d17004e	Gu miyao pha miyao chiang hì ne nawaithek shii ragia rek ne chiih-è saro bo.
290d180065	Diig pha ishak inai pha idoh ne inai ne igiia re dun phro, chiih-è habie de achuang pha re dun phro,
290d19006d	Dadiangthek de hamangkhung è thazam chiih ruii phro, chiih-è hamangkhung pha riichaithek de sham ruii phro.
290d1a005d	Chiihphado Bran Dufuii khia ne, biisiie nane boh blu rog shii sakhamiing shii wuii ruii phro.
290d1b00bd	Ai è hamangkhliiethek shii soh pha iring wi shii thog pha thoh srane sohnyiak iring jia pha iring è jia pha iring thog pha ithek shii Hamangkhung-aphuii mugua pha bran shii khrab yi phro.
290d1c00cc	“Jipha Iphem hingmuii è nathek shii ìd yi phro. Ji pha iphem hingmuii ro idiphak ire re ne chiih-è jum re mage shii irab jao ne nyu ruii phro. Nathek ne thieg phro halua idam ne inui re sharuii rone.
290d1d0059	Ji duiine, nathek è ji re pha doh mage shii, nathek ne thieg, jao pha ishak inui sha ro.
290d1e004d	Now bo, hìthek re mage shii ichiih um pha ithek giak bran ne isieng ba phro.
290d1f0062	Hamangkhung chiih-è sohnyiak ne san dun phro, jishii gu miyaogamthek ne khuchung de asan phro.”
290d2000cc	“Jishii hì pha inai chiih-è ishak thog pha ji ne hanyie de athieg mua phro Hamangkhliiethek de chiih-è Dufuii de athieg mua phro; ji pha inai thog ruii pha ne Hamangkhung-aphuii awai è thieg bie ro.
