2800000003	Mat
280f110051	Eta rosa obena pate epa eeka e lyǝ ongmǝ e ale a lebangi e suri ba lepung sang?
280f120080	A epaaka e susi ba ongmǝ e suri ba lenyong. Epa o susǝ a lenyong leme eya ote oromo ka wa itǝ ka madinǝ a begeshe ba Ashili.
280f1300ab	Azaa o bena aa nyimi lenyong leyaa sǝrsǝzǝ madoola maa buru. Naa, o wongha oromo, o mora kaa ondaye ondo, o mora kaa Ogala, o eza bekǝri, o ana angmǝ, ka o cara leze.
280f140094	Ennaa ote oromo kawa itǝ ka madinǝ a begeshe ba Ashili, o lya epa olya zora o sabo waya ta ote ka oromo waye ka madinǝ a begeshe ba Ashili ne.”
280f150042	Nangka Yeso ka baya arakaname, naka ale a makeke ma Taya ka Sidon.
280f1600b7	Na ondaye yende ka makeke ma Kan'ana deya a Yeso ka oruuzi na, “Kona egonegone eng Ateokora, kena ka Daoda, bozang, kagala kang obere o buru ooka waya nyimi kai waya zo gara kai.”
280f170098	Na Yeso ta beka eyapa a wai ne. Aza nyimi na atoma kai ne deya a kai nane bosa kai na, “Tarangga wai kawa ale waya tare oro awa gare ro ka be koko.”
280f180051	Naka kabare na, “Mi aa tonghang azaa emande epeng e Isrela kane wilǝ belle.”
280f190061	Na ondaye ome wa deya nawa girwǝ ba ting kai aaka bose kai kangza na, “Ateokora kangkamang!”
280f1a004b	Na Yeso kabare na, “Wata gwara a jeke epa olya ayana ka kare e ere ne.”
280f1b0096	Na ondaaye me bekaa na, “Nyimia Ateokora, pate kaa nyimi, e ere donge ma ngmeskarong maaka ma taaru ba deze araaka ateakwilǝ lyeeze epa olya ne.”
280f1c00bf	Na Yeso kabare naka bekaa ondaye me na, “Ondaye o eke lenyong leo ba Ashili wa gong, baya epa eeka oya gera me, e itǝ nyimi.” Ka o bekaa nyimi na obere oburu me wa arnang ka kagala kame.
280f1d006d	Nangka Yeso ka baya a rame naka tare bee dǝki lepong le Galili. Naka zale ba zaa oyara naka cikǝ ba saname.
280f1e008e	Na aromo acak ne deya kai. Nane de kaa ana ozantǝ, arǝ, agǝdǝ, ka arara, aa ana ondo ba cak, nane eke ne aa begeshe be Yeso naka womza ne.
280f1f008e	Na epame tere apate aromo tukpwei azaa obena arara neya beya ngmǝ, agǝdǝ ya teweno, arǝ neya gonta, na pate one ne saba Ashili a maIsrela.
280f2000fb	Azaa nyimi na Yeso ka rare atoma o kai naka bekaa nee na, “Eyang kona egonegone aromo aana, tomore to taaro naana o ngmeengme teye legwa kaane aa neta ne lya epa olya ne, kangza anta yeme o baya one aane ale ekomo ne adorana tana ne sau orona ne.”
280f21007f	Na atoma kai ne kabare nane bekaa kai na, “A baba te era a te cǝ epaolya a nyimi lerambo leena kate nya aromo acake aana?”
280f220072	Na Yeso pirkǝ nee na, “Ma borode ma wondaa eye kaa mai?” Nane kabare na, “O sondaare kaa ekwala a baate.”
280f23002f	Naka ote aromo aa cake name nane cikǝ ba deze,
280f2400a7	Nangka ka jeke maborode o sondaare ka ekwala me, naka wore o kona oleba ba Ashili, aaka pose mai aaka nya atoma kai, na nee kangza ne arseze aromo amea ne kurkǝnǝng.
280f250074	Pate one ne lye na komana one tii, na atoma kurki ma ngmeskarong maaka ma lyǝ nama panza makende ma moole sondaare.
280f26005e	O gongha aromo aaka ne lye epaolya me ne dukǝ andaleme magu ma naaze bangka andaye kaa ayana.
280f270056	Malo arnang ka aromo me, naka zale o onggo o taara manyi naka ale a makeke ma magadan.
281001008b	Na maParisa kaa maSadukiya ne deya a Yeso adorana ne kedeya kai, nane bose kai ka ka wore ne epa o tera ukpwei ooka wayo wore o bare o kai.
281002007b	Naka kabare nee na, “Ulyǝlu waaya, ke laka azaa shili aaya aa ganggo e bekaana, ‘Ahaa, ara yo ya aa sangsang leere.’
28100300de	Ara a sana a leleere kangza e laka azaa shili aya a ganggo, na masanto mame maa kabare kuruwǝ ee bena, ‘Ulyi wayo ngmeza o ngmeengme.’ E ama orosa nangka zaa shili ze, aa eta ama orosa epaeka awere ana ya nyimi me ne.
28100400b7	Aromo awere ana, ana odera o tare Ashili, ana leyau, ana a nyong aburu, ana ogera epa otera ukpwei, aa ato wore ne epa o tera ukpwei ne, soona e Yonana. Na Yeso arnang ka ne a ka ale.
2810050050	Nangka atoma Yeso ne cakate aa ale owulu lepong leme, nane winǝ o jeka oborode.
2810060054	Na Yeso bekaa ne naa, “Eza na ba sauwo, ka o yisti o maParisa kaa o maSadukiya.”
2810070068	Na ne bore o pirǝ tukpwei tone na, “Ka beka epaana ba eza azaa obena teta te deya ko borode ne na?”
2810080097	Nangka Yeso ka laka nyimi, a ka rose madoola mane naka beka nee na, “Ying ana o kabare kaa mi aa baate, eyaaka eya masanggo obena eta ka o borode ne?
28100900a9	Aa deya wereena e tata a maring na? E winǝ nangka ma lye ka aromo magu esu ka a agwataka ma o borode maaname esu sang? Makende ma wonda e panza kaa maa epa eeka e lyǝ?
28100a0075	Koona awere aaka ma lye ka aromo magu ma naaze ka ma borode o sondaare, makende ma wonda e panza kaa epa eeka e lyǝ?
28100b0091	Eyaka eta ama o rosa obena anta beya oroka aza o borode ne? Epa eka eyang yeme e rose eya ezana ba sauwo ka o yisti o maParisa kaa maSadukiya.”
28100c0095	Arakanamea atoma Yeso ne rose obena kataa beya a zo yisti o kareze ba o borode ne, aa kaya beya kane eza ba sauwo kaa obaala maParisa kaa maSadukiya.
28100d0085	Nangka Yeso ka de aa bekazo be makeke ma Kaisariya o Pilibi, naka pirkǝ atoma kai na, “Aromo ne beya kena ka oromo na mana kai?”
28100e00b1	Na ne kabare na, “Ana ondo ne beya na Yohana o Batisma, aana ondo beya na Iliya, aana ondo kangza beya naa, Irimiya, na ondo ba nyimi ana o beya angmǝ kama mawo ma Ashili.”
28100f0038	Naka pirkǝ nee na, “A ying pa, e beye na mia mana?”
281010004c	Na Siman Biturusu kabare na, “Boa Almasipu, Kena ka Ashili ondo ebeene.”
28101100ad	Na Yeso kabare naka bekaa wai na, “Bo ondo kona oleba wai, Siman kena ka Yonana! Obena oromo ka lepung ka manyau waya ta waa belo ne, soona Ate ang omea waya nyimia shili.
2810120071	Eyang bele au, boa Biturusu, azaa lecale leena eyang sowa akwilǝ ang, aaka legoone le ogbwǝ leto ama kaa ai ne.
28101300b6	Eyang nyau becapa be togomo to shili. Kangza epaaka ba tera a lerambo leena, eyo itǝ nyimi ba zaa shili, a epaaka ba dinggǝ a lerambo leena eyo itǝ ka o dinggǝ a nyimia shili.”
2810140045	Naka windi atoma kai toto na tana ne bele ondo na kai ya Almasipu ne.
281015011d	Oo era lengme lenname na ka bore o wore atoma kai na kayo dongdong ale ba Urushalima, a sanamea kayo lyǝ kombela o zitǝ aa taara te anateandasau, kaa ana magame ma Ashili, kaa ana obaala angmǝ ka Ashili a nya Mosa, kangza aane wongha kai, aa lengme le o taaro aaka era ka ebeene.”
281016007b	Na Biturusu kuri ka Yeso aa sara yende nawa zurki kai na, “Tana Ashili baya epaana eye ne, Ateokora! Enna to manau ne.”
281017009a	Na Yeso ringgarnu naka beka a Biturusu na, “Arnang kaa mi, Shetan! Bo epaa o ote ong kang cǝwǝ, bo o eze madoola mau ma oromoa, ma Ashili ta za ne.”
2810180085	Na Yeso ka bekaa atoma kai na, “Pate ondooka waya yeme o tare ong, awa nyane ukpwei o wai a wa ana uti o gendare o wai a wa tareng.
2810190070	Pate ondooka waya yeme o boza ebeene e wai, wayo dera e. Aa ondooka wayo dera ebeene e wai a za ong, wayo cǝ e.
28101a0086	Ebelo epa edang ngha oromo yo cǝ, wa cǝ pate lerambo leena a wa dera ebene e wai? Eya oromo wa era wa nya aa bekazo be ebeene e wai?
28101b0090	Kena ka oromo kaya deya ka togomo te Ate o kai kaa aa toma ozaa shili, kangza kayo nya komana epaaka e itǝ e wai a zo ogole omea komana wa eza.
28101c0085	“Ang dongdong bele ying, ana ondo ka neya itǝ arakana neto gbwǝ ne, seeka ne laka o deya kena ka Oromo ba nyimi togomo te kai.”
28110100a6	Malo tomore o taashe na Yeso ka jeke Biturusu, ka Yakubu, a orone kai oka a beya wai na Yohana, naka ale kaa ne o oyara o yende oo zaati, na ne cikǝ saname ne belle.
2811020076	Na nangka kaze, sara aa begeshe bene, na mainu ma kai ma santo na ongme, aa madibi maaka ka amba, na ma itǝ maa peng.
2811030078	Na ongmere liizi, na ana o beya angmǝ ka mawo ma Ashili Mosa ka Iliya ne surǝ baa tera one a neya beya angmǝ ka Yeso.
28110400a5	Na Biturusu beka Yeso na, “Ateokora, wa gwara ka teye arakana. Ba kabare ang sowa mapuki ma taaro arakana, oyende a au, a oyende o Mosa a oyende kangza o Iliya.”
28110500d1	Waya zo beya angmǝ naname na owere yende oma santo wa urǝ ne, aane kone lengmelo le yende ba nyimi owere me a le beka na, “Kando kaana kena kang, ka oyeme ong maleo, ang kang kona oleba kai. Konana kai!”
281106004b	Nangka atoma kai ne kone nyimi na boome moke ne maleu, na ne rizi baa deze.
2811070057	Na Yeso ka de naka cokome ne aaka bekaa nee na, “Erana a itǝ, tane kone boome ne.”
2811080044	Nangka ne ara tukpwei, nane ta laka ondo ne soona Yeso kai aa yende.
2811090089	Aa neya zo jipi oyara me, na Yeso ka windi ne toto na, “Tane bele ondo epaaka e laka ne, soona aa ara Kena ka Oromo malo ogbwǝ kai.”
28110a00a2	Na atoma kai ne pirkǝ kai na, “Nyimia waaza, eyaka ana o baala angmǝ aaka Ashili a nyana Mosa ne beeze na dongdong Otoma Ashili Iliya waya yaa deya o bora?”
28110b0042	Na Yeso kabare na, “Iliya wayo dongdong deya kawa babara ekeeya.
28110c00af	Pate ka nyimi eyang bele oying, Iliya wa samba o deya, na eta ee rose naa waya ne, nane eze wai epaaka ne ama o ezaa me. Nyimia kangza Kena ka Oromo yo zitǝ ba taara tone.”
28110d004d	Na atoma Yeso ne rose obena kaya beya one a ngmǝ ba zaa Yohana ondo batisma.
28110e0074	Nangka ne dukǝ araaka aromo ne gwarnang ne, na oromo yende wa deya Yeso nawa girwǝ ba begeshe be kai awa bekaa na,
28110f008e	“Ateokora, kona egonegone kena kang, ka ya ka letaranggi, kangza leya gǝǝzǝ kai maleo. Le rabo aa peere okai a nyimi ola kaa nyimi manyi.
281110003a	Nang ale ka kai a atoma au, nane ta ama o womza kai ne.”
28111100e2	Na Yeso kabare naka bekaa na, “Ying aromo awereena, ana o dera o kabare ka Ashili, kangza ana ara aburu! Aa alea aa werea yemea eyang cikǝ ba nyimi oying? Aa alea aa werea yemea ang motana ka ying? Deyana ka kai arakana.”
2811120072	Na Yeso ka zurki obere oburu me, na obere oburu me wa arnang ka kena kame. Na o ngmere liizi na kena kame ka woma.
2811130073	Na atoma Yeso ne deya kai ba sara yende, na ne pirkǝ kai na, “Eyaka teta te ama o sǝǝrǝ obere oburu me ne?”
28111400ef	Na Yeso bekaa nee na, “O kabare ka Ashili oying wata gongha ne. Eyang dongdong bele oying, eeya ka o kabare kaa Ashili na beyo bee baate be o mosta, eyo ama bekaa oyara na wa mukuru araaka wa zene, kawa ye nyimi. Eyapa eto girǝ ying ne.
2811150056	Ebelo onname, wata susǝ ne soona ka obeya angmǝ ka Ashili kangza ka opate ongmǝ.”
2811160079	Nangka atoma Yeso ne kurkǝnǝng a makeke ma Galili, na Yeso ka bekaa nee na, “Ayo nya Kena ka Oromo ba taara ta aromo,
2811170056	neyo wongha kai. Aa lengme lo taaro kangza ayo ara kai.” Na pate one ne kone oburǝ.
28111800ba	Malooka Yeso kaa atoma kai ne dukǝ Kaparnahum, na ana o eesa e mate akwilǝ Ashili nane mana Biturusu, na ne pirkǝ wai na, “Ondo baala oying wata nyaza emate akwilǝ Ashili ne na?”
28111900fd	Nawa bekaa na, “Ka arseze. “Nangka wa kurǝ ba akwilǝ, na Yeso bora o beya angmǝ ka wai naka beka na, “Ba laka nannia Siman Biturusu azaa be pirǝ beena? Aana mana agomo lerambo leena ne eesa emate e makeke ne, ara ayana anea naa, ana ondoai?”
28111a005a	Na Biturusu kabare na, “Aana ondo,” na Yeso bekaa na, “Obena ayana ane ta arsaza ne.
28111b00f2	Pate ka nyimi, adorana tana aromo me ne mungi kaa ro ne, ale ba lepong ka o tare beruu be omeese ekwala, bekwala beeka baa bora a moke me o pǝri ongmǝ be oyo cǝ emate eeka eyo bare. O jeke mate me ka o are e mate makeke mau kaa a‘eng.”
281201006c	Awere name na atoma Yeso ne deya akai, nane pirkǝ na, “Mana kala o gongha a nyimi togomo te zaa shili?”
281202003c	Naka rare kena ka baate ka yende, naka eke kai baa tera one,
281203007d	aka bekaa na, “Eyang dongdong bele oying, eeta kurǝ ka e itǝ naa abana ayana aana ne, eto lyǝ ba togomo ta zaa shili ne.
2812040068	Pate ondooka wa jipǝrǝ ukpwei wai naa ka bana kena kaana, waya wa kala o gongha a togomo te zaa shili.
2812050042	Pate ondooka wa kabare ka kabana kena naa kaana, mia wa embang.”
28120600ba	Pate ka nyimi, ondooka wa ote kena ka yende ba nyimi abana ayana aaka ne kabare kaa mi ka ka ye madinǝ, wayo kala aa tere wai onyanto aa lengmelo, a tare wai ba nyimi o pong o gerpo.”
2812070091	Ee lyǝ udi lerambo, aza epa eeka e oteze aromo kane ye madinǝ! Dongdong ngha ebelo epaana eye, pate ka nyimi ondo ote ka a cǝwǝ, wa lyǝ udi.
2812080100	Aa o ara o, na obona o, wa ote ka o lyǝ a madinǝ, mara o core wa ka opere. Wa kala o lyǝ ara e ebeene o dera o maro kaa o ara yende, na obona yende, na ka legǝdǝ, koo bena tareo ola kaa wata lumbuzu ne ka tobona to leere, ka taara te leere teo a pate.
28120900a8	Kangza Liizi leo le otezeo ko lyǝ a madinǝ lopa le ka o pere. Wa gwara o lyǝ ara ebene o dera o maro ka liizi le yende, ka o bena o ale akwilǝ ola ka yizi leere.”
28120a00b4	“Ekena toto, tane zeele kena ka yende baa nyimia ayana na ne. Eyang belo ying, atoma ane o dera apung o nyimia shili ne gonte mainu ma Ate ang omea waya nyimia shili konang were.
28120b0038	Obena Kena ka Oromo ka deya ka ka boze andaaka ne wilǝ.
28120c00a5	“Eya madoola maying? Ondo waya ka emande lewinu, na kayende ka wilǝ, wato baya etuuru torai ka o torai name aa ting oyara aa wa ale ba gera ka yende kanname sang?
28120d006f	Wa cǝ kai, eyang dongdong bele oying, wayo kona oleba maleo o kala etuuru torai ka otorai eeka eta e wilǝ ne.
28120e005d	Nyimia, Ate oying azaa shili wato kona oleba a kena ka yende ba nyimi ayana na ka wili ne.”
28120f0096	“Aa orone o wa yau tambo bo, o ale ka o bele wai epaaka wa yau, ying ngha leere belle. Wa kona epaaka ba bele wai, baa kuriyǝ orone o orona naname.
2812100090	Waata konau ne, o ale ka oromo yende na a leere kane laka aane kone, adorana angmǝ me itǝ ka ma ganggang a begeshe be aromo leere, na a taaro.
28121100a0	Wa nyana kona one, o bele akwilǝ ana o tare Ashili, kangza waata kona nee ne, o kuriyǝ wai a nyimi andaaka neta rosa Ashili ne na ondo eesa emate o makeke.”
28121200bb	“Eyang dongdong bele oying, pate epaaka e tera a lerambo leena, awa itǝ epaaka a samba o tera me ba zaa shili. Pate epaaka e dinggǝ a lerambo leena, eyo itǝ ka o dinggǝ a zaa shili.
28121300af	“Eyang dongdong wala o bele oying na, aromo leere ba nyimi lerambo leena ne kabare ka tukpwei tone ba za epaaka neya bosa me, Ate ang omea waya nyimia zaa shili wayo nya ne.
2812140060	Pate araaka aromo leere, na a taaro ne gwarnang ba nyimi leze leng, eyang cikǝ legwa kaa ne.”
281215007c	Na Biturusu paka ting Yeso nawa pirkǝ na, “Ateokora, ka wondaa orone ong wa tambo a mi ang pisi wai? Ka o sondaare na?”
2812160056	Na Yeso bekaa na, “Ka o sondaare belle dai, ka o sondaarea o dukǝa etuuru sondaare.
2812170076	“Aza nyimi ayo kedeya togomo te a zaa shili ka ogomo omea waya yeme o eza abalo ocǝ wai ka eeya taara te azara wai.
281218005b	Nangka wa bore obala ocǝ wai me, naa de ka ondo omea ogomo me tare wai emate magu betuuru.
281219008b	O bena wato ama o ara me ne, na ateakwilǝ wai wa ote ka a lishi wai ka ondaye wai ka ayana wai ka pate magogoro ma wai, ka a are uduru me.
28121a006c	Na ozara me tunggunu a begeshe be wai a wa bose wai na, “Ateakwilǝ tana o mungi ne, eyang arau ba pat.”
28121b0053	A aza obena ateakwilǝ me wa kone egonegone ozara me, nawa baya a wai kaa uduru me.
28121c00c8	“Nangka ozara me wa ere arakaname, ka o surǝ wai nawa laka oja lezara awai, ka wa tare wai uduru o kap, emate lewinu. Nawa moke lengmelo le wai, a wa beka wai na, “Arang pate epaaka ang taroo.”
28121d003d	Na oja lezara me bose wai naa tana wa mungi ne eyang arau.”
28121e006c	Na ozara me ta kabare ne, nyimia na wa ale ka wai na pate wai akwilǝ andaleme, seena wa are emate uduru me.
28121f008f	Nangka aja lezara le wai ne kone epaaka eya ale, neta ne kone oleba nyimi ne. Nane ale ba ateakwilǝ one nane bele wai epaaka ozara name wa ya.
2812200084	Na ateakwilǝ me wa rare wai, nawa beka wai na, “Bo ozara oburua wai. Ma bayau ka uduru ooka ang taro aza obena ba de na obosheng,
2812210055	wa ta gwara o kone egonegone o beja be lezara lo nangka maa kona egonegone o sang?”
281222006f	Na ateakwilǝ wai wa mungi ka wai, aa wa ote na a gǝǝzǝ wai, aa wa ote wai na wa are pate epaaka a tare wai.
2812230075	Nyimia kangza Ate ang o nyimia zaa shili wayo ya kaa komana o ying, eeta pisǝ andaa ying kaa lenyong le yende ne.”
2813010087	Nangka Yeso ka mare obeya angmǝ me a pate, naka baya makeke ma Galili aaka lyǝ aa makeke ma Yahudiya, mamea mayo o tara obeno Urdung.
281302003c	Na aromo a cak ne tare kai, naka womza ana makono aa saname.
28130300a1	Na maParisa ma yende ne deya a kai adorana ne kedeya kai, nane pirǝ na, “Azaa o baala makili Mosa, wa gwara obena oromo wa pere ondaye o wai aza ekeeya na?”
281304006d	Naka kabare nee na, “Eta tukǝ soola obena, ondooka wa ye ne o bora, wa ye nea ondaleme kaa ondaye sang?”
281305008b	Na akang bekaana, “Aza nyimi, oromo wa arnang kaa iini wai kaa ate a wai, a wa gwarnang ondaye wai. Neya leere kane itǝ lepung le yende.
2813060067	A ale a izi neto itǝ apung a leere ne, leyendea yo za. Epaaka Ashili a gwaara tana oromo wa are ne.”
281307006b	Nane beka kai na, “Nyimia waaza, eyaaka Mosa wa ote na a nya e wela omaro o amare, akang pere ondaaye?”
2813080097	Na Yeso kabare naka bekaa nee na, “Azaa obena eye kaa anyong a katakau waya wa ote na Mosa kabare na e nya e wela opere amare, obora nyimia ta za ne.
28130900e1	Eyang bele oying kangza, pate ondooka wa arnang ka ondaye wai, azaa leyau lee taza ne, awa kang ale kawa ana ondaye yende kawa ote odo, wa ya epa e madinǝ naname. Ondooka wa ote ondaye omea a pere wai ba odo, wa ya leyau.”
28130a006c	Na atoma kai bekaa kai na, “Nyimia waaza a tera ondaleme kaa ondaye wai, odera o ana ondaye me wa kala.”
28130b0063	Naka bekaa nee na, “Komana wa era wata kabare ka oroka me ne, soona andaaka Ashili a kangkama ne.
28130c00df	Ana ondo ne zene ka a ngmeng ne agbele, ana ondo aromoa ne ote ne nane itǝ agbele. Ana ondo kangza ne tere o bena neto ana andaaye ne obena neya yeme togomo te zaa shili. Pate ondooka wayo ama o jeka orokaana, awa jeke.”
28130d00a2	A were name, na ca Yeso ayana aa batebate adorna ka eke ne o ara, a kakang beye angmǝ kaa Ashili aa za one, na atoma kai ne zurki ba andaaka ne deya ka ayana me.
28130e007f	Na Yeso bekaa nee na, “Bayana ayana a batebate aa ne deya mi, tane nara nee ne, obena togomo te zaa shili te ebelo ene te.”
28130f0042	Na ka eese taara to kare o leba ba za one, aaka ale teweno te kai.
281310007a	Aya zaa nyimi na ondo paka ting Yeso nawa bekaa na, “Ondo baala, obelo edang ka maa eze ang cǝ ebeene o dera o maro?”
28131100a8	Na Yeso kabare wai naa, “Eyaaka oya pirǝ ong ba zaa epa edang? Ashili aya belle aye ka edang. Baaya yeme o cǝ ebeene odera o maro, o tare makili ma Ashili maana.”
28131200a1	Nawa beka Yeso na, “Makili ma Ashili maa yeme?” Na Yeso bekaa na, “Tana o wong ondo ne, tana o eze leyau, tana o eze bekǝri ne, tana o beye majǝkǝri ne.
281313005b	Nya ate au ka iini o ogongha one. Kangza oo yeme ondooka wa cikǝ ating au, na ukpwei o.”
281314004a	Na Ondasau me bekaa kai na, “Ma eza nyimi ba pat, eya tata mi kangza?”
28131500c1	Na Yeso bekaa wai na, “Ba ya yeme o cikǝ zora madinǝ, ale ka o lishi pate magogoro mau, o jeke emate me ka o nya ana o dera eyapa oyo itǝ ondo ocǝ aa zaa shili. O ama o de ka o tareng.”
281316005c	Nangka ondasau me wa kone nyimi, nawa sokoo ale ka o caro lenyong, obena waya ka ocǝ maleu.
2813170077	Na Yeso bekaa atoma kai na, “Eyang dongdong bele oying, wayo poba kaa ondo ocǝ wa lyǝ ba nyimi togomo ta zaa shili.
2813180078	Eyang kang bele oying. Mara orongkoome wa lyǝ a le'o beberkena ka obena ondo ocǝ wa lyǝ ba nyimi togomo to Ashili.”
281319007a	Nangka atoma Yeso ne kone nyimi, na epame tera ne tukpwei maleo, nane bekaana, “Nyimia waaza, mana wa era wa cǝ o boza?
28131a005c	Na Yeso laka ne aaka bekaa na, “Enna ara aromo e pobe oya, ara Ashili ekeeya e era eye.”
28131b005e	Na Biturusu kabare nawa bekaana, “Ro naana, te arnang ka ekeeya azaa o tare o. Eya teyo cǝ?
28131c0105	Na Yeso bekaa nee na, “Eyang dongdong bele oying, a tomore to deya, awereaka Kena ka Oromo yo cikǝ aa ledǝndǝ lee gong le togomo to kai, ying ka e tareng, eyo cikǝ ara to cikǝ be tuuru ka leere, e core angmǝ ba zaa tokwilǝ be tuuru ka leere a maIsrela.
28131d00bf	Kangza pate ondooka wa baya tokwilǝ, kaa arone andaleme, na arone andaaye, kaa ate, kaa iini, na ayana, na turu, ba za leze leng, wayo cǝ o ripitini liwinu, a wa kang cǝ ebene odera omaro.
28131e0063	Bangka nyimi, aromo a cak ana o bora neyo itǝ ana o maare, aa ana o maare neyo itǝ ana o bora.”
2814010088	“Togomo ta zaa shili a kedeya te kaa ateakwilǝ yende, omea wa suri ba leleere nawa jeke ana ogole ba nyimi ara a wai a mati ma inabi.
281402005f	Nangka wa beye ejamane kaa ne ba za o dinari yende konang owere, nawa turki ne ba nyimi ara me.
281403007a	Aa ya gera beru be torai be leleere nawa suri kangza, nawa laka ana ondo ba cikǝ zora epa o eza a bengmǝ ba ara ejamane.
281404007b	Nawa beka ne na, “Ying kangza ale na ba ara a mati ma inabi mang, eyang nya ying epaaka wa gwara a nya ying.” Nane ale.
2814050070	Nangka wa kang surǝ a ongme wa dukǝ tera, kangza kaa beru be o taaro ulyǝlu, nyimia nawa kang jeka ana ogole.
2814060082	Nangka beru be esu beye, nawa kang surǝ nawa laka ana ondo ba itǝ, nawa beka nee na, ‘Eyaka e were ba cikǝ zora epa o eza?’
281407007f	Nane kabare wai na, “Ondo taa wa nya ro ogole ne.” Nawa bekaa nee na, “Ying kangza ale na ba ara a mati ma inabi mang.”
28140800d8	Nangka ulyǝlu waye baa cuwu, na ondo ara o mati ma inabi wa bekaa ondo o kangkama o wai a soola ogole o me na, ‘Rare ana ogole me ka o arseze ne epa eka e itǝ e komana, o bore ba ana o maare ba ale ana o bora.’
2814090062	Nangka andaaka ne bore ogole ba ulyǝlu ba cuwu ne de, na komana one a nya wai be dinari be yende.
28140a0089	Nangka andaaka a jeke ne ba obora ne de, nane eke lenyong oo bena neyo cǝ o kala o nyimi. Neema na komana one wa cǝ be dinari be yende.
28140b0058	Nangka komana one wa cǝ epaaka a nya wai nane wore odera o kona oleba ba ateakwilǝ me,
28140c009c	aane beye na, “Andaaka a jeke ne oo maare ogole o beru be yendea belle ne eze, na ba ara ro nangka ba ara ne, ro ka tee were ba aa gole aa nyimi ongme.”
28140d0067	Nawa kabare ondo ba nyimi one na, “Oja, anta ma iru ne. Teta te beya na eyang nyau o dinari yende ne?
28140e005e	Emba epaeka te beya kaa bo o ale. Mia maa zaka na ma nya ana o maare ba kap ka nangka ma nyau.
28140f0079	Anta ka obare kang ye epaaka ang ama oya me ka epa eng sang? Aa bo ota ba kona oleba epaeka ma ya e rere naname ne na?”
2814100055	Baa zaa nyimi ana o maare neyo itǝ ana obora, aa ana obora neyo itǝ ana o maare.”
2814110067	Awereaka Yeso kaa atoma kai neya zala ba Urushalima, na Yeso itǝ kaa ne be daki orona aka beka nee na,
28141200b6	“Teya ale ba Urushalima. Aya nya kena ka oromo ba taara ta andaamoole ama magame ma Ashili, kaa ana o baala angmǝ aka Ashili a nya Mosa, neyo core angmǝ ba zaa kai ka a wong kai.
281413008b	Neyo niyi kai ba taara ta maYahuda kane zeele kai, aane ole kai, aane kang gendare kai ba zaa uti. A lengme lo taaro kangza ayo ara kai.”
281414006d	Na iini ayana Zabadi paka ba ting Yeso kaa ayana kai, naka girwǝ ba begeshe be kai, aa ka bose eyapa ba kai.
28141500b1	Na Yeso beka kai na, “Eya oya yeme me?” Naka beka kai na, “Ote ayana ang a leere aana ka ne cikǝ, ka yende o ara ore o, aa ka yende o ara o guri o, a nyimi togomo teo.”
281416009d	Na Yeso kabare naka beka ba ayana me na, “Eta rosa epaeka eya bosaza me ne, eyo ama o sa o gǝǝzǝ omea eyang sa na?” Nane bekaa kai na, “Teyo ama.”
28141700ba	Naka bekaa ne na, “Eyo dongdong sa a ka poto kang, a obena e cikǝ ba o ara o re na o guri, mia taza ka o bare nya me ne. Ate ang o zaa shili wa babara araname azaa andaaka aa zaka.”
2814180053	Nangka o dangare atoma kai be tuuru ne kone nyimi, na ne mungi ka ayana leere name.
2814190082	Na Yeso rare ne na ka bekaana, “Erose obena agomo a worme ne wore ne legoone, aa na o kangkama agomo me kangza ne wore ne obare.
28141a0082	Wato itǝ nyimi ba nyimi oying ne. Ba zaa nyimi pate ondooka waya yeme o itǝ ondo gong ba nyimi oying, seeka wa itǝ ozara oying.
28141b0050	Kangza ondooka waya yeme a wa itǝ ondo tare ka ying, seeka wa itǝ ozara oying.
28141c009c	Nyimia kangza Kena ka Oromo kata ka deya ka aromo eze kai lezara ne, ka deye adorana kai ka itǝ ozara, na ka nya ebene kai adorana ka boze aromo ba cak.”
28141d0050	Nangka Yeso kaa atoma kai neya baya a nyimia Yariko na aromo ba cak ne tare kai.
28141e00a0	Arǝ a leere neya cikǝ a be dǝki be orona. Nangka ne kone na Yeso yaa kala, nane ara lengmelo nane bekaana, “Ateokora, kona egonegone oro, Kena ka Daoda!”
28141f008c	Na aromo ne zurki baa ne kane kome. Kangza nane wale ara lengmelo ne maleo, aane beya na, “Ateokora, kona egonegone oro, Kena ka Daoda!”
2814200040	Na Yeso itǝ aa ka bekaa nee na, “Eya eya yeme ang ye ying?”
281421003d	Nane beka kai na, “Ateokora, teya yeme a te cǝ o gonta!”
281422006a	Ba nyimi okona egonegone one, na Yeso ka moke ayizi ane, na ongmere liizi nane cǝ o gonta, aane tare kai.
2815010097	Nangka Yeso kaa atoma kai ne dukǝ kapeng ka Betapaji kamea ka amara ka Urushalima, ba kulǝ oyara o mati ma Zaitun, na Yeso ka tong atoma kai a leere,
281502008a	naka beka nee na, “Lyǝ na ba kapeng kaa niini ba izi oying. Ee lyǝ eyo laka kurungzǝ baa tera, ka kabana kame. Dinggǝ na e ka ecang.
2815030059	Ondo wa pirkǝ, ying e beka wai na, Ateokora ya yeme one. Wayo kuriyǝ ee aa rabokoro.”
281504005c	A ye nyimia adorana a panza epa eeka ondo beya angmǝ ka mawo ma Ashili Zakariya beke obena,
