0100000008	Génesis
051c210086	El fruto de tu tierra y todo el producto de tu trabajo, lo comerá un pueblo que tú no conoces; siempre serás oprimido y maltratado.
051c220034	Te volverás loco a causa de lo que verán tus ojos.
051c230097	Yahvé te herirá con úlceras malignas en las rodillas y en las piernas, y no podrás curarte desde la planta del pie hasta la coronilla de la cabeza.
051c24009d	Yahvé te transportará a ti y al rey que pongas sobre ti, a un pueblo desconocido de ti y de tus padres; y allá servirás a otros dioses, a leño y piedra.
051c250070	Y vendrás a ser un objeto de espanto, de proverbio y de befa entre todos los pueblos adonde Yahvé te llevará.
051c260057	Echarás mucha semilla en el campo, y recogerás poco, porque lo devorará la langosta.
051c270066	Plantarás viñas y las labrarás, pero no beberás vino ni vendimiarás, porque lo comerá el gusano.
051c280065	Tendrás olivos en todos tus términos, mas no te ungirás con aceite, pues tus aceitunas se caerán.
051c29004f	Engendrarás hijos e hijas, pero no serán para ti, porque irán al cautiverio.
051c2a0050	Todos tus árboles y los frutos de tu tierra serán consumidos por los insectos.
051c2b0079	El extranjero que habita en medio de ti se elevará cada vez más sobre ti, en tanto que tú caerás cada vez más abajo.
051c2c005b	Él te prestará a ti, mas tú no le prestarás a él; él será cabeza, y tú serás cola.
051c2d00d5	Todas estas maldiciones vendrán sobre ti, te perseguirán y te alcanzarán hasta que seas destruido, por no haber escuchado la voz de Yahvé, tu Dios, ni guardado sus mandamientos y leyes que Él te ha prescrito;
051c2e0057	y quedarán en ti, como señal y portento, y también en tu descendencia, para siempre.
051c2f0064	Por cuanto no serviste a Yahvé, tu Dios, con alegría y buen corazón a pesar de que abundaba todo,
051c3000b4	servirás a tus enemigos que Yahvé enviará contra ti, en hambre, en sed, en desnudez y todo género de miserias. Él pondrá sobre tu cuello un yugo de hierro, hasta aniquilarte.
051c31008a	Yahvé hará venir contra ti, desde lejos, desde los cabos de la tierra, con la rapidez del águila, una nación cuya lengua no entiendes,
051c320052	gente de aspecto feroz, que no tendrá respeto al anciano ni compasión del niño.
051c3300b9	Devorará el fruto de tu ganado y el fruto de tu tierra, hasta que seas destruido; pues no te dejará trigo, ni vino, ni aceite, ni las crías de tus vacas y ovejas, hasta exterminarte.
051c3400ce	Te sitiará en todas las ciudades de tu país entero, hasta que caigan tus altas y fuertes murallas en que confiabas; te sitiará en todas tus ciudades, en todo el país que Yahvé, tu Dios, te habrá dado.
051c3500a9	En la angustia y estrechez a que te reducirán tus enemigos, comerás el fruto de tu seno, la carne de tus hijos y de tus hijas que Yahvé, tu Dios, te habrá concedido.
051c3600a0	El hombre más delicado y más regalado de entre vosotros mirará con malos ojos a su hermano, a la mujer de su corazón, y al resto de sus hijos que le queden,
051c3700b7	pues no quiere dar a ninguno de ellos de la carne de sus hijos que él comerá, por no quedarle nada en la angustia y estrechez a que te reducirán tus enemigos en todas tus ciudades.
051c3800d2	La mujer más delicada y más regalada de entre vosotros, que por ternura y delicadeza nunca probó poner la planta de su pie en el suelo, mirará con malos ojos al marido de su corazón, a su hijo y a su hija,
051c3900cd	a las secundinas salidas de su seno y a los hijos que habrá dado a luz, pues, por falta de todo, los comerá ocultamente, en la angustia y en la estrechez a que te reducirán tus enemigos en tus ciudades.
051c3a009c	Si no cuidas de poner en práctica todas las palabras de esta Ley, escritas en este libro, y si no temes este nombre glorioso y terrible de Yahvé, tu Dios,
051c3b008c	acrecentará Yahvé extraordinariamente las plagas contra ti y tu posteridad, plagas grandes y duraderas, enfermedades malignas y continuas.
051c3c0065	Hará venir de nuevo sobre ti todas las plagas de Egipto que tanto te horrorizaron, y se te pegarán.
051c3d0098	Yahvé hará venir sobre ti también todas las enfermedades y todas las plagas que no están escritas en el libro de esta Ley, hasta que seas destruido.
051c3e0098	Y después de haber sido numerosos como las estrellas del cielo, quedaréis muy pocos en número, por cuanto no has escuchado la voz de Yahvé, tu Dios.
051c3f00d3	Y así como Yahvé tenía placer en vosotros para haceros bien y para multiplicaros, de la misma manera tendrá placer en aniquilaros y destruiros. Y seréis arrancados de la tierra adonde tú vas para poseerla.
051c4000c3	Te esparcirá Yahvé por entre todos los pueblos, de un cabo de la tierra hasta el otro cabo de la tierra; y allí servirás a otros dioses que ni tú ni tus padres conocisteis, a leño y piedra.
051c4100a6	Y entre esos pueblos no encontrarás reposo ni descanso para la planta de tu pie; pues allí te dará Yahvé un corazón tembloroso, ojos decaídos y un alma abatida.
051c420071	Tu vida estará ante ti como pendiente de un hilo, tendrás miedo de noche y de día, y no confiarás de tu vida.
051c4300b4	A la mañana dirás: ¡Ojalá que fuera la tarde!, y a la tarde dirás: ¡Ojalá que fuera la mañana!, a causa del miedo que agita tu corazón y a causa de lo que tus ojos verán.
051c4400db	Y Yahvé te volverá a llevar en navíos a Egipto, por el camino del cual te dijo: No volverás más a verlo; y allí os ofreceréis en venta a vuestros enemigos, por esclavos y esclavas, y no habrá quien os compre.”
051d0100ad	Estas son las palabras de la alianza que Yahvé mandó a Moisés ratificar con los hijos de Israel en el país de Moab, además de la alianza que hizo con ellos en el Horeb.
051d0200b4	Y convocó Moisés a todo Israel, y les dijo: “Habéis visto todo lo que hizo Yahvé ante vuestros ojos en la tierra de Egipto, al Faraón, a todos sus siervos y a todo su país:
051d030057	las grandes plagas que vieron vuestros ojos, aquellas señales y maravillas estupendas;
051d04006f	pero hasta el día de hoy Yahvé no os ha dado corazón que entienda, ni ojos que vean, ni oídos que escuchen.
051d050091	Durante cuarenta años os he conducido por el desierto, y no se han gastado vuestros vestidos sobre vosotros, ni se ha roto el calzado en tu pie.
051d06007c	No habéis comido pan, ni habéis bebido vino ni licor fermentado, a fin de que conocierais que Yo soy Yahvé, vuestro Dios.
051d070096	Cuando llegasteis a este lugar salieron a nuestro encuentro para Hacernos guerra, Sehón, rey de Hesbón, y Og, rey de Basan, a los cuales derrotamos.
051d080073	Y apoderándonos de su tierra, la dimos en posesión a los rubenitas, a los gaditas y a la media tribu de Manasés.
051d090070	Guardad, pues, las palabras de esta alianza y ponedlas por obra, para que tengáis éxito en cuanto emprendáis.
051d0a009d	Vosotros estáis hoy todos ante Yahvé, vuestro Dios: vuestros príncipes y vuestras tribus, vuestros ancianos y vuestros jefes, todos los hombres de Israel;
051d0b0074	vuestros niños, vuestras mujeres y el extranjero que se halla en tu campamento, desde tu leñador hasta tu aguador;
051d0c004b	para que entres en la alianza jurada que Yahvé, tu Dios, hace hoy contigo,
051d0d008c	a fin de constituirte hoy en pueblo suyo, y ser Él tu Dios, como te ha prometido, y como juró a tus padres, a Abrahán, a Isaac y a Jacob.
051d0e0038	Y no solamente con vosotros hago yo esta alianza jurada,
051d0f0090	sino con (todos) los que hoy están aquí con nosotros delante de Yahvé, nuestro Dios, y también con los que no están hoy aquí con nosotros.
051d10008d	Vosotros sabéis cómo hemos vivido en la tierra de Egipto, y cómo hemos pasado por medio de los pueblos por los cuales tuvisteis que pasar;
051d110062	y habéis visto sus abominaciones y sus ídolos, leño y piedra, plata y oro, que hay entre ellos.
051d1200e6	No haya, pues, en medio de vosotros hombre o mujer, familia o tribu, cuyo corazón se aparte hoy de Yahvé, nuestro Dios, para ir a servir a los dioses de estos pueblos; no haya entre vosotros raíz que produzca veneno y amargura.
051d1300c6	Que nadie al oír las palabras de este juramento, se bendiga en su corazón, diciendo: ‘Yo tendré paz aunque persista en la dureza de mi corazón’, de modo que la borrachera terminaría en sed.
051d1400d4	Yahvé no le perdonará; sino que se encenderán la ira de Yahvé y su celo contra tal hombre y se echarán sobre él todas las maldiciones escritas en este libro; y Yahvé borrará su nombre de debajo del cielo.
051d150094	Yahvé le separará, para daño suyo, de todas las tribus de Israel, conforme a todas las maldiciones de la alianza escrita en este libro de la Ley.
051d1600e2	Y dirán las generaciones venideras de vuestros hijos que nacerán después de vosotros, y los extranjeros que vinieren de lejanas fierras, al ver las plagas de este país y las enfermedades con que Yahvé lo habrá castigado:
051d1700e4	azufre y sal, abrasada toda su tierra, en la que no se siembra, y que nada produce; no brota en ella hierba alguna, como sucedió en el asolamiento de Sodoma y Gomorra, Adama y Seboím, que asoló Yahvé en su ira y en su furor.
051d180081	Y se preguntarán los pueblos: ‘¿Por qué ha tratado Yahvé así a este país? ¿Por qué el furor de tan terrible cólera?’
051d190092	Y se les dirá: ‘Porque abandonaron la alianza de Yahvé, el Dios de sus padres, que Él hizo con ellos cuando los sacó de la tierra de Egipto.
051d1a007f	Se fueron y sirvieron a otros dioses, postrándose delante de ellos; dioses que no conocían y que Él no les había atribuido.
051d1b007d	Por tanto se encendió la ira de Yahvé contra este país descargando sobre él todas las maldiciones escritas en este libro;
051d1c0082	y los desarraigó Yahvé de su tierra con ira, con furor y con grande indignación, y los arrojó a otro país, como hoy se ve.’
051d1d00be	Las cosas secretas son para Yahvé, nuestro Dios, mas las cosas reveladas son para nosotros y para nuestros hijos para siempre, para que pongamos en práctica todas las palabras de esta Ley.
051e0100e2	Cuando vengan sobre ti todas estas cosas, la bendición y la maldición, que he puesto ante tus ojos, y cuando las recapacites en tu corazón, en medio de todos los pueblos, entre los cuales te habrá arrojado Yahvé, tu Dios,
051e020091	y te vuelvas a Yahvé, tu Dios, escuchando su voz, conforme a todo lo que hoy te mando, tú y tus hijos, con todo tu corazón y con toda tu alma,
051e0300b5	entonces Yahvé, tu Dios, te hará volver del cautiverio, y se compadecerá de ti, y de nuevo te congregará de en medio de todos los pueblos, entre los cuales te habrá dispersado.
051e040082	Aun cuando tus dispersados estuviesen en las extremidades del cielo, de allí te recogerá Yahvé, tu Dios, y de allí te sacará;
051e050091	y te llevará Yahvé, tu Dios, al país que poseyeron tus padres; tú lo poseerás, y Él te hará bien y te multiplicará más que a tus padres.
051e0600b4	Yahvé, tu Dios, circuncidará tu corazón y el corazón de tus descendientes, para que ames a Yahvé, Dios tuyo, con todo tu corazón y con toda tu alma, a fin de que tengas vida.
051e07007a	Entonces Yahvé, tu Dios, arrojará todas estas maldiciones sobre tus enemigos y sobre los que te han odiado y perseguido.
051e080069	Tu, empero, volverás a obedecer la voz de Yahvé, y cumplirás todos sus mandamientos que hoy te ordeno.
051e090103	Y Yahvé, Dios tuyo, te dará bendiciones en todas las obras de tu mano, en el fruto de tu seno, en el fruto de tu ganado y en el fruto de tu tierra, para bien tuyo; porque Yahvé volverá a complacerse en ti, para bien tuyo, como se complacía en tus padres;
051e0a00d2	con tal que obedezcas la voz de Yahvé, tu Dios, guardando sus mandamientos y sus leyes que están escritos en este libro de la Ley, y te conviertas a Yahvé, Dios tuyo, con todo tu corazón y con toda tu alma.
051e0b0054	Esta Ley, que yo hoy te intimo, no es demasiado difícil para ti, ni se halla lejos.
051e0c00a8	No está en el cielo, de suerte que puedas decir: ‘¿Quién subirá por nosotros al cielo para que nos la traiga y nos la enseñe, y nosotros la pongamos por obra?’
051e0d00af	Ni está más allá del mar, para que digas: ‘¿Quién pasará por nosotros al otro lado del mar para que nos la traiga y nos la enseñe, y nosotros la pongamos por obra?’
051e0e006b	sino que la palabra está muy cerca de ti, está en tu boca y en tu corazón, para que puedas cumplirla.”
051e0f0045	“Mira qué hoy pongo ante ti la vida y el bien, la muerte y el mal;
051e1000ff	pues lo que hoy te mando, es que ames a Yahvé, tu Dios, andando en sus caminos, y guardando sus mandamientos, sus leyes y sus preceptos, para que vivas y te multipliques, y para que Yahvé, tu Dios, te bendiga en el país en cuya posesión has de entrar.
051e110087	Mas si tu corazón se aparta, de modo que no quieras escuchar, y si te dejas arrastrar a prosternarte ante otros dioses y darles culto,
051e120094	os declaro hoy que pereceréis sin remedio y que moraréis poco tiempo en la tierra a cuya conquista y posesión irás después de pasar el Jordán.
051e1300c0	Yo invoco hoy por testigos contra vosotros el cielo y la tierra, poniendo ante ti la vida y la muerte, la bendición y la maldición; escoge, pues, la vida, para que vivas tú y tu posteridad,
051e1400d2	amando a Yahvé, Dios tuyo, escuchando su voz y uniéndote a Él, porque Él es tu vida y la longitud de tus días, que vivirás en la tierra que Yahvé juró dar a tus padres: a Abrahán, a Isaac y a Jacob.”
051f010037	Dirigido que hubo Moisés a todo Israel estas palabras,
051f02009c	les dijo todavía: “Tengo ya ciento y veinte años de edad, y no puedo ya salir ni entrar; además me ha dicho Yahvé: ‘Tú no pasarás este Jordán.’
051f03009f	Yahvé, tu Dios, pasará delante de ti; Él destruirá a tu vista estos pueblos, y tú los poseerás. Josué pasará delante de ti, como Yahvé lo ha ordenado.
051f040074	Y hará Yahvé con ellos como hizo con Sehón y Og, reyes de los amorreos, y con sus reinos, a los cuales destruyó.
051f05004f	Yahvé los entregará a vosotros para que hagáis con ellos como os he mandado.
051f060098	Sed fuertes y valerosos; no temáis ni os amedrentéis ante ellos; porque contigo marcha Yahvé, tu Dios, quien no te abandonará ni te desamparará.”
051f0700f1	Llamó, pues, Moisés a Josué y le dijo en presencia de todo Israel: “Sé fuerte y valeroso, porque tú conducirás a este pueblo a la tierra que Yahvé con juramento prometió a sus padres que les daría, y tú se la darás en posesión.
051f080081	Yahvé marchará delante de ti; Él estará contigo, y no te abandonará ni te desamparará; no temas, pues, ni te amedrentes.”
051f090094	Escribió Moisés esta ley, y la dio a los sacerdotes, hijos de Leví, que llevan el Arca de la Alianza de Yahvé, y a todos los ancianos de Israel.
051f0a0094	Y les dio Moisés esta orden: “Al cabo de cada siete años en la celebración periódica del año de remisión, en la fiesta de los Tabernáculos,
051f0b00a0	cuando viene todo Israel a presentarse delante de Yahvé, tu Dios, en el lugar por Él elegido, leerás esta Ley en presencia de todo Israel, a oídos de ellos.
051f0c00d8	Congregarás el pueblo, los hombres y las mujeres, los niños y los extranjeros que moran dentro de tus puertas, para que oigan y aprendan a temer a Yahvé, Dios vuestro, y cuiden de cumplir las palabras de esta Ley.
051f0d00d4	Y también los hijos de ellos, que no la conocen, la oirán y aprenderán a temer a Yahvé, vuestro Dios, todos los días que viviereis en la tierra a la cual vais pasando el Jordán para tomarla en posesión.”
051f0e00fb	Diio Yahvé a Moisés: “Mira, el tiempo en que has de morir está cerca; llama a Josué, y presentaos en el Tabernáculo de la Reunión y Yo le daré mis órdenes.” Fueron, pues, Moisés y Josué y se presentaron en el Tabernáculo de la Reunión.
051f0f0071	Y se apareció Yahvé en el Tabernáculo, en la columna de nube, la cual se detuvo a la entrada del Tabernáculo.
051f1000fc	Y dijo Yahvé a Moisés: “He aquí que vas a descansar con tus padres; y se rebelará este pueblo, y fornicará en pos de los dioses extraños de la tierra adonde va para morar allí; y me abandonará y quebrantará la alianza que con él he pactado.
051f110111	Y se encenderá mi ira contra él en aquel día; los abandonaré y esconderé de ellos mi rostro; será consumido, y le alcanzarán muchos males y angustias, de manera que en aquel día dirá: ‘¿No me han alcanzado estos males porque mi Dios no está en medio de mí?’
051f12007b	Y Yo sin falta esconderé mi rostro en aquel día a causa de todas las maldades que habrá hecho, siguiendo a otros dioses.
051f1300b4	Ahora, pues, escribíos este cántico; y tú lo enseñarás a los hijos de Israel, poniéndolo en su boca, para que este cántico me sirva de testimonio contra los hijos de Israel.
051f140128	Porque cuando Yo hubiere introducido a este pueblo en la tierra que con juramento he prometido a sus padres, tierra que mana leche y miel, y él haya comido, y se haya hartado y puesto gordo, se pasará a otros dioses para servirlos, y a Mí me tratarán con desprecio y quebrantarán mi alianza.
051f150130	Pero cuando le alcancen muchos males y angustias, este cántico será testigo contra ellos, porque no será olvidado en la boca de sus descendientes. Pues conozco los planes que está maquinando ya en este momento en que no le he introducido todavía en la tierra que le tengo prometida con juramento.”
051f160060	Escribió, pues, Moisés este cántico en aquel mismo día, y lo enseñó a los hijos de Israel.
051f1700ad	Y (Yahvé) dio sus órdenes a Josué, hijo de Nun, y le dijo: “Sé fuerte y valeroso, porque tú conducirás a Israel a la tierra que les he jurado; y Yo seré contigo.”
051f180060	Cuando Moisés hubo acabado de escribir en un libro todas las palabras de esta Ley hasta el fin,
051f19004b	mandó a los levitas portadores del Arca de la Alianza de Yahvé, diciendo:
051f1a008e	“Tomad este libro de la Ley y ponedlo al lado del Arca de la Alianza de Yahvé, vuestro Dios, para que allí quede por testimonio contra ti.
051f1b00b4	Porque conozco tu ánimo rebelde y tu dura cerviz. Si estando yo todavía vivo en medio de vosotros habéis sido rebeldes a Yahvé, ¿cuánto más lo seréis después de mi muerte?
051f1c00a5	Congregadme todos los ancianos de vuestra tribus, y vuestros jefes, para que diga estas palabras a sus oídos y ponga por testigos contra ellos el cielo y la tierra.
051f1d010a	Pues bien sé que después de mi muerte os pervertiréis totalmente, apartándoos del camino que os he prescrito, mas en los días venideros os sobrevendrá el mal, por haber hecho lo que es malo a los ojos de Yahvé, irritándolo con las obras de vuestras manos.”
051f1e0070	Pronunció, pues, Moisés a oídos de todo el pueblo de Israel todas las palabras de este cántico hasta el fin.
052001004d	Escuchad, oh cielos, que yo hablaré; oiga la tierra las palabras de mi boca.
0520020088	Descienda, como lluvia, mi doctrina; destile mi palabra cual rocío, cual llovizna sobre la hierba, como gotas de agua sobre el césped.
0520030041	Pues celebraré el nombre de Yahvé; ¡dad gloria a nuestro Dios!
0520040079	Él es la Roca, perfecta es su obra, justos son todos sus caminos; es un Dios fiel y sin iniquidad; justo y recto es Él.
0520050070	Prevaricaron contra Él los que por sus inmundicias ya no son hijos suyos, una generación depravada y perversa.
0520060077	¡Así retribuís a Yahvé, oh pueblo necio e insensato! ¿No es Él tu padre que te adquirió tu creador, tu fundador?
05200700a9	Acuérdate de los tiempos antiguos; considerad los años, generación tras generación; pregunta a tu padre, y él te lo anunciará; a tus ancianos y ellos te lo dirán.
05200800b6	Cuando el que mora en lo alto dio a cada nación su posesión, cuando dividió a los hijos de los hombres, fijó los límites de los pueblos según el número de los hijos de Israel.
0520090049	Pues la porción de Yahvé es su pueblo, Jacob la herencia peculiar suya.
05200a009d	Lo halló en una tierra desierta, en la soledad, entre aullidos salvajes; y rodeándolo por todas partes lo cuidó, y lo guardó como a la niña de sus ojos.
05200b0083	Como el águila vigila sobre su nido cuando revolotea sobre sus polluelos, extiende sus alas, los toma, y los lleva sobre sus alas;
05200c003b	así Yahvé solo lo conducía no estaba con él dios ajeno.
05200d0091	Le hizo escalar las alturas de la tierra, para que comiera los frutos del campo; le dio a sorber miel de la peña, y aceite de la durísima roca,
05200e00a8	manteca de vacas y leche de ovejas, con pingües corderos, carneros de Basan y machos cabríos, con lo más escogido del trigo; y bebiste la sangre espumante de la uva.
05200f009a	Mas engordó Yeschurún, y dio coces; — ¡engordaste, engrosaste, te hinchaste!— y abandonó a Dios su Hacedor, despreciando la Roca de su salvación.
0520100047	Le provocaron con dioses extraños; con abominaciones incitaron su ira.
0520110095	Ofrecían sacrificios a los demonios, que no son Dios, a dioses que no habían conocido, a nuevos y recién venidos, que no adoraron vuestros padres.
052012004f	Abandonaste la Roca que te engendró, diste al olvido a Dios que te dio el ser.
0520130047	Lo vio Yahvé y sintió asco, pues sus hijos y sus hijas le provocaron.
0520140065	Y dijo: “Les esconderé mi rostro, veré cuál será su fin; es una raza perversa, hijos desleales.
05201500a9	Han provocado mis celos con no-dioses, me han irritado con sus ídolos. Por eso provocaré sus celos con aquellos que no son pueblo; con una nación necia los irritaré.
05201600a1	Se ha encendido el fuego de mi ira, que arderá hasta lo más hondo del infierno, devorando la tierra con sus productos, y abrasando los cimientos de los montes.
0520170044	Males quiero amontonar sobre ellos, agotar contra ellos mis flechas.
05201800bb	Los consumirá el hambre, y los devorará la ardiente fiebre, la amarga pestilencia. Enviaré contra ellos dientes de fieras y el veneno de las (serpientes) que se arrastran por el polvo.
052019008c	Por fuera los destruirá la espada, y dentro de la casa el espanto, lo mismo al joven como a la doncella, al niño de pecho como al anciano.
05201a0053	Quisiera decir: “Los aniquilaré; haré cesar de entre los hombres su memoria”,
05201b009e	si no temiera la arrogancia del enemigo; pues lo verían sus adversarios; y dirían: “Nuestra mano ha prevalecido, no es Yahvé quien ha hecho todo esto.”
05201c0040	Pues es gente sin inteligencia, y no hay en ellos entendimiento.
05201d0045	¡Oh si fueran sabios para entenderlo y comprender lo que les espera!
05201e007d	¿Cómo puede perseguir uno a mil, y dos espantar a diez mil, si no porque su Roca los ha vendido, y Yahvé los ha entregado?
05201f004b	Pues no es la Roca nuestra como la suya; los mismos enemigos lo testifican.
0520200082	Porque su vid es de la vid de Sodoma y de las campiñas de Gomorra; sus uvas son uvas venenosas, y llenos de amargura sus racimos.
052021003d	Veneno de dragones es su vino, ponzoña terrible de áspides.
052022003f	¿No tengo Yo esto guardado conmigo, sellado entre mis tesoros?
0520230085	Mía es la venganza y la retribución; a su tiempo resbalará su pie; pues el día de su ruina está cerca, su destino viene volando.
0520240087	Pues Yahvé juzga a su pueblo, y se compadecerá de sus siervos, cuando vea que ya no tienen fuerza y no les queda ni esclavo ni libre.
0520250049	Entonces dirá: ¿Dónde están sus dioses, la Roca en que se refugiaron?
05202600b0	(¿Dónde están esos dioses), que comían la grosura de sus sacrificios, y bebían el vino de sus libaciones? ¡Levántense y vengan a socorreros, y sean ellos vuestro amparo!
052027009f	Ved ahora que soy Yo, y solo Yo, y no hay dioses junto a Mí; Yo soy quien doy la muerte y doy la vida; Yo hiero y Yo sano, y no hay quien se libre de mi mano.
052028003d	Porque alzando al cielo mi mano, digo: “Por mi vida eterna:
0520290085	Cuando afile el rayo de mi espada, y mi mano empuñe el juicio, tomaré venganza de mis enemigos, y daré el pago a los que me odian.
05202a008c	Embriagaré de sangre mis saetas, y mi espada comerá carne, la sangre de muertos y de cautivos, y las cabezas de los caudillos enemigos.”
05202b009a	Ensalzad, oh naciones, a su pueblo, porque Él vengará la sangre de sus siervos; tomará venganza de sus enemigos, y espulgará a su tierra, a su pueblo.
05202c006f	Fue, pues, Moisés, y dijo todas las palabras de este cántico a oídos del pueblo él con Josué, hijo de Nun.
05202d004e	Y cuando Moisés hubo acabado de comunicar todas estas palabras a todo Israel,
05202e00c0	les dijo: “Fijad vuestro corazón en todas estas palabras que hoy os he proclamado, Los prescribiréis a vuestros hijos, a fin de que cuiden de poner por obra todas las palabras de esta Ley.
05202f00b8	Porque no es cosa inútil para vosotros, es vuestra vida; por medio de esta palabra prolongaréis vuestros días sobre la tierra en cuya posesión vais a entrar, pasando el Jordán.”
0520300030	En aquel día habló Yahvé a Moisés, diciendo:
05203100b1	“Sube a esta montaña de Abarim, al monte Nebo, que está en el país de Moab, frente a Jericó; y mira la tierra de Canaán, que voy a dar en posesión a los hijos de Israel.
052032009b	En el monte al que has de subir morirás y serás reunido con tu pueblo; así como murió Aarón, tu hermano, en el monte Hor, y fue reunido con su pueblo.
05203300be	Porque habéis pecado contra Mí en medio de los hijos de Israel, junto a las aguas de Meribá, en Cades, en el desierto de Sin y porque no me glorificasteis en medio de los hijos de Israel.
0520340064	Verás delante de ti la tierra que Yo voy a dar a los hijos de Israel, pero no entrarás en ella.”
052101005c	Esta es la bendición que Moisés varón de Dios, antes de morir, dio a los hijos de Israel.
05210200b1	Dijo: “Vino Yahvé del Sinaí, se les apareció desde Seír, resplandeció desde el monte Farán, avanzando en medio de santas miríadas, con centellas de fuego en su diestra;
052103006f	pues Él ama a su pueblo. Todos sus santos están en su mano. Sentados a tus pies cada uno recibe tus palabras.
052104003c	Moisés nos dio la Ley, que es herencia del pueblo de Jacob.
052105006a	Él fue rey en Yeschurún cuando se congregaron los jefes del pueblo, se juntaron las tribus de Israel.”
0521060040	“¡Viva Rubén, y no muera, aunque sea pequeño su número!”
05210700a9	He aquí lo que dijo sobre Judá: “Oye, Yahvé, la voz de Judá, y dale parte en su pueblo, por el cual luchan sus manos; sé tú su auxilio contra sus adversarios.”
0521080095	Sobre Leví dijo: “Tus Tummim y Urim tiene tu varón santo, al cual pusiste a prueba en Masá, y por el cual luchaste junto a las aguas de Meribá;
05210900b8	el que dijo a su padre y a su madre: ‘No los he visto’; y no hizo caso de sus hermanos, ni reconoció a sus propios hijos. Porque guardaron tu palabra y vigilaron sobre tu Alianza.
05210a0074	Ellos enseñan tus juicios a Jacob, y tu ley a Israel; ofrecen incienso delante de Ti, y holocaustos sobre tu altar.
05210b009d	¡Bendice, oh Yahvé, su fortaleza, acepta la obra de sus manos; destroza las espaldas de sus enemigos y de los que le odian para que no se levanten más!”
05210c0090	Sobre Benjamín dijo: “Amado de Yahvé habitará en seguridad a Su lado; Yahvé le protegerá siempre; entre sus hombros tendrá su morada.”
05210d008b	Sobre José dijo: “Bendita de Yahvé sea tu tierra, con lo más precioso del cielo, el rocío, con (los manantiales del) abismo de abajo;
05210e0052	con lo mejor de los productos del sol, con el más excelente (fruto) de los meses,
05210f004e	con lo mejor de los montes antiguos, con lo más rico de los collados eternos;
05211000b6	con lo más exquisito de la tierra -y de su abundancia. ¡Que el favor de Aquel que habitó en la zarza venga sobre la cabeza de José, sobre la frente del príncipe de sus hermanos!
05211100ea	Como su toro primogénito es su fuerza; sus cuernos son como los cuernos del búfalo: con ellos acornea a todos los pueblos juntos hasta los confines de la tierra. Tales son las miríadas de Efraím, tales los millares de Manasés.”
052112005a	A Zabulón le dijo: “Regocíjate, Zabulón, en tu tráfico, y tu Isacar, en tus tiendas.
0521130096	Invitan a los pueblos a la montaña; allí ofrecen sacrificios de justicia; pues chupan las riquezas del mar, y los tesoros escondidos de la costa.”
0521140074	Sobre Gad dijo: “¡Bendito el que ensanchó a Gad! Está echado como leona, desgarra a una el brazo con la cabeza.
05211500b4	Eligió el primero su parte, porque allí se guardaba la porción del príncipe. Marchando al frente del pueblo, ejecutó los decretos de Yahvé, y sus juicios junto con Israel.”
0521160049	Sobre Dan dijo: “Dan es cachorro de león, que se lanza desde Basan.”
0521170076	Sobre Neftalí dijo: “Neftalí goza de favores, y colmado de la bendición de Yahvé posee el mar y el mediodía.”
0521180073	Sobre Aser dijo: “Aser es el bendito entre los hijos, el favorecido entre sus hermanos, y baña su pie en aceite.
0521190052	De hierro y de bronce son tus cerrojos, y tan largo, como tus días, tu reposo.”
05211a0078	“No hay igual al Dios de Yeschurún, el que en auxilio tuyo marcha sobre los cielos, y en su majestad sobre las nubes.
05211b010d	El Dios eterno es refugio (tuyo), y tu sostén son los brazos eternos. El mismo expulsa delante de ti al enemigo, y dice: “¡Destruye!”. Israel habita en seguridad, la fuente de Jacob brota aparte, en una tierra de trigo y de vino y cuyos cielos destilan el rocío.
05211d00c6	¡Dichoso tú, oh Israel! ¿Quién como tú, oh pueblo salvado por Yahvé, el escudo de tu auxilio, y la espada de tu triunfo? Tus enemigos rehusarán reconocerte, pero tú hollarás sus alturas.”
05220100a6	Subió Moisés desde las campiñas de Moab al monte Nebo, a la cumbre del Fasga, que está frente a Jericó; y Yahvé le mostró el país entero: de Galaad hasta Dan,
052202006a	y todo Neftalí, y la tierra de Efraím y de Manasés, y toda la tierra de Judá, hasta el mar occidental;
052203004e	el Négueb, y la vega del valle de Jericó, ciudad de las palmas, hasta Segor.
05220400c2	Y le dijo Yahvé: “Esta es la tierra respecto de la cual juré a Abrahán, a Isaac y a Jacob, diciendo: A tu descendencia se la daré. Te la hago ver con tus ojos, mas no entrarás en ella.”
052205005b	Allí murió Moisés, siervo de Yahvé en el país de Moab, según había dispuesto Yahvé.
052206006f	Y Él lo enterró en un valle en el país de Moab, frente a Bet-Fegor; y nadie hasta hoy ha sabido su sepulcro.
0522070072	Tenía Moisés ciento y veinte años cuando murió; y no se había ofuscado su ojo, ni se había perdido su vigor.
0522080098	Los hijos de Israel lloraron a Moisés en las campiñas de Moab durante treinta días; y así se cumplieron los días de llanto en el duelo por Moisés.
05220900c5	Josué, hijo de Nun, estaba lleno del espíritu de sabiduría, porque Moisés había puesto sus manos sobre él. Le obedecieron los hijos de Israel, e hicieron como Yahvé había mandado a Moisés.
05220a005d	No se ha levantado otro profeta en Israel como Moisés, con quien Yahvé tratase cara a cara;
