010000000c	ਉਤਪਤ
021d1700fa	ਤੂੰ ਇੱਕ ਰੋਟੀ ਇੱਕ ਪਰਾਉਂਠਾ ਇੱਕ ਪੂੜਾ ਉਸ ਦੀ ਪਤੀਰੀ ਰੋਟੀ ਦੀ ਟੋਕਰੀ ਵਿੱਚੋਂ ਜਿਹੜੀ ਯਹੋਵਾਹ ਦੇ ਸਨਮੁਖ ਹੈ ਲਈਂ।
021d18014e	ਤੂੰ ਸਭਨਾਂ ਨੂੰ ਹਾਰੂਨ ਦੇ ਹੱਥਾਂ ਉੱਤੇ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਹੱਥਾਂ ਉੱਤੇ ਰੱਖੀਂ ਅਤੇ ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਹਿਲਾਉਣ ਦੀ ਭੇਟ ਕਰਕੇ ਯਹੋਵਾਹ ਲਈ ਹਿਲਾਵੀਂ।
021d190172	ਫਿਰ ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਹੱਥੋਂ ਲੈ ਕੇ ਜਗਵੇਦੀ ਉੱਤੇ ਹੋਮ ਦੀ ਬਲੀ ਉੱਤੇ ਸਾੜ ਦੇਈਂ। ਇਹ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਇੱਕ ਸੁਗੰਧਤਾ ਹੈ ਅਤੇ ਯਹੋਵਾਹ ਲਈ ਇੱਕ ਅੱਗ ਦੀ ਭੇਟ ਹੈ।
021d1a0118	ਤੂੰ ਹਾਰੂਨ ਦੇ ਥਾਪਨਾ ਦੇ ਛੱਤਰੇ ਦੀ ਛਾਤੀ ਲੈ ਕੇ ਯਹੋਵਾਹ ਦੇ ਸਨਮੁਖ ਹਿਲਾਉਣ ਦੀ ਭੇਟ ਲਈ ਹਿਲਾਵੀਂ ਅਤੇ ਉਹ ਤੇਰਾ ਹਿੱਸਾ ਹੋਵੇਗਾ।
021d1b0180	ਤੂੰ ਹਿਲਾਉਣ ਦੀ ਭੇਟ ਦਾ ਸੀਨਾ ਅਤੇ ਚੁੱਕਣ ਦੀ ਭੇਟ ਦਾ ਪੱਟ ਜਿਹੜਾ ਹਿਲਾਇਆ ਜਾਵੇ ਅਤੇ ਜਿਹੜਾ ਚੁੱਕਿਆ ਜਾਵੇ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਥਾਪਨਾ ਦੇ ਛੱਤਰੇ ਤੋਂ ਪਵਿੱਤਰ ਕਰੀਂ।
021d1c0229	ਸੋ ਉਹ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਲਈ ਸਦਾ ਦਾ ਹੱਕ ਇਸਰਾਏਲੀਆਂ ਵੱਲੋਂ ਹੋਵੇ ਕਿਉਂ ਜੋ ਉਹ ਚੁੱਕਣ ਦੀ ਭੇਟ ਹੈ ਅਤੇ ਚੁੱਕਣ ਦੀ ਭੇਟ ਇਸਰਾਏਲੀਆਂ ਵੱਲੋਂ ਉਨ੍ਹਾਂ ਦੀਆਂ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਭੇਟਾਂ ਤੋਂ ਹੋਵੇਗੀ ਸਗੋਂ ਯਹੋਵਾਹ ਲਈ ਉਨ੍ਹਾਂ ਦੀ ਚੁੱਕਣ ਦੀ ਭੇਟ ਰਹੇਗੀ।
021d1d011f	ਪਵਿੱਤਰ ਬਸਤ੍ਰ ਜਿਹੜੇ ਹਾਰੂਨ ਦੇ ਹਨ ਉਸ ਦੇ ਮਗਰੋਂ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਹੋਣਗੇ। ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਉਹ ਮਸਹ ਕੀਤੇ ਜਾਣ ਅਤੇ ਥਾਪੇ ਜਾਣ।
021d1e012c	ਸੱਤ ਦਿਨ ਜਿਹੜਾ ਪੁੱਤਰ ਉਸ ਦੀ ਥਾਂ ਜਾਜਕ ਹੋਵੇ ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ ਜਦ ਉਹ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਨੂੰ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚ ਉਪਾਸਨਾ ਲਈ ਜਾਵੇ ਪਹਿਨੇ।
021d1f00aa	ਤੂੰ ਥਾਪਨਾ ਦੇ ਛੱਤਰੇ ਨੂੰ ਲੈ ਕੇ ਉਸ ਦਾ ਮਾਸ ਇੱਕ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚ ਉਬਾਲੀਂ
021d200106	ਅਤੇ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰ ਛੱਤਰੇ ਦਾ ਮਾਸ ਅਤੇ ਰੋਟੀ ਜਿਹੜੀ ਉਸ ਛਾਬੇ ਵਿੱਚ ਹੈ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੇ ਦਰਵਾਜ਼ੇ ਕੋਲ ਖਾਣ
021d210161	ਉਹ ਉਨ੍ਹਾਂ ਵਸਤਾਂ ਨੂੰ ਖਾਣ ਜਿਨ੍ਹਾਂ ਨਾਲ ਪ੍ਰਾਸਚਿਤ ਕੀਤਾ ਗਿਆ ਤਾਂ ਜੋ ਉਹ ਥਾਪੇ ਅਤੇ ਪਵਿੱਤਰ ਕੀਤੇ ਜਾਣ ਪਰ ਕੋਈ ਓਪਰਾ ਉਸ ਤੋਂ ਨਾ ਖਾਵੇ ਕਿਉਂ ਜੋ ਉਹ ਪਵਿੱਤਰ ਹਨ।
021d220164	ਅਤੇ ਜੇ ਕਦੀ ਥਾਪਨਾ ਦੇ ਮਾਸ ਤੋਂ ਅਥਵਾ ਰੋਟੀ ਤੋਂ ਸਵੇਰ ਤੱਕ ਕੁਝ ਬਚ ਜਾਵੇ ਤਾਂ ਤੂੰ ਉਸ ਬਚਤ ਨੂੰ ਅੱਗ ਵਿੱਚ ਸਾੜ ਸੁੱਟੀਂ। ਉਹ ਖਾਧਾ ਨਾ ਜਾਵੇ ਕਿਉਂ ਜੋ ਉਹ ਪਵਿੱਤਰ ਹੈ।
021d230139	ਸੋ ਤੂੰ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਲਈ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕਰੀਂ ਜਿਵੇਂ ਮੈਂ ਤੈਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਹੈ। ਸੱਤ ਦਿਨ ਤੱਕ ਤੂੰ ਉਨ੍ਹਾਂ ਦੀ ਥਾਪਨਾ ਕਰੀਂ।
021d240170	ਪਾਪ ਦੀ ਭੇਟ ਦਾ ਛੱਤਰਾ ਰੋਜ਼ ਪ੍ਰਾਸਚਿਤ ਲਈ ਤੂੰ ਚੜ੍ਹਾਈਂ ਅਤੇ ਤੂੰ ਜਗਵੇਦੀ ਨੂੰ ਸ਼ੁੱਧ ਕਰੀਂ। ਜਦ ਤੂੰ ਉਸ ਲਈ ਪ੍ਰਾਸਚਿਤ ਕਰੇਂ ਤੂੰ ਉਹ ਨੂੰ ਪਵਿੱਤਰ ਕਰਨ ਲਈ ਤੇਲ ਚੋਵੀਂ।
021d250161	ਸੱਤ ਦਿਨ ਤੱਕ ਤੂੰ ਜਗਵੇਦੀ ਲਈ ਪ੍ਰਾਸਚਿਤ ਕਰ ਕੇ ਉਹ ਨੂੰ ਪਵਿੱਤਰ ਕਰੀਂ ਸੋ ਉਹ ਜਗਵੇਦੀ ਬਹੁਤ ਪਵਿੱਤਰ ਹੋਵੇਗੀ ਅਤੇ ਜਿਹੜਾ ਜਗਵੇਦੀ ਨੂੰ ਛੂਹੇ ਉਹ ਪਵਿੱਤਰ ਹੋਵੇਗਾ।
021d2600d8	ਉਹ ਜਿਹੜਾ ਤੂੰ ਜਗਵੇਦੀ ਉੱਤੇ ਚੜ੍ਹਾਉਣਾ ਹੈ ਸੋ ਇਹ ਹੈ - ਇੱਕ-ਇੱਕ ਸਾਲ ਦੇ ਦੋ ਲੇਲੇ ਹਰ ਰੋਜ਼ ਸਦਾ ਲਈ।
021d2700b1	ਇੱਕ ਲੇਲਾ ਤੂੰ ਸਵੇਰ ਨੂੰ ਚੜ੍ਹਾਵੀਂ ਅਤੇ ਦੂਜਾ ਲੇਲਾ ਤੂੰ ਸ਼ਾਮ ਨੂੰ ਚੜ੍ਹਾਵੀਂ।
021d2800db	ਅਤੇ ਇੱਕ ਲੇਲੇ ਨਾਲ ਏਫ਼ਾਹ ਦੀ ਦਸਵੰਧ ਮੈਦਾ ਖ਼ਾਲਸ ਤੇਲ ਦੇ ਹੀਨ ਦੀ ਚੌਥਾਈ ਪੀਣ ਦੀ ਭੇਟ ਲਈ ਚੜ੍ਹਾਵੀਂ
021d29019c	ਤਾਂ ਤੂੰ ਦੂਜਾ ਲੇਲਾ ਸ਼ਾਮਾਂ ਦੇ ਵੇਲੇ ਚੜ੍ਹਾਵੀਂ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਸਵੇਰ ਦੇ ਮੈਦੇ ਦੀ ਭੇਟ ਅਨੁਸਾਰ ਅਤੇ ਉਸ ਦੀ ਪੀਣ ਦੀ ਭੇਟ ਅਨੁਸਾਰ ਯਹੋਵਾਹ ਲਈ ਸੁਗੰਧਤਾ ਦੀ ਇੱਕ ਅੱਗ ਦੀ ਭੇਟ ਕਰਕੇ ਚੜ੍ਹਾਈਂ।
021d2a0158	ਇਹ ਸਦਾ ਲਈ ਤੁਹਾਡੀਆਂ ਪੀੜ੍ਹੀਆਂ ਵਿੱਚ ਹੋਮ ਦੀ ਭੇਟ ਹੋਵੇ। ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੇ ਦਰਵਾਜ਼ੇ ਕੋਲ ਯਹੋਵਾਹ ਦੇ ਸਨਮੁਖ ਜਿੱਥੇ ਮੈਂ ਤੇਰੇ ਨਾਲ ਗੱਲ ਕਰਨ ਲਈ ਮਿਲਾਂਗਾ
021d2b00d7	ਅਤੇ ਉੱਥੇ ਮੈਂ ਇਸਰਾਏਲੀਆਂ ਨਾਲ ਮਿਲਾਂਗਾ ਅਤੇ ਉਹ ਤੰਬੂ ਮੇਰੇ ਪਰਤਾਪ ਨਾਲ ਪਵਿੱਤਰ ਕੀਤਾ ਜਾਵੇਗਾ।
021d2c014d	ਮੈਂ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਨੂੰ ਅਤੇ ਜਗਵੇਦੀ ਨੂੰ ਪਵਿੱਤਰ ਕਰਾਂਗਾ ਨਾਲੇ ਮੈਂ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਨੂੰ ਆਪਣੀ ਜਾਜਕਾਈ ਦੀ ਉਪਾਸਨਾ ਲਈ ਪਵਿੱਤਰ ਕਰਾਂਗਾ।
021d2d00a9	ਅਤੇ ਮੈਂ ਇਸਰਾਏਲ ਦੇ ਵਿਚਕਾਰ ਵੱਸਾਂਗਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹੋਵਾਂਗਾ
021d2e01a1	ਤਾਂ ਉਹ ਜਾਣਨਗੇ ਕਿ ਮੈਂ ਯਹੋਵਾਹ ਉਨ੍ਹਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ ਜਿਸ ਉਨ੍ਹਾਂ ਨੂੰ ਮਿਸਰ ਦੇਸ ਤੋਂ ਕੱਢ ਲਿਆਂਦਾ ਤਾਂ ਜੋ ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਵਿਚਕਾਰ ਵੱਸਾਂ। ਮੈਂ ਯਹੋਵਾਹ ਉਨ੍ਹਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ।
021e0100c9	ਤੂੰ ਧੂਪ ਧੁਖਾਉਣ ਲਈ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਈਂ ਅਤੇ ਤੂੰ ਉਹ ਨੂੰ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਤੋਂ ਬਣਾਈਂ।
021e020103	ਉਸ ਦੀ ਲੰਬਾਈ ਇੱਕ ਹੱਥ ਉਸ ਦੀ ਚੌੜਾਈ ਇੱਕ ਹੱਥ ਅਤੇ ਉਹ ਚੌਰਸ ਹੋਵੇ। ਉਸ ਦੀ ਉਚਾਈ ਦੋ ਹੱਥ ਅਤੇ ਉਸ ਦੇ ਸਿੰਙ ਉਸੇ ਤੋਂ ਹੋਣ।
021e030169	ਤੂੰ ਉਹ ਨੂੰ ਖ਼ਾਲਸ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹੀਂ ਅਰਥਾਤ ਉਹ ਦਾ ਉੱਪਰਲਾ ਪਾਸਾ ਅਤੇ ਉਹ ਦੇ ਚੁਫ਼ੇਰੇ ਦੇ ਪਾਸੇ ਅਤੇ ਉਹ ਦੇ ਸਿੰਙ, ਤੂੰ ਉਹ ਦੇ ਚੁਫ਼ੇਰੇ ਇੱਕ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਬਣਾਈਂ।
021e04014b	ਤੂੰ ਉਹ ਦੇ ਲਈ ਸੋਨੇ ਦੇ ਦੋ ਕੜੇ ਉਸ ਦੀ ਬਨੇਰੀ ਦੇ ਹੇਠ ਉਸ ਦੇ ਦੋਹਾਂ ਪੱਲਿਆਂ ਉੱਤੇ ਉਸ ਦੇ ਦੋਹੀਂ ਪਾਸੀਂ ਬਣਾਈਂ। ਉਹ ਉਸ ਦੇ ਚੁੱਕਣ ਲਈ ਚੋਬਾਂ ਦੇ ਥਾਂ ਹੋਣ।
021e0500b7	ਤੂੰ ਚੋਬਾਂ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦੀਆਂ ਬਣਾਈਂ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹੀਂ।
021e060159	ਤੂੰ ਉਹ ਨੂੰ ਪਰਦੇ ਦੇ ਅੱਗੇ ਜਿਹੜਾ ਸਾਖੀ ਦੇ ਸੰਦੂਕ ਦੇ ਕੋਲ ਹੈ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਦੇ ਅੱਗੇ ਜਿਹੜਾ ਸਾਖੀ ਉੱਤੇ ਹੈ ਰੱਖੀਂ ਜਿੱਥੇ ਮੈਂ ਤੇਰੇ ਨਾਲ ਮਿਲਾਂਗਾ।
021e0700f1	ਅਤੇ ਹਾਰੂਨ ਉਸ ਉੱਤੇ ਸੁਗੰਧੀ ਧੂਪ ਹਰ ਸਵੇਰੇ ਦੇ ਸਮੇਂ ਧੁਖਾਵੇ। ਜਦ ਉਹ ਦੀਵਿਆਂ ਨੂੰ ਸੁਆਰੇ ਤਦ ਉਹ ਇਹ ਧੁਖਾਵੇ।
021e080109	ਜਦ ਹਾਰੂਨ ਦੀਵਿਆਂ ਨੂੰ ਸ਼ਾਮ ਦੇ ਵੇਲੇ ਜਗਾਵੇ ਤਦ ਉਹ ਤੁਹਾਡੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਸਦਾ ਲਈ ਯਹੋਵਾਹ ਦੇ ਸਨਮੁਖ ਧੂਪ ਧੁਖਾਵੇ।
021e0900f4	ਤੁਸੀਂ ਉਸ ਉੱਤੇ ਨਾ ਓਪਰਾ ਧੂਪ ਨਾ ਹੋਮ ਦੀ ਬਲੀ ਨਾ ਮੈਦੇ ਦੀ ਭੇਟ ਚੜ੍ਹਾਇਓ ਅਤੇ ਨਾ ਉਸ ਉੱਤੇ ਪੀਣ ਦੀ ਭੇਟ ਡੋਲ੍ਹਿਓ
021e0a01e4	ਅਤੇ ਹਾਰੂਨ ਉਸ ਦੇ ਸਿੰਗਾਂ ਉੱਤੇ ਵਰ੍ਹੇ ਵਿੱਚ ਇੱਕ ਵਾਰੀ ਪ੍ਰਾਸਚਿਤ ਕਰੇ ਅਤੇ ਪ੍ਰਾਸਚਿਤ ਦੇ ਪਾਪ ਦੀ ਭੇਟ ਦੇ ਲਹੂ ਤੋਂ ਲੈ ਕੇ ਸਾਲ ਵਿੱਚ ਇੱਕ ਵਾਰ ਤੁਹਾਡੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਪ੍ਰਾਸਚਿਤ ਕਰੇ। ਇਹ ਯਹੋਵਾਹ ਲਈ ਬਹੁਤ ਪਵਿੱਤਰ ਹੈ।
021e0b0040	ਯਹੋਵਾਹ ਮੂਸਾ ਨੂੰ ਬੋਲਿਆ ਕਿ
021e0c020e	ਜਦ ਤੂੰ ਇਸਰਾਏਲੀਆਂ ਦੀ ਗਿਣਤੀ ਉਨ੍ਹਾਂ ਦੇ ਸ਼ੁਮਾਰ ਅਨੁਸਾਰ ਕਰੇਂ ਤਾਂ ਹਰ ਮਨੁੱਖ ਆਪਣੇ ਪ੍ਰਾਣਾਂ ਲਈ ਯਹੋਵਾਹ ਨੂੰ ਜਦ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਹੋਵੇ ਨਿਸਤਾਰੇ ਦਾ ਮੁੱਲ ਦੇਵੇ ਤਾਂ ਜੋ ਉਨ੍ਹਾਂ ਵਿੱਚ ਕੋਈ ਬਵਾ ਨਾ ਪਵੇ ਜਦ ਤੂੰ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਕਰੇਂ।
021e0d016b	ਸਾਰੇ ਜਿਹੜੇ ਗਿਣਿਆ ਹੋਇਆਂ ਵਿੱਚ ਰਲਣ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਸ਼ਕਲ ਅਨੁਸਾਰ ਅੱਧਾ ਸ਼ਕਲ ਦੇਣ (ਸ਼ਕਲ ਵਿੱਚ ਵੀਹ ਜੀਰੇ ਹਨ) ਸੋ ਇਹ ਅੱਠ ਆਨੇ ਯਹੋਵਾਹ ਲਈ ਚੁੱਕਣ ਦੀ ਭੇਟ ਹੋਵੇਗੀ।
021e0e00e1	ਸਾਰੇ ਜਿਹੜੇ ਗਿਣਿਆ ਹੋਇਆਂ ਵਿੱਚ ਰਲਣ ਵੀਹ ਸਾਲ ਦੇ ਅਤੇ ਉੱਤੇ ਦੇ ਹੋਣ ਯਹੋਵਾਹ ਨੂੰ ਚੁੱਕਣ ਦੀ ਭੇਟ ਦੇਣ।
021e0f0120	ਤਾਂ ਧਨੀ ਅੱਠ ਆਨੇ ਤੋਂ ਵੱਧ ਅਤੇ ਕੰਗਾਲ ਉਸ ਤੋਂ ਘੱਟ ਨਾ ਦੇਣ ਜਦ ਤੁਹਾਡੇ ਪ੍ਰਾਣਾਂ ਦੇ ਪ੍ਰਾਸਚਿਤ ਲਈ ਯਹੋਵਾਹ ਦੀ ਚੁੱਕਣ ਦੀ ਭੇਟ ਦੇਣ।
021e1001c2	ਸੋ ਤੂੰ ਇਸਰਾਏਲੀਆਂ ਤੋਂ ਪ੍ਰਾਸਚਿਤ ਦੀ ਚਾਂਦੀ ਲੈ ਕੇ ਉਹ ਨੂੰ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੇ ਕੰਮ ਲਈ ਵਰਤੀਂ ਅਤੇ ਉਹ ਇਸਰਾਏਲੀਆਂ ਲਈ ਯਹੋਵਾਹ ਅੱਗੇ ਇੱਕ ਯਾਦਗਿਰੀ ਹੋਵੇ ਤਾਂ ਜੋ ਤੁਹਾਡਿਆਂ ਪ੍ਰਾਣਾਂ ਲਈ ਪ੍ਰਾਸਚਿਤ ਹੋਵੇ।
021e110044	ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ ਕਿ
021e120166	ਤੂੰ ਧੋਣ ਲਈ ਪਿੱਤਲ ਦਾ ਇੱਕ ਹੌਦ ਅਤੇ ਉਹ ਦੇ ਲਈ ਪਿੱਤਲ ਦੀ ਇੱਕ ਚੌਂਕੀ ਬਣਾਈਂ ਅਤੇ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਅਤੇ ਜਗਵੇਦੀ ਦੇ ਵਿਚਕਾਰ ਉਹ ਨੂੰ ਰੱਖੀਂ ਅਤੇ ਉਸ ਵਿੱਚ ਪਾਣੀ ਭਰੀਂ।
021e130076	ਉਸ ਵਿੱਚ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰ ਆਪਣੇ ਹੱਥ-ਪੈਰ ਧੋਣ
021e140140	ਜਦ ਉਹ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਵਿੱਚ ਅਥਵਾ ਜਦ ਉਹ ਜਗਵੇਦੀ ਦੇ ਨੇੜੇ ਉਪਾਸਨਾ ਲਈ ਆਉਣ ਕਿ ਯਹੋਵਾਹ ਲਈ ਅੱਗ ਦੀ ਭੇਟ ਧੁਖਾਉਣ ਤਾਂ ਪਾਣੀ ਨਾਲ ਧੋਣ ਕਿ ਉਹ ਨਾ ਮਰਨ।
021e150140	ਉਹ ਆਪਣੇ ਹੱਥ-ਪੈਰ ਧੋਣ ਕਿ ਉਹ ਨਾ ਮਰਨ ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਲਈ ਸਦਾ ਦੀ ਬਿਧੀ ਹੋਵੇ ਅਰਥਾਤ ਉਸ ਲਈ ਅਤੇ ਉਸ ਦੀ ਅੰਸ ਲਈ ਉਨ੍ਹਾਂ ਦੀ ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ ਤੱਕ।
021e16004e	ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ ਕਿ
021e170150	ਤੂੰ ਵਧੀਆ ਮਸਾਲਾ ਲਵੀਂ ਅਰਥਾਤ ਪਤਲਾ ਮੁਰ ਪੰਜ ਸੌ ਸ਼ਕਲ ਅਤੇ ਸੁਗੰਧ ਲਈ ਦਾਲਚੀਨੀ ਉਸ ਤੋਂ ਅੱਧੀ ਅਰਥਾਤ ਢਾਈ ਸੌ ਸ਼ਕਲ ਅਤੇ ਸੁਗੰਧ ਵਾਲੀ ਕੁਸ਼ਾ ਢਾਈ ਸੌ ਸ਼ਕਲ
021e1800ba	ਅਤੇ ਤੱਜ ਪੰਜ ਸੌ ਸ਼ਕਲ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਸ਼ਕਲ ਅਨੁਸਾਰ ਅਤੇ ਜ਼ੈਤੂਨ ਦਾ ਤੇਲ ਇੱਕ ਹੀਨ
021e190138	ਅਤੇ ਤੂੰ ਉਹ ਨੂੰ ਮਸਹ ਕਰਨ ਦਾ ਪਵਿੱਤਰ ਤੇਲ ਗਾਂਧੀ ਦੀ ਕਾਰੀਗਰੀ ਅਤੇ ਮਿਲੀਆਂ ਹੋਈਆਂ ਸੁਗੰਧਾਂ ਨਾਲ ਬਣਾਈਂ। ਉਹ ਇੱਕ ਮਲਣ ਦਾ ਪਵਿੱਤਰ ਤੇਲ ਹੋਵੇ।
021e1a0090	ਤੂੰ ਉਸ ਨਾਲ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਨੂੰ ਅਤੇ ਸਾਖੀ ਦੇ ਸੰਦੂਕ ਨੂੰ ਮਲੀਂ।
021e1b00fd	ਨਾਲੇ ਮੇਜ਼ ਨੂੰ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਸਮਾਨ ਨੂੰ ਅਤੇ ਸ਼ਮਾਦਾਨ ਨੂੰ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਸਮਾਨ ਨੂੰ ਅਤੇ ਧੂਪ ਦੀ ਜਗਵੇਦੀ ਨੂੰ
021e1c00bc	ਅਤੇ ਹੋਮ ਦੀ ਜਗਵੇਦੀ ਨੂੰ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਸਮਾਨ ਨੂੰ ਅਤੇ ਹੌਦ ਅਤੇ ਉਸ ਦੀ ਚੌਂਕੀ ਨੂੰ।
021e1d00ec	ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਪਵਿੱਤਰ ਕਰੀਂ ਕਿ ਉਹ ਬਹੁਤ ਪਵਿੱਤਰ ਹੋਣ ਅਤੇ ਜੋ ਕੁਝ ਉਨ੍ਹਾਂ ਨੂੰ ਲੱਗੇ ਪਵਿੱਤਰ ਹੋਵੇਗਾ।
021e1e00f2	ਤਾਂ ਤੂੰ ਹਾਰੂਨ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਨੂੰ ਮਸਹ ਕਰ ਕੇ ਪਵਿੱਤਰ ਕਰੀਂ ਤਾਂ ਜੋ ਉਹ ਮੇਰੀ ਜਾਜਕਾਈ ਦੀ ਉਪਾਸਨਾ ਕਰਨ।
021e1f00e2	ਅਤੇ ਤੂੰ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਆਖੀਂ ਕਿ ਇਹ ਮਲਣ ਦਾ ਪਵਿੱਤਰ ਤੇਲ ਮੇਰੇ ਲਈ ਤੁਹਾਡੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਹੋਵੇ।
021e200153	ਇਹ ਆਦਮੀ ਦੇ ਪਿੰਡੇ ਉੱਤੇ ਨਹੀਂ ਲਾਈਦਾ ਅਤੇ ਉਸ ਦੀ ਸਮੱਗਰੀ ਤੋਂ ਹੋਰ ਕਿਸੇ ਪ੍ਰਕਾਰ ਦਾ ਤੇਲ ਤੁਸੀਂ ਨਾ ਬਣਾਇਓ। ਇਹ ਪਵਿੱਤਰ ਹੈ ਅਤੇ ਤੁਹਾਡੇ ਲਈ ਪਵਿੱਤਰ ਰਹੇ।
021e2100ff	ਜਿਹੜਾ ਮਨੁੱਖ ਉਸ ਵਰਗੀ ਮਿਲਾਵਟ ਕਰੇ ਅਤੇ ਉਸ ਵਿੱਚੋਂ ਕਿਸੇ ਓਪਰੇ ਉੱਤੇ ਚੋਵੇ ਉਹ ਆਪਣੇ ਲੋਕਾਂ ਵਿੱਚੋਂ ਛੇਕਿਆ ਜਾਵੇ।
021e22012c	ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਆਪਣੇ ਲਈ ਮੁਰ ਵਾਲਾ ਮਸਾਲਾ ਲਈਂ ਅਰਥਾਤ ਮੁਰ ਮਸਤਕੀ ਅਤੇ ਲੌਨ ਅਤੇ ਖ਼ਾਲਸ ਲੁਬਾਨ - ਇਹ ਇੱਕੋ ਵਜ਼ਨ ਦੇ ਹੋਣ।
021e2300d5	ਤੂੰ ਉਹ ਨੂੰ ਸੁਗੰਧ ਵਾਲੀ ਧੂਪ ਗਾਂਧੀ ਦੀ ਕਾਰੀਗਰੀ ਦੀ ਬਣਾਈਂ। ਸਲੂਣੀ ਨਿਰੋਲ ਅਤੇ ਪਵਿੱਤਰ ਹੋਵੇ।
021e24016f	ਤੂੰ ਉਸ ਵਿੱਚੋਂ ਕੁਝ ਬਹੁਤ ਮਹੀਨ ਪੀਹ ਕੇ ਉਹ ਨੂੰ ਸਾਖੀ ਦੇ ਸੰਦੂਕ ਅੱਗੇ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਵਿੱਚ ਰੱਖੀਂ ਜਿੱਥੇ ਮੈਂ ਤੈਨੂੰ ਮਿਲਾਂਗਾ। ਇਹ ਤੁਹਾਡੇ ਲਈ ਬਹੁਤ ਪਵਿੱਤਰ ਹੋਵੇ।
