010000000c	Ӂенеза
012a0500d9	Фиий луй Исраел ау венит сэ кумпере ши ей грыу, ымпреунэ ку чей че веняу пентру ачелашь лукру, кэч ын Канаан ера фоамете.
012a0600f7	Иосиф ера май-маре ын царэ; ел виндя грыу ла тот попорул дин царэ. Фраций луй Иосиф ау венит ши с-ау арункат ку фаца ла пэмынт ынаинтя луй.
012a070155	Иосиф, кум а вэзут пе фраций сэй, й-а куноскут, дар с-а фэкут кэ ле есте стрэин, ле-а ворбит аспру ши ле-а зис: „Де унде вениць?” Ей ау рэспунс: „Веним дин цара Канаан ка сэ кумпэрэм меринде.”
012a080063	Иосиф а куноскут пе фраций сэй, дар ей ну л-ау куноскут.
012a090122	Иосиф шь-а адус аминте де виселе пе каре ле висасе ку привире ла ей ши ле-а зис: „Вой сунтець искоаде; аць венит нумай ка сэ черчетаць локуриле слабе але цэрий.”
012a0a007c	Ей й-ау рэспунс: „Ну, домнул меу, робий тэй ау венит сэ кумпере хранэ.
012a0b009a	Ной тоць сунтем фиий ачелуяшь ом; сунтем оамень де трябэ, робий тэй ну сунт искоаде.”
012a0c007e	Ел ле-а зис: „Ба ну, аць венит сэ черчетаць локуриле слабе але цэрий.”
012a0d0132	Ей ау рэспунс: „Ной, робий тэй, сунтем дойспрезече фраць, фий ай ачелуяшь ом, дин цара Канаан; ши, ятэ, чел май тынэр есте азь ку татэл ностру, яр унул ну май есте ын вяцэ.”
012a0e0052	Иосиф ле-а зис: „В-ам спус кэ сунтець искоаде.
012a0f00c2	Ятэ кум вець фи ынчеркаць. Пе вяца луй Фараон кэ ну вець еши де аич пынэ ну ва вени фрателе востру чел тынэр!
012a10019d	Тримитець пе унул дин вой сэ адукэ пе фрателе востру, яр вой рэмынець ла опрялэ. Кувинтеле воастре вор фи пусе астфел ла ынчеркаре ши вой шти дакэ адевэрул есте ку вой сау ну; алтфел, пе вяца луй Фараон кэ сунтець ниште искоаде.”
012a11004e	Ши й-а арункат пе тоць трей зиле ын темницэ.
012a120097	А трея зи, Иосиф ле-а зис: „Фачець лукрул ачеста, ши вець трэи. Еу мэ тем де Думнезеу!
012a13010b	Дакэ сунтець оамень де трябэ, сэ рэмынэ унул дин фраций воштри ынкис ын темница воастрэ, яр чейлалць плекаць, луаць грыу ка сэ вэ хрэниць фамилииле
012a140102	ши адучеци-мь пе фрателе востру чел тынэр, пентру ка ворбеле воастре сэ фие пусе астфел ла ынчеркаре ши сэ скэпаць де моарте.” Ши аша ау фэкут.
012a150161	Ей ау зис атунч унул кэтре алтул: „Да, ам фост виноваць фацэ де фрателе ностру, кэч ам вэзут нелиништя суфлетулуй луй кынд не руга, ши ну л-ам аскултат! Пентру ачея вине песте ной неказул ачеста.”
012a160146	Рубен а луат кувынтул ши ле-а зис: „Ну вэ спуням еу сэ ну фачець о астфел де нелеӂюире фацэ де бэятул ачеста? Дар н-аць аскултат. Акум ятэ кэ ни се чере сокотялэ пентру сынӂеле луй.”
012a170079	Ей ну штияу кэ Иосиф ый ынцелеӂя, кэч ворбя ку ей принтр-ун тэлмачь.
012a180113	Иосиф а плекат ла о парте де ла ей ка сэ плынгэ. Ын урмэ с-а ынторс ши ле-а ворбит, апой а луат динтре ей пе Симеон ши а пус сэ-л леӂе ку ланцурь ын фаца лор.
012a1900f6	Иосиф а порунчит сэ ли се умпле сачий ку грыу, сэ пунэ арӂинтул фиекэруя ын сакул луй ши сэ ли се дя меринде пентру друм. Ши аша с-а фэкут.
012a1a0054	Ей шь-ау ынкэркат грыул пе мэгарь ши ау плекат.
012a1b00e7	Унул динтре ей шь-а дескис сакул ка сэ дя нутрец мэгарулуй ын локул унде ау рэмас песте ноапте. А вэзут арӂинтул ла гура сакулуй
012a1c011f	ши а зис фрацилор сэй: „Арӂинтул меу ми с-а дат ынапой ши ятэ-л ын сакул меу.” Атунч ли с-а тэят инима ши ау зис унул алтуя, тремурынд: „Че не-а фэкут Думнезеу?”
012a1d00b1	С-ау ынторс ла татэл лор Иаков, ын цара Канаан, ши й-ау историсит тот че ли се ынтымпласе. Ей ау зис:
012a1e0093	„Омул ачела, каре есте домнул цэрий, не-а ворбит аспру ши не-а луат дрепт искоаде.
012a1f0068	Ной й-ам спус: ‘Сунтем оамень де трябэ, ну сунтем искоаде.
012a2000e1	Сунтем дойспрезече фраць, фий ай татэлуй ностру; унул ну май есте, ши чел май тынэр есте азь ку татэл ностру ын цара Канаан.’
012a210157	Ши омул ачела, каре есте домнул цэрий, не-а зис: ‘Ятэ кум вой куноаште дакэ сунтець оамень де трябэ. Лэсаць ла мине пе унул дин фраций воштри, луаць меринде пентру фамилииле воастре, плекаць
012a220157	ши адучеци-мь пе фрателе востру чел тынэр. Вой шти астфел кэ ну сунтець искоаде, чи сунтець оамень де трябэ; апой вэ вой да ынапой пе фрателе востру ши вець путя сэ стрэбатець цара ын вое.’”
012a2300fc	Кынд шь-ау голит сачий, ятэ кэ легэтура ку арӂинтул фиекэруя ера ын сакул луй. Ей ши татэл лор ау вэзут легэтуриле ку арӂинтул ши с-ау темут.
012a240116	Татэл лор Иаков ле-а зис: „Вой мэ липсиць де копий: Иосиф ну май есте, Симеон ну май есте ши воиць сэ луаць ши пе Бениамин. Тоате ачестя пе мине мэ ловеск!”
012a2500fb	Рубен а зис татэлуй сэу: „Сэ-мь оморь пе амындой фиий мей дакэ ну-ць вой адуче ынапой пе Бениамин; дэ-л ын мына мя ши ци-л вой адуче ынапой.”
012a2601af	Иаков а зис: „Фиул меу ну се поате коборы ымпреунэ ку вой; кэч фрателе луй а мурит ши ел а рэмас сингур; дакэ и с-ар ынтымпла врео ненорочире ын кэлэтория пе каре о фачець, ку дурере ымь вець коборы перий мей чей албь ын Локуинца морцилор.”
012b010033	Фоаметя бынтуя греу ын царэ.
012b0200f5	Кынд ау испрэвит де мынкат грыул пе каре-л адусесерэ дин Еӂипт, Иаков а зис фиилор сэй: „Дучеци-вэ ярэшь ши кумпэраци-не чева меринде.”
012b0300c5	Иуда й-а рэспунс: „Омул ачела не-а спус курат: ‘Сэ ну-мь май ведець фаца дакэ фрателе востру ну ва фи ку вой.’
012b0400a3	Дакэ врей деч сэ тримиць пе фрателе ностру ку ной, не вом коборы ши-ць вом кумпэра меринде.
012b0500f8	Дар, дакэ ну врей сэ-л тримиць, ну не вом коборы, кэч омул ачела не-а спус: ‘Сэ ну-мь май ведець фаца дакэ фрателе востру ну ва фи ку вой!’”
012b0600c6	Исраел а зис атунч: „Пентру че мь-аць фэкут ун астфел де рэу ши аць спус омулуй ачелуя кэ май авець ун фрате?”
012b0701ad	Ей ау рэспунс: „Омул ачела не-а ынтребат деспре ной ши фамилия ноастрэ ши а зис: ‘Май трэеште татэл востру? Май авець вреун фрате?’ Ши ной ам рэспунс ла ынтребэриле ачестя. Путям ной сэ штим кэ аре сэ зикэ: ‘Адучець пе фрателе востру’?”
012b0800f7	Иуда а зис татэлуй сэу Исраел: „Тримите копилул ку мине, ка сэ не скулэм ши сэ плекэм, ши вом трэи ши ну вом мури, ной, ту ши копиий ноштри.
012b090129	Рэспунд еу пентру ел; ай сэ-л черь ынапой дин мына мя. Дакэ ну-л вой адуче ынапой ла тине ши дакэ ну-л вой пуне ынаинтя та, виноват сэ фиу фацэ де тине пентру тотдяуна.
012b0a007b	Кэч, дакэ н-ам май фи зэбовит, де доуэ орь не-ам фи ынторс пынэ акум.”
012b0b01a4	Исраел, татэл лор, ле-а зис: „Фииндкэ требуе, фачець аша. Луаци-вэ ын сачь чева дин челе май буне роаде але цэрий, ка сэ дучець ун дар омулуй ачелуя, ши ануме: пуцин ляк алинэтор ши пуцинэ мьере, миродений, смирнэ, фистикурь ши мигдале.
012b0c00d4	Луаць ку вой арӂинт ындоит ши дучець ынапой арӂинтул пе каре ви-л пусесерэ ла гура сачилор: поате кэ а фост о грешялэ.
012b0d007e	Луаць ши пе фрателе востру, скулаци-вэ ши ынтоарчеци-вэ ла омул ачела.
012b0e019e	Думнезеул чел Атотпутерник сэ вэ факэ сэ кэпэтаць тречере ынаинтя омулуй ачелуя ши сэ ласе сэ се ынтоаркэ ымпреунэ ку вой пе челэлалт фрате ал востру ши пе Бениамин! Яр еу, дакэ требуе сэ фиу липсит де копиий мей, липсит сэ фиу!”
012b0f00f4	Ау луат дарул; ау луат ку ей арӂинт ындоит, прекум ши пе Бениамин; с-ау скулат, с-ау коборыт ын Еӂипт ши с-ау ынфэцишат ынаинтя луй Иосиф.
012b100126	Кум а вэзут Иосиф пе Бениамин ку ей, а зис економулуй сэу: „Багэ пе оамений ачештя ын касэ, тае вите ши гэтеште, кэч оамений ачештя ау сэ мэнынче ку мине ла амязэ.”
012b110094	Омул ачела а фэкут че-й порунчисе Иосиф ши а дус пе оамений ачея ын каса луй Иосиф.
012b120191	Ей с-ау темут кынд ау вэзут кэ-й багэ ын каса луй Иосиф ши ау зис: „Не багэ ынэунтру дин причина арӂинтулуй пус ын сачий ноштри дата трекутэ; вор сэ се нэпустяскэ песте ной ка сэ не я робь ши сэ пунэ мына пе мэгарий ноштри.”
012b130093	С-ау апропият де економул касей луй Иосиф ши ау интрат ын ворбэ ку ел ла уша касей
012b14008a	ши ау зис: „Домнуле, ной не-ам май коборыт о датэ аич, ка сэ кумпэрэм меринде.
012b15016d	Апой, кынд ам ажунс ла локул унде требуя сэ рэмынем песте ноапте, не-ам дескис сачий ши ятэ кэ арӂинтул фиекэруя ера ла гура сакулуй сэу – арӂинтул ностру, дупэ греутатя луй – ши л-ам адус ынапой ку ной.
012b1600a5	Ам адус ши алт арӂинт, ка сэ кумпэрэм меринде. Ну штим чине а пус арӂинтул ын сачий ноштри.”
012b170176	Економул а рэспунс: „Фиць пе паче! Ну вэ темець де нимик. Думнезеул востру, Думнезеул татэлуй востру, в-а пус пе аскунс о комоарэ ын сачь. Арӂинтул востру а трекут прин мыниле меле.” Ши ле-а адус ши пе Симеон.
012b1800c4	Омул ачеста й-а бэгат ын каса луй Иосиф; ле-а дат апэ де шь-ау спэлат пичоареле; а дат ши нутрец мэгарилор лор.
012b1900aa	Ей шь-ау прегэтит дарул пынэ ла вениря луй Иосиф, ла амязэ, кэч афласерэ кэ ау сэ мэнынче ла ел.
012b1a00c1	Кынд а ажунс Иосиф акасэ, й-ау дат дарул пе каре и-л адусесерэ ши с-ау арункат ку фаца ла пэмынт ынаинтя луй.
012b1b00c2	Ел й-а ынтребат де сэнэтате ши а зис: „Бэтрынул востру татэ, де каре аць ворбит, есте сэнэтос? Май трэеште?”
012b1c00d4	Ей ау рэспунс: „Робул тэу, татэл ностру, есте сэнэтос; трэеште ынкэ.” Ши с-ау плекат ши с-ау арункат ку фаца ла пэмынт.
012b1d017f	Иосиф а ридикат окий ши, арункынд о привире спре фрате-сэу Бениамин, фиул мамей сале, а зис: „Ачеста есте фрателе востру чел тынэр деспре каре мь-аць ворбит?” Ши а адэугат: „Думнезеу сэ айбэ милэ де тине, фиуле!”
012b1e00f3	Иосиф а испрэвит репеде, кэч и се рупя инима пентру фрателе сэу ши симця невоя сэ плынгэ; а интрат деграбэ ынтр-о одае ши а плынс аколо.
012b1f00ba	Дупэ че с-а спэлат пе фацэ, а ешит дин одае ши, силинду-се сэ се стэпыняскэ, а зис: „Адучець де мынкаре!”
012b20019c	Ау адус де мынкаре луй Иосиф деопарте ши фрацилор луй деопарте; еӂиптенилор каре мынкау ку ел ле-ау адус, де асеменя, мынкаре деопарте, кэч еӂиптений ну путяу сэ мэнынче ку евреий, фииндкэ лукрул ачеста пентру ей есте о урычуне.
012b21014d	Фраций луй Иосиф с-ау ашезат ла масэ ын фаца луй: де ла ынтыюл нэскут, дупэ дрептул луй де ынтый нэскут, ши пынэ ла чел май тынэр, ашезаць дупэ вырстэ; ши се уйтау уний ла алций ку мираре.
012b220119	Иосиф а пус сэ ле дя дин букателе каре ерау ынаинтя луй, яр Бениамин а кэпэтат де чинч орь май мулт декыт чейлалць. Ши ау бэут ши с-ау веселит ымпреунэ ку ел.
012c010129	Иосиф а дат урмэтоаря порункэ економулуй касей луй: „Умпле ку меринде сачий оаменилор ачестора кыт вор путя сэ дукэ ши пуне арӂинтул фиекэруя ла гура сакулуй сэу.
012c020138	Сэ пуй ши пахарул меу, пахарул де арӂинт, ла гура сакулуй челуй май тынэр, ымпреунэ ку арӂинтул кувенит пентру прецул грыулуй луй.” Економул а фэкут кум ый порунчисе Иосиф.
012c0300a4	Диминяца, кум с-а крэпат де зиуэ, ау дат друмул оаменилор ачестора ымпреунэ ку мэгарий лор.
012c040171	Дар абя ешисерэ дин четате ши ну се депэртасерэ делок де еа, кынд Иосиф а зис економулуй сэу: „Скоалэ-те, аляргэ дупэ оамений ачея ши, кынд ый вей ажунӂе, сэ ле спуй: ‘Пентру че аць рэсплэтит бинеле ку рэу?
012c0500de	Де че аць фурат пахарул дин каре бя домнул меу ши де каре се служеште пентру гичит? Рэу аць фэкут кэ в-аць пуртат астфел.’”
012c060054	Економул й-а ажунс ши ле-а спус ачесте кувинте.
012c0700d5	Ей й-ау рэспунс: „Домнуле, пентру че ворбешть астфел? Сэ феряскэ Думнезеу пе робий тэй сэ фи сэвыршит о асеменя фаптэ!
012c080113	Ятэ, ной ць-ам адус дин цара Канаанулуй арӂинтул пе каре л-ам гэсит ла гура сачилор ноштри. Кум ам фи путут сэ фурэм арӂинт сау аур дин каса домнулуй тэу?
012c0900be	Сэ моарэ ачела динтре робий тэй ла каре се ва гэси пахарул ши ной ыншине сэ фим робь ай домнулуй ностру!”
012c0a00d2	Ел а зис: „Фие дупэ кувинтеле воастре! Ачела ла каре се ва гэси пахарул сэ фие робул меу, яр вой вець фи невиноваць.”
012c0b0081	Ындатэ, шь-а коборыт фиекаре сакул ла пэмынт. Фиекаре шь-а дескис сакул.
012c0c00e7	Економул й-а скоточит, ынчепынд ку чел май ын вырстэ ши сфыршинд ку чел май тынэр, ши пахарул а фост гэсит ын сакул луй Бениамин.
012c0d008b	Ей шь-ау рупт хайнеле, шь-а ынкэркат фиекаре мэгарул ши с-ау ынторс ын четате.
012c0e00d2	Иуда ши фраций луй ау ажунс ла каса луй Иосиф пе кынд ера ел ынкэ аколо ши с-ау арункат ку фаца ла пэмынт ынаинтя луй.
012c0f0099	Иосиф ле-а зис: „Че фаптэ аць фэкут? Ну штиць кэ ун ом ка мине аре путере сэ гичаскэ?”
012c100181	Иуда а рэспунс: „Че сэ май спунем домнулуй ностру? Кум сэ май ворбим? Кум сэ не май ындрептэцим? Думнезеу а дат пе фацэ нелеӂюиря робилор тэй. Ятэ-не робь ай домнулуй ностру: ной ши ачела ла каре с-а гэсит пахарул.”
012c110114	Дар Иосиф а зис: „Сэ мэ феряскэ Думнезеу сэ фак аша чева! Омул ла каре с-а гэсит пахарул ва фи робул меу, дар вой суици-вэ ынапой ын паче ла татэл востру.”
012c120127	Атунч, Иуда с-а апропият де Иосиф ши а зис: „Те рог, домнул меу, дэ вое робулуй тэу сэ спунэ о ворбэ домнулуй меу ши сэ ну те мыний пе робул тэу! Кэч ту ешть ка Фараон.
012c1300af	Домнул меу а ынтребат пе робий сэй, зикынд: ‘Май трэеште татэл востру ши май авець вреун фрате?’
012c14017c	Ной ам рэспунс домнулуй меу: ‘Авем ун татэ бэтрын ши ун фрате тынэр, копил фэкут ла бэтрынеця луй; бэятул ачеста авя ун фрате каре а мурит ши каре ера де ла ачеяшь мамэ; ел а рэмас сингур ши татэл луй ыл юбеште.’
012c150079	Ту ай спус робилор тэй: ‘Адучеци-л ла мине ка сэ-л вэд ку окий мей.’
012c1600c4	Ной ам рэспунс домнулуй меу: ‘Бэятул ну поате пэрэси пе татэл сэу; дакэ-л ва пэрэси, татэл сэу аре сэ моарэ.’
012c1700c0	Ту ай спус робилор тэй: ‘Дакэ ну се ва коборы ши фрателе востру ымпреунэ ку вой, сэ ну-мь май ведець фаца.’
012c180083	Кынд не-ам суит ла татэл меу, робул тэу, й-ам спус кувинтеле домнулуй меу.
012c19007b	Татэл ностру а зис: ‘Дучеци-вэ ярэшь сэ не кумпэраць чева меринде.’
012c1a014f	Ной ам рэспунс: ‘Ну путем сэ не дучем, дар, дакэ фрателе ностру чел тынэр ва фи ку ной, не вом дуче, кэч ну путем ведя фаца омулуй ачелуя декыт дакэ фрателе ностру чел тынэр ва фи ку ной.’
012c1b008d	Робул тэу, татэл ностру, не-а зис: ‘Вой штиць кэ невастэ-мя мь-а нэскут дой фий.
012c1c00b4	Унул а ешит де ла мине ши кред кэ а фост сфышият, негрешит, де фяре, кэч ну л-ам май вэзут пынэ астэзь.
012c1d00e9	Дакэ-мь май луаць ши пе ачеста ши и се ва ынтымпла врео ненорочире, ку дурере ымь вець коборы бэтрынециле ын Локуинца морцилор.’
012c1e00e2	Акум, дакэ мэ вой ынтоарче ла робул тэу, татэл меу, фэрэ сэ авем ку ной бэятул де суфлетул кэруя есте недезлипит суфлетул луй,
012c1f00fe	ел аре сэ моарэ кынд ва ведя кэ бэятул ну есте, ши робий тэй вор коборы ку дурере ын Локуинца морцилор бэтрынециле робулуй тэу, татэл ностру.
012c20010d	Кэч робул тэу с-а пус кезаш пентру копил ши а зис татэлуй меу: ‘Дакэ ну-л вой адуче ынапой ла тине, виноват сэ фиу пентру тотдяуна фацэ де татэл меу.’
012c2100e1	Ынгэдуе дар, те рог, робулуй тэу сэ рэмынэ ын локул бэятулуй, ка роб ал домнулуй меу, яр бэятул сэ се суе ынапой ку фраций сэй.
012c2200b1	Кум мэ вой путя суи еу ла татэл меу дакэ бэятул ну есте ку мине? Ах! сэ ну вэд мыхниря татэлуй меу!”
012d01014f	Иосиф ну с-а май путут стэпыни ынаинтя тутурор челор че-л ынконжурау. Ши а стригат: „Скоатець афарэ пе тоатэ лумя.” Ши н-а май рэмас нимень ку Иосиф кынд с-а фэкут куноскут фрацилор сэй.
012d020090	А избукнит ынтр-ун плынс аша де таре, кэ л-ау аузит еӂиптений ши каса луй Фараон.
012d03010a	Иосиф а зис фрацилор сэй: „Еу сунт Иосиф! Май трэеште татэл меу?” Дар фраций луй ну й-ау путут рэспунде, аша де ынкремениць рэмэсесерэ ынаинтя луй.
012d040115	Иосиф а зис фрацилор сэй: „Апропияци-вэ де мине.” Ши ей с-ау апропият. Ел а зис: „Еу сунт фрателе востру Иосиф, пе каре л-аць вындут ка сэ фие дус ын Еӂипт.
012d0500f3	Акум, ну вэ ынтристаць ши ну фиць мыхниць кэ м-аць вындут ка сэ фиу адус аич, кэч ка сэ вэ скап вяца м-а тримис Думнезеу ынаинтя воастрэ.
012d0600b1	Ятэ, сунт дой ань де кынд бынтуе фоаметя ын царэ ши ынкэ чинч ань ну ва фи нич арэтурэ, нич сечериш.
012d0700da	Думнезеу м-а тримис ынаинтя воастрэ ка сэ вэ рэмынэ сэмынца вие ын царэ ши ка сэ вэ пэстрезе вяца принтр-о маре избэвире.
012d080110	Аша кэ ну вой м-аць тримис аич, чи Думнезеу; Ел м-а фэкут ка ун татэ ал луй Фараон, стэпын песте тоатэ каса луй ши кырмуиторул ынтреӂий цэрь а Еӂиптулуй.
012d090112	Грэбици-вэ де вэ суиць ла татэл меу ши спунеци-й: ‘Аша а ворбит фиул тэу Иосиф: «Думнезеу м-а пус домн песте тот Еӂиптул; кобоарэ-те ла мине ши ну зэбови!
012d0a00dd	Вей локуи ын цинутул Госен ши вей фи лынгэ мине, ту, фиий тэй ши фиий фиилор тэй, оиле тале ши боий тэй ши тот че есте ал тэу.
012d0b00d1	Аколо те вой хрэни, кэч вор май фи ынкэ чинч ань де фоамете, ши астфел ну вей пери ту, каса та ши тот че есте ал тэу.»’
012d0c00a4	Вой ведець ку окий воштри ши фрателе меу Бениамин веде ку окий луй кэ еу ынсумь вэ ворбеск.
012d0d00da	Историсиць татэлуй меу тоатэ слава пе каре о ам ын Еӂипт ши тот че аць вэзут ши адучець аич кыт май курынд пе татэл меу.”
012d0e00ac	Ел с-а арункат де гытул фрателуй сэу Бениамин ши а плынс, ши Бениамин а плынс ши ел де гытул луй.
012d0f00b2	А ымбрэцишат, де асеменя, пе тоць фраций луй, плынгынд. Дупэ ачея, фраций луй ау стат де ворбэ ку ел.
012d1000de	С-а рэспындит вестя ын каса луй Фараон кэ ау венит фраций луй Иосиф; лукрул ачеста а плэкут луй Фараон ши служиторилор луй.
012d1100d9	Фараон а зис луй Иосиф: „Спуне фрацилор тэй: ‘Ятэ че сэ фачець: Ынкэркаци-вэ добитоачеле ши плекаць ын цара Канаанулуй,
012d1200f9	луаць пе татэл востру ши фамилииле воастре ши вениць ла мине. Еу вэ вой да че есте май бун ын цара Еӂиптулуй ши вець мынка грэсимя цэрий.’
012d13011d	Ай порункэ сэ ле спуй: ‘Аша сэ фачець! Луаци-вэ дин цара Еӂиптулуй каре пентру прунчий воштри ши пентру невестеле воастре; адучець пе татэл востру ши вениць.
012d1400b2	Сэ ну вэ парэ рэу де чея че вець лэса, кэч тот че есте май бун ын цара Еӂиптулуй ва фи пентру вой.’”
012d1500bf	Фиий луй Исраел ау фэкут аша. Иосиф ле-а дат каре, дупэ порунка луй Фараон; ле-а дат ши меринде пентру друм.
012d1600c0	Ле-а дат ла тоць хайне де скимб, яр луй Бениамин й-а дат трей суте де сикли де арӂинт ши чинч хайне де скимб.
012d17010e	Татэлуй сэу й-а тримис зече мэгарь ынкэркаць ку че ера май бун ын Еӂипт ши зече мэгэрице ынкэркате ку грыу, пыне ши меринде, пентру ка сэ айбэ пе друм.
012d18009c	Апой а дат друмул фрацилор сэй, каре ау плекат, ши ле-а зис: „Сэ ну вэ чертаць пе друм.”
012d190080	Ей ау ешит дин Еӂипт ши ау ажунс ын цара Канаанулуй, ла татэл лор Иаков.
012d1a00f2	Ши й-ау спус: „Иосиф тот май трэеште ши кяр ел кырмуеште тоатэ цара Еӂиптулуй.” Дар инима луй Иаков а рэмас рече, пентру кэ ну-й кредя.
012d1b0103	Кынд й-ау историсит ынсэ тот че ле спусесе Иосиф ши а вэзут кареле пе каре ле тримисесе Иосиф ка сэ-л дукэ, духул татэлуй лор Иаков с-а ынвиорат.
012d1c00b4	Ши Исраел а зис: „Дестул! Фиул меу Иосиф тот май трэеште! Вряу сэ мэ дук сэ-л вэд ынаинте де моарте.”
012e0100b1	Исраел а плекат ку тот че авя. А ажунс ла Беер-Шеба ши а адус жертфе Думнезеулуй татэлуй сэу Исаак.
012e0200c1	Думнезеу а ворбит луй Исраел ынтр-о ведение ноаптя ши а зис: „Иакове! Иакове!” Исраел а рэспунс: „Ятэ-мэ!”
012e0300f7	Ши Думнезеу а зис: „Еу сунт Думнезеу, Думнезеул татэлуй тэу. Ну те теме сэ те коборь ын Еӂипт, кэч аколо те вой фаче сэ ажунӂь ун ням маре.
012e0400ca	Еу Ынсумь Мэ вой коборы ку тине ын Еӂипт ши Еу Ынсумь те вой скоате ярэшь де аколо, яр Иосиф ыць ва ынкиде окий.”
012e050113	Иаков а пэрэсит Беер-Шеба ши фиий луй Исраел ау пус пе татэл лор Иаков, ку копилаший ши невестеле лор, ын кареле пе каре ле тримисесе Фараон ка сэ-л дукэ.
012e0600dd	Шь-ау луат ши турмеле, ши авериле пе каре ле агонисисерэ ын цара Канаанулуй. Ши Иаков с-а дус ын Еӂипт ку тоатэ фамилия луй.
012e0700d6	А луат ку ел ын Еӂипт пе фиий луй ши пе фиий фиилор луй, пе фийчеле луй ши пе фийчеле фиилор луй ши пе тоатэ фамилия луй.
012e0800bd	Ятэ нумеле фиилор луй Исраел каре ау венит ын Еӂипт. Иаков ши фиий луй. Ынтыюл нэскут ал луй Иаков: Рубен.
012e09004d	Фиий луй Рубен: Енох, Палу, Хецрон ши Карми.
012e0a00a0	Фиий луй Симеон: Иемуел, Иамин, Охад, Иакин ши Цохар, ши Саул, фиу динтр-о фемее канаанитэ.
012e0b0045	Фиий луй Леви: Гершон, Кехат ши Мерари.
012e0c00e5	Фиий луй Иуда: Ер, Онан, Шела, Перец ши Зарах, дар Ер ши Онан ау мурит ын цара Канаанулуй. Фиий луй Перец ау фост: Хецрон ши Хамул.
012e0d004b	Фиий луй Исахар: Тола, Пува, Йов ши Шимрон.
012e0e0049	Фиий луй Забулон: Серед, Елон ши Иахлеел.
012e0f0115	Ачештя сунт фиий пе каре й-а нэскут луй Иаков Лея ын Падан-Арам, ымпреунэ ку фийкэ-са Дина. Фиий ши фийчеле луй алкэтуяу ын тотул трейзечь ши трей де иншь.
012e10006d	Фиий луй Гад: Цифион, Хагги, Шуни, Ецбон, Ери, Ароди ши Ареели.
012e1100aa	Фиий луй Ашер: Имна, Ишва, Ишви ши Берия, ши Серах, сора лор. Ши фиий луй Берия: Хебер ши Малкиел.
012e1200df	Ачештя сунт фиий Зилпей, пе каре о дэдусе Лабан фетей сале Лея; пе ачештя й-а нэскут еа луй Иаков. Ын тотул шайспрезече иншь.
012e13005c	Фиий Рахелей, неваста луй Иаков: Иосиф ши Бениамин.
012e1400d7	Луй Иосиф и с-ау нэскут ын цара Еӂиптулуй: Манасе ши Ефраим, пе каре й-а нэскут Аснат, фата луй Поти-Фера, преотул луй Он.
012e15008f	Фиий луй Бениамин: Бела, Бекер, Ашбел, Гера, Нааман, Ехи, Рош, Мупим, Хупим ши Ард.
012e160093	Ачештя сунт фиий Рахелей, пе каре й-а нэскут луй Иаков. Ын тотул пайспрезече иншь.
012e170023	Фиул луй Дан: Хушим.
012e180055	Фиий луй Нефтали: Иахцеел, Гуни, Иецер ши Шилем.
012e1900de	Ачештя сунт фиий Билхей, пе каре о дэдусе Лабан фетей сале Рахела; ши пе ачештя й-а нэскут еа луй Иаков. Ын тотул шапте иншь.
012e1a00fb	Суфлетеле каре ау венит ку Иаков ын Еӂипт ши каре ешисерэ дин ел ерау ын тотул шайзечь ши шасе, фэрэ сэ нумэрэм невестеле фиилор луй Иаков.
012e1b00fb	Ши Иосиф авя дой фий, каре и се нэскусерэ ын Еӂипт. Тоате суфлетеле дин фамилия луй Иаков каре ау венит ын Еӂипт ерау ын нумэр де шаптезечь.
012e1c0099	Иаков а тримис пе Иуда ынаинте ла Иосиф, ка сэ-й дя де штире сэ-й ясэ ынаинте ын Госен.
012e1d0166	Ши ау венит ын цинутул Госен. Иосиф шь-а прегэтит карул ши с-а суит ка сэ се дукэ ын Госен, ын ынтымпинаря татэлуй сэу Исраел. Кум л-а вэзут, с-а арункат пе гытул луй ши а плынс мултэ време пе гытул луй.
012e1e00a1	Исраел а зис луй Иосиф: „Акум пот сэ мор, фииндкэ ць-ам вэзут фаца ши ту тот май трэешть.”
012e1f013a	Иосиф а зис фрацилор сэй ши фамилией татэлуй сэу: „Мэ дук сэ ынштиинцез пе Фараон ши сэ-й спун: ‘Фраций мей ши фамилия татэлуй меу, каре ерау ын цара Канаан, ау венит ла мине.
012e2000a9	Оамений ачештя сунт пэсторь, кэч креск вите; ей шь-ау адус оиле ши боий ши тот че есте ал лор.’
012e21007f	Ши, кынд вэ ва кема Фараон ши вэ ва ынтреба: ‘Ку че вэ ынделетничиць?’,
012e22017c	вой сэ рэспундець: ‘Робий тэй ау крескут вите дин тинереця ноастрэ пынэ акум, атыт ной, кыт ши пэринций ноштри.’ Ын фелул ачеста, вець локуи ын цинутул Госен, кэч тоць пэсторий сунт о урычуне пентру еӂиптень.”
012f010129	Иосиф с-а дус сэ ынштиинцезе пе Фараон ши й-а спус: „Фраций мей ши татэл меу ау сосит дин цара Канаан, ку оиле ши боий ши ку тот авутул лор; ши сунт ын цинутул Госен.”
012f02006c	А луат пе чинч дин фраций луй ши й-а адус ынаинтя луй Фараон.
012f030109	Фараон а ынтребат пе фраций луй Иосиф: „Ку че вэ ынделетничиць?” Ей ау рэспунс луй Фараон: „Робий тэй сунт пэсторь, кум ерау ши пэринций ноштри.”
