2800000005	Mateu
2816280061	Ku titaelo eto timbili, oku beekilwe emilawo ya Mushe yonje ni tituto tonje no anuhi a Nyambe.”
2816290035	Afalisi aba ano kuwana, Jesu sebeli waa ibanguta nji,
28162a0081	“Anyi ikene munahana kweyi ya Kilesite? Wa lusika lwa anyine? Sebeli amba kwa yonyene nji, “Kame ali wa lusika lwa Dabida.”
28162b0086	Jesu sebeli wamba kwa onyene nji, “Cwale iikene Dabida aba amwisana nji Mbumu? Dabida kame ana kwambanga ni mebo aba ana kwamba nji,
28162c0091	“Ombumu Nyambe kame anamba kwa Mbumu wange nji oikale ku lyoko lyange no silyo, okutwala aba sa ni kabeekele eila yowe kunji no makondo owe.’
28162d006a	Nji Dabida kame aisana Kilesite nji Mbumu, cwale ngasibine satendele nji Kilesite wa lusika lwa Dabida?”
28162e0087	Kakwisa simba mumweya woyo ona kutwesa oku mutambula, simba okutunda ba liywaa elyo kakwisa woyo ona kwikala ni undume noku mwibanguta.
281701003f	Cwale Jesu sebeli wamba kwaanu no kupula ni kwa iyetwa aye nji,
281702003a	“Aiyeti no mulawo na Falisi kame ali mu situlo sa Mushe.
2817030073	Cwalehe mu tende ni kumamela eyi amiyeta, kono mulese okutenda kanyi omwatendela onyene, kakuli katende eyi aiyeta.
281704008b	Kame abeeka emishimbo no kulema ba mafuti no anu eyo no kubambaba okwishimba. Kono onyene katende esinjili okwaatusa okushimba emitiyo eyo.
28170500ec	Kame atenda eyoo yonje nji imoniwe kwaanu. Mi kame atenda eikwama no man̄olo inyonyo ni kwinunga mu lubala ni ba maoko ni kwitenda inene. Mi kame atenda amashamba no kuleba ku mikanjo yoo eyi akumanganga aba alapela nji amoniwe kwaanu.
281706005c	Kame asinga eibaka no kukutekeha ba mikiti ni ipula eyi ili ku lubala mu tindoo no milapelo.
2817070053	Kame asinga oku keetiwa mu likute mu misika ni ku isaniwa kwaanu nji ‘Mwiyeti.’
281708007a	Kono anyi mule kupumena oku miisana nji ‘Mwiyeti,’ kakuli omwiyeti wenu ni mumweya feela, mi moonje kame muli aiyetwa.
2817090066	Mi mulese kwisana omunu bano banji nji ‘Sitenu,’ kakuli Sitenu ni mumweya feela, woyo oli ku wilu.
28170a0078	Mi mulese okupumena oku miisana nji ‘Omwendisi,’ kakuli kame mukwite omwendisi wenu mumweya feela, yonyene Kilesite.
28170b0037	Woyo no kuneneba onene mwaanyi, yosotende omubika wenu.
28170c004c	Awo onje aku nuneka kame sa kokobeziwe mi awo aku kokobeza kame sa nunekiwe.
28170d00a5	“Kono oumai ni wenu aiyeti no mulawo na Falisi, anyi asikukuba! Kame mu yatilela aanu omubuso naku wilu. Anyi ka mwingene, mi kamu pumenene awo asinga okwingenamo.
28170e00e7	Oumai ni wenu Aiyeti no mulawo na Falisi, anyi asikukuba! Kame moonga etimbelwa ni kwaitela etindoo too. Cwale kame mulapela etitapelo no kuleba oku wabelisa aanu. Cwaleabo ekoto yenu mbaitende eyi no kuneneba ni kubitelela akwenu.
28170f00d8	“Oumai ni wenu, Aiyeti no mulawo na Falisi, anyi asikukuba! Kame mweenda memu mana elitunga ni komboka amawate, nji mu wane omunu mumweya mi aba mu muwana, kame mu mufutula okutenda omwana lihele twiili kanyi anyi.
28171000b5	Oumai ni wenu anyi aendisi no kufa miyo, anyi mwamba nji, “Omunu aba aeta ni ndoo ya Nyambe kakwisa etuso, kono aba aeta ni gauda no ndoo ya Nyambe, na nungiwa mu kweeta kwaye.”
2817110058	Anyi aelo no ibofu, esinene ni sibine? egauda nji endoo ya Nyambe eyo ina kenisa egauda?
281712008a	Mi kame mwamba nji, “Omunu aba aeta ni aletale kakwisa etuso, kono aba aeta ni mpo eyi ili ba aletale kame anungilwe mu kweeta kwaye.”
281713005b	Anyi alume no ibofu! cwale esinene ni sibine, empo nji ni aletale, eyo itenda empo okukena?
2817140056	Cwale omunu yonje aba aeta ni aletale, kame aeta mu yonyene neyo ili ba aletale yonje,
281715004c	mi woyo yonje oeta ni ndoo ya Nyambe, kame aeta kame ni Nyambe woyo oyoyamo.
281716004f	Mi woyo oeta ni liwilu, kame aeta ni lubona lwa Nyambe, ni kwa woyo oikalilebo.
281717010a	“Oumai ni wenu aiyeti no mulawo na Falisi, anyi asikukuba! Kame muba simweya kweyi itenda likumi eimena eyi itendisa eilya okumamata mi ka mu kwite taba ni inene namu mulawo, okuluka, amakeke ni usepahali. Eyi yokame mufanena okutenda nambulwa ketululo kwaa kwenu.
281718005e	Anyi aendisi no kufa miyo, kame mutundisa otumbulumbulu mu ino yenu, kono kame mumina Ekamele.
28171900a5	“Oumai ni wemu aiyeti no mulawo na Falisi, anyi asikukuba! Kame muyowisa ekomoki ni siwana bandee, mi mukaci kame kwiyalile einu munawana mu umbuyi ni ulyangelino.
28171a0063	Wene Omufalisi no sibofu, oyowise ekomoki ni siwana mukaci oweli, cwale ni bandee mbakukene ngeeso!
28171b00db	“Oumai ni wenu aiyeti no mulawo na Falisi, anyi asikukuba! Kame mu fekile kanyi amabita noku basiwa elikena, amonahala okutenda ano kuwaba bandee, kono mukaci kame aiyalile eifuba no aanu no kufa neyi no kwiiba yonje.
28171c006f	Naanyi kame muli ngeso, bandee kame mu monahala okuluka kwaanu, kono mukaci kenu kame mwiyalile omwiipo ni ibi.
28171d0085	“Oumai ni wenu aiyeti no mulawo na Falisi, anyi asikukuba! Kame mu yaka amabita no anuhi a Nyanbe, mi kame mu kabisa awo asikuluka,
28171e0084	mi kame mwamba nji, ‘Kambe natu kuyoya mu maywaa no anjekulyetu, kambe katwa siku kuwana noo mu kwiita ounyinga no anuhi a Nyambe.
28171f005d	Mukwamba eyi kame mukupaka mwenyene nji kame muli asilusika lwawo ana kwiibaa anuhi a Nyambe.
281720003b	Cwale mutwalelele okumanenena eyo anaku tateka anjekulyenu.
281721004a	Anyi etinyoka, aana no imili, ngasibine samu picuke ekatulo no lyangalilo?
28172200dc	Cwalehe kame nimi tumena anuhi wa Nyambe, nawo no kushangama, na iyeti no mulawo, anjili kame sa mwaibae ni kwa ngongotela, anjili mba mwa fulu mu tindoo no milapelo ni kwacita okutunda mu tolopo injili nikuta kwiinjili.
28172300d7	Cwale abo ounyinga wao ano kuluka onje mbau saelelwe ba mitwi yenu, okutunda ba unyinga wa woyo osikuluka Abele okutwala ku unyinga wa Zakaliya mwanaye Balakiya, woyo muna kwibaa mukaci no ndoo ya Nyambe ni aletale.
2817240060	Niti luli kame ni myambela nji, anyi aanu muyoya muno mu nako mbamu wana ekoto ku inu eyi yonje!
28172500e6	“Jelusalema, Jelusalema, omulenen̄i onaibaa anuhi a Nyambe, nikwibaa ni mawee awo ana tumiwa kwa wene! Tunjinga ni lakazanga okuwaneka anowe bamweya kanyi on̄uku no seke aba awanekanga anaye munji no maando, kono kawa sisinga!
2817260034	Komone, endoo yowe nai siyala kwa wene kanyi matota.
2817270086	Cwale kame ni myambela nji, “Ka mutamba kuni mona kame, konji aba sa mwambe nji, ‘Ku lumbekwe woyo oiya mu litina lya Mbumu.’”
2818010098	Jesu sebeli otunda mu lilapa no ndoo ya Nyambe nukutela kundina, ababo aiyetwa aye sebeli aiya kwa yonyene ni kumu yulekela emiyako no tindoo ta Nyambe.
28180200d8	Kono sebeli waatambula nji, “Mumone eyi yonje, mwimwine? Niti luli, kame ni myambela nji, “Ka kwisa eliwee simba limweya elyo sali siyale bano, eli lilemine ba liwee elinjili, elyo sa liulwe okukwisetwa banji.”
28180300d0	Cwale Jesu yoikala ba lilundu no itondo no Olibe, aiyetwa aye sebeli aiya kwa yonyene kumukunda, ni kwamba nji, “Otwambele eyo abo saika monahalele, nesi sasi tusimwete okwiiya kowe ni kubwa kwa litunga.”
281804004d	Cwale Jesu sebeli waatambula nji, “Mu mamele nji omunu alese okumiyembulula
281805007a	kakuli aanu no kupula kame saiye mu litina lyange ni kwamba nji, ‘Mene time Kilesite,’ mi kame sayembulule ano kupula.
28180600a3	Mi kame sa mu upe etindwaa ni mabulwati no tindwaa, kono mu mone nji mulese kucila, kakuli einu eyo kame ifanene okwiiya, kono abo amamaneneno kasi tendahala kale.
2818070089	Esicaba kame sasi lwise esicaba sinjili, omubuso olwise omubuso munjili, mi olukupwe kame sa luikaleko ni tizikinyeho mu ibaka no kupula.
281808003b	Kono eyo yonje kame sa itende feela amatatekelo no mayando.
2818090075	“Cwale kame saminunge oku mitwala oka yandisiwa ni kumiibaa. Mi kame samu timbiwe ku matunga onje mu litina lyange.
28180a004f	Mi cwale aanu no kupula kame sa sitatale, mi kame sa betekane, mane nuukutimba.
28180b004f	Mi cwale anuhi no mapwa no kupula mba iiyi, mi kame sayembulule aanu no kupula.
28180c004e	Cwale kakuli ouyi kame sau ekezehe onene, elilato no aanu no kupula mba libwi.
28180d0044	Kono woyo so tundamena okutwala ku mamaneneno, yokame soka yoyisiwa.
28180e008b	Mi eliywi eli no kuwaba eli no mubuso kame sa lyambiwe mu litunga lyonje, cwale nji litende oupaki ku macaba onje, ba sakwiiye amamaneneno.
28180f00b5	Daniele omunuhi wa Nyambe na kwamba eyi nji, ‘Esinu no kwiiba eso sisilafaza endoo ya Nyambe ni kusilokiwa. Mbamu mono ouyi oimanine mu sibaka no kukena.” (Osi ku bala alemuhe).
281810002b	Cwale awo ali mu Judeya acilele ku malundu.
281811004a	Mi woyo oli ba situwa no ndoo, alese ku shotokela mu ndoo akashimba esinu.
2818120042	Mi woyo oli mu matema, alese okuukela ku mundi oka shimba olwambi.
2818130050	Oumayi ni waawo akati sawaniwe akushimbile nawo sawaniwe ayamwisa mu maywaa awo!
281814004e	Mu lapele nji mule okashotoka mu nako no mubebo simba mu liywaa eli no Sabata,
28181500a7	kakuli ba nako eyo, amayando mbatende ano kuneneba, awo kaa sitendahala kale simba okutunda ku matakelo no litunga ku lita bano, mi kame kakutamba ku tendahala ngeeso.
2818160092	Mi cwale nji amaywaa awo ka kusufaziwa, kakwisa simba mumweya woyo so yoyisiwa. Kono cwale mulibaka lyaawo ana ketiwa, amaywaa awo mba kusufaziwa.
281817006b	Cwale nji omunu kame amba kwa wene nji, ‘Omone, uno ya Kilesite!’ simba uya yokame!’ mulese kupumena.
28181800b3	Kame namba eyi kakuli asi konga nji aonyene asi Kilesite na nuhi no mapwa kame samonahale ni kumonisa eisupo inene ni timakazo nji kutwesahala, alyanganise simba awo ana kuketiwa.
2818190028	Kono mumamele! Kame nina myambele oweli.
28181a00a3	“Cwale, simba naba sa myambele nji, ‘Mumone, kame ali mu mushitu, mulese kutako, simba aba saambe nji, ‘Mumone, kame ali mu misusu no ndoo, mulese ku pumena,
28181b0064	kakuli kanyi olumonyi aba lweesa okutunda mu upa nikuka esela mu wiko, mwasa iyele ni Mwana no munu.
28181c005b	Mba kumonahala ngeeso kanyi amanon̄u aba aungana, aanu kame alimuka nji kame kuli esitupu.
28181d00b3	“Ababo kusibwa feela en̄alelwa no maywaa awo, eliywaa kame sa li ilole, okweti kame sa ulwe eliseli mi etitungweti kame sa tikwe ku wilu, amaata na ku liwilu kame sa nyanganye.
28181e00b3	Cwale esisupo no Mwana no munu mbasi monahala mu wilu aanu onje noba litunga kame sa lile. Mi kame sa mone Omwana no munu yokeyile mu makumbi no liwilu mu maata ni mu kanya inene.
28181f00ae	Cwale kame sa tume amangeloi aye ni titolombita no mulumo no kuneneba, mi kame sa ungeke aketwa aye mu maneku anee okutunda ku mamaneneno no litunga linjili okuta ku linjili.
28182000ab	“Mu kwiyete ku tuto okutunda ba sitondo no mukuyu, muwangu-wangu aba mumona nji emitai yaso aba yotoba mi kame ishoshela amamuna, mu limuke nji esilimwe kame sili beebi.
281821006b	Mu ndila imweya, aba mu mona eyo yonje, mu limuke nji Omwana no munu sebeli oli beebi mi kame ali ba mwelo.
2818220067	Niti luli kame ni myambela nji, lusika luno no balelo ka lu tamba okubwa, konji eyo naitendahala oweli.
281823003d	Eliwilu ni litunga mbaibwe, kono amaywi ange ka tamba okubwa.
281824007a	“Kono eyi no liywaa ni nako eyo, kakwisa woyo wi limukile, simba amangeloi naku wilu kayii, simba Omwana, konji Sitange.
281825005b	Omo kuna kwikalela mu maywaa a Nuwe, kame sa kwikale ngeeso ni mu kwiiya kwa Mwana no munu.
2818260085	Mu maywaa awo omunda kawasiiya kale, aanu kame ana ku lya, oku nwa, oku kwata, oku kwalisa, konji eliywaa ana kwingena Nuwe mu Aleka.
2818270077	Mi kasiku limuka esinjili konji omunda aba ona kwiiya mukwayundisa. Mi mosa kwikalele yongeso aba saiye Omwana no munu.
281828005e	Ba nako eyo kwa alume ayiili aa saikale mu litema, omunjili mba shimbiwa, omunjili mba siyala.
281829004c	Akati ayiili asa silange oubeeke, mumweya mba shimbiwa, omunjili mba siyala.
28182a0041	Cwale abo mutone, kakuli ka muyii eliywaa elyo saiye Ombumu wenu.
28182b0097	Kono mu limuke eyi, nji omunya ndoo kambe mba limuka enako no usiku aba saiye ombuyi, kambe kame satone mi kambe kaleselela ombuyi okucuula endoo yaye.
28182c0056	Cwalehe naanyi muku tukise, kakuli Omwana no munu kame saiye mu nako eyo mwa limukile.
28182d008a	“Anyine cwale omubika no ku sepahala, ni kushangama, woyo sa beeke Ombumu okwendisa abika aye, okwaba eyi no kulya mu nako eyi ilukeele?
28182e004a	Embuyoti niya woyo omubika sawane Ombumu yo tenda omusebezi owo aba saiye.
28182f004d	Niti luli kame ni myambela nji kame samu beeke okwendisa kweyo aluwile yonje.
281830006d	Kono iikene saitendahale nji woyo omubika ni wakwiiba mi kame ayambuta nji ombumu waye katamba okwiiya wangu,
2818310038	mba tateke oku fula akwaye abika, alye, awee na cakolwa.
2818320062	Ombumu no mubika woyo kame saiye mu liywaa elyo sa ulwe oku mu tatelela, ni mu nako no kwa limuka.
2818330062	Mi kame sa mupatole eibindi, ni kumu beeka na asikukuba, oko sa kwikale okulila ni kukweca amaewo.
28190100a0	Ba nako eyo omubuso naku wilu kame sokufeke kanyi eso sina kutendahala abo akatana noku kwana likumi aba ana ku shimba amaboni oo ni kuta oka waniketa omukwati.
2819020047	Ana kukwana mutanu kwa onyene neli aelo, mi mutanu neli ano kushangama.
2819030049	Cwale aelo no kukwana mutanu kasiku shimbela amaboni oo amaati no kupula,
2819040054	kono ano kushangama kame ana ku shimba amaati mwishimbelo yoo, bamweya ni maboni oo.
2819050053	Cwale kakuli omukwati kame ana ku liyeha bakwiiya, sebeli akosa onje ni ku langana.
281906006b	Kono bakaci no usiku omuhuwo sebeli o yupahala nji, ‘Komumone, omukwati uno! Ko mwiiye mu mu wanikete!’
2819070048	Cwale akatana awo sebeli ainguka onje ni kutateka oku lukisa amaboni oo.
2819080071	Cwale ano kweluba sebeli amba kwaa ano kushangama nji, “Mu tube ku maati enu, kakuli amaboni etu kame atima.”
281909008a	Kono ano kushangama sebeli aa tambula nji, “Ka ku twesahala! katamba ku tu kwana aci naanyi. Mute kwa aulisi nji mu ka ku ulele eenu.”
28190a00b0	Mi cwale akatana no kweluba asita feela mukuula amaati, omukwati sebeli okeela, mi awo ana kuku tukiseta sebeli aingena naye mu mukiti no likwala, mi esaandi sebeli siyatiliwa.
28190b0063	Munyima nweyo, akatana anjili sebeli aiya nonyene ni kwamba nji, ‘Mbumu, Mbumu! otu yatulwele.’
28190c0055	Kono omukwati sebeli otambula nji, “Niti luli kame ni myambela nji, kani mi yii.”
28190d005e	Cwale mwikale anyi me mutona, kakuli kamu limuka eliywaa simba enako eyo saiye Omwana no munu.
28190e00af	Omubuso naku wilu kame okufekile kanyi eso sina kutendahala abo omulume aba ano kutukiseta okuta mu mwendo waye, sebeli oisana abika aye ni kwaambela nji ababalele ofumu waye.
28190f00d4	Sebeli oba omunjili amasaka no mali noku kwana mutanu, omunjili sebeli omuba amasaka ayiili no mali, omunjili esaka no mali imweya, sebeli oba omunjili ni munjili oku faniketa nomo atwesela. Cwale sebeli okutela.
281910006f	Cwale woyo ona ku biwa amasaka mutanu no mali, ababo sebeli oka belekisa ni ku wanenabo kame no kukwana mutanu.
2819110063	Mi kame ni woyo ona kubiwa amasaka ayiili sebeli ota okabelekisa ni kuwanenabo kame amasaka ayiili.
281912006c	Kono woyo ona kubiwa esaka iweya no mali sebeli ota, nuka tombola owina banji niku shweeka amali no molyaye.
281913007f	Cwale aba kuna kubita amaywaa no kupula omolya abika awo sebeli oiya, mi sebeli waisana nji amone omo ana belekisete amali aye.
28191400f9	Cwale woyo ona kutambula amasaka mutanu no mali sebeli oiya kwa molyaye okulita amasaka no mali kame noku kwana mutanu ni kwamba nji, ‘Molyange kame ona kuniba amasaka mutanu no mali, komone, kame nina wanenebo kame masaka mutanu no mali beulu.’
28191500cb	Omolyaye sebeli wamba kwa yonyene nji, ‘Nu tende wino, mi uli mubika no kuwaba ni ku sepahala! Nu sepahala ku inu no kucaniba, mba niku beeke okubusa eyi no kupula. Wingene mu kuwabelwa kwa molyowe!’
28191600c3	Mi ni woyo ona kubiwa amasaka ayiili no mali, sebeli oiya kwa molyaye ni kwamba nji, ‘Molyange, kame ona kuniba amasaka ayiili no mali, Omone! kame nina wanenebo kame amasaka ayiili no mali.’
28191700d3	Omolyaye sebeli wamba kwa yonyene nji, ‘Nu tende wino, wene omubika no kuwaba niku sepahala, nu twese oku sepahala mu inu no kucaniba, mba niku beeke okubusa eyi no kupula, wingene mu kuwabelwa kwa molyowe!’
28191800d9	Cwale ni woyo ona kubiwa esaka imweya no mali, ni yonyene sebeli oiya ni kwamba nji, “Molyange, kame niku limukile nji wene uli mulume noku bambaba, woyo ukutula omu wasi kuna, mi kame uungeka omu kausi kwaa embuto.
2819190086	Cwale kakuli kame nina kucila, sebeli nita okatombola owina banji niku pumbeka esaka yowe no mali mu mumbu. Esinu sowe sino sokame.”
28191a00b6	Kono omolyaye sebeli omu tambula nji, ‘Wene omubika no kwiiba ni kububa! Kame wamba nji kame olimukile nji kame ni kutula omo kanisi kuna, mi kame ni ungeka omo kanasi kwaa embuto.
28191b007f	Cwale kame onaku fanena nji obeeke amali ange mu Panga, mi aba ni nauku kambe nonu sete amali ange niku beekelabo en̄ambekelo.
28191c0053	Cwale mu mu biangule esaka no mali, mi mube kwa woyo okwite amasaka likumi no mali.
28191d0071	Kwaawo akwite, mba beekelwa, mi mba ikala neyi nokupula, kono kwaawo aulwile mane kame sa byanguliwe neyo akwite.
28191e0058	Kanyi kwa woyo omubika nambulwa tuso, mu mu kondele ku uwi, oko salila ni kukweca amaeo.
28191f0071	“Cwale omwana no munu aba saiye mu kanya yaye, yoli ni Mangeloi aye onje, kame saikale ba lubona no kanya yaye.
281920007c	Mba ku ungana ba lubala lwaye amacaba onje, mi mba kete aanu anjili kwaa njili, kanyi omulisana aba ataba omukoko mu tupuli.
2819210053	Mi kame sa beeke omukoko ku lyoko lyaye no silyo, mi abeeke otupuli kweli no simoo.
28192200b4	Cwale molyoo kame saambe kwaawo ali ku lyoko lyaye no silyo nji, ‘Komwiye! anyi muna fuyolwa kwa Sitange! Mu yole omubuso ona ku lukisetwa anyi okutunda ku matatekelo no litunga.
28192300b0	Ni wenu kakuli kame nina ku yomba, mi sebeli muniba esi no kulya, mi kame nina kufa elinyotwa, mi sebeli muniba esi no kunwa, kame nina kutenda ongenda, mi sebeli muni tambula,
28192400a6	kame nina kuulwa esikumango, mi sebeli muniba esi no ukumanga, kame nina kutoma, mi sebeli muni babalela, kame nina kwikala mu tolongo, mi sebeli mwiiya mukunilekula.
28192500a7	Cwale ano kuluka kame sa mu tambule nji, ‘Molyetu, ka mwaka tuna ku kumona wo yombile, mi sebeli tu kuba esi no kulya, simba wofile elilyotwa ni kukuba esi no kunwa?
281926008b	Mi cwale ka mwaka aba tuna kuku mona o endile ongenda, mi sebeli tuku tambula, simba oulwile esikumango, mi sebeli tu kuba esi no kukufuka?
281927006e	Mi cwale ka mwaka tu naku ku mona me u tomine, simba ouli mu tolongo, mi sebeli twiiya kwa wene mu kukupotela?
2819280087	Mi molyowo mba atambula nji, ‘Niti luli kame ni myambela nji kwawo abange acana muna kutendela ngeeso, yamene muna kutenda ngeeso!’
28192900a8	Cwale kame saambe kwawo ali ku lyoko no simoo nji, ‘Anyi mu kutilwe kwa Nyambe, mutunde kwa mene, mute mu mulilo no kwaabwa, ou u lukisetwe Diabulosi ni mangeloi aye!
28192a0090	Kame ni tenda ngeesi kwaanyi kakuli kame ni naku yomba, mi ka mwasiku niba esi no kulya, kame nina kufa elinyotwa mi kamwasikuniba esi no kunwa.
28192b00b3	Kame nina kutenda ongenda, mi ka mwasikuni tambula, kame nina kuulwa esikumango, mi ka mwasi kuni fuka, kame nina kukola, ni kwikala mu tolongo, mi ka mwasi kwiiya mu kuni lekula.
28192c00ea	Cwale nonyene kame samu tambule nji, ‘Molyetu, ka mwaka tuna kuku mona woyombile, simba wofile elinyotwa, simba wotendile ongenda, simba wo ulwile esikumango, simba wotomine, simba mu tolongo, mi sebeli tu kwangwa oku kubabalela?’
28192d00a6	Cwale kame saatambule nji, “Niti luli kame ni myambela nji aba muna kukwangwa oku babalela omunjili kwaa acana ngeeso, yamene muna kukwangwa oku babalela ngeeso.”
28192e0058	Mi awo kame saate mu koto no kwaabwa, kono awo no kuluka kame saate mu mooyo no kwaabwa.
281a01004d	Cwale Jesu aba ana kumana okwamba eyi yonje, sebeli wamba kwa iyetwa aye nji,
281a0200a7	“Kanyi omo mulimuukele nji, omukiti no paseka kwasiyala kale amaywaa ayiili nji otendahale, mi cwale Omwana no munu mba beekiwa mu maoko no aanu okumu ngongotela.”
281a03006d	Cwale apulisita akulu na akulu sebeli akuwana mu ndoo no mupulisita no mukulu woyo elitina lyaye neli Kefasi.
281a04004c	Mi sebeli ata oka lelisana omo salemene Jesu muku shangama mane ni kumwibaa.
281a05006a	Kono sebeli amba nji, “Kuleswe oku tendahala mu nako no mukiti, mwendi esicaba mba sitende omufilili.”
281a06005d	Jesu kame ana kwikalanga ku Betani mu ndoo ya Simoni, ona kutomanga kunyima oweti no mbingwa.
281a070092	Cwale omukati sebeli oiya kwa yonyene ni komoki no alabasita no maati no kutula, mi sebeli waitela ku mutwi wa Jesu abo yolemine okulya ku tafule.
281a080067	Kono cwale aiyetwa aba ana kumona ngeso, sebeli atina ni kwamba nji, “Iikene akandakandelwa aa maati?
281a090053	Amaati awo kame ana lukele oku ulisiwa amali no kupula, nji abiwe kwaa ashebile.”
281a0a0096	Kono Jesu sebeli olemuha eyo ana kwambanga, ni kwamba kwa onyene nji, “Iikene esi muyandiseta omukati woyo? Kame ana tende ekezo no kuwaba kwa mene.
281a0b005a	Ano kusheba mba mwikala noo enako yonje, kono mene ka mu tamba okwikala nange enako yonje.
281a0c003e	Na itele amaati awo ba lutu lwange okulukisa okuteulwa kwange.
281a0d00a1	Niti luli kame ni myambela nji, oko konje sa likutaziwe eliywi eli no kuwaba mu litunga lyonje, kame sa kwambiwe nesi ana tende, sitende eso sa pulukiwe naso.”
281a0e0078	Cwale omunjili no aiyetwa no kukwana likumi na yiili woyo oisaniwa nji Judasi isikalyota, sebeli ota kwa pulisita akulu.
281a0f0092	Sebeli wamba nji, “Iikene sa muniteneke aba sani beteke Jesu kwaanyi?” Sebeli amuteneka amali ana kukwana makumi aatu omuwayawaya no silibela.
281a10003e	Mi okutunda abo, Judasi sebeli osaela omukwa no kubeteka Jesu.
281a1100b4	Ba liywaa no matatekelo no mukiti ou no lin̄ende nambulwa omumena, aiyetwa sebeli aiya kwa Jesu ni kwamba nji, “Kubine usinga nji tukalukise nji ukalyeleko omukiti no paseka?”
281a1200c1	Jesu sebeli wamba nji, “Mute mu tolopo ku mulume munjili mi mu mwambele nji, ‘Omwiyeti namba nji enako yange kame ili beebi, mbanilyele omukiti no paseka na aiyetwa ange ku ndoo yowe.’”
281a130061	Cwale aiyetwa aye sebeli atenda omo na kwaambelela Jesu oku lukisa omulalelo no mukiti no paseka.
281a14004c	Jesu kame ana kwikalanga ba tafule na iyetwa aye noku kwana likumi na yiili,
281a150071	mi alemine okulya ngeeso, sebeli wamba nji, “Niti luli kame ni myambela nji, omunjili mwaanyi yosoni beteka.”
281a16006f	Mi sebeli aena onene luli mi sebeli atangisa oku mwibanguta, omunjili ni munjili nji, “Mwendi mene, Mbumu?”
281a17005f	Jesu sebeli otambula nji, “Woyo ona ingenyeke elyoko bamweya ni mene mu siwana yosoni beteka.
281a180096	Omwana no munu mbafu kanyi omo kun̄olelwe mu man̄olo, kono oumai ni woyo so beteka Omwana no munu! Esiwa ku munu woyo ni nji kambe ka siku leiwa!”
281a190080	Judasi, woyo ona kumu beteka, sebeli otambula nji, “Mwendi mene, Mwiyeti?” Jesu sebeli wamba kwa yonyene nji, “Nwaamba.”
281a1a00c0	Cwale abo alemine okulya ngeeso, Jesu sebeli oshimba esinkwa, mi munyima no okutumela, sebeli osi patola, nikuba aiyetwa aye, sebeli wamba nji, “Mu shimbe mi mulye, “Olu ni lutu lwange.”
281a1b005a	Cwale sebeli oshimba ekomoki nuuku tumela, ni kwaaba ni kwamba nji, “Mu nwemo moonje,”
281a1c005d	“Kakuli ou ni unyinga wange no ulikani ona itekele ano kupula, mulibaka no kulemeniwa eibi.
281a1d00ca	Mi kame namba kwaanyi nji, ku tunda bano, kani tamba kunwa kwesi si bekilwe ku sitondo no beine, mane kubitela kame ba liywaa elyo sani nwe naanyi, konji esi tendile esi no ubya mu mubuso wa Sitange.”
281a1e0039	Cwale sebeli aimba olusimo, nukutela ba lilundu no Olibe.
281a1f00c1	Cwale Jesu sebeli wamba kwa onyene nji, “Anyi moonje mba munishotoka mulibaka lyange uno usiku, kakuli na ku n̄oliwa nji, ‘Kame sani fule omulisana, mi omulaka no mikoko kame so hasane.’
281a200052	Kono aba sani inguke kwaafu, mba niku tangete kulubala lwenu okuta ku Galileya.”
281a21007a	Pitolosi sebeli omu tambula nji, “Simba nji onje kame saku shotoke mulibaka lyowe, “Mene, kani tamba oku kushotoka.”
281a220087	Jesu sebeli wamba kwa yonyene nji, “Niti luli kame ni kwambela nji, ouno ousiku omukombwe owasilila kale, kame soni latule twaatu.”
281a230097	Pitolosi sebeli wamba kwa yonyene nji, “Naaba sani fanene okufa ni wene, ka nitamba okuku latula!” Mi na iyetwa aye anjili onje sebeli amba ngeeso.
281a24008f	Cwale Jesu sebeli ota noo ku sibaka siisaniwa Gesemani, mi sebeli wambela aiyetwa aye nji, “Mwikale bano, mene abani sita kuya oka lapela.”
281a250075	Mi sebeli oshimba Pitolosi naana ayiili a Zebedeya Jowani ni Jokobo, mi sebeli otangisa okweena onene nu uku kalelwa.
281a260085	Cwale sebeli wamba kwa onyene nji, “Emebo yange sebeli ili beebi ni kufa mulibaka no likenyi. Mu siyale bano, mi mutone ni mene.”
281a2700f2	Mi sebeli ota ba lubala mbicana, sebeli okwela banji ni kulapela nji, “Sitange, nji kame ku twesahala, kambe esinweno no mayando ni lufu ibitele aba no kuleba ni mene! Kono kulese kutendahala omo ni singela, ku tendiwe omo usingela wene.”
281a28009e	Cwale Jesu sebeli oiya kwa iyetwa aye mi sebeli waa wana alanganine batulo, sebeli wamba kwa Pitolosi nji, “Kandi kamu twesa oku tona ni mene muhola imweya?
281a29006b	Mutone, mi mu lapele nji mulese kwingena mu muliko. Emebo yonyene kame isinga, kono olutu kame lufokola.”
281a2a00b0	Kame sebeli ota aka no wili oka lapela nji, “Sitange, nji esinweno esi no mayando ni lufu kasi twesahala okutunda konji aba sani nwemo, ku tendahale esisi singwa kwa wene.”
281a2b0064	Mi kame sebeli oiya kwa onyene ni kwaa wana alanganine, kakuli amiyo oo kame ana kuyupahala okulema.
281a2c0060	Cwale sebeli waasiya kame oka lapela aka no waatu, ni kwamba amaywi kanyi aa ana kwamba ba weli.
