0100000007	Genesis
090b0c0090	Kenaka anthu anafunsa Samueli kuti, “Kodi ndani aja ankanena kuti, ‘Kodi Sauli nʼkutilamulira ife?’ Bwera nawoni kuno kuti tidzawaphe.”
090b0d0073	Koma Sauli anati, “Palibe amene ati aphedwe lero, pakuti lero lino Yehova wagwira ntchito yopulumutsa Israeli.”
090b0e0072	Ndipo Samueli anati kwa anthuwo, “Tiyeni tipite ku Giligala kuti tikatsimikizenso kuti Sauli ndi mfumu yathu.”
090b0f00ea	Choncho anthu onse anapita ku Giligala ndipo kumeneko Samueli anakalonga Sauli ufumu pamaso pa Yehova. Pambuyo pake anthu anapereka nsembe zachiyanjano pamaso pa Yehova, ndipo Sauli ndi Aisraeli onse anachita chikondwerero chachikulu.
090c010088	Pambuyo pake Samueli anawuza Aisraeli onse kuti, “Ine ndamvera zonse zimene munandiwuza ndipo ndakupatsani mfumu kuti izikulamulirani.
090c0200ce	Tsopano muli ndi mfumu imene izikutsogolerani, koma ine ndakalamba, kumutu kwanga kuli imvi zokhazokha ndipo ana anga ali pamodzi ndi inu. Ndakhala ndili mtsogoleri wanu kuyambira ndili mnyamata mpaka lero.
090c030164	Ine ndili pano. Ngati ndinalakwa chilichonse nditsutseni pamaso pa Yehova ndi wodzozedwa wake. Kodi ndinalanda ngʼombe ya yani? Kodi ndinalanda bulu wa yani? Kodi ndani amene ndinamudyera masuku pa mutu? Kodi ndinazunza yani? Kodi ndinalandira kwa yani chiphuphu choti nʼkundidetsa mʼmaso? Ngati ndinachita chilichonse cha izi, ine ndidzakubwezerani.”
090c040073	Iwo anayankha kuti, “Inu simunatidyere masuku pamutu kapena kutizunza. Simunalande kanthu kalikonse ka munthu.”
090c0500c7	Samueli anawawuza kuti, “Yehova ndiye mboni pakati pa inu ndi ine, ndiponso wodzozedwa wake ndi mboni kuti lero simunapeze chilichonse mʼdzanja langa.” Iwo anati, “Inde, Yehova ndiye mboni.”
090c060077	Samueli anawawuzanso kuti, “Yehova ndiye amene anasankha Mose ndi Aaroni kuti atulutse makolo anu mʼdziko la Igupto.
090c070098	Nʼchifukwa chake tsopano imani pomwepa kuti ndikufotokozereni pamaso pa Yehova, za ntchito za chipulumutso zimene Yehova anachitira inu ndi makolo anu.
090c0800dd	“Yakobo atapita ku dziko la Igupto, Aiguptowo akuwazunza, iwo analirira kwa Yehova kuti awathandize, ndipo Yehova anatumiza Mose ndi Aaroni, amene anatulutsa makolo anu mʼdziko la Igupto ndi kudzawakhazika pa malo ano.
090c0900df	“Koma iwo anayiwala Yehova Mulungu wawo, choncho Yehova anawapereka mʼdzanja la Sisera mkulu wa ankhondo wa mzinda wa Hazori, ndiponso mʼmanja mwa Afilisti ndi mfumu ya Mowabu. Mafumu onsewa anathira nkhondo makolo anu.
090c0a00c9	Tsono iwo analira kwa Yehova nati, ‘Ife tachimwa, chifukwa tamusiya Yehova ndi kumatumikira mafano a Baala ndi Asiteroti. Koma tsopano tilanditseni mʼmanja mwa adani athu ndipo tidzakutumikirani.’
090c0b00a2	Choncho Yehova anatumiza Yeru-Baala, Bedani, Yefita ndi Samueli ndipo anakulanditsani mʼmanja mwa adani anu amene anakuzungulirani, kotero munakhala mwamtendere.
090c0c00c7	“Koma mutaona kuti Nahasi mfumu ya Amoni inkabwera kudzamenyana nanu, inu munandiwuza kuti, ‘Ayi, ife tikufuna mfumu kuti itilamulire,’ ngakhale kuti Yehova Mulungu wanu ndiye anali mfumu yanu.
090c0d005a	Tsopano nayi mfumu imene mwayisankha, imene munayipempha. Onani, Yehova wakupatsani mfumu.
090c0e00bc	Ngati muziopa Yehova ndi kumamutumikira ndi kumamumvera, osamupandukira ndiponso ngati inu pamodzi ndi mfumu yanu mudzatsata Yehova Mulungu wanu, ndiye zinthu zonse zidzakuyenderani bwino.
090c0f0062	Koma mukapanda kumvera Yehova ndi kumupandukira, ndiye adzakulangani pamodzi ndi mfumu yanu yomwe.
090c100063	“Tsono imani pomwepa kuti muone chinthu chachikulu chimene Yehova ali pafupi kuchita pamaso panu!
090c1100c0	Kodi ino si nthawi yokolola tirigu? Komabe ndipemphera kwa Yehova kuti agwetse mvula ya mabingu. Zikatero mudzadziwa kuti tchimo lanu limene mwachita popempha mfumu kwa Yehova ndi lalikulu.”
090c120085	Choncho Samueli anapemphera, ndipo Yehova anatumiza mvula ya mabingu tsiku lomwelo. Apo anthu aja anaopa kwambiri Yehova ndi Samueli.
090c13009f	Tsono anamupempha Samueli nati, “Chonde mutipempherere kwa Yehova, ife atumiki kuti tingafe pakuti pa machimo athu onse tawonjezapo tchimo lopempha mfumu.”
090c140084	Samueli anayankha kuti, “Musaope, inu mwachitadi tchimo ili, koma musaleke kumutsata Yehova ndi kumutumikira ndi mtima wanu wonse.
090c150066	Ndipo musatsate mafano achabechabe amene alibe phindu ndipo sangakupulumutseni popeza ndi achabechabe.
090c160092	Yehova adzakana anthu ake kuopa kuti dzina lake lamphamvu linganyozeke, pakuti chinamukondweretsa Yehova kuti akusandutseni inu kukhala anthu ake.
090c1700a5	Ndiponso kunena za ine, zisachitike kuti ndichimwire Yehova pakulephera kukupemphererani. Ndipo ine ndidzakuphunzitsani njira yabwino ndi yolungama kuti muziyendamo.
090c18009b	Koma onetsetsani kuti mukuopa Yehova ndi kumutumikira mokhulupirika ndi mtima wanu wonse. Nthawi zonse muziganizira zinthu zazikulu wakhala akukuchitirani.
090c19005c	Komabe mukapitirira kuchita zoyipa, ndiye kuti inu pamodzi ndi mfumu yanu mudzachotsedwa.”
090d010055	Sauli analowa ufumu ali ndi zaka makumi atatu, ndipo analamulira Israeli kwa zaka 42.
090d0200da	Nthawi ina Sauli anasankha Aisraeli 3,000. Mwa iwowa, 2,000 anali ndi Sauliyo ku Mikimasi ndi ku dziko la mapiri ku Beteli, ndipo 1,000 anali ndi Yonatani ku Gibeya ku Benjamini. Anthu ena onse otsala anawabweza kwawo.
090d0300b1	Yonatani anakantha mkulu wa ankhondo wa Afilisti ku Geba, ndipo Afilisti anamva kuti Aheberi awukira. Tsono Sauli anawuza amithenga kuti alize lipenga mʼdziko lonse la Israeli.
090d0400b8	Choncho Aisraeli onse anamva kuti Sauli wakantha mkulu wa ankhondo Wachifilisiti ndi kuti Afilisti anayipidwa nawo Aisraeli. Ndiye anthu anayitanidwa kuti abwere kwa Sauli ku Giligala.
090d050100	Tsono Afilisti anasonkhana kuti amenyane ndi Aisraeli. Iwo anali ndi magaleta 3,000, okwera pa akavalo 2,000 ndiponso asilikali kuchuluka kwake ngati mchenga wa mʼmbali mwa nyanja. Iwo anapita ndi kukamanga misasa yawo ku Mikimasi, kummawa kwa Beti-Aveni.
090d0600a1	Pamene Aisraeli anaona kuti anali pamavuto akulu, poti anali atapanikizidwa kwambiri, anabisala mʼmapanga, mʼmaenje, mʼmatanthwe, mʼmakwalala ndi mʼzitsime.
090d0700b1	Ahebri ena anawoloka Yorodani mpaka kukafika ku dziko la Gadi ndi ku Giliyadi. Koma Sauli anakhalabe ku Giligala ndipo ankhondo onse amene anali naye anali njenjenje ndi mantha.
090d08009f	Saulo anadikirira masiku asanu ndi awiri, monga mwa nthawi imene ananena Samueli. Koma Samueli sanabwere ku Giligala, ndipo anthu anayamba kumuthawa Sauli uja.
090d090077	Kotero iye anati, “Bwera nayoni nsembe yopsereza ndi nsembe ya chiyanjano.” Ndipo Sauli anapereka nsembe yopsereza.
090d0a005d	Atangomaliza kupereka nsembe, anangoona Samueli watulukira ndipo Sauli anapita kukamulonjera.
090d0b00d9	Samueli anafunsa kuti, “Nʼchiyani chimene wachita?” Sauli anayankha kuti, “Nditaona kuti anthu ayamba kundithawa, ndi kuti inu simunabwere pa nthawi munanena ija, ndiponso kuti Afilisti akusonkhana ku Mikimasi,
090d0c00b9	ndinati, ‘Tsopano Afilisti abwera kudzandithira nkhondo ku Giligala kuno, chonsecho sindinapemphe Yehova kuti andikomere mtima.’ Motero ndinakakamizika kupereka nsembe yopsereza.”
090d0d00b3	Samueli anati, “Mwachita zopusa. Simunatsate zimene Yehova Mulungu wanu anakulamulani kuti muchite. Mukanazitsata, Yehova akanawukhazikitsa ufumu wanu mu Israeli mpaka kalekale.
090d0e00aa	Koma tsopano ufumu wanu sudzakhalitsa. Yehova wapeza munthu wapamtima pake ndipo wamusankha kukhala mtsogoleri wa anthu ake chifukwa inu simunasunge malamulo a Yehova.”
090d0f008c	Kenaka Samueli anachoka ku Giligala ndi kupita ku Gibeyati ku dziko la Benjamini. Saulo anawerenga anthu amene anali naye ndipo analipo 600.
090d1000a0	Sauli ndi mwana wake Yonatani pamodzi ndi asilikali amene anali naye aja amakhala ku Geba ku dziko la Benjamini. Koma Afilisti anamanga misasa yawo ku Mikimasi.
090d11006d	Ankhondo a Afilisti anatuluka mʼmisasa yawo mʼmagulu atatu. Gulu lina linapita ku Ofiri ku dziko la Suwala.
090d120086	Gulu lina linalunjika ku Beti-Horoni, ndipo gulu lachitatu linalunjika ku malire oyangʼanana ndi chigwa cha Zeboimu cha ku chipululu.
090d1300a2	Nthawi imeneyo nʼkuti mulibe osula zitsulo mʼdziko lonse la Israeli, pakuti Afilisti anati, “Tisawalole Aheberi kudzipangira okha malupanga kapena mikondo!”
090d140064	Kotero Aisraeli onse amapita kwa Afilisti kukanoletsa mapulawo, makasu, nkhwangwa ndi zikwakwa zawo.
090d150086	Mtengo wonolera mapulawo ndi makasu unali zigawo ziwiri za sekeli, mtengo wonolera zisonga ndi nkhwangwa unali gawo limodzi la Sekeli.
090d1600ab	Motero tsiku la nkhondolo panalibe lupanga kapena mkondo mʼdzanja la aliyense amene anatsatira Saulo ndi Yonatani. Koma Saulo ndi Yonatani, iwo okha ndiwo anali ndi zida.
090d17004d	Tsono gulu lina lankhondo la Chifilisti linapita kukalonda mpata wa Mikimasi.
090e0100bc	Tsiku lina Yonatani mwana wa Sauli anawuza mnyamata wake womunyamulira zida zake za nkhondo kuti, “Tiye tiwoloke tipite ku kaboma ka Afilisti tsidya ilo.” Koma iye sanawuze abambo ake.
090e020074	Sauli ankakhala mʼmalire a Gibeya pa tsinde pa mtengo wamakangadza ku Migironi. Anthu amene anali naye analipo 600.
090e0300d7	Pakati pawo panalinso Ahiya amene ankavala efodi. Iye anali mwana wa Ahitubi, mʼbale wake wa Ikabodi mwana wa Finehasi, mwana wa Eli, wansembe wa Yehova wa ku Silo. Koma palibe amene anadziwa kuti Yonatani wachoka.
090e0400e2	Pa mpata pamene Yonatani ankafuna kudutsa kukafika ku kaboma ka nkhondo ka Afilisti kunali thanthwe lotsetsereka mbali ina ndi lina lotsetsereka mbali inayo. Thanthwe limodzi linkatchedwa Bozezi ndipo linalo linkatchedwa Seni.
090e05007f	Thanthwe limodzi linali chakumpoto kuyangʼanana ndi Mikimasi, ndipo thanthwe linalo linali chakummwera kuyangʼanana ndi Geba.
090e0600f1	Yonatani anawuza mnyamata wake womunyamulira zida uja kuti, “Tiye tiwoloke tipite ku kaboma ka anthu osachita mdulidwewo. Mwina Yehova adzatigwirira ntchito. Palibe chomuletsa Yehova kutipulumutsa, ngakhale tikhale ambiri kapena ochepa.”
090e070099	Mnyamata uja anati, “Chitani chilichonse chimene mtima wanu ukhumba. Ine ndili nanu pamodzi. Chimene mtima wanu ukhumba ndi chomwenso ine ndikhumba.”
090e08005c	Yonatani anati, “Tiye tsono tiwoloke kupita kumene kuli anthuwo ndi kukadzionetsa kwa iwo.
090e090068	Akatiwuza kuti, ‘Imani pomwepo mpaka tikupezeni,’ ife tikangoyima pomwepo osapita kumene kuli iwoko.
090e0a008b	Koma akadzati, ‘Bwerani kuno,’ ndiye ife tikapitedi, chifukwa ichi chidzakhala chizindikiro chakuti Yehova wapereka mʼmanja mwathu.”
090e0b0094	Choncho awiriwa anadzionetsa ku kaboma ka nkhondo ka Afilisti. Tsono Afilistiwo anati, “Taonani! Aheberi akutuluka mʼmaenje mʼmene anabisala.”
090e0c00ec	Anthu a ku kaboma kaja anafuwula kwa Yonatani ndi mnyamata wake uja kuti, “Bwerani kuno ndipo tikuphunzitsani phunziro.” Ndipo Yonatani anati kwa mnyamata wake. “Nditsate pakuti Yehova wapereka Afilistiwa mʼmanja mwa Aisraeli.”
090e0d00b6	Choncho Yonatani anakwera mokwawa, ndipo mnyamata wake uja ankamutsata. Tsono Yonatani anathira nkhondo Afilisti aja namawagwetsa, ndipo mnyamata wake uja ankawapha pambuyo pa iyeyo.
090e0e0088	Nthawi yoyambayo Yonatani ndi mnyamata wake uja anapha anthu makumi awiri ndipo anawaphera pa malo ochepa okwanira ngati theka la ekala.
090e0f00e4	Tsono gulu lonse la ankhondo, ndiye kuti iwo amene anali mʼmisasa ndi mʼminda ndiponso iwo amene anali ku kaboma ka ankhondo kaja, onse anagwidwa ndi mantha aakulu. Dzikonso linagwedezeka, choncho anthu anachita mantha koopsa.
090e10007a	Alonda a Sauli a ku Gibeya dziko la Benjamini atangomwaza maso anangoona chigulu cha asilikali chikumwazikana uku ndi uku.
090e1100c8	Kenaka Sauli anawawuza anthu amene anali naye kuti, “Awerengeni asilikali kuti muona amene wachoka.” Atawawerenga anapeza kuti Yonatani ndi mnyamata wake womunyamulira zida zake za nkhondo palibe.
090e120088	Tsono Sauli anawuza Ahiya kuti, “Bwera nalo Bokosi la Mulungulo.” (Nthawi imeneyo nʼkuti efodiyo ili ndi Ahiya pamaso pa Aisraeli).
090e130092	Pamene Sauli amayankhula ndi wansembe, phokoso limanka likulirakulira mu msasa wa Afilisti, Kotero Sauli anati kwa wansembe, “Leka kuwombeza.”
090e1400a2	Ndipo Sauli ndi asilikali onse amene anali naye anasonkhana kupita kukamenya nkhondo, ndipo anangoona chisokonezo chachikulu kwambiri. Afilisti akuphana okhaokha.
090e15009e	Aheberi ena amene kale anali ndi Afilisti mpaka kukakhala ku misasa yawo, iwonso anatembenuka nakhala pamodzi ndi Aisraeli amene ankatsata Sauli ndi Yonatani.
090e160096	Ngakhale Aisraeli amene ankabisala ku dziko lamapiri la Efereimu atamva kuti Afilisti akuthawa, nawonso anawathamangitsa Afilistiwo nawathira nkhondo.
090e170064	Nkhondo inapitirira mpaka kufika ku Beti-Aveni. Choncho Yehova anapulumutsa Aisraeli tsiku limenelo.
090e1800f4	Koma asilikali a Israeli anavutika tsiku limenelo, chifukwa Sauli anawalumbirira Aisraeli kuti, “Wotembereredwa munthu aliyense amene adzadya kusanade, ine ndisanalipsire adani anga!” Kotero palibe wankhondo aliyense amene analawa chakudya.
090e19003f	Gulu lonse la ankhondo linalowa mʼnkhalango mmene munali uchi.
090e1a0060	Atalowa mʼnkhalango, anaona uchi ukukha, koma palibe amene anadya, pakuti ankaopa lumbiro lija.
090e1b00d2	Koma Yonatani sanamve kuti abambo ake anawalumbirira anthu aja choncho anatenga ndodo yake imene inali mʼdzanja lake ndipo anayipisa mu chisa cha njuchi. Choncho iye anadya uchiwo ndipo mʼmaso mwake munayera.
090e1c00b3	Kenaka mmodzi mwa Asilikali anamuwuza kuti, “Abambo ako alumbirira anthu nati, ‘Wotembereredwa munthu aliyense amene adye chakudya lero.’ Nʼchifukwa chake anthu alefuka.”
090e1d0080	Yonatani anati, “Abambo anga achita chinthu choyipira dziko. Taonani mʼmaso mwanga mwayera chifukwa ndalawa uchiwu pangʼono.
090e1e0074	Zikanakhala zabwino kwambiri anthuwa akanadya lero zofunkha za adani awo. Zikanatero tikanapha Afilisti ochuluka.”
090e1f007d	Tsiku limenelo Aisraeli anapha Afilisti kuchokera ku Mikimasi mpaka ku Ayaloni. Koma Aisraeliwo analefuka kwambiri ndi njala.
090e20008e	Choncho iwo anathamangira pa zofunkha ndipo anatenga nkhosa, ngʼombe ndi ana angʼombe. Iwo anazipha zonsezi nazidya pamodzi ndi magazi omwe.
090e2100c8	Koma anthu ena anawuza Sauli kuti, “Taona anthu akuchimwira Yehova pakudya nyama yomwe ili ndi magazi.” Ndipo Sauli anati, “Mwaonetsa kusakhulupirika. Tsopano gubuduzirani mwala waukulu pano.”
090e22012d	Kenaka Sauli anati, “Mwazikanani pakati pa anthu ndi kukawawuza kuti aliyense abwere ndi ngʼombe yake kapena nkhosa yake, ndipo adzayiphe pomwe pano ndi kuyidya. Musachimwire Yehova pakudya nyama imene ili ndi magazi.” Kotero aliyense anabwera ndi ngʼombe yake usiku womwewo ndi kuyipha pomwepo.
090e23005b	Ndipo Sauli anamangira Yehova guwa. Ili linali guwa loyamba limene Sauli anamangira Yehova.
090e24010a	Sauli anati, “Tiyeni titsatire Afilisti usikuwu ndi kulanda zinthu zawo mpaka mmawa. Tisasiyepo wamoyo ndi mmodzi yemwe.” Ankhondowo anayankha kuti, “Chitani chilichonse chimene chikukomerani.” Koma wansembe anati, “Tipemphe uphungu kwa Mulungu poyamba.”
090e250093	Choncho Sauli anafunsa Mulungu kuti, “Kodi ndiwatsatire Afilisti? Kodi mukawapereka mʼmanja mwathu?” Koma Mulungu sanamuyankhe tsiku limenelo.
090e260082	Choncho Sauli anati, “Bwerani kuno nonse atsogoleri a anthu, ndipo tiyeni tione kuti kodi tchimo limeneli lachitika bwanji lero?
090e2700ad	Pali Yehova amene amapulumutsa Israeli, ngakhale tchimolo litapezeka ndi mwana wanga Yonatani, iye afe ndithu.” Koma palibe ndi mmodzi yemwe mwa anthuwo amene anamuyankha.
090e2800aa	Tsono Sauli anawuza Aisraeli onse kuti, “Inu mukhale mbali imodzi. Ine ndi mwana wanga Yonatani tikhala mbali inayo.” “Chitani chilichonse chimene chikukomerani.”
090e290166	Ndipo Sauli anapemphera kwa Yehova Mulungu wa Israeli kuti, “Chifukwa chiyani simunandiyankhe ine mtumiki wanu lero lino? Ngati tchimoli lipezeka ndi ine kapena ndi Yonatani mwana wanga, Inu Mulungu wa Israeli, aoneke ndi Urimu. Koma ngati wochimwa ndi anthu anu, Aisraeli aoneke Tamimu.” Maere anagwera Sauli ndi Yonatani ndipo anthu anapezeka osalakwa.
090e2a0067	Sauli anati, “Chitani maere pakati pa ine ndi Yonatani mwana wanga.” Ndipo maere anagwera Yonatani.
090e2b00b7	Kenaka Sauli anati kwa Yonatani, “Ndiwuze chimene wachita.” Ndipo Yonatani anamuwuza kuti, “Ine ndinangolawa uchi pangʼono ndi ndodo yangayi. Ndiye ine ndili wokonzeka kufa.”
090e2c0053	Sauli anati, “Mulungu andilange ngakhale kufa kumene, ngati sufa iwe Yonatani.”
090e2d013f	Koma anthuwo anafunsa Saulo kuti, “Kodi Yonatani afe, iye amene wagwira ntchito iyi yayikulu yopulumutsa Aisraeli? Osatheka! Pali Yehova ngakhale tsitsi ndi limodzi lomwe lapamutu pake silidzathothoka, pakuti wachita zimenezi lero ndi thandizo la Mulungu.” Choncho anthuwo anamupulumutsa Yonatani, ndipo sanaphedwe.
090e2e004f	Pambuyo pake Sauli analeka kulondola Afilisti, kenaka anabwerera ku dziko lawo.
090e2f00ab	Sauli ali mtsogoleri wa Israeli, anachita nkhondo ndi adani awa omuzungulira: Mowabu, Amoni, Edomu mafumu a ku Zoba ndi Afilisti. Kulikonse kumene ankapita ankawagonjetsa.
090e300084	Anachita nkhondo mwamphamvu ndi kugonjetsa Aamaleki. Choncho anapulumutsa Aisraeli mʼmanja mwa anthu amene ankawalanda zinthu zawo.
090e3100c0	Ana aamuna a Sauli anali Yonatani, Isivi ndi Maliki-Suwa. Analinso ndi ana aakazi awiri, dzina la mwana wake wamkulu wamkazi linali Merabi ndipo la mwana wake wamngʼono wamkazi linali Mikala.
090e32009f	Dzina la mkazi wake linali Ahinoamu. Iyeyu anali mwana wa Ahimaazi. Dzina la mkulu wa ankhondo a Sauli linali Abineri mwana wa Neri, mʼbale wa abambo a Sauli.
090e330041	Kisi abambo a Sauli ndi Neri abambo a Abineri anali ana a Abieli.
090e3400ca	Pa moyo wake wonse, Sauli ankakhalira kuchita nkhondo pakati pa Israeli ndi Afilisti. Ndipo Sauli ankati akaona munthu aliyense wamphamvu kapena wolimba mtima ankamulemba ntchito mu gulu lake lankhondo.
090f010092	Samueli anawuza Sauli kuti, “Yehova anandituma ine kuti ndikudzozeni kukhala mfumu ya anthu ake, Aisraeli. Tsopano imvani zimene Yehova akunena.
090f0200b2	Yehova Wamphamvuzonse akuti, ‘Ine ndidzalanga Aamaleki chifukwa cha zimene anawachita Aisraeli. Paja iwo analimbana ndi Aisraeli pa njira pamene Aisraeliwo ankachoka ku Igupto.
090f0300da	Tsopano pita kathire nkhondo Aamaleki ndi kuwononga kwathunthu zinthu zonse zimene ali nazo. Musakasiyeko munthu ndi mmodzi yemwe. Mukaphe amuna ndi akazi, ana ndi makanda, ngʼombe ndi nkhosa, ngamira ndi abulu.’”
090f04008e	Kotero Sauli anayitana ankhondo ake nawawerenga ku Telaimu. Ankhondo oyenda pansi analipo 200,000 ndipo mwa iwowa 10,000 anali a fuko la Yuda.
090f05003b	Sauli anapita ku mzinda wa Aamaleki nawubisalira mʼkhwawa.
090f0600fa	Tsono Sauli anawuza Akeni kuti, “Samukani, muchoke pakati pa Aamaleki kuti ine ndisakuwonongeni pamodzi ndi iwo pakuti inu munaonetsa kukoma mtima kwa Aisraeli onse pamene ankatuluka mʼdziko la Igupto,” Choncho Akeni anachoka pakati pa Aamaleki.
090f070055	Tsono Sauli anakantha Aamaleki kuchokera ku Havila mpaka ku Suri, kummawa kwa Igupto.
090f080051	Sauli anatenga Agagi mfumu ya Aamaleki, koma anthu ake onse anawapha ndi lupanga.
090f0900f4	Koma Sauli ndi ankhondo ake sanaphe Agagi, sanaphenso nkhosa ndi ngʼombe zabwino ngakhalenso ana angʼombe ndi ana ankhosa onenepa. Chilichonse chimene chinali chabwino sanachiphe. Koma zonse zimene zinali zoyipa ndi zachabechabe anaziwononga.
090f0a0023	Kenaka Yehova anawuza Samueli kuti,
090f0b00c4	“Ine ndikumva chisoni chifukwa ndinayika Sauli kukhala mfumu. Wabwerera mʼmbuyo, waleka kunditsata ndipo sanamvere malangizo anga.” Samueli anapsa mtima, ndipo analira kwa Yehova usiku wonse.
090f0c00e5	Samueli anadzuka mmamawa ndipo anapita kukakumana ndi Sauli. Koma anthu anamuwuza kuti, “Sauli anabwera ku Karimeli, ndipo kumeneko wadziyimikira mwala wachikumbutso cha iye mwini. Tsopano wachokako ndipo wapita ku Giligala.”
090f0d0076	Samueli atamupeza Sauli, Sauliyo anati kwa Samueli, “Yehova akudalitseni! Ndachita zonse zimene Yehova analamula.”
090f0e004f	Koma Samueli anati, “Nanga bwanji ndikumva kulira kwa nkhosa ndi ngʼombe?”
090f0f00c2	Sauli anayankha, “Zimenezi Asilikali azitenga kuchokera kwa Aamaleki. Iwo anasungako nkhosa ndi ngʼombe zabwino kuti akapereke nsembe kwa Yehova Mulungu wanu, koma zina zonse anaziwononga.”
090f10008c	Koma Samueli anati kwa Sauli, “Khala chete! Ima ndikuwuze zimene Yehova wandiwuza usiku wathawu.” Sauli anayankha kuti, “Ndiwuzeni.”
090f1100ad	Apo Samueli anati, “Munali wamngʼono pa maso pa anthu, koma tsopano mwasanduka mtsogoleri wa mafuko a Israeli. Yehova anakudzozani kuti mukhale mfumu yolamulira Aisraeli.
090f120087	Ndipo Yehova anakutumani kuti, ‘Pitani mukawononge kwathunthu Aamaleki, anthu oyipa aja. Mukachite nawo nkhondo mpaka kuwatheratu.’
090f130075	Chifukwa chiyani simunamvere mawu a Yehova? Chifukwa chiyani munathamangira zofunkha ndi kuchita choyipira Yehova?”
090f1400bc	Koma Saulo anawuza Samueli kuti, “Ine ndinamveradi mawu a Yehova. Ndinapita kukachita zimene Yehova anandituma. Ndinabwera naye Agagi, mfumu ya Amaleki, koma Aamaleki ena onse anaphedwa.
090f15009f	Koma pa zofunkhazo anthu anatengapo nkhosa, ngʼombe ndi zabwino zina zoyenera kuwonongedwa kuti akapereke ngati nsembe kwa Yehova Mulungu wanu ku Giligala.”
090f1600e5	Koma Samueli anayankha kuti, “Kodi Yehova amakondwera ndi nsembe zopsereza ndi nsembe zina kapena kumvera mawu a ake? Taona, kumvera ndi kwabwino kuposa nsembe, ndipo kutchera khutu ndi kwabwino kuposa kupereka mafuta a nkhosa.
090f1700b7	Pakuti kuwukira kuli ngati tchimo lowombeza, ndipo kukhala nkhutukumve kuli ngati tchimo lopembedza mafano. Chifukwa mwakana mawu a Yehova. Iyenso wakukana kuti iweyo ukhale mfumu.”
090f180089	Tsono Sauli anati kwa Samueli, “Ine ndachimwa. Ndaphwanya malamulo a Yehova ndiponso malangizo anu. Ndinkaopa anthu ndipo ndinawamvera.
090f190066	Tsopano ndikukupemphani, khululukireni tchimo langa ndipo mubwerere nane kuti ndikapembedze Yehova.”
090f1a009c	Koma Samueli anawuza Sauli kuti, “Ine sindibwerera nawe. Inu mwakana mawu a Yehova. Choncho Iyenso wakukanani kuti musakhale mfumu yolamulira Aisraeli.”
090f1b005f	Samueli akutembenuka kuti azipita, Sauli anagwira mpendero wa mkanjo wake, ndipo unangʼambika.
090f1c006e	Samueli anati kwa iye, “Yehova wangʼamba ufumu wanu kuchoka kwa inu, ndipo waupereka kwa mnzanu woposa inu.
090f1d0078	Mulungu wa ulemerero wa Israeli sanama kapena kusintha maganizo ake; pakuti iye si munthu, kuti asinthe maganizo ake.”
090f1e00b3	Sauli anati, “Ine ndachimwa. Komabe, chonde mundilemekeze pamaso pa akuluakulu, anthu anga, ndiponso pamaso pa Israeli. Mubwerere nane kuti ndikapembedze Yehova Mulungu wanu.”
090f1f0046	Pamenepo Samueli anabwerera ndi Sauli, ndipo Sauli anapembedza Yehova.
090f2000b3	Kenaka Samueli anati, “Bwera nayeni kuno Agagi, mfumu ya Amaleki ija.” Choncho Agagi anapita kwa Samueli mokondwa chifukwa ankaganiza kuti, “Ndithu zowawa za imfa zapita.”
090f2100d2	Koma Samueli anati, “Monga momwe lupanga lako linasandutsira amayi kukhala wopanda ana, momwemonso amayi ako adzakhala opanda mwana pakati pa amayi.” Ndipo Samueli anapha Agagi pamaso pa Yehova ku Giligala.
090f220054	Ndipo Samueli anapita ku Rama, koma Sauli anapita ku mudzi kwawo ku Gibeya wa Sauli.
090f230095	Samueli sanamuonenso Sauli mpaka imfa yake ngakhale kuti ankamulira Sauliyo. Yehova anamva chisoni kuti anasankha Sauli kuti akhale mfumu ya Israeli.
09100100f8	Yehova anati kwa Samueli, “Kodi udzamulira Sauli mpaka liti, popeza Ine ndamukana kuti akhale mfumu ya Israeli? Dzaza mafuta mʼbotolo lako ndipo unyamuke kupita kwa Yese wa ku Betelehemu popeza ndadzisankhira mmodzi mwa ana ake kukhala mfumu.”
09100200bf	Koma Samueli anati, “Kodi ndingapite bwanji? Sauli akamva zimenezi adzandipha.” Yehova anayankha, “Tenga ngʼombe yayikazi ndipo ukanene kuti, ‘Ndabwera kudzapereka nsembe kwa Yehova.
0910030075	Ukamuyitane Yese ku mwambo wa nsembe, ndipo ine ndidzakuwuza choti ukachite. Ukandidzozere amene ndikakulozere.’”
09100400c7	Samueli anachita zimene Yehova ananena, ndipo anabweradi ku Betelehemu kuja. Akuluakulu a mu mzindawo anamuchingamira ali njenjenje ndi mantha ndipo anamufunsa kuti, “Kodi mwabwera mwa mtendere?”
09100500e5	Samueli anayankha kuti, “Inde, kwabwino. Ndabwera kudzapereka nsembe kwa Yehova. Mudzipatule ndipo mubwere kudzapereka nsembe pamodzi nane.” Kenaka iye anamupatula Yese ndi ana ake aamuna ndipo anawayitana kudzapereka nsembe.
0910060079	Pamene anafika, Samueli anaona Eliabu ndipo anaganiza “Ndithu wodzozedwa wa Yehova uja ndi uyu wayima pamaso pakeyu.”
09100700c9	Koma Yehova anati kwa Samueli, “Usaone maonekedwe ake kapena msinkhu wake, pakuti ndamukana iyeyu. Yehova sapenya zimene munthu amapenya. Anthu amapenya zakunja, koma Mulungu amapenya za mu mtima.”
